Product code,Product label,India's imports from Australia-Value in 2012,India's imports from Australia-Value in 2013,India's imports from Australia-Value in 2014,India's imports from Australia-Value in 2015,India's imports from Australia-Value in 2016,India's imports from Australia-Value in 2017,India's imports from Australia-Value in 2018,India's imports from Australia-Value in 2019,India's imports from Australia-Value in 2020,India's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
840490,Parts of auxiliary plant of heading 8402 or 8403 and condensers for steam or other vapour power ...,0,0,0,0,0,0,0,0,0,2,,1170,1502,2405,5749,2644,1129,2769,5483,750,2213,,9042,26264,17758,11724,8064,18480,8988,27371,5448,5379
830520,"Staples in strips, of base metal",0,0,0,0,0,0,0,0,0,2,,137,107,393,146,99,28,71,75,86,177,,707,655,756,1153,926,1472,2424,3249,2194,3036
401140,"New pneumatic tyres, of rubber, of a kind used for motorcycles",0,0,0,0,1,0,0,0,0,2,,1032,385,471,1123,445,210,2285,1977,401,109,,7786,11984,18278,24880,23658,26432,32259,24358,9424,8670
310560,Mineral or chemical fertilisers containing the two fertilising elements phosphorus and potassium ...,39,0,0,0,0,0,0,0,0,2,,279,225,1277,925,764,932,385,462,430,966,,12178,17026,23792,22312,26234,24533,34958,29772,47400,54775
962000,"Monopods, bipods, tripods and similar articles",0,0,0,0,0,0,12,0,0,2,,0,0,0,0,0,406,2836,1009,1036,533,,0,0,0,0,0,6468,9814,11537,11549,18493
380290,"Activated kieselguhr and other activated natural mineral products; animal black, whether or ...",34,0,32,0,39,0,0,267,0,2,,545,1537,943,684,314,644,586,316,456,380,,19769,22519,22248,24464,20808,21155,24218,25228,19056,23866
520951,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, ...",0,0,0,0,0,0,1,1,1,2,,203,93,47,18,41,24,4,18,46,45,,555,1422,1315,1049,686,567,813,509,881,747
842240,"Packing or wrapping machinery, incl. heat-shrink wrapping machinery (excluding machinery for ...",5,26,56,487,423,33,52,55,19,2,,10849,9516,19847,15427,10601,13077,6892,5652,8475,5160,,146258,162438,114935,129263,156944,142085,153186,126122,136161,152816
843420,"Dairy machinery (excluding refrigerating or heat treatment equipment, cream separators, clarifying ...",0,336,43,9347,0,218,228,0,5,2,,2076,2307,2760,2086,3764,2311,2744,2751,586,3212,,6076,12928,10911,29898,5873,10434,21143,11778,9780,10901
840290,"Parts of vapour generating boilers and superheated water boilers, n.e.s.",2,4,160,10,2,28,0,0,0,2,,1196,1252,702,104,4387,1554,1760,408,1034,398,,95718,134458,26927,25978,69032,9682,33201,38904,32820,40746
850511,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,17,23,14,10,0,1,15,4,1,2,,1618,1416,1010,721,1167,978,2097,1698,3991,2627,,76476,65452,57556,64488,58410,63284,76821,73444,73051,113311
853340,"Electrical variable resistors, incl. rheostats and potentiometers (excluding wirewound variable ...",18,0,1,2,2,7,8,4,0,2,,1699,1366,1684,1662,1776,1437,572,1059,525,1048,,45142,41792,45797,48487,57115,76664,111209,117488,110243,134108
900890,"Parts and accessories for image projectors, photographic enlargers and reducers, n.e.s.",123,0,0,1,1,0,0,0,0,2,,269,293,963,612,1053,152,196,411,273,269,,1614,637,472,423,446,394,457,447,262,405
950490,"Tables for casino games, automatic bowling alley equipment, and other funfair, table or parlour ...",519,172,180,205,263,537,847,815,108,2,,16605,21046,16983,18285,42498,39975,42629,31692,26536,26338,,33933,14599,9691,10269,9572,18630,17944,19748,11371,11624
71332,"Dried, shelled small red """"Adzuki"""" beans """"Phaseolus or Vigna angularis"""", whether or not ...""",0,0,0,0,0,0,0,0,0,2,,999,1800,2106,2546,1751,2186,1849,565,2,2243,,3971,656,0,0,45,203,0,0,0,2
420340,"Clothing accessories of leather or composition leather (excluding gloves, mittens and mitts, ...",0,5,0,0,0,0,1,4,0,2,,21721,15377,18796,13883,7820,3728,5543,4075,1970,2010,,4733,3326,2747,3050,3119,13308,14284,13888,7047,9111
640420,Footwear with outer soles of leather or composition leather and uppers of textile materials ...,0,0,0,0,0,0,0,0,0,2,,722,999,765,798,934,1267,1407,1637,2549,3358,,233,126,116,536,348,562,1139,1140,1534,2690
611599,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",0,0,0,0,0,11,0,0,0,2,,544,389,321,440,1217,720,501,408,189,8017,,8264,15172,17899,19190,15294,18390,25932,16784,9721,8068
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",3460,15,9,5,3,13,12,7,8,2,,247504,314963,348177,362750,319031,431587,440484,625809,569068,594944,,4591359,5934103,7433805,6953939,4071646,3406372,2216982,864257,2155978,1532452
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,11,1,0,13,25,11,0,0,0,2,,25846,43091,31638,19728,17203,28240,8352,2619,7982,4798,,5620,3300,6923,4434,6939,7599,8555,22629,11090,12689
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",5,1,15,4,1,4,5,16,3,2,,44589,41899,41916,39464,42631,57118,57740,65306,73584,133898,,40780,48491,46463,54637,44048,59584,100271,53594,38519,52708
820720,Interchangeable dies for drawing or extruding metal,39,3,15,22,2,6,5,0,9,2,,327,667,554,140,202,321,372,513,810,1374,,128622,78639,87419,74556,60198,51826,49655,73302,43609,59515
842511,"Pulley tackle and hoists, powered by electric motor (other than skip hoists or hoists of a ...",0,0,0,2,1,0,14,0,7,2,,2231,3216,6991,5893,3300,3874,5980,2273,2495,1110,,7324,7389,4859,6087,8252,12146,18806,16912,14662,20225
901790,"Parts and accessories for drawing, marking-out or mathematical calculating instruments and ...",5,0,0,0,0,0,0,0,0,2,,124,211,76,55,499,603,496,468,365,2009,,9196,7354,8184,7448,7878,4953,1520,1907,1566,2322
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",0,0,0,0,0,0,0,14971,0,2,,885002,635569,593699,245048,243764,354622,435127,372167,260424,344664,,0,1321496,929453,1923540,1450912,717450,1079458,1745225,1105493,1802279
200811,"Groundnuts, prepared or preserved (excluding preserved with sugar)",0,2,695,0,303,1,0,0,94,2,,5269,4822,5303,6219,5114,4575,6307,7044,4476,8215,,89,1153,2076,1104,1642,1575,1553,1370,1391,2069
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",2,0,0,0,0,0,0,56,0,2,,1856,2048,1881,1889,2255,2491,2196,3326,5316,4778,,5794,6834,8882,10329,11741,13944,20141,28372,26055,46184
640340,"Footwear, incorporating a protective metal toecap, with outer soles of rubber, plastics, leather ...",0,0,0,0,0,0,0,0,0,2,,8615,9051,8740,11808,12209,11993,12819,16262,12471,19161,,528,743,511,625,806,696,816,2755,1256,658
650691,"Bathing caps, hoods and other headgear, whether or not lined or trimmed, of rubber or plastics ...",0,0,0,0,0,0,0,0,0,2,,257,793,702,250,271,501,195,157,141,263,,300,497,844,834,459,766,1009,974,787,634
847029,"Electronic calculating machines not incorporating a printing device, with mains connection ...",0,0,0,0,0,0,5,0,8,2,,603,598,238,125,479,1095,71,92,20,79,,472,1099,736,654,414,699,549,669,311,1036
831000,"Sign-plates, nameplates, address-plates and similar plates, numbers, letters and other symbols, ...",6,4,1,0,5,1,0,0,0,2,,2407,1972,2690,3038,2628,2429,2247,2227,2124,2238,,9528,9020,8226,6917,7442,8318,7648,9313,7534,8322
151590,"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...",109,119,0,1,0,0,33,4,2,2,,2868,4418,3594,2836,2846,4276,3373,4023,7133,5924,,16728,11713,3612,6227,6748,3809,10223,64700,112896,196124
482010,"Registers, account books, notebooks, order books, receipt books, letter pads, memorandum pads, ...",12,6,0,0,0,7,56,74,0,2,,2331,1599,1880,1744,2389,2404,2093,2914,1162,2127,,1742,1784,2222,2326,2525,2898,3673,4478,2129,3151
401390,"Inner tubes, of rubber (excluding those of a kind used on motor cars, incl. station wagons ...",1,0,0,0,0,0,0,0,2,2,,706,255,171,159,844,496,873,269,140,214,,1839,1942,3505,3848,3814,4115,3777,3546,1235,2718
820770,Interchangeable tools for milling,0,10,2,41,0,13,3,4,0,2,,6201,2139,1576,2448,901,1473,1168,1042,952,1226,,22491,23155,27266,21520,23737,29181,34526,38595,28458,37382
900792,"Parts and accessories for cinematographic projectors, n.e.s.",4,0,3,0,0,0,3,0,0,2,,1960,2561,825,687,805,1334,1928,903,1112,1689,,3244,4672,2392,2872,7515,6772,3209,1321,592,628
640219,Sports footwear with outer soles and uppers of rubber or plastics (excluding waterproof footwear ...,0,0,0,0,0,0,0,0,3,2,,1434,1480,1069,1409,1805,2622,1467,1796,1450,1397,,12841,13953,15931,18938,19348,22396,13876,11734,6833,9946
540239,"Textured synthetic filament yarn (excluding sewing thread, yarn put up for retail sale and ...",0,0,0,0,0,0,0,0,0,2,,6,0,0,125,24,79,0,0,98,147,,17069,8815,6341,4154,1074,2354,4319,2687,2505,3439
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",3,1,1,20,0,1,0,2,2,2,,3624,5005,5713,4733,4867,5783,4433,8369,9713,14351,,10136,13498,18121,18626,21019,22555,30053,38261,26242,33167
940190,"Parts of seats, n.e.s.",16,0,0,0,1,0,2,8,3,2,,5214,6089,4987,4396,5247,5622,7034,7114,6024,4449,,90448,112107,134584,152982,147415,168116,204573,186051,149772,198305
950629,"Water-skis, surfboards and other water-sport equipment (other than sailboards)",17,16,13,2,23,35,17,6,0,2,,10464,11328,11834,11782,11903,13140,12842,14701,18252,28922,,2391,1619,1788,1768,3162,2669,2991,3209,4833,5430
961700,"Vacuum flasks and other vacuum vessels, and parts thereof (excluding glass inners)",1,0,0,0,0,1,17,0,0,2,,141,175,527,237,263,155,1349,839,815,646,,21092,21125,28284,31679,38690,49710,79198,96812,77772,89808
380190,"Preparations based on graphite or other carbon in the form of pastes, blocks, plates or other ...",2,10,0,8,0,338,37,72,8,2,,476,526,574,282,488,719,160,208,53,384,,31737,19665,23638,31224,33194,70975,55630,40034,34022,37869
60220,"Edible fruit or nut trees, shrubs and bushes, whether or not grafted",0,0,0,0,0,0,0,0,0,2,,557,20,23,268,941,1074,402,730,688,360,,657,111,264,253,0,0,1045,9119,4831,10141
621143,"Women's or girls' tracksuits and other garments, n.e.s. of man-made fibres (excluding knitted ...",0,0,0,0,0,0,0,17,0,2,,1118,1026,2690,1683,1452,838,848,668,893,1799,,1099,360,673,1404,1636,2574,5154,4207,4082,5017
621410,"Shawls, scarves, mufflers, mantillas, veils and similar articles of silk or silk waste (excluding ...",0,0,0,0,0,0,0,0,0,2,,120,129,185,80,135,146,280,205,167,274,,887,821,1112,966,796,950,1364,1132,846,1149
590190,Tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a ...,0,0,0,0,0,0,0,0,2,2,,446,272,223,110,211,123,136,200,527,228,,1123,878,981,970,1297,1388,2931,2590,1737,2719
540784,"Woven fabrics of yarn containing predominantly, but < 85% synthetic filament by weight, incl. ...",0,0,3,0,4,0,5,5,1,2,,299,201,174,204,118,0,14,1,27,72,,728,1114,1402,1346,1128,599,625,834,98,349
551512,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",0,0,0,8,0,0,0,0,0,2,,265,223,96,12,5,103,55,4,39,140,,2414,1320,1577,203,874,15155,18810,18062,5562,15461
850650,Lithium cells and batteries (excluding spent),23,2,0,5,1,0,14,10,26,2,,2134,4408,5415,5404,3240,3109,3564,2984,3049,6846,,55281,40825,32054,49706,59524,157814,48569,20469,21952,23507
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",99,0,22,10,12,20,25,15,2,2,,11254,11792,14561,18121,20555,28516,33337,38207,49340,44435,,225777,183232,124626,130085,180340,231243,276878,317539,306113,343784
851981,"Sound recording or sound reproducing apparatus, using magnetic, optical or semiconductor media ...",0,0,0,0,0,2,0,0,0,2,,5382,3135,5302,5677,4323,2392,2228,7373,8421,5334,,162,3336,10501,10223,14170,17358,26556,6160,1949,1918
854411,"Winding wire for electrical purposes, of copper, insulated",20,3,108,1,7,116,1,22,1,2,,20228,12659,28969,42580,35976,35508,29779,25710,25070,7978,,111258,97100,93245,77168,65179,70581,74579,66368,42638,69229
860729,"Brakes (other than air brakes), and parts thereof, for railway or tramway locomotives or rolling ...",226,299,0,3,122,72,67,35,2,2,,2320,2886,2782,2801,1997,2090,3532,3269,3320,4190,,18960,11670,14892,8202,10633,10801,14848,13234,11774,8612
841690,"Parts of furnace burners such as mechanical stokers, incl. their mechanical grates, mechanical ...",34,15,0,7,0,0,8,0,1,2,,3302,1698,2836,3152,2702,3520,1896,3887,4224,2846,,44088,20459,18834,20159,15224,16981,21439,27994,20651,27605
846630,"Dividing heads and other special attachments for machine tools, n.e.s.",334,317,44,27,65,45,34,4,36,2,,1238,651,821,255,141,316,2769,14299,3963,2178,,101215,149671,131950,97027,113499,119088,189487,277251,153541,183073
150990,Olive oil and fractions obtained from the fruit of the olive tree solely by mechanical or other ...,6,0,0,0,5,4,0,0,0,2,,1441,1407,2630,2326,2264,2903,2597,2380,3402,2734,,22092,32409,29779,28060,34963,38583,47155,18726,23303,32226
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",4,2,2,4,1,30,34,8,10,2,,17699,24422,30931,32305,42681,49932,35498,30367,16833,12299,,214330,194150,199235,186889,196180,204538,210751,195959,74185,88833
620453,Women's or girls' skirts and divided skirts of synthetic fibres (excluding knitted or crocheted ...,0,1,0,0,0,0,0,0,0,2,,372,1282,2454,4099,604,1127,784,665,410,348,,708,1047,1467,1561,1530,1859,2074,2701,2000,2084
620461,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of wool or fine animal ...",1,0,0,0,0,0,0,0,0,2,,24,48,63,93,266,81,102,256,249,550,,353,614,370,369,465,224,234,350,221,328
620829,Women's or girls' nightdresses and pyjamas of textile materials (excluding cotton and man-made ...,0,0,0,0,0,0,0,0,0,2,,118,19,49,106,67,98,127,85,129,792,,377,475,477,687,885,1111,510,473,219,238
600199,"Pile fabrics, knitted or crocheted (excluding cotton or man-made fibres and """"long pile"""" ...""",31,29,786,0,0,0,0,1,0,2,,8,0,9,5,48,12,11,42,35,68,,507,1118,1939,567,825,959,643,385,340,649
732189,"Stoves, heaters, grates, fires, wash boilers, braziers and similar domestic appliances, of ...",0,0,32,0,0,0,1,0,3,2,,62,269,34,208,328,215,208,321,284,375,,737,946,519,395,581,890,876,1459,1915,2087
732399,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron ...",11,33,4,18,26,20,20,4,0,2,,2700,2767,2605,4198,4338,4330,3047,5420,3008,5156,,21957,21699,19992,15937,17825,25345,42907,43061,20799,22286
741129,"Tubes and pipes of copper alloys (excluding copper-zinc base alloys """"brass"""", copper-nickel ...""",110,0,1,0,23,1,0,14,4,2,,13069,6328,5043,2836,1304,504,593,420,117,328,,52114,43904,33008,24730,16146,18040,32715,20674,9435,11186
853950,"Light-emitting diode """"LED"""" lamps""""",0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,4022,4009,4930,3821,5687,,0,0,0,0,0,16759,27760,15320,8437,9731
610441,"Women's or girls' dresses of wool or fine animal hair, knitted or crocheted (excluding petticoats)",0,0,0,0,0,0,0,0,0,2,,116,72,168,108,266,175,132,160,154,188,,120,113,54,53,61,47,39,105,42,119
520931,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, ...",0,0,0,0,0,0,0,0,0,2,,133,154,46,104,25,6,54,39,50,70,,9343,8217,7584,5496,4039,6315,16608,12964,6250,9438
411310,"Leather further prepared after tanning or crusting """"incl. parchment-dressed leather"""", of ...""",67,0,0,0,0,0,0,0,0,2,,0,3,5,21,6,4,0,4,0,0,,2174,5009,5178,2272,10599,7810,3969,2977,2433,2560
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",1,0,0,0,0,0,0,1,4,2,,1159,912,1619,917,1060,1158,2869,1640,959,1441,,1356,1888,3332,5085,5595,7087,11889,13953,8731,12628
722300,"Wire of stainless steel, in coils (excluding bars and rods)",22,0,0,0,0,0,11,0,0,2,,1364,653,684,702,835,1287,540,1221,499,792,,38339,28987,27947,25875,25440,27245,32402,37351,25168,36253
850940,"Domestic food grinders and mixers and fruit or vegetable juice extractors, with self-contained ...",0,17,0,0,0,0,0,0,0,2,,3614,7332,4594,3174,4938,4876,5094,5325,5396,3687,,8817,9772,12423,13537,16430,20042,25515,20447,12643,31299
960711,Slide fasteners fitted with chain scoops of base metal,3,0,0,0,0,0,0,0,0,2,,568,1006,656,273,315,463,423,439,546,918,,13017,15311,17629,17018,17760,20081,22448,19251,13242,17547
854690,Electrical insulators (excluding those of glass or ceramics and insulating fittings),4,7,0,1,8,0,14,28,10,2,,14920,3045,923,539,900,1393,1267,1962,1065,2320,,91462,38647,55619,57769,60275,87496,74287,82426,65727,86992
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",34,11,6,22,35,81,15,107,4,2,,20336,6879,4609,6534,2405,1467,3515,2895,4395,4216,,134827,166135,201006,210131,211582,248466,281662,211504,141339,187857
854232,Electronic integrated circuits as memories,10,0,0,0,0,0,0,1,0,1,,3177,3249,3479,8456,3682,3256,2413,6230,4361,3926,,149798,119806,134256,105137,70513,95138,1550799,1461616,865070,2180015
853990,"Parts of electric filament or discharge lamps, sealed beam lamp units, ultraviolet or infra-red ...",42,1,5,3,0,22,1,11,5,1,,1608,397,802,894,1237,2299,1958,2106,3144,6664,,69921,57864,52788,54370,51770,56063,72006,68173,53457,64502
961000,"Slates and boards, with writing or drawing surfaces, whether or not framed",0,0,0,0,0,0,0,74,28,1,,490,476,544,529,184,466,291,495,315,255,,984,1229,1099,902,1818,2161,3664,4224,2264,3077
741539,"Screw hooks, screw rings and the like, threaded, of copper (excluding standard screws and bolts ...",3,1,1,0,0,0,1,0,0,1,,284,215,117,63,186,136,118,254,93,33,,5028,5901,5113,4018,4187,4761,5607,5046,5749,8864
620590,"Men's or boys' shirts of textile materials (excluding of cotton or man-made fibres, knitted ...",2,3,2,1,0,0,0,0,1,1,,313,538,703,734,396,699,823,1375,1523,1343,,2429,6572,5067,7727,6769,4983,8011,12575,5683,6324
620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",0,0,0,0,0,0,0,0,0,1,,465,200,288,406,257,290,657,1273,1186,1185,,1305,2080,3073,2426,2500,3219,4667,7083,8057,10928
701310,"Glassware of glass ceramics, of a kind used for table, kitchen, toilet, office, indoor decoration ...",1,0,0,0,0,0,0,0,0,1,,159,222,327,189,217,201,391,379,302,189,,3978,3051,3246,4002,2641,2179,3019,1213,829,1388
490700,"Unused postage, revenue or similar stamps of current or new issue in the country in which they ...",0,27,8,4,0,0,11,49,14,1,,3363,14031,486,21,777,226,544,9913,558,188,,338983,226975,567716,131349,72234,25959,26595,39075,45749,36129
190410,"Prepared foods obtained by swelling or roasting cereals or cereal products, e.g. corn flakes",8,5,0,0,28,4,9,11,2,1,,52381,49988,46155,46004,52715,47412,32644,46476,60856,59154,,1525,1091,2056,1133,670,531,857,733,764,1037
190532,Waffles and wafers,10,40,6,17,11,3,0,0,1,1,,6563,6763,8427,8583,10915,11233,14353,5626,3936,8240,,4080,4973,5462,12370,4415,4141,7052,12694,9759,10217
853310,"Fixed carbon resistors, composition or film types (excluding heating resistors)",6,0,0,0,0,2,0,0,0,1,,364,64,321,262,342,452,47,230,235,61,,23125,22034,22078,20589,20969,25590,36469,31315,31304,46485
852849,"Cathode-ray tube monitors, not incorporating television reception apparatus (excluding of a ...",102,15,6,0,0,1,0,21,0,1,,421,1356,1787,1519,352,1246,727,532,625,916,,4333,4900,3319,2326,2063,4217,4460,3723,4740,2058
870821,Safety seat belts for motor vehicles,4,0,0,0,0,0,1,0,0,1,,17026,12086,9136,5509,3949,3868,4574,4398,3114,4388,,10243,11512,13886,13838,12434,16404,23119,21320,14488,24567
830220,Castors with mountings of base metal,1,0,0,0,1,5,11,0,0,1,,901,1191,1467,886,1232,1599,1331,1411,1810,1943,,3391,2916,3299,2686,2666,3541,6761,6852,4885,7077
841239,Pneumatic power engines and motors (excluding linear acting),249,243,151,169,122,6,61,5,4,1,,15233,18770,12619,8144,4584,4876,5219,4179,3132,3597,,26121,40264,42750,33370,23271,24788,34856,51821,32076,28098
610463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, ...",0,0,0,0,0,0,0,0,0,1,,716,657,1361,759,539,1129,1018,857,1516,1639,,1376,2623,3531,4675,6473,7678,8884,11933,8543,16605
681510,"Articles of graphite or other carbon, incl. carbon fibres, for non-electrical purposes",37,5,10,3,38,3,4,4,8,1,,1082,1315,965,1170,489,406,1462,1845,876,2273,,40023,34966,31135,42381,42515,46759,63667,78392,74925,109244
520929,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, bleached ...",0,0,0,1,0,0,0,0,0,1,,140,1,0,0,10,2,8,2,8,2,,156,421,460,198,276,242,322,197,186,1570
540720,"Woven fabrics of strip or the like, of synthetic filament, incl. monofilament of >= 67 decitex ...",0,0,0,0,0,0,10,0,0,1,,794,500,233,83,60,188,194,277,154,342,,2945,3111,3912,5053,3422,5464,4414,6646,5243,14351
600535,"Warp knit fabrics of synthetic fibres, antimalarial, of a width of > 30 cm",0,0,0,0,0,0,29,4,6,1,,0,0,0,0,0,363,253,22,75,35,,0,0,0,0,0,1088,472,308,238,22
551430,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,1,,534,1055,791,765,794,710,115,6,3,3,,1420,692,873,722,736,1187,806,1028,492,609
620930,Babies' garments and clothing accessories of synthetic fibres (excluding knitted or crocheted ...,0,0,0,0,0,0,0,0,0,1,,25,3,26,24,36,104,56,116,135,51,,547,655,1915,1002,1861,1287,1538,1857,1120,2406
521111,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",0,0,0,0,0,0,0,0,6,1,,1,8,0,0,1,7,0,0,7,12,,90,155,105,940,254,538,204,36,54,121
481920,"Folding cartons, boxes and cases, of non-corrugated paper or paperboard",1,0,1,4,0,7,1,0,0,1,,30586,28067,23558,7061,7137,2779,5580,5042,3979,2040,,7862,9266,11129,14180,19918,16750,23843,20883,17799,33163
392059,"Plates, sheets, film, foil and strip, of non-cellular acrylic polymers, not reinforced, laminated, ...""",111,0,0,0,0,0,5,0,0,1,,235,473,413,378,53,629,320,264,276,1205,,8412,7816,6786,7434,6905,8464,10598,9691,7854,12003
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",19,12,1,1,449,8,99,0,1,1,,52167,53008,44522,40965,34554,38984,58909,39542,48589,58754,,16200,13450,15274,14015,16830,18139,20826,21631,17453,27793
251110,"Natural barium sulphate """"barytes""""""""",0,0,0,0,0,0,4,0,0,1,,770,868,865,483,179,105,201,419,38,250,,13416,2337,2098,3218,2590,3640,3988,5733,3800,6176
960500,"Travel sets for personal toilet, sewing or shoe or clothes cleaning (excluding manicure sets)",0,0,0,0,0,0,0,0,0,1,,649,832,1099,478,492,240,467,391,378,530,,2090,1015,1052,1252,1175,1431,1236,1469,568,484
846229,"Bending, folding, straightening or flattening machines for flat products (excl. numerically ...",3409,50,126,25,5,46,662,142,338,1,,1892,3221,2698,1679,1423,1905,9774,1342,1525,1372,,150481,85044,65383,59794,70395,75161,83137,95142,69360,53183
820412,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, adjustable ...",1,8,0,23,0,1,1,0,9,1,,1030,1170,1057,1155,1569,1780,1579,1560,1325,2584,,6503,3633,4327,5869,5787,5944,5704,7791,5786,6797
820110,"Spades and shovels, with working parts of base metal",0,0,0,0,3,0,0,0,0,1,,178,100,220,195,191,51,42,307,536,1277,,88,72,47,66,80,95,744,1238,2061,2414
830820,"Tubular or bifurcated rivets, of base metal",6,0,1,0,0,0,0,1,4,1,,428,104,428,261,180,171,256,378,176,243,,4261,4240,4816,3960,4249,4405,5939,5605,4463,8698
854470,"Optical fibre cables made up of individually sheathed fibres, whether or not containing electric ...",0,2,0,1,2,2,14,16,13,1,,13332,8562,6013,7088,7549,7276,4502,3072,12875,15346,,26016,32269,36620,50056,37524,55299,66250,54590,40782,37186
846610,"Tool holders, incl. tool holders for any type of tool for working in the hand, and self-opening ...",42,16,16,24,25,1,1,4,39,1,,611,712,825,540,749,336,879,563,388,312,,31966,21807,24915,17071,22925,22705,29359,25645,19599,28104
540783,"Woven fabrics of yarn containing predominantly, but < 85% synthetic filament by weight, incl. ...",0,0,0,1,0,0,0,0,11,1,,101,4,1,11,3,5,13,16,1,5,,286,238,204,170,285,265,373,411,240,194
540730,"Woven fabrics of synthetic filament yarn, incl. monofilament of >= 67 decitex and with a cross ...",8,0,0,0,0,0,0,0,0,1,,29,32,68,30,26,9,135,17,26,107,,1150,2036,1244,1250,495,584,5892,5871,1302,1600
511130,"Woven fabrics containing predominantly, but < 85% carded wool or carded fine animal hair by ...",0,0,0,0,0,0,0,0,0,1,,66,87,258,93,53,14,0,6,16,12,,1329,1201,542,393,151,2479,3213,2538,1361,2823
560900,"Articles of yarn, strip or the like of heading 5404 or 5405, or of twine, cordage, ropes or ...",2,0,1,10,0,0,11,18,5,1,,868,773,655,678,914,1300,1141,1001,494,1018,,1047,843,776,1073,957,1463,1361,2200,1744,3428
620113,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made ...",0,0,0,0,0,0,0,0,0,1,,266,237,189,217,240,213,309,364,448,1218,,264,594,1117,1092,1164,2871,3211,3926,2161,4988
650610,"Safety headgear, whether or not lined or trimmed",0,12,5,27,10,7,18,9,2,1,,5156,5015,3221,2430,4357,4257,3461,3655,3504,3544,,2414,3092,3113,4367,4781,6529,7476,7378,7850,7520
730719,Cast tube or pipe fittings of iron or steel (excluding products of non-malleable cast iron),2,58,0,355,0,21,28,98,490,1,,1279,3254,1188,815,1873,1112,3319,2944,2806,2803,,10595,7409,6281,6743,5398,7421,16568,17228,9428,12755
900319,"Frames and mountings for spectacles, goggles or the like (excluding of plastics)",17,2,0,0,0,0,0,3,0,1,,12739,13046,13418,8141,5576,3449,2065,2315,8725,3109,,32126,35000,36515,31022,26509,37022,47649,49812,31046,52510
900699,"Parts and accessories for photographic flashlights and flashlight apparatus, n.e.s.",5,0,0,0,1,0,10,59,0,1,,641,1035,702,1813,2286,3246,3819,4499,2930,1326,,7336,9772,7735,11292,9559,11518,5238,6116,4055,7531
902519,"Thermometers and pyrometers, not combined with other instruments (excluding liquid-filled thermometers ...",3,2,1,4,13,0,2,2,0,1,,2453,2270,2007,1521,1746,1546,1258,2545,5176,5273,,13940,15082,18456,15396,16585,21150,28338,32511,237988,59868
950440,Playing cards,0,0,0,0,0,0,0,1,0,1,,286,301,272,302,1107,1049,668,1348,1982,4901,,4816,2450,2263,2733,3339,3315,2140,1835,3465,2111
