Product code,Product label,"Japan's imports from Taipei, Chinese-Value in 2012","Japan's imports from Taipei, Chinese-Value in 2013","Japan's imports from Taipei, Chinese-Value in 2014","Japan's imports from Taipei, Chinese-Value in 2015","Japan's imports from Taipei, Chinese-Value in 2016","Japan's imports from Taipei, Chinese-Value in 2017","Japan's imports from Taipei, Chinese-Value in 2018","Japan's imports from Taipei, Chinese-Value in 2019","Japan's imports from Taipei, Chinese-Value in 2020","Japan's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
843390,"Parts of harvesting machinery, threshing machinery, mowers and machines for cleaning, sorting ...",8718,6341,5948,4770,4360,3819,4288,4178,3611,4812,,50579,48227,49697,45697,39011,41991,41763,39349,40038,52835,,73364,82666,88376,56439,49846,52937,56792,56787,49999,62345
903039,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",2323,2478,3145,3301,3605,3002,3166,4442,4056,4803,,33915,40080,38206,35727,34685,51151,58323,53220,49838,61385,,22040,15954,15529,18433,39723,28838,23614,35953,33046,43948
848630,Machines and apparatus for the manufacture of flat panel displays,18812,2152,5417,31472,7723,20573,9619,31442,414,4799,,168470,217027,256625,332785,409211,655232,658859,563384,665019,664511,,32488,27553,25390,91360,59632,152092,89654,104995,26050,23601
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",3642,3211,3135,2876,3613,3612,3846,4306,3365,4781,,83083,85167,86814,74582,61883,70013,68551,56914,49270,53994,,157558,140101,145258,129675,139530,150018,143985,139744,115050,143890
330430,Manicure or pedicure preparations,10937,10084,10151,10149,8157,7350,6511,6234,4639,4778,,20948,23084,17788,12972,9652,9822,10908,11302,9450,11158,,56487,57391,50213,52979,47911,47178,47056,46788,40876,50647
760692,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm (other than square ...",8,22,244,444,21,5,18,0,225,4755,,25606,25849,19504,13098,10442,10892,10666,8556,7192,12349,,24739,23017,22693,23145,19984,11792,10835,13194,14974,26464
300449,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...""",0,0,0,0,0,2507,2531,4799,4525,4751,,0,0,0,0,0,712,1506,1504,942,1387,,0,0,0,0,0,18134,22887,32427,28733,20049
80390,Fresh or dried bananas (excluding plantains),12210,10683,6735,5113,2821,1959,2691,4481,5871,4737,,0,280,6738,4888,2750,1944,2660,4277,6018,4723,,888504,816124,810489,842591,924257,848679,912586,958477,987382,980587
720429,"Waste and scrap of alloy steel (excluding stainless steel, and waste and scrap, radioactive, ...",5668,6950,3838,1543,1155,2219,2502,3195,1821,4709,,2991,1358,2772,1762,2455,2319,4437,3018,2400,4238,,51563,50899,68473,47707,28618,32090,53875,52602,34724,49387
732399,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron ...",4860,4848,4618,3861,3968,3485,3557,3627,4602,4688,,149303,140279,124338,147142,152880,147078,158319,158129,154691,184863,,116964,134822,142249,133732,139824,139863,150043,145698,170780,200944
830160,"Parts of padlocks, locks, clasps and frames with clasps, incorporating locks, of base metal, ...",4533,4955,5273,4389,4046,4286,4879,4518,4706,4679,,118372,121267,129484,129602,118449,144805,175778,153810,147458,183009,,45964,47131,48776,40141,42412,47171,52956,48361,47833,50263
841221,"Hydraulic power engines and motors, linear acting """"cylinders""""""""",1198,1566,2414,3074,3038,3433,4271,4380,4127,4666,,23497,27321,30999,28589,27309,34965,39732,35467,37880,50815,,160128,156451,176989,171903,157923,192125,218334,219459,193861,241209
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",2026,2265,4276,2450,2816,2865,2341,2341,6134,4659,,237904,257973,291059,311802,349773,428011,483334,388557,290374,287980,,842076,777327,781065,738552,777547,803279,923028,1018275,974089,1029654
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,660,491,456,185,138,224,413,406,588,4642,,1665,1376,1491,1143,13355,19494,40061,36882,27097,58017,,25587,27965,38385,24101,18395,18440,22954,17989,14197,31764
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",6700,6645,7641,7993,5857,5370,6439,8399,4174,4629,,440332,365120,433917,358308,273499,327866,368616,331744,233799,332299,,114072,124884,175939,169954,157664,169017,202922,181862,109044,185132
820600,"Sets of two or more tools of heading 8202 to 8205, put up in sets for retail sale",5019,4788,4702,3775,3417,3530,3521,3413,4040,4622,,120983,122857,130148,146729,161721,179516,202944,255707,245472,290871,,14467,11619,10892,11309,10672,9948,11400,10025,12502,14380
290711,"Phenol """"hydroxybenzene"""" and its salts""""",2422,3491,11433,8226,7437,2810,26,155,127,4616,,211919,192934,140065,86216,90515,22996,26886,56641,123911,109960,,26228,20201,55366,33782,60222,52437,175196,89136,81607,103178
846592,"Planing, milling or moulding -by cutting- machines, for working wood, cork, bone, hard rubber, ...",3365,3144,4872,3834,3873,4327,3325,3297,2099,4600,,55006,59275,64110,68202,70521,84813,89344,85038,100595,142581,,6194,7040,7353,5677,6864,7299,4746,4737,3816,7118
871420,"Parts and accessories for carriages for disabled persons, n.e.s.",4048,4538,4201,3461,4390,5341,4956,4025,4233,4590,,54819,58282,67378,72048,70444,79767,83818,87212,76044,96194,,16632,15480,15750,13851,14548,15175,16678,15501,15339,17615
820570,"Vices, clamps and the like (excluding accessories for and parts of machine tools)",2829,2228,3666,4341,4030,5071,4937,5541,4430,4565,,36607,31417,36609,34367,31281,36040,39585,40567,40481,49402,,23321,19348,22924,22390,21595,21967,22980,27482,23015,22556
540752,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",800,553,774,1388,1665,2388,3154,4703,4511,4561,,819274,838091,835798,802274,709357,684809,703155,697122,533740,642803,,10150,10202,13522,14961,17405,18559,19029,19897,18221,20016
830210,"Hinges of all kinds, of base metal",3992,4294,5167,4823,4698,5778,5453,6660,4344,4546,,88423,127303,172295,187483,171371,198418,180089,158699,230993,285216,,99778,103371,109492,102186,106019,110846,110924,109724,86538,87308
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",11707,0,15569,0,6,1218,3927,2656,3078,4534,,30094,4813,15438,130,170,12798,4161,3433,22185,7137,,342296,485532,766844,542390,420455,379684,597002,258738,134420,1089132
392340,"Spools, cops, bobbins and similar supports, of plastics",2514,1998,2208,2696,1947,2030,2366,2799,3793,4503,,17780,17138,16080,14892,13188,16494,17776,17399,16985,17266,,40133,34226,33940,25211,20970,16065,17833,15651,13944,18618
640690,"Parts of footwear; removable in-soles, heel cushions and similar articles; gaiters, leggings ...",5061,5359,5335,5617,5193,4866,5230,5416,3820,4484,,0,9223,111324,106848,91118,96675,92025,86039,73943,115190,,91920,91452,83029,75246,73956,71868,80970,71887,58088,63560
30743,"Cuttle fish and squid, frozen, with or without shell",0,0,0,0,0,6991,2588,5117,314,4478,,0,0,0,0,0,99645,91287,118455,57096,199806,,0,0,0,0,0,691875,634594,584882,534098,488675
850140,"AC motors, single-phase, of an output > 37,5 W",1880,2237,2170,2648,2789,2835,3243,3371,3475,4470,,43774,53556,57545,53019,51361,52272,56142,48819,57612,78291,,103120,87082,63755,57811,56613,55114,55330,49681,44328,53059
293319,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyrazole ring, ...""",14806,6230,0,16554,2846,10482,7856,10578,10103,4465,,1714,0,104,1112,73,34,275,104,301,236,,64114,49072,50924,58062,52863,67377,56195,77816,77487,79315
720915,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",6497,4244,5286,3634,3010,5015,4396,4625,2649,4448,,15190,12345,16882,10160,9316,14241,13851,10739,8119,19608,,11625,8002,10158,6898,6529,11741,11609,10734,7000,13249
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",6457,8919,10614,10953,8452,4707,5662,5487,3185,4443,,31178,32391,41469,52278,66694,77851,87593,75082,65106,85163,,1063660,1283775,1260871,1084241,1046989,1240408,1259444,1043874,763506,994513
920999,"Parts and accessories for musical instruments """"e.g. mechanisms for musical boxes, cards, ...""",5165,4662,5179,3851,3388,4802,5518,7202,4820,4418,,86212,79895,74664,68794,62334,64012,69566,65224,53274,61599,,57632,54698,57567,52204,51651,51610,54586,54324,41388,42397
730630,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel ...",10742,9950,11833,8388,7708,8339,7858,6290,4343,4377,,44423,35523,44173,36998,38909,51895,69559,46005,34653,56177,,151716,135364,166812,119486,112135,115486,123504,138295,124650,144874
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",166,165,41,1184,2197,2685,12885,10065,5073,4280,,5904,10591,5976,5735,7907,11146,18693,15530,14398,41188,,37551,36119,35622,37255,39293,42142,59692,61734,49661,80848
820900,"Plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",2810,2809,3251,2240,2596,2859,3500,2961,2019,4278,,27328,27931,33969,26708,24542,32972,38537,46384,44781,53128,,263924,235563,245141,227474,234509,247323,228802,211787,167363,221054
392610,"Office or school supplies, of plastics, n.e.s.",4456,4194,4668,4119,4633,4308,4334,4402,4012,4276,,59753,52001,56126,55996,55939,55054,54853,55591,61099,73230,,238862,229434,237519,224804,219527,218007,228987,224853,206088,211745
846210,"Forging or die-stamping machines, incl. presses, and hammers",4313,4617,5050,5119,2727,4911,5001,6653,6215,4274,,205519,217649,180389,168627,166428,183601,185335,178967,124868,173620,,18500,21836,41016,68440,37734,31165,37347,49115,24916,19376
845611,"Machine tools for working any material by removal of material, operated by laser (excl. soldering ...",0,0,0,0,0,3447,3819,3577,2774,4262,,0,0,0,0,0,68067,65008,138925,96003,68758,,0,0,0,0,0,149336,156635,116759,102518,103677
392049,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",9498,7882,6352,4566,6627,4899,5986,5062,4275,4230,,179339,183032,169616,151598,149616,146714,136086,116454,107169,125369,,29972,30984,34288,33574,38844,33670,32401,24078,18976,21223
250620,"Quartzite, merely cut, by sawing or otherwise, in blocks or slabs of a square or rectangular ...",8893,4887,4917,5658,3460,3440,3652,4019,3339,4220,,1,61,35,175,460,1074,4,761,1159,439,,21079,18652,18957,19137,14725,17850,18086,12944,10867,14887
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",7834,7617,9821,7854,4031,13041,13095,3632,3005,4211,,86580,127324,123265,120564,115962,135232,192416,213745,150283,186269,,94831,104157,133380,136938,134122,143400,183966,253224,223165,272178
290713,"Octylphenol, nonylphenol and their isomers; salts thereof",8018,5950,5655,4122,3531,4002,4280,4960,3496,4191,,68339,54209,54742,39033,32497,39629,40737,35867,26804,32238,,10834,7492,7382,4687,4772,5953,4430,5576,3835,4800
701911,"Glass fibre threads """"chopped strands"""", cut into lengths <= 50 mm""""",2139,1888,2060,2926,4551,5011,5001,4339,3111,4183,,30484,28621,29587,26538,30158,27622,28815,24160,24397,29464,,38595,29444,43102,57590,78872,89533,88658,84282,71620,77839
841990,"Parts of machinery, plant and laboratory equipment, whether or not electrically heated, for ...",6585,7436,7272,6093,9076,7671,8160,5226,5045,4176,,58404,51210,47036,50162,47143,53366,62338,51846,45208,84160,,268285,260586,276299,234516,262284,265963,286668,313945,266478,278476
382478,"Mixtures containing perfluorocarbons """"PFCs"""" or hydrofluorocarbons """"HFCs"""", but not containing ...""",10547,8089,2600,4271,2298,4393,5975,4152,3106,4171,,9891,15149,12231,11751,9385,11067,13047,6570,6814,5801,,51334,45926,39386,33827,29872,40858,50552,42628,34967,41015
848350,"Flywheels and pulleys, incl. pulley blocks",5536,6573,8288,5333,4257,4064,4394,3789,3011,4152,,20191,22691,23993,23715,22098,25700,41304,50905,50033,68420,,243679,282506,333927,309961,305378,328959,329097,299103,226615,263107
870891,"Radiators and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",1572,1444,1377,1355,1841,2351,2270,2653,3027,4145,,89532,83119,80546,81126,78210,71043,64235,68132,79241,92965,,91642,100004,108025,96597,114110,116308,128197,120619,93925,110724
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,8103,5314,4290,4813,5179,5284,5200,3749,4319,4134,,94639,88232,101509,82934,87588,94647,107000,114350,136803,146011,,426647,377493,360756,336620,367607,399046,437413,445535,449043,468909
830890,"Clasps, frames with clasps without locks, buckles and buckle-clasps, of base metal, for clothing, ...",1644,1916,2333,2684,3183,4168,4593,7411,4993,4131,,164236,162715,174856,140153,100499,105251,107978,102155,80680,120501,,20460,20806,22754,25099,24946,24927,27793,28589,20914,21905
711291,"Waste and scrap of gold, incl. metal clad with gold, and other waste and scrap containing gold ...",51900,13232,14790,16009,9244,9625,6726,1190,4747,4121,,221,0,50,324,77,158,0,347,84,6,,328018,206018,154257,163846,118492,166306,156376,152549,205217,231080
940310,Metal furniture for offices (excluding seats),2971,2916,2391,1682,2929,2198,2239,2733,3270,4086,,65225,58091,62110,72780,79892,108688,107490,120758,145669,163726,,24692,22257,22632,20356,26540,24677,25635,30428,29006,45198
330749,"Preparations for perfuming or deodorising rooms, incl. odoriferous preparations used during ...",8599,12211,8534,5891,5912,4823,5798,5923,5595,4043,,34065,38801,32748,31292,28252,25108,27032,22770,22280,23291,,237023,240301,216049,175934,179861,182364,209795,226988,216560,238867
848041,Injection or compression-type moulds for metal or metal carbides (excluding moulds of graphite ...,5199,7066,8342,4213,7415,5735,12069,11967,7748,4038,,78351,74505,76160,66566,68749,63518,70056,66657,47789,49218,,79199,76565,83498,63878,85097,92780,105276,116784,92238,76257
842839,"Continuous-action elevators and conveyors, for goods or materials (excluding those for underground ...",3132,1213,1074,958,1454,1400,2111,4910,2408,4029,,199082,188433,198855,211752,223549,416207,344290,404083,211658,185698,,62564,36094,51883,42201,57754,44764,65975,90899,100957,71406
292029,"Phosphite esters and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives ...",0,0,0,0,0,1589,4005,3992,3558,4018,,0,0,0,0,0,86307,99791,94031,78513,95392,,0,0,0,0,0,7896,11871,12410,10409,14212
871496,"Pedals and crank-gear, and parts thereof, for bicycles, n.e.s.",3993,3945,2720,2523,1915,2520,2239,2850,2418,4009,,84119,83798,90687,87620,93033,109678,124967,141635,162329,257266,,14541,16339,16784,16364,13578,13464,13979,14275,12390,17618
370242,"Photographic film """"incl. instant print film"""", sensitised, in rolls, unexposed, without perforations, ...""",255,1506,1947,2424,1286,1699,1861,1483,1654,4005,,23620,18778,14187,15975,16061,15304,20344,20858,25070,15455,,4537,16242,28195,34314,37911,45477,45411,35124,41562,46517
391739,"Flexible tubes, pipes and hoses, of plastics, reinforced or otherwise combined with other materials ...",4116,3939,3888,3020,2699,2865,3989,2898,2773,4004,,60843,66480,60081,52408,50694,56692,64637,59299,77222,102474,,49651,44799,49243,46597,46109,47830,64939,68323,59937,71326
70511,Fresh or chilled cabbage lettuce,6803,9520,9039,7203,9120,7492,12007,6713,5197,3996,,7209,9519,9525,8982,9390,7346,10223,5958,5281,5806,,13171,14077,11807,10985,18975,15331,19163,10135,9829,8037
282619,Fluorides (excluding of aluminium and mercury),2074,1738,1792,1712,3592,3658,3058,3818,3766,3993,,5149,4893,4693,4733,7779,7692,10595,9248,8932,8293,,13056,12016,14946,16101,29612,34420,34477,34984,29873,23985
320649,"Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring ...",4448,2831,2919,2760,2614,2950,2842,3092,3175,3960,,39371,38038,33451,35394,41061,43288,46129,42493,37589,51593,,73597,74680,76845,69262,70857,78846,83802,77124,67319,72520
190120,"Mixes and doughs of flour, groats, meal, starch or malt extract, not containing cocoa or containing ...",4418,3704,3895,3417,2676,3527,4475,3318,3233,3947,,6444,5019,6214,5589,5242,6180,9083,8546,10224,14728,,123407,121050,124522,112669,103987,116492,107183,102937,106938,119869
330790,"Depilatories and other perfumery, toilet or cosmetic preparations, n.e.s.",3517,4207,4297,6826,6959,5900,5492,2231,1530,3921,,27417,42355,33141,32895,40616,60931,78748,49721,38086,33688,,205735,200440,172951,193423,198053,182138,201539,215829,214801,292349
442199,"Articles of wood, n.e.s.",0,0,0,0,0,3482,5082,5260,3990,3913,,0,0,0,0,0,25086,28675,26436,19778,23134,,0,0,0,0,0,563175,557122,551165,536699,593063
820720,Interchangeable dies for drawing or extruding metal,2949,2436,2231,3893,2842,2344,3247,2508,1727,3906,,35714,34953,35501,32928,30771,35481,34408,24123,23626,30505,,43605,29095,32618,32039,31549,30972,37113,32503,26492,34954
540419,Synthetic monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm (excluding ...,3635,3133,3406,4030,3188,4442,4159,3276,3270,3902,,23063,21899,23449,21953,19270,19801,26313,25370,24042,32493,,48975,44790,43770,28171,23527,26141,22740,22647,20494,24105
291819,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and ...",861,3995,627,1022,1004,2293,2861,2576,3722,3890,,1934,4051,4019,2652,3225,3060,4464,5854,7434,8375,,91984,96350,97843,90192,112643,111606,98557,106036,105370,102735
871690,"Parts of trailers and semi-trailers and other vehicles not mechanically propelled, n.e.s.",5746,5387,6783,7151,7112,7256,3895,4147,3747,3887,,36523,33373,32732,33510,29506,29664,32939,39327,38215,44877,,91529,99460,108779,102013,110602,112243,116584,122942,118728,115902
853720,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",1850,634,506,880,1388,1228,1195,2151,1900,3856,,33675,25983,52596,48491,10126,17127,8763,10556,10870,33148,,28293,21213,46046,47813,40245,44536,41448,39262,39690,53064
580632,"Narrow woven fabrics of man-made fibres, with a width of <= 30 cm, n.e.s.",8386,8321,7471,6889,6173,5570,4709,4087,3510,3856,,170060,179265,182219,176138,170132,171306,173196,174899,154000,196427,,54228,48903,45069,41954,40304,40626,43173,41658,33203,42175
460219,"Basketwork, wickerwork and other articles, made directly to shape from vegetable plaiting materials ...",3608,3561,3356,3384,3332,3240,3508,3563,3607,3849,,328,614,681,894,813,826,734,737,774,670,,79259,77831,74609,64940,61773,63771,60251,58121,55354,60546
940179,"Seats, with metal frames (excluding upholstered, swivel seats with variable height adjustments ...",7902,7913,8482,7305,6303,6674,5736,5205,4680,3848,,136248,128098,106654,106948,113948,122362,135330,126838,105015,130569,,97600,110114,113682,106423,102624,106072,107581,112746,111846,153495
841899,"Parts of refrigerating or freezing equipment and heat pumps, n.e.s.",722,864,1289,1219,863,2320,1946,2962,1525,3801,,32288,23578,23771,23170,26676,26425,23459,23431,21740,28263,,160492,154954,144496,122334,127783,140987,147720,146070,139802,181924
901480,"Navigational instruments and apparatus (excluding for aeronautical or space navigation, compasses ...",836,1287,720,1243,831,1661,2317,3845,4297,3794,,21641,35319,37069,16252,32123,52635,81638,121025,180625,276977,,34038,36236,105455,53881,23926,26960,66089,49782,32705,46095
210220,Inactive yeasts; other dead single-cell micro-organisms (excluding packaged as medicaments),7451,6429,5420,5203,5458,5354,5822,4206,3059,3789,,1060,1083,4623,7075,5535,7658,8724,7430,5036,5810,,42057,32990,34668,44221,39446,52723,43400,45254,42230,42275
761510,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring ...",926,2275,3239,1719,2351,2095,2501,2333,2902,3786,,0,1036,14349,15489,16245,15203,14920,11991,11614,13312,,380896,361658,354502,374446,375195,334947,380442,382571,430817,495012
292249,"Amino-acids and their esters; salts thereof (excluding those with > one kind of oxygen function, ...""",1183,1574,1421,1918,1689,1363,1943,2333,3514,3781,,10036,9993,10144,7718,5379,8621,7189,9368,10065,9664,,152720,148295,136192,143897,166003,484843,660246,266512,681070,294158
400510,"Rubber, unvulcanised, compounded with carbon black or silica, in primary forms or in plates, ...",1337,1444,1923,1422,2123,3860,3817,3842,3117,3776,,3033,4082,3339,3339,4289,6045,5010,5677,12042,17486,,67766,55977,51690,25763,16029,18221,19625,24038,25520,21789
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",5257,5373,4624,5781,6021,4143,4903,3787,3455,3770,,81488,83442,54410,48453,43545,42325,73606,58472,51438,56439,,217074,223035,228225,241637,212766,212136,227774,188567,184704,271148
850590,"Electromagnets and electromagnetic lifting heads, and their parts (excluding magnets for medical ...",3806,3701,2739,3201,3351,3949,3217,3364,2658,3769,,81331,79172,80301,62484,64165,78152,77968,59048,53114,70467,,210657,187479,181479,163871,160200,166458,174963,150275,129052,173250
283325,Sulphates of copper,664,987,1069,597,450,745,2545,631,1571,3768,,87568,89042,89424,73726,56702,73803,94438,70632,73419,113085,,9471,7998,6803,5184,4953,5846,6715,4995,5290,6431
845710,Machining centres for working metal,30138,30653,31763,29897,39172,30682,45692,44086,8098,3767,,1403744,1107965,1264923,1111634,1062312,1205321,1369773,1006522,700861,936213,,84229,103606,95849,82532,97012,84296,134856,144417,82218,58479
392043,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",6624,7101,5357,3543,3404,2976,3369,3244,3158,3762,,53951,42207,48104,41153,40206,37706,40946,34890,39159,37042,,28700,29014,27833,25777,24603,24097,26606,28360,26821,30107
740819,"Wire of refined copper, with a maximum cross-sectional dimension of <= 6 mm",3684,3538,4243,2354,2259,2758,3226,3043,2897,3754,,233308,213968,339466,271728,210818,239027,210278,130772,129966,201697,,21093,29041,25753,35580,30318,31217,28149,25342,23707,43274
841290,"Parts of non-electrical engines and motors, n.e.s.",2398,2321,2068,2149,2080,2894,4875,4671,3426,3738,,42905,37502,31437,25208,23472,31101,38759,36261,31265,37633,,198423,188730,158919,170936,177873,176525,205064,205163,158157,197386
370244,"Photographic film """"incl. instant print film""""m, sensitised, in rolls, unexposed, without ...""",435,554,405,485,2762,4251,2694,2323,2802,3732,,2905,4701,11593,8947,7214,8360,7886,5904,6714,7299,,11902,8143,7859,6034,7912,12847,10046,9853,8452,9703
230250,"Bran, sharps and other residues of leguminous plants, whether or not in the form of pellets, ...",0,0,728,1036,730,1351,1871,2205,2142,3726,,17,39,328,346,378,366,364,299,980,2868,,12952,13744,15500,9530,9377,10765,9922,10087,11661,13554
846090,"Machines for deburring, grinding or polishing metals, metal carbides or cermets (excluding ...",7286,6254,9667,9244,6761,4987,6151,5947,4266,3710,,189595,52850,78766,32814,70499,30915,38967,26592,31428,30154,,33241,19277,25344,43077,24291,21126,24060,23477,10481,11429
846150,"Sawing or cutting-off machines, for working metals, metal carbides or cermets (excluding machines ...",3770,3786,3636,4729,4679,7065,6740,6118,4101,3696,,188708,173341,174765,145062,137630,159073,161817,133192,93849,123013,,24282,19633,23352,21496,23364,23152,22671,23363,24029,18010
291030,"1-Chloro-2,3-epoxypropane """"epichlorohydrin""""""""",0,41,0,0,0,0,0,0,0,3692,,46028,31454,20742,21132,16827,15197,18152,25734,16711,15885,,30169,15839,17541,15330,19058,11256,14555,13263,9944,20375
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",5213,4871,5748,4840,5208,4308,4183,4140,3653,3688,,34166,34330,24709,23560,23489,23921,25555,24578,26594,26188,,29324,26439,31851,30932,27955,26475,28347,26505,22832,20818
846719,"Pneumatic tools for working in the hand, non-rotary type",3850,4914,4627,3170,3774,3201,3043,3347,3147,3682,,205355,189818,209817,250571,258515,264437,269149,265143,299518,371689,,9953,13774,13408,10498,11604,9954,9414,8370,8378,8225
845221,"Automatic sewing machines, industrial type",3022,4371,4846,3392,3770,3781,2853,3681,2757,3650,,16645,21529,19620,20438,24245,27536,34933,40622,34282,51538,,16342,16698,9710,8564,11030,11798,10370,15503,7662,7907
940690,"Prefabricated buildings, whether or not complete or already assembled (excl. of wood, and modular ...",0,0,0,0,0,375,290,200,377,3644,,0,0,0,0,0,6616,7928,19751,22293,27114,,0,0,0,0,0,63118,66769,77865,57826,72294
830300,"Armoured or reinforced safes, strongboxes and doors and safe deposit lockers for strongrooms, ...",1434,1282,2083,2337,3152,3253,3374,3698,3091,3612,,8986,8148,5853,5875,7224,6699,7537,7304,6127,6897,,20767,21531,23689,23571,30960,28664,26020,25833,22184,21393
30489,"Frozen fish fillets, n.e.s.",8376,7494,7717,7323,8344,6344,6114,6741,3216,3574,,0,5246,96389,86784,102902,113943,75530,79511,92537,80448,,681492,518143,545405,494155,512923,530844,552422,590435,499479,494904
320890,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",4014,3984,3715,2777,2263,2435,2578,3378,2358,3570,,70655,70971,83162,70716,66173,68043,69867,67261,80453,86996,,89105,87851,95992,88492,85791,95194,107564,116714,108197,133036
851890,"Parts of microphones, loudspeakers, headphones and earphones, earphones, audio-frequency electric ...",3420,4155,3560,3619,2321,3207,3515,4446,3990,3560,,161152,158512,152700,148389,146593,158099,142983,131454,121372,148695,,39351,40011,38521,38531,37007,39227,38970,46148,49767,60975
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",564,931,1194,1240,1088,1647,2431,2217,2098,3549,,22464,16163,13825,11020,10206,10773,11971,11501,10331,16054,,279822,272676,363415,393197,390166,359125,322015,348249,261644,326913
830110,Padlocks of base metal,3906,4476,3894,4249,3975,4088,4220,4232,3263,3531,,19169,21296,23226,21659,19701,23506,29460,28988,25565,31352,,14405,14745,13456,14152,11954,14136,14347,14670,12493,12357
847290,"Office machines, n.e.s.",1390,2101,2766,2757,2965,3997,4382,3312,2427,3529,,106170,90100,82656,70028,69221,75263,67031,58029,51107,58216,,283424,274409,178912,147464,137802,133788,142706,138480,136797,141434
650500,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile ...",5448,6459,4996,4263,4045,4580,6679,6200,5971,3519,,0,3008,54006,54905,55115,54677,49175,45597,41213,48824,,400767,406209,407325,396173,375550,376322,415279,415856,356373,361421
681510,"Articles of graphite or other carbon, incl. carbon fibres, for non-electrical purposes",1198,1231,1858,1703,4041,1945,940,1892,2161,3516,,3384,2807,8462,4833,10223,13210,16380,22774,31555,42307,,186215,178642,186812,202444,212883,230697,256714,253659,185465,137842
853190,"Parts of electric sound or visual signalling apparatus, n.e.s.",3754,5099,6547,4075,2865,1700,2155,2246,2499,3506,,97016,119256,133588,112475,92243,106694,104446,119009,87286,140242,,72742,72370,71117,71066,60128,59694,65131,66181,64112,63436
950440,Playing cards,631,604,777,293,536,629,988,1669,2751,3491,,16873,13742,15653,11389,11458,12836,15985,19930,21221,27507,,39230,36513,18716,16242,20265,21889,18960,23317,43152,41123
848360,"Clutches and shaft couplings, incl. universal joints, for machinery",1452,1337,1814,1891,1936,1824,2163,2497,3583,3488,,9276,7866,9070,8566,10799,13132,12519,10343,9972,14176,,75440,78682,79778,77682,72226,70781,74123,78135,71008,73981
630140,"Blankets and travelling rugs of synthetic fibres (excluding electric, table covers, bedspreads ...",1417,2302,2598,2292,2210,2723,1378,2442,3473,3473,,1760,1306,2552,1218,1487,1785,1425,1235,452,1566,,213341,189902,170757,137252,129581,142944,156549,141565,151573,158395
