Product code,Product label,"Australia's imports from Korea, Republic of-Value in 2012","Australia's imports from Korea, Republic of-Value in 2013","Australia's imports from Korea, Republic of-Value in 2014","Australia's imports from Korea, Republic of-Value in 2015","Australia's imports from Korea, Republic of-Value in 2016","Australia's imports from Korea, Republic of-Value in 2017","Australia's imports from Korea, Republic of-Value in 2018","Australia's imports from Korea, Republic of-Value in 2019","Australia's imports from Korea, Republic of-Value in 2020","Australia's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
731829,"Non-threaded articles, of iron or steel",177,123,87,112,152,584,627,577,335,427,,22497,25804,37349,41920,53549,51894,56823,54663,55608,57117,,63170,52099,57806,53670,47209,58576,63819,64435,55261,57568
853190,"Parts of electric sound or visual signalling apparatus, n.e.s.",137,132,162,107,236,236,293,484,434,427,,4631435,5385198,4298800,5253553,6232786,69628,43174,43976,36242,36623,,61248,61928,58371,55547,52350,56783,52871,50977,38260,55985
843850,Machinery for the industrial preparation of meat or poultry (excluding cooking and other heating ...,216,193,467,376,407,490,399,316,137,422,,10173,5162,6528,6277,9900,14675,11857,13643,9429,11446,,68808,51146,56332,55373,46427,48611,58144,54217,42128,51059
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,612,366,282,326,91,93,231,254,810,421,,176987,184151,217250,218311,166318,268103,360610,376249,470741,673273,,428981,361505,268472,206779,147314,104855,109963,68937,67140,71041
392049,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",2272,2425,1844,1515,1064,645,494,550,536,420,,120860,123006,117184,114034,110612,124335,117136,116246,137989,156947,,63310,59180,55520,47938,42082,39035,41193,37259,34293,38106
360610,Liquid or liquefied-gas fuels in containers of a kind used for filling or refilling cigarette ...,233,255,270,264,226,228,233,278,284,419,,7083,15113,16751,13905,11217,6527,4724,4053,4582,4431,,701,690,768,837,933,812,919,987,1124,1205
560312,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",117,95,113,109,323,99,328,217,678,419,,54373,65482,71272,68455,57973,61394,55012,54745,68722,49636,,24768,23291,15400,13685,16832,15739,13876,11728,19688,21660
741121,"Tubes and pipes of copper-zinc base alloys """"brass""""""""",2657,660,624,212,489,0,6,47,96,417,,25009,44665,34192,21682,21017,24937,25999,21315,11668,16261,,9217,5519,7735,7357,3428,5074,5652,4684,4005,6733
300420,"Medicaments containing antibiotics, put up in measured doses """"incl. those in the form of ...""",0,0,0,0,0,110,138,0,154,410,,107868,119059,113213,110230,104833,121778,124226,132262,135709,136265,,480537,410277,291815,180652,160070,181173,142966,140354,142759,114802
730722,"Threaded elbows, bends and sleeves of stainless steel (excluding cast products)",76,170,191,220,256,275,311,327,327,410,,19318,20765,24869,27851,18411,20514,22147,27044,19624,28718,,4603,6424,7369,6540,5288,5070,7094,6448,6575,8343
850152,"AC motors, multi-phase, of an output > 750 W but <= 75 kW",265,189,345,729,408,931,712,794,462,409,,49725,62513,74897,97209,123620,101073,91511,93086,86132,127401,,83777,72354,78710,65227,60117,69668,74503,70331,68428,70989
843242,Fertiliser distributors (excl. sprayers and manure spreaders),0,0,0,0,0,418,209,62,204,407,,0,0,0,0,0,2316,1486,556,829,1571,,0,0,0,0,0,15417,14284,13252,15904,24208
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",1194,813,3956,3180,1230,3475,3557,269,59,406,,729660,688373,604948,510396,466910,487078,550968,404777,459548,756471,,62116,46834,65466,67951,149139,191173,211011,169901,166454,296176
381239,"Anti-oxidising preparations and other compound stabilisers for rubber or plastics (excl. mixtures ...""",0,0,0,0,0,132,165,116,148,405,,0,0,0,0,0,163082,178833,179815,179718,209178,,0,0,0,0,0,13291,12915,12244,11136,14442
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",140,134,271,126,264,260,254,244,204,404,,294711,280746,317579,298080,262939,307163,367140,290994,222731,468282,,11040,6416,6232,6320,4973,5511,5176,6781,7345,8832
481019,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres ...",67333,40436,43646,34177,56717,17306,1290,1314,1409,403,,1182100,1177544,1015781,882165,778027,731120,740000,665101,473295,499968,,210978,176007,172239,145708,125139,122889,107345,93278,56809,85339
650500,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile ...",384,752,225,228,144,216,342,373,319,401,,22123,23541,31350,23809,28030,33671,40341,48531,49826,75251,,69270,74320,81777,82660,84552,87639,92346,97905,89805,127061
540753,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",110,193,509,426,941,449,697,452,490,393,,30238,35158,43168,48096,53058,62451,63370,61143,53900,75601,,1801,1381,2259,1763,3060,2326,2527,2530,2990,3230
847982,"Mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring ...",388,353,470,881,268,477,1214,1540,5445,390,,93985,93764,70208,88181,93398,105745,239245,252412,224770,299902,,48092,46983,45348,37328,39032,59230,46751,60431,58828,75245
400931,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",2849,2065,1753,1592,663,382,369,427,351,388,,15176,19420,29154,31015,42032,37970,43117,35903,32912,35960,,53518,45490,45788,41995,37574,39447,39380,36104,32949,37140
950699,Articles and equipment for sport and outdoor games n.e.s; swimming and paddling pools,1062,1275,1428,1115,1392,1142,799,633,522,387,,48398,54468,49904,46567,43604,47588,42313,41171,38490,50484,,155535,155143,158061,155931,144967,150302,149929,154701,167516,231015
732599,"Cast articles of iron or steel, n.e.s. (excluding articles of non-malleable cast iron, and ...",983,540,361,273,265,326,729,563,507,387,,214796,155836,171561,139997,116037,138957,153936,152452,133785,164579,,44993,45810,47381,40332,39124,47828,47997,42988,33394,42266
730723,Butt welding tube or pipe fittings of stainless steel (excluding cast products),3654,434,990,1139,173,116,384,156,434,387,,118084,122851,103106,88696,70784,75939,73342,87137,90848,105882,,20349,8517,9794,9466,8943,8617,12449,10424,12066,15495
851660,"Electric ovens, cookers, cooking plates and boiling rings, electric grillers and roasters, ...",836,335,149,81,134,172,96,149,164,386,,56929,88933,104696,118053,136247,135203,151892,173333,212562,315470,,218180,222573,250574,228095,245585,272824,278671,252531,310737,371625
160419,"Prepared or preserved fish, whole or in pieces (excluding minced, merely smoked, and salmon, ...""",239,193,149,166,147,166,236,191,229,386,,7677,8197,7140,5505,7024,5803,6505,7065,8062,9287,,45392,53073,46329,32444,38406,48856,54129,50354,55641,67042
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",899,754,571,399,273,509,345,300,313,385,,232245,277113,389844,399846,404017,399100,490205,485095,396894,450698,,217296,124632,142959,141885,100215,162270,167075,158866,151771,160321
30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",358,418,486,404,308,133,272,413,379,383,,12813,11332,13700,10787,13829,8968,5796,8046,7382,7648,,2888,2691,2635,2700,2688,2253,2128,2085,2466,2555
840490,Parts of auxiliary plant of heading 8402 or 8403 and condensers for steam or other vapour power ...,23,0,39,330,259,234,266,447,5,382,,30327,27579,39203,45894,43844,35716,25193,16142,7455,4915,,12174,21874,5448,5099,2426,6448,8600,2493,6966,8261
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",622,379,602,464,536,739,358,408,358,382,,57743,55427,71598,54975,59473,69699,85289,80917,64469,86696,,325876,263294,216044,188798,173019,205465,224950,194373,188144,179669
722790,"Bars and rods of alloy steel other than stainless, hot-rolled, in irregularly wound coils (excluding ...",1007,0,390,0,0,0,0,0,864,382,,31830,35548,87253,90142,99656,115299,122715,146104,165885,244681,,16375,13849,6329,10021,2600,2521,7201,2311,2090,2793
160249,"Prepared or preserved meat and offal of swine, incl. mixtures (excluding hams, shoulders and ...",200,242,226,169,223,179,289,261,433,378,,1739,2829,3550,4935,4491,3961,4401,4234,11125,19619,,8973,8755,10503,18090,14029,19024,21866,25203,25967,32564
392530,"Shutters, blinds, incl. Venetian blinds, and similar articles and parts thereof, of plastics ...",77,164,56,227,132,398,440,409,165,377,,5406,5753,6791,6329,7119,6778,7786,10169,11149,12410,,43722,43782,46397,53380,58013,66653,77390,72284,85824,104817
841990,"Parts of machinery, plant and laboratory equipment, whether or not electrically heated, for ...",6714,1371,712,2360,298,1479,318,755,560,376,,378258,258505,394846,229843,175450,160696,138028,149712,163548,192804,,70376,124271,162301,142406,61761,78046,64610,76516,66441,85222
841360,"Rotary positive displacement pumps for liquids, power-driven (excluding those of subheading ...",1240,1329,694,626,591,239,391,296,218,376,,67813,62173,62015,65899,135529,147091,162738,156695,165506,187701,,88985,78420,80035,85660,67314,87765,87714,94525,89662,103454
480100,"Newsprint as specified in Note 4 to chapter 48, in rolls of a width > 36 cm or in square or ...",23625,17842,20187,17725,14357,10586,822,37,267,376,,427202,464095,434507,362105,388840,267061,288124,111360,48838,48291,,70996,47549,42893,35995,30474,22586,11236,18177,48655,32665
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",720,621,511,232,291,505,516,353,314,373,,60806,62228,82807,86569,97188,85516,83452,88089,86430,99164,,109720,93988,100399,89272,79082,98003,109900,122594,118471,127447
721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",1775,956,841,691,757,639,783,1179,1127,373,,486487,409565,429072,445015,416600,438174,454295,404841,339375,438368,,28261,25272,23490,25420,20654,22916,28450,22565,20393,31323
730630,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel ...",8029,3759,212,1056,541,328,1192,666,73,372,,433036,425247,415429,309706,359000,361947,367595,301786,253638,323301,,125459,80820,75272,71558,65233,93701,113296,115661,100632,143322
850870,"Parts of vacuum cleaners, dry cleaners and wet vacuum cleaners, n.e.s.",134,171,167,184,120,52,180,587,343,371,,30785,54227,88098,49063,39348,35964,17441,15445,27069,50315,,8650,8981,9468,7941,8498,7440,9166,12534,12020,14382
392071,"Plates, sheets, film, foil and strip, of non-cellular regenerated cellulose, not reinforced, ...",3,8,25,36,36,300,481,450,573,371,,7657,7847,8199,10244,11253,11957,12246,13341,13273,15595,,5297,4859,4176,4409,4057,3754,3770,2460,3373,3522
330510,Shampoos,778,764,860,620,213,218,509,2654,1208,370,,30380,40422,62205,97466,120508,118151,137603,156144,160335,203082,,62925,61122,64760,65999,61090,69378,86560,83461,88169,95221
540248,"Filament yarn of polypropylene, incl. monofilament of < 67 decitex, single, untwisted or with ...",38,2,480,553,703,718,969,778,452,368,,30700,29493,31632,28312,24433,22294,21655,18317,15585,20537,,504,453,885,1042,1233,1158,1386,1134,674,806
380991,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",1760,1541,1415,481,265,324,359,235,43,366,,62444,115057,112640,109212,69027,80736,96083,92082,94129,123119,,12497,10787,10569,9246,8951,8478,9421,7141,8375,10046
320890,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",312,481,529,768,389,449,123,173,205,363,,313865,328286,374012,367943,327679,345994,375499,360856,334727,363713,,55151,55485,61097,62435,56990,57932,61871,55362,55696,71389
903031,"Multimeters for voltage, current, resistance or electrical power, without recording device",359,250,269,271,181,292,405,271,172,361,,11195,12617,11752,13074,12756,21497,23403,22293,16047,21140,,9253,9463,8979,7951,7394,9401,10491,9553,9272,13324
850140,"AC motors, single-phase, of an output > 37,5 W",1835,2809,2990,855,571,634,635,483,554,360,,70690,63042,69214,47392,38725,54791,63911,65119,71105,75043,,49582,57044,56223,54208,52755,57230,59402,51253,52934,59986
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,439,526,419,432,441,367,390,338,363,356,,20208,32407,35632,31214,29848,24738,27020,22376,15273,20354,,56210,56386,53753,46916,47446,48092,48469,49009,46133,52522
841239,Pneumatic power engines and motors (excluding linear acting),311,288,555,422,1109,510,440,536,366,354,,11677,10661,12297,10557,17557,17036,23307,20990,18324,19177,,22110,23723,19860,20104,21005,22317,25412,29313,25927,19396
570320,"Carpets and other floor coverings, of nylon or other polyamides, tufted """"needle punched"""", ...""",1000,1874,2077,1867,1840,1465,599,701,405,353,,27076,34759,34740,34630,28104,18124,22530,13786,15210,19915,,95310,119999,88628,86032,94344,103565,111059,90027,81814,93047
903281,Hydraulic or pneumatic regulating or controlling instruments and apparatus (excluding manostats ...,172,142,142,674,687,474,154,139,270,350,,15377,17647,15987,15848,33404,30997,59390,41535,63788,86378,,9002,12912,7868,8095,9005,9083,8999,8225,6994,7116
482190,"Paper or paperboard labels of all kinds, non-printed",4,35,21,75,51,5,306,76,255,347,,23191,33805,20719,12789,11678,17597,20310,18120,12529,11464,,9025,9585,9973,7515,8441,11328,11511,10954,8523,13649
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,0,0,33,0,0,0,0,0,4,345,,62330,55912,81997,86448,77011,80486,82659,119648,140300,222801,,725,163,128,589,22,513,121,322,324,1790
90422,"Fruits of the genus Capsicum or of the genus Pimenta, crushed or ground",250,227,138,135,176,155,213,367,377,344,,12149,11335,10944,12655,12114,11738,13402,15580,17836,18788,,9725,9169,9767,10032,11307,10520,11611,11546,13209,16408
160414,"Prepared or preserved tunas, skipjack and Atlantic bonito, whole or in pieces (excluding minced)",653,841,858,407,470,585,454,280,262,344,,22332,20373,13408,12852,11904,11435,13314,15061,17965,21324,,247811,265123,245786,212995,207580,223213,238874,219082,205401,192454
848071,Injection or compression-type moulds for rubber or plastics,8137,1142,9754,1044,867,240,520,409,349,343,,1246779,1353993,1548066,1293151,1261133,1293402,1243994,1267662,1301489,1075496,,45480,25362,39105,23812,28887,27084,31765,26256,25441,29638
903032,Multimeters with recording device,102,330,209,366,103,144,172,367,164,343,,1689,1856,4006,2665,4128,4467,9604,9032,3689,4340,,4608,4778,4874,4628,4169,3883,4987,5691,5757,8092
811090,"Articles of antimony, n.e.s.",273,248,245,164,156,320,179,129,183,343,,164,232,0,0,8,15,11,0,1,0,,1385,1538,801,600,617,1126,405,294,311,471
841821,"Household refrigerators, compression-type",254,323,454,302,571,351,370,471,421,342,,15319,19390,10895,9909,12721,12582,9826,7293,7362,10797,,44159,46136,42336,48313,39534,39135,47014,46993,55721,69803
320820,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",61,2,0,115,1,0,0,2,20,339,,96339,117762,120234,118717,139743,135098,140533,127384,122337,140811,,33294,27929,31705,31349,31732,34753,41723,38562,38205,47227
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",7573,4167,3863,3854,2803,1847,1312,444,141,339,,506587,358455,322235,272943,227157,270314,217059,184954,128234,129410,,949682,958133,866669,767634,561250,496871,459543,406577,346389,412353
902300,"Instruments, apparatus and models designed for demonstrational purposes, e.g. in education ...",236,667,192,199,316,640,608,250,397,338,,43128,39469,42727,41369,47291,42182,32258,46604,50199,24191,,82250,81987,110341,45454,42453,40176,58369,51248,47148,67283
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",11,133,155,597,41,12,11,59,114,336,,15632,13368,13805,12162,13967,15405,21634,21519,35419,51635,,171156,193042,193755,186448,199393,230239,251281,265483,275397,406885
846024,"Grinding machines for finishing metal, numerically controlled (excl. flat-surface, cylindrical ...",0,0,0,0,0,1,0,0,0,332,,0,0,0,0,0,5849,12568,28979,11888,3963,,0,0,0,0,0,71,1089,192,1037,1017
690721,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,454,959,711,606,332,,0,0,0,0,0,72,238,1237,1639,1521,,0,0,0,0,0,225136,241273,208419,202682,226253
392630,"Fittings for furniture, coachwork and the like, of plastics (excluding building components ...",144,220,231,385,389,357,339,310,302,331,,50995,92173,144179,172069,212173,201093,216465,201998,159367,181468,,14471,15110,14910,15493,15125,16974,18291,17330,16940,19121
330491,"Make-up or skin care powders, incl. baby powders, whether or not compressed (excluding medicaments)",87,198,292,172,288,291,408,437,211,331,,18243,18585,23658,28447,31599,30803,34761,42198,38985,44425,,31956,32948,37574,41934,45448,47600,45352,39623,30733,35690
853521,"Automatic circuit breakers for a voltage > 1.000 V but < 72,5 kV",44,18,16,30,11,102,72,465,190,330,,45310,50056,63575,52877,52980,48293,57106,50779,49120,66202,,26847,20349,14296,10394,8150,11554,13517,11776,8347,9341
300640,Dental cements and other dental fillings; bone reconstruction cements,102,69,112,201,132,144,99,133,197,330,,22089,25844,28738,31831,38901,45489,52389,62171,53667,77089,,52979,42975,42895,45257,54477,49938,52215,49300,44434,54747
851290,"Parts of electrical lighting or signalling equipment, windscreen wipers, defrosters and demisters ...",1888,4590,2112,1292,1045,701,635,577,723,330,,285867,317538,391638,377323,332438,305842,373273,380505,345886,415766,,26915,31464,27204,25539,25054,26115,22379,22678,23815,28214
391890,"Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles, ...",44,43,41,28,96,51,101,114,267,327,,8255,11951,14235,12356,14870,20245,15495,17237,20109,16190,,12051,12171,12027,13127,17809,21648,25183,27694,34244,41969
851650,Microwave ovens,2292,1426,796,1097,634,418,351,94,755,326,,83286,62269,59163,61457,59113,66560,30674,2806,2271,227,,100403,90236,96011,87331,77315,93354,90647,83096,96541,92372
591131,"Textile fabrics and felts, endless or fitted with linking devices, of a kind used in papermaking ...",585,381,595,525,529,563,732,597,363,324,,220,220,71,434,7180,11064,10781,9172,7981,7137,,5103,5485,5541,4773,3983,2946,2684,4346,3638,2655
611599,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",13,2,1,29,9,16,28,15,350,324,,8304,9980,5808,5394,4710,5873,3253,2997,2338,2124,,3123,4387,5653,6530,4920,5672,6778,6804,7788,12043
590610,"Adhesive tape of rubberised textile fabrics, of a width of <= 20 cm (excluding that impregnated ...",327,256,309,307,419,471,401,372,526,323,,4328,4996,9527,7741,9796,12616,15072,19299,24425,26001,,2212,2090,2059,1849,1717,2060,2373,3129,4005,3556
852610,Radar apparatus,104,150,218,114,103,46,18,102,141,323,,10760,7791,7638,9213,12995,31390,146734,147694,115751,104849,,59255,60143,67902,85272,89970,91110,81476,89382,64790,82662
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",418,372,633,711,376,907,816,1191,443,323,,17672,20469,30309,21066,19149,17614,17690,24783,20975,19469,,443212,465384,494440,484143,482047,484796,492654,497028,483508,573046
51191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, ...",2556,2988,1971,1469,703,917,45,104,122,319,,14097,19176,19854,8427,9077,11326,11516,24050,13623,13911,,21600,28284,23542,15682,15588,18663,18180,19743,18987,20659
160559,"Molluscs, prepared or preserved (excluding smoked, oysters, scallops, mussels, cuttle fish, ...",99,183,158,153,223,281,225,324,329,317,,4807,6441,9007,7649,7612,8208,8157,13816,10408,10157,,2736,2847,2276,1411,1465,2578,2492,4195,4895,5865
390430,"Vinyl chloride-vinyl acetate copolymers, in primary forms",230,164,155,101,159,186,148,114,135,316,,16996,20109,24205,21126,22048,25006,24824,23407,30071,48501,,1201,1267,1172,755,919,751,685,379,615,838
930690,"Bombs, grenades, torpedos, mines, missiles, and other ammunition and projectiles, and parts ...",691,643,535,478,323,276,177,306,309,313,,28500,29067,67043,36734,43777,102685,203546,58255,237213,446916,,247661,254806,217968,153499,248864,165966,182926,206450,90104,226441
282550,Copper oxides and hydroxides,4731,2237,0,0,0,0,0,195,355,310,,12744,9765,11153,7465,8543,10921,8955,11598,10889,7994,,8474,6364,4419,3889,5696,5111,6391,5492,4305,8276
901850,"Ophthalmic instruments and appliances, n.e.s.",175,273,158,95,121,92,179,161,275,310,,52553,53324,55903,50654,52017,54837,64533,67204,54272,77518,,90524,82715,88476,83906,78928,76546,86767,91896,82894,98305
590320,"Textile fabrics impregnated, coated, covered or laminated with polyurethane (excluding wallcoverings ...",359,308,483,299,213,228,362,262,204,310,,613898,637367,651090,592733,606124,605245,602952,554653,456817,579822,,8174,7678,8368,9062,8051,6177,6494,5714,5477,8439
843110,"Parts of pulley tackles and hoists (other than skip hoists), winches, capstans and jacks, n.e.s.",117,101,241,597,516,816,827,2387,2086,309,,46543,32432,28696,26472,16348,12944,16269,18052,12975,15240,,19933,26388,22053,19776,16022,21644,19477,19409,17575,19226
701990,"Glass fibres and articles thereof, n.e.s.",206,89,107,117,150,163,489,272,195,308,,23011,25116,35930,31521,36008,36855,52775,52992,48097,48149,,22347,27727,23284,22124,19765,26492,30734,32130,30974,30498
850990,"Parts of electromechanical domestic appliances, with self-contained electric motor, n.e.s. ...",49,101,55,47,302,154,174,174,286,307,,20785,25716,25976,16801,8652,9181,8638,9378,8777,10822,,3217,3978,4219,4826,3915,4866,3435,5226,4858,6325
845180,"Machinery for dressing, finishing, coating or impregnating textile yarns, fabrics or other ...",5,3,0,29,25,5,92,62,410,307,,112710,108992,129533,104515,111063,135130,109754,95300,96837,140005,,4074,7630,3013,3877,2814,4069,5643,4414,4008,4825
940560,"Illuminated signs, illuminated nameplates and the like, with a permanently fixed light source",316,268,351,168,200,261,1248,525,144,305,,24962,33801,34373,31196,41111,27902,21274,21825,21274,15316,,21153,24350,32351,34486,40910,47593,50501,35134,13478,30500
200990,"Mixtures of fruit juices, incl. grape must, and vegetable juices, unfermented, whether or not ...",35,31,39,63,38,49,63,73,134,304,,2021,4341,13043,15218,32077,32605,37000,32253,27949,37828,,13656,11983,11210,9518,8004,8796,7697,6952,8640,8889
830241,Base metal mountings and fittings suitable for buildings (excluding locks with keys and hinges),662,413,221,232,355,387,397,686,316,299,,7267,9598,10250,10622,13553,13869,12996,10943,11411,14364,,127074,134710,148195,143206,146980,161896,179792,146804,157118,198466
900410,Sunglasses,8,54,69,115,159,40,57,151,56,298,,6112,9401,9912,18592,29581,34651,28103,31446,33245,76576,,148784,140922,152741,129295,127286,128626,128958,126676,104481,140783
560750,"Twine, cordage, ropes and cables, of synthetic fibres, whether or not plaited or braided and ...",1521,1358,2162,1866,824,645,245,733,271,296,,39195,52019,58146,57033,57099,58507,56696,49442,42117,45934,,15022,18213,18000,15286,13613,12856,13154,15055,12707,16516
850650,Lithium cells and batteries (excluding spent),160,211,246,258,171,130,980,872,108,295,,46883,55405,65854,63285,78434,65067,98076,106751,89355,90828,,20543,22028,24781,24383,18822,20759,21700,27405,26657,32031
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",406,464,167,722,447,2532,450,626,560,294,,521107,599895,714239,702603,723253,832317,845530,826012,721836,847516,,139765,327840,187160,113151,70169,79616,90188,96019,84068,107275
390320,"Styrene-acrylonitrile copolymers """"SAN"""", in primary forms""""",3575,3490,2988,2830,1444,556,217,109,135,294,,241584,240397,250297,190500,167987,207328,268562,260583,235115,368265,,10200,5256,4245,4171,2565,1614,1249,792,530,774
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",800,683,525,573,463,502,453,445,194,293,,193037,181152,213578,213821,168674,231011,285442,233028,174249,244668,,32562,32417,26658,26416,27506,34331,36834,36050,29513,40369
841790,"Parts of industrial or laboratory furnaces, non-electric, incl. incinerators, n.e.s.",57,3212,1174,343,0,19,174,576,151,293,,95708,58950,117015,65402,30531,31173,40386,48589,44606,63855,,17635,14988,12439,29991,11857,25415,14702,12216,10507,23773
480990,"Transfer papers, incl. coated or impregnated paper for duplicator stencils or offset plates, ...",847,887,633,528,571,416,389,241,170,292,,100342,173321,235514,215697,216746,205801,339947,303447,229630,256223,,5088,4964,4648,3658,3244,2623,2250,2301,1918,2653
271119,"Gaseous hydrocarbons, liquefied, n.e.s. (excluding natural gas, propane, butane, ethylene, ...",62,160,93,91,72,199,173,57,198,292,,57853,76713,74318,69914,141799,126329,107718,57981,41696,103854,,335,553,354,678,894,653,453,810,805,1082
851840,Audio-frequency electric amplifiers,679,266,281,414,211,244,324,196,252,291,,87850,85857,67863,35768,29651,25794,27827,24950,33123,52689,,41680,47934,43790,41538,38654,41194,38875,40641,48898,43837
871690,"Parts of trailers and semi-trailers and other vehicles not mechanically propelled, n.e.s.",471,489,370,104,55,161,152,229,119,288,,20374,27067,20651,19873,18109,21613,23471,60976,60721,85878,,217369,227573,251065,195534,205558,233432,257901,234638,227115,367325
900130,Contact lenses,431,218,337,241,254,200,159,280,237,288,,118976,138414,132216,130054,152089,176592,195447,214038,177473,229387,,47454,42219,41851,46365,52958,60442,67104,89062,89493,93599
871160,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with electric motor for ...",0,0,0,0,0,0,0,0,21,286,,0,0,0,0,0,62,156,1746,14719,23093,,0,0,0,0,0,24693,53693,75789,124605,198585
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",228,315,162,1101,340,183,281,281,151,285,,29015,24150,37353,40405,49042,46357,40175,44914,36766,42490,,62942,53259,74501,56863,40820,69871,72220,69316,62397,118523
853540,"Lightning arresters, voltage limiters and surge suppressors, for a voltage > 1.000 V",18,75,152,328,144,228,256,109,286,284,,6453,5506,13392,16426,14122,7873,6978,9199,7901,5989,,11791,11567,10830,9214,10609,13271,15614,10214,9613,10614
480300,"Toilet or facial tissue stock, towel or napkin stock and similar paper for household or sanitary ...",2,0,9,4,12,19,29,3072,661,283,,10621,14827,19465,22504,29177,29882,32698,37778,30210,26277,,191173,133680,145988,156861,149992,167580,172619,156430,145158,104809
740921,"Plates, sheets and strip, of copper-zinc base alloys """"brass"""", of a thickness of > 0,15 mm, ...""",208,334,429,191,254,241,492,293,176,280,,268734,284690,293319,222694,200844,267250,285704,237522,217821,312598,,2603,2244,3802,2753,1753,1621,1222,1063,929,1167
761699,"Articles of aluminium, n.e.s.",452,563,203,1968,231,424,464,731,313,278,,263719,256254,271273,243822,271931,319231,342363,339429,340117,457111,,197820,197728,202345,193157,195690,210251,238111,223514,230804,301393
290129,"Hydrocarbons, acyclic, unsaturated (excluding ethylene, propene """"propylene"""", butene """"butylene"""" ...""",202,75,209,192,310,250,266,214,275,277,,1304,1142,3122,2229,3472,5562,4237,6213,7431,9078,,16011,10322,27641,19003,16271,10654,10313,11427,10485,10622
271099,Waste oils containing mainly petroleum or bituminous minerals (excluding those containing polychlorinated ...,98,6,1,75,172,187,212,174,161,274,,351,152,38,115,43,21,24,33,80,31,,16720,15867,11355,2449,2521,2185,3328,3157,3020,1676
740329,"Copper alloys unwrought (excluding copper-zinc base alloys """"brass"""", copper-zinc base alloys ...""",1163,1077,717,714,396,353,286,350,224,273,,26979,28754,26753,17069,9674,284,2172,40255,4620,5419,,4667,4191,4798,3188,3362,2483,2381,1723,1547,3676
850433,Transformers having a power handling capacity > 16 kVA but <= 500 kVA (excluding liquid dielectric ...,5523,556,120,159,96,5,136,116,146,272,,17577,13765,22056,19493,10814,17953,36385,16186,13978,14217,,37382,39910,20043,21711,19060,18804,18523,12684,11393,4123
