Product code,Product label,"Germany's imports from Taipei, Chinese-Value in 2012","Germany's imports from Taipei, Chinese-Value in 2013","Germany's imports from Taipei, Chinese-Value in 2014","Germany's imports from Taipei, Chinese-Value in 2015","Germany's imports from Taipei, Chinese-Value in 2016","Germany's imports from Taipei, Chinese-Value in 2017","Germany's imports from Taipei, Chinese-Value in 2018","Germany's imports from Taipei, Chinese-Value in 2019","Germany's imports from Taipei, Chinese-Value in 2020","Germany's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
841932,"Dryers for wood, paper pulp, paper or paperboard",2,15,0,2,0,0,0,0,0,276,,6986,3282,3102,3502,7642,4516,6083,6087,3532,5903,,5619,8810,12070,7299,9409,17167,14820,33386,12403,17653
843110,"Parts of pulley tackles and hoists (other than skip hoists), winches, capstans and jacks, n.e.s.",359,251,267,217,202,237,331,305,281,275,,15060,15457,16980,14587,12695,14725,15908,16450,14615,17514,,98302,99537,111111,87774,86199,91612,85230,91819,87596,107436
350790,"Enzymes and prepared enzymes, n.e.s. (excluding rennet and concentrates thereof)",134,140,241,139,38,46,4,140,267,274,,17392,17344,25705,38534,30681,32291,36820,26592,27863,28914,,401940,409658,431989,372028,356593,352203,359140,369218,387346,486267
721931,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",334,900,1181,1,256,13,17,206,28,272,,9212,10798,16082,5265,9182,11331,12259,11491,9281,13758,,100141,93910,125185,104222,87964,104170,133101,133639,110339,187040
910700,Time switches with clock or watch movement or with synchronous motor,968,139,299,194,369,188,263,483,327,271,,11899,4338,3939,3506,2927,3600,2940,2992,2690,3576,,25161,25560,28926,28654,30469,29233,33212,37682,36780,37615
842310,"Personal weighing machines, incl. baby scales; household scales",206,167,172,210,126,92,33,102,265,271,,707,615,581,727,1271,1471,758,830,517,734,,79628,85396,89381,88088,87093,87701,88595,94020,115379,127016
851680,Electric heating resistors (excluding those of agglomerated coal and graphite),177,492,152,322,108,130,265,139,168,266,,11664,12687,10986,10566,11587,14592,16917,16669,16896,26660,,212162,232520,286695,255084,274642,318202,346691,315596,292918,387995
820740,"Tools for tapping or threading, interchangeable",740,618,726,520,540,496,582,350,244,266,,27231,26833,28803,28489,28456,36172,42379,41682,38804,50831,,105419,103339,111636,84669,84550,98089,109175,114463,91062,127749
841981,"Machinery, plant and equipment for making hot drinks or for cooking or heating food (excluding ...",76,6,88,139,65,87,354,374,273,266,,12667,13732,14698,11166,11290,12877,17988,15927,13620,12393,,268708,298592,332270,300618,346010,406063,384485,409023,316380,374655
902480,Machines and appliances for testing the mechanical properties of materials (excluding metals),199,60,179,349,47,31,414,179,221,265,,42495,30718,34692,42809,40363,42437,39779,43101,26249,32973,,40652,44477,54464,43005,35984,38824,46883,66818,57004,54600
380110,"Artificial graphite (excluding retort graphite, retort carbon and goods of artificial graphite, ...",1486,1,3,0,3,3,1,4,118,265,,2485,2494,4706,5688,2149,1387,3452,2471,3650,9036,,89897,72491,75134,69890,63598,75691,110171,90369,93725,95549
846130,"Broaching machines, for working metals, metal carbides or cermets",0,133,0,0,0,0,0,141,0,265,,4861,4553,5407,3467,3265,5117,3838,3795,2509,3061,,2279,2062,260,809,1564,854,1612,1300,2206,3200
581010,"Embroidery on a textile fabric ground without visible ground, in the piece, in strips or in ...",49,21,71,48,51,42,43,19,18,263,,602,856,1700,1905,1445,1683,1136,1415,1083,1271,,3859,4077,4082,4108,3873,3249,3194,2501,2538,2164
321490,"Non-refractory surfacing preparations for facades, inside walls, floors, ceilings and the like",134,92,225,321,42,6,224,229,256,262,,5243,5175,5271,5146,6323,4762,4895,4371,5498,7275,,147056,107813,101124,81124,83498,98714,112185,100112,99981,122887
30111,Live ornamental freshwater fish,84,65,88,85,109,95,104,100,136,260,,0,196,3481,3025,2134,2667,1808,1357,900,1522,,18858,17585,17067,15229,15060,14569,15494,14998,16330,19651
846249,"Punching, notching or nibbling machines for flat products incl. combined punching and shearing ...",32,10,101,216,62,99,150,102,124,259,,60013,56566,58431,39073,30559,32901,40827,30640,30352,30300,,5473,6027,7154,8440,10301,10555,9620,14256,6960,9456
730441,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, ...""",17,51,92,39,85,68,61,85,45,258,,1379,644,878,573,236,1426,826,1056,1045,5493,,142055,152455,137313,123896,123011,126071,170043,142716,130151,132208
853221,"Fixed electrical capacitors, tantalum (excluding power capacitors)",101,346,258,169,105,157,270,1504,106,256,,135862,106963,63155,87986,126395,143533,166386,133618,163118,208236,,184546,187360,190016,147588,150645,187832,210507,155896,138548,167436
741510,"Nails, tacks, drawing pins, staples and similar articles, of copper or with shafts of iron ...",64,60,138,88,89,192,93,229,86,256,,6279,4939,6019,6103,3983,4288,4402,3594,3494,5460,,4041,3697,3936,3573,4105,4817,5745,4596,5656,5770
962000,"Monopods, bipods, tripods and similar articles",0,0,0,0,0,289,248,279,236,255,,0,0,0,0,0,3791,4009,3556,3989,6130,,0,0,0,0,0,64866,69853,61106,61731,88815
860900,"Containers, incl. containers for the transport of fluids, specially designed and equipped for ...",842,159,168,161,118,120,140,118,98,255,,2492,3149,1767,2661,2467,1283,3792,4612,7709,5736,,230317,254893,200724,225573,214430,238084,271760,309289,308740,395186
90220,Green tea in immediate packings of > 3 kg,834,258,218,146,145,121,188,82,228,253,,2761,2600,2573,2916,4020,7787,11094,12308,12456,3790,,45593,53986,59883,61413,62123,57781,58263,56600,42943,59975
540769,Woven fabrics of yarn containing >= 85% by weight of mixtures of textured and non-textured ...,33,127,303,238,188,165,153,155,144,252,,97687,94643,101598,78487,65326,67143,61429,50699,43954,68275,,12027,14956,21559,21921,23239,20733,19505,17978,15315,17164
902131,Artificial joints for orthopaedic purposes,3905,3096,3422,3759,4523,220,240,232,131,252,,18459,22808,25496,27400,28595,33890,37063,33542,30586,38768,,700515,838742,905805,797511,885509,815930,771999,716488,631659,737850
190230,"Pasta, cooked or otherwise prepared (excluding stuffed)",128,149,134,81,129,83,132,119,121,251,,49664,61177,63001,64112,67142,69137,83205,79328,98019,86572,,117451,123699,134877,144454,159691,166810,188338,191625,217355,241673
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",162,154,149,119,91,85,25,60,109,249,,109797,122810,125292,139539,139009,151508,155442,158163,161939,192284,,1227017,1343566,1397304,1288282,1363417,1454276,1602581,1692254,1752475,1991277
382590,"Residual products of the chemical or allied industries, n.e.s. (excluding waste)",0,0,0,30,138,210,123,105,200,248,,0,0,0,0,0,0,1024,0,0,0,,1997,6898,12527,9498,4064,4478,2929,1817,2915,2500
721129,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ...""",180,38,153,100,189,173,181,142,103,247,,51754,44981,48987,41357,37400,43340,43786,36807,29824,42797,,46490,37649,43255,36406,32030,40306,51695,39701,29294,61120
170260,"Fructose in solid form and fructose syrup, not containing added flavouring or colouring matter ...",298,1,15,25,21,48,62,166,119,246,,4075,6381,8106,8728,9605,11395,12786,16885,9171,13708,,31368,34772,39634,29314,25021,27573,30415,29069,27326,38618
400520,"Compounded rubber, unvulcanised, in the form of solutions or dispersions (excluding rubber ...",0,0,0,0,1,11,0,0,0,244,,135,423,183,103,58,48,54,117,209,275,,13115,11313,15947,16261,14305,13864,11976,9944,9740,17795
821195,"Handles of base metal for table knives, pocket knives and other knives of heading 8211",74,61,60,189,215,394,163,159,250,243,,964,585,723,568,603,702,556,593,669,571,,704,771,1052,1427,1801,1938,2076,2263,1512,2412
600537,"Dyed warp knit fabrics of synthetic fibres """"incl. those made on galloon knitting machines"""", ...""",0,0,0,0,0,101,181,212,157,242,,0,0,0,0,0,78319,51445,38158,25817,41811,,0,0,0,0,0,57800,57111,47308,48090,62254
853990,"Parts of electric filament or discharge lamps, sealed beam lamp units, ultraviolet or infra-red ...",231,122,163,304,213,319,308,430,310,241,,18990,13146,7626,8903,11838,6823,10990,12459,9333,14939,,122870,113310,122085,90800,87060,82222,75271,55713,48083,46922
291440,Ketone-alcohols and ketone-aldehydes,0,16,19,8,31,22,51,30,44,241,,5025,4885,7171,9341,5361,4890,7253,5074,6204,11333,,18592,19282,21268,21058,22051,19711,25458,23150,17721,25155
481950,"Packing containers, incl. record sleeves, of paper, paperboard, cellulose wadding or webs of ...",198,273,322,292,90,192,168,195,117,241,,31521,32779,31304,28460,26613,23852,25134,27292,23327,23859,,136084,144454,149579,143590,145156,130086,137901,142520,134564,147257
841360,"Rotary positive displacement pumps for liquids, power-driven (excluding those of subheading ...",593,695,102,117,115,179,162,220,111,240,,14935,15439,17062,14644,18071,18822,16595,20050,15199,18862,,398320,343804,387766,339886,378037,402989,511036,572429,473485,510291
300670,Gel preparations designed to be used  in human or veterinary medicine as a lubricant for parts ...,26,3,5,14,21,39,11,73,194,239,,51,97,87,231,147,82,39,50,18,46,,8658,8008,8559,5372,6838,7518,7325,7991,6809,8321
680430,Hand sharpening or polishing stones,18,34,21,44,29,66,64,49,19,239,,626,698,1248,777,764,666,763,1074,595,964,,6332,7056,7564,6231,5702,7012,7054,7689,9212,12214
846490,"Machine tools for working stones, concrete, asbestos cement or similar mineral substances or ...",128,108,245,149,138,150,126,102,362,238,,62254,37579,23390,8304,13292,16103,11876,7599,6994,5645,,27586,26569,29542,20870,21703,31314,31620,34875,33040,38380
560392,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 25 ...",215,332,256,336,672,500,705,405,153,235,,70396,84677,97761,108067,108511,123661,131665,124245,157980,147926,,100369,103715,96320,93402,103264,117549,137238,147969,158832,204029
340319,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",19,18,32,38,44,77,100,113,130,235,,36719,36809,42412,37034,35542,35710,30212,26821,23927,26377,,314709,301513,351219,331519,340849,365665,401122,355790,329968,373341
732189,"Stoves, heaters, grates, fires, wash boilers, braziers and similar domestic appliances, of ...",9,13,180,602,184,74,36,37,157,233,,2543,2492,1095,1167,966,702,998,991,2944,5638,,216029,227725,207097,173964,159028,151905,153997,144826,177578,256068
551621,"Woven fabrics containing predominantly, but < 85% artificial staple fibres, mixed principally ...",213,489,842,346,359,394,401,419,140,233,,421,424,324,169,993,896,541,391,159,152,,935,1604,3377,7568,7875,5731,5105,1469,722,921
900219,"Objective lenses (excluding for cameras, projectors or photographic enlargers or reducers)",134,99,67,84,128,280,219,384,119,232,,380029,590990,1257711,1632906,1483055,1686789,1681744,1971306,1946643,1784658,,71512,68874,80462,73798,77264,90488,78958,76042,68879,79866
740821,"Wire of copper-zinc base alloys """"brass""""""""",1723,1535,961,377,291,519,395,630,202,231,,53756,53670,53782,41023,37095,47638,48315,47180,33458,46579,,29223,22322,30520,26997,36825,57785,64270,52498,43449,90441
900590,"Parts and accessories, incl. mountings, for binoculars, monoculars, astronomical and other ...",314,288,337,209,209,141,152,139,255,231,,7417,3163,2919,2711,3411,3912,4909,5154,8544,11058,,25499,17667,19634,16829,16848,19009,19556,17346,20627,24321
283329,"Sulphates (excluding of sodium, magnesium, aluminium, nickel, copper, barium and mercury)",0,0,0,0,1,6,74,134,221,230,,38455,37876,53735,37691,28045,58483,46485,5518,15640,77586,,46421,44592,48463,46926,41377,48350,53968,52975,50852,65353
961380,"Lighters (excluding gas fuelled pocket lighters, and fuses and primers for propellent powders ...",88,928,1296,1223,443,163,181,122,215,230,,4104,4465,3610,2566,1945,2412,2435,1897,1707,2455,,45120,45563,54557,48372,56556,52424,58919,53076,51346,64127
821490,"Hair clippers, butchers' or kitchen cleavers and other articles of cutlery of base metal, n.e.s.",231,236,276,239,374,150,147,122,162,230,,18679,13901,13825,11855,11714,11081,11569,10225,11707,10735,,12310,15273,16548,15781,17046,15188,14830,14120,14189,18247
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",774,875,958,592,731,3091,2716,175,457,229,,86580,127324,123265,120564,115962,135232,192416,213745,150283,186269,,458589,529626,606371,564083,699660,798180,934198,941829,896539,966930
600410,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...""",311,349,555,312,306,570,453,432,267,229,,346225,408863,437413,479726,439182,518723,531504,554606,567954,879736,,86504,103183,102227,94152,99643,108233,113742,104669,92739,100307
846691,"Parts and accessories for machine tools for working stone, ceramics, concrete, asbestos-cement ...",119,118,313,217,155,185,254,278,135,229,,14123,12739,10400,8799,6912,9436,10193,7471,6954,10533,,49205,46219,46618,42840,48654,50771,48352,47006,45021,58947
820510,"Hand-operated drilling, threading or tapping hand tools",147,162,268,222,154,184,280,203,169,229,,7898,8836,10746,10889,7851,7905,8504,7852,6388,8766,,8763,7571,7345,9507,14487,14784,18133,14026,9142,9807
842951,Self-propelled front-end shovel loaders,0,0,30,0,0,0,0,0,0,229,,1122,749,510,254,305,434,460,118,72,94,,608763,513415,594714,517222,592425,655382,743966,788292,730510,804857
950510,"Christmas articles (excluding candles and electric lighting sets, natural Christmas trees and ...",375,625,1153,898,940,994,403,265,126,227,,35214,31941,31142,29333,26132,24579,22359,20843,16021,18036,,153054,146797,158816,142789,139414,148847,165141,157640,168075,202119
290522,Acyclic terpene alcohols,129,124,124,3,116,261,176,196,11,226,,1098,806,1079,1169,1209,1086,1970,1529,712,1790,,28985,27929,31807,29281,31397,30029,60428,57834,67506,64653
441700,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe ...",48,64,115,67,63,136,90,64,422,226,,1481,1415,1428,1065,980,915,855,798,692,824,,34847,33255,34795,32648,34321,35808,39895,36596,35325,43197
720926,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...""",0,0,0,0,0,0,0,0,0,226,,4936,4274,5098,3327,1996,3901,2333,1970,1282,5504,,134995,133579,113653,66098,61937,69395,86297,61218,47036,103861
420291,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",390,259,192,151,293,67,47,68,56,225,,1100,1011,1008,698,827,1270,1398,2081,2100,2178,,136184,143993,161976,151036,147348,154560,141448,137185,108224,120492
845910,"Way-type unit head machines for drilling, boring, milling, threading or tapping metal",10,9,0,0,0,21,0,22,83,224,,104,131,95,196,83,146,1809,431,445,280,,9083,3624,2264,2403,1412,4995,3264,910,1288,693
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",671,844,609,1136,524,663,240,214,203,219,,32829,26599,28273,17323,18467,21137,21591,18949,20313,27026,,73789,76636,73547,74611,76724,87450,111909,109901,90631,109622
845430,Casting machines of a kind used in metallurgy or in metal foundries,208,0,2,0,715,146,129,135,123,218,,22745,25077,25934,18455,21155,23542,22689,17466,12788,19418,,70326,48644,43640,46675,66395,48734,46678,53534,35019,22282
340590,"Glass or metal polishes, whether or not in the form of paper, wadding, felt, nonwovens, cellular ...",57,106,128,574,1039,622,973,446,1207,218,,44339,24981,28092,21124,39800,34497,45426,60853,83159,129224,,65184,64241,68107,61602,64353,65441,57865,58478,55698,61669
190531,Sweet biscuits,10,17,10,23,11,6,12,9,40,218,,24434,29875,30328,27096,24516,30006,33144,34166,30445,22866,,432962,479845,477801,444527,448842,493259,494443,470022,510179,523233
720429,"Waste and scrap of alloy steel (excluding stainless steel, and waste and scrap, radioactive, ...",524,20,30,68,62,0,567,153,115,217,,2991,1358,2772,1762,2455,2319,4437,3018,2400,4238,,71829,66129,55490,31361,27243,42054,56342,38662,30463,71339
721320,"Bars and rods, hot-rolled, in irregularly wound coils, of non-alloy free-cutting steel (excluding ...",0,0,0,0,0,0,0,0,0,217,,1126,604,852,1389,1193,912,1052,1950,651,558,,114390,97740,125354,86087,95165,107658,136286,75528,60203,120209
820820,"Knives and cutting blades, of base metal, for machines or for mechanical appliances, for w ...",71,41,78,85,71,76,71,101,177,216,,9258,11536,11539,10992,11500,12360,13884,13347,13498,18283,,30463,26615,29560,24014,25725,25021,28148,26116,25571,28937
170230,"Glucose in solid form and glucose syrup, not containing added flavouring or colouring matter ...",1,4,1,0,0,0,9,23,32,216,,197,8,7,41,46,38,78,229,377,592,,368988,399227,359286,290001,257121,255897,262612,275103,255861,301303
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",0,0,100,0,0,0,419,753,119,216,,62212,76300,88257,70040,66196,85429,132843,133700,104406,234558,,871509,844876,1011942,1081220,951558,1163010,1407411,1307246,1113408,1673250
610620,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres, knitted or crocheted ...",197,119,41,82,68,123,304,421,287,215,,8743,9451,8294,7145,5419,6352,6044,5867,3675,3448,,196888,223201,232729,197965,223060,216185,190305,172505,151347,137230
851490,"Parts of electric industrial or laboratory furnaces and ovens, incl. of those functioning by ...",193,229,385,242,321,343,295,318,254,215,,13972,12929,17122,13527,10949,12172,16102,13485,12461,12156,,85857,95149,72941,62870,71707,82451,76204,71801,56695,59758
844839,"Parts and accessories of machines of heading 8445, n.e.s.",164,188,434,267,265,213,330,222,112,214,,20464,20380,18354,16785,17939,19837,27301,19692,13983,16170,,113561,134316,138212,129904,110322,135733,133542,103718,73853,120898
621010,"Garments made up of felt or nonwovens, whether or not impregnated, coated, covered or laminated ...",1315,759,874,1122,492,744,540,235,2764,213,,113,159,253,125,96,125,218,78,18516,1262,,116070,122181,133864,142001,138671,140909,144025,146844,798972,375464
540751,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",336,339,497,478,516,274,342,439,189,213,,30933,23306,36202,34215,29232,29242,23802,16312,16575,22765,,17314,19934,25860,24193,18403,21738,15772,14370,11262,16585
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,105,203,147,129,153,196,236,61,155,212,,94639,88232,101509,82934,87588,94647,107000,114350,136803,146011,,935237,954707,909280,809768,798330,880322,976676,910565,967197,1109161
820530,"Planes, chisels, gouges and similar cutting tools for working wood",86,141,140,110,131,187,191,120,165,212,,5044,4226,4422,4018,3882,4024,3322,3089,3152,5300,,6140,5773,6505,6989,7609,8065,9199,9675,11738,15380
491110,"Trade advertising material, commercial catalogues and the like",543,489,352,334,344,232,254,190,165,212,,21381,18627,18286,13239,12228,10650,11058,10076,9311,8605,,435343,380592,431584,360381,432182,406651,485783,461682,349319,323803
854419,"Winding wire for electrical purposes, of material other than copper, insulated",88,180,227,190,257,310,352,247,168,210,,56661,59954,52165,39782,33410,35265,35739,34296,30604,40493,,29191,29207,27254,24502,26514,33091,47126,40546,30898,43742
411320,"Leather further prepared after tanning or crusting """"incl. parchment-dressed leather"""", of ...""",7557,10015,6161,5592,3112,864,1343,1593,931,209,,70592,76169,83262,70129,63425,60496,38662,27029,15648,13872,,19800,27965,25710,10809,8348,11478,9249,13367,9817,7203
902212,Computer tomography apparatus,0,0,0,0,0,0,369,1,0,209,,263,17,146,185,384,453,519,164,30,7,,117952,90899,123995,138775,91602,105905,137712,145340,177016,213350
400690,"Rods, bars, tubes, profiles and other forms of unvulcanised rubber, incl. mixed rubber, and ...",313,222,198,254,117,173,182,81,136,209,,3075,2230,1566,1832,1714,1510,1818,2176,1979,1394,,20745,19010,19411,16846,17779,26846,24949,19347,16608,18279
960350,"Brushes constituting parts of machines, appliances or vehicles",123,148,170,197,193,126,106,158,207,208,,9118,10807,6266,5678,5022,7695,12876,11161,9868,11918,,58875,61864,65019,57696,60212,63035,71608,70987,72113,87309
910511,"Alarm clocks, electrically operated",348,398,203,143,90,172,70,85,19,208,,1600,1182,1214,1415,1175,915,741,1012,864,939,,52190,46008,42959,40543,40857,36445,34859,32200,33954,31577
190120,"Mixes and doughs of flour, groats, meal, starch or malt extract, not containing cocoa or containing ...",1,11,7,20,21,53,51,61,84,207,,6444,5019,6214,5589,5242,6180,9083,8546,10224,14728,,246165,276931,294640,254774,266698,298278,308366,288775,276618,293024
903220,"Manostats (excluding taps, cocks and valves of heading 8481)",622,883,400,266,85,253,95,59,43,207,,151,62,99,223,437,216,348,212,439,712,,88363,85185,103788,95342,119133,113548,152775,166278,155687,171979
200989,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening ...",1955,50,63,15,53,92,73,49,78,206,,0,930,26202,22859,15263,15512,15133,17787,13896,15564,,229971,236624,215602,193114,195191,200610,206938,197486,216816,252492
320649,"Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring ...",666,523,526,589,207,41,94,301,148,204,,39371,38038,33451,35394,41061,43288,46129,42493,37589,51593,,208764,224884,233750,206553,205947,228502,252831,233432,206864,247278
902410,Machines and appliances for testing metals,277,175,182,50,105,557,179,192,106,202,,17213,14813,20973,25130,13534,18191,15155,14279,12528,11759,,26700,30583,33325,35517,36244,41233,39353,27550,25454,33160
854590,"Articles of graphite or other carbon, for electrical purposes (excluding electrodes and carbon ...",255,226,388,341,307,374,347,361,495,201,,18895,14659,15458,12229,10982,9793,13453,15050,12140,14323,,11366,11857,11659,12337,15876,11652,11072,12699,10039,11191
540772,"Woven fabrics of yarn containing >= 85% synthetic filament by weight, incl. monofilament of ...",391,342,49,57,120,77,112,118,120,200,,87694,75775,57515,53750,49468,49965,58903,48832,32047,39958,,10261,9241,10175,9284,5947,5941,5654,5645,5444,5456
681381,"Brake linings and pads, with a basis of mineral substances or cellulose, whether or not combined ...",82,93,76,101,333,455,890,81,123,199,,3657,3156,3437,2441,2500,2397,2448,2011,1781,2565,,46830,60884,59158,45633,50975,48635,53037,41166,39857,45327
843880,"Machinery for the industrial preparation or manufacture of food or drink, n.e.s.",613,65,767,111,126,458,746,389,369,199,,39657,42618,55989,68195,57720,68899,61640,58392,57179,63123,,68080,59906,54664,63080,67684,67319,84144,83980,76251,74952
731414,"Woven cloth, incl. endless bands, of stainless steel wire (excluding woven products of metal ...",546,594,558,32,30,191,201,136,151,198,,10327,9936,11283,11643,10586,11227,13187,11735,18288,24424,,31157,23900,23722,22471,20228,22901,25317,22580,20412,28041
911490,"Clock or watch parts, n.e.s.",134,364,422,206,183,208,203,175,156,198,,13905,13794,17752,13878,11948,11527,13262,10869,8512,12003,,51443,52999,57041,56452,54170,54933,51519,43531,38121,46283
283699,"Carbonates and peroxocarbonates """"percarbonates""""; commercial ammonium carbonate containing ...""",75,45,80,55,61,48,48,134,164,197,,10212,12384,13731,14001,14258,16843,21061,17895,20143,27200,,34642,30899,29525,29885,27286,30528,22812,21933,22028,28667
710510,"Dust and powder of diamonds, incl. synthetic diamonds",567,578,810,725,750,327,202,187,100,197,,2404,2089,2674,2363,2076,2274,1752,1145,1409,1540,,20897,23005,22926,20045,19104,17803,17573,16208,13578,17650
392030,"Plates, sheets, foil, film and strip, of non-cellular polymers of styrene, not reinforced, ...",137,191,157,112,89,66,107,78,78,196,,87954,107099,111432,80423,68924,79888,81397,72763,68359,40483,,181703,206726,198546,146344,157699,179594,186434,152001,151586,181066
950720,"Fish-hooks, whether or not snelled",24,16,3,44,27,30,0,18,26,196,,1404,1446,1921,1303,1118,1010,1310,1426,1024,1051,,7418,7950,7206,6989,7082,7341,6270,7974,7136,9119
848240,Needle roller bearings,94,82,160,164,123,128,185,125,61,196,,16823,17408,18364,16365,16830,20218,18836,17642,19334,23141,,193887,231491,265553,210927,226827,248530,213136,197385,162692,186937
740322,"Copper-tin base alloys """"bronze"""" unwrought""""",0,4,1,0,0,0,0,0,0,196,,8887,10121,11357,5651,4138,4605,3359,4163,3104,7416,,66327,96843,70028,51022,53265,74147,89725,65438,56946,63460
70320,"Garlic, fresh or chilled",0,0,0,0,0,0,0,0,36,196,,8,10,607,83,32,283,3110,14,19,7,,66226,68414,64790,62282,83569,82805,71486,72455,105841,108497
961800,"Tailors' dummies and other lay figures, automata and other animated displays used for shop ...",138,121,180,420,226,310,202,22,128,195,,8280,6247,5364,4089,4151,3517,3866,3488,2534,3910,,37704,35309,43232,41539,35274,28839,30366,29083,18327,19069
401180,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling ...",0,0,0,0,0,545,256,218,103,194,,0,0,0,0,0,14840,12060,8596,8145,13164,,0,0,0,0,0,141820,169907,166954,142378,180953
290719,"Monophenols (excluding phenol """"hydroxybenzene"""" and its salts, cresols and their salts, octylphenol, ...""",173,409,409,380,561,735,739,257,379,194,,17662,28201,46159,45952,38210,62485,88727,52062,62141,83228,,81980,98873,95454,74520,75466,85039,97415,84949,83800,101599
848110,Pressure-reducing valves,241,270,304,321,396,694,572,317,231,193,,5645,6383,5633,7408,6454,7470,13098,11718,12127,20455,,175244,179500,187521,172612,196683,232651,249035,232618,217067,263497
330210,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",0,0,32,0,1,0,0,0,0,192,,22887,29872,32824,35413,41018,43998,43726,47498,48568,66017,,392892,414176,418373,820611,786400,764973,864717,833673,850017,742409
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,614,303,860,150,191,,0,0,0,0,0,90238,236361,173312,102783,152105,,0,0,0,0,0,145779,120351,135586,107147,163580
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",16,44,55,30,13,40,11,19,18,191,,42425,39221,39995,40397,37928,39891,40883,38274,36947,41487,,162458,170534,163122,143281,147872,170147,183390,162652,161344,214086
900390,"Parts of frames and mountings for spectacles, goggles or the like, n.e.s.",135,123,206,168,142,127,140,167,182,191,,6886,5339,5867,8105,7700,9024,9788,8902,8476,11274,,28219,31137,31637,27055,25260,25080,25575,22424,17523,19724
711590,"Articles of precious metal or of metal clad with precious metal, n.e.s.",109,27,33,24,47,40,210,49,167,189,,8999,16467,20284,32170,21205,23906,27496,23547,20135,30151,,144752,83852,31287,30608,35422,42966,49272,63791,57523,56469
960840,Propelling or sliding pencils,224,236,153,209,155,169,233,182,142,188,,2769,1870,3491,3239,2727,2233,2497,2871,1920,1807,,13729,10652,9214,7238,8264,8346,8759,8531,10139,13429
842549,"Jacks and hoists of a kind used for raising vehicles, not hydraulic",241,412,320,366,317,441,435,301,260,187,,5562,5532,6626,6026,5725,6180,7023,7126,4838,8193,,80518,88009,86411,68131,68595,74159,82863,69394,49314,55074
820810,"Knives and cutting blades, of base metal, for machines or for mechanical appliances, for m ...",121,112,164,95,149,209,183,212,129,186,,12316,12283,16832,11467,11290,12005,14220,10892,11479,13052,,52517,57220,74974,48366,41351,47209,47575,45382,32434,29712
722830,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn ...",180,127,115,21,4,2,2,214,202,185,,26744,21796,26503,25767,23160,28647,33715,31607,23426,31668,,716538,633925,669697,557847,496277,619978,828200,576565,407371,671846
841311,"Pumps fitted or designed to be fitted with a measuring device, for dispensing fuel or lubricants, ...",37,102,190,239,151,353,419,389,172,184,,2081,2318,2404,2582,2363,2677,2619,2756,3167,4709,,26280,29838,33547,31123,27115,35179,45342,37138,27861,33011
