Product code,Product label,"Saudi Arabia's imports from Korea, Republic of-Value in 2012","Saudi Arabia's imports from Korea, Republic of-Value in 2013","Saudi Arabia's imports from Korea, Republic of-Value in 2014","Saudi Arabia's imports from Korea, Republic of-Value in 2015","Saudi Arabia's imports from Korea, Republic of-Value in 2016","Saudi Arabia's imports from Korea, Republic of-Value in 2017","Saudi Arabia's imports from Korea, Republic of-Value in 2018","Saudi Arabia's imports from Korea, Republic of-Value in 2019","Saudi Arabia's imports from Korea, Republic of-Value in 2020","Saudi Arabia's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
854160,Mounted piezoelectric crystals,0,0,0,0,0,0,0,3,0,17,,65531,88013,76222,71257,66373,71716,78423,73415,75434,124140,,116,59,490,433,149,450,133,87,66,136
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",0,0,0,0,0,70,10,12,15,16,,4084,3093,3466,3976,4015,4671,42980,25313,26467,21684,,1057370,1358980,1731508,1451747,872054,957353,1231478,1324980,1311371,1030490
621142,"Women's or girls' tracksuits and other garments, n.e.s. of cotton (excluding knitted or crocheted)",0,0,0,0,0,0,8,30,0,16,,1906,2223,2377,2421,2453,2908,3929,4457,6108,7216,,761,265,403,851,10976,1775,3270,8656,42370,67214
441114,"Medium density fibreboard """"MDF"""" of wood, of a thickness >?9?mm""""",10392,1025,0,1224,0,0,5,56,212,16,,24139,16418,15869,11437,9183,6965,5796,5775,4416,4778,,195330,211428,196827,209776,141927,141247,142180,168251,146206,192226
681520,Articles of peat (excluding textile products from peat fibres),0,0,361,0,40,0,19,0,4,16,,10,0,0,0,0,0,1,27,1,15,,46,37,459,100,341,563,262,386,2190,2313
730630,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel ...",2008,2583,617,1155,1710,858,642,654,122,16,,433036,425247,415429,309706,359000,361947,367595,301786,253638,323301,,14823,49897,17354,22135,21929,13866,27229,31541,22162,13254
722810,"Bars and rods of high-speed steel (excluding semi-finished products, flat-rolled products and ...",0,0,0,0,0,59,363,248,151,16,,546,348,337,330,278,241,1151,510,129,383,,4187,178,252,97,231,1422,1741,2194,1247,1257
852550,"Transmission apparatus for radio-broadcasting or television, not incorporating reception apparatus",0,0,175,760,834,0,144,51,42,16,,6806,7957,9677,6770,9071,13644,21114,9353,6852,5116,,46330,65181,42749,156208,122663,358,2587,4862,4271,4358
851660,"Electric ovens, cookers, cooking plates and boiling rings, electric grillers and roasters, ...",159,175,81,276,0,0,36,34,0,16,,56929,88933,104696,118053,136247,135203,151892,173333,212562,315470,,78614,105690,126708,136679,103659,99327,112738,130226,159491,183416
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,0,0,0,0,16,,0,0,0,0,0,499625,539537,329495,371822,749567,,0,0,0,0,0,0,0,0,0,7428
392321,"Sacks and bags, incl. cones, of polymers of ethylene",256,0,39,316,50,0,35,500,223,16,,112588,125539,140123,134753,145406,157305,195701,209674,218848,233330,,12655,10281,19648,26303,28696,34123,27565,28223,27705,31320
392640,"Statuettes and other ornamental articles, of plastics",109,0,0,0,35,0,4,12,162,16,,12874,10928,8789,6464,5850,5242,8079,9973,7255,10743,,6470,4657,5358,7442,4344,7122,7731,12613,13884,21232
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,0,0,0,16,16,,245362,113464,112559,43605,20287,25450,41007,22864,78929,18912,,1460275,772626,438569,484309,347659,72253,13815,79871,213842,218364
852849,"Cathode-ray tube monitors, not incorporating television reception apparatus (excluding of a ...",51425,50546,33963,53444,46306,45998,8611,216,189,16,,2934,3074,1023,2590,472,308,289,277,844,976,,197463,227397,172502,174077,108624,123923,68744,28804,7630,5210
330620,"Yarn used to clean between the teeth """"dental floss"""", in individual retail packages""""",0,0,0,0,0,0,0,4,0,15,,525,1137,1040,913,555,1095,2162,1727,2582,3386,,143,38,70,1324,1669,1811,2288,2023,2497,3028
843890,"Parts of machinery for the industrial preparation or manufacture of food or drink, n.e.s.",0,134,34,0,0,0,63,4,20,15,,9163,10842,11101,7402,9116,8432,14991,18655,15514,16672,,29035,30104,29019,35031,31925,48211,52684,44128,21447,20546
901010,Apparatus and equipment for automatically developing photographic or cinematographic film or ...,0,112,33,129,59,67,0,0,74,15,,4151,2558,1986,3408,799,793,3370,1837,3235,1409,,1039,1098,822,500,208,336,467,224,811,495
841610,Furnace burners for liquid fuel,65,0,0,0,28,0,23,0,0,15,,3700,10526,2176,1500,3476,2868,690,892,3533,3180,,3367,5469,5702,2513,2325,2492,2764,4865,3735,1747
711719,"Imitation jewellery, of base metal, whether or not plated with precious metal (excluding cuff ...",1251,1771,2317,1520,879,1065,777,790,245,15,,196351,176285,191460,151602,146455,140245,131108,121318,97005,102198,,15366,17721,18785,30658,16864,13332,18996,47407,16451,35063
851610,Electric instantaneous or storage water heaters and immersion heaters,587,0,0,0,0,0,12,21,5,15,,21186,27793,24693,18492,17406,20713,20486,24421,28583,35746,,33053,33125,34601,46597,42852,31821,26954,31359,40156,42097
900319,"Frames and mountings for spectacles, goggles or the like (excluding of plastics)",139,190,99,157,50,0,24,63,16,15,,89312,77609,75317,66628,60810,56646,61392,52021,37310,40843,,7322,8216,13157,8950,8962,7380,12211,16375,10903,19858
847021,"Electronic calculating machines incorporating a printing device, with mains connection (excluding ...",0,0,0,0,0,0,277,41,6,15,,112,156,227,281,263,178,118,112,151,220,,0,1533,792,819,234,289,326,271,429,290
841382,Liquid elevators (excluding pumps),258,1066,625,2147,0,262,33,0,326,15,,2,41,58,57,48,94,112,125,68,34,,22035,17705,15092,22249,13593,13489,14188,3442,12690,4519
847230,"Machines for sorting or folding mail or for inserting mail in envelopes or bands, machines ...",0,0,0,0,0,0,0,0,0,15,,2526,6833,6250,3881,1612,1574,1476,1219,1069,982,,1263,455,238,150,29,51,12,151,5,51
848010,Moulding boxes for metal foundry,0,0,0,0,539,0,89,0,106,15,,27335,40368,67302,50993,16950,26779,24261,30544,18677,22561,,1110,1090,777,770,2462,565,944,300,425,224
220710,"Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%",0,0,0,0,0,0,0,0,42,15,,10181,405,1601,29349,14760,15911,28936,35308,24470,18601,,2492,3128,3017,29562,31488,23410,44033,43637,59063,50918
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",246,101,327,1270,226,0,32,34,36,15,,294711,280746,317579,298080,262939,307163,367140,290994,222731,468282,,13142,8113,5518,10195,6198,4250,7957,5829,3226,7997
853910,Sealed beam lamp units,600,491,1033,255,240,820,118,242,0,15,,119,200,62,18,1270,66,28,466,524,783,,6619,7567,11117,9379,8315,9833,11537,13636,2102,1769
420340,"Clothing accessories of leather or composition leather (excluding gloves, mittens and mitts, ...",0,0,0,0,0,31,0,0,13,14,,690,317,222,162,74,38,158,132,219,379,,416,83,39,290,699,1638,796,1199,11178,8200
730230,"Switch blades, crossing frogs, point rods and other crossing pieces, for railway or tramway ...",55,0,0,0,0,0,0,67,0,14,,667,9,14,29,399,110,1035,8461,6141,7117,,37596,41193,39320,36211,26273,11445,18062,13517,19619,21408
294190,"Antibiotics (excluding penicillins and their derivatives with a penicillanic acid structure, ...",0,0,999,2286,1137,1208,758,606,919,14,,248449,255808,237484,247381,238167,213751,201781,195748,192900,160787,,26721,17006,36266,53640,40067,41209,20982,25395,30021,17405
846029,"Grinding machines, for working metals, metal carbides or cermets, in which the positioning ...",27,0,0,0,0,0,0,0,8,14,,24965,18955,17851,11194,15785,37620,34683,16277,13138,13845,,513,522,331,503,585,590,915,467,1217,1435
901290,"Parts and accessories for electron microscopes, proton microscopes and diffraction apparatus, ...",75,0,0,0,0,0,4,9,177,14,,9066,8168,8097,6572,8216,10643,14634,16244,13336,19100,,975,1539,1519,2437,627,1217,1231,1183,1496,2745
560314,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",0,0,0,0,0,0,0,0,0,14,,122897,104111,98538,89722,77902,80374,79481,71661,39383,46950,,12910,9536,11371,9738,18962,17459,18723,32188,19101,12809
481690,"Copying or transfer papers, in rolls of a width of <= 36 cm or in rectangular or square sheets ...",0,0,186,0,29,0,15,7,4,14,,11212,10396,13003,10989,11452,10314,10879,13911,11162,10413,,3941,1901,2028,2366,575,351,681,310,270,359
900691,"Parts and accessories for photographic cameras, n.e.s.",0,48,111,198,0,65,0,28,8,14,,20349,42923,18022,25608,13464,4845,2391,2434,2130,1574,,3946,3536,4586,3517,1779,6750,4997,6835,6487,7345
720927,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...""",485,0,0,61,0,0,0,0,0,14,,54181,22674,39191,36448,31247,50347,40641,22760,14906,39118,,4510,3420,2835,3779,1043,830,727,349,895,48
840729,"Spark-ignition reciprocating or rotary engines, for marine propulsion (excluding outboard motors)",0,0,0,95,229,75,0,4,0,14,,852,266,217,350,302,128,395,167,67,56,,3946,3860,15167,2852,1643,2093,654,800,1521,2793
731029,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material, ...",978,3233,988,1141,231,0,92,628,270,14,,86616,75125,94519,85747,88869,92208,102829,96485,90077,92065,,25403,44384,28097,21059,23083,18763,14433,10704,3676,1657
91091,Mixtures of different types of spices,0,0,0,0,0,0,0,9,0,14,,97,224,101,185,180,598,355,386,112,691,,28434,22175,35117,31871,23353,26590,28693,32044,46198,40220
611596,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",0,92,0,0,0,0,11,4,8,14,,46584,48405,51521,47133,44094,37981,32553,30515,27352,30759,,2151,2133,3554,7002,6893,5785,5995,9434,8907,13190
903039,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",451,6374,792,433,111,62,315,991,1758,13,,38518,25674,48246,29741,31438,40750,54335,75180,80084,135064,,23825,38402,40840,35610,30357,19976,15362,16128,13637,21368
320300,"Colouring matter of vegetable or animal origin, incl. dye extracts (excluding animal black), ...",0,0,0,0,0,0,0,0,7,13,,2039,3110,3205,3748,4316,3422,3988,4306,4061,4541,,9474,8302,6216,7871,9406,11042,10509,8075,4915,4948
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",0,0,40,0,44,0,68,140,118,13,,733134,871884,785926,826434,821217,966088,1112527,1234654,1292991,1526255,,6809,10863,9784,15135,17601,29532,55323,59767,62677,34724
481730,"Boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment ...",0,0,0,0,0,0,7,0,19,13,,3173,4167,2806,2059,2074,2424,2532,2397,2167,3721,,2234,1419,1722,1466,4931,5737,7818,9019,7221,10849
870600,"Chassis fitted with engines, for tractors, motor vehicles for the transport of ten or more ...",0,0,0,0,0,0,0,0,5,13,,60039,44190,33591,57355,59444,58321,34491,24636,8489,4532,,32,0,375,617,162,920,276,252,1559,1619
491199,"Printed matter, n.e.s.",0,0,0,0,0,0,60,157,5,13,,15105,22517,19230,20145,23938,32600,50541,23963,29824,43032,,7429,5699,27469,29348,41371,59311,44059,21571,24771,8383
850980,"Electromechanical domestic appliances, with self-contained electric motor (excluding vacuum ...",77,0,0,243,0,795,32,560,163,13,,26195,19921,26317,32517,31985,52633,52537,60167,69442,66371,,13025,13408,15484,17272,14937,15185,20939,24239,30987,39955
820412,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, adjustable ...",65,37,30,87,89,0,4,0,0,13,,1511,1993,3193,2112,1874,1157,3486,1299,1450,1429,,7321,6485,6991,8828,4562,3037,2518,4109,4477,3425
701931,Mats of irregularly laminated glass fibres,0,0,0,0,0,0,74,83,15,13,,14654,18947,20656,13448,14645,11472,9266,6994,6086,7409,,5522,2511,5934,8148,5621,3350,4040,5280,4333,4950
901510,Rangefinders,0,111,30,0,0,59,0,5,0,13,,756,1156,1557,2113,1615,1716,3968,4381,4987,12252,,740,1418,1667,4070,1226,5104,3509,3255,2141,4053
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",194,593,0,97,3646,329,702,742,191,13,,3878801,3791162,3419963,3633217,4164387,4613563,4308266,3512325,3110876,3052481,,18671,20590,21459,18063,17170,13967,46134,142315,28333,41939
391729,"Rigid tubes, pipes and hoses, of plastics (excluding those of polymers of ethylene, propylene ...",217,978,200,277,149,161,145,113,106,13,,11164,11029,20124,18405,21525,24120,27015,27424,33273,21469,,17223,26125,24823,32930,20309,47317,75449,42451,17649,19987
690990,"Ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, ...",0,279,0,0,0,0,0,8,9,13,,2172,3351,1308,2000,3324,2671,2756,3450,2611,3789,,3815,3509,1159,601,760,816,1312,6183,6682,1865
871492,"Wheel rims and spokes, for cycles (excluding for motorcycles)",0,137,103,349,59,51,13,7,0,13,,55,96,135,173,79,40,47,74,72,42,,2191,2667,4672,5884,2702,1716,1879,1887,2076,3170
732393,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excluding ...",133,197,485,255,1380,231,2777,2207,750,13,,34991,40116,39367,47380,51790,40853,34490,33378,33033,40496,,63693,62143,71109,72775,57254,48347,60335,81627,86980,95911
730830,"Doors, windows and their frames and thresholds for doors, of iron or steel",297,719,519,1338,167,509,117,791,75,12,,44064,61299,51326,39036,42266,59423,42476,41894,28846,25996,,29457,105251,357372,53413,26025,25299,24450,41405,48461,24799
901780,"Instruments for measuring length, for use in the hand, n.e.s.",0,0,0,78,0,0,9,4,6,12,,3446,7388,9163,9626,12218,11785,10763,9047,9828,11166,,7236,6711,8074,8073,6651,5606,4697,4970,5169,5183
846890,"Parts of machinery and apparatus for soldering, brazing, welding or surface tempering, non-electric, ...",246,245,186,1494,66,132,158,115,55,12,,8527,8198,10444,12205,10916,11142,14902,19117,15021,13245,,3800,8074,5337,12740,9771,3532,5572,8277,1463,2554
150710,"Crude soya-bean oil, whether or not degummed",324,0,0,0,0,0,57,45,36,12,,22674,5431,1892,285,61,6678,55,20,26,21,,7482,13817,5802,5018,25442,9187,11790,2863,4881,8092
902230,X-ray tubes,0,0,0,0,0,0,0,0,23,12,,2772,4067,7381,14478,12799,12688,14365,16403,14430,14059,,5789,5235,4561,4811,2553,2484,3291,5545,8876,5476
591190,"Textile products and articles, for technical purposes, specified in Note 7 to chapter 59, n.e.s.",683,240,223,145,0,0,308,3238,30,12,,14493,20627,21008,23778,66103,48273,37827,40299,37814,43782,,10038,16009,20915,16819,14929,19941,21843,19910,13630,7483
590220,"Tyre cord fabric of high-tenacity polyester yarn, whether or not dipped or impregnated with ...",0,0,0,0,0,0,0,0,0,12,,343230,283196,249107,239606,222708,227030,234450,223625,163938,184706,,53,57,0,25,1509,116,33,71,275,87
630259,"Table linen of textile materials (excluding of cotton or man-made fibres, knitted or crocheted)",0,0,0,0,0,0,0,0,0,12,,1,6,2,1,3,2,4,81,4,4,,2573,2584,2546,3998,3770,2783,2267,3874,2629,2515
340290,"Surface-active preparations, washing preparations, incl. auxiliary washing preparations and ...",270,169,234,919,235,0,80,49,203,12,,65634,68654,64102,60688,56476,65151,74244,75896,100777,147154,,31910,51340,70979,111050,127060,133582,105688,102161,93983,80801
320730,"Liquid lustres and similar preparations of the kind used in the ceramic, enamelling or glass ...",0,0,0,0,0,0,3,0,0,12,,324499,487749,378487,386245,506435,358561,270106,294418,538672,924093,,9109,12191,19687,14750,14647,10039,12566,12579,12829,8499
401170,"New pneumatic tyres, of rubber, of a kind used on agricultural or forestry vehicles and machines",0,0,0,0,0,0,0,0,0,12,,0,0,0,0,0,4134,5486,5159,4420,5249,,0,0,0,0,0,0,0,0,0,12443
521039,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,6,12,,18586,15894,13804,16416,17653,14545,11864,9206,7739,7943,,265,187,276,238,143,244,243,215,10,127
70940,Fresh or chilled celery (excluding celeriac),0,0,0,0,0,0,0,0,0,12,,0,0,1,1,0,12,3,79,0,0,,632,833,872,1605,1354,1303,1776,2400,1976,2066
900311,"Frames and mountings for spectacles, goggles or the like, of plastics",312,183,422,118,113,56,52,74,24,12,,38545,44479,48441,52851,54996,59234,55961,53218,41951,43279,,6726,11053,13752,15147,8426,8041,11407,10015,6871,13237
620461,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of wool or fine animal ...",0,46,0,0,0,0,0,151,0,12,,1193,1050,1107,1201,604,1203,642,1397,1333,1994,,102,220,27,193,961,1629,3529,9395,9672,6877
732599,"Cast articles of iron or steel, n.e.s. (excluding articles of non-malleable cast iron, and ...",684,1242,696,3340,32,0,260,84,164,11,,214796,155836,171561,139997,116037,138957,153936,152452,133785,164579,,17182,27502,26070,32206,13737,9806,11698,13785,13316,21814
902480,Machines and appliances for testing the mechanical properties of materials (excluding metals),265,482,703,190,66,161,25,85,1802,11,,10520,8252,10747,10099,10424,9926,13383,11161,6887,9632,,44067,25913,29847,23973,13787,9339,6687,14987,12193,14084
170199,"Cane or beet sugar and chemically pure sucrose, in solid form (excluding cane and beet sugar ...",38,1064,729,0,0,0,0,0,0,11,,262406,202779,172747,151144,168118,167124,139860,119380,137698,147138,,261414,392617,275553,273608,254561,307727,156256,86935,83754,79740
320411,Synthetic organic disperse dyes; preparations based on synthetic organic disperse dyes of a ...,738,0,827,199,0,0,0,0,18,11,,31785,31675,41892,50015,52190,57237,64297,69847,62044,70184,,6982,4962,7390,17123,2678,2145,4719,1335,1808,975
852359,"Semiconductor media, unrecorded, for the recording of sound or of other phenomena (excluding ...",0,196,258,56,71,162,4,46,14,11,,21233,37431,38552,39160,42709,69859,73525,46324,43620,71236,,19205,27497,73163,50411,9077,5760,7107,5729,2168,13362
401033,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",0,0,0,0,51,0,0,0,4,11,,1927,3276,3825,3986,6829,5084,4370,3619,3593,4022,,346,477,907,528,366,349,177,447,171,550
847439,"Machinery for mixing or kneading solid mineral substances, incl. those in powder or paste form ...",8504,1250,4059,3601,0,676,22,15,21,11,,1257,7213,6449,1978,2181,1480,1001,2686,651,740,,42769,38644,47956,57977,29180,18287,15158,10944,6259,6002
581099,"Embroidery of materials other than cotton or man-made fibres, on a textile fabric base, in ...",933,0,196,0,0,0,3,0,18,11,,1294,1673,1570,1172,478,943,715,649,614,892,,2115,264,434,340,257,184,386,193,232,353
382000,Anti-freezing preparations and prepared de-icing fluids (excluding prepared additives for mineral ...,0,0,0,37,0,0,11,12,0,11,,13364,14256,13252,9815,10395,9621,10994,10664,9209,13059,,2410,4066,2959,4183,3887,5840,7846,7401,8164,7492
800700,"Articles of tin, n.e.s.",0,0,30,129,0,0,0,0,0,11,,16400,18432,19094,16454,15504,14201,13829,10394,11867,15547,,3086,4611,9823,8162,5385,6783,8500,7762,6145,3928
848240,Needle roller bearings,0,0,0,178,0,0,3,0,0,11,,22679,29133,37792,45558,43272,46819,52521,47723,42559,60675,,1906,1177,2353,2642,2275,1781,1976,1422,1095,1470
900290,"Lenses, prisms, mirrors and other optical elements, mounted, of any material, being parts of ...",0,0,0,0,101,0,26,4,22,11,,225273,246907,213167,199882,149968,110629,73440,67833,58550,88824,,667,1491,483,1469,1350,980,1986,1878,1188,2142
630612,"Tarpaulins, awnings and sunblinds of synthetic fibres (excluding flat covers of light fabrics ...",65,88,442,1064,755,606,587,652,269,11,,4020,5681,9127,6814,3149,2717,3145,2521,3768,2505,,2969,3886,3241,3779,3653,3840,7527,7071,5837,5465
30384,"Frozen sea bass """"Dicentrarchus spp.""""""""",0,0,0,0,0,0,0,0,48,11,,543,1218,141,1074,1503,1391,856,930,351,493,,0,0,0,15,11,18,3,44,78,78
320820,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",0,0,0,718,0,40,0,30,0,11,,96339,117762,120234,118717,139743,135098,140533,127384,122337,140811,,9065,12430,8468,9250,12221,19950,21774,22970,27557,28387
850790,"Plates, separators and other parts of electric accumulators, n.e.s.",33,88,0,119,0,160,70,129,153,11,,870330,665946,621213,628201,568513,578790,954646,943827,843903,840427,,23280,13981,14869,15435,14026,13517,14914,12488,11453,6528
850519,"Permanent magnets and articles intended to become permanent magnets after magnetization, of ...",27,0,0,49,65,0,35,57,0,11,,82931,87401,95172,106946,114153,126273,134145,116248,96766,111064,,1723,1117,1334,2403,2675,2653,1109,1101,248,1713
292620,"1-Cyanoguanidine """"dicyandiamide""""""""",0,0,0,0,0,0,0,0,0,11,,117,102,176,85,119,99,103,89,72,224,,0,35,0,6,0,0,29,0,0,33
200811,"Groundnuts, prepared or preserved (excluding preserved with sugar)",0,0,0,0,0,0,0,0,0,10,,79,122,50,1155,1042,773,137,165,88,306,,31708,30682,34202,36862,34632,36329,39712,41723,47285,40847
730429,"Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excluding ...",2489,5340,3962,1854,1550,2036,2403,679,11,10,,19663,66525,93342,32340,12738,87722,41156,10411,7893,64545,,233276,683415,1516340,256122,353857,385985,427105,243024,105387,63117
853610,Fuses for a voltage <= 1.000 V,0,274,0,0,0,0,9,12,0,10,,51700,48169,50344,51869,67093,66301,87074,80287,78522,93424,,8396,7130,3576,6261,5242,4496,8333,7345,5560,4746
901490,"Parts and accessories for compasses and other navigational instruments and appliances, n.e.s.",0,0,0,0,0,0,0,72,0,10,,10488,4713,3759,3602,6661,7424,5452,5555,4968,6411,,3283,5768,4364,3997,2355,2931,6726,5645,5290,6693
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,0,71,0,0,184,0,293,55,8,10,,33882,35397,23114,25568,22806,24793,48222,33943,38753,49873,,74800,93882,112651,91881,115169,124455,154078,270958,167243,124707
551311,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",590,29,50,0,0,259,896,646,0,10,,3131,4306,2511,238,823,306,105,34,305,184,,5493,2542,2377,1698,687,1423,1941,3536,2113,1259
340120,"Soap in the form of flakes, granules, powder, paste or in aqueous solution",0,0,0,0,45,0,12,0,39,10,,7981,7900,6292,4600,4737,3169,3582,2996,5533,3740,,21912,26095,28318,30445,20993,25130,34326,43599,33665,23599
610422,"Women's or girls' ensembles of cotton, knitted or crocheted (excluding ski ensembles and swimwear)",0,0,0,0,0,0,6,0,3,10,,203,132,183,95,259,261,217,75,134,60,,230,115,1785,1401,991,2026,6897,2894,17585,28793
900630,"Cameras specially designed for underwater use, for aerial survey or for medical or surgical ...",56,0,293,0,0,0,0,0,0,10,,1064,281,1123,100,207,158,179,402,1032,1122,,2896,785,459,372,215,685,503,1398,1771,1116
845899,"Lathes, incl. turning centres, for removing metal, not numerically controlled (excluding horizontal ...",371,351,1163,1035,885,329,1131,706,0,10,,12176,6581,3679,5785,3939,6859,6674,8693,5378,26776,,14610,15327,10932,16597,11943,8589,9038,2162,1813,1856
902820,"Liquid meters, incl. calibrating meters therefor",487,191,125,81,0,228,1510,0,13,10,,596,632,914,1166,974,756,2079,739,956,408,,16950,23955,23102,15764,18322,18241,35374,38469,6771,3268
871640,"Trailers and semi-trailers, not designed for running on rails (excluding trailers and semi-trailers ...",0,0,28,0,0,0,15,11,0,10,,2805,6241,2234,1741,2491,3668,3544,8372,4357,1554,,8705,31495,27502,25041,23395,9076,28038,44591,19821,27573
701710,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated, of ...",0,0,0,0,0,0,0,0,0,10,,143,321,421,482,475,463,557,566,315,1255,,181,408,321,1070,777,920,1090,1533,4749,2030
620111,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of wool ...",0,0,0,0,0,0,0,0,0,10,,3375,2888,3638,4709,5311,4551,4131,3043,2235,2212,,6114,7174,1405,2916,6589,3768,3000,6424,2276,5731
391722,"Rigid tubes, pipes and hoses of polymers of propylene",30,0,0,72,0,0,11,0,3,10,,17388,16132,17378,13733,16430,16288,18160,17854,19103,19020,,13256,16237,12611,11413,7758,7571,5733,4334,7636,6631
441700,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe ...",0,0,0,0,0,0,0,0,0,10,,256,215,235,192,178,215,324,296,365,473,,3247,3237,4179,4632,4175,3039,2585,3735,4085,4282
482010,"Registers, account books, notebooks, order books, receipt books, letter pads, memorandum pads, ...",51,202,146,194,131,254,95,22,128,10,,36558,34524,38061,35453,36384,34074,36130,39902,36667,35037,,17754,16974,19821,24425,17873,20957,13949,17934,12691,8957
846820,"Gas-operated machinery and apparatus for soldering, brazing, welding or surface tempering (excluding ...",135,0,76,57,0,0,7,56,0,10,,12920,23986,9887,13354,9619,8755,11186,10033,6214,8599,,983,539,1523,1049,2836,1803,1187,2805,591,784
721090,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",7126,3406,5530,8335,3473,407,128,52,86,10,,26356,23622,40433,26939,22979,24974,45553,63459,97510,20146,,90766,53223,44347,29913,31117,23866,15002,1860,982,3598
520852,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 100 g to 200 ...",0,0,0,0,0,0,0,0,0,10,,181073,169269,156588,158376,134472,120226,118621,121973,157424,170025,,242,304,179,58,338,272,302,444,280,493
270600,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not ...",0,84,248,0,135,0,21,78,0,10,,80340,57759,55394,18672,9373,13045,16280,20730,10831,16149,,1407,1343,1163,668,937,878,373,921,534,775
420330,"Belts and bandoliers, of leather or composition leather",90,44,56,0,110,0,60,15,4,10,,4789,4742,2750,3023,2452,2323,1799,2744,2498,5978,,8279,8344,10163,12241,7847,7061,7436,11361,6121,6942
870821,Safety seat belts for motor vehicles,37,0,0,0,0,0,16,0,3,10,,82002,95762,117456,108599,97666,114921,98091,115018,74123,71686,,3135,4232,780,322,302,291,436,328,520,691
851989,"Sound recording or sound reproducing apparatus (excluding using magnetic, optical or semiconductor ...",206,81,381,0,312,30,54,0,0,9,,4256,3987,5473,3264,4385,4091,3397,3310,3274,5906,,9704,7293,4644,7225,5599,6027,3323,2294,208,423
847431,Concrete or mortar mixers (excluding those mounted on railway wagons or lorry chassis),164,0,889,42,1663,0,1093,1060,19,9,,6389,8026,11596,8495,4630,7458,1662,4529,2144,1214,,60573,59715,68216,35755,23418,12710,11542,14030,23829,15101
390461,"Polytetrafluoroethylene, in primary forms",0,0,0,60,0,64,7,11,0,9,,4176,3589,3119,2147,3219,5678,8961,6904,6179,11555,,3150,4687,1116,2037,718,529,1734,1694,1463,3876
30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",0,0,0,0,0,0,0,0,37,9,,12813,11332,13700,10787,13829,8968,5796,8046,7382,7648,,76,179,306,247,354,330,288,117,265,76
