Product code,Product label,Viet Nam's imports from Russian Federation-Value in 2012,Viet Nam's imports from Russian Federation-Value in 2013,Viet Nam's imports from Russian Federation-Value in 2014,Viet Nam's imports from Russian Federation-Value in 2015,Viet Nam's imports from Russian Federation-Value in 2016,Viet Nam's imports from Russian Federation-Value in 2017,Viet Nam's imports from Russian Federation-Value in 2018,Viet Nam's imports from Russian Federation-Value in 2019,Viet Nam's imports from Russian Federation-Value in 2020,Viet Nam's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
871492,"Wheel rims and spokes, for cycles (excluding for motorcycles)",0,0,0,0,0,0,0,0,0,,,0,1,6,7,8,10,16,69,35,20,,1989,2019,3685,5535,5797,4867,5973,8465,10434,11970
871494,"Brakes, incl. coaster braking hubs and hub brakes, and parts thereof, for cycles (excluding ...",0,0,0,0,0,0,0,0,0,,,5,24,21,31,24,46,54,54,38,74,,3891,4949,7234,12917,13416,8195,13043,19171,30939,49816
871620,Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,0,0,0,0,0,0,0,0,0,,,4097,3657,5198,2694,2034,1326,2892,2528,2620,3385,,1,37,0,20,134,0,7,1,64,202
871631,"Tanker trailers and tanker semi-trailers, not designed for running on rails",0,0,0,0,0,0,0,0,0,,,10321,11067,6833,5782,4621,5511,10082,6434,6945,12175,,3602,1251,13277,16742,9345,8794,6779,8710,5928,8194
890690,"Vessels, incl. lifeboats (excluding warships, rowing boats and other vessels of heading 8901 ...",0,0,0,1586,2966,108,0,90,239,,,51089,114460,91313,0,0,0,0,0,0,0,,100482,1861,46418,25361,32822,19024,10392,19682,26998,32817
900110,"Optical fibres, optical fibre bundles and cables (excluding made up of individually sheathed ...",0,0,0,0,0,0,0,0,0,,,2050,2523,1415,1982,4348,15164,11121,3947,4552,5099,,27659,39899,57744,61492,56347,58718,88664,61496,36450,43610
900120,Sheets and plates of polarising material,0,0,0,0,0,0,0,0,0,,,40,1,1,22,48,18,0,15,0,7,,5499,4926,10180,714,71980,416873,576886,543823,665060,576186
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",0,0,0,0,0,0,0,0,0,,,44779,47256,53167,38979,16263,25461,27367,24175,17645,29820,,23459,16082,27840,30018,47206,134053,302103,341642,361626,734979
900710,Cinematographic cameras,0,0,0,0,0,0,0,0,0,,,0,10,0,0,0,11,29,3,0,0,,298,272,210,629,611,2741,1741,78,296,15
901320,Lasers (excluding laser diodes),0,0,23,0,0,232,311,17,19,,,67350,54674,74995,106717,128800,311359,200993,159328,112973,136968,,1386,1506,1811,2352,2961,9602,12503,12333,9072,42331
901480,"Navigational instruments and apparatus (excluding for aeronautical or space navigation, compasses ...",26,1883,304,263,209,1,28,0,98,,,35437,29961,11684,19520,8185,32786,16655,22339,17262,12138,,7048,13232,8176,11193,13275,20971,8632,13487,7398,18838
901530,Levels,0,0,0,0,0,0,0,0,0,,,513,476,481,505,545,658,691,576,532,1100,,586,1025,2506,1472,1387,1471,1484,1737,2089,11891
901710,"Drafting tables and machines, whether or not automatic (excluding units for automatic data-processing ...",0,0,0,0,0,0,0,0,0,,,30,25,34,24,34,132,64,40,88,37,,487,668,696,546,831,786,799,998,743,1091
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",0,0,0,0,0,0,0,0,0,,,1882,4745,4076,2793,3427,4446,5693,7050,7368,10754,,40069,39178,45629,42292,43370,53015,54157,63020,58275,168419
902212,Computer tomography apparatus,0,0,0,0,0,0,0,0,0,,,42,930,2,42,544,1224,12,164,3141,8154,,38780,20783,22809,30241,54727,58095,52356,58408,25397,17490
902214,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excluding for ...",0,0,0,0,0,0,0,0,0,,,4627,6006,4017,8459,2743,3813,4899,1895,5557,6810,,30685,23222,31628,29796,44852,52404,42783,45178,39080,31532
902229,"Apparatus based on the use of alpha, beta, gamma or other ionising radiation (other than for ...",16,27,0,0,0,0,0,0,0,,,4267,5080,4497,4062,2373,4080,4131,13009,2996,2803,,2368,1145,1900,2106,2878,2973,2887,1271,1444,1243
902410,Machines and appliances for testing metals,11,12,0,5,10,0,0,10,0,,,2185,1360,2032,854,2431,1469,1133,1651,909,903,,5726,5260,5655,7829,7233,7320,10435,7997,6824,11509
902810,"Gas meters, incl. calibrating meters therefor",13,1,9,0,0,0,6,3,0,,,4401,14848,8014,7624,5967,8686,8264,9647,8205,9183,,7035,8715,5242,5902,4830,3402,5188,2789,2731,602
902920,"Speed indicators and tachometers, stroboscopes",108,131,169,121,162,159,126,11,21,,,2557,3057,4429,1747,2007,2375,2079,2011,1781,1950,,12940,13212,20235,23681,28943,25189,50778,54078,53883,29307
902990,"Parts and accessories for revolution counters, production counters, taximeters, milometers, ...",0,16,355,0,0,13,0,2,51,,,2561,2713,1765,1304,1851,2994,2417,7206,9057,4714,,12077,11613,11427,13114,16207,19330,23629,20202,14098,12871
903020,Oscilloscopes and oscillographs,2,0,103,34,12,0,0,0,0,,,885,879,2221,842,858,1036,1644,1874,836,958,,3508,3910,8213,6509,4413,5813,5671,4506,3896,7044
910119,"Wrist-watches of precious metal or of metal clad with precious metal, whether or not incorporating ...",0,0,0,0,0,0,0,0,0,,,0,1,3,1,15,13,11,2,9,38,,6,429,126,17,9,59,14,9,103,4248
910400,"Instrument panel clocks and clocks of a similar type for vehicles, aircraft, vessels and other ...",123,117,220,272,127,156,88,185,49,,,572,1055,903,491,1008,479,419,284,197,307,,1858,1439,2202,2107,1960,1207,1817,1359,505,208
910529,Wall clocks (excluding electrically operated),0,0,0,0,0,0,0,1,5,,,118,323,57,32,67,189,564,383,489,514,,190,178,249,336,484,381,360,655,745,764
910811,"Watch movements, complete and assembled, electrically operated, with mechanical display only ...",0,0,0,0,0,0,0,0,0,,,0,0,6,0,3,0,1,3,2,2,,0,0,0,2,4,0,0,0,2,9
911019,Rough clock movements,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,12,7,29,31,80,62,78,70,69,
911090,"Complete, unassembled or partly assembled clock movements """"movement sets""""; incomplete clock ...""",0,0,0,0,0,0,0,0,0,,,0,7,2,1,4,1,8,22,4,2,,26,39,41,65,132,262,507,384,73,66
911110,"Cases for wrist-watches, pocket-watches and other watches of heading 9101 or 9102, of precious ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,
911190,"Parts of cases for wrist-watches, pocket-watches and other watches of heading 9101 or 9102, ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,5,0,0,0,2,,1139,1582,3233,3947,4882,5359,5222,4667,2368,7125
920790,"Accordions and musical instruments without keyboards, the sound of which is produced, or must ...",0,0,0,0,0,0,0,0,0,,,41,104,241,68,37,66,192,332,1354,1337,,501,518,232,241,532,432,285,1581,850,1059
920890,"Fairground organs, mechanical street organs, mechanical singing birds, musical saws and other ...",0,0,0,0,0,0,0,0,0,,,21,24,24,33,31,28,56,73,80,92,,799,1290,2323,1161,691,1917,2319,1083,386,391
930330,"Sporting, hunting and target-shooting shotguns with one or more rifled bores (other than spring, ...",0,0,0,0,0,0,0,0,0,,,13204,12570,18439,0,0,0,0,0,0,0,,0,0,0,0,0,0,208,190,136,
930599,"Parts and accessories for weapons and the like of heading 9303 or 9304, n.e.s. (excluding of ...",0,0,0,0,0,0,0,0,0,,,58900,106874,104611,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16020
930621,Cartridges for smooth-barrelled shotguns,0,0,0,0,0,0,0,0,0,,,2308,3501,3417,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,9
940130,"Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, ...",0,0,0,0,0,0,0,0,0,,,1759,3042,3750,3491,4547,6429,7735,9276,10654,19522,,1802,2512,3285,3390,3827,5823,5847,6494,9320,55209
940159,"Seats of cane, osier or similar materials (excluding of bamboo or rattan)",0,0,0,0,0,0,0,0,0,,,3,1,2,2,6,0,10,11,38,115,,147,39,16,30,23,15,33,29,6,130
940290,"Operating tables, examination tables, and other medical, dental, surgical or veterinary furniture ...",0,0,0,0,0,0,0,0,0,,,2132,2520,4807,3087,2000,3071,2172,3250,4937,5345,,8388,9988,12103,14808,24290,24675,29342,23760,27376,32505
940370,"Furniture of plastics (excluding medical, dental, surgical or veterinary, and seats)",0,0,0,0,0,0,0,0,0,,,2066,2570,1794,1708,3395,4323,5088,12169,9162,13598,,908,1572,1558,1680,2418,2949,3302,6202,5106,29491
940382,"Furniture of bamboo (excl. seats and medical, surgical, dental or veterinary furniture)",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,2,5,14,4,,0,0,0,0,0,0,27,72,51,144
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",0,0,0,0,0,0,0,0,0,,,7770,11140,9754,8583,6259,6742,8741,10778,12237,15738,,3525,2564,3409,6097,9013,11477,20296,32669,29699,109221
940610,"Prefabricated buildings of wood, whether or not complete or already assembled",0,0,0,0,0,0,51,6,44,,,0,0,0,0,36,23814,30201,27627,22961,44122,,0,0,0,0,0,0,262,1456,213,515
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",7,26,8,12,2,15,2,8,34,,,28372,45188,51625,46041,51723,64976,73617,84907,105683,137436,,16176,20116,26470,41406,48941,57666,67699,89594,97257,720727
950430,"Games with screens, flipper and other games, operated by coins, banknotes, bank cards, tokens ...",0,0,0,0,0,0,0,0,0,,,19096,14502,17115,7846,872,1026,1792,1632,1059,1562,,6639,3621,6607,16458,17658,14652,11597,12141,6917,13259
950611,"Skis, for winter sports",0,0,0,0,0,0,0,0,0,,,1045,2036,1160,842,471,936,1234,2128,796,2460,,0,4,0,0,7,1,0,1,0,5
950670,"Ice skates and roller skates, incl. skating boots with skates or rollers attached",0,0,0,0,0,0,0,0,0,,,869,1291,1507,1039,975,1025,1846,2294,1464,2397,,95,343,1057,2439,1710,2033,2570,2526,3389,14405
950710,Fishing rods,0,0,0,0,0,0,0,0,0,,,43,241,282,241,273,402,504,630,766,870,,554,569,753,776,955,1164,1630,1747,3054,22929
960330,"Artists' brushes, writing brushes and similar brushes for the application of cosmetics",0,0,0,0,0,0,0,0,1,,,848,1424,1474,1163,1460,1885,2585,2905,2971,4163,,1316,2315,1625,2212,2872,2836,2220,2189,2721,2800
960350,"Brushes constituting parts of machines, appliances or vehicles",0,0,0,0,0,0,0,0,0,,,2367,2368,1884,2126,2706,4468,5107,5251,5859,8644,,927,1471,3947,7964,7452,11554,10101,7962,16324,39971
960621,"Buttons of plastics, not covered with textile material (excluding press-fasteners, snap-fasteners, ...",6,0,0,0,0,0,0,5,0,,,546,393,440,398,427,510,552,483,470,845,,37261,50386,54203,55116,55791,58445,66214,68368,60999,67745
960990,"Pencils, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks",0,0,0,0,0,0,0,0,0,,,515,587,621,438,488,632,622,810,762,998,,621,814,1462,2222,2589,1452,2116,2994,2923,6193
961390,"Parts of lighters, n.e.s.",0,0,0,0,0,0,0,0,0,,,24,31,18,7,5,6,12,6,7,10,,11313,11190,10679,11723,10253,9104,6118,9127,11426,15544
970600,Antiques of > 100 years old,0,0,0,0,0,0,0,0,0,,,0,938,0,0,0,0,0,0,0,0,,0,0,0,0,2,3,19,1,2469,1851
10511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excluding turkeys and guinea ...",0,0,0,0,0,0,0,0,0,,,5307,6194,6850,6738,7432,13226,13675,13269,11970,14794,,6386,6765,7462,7182,9737,9783,12092,14721,19635,17283
10633,"Live ostriches, and emus [Dromaius novaehollandiae]",0,0,0,0,0,0,0,0,0,,,0,11,5,14,1,1,0,154,0,0,,0,0,0,0,0,0,0,53,44,
20312,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",0,0,0,0,0,0,0,0,0,,,0,2,9,1,684,37,909,599,4,2234,,3,0,0,0,0,0,0,7,5,765
20430,Frozen lamb carcases and half-carcases,0,0,0,0,0,0,0,0,0,,,0,1,13,0,0,0,0,0,0,0,,39,62,5,6,7,13,3,23,12,42
20442,"Frozen cuts of sheep, with bone in (excluding carcases and half-carcases)",0,0,0,0,0,0,0,0,0,,,191,91,99,124,250,437,238,147,77,147,,1799,1743,2000,2280,2642,3114,3335,3949,2278,2126
20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",0,0,0,0,0,0,0,0,0,,,577,22,92,98,100,4,0,82,216,553,,0,0,0,0,0,0,0,0,0,1966
20610,Fresh or chilled edible offal of bovine animals,0,0,0,0,0,0,0,0,0,,,24,56,115,13,72,96,47,181,77,183,,0,0,0,1837,9,5,4,106,18,2971
20712,"Frozen fowls of the species Gallus domesticus, not cut in pieces",0,0,0,0,0,0,0,0,0,,,4804,4863,5754,14764,27484,27898,37082,41525,34709,32922,,7109,12240,9171,11286,13577,5591,13850,26453,34507,28107
20742,"Frozen domestic ducks, not cut in pieces",0,0,0,0,0,0,0,0,0,,,89,29,132,139,167,449,120,218,161,459,,0,25,0,1,0,7,35,77,22,5
21012,"Bellies """"streaky"""" and cuts thereof of swine, salted, in brine, dried or smoked""""",0,0,0,0,0,0,0,0,0,,,28,5,22,5,19,18,16,4,37,44,,0,2,7,4,13,7,10,4,0,11
21092,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,11,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,
30119,Live ornamental fish (excluding freshwater),0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,3,0,0,,0,0,0,34,15,34,44,46,69,53
30194,"Live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",0,0,0,0,0,0,0,0,0,,,0,10,11,0,0,0,9,1,0,0,,0,0,0,0,0,0,0,0,0,
30232,"Fresh or chilled yellowfin tunas """"Thunnus albacares""""""""",0,0,0,0,0,0,0,0,0,,,0,0,10,0,4,2,1,6,0,67,,55,0,0,0,0,10,21,334,61,565
30239,"Fresh or chilled tunas of the genus """"Thunnus"""" (excluding Thunnus alalunga, Thunnus albacares, ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,,12,0,0,94,109,369,388,239,299,
30242,"Fresh or chilled anchovies """"Engraulis spp.""""""""",0,0,0,0,0,0,0,0,0,,,6,0,0,0,0,27,0,1,0,0,,6,0,0,20,0,590,62,0,0,5
30253,"Fresh or chilled coalfish """"Pollachius virens""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,5,0,10,3,0,,0,0,0,0,0,0,109,351,389,
30292,Fresh or chilled shark fins,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,30,
30299,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, ...",0,0,0,0,0,0,2,38,0,,,0,0,0,0,0,2,106,33,23,14,,0,0,0,0,0,0,99,76,12,
30326,"Frozen eels """"Anguilla spp.""""""""",0,0,0,0,0,0,0,0,0,,,0,33,96,73,8,16,2,8,0,14,,0,81,0,0,42,72,196,207,359,69
30344,"Frozen bigeye tunas """"Thunnus obesus""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,4542,3447,4895,2286,1675,6391,4831,4549,4007,5373
30359,"Frozen anchovies """"Engraulis spp."""", Indian mackerels """"Rastrelliger spp."""", seerfishes """"Scomberomorus ...""",0,0,0,0,0,0,0,0,53,,,0,0,0,0,35,3548,6150,2842,4567,3241,,0,0,0,0,0,0,14180,28979,24851,38238
30367,"Frozen Alaska pollack """"Theragra chalcogramma""""""""",4319,10018,9915,9602,4776,3000,5421,5738,6442,,,909669,959912,883402,918000,819625,763687,741318,984980,890773,601007,,4478,10280,11069,11204,7119,6121,7944,8726,8707,8785
30384,"Frozen sea bass """"Dicentrarchus spp.""""""""",0,0,0,0,0,0,0,0,0,,,4,27,66,41,56,162,256,359,170,289,,0,0,0,9,0,0,99,9,1,
30390,Frozen fish livers and roes,3,6,3456,7289,13553,16401,0,0,0,,,345044,285750,268579,248995,223942,0,0,0,0,0,,3659,2617,6348,8004,14672,17390,0,0,0,
30442,"Fresh or chilled fillets of trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, ...""",0,0,0,0,0,0,0,0,0,,,1,2,16,20,27,0,0,7,0,5,,515,309,8,406,127,0,2174,849,1027,65
30462,"Frozen fillets of catfish """"Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""""""""",0,0,0,0,0,0,0,0,0,,,16,0,487,307,1347,486,769,765,474,1926,,4610,203,4922,7041,8534,14702,54,527,161,2010
30496,"Frozen meat, whether or not minced, of dogfish and other sharks",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,36,0,0,0,,0,0,0,0,0,0,0,0,0,
30551,"Dried cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus"""", even salted, not smoked (excluding ...""",0,0,0,0,0,0,0,0,0,,,18105,10765,6642,4077,5863,4875,1840,2249,1776,1325,,0,0,0,0,1,0,0,0,0,
30571,"Shark fins, smoked, dried, salted or in brine",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,23,0,0,,846,1120,3872,2842,392,372,206,0,0,
30611,"Frozen rock lobster and other sea crawfish """"Palinurus spp."""", """"Panulirus spp."""" and """"Jasus ...""",462,521,933,833,1255,1041,0,0,0,,,0,0,1,1,2,8,0,164,16,7,,4351,6304,5836,7157,10744,5123,1693,940,320,205
30711,"Oysters, even in shell, live, fresh or chilled",0,0,0,0,0,0,0,0,0,,,0,28,16,14,11,13,6,5,2,2,,63,180,124,144,336,589,1198,3529,1308,643
30719,"Oysters, smoked, frozen, dried, salted or in brine",0,7,0,0,0,0,0,0,0,,,439,0,2,0,2,0,0,0,0,0,,168,156,120,196,224,315,0,19,0,3
30787,"Smoked, dried, salted or in brine, even in shell, abalone """"Haliotis spp.""""""""",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,31,72,7,390
30811,"Live, fresh or chilled, sea cucumbers """"Stichopus japonicus, Holothurioidea""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,13,30,3,0,0,,0,27,0,0,0,0,0,46,117,
30821,"Live, fresh or chilled, sea urchins """"Strongylocentrotus spp., Paracentrotus lividus, Loxechinus ...""",0,0,0,0,0,0,0,0,0,,,24089,19224,17475,15215,17193,19432,23180,26690,28873,30307,,0,0,0,7,62,33,136,326,352,95
40299,"Milk and cream, concentrated and sweetened (excluding in solid forms)",0,0,0,0,0,0,0,14,0,,,26785,23153,20008,13023,16507,16910,15134,13995,13239,12886,,995,2007,6147,9353,14023,15442,27556,16669,7746,9453
40410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening ...",0,0,0,0,0,0,0,0,0,,,785,3497,4025,998,2906,2633,1585,1882,5492,13333,,56182,49110,56579,48895,47683,49502,47861,47153,57030,80797
40719,Fertilised birds' eggs for incubation (excluding of domestic fowls),0,0,0,0,0,0,0,0,0,,,654,3003,4444,2979,848,1381,656,1762,2640,3437,,1,14,28,113,272,350,297,257,181,355
50400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ...",0,0,0,0,0,0,0,0,0,,,2107,7785,9372,7593,14385,27243,29490,31891,32310,28970,,2522,2925,1918,1923,1278,1784,1763,293,787,73310
50790,"Tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, ...",0,0,2,0,1,50,189,261,136,,,6790,7265,8001,11287,12025,11109,10802,7064,4767,6117,,638,1068,1269,1775,1092,1160,1885,2064,2148,982
60312,"Fresh cut carnations and buds, of a kind suitable for bouquets or for ornamental purposes",0,0,0,0,0,0,0,0,0,,,0,39,17,50,58,10,12,5,5,2,,748,819,219,399,51,63,44,108,538,365
70200,"Tomatoes, fresh or chilled",0,0,0,0,0,0,0,0,0,,,100,448,422,3458,2306,4376,4909,5507,6784,8542,,111,53,102,109,810,2000,758,1053,1370,35850
70420,"Brussels sprouts, fresh or chilled",0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,1,1,3,2,,3,2,3,2,2,1,1,14,35,88
70511,Fresh or chilled cabbage lettuce,0,0,0,0,0,0,0,0,0,,,109,557,807,670,514,135,200,517,160,156,,10,17,33,43,63,69,42,118,32,11747
70930,"Fresh or chilled aubergines """"eggplants""""""""",0,0,0,0,0,0,0,0,0,,,2,11,4,612,441,594,540,544,539,486,,0,0,0,0,0,0,0,13,10,265
71022,"Shelled or unshelled beans """"Vigna spp., Phaseolus spp."""", uncooked or cooked by steaming ...""",0,0,0,0,0,0,0,0,0,,,95,153,191,153,213,318,375,534,642,851,,1,1,1788,671,388,813,610,369,591,329
71080,"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excluding potatoes, ...",0,0,0,0,0,0,0,0,0,,,3515,3635,2710,3066,8206,4552,2419,2964,6488,7299,,457,349,765,804,680,1052,747,875,908,977
71151,"Mushrooms of the genus """"Agaricus"""", provisionally preserved, e.g., by sulphur dioxide gas, ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,59,58,186,42,110,3,1112,923,537,1120
71333,"Dried, shelled kidney beans """"Phaseolus vulgaris"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,0,,,565,749,601,461,722,565,643,1724,1878,1568,,593,313,245,197,592,778,2356,2389,2583,2860
71334,"Dried, shelled bambara beans """"Vigna subterranea or Voandzeia subterranea"""", whether or not ...""",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
71360,"Dried, shelled pigeon peas """"Cajanus cajan"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,33,0,1,2
80132,"Fresh or dried cashew nuts, shelled",0,0,0,439,0,0,0,0,0,,,421,38,601,1068,124,187,362,160,360,724,,11645,11660,23893,24896,31104,50689,93560,123638,141786,39328
80222,"Fresh or dried hazelnuts or filberts """"Corylus spp."""", shelled""""",0,0,0,0,0,0,0,0,0,,,51,137,491,403,371,177,688,136,160,343,,6,13,12,20,24,157,111,378,404,110
80231,"Fresh or dried walnuts, in shell",0,0,0,0,0,0,0,0,0,,,15,147,329,83,167,171,131,284,56,675,,4028,2180,123,200,709,4060,10210,24206,29167,43418
80251,"Fresh or dried pistachios, in shell",0,0,0,0,0,0,0,0,0,,,156,244,976,356,300,64,100,161,51,327,,112,709,166,523,144,151,12082,33866,61342,80714
80290,"Nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts, cashew ...",0,0,0,0,0,0,0,0,0,,,21137,2039,8536,7652,8830,9104,9716,10551,18927,29623,,231,683,200,243,731,917,1468,2016,2688,7002
80420,Fresh or dried figs,0,0,0,0,0,0,0,0,0,,,25,45,63,87,51,105,89,77,85,167,,19,10,13,15,41,54,159,165,62,278
80720,"Fresh pawpaws """"papayas""""""""",0,0,0,0,0,0,0,0,0,,,0,0,1,1,0,1,0,1,1,3,,1,1,0,0,0,0,0,0,0,
80929,Fresh cherries (excluding sour cherries),0,0,0,0,0,0,0,0,0,,,3,51,6,8,15,13,31,50,42,140,,3152,2997,5824,5844,9967,17551,21235,37037,41613,31968
81030,"Fresh black-, white- or redcurrants and gooseberries",0,0,0,0,0,0,0,0,0,,,0,3,1,3,9,7,7,24,32,34,,0,0,0,0,2,16,1,0,0,
81210,"Cherries, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,0,
81320,Dried prunes,0,0,0,0,0,0,0,0,0,,,326,434,662,315,220,361,311,309,665,977,,107,141,107,139,187,152,143,350,214,436
81340,"Dried peaches, pears, papaws """"papayas"""", tamarinds and other edible fruits (excluding nuts, ...""",0,0,0,0,0,0,0,0,0,,,222,572,472,529,377,281,403,652,587,710,,3778,8596,8369,94200,84506,154850,84321,30169,23373,38020
90220,Green tea in immediate packings of > 3 kg,0,0,0,1,0,0,0,3,0,,,83,389,191,449,467,418,337,524,507,485,,2020,2271,538,624,995,4330,7510,16487,5176,54070
90812,"Nutmeg, crushed or ground",0,0,0,0,0,0,0,0,0,,,67,102,67,74,96,90,80,103,105,86,,23,183,831,398,431,225,266,67,21,416
90821,"Mace, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,1582,1576,1627,1515,1431,1969,2113,4100,4911,2876
90931,"Cumin seeds, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,39,41,32,39,61,67,58,62,122,83,,225,308,430,172,808,2211,2429,2320,3139,3273
90962,"Juniper berries and seeds of anise, badian, caraway or fennel, crushed or ground",0,0,0,0,0,0,0,0,0,,,6,8,20,26,39,33,34,26,16,33,,3,5,9,13,31,21,6,46,22,12
100119,Durum wheat (excluding seed for sowing),0,0,0,0,0,0,0,0,0,,,37054,7416,24455,23135,33383,52140,87806,58350,38816,61759,,14041,4775,3,5077,3914,620,1387,0,64,21
100390,Barley (excluding seed for sowing),0,0,0,0,0,0,364,187,453,,,896693,553010,783410,888293,423284,730654,1022157,760432,897110,964468,,18504,17977,16493,16346,22297,35709,47887,62729,67690,164368
100590,Maize (excluding seed for sowing),0,0,0,0,12863,146985,23442,0,108733,,,572959,589537,699509,584171,854201,883268,849216,611443,390394,688083,,462771,624214,1170180,1614132,1644258,1474889,2085299,2288632,2382111,2338105
100640,Broken rice,0,0,0,0,0,0,0,0,0,,,3216,3256,1184,922,5282,12404,9551,7034,5029,7177,,2036,2060,1800,1947,3020,3735,4700,4620,6714,121378
110100,Wheat or meslin flour,0,0,0,17,0,18,24,26,0,,,65174,57222,47288,82488,71073,64383,69085,101653,77029,85852,,10738,8373,9651,9021,7491,11183,8678,17224,10026,9994
110412,Rolled or flaked grains of oats,0,0,0,0,12,7,0,6,33,,,9866,10940,10653,9429,9079,10129,9707,14331,14020,12422,,29,118,377,719,1016,1359,926,17999,3100,3813
110819,"Starch (excluding wheat, maize, potato and manioc)",0,0,0,0,0,0,0,0,0,,,33,23,32,7,210,209,113,212,285,470,,1108,787,1102,744,1490,3050,896,1167,2478,2423
120510,"Low erucic acid rape or colza seeds """"yielding a fixed oil which has an erucic acid content ...""",0,0,0,0,0,0,0,0,0,,,10526,39250,61944,16040,20970,70522,160049,154561,233478,144629,,69,77,296,377,292,70,32,34,31,52
121020,"Hop cones, ground, powdered or in the form of pellets; lupulin",0,0,0,0,0,0,0,0,0,,,64,80,55,221,724,826,781,1441,2600,2084,,2466,4143,4982,4466,11026,10044,15906,10953,9854,7850
