Product code,Product label,China's imports from Viet Nam-Value in 2012,China's imports from Viet Nam-Value in 2013,China's imports from Viet Nam-Value in 2014,China's imports from Viet Nam-Value in 2015,China's imports from Viet Nam-Value in 2016,China's imports from Viet Nam-Value in 2017,China's imports from Viet Nam-Value in 2018,China's imports from Viet Nam-Value in 2019,China's imports from Viet Nam-Value in 2020,China's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
741999,"Articles of copper, n.e.s.",695,199,311,206,188,165,200,137,257,181,,2525,6352,5819,6166,8521,20965,30757,41021,24818,17022,,377977,350148,370065,319997,269479,314908,332011,363676,412207,446752
722720,"Bars and rods of silico-manganese steel, hot-rolled, in irregularly wound coils",0,0,0,0,0,0,0,0,132,180,,0,0,0,33,54,0,0,3758,8297,31664,,61678,64929,60007,43646,39346,21386,18780,13769,18038,20991
621149,"Women's or girls' tracksuits and other garments, n.e.s. of textile materials (excluding of ...",102,248,151,272,265,317,585,811,299,179,,4452,3710,9307,15340,18733,20561,19863,18813,22123,73167,,10931,11946,16219,15051,20635,19123,21764,31174,40235,35387
680221,"Marble, travertine and alabaster articles thereof, simply cut or sawn, with a flat or even ...",3,5,1,0,101,21,126,159,173,177,,9483,11095,13234,18004,20200,20946,25603,27390,29064,30132,,7603,10486,9169,5366,4428,7404,8671,9476,3603,4121
940152,Seats of bamboo,0,0,0,0,0,353,338,312,308,176,,0,0,0,0,0,0,2627,3531,4159,10186,,0,0,0,0,0,476,455,523,344,210
701959,"Woven fabrics, incl. narrow fabrics, of glass fibres, of a width of > 30 cm (excluding plain ...",0,1,1,1,1,0,1,105,70,175,,7,165,82,316,1561,1653,1809,1983,2895,2517,,38965,34583,32579,29255,27999,35300,41042,32500,24237,23385
401180,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling ...",0,0,0,0,0,3,0,9,108,175,,0,0,0,0,0,0,9879,41394,42581,61939,,0,0,0,0,0,96996,114517,167160,138292,128317
60290,"Live plants, incl. their roots, and mushroom spawn (excluding bulbs, tubers, tuberous roots, ...",666,45,714,669,1824,2974,2111,423,319,175,,5782,4831,5634,6054,9739,14024,14772,19378,15434,14427,,48390,71232,70888,85543,66905,89395,96942,75748,82066,38656
960621,"Buttons of plastics, not covered with textile material (excluding press-fasteners, snap-fasteners, ...",90,57,407,400,143,124,157,154,120,175,,1308,1818,1547,1614,1634,1903,1692,1705,2194,1969,,71981,61369,56208,52507,47066,43368,40567,38264,21638,19844
871496,"Pedals and crank-gear, and parts thereof, for bicycles, n.e.s.",0,0,0,0,0,14,6,0,0,175,,71,14,19,44,30,38,908,573,4,6681,,46991,48661,57961,54408,41810,38016,37087,32292,34078,43024
400811,"Plates, sheets and strip of cellular rubber",1273,1695,1425,1210,86,23,77,4,54,175,,2281,4243,4816,3108,994,1843,4491,7129,4290,7020,,76150,78351,83008,75153,68869,63839,64106,57707,52918,58201
848079,Moulds for rubber or plastics (other than injection or compression types),282,241,306,107,5,219,232,284,209,174,,18349,27269,28710,33831,34290,37877,33037,39889,30453,15186,,126542,116538,119603,122475,112439,119485,125018,107045,88978,65980
731816,Nuts of iron or steel,2,5,35,11,19,61,248,176,191,172,,5302,7985,10755,11050,12722,15415,19291,17342,16471,18883,,509294,540143,611644,540087,576714,632319,639789,548045,513459,540798
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",1,239,1772,28,248,5,10,27,118,172,,422,175,668,514,2007,127,1423,4521,9166,357487,,206722,213903,297483,218807,184787,280151,383380,529203,416823,234538
581092,"Embroidery of man-made fibres on a textile fabric base, in the piece, in strips or in motifs ...",1,12,38,76,52,237,254,272,67,170,,1340,1639,1427,1924,2608,2068,1949,1254,565,1825,,36304,37950,35011,30128,26166,21925,18104,19676,10092,12610
30569,"Fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, ...",0,0,0,0,0,0,0,214,165,170,,1815,1792,785,563,750,1510,2081,1792,1420,865,,956,387,218,810,507,121,38,706,1697,484
732190,"Parts of domestic appliances non-electrically heated of heading 7321, n.e.s.",2,0,14,47,3,125,371,21,21,169,,1792,3352,5187,8054,16672,19321,31604,37703,44983,78686,,15827,19430,19078,19962,19409,26008,20978,16458,16970,16642
550390,"Synthetic staple fibres, not carded, combed or otherwise processed for spinning (excluding ...",4,0,0,0,0,0,3,0,36,168,,17,0,0,0,0,1170,5695,3182,806,6574,,91165,132633,177064,167460,150001,209854,258832,261576,264892,202915
620291,"Women's or girls' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles, ...",150,190,211,488,409,68,82,253,414,168,,10868,5154,3018,7186,6356,3595,3904,8247,3606,2377,,8131,5433,8451,7516,4772,5163,5883,6236,10760,24260
760820,Tubes and pipes of aluminium alloys (excluding hollow profiles),107,2,0,0,9,107,411,44,46,168,,7833,7985,8132,6288,8013,19990,30151,42376,44718,34849,,84650,74187,68483,56235,51240,62264,56284,45079,46486,44875
521032,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,49,79,145,77,112,188,187,110,168,,5,0,9,257,315,974,1827,1015,704,508,,5551,6800,2842,2994,2073,3330,3411,3982,3769,3441
640420,Footwear with outer soles of leather or composition leather and uppers of textile materials ...,52,82,48,119,74,36,182,204,244,166,,1109,2360,2603,738,871,796,942,2479,13284,16959,,18401,26976,28207,36547,29809,41960,61541,64950,59352,70948
610799,"Men's or boys' bathrobes, dressing gowns and similar articles of textile materials, knitted ...",0,343,64,273,6,28,58,238,263,166,,41572,16754,2204,9808,10942,8685,14193,27152,17749,30208,,166,1529,634,981,532,528,634,905,1015,877
630539,"Sacks and bags, for the packing of goods, of man-made textile materials (excluding of polyethylene ...",10,18,28,130,207,284,263,217,717,166,,1163,1454,2935,5087,8532,9947,14982,15546,15216,22550,,8735,16790,19119,18731,13211,13541,10528,11627,9022,7309
482030,"Binders (other than book covers), folders and file covers, of paper or paperboard",35,15,25,6,9,15,27,93,90,166,,20307,29994,44283,36076,36433,38335,23064,13763,25844,65622,,1028,966,1094,820,1051,631,711,782,1241,1348
320619,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,443,349,576,471,307,376,191,178,207,166,,3888,3882,4617,3997,9732,14372,12865,14779,17128,18007,,57275,72656,79193,74411,83757,92068,95083,86496,78705,74753
491199,"Printed matter, n.e.s.",0,20,136,185,13,8,129,256,75,166,,2053,1661,4319,5650,4725,4758,2894,21435,23029,20037,,169728,433290,448601,228148,209025,177103,168955,306974,305118,255419
960711,Slide fasteners fitted with chain scoops of base metal,25,12,33,35,574,11,33,116,71,165,,9898,10229,9076,10490,9276,7702,9051,9279,8676,4198,,50544,49302,45097,42936,33179,31742,28521,22585,11993,10852
722611,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,164,,134,261,51,116,110,331,416,1235,2626,1743,,49799,31008,22360,23322,10017,4615,6000,6915,54912,82408
540411,Elastomeric monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm,815,196,5,1,0,2,0,2,522,164,,0,0,1,34,2,2,29,44,891,2991,,30521,26251,20000,20468,21668,19078,19248,22402,20725,18202
520949,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, made of ...",0,4,0,0,15,2,14,1,5,164,,4,2,6,479,221,1309,287,220,279,448,,15124,16105,10009,11186,9881,6654,6636,4104,2770,4286
621220,"Girdles and panty girdles of all types of textile materials, whether or not elasticated, incl. ...",130,72,10,459,1470,1002,2960,2446,1268,164,,8508,8725,8619,10377,13702,7317,9446,11067,12220,18661,,4076,2421,4237,4284,8551,7525,6800,6027,4085,2228
610322,"Men's or boys' ensembles of cotton, knitted or crocheted (excluding ski ensembles and swimwear)",1,990,700,1479,3952,3557,2767,3950,1335,161,,1975,3713,10103,8553,7450,9074,8237,9727,7434,3380,,329,1347,1754,3357,6677,6451,4805,6652,4947,2047
390770,"Poly""""lactic acid"""", in primary forms""""",0,0,0,0,0,2,1,0,325,161,,0,0,0,0,6,2,0,43,2221,317,,13195,18927,13692,22116,21894,28789,37003,58462,82138,78845
441234,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,0,33,0,40,160,,0,0,0,0,0,0,157955,156991,179270,62872,,0,0,0,0,0,27462,22373,11236,4420,6619
440500,"Wood wool; wood flour wood powder able to pass through a fine"""", 0,63 mm mesh, sieve with ...""",28,68,44,99,146,95,6,46,0,160,,16293,21844,20745,18019,20654,18514,18831,19654,20826,15579,,300,497,719,854,1479,1819,1900,1088,3410,1965
251520,Ecaussine and other calcareous monumental or building stone of an apparent specific gravity ...,0,0,0,0,105,0,3410,3173,734,160,,727,9802,7216,6639,7930,14627,19297,16868,11714,204,,23547,29795,30483,21817,13934,20317,55103,62600,45084,57214
711590,"Articles of precious metal or of metal clad with precious metal, n.e.s.",0,0,0,0,56,105,20,0,1,158,,2517,2586,3271,4668,2851,2448,5338,4251,551,706,,450066,315258,254086,215841,230842,309611,223438,328006,331134,444794
640351,"Footwear with outer soles and uppers of leather, covering the ankle (excluding incorporating ...",31,96,28,16,6,2,241,240,133,156,,1308,567,3788,525,1516,1373,5505,6736,6123,16138,,20792,33695,38543,30329,22236,25943,42161,45591,42532,53310
846719,"Pneumatic tools for working in the hand, non-rotary type",0,0,0,0,0,0,0,1,7,155,,12,503,35,21,127,12,46,132,18068,13886,,38153,37371,38792,32048,31690,35807,35682,28568,25497,32873
853329,Fixed electrical resistors for a power handling capacity > 20 W (excluding heating resistors),0,1,5,0,0,1,23,19,91,154,,7075,140,195,278,1136,883,4022,4340,9828,7357,,66042,52475,64204,56739,56086,66864,65460,57679,59963,70902
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,9,26,4,5,15,0,50,341,18,154,,586,140,359,918,75,4544,2671,1600,393,180994,,2380095,1909006,1930221,1732912,1570356,2166631,2265721,2148425,2432635,1876872
730640,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excluding ...",0,9,44,47,57,19,12,1,1,153,,38068,35812,49811,49951,49158,76271,104796,101225,103029,102170,,115672,107540,109380,110431,123901,136942,186791,137920,106747,147087
330620,"Yarn used to clean between the teeth """"dental floss"""", in individual retail packages""""",1,0,3,20,144,77,108,155,177,153,,686,1479,2816,3679,2549,2144,3414,4121,5028,7117,,2477,2128,2988,3850,4670,5859,8593,11212,12891,15058
611699,"Gloves, mittens and mitts, of textile materials, knitted or crocheted (excl. of wool, fine ...",19,113,196,10,14,6,40,5,120,153,,5201,4329,5459,5189,7364,8677,8355,8735,7677,5700,,507,680,806,667,1323,883,314,439,438,423
390599,"Polymers of vinyl esters and other vinyl polymers, in primary forms (excluding those of vinyl ...""",0,0,0,0,0,0,0,39,109,153,,32,1111,662,15,22,20,1,91,231,157,,118995,127348,131947,155777,157004,167738,183023,180885,160160,196895
680293,"Granite, in any form, polished, decorated or otherwise worked (excluding tiles, cubes and similar ...",0,2,0,10,2,11,1,28,73,152,,1846,6868,10763,2423,1929,3112,2963,18104,25481,35489,,2345,3424,5838,3446,4524,5208,6276,5269,5666,10270
722530,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...",0,0,0,0,0,0,0,0,0,152,,15,94,3656,3046,1666,4948,793,125,546,5334,,185520,158357,131215,119515,89304,139313,166543,141844,264845,297571
853921,Tungsten halogen filament lamps (excluding sealed beam lamp units),0,0,1,33,299,200,65,52,48,152,,739,1014,2011,2241,2637,2867,3745,3251,2698,6325,,125396,132319,132933,124819,133161,111411,109285,80722,62284,55975
381010,"Pickling preparations for metal surfaces; soldering, brazing or welding pastes and powders ...",0,0,0,0,2,7,0,1,5,151,,41,70,651,873,426,655,630,1014,722,1337,,176399,153967,144674,127743,118840,133874,147518,135918,146068,159610
847981,"Machinery for treating metal, incl. electric wire coil-winders, n.e.s. (excl. industrial robots, ...",1,75,269,0,62,0,970,685,388,151,,1828,813,841,805,1063,693,3757,1959,1023,4693,,1025316,808610,856089,727441,668077,697660,800763,834948,597025,670995
440719,"Coniferous wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,246,269,351,255,151,,0,0,0,0,0,0,134,470,490,2855,,0,0,0,0,0,328535,308256,241939,183580,432467
820150,"Secateurs and similar one-handed pruners and shears, incl. poultry shears, with working parts ...",95,99,119,125,96,39,126,172,44,150,,2349,3225,4333,4204,3892,6424,9746,14713,22579,18167,,2736,2710,3091,4545,4350,4743,4919,5546,4825,4337
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",1,88,53,186,285,255,154,2094,9548,149,,8791,8376,6914,4466,13199,14782,16650,15391,27889,50912,,302887,315360,284001,285403,300838,358640,349336,320412,314134,358082
40299,"Milk and cream, concentrated and sweetened (excluding in solid forms)",0,0,0,0,0,0,0,0,30,148,,67129,46745,39341,29219,15247,9718,13359,12805,15279,6706,,1303,4943,1818,2089,8987,16367,21661,28392,27226,26311
901790,"Parts and accessories for drawing, marking-out or mathematical calculating instruments and ...",0,0,0,1,0,0,0,0,0,148,,88,50,8,1,41,10,17,18,9,643,,30673,27702,29257,29829,27780,36395,39313,30345,29865,31752
293379,"Lactams (excluding 6-hexanelactam """"epsilon-caprolactam"""", clobazam """"INN"""", methyprylon """"INN"""", ...""",0,0,0,0,0,0,0,0,0,147,,0,2,0,4,0,0,0,0,0,175,,36834,43793,48503,42111,55160,70064,61860,81697,94090,125798
380690,"Derivatives of rosin, incl. salts of rosin adducts, and of resin acids, light and heavy resin ...""",0,0,0,0,0,0,0,0,0,146,,3,29,79,0,52,104,193,186,4211,4828,,17977,16620,23948,22999,21481,16255,16277,15172,22226,18218
490900,"Printed or illustrated postcards; printed cards bearing personal greetings, messages or announcements, ...",0,1,7,41,22,9,28,44,31,146,,1916,1618,1828,1574,3035,5610,12133,15318,19343,47906,,1870,2023,2227,1679,2137,1417,2168,2728,3049,3071
853929,"Filament lamps, electric (excluding tungsten halogen lamps, lamps of a power <= 200 W and for ...",1,1,241,326,242,224,283,137,72,146,,6911,7435,7938,8222,10006,10260,6574,4995,3516,8254,,92942,91812,94844,84395,84916,81172,71900,47627,41815,41105
620711,Men's or boys' underpants and briefs of cotton (excluding knitted or crocheted),82,24,3,17,116,24,177,274,116,145,,31982,39901,54521,41320,69417,71274,61667,68121,49832,89394,,1666,2303,2502,2497,1040,1211,2021,1998,2079,2445
851718,Telephone sets (excluding line telephone sets with cordless handsets and telephones for cellular ...,739,695,745,669,274,331,400,163,202,145,,60390,2218,1000,72663,1925,3734,2534,2214,2662,45259,,83326,142910,36713,36717,26131,21227,18336,19492,14363,13042
520543,"Multiple """"folded"""" or cabled cotton yarn, of combed fibres, containing >= 85% cotton by weight ...""",0,0,0,0,5,127,141,142,186,142,,259,433,224,200,219,476,1154,798,1518,641,,8119,7913,10027,11504,6651,9927,8813,3240,3244,1760
903089,"Instruments and apparatus for measuring or checking electrical quantities, without recording ...",0,164,111,149,100,213,50,9,18,141,,656,2263,878,1153,3275,2348,1265,1282,825,1694,,300504,268020,276775,241902,235290,239760,232293,206873,201870,206273
440398,"Eucalyptus """"Eucalyptus spp."""" in the rough, whether or not stripped of bark or sapwood, or ...""",0,0,0,0,0,0,0,0,0,141,,0,0,0,0,0,0,7,3,12,149,,0,0,0,0,0,105168,111517,131073,128900,174722
610349,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of textile materials, ...",26,220,82,113,313,318,218,1493,2280,140,,46723,70753,74113,83672,57042,81946,58079,50053,32698,6339,,437,889,771,2590,5261,6156,5594,6447,5753,4360
843139,"Parts of machinery of heading 8428, n.e.s.",4,19,78,3,19,26,327,236,148,140,,1515,3927,5002,4595,5193,6127,5216,6401,7920,25590,,236344,314004,305864,293219,299546,352377,394139,351219,309248,383264
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",0,4,1,63,5,0,21,37,105,139,,16532,12270,4615,9518,9074,15445,17541,46765,215689,765478,,138033,131331,136706,104380,93947,91471,93245,84721,62106,59527
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",36,300,1524,100919,20333,357,1465,343,119,139,,7,30,1148,2897,16976,2823,10338,15309,21264,13602,,4876587,7405348,7103862,6922427,5318306,5661295,9220601,6811285,8174986,9188031
851190,"Parts of electrical ignition or starting equipment, generators, etc. of heading 8511, n.e.s.",99,23,83,156,98,55,53,48,42,139,,18661,18980,16551,12370,10639,11646,15888,21204,25327,24625,,197938,218958,221696,188296,211762,256547,253504,244058,300585,297793
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",0,0,485,303,508,435,177,273,155,139,,2964,3375,6785,18452,75382,135627,107974,136008,173131,11515,,85307,109284,122390,126108,110275,99702,116478,84338,76301,83730
960630,Button moulds and other parts of buttons; button blanks,0,2,24,459,362,74,140,196,139,137,,168,119,119,211,230,293,709,972,1094,2490,,12196,9803,9586,9776,9291,10745,11523,10743,8044,11496
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",0,0,11,0,0,0,0,2,14,136,,1464,1403,1287,1256,1228,1450,1654,1969,2874,3403,,258031,356415,340690,243656,189189,315698,360203,299293,255338,249060
600522,"Dyed cotton warp knit fabrics """"incl. those made on galloon knitting machines"""", of a width ...""",2,0,0,0,1,0,0,6,3,136,,74,48,2123,2976,6581,1996,1395,1806,1791,5039,,4464,6134,5160,3699,2245,1353,1080,970,1088,1936
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",190,0,0,0,0,0,0,0,0,136,,3911,3454,21887,11615,13768,12318,16596,18376,21012,104688,,152656,30735,47251,38131,13533,12207,0,0,0,41649
620821,"Women's or girls' nightdresses and pyjamas of cotton (excluding knitted or crocheted, vests ...",1,22,1,51,90,209,549,1001,25,136,,1568,5094,8139,18489,22853,13104,11730,8886,24701,43762,,521,1062,2546,3007,2577,3694,7494,4584,2268,4945
390461,"Polytetrafluoroethylene, in primary forms",0,0,0,0,0,0,0,0,0,134,,7,8,404,42,12,19,0,190,40,180,,66955,75243,80942,70690,77211,77770,79239,74300,79936,86846
690911,"Ceramic wares for laboratory, chemical or other technical uses, of porcelain or china (excluding ...",3,0,0,0,0,0,47,16,43,134,,1,0,0,9,42,8,28,4,740,3017,,30552,39384,42141,36317,38449,52500,70126,66326,73803,110977
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",0,3,0,77,214,62,489,290,160,132,,208,672,1045,1032,1052,1415,1308,1495,1266,1950,,554846,570010,635520,626903,651434,659222,720366,755544,820716,830365
321310,"Sets of artist's, student's or signboard painter's colours, modifying tints, amusement colours ...",5,1,28,56,48,12,5,0,22,132,,9,35,85,88,87,231,297,830,1050,4217,,1343,1966,3340,3757,5033,6292,6929,6474,6989,6963
611522,"Pantyhose and tights of synthetic fibres, knitted or crocheted, measuring per single yarn >= ...",0,1,0,0,0,11,0,0,14,131,,261,233,732,5403,20100,31884,40027,7854,4257,6520,,3752,2654,3518,4822,5805,5326,5751,4853,3986,2920
850990,"Parts of electromechanical domestic appliances, with self-contained electric motor, n.e.s. ...",3,1,205,0,0,0,0,0,4,131,,9,43,1043,1043,67,161,247,106,39,1455,,80299,77920,78549,87791,97553,107556,124192,120002,103884,107468
391722,"Rigid tubes, pipes and hoses of polymers of propylene",0,0,1,6,17,12,66,136,143,131,,274,455,796,1125,1920,2107,2603,2540,2279,5781,,20590,22939,27470,27902,41558,47991,41979,35817,37393,41665
390750,"Alkyd resins, in primary forms",0,0,0,0,0,0,0,93,241,128,,749,403,460,306,489,333,330,505,1019,1423,,40801,36265,33514,26496,24915,26142,26610,16699,15526,20997
560391,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing <= 25 ...",156,223,208,40,13,1,4,2,1572,128,,190,418,604,338,486,1576,2545,3159,5772,4077,,12246,11277,13472,15233,16580,20838,18471,16380,65649,19569
550620,"Staple fibres of polyesters, carded, combed or otherwise processed for spinning",0,5,0,0,2,17,282,684,67,127,,0,28,333,1054,1114,1544,1918,2129,1470,1083,,3266,7201,8864,10993,8054,9826,7519,6591,6040,7865
843131,"Parts of lifts, skip hoists or escalators, n.e.s.",12,168,873,85,42,3,16,10,7,126,,3568,6021,11681,8654,7722,6300,5961,5592,8921,9212,,138009,121694,153137,144817,97058,104234,129751,113878,91632,93690
842489,"Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying ...",4,0,0,0,0,1,24,15,92,125,,1591,1352,2353,5871,3819,6256,5479,5863,13022,27070,,843129,770523,900036,813285,730761,923772,948627,888866,803573,803000
440929,"Wood, incl. strips and friezes for parquet flooring, not assembled, continuously shaped """"tongued, ...""",182,0,75,10,21,158,88,63,56,123,,43799,33100,32011,29132,29939,22198,25166,23060,22543,37615,,27660,27117,33537,38964,50072,24834,16410,14813,24963,56706
390940,"Phenolic resins, in primary forms",4877,5729,2725,1172,609,150,1,0,0,123,,4020,6725,2812,1504,1054,708,1963,4097,3885,5157,,328327,354246,318879,276263,278791,298918,308635,287340,305086,377220
460290,"Basketwork, wickerwork and other articles, made directly to shape from non-vegetable plaiting ...",143,186,91,60,256,401,516,153,189,123,,34213,36165,39568,43747,41858,44441,41614,53262,65116,82516,,2277,1601,1270,1404,1117,1341,1256,911,641,737
610210,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",2,1,51,191,25,144,60,112,42,122,,909,2127,1558,2675,2794,8298,12949,1668,1220,3432,,3480,4111,5447,4859,6288,7070,9839,11010,17131,27212
291221,Benzaldehyde,0,0,0,0,0,0,0,0,0,122,,0,0,0,0,0,0,0,0,0,200,,3812,6581,5653,5245,4744,4184,3998,2324,1348,1193
611231,"Men's or boys' swimwear of synthetic fibres, knitted or crocheted",93,3,337,77,47,36,219,84,57,122,,1281,2801,8871,11415,11963,12998,17379,23991,20398,21994,,1436,870,2351,1430,910,1599,2327,2319,960,1221
940310,Metal furniture for offices (excluding seats),0,2,1,11,3,109,2,1,5,120,,12399,11308,11639,12264,11440,10504,12834,26599,68859,14256,,13951,14996,13750,15596,18429,20935,21919,20795,14357,15613
610422,"Women's or girls' ensembles of cotton, knitted or crocheted (excluding ski ensembles and swimwear)",7,611,933,1110,3177,3990,3113,2240,718,118,,14611,9226,3747,15110,7826,7197,20139,21088,13283,5561,,452,2673,2586,3559,7336,7172,5247,5128,3500,2787
550992,"Yarn containing predominantly, but < 85% synthetic staple fibres by weight, mixed principally ...",6,0,43,147,91,119,0,0,78,118,,128,300,762,381,492,97,42,134,1,286,,5860,6422,3085,2104,2494,2091,2485,2184,925,908
750720,"Tube or pipe fittings, of nickel",0,0,0,0,0,94,0,0,0,118,,13,0,0,414,0,4,0,12,0,127,,23616,24858,15902,9383,8841,10642,18039,16389,13906,16066
830160,"Parts of padlocks, locks, clasps and frames with clasps, incorporating locks, of base metal, ...",3,113,42,101,56,86,117,24,33,117,,1215,1676,1288,1156,1420,2441,5350,3984,6901,29308,,190299,202957,211556,182762,208773,202379,211328,190590,224836,205310
620899,"Women's or girls' singlets and other vests, briefs, panties, n?glig?s, bathrobes, dressing ...",4,1,1,10,24,48,16,16,24,117,,9508,15082,12904,9484,8610,9623,15486,15838,14392,6275,,726,1324,2019,1475,1396,1130,961,1552,1685,1438
901590,"Parts and accessories for instruments and appliances used in geodesy, topography, photogrammetrical ...",209,117,92,94,0,0,74,387,779,117,,4194,1734,1900,1822,1809,1743,1367,1065,894,5198,,233379,194600,214261,158313,87164,107403,174315,207265,305987,300713
600642,"Dyed fabrics, knitted or crocheted, of artificial fibres, of a width of > 30 cm (excluding ...""",19,16,50,1,467,1702,385,269,362,116,,156,925,1385,3070,2923,6553,6137,101734,177520,4381,,54302,46445,36154,28823,31333,29152,21556,13798,9023,8052
540710,"Woven fabrics of high-tenacity yarn, nylon, other polyamides or polyesters, incl. monofilament ...",13,0,29,0,7,14,0,45,0,116,,5053,5003,9038,17872,20442,19583,18598,17728,14642,15898,,30489,30351,20615,18483,20805,21720,26381,25225,23637,24017
480254,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",0,0,0,0,0,0,206,830,645,116,,620,748,726,249,77,4,10,101,2,280,,14924,9767,8275,6645,6854,6810,9192,8037,6850,6924
480451,"Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or ...",0,0,0,0,0,707,829,2960,15,115,,34,47,6,0,2,825,353,5839,2400,12733,,19133,23560,24412,23895,28168,36055,52782,66624,48880,41189
200811,"Groundnuts, prepared or preserved (excluding preserved with sugar)",0,0,6,139,201,61,136,215,827,115,,7350,6655,8007,6796,8732,8035,8811,9606,10220,7679,,10652,9689,9762,12190,15919,12159,10767,11855,10796,7388
842699,"Ships' derricks; cranes, incl. cable cranes (excluding overhead travelling cranes, transporter ...",87,306,217,233,73,79,0,0,420,113,,8456,8280,4925,3831,4074,3958,4647,6617,8512,5123,,76819,53018,80768,108628,54199,32100,49499,25067,26437,10991
853950,"Light-emitting diode """"LED"""" lamps""""",0,0,0,0,0,81,17,88,45,112,,0,0,0,0,0,0,2423,21576,9996,19806,,0,0,0,0,0,247242,101872,32159,37320,36653
680291,"Marble, travertine and alabaster, in any form (excluding tiles, cubes and similar articles ...",82,152,86,72,85,132,127,192,160,111,,1960,5562,7221,5134,8543,5856,4296,12027,7557,38338,,10985,12703,12286,10024,12349,11052,14607,17744,11003,11848
845229,"Sewing machines, industrial type (excluding automatic units)",0,0,34,5,4,2,1,192,0,111,,73243,77265,72707,73173,76109,75144,96306,119413,70905,84672,,8696,7270,5947,5861,7244,8877,8123,6108,4544,6528
140110,Bamboos,0,0,3,0,0,70,53,295,488,108,,4109,5540,8856,10932,9821,1632,1487,6923,13395,9751,,2837,2951,2605,1417,967,966,842,1620,1846,947
401610,"Articles of cellular rubber, n.e.s.",240,237,183,54,104,80,35,7,30,108,,938,1734,2661,3112,2249,3517,2434,2712,2450,3474,,52099,50275,51353,49268,51407,48737,52788,43058,39655,44875
950590,"Festival, carnival or other entertainment articles, incl. conjuring tricks and novelty jokes, ...",54,70,76,222,24,21,87,200,156,108,,4687,4479,5910,7588,8304,8981,11784,13442,12848,30699,,2061,2748,3393,6871,13300,7865,9066,7793,4975,14688
732510,"Articles of non-malleable cast iron, n.e.s.",13,18,39,1,2,26,90,55,142,107,,9948,11463,13640,17167,24610,22361,31088,30333,31412,19830,,40138,31580,37327,23464,26289,32894,41983,32856,33424,32614
170199,"Cane or beet sugar and chemically pure sucrose, in solid form (excluding cane and beet sugar ...",0,131,0,0,0,6952,15846,90,193,106,,46866,247582,118376,57921,8263,28117,21989,6971,1186,1824,,219780,198889,182576,314396,221754,245437,237948,190742,264143,288942
853990,"Parts of electric filament or discharge lamps, sealed beam lamp units, ultraviolet or infra-red ...",0,37,0,0,0,0,1074,2090,2106,106,,252,6635,12930,199,183,1946,2207,2714,5270,2643,,206880,222788,233004,152131,133220,124025,124747,85921,73019,75541
