Product code,Product label,"Taipei, Chinese's imports from United States of America-Value in 2012","Taipei, Chinese's imports from United States of America-Value in 2013","Taipei, Chinese's imports from United States of America-Value in 2014","Taipei, Chinese's imports from United States of America-Value in 2015","Taipei, Chinese's imports from United States of America-Value in 2016","Taipei, Chinese's imports from United States of America-Value in 2017","Taipei, Chinese's imports from United States of America-Value in 2018","Taipei, Chinese's imports from United States of America-Value in 2019","Taipei, Chinese's imports from United States of America-Value in 2020","Taipei, Chinese's imports from United States of America-Value in 2021",United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
844339,"Printers, copying machines and facsimile machines, whether or not combined (excluding those ...",684,280,412,166,247,78,99,90,350,501,,178115,147370,129749,111467,112903,127333,143843,98543,81318,104949,,12952,11634,7695,9090,7713,5366,4266,4397,3403,4143
760820,Tubes and pipes of aluminium alloys (excluding hollow profiles),1491,1257,979,514,670,329,294,788,408,501,,207569,211590,249248,230380,230760,252561,262302,215463,184183,225049,,9548,9614,8361,7160,7975,7559,7163,6448,6355,15855
180500,"Cocoa powder, not containing added sugar or other sweetening matter",339,379,466,486,559,663,708,803,593,500,,100702,88463,78160,75474,117618,88622,77977,78853,95585,116061,,12717,12132,9271,9824,10177,10200,10083,11259,11128,11929
730792,"Threaded elbows, bends and sleeves, of stainless steel (excluding cast or stainless products)",812,425,458,404,281,275,499,270,453,500,,263049,272201,278774,195199,165842,179596,189549,175263,137379,163842,,6753,4888,4983,5396,4937,5038,4547,4438,4497,3610
330710,"Shaving preparations, incl. pre-shave and aftershave products",251,295,176,319,445,539,455,570,505,498,,68558,72311,76397,95835,81845,79881,89420,87714,87216,75393,,1703,2023,1784,2174,1946,2240,1851,2168,2006,1986
170290,"Sugars in solid form, incl. invert sugar and chemically pure maltose, and sugar and sugar syrup ...",756,487,993,901,852,604,563,514,510,497,,101174,99312,93784,111676,118544,126056,132100,133180,119454,150737,,8511,9173,9056,9828,9020,9618,11901,11353,10728,13182
970500,"Collections and collector's pieces of zoological, botanical, mineralogical, anatomical, historical, ...",421,211,444,363,397,1502,406,383,527,496,,183124,191631,142826,133766,142243,163370,269330,228886,227045,291009,,572,2161,781,1257,975,1757,806,561,800,2118
292429,"Cyclic amides, incl. cyclic carbamates, and their derivatives; salts thereof (excluding ureines ...""",537,1303,638,710,950,653,663,419,368,495,,406209,374664,425116,328565,252863,294915,316123,298357,327858,309532,,32121,30877,30752,23336,29688,28815,31353,23577,30100,34957
830250,"Hat-racks, hat-pegs, brackets and similar fixtures of base metal",331,350,276,426,509,1101,319,274,425,493,,149209,170412,192844,203289,185938,187538,191641,197567,162427,181061,,4443,5545,5313,6523,6108,7016,7385,9518,16879,21627
711011,"Platinum, unwrought or in powder form",1331,1224,1091,662,524,536,497,2916,423,492,,691670,687774,929182,541273,507910,630650,754190,497717,887440,982929,,14608,6313,24304,3284,11530,8969,9329,11142,14046,17920
830210,"Hinges of all kinds, of base metal",234,507,483,672,798,1206,1300,2020,969,491,,230088,251303,257790,261574,262558,286508,294082,295450,246579,265546,,35845,35364,23924,20968,22216,22126,22721,27021,28435,36727
680520,"Natural or artificial abrasive powder or grain, on a base of paper or paperboard only, whether ...",347,913,559,811,612,412,483,432,407,489,,108832,119118,122379,115369,118082,127649,115367,111876,105609,120552,,10276,10449,9614,8466,8301,7669,7905,7292,6725,7274
291570,"Palmitic acid, stearic acid, their salts and esters",2974,8777,579,491,411,225,530,537,498,488,,56665,62032,61142,61125,59571,62516,65708,63175,61287,66614,,25001,28327,22450,18487,16454,17294,18829,14767,15713,18381
152110,"Vegetable waxes, whether or not refined or coloured (excluding triglycerides)",379,252,248,151,154,198,108,117,201,488,,14686,12813,12345,12303,13666,14547,14376,14052,15466,24131,,4154,3891,5122,3845,2649,2517,2662,2455,1838,2268
290311,"Chloromethane """"methyl chloride"""" and chloroethane """"ethyl chloride""""""""",102,153,90,141,99,142,150,556,382,487,,19704,11770,14171,12318,8981,7356,9174,7932,7490,9507,,4123,3664,846,901,806,443,150,556,426,598
230690,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",854,135,121,213,273,331,390,598,473,485,,22117,23778,41044,31781,4324,3422,2782,2752,3731,5450,,10239,9491,10613,11391,8836,8225,10082,10726,9438,8968
722211,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only hot-extruded, of ...",326,176,17,128,17,152,876,392,270,485,,92247,76666,73888,58814,50268,80518,55157,57299,49781,50979,,24972,14723,19451,10560,8905,9026,10977,10144,8332,12826
842390,"Weighing machine weights of all kinds; parts of weighing machinery, n.e.s.",480,411,396,414,272,221,450,337,422,485,,103146,96082,112451,109694,98105,81692,76957,72841,66000,72300,,3297,3259,3658,3267,3308,4100,4547,3931,6243,9620
701400,"Signalling glassware and optical elements of glass, not optically worked (excluding clock or ...",710,232,347,347,276,367,256,262,377,484,,89746,78982,88224,75352,58496,62776,70028,60076,61635,76568,,58822,36607,30789,33646,38593,28241,32243,26478,22505,33846
851629,Electric space-heating and soil-heating apparatus (excluding storage heating radiators),669,55,61,118,258,185,242,327,325,481,,72824,76765,73172,62981,64930,69089,82316,83172,71959,88034,,17652,14868,25545,26386,32170,31937,39446,24804,30204,43924
580632,"Narrow woven fabrics of man-made fibres, with a width of <= 30 cm, n.e.s.",138,167,155,122,77,199,114,86,403,481,,160158,151327,158114,160387,156536,165445,173088,153534,125283,151208,,4002,4558,6256,6616,6809,8749,9287,10639,7362,9317
282090,Manganese oxides (excluding manganese dioxide),539,702,569,502,532,608,627,543,592,479,,14776,16819,17969,13357,10627,12039,12167,10198,10801,11969,,7022,6270,5881,5187,3636,4779,6529,3482,4807,11360
300620,Reagents for determining blood groups or blood factors,327,435,698,719,802,882,875,900,492,478,,141309,85629,90022,80522,81918,86126,90958,82245,87167,93792,,357,464,811,840,943,1118,1464,1693,1813,1955
251200,"Siliceous fossil meals, e.g. kieselguhr, tripolite and diatomite, and similar siliceous earths, ...",2321,2257,2562,2789,2620,1758,1716,1128,876,474,,50922,49023,44554,41033,38472,45148,41912,39654,39594,45755,,4075,3575,4263,4885,4791,3874,3732,3397,3216,3037
730690,"Tubes, pipes and hollow profiles """"e.g., open seam, riveted or similarly closed"""", of iron ...""",235,509,2461,463,219,163,146,285,251,474,,116069,83929,77782,62704,62000,78904,77820,55660,42627,47114,,10095,6940,9622,7495,7236,5055,4405,8315,7545,14430
741529,"Rivets, cotters, cotter pins and the like, not threaded, of copper (excluding spring washers ...",12,65,13,46,22,112,236,207,283,473,,26042,34672,25698,25029,24033,18926,20971,23559,18998,27717,,88,300,132,247,186,266,525,430,532,883
440890,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ...",3435,1172,1559,1170,749,471,2370,800,388,473,,267107,272728,289646,276617,263641,253779,268874,247500,239588,305920,,45486,58321,64127,62485,80930,64034,100282,72655,65333,80614
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",1370,1161,1253,1865,749,921,606,578,305,470,,684816,707469,721299,677660,616940,588309,586507,537040,483612,567817,,106094,109789,120363,119155,111166,109092,111380,114953,110440,118515
390421,"Non-plasticised poly""""vinyl chloride"""", in primary forms, mixed with other substances""""",2389,1950,2431,1929,1546,1652,1814,1153,1160,470,,166970,161885,119132,113739,99954,94443,107540,109218,104067,133959,,3845,4543,5999,5533,5517,8432,6436,5382,6166,9434
842131,Intake air filters for internal combustion engines,497,758,460,522,383,552,467,363,603,469,,450580,476869,522876,548404,587310,519252,545372,533308,485260,558897,,9652,10235,8921,8672,11842,10862,12135,10183,13639,15663
293219,"Heterocyclic compounds with oxygen hetero-atom[s] only, containing an unfused furan ring, ...""",893,1425,943,1006,908,907,685,610,585,465,,23880,47993,47764,41250,71939,81163,56024,58097,58139,55472,,7303,5527,7191,7278,8925,6729,7235,7742,9414,6195
292690,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine """"dicyandiamide"""", fenproporex ...""",71,280,214,363,401,447,542,482,592,464,,432651,434125,319285,283898,396644,440837,604547,768978,564476,561857,,22322,20733,27219,21580,18608,11050,10035,8955,9925,11694
370710,"Sensitising emulsions """"for photographic uses""""""""",3490,4274,9462,11383,6085,6614,5872,554,428,463,,16244,14280,14744,13427,14560,15005,13719,15830,16199,22215,,47846,62511,136003,93051,81999,80344,51927,6777,4673,3584
291539,"Esters of acetic acid (excluding ethyl, vinyl, n-butyl and dinoseb [ISO] acetates)",1992,1292,1190,885,4146,5329,6199,1813,621,462,,172626,181879,185544,151976,136288,155070,178115,155442,160895,202021,,24648,21793,25194,21123,26393,27421,43157,25061,24562,57753
740921,"Plates, sheets and strip, of copper-zinc base alloys """"brass"""", of a thickness of > 0,15 mm, ...""",13,32,20,17,25,18,25,13,9,462,,136597,162493,150148,113358,102269,132572,112813,63550,52434,67380,,14921,10787,13349,13128,12416,21088,19102,16802,16828,33956
480431,"Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or ...",3358,2923,2832,1155,1709,1990,2251,1263,310,461,,128587,108906,117177,111207,106074,108390,121611,111397,109833,114352,,14803,18003,18043,13412,14580,16567,19473,17899,21161,26337
820412,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, adjustable ...",147,208,262,216,341,383,289,265,346,461,,48567,49034,45006,44784,36651,38376,44339,40736,31565,38378,,7327,7632,7362,8735,8357,9115,10151,10187,8612,10992
300432,"Medicaments containing corticosteroid hormones, their derivatives or structural analogues ...""",1909,1943,2152,1764,1319,827,1048,728,680,458,,329447,373281,397185,400592,255211,167943,207326,456977,349216,446090,,15528,19702,20944,19060,19470,22597,22200,24294,26776,33097
850421,"Liquid dielectric transformers, having a power handling capacity <= 650 kVA",3,0,111,36,4,2,499,385,150,457,,122225,136237,155458,151892,94766,87067,87493,86462,75062,73502,,21,96,216,6348,88,260,829,803,5419,9506
390939,"Amino-resins, in primary forms (excl. urea, thiourea and melamine resins and MDI)",0,0,0,0,0,79,46,21,186,457,,0,0,0,0,0,59620,55507,55354,32078,20767,,0,0,0,0,0,1097,837,840,901,1705
850511,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,278,506,159,370,695,331,235,281,293,456,,146377,126195,145244,94083,104868,118595,130159,100625,94352,109432,,63885,68562,72566,72842,73361,86596,90404,81526,72327,131521
920290,"Guitars, harps and other string musical instruments (excluding with keyboard and those played ...",759,749,780,616,820,661,501,486,548,456,,132950,134559,143869,151287,149081,131560,140150,152842,125230,166875,,6310,5273,4215,4073,3906,3023,2925,2810,3002,3298
283990,"Silicates, incl. commercial alkali metal silicates (excluding sodium silicates)",470,423,379,435,456,420,515,289,402,455,,38145,46199,56798,45537,37026,33732,37950,41484,36424,46021,,3967,3288,3496,2729,2398,3294,2440,2296,2991,3207
420212,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar containers, ...",305,708,734,958,743,560,472,418,363,454,,116022,132424,116439,110829,106739,96056,112185,113881,90811,122529,,60304,62070,79063,83687,95037,88302,88898,106315,61929,55081
80540,Fresh or dried grapefruit,508,594,884,589,732,1020,247,166,423,454,,158849,134719,123817,122314,104349,79359,66626,71459,70290,51880,,3307,4241,3190,2275,2064,3239,2578,1764,2293,3094
400599,"Compounded, unvulcanised rubber in primary forms (excluding solutions and dispersions, those ...",94,216,94,13,26,88,248,341,420,454,,149686,148884,165145,154325,166999,170384,175547,172043,152672,178623,,6097,2868,1998,1887,2093,2500,2609,2624,3480,8685
970200,"Original engravings, prints and lithographs",161,68,91,279,127,436,667,590,383,454,,133236,181343,229351,248640,273485,297083,354247,374509,204994,254231,,948,770,467,852,632,1742,1396,4117,1437,1946
940210,"Dentists', barbers' or similar chairs having rotating as well as both reclining and elevating ...",356,261,129,276,69,210,222,326,273,452,,61996,63267,64223,57099,54372,53623,52412,54589,37749,55220,,2340,3447,2579,3851,2466,3580,3378,3723,3163,2271
950632,Golf balls,1566,1299,1229,2457,1226,757,518,661,363,451,,150821,135365,135871,124599,112397,120043,124840,140177,106334,133001,,4796,5780,5297,6071,3544,4530,4822,5233,6159,8818
560750,"Twine, cordage, ropes and cables, of synthetic fibres, whether or not plaited or braided and ...",319,688,612,703,380,469,413,492,264,449,,76246,88623,92613,93931,99323,108540,113547,114726,103117,117222,,6700,7445,9397,8462,6327,6744,7345,7228,9403,9501
291631,"Benzoic acid, its salts and esters (excluding inorganic or organic compounds of mercury)",434,586,366,357,415,594,694,514,370,449,,64646,57775,61679,53849,44430,49272,51810,51093,44605,58161,,10674,11473,10876,7359,7712,8732,8635,7956,6438,8289
811299,"Articles of niobium """"columbium"""", gallium, indium, vanadium and germanium, n.e.s.""""",6786,4684,3158,1168,1029,616,470,478,590,448,,121098,121987,144126,121223,126845,101444,87138,88157,99751,111940,,29580,32292,50864,22130,18074,20399,29664,15548,14190,16781
283640,Potassium carbonates,281,163,29,85,290,911,482,311,517,448,,27343,42781,27447,18263,13722,16792,18536,15944,14629,19701,,423,534,224,254,790,1991,825,515,778,897
282560,Germanium oxides and zirconium dioxide,714,2037,1485,1558,1404,131,206,270,304,447,,87498,71094,71849,55508,47020,41400,38379,38550,43947,43786,,16395,13797,10189,8258,6200,4673,8924,8014,7349,6746
843120,"Parts of fork-lift trucks and other works trucks fitted with lifting or handling equipment, ...",530,340,756,268,431,865,768,468,654,447,,460544,409304,410027,355584,332771,398317,492492,397970,313796,415060,,19923,19712,21503,16417,16206,15197,17159,16800,16704,24446
701939,"Webs, mattresses, boards and similar nonwoven products, of glass fibres (excluding mats and ...""",2904,11147,10230,2141,1845,5604,6082,2373,1691,447,,316925,369194,403493,332387,299972,303801,355429,335708,303430,348269,,5962,14172,13407,5589,5453,9557,9703,6236,8467,8764
701720,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated, having ...",110,37,59,71,65,185,143,145,319,445,,52049,50595,49712,45168,34418,36367,42536,45022,49925,62178,,2471,2109,3747,2414,2325,2824,2873,3011,3543,3858
847710,Injection-moulding machines for working rubber or plastics,195,1795,819,93,393,259,143,278,21,445,,147276,129908,184247,175707,182266,185882,167858,162439,139579,146229,,61144,73254,70860,63843,58553,89904,89475,91023,68196,87495
293919,"Alkaloids of opium and their derivatives, and salts thereof (excluding concentrates of poppy ...""",0,11,29,20,13,4,241,425,1041,444,,32170,26003,34641,43317,51661,49001,37186,46903,29526,28470,,2071,1553,1435,1682,2473,1333,1921,1827,3122,1006
844120,"Machines for making bags, sacks or envelopes out of paper pulp, paper or paperboard (excluding ...",0,0,0,0,0,0,0,0,0,444,,15663,8648,6200,5658,10121,9544,10318,14784,13966,11467,,459,85,926,1574,1210,1398,3468,1745,1520,6676
40490,"Products consisting of natural milk constituents, whether or not sweetened, n.e.s.",68,60,73,127,195,169,188,268,455,444,,137976,171478,199908,113725,85782,97838,116124,133127,164223,170188,,633,554,482,279,231,500,804,1501,1662,2644
621010,"Garments made up of felt or nonwovens, whether or not impregnated, coated, covered or laminated ...",141,155,256,216,262,77,178,169,190,443,,150590,146741,135464,131852,97491,91013,92004,95591,141555,176799,,2197,2672,3352,3714,3818,4980,5365,5441,39487,16322
400921,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",985,602,727,696,730,626,661,575,408,443,,157124,153326,163165,145027,125892,150627,182934,165205,140094,178937,,9950,7892,8196,9126,8375,9782,11477,10651,10253,12697
820411,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, non-adjustable",115,199,169,122,206,298,219,292,528,442,,175948,171943,173100,156699,138158,138067,147678,138259,118601,138542,,15222,14534,16656,13596,15748,14035,14623,18659,22987,31615
370199,"Photographic plates and film in the flat for monochrome photography, sensitised, unexposed, ...",2252,2457,2426,1650,1050,1728,743,649,635,441,,47529,50277,54149,51595,35258,25979,18363,15511,15469,14507,,211817,159918,143856,127461,142249,136674,151415,182215,197861,228045
481690,"Copying or transfer papers, in rolls of a width of <= 36 cm or in rectangular or square sheets ...",877,501,892,716,595,193,1019,828,649,440,,21096,25265,32457,31541,22978,27081,27875,24488,17336,18191,,8393,6011,6313,6819,5561,4661,5032,4023,3212,2730
721240,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",344,544,628,610,306,363,481,155,213,439,,56524,51048,52135,40525,39834,43988,44761,37117,29368,44121,,3500,3994,3994,3207,2147,2630,2739,2213,2061,4086
930700,"Swords, cutlasses, bayonets, lances and similar arms and parts thereof, and scabbards and sheaths ...",123,175,94,41,240,106,55,156,179,439,,7629,6726,6115,5368,5029,3851,4334,4844,5669,5285,,810,669,619,326,728,467,422,581,626,993
721090,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",415,865,338,262,168,612,625,795,839,438,,100732,99791,105082,87282,87890,82673,85135,53631,45179,55584,,18340,27122,45728,10926,12877,16376,16913,11293,5640,7064
110100,Wheat or meslin flour,197,323,376,210,126,140,107,232,273,438,,144294,133219,126493,148108,161335,135785,131531,139695,145938,147056,,10654,11484,12409,13612,13625,12532,12879,13947,16055,17504
843110,"Parts of pulley tackles and hoists (other than skip hoists), winches, capstans and jacks, n.e.s.",126,488,336,782,821,720,286,267,2175,437,,278656,273445,246037,249961,153418,147661,160384,190957,130954,155759,,3643,3337,4768,6748,9333,7214,5656,4670,8286,9315
230800,"Acorns, horse-chestnuts, marc and other vegetable materials and vegetable waste, vegetable ...",405,579,392,431,305,286,280,279,288,435,,93007,85743,84825,84119,44213,65840,68018,48825,56657,54157,,3806,3948,4240,2970,1600,1874,2195,2055,2513,2793
490290,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising ...",1378,1199,1344,1120,1066,972,862,654,491,434,,1048552,951422,818291,630107,536773,483341,469107,424365,343059,374135,,20436,16673,14215,11913,12197,10773,9439,8595,6972,7111
400211,"Styrene-butadiene rubber latex """"SBR""""; carboxylated styrene-butadiene rubber latex """"XSBR""""""""",2395,753,695,458,962,582,966,1096,491,434,,159954,146266,148881,136825,146329,159653,158685,127798,118435,123699,,23174,17726,15328,10801,7316,9969,8992,8043,7406,7504
843320,"Mowers, incl. cutter bars for tractor mounting (excluding mowers for lawns, parks or sports ...",693,537,421,201,254,569,923,783,275,434,,90218,111967,106183,72339,64176,73283,71252,61000,65332,78138,,1243,928,846,602,754,997,1639,1819,1291,1254
250510,"Silica sands and quartz sands, whether or not coloured",685,1908,1331,666,1016,854,662,576,502,433,,317491,354169,451168,366850,297211,437292,515403,449320,357470,463279,,51711,62287,64278,64833,57576,62045,64132,64293,61306,81451
560229,"Felt, not impregnated, coated, covered or laminated (excluding that of wool or fine animal ...",222,212,339,471,338,287,204,388,336,432,,10624,14057,15699,16135,16876,18951,19465,19448,15114,10690,,1256,1483,1403,1526,850,746,612,823,691,645
382410,Prepared binders for foundry moulds or cores,437,403,553,419,222,254,250,236,343,431,,51655,42640,43717,37245,36197,69151,72665,77590,52544,67792,,1239,966,1208,1076,1143,1454,1791,1614,1740,3134
470620,"Pulps of fibres derived from recovered """"waste and scrap"""" paper or paperboard""""",488,129,160,279,195,323,254,2112,342,428,,77999,86166,82610,65938,33858,35429,26814,111411,131332,226990,,741,336,610,562,495,765,572,2749,2216,1104
292241,Lysine and its esters; salts thereof,4194,3763,3016,2044,1436,885,1281,1059,842,424,,498296,295607,255075,197733,200530,203483,222479,156882,138338,170761,,12559,11422,9895,8115,9933,10819,11101,10403,10756,15230
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",367,350,402,559,348,410,458,566,424,423,,177246,248021,267055,303097,274340,290985,334261,323506,291931,247238,,69627,86361,67932,68711,70729,66470,73719,96657,106985,102933
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",187,293,158,156,261,226,182,410,274,422,,2016385,2464890,2669666,2890633,2819460,2568560,2650700,2244752,1696635,1766177,,103881,102651,92980,84417,76710,80918,79170,77403,76247,84551
840410,"Auxiliary plant for use with boilers of heading 8402 or 8403, e.g. economizers, superheaters, ...",2427,547,647,12878,2750,850,723,1251,1014,421,,51966,89374,57228,43517,47881,59988,20313,23087,20426,27844,,29727,21857,44371,50506,17179,48694,24838,11473,21498,16121
300410,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...""",0,0,2,0,271,651,545,798,871,419,,104775,43427,38202,45624,85729,90828,89900,77664,75331,58384,,5361,3803,3186,6010,7795,6690,7605,7535,10332,7293
284310,Colloidal precious metals,40,104,43,118,44,94,90,24,312,419,,23078,13850,13479,13751,13322,11434,6217,13142,23228,23363,,7953,2019,3802,3820,4115,4552,4275,4252,4446,7436
750610,"Plates, sheets, strip and foil, of non-alloy nickel (excluding expanded plates, sheets or strip)",433,680,1798,1643,317,378,298,225,376,416,,12439,12354,10155,10364,8755,9033,14308,9981,7638,7231,,5102,9347,38644,16907,17609,14196,23009,19420,16278,20679
731814,"Self-tapping screws, of iron or steel (excl. wood screws)",276,86,39,91,89,101,142,132,212,415,,72918,77606,88478,90695,120551,119072,116348,127236,111780,130771,,2711,1821,1415,2951,1680,1504,2194,1554,2474,3471
591000,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, ...",566,519,538,672,414,489,774,2161,396,413,,40969,36196,39191,39704,32264,41397,39046,38226,31931,34281,,5305,5362,5150,4566,3957,4179,4216,5640,4056,4914
120930,"Seeds of herbaceous plants cultivated mainly for flowers, for sowing",465,376,518,424,556,369,624,412,399,412,,72725,72211,69543,70548,70113,73116,75350,79130,78462,88720,,1839,1565,1522,1480,1675,1508,1978,2122,1827,1963
400911,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), not reinforced or otherwise ...",647,440,625,261,353,377,251,374,329,410,,132772,137126,150343,149253,140096,158231,163207,141493,120306,124249,,8293,8322,8546,8461,7280,8036,8815,9956,9829,12159
490890,"Transfers """"decalcomanias"""" (excluding vitrifiable)""""",50,232,129,259,314,253,253,186,196,407,,66280,67176,76571,72919,73797,66702,69264,67588,59169,68221,,1757,1966,2143,2738,2597,2035,2230,2213,2561,4544
701810,"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass ...",312,514,328,557,841,564,491,609,291,406,,32895,28993,29944,24676,21587,22364,27707,30532,16712,18519,,23105,20860,17416,15499,15971,10917,12220,10052,4511,5749
722599,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled ...""",2540,2470,2694,1617,476,58,7,10,6,405,,96242,86709,109633,150808,155147,156058,191950,189799,108478,166722,,9075,6001,7596,9206,4413,4391,5099,5357,2445,4271
730791,Flanges of iron or steel (excluding cast or stainless products),256,242,670,254,152,78,182,174,382,405,,146228,152733,181336,133180,90177,87684,96641,96414,80217,85991,,7632,9460,8994,9351,9309,7841,10983,9930,10202,11155
842820,Pneumatic elevators and conveyors,56,56,7,16,474,1219,42,259,82,404,,108726,156901,149446,159498,114432,91964,105171,117038,77292,84797,,1273,1436,1333,1055,2077,2473,1408,1708,1639,1472
960390,Mops and leather dusters; prepared knots and tufts for broom or brush making; squeegees of ...,248,558,548,479,513,439,388,418,333,403,,67674,73862,77540,89679,84490,85926,101052,97330,103299,118058,,14271,15044,16465,17753,18833,17541,16664,17952,19251,23622
851840,Audio-frequency electric amplifiers,294,363,399,504,491,489,419,290,521,403,,374169,415839,359955,399651,349350,398969,410475,401872,275649,303187,,2938,2785,3094,3495,5053,6166,5739,7111,14335,15880
960610,"Press-fasteners, snap-fasteners and press studs and parts therefor",429,179,233,238,222,293,325,359,120,403,,28408,25086,33056,26037,29139,30974,31181,32378,26263,27718,,3350,3348,3959,3573,3400,2146,2292,2915,2307,2829
292151,"O-Phenylenediamine, m-phenylenediamine, p-phenylenediamine or diaminotoluenes and their derivatives; ...",579,362,932,425,675,891,413,170,423,402,,216972,44606,71922,55466,42776,43961,47408,42215,30777,37226,,12887,11963,12013,10192,8726,12166,12160,10443,9579,11814
292211,Monoethanolamine and its salts,4324,4939,4020,5632,4737,2319,672,2131,829,401,,121178,118691,134513,125915,112198,124217,94386,80617,60717,97165,,12060,14516,15828,10680,11233,11227,12383,8624,10472,8247
700220,"Rods of glass, unworked",233,111,390,827,1144,943,764,264,303,401,,127634,206105,164428,161189,179567,204909,224116,98401,37861,36082,,1149,1527,2990,3261,5590,4883,3525,1981,1935,1736
611596,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",303,434,582,446,984,461,469,648,336,401,,33668,40042,48952,52070,55834,83300,92395,78240,42437,49086,,8856,8746,12191,14650,16550,17246,20730,17168,13844,11621
843490,"Parts of milking machines and dairy machinery, n.e.s.",499,375,304,374,364,443,500,537,425,400,,98410,108067,124621,110098,95551,107094,109674,93404,87399,89800,,1331,1381,1780,1711,1784,2606,2263,2059,1832,1717
560392,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 25 ...",438,280,492,2996,1626,1166,803,555,422,399,,194081,204828,241067,263004,230636,238242,218951,200307,201020,211068,,16792,9737,11915,16255,16551,21812,26022,25284,33591,27916
821210,Non-electric razors of base metal,369,325,352,284,289,327,325,474,432,399,,85400,106702,102554,109917,86219,87888,91430,77027,75859,61480,,9715,9683,9580,9819,9801,9710,10653,10089,11216,11395
291720,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, ...",175,100,295,103,194,282,365,413,356,397,,36620,37505,42628,41608,39800,50952,53411,47265,39957,44578,,6931,11242,9774,8244,7960,10061,10619,13176,7000,10452
290960,"Alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides, ketone peroxides and their ...",745,581,427,289,185,296,136,277,281,397,,39614,37398,54231,49276,57653,56295,64302,58965,57637,63393,,14247,15227,14891,15375,16510,17928,19321,19245,17814,20688
761510,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring ...",0,22,304,585,462,376,435,349,200,397,,89788,100860,123461,122267,107897,115059,135634,119968,108567,135158,,0,2634,26796,28829,33735,35504,51479,52012,38742,67291
846040,"Honing or lapping machines, for working metals, metal carbides or cermets (excluding gear cutting, ...",505,194,396,1217,266,182,20,679,28,397,,54406,54735,100607,65464,115778,64327,66094,32211,35623,25114,,18988,17428,10084,8916,8602,8258,8487,14263,5663,8244
841181,Gas turbines of a power <= 5.000 kW (excluding turbojets and turbopropellers),22,72,4,102,2,0,2,29573,7,396,,314363,305861,241596,223682,239337,197427,285509,342309,316928,307666,,785,135,1169,1214,627,70,49,29744,370,459
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",886,766,634,409,354,2056,7464,3937,2411,395,,99786,100421,147760,148888,155728,191108,189605,161994,215391,203987,,158833,155354,139211,147900,122876,112473,123591,118528,110616,124063
843360,"Machines for cleaning, sorting or grading eggs, fruit or other agricultural produce (excluding ...",16,0,0,0,84,99,342,0,192,394,,55710,44989,45345,44738,62390,58630,47941,65492,61650,51092,,423,1848,942,1358,1014,5317,4129,2216,7474,6571
