Product code,Product label,Japan's imports from Russian Federation-Value in 2012,Japan's imports from Russian Federation-Value in 2013,Japan's imports from Russian Federation-Value in 2014,Japan's imports from Russian Federation-Value in 2015,Japan's imports from Russian Federation-Value in 2016,Japan's imports from Russian Federation-Value in 2017,Japan's imports from Russian Federation-Value in 2018,Japan's imports from Russian Federation-Value in 2019,Japan's imports from Russian Federation-Value in 2020,Japan's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,0,0,0,111,0,0,0,0,3,0,,22894,20947,23980,25357,13723,24036,20620,41795,31862,33189,,200321,152133,153903,163143,140670,122593,134649,145678,150127,166043
811212,Unwrought beryllium; beryllium powders,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,574,19,427,0,10,3,2,7,114
852329,Magnetic media for the recording of sound or of other phenomena (excluding cards incorporating ...,0,0,0,0,0,0,0,0,0,0,,2022,1850,501,542,5074,690,540,338,98,173,,34227,22601,17210,11909,12955,8044,8176,8766,7734,7064
852359,"Semiconductor media, unrecorded, for the recording of sound or of other phenomena (excluding ...",0,7,0,0,0,0,0,0,0,0,,81,20,30,24,196,56,102,45,46,138,,3462,3356,3784,6334,3815,7488,7533,5268,6123,7220
852550,"Transmission apparatus for radio-broadcasting or television, not incorporating reception apparatus",0,0,0,0,0,12,0,0,0,0,,929,2132,379,2595,3583,501,441,1503,636,2445,,22663,20601,25986,28209,23087,31777,18811,15425,33939,14539
321100,Prepared driers,0,0,0,0,0,0,0,0,0,0,,254,317,294,286,238,361,205,258,315,341,,122,476,510,311,655,490,701,717,576,809
330124,"Oils of peppermint """"Mentha piperita"""", whether or not terpeneless, incl. concretes and absolutes""""",0,0,0,0,0,0,0,0,0,0,,7,12,7,7,9,11,11,20,26,29,,15285,11955,13653,14504,17802,12855,11760,12394,14354,13638
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",0,0,0,0,0,0,0,0,0,0,,34015,48312,50611,41792,50487,70050,72968,68891,91792,80668,,234482,210090,202370,205001,217717,234460,248631,253201,191581,192827
330430,Manicure or pedicure preparations,0,0,0,0,0,0,0,0,0,0,,3410,4265,4541,3943,4629,5533,4967,7771,11190,10837,,56487,57391,50213,52979,47911,47178,47056,46788,40876,50647
330520,Preparations for permanent waving or straightening,0,0,0,0,0,0,0,0,0,0,,410,532,344,200,222,288,313,286,278,416,,6329,5697,5261,3420,2267,1945,2989,3315,2622,2950
330620,"Yarn used to clean between the teeth """"dental floss"""", in individual retail packages""""",0,0,0,0,0,0,0,0,0,0,,307,475,433,315,454,596,636,765,690,1033,,13481,16904,18590,17328,23706,21148,23959,27306,30608,30133
330690,"Preparations for oral or dental hygiene, incl. denture fixative pastes and powders (excluding ...""",8,14,2,2,0,0,0,0,0,0,,6037,7668,5253,4072,5240,6400,6713,7012,8342,9698,,75427,76946,92342,88742,117318,113262,125567,109475,131076,135445
330720,Personal deodorants and antiperspirants,0,0,0,0,0,0,0,0,0,0,,47641,61595,50073,38998,53041,72283,71435,99734,118212,171401,,30072,19010,9192,17723,9564,17716,9102,9068,10264,9113
330730,Perfumed bath salts and other bath and shower preparations,0,0,0,0,0,0,0,0,0,0,,4584,3730,3678,2576,2079,2381,2752,2835,3680,4652,,38896,37196,40772,34055,39372,40396,45220,50593,53361,73663
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",0,0,0,0,0,0,0,0,14,0,,358,992,726,547,563,1282,1375,1134,1383,2176,,80850,74878,78664,73020,88134,102841,107993,88528,76892,101172
350110,Casein,0,0,0,0,0,0,0,0,0,0,,1189,953,388,115,537,307,61,62,59,129,,42956,46852,55295,40725,31555,33988,34733,32997,37598,39136
350220,"Milk albumin """"lactalbumin"""", incl. concentrates of two or more whey proteins containing by ...""",0,0,0,0,0,0,0,0,0,0,,3,37,31,232,70,186,410,142,176,340,,118759,129015,126781,123548,124028,156706,126256,126533,150089,219320
370120,"Instant print film in the flat, sensitised, unexposed, whether or not in packs",0,0,0,0,0,0,0,0,0,0,,1,1,3,46,10,43,86,94,90,196,,1301,486,807,191,318,370,332,313,160,190
370241,"Photographic film """"incl. instant print film"""", sensitised, in rolls, unexposed, without perforations, ...""",0,0,0,0,0,0,0,0,0,0,,14,0,6,1,0,0,0,0,5,0,,0,51,51,83,164,0,0,0,0,0
370298,"Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, ...",0,0,0,0,0,0,0,0,0,0,,1,1,3,19,26,16,3,0,62,126,,196,86,250,322,355,319,44,20,26,24
370320,"Photographic paper, paperboard and textiles, sensitised, unexposed, for colour photography ...""",0,0,0,0,0,0,0,0,0,0,,255,291,401,529,387,568,475,345,287,250,,21414,19290,20874,18132,14284,12267,13120,12557,7799,7653
370710,"Sensitising emulsions """"for photographic uses""""""""",0,0,0,0,0,0,0,0,0,0,,12,15,19,69,56,127,146,88,114,98,,26927,7806,6546,5865,6095,7183,7336,9359,9254,10257
293510,N-Methylperfluorooctane sulphonamide,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,20,0,0,0
293622,"Vitamin B1 and its derivatives, used primarily as vitamins",0,0,0,0,0,0,0,0,0,0,,335,454,107,90,162,233,332,57,245,253,,10716,9446,7133,9786,12853,18369,23226,11779,11593,9824
293624,"D-Pantothenic or DL-pantothenic acid """"Vitamin B3 or B5"""" and their derivatives, used primarily ...""",0,0,0,0,0,0,0,0,0,0,,0,2,45,58,538,479,226,371,573,195,,4174,3511,4964,5237,12811,20044,15434,13105,18093,9617
293629,"Vitamins and their derivatives, used primarily as vitamins, unmixed (excluding vitamins A, ...",0,0,0,0,0,0,0,0,0,0,,10,22,92,357,411,956,496,159,739,2001,,27425,21775,21544,21927,20692,22206,20108,17535,26359,25544
293750,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,,21649,20120,41757,30390,39012,28829,20209,9292,7762,29495
293810,"Rutoside """"rutin"""" and its derivatives""""",0,0,0,0,0,0,0,0,0,0,,0,2,9,2,9,4,0,0,3,50,,2403,1726,11832,5759,9311,8463,5257,4491,2731,5305
293949,"Alkaloids of ephedra and their derivatives; salts thereof (excl. ephedrine, pseudoephedrine ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1832,16,3,0,0,238,118,540,682,119
293959,"Theophylline and aminophylline """"theophylline-ethylenediamine"""" and their derivatives, and ...""",0,0,0,0,0,0,0,0,0,0,,132,230,423,335,163,140,183,148,143,202,,989,619,661,787,718,467,630,863,999,722
293962,"Ergotamine """"INN"""" and its salts""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,35,26,72,74,152,75,74,0
293999,"Vegetable alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and ...""",0,0,0,0,0,0,0,0,0,0,,25,0,0,0,0,0,0,0,0,0,,54140,64225,51999,58878,64987,0,0,0,0,0
294120,Streptomycins and their derivatives; salts thereof,0,0,0,0,0,0,0,0,0,0,,5,8,22,16,5,4,7,192,2,4,,2015,2638,2077,2443,2914,3507,2391,2545,2507,2306
294140,Chloramphenicol and its derivatives; salts thereof,0,0,0,0,0,0,0,0,0,0,,2,8,404,71,11,114,77,45,24,76,,3166,2292,2174,1979,2930,2726,2163,2113,2192,2109
300220,Vaccines for human medicine,0,0,0,0,0,0,0,0,0,0,,13945,14384,16374,21720,33155,52004,50623,60638,70918,1407488,,775196,570219,514438,368998,540408,445456,488704,361257,514080,6194150
300310,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...",0,0,0,0,0,0,0,0,0,0,,0,15,95,33,0,0,0,53,355,198,,239,164,66,2745,3127,4122,5790,4912,5298,5914
300340,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...",0,0,0,0,0,0,0,0,0,0,,0,0,18,28,55,0,0,0,0,0,,46322,61216,67635,61202,59877,0,0,0,0,0
300342,"Medicaments containing pseudoephedrine """"INN"""" or its salts, not containing hormones, steroids ...""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,67,4958,5381,5625,7041
300420,"Medicaments containing antibiotics, put up in measured doses """"incl. those in the form of ...""",0,0,0,0,0,0,0,0,0,0,,39917,42142,48657,38155,52597,51437,55311,64842,84085,88933,,568270,489290,468018,451164,490691,427509,419897,460798,384749,363586
300460,"Medicaments containing any of the following antimalarial active principles: artemisinin """"INN"""" ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1436,0,,0,0,0,0,0,0,6,13,18,26
310100,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers ...",0,0,0,0,0,0,0,0,0,0,,742,1855,2570,872,1217,2380,2602,2687,2781,2634,,15528,16245,16565,16739,17652,18324,16923,14397,13126,14658
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",2304,6031,484,221,128,11,19,0,58,0,,1897755,1733434,1603325,1285054,1137202,1279917,1582445,1643184,1516685,2489986,,123995,118441,111332,93576,79910,91973,127485,122046,115558,148563
310250,"Sodium nitrate (excluding that in pellet or similar forms, or in packages with a gross weight ...",0,0,0,0,0,0,0,0,0,0,,1217,827,1107,2089,2438,2997,3324,5467,3190,3810,,8722,10667,9945,9322,9153,11903,6955,6583,10892,10434
310430,"Potassium sulphate (excluding that in tablets or similar forms, or in packages with a gross ...",0,0,26,0,0,0,0,0,0,0,,54682,51824,43012,34509,23922,17795,26281,19084,17689,23262,,62627,59000,58599,60363,38457,44134,40446,42393,34768,38426
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",25,0,0,0,0,0,0,0,0,0,,688411,436687,289127,479756,410886,341726,534065,544253,433349,665953,,194163,209914,187342,194974,152874,158837,193108,168968,135870,237733
320411,Synthetic organic disperse dyes; preparations based on synthetic organic disperse dyes of a ...,0,0,0,0,0,0,0,0,0,0,,1305,828,947,2005,877,561,457,768,1276,823,,45124,45614,64779,54529,60847,58489,85884,70118,45259,55062
400299,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip ...""",0,0,2,0,0,0,0,0,0,0,,10903,8493,3098,1352,1657,1155,994,1244,818,1316,,78215,59125,55314,45215,46090,51030,57073,56302,40262,50639
400599,"Compounded, unvulcanised rubber in primary forms (excluding solutions and dispersions, those ...",0,0,0,0,0,0,0,0,0,0,,437,695,1308,1181,610,656,722,1230,1346,1366,,7345,7413,6067,1792,818,572,691,1040,681,1458
400819,"Rods and profile shapes, of cellular rubber",0,0,0,0,0,0,0,0,0,0,,1668,1661,1279,901,1266,2411,10178,8640,2835,3790,,9572,6221,5983,5104,4863,5307,6115,5530,4879,5387
401034,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",0,0,0,0,0,0,0,0,0,0,,962,832,1355,1050,503,515,575,586,583,664,,2973,2532,2338,2088,2118,2280,2022,2086,2009,1997
401036,"Endless synchronous belts, of vulcanised rubber, of an outside circumference > 150 cm but <= ...",0,0,0,0,0,0,0,0,0,0,,73,45,55,63,120,302,587,719,708,799,,50,73,92,133,97,61,87,153,111,73
293295,"Tetrahydrocannabinols """"all isomers""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0
293321,Hydantoin and its derivatives,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,6,14,13,6,6,19,,8148,8914,8127,6042,7944,5181,5500,6695,5804,10769
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,7,2426,13218,2976,1890,1862,,0,0,0,0,0,190698,227370,200396,151091,207230
390770,"Poly""""lactic acid"""", in primary forms""""",0,0,0,0,0,0,0,0,0,0,,0,0,908,252,0,3,162,35,82,36,,12958,11808,11913,8036,8144,9462,10597,11059,18253,16378
390890,"Polyamides, in primary forms (excluding polyamides-6, -11, -12, -6,6, -6,9, -6,10 and -6,12)",0,0,0,0,0,0,0,0,0,0,,2087,1553,937,468,340,548,724,1056,935,1197,,203778,171777,188683,171322,181908,189046,227248,209786,190191,266089
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,266,13396,15505,13243,11601,22881,,0,0,0,0,0,92544,112827,97903,76762,89887
391610,"Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, ...",0,0,0,0,0,0,0,0,0,0,,184,230,165,372,1327,1222,1202,759,522,894,,6593,7576,8744,9504,10508,12846,14013,13717,16344,20375
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",0,0,7,0,0,0,0,0,0,0,,8687,10045,8892,7013,5832,6525,8221,8674,18760,26359,,535411,464119,433314,374864,407195,451016,501221,493313,465859,537206
392321,"Sacks and bags, incl. cones, of polymers of ethylene",0,0,0,0,0,3,0,0,0,0,,15624,21469,21398,17062,19323,22846,24325,25982,26453,33419,,1242981,1279383,1372644,1249720,1219949,1247623,1364980,1291930,1129449,1086114
392340,"Spools, cops, bobbins and similar supports, of plastics",0,0,0,0,0,0,0,0,0,0,,899,840,807,860,916,857,1224,1204,941,1076,,40133,34226,33940,25211,20970,16065,17833,15651,13944,18618
392610,"Office or school supplies, of plastics, n.e.s.",0,0,0,0,0,0,0,0,0,0,,4115,5826,6255,4867,5018,6312,6871,7380,7326,8900,,238862,229434,237519,224804,219527,218007,228987,224853,206088,211745
380610,Rosin and resin acids,0,0,87,0,0,0,0,0,0,0,,9763,8703,18029,12819,8352,8500,6836,3420,3309,4716,,69254,87844,106248,84907,62768,64289,56768,43595,33868,62753
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",0,0,0,0,0,0,0,0,0,0,,19181,27569,29914,14018,13046,19116,19859,22139,33238,37920,,149068,157995,148485,143444,142842,153961,165396,170202,144668,141340
380992,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",0,0,0,0,0,0,0,0,0,0,,826,2580,3436,956,1217,1160,503,370,440,1111,,11306,8378,9884,9355,8428,9116,11471,11187,11881,14573
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,0,0,0,0,0,0,0,0,0,0,,8356,26079,17382,9724,6708,16109,10420,18424,10307,24980,,14425,5788,6628,7090,5480,7148,6505,19572,26147,47501
382311,"Stearic acid, industrial",0,0,0,0,0,0,0,0,0,0,,30,68,396,219,339,946,337,339,539,1609,,47548,39615,40536,34534,33660,39674,37936,31154,28907,52522
382478,"Mixtures containing perfluorocarbons """"PFCs"""" or hydrofluorocarbons """"HFCs"""", but not containing ...""",0,0,0,0,0,0,0,0,0,0,,49,211,402,459,536,1060,2805,1882,1333,599,,51334,45926,39386,33827,29872,40858,50552,42628,34967,41015
382510,Municipal waste,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,,88,231,245,263,0,6,31,7,0,0
291632,Benzoyl peroxide and benzoyl chloride,0,0,0,0,0,0,0,0,0,0,,132,337,165,76,6,69,218,107,43,163,,3207,3169,3315,2617,2928,3013,3090,3398,2532,4101
291714,Maleic anhydride,0,0,0,0,0,0,0,0,0,0,,83,0,8,2,2,4,84,257,253,2047,,3070,3713,1375,374,410,704,1231,2815,2956,15734
291736,Terephthalic acid and its salts,0,0,0,0,0,0,0,0,0,0,,0,10322,17781,2455,3507,6207,2750,300,1052,9931,,74824,39147,39616,71350,82564,81979,82609,65330,41272,52951
291823,"Esters of salicylic acid and their salts (excluding o-acetylsalicylic acid, its salts and esters)",0,0,0,0,0,0,0,0,0,0,,1,2,3,6,8,4,2,5,9,5,,2128,1889,2296,2039,2300,2098,3369,5033,3650,4809
291891,"2,4,5-T """"ISO"""" """"2,4,5-trichlorophenoxyacetic acid"""", its salts and esters""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
292022,Diethyl phosphite,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,55,,0,0,0,0,0,169,149,108,220,71
292143,Toluidines and their derivatives; salts thereof,0,0,0,2,0,3,0,2,0,0,,77,139,29,19,17,63,65,10,66,100,,14810,14140,14130,11495,12363,11975,15083,12101,10914,14820
292218,"2-""""N,N-Diisopropylamino""""ethanol""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0,18,0,0,0,0
292241,Lysine and its esters; salts thereof,0,0,0,0,0,0,0,0,0,0,,2359,2590,2831,1671,3442,4856,2820,2008,1514,1663,,47307,47919,43881,41438,37308,39030,45224,36729,39381,50713
292800,Organic derivatives of hydrazine or of hydroxylamine,0,0,3,0,0,0,0,0,0,0,,758,974,284,351,450,1153,1743,5200,2465,1573,,83702,74963,66591,54416,45324,43550,46265,39829,44010,39933
580639,"Narrow woven fabrics of textile materials other than cotton or man-made fibres, with a width ...",0,0,0,0,0,0,0,0,0,0,,25,64,25,39,54,237,289,258,152,229,,2779,2931,2787,1599,1322,1033,1017,724,596,677
590210,"Tyre cord fabric of high-tenacity yarn of nylon or other polyamides, whether or not dipped ...",0,0,0,0,0,0,0,0,0,0,,9459,10814,10676,8538,8305,9689,14279,8441,4095,15487,,18286,20836,22628,18191,19009,29809,29589,34348,26717,42749
600539,"Printed warp knit fabrics of synthetic fibres """"incl. those made on galloon knitting machines"""", ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,65,167,167,109,193,,0,0,0,0,0,593,654,600,420,815
600541,"Unbleached or bleached warp knit fabrics of artificial fibres """"incl. those made on galloon ...""",0,0,0,0,0,0,0,0,0,0,,1,24,19,12,5,46,0,0,0,0,,59,57,40,78,89,119,82,30,9,13
600621,"Unbleached or bleached cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding ...""",0,0,0,0,0,0,0,0,0,0,,37,86,173,267,362,119,168,219,295,490,,2232,2258,2333,1699,3030,2739,3686,2986,3185,3514
600623,"Cotton fabrics, knitted or crocheted, of yarns of different colours, of a width of > 30 cm ...""",0,0,0,0,0,0,0,0,0,0,,46,65,82,552,1177,944,1329,1682,2321,1977,,2707,3058,3532,3765,2543,2083,2810,1694,1422,1691
610130,"Overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, wind-jackets ...",0,0,0,0,0,0,0,0,0,0,,282,743,582,931,1358,1401,1765,2180,1801,2594,,62676,59090,58030,66160,57046,57200,82922,98444,83000,83179
610310,"Men's or boys' suits of textile materials, knitted or crocheted (excluding tracksuits, ski ...",0,0,0,0,0,0,0,0,0,0,,109,158,73,150,232,81,569,2562,6798,8572,,1039,1596,688,1118,6503,7215,6271,5832,4667,4150
610322,"Men's or boys' ensembles of cotton, knitted or crocheted (excluding ski ensembles and swimwear)",0,0,0,0,0,0,0,0,0,0,,139,177,224,112,70,85,108,250,201,211,,3567,2478,1368,3961,2771,2094,2906,909,2893,2167
610339,"Men's or boys' jackets and blazers of textile materials (excluding of wool, fine animal hair, ...",0,0,0,0,0,0,0,0,0,0,,2,9,20,13,7,16,25,20,28,28,,3566,4135,4792,5071,4546,5240,3641,4183,2985,1796
482090,"Blotting pads and similar articles of stationery, of paper and paperboard, and book covers ...",0,0,0,0,0,0,0,0,0,0,,1364,1810,2203,1464,1967,2734,2899,3185,3063,3646,,9794,10661,8000,6389,7492,7297,7270,6849,6389,6569
482290,"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard, whether or not ...",0,0,0,0,0,0,0,0,0,0,,767,1245,690,827,904,904,1099,1218,1148,1980,,62,107,181,280,239,303,481,404,235,293
482390,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, in strips or rolls of a ...",0,0,0,25,0,0,0,0,0,0,,11557,11044,12022,7976,7607,10180,14873,18264,21028,23353,,197936,194164,186803,174578,179922,182669,206127,210867,208490,223073
440797,"Poplar and aspen """"Populus spp."""", sawn or chipped lengthwise, sliced or peeled, whether or ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,62,10369,10878,11611,11743,24483,,0,0,0,0,0,2117,2305,2020,1442,2696
441113,"Medium density fibreboard """"MDF"""" of wood, of a thickness >?5?mm but <=?9?mm""""",0,0,0,0,0,0,0,0,0,0,,48358,61317,66990,58741,100361,149493,183035,173811,157691,225851,,52297,51454,47865,41536,44626,44521,45778,44638,31406,33515
440397,"Poplar and aspen """"Populus spp."""" in the rough, whether or not stripped of bark or sapwood, ...""",0,0,0,0,0,0,0,0,5,0,,0,0,0,0,0,51990,60014,53223,56083,66220,,0,0,0,0,0,152,110,47,62,86
401192,"Pneumatic tyres, of rubber, new, of a kind used on agricultural or forestry vehicles and machines ...""",0,0,0,0,0,0,0,0,0,0,,25902,24760,22208,14649,15048,0,0,0,0,0,,2684,3106,3463,3006,3034,0,0,0,0,0
401519,"Gloves, mittens and mitts, of vulcanised rubber (excl. of a kind used for medical, surgical, ...",0,0,0,0,0,0,0,0,0,0,,2681,3642,3802,2979,4047,5068,6487,7363,10822,15520,,319765,316447,325293,344393,330222,380768,428232,438913,746155,1137631
410449,"Hides and skins of bovine """"incl. buffalo"""" or equine animals, in the dry state """"crust"""", ...""",0,0,0,0,0,0,0,0,0,0,,0,0,120,157,641,288,15,11,9,1,,2828,2623,1827,1425,1133,979,911,650,457,470
410719,"Leather """"incl. parchment-dressed leather"""" of the whole hides and skins of bovine """"incl. ...""",0,0,0,0,0,0,0,0,0,0,,920,3168,2096,1930,2783,3912,2921,1162,773,762,,1420,1281,988,966,963,597,1092,561,435,396
411310,"Leather further prepared after tanning or crusting """"incl. parchment-dressed leather"""", of ...""",0,0,0,0,0,0,0,0,0,0,,0,0,144,0,7,1,2,9,0,1,,5078,5838,4758,3636,3649,3215,3054,2307,1366,1107
430219,"Tanned or dressed furskins, whole, with or without heads, tails or paws, not assembled (excluding ...",15,0,0,0,19,0,0,0,0,0,,22189,27708,2951,2643,2239,2374,2818,2580,2253,5105,,4839,4510,3858,3251,2408,2881,2614,2173,1469,2528
430390,"Articles of furskin (excluding articles of apparel, clothing accessories and goods of chapter ...",10,0,0,0,0,18,0,0,0,0,,18460,11547,16413,25309,8909,2986,861,840,581,389,,16932,16028,16995,14993,14260,19190,14606,10089,5774,9262
441600,"Casks, barrels, vats, tubs and other coopers' products parts thereof, of wood, incl. staves",0,0,0,0,0,0,0,0,0,0,,1714,1580,1809,1971,3024,2408,2699,2494,2434,1817,,21500,23650,26442,26006,30655,34109,37753,41566,34118,39950
441873,"Flooring panels, assembled, of bamboo or with at least the top wear layer of bamboo",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6,8,0,,0,0,0,0,0,680,1765,1541,938,2160
442190,"Other articles of wood, n.e.s.",410,1507,1970,4658,4908,0,0,0,0,0,,39515,44111,39705,32543,35721,0,0,0,0,0,,674994,678393,667526,592006,593790,0,0,0,0,0
450200,"Natural cork, debacked or roughly squared, or in square or rectangular blocks, plates, sheets ...",0,0,0,0,0,0,0,0,0,0,,0,1,0,2,3,5,9,4,1,4,,221,216,105,113,242,91,130,93,119,78
470692,"Chemical pulp of fibrous cellulosic material (excluding that of bamboo, wood, cotton linters ...",0,0,0,0,0,0,0,0,0,0,,35,222,578,342,360,600,591,463,330,198,,31208,30200,31081,31852,33100,36049,38629,35815,33219,40062
480411,"Unbleached kraftliner, uncoated, in rolls of a width > 36 cm",11,0,0,15,0,0,0,0,0,0,,146753,159012,112072,140877,142912,139586,190796,112788,196595,318775,,40606,36839,35051,27353,26187,25678,34362,26677,22044,26931
480442,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,3556,2050,1844,1708,1340,1327,1001,1478,1512,972
480459,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",0,0,0,0,0,0,0,0,0,0,,988,466,637,429,384,1147,1371,1615,1526,1965,,11046,7781,8309,7190,11601,9096,9337,9044,8260,8784
480540,"Filter paper and paperboard, in rolls of a width > 36 cm or in square or rectangular sheets ...",0,0,0,0,0,0,0,0,0,0,,112,95,102,189,318,400,360,402,725,694,,9866,10123,8639,6425,5954,6606,8031,8031,7874,7999
480640,"Glassine and other glazed transparent or translucent papers, in rolls of a width > 36 cm or ...",0,0,0,0,0,0,0,0,0,0,,3949,4507,3908,2379,3530,3685,4525,4189,3820,5087,,8430,8758,9671,8978,9607,7186,9376,8692,9620,13925
481730,"Boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment ...",0,0,0,0,0,0,0,0,0,0,,2,9,15,1,12,8,17,2,1,3,,8769,6361,3956,3510,2427,2248,2199,2293,1969,3005
490210,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising ...",0,0,0,0,0,0,0,0,0,0,,1989,1638,305,231,197,173,192,149,95,90,,19,56,13,32,21,12,6,0,5,0
490510,"Globes, printed (excluding relief globes)",0,0,0,0,0,0,0,0,0,0,,58,51,37,36,45,206,278,460,668,1105,,3820,3536,3685,2975,3400,7812,4406,7160,4193,2654
490599,"Maps and hydrographic or similar charts of all kinds, incl. atlases, wall maps and topographical ...",0,0,0,0,0,0,0,0,0,0,,671,618,605,509,354,135,63,74,54,101,,6364,6343,5263,4662,3508,3087,3376,2921,1654,460
490700,"Unused postage, revenue or similar stamps of current or new issue in the country in which they ...",0,7,6,2,0,0,0,0,0,0,,49888,71819,76129,72281,22140,101570,124798,123816,45978,94364,,231275,126909,124172,587,1147,35151,3299,44164,5242,9950
490810,"Transfers """"decalcomanias"""", vitrifiable""""",0,0,0,0,0,0,0,0,0,0,,35,130,24,74,6,2,25,0,18,2,,387,378,370,357,312,225,219,248,252,164
511111,Woven fabrics containing >= 85% carded wool or carded fine animal hair by weight and weighing ...,0,0,0,0,0,0,0,0,0,0,,32,121,9,5,10,3,36,353,69,81,,15313,13172,13941,11887,9862,9461,11114,10463,5660,4998
520210,"Cotton yarn waste, incl. thread waste",0,0,0,0,0,0,0,0,0,0,,138,1,73,51,62,54,177,63,38,14,,878,583,106,0,0,0,0,0,0,0
520419,"Sewing thread, containing predominantly, but < 85% cotton by weight (excluding that put up ...",0,0,0,0,0,0,0,0,0,0,,31,20,21,12,21,9,16,4,14,22,,6,9,0,8,3,6,2,7,13,0
520532,"Multiple """"folded"""" or cabled cotton yarn, of uncombed fibres, containing >= 85% cotton by ...""",0,0,0,0,0,0,0,0,0,0,,726,678,606,591,445,343,170,109,245,328,,4753,4373,4090,3394,4417,3304,4434,3537,2730,4745
