Product code,Product label,China's imports from Singapore-Value in 2012,China's imports from Singapore-Value in 2013,China's imports from Singapore-Value in 2014,China's imports from Singapore-Value in 2015,China's imports from Singapore-Value in 2016,China's imports from Singapore-Value in 2017,China's imports from Singapore-Value in 2018,China's imports from Singapore-Value in 2019,China's imports from Singapore-Value in 2020,China's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
940690,"Prefabricated buildings, whether or not complete or already assembled (excl. of wood, and modular ...",0,0,0,0,0,352,30,749,460,503,,0,0,0,0,0,0,10940,11459,4262,8654,,0,0,0,0,0,70712,79391,95087,78444,63386
401035,"Endless synchronous belts, of vulcanised rubber, of an outside circumference > 60 cm but <= ...",551,1008,1105,710,836,635,681,683,370,501,,3907,3561,6176,5965,5921,5922,6247,5601,4552,4933,,28550,45461,40305,33097,37655,34302,35959,29239,26097,24978
691410,"Ceramic articles of porcelain or china, n.e.s.",204,190,278,335,207,121,340,91,218,500,,6797,4427,5409,7972,6299,2082,2235,854,746,3164,,75193,71629,84644,87088,74127,81121,102313,69526,83654,113381
841981,"Machinery, plant and equipment for making hot drinks or for cooking or heating food (excluding ...",745,792,1025,781,695,290,387,602,526,499,,29082,14656,11424,11797,11382,12383,10433,11531,11991,11852,,107960,116204,147059,145801,132277,140705,205760,208806,209426,204716
852560,"Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",4709,778,1901,1576,19,69,468,1172,318,489,,63127,72313,94356,98776,92033,105778,80395,118234,89794,144356,,38137,24990,57533,32192,35067,24154,24179,25350,27477,30582
845011,"Fully-automatic household or laundry-type washing machines, of a dry linen capacity <= 6 kg",501,541,1085,799,744,757,707,930,687,486,,8270,6621,6241,5064,4877,3879,4293,3312,3098,1943,,18670,17069,38824,40193,45393,58271,43768,43392,36711,64089
30399,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt ...",0,0,0,0,0,0,0,0,17,477,,0,0,0,0,0,0,622,124,0,0,,0,0,0,0,0,12522,71448,113863,115043,104491
680710,"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch, in rolls",572,804,283,171,187,352,6,302,476,477,,10053,8455,5658,6394,7016,5021,4555,7185,3311,4548,,4985,4346,6987,4385,4536,6158,3071,3748,3446,1996
401039,"Transmission belts or belting, of vulcanised rubber (excluding endless transmission belts ...""",234,351,434,596,517,428,447,543,617,474,,62604,70399,66667,59006,58989,56852,55812,52917,44912,50936,,175841,162911,146904,133570,126417,136103,133797,124320,115761,127432
400821,"Plates, sheets and strip, of non-cellular rubber",96,35,104,72,48,45,67,76,785,470,,3443,4536,3314,3598,3391,2006,4808,4837,5984,3664,,116481,108655,123948,108866,115420,131445,148974,127570,127759,124655
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",9945,6274,6325,3808,1102,649,1923,798,1762,463,,216810,322374,384348,321902,163380,126648,194282,190273,205092,212858,,1819924,1986494,1745528,1217842,1139343,934093,1272703,1347202,1352029,1592214
848250,Cylindrical roller bearings (excluding needle roller bearings),2181,1854,2098,1866,1988,2157,1908,1635,547,462,,84436,52110,36625,31281,25354,27400,47736,33576,30814,34808,,681620,637545,727476,674692,626729,695532,658316,680361,807756,798472
130190,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins (excluding gum ...",1164,731,3032,3621,3683,704,321,565,225,457,,9947,11425,15696,11380,9021,6431,5536,5780,4582,5750,,12781,12981,17845,23659,25308,31830,32647,59736,51527,45188
701400,"Signalling glassware and optical elements of glass, not optically worked (excluding clock or ...",103,16,44,13,27,12,19,36,16,454,,459,231,699,524,835,730,709,879,1072,876,,379693,235408,200969,148718,125733,126028,112341,95221,76553,95167
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",134,98,221,169,220,1029,691,549,669,452,,50240,36361,34490,39139,30475,41747,65998,72982,60903,73651,,640646,650580,803506,723948,728321,884207,998298,907614,940942,908887
854320,"Signal generators, electrical",1276,502,4160,1063,1524,2288,1477,894,1558,451,,6837,11308,14205,18098,16607,17431,21895,21855,21368,52718,,179614,160973,221958,196222,196231,197043,288322,393445,362245,433907
391732,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",211,302,325,226,382,173,294,258,687,444,,5134,6699,9281,6928,11280,12385,13163,13544,15374,19817,,175810,177841,202438,186348,207272,239338,270413,268619,289201,364637
845819,"Horizontal lathes, incl. turning centres, for removing metal, not numerically controlled",11,0,0,21,7,0,132,0,54,442,,2200,1351,1413,435,1248,945,540,4757,1196,1339,,20962,13521,23229,15489,11058,16926,19522,13201,16237,24874
850152,"AC motors, multi-phase, of an output > 750 W but <= 75 kW",1262,1372,6372,426,807,412,276,335,340,442,,28850,27944,21652,21429,20759,24700,30398,25041,24785,25436,,496472,542026,710704,593591,544780,567069,553192,455287,504690,686030
481810,Toilet paper in rolls of a width of <= 36 cm,1,0,0,0,0,234,425,274,418,438,,821,1106,730,1708,2026,2576,1682,790,1312,2056,,6952,6517,8891,9192,8659,9804,9135,6568,6950,7773
722211,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only hot-extruded, of ...",123,24,18,31,12,0,29,55,169,429,,2946,2072,2795,5674,4849,4473,7599,9583,9199,12364,,63707,68486,80239,67693,64226,77407,81307,100237,77622,97345
848240,Needle roller bearings,1321,1677,832,1277,477,1558,1352,1727,493,424,,50406,28896,29529,21444,15683,20072,18274,17487,13085,14732,,122287,147038,169530,158354,160213,140237,112551,103833,103171,123630
482390,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, in strips or rolls of a ...",959,811,699,503,637,537,435,319,327,416,,26578,28547,27645,20728,22152,25706,26875,30737,23370,31445,,147277,133309,136112,133704,143430,154486,160672,137134,166062,177904
750512,"Bars, rods, profiles and wire, of nickel alloys, n.e.s. (excluding electrically insulated products)",952,614,336,69,76,80,157,47,241,416,,2921,3717,5879,7855,5855,5043,11048,12804,9220,9395,,104705,102426,96891,92104,107831,129389,147440,202905,158826,164592
740321,"Copper-zinc base alloys """"brass"""" unwrought""""",265,0,0,0,0,0,0,236,90,416,,20561,15467,9382,13395,14020,16161,15919,6053,4398,14698,,205761,214404,164861,129808,140240,218016,282262,360082,902493,1171459
711790,"Imitation jewellery (excluding jewellery, of base metal, whether or not clad with silver, gold ...",1,0,0,0,2,6,8,0,1,412,,30996,19784,22161,16304,23514,28055,40394,46774,42623,44610,,15449,17916,24747,20416,24642,37592,89477,74128,75274,70385
846596,"Splitting, slicing or paring machines, for working wood",1051,518,1474,263,1467,254,444,12,90,410,,1031,1562,475,97,427,437,71,412,69,242,,75199,54618,41705,31193,25947,35927,45514,23512,15892,14762
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",6600,5648,879,633,1440,880,619,326,464,406,,2739,2619,15067,23684,34328,43754,32374,25990,19570,22122,,814992,718904,680239,513745,401976,425494,500325,429798,309543,366949
392321,"Sacks and bags, incl. cones, of polymers of ethylene",1684,1875,1763,1869,1523,646,529,445,302,401,,79395,85698,47057,35035,26243,31914,37158,31669,33169,37077,,118099,118077,122158,107324,105188,118830,118739,109510,114839,114447
854470,"Optical fibre cables made up of individually sheathed fibres, whether or not containing electric ...",1311,70,146,119,111,123,499,82,330,400,,89081,70600,82892,80789,80916,76495,65972,100780,60084,70705,,126563,173693,193717,172433,171521,188627,175421,146660,158788,134865
210120,"Extracts, essences and concentrates, of tea or mate, and preparations with a basis of these ...",210,182,229,536,68,88,114,60,8,398,,25676,35521,27986,14989,13959,16536,19233,22326,17089,18517,,6143,7389,7079,13615,11981,18741,22849,18501,18786,13579
846594,"Bending or assembling machines for working wood, cork, bone, hard rubber, hard plastics or ...",31,3545,2,1,2,32,437,575,837,392,,5720,6437,2113,2500,435,578,633,1266,2439,487,,42381,38088,28934,41815,40928,99590,40278,27518,17392,12011
292390,Quaternary ammonium salts and hydroxides (excluding choline and its salts),12,151,230,210,212,448,313,205,138,391,,7451,22294,14272,14238,16844,23339,28168,25795,27022,28709,,59063,43000,36162,35182,34125,34703,47975,44771,52871,58700
842619,"Overhead travelling cranes, transporter cranes, gantry cranes, bridge cranes and mobile lifting ...",55,0,282,1205,0,122,72,0,34,390,,184158,163210,138109,98298,79092,53115,31993,26542,26445,29102,,53428,45983,39388,44865,13795,29637,17176,17733,5284,4318
730423,"Drill pipe, seamless, of a kind used in drilling for oil or gas, of iron or steel (excluding ...",1426,1289,1186,239,0,57,506,54,224,377,,78381,68072,42217,32229,26144,18724,22061,21365,14605,10150,,25816,16995,14109,4232,4102,9491,11878,6355,26067,7210
820559,"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.",558,470,595,162,121,139,203,596,402,377,,111295,113352,95812,94097,84503,85472,95232,84313,69605,79599,,65071,65508,72931,59400,55226,50792,64841,66800,54421,51821
330190,"Extracted oleoresins; concentrates of essential oils in fats, fixed oils, waxes and the like, ...",476,383,400,458,727,670,393,590,229,376,,17704,10858,8297,6892,7696,16670,12781,12318,5392,7083,,18833,18878,15946,21704,21494,28178,22525,21177,21759,35326
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",912,369,507,521,466,252,243,363,370,374,,19848,20073,24715,10898,13398,8816,6766,2931,3173,4751,,147665,176845,244520,239152,164882,180075,161534,117484,125817,166204
410640,"Tanned or crust hides and skins of reptiles, whether or not split (excluding further prepared)",0,0,0,12,5,0,0,0,0,363,,10308,10009,15619,14144,12174,8798,9497,10326,2273,7241,,12,63,24,285,29,22,181,705,533,1753
850151,"AC motors, multi-phase, of an output > 37,5 W but <= 750 W",225,347,121,343,1194,185,199,219,426,360,,27357,75678,62085,11704,27932,20255,20117,16432,25219,33031,,302736,333658,354327,357089,371996,389800,361874,277916,276556,324629
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",2482,31,12122,18871,10694,4,271,345,243,360,,30749,35319,47175,45359,28886,14722,19114,33066,17923,19183,,175598,254523,163542,161176,137086,88842,128171,202900,208536,125575
220830,Whiskies,0,0,0,0,0,183,0,0,76,357,,797381,820816,773901,826084,803476,814871,894676,921913,696246,779825,,134047,113502,107414,118770,113107,135675,173426,208581,244123,405189
90210,Green tea in immediate packings of <= 3 kg,50,143,554,216,261,203,233,541,315,356,,4903,4015,5085,6627,7290,7330,8580,10917,6743,6061,,3570,5255,4994,8125,6966,6194,8651,7689,5405,5834
521213,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",0,0,0,0,0,0,0,0,0,354,,1711,2118,2446,2012,1739,1722,1410,1374,120,233,,7137,5464,5293,4399,3631,3765,3824,3135,2075,2147
722611,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",498,330,146,32,52,0,0,18,46,354,,9213,3282,4560,13459,16396,20878,17250,7582,12474,17954,,49799,31008,22360,23322,10017,4615,6000,6915,54912,82408
903120,"Test benches for motors, generators, pumps, etc.",433,28,365,476,310,143,65,240,210,348,,4145,6674,7958,8578,8940,7099,10647,10238,8962,9182,,466715,458835,489352,549138,434980,606574,630520,551912,541254,427914
731821,"Spring washers and other lock washers, of iron or steel",240,266,189,121,92,51,122,79,126,345,,1706,2571,2085,2157,2048,2775,4450,3118,2587,3221,,51209,51490,62155,52009,46958,54056,64495,61961,66992,69498
820411,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, non-adjustable",78,26,54,26,48,70,110,153,175,337,,2329,3954,5694,4137,5216,4066,5157,5401,8159,4383,,42489,49272,48276,44667,41143,43720,52847,42925,54660,71594
40229,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, sweetened",0,0,0,200,439,462,368,1101,2102,335,,21626,16877,18073,16529,9585,12075,11765,12614,11282,11126,,18522,14197,5257,37244,28431,48776,72710,76773,79857,43912
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",713,135,361,272,979,263,2728,226,189,331,,645541,739994,630621,606333,476121,395144,411411,282650,484379,329575,,311243,340489,399352,394048,396794,504272,494064,606132,579603,590995
560122,"Wadding of man-made fibres and articles thereof (excluding sanitary towels and tampons, napkins ...",2,0,1782,3154,2818,2706,5583,3895,1436,326,,24203,34276,38815,27343,24323,19162,14003,14004,12610,14082,,77323,89722,90331,72019,58004,85712,97373,83845,85418,76844
282751,Bromides of sodium or of potassium,268,107,18,116,0,51,91,214,277,322,,5209,12062,12967,9552,6314,2451,2137,1065,6137,17858,,1634,1152,774,1060,2899,5466,10805,30993,53327,58139
800120,Unwrought tin alloys,1411,994,965,738,797,667,559,501,125,322,,48836,60555,18504,4916,4891,3550,12026,4179,1913,1534,,25976,25002,22156,16667,13021,12528,14298,11634,15289,20480
846023,"Cylindrical grinding machines for finishing metal, numerically controlled (excl. gear finishing ...",0,0,0,0,0,94,872,1131,909,320,,0,0,0,0,0,0,2319,4418,1113,1108,,0,0,0,0,0,237222,319668,253259,227708,219646
842531,Winches and capstans powered by electric motor,11159,29870,14230,35235,17817,12195,223,2557,36,319,,40377,53211,59908,61525,44159,28460,15422,25098,7976,10670,,334113,344222,450151,541556,287531,205195,209410,144729,112697,111273
900220,"Filters, optical, being parts of or fittings for instruments, apparatus and appliances, framed ...",39,27,35,68,90,69,136,173,220,319,,4648,13833,14525,3649,6996,9774,11818,10897,11197,17796,,77717,94747,30231,15349,20147,30355,25807,25488,19272,20930
722490,Semi-finished products of alloy steel other than stainless,3,2,0,0,0,142,0,0,0,315,,3021,2051,2203,770,357,1493,440,172,173,300,,210927,231671,191266,71706,89518,99331,102804,98823,109788,279876
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",1922,2435,4611,5152,3292,3069,3343,3099,840,315,,54650,52722,59927,61832,44765,44759,39610,39812,36286,40746,,83781,54709,61718,62315,63977,73008,96614,95031,88930,100642
850431,Transformers having a power handling capacity <= 1 kVA (excluding liquid dielectric transformers),883,1006,1054,936,587,846,474,420,733,311,,58019,51286,50708,39992,33799,33612,37125,37355,34536,40106,,739278,793224,897488,767114,803372,720826,721189,625050,563632,532872
600622,"Dyed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...""",147,8,0,654,0,6,2,0,0,307,,32454,24262,5991,8612,8154,5063,1608,4370,1895,931,,264812,240995,218022,210353,189965,203211,211311,176432,139631,105912
340311,Textile lubricant preparations and preparations of a kind used for the oil or grease treatment ...,829,710,636,722,626,658,412,389,144,307,,8160,11366,8348,5469,4211,4323,4648,4842,1713,2069,,160442,196381,203178,180773,163658,183066,186123,193519,185609,213849
481910,"Cartons, boxes and cases, of corrugated paper or paperboard",841,595,327,4299,8894,3474,105,182,189,303,,37949,39979,39425,39242,37806,36785,53803,33404,34065,44335,,38516,35700,38602,61463,46905,46266,41561,42811,41642,40382
730792,"Threaded elbows, bends and sleeves, of stainless steel (excluding cast or stainless products)",4885,3898,5328,3691,1910,88,1889,1028,748,292,,11545,22805,17347,11372,11581,10471,12721,12385,11160,11887,,85570,81734,79376,61007,54270,48660,61822,58400,59549,56107
853110,Burglar or fire alarms and similar apparatus,756,3232,2656,1032,1830,466,835,841,179,292,,34435,43743,46765,58705,64655,68663,77387,69336,51194,65853,,70791,74726,76746,70178,99545,47842,51561,58001,52711,52702
760529,"Wire, of aluminium alloys, having a maximum cross-sectional dimension of <= 7 mm (other than ...",103,18,7,3,15,137,255,301,612,291,,2104,1557,5384,1549,2232,1998,22234,28767,1869,3376,,15822,21356,27330,24262,26964,27879,28785,29678,25409,24054
850590,"Electromagnets and electromagnetic lifting heads, and their parts (excluding magnets for medical ...",299,244,584,834,441,136,139,218,174,287,,49850,19697,13115,8371,8564,16184,17880,17672,18634,20944,,183271,214873,222311,213489,226888,296218,324172,304511,342368,387285
732619,"Articles of iron or steel, forged or stamped, but not further worked, n.e.s. (excluding grinding ...",3382,11136,8179,4436,1289,1560,604,513,644,286,,108004,106117,179541,116509,79149,79782,90152,112550,128407,128535,,291299,290089,353614,292086,258523,296622,288240,242537,220563,235676
741210,"Refined copper tube or pipe fittings """"e.g., couplings, elbows, sleeves""""""""",117,35,46,117,63,110,217,145,272,282,,12283,6063,5669,5815,5256,5002,6456,6693,4097,5900,,16919,15280,16807,10676,11683,12354,15221,9441,7795,8075
750720,"Tube or pipe fittings, of nickel",236,124,273,173,13,20,8,11,644,275,,4015,3426,6140,6644,5105,3054,2644,5087,9323,7415,,23616,24858,15902,9383,8841,10642,18039,16389,13906,16066
903020,Oscilloscopes and oscillographs,307,48,154,329,657,224,200,134,60,274,,7366,9175,11228,9974,13497,14692,16347,18093,16539,36805,,129202,109970,219784,138751,151611,149547,163925,201145,273216,188669
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",494,484,697,860,417,472,550,455,263,271,,77938,137659,125800,117579,131254,96388,93231,109604,127339,114765,,35917,33606,41663,39677,34154,49039,60588,79542,103586,138007
853620,Automatic circuit breakers for a voltage <= 1.000 V,134,92,278,748,1070,167,204,333,186,271,,94361,219965,192845,102138,233500,127869,255638,155990,274560,315060,,200039,206521,230197,214039,207493,234079,232287,210183,197852,224683
190220,"Pasta, stuffed with meat or other substances, whether or not cooked or otherwise prepared",369,174,390,705,887,688,506,702,386,271,,384,655,332,428,541,671,1196,1737,1072,1043,,2926,2684,4258,4712,7566,7299,7713,9941,17284,17884
702000,"Articles of glass, n.e.s.",1255,381,458,393,111,159,944,113,439,270,,26404,15349,19388,17976,17191,11027,17712,12336,14170,11873,,1242799,1011222,650847,572191,536223,545386,536954,474005,505310,565478
293329,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused imidazole ring, ...",2,15,69,62,76,58,125,163,107,267,,157849,77964,16943,20579,21047,18921,18395,11188,13398,12604,,110910,62666,61517,55483,68137,39820,64570,65499,84899,96952
491110,"Trade advertising material, commercial catalogues and the like",4398,9024,3782,1582,1341,878,1249,11458,3653,266,,45669,65764,123113,188195,148779,85410,52965,24247,13195,13900,,120828,112088,113638,88145,82936,75361,82558,88846,55263,56083
853921,Tungsten halogen filament lamps (excluding sealed beam lamp units),256,46,54,114,89,100,124,141,180,264,,10355,11465,14384,10942,10094,11341,10784,5659,9247,6906,,125396,132319,132933,124819,133161,111411,109285,80722,62284,55975
848350,"Flywheels and pulleys, incl. pulley blocks",777,671,507,419,277,313,332,311,504,264,,27010,28856,26094,28775,29771,40227,34589,32241,26638,28932,,178217,224880,266517,217250,201609,171883,167423,155809,166789,197770
711019,"Platinum, in semi-manufactured forms",12743,13349,6715,5673,14597,12198,6008,5,65,263,,1497,11217,39302,11020,34123,17672,15970,37284,50396,63122,,1201826,1225898,811984,789745,700243,911903,948191,906962,702054,747363
811300,"Cermets and articles thereof, n.e.s.; waste and scrap of cermets (excluding ash and residues ...",15,15,1,4,78,101,156,350,245,263,,1051,2941,3597,843,2329,2702,5697,3905,3245,1803,,151540,139222,123765,100309,105516,120617,127642,95034,85365,102101
910820,"Watch movements, complete and assembled, with automatic winding",23144,15764,8178,4497,17,20,7,0,191,263,,1753,1498,702,548,3406,708,428,690,287,644,,108449,288773,81505,86153,148491,97955,78782,76568,64666,51053
482190,"Paper or paperboard labels of all kinds, non-printed",338,770,992,647,798,744,684,327,368,257,,19745,13996,13278,13176,28754,20463,14966,18217,21900,27424,,35510,35835,35139,31612,34993,37202,31440,26867,20943,23079
284440,"Radioactive elements, isotopes and compounds, and alloys and dispersions, incl. cermets, ceramic ...",0,0,0,0,0,0,0,0,95,257,,28427,39484,40090,37682,45482,20666,14118,12584,10763,10785,,59361,70549,70674,72299,69817,78660,85253,95640,81282,91548
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",8654,4759,717,336,65,32,113,33,122,253,,4621301,4646896,4634219,6042977,5221327,4498727,4671521,4693574,3974290,5322986,,1639507,1656517,1793077,3442535,2537869,748048,292741,438150,898353,1169304
950890,"Roundabouts, swings, shooting galleries and other fairground amusements; travelling theatres ...",0,0,38,5,3,8,3,24,1,251,,4293,1782,352,3543,4407,3065,2756,3656,1547,522,,66235,78728,223852,231114,210197,306535,332572,393183,334430,188856
845430,Casting machines of a kind used in metallurgy or in metal foundries,0,190,0,153,0,418,0,110,0,250,,1470,1137,2310,1458,1229,8853,24690,3112,6454,6881,,427469,306352,445387,316005,259490,273244,270319,226753,108063,96920
390529,"Vinyl acetate copolymers, in primary forms (excluding in aqueous dispersion)",9,0,3,0,0,97,69,119,2384,247,,1935,1186,998,667,805,6471,20094,39015,44685,64793,,10873,9542,8374,7288,9410,12442,20901,13625,19366,23029
820790,"Interchangeable tools for hand tools, whether or not power-operated, or for machine tools, ...",155,129,142,391,100,87,83,24,34,246,,642528,489376,238902,147159,127679,162325,171866,140981,128262,126322,,83260,82494,87247,86373,83857,109229,123500,131234,117322,148890
853221,"Fixed electrical capacitors, tantalum (excluding power capacitors)",36214,22350,19569,14332,5643,202,239,220,278,244,,39422,33302,23873,20149,23245,21728,60634,35280,36033,51257,,957468,949722,1345690,920180,575279,647881,756350,642901,724420,867082
590700,"Impregnated, coated or covered textile fabrics; painted canvas being theatrical scenery, studio ...",10,7,19,12,0,0,3,15,561,240,,2486,1373,1772,1622,985,664,780,639,450,300,,65443,85180,77542,63217,56518,54198,57201,53473,41678,38288
750620,"Plates, sheets, strip and foil, of nickel alloys (excluding expanded plates, sheets or strip)",83,279,214,95,17,1,0,25,5,240,,18465,20610,7251,7992,11795,12622,41119,10936,18535,24338,,151456,111667,116220,125921,96508,119033,133944,157809,203062,211832
842420,"Spray guns and similar appliances (other than electrical machines, appliances and other devices ...",256,92,324,82,289,146,144,12,386,238,,6748,6754,6951,4768,4753,4588,5614,5319,4706,5404,,128819,128828,162084,110942,101328,109636,116389,111751,101134,114767
730721,Flanges of stainless steel (excluding cast products),605,911,774,851,669,1101,865,761,374,237,,16986,13316,12893,12032,10212,8292,12896,17127,16013,10665,,40933,57550,57147,48945,40964,53338,68615,65469,73147,77061
902910,"Revolution counters, production counters, taximeters, milometers, pedometers and the like (excluding ...",83,78,70,62,86,45,426,75,80,236,,2999,2838,2049,1894,1908,1713,3629,2189,2089,1555,,35802,38475,52323,53107,35870,33347,35390,31218,21638,26428
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",67,42,23,145,56,23,39,41,61,234,,1910308,1569202,1400396,1352315,1299697,1210250,1294789,1296485,1458704,2188493,,700850,750599,612414,639162,698558,765563,1492554,670700,217659,382222
90121,Roasted coffee (excluding decaffeinated),469,876,905,1568,1048,365,60,46,239,233,,29307,27853,21886,16544,16223,19010,21327,20634,19461,21546,,31211,35320,46740,102197,374211,384194,155837,121991,143132,154251
830170,"Keys presented separately for padlocks, locks, clasps and frames with clasps incorporating ...",4,17,2,12,1,4,8,2,69,232,,527,1829,2192,3079,4384,7876,2144,1179,2085,1796,,17696,18707,16719,13821,12474,16561,14216,10639,8303,9797
851761,"Base stations of apparatus for the transmission or reception of voice, images or other data",369,0,0,3,58,29,1,204,867,232,,17939,12438,13813,12404,18536,15438,25644,217307,75364,42778,,61730,53027,35243,47912,86038,41007,35656,97488,28554,14815
630720,"Life jackets and life belts, of all types of textile materials",41,30,2,4,113,16,34,198,159,232,,3043,2739,3606,2898,2746,2405,2632,3366,2522,1958,,13210,13739,14833,16881,18438,21716,19116,17658,12992,14811
291720,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, ...",97,145,69,72,31,52,119,180,256,231,,1565,905,1132,1191,1459,2062,2393,2021,2615,2758,,30246,44953,46198,34952,35731,37238,38964,39391,34331,47545
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",600,1260,605,492,662,729,398,517,1274,231,,155837,142310,134356,126819,116669,109178,105573,95238,79769,87363,,630378,614996,615563,527481,499902,590535,636875,689536,637235,671111
852190,"Video recording or reproducing apparatus, whether or not incorporating a video tuner (excluding ...",9,117,354,287,142,0,0,29,82,230,,110470,81311,63387,45313,66352,55164,31861,24141,34456,26341,,108054,58824,36050,29654,97279,81813,150866,334285,555393,99083
940370,"Furniture of plastics (excluding medical, dental, surgical or veterinary, and seats)",15,10,14,3,76,59,217,175,206,229,,3269,2893,2764,2085,4278,4161,3269,3848,2607,6107,,8154,9174,11882,15109,18083,25104,27521,26217,15540,14301
730640,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excluding ...",69,1,49,10,16,82,14,36,42,229,,26258,19775,17225,11790,16402,13163,19260,22977,18149,14521,,115672,107540,109380,110431,123901,136942,186791,137920,106747,147087
290950,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated ...",343,36,167,76,118,47,0,294,121,227,,8063,8025,7755,3342,3179,3893,4801,5605,5434,4615,,20751,23383,35216,29563,33069,32601,50875,67878,59928,60494
790700,"Articles of zinc, n.e.s.",1023,1296,851,741,334,342,746,958,211,226,,18887,19034,23064,20690,27731,23385,24277,30276,32553,43083,,22838,29449,33522,26685,28379,33829,41044,40745,38332,49105
730441,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, ...""",421,79,417,348,90,58,83,146,48,226,,6989,5294,25885,11775,4592,4509,3686,15045,7752,8745,,179703,222398,354758,294795,372655,282600,285101,199826,165588,267111
730490,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel ...",52,107,7,1,1,17,23,236,619,224,,62153,96319,72187,33365,21912,26121,37559,25503,24278,23556,,33199,15283,35874,17558,13174,6855,19989,12270,8479,9794
961210,"Typewriter or similar ribbons, inked or otherwise prepared for giving impressions, whether ...",350,700,493,350,399,440,401,307,278,223,,54547,53451,60316,62481,66482,70702,77751,79934,63725,70013,,103885,105561,105145,108655,107133,129259,127442,124852,109631,122210
320210,Synthetic organic tanning substances,969,647,401,166,248,327,222,143,226,223,,12605,13392,14852,10247,9613,9303,10636,8361,7303,6861,,115519,120008,122320,114077,107892,121249,108514,95147,87337,93411
848220,"Tapered roller bearings, incl. cone and tapered roller assemblies",117,32,45,17,3,3,8,41,44,222,,97764,85578,74990,73128,84461,78337,81636,96935,83008,113783,,304153,315065,393358,334789,311320,371753,435279,490611,705263,762983
401610,"Articles of cellular rubber, n.e.s.",153,129,117,258,372,285,231,460,503,221,,16383,17354,28920,23883,20272,22947,24997,23337,18007,15594,,52099,50275,51353,49268,51407,48737,52788,43058,39655,44875
340211,"Anionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",2620,2384,2380,1270,262,290,331,1089,82,221,,6362,8526,11119,9701,8919,7218,9525,9734,8144,11519,,152171,140345,138345,141857,142153,152893,174425,177246,194485,235207
900110,"Optical fibres, optical fibre bundles and cables (excluding made up of individually sheathed ...",28,21,168,11,4,11,32,16,20,219,,15190,21004,22600,30577,31503,24072,24367,21550,13188,11557,,479792,375553,231540,325471,429071,391971,371495,338453,353676,356061
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,17453,7810,455,523,20,248,2,0,0,218,,243852,153186,64177,68412,62406,57687,69517,85394,70914,69484,,560872,550272,615343,536474,505433,608902,634916,527145,504335,567198
