Product code,Product label,Russian Federation's imports from United States of America-Value in 2012,Russian Federation's imports from United States of America-Value in 2013,Russian Federation's imports from United States of America-Value in 2014,Russian Federation's imports from United States of America-Value in 2015,Russian Federation's imports from United States of America-Value in 2016,Russian Federation's imports from United States of America-Value in 2017,Russian Federation's imports from United States of America-Value in 2018,Russian Federation's imports from United States of America-Value in 2019,Russian Federation's imports from United States of America-Value in 2020,Russian Federation's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
400520,"Compounded rubber, unvulcanised, in the form of solutions or dispersions (excluding rubber ...",228,291,405,130,202,204,209,420,319,344,,16523,16777,16894,15753,17334,16019,9646,10622,7656,13590,,5261,5314,3453,2576,2963,2712,4453,6008,4229,5987
290941,"2,2'-Oxydiethanol """"diethylene glycol, digol""""""""",1,3,0,1,0,0,1,0,0,343,,34700,48874,38442,36596,20750,28564,25551,56801,82916,123929,,544,784,311,280,205,246,141,313,662,2915
710490,"Precious and semi-precious stones, synthetic or reconstructed, worked, whether or not graded ...",226,252,24,81,24,149,199,131,68,342,,56704,75788,57164,14186,15087,39719,20900,107974,120637,225630,,2561,2054,1775,1334,1635,3352,4675,5255,3537,12243
853225,"Fixed electrical capacitors, dielectric of paper or plastics (excluding power capacitors)",32,63,36,52,64,47,67,106,233,341,,75038,81371,84613,67515,79266,68032,83554,67047,75995,82854,,18403,19624,19510,7208,8955,10887,14803,12816,11776,13722
560311,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of synthetic or ...",0,4,349,111,3,1780,1563,118,263,340,,190542,188464,230990,198889,200697,202664,220054,216825,198111,209054,,20349,32885,42907,23450,26456,27993,35252,34888,49080,74293
370255,"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ...""",15304,8544,285,215,230,422,556,77,149,336,,117387,60623,12133,5900,5082,4392,5453,5408,4072,4627,,15369,8654,335,347,230,425,556,77,149,342
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",5427,6365,6278,2386,1924,2048,1913,1906,1262,334,,1476070,1627926,1705325,1675723,1642274,1619875,1675488,1765406,1736771,1780722,,260783,310771,301604,171856,161378,209530,241858,246184,241512,270851
871310,"Carriages for disabled persons, not mechanically propelled",216,881,915,809,573,616,933,588,297,332,,30315,33424,36823,42165,43486,43953,45128,43000,37986,41338,,31304,33931,26425,19438,26887,25422,28350,23724,26094,32379
845969,"Milling machines for metals, not numerically controlled (excluding way-type unit head machines, ...",447,66,121,66,54,359,328,1132,165,331,,17529,14882,14747,12354,9248,11347,11618,11449,10279,15405,,15636,23270,20629,10226,7877,8890,10043,8705,10741,9115
851230,Electrical sound signalling equipment for cycles or motor vehicles,1855,1519,495,254,206,257,482,279,244,331,,125281,121052,122604,129996,135353,155302,129362,132455,98687,94824,,80938,70555,36349,17352,22556,32968,42806,39229,32503,41750
330190,"Extracted oleoresins; concentrates of essential oils in fats, fixed oils, waxes and the like, ...",107,115,89,93,218,328,207,141,140,329,,44271,58741,59338,65733,76174,81422,89654,96480,98790,109532,,6658,3937,5599,6351,6589,7057,7305,6610,8387,9153
610462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton, knitted ...",268,267,138,38,34,85,71,67,53,328,,38767,37897,36475,28906,29901,31729,31259,26416,24987,35862,,83330,103273,100368,69245,75905,92228,93809,97759,95928,156822
901720,"Drawing, marking-out and mathematical calculating instruments (excluding drafting tables and ...",36,24,21,21,27,83,86,184,167,328,,488838,356461,322416,307704,251692,193566,177020,161191,158983,158171,,4012,4815,6955,3349,4367,6950,6466,6267,7059,10218
732393,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excluding ...",1283,403,550,360,235,251,326,347,260,327,,123836,119303,132266,140199,138443,145756,157257,164673,140892,165711,,184200,163764,138044,88793,80742,97701,125544,134569,175395,175707
261510,Zirconium ores and concentrates,1424,843,1130,290,328,261,504,556,888,326,,38499,45273,22167,17399,14890,50430,95162,58188,35596,28360,,25518,13261,10002,7944,7729,12280,16815,17886,13288,19602
280430,Nitrogen,131,278,141,80,63,193,349,321,208,326,,21323,18411,29568,26114,39467,28939,28527,35171,14207,18992,,1875,1659,1504,1013,989,1843,2553,2645,2703,3326
680421,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",231,175,437,329,776,517,517,605,260,326,,61502,59479,68539,70545,73113,71437,79719,78455,60998,73509,,38913,50136,44957,29394,30918,42911,50134,54693,55071,72081
760720,"Aluminium foil, backed, of a thickness (excluding any backing) of <= 0,2 mm (excluding stamping ...",147,220,152,294,408,708,505,353,238,325,,184991,204010,212475,203310,203257,213363,201940,179397,156659,184443,,97609,69804,81939,50063,42631,34837,34928,33656,31733,33361
854290,"Parts of electronic integrated circuits, n.e.s.",124,8,146,7,12,76,61,134,56,323,,1271094,1194940,1187554,1130778,1286181,1154184,1073515,1334220,1034335,1208029,,1694,4156,5517,4939,3409,7298,8454,8040,9048,9483
950790,"Line fishing tackle n.e.s; fish landing nets, butterfly nets and similar nets; decoys and similar ...",2270,2542,1944,899,103,495,343,329,346,323,,103729,100187,96103,89920,79322,82533,87408,77493,73804,100224,,39517,40214,33665,19564,16091,14552,20999,21100,20480,30133
381119,Anti-knock preparations for motor fuels (excluding those based on lead compounds),1867,1645,1396,753,723,682,764,450,402,321,,101278,87633,63933,59097,39982,50859,42519,66716,39851,34785,,2342,1989,2063,1290,1114,973,999,658,1061,576
710610,"Powder of silver, incl. silver plated with gold or platinum",4,9,0,6,0,0,115,177,164,320,,728563,552765,510993,382404,468251,548039,534501,368307,458970,526436,,14,19,3,24,0,29,128,177,168,320
285390,"Phosphides, whether or not chemically defined (excl. ferrophosphorus); inorganic compounds, ...",0,0,0,0,0,229,320,553,416,319,,0,0,0,0,0,134490,163677,120005,107777,141157,,0,0,0,0,0,1772,2066,2118,2045,1818
330119,"Essential oils of citrus fruit, whether or not terpeneless, incl. concretes and absolutes (excluding ...",1,0,0,85,2,132,50,28,115,318,,52920,54384,70081,67795,80058,90095,104192,88165,77772,86485,,87,58,137,256,310,607,590,607,824,1090
780600,"Articles of lead, n.e.s.",256,151,158,295,308,252,115,323,159,318,,54559,68986,78558,34862,20887,17289,23603,20962,18744,126697,,3965,3105,2661,2482,1567,1999,910,1432,1906,1535
701710,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated, of ...",102,87,113,111,138,224,246,182,190,316,,54086,45067,35042,33548,34001,39777,41525,44973,38124,45152,,404,399,290,489,338,693,818,739,825,1214
846722,"Saws for working in the hand, with self-contained electric motor",220,258,201,232,99,185,140,323,272,316,,49774,55689,63428,68309,71664,70588,84959,83548,91453,118299,,98973,106109,92027,48573,51598,90060,80292,77798,91163,125372
843010,"Pile-drivers and pile-extractors (excluding those mounted on railway wagons, motor vehicle ...",344,656,1528,477,0,64,1187,91,0,314,,57992,80381,54700,41384,69153,55209,46390,41551,51580,37489,,45143,58751,34855,12321,34374,17412,19969,17327,32049,42782
392071,"Plates, sheets, film, foil and strip, of non-cellular regenerated cellulose, not reinforced, ...",623,430,240,158,117,144,677,450,779,313,,31367,33099,34673,30662,28845,30280,31048,33107,45997,48931,,6303,5880,5421,6137,5878,6086,6597,5926,5680,5491
850519,"Permanent magnets and articles intended to become permanent magnets after magnetization, of ...",612,1465,1168,212,134,191,203,216,167,311,,56174,57237,63368,79057,82794,65719,63556,76547,41229,45866,,13152,13275,14491,11850,12016,13887,17177,15932,18744,24132
853230,"Variable or adjustable """"pre-set"""" electrical capacitors""""",29,138,228,257,62,147,127,68,264,310,,24410,23613,29781,31150,29833,32687,47606,49615,76484,145824,,1380,892,625,549,494,1032,646,847,1164,1491
843699,"Parts of agricultural, horticultural, forestry or bee-keeping machinery, n.e.s.",662,298,378,348,367,801,585,396,323,309,,133719,152351,165878,159185,139049,146329,174869,175312,161144,208256,,19130,16682,19651,16277,15667,25358,32587,27295,26895,49279
253090,"Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances, n.e.s.",453,563,780,268,644,824,523,797,457,308,,120260,121305,114576,104017,101395,171560,128836,96736,82385,93207,,17069,23146,20579,15384,15067,19470,31105,25044,19437,19533
283526,"Phosphates of calcium (excluding calcium hydrogenorthophosphate """"dicalcium phosphate"""")""""",2,108,142,232,202,129,214,305,331,306,,201399,161857,165377,156895,145640,113714,99645,137181,108966,139620,,3095,4021,3753,2497,2293,2545,3098,3663,4104,7927
940179,"Seats, with metal frames (excluding upholstered, swivel seats with variable height adjustments ...",711,401,260,89,44,59,142,180,297,306,,78007,86839,90102,93318,93634,93084,98358,90417,81179,101863,,63319,66357,69378,48062,38438,40200,48846,53181,55193,74901
560392,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 25 ...",77,147,642,9,41,38,19,18,93,305,,194081,204828,241067,263004,230636,238242,218951,200307,201020,211068,,12626,22628,17956,12863,13476,15135,21463,24496,18365,25068
960990,"Pencils, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks",65,95,153,71,114,209,301,357,470,303,,19555,18605,20567,18827,21654,19542,21996,19784,20588,19768,,5980,7185,7433,5321,5625,5597,6641,6641,9004,11169
291010,"Oxirane """"ethylene oxide""""""""",185,446,384,217,340,428,439,371,444,302,,29558,31982,30322,21572,13217,11895,11635,9969,7754,8992,,191,505,384,217,341,431,440,375,471,303
731010,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material, ...",377,288,436,629,227,201,223,231,341,302,,199510,194836,211504,231423,241043,268203,280099,225466,167004,239361,,16689,16473,16454,11309,9332,11503,12513,10943,8880,10859
870194,"Tractors, of an engine power > 75 kW but <= 130 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,82,397,73,357,300,,0,0,0,0,0,230107,260688,221883,132132,192279,,0,0,0,0,3808,87785,117573,90482,94748,152676
260200,"Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a ...",113,156,161,92,24,66,586,330,252,299,,2019,1840,2901,2571,2034,2255,3417,1543,1429,970,,137642,172954,141794,103444,107670,211810,364822,246807,189702,233192
700100,"Cullet and other waste and scrap of glass; glass in the mass (excl. glass in the form of powder, ...",12,287,13,7,65,9,19,8,0,298,,9872,11026,17248,22130,24924,39881,51122,84896,86491,135485,,738,1407,1130,551,2130,3575,2620,3297,3499,4134
440791,"Oak """"Quercus spp."""", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...""",1157,1338,1133,225,338,259,406,219,301,296,,609858,762799,1002275,910270,1020264,1271768,1160523,849457,785586,981346,,6062,7380,4202,1586,627,960,1081,1055,1878,2766
681410,"Plates, sheets and strips of agglomerated or reconstituted mica, whether or not on a support ...",75,82,164,41,5,29,153,270,201,295,,16176,15143,15638,16936,12891,11173,10349,16621,7998,10620,,8998,10559,6969,4752,5153,6563,6053,7643,7166,7222
731813,"Screw hooks and screw rings, of iron or steel",70,149,87,99,118,104,89,153,135,293,,27112,17550,13381,14167,9849,9581,11202,11027,10922,8171,,6528,7201,5412,3508,3404,4598,5323,5591,5210,6447
848071,Injection or compression-type moulds for rubber or plastics,1453,648,26,868,4542,1666,247,265,1303,293,,615884,620157,538935,604933,596829,675934,684583,587623,610276,582674,,205860,317671,292911,217017,184963,228418,255896,223209,226031,270729
401034,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",218,182,209,286,251,383,401,293,324,293,,7770,7178,7620,8230,7860,8068,7900,7252,7729,8581,,5068,4653,4388,3548,3900,4115,4467,3800,3417,4347
851090,"Parts of electric shavers, hair clippers and hair-removing appliances, with self-contained ...",229,253,212,141,151,353,311,402,387,292,,47203,43023,43422,44170,40141,43137,42052,46791,47793,50433,,2940,4663,3545,1595,2321,3235,3376,3632,4481,5788
420310,"Articles of apparel, of leather or composition leather (excluding clothing accessories, footware ...",340,391,341,162,140,199,207,287,72,292,,145313,150794,151358,145454,97040,106311,101847,105532,63668,71260,,145731,136156,109801,70153,66893,81028,97579,98720,80305,112078
848280,"Roller bearings, incl. combined ball-roller bearings (excluding ball bearings, tapered roller ...",871,677,461,765,767,329,477,669,140,292,,165442,149928,140066,136135,125214,124210,125636,103664,82416,86787,,27603,18551,15197,11809,14738,16733,17250,15241,12588,14920
846599,"Machine tools for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...""",187,536,1541,364,180,143,0,348,297,291,,26353,28904,25408,24012,19422,20264,24566,22853,21678,21895,,56095,55537,50720,32919,29401,40966,42336,36885,36547,41662
491110,"Trade advertising material, commercial catalogues and the like",1582,1366,1668,1517,1320,1155,1172,795,464,290,,270790,325506,335441,329108,258026,267287,236418,236392,190552,204290,,169262,166319,149205,95358,84465,81323,66758,59626,52528,41626
720521,"Powders, of alloy steel (excluding powders of ferro-alloys and radioactive iron powders "" ...""",68,112,301,199,23,258,2073,1830,1057,289,,44530,54994,69333,66972,57622,63172,83322,81425,66834,81084,,4199,5325,2383,2669,2828,4183,8033,7130,4917,5833
846792,"Parts of pneumatic tools for working in the hand, n.e.s.",451,662,992,384,239,230,289,261,222,289,,84860,82092,82546,79235,75549,75129,73307,70652,51851,72015,,1623,3874,2498,1276,1168,1876,2048,2455,2238,2541
761610,"Nails, tacks, staples, screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers ...",324,314,441,283,355,250,231,311,222,288,,141154,133955,146133,140443,139509,153680,166283,170716,149813,150207,,25418,31638,43831,30637,36708,44843,59488,56180,38885,51676
170240,"Glucose in solid form and glucose syrup, not containing added flavouring or colouring matter, ...",7,0,148,175,322,306,468,279,211,286,,82107,46810,26863,24543,23534,23199,26612,27513,29255,46537,,187,156,198,193,1456,1989,509,300,247,317
380110,"Artificial graphite (excluding retort graphite, retort carbon and goods of artificial graphite, ...",125,5,150,140,212,329,268,158,253,285,,160406,197939,208551,164364,133303,179398,215860,167270,109514,127269,,24910,29782,9472,5346,9283,5344,6292,7918,4576,7302
851310,Portable electrical lamps designed to function by their own source of energy,937,985,1037,468,345,432,510,567,304,284,,130687,133750,124889,121605,139602,123871,126873,127310,108903,137479,,81246,57388,32779,19637,21094,26983,29463,30240,28584,36468
321210,Stamping foils of a kind used in the printing of book bindings or hatband leather,3493,4249,3480,2795,3036,4248,2330,1346,1071,284,,56574,63586,55537,58258,67521,73176,106947,89253,57386,56738,,26657,24970,30172,26222,26101,28443,27045,29927,31332,38633
292421,Ureines and their derivatives; salts thereof,77,37,42,0,0,82,171,165,228,284,,3586,2948,4034,3378,4250,4280,3365,3961,1637,1675,,154,161,245,363,280,276,895,3289,1159,1261
722220,"Other bars and rods of stainless steel, not further worked than cold-formed or cold-finished",8,0,0,0,0,1,8,1,685,282,,173877,165390,171410,161978,148869,190599,200333,205797,160670,196795,,61072,62117,68634,34196,39211,49651,56055,46752,56822,64973
902490,Parts and accessories for machines and appliances for testing the mechanical properties of ...,108,334,254,357,107,149,180,436,333,282,,253921,214240,198791,166306,169304,176218,169241,174304,153830,231845,,1981,2361,2183,1158,951,2503,2145,2837,2060,1920
701952,"Woven fabrics, incl. narrow fabrics, of glass filaments, of width of > 30 cm, plain weave, ...",232,236,308,338,477,428,269,254,314,281,,40865,42227,46667,52997,52152,58377,54488,49861,39476,32356,,27871,33757,42189,21743,24864,23922,26704,26585,24251,30841
850433,Transformers having a power handling capacity > 16 kVA but <= 500 kVA (excluding liquid dielectric ...,830,954,207,230,585,392,429,482,72,281,,125972,125980,127853,138561,130970,130742,135060,130147,107367,110562,,35575,23596,12991,10831,47237,9636,13284,12722,11058,9972
853941,Arc lamps,292,206,69,31,20,46,181,189,165,280,,44629,58120,62456,65355,70723,60530,66851,68847,52492,64427,,1977,1018,610,807,516,662,828,866,1725,2278
841280,"Engines and motors (excluding steam turbines, internal combustion piston engine, hydraulic ...",881,156,66,128,874,588,1766,254,414,278,,343402,371415,318860,405938,300845,253925,263813,292025,177184,229470,,11351,11521,9463,3407,4544,5412,5815,9512,5575,6612
840910,"Parts suitable for use solely or principally with internal combustion piston engine for aircraft, ...",181,106,30,73,53,19,12,289,39,278,,47688,43630,76625,67263,56596,65440,85694,81872,59935,69428,,882,865,586,161,334,715,689,2015,1471,2983
690310,"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ...",339,338,85,24,255,196,217,122,73,277,,21151,23169,20180,22224,21029,27033,34932,34844,26632,29899,,2143,2611,2099,1625,2083,2511,2472,1776,1639,2061
810490,"Articles of magnesium, n.e.s.",13,34,5,103,139,488,519,51,175,276,,42848,57347,56756,72098,46938,46587,60621,41990,38197,40163,,566,740,901,1058,1688,2008,2408,2633,2188,3095
841340,Concrete pumps,320,712,181,112,160,245,187,307,251,275,,73281,75095,64597,37512,33277,23203,27571,31193,24734,21275,,43903,63064,37694,7261,7325,14674,13592,12292,20730,21406
110630,"Flour, meal and powder of produce of chapter 8 """"Edible fruit and nuts; peel of citrus fruits ...""",68,83,130,57,371,205,247,126,69,274,,9309,16988,15591,18384,28609,31566,47131,52087,66236,62574,,2502,3323,3317,3980,3768,3864,5569,7662,6755,9081
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",188,241,327,127,235,238,489,442,316,274,,334451,322066,342610,286931,262510,311517,367092,320366,249215,336085,,10326,10670,7295,3947,3864,4718,6060,7765,6088,7243
391723,"Rigid tubes, pipes and hoses, of polymers of vinyl chloride",1237,1497,562,543,406,408,347,401,272,273,,138708,140936,135542,126439,115374,123399,127688,133322,125614,166804,,31776,33576,28987,12267,11208,13517,13976,10730,10206,11368
843110,"Parts of pulley tackles and hoists (other than skip hoists), winches, capstans and jacks, n.e.s.",1142,684,210,809,840,495,348,247,146,270,,278656,273445,246037,249961,153418,147661,160384,190957,130954,155759,,7569,11451,7785,6680,6313,6333,5201,6966,5262,6815
330620,"Yarn used to clean between the teeth """"dental floss"""", in individual retail packages""""",451,171,416,110,111,400,308,291,278,269,,28479,32258,33485,41578,39724,34813,37880,40831,50242,50386,,4240,4432,4709,3359,4693,7394,5800,5656,5589,6685
843120,"Parts of fork-lift trucks and other works trucks fitted with lifting or handling equipment, ...",289,248,243,493,134,262,201,381,367,269,,460544,409304,410027,355584,332771,398317,492492,397970,313796,415060,,25420,33853,24290,24274,14295,18698,18007,19670,18026,24639
401700,"Hard rubber, e.g. ebonite, in all forms, incl. waste and scrap; articles of hard rubber, n.e.s.",946,1230,1352,900,687,457,181,210,163,269,,29074,19496,19149,14611,15877,12214,14839,14909,7880,6009,,5007,4827,4213,2758,2287,2612,4331,3462,3004,2756
293219,"Heterocyclic compounds with oxygen hetero-atom[s] only, containing an unfused furan ring, ...""",2,1,198,136,290,6,71,63,310,269,,23880,47993,47764,41250,71939,81163,56024,58097,58139,55472,,1203,2274,4832,8325,7899,7314,7813,7927,5662,4100
730793,"Butt welding fittings of iron or steel (excluding cast iron or stainless steel products, and ...",383,1567,634,165,71,80,238,450,95,265,,116161,114973,120771,108716,58806,59127,57419,57822,48592,42380,,46242,51670,47134,30491,29311,38446,47020,72158,44452,44032
481910,"Cartons, boxes and cases, of corrugated paper or paperboard",186,205,223,160,213,211,381,512,364,264,,1053031,1128314,1169719,1178652,1137229,1195309,1198728,1206700,1140514,1361527,,70212,65612,45411,29759,31077,38986,43927,41357,32389,35884
390461,"Polytetrafluoroethylene, in primary forms",192,107,101,63,161,74,180,107,185,261,,150892,136367,133359,129977,118623,135418,140309,147097,110884,120213,,1347,1930,2189,2027,3767,6135,5190,5285,5201,5393
850410,Ballasts for discharge lamps or tubes,291,555,180,72,95,92,124,177,199,261,,277622,259870,254707,221975,176842,132454,105645,75779,51397,49865,,75349,62464,50328,23490,22888,23923,37356,27058,31803,23486
701720,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated, having ...",433,776,1638,720,800,1025,1072,405,179,261,,52049,50595,49712,45168,34418,36367,42536,45022,49925,62178,,1803,2176,3189,1501,1854,2294,2954,3961,4155,5076
940310,Metal furniture for offices (excluding seats),965,1044,1586,625,558,605,286,509,289,261,,256117,224319,222192,202779,203940,210553,214786,214066,150369,160840,,36589,41822,36750,24079,17387,24874,28623,23820,25556,31119
970110,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",167,8,120,28,69,9571,1506,13,117,260,,5172709,5322076,7371661,7865346,8116187,8637945,10893804,8895346,5815189,6228829,,845,930,2008,1725,661,10661,4731,2905,3546,4720
920590,Wind musical instruments (excluding brass-wind instruments),11,11,6,3,1,6,44,263,322,260,,25957,29128,26099,22655,22831,25124,24512,24127,17140,18571,,5156,5722,5052,3376,2671,3330,4679,8614,5481,6263
250850,"Andalusite, kyanite and sillimanite",110,149,139,145,101,102,115,120,147,260,,11700,13123,13578,13907,13020,14839,14923,14390,13797,17709,,2692,2712,2685,1662,2153,2902,3203,4269,1878,2139
901600,"Balances of a sensitivity of 50 mg or better, with or without weights",83,32,236,46,174,82,155,166,139,260,,15856,14580,15484,14973,15417,15478,16860,16336,15236,21094,,9672,9765,7170,6331,8516,8824,9524,10190,8588,11351
845011,"Fully-automatic household or laundry-type washing machines, of a dry linen capacity <= 6 kg",217,230,117,105,40,59,20,94,120,257,,195434,164189,147787,97985,98023,90690,89539,68769,56227,68758,,474421,343125,254710,122500,116155,163866,206073,195129,202670,212680
853610,Fuses for a voltage <= 1.000 V,659,348,228,142,135,220,306,341,122,257,,206442,198180,221533,231146,205088,235857,224302,197566,201435,235963,,18487,15094,12999,8308,8945,11016,13100,14931,14008,20831
340311,Textile lubricant preparations and preparations of a kind used for the oil or grease treatment ...,50,39,73,21,32,13,0,0,4,256,,30049,55674,55967,45007,44829,44794,46960,42327,29769,44899,,4267,5004,5709,4522,5515,4740,4641,4140,4329,5917
210320,Tomato ketchup and other tomato sauces,855,1017,1493,798,1060,1264,685,988,216,254,,271768,282293,320829,375252,390162,368117,326133,320002,314183,317968,,29977,30384,26068,14954,13748,16532,17710,18398,20459,25166
381010,"Pickling preparations for metal surfaces; soldering, brazing or welding pastes and powders ...",812,1325,1510,247,250,820,1227,1029,330,253,,106941,115537,109786,108272,116604,119459,131510,134970,119118,147238,,11058,10570,10004,6771,7040,8471,9648,9527,8662,10995
853229,"Fixed electrical capacitors (excluding tantalum, aluminium electrolytic, ceramic, paper, plastic ...",71,110,307,484,227,683,543,548,667,253,,95949,105033,121133,88015,80959,106761,113701,93842,79701,107690,,20679,8967,6669,3835,4377,5972,7351,6142,6904,10436
401695,"Inflatable mattresses and cushions and other inflatable articles, of vulcanised rubber (excluding ...",194,237,148,186,477,211,133,209,123,252,,34764,58612,44977,53152,45431,42786,40759,34933,29995,30733,,2306,2572,2578,3003,2459,2938,2891,4321,4278,4266
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",2878,1511,775,559,227,246,715,469,121,252,,358891,354351,373561,369441,363440,358438,379090,328577,272210,311956,,130319,149878,147812,79382,69264,91515,95126,77276,87987,84264
722211,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only hot-extruded, of ...",330,137,2,0,25,11,0,251,446,251,,92247,76666,73888,58814,50268,80518,55157,57299,49781,50979,,32363,13894,14373,13532,12867,12843,10427,14281,13811,16838
370320,"Photographic paper, paperboard and textiles, sensitised, unexposed, for colour photography ...""",13,23,7,22,1,20,4,296,206,251,,83041,100719,94984,107138,94229,97113,76216,69696,27013,43923,,11624,11623,9250,8907,10517,8242,6890,7148,4992,5825
482370,"Moulded or pressed articles of paper pulp, n.e.s.",92,86,595,341,213,421,382,319,273,250,,49399,49066,58022,56072,53729,49468,55052,66141,71038,75064,,9217,12324,10832,6737,7006,7683,9517,8201,7078,8558
846721,"Drills of all kinds for working in the hand, with self-contained electric motor",1344,198,281,74,26,956,346,127,173,248,,107436,110255,109762,102244,108777,126575,116786,100463,89037,112628,,242746,240166,237555,113701,117697,255666,227019,244533,276841,181077
520852,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 100 g to 200 ...",170,41,2,18,13,40,3,40,1,247,,35281,38150,39706,37222,33987,34546,31594,30637,30058,36307,,33794,24383,12776,11924,11865,24718,26807,25237,30641,32646
847480,"Machinery for agglomerating, shaping or moulding solid mineral fuels, ceramic paste, unhardened ...",3118,7529,6736,549,701,5162,5273,138,361,247,,51516,70459,52165,45218,37959,36621,27856,42900,33221,40827,,432133,420375,404731,102528,55004,116525,109754,79963,84929,83276
570500,"Carpets and other textile floor coverings, whether or not made up (excluding knotted, woven ...""",120,687,468,131,96,90,133,225,139,247,,49690,64423,58498,74524,68823,73038,63648,58018,57423,52291,,27938,25174,22672,15977,14478,19829,21205,23185,21058,27939
842441,"Agricultural or horticultural sprayers, portable",0,0,0,0,0,116,129,155,140,246,,0,0,0,0,0,32899,21369,24912,34280,50848,,0,0,0,0,0,7549,11250,12496,17660,28208
290410,"Derivatives of hydrocarbons containing only sulpho groups, their salts and ethyl esters",3,2,738,228,19,16,78,175,244,245,,28453,32765,31060,30343,32172,48759,52695,60792,57217,57566,,1771,2387,6003,3103,2046,2015,2402,2904,3878,3550
560130,Textile flock and dust and mill neps,89,79,132,97,401,285,267,292,280,244,,50939,54455,57437,57077,54861,53691,61997,49928,35225,39981,,1343,1659,1095,787,1202,993,1400,1737,1483,2201
820780,Interchangeable tools for turning,1337,901,627,131,189,238,224,270,235,244,,73601,76452,37624,30220,28405,30553,28618,29985,25283,29808,,65940,17136,15862,10507,10605,12219,12229,13169,12237,14096
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",11123,3810,4402,3147,1028,3177,2668,641,543,244,,1520314,1655912,1506768,1424410,1460439,1431050,1312089,1196285,985489,1038597,,239173,206019,97581,81551,157163,257180,336938,257126,276547,262473
550330,"Acrylic or modacrylic staple fibres, not carded, combed or otherwise processed for spinning",153,254,155,207,194,262,165,230,221,243,,9795,9578,10019,9721,6448,7116,7160,6543,5585,10341,,2358,3786,2992,2624,4876,4321,5018,4400,4703,4780
846820,"Gas-operated machinery and apparatus for soldering, brazing, welding or surface tempering (excluding ...",220,52,38,19,6,32,56,107,14,243,,19285,17761,14636,14151,17720,11541,13183,13388,8094,13793,,7241,8146,5956,3333,4004,4416,4876,3927,3601,3878
842710,"Self-propelled trucks fitted with lifting or handling equipment, powered by an electric motor",2159,4198,2992,675,706,1225,1006,271,376,243,,713048,896896,866643,932713,918013,1137717,961672,988943,879835,971812,,179363,194798,164298,89270,143893,169280,199490,174627,188336,268412
901410,Direction finding compasses,93,83,104,31,37,42,109,92,93,241,,136105,157812,139293,187099,143611,53549,54051,44589,36894,42010,,2637,1929,2639,1967,3610,2991,3685,3313,4702,3416
284019,"Disodium tetraborate """"refined borax"""" (excluding anhydrous)""""",416,822,460,189,122,481,326,191,237,241,,237766,264075,280790,241417,260524,246556,257436,234816,239022,254636,,16250,15137,13529,11993,10384,13265,13201,13957,10790,13081
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",28,57,88,193,177,198,369,314,360,240,,263853,204188,230915,181394,123689,239642,232131,173987,243261,155764,,8751,6747,5782,2159,2052,2599,2871,2814,2987,4057
