Product code,Product label,"Singapore's imports from Korea, Republic of-Value in 2012","Singapore's imports from Korea, Republic of-Value in 2013","Singapore's imports from Korea, Republic of-Value in 2014","Singapore's imports from Korea, Republic of-Value in 2015","Singapore's imports from Korea, Republic of-Value in 2016","Singapore's imports from Korea, Republic of-Value in 2017","Singapore's imports from Korea, Republic of-Value in 2018","Singapore's imports from Korea, Republic of-Value in 2019","Singapore's imports from Korea, Republic of-Value in 2020","Singapore's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
902810,"Gas meters, incl. calibrating meters therefor",118,11,142,327,173,36,72,105,143,61,,7930,8538,11950,8113,11057,13256,8611,11283,12334,10687,,10690,14010,11596,4488,3479,3556,4753,29187,19966,20348
843050,"Self-propelled earth-moving machinery, n.e.s.",3366,1483,89,41,41,82,26,20,183,60,,284,2028,511,34,528,506,1691,128,166,152,,17635,11570,12106,12082,4499,6898,10245,11502,2586,3787
850690,"Parts of primary cells and primary batteries, n.e.s.",320,329,421,225,171,436,271,2743,159,60,,6493,4172,1321,708,1951,300,125,106,47,186,,48205,51630,37903,27834,26344,20110,38047,44136,53306,61927
620630,"Women's or girls' blouses, shirts and shirt-blouses of cotton (excluding knitted or crocheted ...",239,174,73,43,125,42,54,54,23,60,,14955,16324,18613,14646,9958,11676,12401,11635,16628,17570,,56710,53993,51988,45310,45519,42564,40804,36652,22117,32687
500710,Woven fabrics of noil silk,507,293,237,240,230,262,210,216,134,60,,1,4,33,31,54,0,0,0,6,2,,2021,1204,1547,1833,2699,1809,1350,1079,1381,1158
290511,"Methanol """"methyl alcohol""""""""",2180,4,4,70,54,97,35,42,37,60,,3295,879,875,1576,1816,2061,1530,6065,1690,4071,,215222,257614,290697,181924,143788,213399,243953,189214,125508,252419
820320,"Pliers, incl. cutting pliers, pincers and tweezers for non-medical use and similar hand tools, ...",282,255,166,23,75,19,51,34,31,59,,2484,4864,5247,2614,2907,2497,1660,1945,2288,2217,,5900,6377,6413,5644,4494,4409,6531,5750,4806,6507
481490,"Wallpaper and similar wallcoverings of paper, and window transparencies of paper (excluding ...",353,214,144,224,129,94,89,38,70,59,,9741,10275,10990,12707,11292,11801,11857,12074,10551,13806,,4456,3355,4298,2360,3192,2356,2360,2778,1585,3126
845180,"Machinery for dressing, finishing, coating or impregnating textile yarns, fabrics or other ...",4,26,3,25,33,28,0,10,0,58,,112710,108992,129533,104515,111063,135130,109754,95300,96837,140005,,855,2287,5912,4418,4499,2903,5620,2669,1600,3666
842382,Weighing machinery of a maximum weighing capacity > 30 kg but <= 5.000 kg (excluding personal ...,8,12,21,76,27,123,46,89,9,58,,7827,8060,7281,6325,5820,5283,5441,5038,3756,5021,,3740,2042,1803,2416,1836,2060,1589,1359,1233,1667
820412,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, adjustable ...",3,26,61,204,142,31,2,1,5,58,,1511,1993,3193,2112,1874,1157,3486,1299,1450,1429,,5807,5087,5173,5843,6327,4201,5374,6150,4899,6031
401019,"Conveyor belts or belting, of vulcanised rubber (excluding reinforced only with metal or only ...",1,5,0,6,8,43,7,25,0,58,,1900,2718,2337,2210,2237,3618,2801,3170,1844,2115,,26470,2979,2593,2180,1581,2247,1603,1345,1000,1384
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,54,146,1759,102,110,118,226,98,48,58,,16167,20334,22764,23245,24149,48955,64441,75597,71735,78060,,54243,55259,76678,85798,82654,94372,121197,98933,76125,91970
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,137,224,298,341,213,122,138,237,205,58,,250648,232806,214167,140292,139684,127634,158466,158796,143999,202570,,27318,32277,30097,23760,20629,27711,31583,20986,25323,27497
851829,"Loudspeakers, without enclosure",1236,2112,120,268,98,90,397,61,39,58,,64281,91796,78048,77818,55818,52635,53823,41293,37861,57076,,109773,124247,136543,106594,127105,107094,96056,30731,51383,58803
903020,Oscilloscopes and oscillographs,24,77,33,11,2,348,11,1,0,58,,3754,3695,3801,3817,3253,3878,3767,5859,3676,5526,,14200,16575,15155,13192,15178,19535,21693,22174,18238,38321
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",5,31,78,59,38,1775,18,42,99,58,,77315,74492,78638,108492,143926,145158,97449,93848,75120,96641,,47648,75409,244831,374116,225092,236403,300458,214737,227165,185926
691490,"Ceramic articles, n.e.s. (excluding of porcelain or china)",55,173,180,186,54,77,27,29,68,57,,17922,17799,21463,23673,22438,23100,23894,24657,23131,30253,,28236,20981,15367,12264,14903,12607,11151,6758,5221,8491
650699,"Headgear, whether or not lined or trimmed, n.e.s.",22,13,5,13,8,196,21,41,14,57,,16296,10131,15773,12831,11357,13145,12866,6623,10039,11607,,3928,3676,3619,3995,3975,4646,22813,36024,37127,31621
740990,"Plates, sheets and strip, of copper alloys, of a thickness of > 0,15 mm (excluding copper-zinc ...""",137,419,311,416,133,91,340,9,55,56,,60905,48003,46959,38074,44210,67871,67228,48225,49162,75793,,180848,181925,130816,109584,87459,140124,147861,98625,102677,169526
40630,"Processed cheese, not grated or powdered",0,7,0,0,79,0,7,4,11,56,,41,187,351,582,1108,1207,1573,2289,3833,4739,,54247,56204,57200,49305,47076,54953,55546,56633,61180,55593
180620,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...",28,12,400,402,288,489,417,432,175,56,,9034,8972,11649,7159,3030,892,969,732,617,636,,13335,11551,17613,15313,13151,13745,17359,14579,10263,8513
960810,Ball-point pens,82,200,160,123,70,155,227,75,66,56,,41882,38095,37122,37999,58409,56529,38686,39937,30397,25904,,30291,28139,26809,30041,36845,33722,33418,28033,18279,22330
340212,"Cationic organic surface-active agents, whether or not put up for retail sale (excluding soap)",1,77,43,78,133,320,121,49,75,56,,19508,24692,27232,26150,36444,40722,45009,46523,47011,55717,,6156,8131,6950,5262,5448,7163,4961,5071,7018,4854
282759,"Bromides and bromide oxides (excluding of sodium, potassium and mercury)",24,6,0,8,0,0,0,2,0,56,,1416,1610,1976,2091,4601,4044,7950,4664,2618,3489,,10001,8523,8096,3148,6534,3197,1095,964,10970,2940
540769,Woven fabrics of yarn containing >= 85% by weight of mixtures of textured and non-textured ...,553,323,203,153,41,91,51,219,98,56,,216832,212446,221297,205559,192335,163429,157408,150117,87638,97894,,4199,4336,7788,3777,1768,2778,2301,1418,1718,1033
960350,"Brushes constituting parts of machines, appliances or vehicles",128,63,53,35,50,16,61,54,42,56,,8262,7142,8316,14663,20075,14284,12533,12939,13791,17720,,7474,7042,6361,5371,5552,8215,9185,8791,7847,8950
920999,"Parts and accessories for musical instruments """"e.g. mechanisms for musical boxes, cards, ...""",1001,43,45,18,106,21,19,28,11,56,,3468,3514,3616,2577,2765,2472,2386,1531,1208,1397,,7578,6878,6584,5320,7135,13242,8040,6583,5822,5277
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,1906042,413279,0,0,0,0,0,9,0,56,,18451993,14526009,9877693,8776809,8816900,10890487,4902349,4716728,6273704,7125776,,2739428,762262,5291,10914,14125,7520,429,8765,3791,10641
841690,"Parts of furnace burners such as mechanical stokers, incl. their mechanical grates, mechanical ...",71,557,982,32,14,576,78,98,38,56,,9240,10225,9322,13288,9007,5337,9214,7753,7462,9670,,14662,32743,24734,15991,18382,19882,14061,10905,8486,14394
381010,"Pickling preparations for metal surfaces; soldering, brazing or welding pastes and powders ...",1,1,4286,8,1,0,17,12,33,56,,45835,40994,38492,42314,50397,58619,64727,61229,65390,79686,,35669,19777,20566,8837,10168,11943,14409,16137,12750,22496
681182,"Sheets, panels, paving, tiles and similar articles, of cellulose fibre-cement or the like, ...",252,375,508,891,284,33,0,133,78,55,,756,1488,1345,627,593,568,604,1074,492,537,,3645,3314,3747,5498,5419,3094,4364,3822,3676,2730
902720,Chromatographs and electrophoresis instruments,85,70,89,21,0,72,241,227,100,55,,7900,6495,7445,7992,4663,8590,7688,6532,6197,8987,,55362,52597,44714,48520,74493,112094,130796,202953,156655,218757
846691,"Parts and accessories for machine tools for working stone, ceramics, concrete, asbestos-cement ...",110,1560,2781,1989,746,413,288,293,22,55,,16687,15338,13355,15873,18206,21206,17386,16804,13915,19526,,59982,44207,97873,85323,112239,45185,40602,31582,29390,30134
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,1144,384,201,311,168,133,55,0,38,55,,67679,87702,73697,86092,72962,82429,75725,46862,41601,131318,,18670,12466,8128,7995,7445,18104,37731,24554,24006,41955
680610,"Slag-wool, rock-wool and similar mineral wools, incl. intermixtures thereof, in bulk, sheets ...",345,681,1233,355,210,204,89,115,133,55,,12319,12633,13137,19030,22228,19423,52286,43714,25782,41491,,16715,21242,22297,19099,15132,14826,11460,12244,9363,11457
830260,Automatic door closers of base metal,337,234,388,674,274,340,193,78,103,55,,26228,27999,26201,25223,25224,26041,23609,23998,19791,24147,,17996,26726,31021,25216,22653,24024,19649,18366,12762,14966
30354,"Frozen mackerel """"Scomber scombrus, Scomber australasicus, Scomber japonicus""""""""",10,12,81,241,300,214,8,27,11,54,,61991,40887,23835,21953,19602,16842,65410,45373,31556,33115,,10639,9292,8352,6086,7358,6381,3364,4814,3870,5482
870911,"Electrical vehicles not fitted with lifting or handling equipment, of the type used in factories, ...",0,0,0,0,0,1,0,74,1,54,,2776,2300,3043,3329,2690,4400,2852,2456,2081,1287,,2092,1538,2667,1094,2866,4456,3878,4446,5027,666
160559,"Molluscs, prepared or preserved (excluding smoked, oysters, scallops, mussels, cuttle fish, ...",19,39,30,30,38,41,24,32,40,54,,4807,6441,9007,7649,7612,8208,8157,13816,10408,10157,,1819,2845,2764,2266,2677,2488,2222,2792,1185,2085
843850,Machinery for the industrial preparation of meat or poultry (excluding cooking and other heating ...,133,208,58,172,45,79,26,70,17,54,,10173,5162,6528,6277,9900,14675,11857,13643,9429,11446,,7655,7636,9071,6366,8472,8088,6613,6384,13450,6107
810110,Tungsten powders,46,120,59,28,0,3,0,0,0,54,,24890,28096,24020,12248,8874,14885,14748,10193,11951,13209,,1704,2863,3772,2519,335,308,609,98,574,404
721710,"Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excluding ...",258,224,287,86,21,337,370,49,51,53,,183866,191253,209680,191256,129265,142331,170101,156581,126673,154016,,6132,5952,9913,7143,3087,5909,7555,5460,5004,7304
401130,"New pneumatic tyres, of rubber, of a kind used for aircraft",0,0,2,0,0,0,0,7,0,53,,180,1066,441,1135,463,1185,1097,452,3426,6138,,11724,15102,12101,11756,13919,17578,16445,15076,9280,12748
80510,Fresh or dried oranges,0,0,4,45,52,1,34,58,21,53,,51,2,9,4,30,17,23,10,34,98,,42292,43713,49702,41644,42976,41995,42416,40373,45151,44035
560394,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > than ...",289,404,17,37,9,4,10,27,79,53,,135706,130161,120945,95626,99712,90105,95513,86273,76277,92461,,4499,5311,6721,10581,8564,8962,7489,6698,6857,8786
150790,"Soya-bean oil and its fractions, whether or not refined (excluding chemically modified and ...",15,15,27,36,40,80,69,42,48,53,,21534,13577,7071,5313,4145,3698,2711,2980,3695,4091,,47911,39269,27019,22345,17371,16321,12712,13291,13250,21077
850730,Nickel-cadmium accumulators (excluding spent),12,3,3,104,54,57,12,70,9,53,,321,1332,1737,746,2664,967,1945,2026,2598,1834,,55083,44004,48850,33831,25274,23719,24798,30058,20650,28880
300219,"Immunological products, n.e.s. (code possibly empty, preceding subheadings seem exhaustive)",0,0,0,0,0,0,347,24,3,53,,0,0,0,0,0,1224,12536,41112,3038,1025,,0,0,0,0,0,0,84915,40368,59295,48288
390920,"Melamine resins, in primary forms",240,165,185,92,35,56,81,35,0,53,,6251,6321,7887,5949,4954,5017,4693,3003,3174,3473,,68241,11379,11682,9548,8930,9145,8653,7906,7007,8219
843880,"Machinery for the industrial preparation or manufacture of food or drink, n.e.s.",68,73,118,374,314,127,45,176,24,53,,18616,35236,17634,22771,29931,27801,28919,21986,15713,11880,,10743,13460,16437,16699,19729,19059,12418,11509,12375,17808
80212,"Fresh or dried almonds, shelled",0,0,0,0,19,140,105,38,0,53,,139,186,188,738,1813,416,522,375,210,725,,7433,10148,13668,16952,15049,12282,11821,13804,13537,14191
732310,"Iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron ...",46,68,37,46,68,62,38,39,29,52,,3765,3269,3815,3081,3200,3788,3433,3710,3239,2593,,606,734,567,963,962,2432,3669,2411,1805,1510
200969,"Grape juice, incl. grape must, unfermented, Brix value > 30 at 20¡ÆC, whether or not containing ...",34,76,19,14,19,5,20,10,32,52,,421,211,70,125,108,200,101,187,151,438,,1178,1092,575,535,1232,473,805,1018,1312,1145
701337,Drinking glasses (excluding glasses of glass ceramics or of lead crystal and stemware),6,5,38,3,56,6,18,29,14,52,,1517,1360,704,938,2699,3684,2965,2038,1586,1121,,3507,4458,4431,3988,4908,5706,5274,4996,4273,4862
741300,"Stranded wire, cables, plaited bands and the like, of copper (excluding electrically insulated ...",130,107,490,0,27,11,0,6,2,52,,31583,22982,34567,60719,58753,58890,58833,58688,53147,55348,,5238,2413,4385,2362,2180,2102,2366,3628,1550,5360
151590,"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...",3228,17,16,17,28,19,30,30,41,51,,3683,3710,4448,16484,9027,5728,5872,7212,5940,5311,,51678,24156,20998,30091,26597,27387,36123,47679,55277,65628
852721,"Radio-broadcast receivers not capable of operating without an external source of power, of ...",112,0,0,0,0,0,0,0,0,51,,282659,441806,427195,325725,361643,355755,322260,347692,289812,334732,,67394,47078,67096,41341,42240,24540,20279,15802,10961,9011
821520,"Sets consisting of one or more knives of heading 8211 and at least an equal number of spoons, ...",6,8,18,3,9,15,4,5,16,51,,470,662,215,705,1227,1218,1818,1093,1005,731,,6590,1740,1755,4787,1180,1151,2019,1772,1462,1754
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,92,100,46,145,116,132,162,85,100,51,,33882,35397,23114,25568,22806,24793,48222,33943,38753,49873,,42488,51722,53985,50325,49319,56218,64395,86081,68644,83242
442199,"Articles of wood, n.e.s.",0,0,0,0,0,0,61,108,73,50,,0,0,0,0,0,3386,4911,4258,9611,11790,,0,0,0,0,0,0,15707,10787,9381,15499
330710,"Shaving preparations, incl. pre-shave and aftershave products",89,0,11,1,0,5,10,1,31,50,,922,885,755,771,1113,366,449,651,847,957,,7639,8272,7893,9005,8943,6355,6362,6784,4578,4974
750110,Nickel mattes,42,52,28,52,1081,55,130,33,87,50,,0,5,6,0,13,0,75,0,0,0,,210,52,47,69,1083,82,151,68,10984,70
291531,Ethyl acetate,2,11,1948,17,19,19,25,29,27,50,,10684,4232,793,1518,1921,438,700,753,6466,4205,,9005,16103,16787,3654,3569,4802,5712,7483,6013,13082
820340,"Pipe-cutters, bolt croppers, perforating punches and similar hand tools, of base metal",125,118,65,36,0,52,149,189,7,50,,3668,1390,1351,2046,1891,759,1605,968,1296,1727,,5512,5616,4093,4605,3409,3145,2876,3603,1449,2412
210320,Tomato ketchup and other tomato sauces,5,5,10,8,8,12,16,22,32,50,,3331,3839,3584,2829,2611,2503,2915,2630,3148,3682,,11272,11816,12240,11715,11003,11436,12621,11286,13876,12756
700721,"Laminated safety glass, of size and shape suitable for incorporation in motor vehicles, aircraft, ...",119,121,80,81,40,45,88,49,30,50,,10537,7117,8384,4761,14034,11738,5766,5978,3653,6473,,5110,4190,6383,5308,5352,5139,5795,5625,5782,9045
391610,"Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, ...",164,210,100,118,39,24,39,152,71,50,,898,1216,930,987,1010,855,1308,1368,1291,1376,,2742,1357,980,877,466,760,650,1024,730,877
482090,"Blotting pads and similar articles of stationery, of paper and paperboard, and book covers ...",489,565,547,285,100,67,35,13,27,50,,5104,4789,6839,5344,6560,7461,7227,6126,5135,4870,,7383,7628,8508,5646,4634,3952,4311,1912,1833,2910
51191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, ...",799,357,134,569,77,142,301,301,350,50,,14097,19176,19854,8427,9077,11326,11516,24050,13623,13911,,8004,7930,4961,6039,8308,8459,8942,9322,9317,10305
70320,"Garlic, fresh or chilled",1,0,0,0,0,0,12,20,40,50,,1010,764,234,395,129,260,210,3986,9941,1539,,15321,16734,13537,18106,29205,24522,15260,22656,26148,22974
902580,"Hydrometers, areometers and similar floating instruments, barometers, hygrometers and psychrometers, ...",29,19,34,2,63,60,33,33,81,50,,4378,4591,5614,6024,4935,31412,38687,14928,11690,16526,,9658,10270,10811,11006,12659,13752,15834,14588,16225,21674
250410,Natural graphite in powder or in flakes,0,0,21,21,10,29,43,52,66,49,,655,658,1433,1110,1259,1090,1362,652,1132,1155,,2185,2204,2689,2602,266,551,463,960,806,4675
91091,Mixtures of different types of spices,71,27,25,12,17,16,25,24,77,49,,97,224,101,185,180,598,355,386,112,691,,15593,16215,16926,17313,18340,18367,19560,18498,20320,19193
610510,"Men's or boys' shirts of cotton, knitted or crocheted (excluding nightshirts, T-shirts, singlets ...",23,44,34,52,44,57,34,46,16,49,,15361,12800,15445,12949,9664,5813,6815,4892,3316,4798,,45915,42618,41984,35051,33841,35713,38676,44085,29569,31706
821194,"Blades of base metal for table knives, pocket knives and other knives of heading 8211",27,84,57,20,28,47,22,35,57,49,,4808,4590,5535,5871,5735,6776,6871,5636,7296,6986,,1960,2198,1592,1363,1405,1243,1545,1536,679,1180
370110,"Photographic plates and film in the flat, sensitised, unexposed, for X-ray (excluding of paper, ...",3,14,3,0,0,0,0,3,0,49,,288,255,437,105,291,754,513,353,468,997,,9778,11524,17106,16784,21325,17494,14851,19549,11751,20964
730611,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of stainless ...",2021,208,26,960,377,208,107,47,194,49,,30050,4808,12091,9885,2857,3767,14276,11656,9673,11894,,13562,7947,3379,3338,3389,6042,7533,10939,10048,11102
482320,"Filter paper and paperboard, in strips or rolls of a width <= 36 cm, in rectangular or square ...",56,42,40,177,152,69,50,33,28,49,,931,1113,7838,6545,6631,8126,10288,12637,11513,15403,,3757,3719,2938,2626,3010,8304,17840,23171,16595,20114
60290,"Live plants, incl. their roots, and mushroom spawn (excluding bulbs, tubers, tuberous roots, ...",18,20,18,17,18,27,18,0,27,49,,14869,17737,15190,13299,11604,10390,9095,8655,8938,11145,,36853,35354,39442,45756,42360,42346,21306,407,32246,44505
670419,"False beards, eyebrows and eyelashes, switches and the like, of synthetic textile materials ...",95,88,30,9,35,38,35,43,83,49,,31617,29023,27770,28025,30758,34823,35830,30274,20443,20491,,577,635,379,380,631,511,696,628,356,436
731439,"Grill, netting and fencing, of iron or steel wire, welded at the intersection (excluding products ...",1,5,7,29,4,2,40,43,46,48,,1182,567,801,1442,557,488,478,579,507,751,,6885,4432,4214,3947,2151,1826,2252,2430,1314,2668
721499,"Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded ...",7667,2724,3111,2027,1266,1439,454,564,444,48,,112150,104752,103039,90791,67981,121575,160115,163811,106221,188023,,56035,58874,64195,57116,50229,52070,49194,11342,4996,5718
841520,"Air conditioning machines of a kind used for persons, in motor vehicles",67,423,815,66,0,1,0,2,4,48,,31362,18803,21180,35679,39759,30260,20796,16677,10411,13719,,1801,5203,4871,2075,2778,2530,3501,2565,2361,4322
903210,Thermostats,518,362,150,50,65,59,96,121,72,48,,85687,124330,130369,119919,114881,95730,102878,87091,70699,74930,,16054,12562,14829,14658,16717,21590,20669,18340,38716,40573
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",514,504,564,309,278,206,270,247,252,48,,33813,34820,47182,47200,36324,33761,37349,34580,28412,34702,,75893,73084,73025,61212,59010,54746,58065,63955,46546,52534
850990,"Parts of electromechanical domestic appliances, with self-contained electric motor, n.e.s. ...",137,116,275,475,129,19,116,44,116,48,,20785,25716,25976,16801,8652,9181,8638,9378,8777,10822,,5039,24196,16384,5522,6018,7138,7681,12927,24552,26945
901060,Projection screens,309,306,347,179,131,122,81,12,69,48,,1776,1674,2423,2800,2427,2579,2514,2183,815,1729,,3695,3179,3453,2900,3051,2016,8194,1391,1104,1096
902890,"Parts and accessories for gas, liquid or electricity supply or production meters, n.e.s.",33,445,265,46,127,62,4,2,3,48,,9500,9722,20438,17886,10334,39938,23169,7030,4482,7540,,14247,26448,38950,31931,42357,39083,28080,25744,18482,19106
720915,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",1,8,0,0,0,0,15,27,857,47,,7686,10013,10777,9216,7978,11950,18253,15282,12845,26163,,3371,6201,7549,540,270,379,1204,1407,1573,1134
841920,"Medical, surgical or laboratory sterilizers",48,111,112,45,234,7,277,13,25,47,,15781,19496,21380,20493,30762,16089,18889,18937,19544,20359,,9697,8828,11096,11485,10723,11637,9577,8107,8309,7991
847432,Machines for mixing mineral substances with bitumen,35,0,0,0,0,0,0,0,0,47,,27651,28898,47757,38850,22081,14794,15279,11884,11891,14149,,2672,4078,2728,2960,964,3733,2854,916,4557,536
701341,"Glassware of lead crystal, of a kind used for table or kitchen purposes (excluding articles ...""",3,3,10,63,47,62,18,26,28,47,,0,23,28,6,0,0,0,1,0,1,,5101,8261,3679,2107,1812,1674,1762,2336,1052,1352
691110,"Tableware and kitchenware, of porcelain or china (excluding ornamental articles, pots, jars, ...",21,21,124,80,41,9,21,9,15,47,,13308,13050,14235,13036,12492,14690,9107,7143,6352,9852,,20160,21386,22432,23102,16031,15894,17070,23974,11366,17412
847981,"Machinery for treating metal, incl. electric wire coil-winders, n.e.s. (excl. industrial robots, ...",46,609,93,111,249,0,72,21,3,46,,146417,173862,128589,164252,147145,151537,183295,146754,159365,194110,,16257,17333,9590,14866,13629,13835,16484,13953,7751,15104
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",1027,203,143,114,62,29,250,150,7,46,,2528801,3011976,3395026,3625611,3990742,3425281,3484326,3060426,2524373,3102390,,32125,64191,67714,20559,22125,22773,32615,37899,24796,40449
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",404,253,286,244,200,130,116,8,7,46,,459989,452922,532346,572947,553269,546328,510486,502789,338893,355300,,32584,55607,64770,54671,60904,43409,27544,28427,22583,29476
320820,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",107,349,91,101,3420,74,22,17,300,46,,96339,117762,120234,118717,139743,135098,140533,127384,122337,140811,,8045,9023,9607,13546,33690,30486,23966,26066,24197,24235
30489,"Frozen fish fillets, n.e.s.",61,42,9,89,5,36,16,26,50,46,,100200,25327,24803,23577,25898,24079,29397,24023,20122,19875,,16194,17641,20352,18172,16418,17298,21264,17642,12906,16481
840290,"Parts of vapour generating boilers and superheated water boilers, n.e.s.",10270,15918,652,639,1605,15239,1707,1363,153,46,,1039458,517696,473365,529600,541873,498331,526635,227261,285130,152327,,134033,131690,45779,34826,37184,37627,19010,11527,8865,16005
844319,"Printing machinery used for printing by means of plates, cylinders and other printing components ...",63,64,336,102,777,121,146,86,22,46,,32071,46855,75357,46943,38019,40323,34497,53798,29325,47208,,52447,65853,43157,26314,20258,30875,19713,19906,8588,9110
900490,"Spectacles, goggles and the like, corrective, protective or other (excluding spectacles for ...",218,94,107,78,59,95,57,18,6,46,,51898,27898,19198,18334,8311,3904,5092,4611,7734,9049,,11086,9531,9692,11097,9643,10917,7614,9496,14788,10547
283529,"Phosphates (excluding phosphates of monosodium, disodium, potassium, calcium and mercury)",50,37,220,267,291,250,284,47,43,46,,1828,1708,2286,1302,2984,2939,1427,1913,1652,3175,,1923,1920,2419,2172,2371,2703,3348,3331,3105,4351
481029,"Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by ...",1066,2533,2572,1180,454,26,3,0,13,46,,39483,37673,37639,23458,55777,78647,63700,61134,52985,57403,,21623,34033,34581,30884,13138,77004,42634,46096,69272,56787
844311,"Offset printing machinery, reel fed",0,0,0,0,2,6,3,0,2,45,,2147,2267,1903,3086,1298,1305,883,419,358,221,,1388,8060,7692,5264,1407,567,918,721,366,378
680422,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",126,333,85,98,22,4,45,73,22,45,,12429,12783,14371,15968,17906,21514,23871,19746,18408,24010,,14026,16088,16768,17442,14654,17040,20813,18426,17219,17277
30553,"Dried fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, ...""",0,0,0,0,0,0,9,20,46,45,,0,0,0,0,0,1,0,0,1,0,,0,0,0,0,0,0,9,21,47,65
200971,"Apple juice, unfermented, Brix value <= 20 at 20¡ÆC, whether or not containing added sugar or ...",0,0,4,0,1,0,1,1,5,45,,52,7,1,4,27,36,18,160,179,381,,1082,830,763,603,669,636,907,867,1090,1425
80420,Fresh or dried figs,0,0,0,0,0,12,35,55,13,45,,0,7,102,170,171,101,220,158,105,131,,1184,1954,2254,1825,2488,2867,2759,2648,2156,2050
71080,"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excluding potatoes, ...",4,14,1,0,0,1,2,9,42,45,,1346,1086,1213,1065,840,1260,1201,1427,1622,1782,,1922,2418,2297,2338,2877,2960,3249,3785,26087,19428
846591,"Sawing machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...",92,7,24,5,5,699,89,46,33,45,,1894,1322,1295,1033,815,1072,1188,1057,1438,1354,,6089,3858,6418,6674,9324,49597,3732,2556,1383,2328
491191,"Pictures, prints and photographs, n.e.s.",208,38,598,20,28,16,25,156,28,45,,9949,8321,4058,23712,1511,2911,6831,8708,138829,126283,,8125,9722,9498,5042,7140,5007,4736,4755,7027,9626
581092,"Embroidery of man-made fibres on a textile fabric base, in the piece, in strips or in motifs ...",347,38,266,746,394,822,593,413,60,45,,77817,87700,97279,76786,69347,57513,46613,32766,10723,8180,,3202,4749,2087,1971,1340,1698,951,820,276,261
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",110,13,62,15,8,148,18,86,57,44,,8774,7647,8127,9809,9169,17603,16557,11095,11821,15494,,54728,52780,84248,86612,76908,60407,85204,95064,87758,81908
282300,Titanium oxides,0,0,0,32,69,51,0,12,56,44,,87675,78149,67719,45953,43915,58271,57662,59626,51947,58430,,9151,6380,5338,4723,3774,1669,2066,1558,1856,1924
854320,"Signal generators, electrical",198,54,40,42,497,62,58,33,276,44,,14639,20114,14107,10146,16712,46512,13152,16804,20973,24192,,18925,23508,21114,20184,14319,17968,19475,27079,23750,46725
701951,"Woven fabrics, incl. narrow fabrics, of glass, of a width of <= 30 cm (excluding rovings)",13,1,0,11,0,56,132,2,3,44,,925,1268,913,970,1631,1550,1484,1598,2126,3155,,686,463,1301,3242,1405,1682,653,461,328,402
