Product code,Product label,Japan's imports from Singapore-Value in 2012,Japan's imports from Singapore-Value in 2013,Japan's imports from Singapore-Value in 2014,Japan's imports from Singapore-Value in 2015,Japan's imports from Singapore-Value in 2016,Japan's imports from Singapore-Value in 2017,Japan's imports from Singapore-Value in 2018,Japan's imports from Singapore-Value in 2019,Japan's imports from Singapore-Value in 2020,Japan's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
711311,"Articles of jewellery and parts thereof, of silver, whether or not plated or clad with other ...",80,29,51,9,36,0,18,11,5,4,,28917,20307,60702,71171,71009,45087,13315,15373,21839,15074,,213825,180372,164104,156367,171116,159565,159628,159123,135455,154835
320210,Synthetic organic tanning substances,43,0,3,0,0,0,0,0,0,4,,12605,13392,14852,10247,9613,9303,10636,8361,7303,6861,,4474,3499,3212,3153,3142,2942,2962,2035,1538,1910
820412,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, adjustable ...",7,2,0,2,4,0,8,12,0,4,,3297,4030,3926,3691,4459,3505,3171,3226,2599,3510,,12157,11336,12079,11454,12631,15381,15975,14322,13185,14015
630231,"Bedlinen of cotton (excluding printed, knitted or crocheted)",0,0,230,0,5,0,3,0,0,4,,1819,1695,2560,1603,1401,735,1956,1662,1112,1651,,156594,162099,162373,153193,160769,162996,176989,162156,134712,149017
701952,"Woven fabrics, incl. narrow fabrics, of glass filaments, of width of > 30 cm, plain weave, ...",0,0,0,4,14,7,2,19,27,4,,125,107,674,158,433,354,1177,115,87,100,,92744,88126,96988,92143,103595,110108,102235,93173,89011,106173
390461,"Polytetrafluoroethylene, in primary forms",0,0,0,0,5,5,0,0,0,4,,639,268,971,1493,549,519,665,749,919,853,,40452,38180,31620,24171,27233,33838,49307,46876,32803,50360
731819,"Threaded articles, of iron or steel, n.e.s.",0,0,0,5,2,0,14,3,10,4,,21855,33768,42109,40857,42564,50229,68843,69192,58639,68171,,40568,41020,35701,32913,34820,36206,39629,44102,42734,55101
481029,"Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by ...",0,0,0,0,0,0,9,0,0,4,,1435,2394,2616,2004,1953,1064,773,278,232,987,,134934,89579,92145,72007,61024,68169,30968,40577,14576,13091
700319,"Cast glass and rolled glass, in non-wired sheets, not otherwise worked (excluding glass coloured ...""",0,0,0,0,0,0,3,0,7,4,,88,12,41,174,35,91,147,137,126,160,,17723,13092,16368,11769,9718,10589,11089,7919,6549,12041
840690,"Parts of steam and other vapour turbines, n.e.s.",0,0,9,0,3,0,12,10,0,4,,106921,98520,116281,48701,46090,15017,27392,14252,21254,11951,,124282,158317,127838,122018,95132,110005,101596,152734,90482,122866
842430,"Steam or sand blasting machines and similar jet projecting machines, incl. water cleaning appliances ...",336,11,41,39,103,17,14,0,0,4,,11865,9224,10969,9413,11743,8311,8968,12168,7538,6752,,87578,77691,69464,29923,51427,36476,40180,29361,34380,35214
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",353,356,296,316,15,68,7,0,0,4,,5536,5114,4689,5500,5285,4476,14515,12960,17618,21747,,217074,223035,228225,241637,212766,212136,227774,188567,184704,271148
950730,Fishing reels,16,84,0,0,0,3,28,6,23,4,,70915,61073,68378,48835,46913,64091,51513,53058,52439,65225,,62062,71674,77176,71016,84343,92237,95072,87155,98452,125930
220830,Whiskies,0,0,0,0,14,2,2,0,53,4,,797381,820816,773901,826084,803476,814871,894676,921913,696246,779825,,309593,274374,270749,300318,359609,362315,429497,483349,419056,431024
844859,"Parts and accessories of machines of heading 8447, n.e.s.",0,0,0,0,12,0,17,2,0,4,,6324,4346,3913,3687,3722,4628,3504,4858,2417,2677,,19382,24770,26487,23885,25456,25036,29948,22442,14975,21433
721114,"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, not further worked than ...""",0,0,0,0,0,0,0,0,0,4,,1708,3646,1735,615,1076,1302,680,193,188,129,,903,1001,415,396,211,399,467,575,1466,1632
640340,"Footwear, incorporating a protective metal toecap, with outer soles of rubber, plastics, leather ...",0,0,3,0,0,0,0,0,0,4,,45360,45947,41235,42447,44383,39979,34943,29175,24266,9504,,3243,3055,2543,2542,1940,2457,2114,2840,2490,2361
830110,Padlocks of base metal,27,7,10,15,51,19,14,3,0,4,,3063,3044,2264,2134,1967,1419,1350,1270,1479,1910,,14405,14745,13456,14152,11954,14136,14347,14670,12493,12357
750400,"Powders and flakes, of nickel (excluding nickel oxide sinters)",0,48,2,0,0,0,0,6,0,4,,6904,5959,22562,3414,4158,4416,5157,5526,4318,6227,,138764,120069,129954,123253,83683,112370,144892,142581,88093,115402
701399,"Glassware of a kind used for toilet, office, indoor decoration or similar purposes (excluding ...",25,0,4,2,9,12,0,59,21,4,,4372,27106,38314,34531,38309,33567,31031,27564,16286,17324,,55324,52008,49426,45791,44903,45529,43518,44158,40533,55146
460193,"Plaits and similar products, of rattan plaiting materials, whether or not assembled into strips; ...",0,0,13,0,4,0,0,14,0,4,,40,4,13,11,3,19,13,34,43,47,,146,142,147,104,99,54,106,145,218,128
480256,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",0,0,0,2,23,0,9,19,3,4,,404115,418481,453060,392787,414583,643588,488188,498031,369935,410486,,627775,514086,472096,475508,465877,451298,439216,454466,423065,412400
400932,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",8,3,0,8,18,0,0,0,0,4,,2887,4052,3479,2211,1887,2178,3973,4053,2747,3563,,19242,16726,14515,11022,15890,14257,14064,13040,8566,10911
731414,"Woven cloth, incl. endless bands, of stainless steel wire (excluding woven products of metal ...",0,6,24,0,0,0,0,8,7,4,,15673,10255,12090,8830,3110,1693,1875,4827,2549,2541,,23223,19206,19856,17815,24032,25536,29634,24778,27141,32126
910690,"Time of day recording apparatus and apparatus for measuring, recording or otherwise indicating ...",0,92,55,0,103,0,0,0,0,4,,2963,1809,1956,1006,1194,1581,2651,3561,2834,1714,,19711,17925,17331,16777,16235,15361,15800,15658,18647,18873
901210,"Electron microscopes, proton microscopes and diffraction apparatus",215,183,410,1121,2143,1558,966,1032,136,4,,11140,11620,8706,11153,12759,16726,7889,9677,9032,8190,,58151,52007,46688,54067,53419,50632,68143,66667,78378,78000
851150,Generators of a kind used for internal combustion engines (excluding magneto dynamos and dual ...,131,243,147,110,54,16,3,0,7,4,,42763,46305,154047,159037,176431,108798,86036,43899,33527,35246,,88382,119563,103157,82728,71908,70393,67806,71540,80282,112505
841231,"Pneumatic power engines and motors, linear-acting, """"cylinders""""""""",426,117,6,9,23,31,25,61,42,3,,8708,5385,8878,9855,5290,6343,8128,8606,8080,10208,,72404,64593,70135,66172,73876,87876,91210,77041,71101,91579
610610,"Women's or girls' blouses, shirts and shirt-blouses of cotton, knitted or crocheted (excluding ...",32,7,5,0,2,0,7,0,2,3,,24062,25838,19576,21617,7504,7551,11693,8977,7302,7944,,409552,373444,340517,293877,299948,278399,295654,314514,316198,361433
621600,"Gloves, mittens and mitts, of all types of textile materials (excluding knitted or crocheted ...",0,0,0,0,0,0,0,0,0,3,,1689,2724,2247,2070,2045,1942,2881,2699,1608,1286,,66962,69514,62629,53679,43965,44803,58061,55028,40196,45101
140120,Rattans,35,0,48,32,40,44,23,5,3,3,,13942,13124,10018,9917,7268,6270,6122,7198,8316,7629,,816,1074,1048,1910,2361,2824,1982,1423,839,1717
611780,"Ties, bow ties, cravats and other made-up clothing accessories, knitted or crocheted, n.e.s. ...",6,0,0,0,3,0,0,0,2,3,,28015,31167,79583,57045,17158,15723,9604,10138,9887,12232,,78761,78673,75789,69020,55223,63108,73349,62470,66293,70571
842240,"Packing or wrapping machinery, incl. heat-shrink wrapping machinery (excluding machinery for ...",0,18,0,8,12,0,0,0,11,3,,65034,47215,44611,33223,31634,52520,27602,38038,50825,53231,,137905,149971,104378,79982,85451,96167,120231,139908,111584,97747
842790,"Works trucks fitted with lifting or handling equipment, not self-propelled",0,0,0,0,0,0,0,0,0,3,,36324,32040,29160,23565,26294,18482,28899,23015,13562,12189,,2559,2831,2987,3454,7891,9316,11846,11178,10131,10834
210310,Soya sauce,12,18,16,20,11,11,12,14,7,3,,38400,41094,42857,41299,41943,43854,47658,50846,46287,56316,,1360,1830,1728,1594,1723,1796,1933,2403,2588,3001
950720,"Fish-hooks, whether or not snelled",0,0,8,3,4,2,0,3,0,3,,6668,4748,5804,5813,4435,4385,4510,4657,6513,6858,,26997,29181,30436,27490,28722,45521,70291,89414,92049,128852
442199,"Articles of wood, n.e.s.",0,0,0,0,0,12,22,7,3,3,,0,0,0,0,0,0,6960,5167,2695,5269,,0,0,0,0,0,563175,557122,551165,536699,593063
700239,"Tubes of glass, unworked (excluding tubes of glass having a linear coefficient of expansion ...",0,0,0,0,0,0,0,0,0,3,,5468,1843,1419,1591,1503,1262,1968,1878,1946,2977,,20647,16354,14870,11912,11514,10377,11368,10165,10148,13137
800200,"Tin waste and scrap (excluding ash and residues from the manufacture of tin of heading 2620, ...",0,115,0,10,0,0,32,4,0,3,,1266,12586,2055,1956,1272,2248,779,535,709,1888,,87,505,299,456,887,362,822,457,323,810
730830,"Doors, windows and their frames and thresholds for doors, of iron or steel",5,186,96,8,0,0,78,0,0,3,,11700,13173,13046,9802,9110,8401,7468,5792,5838,7611,,30339,28628,39765,30736,26660,22095,21088,24087,16286,18429
854071,Magnetrons,0,16,6,33,0,0,21,2,5,3,,1803,1284,2123,1432,1786,2166,2998,2573,2651,3065,,10562,11859,12204,10931,10020,9640,11515,10969,11228,10762
901780,"Instruments for measuring length, for use in the hand, n.e.s.",0,51,26,17,0,6,10,94,3,3,,30166,23816,22601,37397,29988,24537,23159,28482,14717,18299,,44456,45297,43940,39233,41164,39908,41627,39485,40873,42915
900590,"Parts and accessories, incl. mountings, for binoculars, monoculars, astronomical and other ...",15,7,17,0,0,0,0,0,0,3,,5778,9006,5104,7823,4401,3827,3580,4459,3302,3503,,4907,4779,5665,3609,5163,3044,3643,2927,3898,4639
911410,"Springs for clocks or watches, incl. hairsprings",0,5,3,0,31,39,86,0,0,3,,32,1926,1,8,28,46,205,181,129,211,,1108,1155,1737,1882,1537,1310,1503,1757,1036,712
392410,"Tableware and kitchenware, of plastics",0,23,0,0,5,0,0,0,0,3,,23907,24313,23522,20232,17881,23399,20035,21236,17567,20555,,323316,322104,306865,291141,288844,284539,310881,315298,294721,322815
381129,Prepared additives for oil lubricants not containing petroleum oil or bituminous mineral oil,0,0,0,193,0,2,61,29,0,3,,167369,56273,41779,25394,19410,19434,15547,9130,7790,8881,,25632,22026,25261,22169,23353,23712,22923,20397,15488,20509
901530,Levels,363,369,285,174,73,29,9,18,12,3,,9632,10851,10595,9842,7807,19256,29427,25419,23119,30917,,8330,11162,11578,9729,9849,11067,14461,12906,13477,13626
731824,"Cotters and cotter pins, of iron or steel",11,0,17,0,0,0,0,0,0,3,,1753,1460,2966,2935,1664,2510,3567,4103,3275,3534,,9987,10821,10930,11224,15342,14960,16880,16407,13461,14880
841911,Instantaneous gas water heaters (excluding boilers or water heaters for central heating),0,0,0,0,0,0,0,0,0,3,,906,1214,1032,622,623,965,644,2382,1481,259,,33867,33236,31642,29539,24351,25507,29573,26687,26942,36995
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",0,8,58,8,75,0,16,0,0,3,,5149,7296,7199,5316,6232,6768,6470,5762,3388,4759,,1179825,1123176,1076047,956867,949991,1024703,1097901,1069019,1029613,1135718
950430,"Games with screens, flipper and other games, operated by coins, banknotes, bank cards, tokens ...",30,303,39,58,0,0,0,0,0,3,,15849,42159,18894,32333,21115,15823,26991,8853,5225,3083,,243591,134599,140117,87611,76248,68280,65155,59375,57968,55229
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",24,43,45,51,20,0,47,8,0,3,,3263,7460,3723,3387,2805,2644,3664,2331,1435,1751,,630220,649138,652575,591031,616879,624632,625761,653738,625107,629975
920994,"Parts and accessories for musical instruments, the sound of which is produced, or must be amplified, ...",0,19,0,0,0,13,0,3,3,3,,3807,2327,2175,2740,2105,1466,2355,2408,2053,2406,,31265,26181,26549,27608,21300,21862,24998,26503,26947,29849
732599,"Cast articles of iron or steel, n.e.s. (excluding articles of non-malleable cast iron, and ...",26,0,4,0,19,44,9,6,0,3,,31973,39381,48500,41197,34220,28857,42793,68337,45958,38429,,100668,104051,112467,96710,78524,72527,74017,71900,58804,65504
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",42,51,64,53,7,14,24,101,13,3,,59016,67227,73563,72300,83681,73846,69689,76768,58434,73675,,1192070,1164692,1089616,1026898,1132970,1146712,1208347,1358420,1220003,1284660
441510,"Cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood",5,29,13,2,15,6,7,3,17,3,,7407,4796,4769,3894,3171,3422,4063,3719,4147,4963,,19285,19911,22191,25453,26328,21343,20720,21741,24379,22531
400912,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), not reinforced or otherwise ...",10,28,2,21,9,10,20,2,3,3,,7684,4526,3644,4885,2965,3505,2164,2114,2144,2270,,5270,7006,7933,8644,6633,7688,8235,13439,5755,8378
390939,"Amino-resins, in primary forms (excl. urea, thiourea and melamine resins and MDI)",0,0,0,0,0,0,3,0,0,3,,0,0,0,0,0,0,38437,5234,3783,4740,,0,0,0,0,0,3317,3907,4726,4571,5860
392610,"Office or school supplies, of plastics, n.e.s.",0,2,13,6,4,13,0,0,2,3,,16399,20214,18487,22479,24574,20387,20121,11547,7897,7645,,238862,229434,237519,224804,219527,218007,228987,224853,206088,211745
283522,Mono- or disodium phosphate,0,0,0,0,0,0,0,0,0,3,,957,677,792,844,976,779,907,748,665,778,,1223,1048,870,1107,993,995,1416,1214,1156,1462
854690,Electrical insulators (excluding those of glass or ceramics and insulating fittings),1019,244,3,2,5,0,10,64,3,3,,25443,29798,22409,18408,22521,30285,31996,23677,15455,24321,,13885,12262,12621,16318,17743,15887,17541,19615,16600,16065
830250,"Hat-racks, hat-pegs, brackets and similar fixtures of base metal",3,21,0,3,29,0,7,0,4,3,,7777,8600,7683,7131,10373,9914,18546,16247,13732,17396,,56821,64097,67714,61552,60417,64873,67386,66378,71830,71955
620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excluding ...",0,8,0,0,0,0,0,0,0,3,,8534,5841,6440,8137,6781,12299,11004,11137,10823,10800,,796321,700238,694733,647655,677609,684282,786479,823381,752352,717567
620530,"Men's or boys' shirts of man-made fibres (excluding knitted or crocheted, nightshirts, singlets ...",0,3,0,0,4,0,0,0,0,3,,1231,1185,2032,1287,1674,1973,2182,1873,1642,1459,,344250,289531,321119,277040,287732,293850,307648,337329,282434,257298
560900,"Articles of yarn, strip or the like of heading 5404 or 5405, or of twine, cordage, ropes or ...",82,0,3,0,5,0,7,18,0,3,,2285,2272,2073,1561,2181,1390,1394,1736,1155,1430,,23354,22856,24949,21878,23748,23061,23341,24085,23668,28941
650610,"Safety headgear, whether or not lined or trimmed",0,6,4,0,0,0,3,5,3,3,,4308,4757,5729,4631,10362,7541,9294,8936,9592,10229,,60808,59171,63963,58741,58140,56224,57260,62321,59414,75458
911390,"Watch straps, watch bands and watch bracelets, and parts thereof, n.e.s.",55,0,14,0,0,0,13,0,10,3,,10944,11263,28121,24010,9804,17328,24334,29418,22944,26415,,28748,30001,30620,30441,32681,33518,34405,35074,28918,32166
854590,"Articles of graphite or other carbon, for electrical purposes (excluding electrodes and carbon ...",0,0,0,0,0,0,0,0,0,3,,3488,3662,3439,3666,4465,2959,2555,2921,2353,3959,,5013,6098,5359,3642,4201,5812,9095,7349,6275,7857
292129,"Acyclic polyamines and their derivatives; salts thereof (excluding ethylenediamine and hexamethylenediamine, ...",0,0,0,0,0,0,24,37,87,3,,28338,30258,32609,32494,30567,17769,22338,16674,10777,15630,,33724,33859,30936,26410,31246,24734,29214,24221,22220,26667
281512,"Sodium hydroxide """"caustic soda"""" in aqueous solution """"soda lye or liquid soda""""""""",0,0,0,0,0,0,0,3,0,3,,3335,2216,2969,3099,1322,1303,1596,1260,1901,1114,,1180,613,673,681,620,664,757,941,1020,1973
711620,"Articles of precious or semi-precious stones """"natural, synthetic or reconstructed"""", n.e.s.""""",8,0,4,22,0,0,0,2,0,3,,4803,23421,36853,23380,26617,12395,16798,13465,136362,70692,,75658,57124,44728,41853,35574,31533,33968,37932,26651,30664
540761,"Woven fabrics of yarn containing >= 85% by weight of non-textured polyester filaments, incl. ...",0,4,0,0,0,0,0,15,4,3,,1531,4261,3469,4064,2735,2965,3014,1260,1886,660,,128454,121832,120490,115749,110967,104322,112177,111747,76833,80002
852321,Cards incorporating a magnetic stripe for the recording of sound or of other phenomena,0,11,21,2,38,0,0,0,2,3,,82279,53933,54873,25691,19177,13332,8421,5089,2286,2097,,7614,7866,10279,8973,13256,9182,11087,11631,6392,3280
903220,"Manostats (excluding taps, cocks and valves of heading 8481)",0,0,0,17,0,0,15,0,0,3,,5489,4531,4345,7430,5737,6383,7091,8827,7113,6673,,32179,44303,45107,48804,51711,37841,63406,68928,52965,22574
850520,"Electromagnetic couplings, clutches and brakes",41,9,5,0,12,13,6,3,5,3,,2598,2882,2729,2761,6781,3535,3966,3815,2996,2861,,15055,18561,22042,16230,14306,13469,14773,12281,9396,13339
940169,"Seats, with wooden frames (excluding upholstered)",0,2,4,0,9,5,0,0,0,3,,334,655,573,952,840,836,737,704,433,423,,78444,87178,89586,80297,84980,83217,85270,80350,79475,87812
970200,"Original engravings, prints and lithographs",0,34,92,16,4,7,0,0,0,3,,2725,6582,6392,4763,4430,7684,1467,2762,1741,2284,,7257,5111,6928,6361,13521,8250,8908,15069,18441,19471
900669,Photographic flashlights and flashlight apparatus (excluding with electronic discharge lamps),9,0,0,0,11,0,2,0,0,2,,17836,10239,3822,1730,1943,1259,1263,647,284,244,,5201,2331,1855,1436,1215,2009,2806,3196,2292,1799
900691,"Parts and accessories for photographic cameras, n.e.s.",13,0,0,44,0,0,2,186,4,2,,128587,192816,380358,260871,204927,134094,97020,97896,78072,94093,,46519,44726,41678,51316,35282,11630,10991,12048,13984,15292
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",93,3,0,2,7,2,4,25,0,2,,32096,32361,35852,51965,49533,40901,32330,35361,30361,33004,,1152358,1197173,1111438,994987,1003564,1054992,1170958,1068940,926391,786017
620443,Women's or girls' dresses of synthetic fibres (excluding knitted or crocheted and petticoats),0,0,0,16,0,9,0,0,0,2,,4838,7536,7801,5211,3692,5705,6032,5949,3937,5961,,432326,397235,355718,306525,319877,328159,370014,422661,314313,292383
680421,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",1102,1558,443,998,1771,1569,863,256,0,2,,2466,3349,2643,3046,4286,4979,7995,7027,8550,7593,,32249,27540,25996,24359,27670,27223,27342,27689,25971,28618
732490,"Sanitary ware, incl. parts thereof (excluding cans, boxes and similar containers of heading ...",0,62,20,2,5,2,4,5,0,2,,13110,12617,13796,10541,8088,4914,5038,4599,3138,3154,,24847,27887,25542,22243,20715,21317,27583,25922,22891,27762
200520,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",7,0,0,0,0,0,0,135,0,2,,3711,5235,6890,5782,4691,7937,11686,11121,14152,12483,,31004,30163,23419,19893,21492,31690,27508,29846,29304,42613
340510,"Polishes, creams and similar preparations, for footwear or leather, whether or not in the form ...",11,9,10,10,0,0,4,0,0,2,,3008,2327,2382,2091,686,836,507,525,457,579,,5785,5960,5918,5695,6014,5531,7856,6165,4784,6031
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",13,76,74,153,110,30,45,24,33,2,,15501,13988,13028,16394,13594,15854,17236,17478,15631,29030,,260323,289488,340652,351100,409646,426256,438086,389928,280070,330797
621590,"Ties, bow ties and cravats of textile materials (excluding of silk, silk waste or man-made ...",0,0,0,0,0,0,0,0,0,2,,281,300,170,369,54,68,244,69,76,44,,4792,5206,4920,4091,4068,3804,3717,3029,1791,1521
621143,"Women's or girls' tracksuits and other garments, n.e.s. of man-made fibres (excluding knitted ...",18,34,4,0,6,24,2,18,24,2,,1118,977,957,1696,2812,5431,4247,3877,5113,2972,,416260,369718,349020,330482,364834,369718,382391,375943,326181,330951
640359,"Footwear with outer soles and uppers of leather (excluding covering the ankle, incorporating ...",10,4,0,0,0,3,2,0,0,2,,22683,9583,10391,8530,6000,10728,9733,9483,10275,14174,,180069,195124,187231,152414,180191,166360,161363,140842,113929,93871
611610,"Gloves, mittens and mitts, impregnated, coated, covered or laminated with plastics or rubber, ...",4,0,0,0,9,0,0,0,0,2,,1474,1913,1613,1882,1750,1655,1828,2866,15935,4184,,198617,180712,192514,178483,179791,179048,191538,189072,177454,182629
820420,"Interchangeable spanner sockets, with or without handles, of base metal",43,3,11,5,3,0,94,25,0,2,,1464,1698,2139,2589,3030,2708,2768,2468,1396,2240,,16317,17214,14364,13881,17009,17513,18872,20100,18660,23124
853932,Mercury or sodium vapour lamps; metal halide lamps,3,11,62,7,15,8,17,7,23,2,,5475,6335,6333,2191,2100,4911,6321,5240,5289,3847,,92539,90215,80518,57078,30677,24185,23265,18813,17980,10726
481730,"Boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment ...",0,0,0,0,0,0,0,0,0,2,,27488,12062,15121,11567,8791,10177,11302,7132,6185,4506,,8769,6361,3956,3510,2427,2248,2199,2293,1969,3005
220190,"Ordinary natural water, not containing added sugar, other sweetening matter or flavoured; ice ...",34,14,15,0,0,0,0,0,0,2,,311,342,567,657,404,613,1014,334,536,463,,47997,45648,39106,32565,29344,24470,18053,16509,16297,14896
846789,"Tools for working in the hand, hydraulic or with self-contained non-electric motor (excluding ...",3,5,8,0,0,2,10,0,20,2,,10332,24194,13896,12999,9602,9757,10809,10902,9564,10117,,39446,56922,63421,52233,50344,45867,45912,55961,48331,47260
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",24,7,2,6,3,0,0,8,0,2,,30749,35319,47175,45359,28886,14722,19114,33066,17923,19183,,37551,36119,35622,37255,39293,42142,59692,61734,49661,80848
910811,"Watch movements, complete and assembled, electrically operated, with mechanical display only ...",0,0,0,0,0,0,3,0,3,2,,2782,2818,2513,969,830,1325,808,544,257,1575,,60385,49203,59872,49388,42007,41093,44951,39233,19113,28317
830120,"Locks used for motor vehicles, of base metal",0,5,7,27,0,3,7,0,0,2,,2360,1738,2032,3276,3796,2439,2382,739,238,606,,181567,185362,217521,207587,187873,184722,181579,182284,151315,159415
831000,"Sign-plates, nameplates, address-plates and similar plates, numbers, letters and other symbols, ...",15,10,47,35,32,14,8,4,5,2,,6834,5429,4455,2774,2474,2588,1768,4479,5559,7019,,11774,11717,11714,11121,11164,11554,10664,9757,7838,12479
691090,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",0,0,0,0,0,0,0,0,0,2,,1828,1244,942,928,555,1063,1356,1324,571,466,,98766,109315,118470,111652,102862,102949,110774,119447,122687,114570
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",816,855,1277,899,24,9,68,65,25,2,,11231,17189,40060,22516,16758,19827,21031,19881,16331,20476,,219601,283663,428340,282614,281560,270605,290541,295713,202663,228307
844833,"Spindles, spindle flyers, spinning rings and ring travellers, for machines of heading 8445",0,0,0,0,0,0,5,0,0,2,,1471,1748,2566,4901,3237,1738,1531,799,782,1452,,3776,5088,6294,1364,1667,1531,1909,2179,1645,2830
401290,"Solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber",0,0,0,0,0,0,0,0,5,2,,17375,6341,5646,2960,4066,3012,5249,2888,2779,2332,,44195,42415,38801,35475,34731,42855,25815,27787,27053,30242
293211,Tetrahydrofuran,6,0,0,0,0,0,0,0,0,2,,683,663,311,391,424,165,81,146,111,358,,12615,12929,12517,11864,13578,12871,13290,12923,12432,18112
284290,"Salts of inorganic acids or peroxoacids (excluding of oxometallic or peroxometallic acids, ...",0,0,0,0,0,0,0,2,0,2,,499,326,297,491,696,618,498,310,952,273,,11783,10643,10853,8196,7162,6597,7848,9567,9819,11692
843390,"Parts of harvesting machinery, threshing machinery, mowers and machines for cleaning, sorting ...",4,0,0,0,0,0,0,6,0,2,,4714,15875,27895,31688,39278,55887,71412,58593,38793,42222,,73364,82666,88376,56439,49846,52937,56792,56787,49999,62345
761610,"Nails, tacks, staples, screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers ...",0,5,11,0,0,2,0,9,0,2,,11202,13544,9301,6086,7216,7789,9679,6540,3255,3532,,31714,35174,42805,48900,29156,27605,24257,25884,18943,16267
731940,"Safety pins and other pins of iron or steel, n.e.s.",4,5,0,0,0,0,4,0,0,2,,23390,18955,17243,16967,14919,15833,16802,12212,11639,12776,,3188,2578,2799,2557,2368,2608,2775,2569,1992,1857
30119,Live ornamental fish (excluding freshwater),0,0,6,0,0,2,33,0,0,2,,3104,1840,1450,1217,1230,1154,972,449,198,218,,2737,3020,3234,2753,2788,2612,2440,2215,2421,2965
391739,"Flexible tubes, pipes and hoses, of plastics, reinforced or otherwise combined with other materials ...",203,30,47,19,383,167,41,10,6,2,,10861,22193,33906,39187,41460,33703,46149,53068,40900,32792,,49651,44799,49243,46597,46109,47830,64939,68323,59937,71326
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",1701,190,55,245,58,26,201,129,93,2,,476708,743324,735598,531913,521753,444772,480122,421189,138306,247192,,898649,870900,888885,776932,912632,762208,849376,703765,448548,532903
830140,Locks of base metal (excluding padlocks and locks for motor vehicles or furniture),5,7,86,90,148,3,0,4,0,2,,7378,9570,9686,8701,7283,8166,11838,11785,10561,9582,,66585,60986,62024,57063,56931,57811,59444,64990,59212,63680
620432,"Women's or girls' jackets and blazers of cotton (excluding knitted or crocheted, wind-jackets ...",0,0,0,3,0,0,0,5,0,2,,1489,784,1054,1250,1112,2292,1736,2352,2150,2106,,83191,77333,65196,59360,66687,60549,57791,56832,42494,36981
210120,"Extracts, essences and concentrates, of tea or mate, and preparations with a basis of these ...",129,228,117,69,52,2,0,2,9,2,,25676,35521,27986,14989,13959,16536,19233,22326,17089,18517,,43691,42615,44397,35579,26578,35124,32943,32226,25467,25081
300190,"Dried glands and other organs for organo-therapeutic uses, whether or not powdered; heparin ...",4,33,3,5,0,6,0,0,0,2,,1077902,821162,731993,521648,366779,328518,478820,673622,606551,822767,,92439,91929,82222,76284,85479,80875,97533,109261,121646,93007
392069,"Plates, sheets, film, foil and strip, of non-cellular polyesters, not reinforced, laminated, ...",15,49,31,25,58,0,5,0,0,2,,27268,25498,36797,12408,7607,13723,9304,7172,7123,9281,,18917,13031,10896,9266,10408,4474,5161,3513,3576,3554
392210,"Baths, shower-baths, sinks and washbasins, of plastics",0,0,0,0,0,0,0,0,5,2,,1613,1420,2538,2342,1094,534,954,626,385,2454,,66996,74021,69716,60215,69850,66788,75739,79885,68424,76443
