Product code,Product label,Saudi Arabia's imports from Singapore-Value in 2012,Saudi Arabia's imports from Singapore-Value in 2013,Saudi Arabia's imports from Singapore-Value in 2014,Saudi Arabia's imports from Singapore-Value in 2015,Saudi Arabia's imports from Singapore-Value in 2016,Saudi Arabia's imports from Singapore-Value in 2017,Saudi Arabia's imports from Singapore-Value in 2018,Saudi Arabia's imports from Singapore-Value in 2019,Saudi Arabia's imports from Singapore-Value in 2020,Saudi Arabia's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
283090,"Sulphides (excluding sodium); polysulphides, whether or not chemically defined (excluding inorganic ...",0,0,0,0,0,0,0,0,0,0,,1332,534,613,1135,259,149,601,649,760,1338,,0,0,50,71,1489,72,160,887,4457,587
283230,Thiosulphates,0,0,344,97,0,0,0,0,0,0,,76,168,499,131,41,41,26,36,30,38,,1300,562,1357,1141,1238,1490,2000,3901,1691,651
283329,"Sulphates (excluding of sodium, magnesium, aluminium, nickel, copper, barium and mercury)",0,0,0,0,0,0,0,0,0,0,,1541,1663,2349,2593,1460,2778,5138,7825,7184,8720,,8468,8516,8700,7063,8303,10225,7755,4854,6895,10010
283410,Nitrites,0,0,0,0,0,0,0,0,0,0,,547,925,404,317,511,291,109,143,189,75,,5347,1735,1350,2013,773,1261,1190,2002,1786,2525
283691,Lithium carbonates,0,0,0,0,0,0,0,0,0,0,,99,96,122,119,332,105,244,143,372,106,,0,0,0,28,3,70,47,75,22,24
283720,Complex cyanides (excluding inorganic or organic compounds of mercury),0,0,0,0,0,0,0,0,0,0,,3662,308,369,312,92,135,79,84,26,20,,282,256,0,31,25,27,47,4,69,33
290920,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulphonated, nitrated or ...",0,0,0,0,0,0,0,0,0,0,,1103,1109,1244,600,66,228,233,255,306,270,,0,0,0,29,6,0,0,0,0,2
291020,"Methyloxirane """"propylene oxide""""""""",0,0,0,0,0,0,0,0,0,0,,373545,391554,285214,151730,137589,166668,177465,129248,113537,94612,,549,480,523,515,417,730,496,1214,1794,1937
291229,"Cyclic aldehydes, without other oxygen function (excluding benzaldehyde)",0,0,0,0,0,0,0,0,0,0,,3502,2975,4212,4728,3005,3173,2786,3404,3188,3263,,0,0,29,540,100,87,115,121,234,227
291250,Cyclic polymers of aldehydes,0,0,0,0,0,0,0,0,0,0,,158,174,374,952,1817,2072,530,766,268,47,,587,71,42,16,603,201,38,344,1567,1200
291450,Ketone-phenols and ketones with other oxygen function,0,0,0,0,0,0,0,0,0,0,,4079,4096,4051,4242,3053,4479,6267,5630,3983,4204,,1558,665,1936,1702,2078,1139,2558,1265,873,1468
291469,Quinones (excluding anthraquinone),0,0,0,0,0,0,0,0,0,0,,90,453,376,414,282,203,2658,670,1230,951,,694,85,88,6092,33,1262,556,976,69,139
290611,Menthol,0,0,0,0,0,0,0,0,0,0,,57145,54188,36465,30000,26267,25875,49820,46400,42835,31543,,494,157,269,234,249,463,241,580,351,262
290621,Benzyl alcohol,0,0,0,0,0,0,0,0,5,0,,3487,2091,3299,4706,3443,303,323,222,246,282,,1010,1617,1250,1289,1499,2057,2482,2542,1426,1921
290711,"Phenol """"hydroxybenzene"""" and its salts""""",0,0,0,0,0,0,0,0,0,0,,126802,83276,177231,94488,110157,116824,115859,95166,73476,120591,,8765,3524,3636,3151,2040,2102,1985,1409,1643,1095
290721,Resorcinol and its salts,0,0,0,0,0,0,0,0,0,0,,980,1547,1131,1441,962,1239,1487,740,260,380,,0,0,0,10,5,1,7,0,3,1
291712,"Adipic acid, its salts and esters",0,0,0,0,0,0,0,0,0,0,,11231,4725,431,1022,1156,262,410,396,557,306,,703,348,422,8472,5015,346,533,578,1320,3373
291732,Dioctyl orthophthalates,0,0,0,0,0,0,0,0,0,0,,168,330,38,37,74,110,26,9,353,1154,,4101,843,28,289,339,561,1310,1217,657,270
291734,"Esters of orthophthalic acid (excluding dioctyl, dinonyl or didecyl orthophthalates)",0,0,0,0,0,0,0,0,0,0,,2725,1288,1166,738,894,437,248,282,444,598,,3279,2293,5095,3215,3231,3315,4099,3258,2931,6140
291819,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and ...",0,0,0,0,0,0,0,0,0,0,,1073,787,587,596,443,449,2233,2020,2093,2119,,1018,1279,1340,2334,1646,2881,2016,3429,2225,1900
290322,Trichloroethylene,0,0,0,0,0,0,0,0,0,0,,1978,1023,2650,556,457,383,554,287,300,647,,539,413,250,273,394,635,574,352,287,284
290382,"Aldrin (ISO), chlordane (ISO) and heptachlor (ISO)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,5
290511,"Methanol """"methyl alcohol""""""""",0,0,0,0,0,0,0,0,0,0,,64369,59325,48790,26165,10597,12385,10796,16235,12892,16756,,917,879,906,1194,2181,1411,1835,2173,1550,2111
290517,"Dodecan-1-ol """"lauryl alcohol"""", hexadecan-1-ol """"cetyl alcohol"""" and octadecan-1-ol """"stearyl ...""",0,0,0,0,0,0,0,0,0,0,,4548,655,374,350,276,148,189,140,261,620,,2197,1515,868,773,680,924,885,681,676,1540
290529,Unsaturated monohydric acyclic alcohols (excluding acyclic terpene alcohols),0,0,0,0,0,0,0,0,0,0,,2040,104675,209398,121831,120477,174448,214994,135929,162409,303262,,183,131,137,95,66,130,325,62,262,99
200290,"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid (excluding whole or ...",0,0,0,0,0,0,0,0,0,0,,1160,1227,1044,970,887,1057,1416,1216,775,654,,62559,75150,84612,101693,78939,84308,85743,86457,89145,87945
200310,"Mushrooms of the genus """"Agaricus"""", prepared or preserved otherwise than by vinegar or acetic ...""",0,0,0,0,0,0,0,0,0,0,,1154,952,1344,1367,1083,992,1020,1116,1190,1164,,6514,5593,7078,6364,6810,6079,6736,6008,6237,5707
200510,"Homogenised vegetables put up for retail sale as infant food or for dietetic purposes, in containers ...",0,0,0,0,0,0,0,0,0,0,,197,167,130,63,158,45,19,21,19,18,,463,3281,600,1105,960,903,1527,706,409,286
200570,"Olives, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",0,0,0,0,0,0,0,0,0,0,,939,859,915,926,965,1005,1083,867,483,423,,20948,23831,24219,27750,22085,24673,23650,33801,53000,53103
200599,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ...""",210,206,144,0,0,0,0,0,0,0,,2083,1838,1995,1999,1912,2883,2056,1647,1085,2040,,55761,54780,84213,102186,89019,87596,66296,91900,94439,72428
200840,"Pears, prepared or preserved, whether or not containing added sugar or other sweetening matter ...",0,0,0,0,0,0,0,0,0,0,,349,160,143,164,151,173,121,127,71,80,,141,40,0,103,164,35,75,47,27,11
200931,"Single citrus fruit juice, unfermented, Brix value <= 20 at 20¡ÆC, whether or not containing ...",0,0,0,0,0,0,0,0,0,0,,575,605,645,457,322,141,248,171,82,89,,3163,3679,4906,6688,7212,4806,5467,2999,3326,1974
210112,"Preparations with a basis of extracts, essences or concentrates of coffee or with a basis of ...",1804,1504,1474,251,0,0,54,80,319,0,,64492,58606,54089,23612,19775,39689,20582,20716,16881,17932,,73934,95273,97089,115082,103715,119758,138935,83267,61933,52461
220190,"Ordinary natural water, not containing added sugar, other sweetening matter or flavoured; ice ...",0,0,0,0,0,0,0,0,0,0,,311,342,567,657,404,613,1014,334,536,463,,857,1444,5057,6850,3349,2370,1769,1737,1008,954
10129,Live horses (excluding pure-bred for breeding),0,0,0,0,0,0,0,0,0,0,,2993,5201,2467,3847,1695,1981,1376,1491,1226,1228,,5710,8266,11167,9806,5962,4628,832,610,355,578
10229,Live cattle (excluding pure-bred for breeding),0,0,0,0,0,0,0,0,0,0,,1,0,457,124,3,0,0,0,0,0,,3416,3592,1618,0,0,0,0,4429,75949,65348
10513,"Live domestic ducks, weighing <= 185 g",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,5,11,0,0,0,2
10515,"Live domestic guinea fowls, weighing <= 185 g",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,54,0,0,0,0,0,0,0,0
10619,"Live mammals (excluding primates, whales, dolphins and porpoises, manatees and dugongs, seals, ...",0,0,0,0,0,0,0,0,0,0,,27,84,107,88,93,100,108,368,270,378,,444,424,2587,1495,2481,6729,893,1118,579,1098
20130,"Fresh or chilled bovine meat, boneless",0,0,0,0,0,0,0,0,0,0,,1142,983,1381,1259,1077,2732,2702,2292,1256,1140,,59630,67155,92297,103640,93907,110840,106869,178023,243361,220532
20422,"Fresh or chilled cuts of sheep, with bone in (excluding carcases and half-carcases)",0,0,0,0,0,0,0,0,0,0,,9,25,42,180,154,481,776,438,144,212,,10915,13787,18008,16738,15273,10703,11470,9368,11008,17010
20443,Frozen boneless cuts of sheep,0,0,0,0,0,0,0,0,0,0,,1022,913,945,912,576,633,339,985,1767,3741,,20392,15672,21136,14191,15838,18993,17249,14526,19457,14913
20711,"Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,329,2050,28,366,537,0,0,0,0,0
20724,"Fresh or chilled turkeys of the species domesticus, not cut in pieces",0,0,0,0,0,0,0,0,0,0,,0,0,32,0,25,26,0,0,0,6,,136,54,0,82,85,0,229,0,0,0
20745,Frozen cuts and edible offal of domestic ducks,0,0,0,0,0,0,0,0,0,0,,52,229,197,94,363,806,528,549,747,235,,421,7278,3494,2017,175,18,68,184,121,26
20755,Frozen cuts and edible offal of domestic geese,0,0,0,0,0,0,0,0,0,0,,100,78,110,4,187,2,0,0,0,0,,41,0,0,50,0,0,0,0,0,0
20760,"Meat and edible offal of domestic guinea fowls, fresh, chilled or frozen",0,0,0,0,0,0,0,0,0,0,,3,0,0,1,1,0,0,0,0,0,,29,0,0,15,109,16,157,143,978,0
21099,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...""",0,0,0,0,0,0,0,0,0,0,,199,7,86,24,141,25,6,18,18,75,,203,486,0,0,59,64,0,161,128,121
30211,"Fresh or chilled trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus ...""",0,0,0,0,0,0,0,0,0,0,,564,540,652,844,1624,1676,1358,1189,3057,2466,,892,266,0,41,54,41,55,373,30735,37587
30213,"Fresh or chilled Pacific salmon """"Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...""",0,0,0,0,0,0,0,0,0,0,,4,4,4,14,47,41,6,3,7,60,,1419,3754,5109,7427,12710,13243,10563,8324,0,66
30222,"Fresh or chilled plaice """"Pleuronectes platessa""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,11,43,75
30224,"Fresh or chilled turbot """"Psetta maxima""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,4,0,0,0,2,0,0,,0,0,0,30,0,0,0,0,34,126
30247,"Fresh or chilled swordfish """"Xiphias gladius""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,1,0,0,0,0,0
30249,"Fresh or chilled Indian mackerels """"Rastrelliger spp."""", seerfishes """"Scomberomorus spp."""", ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,19,3,,0,0,0,0,0,0,0,0,0,118
30272,"Fresh or chilled catfish """"Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""""""""",0,0,0,0,0,0,0,0,0,0,,10,1,8,827,2643,159,22,0,77,2,,0,0,0,2,35,104,174,32,0,0
30284,"Fresh or chilled sea bass """"Dicentrarchus spp.""""""""",0,0,0,0,0,0,0,0,0,0,,478,587,69,75,46,23,15,40,3,3,,0,0,0,137,68,122,482,784,68,241
30289,"Fresh or chilled fish, n.e.s.",0,0,0,0,0,0,0,0,0,0,,5092,4092,5596,5672,7056,5608,4584,4845,6072,4139,,10369,12282,22802,35058,34671,38045,34746,20829,10035,15108
30313,"Frozen, Atlantic salmon """"Salmo salar"""" and Danube salmon """"Hucho hucho""""""""",0,0,0,0,0,0,0,0,0,0,,546,1739,971,349,442,323,361,890,350,943,,410,363,761,470,201,838,541,1747,1576,1634
30319,"Frozen salmonidae (excluding trout and Pacific, Atlantic and Danube salmon)",582,50,156,0,0,0,0,0,0,0,,2401,3609,3167,1822,3028,2073,1091,376,358,107,,35712,34925,26623,2569,4293,7925,6701,9978,28200,15776
30329,"Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)",0,52,29,0,0,0,0,0,0,0,,158,144,324,151,1,0,0,1,0,0,,5969,3261,2439,421,2191,3725,3125,524,521,2970
30346,"Frozen Southern bluefin tunas """"Thunnus maccoyii""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,5,7,0,0,0,,0,0,0,0,0,1,0,12,6,0
30363,"Frozen cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",0,0,0,0,0,0,0,0,0,0,,8330,9739,6166,8150,7797,7466,6131,5776,2107,1451,,0,0,101,30,160,325,126,168,19,34
30433,"Fresh or chilled fillets of Nile perch """"Lates niloticus""""""""",0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,233,0,0,91,286,414,913,1844,1294,388
30482,"Frozen fillets of trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus ...""",0,0,0,0,0,0,0,0,0,0,,279,373,396,250,294,37,158,216,2,5,,0,0,0,20,49,0,0,0,0,21
30486,"Frozen fillets of herring """"Clupea harengus, Clupea pallasii""""""""",0,0,0,0,0,0,0,0,0,0,,4,6,1,1,3,22,27,955,820,850,,0,0,27,0,0,1,0,0,424,0
30499,Frozen fish meat n.e.s. (excluding fillets),0,0,0,0,0,0,0,0,0,0,,244,129,69,209,364,514,842,1417,495,535,,6611,5088,5613,8053,15850,13300,33539,35197,25835,9472
30543,"Smoked trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...""",0,0,0,0,0,0,0,0,0,0,,119,125,129,291,266,317,262,41,22,56,,0,0,0,3,7,1,0,24,0,0
30562,"Cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus"""", salted or in brine only (excluding ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,4,5,1,0,0,15,67,,0,0,0,28,0,2,0,9,0,0
30626,"Cold-water shrimps and prawns """"Pandalus spp., Crangon crangon"""", even smoked, whether in ...""",0,0,0,0,0,0,0,0,0,0,,424,530,9,213,0,519,0,0,0,0,,523,2127,4561,1508,17,0,0,369,704,303
30631,"Rock lobster and other sea crawfish """"Palinurus spp., Panulirus spp. and Jasus spp."""", whether ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,61,39,328,2879,,0,0,0,0,0,0,0,0,0,65
30731,"Live, fresh or chilled, not smoked, mussels """"Mytilus spp., Perna spp."""", with or without ...""",0,0,0,0,0,0,0,0,0,0,,1,23,26,5,18,10,8,4,0,0,,0,0,0,40,42,56,25,116,220,135
30791,"Live, fresh or chilled molluscs, even in shell (excl. oysters, scallops of the genera Pecten, ...""",0,0,0,0,0,0,0,0,0,0,,4,27,21,51,15,36,331,544,624,892,,0,41,0,0,1,0,7,17,0,0
40510,Butter (excluding dehydrated butter and ghee),444,292,0,0,0,0,0,0,0,0,,17096,21101,25358,21034,15904,9614,10131,11338,6240,7315,,156303,140395,197723,144879,152381,142839,168817,138693,188021,160842
40811,"Dried egg yolks, whether or not sweetened",0,0,0,0,0,0,0,0,0,0,,10,16,0,0,0,2,1,11,1,22,,240,975,2043,3479,3931,4584,2666,1164,2863,1049
50710,"Ivory, unworked or simply prepared, its powder and waste (excluding cut to shape)",0,0,0,0,0,0,0,0,0,0,,0,9,0,0,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0
60315,"Fresh cut lilies """"Lilium spp."""" and buds, of a kind suitable for bouquets or for ornamental ...""",0,0,0,0,0,0,0,0,0,0,,63,14,0,0,0,3,1,0,1,1,,0,0,0,0,2,0,0,0,53,36
60390,"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable ...",0,0,0,0,0,0,0,0,0,0,,168,174,302,593,492,463,323,235,200,267,,1218,2760,2443,1727,949,887,1128,910,862,483
70320,"Garlic, fresh or chilled",0,0,0,0,0,0,0,0,0,0,,737,1861,322,1035,2757,1111,844,1506,6669,1945,,32743,31105,30286,40450,64580,65560,36361,51752,60381,57420
70940,Fresh or chilled celery (excluding celeriac),0,0,0,0,0,0,0,0,0,0,,429,377,312,339,321,476,482,357,328,291,,632,833,872,1605,1354,1303,1776,2400,1976,2066
70951,"Fresh or chilled mushrooms of the genus """"Agaricus""""""""",0,0,0,0,0,0,0,0,0,0,,381,357,332,622,559,301,239,299,377,64,,1159,1687,1863,4934,4813,5221,6323,8151,8532,10192
70960,Fresh or chilled fruits of the genus Capsicum or Pimenta,0,0,0,0,0,0,0,0,0,0,,2680,2970,3255,3763,2302,929,485,770,618,539,,16325,13313,19307,22135,26212,20278,21543,20600,25493,25669
71040,"Sweetcorn, uncooked or cooked by steaming or by boiling in water, frozen",0,0,0,0,0,0,0,0,0,0,,53,93,65,35,34,92,264,221,256,430,,14240,15039,12627,12772,13573,12194,12698,13493,11144,11583
71350,"Dried, shelled broad beans """"Vicia faba var. major"""" and horse beans """"Vicia faba var. equina ...""",0,0,0,0,0,0,0,0,0,0,,98,9,48,19,17,2,30,8,1,1,,22347,22933,29298,20570,17675,16258,14235,32282,21538,18378
71390,"Dried, shelled leguminous vegetables, whether or not skinned or split (excluding peas, chickpeas, ...",0,0,0,0,0,0,0,0,0,0,,733,965,904,2679,1141,531,494,517,807,587,,8250,12807,16403,23935,24614,15867,11208,12528,14627,12671
71490,"Arrowroot, salep, Jerusalem artichokes and similar roots and tubers with high starch or inulin ...""",0,0,0,0,0,0,0,0,0,0,,286,455,509,721,649,445,260,263,233,191,,3171,2399,3248,5778,5712,12627,14112,8482,5415,4337
80522,Fresh or dried clementines incl. monreales,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,5467
80840,Fresh quinces,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,,98,176,122,285,434,302,576,359,399,482
81010,Fresh strawberries,0,0,0,0,0,0,0,0,0,0,,574,661,591,682,610,775,961,1472,1432,1651,,27590,24534,28066,42100,50116,50354,49804,55595,56782,53335
81050,Fresh kiwifruit,0,0,0,0,0,0,0,0,0,0,,776,1841,2017,1465,1673,878,779,909,1195,2005,,15477,17075,17859,23134,21115,20377,25407,21182,24765,23182
90520,"Vanilla, crushed or ground",0,0,0,0,0,0,0,0,0,0,,75,138,258,39,85,43,533,6,13,76,,0,505,158,781,561,951,467,781,720,815
90710,"Cloves, whole fruit, cloves and stems, neither crushed nor ground",0,97,309,0,0,0,77,66,0,0,,112698,41847,93535,39990,85450,101912,79261,28155,25663,27125,,3443,4631,7770,6386,6304,7801,17133,13642,11147,11690
90720,"Cloves, whole fruit, cloves and stems, crushed or ground",0,0,0,0,0,0,0,0,0,0,,2113,1152,2848,351,90,142,289,242,51,27,,277,558,430,573,706,324,718,764,643,603
91011,"Ginger, neither crushed nor ground",0,0,0,0,0,0,0,0,0,0,,316,1332,1925,3775,425,149,153,261,224,249,,25440,26646,32137,34182,31633,26696,23762,25732,43899,31945
91030,"Turmeric """"curcuma""""""""",0,0,0,0,0,0,0,0,0,0,,682,516,405,445,810,373,451,339,402,324,,3460,4011,5637,5242,7068,6283,7430,7853,8601,10445
100821,Millet seed for sowing (excluding grain sorghum),0,0,0,0,0,0,0,0,0,0,,1,3,0,0,1,2,1,1,4,1,,0,176,364,174,176,36,167,502,418,0
100890,"Cereals (excluding wheat and meslin, rye, barley, oats, maize, rice, grain sorghum, buckwheat, ...",0,0,0,0,0,0,0,0,0,0,,147,276,632,380,245,228,293,192,474,183,,135,1030,513,734,339,197,472,1901,1567,339
110429,"Grains of cereals, hulled, pearled, sliced, kibbled or otherwise worked (excluding rolled, ...",0,0,0,0,0,0,0,0,0,0,,523,451,386,306,260,703,2088,1121,883,1303,,16250,16212,15407,15079,15247,14895,15278,12304,11215,9020
110430,"Germ of cereals, whole, rolled, flaked or ground",0,0,0,0,0,0,0,0,0,0,,12,13,13,3,4,33,3,14,3,4,,0,0,176,290,4,56,11,21,24,14
120300,Copra,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,249,105,101,95,,0,0,98,12,22,147,0,127,24,5
120400,"Linseed, whether or not broken",0,0,0,0,0,0,0,0,0,0,,27,11,19,16,48,51,47,46,35,90,,0,126,0,303,193,297,370,250,325,433
120740,"Sesamum seeds, whether or not broken",0,0,0,0,0,0,0,0,0,0,,1235,3392,1937,1440,1068,815,876,1020,778,1218,,56158,71486,92010,70496,47377,50180,70629,108569,70494,67553
121229,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, unfit for ...",0,0,0,0,0,0,0,0,0,0,,84,226,149,159,36,107,73,120,978,675,,868,3130,1168,2765,1206,3704,3477,3990,3913,4844
130231,"Agar-agar, whether or not modified",0,0,0,0,0,0,0,0,0,0,,995,1577,1715,1306,1289,941,1079,1507,2079,1392,,162,310,550,775,322,601,273,216,249,422
140110,Bamboos,0,0,0,0,0,0,0,0,0,0,,60,60,284,44,226,68,86,82,22,11,,151,71,267,512,407,394,161,214,207,306
150600,"Other animal fats and oils and their fractions, whether or not refined, but not chemically ...",161,0,0,54,0,0,0,0,0,0,,0,0,0,2,13,0,16,0,22,50,,373,563,758,202,23,233,0,90,0,4
150890,"Groundnut oil and its fractions, whether or not refined (excluding chemically modified and ...",0,0,0,0,0,0,0,0,0,0,,2965,4620,3652,3069,2508,2463,2301,1606,31,55,,107,0,31,213,75,6,53,16,8,289
150990,Olive oil and fractions obtained from the fruit of the olive tree solely by mechanical or other ...,0,0,0,0,0,0,0,0,0,0,,928,731,445,719,1031,1346,937,481,270,440,,23333,19573,26339,29966,35516,26963,29609,11284,8451,8006
151211,Crude sunflower-seed or safflower oil,0,0,0,0,0,0,0,0,0,0,,305,120,91,579,313,719,263,107,141,268,,92141,110540,90974,73926,30507,34634,84288,70208,53985,136750
151610,"Animal fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",3215,1576,2154,1010,320,512,180,122,0,0,,0,0,0,0,8,5,0,2,0,560,,19175,11879,11523,4902,4329,15436,13783,11003,15105,15633
160210,"Homogenised prepared meat, offal, blood or insects, put up for retail sale as infant food or ...",0,0,0,0,0,86,0,0,0,0,,26,310,113,35,179,173,161,165,98,147,,698,138,0,463,1875,2176,1656,40810,35082,1182
160300,"Extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates",0,0,0,0,0,0,0,0,0,0,,212,143,477,438,350,243,505,216,63,44,,33,0,0,66,75,19,12,90,286,29
160412,"Prepared or preserved herrings, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,0,,19,20,18,20,10,1,0,1,2,0,,157,151,832,1137,1236,1019,176,654,778,181
160414,"Prepared or preserved tunas, skipjack and Atlantic bonito, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,59,0,,515,417,510,654,1764,524,740,880,1291,345,,176478,129358,120522,135825,151047,146261,194104,230322,253168,178268
160431,Caviar,0,0,0,0,0,0,0,0,0,0,,44,135,73,116,124,89,280,84,66,127,,321,478,386,130,45,95,143,250,232,432
160563,"Jellyfish, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,,179,158,219,215,178,72,78,95,58,51,,0,0,0,2,0,1,0,0,0,0
170112,Raw beet sugar (excluding added flavouring or colouring),0,0,0,0,0,0,0,0,0,0,,2,74,7,81,6,5,11,173,89,11,,248420,445989,262504,28146,82337,8494,1388,5226,15927,153025
851090,"Parts of electric shavers, hair clippers and hair-removing appliances, with self-contained ...",0,0,0,0,0,0,0,0,0,0,,2723,7535,16303,21017,24818,35748,17117,17620,30043,34875,,859,1278,1437,3721,1042,771,1078,2458,2634,1173
851410,Resistance heated industrial or laboratory furnaces and ovens (excluding drying ovens),0,0,0,0,0,0,0,0,41,0,,2766,5290,4708,3816,6202,5653,5820,9448,5347,6125,,3218,5727,3154,4821,2519,3448,5362,6269,3213,13487
851440,Equipment for the heat treatment of materials by induction or dielectric loss (excluding ovens ...,0,0,0,0,75,0,0,5,0,0,,3838,5395,5091,4638,4110,3655,4210,7357,5219,5300,,28753,18535,7870,11578,7685,6543,5195,7119,13959,7225
851521,Fully or partly automatic machines for resistance welding of metals,0,0,0,0,0,0,0,0,0,0,,7137,4779,1548,3178,1501,936,2271,3613,2073,1382,,4707,7111,11550,5383,2845,6652,1794,7704,2317,8460
851539,"Machines for arc welding of metals, incl. plasma arc welding, neither fully nor partly automatic",0,41,0,0,0,41,0,0,0,0,,19691,20230,24336,17179,15162,11025,7603,9989,6418,5611,,24063,35033,24485,22475,16774,11549,15956,13711,9593,8931
851650,Microwave ovens,0,0,0,0,0,0,0,0,0,0,,8752,6438,6722,4556,3936,5689,3667,3907,4882,4597,,25925,32579,26584,30860,23069,22911,21141,21177,30692,39194
847010,"Electronic calculators capable of operation without an external source of electric power and ...""",0,0,0,0,0,0,0,0,0,0,,15925,14344,11848,22005,12238,13065,19285,16560,11086,12865,,297,1380,2599,4367,818,859,4706,8710,4926,3835
847090,"Accounting machines, postage-franking machines, ticket-issuing machines and similar machines, ...",33,0,0,0,0,0,0,0,0,0,,17241,8368,3501,5645,3448,2993,9384,15974,21799,10633,,3419,4734,3197,5047,3183,6898,2330,5995,42970,6717
848020,"Mould bases (other than of graphite or other carbon, ceramic meterials or glass)",0,63,0,0,0,0,0,0,0,0,,20331,20898,17252,16314,16955,17926,15631,13483,16169,16408,,408,1253,1942,2986,1480,2606,2049,1563,367,1345
848060,"Moulds for mineral materials (excluding moulds of graphite or other carbons, ceramic or glass ...",0,0,0,0,0,0,0,0,0,0,,6192,6739,5769,4990,7250,14892,32854,13713,8369,9817,,10086,17487,27286,19901,12458,8075,8131,13051,12060,11892
847431,Concrete or mortar mixers (excluding those mounted on railway wagons or lorry chassis),27,495,296,0,1126,997,381,0,605,0,,54174,46283,42951,19261,8708,16663,7105,3131,6245,8661,,60573,59715,68216,35755,23418,12710,11542,14030,23829,15101
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",0,0,12904,9930,0,0,0,0,0,0,,295598,375380,298520,320818,301590,358023,459643,441551,818135,1881799,,5535,5804,25301,19788,15832,5179,9715,5862,7932,8102
847690,"Parts of automatic goods-vending machines, incl. money changing machines, n.e.s.",0,0,0,0,31,0,0,0,0,0,,19398,17924,9028,2707,2503,1712,771,958,229,381,,105,1187,806,1227,1329,741,975,514,439,114
