Product code,Product label,"Australia's imports from Taipei, Chinese-Value in 2012","Australia's imports from Taipei, Chinese-Value in 2013","Australia's imports from Taipei, Chinese-Value in 2014","Australia's imports from Taipei, Chinese-Value in 2015","Australia's imports from Taipei, Chinese-Value in 2016","Australia's imports from Taipei, Chinese-Value in 2017","Australia's imports from Taipei, Chinese-Value in 2018","Australia's imports from Taipei, Chinese-Value in 2019","Australia's imports from Taipei, Chinese-Value in 2020","Australia's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
90210,Green tea in immediate packings of <= 3 kg,243,287,355,409,406,565,762,881,895,1112,,7962,9723,10404,13249,12067,16018,19542,23146,17400,25666,,8870,10785,11206,12585,10707,10501,14906,12474,11159,12440
851840,Audio-frequency electric amplifiers,602,688,857,757,804,1248,835,820,767,1110,,11841,11818,10511,8041,8595,11580,13162,21918,25299,24879,,41680,47934,43790,41538,38654,41194,38875,40641,48898,43837
391220,"Cellulose nitrates, incl. collodions, in primary forms",818,475,668,601,916,895,854,530,882,1110,,57950,29895,27600,36516,43108,43710,42624,40304,35960,39792,,2619,2461,2353,1367,1766,1802,1603,1131,1466,1605
842839,"Continuous-action elevators and conveyors, for goods or materials (excluding those for underground ...",177,241,140,425,182,176,231,2400,459,1102,,199082,188433,198855,211752,223549,416207,344290,404083,211658,185698,,56651,45749,80342,40467,64718,79686,59580,62009,69941,97842
291521,Acetic acid,0,0,0,535,599,584,829,359,305,1101,,32464,128869,179170,120355,73566,97900,180095,106167,121149,272180,,3703,3998,4721,4142,3287,3440,5726,3984,3009,7452
291733,Dinonyl or didecyl orthophthalates,0,316,732,247,269,796,521,293,672,1098,,65983,71720,46269,43463,53195,78427,60599,44550,41904,65956,,2133,777,2512,2437,1999,5316,10735,9393,5348,11587
560392,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 25 ...",127,94,115,153,95,168,355,884,1990,1091,,70396,84677,97761,108067,108511,123661,131665,124245,157980,147926,,4655,3595,4693,6895,6656,7161,8946,8351,11399,9418
890391,"Sailboats and yachts, with or without auxiliary motor, for pleasure or sports",695,413,341,250,260,115,400,395,197,1087,,5834,6227,4427,6694,6279,3290,1786,1379,2132,2319,,66150,56206,55589,46509,42232,54252,54247,37276,33860,47119
680422,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",3035,1685,1334,927,930,1042,1127,932,882,1081,,17716,20900,85022,39907,19438,24757,25990,20876,17816,21465,,31301,25523,27343,25401,24742,28494,30045,30673,28992,29320
291570,"Palmitic acid, stearic acid, their salts and esters",629,710,778,432,439,599,656,507,688,1077,,18657,19120,17348,16060,13497,13843,14405,15713,14494,16659,,4536,4063,4007,3295,3182,3989,5560,4470,3958,5347
281511,"Sodium hydroxide """"caustic soda"""" solid""""",1493,1048,949,829,878,1226,1372,1250,616,1058,,44599,46873,34467,30354,34314,47777,55437,40041,30120,29553,,5736,4866,4221,3395,4842,6127,8486,3826,3260,4010
940389,"Furniture of other mareials, including cane, osier or similar materials (excluding of bamboo, ...",774,746,609,872,1094,1297,2137,777,1055,1047,,81096,75606,61784,54033,50423,52090,48999,55174,64103,76883,,36580,35369,34083,40856,42589,44680,47231,43042,43115,49218
848071,Injection or compression-type moulds for rubber or plastics,1987,1501,1822,1127,1968,443,344,1363,446,1043,,155040,144855,142269,135624,136639,145339,148171,144701,140387,127373,,45480,25362,39105,23812,28887,27084,31765,26256,25441,29638
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",955,728,747,660,539,710,1015,791,913,1039,,250239,238847,240616,237780,243958,264866,293028,283047,282056,380774,,118487,185514,123169,80980,44428,52547,88348,158209,98420,85467
830220,Castors with mountings of base metal,945,842,863,866,811,857,771,632,929,1033,,49986,51988,56267,54960,59308,61298,63158,62383,57775,79390,,10313,9769,9748,9538,9045,8955,9607,8041,8310,11048
890399,"Outboard motorboats, for pleasure or sports, and rowing boats and canoes, of a length > 7,5 ...",425,618,205,292,188,178,76,18,2728,1031,,148120,152349,168264,171893,172472,146475,163025,224950,196515,226507,,121171,115227,111293,100717,96025,105890,122382,121656,109955,200613
845929,"Drilling machines for working metal, not numerically controlled (excluding way-type unit head ...",1052,890,1289,873,713,888,955,916,911,1024,,28328,23216,23075,21592,19779,21716,23116,22034,16801,16686,,7982,8623,7043,10259,6510,7422,7570,6111,8541,9145
820330,"Metal-cutting shears and similar hand tools, of base metal",672,553,831,991,960,864,913,853,976,1022,,15517,17184,24642,21188,18714,19610,20041,16163,15790,21105,,3017,2657,3160,3718,3717,3241,3297,3111,3652,4430
871120,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",3408,2125,1846,1342,1148,965,1747,527,341,1022,,314206,294139,308187,265718,219304,173103,165870,162519,161256,117879,,126166,95269,96537,87636,73519,75014,77858,65755,61827,128584
854110,Diodes (excluding photosensitive or light emitting diodes),352,251,229,398,334,207,752,471,456,1021,,1018627,1040065,1101594,1171704,1208012,1128489,1094323,939437,956400,1183139,,10515,13039,12852,13614,12971,13066,15117,9463,9669,12351
732090,"Springs and leaves for springs, of iron or steel, incl. flat spiral springs (excluding helical ...",581,371,409,769,849,781,978,1009,1568,1015,,43594,42769,48802,43801,45345,43839,43644,40799,41927,54121,,17096,17103,18041,15975,16051,17948,19668,16702,15084,18448
392620,Articles of apparel and clothing accessories produced by the stitching or sticking together ...,785,699,1227,1014,627,808,659,570,1189,1010,,48404,48861,49156,42905,38456,38620,33651,33776,47580,57709,,75394,66163,66999,63914,63514,62116,71239,58213,169721,120283
845961,"Milling machines for metals, numerically controlled (excluding way-type unit head machines, ...",1813,1986,553,501,1487,893,923,1179,729,1008,,88651,117166,102619,70792,60675,94628,77950,55020,42488,50192,,8555,7484,3059,4335,3947,5491,4500,7236,3846,3355
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",1331,2010,2476,2189,2108,2050,1091,899,463,1005,,230641,230692,241457,232961,242379,316447,328582,285767,315530,396488,,211136,156238,162031,154022,140691,160935,182517,194763,194975,210703
853210,"Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power-handling ...""",0,16,2,5,6,0,1,0,1089,1002,,3313,3293,3185,3939,3669,3605,2905,2185,1481,1348,,6736,3995,3380,2974,4726,2745,5873,7851,9535,6054
252329,"Portland cement (excluding white, whether or not artificially coloured)",15224,3601,0,1112,3402,8344,15075,0,0,1002,,164297,188755,152156,146235,136441,100583,95341,99014,79038,72659,,35936,22064,20954,12112,13868,30345,48298,47555,34417,37770
490199,"Printed books, brochures and similar printed matter (excluding those in single sheets; dictionaries, ...",1186,1074,1101,1136,814,1608,2175,1560,723,1000,,73287,69833,71299,74929,78576,80029,92022,91144,81456,92336,,533864,432138,450689,406158,359205,343454,337313,322639,297445,338897
821300,"Scissors, tailors' shears and similar shears, and blades therefor, of base metal (excluding ...",909,912,975,578,431,743,860,790,831,999,,28016,30291,30823,28852,31396,30347,32106,34008,35814,40182,,10384,10219,10295,10725,10043,10784,12366,12232,13659,18230
90230,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",330,463,534,613,664,899,1279,1624,806,993,,16231,19169,19045,26600,25806,35438,44939,59495,43603,55274,,87158,91526,92728,83166,77705,83561,80390,84196,82569,87197
820150,"Secateurs and similar one-handed pruners and shears, incl. poultry shears, with working parts ...",1559,1566,1757,1808,1003,1499,1334,787,1136,992,,19416,19643,27619,23420,22235,27742,24255,25351,27791,39069,,5914,5364,5873,6255,5141,6110,6263,5626,6660,8900
151800,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...",302,225,157,250,439,321,120,83,177,992,,18983,19880,31126,34484,36016,46318,37269,34795,45614,52011,,6720,4811,5489,3733,3254,3717,3237,3075,4152,5074
852359,"Semiconductor media, unrecorded, for the recording of sound or of other phenomena (excluding ...",712,676,891,1006,806,999,1372,1022,646,989,,1978,1964,1498,1881,1439,4115,2027,1361,692,1721,,52231,49222,45016,51199,44335,51791,48346,36560,39657,33133
851679,"Electro-thermic appliances, for domestic use (excluding hairdressing appliances and hand dryers, ...",124,230,276,163,187,295,238,889,1043,986,,28987,30908,30935,32273,25777,31434,36129,28681,22694,29116,,207669,204697,204108,197810,201027,191312,194633,204317,270793,268424
540742,"Woven fabrics of filament yarn containing >= 85% nylon or other polyamides by weight, incl. ...",1149,1166,1312,1663,1577,1562,1380,1214,1092,985,,371274,338193,377204,349065,326000,338872,354911,350735,269069,345475,,4200,3885,3474,3898,4064,3226,4621,3688,2789,3554
391732,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",1107,1049,971,543,405,628,893,854,957,979,,17007,20095,21161,20288,20693,24913,26848,31043,29633,38776,,65096,67204,63908,63660,58752,65798,74180,76693,76911,86185
930400,"Spring, air or gas guns and pistols, truncheons and other non-firearms (excluding swords, cutlasses, ...",70,138,241,139,124,123,176,107,72,975,,13646,18815,40394,43508,45167,48824,60698,69879,105432,159129,,5076,5921,6644,5343,5302,9367,6774,6684,7162,7826
740819,"Wire of refined copper, with a maximum cross-sectional dimension of <= 6 mm",310,202,263,70,6522,105,164,329,700,972,,233308,213968,339466,271728,210818,239027,210278,130772,129966,201697,,1220,3471,6019,14980,20436,6556,3093,5902,3441,5014
842531,Winches and capstans powered by electric motor,1596,963,1270,1041,1043,940,808,562,727,963,,23391,20411,20908,19318,18092,20876,19750,24240,21647,24107,,41088,38727,41299,36627,24745,30840,37033,33893,31959,43924
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",2334,2659,3128,1639,668,581,672,589,480,961,,31178,32391,41469,52278,66694,77851,87593,75082,65106,85163,,348908,304014,275719,231905,223706,191986,167917,151404,132040,187067
851890,"Parts of microphones, loudspeakers, headphones and earphones, earphones, audio-frequency electric ...",719,884,895,844,415,566,598,593,975,959,,161152,158512,152700,148389,146593,158099,142983,131454,121372,148695,,12788,13798,14557,15425,16303,14489,15537,19995,34036,34525
290512,"Propan-1-ol """"propyl alcohol"""" and propan-2-ol """"isopropyl alcohol""""""""",1601,1412,1805,1133,1167,1186,825,551,1565,957,,106457,104545,107897,70570,62301,93075,106306,76381,105937,127615,,7536,6508,7059,5912,3609,5560,6031,5334,10181,6757
846221,"Bending, folding, straightening or flattening machines, incl. presses, numerically controlled, ...",1276,2000,1473,975,702,874,181,693,412,954,,62294,55442,68761,55410,60944,60553,68743,58057,41121,50651,,28859,23365,25286,19033,21480,25151,29315,30532,29900,44546
392590,"Building elements for the manufacture of floors, walls, partition walls, ceilings, roofs, etc., ...",1897,1448,2241,2429,2282,1874,1676,1521,922,953,,17239,17001,15913,13788,12370,13373,12686,12606,14413,18756,,38432,47886,55324,62341,68889,71395,74733,72803,76564,96608
350610,"Products suitable for use as glues or adhesives put up for retail sale as glues or adhesives, ...",402,561,528,707,680,890,815,823,998,949,,43595,44829,54035,58569,54042,64075,60407,59392,58516,65339,,27262,30224,29541,31439,30788,33622,46147,39305,34683,39782
940370,"Furniture of plastics (excluding medical, dental, surgical or veterinary, and seats)",933,856,1101,950,1077,1486,1439,993,747,949,,32512,32439,37482,26762,22640,23028,23089,22176,28305,31682,,71138,69640,72207,66444,53258,58914,65022,56581,57990,74592
580632,"Narrow woven fabrics of man-made fibres, with a width of <= 30 cm, n.e.s.",1902,1503,1589,829,1245,969,1054,968,818,945,,170060,179265,182219,176138,170132,171306,173196,174899,154000,196427,,14700,13975,13446,13380,11460,11011,11540,11508,10691,13040
853610,Fuses for a voltage <= 1.000 V,606,475,459,502,463,445,588,446,531,940,,38844,38610,45260,42659,42942,47325,52085,50447,59446,81175,,8810,7661,9536,8774,8210,8388,8645,8820,8505,11332
820210,"Handsaws, with working parts of base metal (excluding power-operated saws)",1010,907,1079,963,906,738,683,567,650,940,,11966,12108,13145,12979,12893,14352,15707,14867,14940,17721,,8039,7784,8039,7092,6394,6784,6721,5777,6357,7697
845891,"Lathes, incl. turning centres, for removing metal, numerically controlled (excluding horizontal ...",1175,1182,132,1020,156,420,2839,1782,1662,939,,353012,271423,264640,233574,161293,206403,214513,196364,147612,175057,,7355,1932,1021,2569,681,3088,6342,3386,3556,6401
400811,"Plates, sheets and strip of cellular rubber",676,556,604,505,593,846,1079,749,607,936,,4347,3732,3053,3738,4466,4493,3912,4108,3111,3936,,12025,10716,9283,11013,11384,10932,10873,11501,11132,10491
330749,"Preparations for perfuming or deodorising rooms, incl. odoriferous preparations used during ...",1018,898,683,577,557,767,594,1514,887,936,,34065,38801,32748,31292,28252,25108,27032,22770,22280,23291,,46084,48222,47142,46849,44156,44976,48486,48827,55370,63218
820160,"Hedge shears, two-handed pruning shears and similar two-handed shears, with working parts of ...",2701,2307,2473,2946,1493,1491,1199,723,612,928,,25316,30128,34619,32219,31891,31454,31541,36000,34071,41976,,6398,5952,6210,6858,4999,5428,5517,4769,4785,5964
850431,Transformers having a power handling capacity <= 1 kVA (excluding liquid dielectric transformers),1159,785,670,631,491,547,698,630,807,922,,38258,38598,36240,38388,39077,41892,44751,39656,35367,47771,,42523,31882,28680,27939,28291,22672,32128,28402,22973,31279
852341,"Optical media for the recording of sound or of other phenomena, unrecorded (excluding goods ...",14205,7870,6105,4505,4341,2767,2269,1542,1180,917,,0,52119,627072,489746,395846,323754,292231,226905,169821,168693,,31276,20377,11764,7307,6487,4386,3919,2518,2233,1388
920600,"Percussion musical instruments, e.g. drums, xylophones, cymbals, castanets, maracas",1092,1137,1003,873,881,926,925,1106,742,914,,29810,24758,23145,25895,27275,25182,26805,25868,20519,24685,,11414,12050,10313,10815,10388,9780,8842,10117,9807,12547
821193,"Knives having other than fixed blades, incl. pruning knives, of base metal (excluding razors)",824,649,742,734,717,638,679,727,750,911,,7800,10226,9554,11704,10462,11169,10403,13032,18351,22312,,6837,6734,7878,8149,8990,8373,8704,8818,9674,11767
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",276,238,153,162,273,325,473,533,599,907,,6148,7888,8279,9438,13367,11382,9969,8783,10734,12038,,34801,38655,41392,43494,44305,59625,69328,83329,82532,78045
291440,Ketone-alcohols and ketone-aldehydes,378,856,1005,783,176,170,142,67,220,902,,5025,4885,7171,9341,5361,4890,7253,5074,6204,11333,,3797,4174,3809,4067,4216,4622,5664,5528,5279,6212
401320,"Inner tubes, of rubber, of a kind used for bicycles",906,1127,990,821,654,478,614,646,870,900,,30701,27442,29495,24024,21419,17960,17374,17868,21526,25530,,3866,4397,4240,3992,3577,3188,3510,3296,4000,4312
902129,Dental fittings (excl. artificial teeth),636,805,673,1132,1088,1249,1534,1000,628,896,,4508,6945,8576,6704,7607,12462,11034,9007,7562,9909,,44733,49653,51639,52389,61114,61131,58905,66005,63549,62977
732010,"Leaf-springs and leaves therefor, of iron or steel (excluding clock and watch springs and shock ...",0,1,0,5,9,3,1,348,495,895,,5749,5963,6519,5152,4699,4799,4616,3965,4816,6175,,31342,26647,29494,23177,24825,27424,34173,31736,32185,47739
731010,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material, ...",512,613,683,711,680,644,825,802,782,890,,17626,14538,15690,12074,6575,13244,10398,8534,7865,5974,,24644,24252,21793,20142,20494,28320,24486,26958,20331,30733
920590,Wind musical instruments (excluding brass-wind instruments),497,615,781,683,850,591,375,729,403,887,,14116,13734,14259,13191,13540,12866,13827,14862,11438,10773,,11219,12219,12043,12288,10833,10798,10259,11672,9349,13172
731450,"Expanded metal, of iron or steel",1427,1029,389,231,883,789,880,754,795,885,,5769,4737,3559,3107,1922,1279,1270,1149,1199,1444,,2314,1914,1793,1288,2024,2251,2166,1936,1743,2224
392630,"Fittings for furniture, coachwork and the like, of plastics (excluding building components ...",736,574,683,682,770,773,908,918,904,879,,38186,37693,31703,26405,24234,25307,23324,22616,24081,29237,,14471,15110,14910,15493,15125,16974,18291,17330,16940,19121
846593,"Grinding, sanding or polishing machines for working wood, cork, bone, hard rubber, hard plastics ...",942,892,640,868,787,950,946,736,865,874,,57834,56061,54146,49434,49972,63750,71785,58122,52343,61943,,5348,3797,4793,5018,6780,7417,8261,6845,6544,7429
210410,Soups and broths and preparations therefor,353,331,317,347,241,182,249,313,655,872,,13739,14090,13519,14124,14279,13935,14939,16265,18557,22251,,60074,62788,58606,49873,46885,50345,55859,56899,57349,56211
732020,"Helical springs, of iron or steel (excluding flat spiral springs, clock and watch springs, ...",385,629,542,444,556,679,904,892,670,867,,6080,6550,6561,5451,7417,6132,7194,7763,9703,11847,,17809,16444,15060,13144,13244,15173,16677,16914,17101,21550
820820,"Knives and cutting blades, of base metal, for machines or for mechanical appliances, for w ...",454,510,561,510,374,137,372,348,320,867,,9258,11536,11539,10992,11500,12360,13884,13347,13498,18283,,4661,4413,4658,4557,3865,3690,5237,3817,4107,5383
821192,"Knives with fixed blades of base metal (excluding straw knives, machetes, knives and cutting ...",365,379,412,631,446,410,457,452,435,865,,20648,20972,17704,18400,16482,16191,16753,19930,17797,29573,,17280,16915,18739,18926,18572,20291,20798,18129,29984,41381
640690,"Parts of footwear; removable in-soles, heel cushions and similar articles; gaiters, leggings ...",890,794,688,421,732,638,731,596,577,863,,0,9223,111324,106848,91118,96675,92025,86039,73943,115190,,12664,13453,14181,15180,16251,16480,15303,20023,17314,22356
845290,"Furniture, bases and covers for sewing machines and parts thereof; other parts of sewing machines",979,802,491,755,666,520,1233,964,899,862,,144958,157423,163275,144094,127662,144258,151744,126583,134153,174204,,3632,3213,2920,3058,2978,2488,3003,2815,2838,3424
920999,"Parts and accessories for musical instruments """"e.g. mechanisms for musical boxes, cards, ...""",1167,1655,940,1035,630,623,618,765,749,858,,86212,79895,74664,68794,62334,64012,69566,65224,53274,61599,,7519,8603,6737,6630,5894,5838,5700,6748,5932,6395
970110,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",519,281,633,1620,1386,243,22,16,5,858,,4515,4098,5206,7351,6519,7122,6188,5986,10060,17159,,44280,56562,57750,69193,61105,68582,65473,76751,51898,65383
846620,Work holders for machine tools,763,609,458,298,434,570,693,515,711,851,,60440,52910,61906,60569,62002,89172,90967,68515,71589,96255,,5462,6140,4693,4922,4629,4310,5746,5366,6822,7028
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,9289,9917,7232,4703,2924,2067,1479,1373,779,848,,0,14474,149779,153379,176128,160068,175354,173577,150487,145481,,428981,361505,268472,206779,147314,104855,109963,68937,67140,71041
903040,"Instruments and apparatus for measuring or checking electrical quantities, specifically for ...",764,795,1609,1568,1211,1887,1971,1043,1380,841,,39461,40729,46038,34488,42491,47984,43549,77980,155363,193563,,51758,41094,34727,35777,37079,39973,46031,39856,31387,34645
999999,Commodities not elsewhere specified,5087,599,0,0,298051,0,0,50,0,837,,1514400,1538009,1602895,1664909,1644035,1760967,1743687,1770906,1878010,2040990,,5954906,4754792,6393275,5498171,1962649,11296198,4467961,3187917,1689736,3441906
847290,"Office machines, n.e.s.",1129,860,752,1368,861,1729,1009,855,934,834,,106170,90100,82656,70028,69221,75263,67031,58029,51107,58216,,91197,93716,115495,110305,82872,95177,62914,45201,51765,49686
321519,"Printing ink, whether or not concentrated or solid (excluding black ink)",959,631,997,876,1297,1011,991,885,799,834,,112249,104375,105883,103804,104017,102232,103274,96069,87098,97213,,135750,126053,126696,138953,177127,188124,176524,166025,147039,176905
842131,Intake air filters for internal combustion engines,576,537,478,582,463,466,550,508,646,833,,12987,12480,12171,11342,10957,11128,10126,9258,8764,11395,,70839,72200,73736,69564,65770,71591,83817,85668,89179,96670
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",155,39,404,654,848,836,834,745,1045,830,,34166,34330,24709,23560,23489,23921,25555,24578,26594,26188,,66878,78302,88893,77372,76637,54757,56617,53422,54887,56012
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",647,596,523,610,412,299,497,410,774,815,,36752,29651,28715,30278,29581,34903,40783,42330,45686,52503,,189057,206072,205000,180775,144935,147345,159292,142213,139532,183501
392051,"Plates, sheets, film, foil and strip, of non-cellular poly""""methyl methacrylate"""", not reinforced, ...""",3443,2109,1177,1591,1305,2123,2766,1729,1007,814,,286389,255628,280357,221553,210482,197250,303474,201006,154524,145857,,41385,36949,38821,39538,39543,42391,43692,35843,39321,42779
850140,"AC motors, single-phase, of an output > 37,5 W",997,1201,1413,1029,877,1227,912,529,675,811,,43774,53556,57545,53019,51361,52272,56142,48819,57612,78291,,49582,57044,56223,54208,52755,57230,59402,51253,52934,59986
51191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, ...",491,545,311,579,973,1534,389,713,413,789,,2364,2486,275,324,162,84,629,1313,646,740,,21600,28284,23542,15682,15588,18663,18180,19743,18987,20659
950890,"Roundabouts, swings, shooting galleries and other fairground amusements; travelling theatres ...",13,4,31,4,16,97,3118,22,5,789,,12760,5438,17023,15451,24832,12073,16183,30631,44338,12590,,21476,43373,12791,18491,20167,28921,19058,20815,18540,36922
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these ...,955,628,621,639,976,706,780,922,2120,785,,136428,131987,151316,144573,130358,157159,162471,159672,149729,191845,,38278,27738,21353,23254,20804,21626,21719,26511,22916,32630
590691,"Knitted or crocheted textile fabrics, rubberised, n.e.s.",1098,871,725,702,627,684,578,604,500,784,,31692,38303,45650,49237,51783,43527,39488,37415,33017,44930,,1799,1466,1319,1315,1117,1161,1105,1418,1155,1958
853321,Fixed electrical resistors for a power handling capacity <= 20 W (excluding heating resistors),300,476,352,286,454,438,745,448,460,783,,232790,228993,238580,246940,301556,346598,482874,362643,493008,677041,,2064,1826,2164,2238,2243,3231,3140,3792,2540,5176
871690,"Parts of trailers and semi-trailers and other vehicles not mechanically propelled, n.e.s.",2962,2774,1628,1172,2127,2454,3313,1257,415,773,,36523,33373,32732,33510,29506,29664,32939,39327,38215,44877,,217369,227573,251065,195534,205558,233432,257901,234638,227115,367325
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",1615,1938,1366,641,1200,987,992,580,435,765,,63497,47874,54390,40508,38742,30366,24046,16946,12533,18738,,247100,273708,278681,262064,277225,267974,282184,296969,264085,336808
730723,Butt welding tube or pipe fittings of stainless steel (excluding cast products),2794,1814,1823,1441,1138,1178,1807,1298,1007,765,,10580,10397,8682,6426,5639,5477,7245,8883,4623,5036,,20349,8517,9794,9466,8943,8617,12449,10424,12066,15495
846792,"Parts of pneumatic tools for working in the hand, n.e.s.",570,506,448,571,517,531,801,441,512,759,,62002,69567,76896,74452,74251,88900,89709,87529,83998,113921,,8056,7522,6959,6295,5718,5241,5931,5588,5815,6055
940520,"Electric table, desk, bedside or floor-standing lamps",420,422,199,327,59,113,65,81,441,758,,11219,9208,18995,33266,36733,29014,16083,15897,11496,12134,,50976,48960,54979,57480,51811,50130,48894,47605,49780,66592
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",260,267,460,515,524,427,778,848,638,756,,20713,22073,25352,25682,25846,28173,29848,30129,27013,34603,,50602,54329,55476,59829,55628,72020,68399,62028,67623,77860
850650,Lithium cells and batteries (excluding spent),704,717,545,493,530,895,1318,662,1190,755,,17041,16082,12591,12076,11188,11937,12199,12201,15666,12845,,20543,22028,24781,24383,18822,20759,21700,27405,26657,32031
442199,"Articles of wood, n.e.s.",0,0,0,0,0,746,757,575,592,754,,0,0,0,0,0,25086,28675,26436,19778,23134,,0,0,0,0,0,74375,78334,72267,79733,102740
321210,Stamping foils of a kind used in the printing of book bindings or hatband leather,917,1376,1198,905,1414,1223,1275,894,1063,754,,83901,90513,88568,74475,82959,94186,105665,103512,105535,122537,,5137,5595,5103,5223,12215,5942,16766,5524,5930,5290
847730,Blow-moulding machines for working rubber or plastics,2428,1678,1822,3673,594,1225,1643,759,441,753,,97389,111614,85636,93367,86894,77884,93489,84035,77965,95705,,15608,28868,9826,21968,11149,7820,12097,8089,13387,4102
847990,"Parts of machines and mechanical appliances, n.e.s.",848,652,1276,869,695,1005,1002,766,603,752,,199867,188875,209453,204281,197936,241580,276531,235419,191170,259594,,185349,170875,196473,176920,134282,142512,179080,181031,148300,183888
722100,"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils",2008,1375,1799,809,400,18,1485,783,194,751,,305098,244888,278891,292705,274164,372028,376517,299591,263824,345881,,2784,2658,2668,1934,880,1374,1959,1916,2050,3119
940429,"Mattresses, fitted with springs or stuffed or internally filled with any material (excluding ...",120,79,62,46,22,56,13,203,491,748,,6397,5454,7196,8687,9320,8115,7933,13072,13457,21988,,57548,79763,83834,84772,81496,93984,108501,118746,138324,138204
851230,Electrical sound signalling equipment for cycles or motor vehicles,569,416,344,317,308,346,639,627,538,747,,53829,54128,48341,32015,24351,25980,26427,28797,29555,33549,,9498,8592,7898,6263,5597,5089,4978,5789,4207,5430
848110,Pressure-reducing valves,191,199,182,583,363,399,515,599,565,742,,5645,6383,5633,7408,6454,7470,13098,11718,12127,20455,,32348,33079,41978,48116,38816,33656,36016,34819,32057,34704
732490,"Sanitary ware, incl. parts thereof (excluding cans, boxes and similar containers of heading ...",1845,2792,1375,1486,1369,1706,2388,1140,1032,736,,99567,99784,104254,98299,98037,102341,100596,94108,97012,105867,,24123,25586,25838,30423,29148,30297,33945,32462,31950,37651
330410,Lip make-up preparations,1776,1999,2036,2058,2465,2197,1393,951,758,736,,34920,31028,37430,41758,46302,44875,48125,49009,34832,39329,,45185,48435,52796,60426,69587,80830,76991,76891,57379,65157
481820,"Handkerchiefs, cleansing or facial tissues and towels, of paper pulp, paper, cellulose wadding ...",1658,1725,875,775,665,651,614,638,831,734,,27051,28838,34661,30115,26900,27703,28980,24965,27495,27193,,80811,85209,79967,80404,82525,86278,92268,87220,99065,93202
291533,N-Butyl acetate,998,331,282,225,247,178,274,198,199,733,,12515,12344,10720,8204,5318,5485,6899,6291,5248,10627,,4415,4336,3376,2753,2013,2229,2590,1753,1394,3662
290250,Styrene,193,163,301,747,849,1018,765,830,400,729,,487781,844053,860255,517667,516834,299671,683486,384721,316712,416289,,26970,35420,28620,22900,15401,21066,23043,17222,10242,23052
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",433,271,732,420,405,633,535,429,441,729,,113810,118349,123959,148375,141814,150064,192312,140370,204185,219169,,59060,55301,47457,42482,37635,43191,57842,46576,45255,53215
841990,"Parts of machinery, plant and laboratory equipment, whether or not electrically heated, for ...",219,191,304,346,314,279,359,383,406,727,,58404,51210,47036,50162,47143,53366,62338,51846,45208,84160,,70376,124271,162301,142406,61761,78046,64610,76516,66441,85222
481190,"Paper, paperboard, cellulose wadding and webs of soft cellulose, coated, impregnated, covered, ...",468,727,1139,2440,754,543,670,401,429,726,,39765,35475,37354,34315,28417,34728,38046,36921,32562,41961,,158861,152183,154003,103060,79178,76025,102369,81852,84059,84532
