Product code,Product label,India's imports from Singapore-Value in 2012,India's imports from Singapore-Value in 2013,India's imports from Singapore-Value in 2014,India's imports from Singapore-Value in 2015,India's imports from Singapore-Value in 2016,India's imports from Singapore-Value in 2017,India's imports from Singapore-Value in 2018,India's imports from Singapore-Value in 2019,India's imports from Singapore-Value in 2020,India's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
292620,"1-Cyanoguanidine """"dicyandiamide""""""""",131,1,0,0,0,0,0,0,0,338,,11,38,18,0,5,12,7,2,1,45,,65414,46302,45265,44190,43185,49340,73926,58509,68404,112958
290711,"Phenol """"hydroxybenzene"""" and its salts""""",950,12370,46374,12825,20433,19901,18158,5783,2225,337,,126802,83276,177231,94488,110157,116824,115859,95166,73476,120591,,240926,269994,340480,236807,245272,264596,352522,167747,109688,266304
290729,"Polyphenols and phenol-alcohols (excluding resorcinol and hydroquinone """"quinol"""" and their ...""",28,0,1,0,1,0,1357,984,835,337,,842,1637,1760,1168,345,354,391,735,794,1370,,10522,10826,13736,18187,21087,21330,34457,40953,25782,21832
293626,"Vitamin B12 and its derivatives, used primarily as vitamins",46,0,0,0,0,0,201,139,152,335,,4547,3496,3142,3618,4309,5432,3394,2098,1473,1610,,18115,17106,24117,29198,32543,45472,56353,44949,38198,38931
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",805,2213,2095,5703,0,256,1059,191,109,335,,64304,569655,285958,191242,140250,69219,161680,520518,500928,478699,,156591,183333,183203,193242,230542,273430,298180,267489,254101,252172
848049,"Moulds for metal or metal carbides (excluding moulds of graphite or other carbons, ceramic ...",137,89,157,48,57,45,0,0,8,334,,23356,16982,17488,11828,11667,13594,14205,15277,11316,14945,,47183,39262,38406,37183,36551,32071,45204,52232,41169,42947
80280,"Fresh or dried areca nuts, whether or not shelled or peeled",0,0,0,137,0,0,0,0,0,331,,27183,18998,18938,17448,12862,13186,12344,23252,30415,28463,,0,13154,85512,132445,49991,50329,57186,38427,75453,67742
711029,Palladium in semi-manufactured forms,22,30,36,23,10,0,0,0,0,330,,614,1016,1711,1328,34458,150,6381,27084,94898,43442,,2492,14990,42515,37758,17612,22242,44305,74673,209653,207963
844859,"Parts and accessories of machines of heading 8447, n.e.s.",235,280,144,333,215,132,363,268,325,330,,6324,4346,3913,3687,3722,4628,3504,4858,2417,2677,,28685,23339,20558,27951,20858,18405,24137,23750,21519,33871
291619,"Unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids ...",784,14,12,8,8,0,125,182,205,329,,587,467,484,688,968,1321,1650,1264,1551,2259,,15816,17615,18452,22563,26616,29473,34122,57838,38101,74588
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",48,67,39,19,104,128,702,1455,661,329,,81553,80533,100336,96003,106229,102946,113416,111218,94567,173222,,6506,6042,5889,6283,6233,8977,11695,11106,7196,13764
252310,Cement clinkers,14,0,0,0,0,0,47,50,141,328,,661,1794,821,169,995,483,51,132,177,125,,36619,8104,3191,10621,15348,26106,42446,54530,46559,62912
481190,"Paper, paperboard, cellulose wadding and webs of soft cellulose, coated, impregnated, covered, ...",344,927,51,110,495,445,808,748,687,324,,65988,32480,9068,9083,10103,15810,25980,18901,12349,13646,,126168,123476,135553,148950,151839,157950,187623,173230,125874,172504
960329,"Shaving brushes, hair brushes, nail brushes, eyelash brushes and other brushes for use on the ...",26,5,6,7,25,3,66,33,305,323,,393,668,2606,4050,5585,3910,4002,3457,1762,5262,,3094,3990,4395,4875,6067,7595,8688,8438,8553,10713
401032,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",40,146,23,10,6,14,58,170,187,320,,1809,1801,3273,3289,3562,5290,6692,5577,5011,7228,,2688,6500,3960,3413,2021,3397,4299,3516,3684,5457
381600,"Refractory cements, mortars, concretes and similar compositions, incl. dolomite ramming mix ...",224,66,30,84,14,36,591,226,273,320,,2321,3877,1742,2024,2247,1843,1882,1851,2712,1839,,116442,108786,112517,101197,104164,121556,138518,127393,95230,140731
290960,"Alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides, ketone peroxides and their ...",50,0,0,0,0,13,343,171,28,319,,2757,2641,4454,4158,5171,5909,6061,6850,9208,10668,,14093,15654,16608,15292,16921,24608,33840,37044,32953,43301
130232,"Mucilages and thickeners, derived from locust beans, locust bean seeds or guar seeds, whether ...",83,9,12,0,0,0,277,847,135,319,,10150,11460,5747,2912,1544,722,543,561,391,559,,6661,7874,5692,7462,7139,5166,7856,11480,7512,6054
550951,"Yarn containing predominantly, but < 85% polyester staple fibres by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,319,,0,0,48,43,15,0,765,556,0,0,,26702,49695,61578,39441,8275,31129,40592,31213,35947,36276
852849,"Cathode-ray tube monitors, not incorporating television reception apparatus (excluding of a ...",315,280,1022,369,150,422,1531,1095,148,318,,1161,752,1262,1309,446,603,1540,2055,1576,10501,,4333,4900,3319,2326,2063,4217,4460,3723,4740,2058
732620,"Articles of iron or steel wire, n.e.s.",921,784,982,497,157,350,739,512,824,317,,18615,22584,38751,20983,20956,13902,20335,33341,28852,38383,,44304,31521,41985,44772,29923,26670,27224,24996,12707,19805
292141,Aniline and its salts (excluding inorganic or organic compounds of mercury),703,220,0,0,0,0,0,0,0,315,,3,79,9,0,1,0,2,29,5,4,,32408,76232,95423,69762,69425,105193,167312,104035,76711,167160
850730,Nickel-cadmium accumulators (excluding spent),226,188,162,196,6,23,188,681,581,314,,8978,9327,8877,9464,12826,14123,15678,21760,16594,20025,,36367,21355,5927,5676,3072,2336,2588,5135,2988,6198
440719,"Coniferous wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,0,0,0,0,313,,0,0,0,0,0,0,908,182,133,352,,0,0,0,0,0,9865,6476,7639,9597,16403
591132,"Textile fabrics and felts, endless or fitted with linking devices, of a kind used in papermaking ...",16,19,0,0,10,9,304,188,116,309,,6433,11263,25487,29611,25676,27502,21959,20832,17564,18853,,9414,9478,10903,8889,11360,11226,13312,13629,8884,11904
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",561,44,36,1002,18,10,128,263,246,309,,26662,15286,14916,19789,23204,18005,18523,22883,35290,41097,,168780,148166,163021,175318,233468,218191,252660,214972,218990,196216
720521,"Powders, of alloy steel (excluding powders of ferro-alloys and radioactive iron powders "" ...""",3,43,367,9,145,192,415,432,125,308,,399,475,1207,505,747,1075,3747,5763,6647,9592,,8692,8646,9832,9052,5995,6170,10512,9679,6865,12534
810210,Molybdenum powders,0,34,221,0,124,154,299,296,216,307,,2,58,338,427,386,423,522,436,416,576,,1412,1331,1288,1166,1058,1042,1287,1269,706,1543
320619,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,443,2324,674,279,33,64,1141,933,249,307,,25169,19998,15577,12685,13156,11204,12734,11594,9625,10613,,66779,127431,182191,171604,78472,61517,57345,41903,33531,39013
320910,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",237,52,262,247,276,336,270,245,292,305,,40778,39594,35316,35763,36027,31441,29476,25120,27416,33633,,10178,11889,12748,12571,14538,16295,16822,15581,15119,22553
901490,"Parts and accessories for compasses and other navigational instruments and appliances, n.e.s.",221,100,30,4,1,62,345,517,357,304,,48590,66864,76100,82399,49940,57783,38500,50046,29614,35168,,4043,3689,4339,5325,7628,4763,6815,7570,4798,6128
722830,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn ...",228,394,374,13,10,0,119,1327,648,304,,59147,72238,74929,54513,72911,63516,66960,34813,9722,9996,,106083,130819,280457,202698,161013,150689,198291,175419,109047,161184
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,223,0,200,78,148,148,9,4,72,300,,1470061,934277,1343731,1881182,2521896,4086520,3714930,4119830,5614371,9161510,,25445,16370,8465,8217,160550,23072,20789,17535,32836,30631
847529,Machines for manufacturing or hot working glass or glassware (excl. machines for making optical ...,836,24,73,294,534,17,10187,6,17,300,,2055,8781,1791,2127,7569,4422,12194,6891,7393,7145,,41570,37866,9137,23532,23488,48473,41321,41044,38232,42337
330790,"Depilatories and other perfumery, toilet or cosmetic preparations, n.e.s.",9,35,52,84,1,134,403,447,255,299,,68278,102055,186216,82478,84199,87200,99250,103625,107120,112384,,7872,9954,7879,8178,6409,6204,10163,9229,9129,11768
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",121,316,178,212,232,23,66,104,128,299,,32096,32361,35852,51965,49533,40901,32330,35361,30361,33004,,10136,13498,18121,18626,21019,22555,30053,38261,26242,33167
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",647,2,133,98,186,175,2576,1195,254,294,,124127,110263,122522,116541,111262,118743,100436,107370,98628,90505,,214330,194150,199235,186889,196180,204538,210751,195959,74185,88833
440810,"Sheets for veneering, incl. those obtained by slicing laminated wood, for coniferous plywood ...",9,1,3,0,1,0,311,291,62,292,,1199,820,2442,872,1184,1216,979,590,441,571,,10478,10004,11448,19259,26738,22558,16311,18020,16435,28437
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,174,60,48,21,20,42,225,407,291,291,,52904,16174,16041,13496,14705,15412,16787,25491,15458,20156,,7038,8318,11460,13526,12711,13834,14431,12374,11520,21093
810411,"Unwrought magnesium, containing >= 99,8% by weight of magnesium",140,0,0,0,0,0,0,57,38,291,,0,0,2,1,1,0,70,120,6,19,,29934,29060,29323,27487,30199,36786,40581,40748,31540,58968
710610,"Powder of silver, incl. silver plated with gold or platinum",0,0,0,240,0,0,861,226,205,291,,260,3298,15095,50291,95565,208959,146585,34814,20910,5858,,5194,366,159,70428,9928,1310,2232,450,1664,4304
852110,"Magnetic tape-type video recording or reproducing apparatus, whether or not incorporating a ...",1626,382,300,526,314,175,123,207,80,289,,6271,6085,6162,5033,1923,2019,1261,608,627,954,,15737,13950,11951,10861,10379,11828,4201,2266,1422,1700
820600,"Sets of two or more tools of heading 8202 to 8205, put up in sets for retail sale",45,48,15,32,27,9,283,322,164,289,,24544,21597,27507,33287,44881,20734,6437,6651,4614,6936,,5489,7483,4218,3476,4643,4529,7886,6796,3178,4714
950632,Golf balls,1,80,91,1,4,105,373,358,158,288,,2230,2420,2600,2184,2536,2292,1864,1904,1995,3042,,896,798,869,836,946,1004,1490,1810,1075,1493
711041,"Iridium, osmium and ruthenium, unwrought or in powder form",98,0,0,0,0,0,0,943,481,287,,729,568,41,29,0,10,145,0,0,0,,626,755,1955,3523,1172,1573,2248,2922,5526,8167
220890,"Ethyl alcohol of an alcoholic strength of < 80% vol, not denatured; spirits and other spirituous ...",63,167,474,744,1497,1095,611,462,218,287,,44426,75498,67175,58128,59641,53731,74040,89964,87744,114578,,68219,72617,79219,80407,79596,74204,82257,83098,53188,72086
290549,"Tri- and other polyhydric acyclic alcohols (excluding 2-ethyl-2-""""hydroxymethyl"""" propane-1,3-diol ...""",317,91,53,1,2,24,397,536,512,284,,992,450,259,384,184,178,366,299,210,598,,15535,13626,11990,10440,9095,10874,12166,11208,11765,9365
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,0,45,45,59,283,,0,0,0,0,0,0,70127,328867,377613,471317,,0,0,0,0,0,117,354,207,95,999
350400,"Peptones and their derivatives; other albuminous substances and their derivatives, n.e.s.; ...",108,49,12,8,41,22,188,97,267,282,,2691,8102,8944,7542,3682,3636,4569,12332,12779,17661,,22021,21651,23753,26530,25055,25157,34318,34483,40018,57645
860799,"Parts of rolling stock of heading 8603, 8604, 8605 or 8606, n.e.s.",153,61,78,206,446,2001,359,92,991,282,,1515,1579,1057,582,1688,1993,2811,3000,4756,430,,129534,50569,66244,136373,100616,129026,120520,90348,74260,72474
390450,"Vinylidene chloride polymers, in primary forms",95,36,2,0,0,2,102,155,108,282,,513,31,16,1027,717,429,84,12,8,0,,11202,15443,17908,15340,15007,16993,21688,18338,23188,26410
291713,"Azelaic acid, sebacic acid, their salts and esters",0,0,0,0,0,0,0,0,222,280,,7,194,188,28,197,172,126,270,247,483,,1143,890,860,3238,1938,1815,1963,2099,1728,3347
290219,"Cyclanes, cyclenes and cycloterpenes (excluding cyclohexane)",634,325,689,124,12,8,220,646,241,275,,35018,15827,11739,1961,1293,2986,8596,3544,859,1953,,69028,70571,76435,69830,61773,84400,133230,110855,75878,127376
262030,"Slag, ash and residues containing mainly copper",32,49,0,36,0,0,0,52,57,274,,16527,4410,10224,2997,5065,3592,2205,1558,0,0,,6081,22558,6512,5420,8623,6155,6198,3245,3277,7615
902490,Parts and accessories for machines and appliances for testing the mechanical properties of ...,241,70,252,259,160,181,300,290,316,273,,10157,9097,6312,6035,5195,5519,5841,5909,5896,9016,,11021,9285,10664,9359,9013,9771,15017,10909,11119,12429
761290,"Casks, drums, cans, boxes and similar containers, incl. rigid tubular containers, of aluminium, ...",278,815,585,103,91,57,138,94,234,272,,32803,28722,24634,18223,22020,28743,26307,23871,17454,20584,,25609,31022,25878,25696,27426,28737,29978,26430,22594,19582
852729,"Radio-broadcast receivers not capable of operating without an external source of power, of ...",565,5,8,58,7,2,219,101,217,272,,11172,9612,6012,2718,3309,1705,1144,1139,251,3580,,63311,57819,73748,62848,59444,66328,64031,41091,21307,20657
482110,"Paper or paperboard labels of all kinds, printed",1037,559,275,261,114,153,174,167,143,271,,69035,55069,55697,48582,55222,61365,31815,33033,31984,45338,,74925,49548,49589,49997,51982,54027,59086,64756,50575,63651
392590,"Building elements for the manufacture of floors, walls, partition walls, ceilings, roofs, etc., ...",133,29,13,23,84,10,96,317,51,271,,15484,28870,9168,8760,9835,8334,8094,9640,14621,23992,,31684,39846,49817,56753,58408,69779,67762,60143,47223,56481
400599,"Compounded, unvulcanised rubber in primary forms (excluding solutions and dispersions, those ...",153,0,8,1,19,0,789,217,13,271,,6748,30101,17431,22527,19194,22011,15953,15711,9846,8473,,16707,18154,19504,15893,18324,16151,19853,17374,13135,19382
731821,"Spring washers and other lock washers, of iron or steel",74,41,15,34,56,15,114,230,208,269,,1706,2571,2085,2157,2048,2775,4450,3118,2587,3221,,9065,7845,7352,6445,7283,9774,12390,9494,7803,11384
721210,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",1120,1097,1130,798,840,1135,1195,986,1059,264,,983,5774,2854,2054,1778,1935,2051,2956,2094,1172,,25725,18324,12640,7633,2303,5290,5524,5151,4068,2003
491110,"Trade advertising material, commercial catalogues and the like",363,1201,307,773,245,565,357,170,74,264,,45669,65764,123113,188195,148779,85410,52965,24247,13195,13900,,12969,12881,13624,14470,11727,15155,14745,13750,10409,13636
851310,Portable electrical lamps designed to function by their own source of energy,315,143,77,52,7,15,250,166,84,264,,6511,6433,5982,4106,3745,4553,4674,7618,4457,11265,,49551,42526,44677,39571,35978,37430,46352,41908,28176,33093
871493,Hubs and free-wheel sprocket-wheels for cycles (excluding for motorcycles and coaster braking ...,2,16,4,4,2,0,278,175,155,263,,131934,120580,159542,148875,107047,110779,109879,117638,113374,166398,,1950,2794,1990,1647,2318,2441,2825,2164,2538,5220
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",292,85,29,1,12,6,400,351,16,259,,59405,53316,35683,33562,35302,33586,41264,35351,30949,34933,,16200,13450,15274,14015,16830,18139,20826,21631,17453,27793
380510,"Gum, wood or sulphate turpentine oils",1,0,0,0,0,0,0,1249,1699,259,,1276,2566,3503,908,422,259,364,347,294,1110,,14527,23560,43969,57291,60353,87734,169591,194693,125451,200539
320710,"Prepared pigments, prepared opacifiers, prepared colours and similar preparations of a kind ...",517,324,3,2,83,30,173,96,38,259,,7159,2650,3131,3425,3842,3412,2610,2255,956,679,,57625,66369,39203,36912,38376,60648,108528,99482,89418,116535
392329,"Sacks and bags, incl. cones, of plastics (excluding those of polymers of ethylene)",75,33,46,48,68,56,311,1738,806,257,,35215,38696,48182,65270,42537,32760,35549,36666,35607,48327,,20290,24861,29331,27693,24201,29697,36166,34126,33305,37881
292219,"Amino-alcohols, their ethers and esters; salts thereof (other than those containing > one ...""",213,82,159,1,114,260,529,549,546,256,,13800,16145,11218,9512,8714,9069,8829,8217,6451,6362,,38205,42789,48204,47749,65106,81481,99409,96399,121528,141476
846299,"Presses, not hydraulic, for working metal (excluding forging, bending, folding, straightening ...",1398,367,295,408,1234,75,422,1396,389,255,,30078,19027,16803,7948,6717,13028,12624,3961,2254,3501,,288326,153528,90576,82759,93607,133139,214497,176250,82029,87077
320420,"Synthetic organic products of a kind used as fluorescent brightening agents, whether or not ...",31,5,129,204,279,185,117,110,281,253,,9671,7356,7587,8111,6976,8499,13433,13353,10130,11755,,15755,17161,16199,19642,17706,18605,25938,26640,20868,23784
300212,Antisera and other blood fractions,0,0,0,0,0,250,234,117,119,253,,0,0,0,0,0,0,94629,71312,92372,79078,,0,0,0,0,0,77662,118828,160220,416172,190085
850980,"Electromechanical domestic appliances, with self-contained electric motor (excluding vacuum ...",12,13,45,3,7,0,169,669,419,252,,6192,9423,13114,11439,17433,14968,13858,21942,21235,29325,,5331,5889,5693,4522,5990,5606,7834,6661,9241,10372
190531,Sweet biscuits,369,514,608,532,470,375,478,278,161,250,,53824,55625,58326,58971,50306,42829,45405,44262,40859,46558,,3255,3614,5406,5749,5504,6123,9707,8534,7626,9866
293211,Tetrahydrofuran,262,328,281,0,21,60,547,649,910,250,,683,663,311,391,424,165,81,146,111,358,,61942,48228,57228,50098,38404,56382,47730,56566,52967,86628
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",20,57,1,21,14,1,156,101,134,249,,76773,64794,94185,119082,126452,130413,133730,102581,69699,88837,,5794,6834,8882,10329,11741,13944,20141,28372,26055,46184
293890,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other ...""",974,1,0,0,10,0,226,209,163,249,,17460,21844,30016,4095,12298,38038,38460,3367,4397,3790,,38802,40150,45743,38308,43885,46551,62443,66041,68582,56026
730640,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excluding ...",58,7,4,15,33,8,823,1914,5,249,,26258,19775,17225,11790,16402,13163,19260,22977,18149,14521,,25831,26371,34126,54727,56396,76086,142036,122036,63476,91275
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,0,0,0,0,248,,0,0,0,0,0,0,473,1551,2308,1389,,0,0,0,0,0,1545,17244,5133,2291,15072
330491,"Make-up or skin care powders, incl. baby powders, whether or not compressed (excluding medicaments)",83,68,197,122,64,26,288,613,292,248,,79250,71795,68746,81057,79560,76618,102526,129148,154409,204351,,5023,7227,7951,10264,9190,10633,15286,21644,8802,15648
260600,Aluminium ores and concentrates,57,0,0,0,0,0,796,1527,469,248,,474,214,110,12,46,31,49,20,3,16,,31425,47666,130540,105704,99273,120217,162633,158945,177768,251656
330119,"Essential oils of citrus fruit, whether or not terpeneless, incl. concretes and absolutes (excluding ...",63,7,31,33,4,18,102,300,175,245,,1468,1220,1935,1896,2142,2717,4161,2774,2240,2838,,4092,3870,4817,5920,4399,3974,4568,4704,6216,3951
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",0,0,0,0,0,0,580,386,125,243,,8113,9903,8165,9332,9918,5370,6628,3124,3996,4277,,0,958,687,2359,2603,10822,25024,21818,18113,25674
760711,"Aluminium foil, not backed, rolled but not further worked, of a thickness of <= 0,2 mm (excluding ...",138,7,0,1,49,0,8,0,4,243,,5521,6467,5884,14483,10280,4399,9511,9644,16710,12327,,101236,111723,152082,163366,186891,212473,289803,287795,212168,245185
590390,"Textile fabrics impregnated, coated, covered or laminated with plastics other than poly""""vinyl ...""",543,178,132,406,112,174,396,423,171,242,,20529,16398,15477,13348,13122,14130,13917,11054,5728,8533,,140381,162388,155681,159147,162206,167128,157498,137568,75844,109564
846711,"Tools for working in the hand, pneumatic, rotary type, incl. combined rotary-percussion",96,103,102,93,40,83,194,212,55,242,,11527,4466,4503,4588,8948,6313,9180,8238,7845,10519,,24030,19853,19811,18907,34319,18190,23634,31436,30573,41022
901814,Scintigraphic apparatus,32,0,0,0,0,0,89,397,130,241,,2535,1306,1386,1538,2363,3187,2685,3951,3677,3798,,1865,1065,1482,2467,5239,4776,8396,6778,2552,4601
760511,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of > 7 mm (excluding ...",1,1,0,0,1,0,624,988,0,239,,1918,912,895,1407,587,30,47,22,10,13,,665,3924,60584,50509,36357,85708,197630,145373,71604,60974
830242,"Base metal mountings, fittings and similar articles suitable for furniture (excluding locks ...",43,136,83,131,82,146,226,550,347,239,,19572,20012,16713,15614,12934,14307,21449,15675,14338,24545,,28670,33230,38225,43504,45072,59515,98368,105471,78243,159076
320300,"Colouring matter of vegetable or animal origin, incl. dye extracts (excluding animal black), ...",3,0,0,0,0,0,349,849,1352,239,,4767,4671,6857,8053,2715,2383,2581,2290,2492,2768,,11156,7677,7875,7735,9212,14923,12468,15431,13490,15137
320412,"Synthetic organic acid dyes, whether or not metallised, and synthetic organic mordant dyes; ...",16,33,77,52,38,29,166,347,151,239,,45878,47342,69772,84621,70342,73355,69554,56828,37636,30992,,7286,9013,10797,9501,7204,8033,10223,7161,5982,7858
292119,"Acyclic monoamines and their derivatives; salts thereof (excluding methylamine, dimethylamine, ...",193,75,50,70,176,170,212,167,124,239,,2454,3931,6020,2002,1695,1552,1040,641,1443,2859,,25664,31918,35379,31679,30589,31053,45316,39338,50651,68617
290514,"Butanols (excluding butan-1-ol """"n-butyl alcohol"""")""""",286,38,368,0,9,57,871,681,255,239,,6547,1820,1421,1407,469,683,859,801,1282,7382,,63400,66832,69267,55467,48482,49314,80703,62264,54947,104386
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,529,1057,51,0,4,74,106,12,69,239,,502578,645538,485507,557515,775636,990014,1183661,1274661,1264816,1978671,,1385,1873,1143,518,2406,7509,3653,2918,2559,3335
250700,"Kaolin and other kaolinic clays, whether or not calcined",27,12,0,10,1,0,3,12,42,238,,235,253,384,343,438,356,262,205,221,162,,19548,24490,25428,29735,36385,39324,47563,56926,54344,69591
340391,Textile lubricant preparations and preparations of a kind used for the oil or grease treatment ...,62,52,97,110,34,19,59,69,200,238,,5467,5656,3785,3638,4352,4212,3918,3141,3535,4133,,36424,49433,60147,51898,59359,69729,80120,63899,56342,80134
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,0,25,112,227,238,,0,0,0,0,0,0,605887,202018,475992,298545,,0,0,0,0,0,72716,116485,166438,170909,248818
846024,"Grinding machines for finishing metal, numerically controlled (excl. flat-surface, cylindrical ...",0,0,0,0,0,57,79,229,111,237,,0,0,0,0,0,0,1209,924,899,811,,0,0,0,0,0,4374,9706,23687,9436,13070
902300,"Instruments, apparatus and models designed for demonstrational purposes, e.g. in education ...",1397,833,706,903,365,181,519,318,209,236,,39275,35070,35721,26628,38239,24210,23408,16753,12215,28256,,29359,34911,41726,35712,38154,59745,55541,56169,34103,148400
700711,"Toughened """"tempered"""" safety glass, of size and shape suitable for incorporation in motor ...""",8,47,5,19,2,30,113,296,490,235,,897,567,855,988,663,662,807,670,435,527,,9225,9146,10257,14674,12287,13140,15231,13414,9845,11506
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",63,18,311,65,3,15,53,7,35,234,,3263,7460,3723,3387,2805,2644,3664,2331,1435,1751,,10725,12804,15671,20092,19974,27271,35792,48560,31566,47099
292390,Quaternary ammonium salts and hydroxides (excluding choline and its salts),67,60,40,88,174,240,354,96,490,233,,7451,22294,14272,14238,16844,23339,28168,25795,27022,28709,,11150,12348,15799,12948,13919,17123,23480,23796,23449,30066
611521,"Pantyhose and tights of synthetic fibres, knitted or crocheted, measuring per single yarn < ...",0,0,0,0,0,0,89,162,203,233,,1,14,9,22,28,71,194,192,286,214,,174,100,59,309,341,805,1895,1982,1218,1728
282300,Titanium oxides,717,113,196,211,162,0,200,147,251,231,,7131,6504,4126,1548,1792,947,555,474,638,265,,63551,53462,49323,44016,36125,37181,43497,44956,32601,43738
845951,"Milling machines for metals, knee-type, numerically controlled",302,129,29,30,702,83,82,830,471,231,,354,17,131,235,136,55,98,363,133,100,,39182,31594,23765,19548,21482,18499,18261,23747,14386,8933
481019,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres ...",407,432,185,48,48,267,4109,2400,90,230,,5197,2688,1440,1432,1462,1167,1515,2294,1378,1495,,147785,203830,260560,253781,310172,389886,338059,307777,132797,127771
845020,"Laundry-type washing machines, of a dry linen capacity > 10 kg",19,8,40,168,17,2,323,434,83,229,,7291,8709,7917,7133,5590,6271,6186,4861,4824,4706,,2405,2731,5020,6927,7850,8795,9989,17361,23206,19644
400932,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",35,22,10,5,6,1,202,303,356,228,,2887,4052,3479,2211,1887,2178,3973,4053,2747,3563,,5763,9300,10859,15832,13095,20084,21865,19933,15031,13848
284920,"Carbides of silicon, whether or not chemically defined",14,0,0,170,1,0,2,0,20,227,,2156,2179,4024,1292,1972,815,1700,426,260,129,,30698,27208,37787,34929,35073,38306,52153,41656,37482,56647
330730,Perfumed bath salts and other bath and shower preparations,328,449,611,576,365,408,8,574,334,226,,17599,12129,11127,17625,18744,21010,27385,36639,33510,11832,,10499,10034,7924,6364,8333,5016,2823,5983,2287,3007
852550,"Transmission apparatus for radio-broadcasting or television, not incorporating reception apparatus",618,198,3965,127,64,504,1181,776,287,226,,244853,159964,158216,79657,78066,103240,121677,84816,143985,143646,,16662,15489,40810,13334,20178,17007,12462,7227,32952,7284
282890,"Hypochlorites, chlorites and hypobromites (excluding calcium hypochlorites)",3,5,3,1,1,0,2,98,636,226,,664,820,670,501,361,722,837,1618,3407,3626,,3103,2923,4404,5455,5135,4844,10613,8784,9015,11622
852610,Radar apparatus,764,0,1,0,43,14,593,550,538,226,,70871,102334,127788,202972,303283,403738,380544,403987,309205,550805,,11609,28106,24313,26027,4634,11441,14723,30892,44848,55432
441112,"Medium density fibreboard """"MDF"""" of wood, of a thickness <=?5?mm""""",5,15,12,1,0,0,2,37,247,226,,613,906,543,750,239,272,82,53,30,14,,18226,21417,17696,19124,18246,23906,24695,23426,12262,11413
722860,"Bars and rods of alloy steel other than stainless, cold-formed or cold-finished and further ...",430,194,167,74,89,28,228,35,204,225,,17819,14928,15829,12531,11375,8244,7534,6920,5125,4909,,68689,55095,60939,47770,31185,26492,30631,26796,19512,27389
841520,"Air conditioning machines of a kind used for persons, in motor vehicles",97,191,3,152,158,238,493,271,86,225,,2334,3239,3349,2392,1065,2262,7430,6153,4912,2563,,22793,21467,21013,15700,16196,12440,14800,8213,9203,12945
120740,"Sesamum seeds, whether or not broken",0,539,108,0,0,0,0,235,0,225,,1235,3392,1937,1440,1068,815,876,1020,778,1218,,12879,122684,106168,29712,46714,43492,66941,196264,183904,31674
