Product code,Product label,"Korea, Republic of's imports from Singapore-Value in 2012","Korea, Republic of's imports from Singapore-Value in 2013","Korea, Republic of's imports from Singapore-Value in 2014","Korea, Republic of's imports from Singapore-Value in 2015","Korea, Republic of's imports from Singapore-Value in 2016","Korea, Republic of's imports from Singapore-Value in 2017","Korea, Republic of's imports from Singapore-Value in 2018","Korea, Republic of's imports from Singapore-Value in 2019","Korea, Republic of's imports from Singapore-Value in 2020","Korea, Republic of's imports from Singapore-Value in 2021",Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
560749,"Twine, cordage, ropes and cables of polyethylene or polypropylene, whether or not plaited or ...",3,0,0,34,1833,23,1,1,1,3,,5528,4251,4177,4024,5446,3925,2782,1938,5243,3767,,6546,7670,11099,10572,10897,11845,17677,19090,19384,23597
611300,"Garments, knitted or crocheted, rubberised or impregnated, coated or covered with plastics ...",0,0,0,0,0,0,0,1,0,3,,205960,3345,5004,2604,3951,4704,2695,1764,2070,3708,,4771,3289,4943,7835,10972,11145,12355,10637,11850,12467
590610,"Adhesive tape of rubberised textile fabrics, of a width of <= 20 cm (excluding that impregnated ...",2,0,0,0,1,0,0,4,7,3,,30672,26036,25090,21542,18275,18571,18823,12931,8296,11040,,1868,2236,2580,2160,2261,2703,2744,3310,2223,3088
340120,"Soap in the form of flakes, granules, powder, paste or in aqueous solution",39,0,73,18,0,0,0,0,1,3,,6737,6435,4344,6276,5123,6110,4858,8761,48976,50533,,33913,32270,37347,30328,30348,33349,26897,22994,21813,27997
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",0,0,0,0,0,0,0,1,2,3,,406115,409729,368029,295997,224780,201005,233014,225001,291162,240457,,46696,47569,54951,65888,73260,75771,84414,89190,90642,105292
291816,"Gluconic acid, its salts and esters",0,0,0,20,37,16,30,10,0,3,,311,544,815,556,352,382,738,279,236,219,,2689,3196,3634,3653,4391,5349,7181,7698,7441,9988
970500,"Collections and collector's pieces of zoological, botanical, mineralogical, anatomical, historical, ...",0,0,0,0,0,0,0,0,0,3,,602,1467,6826,3963,3956,2850,2454,2312,6794,19614,,1072,3445,9563,9256,7848,1739,6617,3599,2530,2314
540772,"Woven fabrics of yarn containing >= 85% synthetic filament by weight, incl. monofilament of ...",0,0,0,147,0,0,0,0,2,3,,4065,877,507,1270,557,208,121,64,2,358,,4543,4561,3233,4169,3671,3945,5802,5613,4506,12083
481490,"Wallpaper and similar wallcoverings of paper, and window transparencies of paper (excluding ...",0,0,0,2,0,0,0,30,0,3,,5909,6367,7799,5504,3744,2966,2717,2358,957,997,,845,577,460,895,724,850,1094,1146,848,1197
850421,"Liquid dielectric transformers, having a power handling capacity <= 650 kVA",38,10,17,11,0,64,3,0,2,3,,8504,12823,7741,5622,7187,5715,5713,3699,6501,7891,,5884,19275,18277,19790,10453,5469,4597,5457,5482,9000
846792,"Parts of pneumatic tools for working in the hand, n.e.s.",14,12,84,4,1,2,5,10,1,3,,52658,48475,53807,58974,57220,58957,53503,39385,41706,52600,,18967,24937,25894,20005,28826,20801,16274,14444,13154,15414
420500,Articles of leather or composition leather (excluding saddlery and harness bags; cases and ...,9,181,18,14,16,79,115,5,88,3,,65012,65863,41711,66241,94545,86412,84438,116788,64943,68190,,32019,32779,25104,18237,39801,49019,63842,70072,84791,102098
283429,Nitrates (excluding of potassium and of mercury),0,0,0,1,1,1,1,1,1,3,,90,475,213,335,192,183,463,333,398,497,,11524,10813,14254,14515,13384,14216,17263,15165,17246,23555
290950,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated ...",1,0,0,2,25,22,6,0,0,3,,8063,8025,7755,3342,3179,3893,4801,5605,5434,4615,,4743,5136,5730,5106,4654,5157,7010,7427,6986,7322
940520,"Electric table, desk, bedside or floor-standing lamps",16,3,0,0,3,6,2,0,14,3,,2685,2844,2412,2270,1882,3658,2865,3836,3023,2788,,12908,15800,18194,24643,23932,30232,31141,38581,57750,81260
740911,"Plates, sheets and strip, of refined copper, in coils, of a thickness of > 0,15 mm (excluding ...",266,140,43,148,16,5,4,2,0,3,,43981,30738,10740,9000,7607,14377,9859,8928,8023,19262,,32592,37506,25671,16217,14881,32257,31619,41010,40010,79402
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",500,1481,257,24,13,5,1,10,5,3,,100116,80444,74560,68417,69105,67331,59047,63689,61682,73162,,160493,170689,175273,186621,183739,202663,210163,223811,240142,259368
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",18,0,4,0,0,0,1,0,8,3,,28279,27714,28347,43514,94119,114359,70571,11355,10324,13007,,60320,87726,114479,94180,96655,102358,134757,133368,127361,143475
920510,Brass-wind instruments,0,0,0,0,0,0,2,6,0,3,,98,170,242,407,441,72,191,347,648,117,,4319,4735,4554,4391,4587,4500,4196,3606,2818,3323
960830,"Fountain pens, stylograph pens and other pens",6,5,4,1,6,0,3,40,16,3,,2638,4673,1975,2718,4647,10339,14861,14219,7706,8997,,7309,8851,10609,12566,14326,14502,15060,13115,9813,13875
482030,"Binders (other than book covers), folders and file covers, of paper or paperboard",3,3,9,5,9,5,4,5,1,3,,1937,1753,1445,564,538,640,385,388,204,221,,1079,1010,1073,847,811,815,1008,1072,970,1491
291712,"Adipic acid, its salts and esters",446,0,0,0,0,0,0,0,0,3,,11231,4725,431,1022,1156,262,410,396,557,306,,33797,52260,50904,41679,38520,55672,60259,45290,36820,59522
731821,"Spring washers and other lock washers, of iron or steel",2,22,14,1,2,3,1,4,11,3,,1706,2571,2085,2157,2048,2775,4450,3118,2587,3221,,7349,9451,10919,8982,8469,9953,10663,10673,11177,11211
761010,"Doors, windows and their frames and thresholds for door, of aluminium (excluding door furniture)",1,0,0,0,0,0,48,5,23,3,,6119,5322,7369,7313,5723,6067,9432,16054,21780,23822,,5844,4807,4332,8876,8903,11087,15180,22434,30043,46190
900659,Cameras for roll film of a width other than 35 mm or for film in the flat (excl. instant print ...,22,10,0,0,0,0,22,2,0,3,,62120,38673,71010,91387,53779,36589,37794,43558,37127,29555,,5647,6079,2516,2874,2686,1356,1376,3051,2864,17767
847090,"Accounting machines, postage-franking machines, ticket-issuing machines and similar machines, ...",0,0,0,1,1,3,4,2,4,3,,17241,8368,3501,5645,3448,2993,9384,15974,21799,10633,,585,1351,651,557,399,1158,892,1885,1881,1572
220210,"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...",0,1,1,1,2,1,5,3,2,3,,45702,50810,40331,35776,30045,15014,12178,11762,8095,12804,,28420,26836,27852,26234,27116,30503,33549,32061,29360,34245
960390,Mops and leather dusters; prepared knots and tufts for broom or brush making; squeegees of ...,0,0,1,0,1,0,0,11,3,3,,4534,4978,4155,8159,11820,6583,7941,5652,10537,6852,,14840,15014,15684,19461,23134,32662,32021,34765,40976,48644
841311,"Pumps fitted or designed to be fitted with a measuring device, for dispensing fuel or lubricants, ...",1,10,2,3,6,3,1,1,1,3,,25136,20323,11082,8982,7526,5331,5768,4700,5155,2746,,1296,2011,2348,3331,2776,3099,4395,3999,9226,8608
721710,"Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excluding ...",18,33,0,19,0,0,0,1,2,3,,28986,26683,25582,18510,24448,29496,27365,20673,16912,29198,,28758,34305,29480,21237,20385,22026,19688,19397,18350,32060
741533,"Screws, bolts, nuts and similar articles, threaded, of copper (other than screw hooks, ring- ...",0,0,0,1,0,0,6,1,1,3,,9633,10187,12158,9086,8718,8610,6769,3954,3919,6194,,1464,1593,1315,1058,1531,1773,1702,1719,2798,3789
750620,"Plates, sheets, strip and foil, of nickel alloys (excluding expanded plates, sheets or strip)",682,77,1,2,4,21,0,0,0,2,,18465,20610,7251,7992,11795,12622,41119,10936,18535,24338,,61613,65292,63037,66971,46346,46021,53728,63355,61407,72051
721590,"Bars or rods, of iron or non-alloy steel, cold-formed or cold-finished and further worked or ...",4,6,4,5,0,29,19,2,335,2,,29551,26359,23679,10472,9352,6641,11552,9740,4881,6928,,59738,89899,89812,99304,84923,85917,76829,59275,43104,78998
853223,"Fixed electrical capacitors, ceramic dielectric, single layer (excluding power capacitors)",11,7,0,0,1,0,4,0,0,2,,175009,167246,185291,62948,59016,66836,96627,64493,54658,47535,,26667,22460,24255,17668,16588,14201,14726,11092,10489,11087
271099,Waste oils containing mainly petroleum or bituminous minerals (excluding those containing polychlorinated ...,32,1,0,0,0,0,0,0,4,2,,26,51,0,0,4,11,22,312,179,191,,9957,11124,2337,2339,1632,1205,1309,1275,1253,1158
140490,Vegetable products n.e.s,0,0,0,0,0,0,0,0,0,2,,2263,2543,1515,878,942,624,728,519,3470,2004,,36232,42719,50400,73132,86830,70083,80761,91699,87848,87244
330690,"Preparations for oral or dental hygiene, incl. denture fixative pastes and powders (excluding ...""",0,0,0,0,0,0,0,0,3,2,,10438,8387,6692,7647,5309,4826,4229,4101,8833,7107,,11926,13284,19870,21068,26937,28069,31474,29562,36234,29782
851090,"Parts of electric shavers, hair clippers and hair-removing appliances, with self-contained ...",0,0,14,6,5,14,0,0,0,2,,2723,7535,16303,21017,24818,35748,17117,17620,30043,34875,,5486,5653,6513,7641,9581,9481,10087,8458,7998,9623
732599,"Cast articles of iron or steel, n.e.s. (excluding articles of non-malleable cast iron, and ...",35,121,10,12,4,25,0,3,0,2,,31973,39381,48500,41197,34220,28857,42793,68337,45958,38429,,144148,141869,126554,110531,92876,70863,73136,76439,63645,72959
830610,"Bells, gongs and the like, non-electric, of base metal (excluding musical instruments)",0,2,9,0,0,0,4,1,0,2,,666,458,555,691,603,1066,446,510,571,422,,323,451,621,717,883,1152,812,942,940,1327
630190,"Blankets and travelling rugs of textile materials (excluding of wool or fine animal hair, cotton ...",0,0,0,1,0,0,0,0,0,2,,1137,1584,2095,995,2534,3864,2374,1791,545,577,,4246,4078,9027,5576,3784,4026,3466,2799,2544,3024
620433,"Women's or girls' jackets and blazers of synthetic fibres (excluding knitted or crocheted, ...",0,0,15,11,7,0,8,15,1,2,,3628,6702,8944,2540,7471,5184,7130,8167,5592,6300,,89191,99513,111401,96661,93269,103559,120266,150708,154033,152848
293220,Lactones,115,0,6,2,0,2,2,2,5,2,,470749,466035,135406,19367,11952,17596,12832,8898,10365,7735,,27121,26365,29135,34930,55538,46378,117409,77488,72059,191285
290819,"Derivatives containing only halogen substituents and their salts, of phenols or phenol-alcohols ...",0,0,0,3,1,2,2,2,1,2,,7214,13097,11713,9689,8788,3454,3270,2405,4872,684,,103701,106677,105150,98066,107827,128711,119322,129074,110429,100500
291450,Ketone-phenols and ketones with other oxygen function,64,32,0,3,1,0,0,0,0,2,,4079,4096,4051,4242,3053,4479,6267,5630,3983,4204,,15177,16200,18868,16303,14050,15265,21843,24186,19820,20510
60390,"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable ...",0,0,0,0,0,0,0,0,0,2,,168,174,302,593,492,463,323,235,200,267,,1131,201,379,886,1623,3763,2954,2752,1685,1770
271020,Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations ...,0,6,51,63,57,35,62,41,19,2,,138,1570,3991,2383,330,42,35,7,48220,309,,487,26593,1724,1779,2157,4329,2197,2769,3027,4431
340510,"Polishes, creams and similar preparations, for footwear or leather, whether or not in the form ...",0,2,0,0,0,0,0,4,3,2,,3008,2327,2382,2091,686,836,507,525,457,579,,1247,1579,1799,1740,1991,2330,2217,2261,2316,2357
741121,"Tubes and pipes of copper-zinc base alloys """"brass""""""""",0,116,16,7,0,0,0,0,0,2,,675,864,490,429,455,657,440,455,294,439,,2054,4320,16008,4595,1764,1561,3920,2777,4013,4972
481190,"Paper, paperboard, cellulose wadding and webs of soft cellulose, coated, impregnated, covered, ...",292,19,0,5,3,12,95,0,0,2,,65988,32480,9068,9083,10103,15810,25980,18901,12349,13646,,37884,42590,50815,43493,47403,54677,63249,74441,54584,67627
611610,"Gloves, mittens and mitts, impregnated, coated, covered or laminated with plastics or rubber, ...",20,20,36,0,1,35,12,1,0,2,,1474,1913,1613,1882,1750,1655,1828,2866,15935,4184,,24311,29457,31447,33019,39090,48416,52730,63644,70689,90448
630240,"Table linen, knitted or crocheted",0,0,0,0,0,2,0,0,0,2,,357,51,34,44,37,297,8,92,11,22,,142,118,305,345,458,461,390,370,237,421
846229,"Bending, folding, straightening or flattening machines for flat products (excl. numerically ...",46,6,0,0,0,12,7,0,0,2,,3917,10691,4951,5963,3726,3960,7943,9025,8084,7709,,25171,32698,23536,27611,25521,20820,25126,17419,19471,19646
820412,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, adjustable ...",14,3,49,16,8,38,5,2,1,2,,3297,4030,3926,3691,4459,3505,3171,3226,2599,3510,,17730,14974,19786,14903,12629,15146,14181,13709,12464,16422
960329,"Shaving brushes, hair brushes, nail brushes, eyelash brushes and other brushes for use on the ...",10,2,0,1,16,3,2,2,2,2,,393,668,2606,4050,5585,3910,4002,3457,1762,5262,,14092,15935,21653,22063,28805,31028,35116,33943,30900,36379
920810,Musical boxes,0,0,0,0,0,0,0,0,0,2,,201,113,142,42,61,139,32,64,72,81,,349,241,195,864,827,947,4788,1570,1529,4548
920210,Violins and other string instruments,0,0,0,0,0,0,0,0,3,2,,499,477,1619,1377,440,200,131,124,227,280,,5237,5430,4935,5089,6687,5836,5567,6380,5215,6698
900691,"Parts and accessories for photographic cameras, n.e.s.",7,2,41,63,11,4,1,22,22,2,,128587,192816,380358,260871,204927,134094,97020,97896,78072,94093,,31019,41657,19214,20464,19455,14550,12958,10762,6999,6508
853521,"Automatic circuit breakers for a voltage > 1.000 V but < 72,5 kV",0,0,0,8,1,0,22,6,0,2,,6982,7454,7780,6448,6886,8828,8333,12300,5861,7135,,22144,15830,31044,21972,19896,15844,17324,14472,15921,15241
290613,Sterols and inositols,0,0,0,0,0,0,0,0,0,2,,8407,5322,9708,9077,6143,5610,2072,1553,93,134,,1898,2399,2020,1879,1797,1856,2862,2757,5378,5929
291241,"Vanillin """"4-hydroxy-3-methoxybenzaldehyde""""""""",0,15,30,30,14,29,0,2,13,2,,2353,2903,1881,1775,3002,3056,2333,2295,2669,3194,,1238,1332,1375,1231,1530,1522,1687,1627,1862,2645
60319,"Fresh cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes (excluding ...",0,0,0,0,0,0,0,0,0,2,,2864,1608,1077,1144,1013,606,607,883,694,620,,3854,5602,6474,7917,9897,11684,12638,12230,10975,14924
240220,"Cigarettes, containing tobacco",7868,5853,5277,2799,2030,63,42,20,2,2,,759410,800408,919222,1163746,1147763,1046181,1055353,1061119,607482,619477,,25892,18573,15904,34568,27540,55927,83662,56228,75282,62388
760511,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of > 7 mm (excluding ...",0,3,7,0,0,0,2,2,0,2,,1918,912,895,1407,587,30,47,22,10,13,,2345,1696,1356,1418,2706,21817,24384,10754,12186,18903
481820,"Handkerchiefs, cleansing or facial tissues and towels, of paper pulp, paper, cellulose wadding ...",0,0,2,0,1,0,0,1,1,2,,6325,7161,5915,4427,6800,16579,7481,3987,15303,4685,,6562,7756,10888,9532,8342,10682,12268,13542,15544,19385
481830,"Tablecloths and serviettes of paper pulp, paper, cellulose wadding or webs of cellulose fibres",0,0,0,0,0,0,0,0,0,2,,912,1535,1294,1419,1541,1253,1382,1285,831,917,,437,649,1001,811,926,1352,1265,1016,871,792
400821,"Plates, sheets and strip, of non-cellular rubber",18,16,0,30,24,38,2,6,6,2,,3443,4536,3314,3598,3391,2006,4808,4837,5984,3664,,21261,21418,23832,24569,25633,29008,30355,34928,35353,35004
640219,Sports footwear with outer soles and uppers of rubber or plastics (excluding waterproof footwear ...,2,0,0,14,0,0,0,0,0,2,,8288,5129,5923,4694,5810,9882,11186,16357,13249,13034,,45583,46815,45089,46354,59491,68625,77016,79363,67612,59893
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",6,19,7,41,20,8,90,41,12,2,,32096,32361,35852,51965,49533,40901,32330,35361,30361,33004,,151024,188817,222800,237908,306468,348937,353728,385706,314154,325637
291090,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered ring, and their ...""",0,0,0,0,0,1,1,10,1,2,,2927,7207,4832,2339,3620,2939,2445,3995,2788,3454,,3237,2646,3152,4429,7514,9011,10407,8291,15443,20514
400911,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), not reinforced or otherwise ...",27,21,22,10,92,0,0,7,7,2,,9215,9935,9696,8026,4350,4866,4995,5927,3856,4588,,32996,20196,15782,12778,12670,10132,11682,11700,10753,11118
481710,Envelopes of paper or paperboard (excluding letter cards),38,39,14,15,12,48,7,25,14,2,,6028,7383,7169,5938,5291,5647,7304,7795,8969,8073,,757,1083,1312,1311,1384,1136,1490,1393,1544,2129
670419,"False beards, eyebrows and eyelashes, switches and the like, of synthetic textile materials ...",0,4,0,1,0,0,0,0,0,2,,80,231,178,191,1232,386,310,407,194,443,,21015,23386,25025,31008,34021,36235,37334,30832,23439,25321
640420,Footwear with outer soles of leather or composition leather and uppers of textile materials ...,5,18,2,0,1,4,6,20,15,2,,4557,7364,7760,15781,6449,5000,5892,5829,4282,5204,,10146,12537,14567,14377,21165,30300,42593,43499,37432,38577
730459,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other ...""",4043,3885,1614,860,69,1,85,36,0,2,,10860,32774,43838,35605,13995,14188,29471,12528,21287,11671,,314341,433940,255464,214930,138692,104075,105616,133748,87468,129231
701932,"Thin sheets """"voiles"""" of irregularly laminated glass fibres""""",0,0,2,0,0,0,1,0,0,2,,890,798,541,388,949,554,843,569,1430,1926,,10005,9640,7812,6431,10500,12105,8706,8716,8805,6979
750522,Wire of nickel alloys (excluding electrically insulated products),14,21,5,5,1,2,11,1,0,2,,13211,33549,6905,4208,4889,7153,22482,23009,16750,10853,,39375,40602,35237,34342,21152,22908,28601,41668,27574,21715
850790,"Plates, separators and other parts of electric accumulators, n.e.s.",10,35,28,182,8,18,0,178,2,2,,44029,35623,38958,25058,28843,33194,31159,26191,10317,10431,,94226,59492,65215,81286,74066,91082,191783,194737,226671,162139
848291,"Balls, needles and rollers for bearings (excluding steel balls of heading 7326)",46,85,54,54,128,92,193,28,8,2,,8864,9998,7263,7558,8286,9051,10496,5195,4926,5050,,91579,106797,118663,125906,120359,127123,129629,129521,120520,150716
841320,Hand pumps for liquids (excluding those of subheading 8413.11 and 8413.19),1,6,5,13,0,2,3,1,7,2,,10753,12384,8385,5493,8560,19082,20701,20483,13854,11881,,3422,3316,3404,3771,5049,5712,9051,32739,58021,29269
842542,"Jacks and hoists, hydraulic (excluding built-in jacking systems used in garages)",16,19,0,40,12,0,0,128,0,2,,6633,8204,8733,16322,11718,19295,10876,6885,3543,4759,,15979,10590,29398,10759,10358,7986,7575,7709,9237,10306
220429,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",1,0,0,1,2,0,2,1,2,2,,1383,2352,2292,1838,2003,2418,1230,259,200,164,,4462,6542,5184,5199,5704,5420,5358,4155,5222,8841
30539,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, ...",0,0,0,0,0,0,0,0,0,2,,194,144,84,14,231,128,199,146,271,1990,,1164,0,173,443,239,48,68,12,377,374
392530,"Shutters, blinds, incl. Venetian blinds, and similar articles and parts thereof, of plastics ...",0,0,5,16,0,0,1,0,0,2,,1540,1166,1510,888,1271,1809,1353,2085,1192,1652,,3748,2146,2314,1514,2424,2352,2766,2760,2799,3448
392119,"Plates, sheets, film, foil and strip, of cellular plastic, unworked or merely surface-worked ...",93,141,26,54,88,300,19,13,12,2,,24401,13520,11042,8208,6685,9831,8966,7124,6732,10317,,267403,295240,259866,242420,249797,286131,361420,450436,577494,664328
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excluding ...",2,0,12,115,182,129,136,35,2,2,,2949,6054,6790,9117,10094,7158,4394,4601,6106,8120,,94811,99581,105079,98230,95294,113413,133329,126419,128778,193755
852692,Radio remote control apparatus,233,273,144,7,5,4,26,528,3,2,,12840,30142,30473,19022,7551,10799,10881,16615,14189,13821,,22694,25459,42976,53080,42090,53989,62964,93657,73605,75478
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",7,5,1,23,13,12,18,3,5,2,,13076,13594,12777,13272,13673,15448,21551,15203,20155,26237,,8821,7951,9318,7310,11710,21225,21470,22228,30216,32460
850433,Transformers having a power handling capacity > 16 kVA but <= 500 kVA (excluding liquid dielectric ...,0,71,106,2,0,1,0,0,2,2,,4960,3637,6920,5388,10053,12704,11816,16057,14689,8212,,38583,28642,28884,20030,16022,9275,10873,11268,10544,9384
620610,"Women's or girls' blouses, shirts and shirt-blouses of silk or silk waste (excluding knitted ...",0,0,0,0,0,0,1,0,0,2,,2986,2063,1126,1036,1476,1093,1319,1972,3352,4241,,11364,12056,13093,13657,10847,12658,13329,11574,10875,12465
620640,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excluding knitted or ...",0,2,1,313,34,21,17,14,5,2,,7303,16219,14775,6361,8277,14992,12217,9857,5986,6851,,68703,95325,112365,112973,131748,164231,173003,161124,129293,125268
610442,"Women's or girls' dresses of cotton, knitted or crocheted (excluding petticoats)",0,0,0,0,0,0,0,0,1,2,,7270,5272,5051,4309,5774,6957,6078,16234,11631,15886,,16765,18652,20846,21992,20747,21287,27533,31799,30299,35507
610462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton, knitted ...",0,0,0,0,0,32,1,0,0,2,,41909,55634,33933,53578,32326,48672,67797,57734,49024,66347,,37561,48705,51053,47560,46824,47825,55602,62006,56301,82087
820510,"Hand-operated drilling, threading or tapping hand tools",0,1,0,0,2,1,1,0,1,2,,10281,6180,8693,9125,4859,6535,4562,2226,1544,1457,,6499,4157,3335,5606,4286,3491,4987,2835,2695,2602
920790,"Accordions and musical instruments without keyboards, the sound of which is produced, or must ...",0,5,5,0,2,0,0,1,1,2,,1689,2562,1862,2258,2952,2257,2437,2779,2347,3446,,21658,17854,12644,11855,12358,11865,13219,14349,17008,20205
940120,Seats for motor vehicles,0,0,0,0,0,0,0,0,0,2,,735,1267,1000,773,531,889,1562,1627,1730,1861,,4007,4801,4024,14913,18967,8379,12551,16731,19762,36713
910820,"Watch movements, complete and assembled, with automatic winding",0,0,0,0,0,0,0,0,7,2,,1753,1498,702,548,3406,708,428,690,287,644,,30,101,768,1578,1314,1503,1820,2084,1242,1938
294190,"Antibiotics (excluding penicillins and their derivatives with a penicillanic acid structure, ...",0,10,23,0,0,8,0,0,0,2,,13868,12930,27902,66013,81508,191756,304193,203403,184659,118264,,179971,162474,156785,147741,164132,158318,168145,157650,166327,126345
291615,"Oleic, linoleic or linolenic acids, their salts and esters (excluding inorganic or organic ...",0,0,0,0,22,0,14,1,4,2,,1455,1087,976,675,674,361,961,1386,1516,1933,,2637,2662,2968,2329,2259,2630,3157,2751,2471,3580
283319,Sodium sulphates (excluding disodium),0,0,0,1,2,2,2,2,1,2,,418,399,460,269,289,603,372,444,345,738,,736,689,1282,2075,1877,1360,1549,1635,1309,1483
400941,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",81,46,35,33,15,36,0,68,2,2,,4420,1952,2016,2147,1325,1079,3057,6401,6677,8051,,11497,19356,12977,10038,11828,11496,10138,7256,6851,6160
90111,Coffee (excluding roasted and decaffeinated),0,1,1,1,1,2,3,1,2,2,,16668,13469,13388,12994,17226,15252,27563,18761,15364,22821,,382461,314050,425782,433933,421151,486565,441824,426633,454170,543051
481720,"Letter cards, plain postcards and correspondence cards, of paper or paperboard (excluding those ...",7,0,7,1,5,15,5,3,3,2,,762,2632,1383,1084,757,669,1550,593,554,625,,496,579,427,1069,2614,994,1076,1269,1309,1733
844339,"Printers, copying machines and facsimile machines, whether or not combined (excluding those ...",20,137,28,28,39,32,49,25,1,2,,288503,261919,243868,182788,166474,208764,162682,145259,106731,95008,,46458,47670,44661,40554,37344,38489,30578,24135,18154,23870
761691,"Cloth, grill, netting and fencing, of aluminium wire (excluding cloth of metal fibres for clothing, ...",0,0,0,0,0,0,0,0,0,2,,259,195,468,718,725,216,115,780,1093,135,,190,461,401,350,242,447,464,706,985,1253
820810,"Knives and cutting blades, of base metal, for machines or for mechanical appliances, for m ...",2,3,2,1,0,4,0,0,0,2,,1588,1480,5233,5411,4098,5813,6357,3845,4993,5184,,6912,7251,7360,4748,4736,3980,5070,6131,4624,5117
842612,Mobile lifting frames on tyres and straddle carriers,0,0,0,0,0,0,0,0,0,2,,18105,7525,24485,7620,3537,2350,1968,1675,1989,1658,,24,484,272,28,1842,60,10,13,6230,17075
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",71,4,1,4,6,1,10,0,0,2,,182568,177484,190011,169667,149296,113117,103922,96769,73305,73324,,143600,161395,180633,167216,239053,331293,395326,314830,226354,316966
760691,"Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm (other than square ...",59,43,8,4,0,0,1,0,0,2,,17980,19233,15324,7309,4443,3920,5519,3398,1505,1545,,35756,158030,37451,14725,4397,7492,7504,5093,4380,8822
821000,"Hand-operated mechanical devices, of base metal, weighing <= 10 kg, used in the preparation, ...",2,0,1,0,1,0,0,0,0,2,,660,811,1437,1467,698,1262,460,1180,388,849,,14685,8854,9487,9777,7517,8723,9885,10860,14374,17574
701337,Drinking glasses (excluding glasses of glass ceramics or of lead crystal and stemware),0,0,0,2,0,0,8,0,1,2,,775,1296,935,829,913,1644,1383,1328,1015,782,,15348,16511,18479,18323,18417,21273,25231,28406,30689,36336
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",3,3,1,0,1,2,4,1,0,2,,9824,12464,24247,33642,46603,44880,43151,49870,37677,45757,,270278,325512,314486,292335,282687,296105,318037,321851,261118,306068
640510,"Footwear with uppers of leather or composition leather (excluding with outer soles of rubber, ...",4,0,0,0,0,1,0,27,0,2,,18118,22438,19231,26896,36651,35024,48611,42192,39682,39792,,8383,10744,8139,4760,3568,6831,9485,7928,9885,10719
400690,"Rods, bars, tubes, profiles and other forms of unvulcanised rubber, incl. mixed rubber, and ...",1,2,26,0,0,62,2,0,0,2,,2686,1950,1626,1637,2144,2361,2740,2139,2233,1538,,3345,3008,3966,2890,3080,3030,3220,2389,2383,2556
581100,"Quilted textile products in the piece, composed of one or more layers of textile materials ...",0,0,0,0,0,0,0,0,1,2,,234,640,948,505,487,539,1018,1410,1432,2359,,1240,1421,3149,1918,1468,1527,1286,728,909,1248
580900,"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ...",0,0,1,0,0,0,4,1,0,1,,29,33,9,0,65,23,22,20,25,4,,78,127,107,203,365,268,172,305,197,291
