Product code,Product label,"Taipei, Chinese's imports from Viet Nam-Value in 2012","Taipei, Chinese's imports from Viet Nam-Value in 2013","Taipei, Chinese's imports from Viet Nam-Value in 2014","Taipei, Chinese's imports from Viet Nam-Value in 2015","Taipei, Chinese's imports from Viet Nam-Value in 2016","Taipei, Chinese's imports from Viet Nam-Value in 2017","Taipei, Chinese's imports from Viet Nam-Value in 2018","Taipei, Chinese's imports from Viet Nam-Value in 2019","Taipei, Chinese's imports from Viet Nam-Value in 2020","Taipei, Chinese's imports from Viet Nam-Value in 2021",Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
200949,"Pineapple juice, unfermented, Brix value > 20 at 20¡ÆC, whether or not containing added sugar ...",426,1161,871,1343,1124,1029,618,612,578,1049,,2652,2179,2779,3487,3272,1022,1157,550,900,3084,,832,1305,1073,1980,2608,1643,1155,1400,1211,1743
481141,"Self-adhesive paper and paperboard, surface-coloured, surface-decorated or printed, in rolls ...",2003,1259,1258,1111,1135,1352,1808,646,207,1043,,3220,4395,5105,4752,3163,4113,5367,5707,5824,8375,,14188,15959,19700,27169,30795,34349,33327,35747,40206,54185
761010,"Doors, windows and their frames and thresholds for door, of aluminium (excluding door furniture)",177,224,286,1193,725,1202,1041,1061,1028,1041,,3527,3713,3610,55285,61772,47193,38852,45873,47814,65037,,28274,17498,13567,13464,16225,11418,4369,5390,4637,4864
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",394,543,547,1438,1015,849,1334,454,1016,1039,,254313,323449,410055,385145,467446,460632,400160,422751,463728,376070,,23761,25406,31096,37930,29792,36793,40938,45518,51757,63036
830242,"Base metal mountings, fittings and similar articles suitable for furniture (excluding locks ...",98,138,122,90,96,146,328,412,1432,1036,,13965,14123,20312,21780,21819,25761,34041,38392,78000,69987,,24911,30875,35790,30154,28723,30531,34125,35745,46371,63972
280421,Argon,0,0,0,0,0,552,87,0,92,1035,,519,427,187,309,460,1793,1441,1306,16627,4553,,7765,7939,6573,5965,7729,11372,10379,10281,12655,9603
650699,"Headgear, whether or not lined or trimmed, n.e.s.",257,215,463,520,668,461,581,507,1963,1033,,4465,2578,2712,2755,4878,4441,14251,23479,37072,4949,,5191,5332,6560,7003,7337,7723,9829,10339,8894,10585
540419,Synthetic monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm (excluding ...,14,7,0,15,0,0,17,19,829,1027,,17,13,16,37,51,24,242,907,4974,11603,,5522,6351,5768,5001,4340,4333,5190,5907,5587,7364
611610,"Gloves, mittens and mitts, impregnated, coated, covered or laminated with plastics or rubber, ...",142,176,174,169,228,355,473,662,762,1027,,60173,60895,69203,75253,90017,104337,130860,161334,183113,198165,,1462,1819,2264,2793,3892,4318,5247,5769,7808,9575
680100,"Setts, curbstones and flagstones, of natural stone (excluding slate)",1502,1535,1490,1232,830,926,1213,967,1159,1011,,47359,55452,68442,65155,64765,64174,61836,47827,55012,74520,,5091,4972,4789,4013,3137,3492,4827,3510,2915,2705
854121,Transistors with a dissipation rate < 1 W (excluding photosensitive transistors),0,7,401,522,552,234,294,130,468,1009,,7,0,6,8,45,127,482,351,310,5469,,44529,33313,37583,49995,56902,56780,69163,62373,68266,92691
621030,"Garments of the type described in heading 6202, rubberised or impregnated, coated, covered ...",564,643,330,368,703,935,507,518,337,1006,,7880,10802,9197,8664,12168,20737,31192,34852,95661,62421,,1241,1262,1268,1285,1566,2613,1282,1171,960,1834
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",135,113,169,124,169,389,478,519,655,1006,,66908,88199,117584,151076,164064,182280,244778,401089,659403,1148407,,31726,30400,32876,41244,45557,47992,55528,67292,94185,124640
732393,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excluding ...",1220,1627,2683,1716,2033,1591,2294,1131,1177,1001,,62784,64215,82004,91188,112459,85227,148093,123159,94558,117444,,39725,45340,63975,61423,72747,93603,57836,51652,52285,77178
520612,"Single cotton yarn containing predominantly, but < 85% cotton by weight, of uncombed fibres ...""",0,175,0,212,104,914,364,1105,1451,991,,5689,5323,5724,15946,25631,45513,60254,53471,57868,91322,,485,861,460,243,191,1029,733,1219,1638,1143
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",0,8,0,0,0,23,0,169,1325,980,,156,111,67,27,507,37469,85534,89358,161840,145101,,22656,21618,15099,11879,9682,21512,13740,24476,25586,35449
848310,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",656,601,574,452,439,1045,1130,774,1084,978,,11661,11961,15729,13783,16938,23631,33535,56597,63019,43425,,62979,56044,57948,52725,51036,55526,53277,54330,55944,75560
611120,"Babies' garments and clothing accessories of cotton, knitted or crocheted (excluding hats)",447,535,803,1081,1895,1093,1164,1172,1227,970,,47202,84484,118594,111895,145883,190148,181899,192951,227491,335581,,6932,9211,12842,13956,17862,15755,16318,14093,13784,16722
854720,"Insulating fittings for electrical purposes, of plastics",45,58,368,748,852,870,893,827,897,970,,85,86,107,460,1401,9557,14353,23889,29816,72090,,16949,14350,15227,13303,15613,22439,21069,19914,23010,35948
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",10,0,289,329,615,990,1188,1438,870,968,,211,151,272,198,136,123,57,88,40,36777,,792653,744442,777600,664633,641569,686910,721163,809443,939699,1024035
740919,"Plates, sheets and strip, of refined copper, not in coils, of a thickness of > 0,15 mm (excluding ...",0,38,0,0,0,0,0,17,578,965,,140,106,96,16,377,125,571,466,282,992,,74877,82994,72317,60638,32808,37148,43120,36383,32899,73744
845210,Sewing machines of the household type,259,392,408,882,824,798,842,1268,1573,964,,67439,99967,185317,214827,234943,236343,284436,278848,362954,546895,,1814,2165,1957,2724,2694,2673,2717,2550,3186,2210
847350,"Parts and accessories equally suitable for use with two or more typewriters, word-processing ...",18,5,8,2,0,99,216,3624,559,954,,571,535,1477,1639,2505,2386,1915,2503,3927,16148,,61461,53482,58115,82315,337334,80456,82285,73664,43729,45234
721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",364,388,404,0,0,0,0,215,970,948,,2024,673,34,93,151,158,423,607,1033,5384,,9318,13496,9606,8077,7074,7220,11115,7686,9109,8798
283990,"Silicates, incl. commercial alkali metal silicates (excluding sodium silicates)",971,313,586,162,63,3,0,0,78,948,,104,267,333,38,70,671,420,564,352,1378,,3967,3288,3496,2729,2398,3294,2440,2296,2991,3207
630222,Printed bedlinen of man-made fibres (excluding knitted or crocheted),418,558,458,221,93,26,119,373,919,947,,3681,5618,5149,4606,5146,1237,1031,2911,3394,5429,,841,1094,1226,862,468,494,541,810,1544,1916
721810,"Steel, stainless, in ingots and other primary forms (excluding waste and scrap in ingot form, ...",0,344,182,581,288,228,333,68,334,944,,621,1133,1434,1204,1227,5102,5555,5201,10406,9404,,753,1518,1328,1470,1166,1067,1835,1598,3443,3262
210111,"Extracts, essences and concentrates, of coffee",536,1563,489,688,722,17681,1032,1141,1205,938,,128997,264770,203658,221767,289451,310165,353773,374156,388194,349829,,30319,32993,32558,33500,31468,52391,34807,34301,37892,38536
940370,"Furniture of plastics (excluding medical, dental, surgical or veterinary, and seats)",85,151,314,430,537,554,879,915,942,935,,7880,9889,13435,37504,21218,21999,14050,14787,18355,103595,,6060,7124,7219,7057,7769,8974,11545,13390,15670,17265
90961,"Juniper berries and seeds of anise, badian, caraway or fennel, neither crushed nor ground",0,0,34,95,165,207,538,491,466,931,,14385,12139,14714,14326,15157,24302,22336,42296,41905,86113,,0,75,1298,1909,2351,2075,2524,2653,2957,4014
850120,"Universal AC-DC motors of an output > 37,5 W",0,0,0,0,0,0,478,199,728,927,,53562,71934,84396,80025,83480,94808,98436,99811,108849,44325,,2533,3262,3056,2919,2518,3230,2541,5606,8171,9661
520299,"Cotton waste (excluding yarn waste, thread waste and garnetted stock)",4711,4215,2803,4585,1109,3377,3913,4575,272,922,,16712,20613,20583,25685,34407,47814,21662,15743,9899,5619,,43790,41831,24132,16333,16781,20808,29209,28197,18328,33473
300420,"Medicaments containing antibiotics, put up in measured doses """"incl. those in the form of ...""",20,114,93,409,548,682,532,661,659,916,,5265,5446,7898,7820,8336,10810,16869,18614,20676,8366,,92031,86333,101697,89519,79602,84508,94304,88494,102145,90932
871690,"Parts of trailers and semi-trailers and other vehicles not mechanically propelled, n.e.s.",764,734,866,872,866,867,933,827,731,914,,8753,9832,7499,7971,6164,4646,6604,7820,8110,68298,,21078,18897,18436,19687,17947,20664,21058,24964,25553,33669
71420,"Sweet potatoes, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",250,398,587,523,763,689,480,699,778,914,,12732,16307,19051,24374,61708,85699,62370,42039,61586,37465,,477,639,1069,1279,2018,1639,1424,1553,1561,1783
640219,Sports footwear with outer soles and uppers of rubber or plastics (excluding waterproof footwear ...,727,794,1454,1272,1136,1330,2462,2179,1020,905,,387327,308198,356454,413631,467186,452746,466081,479822,298185,358438,,3731,4383,5266,4613,4945,6299,6023,5632,3480,4470
390890,"Polyamides, in primary forms (excluding polyamides-6, -11, -12, -6,6, -6,9, -6,10 and -6,12)",4365,4551,4752,3405,2075,2070,1123,831,571,900,,950,438,559,1690,3624,2023,5785,2528,709,3226,,79467,79138,76412,56706,48420,60175,51037,40757,41313,66496
400110,"Natural rubber latex, whether or not prevulcanised",296,197,0,58,0,24,26,155,571,900,,109880,88966,84545,74900,78150,117578,117038,153557,204157,221357,,17474,14970,11643,9220,7977,8914,7347,6332,6512,8351
950710,Fishing rods,94,155,212,281,152,229,204,278,384,895,,12498,16813,22233,23853,26363,31430,33630,34037,40171,58862,,7499,7298,9266,9853,8806,7830,7904,8861,8402,9263
70511,Fresh or chilled cabbage lettuce,103,19,193,252,254,353,48,939,394,894,,15,54,0,110,53,157,403,134,23,902,,4932,5589,5633,6578,10771,11517,12731,14093,14187,15098
481320,Cigarette paper in rolls of a width of <= 5 cm,25,290,409,511,1207,638,722,831,842,892,,13782,18223,14500,15764,18019,20099,19715,24222,22714,13546,,2236,2205,2987,2131,3721,2504,2677,2139,2372,3117
611596,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",15,11,182,243,1084,1485,2564,1024,292,878,,15101,15383,20777,23261,28279,29822,48272,69348,75523,131890,,8856,8746,12191,14650,16550,17246,20730,17168,13844,11621
30389,"Frozen fish, n.e.s.",0,345,4673,4702,4321,4417,3500,2659,2176,877,,49461,61996,69731,71625,110609,101909,63982,75068,74330,74234,,0,3740,47936,48531,54678,49297,35709,55025,50300,33044
851680,Electric heating resistors (excluding those of agglomerated coal and graphite),32,47,192,164,118,170,121,123,356,876,,51486,67026,76361,76371,96993,124822,140678,168504,184996,274149,,30666,32266,32411,31376,39855,41944,42064,45505,59467,74752
730661,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron ...",651,1477,1325,0,0,0,1,0,1349,874,,73857,80124,94021,115493,188930,316125,463859,430667,331293,167646,,5627,9548,6907,7917,7643,8620,8431,9350,8144,8909
200931,"Single citrus fruit juice, unfermented, Brix value <= 20 at 20¡ÆC, whether or not containing ...",458,424,734,635,725,1349,660,787,698,866,,672,1108,1583,1529,3040,5701,6387,4126,2474,6981,,610,510,784,674,798,1427,753,1223,928,971
590320,"Textile fabrics impregnated, coated, covered or laminated with polyurethane (excluding wallcoverings ...",47,112,465,407,75,156,271,1270,375,864,,11217,12027,6716,21828,11335,18906,29221,40081,29590,79558,,11928,13042,13560,12098,11055,16008,13307,15733,14462,13220
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,1,17,27,15,139,728,1188,1318,1618,852,,10461,8765,13344,14775,20131,27455,48196,63680,86590,188616,,56942,52630,58996,58185,63594,80991,91310,110293,119927,139252
851810,Microphones and stands therefor (excluding cordless microphones with built-in transmitter),12,27,31,52,204,393,278,412,447,850,,10857,1815,5591,27273,33355,47332,41905,51085,53860,87249,,30296,42442,47496,29299,27538,27928,18844,19272,24699,29947
460194,"Plaits and similar products of vegetable plaiting materials, whether or not assembled into ...",486,600,718,793,623,704,630,698,844,847,,2419,2518,2518,1990,2604,2823,2848,2948,3637,5398,,704,658,928,987,1023,1158,1150,1147,1000,1105
30752,"Octopus """"Octopus spp."""", frozen""""",0,0,0,0,0,1009,859,1618,598,842,,0,0,0,0,0,0,263391,240796,217947,244046,,0,0,0,0,0,11624,5473,2868,2076,2681
441299,"Laminated wood with both outer plies of coniferous wood (excl. of bamboo, with an outer ply ...",0,12,24,41,16,16,50,252,1201,842,,52387,49319,48602,45137,57495,64277,199767,156694,131841,140698,,25904,28087,31187,23415,20999,23269,24262,22111,20490,30238
852791,"Radio-broadcast receivers, for mains operation only, combined with sound recording or reproducing ...",0,0,0,134,422,608,688,553,492,836,,0,0,3856,5341,4894,7367,7266,13809,39888,168486,,17087,13965,12846,12993,11305,11624,10224,9438,6745,6430
841451,"Table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an ...",478,823,863,914,906,828,800,836,781,824,,11268,14125,15262,18480,17269,25876,20254,26292,28088,45775,,14124,16682,20898,20607,18280,17208,25963,24783,33399,43987
630622,Tents of synthetic fibres (excluding umbrella and play tents),79,82,226,402,356,245,298,559,371,822,,35229,42675,50231,52348,48508,56107,67576,77021,83576,132798,,1280,1914,3802,8340,8184,9874,8412,7955,9278,12897
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,1370,1286,1551,892,239,1004,3409,2615,523,819,,643,1151,570,1923,741,3155,3767,4323,7110,74864,,7405743,8746713,6652092,6991456,9557322,7544276,6453069,12659910,11121841,17009104
880390,"Parts of aircraft and spacecraft, n.e.s.",747,357,373,380,417,601,553,852,1065,815,,17326,5499,7093,12278,11420,7832,4335,4010,37350,1047,,12206,9845,3993,18473,15915,15640,18638,21451,13283,11162
681099,"Articles of cement, concrete or artificial stone, whether or not reinforced (excluding prefabricated ...",184,332,498,439,367,723,697,705,459,805,,54957,94431,123155,144601,179592,194544,203398,291532,340348,569545,,2271,3238,4285,4249,3411,3772,5003,5485,5319,6956
761510,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring ...",0,74,394,697,749,933,950,1247,803,804,,18458,27766,32381,39422,41651,39566,59243,81635,102506,114428,,0,2634,26796,28829,33735,35504,51479,52012,38742,67291
851130,Distributors and ignition coils of a kind used for spark-ignition or compression-ignition internal ...,234,254,325,298,532,560,758,725,1019,803,,15103,15616,15681,13224,14542,17720,16482,10047,10487,8409,,11413,11275,13215,10431,10695,11587,10985,10392,10427,11309
720230,Ferro-silico-manganese,2902,2060,4410,1098,198,3832,5205,327,49,803,,40562,49863,87830,61902,69936,68829,82693,65911,58560,99952,,128610,121450,131474,88628,90878,146482,117399,93442,81964,134536
350610,"Products suitable for use as glues or adhesives put up for retail sale as glues or adhesives, ...",677,791,850,766,808,933,983,919,1140,801,,6331,5205,6225,6627,7666,9336,11461,18370,18068,25037,,7981,9535,8054,7988,7712,14212,16893,16218,25400,34484
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",103,222,279,398,255,378,481,686,429,799,,48758,50354,55347,58733,64126,81714,78539,105207,126994,99227,,1734434,1946118,1915615,1996596,2024074,2216463,2412718,2668381,2735461,2883589
480593,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets ...",0,135,333,595,723,644,859,991,872,794,,445,150,211,97,356,1477,1394,359,332,4769,,49585,57313,42865,33515,43824,41066,44493,49153,60877,65836
902920,"Speed indicators and tachometers, stroboscopes",0,0,2,1,24,22,690,1055,898,794,,1839,14612,22384,24201,26017,33698,40603,46105,53487,106386,,24339,21823,30476,24023,20374,27276,32071,45659,55135,74169
330510,Shampoos,523,839,664,683,617,767,669,487,428,788,,35800,41420,36503,27004,30996,28475,32535,25531,29747,13486,,100144,93693,95618,90970,90739,95147,95542,91096,91933,100806
120799,"Oil seeds and oleaginous fruits, whether or not broken (excluding edible nuts, olives, soya ...",2,0,55,0,23,329,160,265,833,787,,1009,630,345,544,7922,14814,17948,15211,17497,2141,,4800,9581,16724,11651,10617,14699,21958,21714,22061,22448
845011,"Fully-automatic household or laundry-type washing machines, of a dry linen capacity <= 6 kg",2295,393,0,0,0,367,1361,1572,1060,784,,69117,82811,91008,75756,67425,35577,74404,103914,108436,93972,,27831,26558,25754,20922,22279,22689,27257,31293,31966,35072
730719,Cast tube or pipe fittings of iron or steel (excluding products of non-malleable cast iron),1091,687,1070,1070,546,606,1150,806,1273,784,,4015,6904,10130,10765,9233,9941,11256,12013,24776,39857,,28511,34001,35545,40370,34243,38582,32119,29326,32620,40850
392043,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",0,0,0,0,45,258,108,612,683,775,,16695,20507,26533,17135,18278,19687,32520,41695,40314,32549,,1248,3451,3930,2944,2809,3473,3271,3293,3801,2807
630210,"Bedlinen, knitted or crocheted",0,0,12,0,16,15,2,1,431,766,,430,157,719,1112,1641,4243,3643,6228,17419,21738,,1681,968,1253,1331,1692,2001,2462,3570,4952,9116
830710,"Flexible tubing of iron or steel, with or without fittings",0,0,0,0,0,90,241,314,359,766,,2601,4070,3584,4773,5731,6629,13898,17652,15072,32218,,7393,9941,12577,13396,19448,24536,24511,25260,32994,41076
381239,"Anti-oxidising preparations and other compound stabilisers for rubber or plastics (excl. mixtures ...""",0,0,0,0,0,1209,888,731,581,764,,0,0,0,0,0,0,12886,10937,11682,15762,,0,0,0,0,0,62028,67665,72100,65437,70767
71040,"Sweetcorn, uncooked or cooked by steaming or by boiling in water, frozen",655,601,330,486,516,791,459,508,1117,762,,6334,9094,9194,6877,8539,8793,10834,11789,13892,12123,,1375,1254,1132,2494,5177,4436,3767,2824,4006,3763
640291,"Footwear covering the ankle, with outer soles and uppers of rubber or plastics (excluding waterproof ...",198,410,299,292,332,321,1000,239,748,761,,142916,196825,202833,211602,224089,204764,243357,275179,328643,524869,,4379,3600,3311,3533,2833,2859,3767,1745,2583,3325
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",111,81,43,63,103,157,435,401,667,759,,2353,2616,10511,13925,14355,37013,112290,67681,64805,59828,,67221,73547,88969,91861,91477,108399,114098,87702,90464,128360
940171,"Upholstered seats, with metal frames (excluding seats for aircraft or motor vehicles, swivel ...",2,47,15,34,2,103,383,230,368,750,,1453,2257,9095,18627,38199,49909,65300,143094,297745,288101,,8224,10004,11683,11078,12136,14657,16303,18649,24427,30492
560392,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 25 ...",2,12,103,155,103,194,132,37,636,743,,384,636,1222,989,1953,5756,8123,12709,32209,30041,,16792,9737,11915,16255,16551,21812,26022,25284,33591,27916
481390,"Cigarette paper, whether or not cut to size (excluding in the form of booklets or tubes, and ...",24,41,0,146,284,671,731,750,729,740,,1774,745,390,127,328,280,3238,3941,6070,8452,,4636,4328,3744,4378,7013,7577,8460,7643,7427,7762
851822,"Multiple loudspeakers, mounted in the same enclosure",16,9,9,11,91,3,23,224,178,738,,10918,6099,6337,9661,36093,90730,70840,113119,183245,844700,,23120,25761,34830,33763,29069,29721,35143,33078,38716,46173
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",105,159,286,458,454,498,582,595,573,734,,288182,158941,181883,175159,211487,190304,199262,343654,241814,276608,,367886,349661,418621,383401,326878,367144,463179,512179,378815,571634
480411,"Unbleached kraftliner, uncoated, in rolls of a width > 36 cm",3,0,0,0,0,0,0,0,833,732,,16,16,33,19,1535,339,1150,330,513,9953,,4927,3156,3510,3118,3281,3067,5465,7266,9068,11035
960321,"Tooth brushes, incl. dental-plate brushes",1668,1545,1322,1226,1394,1444,1376,1711,916,719,,58312,58481,70082,74991,71238,73511,77720,82601,75973,120494,,22019,21907,23263,24757,26929,28738,28797,29828,32641,31849
401310,"Inner tubes, of rubber, of a kind used on motor cars, incl. station wagons and racing cars, ...",60,135,434,68,20,87,265,935,775,715,,26036,25958,25985,21796,18661,19299,21141,24168,22476,13621,,1155,1506,1608,927,939,932,981,1618,1042,1069
842123,Oil or petrol-filters for internal combustion engines,423,499,506,650,529,629,622,674,729,711,,6776,5771,6113,5835,6539,7584,7560,7148,12903,26730,,26094,27789,30310,30036,30424,33438,36739,36662,37288,41592
441700,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe ...",368,572,577,561,449,557,540,530,637,707,,2308,3152,3519,4331,4586,4696,6286,7226,7742,10139,,3143,3505,3511,3509,2782,3363,3063,2947,3027,3885
901832,"Tubular metal needles and needles for sutures, used in medical, surgical, dental or veterinary ...",0,71,23,383,36,40,148,508,740,704,,10302,11026,12124,14961,16847,18329,32003,36766,27378,40847,,15362,16929,18446,20022,22237,24393,26455,25600,29678,29036
540791,"Woven fabrics of yarn containing predominantly, but < 85% synthetic filament by weight, incl. ...",1658,1362,2396,3611,3282,4036,6621,7819,1114,704,,503,30,438,324,1601,1198,3909,6196,4304,7190,,1940,1545,2695,3874,3769,4204,6965,8328,1447,1028
854160,Mounted piezoelectric crystals,0,0,6,0,5,30,7,8,49,703,,63,20,2333,733,279,591,1026,2708,3642,25447,,35998,36273,45277,155201,361893,407451,384666,367122,477121,764748
40900,Natural honey,289,702,876,2796,2386,806,814,769,489,694,,58131,89966,132974,102886,73055,63275,65783,52953,70663,108463,,2666,3949,6844,9481,11914,13185,8782,9842,9855,10602
854420,"Coaxial cable and other coaxial electric conductors, insulated",143,304,561,168,166,128,95,189,270,694,,107297,104497,92498,123049,96224,84771,85715,110306,185237,332017,,35321,37473,44905,41590,43227,42938,42522,37457,41557,69708
847990,"Parts of machines and mechanical appliances, n.e.s.",92,37,79,565,1400,1191,195,128,518,694,,33092,32126,28731,25447,12181,10805,11996,13863,16184,99153,,198300,148825,149564,138050,134849,134558,152863,145049,145722,159336
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",0,0,4,11,7,145,991,981,1419,675,,54582,66595,88406,98320,93570,103908,101209,92814,85304,67109,,0,13772,146744,162273,162982,186117,190419,207516,211838,233451
640319,"Sports footwear, with outer soles of rubber, plastics, leather or composition leather and uppers ...",317,315,500,718,747,991,1278,876,535,670,,1197554,267525,305154,356342,225965,229706,280861,280583,149284,127850,,6392,4797,4688,4999,5303,5323,6167,4671,3611,4454
732111,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of ...",609,625,625,893,857,813,1073,353,583,662,,16167,12264,12920,14599,15413,16104,16421,18617,22856,32872,,2957,3029,4091,4938,5939,6084,6297,3987,6940,12009
721012,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",781,101,370,561,232,348,485,187,268,662,,2370,4424,4443,3442,3851,5979,8200,7629,4577,23316,,43683,40145,39364,38240,26765,43248,36776,44490,38385,38802
460211,"Basketwork, wickerwork and other articles, made directly to shape from bamboo plaiting materials ...",1488,1564,1588,1713,1843,2320,2572,2449,791,661,,48146,50976,53997,54408,51514,46057,46057,50789,49730,37564,,2156,2172,2426,2507,2618,3083,3509,3361,1385,1307
401320,"Inner tubes, of rubber, of a kind used for bicycles",233,22,72,19,6,88,287,520,605,661,,8723,8574,12104,13676,18578,27561,30254,34301,41168,40798,,4383,3652,4077,3841,2504,2475,2335,2480,2692,3822
721590,"Bars or rods, of iron or non-alloy steel, cold-formed or cold-finished and further worked or ...",0,49,2,202,168,176,453,374,526,655,,1836,2130,2589,2280,3016,4606,12751,25506,7231,5245,,2661,3210,3895,3131,1841,4687,6291,3302,2754,6252
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",25,38,312,772,898,536,54,27,112,652,,422,175,668,514,2007,127,1423,4521,9166,357487,,1379719,928934,426516,320403,207533,193994,202510,216887,197701,244606
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,206,164,122,188,119,525,859,682,1125,651,,1700,1997,3511,3474,2383,5612,6033,29882,55161,91004,,134312,174847,170573,174290,298692,315337,388435,456309,469059,612572
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),494,157,696,376,416,221,230,230,527,648,,3026,2731,2622,3186,6658,10533,13253,21452,37391,54336,,641871,556525,541670,452998,495701,565369,682141,661718,757576,945366
847989,"Machines and mechanical appliances, n.e.s.",303,12327,34,219,540,21,91,395,2248,642,,14988,21006,23651,37022,110253,57013,79892,61979,101406,179265,,761084,771724,693818,783284,754779,558366,695801,763934,835788,1051146
540110,"Sewing thread of synthetic filaments, whether or not put up for retail sale",1143,1556,1125,1275,928,843,832,757,640,642,,12798,17380,18197,20996,19958,20440,24410,27512,26578,22086,,2309,2568,2072,2031,1759,1847,1937,1726,1739,1966
540341,"Multiple """"folded"""" or cabled filament yarn of viscose rayon, incl. monofilament of < 67 decitex ...""",24,21,0,0,154,275,72,295,267,641,,0,0,7,76,201,372,231,42,138,667,,696,883,670,495,539,446,231,520,416,719
731450,"Expanded metal, of iron or steel",3,0,0,0,0,0,0,0,0,640,,3610,4136,5327,4738,5061,6325,8342,15840,28257,8562,,537,374,493,333,269,193,238,206,157,896
392069,"Plates, sheets, film, foil and strip, of non-cellular polyesters, not reinforced, laminated, ...",81,559,336,147,253,86,168,443,389,639,,1671,995,1128,1229,1193,1131,1943,2465,1619,2989,,317815,316113,264992,208014,162265,163645,166418,151796,173042,223744
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",0,0,671,875,749,757,768,807,615,638,,28013,32197,206571,307789,404078,588265,583637,573531,601270,515390,,163155,162771,184233,194762,198618,222860,218615,228126,227446,283689
760611,"Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm, square or rectangular ...",605,721,719,835,1087,688,485,530,616,638,,1536,452,584,937,4441,2099,2443,2487,2244,3100,,27399,24929,24650,22599,20467,22846,16692,12284,14640,18662
720221,"Ferro-silicon, containing by weight > 55% of silicon",21245,15321,17361,10165,2656,473,385,118,152,636,,28612,72556,203469,303308,43540,5250,464,1397,12537,37437,,110925,113357,131846,88627,137789,159302,147126,106140,91457,194043
761699,"Articles of aluminium, n.e.s.",504,541,789,1158,567,670,782,484,484,634,,34119,40450,75231,72640,108336,147378,162424,201928,194444,187738,,182271,157953,167553,163412,186769,212401,235746,218887,285526,332893
140190,"Reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, lime bark and other vegetable ...",272,201,201,204,226,240,229,349,328,633,,2169,1839,661,890,1753,2336,2070,1751,1046,1155,,704,1145,1100,1049,1002,1046,1117,1557,1403,1979
620192,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of cotton (not knitted ...",1030,499,1322,1828,1153,941,873,267,313,633,,28455,30876,43576,39732,39782,35296,32297,32349,35482,96699,,10983,8114,7735,9128,9645,8646,10326,9948,8694,9974
