Product code,Product label,Singapore's imports from Russian Federation-Value in 2012,Singapore's imports from Russian Federation-Value in 2013,Singapore's imports from Russian Federation-Value in 2014,Singapore's imports from Russian Federation-Value in 2015,Singapore's imports from Russian Federation-Value in 2016,Singapore's imports from Russian Federation-Value in 2017,Singapore's imports from Russian Federation-Value in 2018,Singapore's imports from Russian Federation-Value in 2019,Singapore's imports from Russian Federation-Value in 2020,Singapore's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
611490,"Special garments for professional, sporting or other purposes, n.e.s., of textile materials, ...",0,0,0,0,0,0,0,0,0,1,,160,784,413,85,202,66,85,284,612,721,,109200,95036,95819,89900,107268,116688,108123,118311,65450,102493
570320,"Carpets and other floor coverings, of nylon or other polyamides, tufted """"needle punched"""", ...""",0,0,0,0,0,0,0,0,0,1,,2657,3700,1890,1055,1843,3317,3784,4042,5135,7278,,10286,9356,12511,12446,9653,10680,11284,15338,10744,14319
621143,"Women's or girls' tracksuits and other garments, n.e.s. of man-made fibres (excluding knitted ...",0,0,0,0,0,0,0,0,0,1,,1962,2241,5742,6538,6152,6689,5652,5950,4727,6568,,1853,4350,4228,5113,5669,9596,9682,9039,106483,11383
640359,"Footwear with outer soles and uppers of leather (excluding covering the ankle, incorporating ...",0,0,0,18,0,0,0,0,0,1,,856,1620,2466,2676,2334,3226,2855,2300,1530,1632,,53089,72066,62018,59548,52934,47678,65260,63697,39971,46976
292129,"Acyclic polyamines and their derivatives; salts thereof (excluding ethylenediamine and hexamethylenediamine, ...",0,0,0,0,0,0,0,0,0,1,,860,1118,1274,1244,953,1584,1332,1033,566,848,,47486,47143,49636,44059,42224,29413,39295,35929,28103,33511
300212,Antisera and other blood fractions,0,0,0,0,0,0,0,0,3,1,,0,0,0,0,680,18278,26218,27880,20984,19143,,0,0,0,0,0,0,33392,46156,39082,114757
110290,"Cereal flours (excluding wheat, meslin and maize)",0,0,0,0,0,0,0,0,0,1,,2111,2331,2347,2391,1843,2301,2644,4527,5312,5088,,7126,6857,6086,6674,6456,6176,6306,6389,7301,7264
220870,Liqueurs and cordials,0,0,24,1,0,0,0,0,1,1,,215,479,441,173,406,544,668,914,396,761,,48261,53614,47110,54281,46392,53196,38423,33414,58245,45688
848790,"Parts of machinery of chapter 84, not intended for a specific purpose, n.e.s.",23,3,0,6,7,24,21,0,6,1,,4181,2580,14597,14954,5999,5788,5010,8875,20539,13007,,254128,240821,266739,250616,142165,130231,130520,120967,127235,137647
847982,"Mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring ...",0,0,0,0,0,0,0,1,0,1,,13040,16399,25907,15392,14722,5747,11216,12597,8343,17538,,36946,40874,45509,57504,42391,30318,46731,47694,42351,77392
851989,"Sound recording or sound reproducing apparatus (excluding using magnetic, optical or semiconductor ...",0,0,0,1,0,0,0,0,0,1,,1055,1691,731,1430,1180,1128,607,2863,1057,2002,,19339,17291,13547,10674,13263,14793,8764,8325,7001,6414
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",0,0,0,0,0,0,0,0,0,1,,41587,48041,36644,23140,22430,31473,31206,35038,34928,45955,,4265,7070,4622,3506,4470,6029,15241,20044,27354,31108
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",0,1,0,0,1,0,44,1,0,1,,15924,17200,19430,13689,14201,22701,25991,33916,29018,50526,,82153,99133,103802,103506,96243,112003,127811,112806,101820,142280
610463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, ...",0,0,0,0,0,0,0,0,0,1,,2246,3124,3357,2316,3106,3457,3941,4868,3939,5781,,15301,18692,18243,27737,30111,36913,34015,42061,36628,47598
611019,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of fine animal hair, knitted ...""",0,0,0,0,0,0,0,0,0,1,,17,59,145,35,37,131,56,32,43,18,,1006,1036,1361,1051,1275,1244,1793,1855,1197,1261
620349,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of textile materials (excluding ...",0,0,0,0,0,0,0,11,2,1,,277,411,868,492,284,443,836,631,520,755,,21577,25437,25512,30351,28167,40117,37298,30613,10629,13914
620433,"Women's or girls' jackets and blazers of synthetic fibres (excluding knitted or crocheted, ...",0,1,0,0,0,0,1,3,15,1,,402,1189,2084,1978,1332,1021,1845,2171,1702,2525,,7168,9694,12169,3965,7738,6117,4830,5554,6155,6170
620453,Women's or girls' skirts and divided skirts of synthetic fibres (excluding knitted or crocheted ...,0,0,0,0,0,0,0,15,15,1,,553,1432,2044,2052,1578,1674,1698,2282,2758,1730,,2798,4290,4326,2703,2735,3297,3956,5899,4474,5277
630720,"Life jackets and life belts, of all types of textile materials",0,0,0,3,0,0,0,0,1,1,,974,1263,1218,728,855,1077,1387,1446,1340,1917,,5864,6498,6862,4267,4405,3471,4771,5268,3587,4378
691190,"Household and toilet articles, of porcelain or china (excluding tableware and kitchenware, ...",18,0,0,0,0,0,0,19,1,1,,24,29,40,26,25,57,120,67,45,76,,19993,14438,12423,8343,6610,13137,7824,5386,6467,6199
681510,"Articles of graphite or other carbon, incl. carbon fibres, for non-electrical purposes",0,46,27,0,0,0,0,0,0,1,,4799,7014,9154,4774,11151,11247,17868,15793,19369,11983,,24367,17488,23437,32855,38455,40300,44224,36305,41496,49582
420330,"Belts and bandoliers, of leather or composition leather",0,0,4,6,0,0,0,0,0,1,,587,598,1100,806,881,929,963,1087,881,1199,,34549,31370,43969,44443,44135,69368,64973,65845,40865,41732
293220,Lactones,0,0,0,0,0,0,0,0,0,1,,76,35,40,49,196,249,325,311,269,312,,50152,60035,88828,74231,52941,66470,61367,60551,152896,550663
391910,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, in ...",0,0,0,0,0,0,0,0,0,1,,6891,7678,10069,7149,6889,8577,13197,16356,19221,34159,,84559,93570,89791,96873,110428,124307,110131,99613,99636,122553
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",0,0,0,0,0,0,0,0,0,1,,64833,77778,93714,102486,95279,107117,130433,127797,128141,200153,,46379,50292,47822,47399,43888,47762,55185,41403,40643,54001
200599,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ...""",0,0,0,0,0,0,0,0,0,1,,1273,1651,1158,1197,2415,3679,3444,4488,6009,7197,,9580,10996,11740,11376,11591,11311,11301,11833,15188,12297
250410,Natural graphite in powder or in flakes,0,0,0,0,0,0,0,0,0,1,,593,492,2287,1854,1080,1428,2500,1061,2489,2357,,2185,2204,2689,2602,266,551,463,960,806,4675
30363,"Frozen cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",0,0,0,0,0,1,0,0,0,1,,135791,171888,203068,192022,284137,389248,432457,426278,415010,500767,,4085,3570,5163,5639,3248,725,4022,4204,1704,2089
620690,"Women's or girls' blouses, shirts and shirt-blouses of textile materials (excluding of silk, ...",0,0,0,0,0,0,0,0,0,1,,279,478,1195,628,988,1757,1629,1065,452,690,,15952,19952,32562,23121,17881,12211,9662,13025,10233,8596
400819,"Rods and profile shapes, of cellular rubber",0,0,0,0,0,0,0,0,0,1,,1668,1661,1279,901,1266,2411,10178,8640,2835,3790,,779,1147,1370,1637,1321,1210,1009,1079,988,795
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",0,0,0,0,0,0,0,8,27,1,,3022,3953,6913,4038,3419,4196,5170,5886,5065,5863,,16713,17589,15215,12113,15728,18598,19465,15965,14421,16860
640690,"Parts of footwear; removable in-soles, heel cushions and similar articles; gaiters, leggings ...",0,3,1,0,0,1,1,0,0,1,,2160,2440,3081,2749,3141,2324,3053,3407,2739,4134,,14289,14873,16819,14558,14075,9226,5625,4581,4723,4395
841420,Hand-operated or foot-operated air pumps,0,0,0,0,0,0,0,0,0,1,,187,350,923,428,180,217,283,457,395,451,,2144,2086,2841,2996,2115,2784,2763,1666,1603,2876
760421,"Hollow profiles of aluminium alloys, n.e.s.",0,0,0,0,19,0,0,77,108,1,,10191,11524,12478,9577,13844,15835,22447,21388,27702,80097,,10619,13016,13998,10942,7046,9456,8844,10434,7393,14976
853990,"Parts of electric filament or discharge lamps, sealed beam lamp units, ultraviolet or infra-red ...",1,0,0,0,0,0,0,1,0,1,,13,74,145,20,267,613,55,67,103,71,,19718,16520,13676,11397,12824,11623,12322,9538,7494,11531
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",0,0,0,0,0,0,0,0,0,1,,15614,19155,13418,11092,12437,13999,14774,17596,17261,22423,,6342,3284,3642,2165,3274,4519,6688,7488,15292,21424
853400,Printed circuits,1,6,0,0,3,0,0,2,3,1,,3571,6014,5480,5850,7679,5161,3946,5869,4721,9584,,822763,750782,726454,636744,587696,597727,673543,638617,835161,985036
960899,"Parts of ball-point pens, felt-tipped and other porous-tipped pens and markers, fountain pens ...",0,1,4,0,0,0,0,0,0,1,,14,13,30,28,121,73,78,49,74,126,,4774,4684,4692,4137,6212,5401,4953,4421,3208,1897
960390,Mops and leather dusters; prepared knots and tufts for broom or brush making; squeegees of ...,0,3,0,0,0,0,0,0,0,1,,1588,2454,2649,2069,2693,3796,4564,5957,7081,9471,,16996,17736,20071,24423,32452,43653,41018,31145,26542,38680
911490,"Clock or watch parts, n.e.s.",0,4,1,1,0,1,0,1,0,1,,251,252,78,216,194,227,177,210,270,351,,398449,353086,266418,193970,172314,173172,168410,130779,107869,98585
291590,"Saturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; ...",0,0,0,0,0,0,2,0,1,1,,649,658,306,328,426,575,863,777,877,1076,,36899,39400,43721,44559,35766,48269,51092,44603,46568,141139
160232,"Meat or offal of fowls of the species """"Gallus domesticus"""", prepared or preserved (excluding ...""",0,0,0,0,0,0,0,0,0,1,,2444,4206,5006,6285,12780,19492,16241,22253,23038,39368,,74881,79683,82255,85785,84772,91706,101080,110350,114502,119004
51191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, ...",0,0,0,0,0,0,0,6,0,1,,12809,13889,13479,14966,18989,14333,12862,16241,15574,23150,,8004,7930,4961,6039,8308,8459,8942,9322,9317,10305
40610,"Fresh cheese """"unripened or uncured cheese"""", incl. whey cheese, and curd""""",0,0,0,0,0,0,0,0,0,1,,23087,24692,31623,21336,24400,29933,30984,33511,41365,51606,,9530,12298,12920,10591,11733,10634,14435,15263,19186,20102
392640,"Statuettes and other ornamental articles, of plastics",1,0,0,4,0,0,0,0,0,1,,842,452,1161,617,924,1488,2037,2790,3287,4546,,13193,12051,15042,17094,12095,13626,13057,9673,8052,10913
291411,Acetone,0,0,0,0,0,0,0,0,0,1,,60946,90344,74947,34083,30127,38588,24575,18766,21407,45396,,8694,10456,7750,5237,5024,6094,6132,5354,5327,6606
320649,"Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring ...",0,0,0,0,0,0,0,0,0,1,,2362,1664,1438,1320,2443,3080,4737,4435,4990,8345,,17835,17845,18546,20053,18466,16370,16624,11874,11800,19617
321100,Prepared driers,0,0,0,0,0,0,0,0,0,0,,254,317,294,286,238,361,205,258,315,341,,2695,3131,3317,3371,2824,2672,2173,1753,1662,2659
330124,"Oils of peppermint """"Mentha piperita"""", whether or not terpeneless, incl. concretes and absolutes""""",0,0,0,0,0,0,0,0,0,0,,7,12,7,7,9,11,11,20,26,29,,13743,3574,2529,3550,4577,3554,2623,2913,3195,2712
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",0,0,0,75,60,0,0,0,0,0,,34015,48312,50611,41792,50487,70050,72968,68891,91792,80668,,578995,652092,678953,640308,700053,817312,907734,841585,650668,859256
330430,Manicure or pedicure preparations,0,0,0,0,0,0,0,0,1,0,,3410,4265,4541,3943,4629,5533,4967,7771,11190,10837,,13210,17874,18198,15527,16184,9765,8817,8435,5080,5323
330520,Preparations for permanent waving or straightening,0,0,0,0,0,0,0,0,0,0,,410,532,344,200,222,288,313,286,278,416,,644,465,1153,1817,2434,2123,1602,1974,1902,2241
330620,"Yarn used to clean between the teeth """"dental floss"""", in individual retail packages""""",0,0,0,0,0,0,0,0,0,0,,307,475,433,315,454,596,636,765,690,1033,,5063,4417,4698,6118,6197,4968,7183,7372,4943,4625
330690,"Preparations for oral or dental hygiene, incl. denture fixative pastes and powders (excluding ...""",1,0,0,0,0,0,0,0,1,0,,6037,7668,5253,4072,5240,6400,6713,7012,8342,9698,,9542,9867,7614,9129,6912,5689,6180,7010,10954,9423
291413,"4-Methylpentan-2-one """"methyl isobutyl ketone""""""""",0,0,0,0,0,0,0,0,0,0,,5,4,12,3,4,2,8,0,1,3,,11304,6810,5496,4493,3882,6803,7340,4529,4669,12732
291423,Ionones and methylionones,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,10215,10603,11444,9629,10633,13042,12719,13957,15540,17629
291439,"Ketones, aromatic, without other oxygen function (excluding phenylacetone [phenylpropan-2-one])",0,0,0,0,0,0,0,0,0,0,,0,0,0,2,8,0,1,1,3,4,,7748,7801,9768,8603,8159,8313,7494,9362,7706,8934
291440,Ketone-alcohols and ketone-aldehydes,0,0,0,0,0,0,0,0,0,0,,7,14,22,56,83,148,158,75,157,222,,1643,1624,1199,1238,1166,968,1565,2070,1179,1741
291532,Vinyl acetate,0,0,0,0,0,0,0,0,0,0,,5377,26051,8486,13872,23304,21744,30030,20761,12556,39419,,74563,53148,44314,22904,34140,31323,45046,40919,18005,38424
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,7,2426,13218,2976,1890,1862,,0,0,0,0,0,0,4199,4335,7542,9582
390770,"Poly""""lactic acid"""", in primary forms""""",0,0,0,0,0,0,0,0,0,0,,0,0,908,252,0,3,162,35,82,36,,143,102,339,70,62,50,77,69,79,57
390890,"Polyamides, in primary forms (excluding polyamides-6, -11, -12, -6,6, -6,9, -6,10 and -6,12)",0,0,0,0,0,0,0,0,0,0,,2087,1553,937,468,340,548,724,1056,935,1197,,22395,23811,22091,19082,22102,20632,25775,21973,24313,39042
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,266,13396,15505,13243,11601,22881,,0,0,0,0,0,0,27181,27783,27436,52490
391610,"Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, ...",0,0,0,0,0,0,0,0,0,0,,184,230,165,372,1327,1222,1202,759,522,894,,2742,1357,980,877,466,760,650,1024,730,877
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",0,0,0,0,0,0,0,0,1,0,,8687,10045,8892,7013,5832,6525,8221,8674,18760,26359,,147116,100318,75535,68742,50221,62749,68999,55594,56447,116550
400299,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip ...""",0,0,0,0,0,0,0,0,0,0,,10903,8493,3098,1352,1657,1155,994,1244,818,1316,,35220,36890,30750,31178,19921,15443,15509,13222,15048,17724
400599,"Compounded, unvulcanised rubber in primary forms (excluding solutions and dispersions, those ...",0,0,0,0,0,0,0,0,0,0,,437,695,1308,1181,610,656,722,1230,1346,1366,,9841,25010,8280,6042,5966,6463,5922,5863,10471,9973
392340,"Spools, cops, bobbins and similar supports, of plastics",0,0,0,0,0,0,0,0,0,0,,899,840,807,860,916,857,1224,1204,941,1076,,11023,46551,109131,29512,13456,18671,17850,11902,15102,21289
30463,"Frozen fillets of Nile perch """"Lates niloticus""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,988,934,1249,1117,1209,799,582,939,198,484
30471,"Frozen fillets of cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",0,0,0,0,0,1,0,0,0,0,,55069,131231,204512,125135,112362,217009,138791,156507,175718,239473,,1283,860,593,497,967,996,1049,762,1540,1903
411310,"Leather further prepared after tanning or crusting """"incl. parchment-dressed leather"""", of ...""",0,0,0,0,0,0,0,0,0,0,,0,0,144,0,7,1,2,9,0,1,,661,506,549,388,237,100,22,2,0,0
430219,"Tanned or dressed furskins, whole, with or without heads, tails or paws, not assembled (excluding ...",0,0,1,0,0,0,0,0,0,0,,22189,27708,2951,2643,2239,2374,2818,2580,2253,5105,,392,804,786,684,623,291,205,335,128,80
430390,"Articles of furskin (excluding articles of apparel, clothing accessories and goods of chapter ...",0,7,0,0,0,0,1,0,0,0,,18460,11547,16413,25309,8909,2986,861,840,581,389,,1268,2385,1230,1764,1168,1554,1753,1938,950,1466
440139,"Sawdust and wood waste and scrap, agglomerated in logs or similar forms (excl. pellets and ...",0,0,0,0,0,0,0,0,0,0,,16645,20660,20848,15081,13795,14326,23084,25968,16936,24016,,1016,1314,986,1298,954,1420,1678,1592,1486,2056
440325,"Coniferous wood in the rough, of which the smallest cross-sectional dimension is =>15 cm, whether ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,221867,224328,170428,139632,94256,,0,0,0,0,0,0,0,226,0,0
440397,"Poplar and aspen """"Populus spp."""" in the rough, whether or not stripped of bark or sapwood, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,51990,60014,53223,56083,66220,,0,0,0,0,0,0,0,421,0,0
440399,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared (excluding ...""",0,0,0,0,0,0,0,0,0,0,,317281,416550,439702,356914,364469,39252,29668,21897,17842,15140,,12,2713,12345,22,325,1365,35,3,0,0
440797,"Poplar and aspen """"Populus spp."""", sawn or chipped lengthwise, sliced or peeled, whether or ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,62,10369,10878,11611,11743,24483,,0,0,0,0,0,0,262,0,3,5
160551,"Oysters, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,1,0,,2770,2120,1464,1857,1544,2271,777,829,522,577
160558,"Snails, prepared or preserved (excluding smoked and sea snails)",0,0,0,0,0,0,0,0,0,0,,0,1,4,0,1,11,6,6,9,14,,124,177,207,261,218,168,134,196,208,357
170211,"Lactose in solid form and lactose syrup, not containing added flavouring or colouring matter, ...",0,0,0,0,0,0,0,0,0,0,,36,41,47,686,393,609,358,267,390,599,,24730,22547,28192,23147,9539,17826,14214,20988,22831,27376
190190,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",0,0,0,0,0,0,0,0,0,0,,13820,21709,27195,19760,25788,30506,32231,38936,46080,58555,,41461,47231,56807,69390,54153,71265,83436,73692,61945,64542
190219,"Uncooked pasta, not stuffed or otherwise prepared, not containing eggs",0,0,0,0,0,0,0,0,0,0,,10593,12179,12463,12571,12738,15515,16629,20281,22237,26496,,30275,31577,31355,30719,31524,33191,33453,33293,38719,38218
190220,"Pasta, stuffed with meat or other substances, whether or not cooked or otherwise prepared",0,0,0,0,0,0,0,0,0,0,,5659,5163,4072,2126,1782,2075,2467,2813,3374,3490,,3357,3799,3426,3084,3570,6069,13542,13636,16140,14629
190410,"Prepared foods obtained by swelling or roasting cereals or cereal products, e.g. corn flakes",0,0,0,0,0,0,0,0,0,0,,8018,10820,9192,7348,8955,10751,12370,15859,17982,19437,,23661,27043,32355,30568,26160,21511,22937,23487,24083,27770
284920,"Carbides of silicon, whether or not chemically defined",0,0,0,0,0,0,0,0,0,0,,49199,45041,34126,29634,23918,33614,39569,40026,44330,49232,,19046,20722,27474,24119,20921,21005,12957,9060,7337,10245
290373,Dichlorofluoroethanes,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,2,7,6,,0,103,0,0,0,0,386,260,437,446
290377,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens, ...",0,0,0,0,0,0,0,0,0,0,,47,3,0,6,3,74,5,40,2,6,,0,214,327,4,3,1,8,0,0,0
290379,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens (excluding ...,0,0,0,0,0,0,0,0,0,0,,595,1069,1511,689,376,762,1891,2594,1142,2613,,2543,3968,7069,6934,3454,3718,1203,1659,1594,3796
290549,"Tri- and other polyhydric acyclic alcohols (excluding 2-ethyl-2-""""hydroxymethyl"""" propane-1,3-diol ...""",0,0,0,0,0,0,0,0,0,0,,68,30,24,30,45,74,91,1130,1428,2122,,380,726,416,405,276,449,403,619,431,905
290629,"Aromatic cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives ...",0,0,0,0,0,0,0,0,0,0,,17,28,10,3,10,22,3,0,14,36,,6764,7265,9133,7379,9206,8771,7599,9884,11080,13116
290713,"Octylphenol, nonylphenol and their isomers; salts thereof",0,5,0,28,0,0,0,0,0,0,,1573,0,0,0,0,1,0,0,0,10,,401,307,1804,4913,4236,6192,5093,5112,3874,7677
290715,Naphthols and their salts,0,0,0,0,0,0,0,0,0,0,,5,5,2,1,5,2,2,5,1,26,,2,10,18,19,7,46,269,77,229,228
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",0,0,0,0,0,0,0,0,0,0,,92924,89217,71724,50661,2922,5837,6188,11868,14015,10948,,5705,2947,3454,11252,4884,2681,3777,2542,2579,6612
290911,Diethyl ether,0,0,0,0,0,0,0,0,0,0,,95,89,95,27,89,86,103,91,100,68,,115,119,128,120,129,130,125,131,129,133
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",0,0,0,0,0,0,0,0,0,0,,358,992,726,547,563,1282,1375,1134,1383,2176,,11570,11206,17230,17006,14805,16187,18347,21005,15016,21320
350110,Casein,0,0,0,0,0,0,0,0,0,0,,1189,953,388,115,537,307,61,62,59,129,,4055,3202,4072,2907,1009,618,321,220,350,315
350220,"Milk albumin """"lactalbumin"""", incl. concentrates of two or more whey proteins containing by ...""",0,0,0,0,0,0,0,0,0,0,,3,37,31,232,70,186,410,142,176,340,,2438,1609,2863,1614,2074,5765,6648,24882,28705,73916
370120,"Instant print film in the flat, sensitised, unexposed, whether or not in packs",0,0,0,0,0,0,0,0,0,0,,1,1,3,46,10,43,86,94,90,196,,1789,1787,2812,3989,3145,4206,3433,3089,3620,4124
370241,"Photographic film """"incl. instant print film"""", sensitised, in rolls, unexposed, without perforations, ...""",0,0,0,0,0,0,0,0,0,0,,14,0,6,1,0,0,0,0,5,0,,138,110,209,175,275,247,304,213,29,130
370298,"Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, ...",0,0,0,0,0,0,0,0,0,0,,1,1,3,19,26,16,3,0,62,126,,4952,3690,3608,5177,6928,7175,5098,1268,769,541
370320,"Photographic paper, paperboard and textiles, sensitised, unexposed, for colour photography ...""",0,0,0,0,0,1,0,0,0,0,,255,291,401,529,387,568,475,345,287,250,,14719,13834,14822,8906,5056,3520,2884,3451,1366,2283
370710,"Sensitising emulsions """"for photographic uses""""""""",0,0,0,0,0,0,0,0,0,0,,12,15,19,69,56,127,146,88,114,98,,27946,19616,16960,14588,37335,39451,38977,36056,43675,47938
380110,"Artificial graphite (excluding retort graphite, retort carbon and goods of artificial graphite, ...",0,0,0,0,0,0,0,0,0,0,,3947,3827,4235,5148,8819,9229,14919,12592,9677,11690,,3674,3427,3693,3208,8881,9137,9265,7037,5227,7858
380510,"Gum, wood or sulphate turpentine oils",0,0,0,0,0,0,0,0,0,0,,973,754,1250,1019,1176,1699,2401,4833,3093,2887,,245,146,211,231,136,197,201,321,175,572
380610,Rosin and resin acids,0,0,0,0,0,0,0,0,0,0,,9763,8703,18029,12819,8352,8500,6836,3420,3309,4716,,6478,5854,3311,2160,1704,1557,1588,1377,606,1079
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",0,0,0,0,0,0,0,10,0,0,,19181,27569,29914,14018,13046,19116,19859,22139,33238,37920,,47182,55728,74405,66936,59288,44944,47328,43791,51253,48223
380992,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",0,0,0,0,0,0,0,53,0,0,,826,2580,3436,956,1217,1160,503,370,440,1111,,19752,25140,19777,15827,9382,11078,6249,4192,3047,6727
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,0,0,0,0,0,0,0,0,0,0,,8356,26079,17382,9724,6708,16109,10420,18424,10307,24980,,27318,32277,30097,23760,20629,27711,31583,20986,25323,27497
382311,"Stearic acid, industrial",0,0,0,0,0,0,0,0,0,0,,30,68,396,219,339,946,337,339,539,1609,,49001,42641,49979,38056,40060,40438,38721,28903,34668,61071
382473,"Mixtures containing hydrobromofluorocarbons """"HBFCs""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,0,13,0,0,0,1,0,0,0
382478,"Mixtures containing perfluorocarbons """"PFCs"""" or hydrofluorocarbons """"HFCs"""", but not containing ...""",0,0,0,0,0,0,0,0,0,0,,49,211,402,459,536,1060,2805,1882,1333,599,,18504,15701,14050,15351,13938,14824,15134,9454,6826,11807
382482,"Mixtures and preparations containing polychlorinated biphenyls """"PCBs"""", polychlorinated terphenyls ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
382510,Municipal waste,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,,0,0,0,64,0,0,0,0,0,0
490210,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising ...",0,0,0,0,0,0,0,0,0,0,,1989,1638,305,231,197,173,192,149,95,90,,11077,11398,9113,7041,7836,6086,6425,5251,2064,2296
490510,"Globes, printed (excluding relief globes)",0,4,0,0,0,0,0,0,0,0,,58,51,37,36,45,206,278,460,668,1105,,206,109,105,53,155,48,83,118,79,88
490599,"Maps and hydrographic or similar charts of all kinds, incl. atlases, wall maps and topographical ...",4,0,3,3,1,0,5,0,0,0,,671,618,605,509,354,135,63,74,54,101,,20519,22070,23717,19890,14254,12802,9132,4231,2373,2863
490700,"Unused postage, revenue or similar stamps of current or new issue in the country in which they ...",0,0,0,0,0,0,0,0,0,0,,49888,71819,76129,72281,22140,101570,124798,123816,45978,94364,,16386,13615,29592,11281,26261,35652,34422,21043,36619,19642
490810,"Transfers """"decalcomanias"""", vitrifiable""""",0,0,0,0,0,0,0,0,0,0,,35,130,24,74,6,2,25,0,18,2,,660,1340,728,251,166,162,782,663,495,659
511111,Woven fabrics containing >= 85% carded wool or carded fine animal hair by weight and weighing ...,0,0,0,0,0,0,0,0,0,0,,32,121,9,5,10,3,36,353,69,81,,110,159,191,190,201,98,118,58,31,415
520210,"Cotton yarn waste, incl. thread waste",0,0,0,0,0,0,0,0,0,0,,138,1,73,51,62,54,177,63,38,14,,187,270,257,330,165,84,110,112,161,154
520419,"Sewing thread, containing predominantly, but < 85% cotton by weight (excluding that put up ...",0,0,0,0,0,0,0,0,0,0,,31,20,21,12,21,9,16,4,14,22,,408,259,364,171,307,194,137,138,95,23
