Product code,Product label,"Korea, Republic of's imports from Viet Nam-Value in 2012","Korea, Republic of's imports from Viet Nam-Value in 2013","Korea, Republic of's imports from Viet Nam-Value in 2014","Korea, Republic of's imports from Viet Nam-Value in 2015","Korea, Republic of's imports from Viet Nam-Value in 2016","Korea, Republic of's imports from Viet Nam-Value in 2017","Korea, Republic of's imports from Viet Nam-Value in 2018","Korea, Republic of's imports from Viet Nam-Value in 2019","Korea, Republic of's imports from Viet Nam-Value in 2020","Korea, Republic of's imports from Viet Nam-Value in 2021",Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
701959,"Woven fabrics, incl. narrow fabrics, of glass fibres, of a width of > 30 cm (excluding plain ...",862,932,904,1318,1381,1356,1604,1624,1478,1851,,7,165,82,316,1561,1653,1809,1983,2895,2517,,23154,33284,28880,34566,34209,35811,35280,33227,34676,37954
690320,"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ...",4144,3501,4142,4271,3273,1672,1696,1907,1687,1847,,4850,4037,5142,6663,5865,4404,5562,5466,5550,5559,,25696,22595,25386,22857,53331,58038,60870,54919,52317,59837
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",21,43,92,24,35,92,82,127,1244,1839,,43802,8392,13719,13502,21167,25898,28772,29444,23573,32411,,1133849,935869,970136,701193,692404,653145,685971,646161,571648,628704
611211,"Track-suits of cotton, knitted or crocheted",879,279,48,1346,369,739,353,677,1754,1832,,3442,2594,5068,7190,7880,6315,1475,3180,8514,24218,,2719,2275,2591,3503,1606,2519,4474,5117,5756,10057
851840,Audio-frequency electric amplifiers,37,31,70,149,125,81,1385,1727,1697,1814,,6797,5100,5138,15057,34178,29828,32927,30489,30033,65755,,70197,65372,86376,89759,109037,142606,112882,114999,119263,121118
820239,"Circular saw blades, incl. slitting or slotting saw blades, and parts thereof, of base metal, ...",0,0,0,0,0,12,0,3,248,1805,,64,32,57,20,153,21,108,320,7033,27404,,24895,20468,21259,22251,28022,26080,27046,26407,23619,32547
830249,"Base metal mountings, fittings and similar articles (excluding locks with keys, clasps and ...",305,18,562,761,1312,2285,2597,2485,1501,1799,,47549,43460,43206,52113,44197,45839,57369,61352,80662,44287,,21523,22508,33012,39916,44425,41153,43862,47283,42238,42350
30462,"Frozen fillets of catfish """"Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""""""""",4337,4415,4758,3812,3240,3789,4467,4864,2053,1791,,1619728,1584158,1610008,1422509,1530189,1570980,1973718,1721349,1242897,1050681,,4337,4415,4758,3812,3240,3789,4467,4864,2053,1791
392620,Articles of apparel and clothing accessories produced by the stitching or sticking together ...,2141,1110,844,650,892,1221,1321,1417,1858,1786,,92713,91590,96785,98058,106896,139836,157126,174099,198558,360932,,17120,18620,19301,23764,21891,26820,30999,30164,41324,51936
190531,Sweet biscuits,129,154,947,500,529,502,469,605,1694,1783,,7556,11011,9955,10460,15031,15700,22207,21059,16243,11935,,20190,27116,51972,52704,55499,61686,63529,66966,68553,78861
392350,"Stoppers, lids, caps and other closures, of plastics",214,230,374,295,232,347,909,1351,1276,1778,,15149,20548,16455,14705,20094,25185,22284,24794,26150,39298,,33360,34508,37330,35045,43656,48766,49861,57380,65613,78724
560210,"Needleloom felt and stitch-bonded fibre fabrics, whether or not impregnated, coated, covered ...",0,1,0,0,0,0,1481,2041,1507,1769,,0,0,0,1391,2337,2192,3150,3515,2701,4570,,2202,2783,3546,5180,7796,8949,9735,8188,7237,9126
940180,"Seats, n.e.s.",1105,929,1073,1129,1639,1506,2218,1633,1289,1754,,26814,25405,28516,45116,33329,47519,69333,48750,45872,53114,,57697,65560,75023,75631,76696,86517,84719,81891,84469,100580
640220,"Footwear with outer soles and uppers of rubber or plastics, with upper straps or thongs assembled ...",330,524,3445,664,723,1613,1495,2377,2423,1737,,10868,10048,11100,9549,12730,13511,14556,21387,14864,37033,,1693,2644,6882,2510,2431,4718,5348,7522,8005,10727
630493,"Articles for interior furnishing, of synthetic fibres (excluding knitted or crocheted, blankets ...",94,221,502,419,279,317,1510,533,735,1731,,4752,8350,8702,6745,5517,7158,8286,14494,17371,21774,,5169,7931,12580,10466,9341,10699,15060,12083,15833,27877
611090,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of textile materials, knitted ...",359,266,185,1613,724,933,1517,1283,1331,1730,,206514,214545,216571,231357,225260,196791,210525,152135,116430,40834,,20548,20585,25055,43700,55702,60199,80266,81653,76514,84106
732510,"Articles of non-malleable cast iron, n.e.s.",135,51,7,0,0,34,1506,1860,711,1728,,9948,11463,13640,17167,24610,22361,31088,30333,31412,19830,,3490,2725,4087,5235,12843,15144,22814,24439,21248,27512
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",101,634,441,263,77,719,1262,1299,1895,1720,,14558,9882,11232,9979,9623,15901,21374,18937,15046,30446,,277346,284713,289760,271182,274917,316500,326290,287027,253060,424586
390230,"Propylene copolymers, in primary forms",27,0,18,0,1,86,5,18,585,1717,,38,610,904,1579,1599,1581,2003,1081,55420,82550,,32902,41427,46703,41277,45516,50881,55146,50695,45123,64444
260800,Zinc ores and concentrates,62,112,0,0,0,0,0,0,329,1712,,0,1778,0,0,30,0,0,0,0,19979,,1393858,1247851,1431653,1279082,1364161,2073346,2170306,1686573,1350980,2039407
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",65,129,145,255,152,3840,6523,1355,1853,1701,,22727,25089,29807,34893,38430,43943,39100,31617,34204,93373,,200589,177844,161531,153654,149690,147309,166897,158961,142727,173089
520526,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",0,185,31,38,1,766,1043,1947,1399,1694,,5362,6151,1611,1940,6013,9294,12176,22106,20221,22067,,14906,22207,16200,14021,9200,6480,6333,5514,4728,6834
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",262,218,244,371,629,554,627,1301,1622,1692,,8791,8376,6914,4466,13199,14782,16650,15391,27889,50912,,102508,110067,105429,108774,92589,112191,99456,99342,100283,102673
820730,"Interchangeable tools for pressing, stamping or punching",2,7,146,420,260,425,480,921,1513,1692,,193,827,12010,17509,16002,25479,24856,20648,20442,23323,,30459,20189,22939,26259,28541,40623,37608,43373,34272,48401
820299,"Saw blades, incl. toothless saw blades, of base metal (excluding bandsaw blades, circular saw ...",0,0,1,0,0,1,1,1,656,1691,,221,319,543,528,712,914,863,1012,3710,7578,,36051,22146,23773,22955,24410,29017,21882,13834,15099,20725
721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,24,0,1,0,0,4,4,1690,,2024,673,34,93,151,158,423,607,1033,5384,,22468,50810,55193,37859,33531,39254,27271,22682,28372,22418
520521,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",0,115,0,1,6,0,2,150,302,1673,,337,297,807,1095,858,1750,629,1020,1355,3898,,722,937,674,358,287,31,34,172,680,2186
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",472,635,495,420,524,748,821,930,1753,1666,,48758,50354,55347,58733,64126,81714,78539,105207,126994,99227,,2262824,2222301,2533213,2434657,2882817,2818188,3192357,3255735,3469101,3960262
611529,"Pantyhose and tights of textile materials, knitted or crocheted (excluding graduated compression ...",2042,5567,9359,12523,8185,764,892,760,226,1655,,980,50564,29812,31831,20132,8365,3508,2560,1986,5286,,11713,16053,18744,24093,14346,4853,7098,5967,3403,4674
691490,"Ceramic articles, n.e.s. (excluding of porcelain or china)",2561,2141,1857,1642,1266,1267,1111,1240,1437,1651,,79942,80856,89511,85136,88326,93332,101069,103262,105782,126827,,48428,47686,44804,38321,34085,37831,40974,46405,60202,72876
441899,"Builders' joinery and carpentry, of wood (excl. of bamboo, windows, French windows and their ...",0,0,0,0,0,2650,3352,3689,2577,1642,,0,0,0,0,0,0,139900,141747,160643,100958,,0,0,0,0,0,10431,10283,11261,6442,8382
551513,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",0,0,48,4,2,57,397,675,551,1641,,2747,2407,4688,6126,8402,9923,9175,12119,6800,7358,,5354,6020,6611,5122,6545,5666,7747,7713,6493,9734
760521,"Wire of aluminium alloys, with a maximum cross-sectional dimension of > 7 mm (excluding stranded ...",0,216,1535,1581,1790,2331,2002,1427,945,1634,,11,865,9322,10832,11088,16700,16643,14756,15988,19621,,6688,7795,8472,9101,8509,10049,9519,8499,8349,15198
600631,"Unbleached or bleached fabrics, knitted or crocheted, of synthetic fibres, of a width of > ...""",1068,866,850,1088,859,646,273,778,277,1632,,5686,7075,7704,10543,12739,12357,16500,12613,6676,11227,,2181,2428,2589,3594,2642,2916,2301,4826,4111,5907
481159,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or ...",3,95,43,221,45,55,84,127,526,1622,,9774,9983,9856,8060,8196,7642,8534,9256,21673,55286,,118247,122854,126179,127215,128324,150371,156315,155138,142043,163555
392043,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",1250,2008,1647,1401,293,27,28,224,2574,1617,,16695,20507,26533,17135,18278,19687,32520,41695,40314,32549,,14694,16217,19434,27789,49683,22563,19669,16604,16432,13574
590390,"Textile fabrics impregnated, coated, covered or laminated with plastics other than poly""""vinyl ...""",8498,9123,12765,10645,8374,7931,7697,3053,2377,1608,,36049,33298,38666,36436,22364,19007,18571,22100,24074,30909,,58733,54289,58628,51130,50123,45636,50196,42370,32536,36710
210390,Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya ...,119,106,122,134,148,355,661,769,1000,1607,,38848,37375,35404,51541,65457,64423,68886,74745,86139,85476,,171372,162441,171435,176356,178044,190659,216279,207115,218988,252438
420299,"Travelling-bags, shopping or tool bags, jewellery boxes, cutlery cases and similar, with outer ...",616,1195,7706,3747,2818,3116,2229,1350,1487,1605,,5106,4457,9688,10588,8952,9661,17485,27479,29724,27956,,60723,80099,91936,63049,77577,86848,87748,95208,99303,115374
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",22,6,7,312,386,204,284,446,2557,1593,,18024,18088,29229,28020,18105,22527,27450,45748,98536,159314,,175519,189141,207169,247224,208224,154745,144039,110832,172873,199973
842121,Machinery and apparatus for filtering or purifying water,0,1,13,2,32,184,687,755,925,1593,,2554,1644,129193,2718,2906,3319,3659,4594,10560,20015,,109762,136352,164764,171673,154729,162636,167299,175090,199659,163971
441879,"Flooring panels, assembled, of wood (excluding multilayer panels and flooring panels for mosaic ...",0,0,0,129,184,320,718,995,1317,1589,,11478,11358,13488,17726,27267,30367,54366,60352,65377,19259,,677,596,1052,1332,1947,3074,3506,4705,4411,4900
460219,"Basketwork, wickerwork and other articles, made directly to shape from vegetable plaiting materials ...",706,367,630,716,1178,1445,1897,1622,2135,1588,,45228,59020,66198,67820,73281,81604,104778,132627,138688,232452,,5807,5736,5733,5637,6017,6821,7694,8229,8426,8708
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",30,179,541,466,327,1029,289,92,877,1586,,30123,40979,59262,48573,33415,47411,101384,127335,95414,134036,,32703,24440,30594,37786,52675,62695,85244,49734,42692,44931
940421,"Mattresses of cellular rubber or plastics, whether or not covered",1881,1776,1716,2418,1715,2288,2141,1329,1929,1582,,5201,5522,7153,9784,12762,11633,15557,190838,236686,73261,,36957,32165,41487,37832,53504,50673,62437,87731,95363,111658
640690,"Parts of footwear; removable in-soles, heel cushions and similar articles; gaiters, leggings ...",370,470,645,842,955,2139,1718,1362,1447,1565,,33523,54820,57250,92296,102202,140338,229278,295138,246127,234339,,12495,15698,17647,18017,18116,20231,18551,17810,16107,20443
71010,"Potatoes, uncooked or cooked by steaming or by boiling in water, frozen",0,0,0,51,221,511,683,743,818,1543,,450,703,250,700,478,773,988,705,826,1878,,3888,4192,4440,5196,4694,5269,5608,5699,5992,7689
610722,"Men's or boys' nightshirts and pyjamas of man-made fibres, knitted or crocheted (excluding ...",25,267,159,188,66,1283,1337,1416,851,1539,,12516,19906,11431,4159,6949,8241,10645,13037,11742,20241,,717,2890,2570,2302,2896,4977,5908,8622,6055,13574
190120,"Mixes and doughs of flour, groats, meal, starch or malt extract, not containing cocoa or containing ...",521,298,403,504,523,773,862,1153,1102,1528,,6763,5199,8055,5420,1259,7285,2266,3902,4902,6465,,27549,32882,36893,36734,41684,47917,54923,55142,64411,87093
620920,"Babies' garments and clothing accessories of cotton (excluding knitted or crocheted and hats, ...",400,222,208,469,408,694,1025,735,369,1526,,25431,34138,41194,29082,22760,37040,43613,46629,37291,55438,,13238,11032,12552,9523,9422,9986,9592,7317,6178,8188
550931,Single yarn containing >= 85% acrylic or modacrylic staple fibres by weight (excluding sewing ...,12,27,0,0,169,1024,1108,2322,2091,1525,,0,15,177,0,207,1149,1423,2249,2100,1579,,24658,22640,15295,12015,11555,7004,5322,7663,6852,8460
520532,"Multiple """"folded"""" or cabled cotton yarn, of uncombed fibres, containing >= 85% cotton by ...""",8144,7370,5600,4859,5778,4013,2599,1501,1486,1523,,10776,21590,13020,15814,17078,18380,13673,13821,11782,12483,,26145,24678,23444,19753,18693,17965,18550,15166,11982,14439
391732,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",24,61,16,11,93,186,211,108,139,1512,,4465,5335,4566,4272,7933,5950,5987,7022,6511,60461,,22583,24600,23003,24354,26969,38008,39921,39299,46469,55423
821599,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and ...",1386,1151,2046,1937,1086,2212,2336,1283,1622,1510,,39278,81757,109799,126490,117083,120899,147857,150999,113805,72069,,10407,12581,14391,15616,17713,22181,24427,22128,27958,34358
610469,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of textile materials, ...",342,232,384,1198,1084,1879,5152,1646,939,1509,,102305,110859,137064,154432,155797,105932,149894,162263,129709,134536,,2808,2723,3243,4560,5517,6118,9454,7468,5932,7652
620892,"Women's or girls' singlets and other vests, briefs, panties, n?glig?s, bathrobes, dressing ...",1281,1026,2115,2691,1793,2336,3634,2805,1772,1495,,12923,10183,16130,24649,32094,28458,25175,36923,21407,23786,,19734,24646,22224,27429,23388,26067,29326,28207,16338,15149
391740,"Fittings, e.g. joints, elbows, flanges, of plastics, for tubes, pipes and hoses",22,24,82,212,56,420,325,1072,1512,1487,,11700,14243,16037,16307,15947,14416,14405,16309,15249,24701,,65293,68834,74668,62941,68009,83403,82031,70066,87895,106178
540261,"Multiple """"folded"""" or cabled filament yarn of nylon or other polyamides, incl. monofilament ...""",114,37,0,219,82,1235,939,1313,1137,1485,,246,667,173,352,278,1731,2496,2736,1457,3063,,1194,1436,1383,1476,1949,2698,3264,4603,3132,4562
820770,Interchangeable tools for milling,0,7,151,1036,108,441,94,212,1148,1484,,6,0,5,9,2,58,19,106,356,3118,,42549,42557,44448,49421,59326,68732,65398,63343,56256,61112
220710,"Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%",12903,872,311,150,557,809,1090,1585,1789,1483,,51810,37255,44290,15495,13129,19552,4714,3502,13292,15279,,127013,110139,126847,94850,108066,103824,105693,104589,131725,119496
960350,"Brushes constituting parts of machines, appliances or vehicles",7,58,59,175,81,47,471,262,361,1480,,8130,10826,12612,19038,15398,16423,18377,18598,17634,13208,,8235,9566,11439,12052,11402,14594,19633,19775,21115,20485
903210,Thermostats,0,2,14,14,5,6,98,1015,1732,1479,,2071,4347,8013,8928,10023,10530,15874,14239,15315,120623,,35870,41767,41499,39342,42534,46152,48084,58874,56548,63879
821220,"Safety razor blades of base metal, incl. razor blade blanks in strips",0,268,179,377,518,2514,3778,2445,1785,1472,,181,18446,17457,18142,22262,40264,49392,55780,57370,72101,,25572,28077,31776,29811,48529,30307,42746,43659,40807,37796
80119,"Fresh coconuts, whether or not shelled or peeled (excluding in the inner shell """"endocarp"""")""""",351,416,772,881,931,741,717,1104,944,1467,,28118,37200,48635,28077,43008,53354,73530,44737,90200,42941,,532,545,1013,1407,1271,1557,1336,1566,1133,1871
821290,Parts of non-electric razors of base metal (excluding safety razor blades and razor blade blanks ...,20,11,7,18,63,778,1036,2179,2208,1466,,11,22,342,3280,3738,5576,5311,5652,5722,2964,,1541,847,787,4062,4187,4566,1368,2439,2862,1652
848310,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",109,320,207,54,36,525,352,693,1096,1464,,11661,11961,15729,13783,16938,23631,33535,56597,63019,43425,,165043,163219,177418,164644,155819,171365,196463,161699,166419,202527
620722,"Men's or boys' nightshirts and pyjamas of man-made fibres (excluding knitted or crocheted, ...",0,42,271,963,443,634,864,767,994,1455,,1636,1800,1454,1498,1751,1481,4062,3808,3137,2459,,646,1681,3903,3687,2995,2784,3582,4507,7708,11483
901832,"Tubular metal needles and needles for sutures, used in medical, surgical, dental or veterinary ...",0,0,158,203,132,693,1381,1292,1417,1454,,10302,11026,12124,14961,16847,18329,32003,36766,27378,40847,,31073,28046,28361,27266,32573,38139,41654,49093,47736,48783
850211,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",0,0,0,6,156,439,1493,1971,1544,1446,,4456,1364,1357,5630,11528,35100,10906,18178,15314,17878,,3612,4788,4948,6103,6217,4973,9383,10476,7628,6085
841990,"Parts of machinery, plant and laboratory equipment, whether or not electrically heated, for ...",40,99,725,69,243,248,513,807,594,1433,,100715,10661,4274,7052,11440,22603,30598,20538,15695,41911,,140086,194425,178529,160901,133906,168796,158691,175615,153824,175470
200799,"Jams, jellies, marmalades, pur?es or pastes of fruit, obtained by cooking, whether or not containing ...",353,611,1169,788,782,956,1314,1204,1343,1426,,12777,14828,17576,22732,19853,14547,16695,16916,19997,10336,,15953,19936,22350,22305,23054,22869,24328,23487,26858,31989
380210,"Activated carbon (excluding medicaments or deodorant products for fridges, vehicles etc., put ...",7,113,626,464,761,486,1291,1629,1506,1425,,24519,25188,31877,30465,23635,26022,33456,32954,29667,27333,,91646,110203,115429,110938,99936,100155,116961,124834,135509,151232
611231,"Men's or boys' swimwear of synthetic fibres, knitted or crocheted",678,592,1343,1453,4261,4097,3505,4255,3222,1424,,1281,2801,8871,11415,11963,12998,17379,23991,20398,21994,,3148,3953,4478,4586,9687,9598,9445,10227,6507,2537
160559,"Molluscs, prepared or preserved (excluding smoked, oysters, scallops, mussels, cuttle fish, ...",1153,1484,1457,1023,1116,2494,2038,1818,1279,1421,,32151,27748,35523,8232,15774,8957,13577,12140,11691,4817,,83126,99698,123357,120021,105330,111838,106982,108481,103945,90513
151590,"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...",4,24,143,96,15,50,311,795,1569,1417,,9225,15195,14836,12846,6931,3731,3045,9188,12407,8812,,74955,81093,71841,71620,67245,65569,67584,73092,81744,95344
940171,"Upholstered seats, with metal frames (excluding seats for aircraft or motor vehicles, swivel ...",9,47,206,163,142,345,424,819,590,1410,,1453,2257,9095,18627,38199,49909,65300,143094,297745,288101,,32518,35979,39413,41641,44317,47781,56155,68425,88567,94927
400110,"Natural rubber latex, whether or not prevulcanised",16005,14849,7895,2934,1771,1873,652,763,826,1410,,109880,88966,84545,74900,78150,117578,117038,153557,204157,221357,,70143,63549,49360,39744,37506,45830,30239,27161,24786,30474
430310,Articles of apparel and clothing accessories of furskin (excluding gloves made of leather and ...,1424,2933,6669,548,1345,1622,1891,1951,451,1404,,368,2062,265,142,961,511,1855,299,105,1701,,94051,88839,92880,93641,99440,104035,126968,102598,62824,86116
390950,"Polyurethanes, in primary forms",400,386,104,360,188,175,416,599,717,1377,,4293,2923,4995,5969,2575,7637,15288,17433,12412,30308,,94608,107182,121750,103944,109614,114805,124168,118530,112433,153992
620729,Men's or boys' nightshirts and pyjamas of textile materials (excluding of cotton or man-made ...,0,0,2,0,0,33,91,491,973,1373,,2031,271,170,445,245,562,155,160,621,1375,,28,89,108,924,427,78,265,690,1188,1843
842123,Oil or petrol-filters for internal combustion engines,1788,2209,1868,1372,1055,1457,1424,1310,1646,1368,,6776,5771,6113,5835,6539,7584,7560,7148,12903,26730,,91710,93801,86103,76646,66716,79785,73188,69976,60303,70890
902690,"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, ...",12482,9869,1,1,29,18,216,784,1761,1367,,5108,6850,2321,1919,602,1939,6675,10262,10893,20657,,154032,167884,109250,116763,104829,114960,104944,95309,85511,104053
820900,"Plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",168,76,3,7,216,23,162,139,1026,1363,,1,28,0,5,0,16,159,587,1148,6331,,187902,179799,190269,179532,170376,180153,164429,138880,117695,147989
848291,"Balls, needles and rollers for bearings (excluding steel balls of heading 7326)",0,3,0,1,0,2,0,55,334,1361,,358,64,264,263,375,490,496,855,2074,4567,,91579,106797,118663,125906,120359,127123,129629,129521,120520,150716
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these ...,14,445,716,677,452,589,626,837,1079,1361,,1207,2413,7610,7433,10258,13678,14060,12741,8626,14498,,113514,157853,116142,118291,117804,133116,147327,137867,158842,156888
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",26,45,65,5503,6962,11800,14623,9897,11286,1359,,8243,12146,37898,56629,100813,194876,161401,101328,39050,202971,,72407,63193,63047,69574,62896,92696,95374,110656,177382,210825
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",111,150,395,2099,805,1596,9174,2720,2842,1353,,28013,32197,206571,307789,404078,588265,583637,573531,601270,515390,,309145,300657,295288,314428,369837,474772,536777,640203,668694,724447
460211,"Basketwork, wickerwork and other articles, made directly to shape from bamboo plaiting materials ...",521,615,741,1243,1070,769,830,722,1120,1345,,48146,50976,53997,54408,51514,46057,46057,50789,49730,37564,,4958,5162,4767,4673,3446,2522,2657,2927,3394,3144
854160,Mounted piezoelectric crystals,4422,1495,1555,172,340,325,319,716,1004,1338,,63,20,2333,733,279,591,1026,2708,3642,25447,,258181,265970,329468,390786,338661,299979,271509,211351,251905,464123
500400,Silk yarn (excluding that spun from silk waste and that put up for retail sale),5368,5920,5686,4927,3397,3152,3218,2077,934,1334,,41228,50512,50747,47271,39398,45388,41235,34753,19972,17697,,11229,10097,10722,10787,8319,5264,5216,4408,2382,2280
110814,Manioc starch,992,717,528,287,962,714,1674,1895,1108,1327,,779935,706978,738243,913838,738588,745585,795504,870353,865542,287454,,20824,14883,12938,11281,10625,7566,6452,5776,5574,6265
401290,"Solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber",3,2,0,39,115,276,437,938,928,1323,,3078,2872,2801,2665,12397,35428,46413,44174,49148,58430,,8509,10385,10128,8650,6853,8308,7558,8258,7266,7780
950662,Inflatable balls,88,544,773,997,1114,1439,1195,2080,1917,1310,,30932,43407,60321,63483,68867,85204,90765,113012,102831,117520,,16239,15899,19010,15311,15347,15541,17074,18104,14585,14100
460129,"Mats, matting and screens, of vegetable plaiting materials, flat-woven or bound together in ...",2109,1981,2076,1629,1113,1060,1685,1874,1516,1307,,7466,5512,9135,8604,6144,6320,8864,7234,7130,5909,,3791,3865,3744,2998,2713,2262,2784,3024,2578,2685
610690,"Women's or girls' blouses, shirts and shirt-blouses of textile materials, knitted or crocheted ...",57,126,74,373,465,38,584,1897,1281,1305,,51895,44140,50133,54569,56887,61351,59302,51693,40928,5035,,2453,1851,2494,2591,2633,1544,3387,3773,3327,4353
390210,"Polypropylene, in primary forms",47,55,105,95,1066,1641,924,405,311,1300,,109841,139383,148046,80234,96446,125298,182111,294191,321011,435828,,28050,40330,31036,26879,21831,26904,28924,28731,21002,27324
900490,"Spectacles, goggles and the like, corrective, protective or other (excluding spectacles for ...",45,437,631,1197,1105,2375,4857,8199,753,1299,,821,5982,8831,26740,322597,122726,19085,13621,8428,11885,,58630,39759,31149,26668,22642,24911,32452,45452,40674,31052
560392,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 25 ...",6,6,221,142,577,2852,1332,446,3070,1292,,384,636,1222,989,1953,5756,8123,12709,32209,30041,,95464,114868,138289,169086,221577,240124,260697,230005,319577,246403
701952,"Woven fabrics, incl. narrow fabrics, of glass filaments, of width of > 30 cm, plain weave, ...",19,0,0,0,0,0,0,140,963,1288,,0,0,0,0,0,0,0,94,0,1288,,86775,83940,79720,84571,82837,90976,88185,92968,101656,124665
590320,"Textile fabrics impregnated, coated, covered or laminated with polyurethane (excluding wallcoverings ...",1108,1192,1452,1041,888,1360,1137,1188,1177,1277,,11217,12027,6716,21828,11335,18906,29221,40081,29590,79558,,56343,60446,62870,58579,59547,52313,51005,54508,48992,56348
722020,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ...""",74,2298,1229,251,438,599,349,411,1137,1267,,1492,7448,3116,1869,2600,9965,23294,24619,18466,25204,,61411,53262,51567,57686,51642,49622,47021,36908,35207,40956
611780,"Ties, bow ties, cravats and other made-up clothing accessories, knitted or crocheted, n.e.s. ...",59,257,539,658,584,752,656,1352,1557,1264,,3051,5297,7013,11239,10992,13807,14021,21452,29960,30432,,3841,4550,5517,5797,7214,7915,10889,10093,12024,16528
200190,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar ...",39,90,191,106,116,108,269,815,1545,1261,,5967,5926,5011,3387,5491,5207,7606,8357,8563,5252,,13641,14658,16473,19068,21707,23316,24766,23853,26183,30087
200939,"Single citrus fruit juice, unfermented, Brix value > 20 at 20¡ÆC, whether or not containing ...",0,29,3,140,233,1657,1099,533,1169,1249,,159,6211,1087,836,3265,6412,6693,8245,5323,1919,,2049,4272,4202,3281,3749,4899,4034,3448,4434,5518
848320,"Bearing housings, incorporating ball or roller bearings, for machinery",0,0,2,0,4,883,2661,1847,2938,1243,,179,1835,5365,4292,9023,8939,15138,18827,20985,32873,,5378,6569,8648,7887,8076,9531,12055,9549,13020,11586
330210,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",35,46,499,669,761,797,771,780,1301,1241,,1102,686,571,334,822,845,1499,1632,1602,2612,,81931,79483,85325,80178,92125,95544,96301,100074,107205,112943
520544,"Multiple """"folded"""" or cabled cotton yarn, of combed fibres, containing >= 85% cotton by weight ...""",0,0,0,0,0,340,459,865,950,1240,,49,113,88,785,2169,9570,7799,7915,8777,12555,,3216,4119,3550,3784,3197,5509,7359,8888,9594,11760
560410,Textile-covered rubber thread and cord,694,599,603,497,432,632,882,1372,1029,1235,,6399,6202,6547,7687,10958,7928,8581,10615,9019,7222,,6928,5307,5278,4955,5361,4859,4567,4575,6006,4348
680223,"Granite and articles thereof, simply cut or sawn, with a flat or even surface (excluding with ...",327,577,289,677,291,448,790,455,702,1234,,11940,20777,22831,25247,25344,18753,19245,5733,8222,7062,,446760,451691,477460,516256,84309,45538,48478,24814,15635,16638
