Product code,Product label,Japan's imports from United States of America-Value in 2012,Japan's imports from United States of America-Value in 2013,Japan's imports from United States of America-Value in 2014,Japan's imports from United States of America-Value in 2015,Japan's imports from United States of America-Value in 2016,Japan's imports from United States of America-Value in 2017,Japan's imports from United States of America-Value in 2018,Japan's imports from United States of America-Value in 2019,Japan's imports from United States of America-Value in 2020,Japan's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
284590,"Non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not ...""",13167,13288,12453,16234,16123,14531,14812,19676,13809,19809,,75226,75371,101198,128717,118297,130016,153629,178355,178104,279983,,25924,23172,20184,22927,24204,20690,22483,27364,22376,27870
850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",16944,18152,18157,19178,18828,27755,25428,21668,22736,19801,,464197,502315,597010,614907,730345,860635,844027,807620,812397,783373,,329941,322267,343836,299749,314268,358511,422687,432601,393335,476864
292910,Isocyanates,17909,14665,18344,15161,17497,19342,21817,19492,15698,19723,,523122,517594,551495,439997,427311,570745,634389,379209,322532,436865,,129332,94818,83417,69175,75792,86640,103022,100160,87449,125713
481141,"Self-adhesive paper and paperboard, surface-coloured, surface-decorated or printed, in rolls ...",22810,22144,23277,23309,29594,26315,24157,27290,20172,19685,,411409,400910,423540,437570,418318,421150,439637,452610,428886,475852,,89897,91674,94321,92751,98085,91067,85899,92947,84482,92440
330210,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",13087,11322,12971,13541,15720,15683,19154,22722,18370,19622,,1163241,1236245,1204219,1225331,1298850,1353107,1421515,1422621,1398871,1724481,,275381,243858,219000,190365,210084,209803,210367,224767,214676,211330
591190,"Textile products and articles, for technical purposes, specified in Note 7 to chapter 59, n.e.s.",20642,18507,17306,16695,20330,21566,21299,18151,17551,19617,,313772,363200,383218,362049,365258,399571,416333,428704,394687,495629,,87236,88136,95233,100813,108785,121072,141080,138668,144529,161467
730729,"Tube or pipe fittings of stainless steel (excluding cast products, flanges, threaded elbows, ...",13788,14841,15613,16219,15329,17039,17542,15028,16556,19614,,258710,268585,270781,243691,236471,261334,284076,284305,273027,321030,,104225,111678,118073,116590,107606,121925,129050,114180,120282,130317
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",13245,17131,11677,13910,12780,13529,14777,12914,16233,19583,,717029,860591,951445,931110,906281,957405,987307,998302,824230,1007551,,69673,69681,67387,68860,64144,71298,72414,72474,74719,90702
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",36819,40864,47228,38791,22021,15731,14848,32259,15965,19531,,1002416,849050,936383,993281,970063,999497,1091356,1585127,1296729,1527746,,145002,163115,172336,171943,176417,185094,185136,248502,229972,257173
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",23536,22288,22859,21219,19873,23353,25582,20870,17022,19454,,398764,428109,451255,449271,462646,491932,511148,424052,402196,498662,,80850,74878,78664,73020,88134,102841,107993,88528,76892,101172
848420,Mechanical seals,35256,35665,32981,32528,29880,24193,28550,28369,35510,19422,,266408,282746,321422,332351,304328,344068,351659,358544,461272,702515,,92975,83476,78663,77664,80372,83243,112951,75269,77850,67833
902519,"Thermometers and pyrometers, not combined with other instruments (excluding liquid-filled thermometers ...",10344,10503,13007,12384,16593,19114,16090,17146,23022,19158,,301070,317954,365187,365745,396198,436172,511715,499369,534107,544574,,82308,84304,84424,91319,93573,92516,92306,91711,263486,236352
440791,"Oak """"Quercus spp."""", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...""",16133,16643,20851,19605,19662,15557,14161,15878,14364,19119,,609858,762799,1002275,910270,1020264,1271768,1160523,849457,785586,981346,,39413,33125,39873,35272,34715,25791,25098,29486,24865,29203
30499,Frozen fish meat n.e.s. (excluding fillets),20118,25035,32262,26387,30396,25929,24109,27119,22911,19012,,472190,432607,459076,474787,504554,504690,554441,537457,454276,519760,,651803,505474,559249,520858,516695,486641,524095,548899,444920,463187
760719,"Aluminium foil, not backed, rolled and further worked, of a thickness of <= 2 mm (excluding ...",14784,17713,16729,17208,20773,23164,12312,21374,23109,18933,,136176,134098,132265,118932,87297,90177,95057,91771,93713,104274,,98393,129416,145316,141781,123938,133207,137999,136213,143774,210115
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",21060,24314,24992,22720,20316,19057,19925,18312,18313,18930,,167133,172541,181056,199731,189621,195147,222519,231764,182813,183240,,284083,270390,272511,258128,241763,254690,251855,309674,350859,343967
848350,"Flywheels and pulleys, incl. pulley blocks",17242,13952,19022,32874,42093,45276,17033,17562,15691,18921,,367052,409588,1155294,1152708,715732,420728,458746,436407,336773,374575,,243679,282506,333927,309961,305378,328959,329097,299103,226615,263107
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",32093,30085,29311,21330,17942,18682,23957,17988,21260,18845,,798724,965277,1126925,1128230,1354028,1691845,2483316,2839086,4594358,5556407,,1344791,1022199,836307,832335,883401,948179,922639,915757,993281,956616
841210,Reaction engines other than turbojets,19690,11672,8658,12951,8,2024,8131,18773,12883,18777,,40241,44059,54306,45790,43993,58689,51696,42132,39736,41146,,19690,11672,8658,12951,13,2024,8131,18776,12883,18777
190190,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",25308,29331,27261,20988,21172,23226,22079,19275,19656,18682,,368480,345843,313472,319787,308520,327296,294394,296423,331495,323462,,471889,460070,472632,364609,333893,376155,380914,366728,376301,364860
120991,"Vegetable seeds, for sowing",17727,18842,15519,16905,22747,19523,24156,30368,16330,18345,,530118,550806,582181,625456,671344,629024,598948,592325,517380,547202,,113293,126276,121245,125258,135555,141317,154906,171583,153060,154359
870431,"Motor vehicles for the transport of goods, with only spark-ignition internal combustion piston ...",25933,24179,19170,7388,10095,13242,14590,21647,18990,18176,,7780010,9023051,8208307,7640309,8727099,9997029,9113860,11504202,8301872,9938208,,220435,207443,192175,160169,166670,193503,204751,191232,190988,253211
750512,"Bars, rods, profiles and wire, of nickel alloys, n.e.s. (excluding electrically insulated products)",18317,22237,27991,32837,35262,35084,57540,48292,45086,18054,,677586,601455,564226,576664,584728,607237,757786,817834,552177,470472,,29508,29726,36456,40820,42642,41415,66599,56771,52277,30415
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",6906,6124,6569,5663,5488,4395,6889,14435,13682,18049,,608815,627536,681750,698368,726689,734508,681774,633273,530559,552329,,102898,104750,130127,113005,134113,137817,139304,163482,164471,164795
391910,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, in ...",24280,21377,22122,20853,17746,18013,22077,22917,20561,18012,,748590,779724,846641,930714,881595,921066,891014,810848,722859,859865,,195542,196439,206393,196649,192165,201137,211118,204514,197059,227169
30339,"Frozen flat fish """"Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"""" ...""",62693,42997,50412,38469,39919,38644,25141,22369,19610,18006,,91463,164572,168577,140900,168035,159714,133635,150333,151647,109339,,73332,49743,57850,43289,46552,45332,30581,25890,22656,20399
830230,"Base metal mountings, fittings and similar articles suitable for motor vehicles (excluding ...",8161,9989,12359,15055,18282,13319,15667,16138,12148,17974,,633616,678921,824460,863297,936584,987046,1071207,1105814,857514,1000267,,116179,119169,117745,123127,134029,138675,150142,149110,128954,148833
20629,Frozen edible bovine offal (excluding tongues and livers),5188,15182,20002,20574,20444,11222,13352,11665,17656,17823,,269127,266145,294806,305687,306453,301648,319566,318577,294185,327346,,45659,54241,62579,70119,86940,54697,64059,78689,76949,82254
841410,Vacuum pumps,10271,8757,9726,8293,8333,9940,11032,10865,10871,17794,,286092,308230,312927,298276,324765,303953,343106,367000,335609,376154,,138705,129208,130555,126180,138759,138024,147710,127837,122933,146201
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",21407,21351,27084,32893,37452,32599,28054,26589,23267,17654,,1869109,1852051,1894134,1855034,1890537,2002951,2165102,2179589,1620766,1819764,,4244949,4191800,4205777,4028494,4027210,4407284,4829752,4988948,4524737,5151759
848410,Gaskets and similar joints of metal sheeting combined with other material or of two or more ...,11349,11823,11594,12214,14417,16827,21369,22466,17914,17516,,287890,313498,340481,323569,310592,346639,349653,356732,332744,374835,,47370,53167,56618,56759,71909,75220,83261,84633,66110,82524
391739,"Flexible tubes, pipes and hoses, of plastics, reinforced or otherwise combined with other materials ...",8264,11395,14499,15248,14713,14897,18648,16622,13843,17379,,323434,369603,349686,367385,321843,361079,453486,436453,358007,423366,,49651,44799,49243,46597,46109,47830,64939,68323,59937,71326
392071,"Plates, sheets, film, foil and strip, of non-cellular regenerated cellulose, not reinforced, ...",2260,4899,4539,2604,2601,2221,1996,2583,9549,17338,,31367,33099,34673,30662,28845,30280,31048,33107,45997,48931,,2924,5110,4816,3056,2995,2704,2340,3123,9820,18545
841920,"Medical, surgical or laboratory sterilizers",1825,1027,563,615,8168,12364,6990,9736,9441,17318,,192539,182161,154167,137877,138083,123762,139071,141003,153433,142750,,26798,23813,18278,12964,23736,28679,26756,32528,26045,30940
853180,Electric sound or visual signalling apparatus (excluding indicator panels with liquid crystal ...,22559,20482,15855,16155,19772,22939,25685,22957,17145,17258,,350997,345324,383701,348233,334433,377161,423303,431518,332367,358694,,109269,96594,110452,102845,99250,108293,117212,104780,99796,116655
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",21044,16592,20354,26286,28422,18117,17065,15737,14803,17209,,1175187,1132810,1257701,1153327,1109223,1184312,1288862,1343212,1254043,1455147,,317536,283450,306370,300284,305908,321988,359956,349740,279447,349324
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",60373,58357,54387,47811,36062,38457,43451,20838,20945,17091,,1152967,936911,1011101,1087735,945951,816621,948715,1100961,849024,1111823,,74804,67444,64947,55889,44600,50529,54363,55051,48578,65853
281000,Oxides of boron; boric acids,37398,34808,27304,22944,18703,17049,17483,15505,15445,16985,,156299,212009,178642,149129,149758,140283,166002,154508,159749,179355,,93191,74471,59465,40991,32132,29301,37821,30043,18571,24787
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",18195,25669,31479,29105,52251,55912,42088,32126,17386,16780,,1520314,1655912,1506768,1424410,1460439,1431050,1312089,1196285,985489,1038597,,553610,493701,472397,255787,252034,244642,218635,242106,273507,280058
391211,"Non-plasticised cellulose acetates, in primary forms",38055,40964,38724,30029,29791,22784,21049,15483,18325,16677,,440008,538526,524032,391100,385006,376597,382270,385624,421131,529538,,94085,120498,108775,95654,76009,38930,21156,15494,18352,16680
80252,"Fresh or dried pistachios, shelled",1429,1930,3299,2989,2781,3498,3654,4778,6257,16668,,69439,48217,47142,40612,40867,65396,69842,106638,68177,103678,,4928,6344,8437,9579,8242,7560,8746,11502,9419,20903
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",21965,19817,19539,27894,16894,20149,23348,20708,19012,16620,,755199,730265,714048,684371,639534,663906,862681,816153,640185,774809,,526742,358139,502553,522453,424965,521097,556248,453728,363301,485207
392310,"Boxes, cases, crates and similar articles for the conveyance or packaging of goods, of plastics",21394,19465,16111,16524,17671,14929,16915,19101,17969,16462,,1401192,1644438,1671799,1662021,1690925,1637570,1738252,1708771,1527759,1635406,,356682,315356,341620,313829,363662,225976,150703,149242,138856,153995
71220,"Dried onions, whole, cut, sliced, broken or in powder, but not further prepared",12804,12389,14748,13862,14652,14847,15411,14092,15378,16311,,80340,86700,84599,90218,80180,81753,81350,79329,82839,83807,,20928,20377,26273,23566,24664,28021,28099,26626,28126,29134
903281,Hydraulic or pneumatic regulating or controlling instruments and apparatus (excluding manostats ...,19761,12921,15215,16772,18670,20902,19407,22304,18444,16281,,174077,173288,164809,155956,130579,124583,133364,120061,122302,127544,,26693,20714,24064,26760,28615,30064,39179,55714,38197,47325
920290,"Guitars, harps and other string musical instruments (excluding with keyboard and those played ...",20378,24424,24272,23896,24890,20510,17681,17826,12729,16272,,132950,134559,143869,151287,149081,131560,140150,152842,125230,166875,,47288,48443,51306,48440,54846,45036,43050,47128,51904,57574
290129,"Hydrocarbons, acyclic, unsaturated (excluding ethylene, propene """"propylene"""", butene """"butylene"""" ...""",12298,18138,15125,15559,9450,14178,12930,14252,14999,16124,,649068,539637,642058,563827,580330,538547,589905,657168,644972,893856,,67123,67325,52347,39190,34292,43929,52688,65948,44910,46017
848790,"Parts of machinery of chapter 84, not intended for a specific purpose, n.e.s.",17577,17499,17958,14144,19765,20600,14390,11682,14809,16078,,651422,673852,770656,594803,601771,649114,708474,663764,548654,775355,,196004,167489,198492,182211,167142,157155,151666,138303,115738,140631
292249,"Amino-acids and their esters; salts thereof (excluding those with > one kind of oxygen function, ...""",12779,11898,10958,31391,10403,12533,12628,13765,11928,16062,,165779,167854,202957,206571,233937,186795,195241,182442,158169,201466,,152720,148295,136192,143897,166003,484843,660246,266512,681070,294158
848110,Pressure-reducing valves,19007,20549,27352,21073,22184,21562,24239,23108,19692,16016,,422910,461417,430269,421664,393631,414348,431262,417501,363657,375006,,75979,69794,83634,79049,76653,78826,87300,87663,84480,89145
293750,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues, ...",1866,1610,83,106,95,75,202,68,298,15969,,63961,28529,242710,326365,303424,144190,113390,123229,125839,88404,,21649,20120,41757,30390,39012,28829,20209,9292,7762,29495
821220,"Safety razor blades of base metal, incl. razor blade blanks in strips",34785,31504,22572,25104,33179,42505,40842,32646,29506,15949,,186920,157871,160672,155464,131849,136242,161574,137950,127862,152898,,162280,138668,109138,124725,132766,115917,105551,95192,62824,69162
381511,"Supported catalysts with nickel or a nickel compound as the active substance, n.e.s.",28180,42109,24751,26515,26334,36808,21963,17824,24494,15867,,258559,277616,321606,294977,221252,365696,377372,515730,443466,406674,,40793,62284,36634,37128,41464,51438,40836,45031,37079,36228
40210,"Milk and cream in solid forms, of a fat content by weight of <= 1,5%",27232,17805,29334,10389,7662,22431,17501,12913,32147,15863,,1346317,2051214,2135944,1386730,1184701,1267422,1342998,1658868,2022841,2498225,,100682,116684,179950,128267,62035,130816,100269,104877,103791,58756
851140,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition ...,29067,26522,60204,28192,56086,39270,57936,34552,20594,15860,,511767,552663,610884,643412,713518,746226,783153,836110,621844,565673,,108940,111774,155462,117803,147635,133025,152235,123366,85771,88155
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",20846,22864,22258,27458,25291,23251,29179,27370,22964,15859,,1004624,1091642,1135701,1149075,1119710,1153261,1226970,1251807,1088994,1397451,,175140,169506,174939,154661,152489,153726,176817,189093,158300,177104
290549,"Tri- and other polyhydric acyclic alcohols (excluding 2-ethyl-2-""""hydroxymethyl"""" propane-1,3-diol ...""",23649,23228,16295,18753,19083,23056,20817,21708,15872,15844,,48101,51986,40533,41527,36569,45943,45279,45682,46129,53955,,50018,48718,40577,40796,40860,44804,62090,51423,57640,60848
848140,Safety or relief valves,16470,24060,20690,18749,19620,19808,14591,17602,15181,15776,,792643,1111813,1329709,1308535,1034612,957714,879988,779487,844230,810464,,46880,49926,50166,59792,84243,109227,80032,80384,67897,90749
854420,"Coaxial cable and other coaxial electric conductors, insulated",8456,11118,14957,14933,18024,15805,13493,15020,10974,15621,,660935,589382,611416,627526,599312,543591,579799,527807,473311,534956,,115728,106578,103316,87074,96492,126312,148755,131299,139783,178735
681389,"Friction material and articles thereof, e.g. sheets, rolls, strips, segments, discs, washers ...",16245,15831,14434,14803,15608,14864,17892,13268,13334,15556,,125770,145979,173645,190622,194073,210961,174846,131787,97164,119123,,18898,19420,18629,17316,20401,24529,27806,22554,20411,23279
71010,"Potatoes, uncooked or cooked by steaming or by boiling in water, frozen",20694,17900,15347,18724,18005,21793,15754,13731,14985,15474,,30007,29549,30390,23389,36194,41150,33458,35750,32250,33905,,35426,31155,26891,30071,30241,40264,31275,28450,28595,30260
850152,"AC motors, multi-phase, of an output > 750 W but <= 75 kW",11095,12491,19198,11942,13064,16729,25527,27290,11697,15414,,321620,344356,352230,342087,340230,347329,367369,351626,325125,378726,,244114,232367,293022,296502,287997,326979,378202,359150,291805,363223
940540,"Electric lamps and lighting fittings, n.e.s.",17047,16751,18549,21155,24045,24359,24290,28824,22006,15385,,732948,782518,907236,950758,842641,807593,864513,862285,638486,649516,,331083,346062,366353,339444,377540,380166,388355,412516,373018,436103
870410,Dumpers for off-highway use,29335,25955,20180,15040,5493,7182,14431,16841,8826,15347,,6241809,3346767,2303009,1362956,835388,1601004,1650693,1865955,1917513,2150185,,44477,52526,45763,35820,24553,24841,40636,55579,44002,69852
560394,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > than ...",10215,12018,12375,13260,14514,15133,14918,16258,12499,15304,,133141,135242,140044,125873,96477,104148,114104,104141,106365,123499,,43281,46148,48942,44330,43743,48198,43501,48981,39926,48123
262019,"Slag, ash and residues containing mainly zinc (excluding hard zinc spelter)",4864,6001,5708,6493,5081,7604,10447,8282,7918,15248,,10332,16764,28631,23959,30011,31697,43095,38741,30814,45613,,35589,40907,51907,45521,40941,69486,75573,63647,55201,105349
391400,"Ion-exchangers based on polymers of heading 3901 to 3913, in primary forms",13205,11958,17698,15277,12476,14957,15200,17235,15490,15136,,180806,162303,143751,175496,167250,185023,192805,199933,223728,227778,,52949,56567,56083,48716,43283,46447,56956,59536,59890,68023
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,17251,16895,13277,11290,28877,30354,24429,11877,9649,15024,,919703,1129375,1244180,1385390,1695555,1765523,1856186,1840554,1489554,1497812,,429798,511125,623913,659253,708650,609921,692818,730938,548615,629264
160241,"Hams of swine and cuts thereof, prepared or preserved",1538,7813,13288,12510,9045,14833,22044,18177,28362,14990,,79189,112158,126419,102319,95655,95164,97469,96034,74058,95635,,34840,34291,37843,29178,25341,31386,38935,34455,43363,29229
970300,"Original sculptures and statuary, in any material",2697,5120,7776,26067,50161,27281,15994,32714,12386,14982,,1029987,1089009,1467496,1786478,1773715,1740319,1939427,1965026,1163165,1298615,,12253,34212,37941,51102,105934,46467,62835,61060,46827,66263
271210,Petroleum jelly,11144,11062,11852,12756,13403,11644,15680,14424,15491,14969,,58060,56493,59608,59179,54949,48074,57632,55098,57312,62783,,11990,12136,12983,13602,14269,12567,16528,15358,16441,16068
380893,"Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings ...",22086,22384,15336,13906,15351,19131,16612,16908,11586,14910,,1383596,1601393,1659188,1436338,1370021,1781376,1619239,1463687,1445808,1565597,,154991,160870,155777,138815,130384,146486,157379,137715,185794,192075
80540,Fresh or dried grapefruit,118200,87494,74007,67289,64621,42516,30748,28186,27399,14892,,158849,134719,123817,122314,104349,79359,66626,71459,70290,51880,,176211,131783,112838,105419,105522,91662,86548,76931,75753,58961
940190,"Parts of seats, n.e.s.",16710,18338,26617,29670,37838,42914,40682,55532,37364,14881,,2382404,2578126,2974229,3038043,3112351,2897679,2621682,2414533,1692710,1611023,,1041723,1028777,1159269,1207173,1263140,1314173,1403193,1405670,1099325,1157723
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),18842,15565,14823,13725,9453,11859,13072,17525,15099,14866,,1069139,1190004,1387499,1306314,1370849,1180606,1342143,1321999,1312132,1864759,,241016,237090,269725,239856,240025,296453,365791,406155,429112,634756
950699,Articles and equipment for sport and outdoor games n.e.s; swimming and paddling pools,21104,20366,18183,17785,18238,19592,18607,16280,13870,14844,,508239,546646,550033,512192,526595,527541,502747,505198,454766,620476,,246587,255966,255337,224851,221876,213536,215123,212599,199911,225198
900410,Sunglasses,15072,14304,17499,18975,23564,22978,21733,21896,12967,14800,,388533,394116,406994,414521,438002,414684,399490,398390,277404,381651,,123812,144231,148685,147761,165625,182209,188706,195878,137157,137821
390730,"Epoxide resins, in primary forms",24984,24131,18810,18617,20989,16996,22174,21261,18104,14766,,753307,691140,765847,686440,680640,682251,690586,741650,687863,777047,,153466,153118,155308,138302,137891,155660,190847,169310,149234,213412
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these ...,18786,18419,22065,21295,15923,15631,16015,18143,16821,14758,,826071,808601,823114,807897,758075,824400,829822,758195,687790,764781,,288210,284461,314963,312744,301684,336098,365152,357216,297349,360753
841990,"Parts of machinery, plant and laboratory equipment, whether or not electrically heated, for ...",17090,23607,19496,15467,18902,22271,23812,28408,22091,14748,,856610,901399,867117,855710,801848,727447,808090,790902,646839,666377,,268285,260586,276299,234516,262284,265963,286668,313945,266478,278476
850790,"Plates, separators and other parts of electric accumulators, n.e.s.",30246,10977,20111,15742,14035,16147,19537,18423,15444,14633,,198801,182339,169282,282044,333764,314270,323756,421024,310563,346333,,95240,70884,71497,96549,107499,106352,102830,72268,89420,132348
700100,"Cullet and other waste and scrap of glass; glass in the mass (excl. glass in the form of powder, ...",3056,3737,3956,2960,7824,7305,14063,17058,7022,14625,,9872,11026,17248,22130,24924,39881,51122,84896,86491,135485,,28715,14721,15113,14184,17600,18568,33616,31643,22342,35685
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",26256,24280,23135,23200,18825,18892,18295,16731,13149,14593,,541775,552015,533549,414722,296901,345274,378304,389854,301020,334610,,157558,140101,145258,129675,139530,150018,143985,139744,115050,143890
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",18898,18826,16408,16898,18680,18002,20651,21044,16419,14428,,855771,797742,948932,827761,840836,884359,928901,873669,867882,973519,,91598,86439,95232,86876,101677,98338,115188,113834,115816,109171
282911,Chlorate of sodium,0,0,0,14372,14454,16654,16744,0,9296,14397,,24304,22472,25727,22994,22070,23880,23501,25459,21146,26491,,42274,38197,38702,63875,60890,34366,57120,4436,22739,28628
841981,"Machinery, plant and equipment for making hot drinks or for cooking or heating food (excluding ...",12619,12037,13622,15193,14242,21916,17573,17228,15473,14272,,582899,604578,650101,653408,682042,668958,697021,681821,459197,650274,,128926,145024,126492,129177,116702,141339,141500,149453,143426,120811
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",18458,21767,23414,23633,24860,25961,26563,21841,13891,14260,,484192,563502,613741,895068,666781,631414,786869,723840,734492,888542,,181253,171006,167330,150207,154328,162620,172782,181795,200559,242070
220190,"Ordinary natural water, not containing added sugar, other sweetening matter or flavoured; ice ...",47142,44889,38124,32132,28790,23953,17399,15909,15741,14197,,31224,38798,66244,71249,79307,80292,101767,101330,120390,108087,,47997,45648,39106,32565,29344,24470,18053,16509,16297,14896
220299,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)",0,0,0,0,0,42804,39347,24322,15087,14152,,0,0,0,0,0,849577,814467,877178,872848,934469,,0,0,0,0,0,182030,176482,189860,198451,192465
390230,"Propylene copolymers, in primary forms",20993,19135,21771,15828,15698,20115,22132,14119,10897,14141,,1319162,1369267,1395207,1176681,1152593,1293602,1459597,1364827,1155823,1720507,,343027,251445,300636,194616,189125,248149,477996,321100,245439,342930
330510,Shampoos,23824,23661,19745,18294,18661,19239,16727,16236,13132,14055,,397356,414009,448741,439802,455549,480694,508198,504533,466496,483227,,264121,207664,171948,144874,161029,168866,178553,176545,151110,146865
30363,"Frozen cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",54450,38878,51402,46567,45844,56888,45965,27772,21802,13992,,291205,275131,285709,300315,288527,272878,229406,198213,126471,86335,,58417,43032,53783,50384,49180,62244,51361,35111,38235,39269
701990,"Glass fibres and articles thereof, n.e.s.",18608,21971,22280,21611,20765,19803,21648,23563,20294,13881,,364633,367099,382472,378573,345026,347053,363304,318154,306058,373398,,63545,73710,71743,72384,77193,78074,94524,96901,88718,101001
740911,"Plates, sheets and strip, of refined copper, in coils, of a thickness of > 0,15 mm (excluding ...",79,300,2046,4944,3136,3229,1785,6260,12526,13786,,96687,95770,100903,92652,85843,119542,132246,115785,115041,174759,,21880,21647,56403,33122,25854,28918,48934,56122,71455,112074
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",37828,28313,26116,18426,28479,18770,16435,9111,5167,13754,,16590142,19095325,20929607,18322930,18845371,17897884,19479054,17379186,10117261,14369777,,898649,870900,888885,776932,912632,762208,849376,703765,448548,532903
820900,"Plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",20172,17491,17060,15496,16099,15851,17292,17240,12873,13748,,569697,546079,564104,506624,431229,470891,493247,487915,388876,464457,,263924,235563,245141,227474,234509,247323,228802,211787,167363,221054
870360,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,1483,8817,8379,20172,13732,,0,0,0,0,0,1122363,1063479,1026236,2710964,4326721,,0,0,0,0,0,172069,230467,140158,150071,251235
20120,"Fresh or chilled bovine cuts, with bone in (excluding carcases and 1/2 carcases)",121,1271,6058,9235,12048,12619,14297,13064,9719,13656,,244649,236619,179466,162430,154433,215071,242069,217076,180437,277042,,647,2259,7301,10518,13566,14023,15943,14710,10713,14724
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",40878,35802,31716,14787,12280,15775,15338,12511,13615,13652,,762924,765696,833149,877194,928020,915559,945656,800856,715039,783380,,97817,78606,75394,47902,43545,42171,48119,45038,45198,49069
853190,"Parts of electric sound or visual signalling apparatus, n.e.s.",17851,15081,17670,21960,15521,16080,15955,19399,12822,13599,,420772,408982,429262,465061,471510,456986,486186,469164,343162,385516,,72742,72370,71117,71066,60128,59694,65131,66181,64112,63436
390599,"Polymers of vinyl esters and other vinyl polymers, in primary forms (excluding those of vinyl ...""",19890,15568,15634,13520,18030,15457,11377,15517,16129,13574,,387700,373427,347426,371925,380482,393285,377566,377701,294558,294849,,39336,28793,29877,26832,31610,29062,28017,31353,32178,29629
390710,"Polyacetals, in primary forms",12264,11679,11487,13523,15110,14312,17371,13065,13153,13531,,233185,235588,253220,315281,318048,318527,311763,271136,251639,297046,,50355,44961,55078,55026,58894,68059,73422,74735,56846,73457
320730,"Liquid lustres and similar preparations of the kind used in the ceramic, enamelling or glass ...",12849,15384,9889,7705,6940,7543,8748,7111,7362,13498,,373611,166048,111729,40887,35892,37059,27581,27883,23604,29987,,120130,93380,80648,82435,66587,64274,49472,43044,57339,84719
392350,"Stoppers, lids, caps and other closures, of plastics",9066,11504,10862,11077,10259,11241,13540,14705,12703,13463,,763293,744869,772089,757840,790843,782559,835823,820253,798205,907318,,138692,146426,151545,137358,156994,177521,205968,210123,192909,208588
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",21246,17964,19999,17515,18527,18212,19626,21231,17008,13448,,475995,465465,454987,425802,432707,457996,512762,634593,510791,740894,,1192070,1164692,1089616,1026898,1132970,1146712,1208347,1358420,1220003,1284660
