Product code,Product label,Australia's imports from China-Value in 2012,Australia's imports from China-Value in 2013,Australia's imports from China-Value in 2014,Australia's imports from China-Value in 2015,Australia's imports from China-Value in 2016,Australia's imports from China-Value in 2017,Australia's imports from China-Value in 2018,Australia's imports from China-Value in 2019,Australia's imports from China-Value in 2020,Australia's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
420330,"Belts and bandoliers, of leather or composition leather",11934,11502,11963,11058,10836,10434,9583,8812,6074,9105,,479944,487183,498211,424876,345719,290315,293274,270147,216037,272087,,22906,22561,23449,22472,22138,24454,29147,31238,19398,25884
621050,"Women's or girls' garments of textile fabrics, rubberised or impregnated, coated, covered or ...",1513,2319,2927,2502,5285,5154,7762,7415,12352,9064,,1608713,1992874,1979448,1465847,1199003,1222435,1205851,1063746,970752,960556,,2531,5754,4810,4366,7318,8316,11422,11245,15731,13856
293220,Lactones,2989,4794,3089,2779,4453,3466,4530,5783,6151,9056,,647787,689476,668230,838980,826369,841386,1321549,1272673,1169989,1168596,,15205,11260,7487,7499,10055,8675,8852,9672,10980,11353
741999,"Articles of copper, n.e.s.",6581,6751,9015,10250,7655,6323,7034,7786,7569,9048,,202581,185740,215176,190946,181045,186624,195734,186453,195880,271208,,25271,24416,33325,27623,25430,15666,18232,18272,17351,22218
300650,First-aid boxes and kits,6209,5337,4609,5151,5047,5228,5954,6251,7834,9032,,102582,111441,126551,139680,150734,149277,176801,175779,198058,195917,,6765,6170,5197,6004,6085,6147,6998,7042,8942,9948
300390,Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic ...,2286,1822,1671,1260,1442,736,2788,5645,10553,8998,,208108,217613,219684,262564,286293,267762,312378,345310,392404,351011,,63766,58929,66870,42685,33445,27309,45649,31046,27598,53325
870360,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,131,1561,1309,0,8989,,0,0,0,0,0,113578,199691,522937,972782,1304614,,0,0,0,0,0,9532,18376,31691,48439,68750
391000,Silicones in primary forms,1501,572,298,1194,2623,2624,6630,3153,4325,8979,,320781,301661,374908,403188,388720,634021,1102406,754437,722672,1316410,,26136,23273,26391,24757,26794,25217,31290,23142,26094,32686
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",4401,4535,4695,5906,6242,6002,5589,6679,6854,8957,,2134877,2808650,3330148,2843291,2893061,2905077,2940015,3145809,3946023,4832608,,74130,76138,71996,69837,69687,64503,58028,52848,58470,77658
210610,Protein concentrates and textured protein substances,1221,1438,2869,3372,3353,4007,5803,5560,7265,8904,,174654,237326,239804,193397,190527,216698,295197,286971,363193,387298,,29635,30164,34342,40727,52857,48108,44394,50664,55841,70602
848350,"Flywheels and pulleys, incl. pulley blocks",9013,7602,7823,6446,5259,6609,7637,6647,7890,8902,,289083,289647,289989,275715,260256,260374,307074,297451,287983,376157,,54865,51342,48439,45859,39677,41345,44166,40734,40418,48817
560394,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > than ...",1624,996,790,986,2617,2305,4270,6359,6074,8862,,263492,306850,364163,401500,397641,385449,453887,486384,496830,639709,,7391,6692,6049,6643,10268,10433,10689,13465,13104,16466
611090,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of textile materials, knitted ...",13561,15405,13893,17456,13212,8751,7319,6167,5443,8841,,414309,424709,405531,309245,260072,217050,209477,167786,116984,123534,,17515,18664,17932,21474,16550,12371,10918,10680,9257,12813
540720,"Woven fabrics of strip or the like, of synthetic filament, incl. monofilament of >= 67 decitex ...",4477,5286,7338,7503,7218,8694,7807,6580,8741,8791,,132029,161617,174227,171612,190822,198764,207592,195351,196441,245909,,22569,24557,24479,25174,22404,25087,22203,19873,25680,27505
730459,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other ...""",14478,9048,11052,10575,6309,8314,12794,14247,11618,8770,,321877,213363,368858,209368,172607,257083,280053,227731,214682,313683,,71589,51935,46390,33167,33961,39509,56822,51516,46968,45062
640192,"Waterproof footwear covering the ankle, but not the knee, with outer soles and uppers of rubber ...",6548,5769,4601,5325,4289,5602,4274,4770,4688,8754,,459688,496904,636355,614041,522428,510204,549857,562290,459673,593535,,8380,6701,6011,6533,6637,6799,5496,5730,5582,10318
901849,"Instruments and appliances used in dental sciences, n.e.s.",2802,3092,3747,4934,4622,4559,6115,6693,5829,8713,,149387,164138,185247,182292,183615,195355,239378,290195,307863,403402,,89083,91530,98168,98479,97989,107685,109669,107800,110644,147411
860791,"Parts of railway or tramway locomotives, n.e.s.",2539,2555,1620,670,1969,4391,4683,6482,10943,8709,,186581,187369,276769,254429,228344,242039,313511,324667,302694,322234,,74352,22509,38281,21570,22223,35178,28257,27975,24195,18495
845210,Sewing machines of the household type,14072,10866,7834,7587,4138,4000,5073,3068,7072,8700,,426262,391214,382898,329654,285123,233768,227020,198752,308910,336763,,38911,33800,30763,29135,24039,22346,27948,21854,30247,36910
848050,Moulds for glass (excluding moulds of graphite or other carbons and ceramic moulds),6074,6363,6151,4479,5187,6658,5683,5914,6641,8668,,81437,88046,93068,94615,96579,103098,110416,125045,115940,139383,,11869,14610,12269,9981,8977,8518,7404,6529,7142,9580
611012,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of hair of Kashmir """"cashmere"""" ...""",2820,3815,4057,4098,5275,5309,7868,6973,6015,8656,,555677,637329,619275,493303,464592,534892,558718,547571,437513,547511,,4903,6039,8419,7981,8991,8676,12349,12224,11203,15793
741210,"Refined copper tube or pipe fittings """"e.g., couplings, elbows, sleeves""""""""",2533,3941,4647,7183,8766,10266,8899,5496,7806,8629,,122103,131031,146947,137630,132828,149376,184906,168599,162611,247581,,22796,28177,35325,38851,37050,41451,45835,31228,29437,37947
870240,"Motor vehicles for the transport of >= 10 persons, incl. driver, with only electric motor for ...",0,0,0,0,0,42,74,13,0,8616,,0,0,0,0,0,75000,165491,361101,621927,442898,,0,0,0,0,0,1603,774,1252,42,8616
290532,"Propylene glycol """"propane-1,2-diol""""""""",0,3215,3248,4403,2734,4091,4135,5073,4889,8588,,116390,147038,181388,150232,127422,139563,187995,150310,136485,291528,,9248,8416,11758,11503,7670,7765,13645,17863,19690,32989
820713,"Rock-drilling or earth-boring tools, interchangeable, with working parts of sintered metal ...",745,945,699,2797,5730,6353,8492,8161,8585,8575,,34030,44262,46193,30266,26886,37094,42859,47964,34210,48610,,69742,64939,51894,44018,41567,49099,60055,60911,58646,63224
560121,"Wadding of cotton and articles thereof (excluding sanitary towels and tampons, napkins and ...",5696,4571,6536,7150,6931,8229,8494,6859,8795,8535,,179244,144431,165201,172561,166420,176735,173474,156744,177014,189210,,14506,12269,15341,14429,12574,14343,15331,12795,14366,12810
847950,"Industrial robots, n.e.s.",2797,2689,1859,3123,3751,3865,3753,3310,4530,8527,,129383,134631,137513,144442,155274,207878,264998,240355,243461,309588,,22708,13499,11396,13985,16307,19332,28113,18379,22154,34721
846221,"Bending, folding, straightening or flattening machines, incl. presses, numerically controlled, ...",3468,2660,1866,2445,1885,2595,4173,5145,4257,8518,,83742,98406,109486,101777,112965,132648,155480,177520,158387,183032,,28859,23365,25286,19033,21480,25151,29315,30532,29900,44546
300420,"Medicaments containing antibiotics, put up in measured doses """"incl. those in the form of ...""",7820,2155,2303,3214,4197,6662,5040,5250,11057,8497,,254057,244449,284828,251756,263817,290516,365249,426873,458576,466850,,480537,410277,291815,180652,160070,181173,142966,140354,142759,114802
291733,Dinonyl or didecyl orthophthalates,1887,316,1020,1496,1471,2562,6905,8552,3833,8479,,75855,53470,68001,46482,42383,64471,67656,57503,32797,75968,,2133,777,2512,2437,1999,5316,10735,9393,5348,11587
200490,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar or acetic ...",1422,1190,1184,1464,1744,2413,4452,6063,5749,8470,,270309,282619,269417,270516,301600,310806,331779,348928,335302,322646,,12926,10892,14547,16056,22559,30305,35935,36326,34411,42188
721691,"Angles, shapes and sections, of iron or non-alloy steel, cold-formed or cold-finished from ...",607,1672,3054,3811,5625,6443,9773,8655,8089,8467,,66968,69252,79509,79884,76648,97310,105089,129891,170864,295749,,2138,4700,4022,4493,7108,7189,15233,9298,8516,9456
871310,"Carriages for disabled persons, not mechanically propelled",4003,4525,4269,4410,5174,5518,7763,7662,5853,8452,,329990,349762,410207,416529,420908,457955,504870,513832,452014,575081,,13321,15049,14959,15944,15908,18325,24434,26574,28041,27714
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,2601,3430,2302,1971,7045,6692,7899,6088,6264,8437,,702754,785053,898515,895376,846606,958962,1113123,1213701,1146693,1271219,,33535,33507,33990,31481,42732,43165,45057,43945,42380,47446
950651,"Tennis rackets, whether or not strung (excluding table-tennis bats)",7583,5922,6116,6192,5430,4620,5901,4875,5278,8420,,59263,56819,51946,50301,40992,40158,42881,43084,40318,51032,,8694,6958,7069,6819,6260,5536,7434,5654,6138,9444
620113,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made ...",9645,10341,7772,10617,12445,10304,12347,10967,6913,8405,,314172,332695,352262,319386,287102,424358,659481,725636,574142,636669,,12922,13447,10410,12801,14641,18078,22843,23942,11149,13713
701990,"Glass fibres and articles thereof, n.e.s.",6296,11374,7297,8198,5199,5790,6914,8360,8254,8404,,409105,442307,505001,491850,456075,526741,582667,630765,691685,813595,,22347,27727,23284,22124,19765,26492,30734,32130,30974,30498
760720,"Aluminium foil, backed, of a thickness (excluding any backing) of <= 0,2 mm (excluding stamping ...",3556,4132,4685,7817,8043,6904,5862,5451,5213,8384,,394414,439720,480534,470562,496698,565181,651595,624957,599496,651863,,40508,41727,37938,38778,40459,42378,41034,39694,34576,45636
283325,Sulphates of copper,0,0,9781,12658,3969,5590,8547,9971,6752,8376,,39087,30493,31384,29177,19598,27608,32285,37528,27876,23996,,41867,11843,38875,57654,16624,37593,49726,71245,50057,84333
382440,"Prepared additives for cements, mortars or concretes",901,3143,0,2964,3861,7950,9251,9173,5617,8358,,191192,263498,290281,324508,239798,248624,308581,271225,207497,236817,,21534,21896,25735,21006,16760,24579,27093,26705,21144,27563
330129,"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excluding those ...",5800,7187,6160,8052,13502,21448,35984,26255,14663,8352,,184063,212237,366108,502812,355724,296054,415551,303870,263267,261321,,18557,19060,20928,29942,40507,64625,86980,71125,48334,41633
848140,Safety or relief valves,1279,3407,2758,3124,5590,6556,5032,3801,5089,8350,,86350,111646,161617,150929,128460,152776,174239,179457,170490,184900,,49923,61402,73009,61426,59722,53933,53269,52828,48485,48814
843680,"Agricultural, horticultural, forestry or bee-keeping machinery, n.e.s.",6029,5130,5410,3626,3347,4805,5872,4378,5825,8349,,105964,100837,105883,116418,125619,165897,163294,174414,232322,308171,,63073,67293,90010,104312,81004,88665,85927,80319,72520,88002
820420,"Interchangeable spanner sockets, with or without handles, of base metal",9740,9705,7354,6505,5194,4819,5274,5008,5742,8333,,122553,137272,151932,143116,158524,186472,236230,244520,302982,382284,,34712,30386,28329,25598,25727,28804,31987,30252,31081,42954
761290,"Casks, drums, cans, boxes and similar containers, incl. rigid tubular containers, of aluminium, ...",6901,5064,3990,4179,3773,4180,4221,3611,5299,8328,,174025,172519,193664,182186,153214,176592,209276,228601,259834,488223,,17924,25599,19023,14361,18660,16970,14622,12827,19528,32130
200870,"Peaches, incl. nectarines, prepared or preserved, whether or not containing added sugar or ...",2974,3820,5884,4947,4761,4261,5406,6273,7210,8320,,180682,202929,209133,191980,163473,158915,169789,150052,170163,152357,,11288,9592,9671,8049,10446,11451,11526,9756,10742,11854
830220,Castors with mountings of base metal,7351,7332,7113,6834,6283,5931,6634,5393,5415,8292,,221433,280535,313942,332897,307034,324699,349142,351291,456290,564290,,10313,9769,9748,9538,9045,8955,9607,8041,8310,11048
390950,"Polyurethanes, in primary forms",1891,4139,2857,1316,2426,3518,7916,7540,7292,8290,,258947,318914,380007,383523,378947,505284,645738,606948,527385,761880,,50090,53134,57901,53987,53173,56760,65230,57007,57751,60388
610722,"Men's or boys' nightshirts and pyjamas of man-made fibres, knitted or crocheted (excluding ...",4151,4376,4441,6472,4356,5442,7562,7562,7229,8289,,218156,258529,277565,287450,259565,287299,346335,326888,294682,413774,,4206,4436,4600,6667,4759,5638,9227,7962,8160,9074
630532,"Flexible intermediate bulk containers, for the packing of goods, of synthetic or man-made textile ...",17541,15028,13308,13068,12315,10516,10753,9499,7691,8276,,520961,559251,630550,619581,551581,499344,557861,501489,411888,435269,,42852,39409,46204,46523,40358,42397,50201,46926,43957,56428
847960,"Evaporative air coolers, n.e.s.",4921,3283,4166,4005,4196,4029,5661,7915,7541,8267,,94958,102524,123471,139898,180346,227035,314106,451440,507418,420302,,6869,5052,6355,10182,7141,9248,9403,16322,15456,17259
310551,"Mineral or chemical fertilisers containing nitrates and phosphates (excluding ammonium dihydrogenorthophosphate ...""",589,3439,1143,1,1979,50,78,3792,5851,8265,,2055,4445,1837,17330,5845,5001,3124,1983,1634,1475,,8763,4631,2550,836,2771,794,2536,16100,13536,16527
190219,"Uncooked pasta, not stuffed or otherwise prepared, not containing eggs",15214,15253,14719,14319,13178,9892,9373,8545,8421,8239,,27852,27513,30420,31100,39036,43527,41033,38181,43343,33510,,98155,107893,102015,91564,81833,65458,68691,70514,86751,70904
902219,"Apparatus based on the use of X-rays (other than for medical, surgical, dental or veterinary ...",305,617,304,615,5064,1059,3008,5973,5710,8237,,190329,221281,201000,337440,201022,310234,278157,307710,269058,309187,,37027,21271,26443,23970,27943,29622,35825,48170,35644,47861
320619,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,3253,2353,3065,4914,4997,5311,9319,6569,7080,8228,,8812,5965,12858,12690,14896,22012,33351,34245,35967,40645,,6181,5111,5473,6985,10641,12206,16941,12124,12714,17008
910219,"Wrist-watches, whether or not incorporating a stop-watch facility, electrically operated, with ...",7415,5182,9395,8396,8048,9878,8722,5707,4967,8216,,259680,299655,320897,344861,295510,301282,324599,337615,267830,211846,,19107,12921,20749,17136,16824,17256,19943,13857,13782,21553
730441,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, ...""",8583,6931,6262,5124,4491,4170,6414,7457,7784,8212,,887247,837973,875659,828926,750212,750230,875748,942837,809500,852065,,21570,19691,16225,12128,9812,8695,14056,13307,14289,13543
761490,"Stranded wires, cables, ropes and similar articles, of aluminium (other than with steel core ...",2671,2700,4023,3225,2834,4304,11230,6531,9991,8204,,147610,123376,119671,240515,259715,236518,258607,259742,306814,223899,,21827,7629,9509,5304,7431,10925,14754,11496,14213,12568
630253,Table linen of man-made fibres (excluding knitted or crocheted),5652,6121,5919,5129,6111,6235,6270,7186,4932,8200,,532258,572908,588819,540402,479274,470238,502441,540372,400863,519184,,9044,8670,8853,7589,7859,7831,7857,8833,6060,10014
831000,"Sign-plates, nameplates, address-plates and similar plates, numbers, letters and other symbols, ...",4153,3724,4276,4555,3725,5301,6078,5244,5141,8189,,169171,175050,164418,157843,140922,162772,155107,182103,172819,233461,,10315,11120,11563,12492,10397,12409,13256,11417,10400,13153
760900,"Aluminium tube or pipe fittings (e.g., couplings, elbows, sleeves)",5108,6007,6282,5369,4038,4790,6333,5547,6858,8186,,161347,171161,197497,190753,190070,227916,261557,256445,229427,300289,,12040,12998,12378,12453,9963,12443,13889,12578,11911,14743
611231,"Men's or boys' swimwear of synthetic fibres, knitted or crocheted",3802,3689,4178,5281,5009,8276,10291,7920,6460,8175,,81749,99273,128300,115032,117813,126723,135640,129253,95878,108175,,5915,6661,6569,8047,7352,10218,12504,11304,9088,13908
870790,"Bodies for tractors, motor vehicles for the transport of ten or more persons, motor vehicles ...",3160,3746,2644,11715,2246,4055,11225,9665,6671,8157,,97601,98153,125855,137759,120292,127193,136935,118950,108510,179626,,144830,45161,31440,35224,28746,45475,64420,63170,61854,73893
731010,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material, ...",3232,3593,3468,4373,3993,10095,7420,7040,4420,8154,,58303,63649,64009,72318,54218,57883,74446,82576,73965,94264,,24644,24252,21793,20142,20494,28320,24486,26958,20331,30733
730723,Butt welding tube or pipe fittings of stainless steel (excluding cast products),2667,1575,2596,2145,1780,3108,5098,4853,5500,8138,,146114,135454,159913,150367,125583,140592,162562,173292,212892,176129,,20349,8517,9794,9466,8943,8617,12449,10424,12066,15495
690730,"Ceramic mosaic cubes and the like, whether or not on a backing (excl. refractory and finishing ...",0,0,0,0,0,3806,5036,5019,5755,8136,,0,0,0,0,0,76759,91194,103155,59103,79296,,0,0,0,0,0,5464,7096,6922,7891,10538
680422,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",5459,4546,6161,5508,5359,6088,6945,8564,7281,8090,,302723,355805,494016,524588,521494,585147,647365,672511,750624,877429,,31301,25523,27343,25401,24742,28494,30045,30673,28992,29320
761410,"Stranded wire, cables, plaited bands and the like, of aluminium, with steel core (excluding ...",1047,2940,3840,1077,1034,1460,2202,4830,1720,8089,,204655,234680,282833,308839,218114,297763,315763,283530,239849,150845,,6008,20868,6681,1241,1621,3011,2660,5442,1800,8230
760120,Unwrought aluminium alloys,23120,21680,34130,34899,20817,28071,19895,12070,6177,8075,,1162734,1030288,1233656,1110813,911840,1033978,1098087,958024,400373,364020,,49246,106394,121677,116539,100701,104448,115048,105089,99454,188932
330410,Lip make-up preparations,5426,6106,5785,7192,7891,8903,7276,7992,6463,8062,,152658,164723,184883,241300,298176,361756,405765,416374,305170,263890,,45185,48435,52796,60426,69587,80830,76991,76891,57379,65157
321310,"Sets of artist's, student's or signboard painter's colours, modifying tints, amusement colours ...",2492,2634,2024,2703,2847,2870,3769,4491,6852,8013,,108123,107627,121522,127714,154784,140273,154663,163168,249951,288751,,3775,4053,3371,4241,5143,3798,4877,5401,8401,10468
961519,"Combs, hair-slides and the like (excluding of hard rubber or plastics)",5239,6631,6568,6048,6084,8826,7946,8496,5378,8000,,188671,229211,258182,290497,314196,360198,306768,395765,356370,491000,,6333,7579,7464,6620,6824,9617,8474,8995,5739,8569
620891,"Women's or girls' singlets and other vests, briefs, panties, n?glig?s, bathrobes, dressing ...",9821,12710,11870,12969,11858,11325,10240,8777,6963,7978,,95532,110370,182466,225310,177989,137419,83829,79582,96994,161423,,11835,14656,14007,17303,14037,13538,13878,12316,9309,13069
842641,"Mobile cranes and works trucks fitted with a crane, self-propelled, on tyres (excluding wheel-mounted ...",2138,1961,736,1155,41,542,942,11152,8801,7969,,140361,165754,173771,174856,141266,173043,206249,348119,335562,378372,,122418,82017,40861,25474,5376,11730,16878,33738,31465,23929
871631,"Tanker trailers and tanker semi-trailers, not designed for running on rails",10756,11275,10957,4703,3386,4334,5554,7761,7183,7959,,101732,143553,172765,176389,91430,129331,117856,107375,108672,111694,,23931,26892,30683,14077,12548,13131,22485,17116,12839,14945
620192,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of cotton (not knitted ...",4163,3949,4787,5954,8165,10447,8580,9962,7400,7937,,671551,684864,735883,790278,859166,1193543,1259681,832408,664417,689993,,5070,5149,6158,7271,10368,12641,12115,15068,11680,13265
900640,Instant print cameras (excluding special cameras of subheading 9006.10 or 9006.30),2197,4588,7955,3415,1314,590,1653,3274,4809,7935,,92615,138134,171316,200526,215621,205038,219112,173801,121587,147109,,2884,5370,9810,11196,4498,3346,3182,3473,8363,12310
611490,"Special garments for professional, sporting or other purposes, n.e.s., of textile materials, ...",6870,7269,7144,10189,11812,7773,6698,5959,5209,7921,,15346,10434,13431,16659,9879,14133,33146,31902,26314,46538,,9669,9770,10231,13726,15848,10165,9256,8737,6272,9618
901310,"Telescopic sights for fitting to arms; periscopes; telescopes designed to form parts of machines, ...",1031,1277,1378,1654,1761,2030,2562,2829,3437,7919,,94129,109351,89631,111444,145940,133079,166772,169416,293129,505137,,19555,21464,21351,30517,53530,75412,36360,31747,32379,36330
760611,"Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm, square or rectangular ...",5038,8340,15315,12386,6977,8510,4331,5408,5692,7910,,1429151,2354096,1914053,1430197,741555,953257,1983623,1303797,804440,1068902,,21303,22038,27914,19093,11503,12157,8590,13816,16032,14065
870194,"Tractors, of an engine power > 75 kW but <= 130 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,3902,3976,3566,5160,7894,,0,0,0,0,0,81392,109578,94256,113289,171335,,0,0,0,0,0,207140,188323,166099,215285,319050
330610,"Dentifrices, incl. those used by dental practitioners",1260,2991,3146,2681,2717,3221,5725,5304,6643,7864,,219596,248633,293696,284751,299840,325763,360579,392626,414932,408869,,61085,65580,69058,68802,76869,72581,115076,95969,107900,102397
200897,"Mixtures of fruits, nuts and other edible parts of plants, prepared or preserved, whether or ...",6876,7282,7476,8297,6992,4480,5651,5854,6359,7828,,80642,102568,104552,97294,88509,91089,99841,85592,99160,76821,,17506,17869,20889,18318,22513,20371,19327,16294,15545,17917
730711,Tube or pipe fittings of non-malleable cast iron,4789,3198,3728,2569,4490,4159,5140,6826,6796,7814,,478906,507698,575639,588844,553254,590400,632880,615796,559403,619591,,5876,3935,4636,3270,5605,5342,5921,7695,8430,9308
230910,"Dog or cat food, put up for retail sale",1542,2880,4108,3395,3767,4084,3850,4918,5273,7813,,834932,733268,707556,675197,667414,779451,874356,855261,983809,1102788,,195218,232910,238974,218948,231295,231405,267268,290900,312922,392148
841320,Hand pumps for liquids (excluding those of subheading 8413.11 and 8413.19),3108,2621,3340,3336,3292,3967,6060,5893,13841,7782,,138671,181231,241846,255331,269620,291625,342369,370359,816101,508553,,8132,7299,8304,8060,7585,8775,11391,11494,19626,14612
841440,Air compressors mounted on a wheeled chassis for towing,2020,6407,8681,4372,2288,6001,12332,8854,6096,7776,,85144,113769,126903,69421,48363,65366,92610,92589,88275,107873,,37844,21346,25993,18950,8647,18087,30096,29216,21987,20887
640319,"Sports footwear, with outer soles of rubber, plastics, leather or composition leather and uppers ...",18565,12640,12310,13715,9659,9313,6618,5593,5540,7729,,646669,523932,494200,454561,416054,390240,378162,302243,166137,232722,,35957,29665,31129,33437,29872,25440,26919,27128,22912,21733
391723,"Rigid tubes, pipes and hoses, of polymers of vinyl chloride",2681,2643,3663,3901,4073,4677,5002,5489,5833,7684,,167780,183007,167759,146534,124826,133309,143914,159905,145001,177654,,10256,10850,12859,12052,13130,12442,13242,12121,10828,13618
670420,"Wigs, false beards, eyebrows and eyelashes, switches and the like, of human hair, and articles ...",5850,4572,6310,8276,6781,8401,9468,9419,8839,7675,,1185354,1621352,2205800,2201371,1263456,989185,963393,1146305,1274835,2515933,,8723,7108,9476,11146,10745,12735,13064,12796,11586,10611
293379,"Lactams (excluding 6-hexanelactam """"epsilon-caprolactam"""", clobazam """"INN"""", methyprylon """"INN"""", ...""",679,620,2787,3171,3184,2957,4502,3817,4767,7649,,160614,181643,219188,161103,165038,204926,268947,321114,366433,594978,,7311,8846,10219,14172,13313,8816,14817,19811,18053,37437
340212,"Cationic organic surface-active agents, whether or not put up for retail sale (excluding soap)",717,1539,1505,1504,2915,4221,4939,4362,5647,7640,,166765,166851,178519,128017,130430,148669,195673,179308,181663,190850,,6807,9978,9979,9104,11150,13687,15690,15797,17265,20237
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",6930,5748,9056,5511,5371,5052,5461,5739,4507,7635,,120656,110234,115231,140799,126774,220119,171460,179430,145791,156531,,336228,358294,314249,316233,288471,318263,335225,378207,306926,362742
850519,"Permanent magnets and articles intended to become permanent magnets after magnetization, of ...",6015,6531,6668,7468,7564,8111,8469,7239,6059,7633,,375155,367576,379079,351574,355061,386518,420735,408135,377209,451659,,9442,9379,9698,10143,10073,10541,10895,10167,7494,9488
841939,"Dryers (excl. lyophilisation apparatus, freeze drying units, spray dryers, dryers for agricultural ...",2706,3730,2570,2595,5275,4802,3219,4660,5499,7610,,264821,249998,300489,310797,316536,357132,405617,442828,437075,490628,,23294,23610,20007,49398,25040,21414,24172,29198,27778,30777
60290,"Live plants, incl. their roots, and mushroom spawn (excluding bulbs, tubers, tuberous roots, ...",1342,1293,1261,1969,2229,2468,3630,4716,6537,7604,,103757,134728,261959,147944,156522,165966,198206,236364,270737,289947,,5537,8335,8055,9583,10216,11145,12956,13180,14435,18638
680100,"Setts, curbstones and flagstones, of natural stone (excluding slate)",7045,12278,9967,10700,10542,10102,13490,10317,10051,7593,,91934,169010,304470,221797,238072,245291,265666,274215,514283,285155,,13575,20762,22554,22775,23680,25231,31771,28183,36432,41395
382100,"Prepared culture media for the development or maintenance of micro-organisms incl. viruses ...""",58,1377,1977,1516,1529,1366,430,361,845,7590,,2998,4317,5807,6059,9214,6538,7345,9519,197367,106376,,21844,26179,22876,23371,25767,26947,27183,25360,31033,55093
680223,"Granite and articles thereof, simply cut or sawn, with a flat or even surface (excluding with ...",3875,4177,7334,9990,8239,7452,8234,7431,5909,7576,,147077,268670,374189,1268914,1143869,309561,282525,264284,189234,90276,,7414,5587,9796,13845,10221,9511,9782,9093,7484,9439
851130,Distributors and ignition coils of a kind used for spark-ignition or compression-ignition internal ...,3080,3384,4633,4221,4303,4823,5524,5193,5272,7567,,265608,325329,374045,364796,380198,380186,398165,364660,391598,488313,,17930,19202,19260,18292,17526,15875,15789,13536,12336,16628
160417,"Prepared or preserved eels, whole or in pieces (excluding minced)",2447,2903,3755,3259,4652,4721,6308,6990,3684,7515,,1039981,835963,787038,827215,749913,750835,919140,833039,777059,1073281,,2512,2971,4085,3334,4968,5062,6353,7086,3802,7716
854511,"Electrodes of graphite or other carbon, for electric furnaces",5140,7892,2739,2589,1784,4155,22188,14443,9712,7496,,644001,563223,539345,388667,268437,1153000,2948275,2256059,789476,928395,,48540,53664,37444,28736,9645,11728,48106,34941,25926,17496
610130,"Overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, wind-jackets ...",5192,5312,6105,6878,6835,6661,7797,6932,5003,7493,,357278,391895,410155,338062,285333,266282,269786,254760,204378,250904,,7174,6841,7997,10217,12023,10960,13573,11673,8097,12245
210500,"Ice cream and other edible ice, whether or not containing cocoa",8838,8321,8743,9698,6183,6744,7461,6403,5676,7489,,31534,26606,13733,15547,32342,47023,50038,29835,48305,57003,,41600,53878,62952,45224,52998,61684,70291,65748,68920,64679
283429,Nitrates (excluding of potassium and of mercury),2119,0,0,500,3085,3669,4116,3618,5250,7459,,87141,88021,80239,80823,73805,83156,96376,83557,83300,85810,,13380,9461,12107,9340,8261,10733,10571,11015,13206,15700
382478,"Mixtures containing perfluorocarbons """"PFCs"""" or hydrofluorocarbons """"HFCs"""", but not containing ...""",22816,9,571,3153,5191,13651,9859,8938,3981,7449,,270234,234937,291589,344456,336424,514747,635723,420020,320175,528415,,28076,266,741,4351,7610,15454,11891,10793,5601,9016
730120,"Angles, shapes and sections, of iron or steel, welded",1599,1190,1479,1576,3046,5081,7863,7471,5842,7447,,53810,45604,47709,32701,28706,26055,34967,30695,25834,20197,,5943,3215,3505,2647,5576,9219,11766,10082,12116,8248
