Product code,Product label,United States of America's imports from Viet Nam-Value in 2012,United States of America's imports from Viet Nam-Value in 2013,United States of America's imports from Viet Nam-Value in 2014,United States of America's imports from Viet Nam-Value in 2015,United States of America's imports from Viet Nam-Value in 2016,United States of America's imports from Viet Nam-Value in 2017,United States of America's imports from Viet Nam-Value in 2018,United States of America's imports from Viet Nam-Value in 2019,United States of America's imports from Viet Nam-Value in 2020,United States of America's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
400912,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), not reinforced or otherwise ...",620,1770,457,0,5,10,321,1175,1485,3177,,27,69,176,146,335,301,1438,1577,1284,8514,,106756,113850,111595,127717,128462,149218,144543,139779,117955,131375
230800,"Acorns, horse-chestnuts, marc and other vegetable materials and vegetable waste, vegetable ...",1237,1802,2526,3568,5156,4795,4289,5154,8100,3172,,1231,1442,2436,2812,3715,4299,4417,5709,7502,19179,,19603,15705,28336,30264,41397,51961,87650,58710,54113,65052
670210,"Artificial flowers, foliage and fruit and parts thereof, and articles made of artificial flowers, ...",33,95,50,98,162,79,150,712,1275,3160,,94,2,335,299,490,412,738,1420,1670,5392,,184446,192887,216928,236605,260272,328345,437183,503364,471059,728588
830220,Castors with mountings of base metal,8,49,351,411,233,480,453,1524,2943,3150,,1115,3589,5860,5094,1348,4228,6196,5826,7708,4587,,108202,111524,105600,104702,103724,112635,120560,112700,113010,139664
852719,"Radio-broadcast receivers capable of operating without an external source of power, not combined ...",3459,5064,6790,2716,2948,658,122,310,1242,3142,,2163,3527,10257,3339,4156,3652,5040,5977,9453,4718,,132323,121927,103510,96924,83637,108075,143764,138162,174954,185657
560313,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",0,70,139,29,31,23,27,1270,2917,3123,,39,141,72,77,547,927,289,482,1311,5990,,164270,156355,168579,178360,203811,205687,216960,211027,232450,265757
300449,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...""",0,0,0,0,0,1266,3262,2586,2454,3123,,0,0,0,0,0,0,180,294,131,3251,,0,0,0,0,0,1297476,1703290,1670890,1550871,1245167
620339,"Men's or boys' jackets and blazers of textile materials (excluding of wool, fine animal hair, ...",742,5498,9929,10322,11082,9007,6436,7741,4612,3110,,284528,272286,270752,306526,206883,161843,125679,126331,107036,12916,,69933,73692,80779,74691,68940,65640,59745,61766,39208,33683
610432,"Women's or girls' jackets and blazers of cotton, knitted or crocheted (excluding wind-jackets ...",7506,10533,6638,7762,5498,3968,6443,8119,5615,3107,,19635,27382,21113,19574,20844,11801,18268,14020,12166,7110,,50695,54349,39234,33458,30732,23346,29065,32407,20178,19417
630222,Printed bedlinen of man-made fibres (excluding knitted or crocheted),1,30,28,0,0,1,1,208,1720,3107,,3681,5618,5149,4606,5146,1237,1031,2911,3394,5429,,151077,151751,200683,215820,213880,229803,220869,249710,291631,387272
650700,"Headbands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear ...",353,285,326,494,677,608,786,1630,2035,3101,,3259,4818,8951,6315,7550,12464,15228,19453,19897,26700,,60627,53508,61531,64680,51515,50703,53763,51686,54056,68843
920790,"Accordions and musical instruments without keyboards, the sound of which is produced, or must ...",1039,1042,1396,724,885,1101,533,505,1204,3093,,4291,2730,11393,6351,3051,3220,3301,3449,5326,8914,,245992,230385,245835,232184,237255,243803,261214,294403,274335,385052
691200,"Tableware, kitchenware, other household articles and toilet articles, of ceramics other than ...",1637,1983,1980,3243,3544,2801,2934,2522,1871,3080,,7275,8288,7310,10102,10056,7669,4967,5657,5038,18308,,840209,910483,934011,1023830,969819,980343,1107651,1129565,975192,1428130
80119,"Fresh coconuts, whether or not shelled or peeled (excluding in the inner shell """"endocarp"""")""""",15,153,106,47,527,1307,4348,3002,3222,3074,,28118,37200,48635,28077,43008,53354,73530,44737,90200,42941,,40750,46373,39270,44949,47083,45213,50687,48198,39712,52085
630232,"Bedlinen of man-made fibres (excluding printed, knitted or crocheted)",1213,7,2,13,179,14,107,267,1318,3068,,1382,542,627,942,1481,5359,6337,9376,10351,21963,,252393,298004,353190,376353,377256,423173,466901,515579,586010,831955
850860,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners (excluding with self-contained ...",0,0,33,22,38,65,0,194,116,3053,,232,53,1464,188,323,170,1909,7641,2314,4321,,26304,25072,27931,30873,37587,46261,64160,27388,20194,31211
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,0,14094,1054,1602,3053,,0,0,0,0,0,0,42992,24784,16174,88370,,0,0,0,0,0,349124,235161,246849,173531,266590
680299,"Monumental or building stone, in any form, polished, decorated or otherwise worked (excluding ...",253,519,431,281,382,349,554,1845,935,3043,,3895,4906,6127,7045,6267,4767,6124,5619,5303,23825,,255898,326650,323283,341187,390979,444322,412024,374774,377822,558404
960350,"Brushes constituting parts of machines, appliances or vehicles",0,15,44,0,31,82,56,127,559,3033,,8130,10826,12612,19038,15398,16423,18377,18598,17634,13208,,70101,73982,83854,82529,74707,88297,88296,103077,105373,124163
940159,"Seats of cane, osier or similar materials (excluding of bamboo or rattan)",311,870,348,545,328,575,1129,2047,1413,2990,,8022,6501,1798,1212,1535,3125,27565,18446,12414,5086,,15433,22166,19579,22157,24157,11394,11503,10944,12966,23617
820730,"Interchangeable tools for pressing, stamping or punching",487,433,872,3668,3462,5067,4689,4660,3617,2980,,193,827,12010,17509,16002,25479,24856,20648,20442,23323,,936427,1121339,989224,1060654,1058765,1237000,1474286,1136697,1149821,1239366
851490,"Parts of electric industrial or laboratory furnaces and ovens, incl. of those functioning by ...",72,47,6,14,55,39,0,205,994,2970,,689,260,138,88,324,499,828,560,1737,3590,,185614,165388,154579,272017,208479,180443,208545,237219,297846,284195
850153,"AC motors, multi-phase, of an output > 75 kW",109,0,22,249,3,11,1162,6342,3820,2961,,100,46,23,21,30,326,2361,8642,3422,5344,,868926,796636,821355,673502,576654,550357,598973,672708,639871,628285
731816,Nuts of iron or steel,2052,2248,2222,1341,706,3416,3670,3272,1769,2958,,5302,7985,10755,11050,12722,15415,19291,17342,16471,18883,,1023402,1000471,1116275,1131575,1033299,1134825,1297790,1240694,1011600,1375802
890310,Inflatable vessels for pleasure or sports,0,0,4,33,127,0,238,2282,1474,2939,,836,490,955,708,910,1321,1695,3836,3795,4895,,50019,55975,47794,53358,53922,65412,66791,67562,83617,122337
610349,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of textile materials, ...",103,303,401,134,2061,1130,587,898,1956,2938,,46723,70753,74113,83672,57042,81946,58079,50053,32698,6339,,1800,2640,4373,8253,13921,13390,11935,13823,23745,30855
680210,"Tiles, cubes and other processed articles of natural stone, incl. slate, for mosaics and the ...",21,163,252,141,243,324,178,142,592,2921,,2002,1150,582,455,540,989,363,4728,900,4651,,51563,69576,76593,95316,113626,133802,155858,141136,120488,159881
845230,Sewing machine needles,1360,1254,1636,1915,1616,1300,2045,1930,2258,2911,,17475,24568,30871,38185,36458,34785,30517,27647,25743,50164,,13885,14062,16480,15348,13239,11835,14492,13804,14943,17810
680421,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",0,0,5,0,105,0,0,10,645,2911,,158,248,294,293,340,338,527,475,701,16898,,104212,106223,123539,124004,144235,196437,208077,209182,181425,218689
820570,"Vices, clamps and the like (excluding accessories for and parts of machine tools)",1871,740,379,314,515,534,1167,1293,1309,2899,,2375,7372,1242,1032,1490,1586,1450,1956,1824,5425,,148364,136373,169254,159968,161922,171657,195531,170540,166365,200880
848130,"Check """"non-return"""" valves for pipes, boiler shells, tanks, vats or the like""""",4,6,122,81,44,18,803,1515,1122,2851,,387,1689,1676,1920,1778,2747,3326,4562,4168,7176,,326921,358196,392275,388795,361362,393489,431513,419223,347202,434021
441879,"Flooring panels, assembled, of wood (excluding multilayer panels and flooring panels for mosaic ...",12,302,1827,1791,2304,3396,3854,5525,5063,2847,,11478,11358,13488,17726,27267,30367,54366,60352,65377,19259,,31101,34713,29241,17446,23068,37159,43206,49857,39028,42113
392119,"Plates, sheets, film, foil and strip, of cellular plastic, unworked or merely surface-worked ...",95,201,281,249,546,727,1212,809,2339,2842,,24588,31444,33087,31222,25910,32735,52455,75448,38707,35350,,306884,351246,362979,390606,378296,395912,449566,740693,735068,836508
580300,Gauze (excluding narrow woven fabrics of heading 5806),34,0,2,38,0,0,42,1349,2021,2832,,58,3,0,769,16,150,205,559,1875,2889,,17509,13911,16636,9019,11273,10467,12133,9621,7887,10120
731819,"Threaded articles, of iron or steel, n.e.s.",824,444,672,870,1043,1660,1477,1514,1966,2816,,63892,73482,83498,63673,53046,62545,10519,13708,14543,20772,,97848,91694,101045,106456,95525,110864,125337,120635,101314,125121
380892,"Fungicides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",0,0,0,0,0,0,736,2476,1620,2797,,8367,11303,15504,17036,22304,43508,39864,29450,45504,29736,,196697,233959,225400,231033,226547,250690,230243,200328,236277,279702
400932,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",1503,192,3,76,2726,1529,2628,3257,2709,2787,,21,1,1,3,11,167,16388,15856,14659,11083,,225506,281353,331430,346583,342458,420731,441185,433160,388778,467257
481730,"Boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment ...",25,0,0,5,3,0,0,0,56,2787,,155,102,222,243,279,545,2556,2316,999,3347,,14897,13696,14705,14026,13459,13769,16003,13407,7713,13994
30323,"Frozen tilapia """"Oreochromis spp.""""""""",423,180,3458,6805,2685,2769,3031,3152,1664,2785,,1647,4860,13647,17739,16307,17416,15874,13474,12596,13988,,30420,50504,60079,67386,61617,52692,60649,65983,66267,102820
852341,"Optical media for the recording of sound or of other phenomena, unrecorded (excluding goods ...",4414,2993,2768,5639,10305,9640,10708,6492,3209,2778,,42490,39449,38705,38253,49958,49889,54293,41245,28559,28334,,483522,367148,268397,219581,182003,121816,121420,85108,57015,65495
730792,"Threaded elbows, bends and sleeves, of stainless steel (excluding cast or stainless products)",13948,5394,9740,2377,268,4033,6389,4325,640,2762,,585,336,564,365,608,2085,1527,1134,1668,3961,,409707,380830,457802,324147,223804,375508,465261,381579,221606,370216
441600,"Casks, barrels, vats, tubs and other coopers' products parts thereof, of wood, incl. staves",0,0,0,109,131,161,328,768,2193,2757,,1617,1887,1940,2889,2255,2951,3212,5558,7012,5023,,196386,236770,248394,224744,216438,255048,251092,269759,231763,185968
120991,"Vegetable seeds, for sowing",3390,3080,2704,3001,4159,5549,4122,3704,2748,2755,,1526,1640,2540,1665,3347,7621,4381,3096,4520,30905,,370091,368189,389711,378142,370403,389229,399780,371522,306775,385228
848410,Gaskets and similar joints of metal sheeting combined with other material or of two or more ...,4,106,57,140,317,338,494,510,1839,2755,,4525,6329,6113,7568,14218,11862,15280,15324,16057,31456,,261351,271836,288230,283116,262967,278103,283175,260650,227277,278048
630539,"Sacks and bags, for the packing of goods, of man-made textile materials (excluding of polyethylene ...",1157,1615,1666,868,1137,852,752,1992,1736,2726,,1163,1454,2935,5087,8532,9947,14982,15546,15216,22550,,21974,20793,20348,18034,23271,34220,30354,27465,26485,43012
291529,Salts of acetic acid (excluding inorganic or organic compounds of mercury),0,0,0,0,0,0,0,0,382,2718,,31,1,0,27,0,10,16,12,22,2768,,34007,33573,38654,37128,33440,39130,49475,44052,40674,70454
391000,Silicones in primary forms,0,35,0,0,0,19,367,559,502,2711,,772,955,306,520,1791,5710,19170,19936,23076,48485,,477566,454333,486736,468677,449931,542968,702268,620809,559939,735863
480525,"Testliner """"recycled liner board"""", uncoated, in rolls of a width > 36 cm or in square or ...""",0,0,0,0,0,0,0,0,0,2707,,2085,1651,386,141,1282,22846,63200,26990,51609,83437,,100355,121814,164853,184981,201945,260715,352939,287911,338639,363798
391690,"Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, ...",50,53,12,63,0,30,23,689,2237,2686,,1256,745,2411,3485,3032,3627,4534,5314,12334,21514,,114539,116813,131410,149618,177173,216303,222236,212878,204896,245264
680293,"Granite, in any form, polished, decorated or otherwise worked (excluding tiles, cubes and similar ...",179,177,228,186,513,209,253,1900,3498,2675,,1846,6868,10763,2423,1929,3112,2963,18104,25481,35489,,1200657,1426845,1449868,1440962,1212682,1119146,1010459,948180,888585,1031877
620111,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of wool ...",6523,4756,7669,9057,7137,3626,4574,8152,4576,2660,,6859,13329,20059,23773,24635,25417,31052,28217,24893,33804,,128027,114009,131992,135268,105134,93455,90646,101781,58801,61691
721310,"Bars and rods, hot-rolled, in irregularly wound coils of iron or non-alloy steel, with indentations, ...",0,0,0,0,0,0,0,0,0,2639,,98726,93819,119402,113974,98777,101909,167761,186859,120942,11393,,48919,37255,29543,35926,32246,9049,11618,28392,2535,11459
830630,"Photograph, picture or similar frames, of base metal; mirrors of base metal (excluding optical ...",816,1145,721,808,532,534,229,1637,2016,2634,,2807,2914,2260,1604,1098,1787,1303,2243,5723,7553,,133053,118747,116152,109548,104723,100302,107760,88950,69772,83075
900850,"Image projectors, and photographic enlargers and reducers (excluding cinematographic and parts)",0,0,0,0,0,0,0,549,2222,2634,,11,5,1,0,15,11,1,238,14481,2997,,16635,19283,20025,22204,29345,54512,42639,45345,35981,46885
390950,"Polyurethanes, in primary forms",2,0,0,13,13,1,3,2,0,2626,,4293,2923,4995,5969,2575,7637,15288,17433,12412,30308,,250979,245462,304889,313130,338992,340590,382193,343036,292672,438599
441239,"Plywood consisting solely of sheets of wood <= 6 mm thick (excluding of bamboo, plywood of ...",0,159,377,257,116,883,1412,5484,3416,2609,,36278,105216,143928,155605,171936,226149,168883,92826,113328,122966,,177564,238454,276769,385771,468089,618731,1010257,644771,736539,1243630
731021,"Cans of iron or steel, of a capacity of < 50 l, which are to be closed by soldering or crimping ...",0,0,0,0,0,0,0,47,469,2587,,675,3120,3027,1672,492,555,1035,1101,1129,5590,,84335,77761,74111,75779,66005,62732,93109,100533,108452,160031
841451,"Table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an ...",1333,40,149,197,201,102,148,46,3514,2556,,11268,14125,15262,18480,17269,25876,20254,26292,28088,45775,,1130331,1176419,1190098,1327486,1337192,1473026,1586659,1739114,2001364,2362547
551110,"Yarn containing >= 85% synthetic staple fibres by weight, put up for retail sale (excluding ...",0,0,0,0,0,0,0,0,772,2500,,1187,1187,768,468,181,177,174,1,241,3001,,64794,74844,73294,75566,61221,70578,76849,67237,93339,128139
340700,"Modelling pastes, incl. those put up for children's amusement; preparations known as dental ...""",0,17,57,40,11,22,9,1400,4053,2487,,381,147,236,138,243,473,470,1088,1461,3118,,138712,140548,210305,243301,267051,245183,281100,295649,264336,333791
630293,"Toilet linen and kitchen linen of man-made fibres (excluding floorcloths, polishing cloths, ...",1222,1364,1669,645,656,783,956,1444,3353,2447,,1261,577,471,863,1607,1702,1792,2175,5314,8760,,46853,64841,79111,78434,74041,86278,87495,98076,131934,170281
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",911,746,1108,888,780,484,318,156,759,2445,,54582,66595,88406,98320,93570,103908,101209,92814,85304,67109,,965838,982262,1151433,1217804,1171384,1158333,1210294,1241277,1274786,1494907
391530,"Waste, parings and scrap, of polymers of vinyl chloride",0,0,0,0,23,102,730,435,343,2433,,2201,2395,2372,1221,792,556,323,65,119,2478,,6333,7530,8521,9705,11027,8999,8775,9811,13434,26480
854419,"Winding wire for electrical purposes, of material other than copper, insulated",14,56,34,11,37,18,19,430,1336,2423,,19099,47673,36103,4713,1224,1333,2417,7989,9165,19753,,51345,31849,32228,34456,47886,55406,53255,32652,20190,25800
91091,Mixtures of different types of spices,121,181,133,208,183,155,254,872,2195,2417,,301,443,288,739,1865,3057,2708,1956,1607,8154,,20284,17962,25211,28108,28628,33068,35442,36828,54114,60375
620431,"Women's or girls' jackets and blazers of wool or fine animal hair (excluding knitted or crocheted, ...",5286,3272,4562,2658,6030,3974,3894,6015,3568,2412,,7631,8330,14545,12871,12122,10844,14042,15950,12206,11491,,99805,88970,86383,84939,80117,70877,81992,85810,62879,57420
330129,"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excluding those ...",504,1400,1957,3284,2714,1556,1102,1545,1841,2391,,11235,11443,11077,9145,10084,8615,9623,8058,12935,13942,,242974,278171,362607,403464,449646,563681,648769,508256,573124,587825
848299,"Parts of ball or roller bearings (excluding balls, needles and rollers), n.e.s.",102,352,1591,1969,2024,2125,3763,2623,1438,2376,,2684,5271,13888,13469,14477,23885,25107,18432,24698,59743,,573191,500112,541644,503080,442655,548505,597808,562520,394827,590009
851718,Telephone sets (excluding line telephone sets with cordless handsets and telephones for cellular ...,29277,15182,11718,11298,6237,7177,5380,4227,3451,2363,,60390,2218,1000,72663,1925,3734,2534,2214,2662,45259,,873454,885066,953391,1408123,1360287,1349425,1280546,956906,690741,854278
30359,"Frozen anchovies """"Engraulis spp."""", Indian mackerels """"Rastrelliger spp."""", seerfishes """"Scomberomorus ...""",0,0,0,0,0,583,680,1624,2199,2351,,0,0,0,0,0,0,21284,35373,25559,59351,,0,0,0,0,0,5417,6744,8171,7184,9112
30749,"Cuttle fish """"Sepia officinalis, Rossia macrosoma, Sepiola spp."""" and squid """"Ommastrephes ...""",5646,2346,2557,1901,2633,3175,2890,2779,1895,2345,,283099,242853,248120,212059,235726,335790,128051,97281,125441,117176,,298485,268768,242327,235593,291732,152473,141278,96154,52033,71781
401610,"Articles of cellular rubber, n.e.s.",207,1062,966,733,1221,1109,819,1311,1154,2341,,938,1734,2661,3112,2249,3517,2434,2712,2450,3474,,257482,270696,259760,305843,329146,324723,326052,269697,214963,226694
400811,"Plates, sheets and strip of cellular rubber",202,330,289,1025,775,1138,3135,4696,2456,2296,,2281,4243,4816,3108,994,1843,4491,7129,4290,7020,,31110,28550,36592,40877,49576,47024,56901,62782,51656,72169
630491,"Articles for interior furnishing, knitted or crocheted (excluding blankets and travelling rugs, ...",494,429,505,547,582,977,2336,3574,3386,2294,,124725,63888,3745,15641,6683,24323,24671,29019,63601,43074,,198442,195979,222714,215620,191208,235068,258227,284210,239123,291992
110630,"Flour, meal and powder of produce of chapter 8 """"Edible fruit and nuts; peel of citrus fruits ...""",0,3,133,75,141,645,1740,1727,1335,2289,,1563,2927,3873,3095,6016,5706,13106,16875,24282,19911,,6734,9593,12527,9384,12224,16287,23957,19275,23237,27086
820299,"Saw blades, incl. toothless saw blades, of base metal (excluding bandsaw blades, circular saw ...",0,0,35,17,20,7,35,0,169,2287,,221,319,543,528,712,914,863,1012,3710,7578,,84792,96342,98404,115875,124236,141351,168446,150516,158421,181629
110814,Manioc starch,1692,382,2702,5566,3222,3106,3404,744,1577,2287,,779935,706978,738243,913838,738588,745585,795504,870353,865542,287454,,43761,48357,52798,69772,62916,61529,82210,79333,76889,109015
851190,"Parts of electrical ignition or starting equipment, generators, etc. of heading 8511, n.e.s.",1004,1413,1856,1332,1215,1720,2013,1931,4699,2287,,18661,18980,16551,12370,10639,11646,15888,21204,25327,24625,,429750,502651,493173,452813,393802,387844,418437,434853,343724,359292
760900,"Aluminium tube or pipe fittings (e.g., couplings, elbows, sleeves)",404,793,1134,1083,822,2247,3146,2722,2143,2274,,3977,4504,4524,3971,3718,7161,10150,19266,13468,12105,,96803,101002,106297,93711,97590,105578,98198,88831,75339,99159
71040,"Sweetcorn, uncooked or cooked by steaming or by boiling in water, frozen",953,1243,1245,1879,1651,1826,1907,1973,2291,2270,,6334,9094,9194,6877,8539,8793,10834,11789,13892,12123,,28895,27945,27178,36459,32887,35252,34791,30557,34269,41236
732599,"Cast articles of iron or steel, n.e.s. (excluding articles of non-malleable cast iron, and ...",78,249,713,669,805,1853,1400,770,1179,2267,,10312,10366,12311,13900,14502,18587,23432,24835,22238,20301,,348811,326794,323674,302170,232045,266913,283870,280036,214424,293682
91099,"Spices (excluding pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, ...""",884,830,923,1356,1226,1667,1360,1379,1608,2265,,2541,2822,4125,4672,4069,3660,5829,4602,5081,8144,,76831,79649,78572,78825,83355,85032,88537,88898,106898,122057
560750,"Twine, cordage, ropes and cables, of synthetic fibres, whether or not plaited or braided and ...",618,727,808,901,708,750,858,1231,1408,2263,,1813,4875,4425,4526,4801,5759,5727,6701,7066,19467,,99423,100554,93109,101138,97997,110006,110807,105635,113704,139632
701610,"Glass cubes and other glass smallwares, whether or not on a backing, for mosaics or similar ...",0,0,0,14,0,0,0,0,1688,2261,,1,1,4,3,30,0,0,195,1476,2263,,186262,221738,238738,249382,229229,220372,215668,159217,148456,200859
950890,"Roundabouts, swings, shooting galleries and other fairground amusements; travelling theatres ...",0,26,98,509,518,1145,1410,373,1263,2252,,43,43,59,725,687,1521,1745,2118,3743,2643,,177255,215111,235031,256922,263292,264630,366297,359934,201029,157528
160555,"Octopus, prepared or preserved (excluding smoked)",11,290,634,742,703,1494,1162,3016,2029,2250,,36415,31196,31591,32085,35226,45962,57144,47712,37867,42437,,21458,25029,25385,25248,26640,29193,37065,32274,25360,42741
847780,"Machinery for working rubber or plastics or for the manufacture of products from these materials, ...",0,27,4653,6143,5363,25,3311,69,507,2245,,9953,3552,2563,3473,3591,7647,9811,7492,8465,7711,,313303,339820,321710,369557,395982,525680,445374,503558,441492,573239
321310,"Sets of artist's, student's or signboard painter's colours, modifying tints, amusement colours ...",42,37,2309,2765,677,543,1027,754,2019,2236,,9,35,85,88,87,231,297,830,1050,4217,,42730,44859,55112,53664,50135,65820,72930,64944,91584,105533
291229,"Cyclic aldehydes, without other oxygen function (excluding benzaldehyde)",90,476,297,513,316,114,1132,1047,1032,2227,,0,0,0,160,0,0,505,1695,1114,3140,,78349,90347,89871,86167,75814,83565,88374,98799,87963,90525
841320,Hand pumps for liquids (excluding those of subheading 8413.11 and 8413.19),3,0,0,0,14,755,2159,2653,3670,2220,,266,476,888,2261,2182,2683,3621,3091,4749,23497,,78983,95915,127653,147651,160867,189574,211800,249128,413259,342613
842381,Weighing machinery having a maximum weighing capacity <= 30 kg (excluding balances of a sensitivity ...,0,0,57,0,0,24,2,1779,923,2217,,2936,3957,3525,3332,3435,3231,3106,3154,3603,10174,,103016,120370,127623,138497,145242,132886,135223,98799,105082,146738
620990,Babies' garments and clothing accessories of textile materials (excluding of cotton or synthetic ...,549,1444,1319,1950,2922,3810,2267,2214,2346,2211,,3779,8125,17812,21912,19349,4785,5353,5499,3628,3126,,12141,11030,11402,13714,17669,20467,16818,16933,21200,17248
610899,"Women's or girls' n?glig?s, bathrobes, dressing gowns, housejackets and similar articles of ...",1540,1586,2125,1692,1686,1601,2123,2372,1719,2200,,15296,17790,17976,32062,8948,5561,23745,19606,17316,4241,,7271,6743,10496,9312,7162,8285,9589,9633,7893,14825
481960,"Box files, letter trays, storage boxes and similar articles, of paperboard, of a kind used ...",82,516,431,371,272,182,98,51,251,2192,,217,4605,3986,3684,3185,1337,1265,752,2642,5673,,52528,54618,53110,42561,34658,29969,31992,25451,23537,33366
920994,"Parts and accessories for musical instruments, the sound of which is produced, or must be amplified, ...",178,1062,848,546,1431,1430,1421,1195,1044,2189,,193,701,3559,6650,7541,12126,10951,13479,11275,3860,,48543,49003,52505,52377,51466,55891,70161,86546,91225,134892
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",1376,1482,883,774,607,668,737,2054,1778,2186,,24130,16898,21883,20914,25711,48414,100131,120406,104421,173353,,618537,619782,629751,657303,669381,695354,810492,815766,852864,1101667
491191,"Pictures, prints and photographs, n.e.s.",178,517,704,718,1001,916,1405,2226,1580,2186,,179,142,1063,879,1445,2633,2414,2573,2702,3623,,478015,491047,448828,472451,469657,525900,530808,555279,439242,616729
846229,"Bending, folding, straightening or flattening machines for flat products (excl. numerically ...",163,381,729,898,877,924,1420,1620,1742,2177,,8048,10457,8785,9101,13521,14133,14479,13771,12641,10086,,217075,191850,198279,205925,192249,235546,236633,240143,202134,217778
911390,"Watch straps, watch bands and watch bracelets, and parts thereof, n.e.s.",0,12,49,23,58,173,111,169,665,2168,,8437,7272,8654,13140,14092,10614,11615,10794,8665,19858,,36687,35231,38132,53559,99675,114431,102197,111559,118849,176072
940382,"Furniture of bamboo (excl. seats and medical, surgical, dental or veterinary furniture)",0,0,0,0,0,1098,933,855,1385,2167,,0,0,0,0,0,0,4821,4652,5631,10028,,0,0,0,0,0,34054,36417,29452,41891,45326
630110,Electric blankets of all types of textile materials,0,0,0,0,0,0,0,0,0,2164,,0,110,224,129,1398,2477,4067,5542,7025,7459,,87632,81218,90217,107572,92283,105343,126527,132913,109050,149028
732394,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron ...",240,62,272,330,935,372,6,128,1425,2162,,45,110,483,146,5,25,38,142,1064,2258,,76797,79880,73161,80001,85282,80531,87776,105124,100064,144919
30111,Live ornamental freshwater fish,784,735,728,783,829,1023,1279,1690,1553,2153,,2461,2481,2955,3396,3545,3186,3601,3714,4897,7834,,48748,50391,45420,44070,47276,48222,54761,53454,54736,77821
880400,"Parachutes, incl. dirigible parachutes and paragliders, and rotochutes; parts thereof and accessories ...",735,871,1105,827,887,1696,1536,2549,2780,2143,,14410,18101,20705,18169,20216,25191,27966,26607,27048,31793,,19570,17348,20684,20400,19340,24479,28330,31338,33710,42616
848490,"Sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, ...",6,21,53,188,128,173,881,157,2236,2132,,2915,5082,5947,8467,5375,5466,4407,4675,3726,7798,,116289,119504,133210,125427,104832,110119,116136,114093,106797,134504
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,352,0,62,235,39,20,551,502,1786,2126,,643,1151,570,1923,741,3155,3767,4323,7110,74864,,4231430,3006436,4971735,2910361,2545081,3462147,3805289,6652928,3711923,4492157
846620,Work holders for machine tools,20,6,34,151,12,138,36,1231,1660,2124,,2590,1899,2346,3173,4883,2315,2607,2717,2028,5986,,326567,282165,292952,256708,241328,322489,268728,292872,252154,267890
901850,"Ophthalmic instruments and appliances, n.e.s.",4,14,3,291,2930,1009,821,1464,1617,2119,,2727,3666,7259,9427,8222,8855,9767,10600,11486,29817,,299406,386915,398639,397601,400273,423150,455303,507719,436643,586826
610690,"Women's or girls' blouses, shirts and shirt-blouses of textile materials, knitted or crocheted ...",372,917,2219,1620,2762,2923,2047,2937,3905,2099,,51895,44140,50133,54569,56887,61351,59302,51693,40928,5035,,15199,19557,20065,22925,24495,21055,14787,19187,17019,20513
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,22,0,0,8,3,37,86,752,2340,2090,,133,81,101,235,50,73,500,258,413,2914,,2897712,3267274,2975788,3114061,3156846,3564323,3710697,3870484,3188275,3556634
