Product code,Product label,"Taipei, Chinese's imports from China-Value in 2012","Taipei, Chinese's imports from China-Value in 2013","Taipei, Chinese's imports from China-Value in 2014","Taipei, Chinese's imports from China-Value in 2015","Taipei, Chinese's imports from China-Value in 2016","Taipei, Chinese's imports from China-Value in 2017","Taipei, Chinese's imports from China-Value in 2018","Taipei, Chinese's imports from China-Value in 2019","Taipei, Chinese's imports from China-Value in 2020","Taipei, Chinese's imports from China-Value in 2021",China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
910211,"Wrist-watches, whether or not incorporating a stop-watch facility, electrically operated, with ...",24833,24573,29760,30949,27206,20171,18991,16187,8130,8987,,1205076,1388514,1559349,1774953,1631803,1618374,1395745,1325766,797474,956331,,92553,92291,102263,95249,94322,70079,69019,58912,38965,41612
291713,"Azelaic acid, sebacic acid, their salts and esters",5524,5041,4646,4701,6605,6473,7682,7502,4976,8985,,163376,135658,138367,178091,163194,254659,260273,208889,161761,260163,,6685,5632,5862,5497,7952,8204,8325,8301,5987,10010
902580,"Hydrometers, areometers and similar floating instruments, barometers, hygrometers and psychrometers, ...",2386,3564,3701,3761,4313,5816,5343,6256,6920,8979,,92782,111101,127027,135925,188737,169799,188851,169295,194801,220115,,21784,24266,23047,24690,28141,26259,23307,26548,28697,33431
610220,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",15369,12310,12972,12651,9247,10816,9907,11273,8041,8953,,229629,154666,112048,406919,275453,72476,54926,49438,40453,61699,,18843,16289,18195,19226,14871,16698,15894,15404,12344,12254
340319,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",3754,4396,6024,5031,5255,6333,6746,6896,5980,8928,,23182,25524,42888,40556,47609,63879,62692,70630,63159,80290,,110027,100922,96773,84551,85331,92230,94312,83387,83789,101795
820520,Hammers and sledge hammers with working parts of base metal,3218,3782,3615,3861,3591,3749,4711,5784,6441,8919,,215253,217155,238597,234444,213924,202390,235911,248735,256595,284475,,3760,4421,4387,4335,4073,4395,5328,6492,7060,9935
420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",24507,25315,25882,24683,21125,16857,13874,11799,8612,8855,,1797317,2242252,2366940,2343841,1881723,1877946,1418558,1471207,1209336,1185820,,162874,159388,177187,178473,204281,217146,230023,248233,259457,335745
610510,"Men's or boys' shirts of cotton, knitted or crocheted (excluding nightshirts, T-shirts, singlets ...",20696,18671,15637,13051,12450,10356,10598,9881,8500,8835,,1202096,1373790,1122333,834282,701756,596072,599574,532345,360774,397326,,47158,39541,34738,32348,34217,26704,23534,24524,22997,21111
811299,"Articles of niobium """"columbium"""", gallium, indium, vanadium and germanium, n.e.s.""""",8313,7231,9322,9685,11115,12902,20447,8884,6024,8817,,83683,88564,78859,62268,59442,71511,102924,77370,64380,96778,,29580,32292,50864,22130,18074,20399,29664,15548,14190,16781
701342,"Glassware for table or kitchen purposes of glass having a linear coefficient of expansion ...""",2113,4352,7013,11213,11030,8863,10976,12290,6017,8813,,132973,137778,111652,92784,87333,106699,116637,131163,151722,200902,,3010,6920,10451,15157,15715,14792,16899,19179,10900,13391
380110,"Artificial graphite (excluding retort graphite, retort carbon and goods of artificial graphite, ...",6285,7975,10282,8797,6460,6736,9532,5575,3461,8797,,173214,179943,208342,195509,164588,239997,404849,441901,499894,676358,,23979,21629,25133,18284,16003,17750,20814,16296,12462,18013
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,62,241,85,2048,3805,3979,3771,4597,6763,8792,,19691,32647,63074,86954,138667,195922,195769,235655,238800,249256,,19289,24085,27695,25358,26968,25787,26223,25900,30388,38916
962000,"Monopods, bipods, tripods and similar articles",0,0,0,0,0,6464,9576,10986,9522,8788,,0,0,0,0,0,263211,290577,330723,501660,536525,,0,0,0,0,0,8082,12078,12647,10731,10372
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",3214,3764,3844,3626,5271,5470,5835,6193,7524,8741,,643782,829329,903137,837314,807008,894580,961351,851041,783832,870541,,29741,32538,38755,35730,37902,39179,41611,46979,46232,55327
610711,"Men's or boys' underpants and briefs of cotton, knitted or crocheted",3984,8081,9268,11017,12259,12850,13683,9825,7975,8729,,1221106,1412639,1444455,1408333,1398888,1234646,1174555,1159878,1014862,1210002,,13885,15915,15650,18018,19349,18887,20642,18845,16499,16729
391740,"Fittings, e.g. joints, elbows, flanges, of plastics, for tubes, pipes and hoses",4404,4025,4047,4122,3184,2999,5525,4916,5173,8712,,458139,492130,528932,556550,539757,588329,664384,685340,705911,855474,,38711,42265,41984,38825,46776,44811,66777,58365,77678,105215
820299,"Saw blades, incl. toothless saw blades, of base metal (excluding bandsaw blades, circular saw ...",3211,6806,5257,3145,4200,5169,4787,4191,5672,8698,,114032,127663,135222,142941,150412,174066,189575,214398,241628,316627,,28358,29072,41385,31193,27308,29793,22673,11890,12182,15193
283699,"Carbonates and peroxocarbonates """"percarbonates""""; commercial ammonium carbonate containing ...""",5320,4079,5482,3516,4153,3618,4383,4685,5400,8688,,194968,174229,183248,193799,208849,280048,295171,244956,318080,292121,,7754,6207,8187,5791,6663,6542,11275,7118,8055,12833
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",3085,5396,6610,6024,7183,5657,10551,14140,9942,8687,,29174,13678,26128,25655,50592,60276,65817,140346,125187,94707,,101100,92069,105411,91683,86365,70690,117388,100623,58421,80349
251611,"Granite, crude or roughly trimmed (excluding already with the characteristics of setts, curbstones ...",28167,11394,11421,11765,9463,6863,13274,10059,13182,8679,,23396,29984,26054,34029,21103,16861,24676,14929,19164,13069,,96541,33927,41933,65549,61432,54707,54597,44925,26754,17149
292690,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine """"dicyandiamide"""", fenproporex ...""",19971,18273,24407,19163,16810,8288,7358,6540,7405,8673,,495973,513328,585082,544923,546241,595514,804214,992701,917709,910345,,22322,20733,27219,21580,18608,11050,10035,8955,9925,11694
871500,"Baby carriages and parts thereof, n.e.s.",10027,12498,13736,15054,13141,13548,13794,12563,9959,8659,,1058509,1111008,1185975,1186208,1168388,1332672,1367710,1384064,1267747,1338323,,10534,12968,14480,15425,13406,14106,14179,12838,10108,8783
520813,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m©÷, in three-thread ...",18111,20979,15083,12095,11589,8807,10298,5984,8062,8647,,73087,65365,43513,29477,33652,49411,57157,83732,71737,139694,,18121,20979,15083,12349,11589,8807,10298,5987,8063,8647
291719,"Acyclic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their halogenated, ...",5103,5435,6266,6085,6440,8426,12046,12604,7193,8638,,248375,214636,233462,214423,236191,272130,327155,324804,251842,295183,,12375,13706,13744,11595,11220,15710,18716,24000,19847,25113
740990,"Plates, sheets and strip, of copper alloys, of a thickness of > 0,15 mm (excluding copper-zinc ...""",7,163,18,25,458,2473,587,360,98,8625,,32753,42289,42158,37752,33389,45584,50143,44328,43674,73332,,104624,91746,86126,80253,68849,91025,77760,60294,69990,97671
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",4706,2703,2234,1328,1284,2071,4516,4228,4413,8608,,1603518,1313213,1128773,1226430,1096064,1427902,1940452,2230114,2277890,4485883,,86104,98061,111050,106108,80933,98756,122727,142030,168008,213911
292151,"O-Phenylenediamine, m-phenylenediamine, p-phenylenediamine or diaminotoluenes and their derivatives; ...",7137,6651,5691,5824,4253,6763,7885,6866,5910,8592,,338146,490582,506141,428872,327761,393482,456087,406318,360997,576159,,12887,11963,12013,10192,8726,12166,12160,10443,9579,11814
80241,"Fresh or dried chestnuts """"Castanea spp."""", in shell""""",0,624,4056,5075,6140,5403,4564,4737,5997,8585,,84367,83953,82178,77701,76743,72530,77892,86224,81331,60398,,0,636,4229,5560,6206,5478,4636,4810,6149,8652
680690,"Mixtures and articles of heat-insulating, sound-insulating or sound absorbing mineral materials ...",14712,15091,11961,11476,10436,9831,8134,7104,6849,8555,,68715,106911,124970,124375,122300,94691,133022,148614,154643,158412,,24079,22512,17954,20354,20105,17759,15918,14216,14174,17301
620292,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of cotton (not ...",1947,6771,8432,10083,7963,7975,10003,9831,7886,8530,,586957,650939,847999,812924,707721,1754218,709898,590249,433909,813242,,4114,8823,10935,12583,10901,10402,13508,14309,11242,12377
851190,"Parts of electrical ignition or starting equipment, generators, etc. of heading 8511, n.e.s.",25645,25153,26920,20349,25391,22607,13159,8432,6454,8510,,401269,486222,546649,509092,548172,576383,623640,552686,518198,615862,,42224,36450,33193,25449,30907,28551,17275,12586,12450,16851
293299,"Heterocyclic compounds with oxygen hetero-atom[s] only (excl. compounds containing unfused ...""",14581,23751,21426,17116,10443,6213,8958,9047,9532,8498,,1362744,1085343,967694,894146,881637,895141,1117013,1028894,999513,1100197,,25092,41402,47195,45148,35181,35344,35338,35506,44289,53352
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",1412,1253,2202,2309,9377,7546,5678,3411,4393,8474,,379572,634201,1028757,627622,792085,800632,543896,466237,589002,2068141,,18445,18188,19281,15666,24522,23410,22232,14449,19860,27715
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",6609,7170,4773,11608,10954,5476,2014,2354,2194,8455,,115288,82431,56388,119816,99165,76606,81687,85104,82069,791331,,171732,193137,214876,181371,76061,148309,155850,170663,275916,355787
830890,"Clasps, frames with clasps without locks, buckles and buckle-clasps, of base metal, for clothing, ...",2088,2095,1723,1827,2035,1635,3661,5300,5737,8435,,86045,76542,100272,96533,105802,122732,138741,150911,129956,225880,,3844,5712,4113,3500,3926,3072,5417,7119,7402,11369
292119,"Acyclic monoamines and their derivatives; salts thereof (excluding methylamine, dimethylamine, ...",9773,10297,10138,8750,9478,11649,12423,5731,6372,8424,,298728,298391,308997,266673,268070,373531,423046,355405,404309,452621,,21120,21301,23758,21691,22017,26764,29748,21591,25492,31211
690290,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods (excluding ...",6281,5108,7318,5703,3922,7162,6117,8658,9793,8416,,135513,150537,121348,150528,101926,102531,155445,139050,118326,116854,,38293,40427,47514,39462,20326,29035,23272,25635,41934,25828
491110,"Trade advertising material, commercial catalogues and the like",4591,4505,5672,5026,5407,5222,6637,10781,8825,8412,,213308,238703,255195,250770,260629,301807,274832,298437,278373,361521,,39429,31873,34694,28137,23595,23301,20890,23500,19042,16799
292142,Aniline derivatives and their salts,9559,9533,10691,8785,7014,8708,7574,4653,4001,8405,,155418,190048,214632,170933,153914,177140,194227,179067,174858,172314,,13853,12612,14310,12371,10572,12664,12953,8428,5995,11074
340211,"Anionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",3593,3490,5356,6696,5568,7655,6341,6946,6608,8397,,205192,222454,263794,231976,220306,242224,288538,313342,331977,355347,,25028,25575,34830,34993,45458,50328,69135,46844,62036,77691
660191,Umbrellas having a telescopic shaft (excluding toy umbrellas),11230,10302,10610,11304,11265,12538,12369,13155,11951,8383,,892069,924951,1011896,952479,861383,795372,774239,823797,564016,523852,,11347,10475,11074,11967,11881,14278,12787,13540,12399,8758
291590,"Saturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; ...",10420,12286,11914,7835,6064,7807,11524,9303,7907,8376,,111838,136998,156704,173697,145354,200691,317963,284149,258130,268210,,42346,36768,40116,32632,33138,37330,46679,46653,42348,63015
282619,Fluorides (excluding of aluminium and mercury),2136,2869,4895,3673,3703,4012,8208,4017,6165,8331,,46967,47617,54889,50293,69855,84318,81273,73744,65323,77873,,26553,30311,35571,43427,33609,40488,40610,34836,36893,40466
970600,Antiques of > 100 years old,3660,5959,7458,4431,36459,5408,5878,8972,11673,8268,,3666,24174,24485,64227,111044,8143,14672,128413,199534,148598,,3675,8590,8238,4468,36694,5785,6650,11902,14403,12164
730791,Flanges of iron or steel (excluding cast or stainless products),5468,6577,6438,6431,6962,5795,8183,7189,7121,8264,,712297,652831,655500,552747,489519,542082,756063,698295,557532,646860,,7632,9460,8994,9351,9309,7841,10983,9930,10202,11155
381600,"Refractory cements, mortars, concretes and similar compositions, incl. dolomite ramming mix ...",6767,6795,6765,5382,5284,8000,7509,6887,4888,8264,,219638,232656,251982,240236,225548,243450,293649,352440,371421,415590,,23847,25732,24404,24444,25450,29144,31050,29657,26082,28207
252620,"Natural steatite and talc, crushed or powdered",9829,9469,10220,7902,8848,7101,7506,5901,6062,8260,,139343,126918,124268,114404,113665,131999,134377,134978,106667,123359,,14646,15552,14699,11271,11282,10506,12395,10289,10967,14235
441912,Chopsticks of bamboo,0,0,0,0,0,7370,7623,8059,7963,8247,,0,0,0,0,0,209772,254796,262272,246340,275275,,0,0,0,0,0,7491,7763,8172,8088,8385
291639,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their ...",20900,18224,14374,7190,9312,7674,10055,10117,7865,8232,,302643,313431,326722,289134,299865,307282,393809,449535,408402,397195,,22777,20126,16159,9670,12497,9388,13021,14122,11211,11022
321519,"Printing ink, whether or not concentrated or solid (excluding black ink)",7954,8866,9258,8950,6579,6919,7187,7690,8847,8189,,95573,119609,127207,134065,108460,104180,100976,95834,82423,100821,,107459,97827,95818,99698,84198,90492,97944,90203,96191,117926
190190,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",4074,4570,4675,4348,4755,5073,5746,5950,6743,8181,,20592,23119,28579,35421,41132,42583,51742,97564,84683,114102,,138693,169674,197443,176179,162579,170520,179428,163854,131865,124989
950440,Playing cards,665,626,860,1239,1465,1489,1126,1116,3306,8167,,149079,168192,162710,179608,165288,152268,172969,183449,212711,206103,,8300,7750,8274,8897,10010,9004,11047,19184,53162,63634
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",2008,3674,5004,6460,5601,6352,7074,6366,6371,8164,,494262,568177,559152,549567,534263,563335,599776,614885,1292026,956005,,17687,23291,27419,28032,24615,28204,34941,39012,41255,43329
30499,Frozen fish meat n.e.s. (excluding fillets),7269,6633,6059,7131,8514,8224,7968,7923,7588,8162,,184118,201232,252899,264006,335201,338905,342432,309973,227197,235133,,65765,55766,57591,60872,56848,54744,70228,68882,70134,81234
630210,"Bedlinen, knitted or crocheted",566,470,1218,1321,1174,1476,2282,2637,4348,8161,,85976,130104,169182,154014,152263,181393,229380,294953,334506,454398,,1681,968,1253,1331,1692,2001,2462,3570,4952,9116
960810,Ball-point pens,16888,15433,17651,10141,9185,9782,10522,8195,6608,8152,,870205,894274,911832,935573,869771,894143,975149,914862,603981,640316,,37876,35694,38265,29862,35598,32810,32072,32723,27011,29129
851210,Electric lighting or visual signalling equipment of a kind used for bicycles (other than lamps ...,2152,1947,2649,2304,2339,2118,2224,3474,4332,8150,,119843,122474,150930,143715,158099,146227,150344,159838,289358,320740,,3282,2596,3418,4398,3465,3024,3622,6407,8192,11586
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",1691,1609,1948,1920,3109,3566,3478,4242,7516,8147,,2040308,2111130,2307290,2307146,2196114,2413429,3070497,3073951,3237274,3600955,,73410,68218,67951,61999,61076,60266,71043,74493,74214,94028
841320,Hand pumps for liquids (excluding those of subheading 8413.11 and 8413.19),1470,2101,2729,2477,3341,4152,4320,5698,8289,8085,,138671,181231,241846,255331,269620,291625,342369,370359,816101,508553,,4682,5620,6545,6090,6904,9294,9596,10597,13430,13030
940690,"Prefabricated buildings, whether or not complete or already assembled (excl. of wood, and modular ...",0,0,0,0,0,2295,3467,2956,5161,8070,,0,0,0,0,0,1438746,1514421,1610526,1663933,1821756,,0,0,0,0,0,6621,10115,8052,8574,12414
30489,"Frozen fish fillets, n.e.s.",0,274,1107,912,1175,1273,2556,9026,29296,8052,,683197,630857,668923,630152,654826,736410,636061,584647,488226,428917,,0,479,7394,6823,5975,6426,6951,14461,35101,13316
283510,"Phosphinates """"hypophosphites"""" and phosphonates """"phosphites""""""""",4580,4214,4537,3489,4113,4617,4719,3501,3178,8032,,84850,72775,82593,74851,83789,100721,117284,101161,86992,188008,,5502,4932,5454,4141,4655,5054,4947,3748,3557,8431
902219,"Apparatus based on the use of X-rays (other than for medical, surgical, dental or veterinary ...",2786,2327,3121,2947,2679,4045,7689,9551,8112,8016,,190329,221281,201000,337440,201022,310234,278157,307710,269058,309187,,132843,107965,104003,174984,158656,60712,246294,167090,165986,349561
760691,"Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm (other than square ...",12125,5461,2002,5486,8785,9437,8363,7956,5874,8002,,101306,87470,132706,161439,130448,144316,197389,183568,188729,217980,,49778,53734,45037,35630,33293,37550,41576,33203,30058,43017
391732,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",3117,4614,4434,4142,4203,4753,5120,6143,6229,7999,,94899,114441,145817,158936,164582,189347,224677,257785,276553,312367,,16293,21233,20419,18746,17940,19662,21066,21216,17603,18640
843139,"Parts of machinery of heading 8428, n.e.s.",5394,6270,7888,6649,5216,9648,8496,5429,5441,7980,,472572,574314,664600,693200,601132,660122,789354,863361,784416,1031679,,106733,54171,46521,123309,132601,174672,101509,213826,264954,297244
690911,"Ceramic wares for laboratory, chemical or other technical uses, of porcelain or china (excluding ...",628,955,1279,1327,1589,2853,4949,4733,6284,7930,,49547,50785,60678,66068,61228,66769,78259,79280,72084,94246,,4636,9985,17749,21449,34928,50717,51526,51506,60299,64584
610821,"Women's or girls' briefs and panties of cotton, knitted or crocheted",2765,6081,6769,7214,7187,8227,9003,7957,5412,7924,,752890,910459,1033071,974378,1068198,912911,963150,920441,891543,1089654,,8680,9633,11054,12681,12220,14061,14603,14368,11130,13678
844712,"Circular knitting machines, with cylinder diameter > 165 mm",3175,4213,4344,7418,11133,9251,6459,4300,6041,7915,,50185,79357,125062,139946,174859,199373,174383,183948,203697,289623,,6626,13363,10112,14178,25579,18229,11680,12968,10561,9831
650699,"Headgear, whether or not lined or trimmed, n.e.s.",3891,4131,4638,4933,5083,5778,7607,7468,5000,7911,,185689,211381,292999,355111,299954,335420,379217,382070,403726,471837,,5191,5332,6560,7003,7337,7723,9829,10339,8894,10585
392091,"Plates, sheets, film, foil and strip, of non-cellular poly""""vinyl butyral"""", not reinforced, ...""",3620,4581,7396,5837,5977,5868,7072,5723,6288,7909,,61444,80711,97453,101269,134672,151573,164604,166038,130678,159748,,14304,15133,17847,13909,12103,11083,11674,10320,9403,11094
160552,"Scallops, incl. queen scallops, prepared or preserved (excluding smoked)",0,468,3746,3932,6134,5804,6256,9802,6685,7881,,123577,118057,146883,166291,110613,130586,111590,118425,123817,121792,,0,1215,7483,7195,9565,9643,12072,17264,13927,16602
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...",38276,4797,6382,9249,24935,26432,14614,7125,18694,7880,,187280,111582,109676,142979,143796,147718,181171,258052,185367,154847,,491088,382848,320910,165047,196472,181832,229337,151032,114744,94551
830120,"Locks used for motor vehicles, of base metal",5325,6631,8133,6865,6391,6532,5521,7346,6933,7873,,399090,451873,521940,572458,519571,444115,403146,385438,319278,373494,,15392,15033,16990,14711,14078,15504,14530,15264,15727,18137
210210,Active yeasts,4265,4099,4948,4725,4532,6122,6045,6766,7293,7867,,199339,214385,225847,218578,225567,231492,212394,229023,257320,251029,,8382,8309,9251,8932,9477,9859,9787,10863,11976,12944
290719,"Monophenols (excluding phenol """"hydroxybenzene"""" and its salts, cresols and their salts, octylphenol, ...""",5696,2767,2699,3803,4865,5368,6301,9160,5032,7865,,55177,60698,73275,56802,60195,63266,68851,79917,73016,84812,,31081,28922,19290,17142,17766,17671,18692,26995,17197,22731
610442,"Women's or girls' dresses of cotton, knitted or crocheted (excluding petticoats)",2786,6697,6603,6298,4903,5301,6589,7084,6104,7864,,1306005,1652007,1397190,1298958,1122427,906569,861417,799629,709531,1030503,,7742,10722,10601,10890,10418,9937,12106,13335,12769,15746
81340,"Dried peaches, pears, papaws """"papayas"""", tamarinds and other edible fruits (excluding nuts, ...""",870,964,997,3639,8479,8068,7185,7394,8083,7851,,91955,90008,100124,109115,114027,96634,124388,127175,156597,200074,,2221,2445,2789,6140,11054,10668,9419,10676,11399,11915
282090,Manganese oxides (excluding manganese dioxide),1604,882,1058,961,1670,1464,2858,1113,1808,7841,,9344,6074,6403,5569,7210,6222,7973,5666,6028,14982,,7022,6270,5881,5187,3636,4779,6529,3482,4807,11360
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",5013,4113,5817,3425,3164,4512,3919,6445,10902,7837,,233758,260083,273077,277141,269054,305310,320481,287589,254663,306813,,19127,20206,23110,16305,22520,22392,27389,27506,32591,31736
293420,"Heterocyclic compounds containing in the structure a benzothiazole ring-system, whether or ...",5752,6569,7917,7020,5776,9045,8519,7297,6641,7800,,353593,324602,342472,321419,329105,376332,483622,516796,354901,407290,,6788,7372,8830,7746,6331,10452,9796,8663,7888,9338
293629,"Vitamins and their derivatives, used primarily as vitamins, unmixed (excluding vitamins A, ...",1291,1466,1754,3218,3227,2745,4203,4088,5419,7800,,269906,227185,266326,426693,301343,426390,460530,449494,588874,521407,,4616,5018,4509,6212,5853,6722,7129,6723,9379,11459
294140,Chloramphenicol and its derivatives; salts thereof,4563,3270,3231,5682,4323,4896,4973,5358,4941,7794,,148427,131891,141288,186676,172252,159052,171958,169819,180590,196733,,4563,3270,3231,5692,4366,4919,4973,5390,4967,7830
120190,"Soya beans, whether or not broken (excluding seed for sowing)",0,674,5084,6644,8041,7684,6070,4810,6265,7780,,278748,201195,198529,124660,108094,90847,99585,91920,71110,73898,,0,98542,1346635,1167067,1015666,1072624,1070302,1026947,1039160,1496636
560313,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",6355,5107,4054,3402,3084,4540,5804,7227,6692,7775,,99742,120428,134064,154648,168499,175925,217664,222360,244244,254769,,10749,9011,8662,7238,6409,9196,11132,11585,12117,12033
570330,"Carpets and other floor coverings, of man-made textile materials, tufted """"needle punched"""", ...""",6253,6197,7341,7322,5967,5963,7329,8216,7045,7760,,756268,879844,995920,961553,990369,1073633,1241185,1153942,1141701,1201848,,7715,7348,8502,8221,6772,7197,8441,9646,8464,9739
851010,"Shavers, electric",8277,8451,7173,6791,4770,5565,6535,5584,6129,7735,,391385,420383,413808,441581,386228,412192,398554,401990,383860,394490,,15031,14844,13799,13341,12972,14106,13702,12323,13134,14332
850132,DC motors and DC generators of an output > 750 W but <= 75 kW (excl. photovoltaic generators),1435,1895,2465,2459,6527,7060,5165,4387,6564,7684,,259742,284524,327231,355338,350270,331437,442880,424432,393588,522108,,8837,9847,10363,9286,13878,14477,14567,10794,11872,15647
720299,"Ferro-alloys (excluding ferro-manganese, ferro-silicon, ferro-silico-manganese, ferro-chromium, ...",6016,5508,6664,5413,3503,2793,4532,3239,2725,7665,,1128441,354581,356541,309874,251754,308585,366556,325563,274354,493724,,10952,13550,17255,11410,9070,8590,9554,7016,4877,11016
731449,"Grill, netting and fencing, of iron or steel wire, not welded at the intersection (excluding ...",1920,1694,2268,2181,1576,2462,4149,3566,4138,7637,,200006,204377,209734,192038,147921,148072,153815,184453,192593,239024,,4052,4245,5249,3882,3246,3730,5365,4982,5630,9347
285390,"Phosphides, whether or not chemically defined (excl. ferrophosphorus); inorganic compounds, ...",0,0,0,0,0,1855,3063,4112,2217,7607,,0,0,0,0,0,400834,1030609,1117493,1234446,1953298,,0,0,0,0,0,87278,91244,90353,103837,132751
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",3761,4204,4976,4721,4442,5340,5226,4547,5049,7603,,26181,30735,48541,43511,50285,64043,70411,65109,80089,262147,,37504,32798,38049,37654,33269,38188,39101,33348,32761,41831
250410,Natural graphite in powder or in flakes,5197,4187,4394,4280,4261,5606,6243,5759,4674,7602,,251170,247103,268229,221118,207825,241695,314910,295654,308617,269956,,6680,4897,5177,5029,6228,8475,9232,8946,7423,11661
292250,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function (excluding ...",5677,6481,5980,7585,6338,6453,7587,6608,5703,7591,,333707,465398,536608,657972,599733,666971,752206,706346,805310,1025016,,10869,11097,9491,9379,9083,8387,10572,11341,11117,12986
820890,"Knives and cutting blades, of base metal, for machines or for mechanical appliances (excluding ...",4649,4795,5502,5863,5539,5221,4928,5297,5559,7558,,52886,56772,66593,58104,59106,67708,76990,86416,93525,125796,,30398,31045,33239,30908,32610,35707,38732,53578,41125,48023
540741,"Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides, ...",342,1418,1407,2052,2767,4863,3540,4667,4557,7556,,110885,102567,89199,195227,211123,198827,253351,173124,38717,63223,,6775,4953,8466,8482,7279,8349,6364,11077,7929,8996
846620,Work holders for machine tools,8761,7491,8960,6898,6573,6666,6650,6978,6433,7536,,128550,102990,116818,107287,116088,118974,135364,121811,112767,146994,,33094,24866,26649,22444,22882,25745,23003,22625,18266,21828
681591,"Articles of stone or other mineral substances, n.e.s. containing magnesite, magnesia in the ...",0,5,9,3,0,125,476,859,4499,7533,,198363,190074,273136,262777,245833,356396,552673,383685,290444,400542,,0,5,9,3,0,694,4200,9503,15744,20344
853949,Ultraviolet or infra-red lamps,21596,21687,30402,35281,51630,19868,15058,15450,10909,7530,,69777,91219,86993,154136,122763,82506,85447,85833,480803,303068,,87791,90015,102909,100478,108055,76732,73029,59187,61885,61769
570500,"Carpets and other textile floor coverings, whether or not made up (excluding knotted, woven ...""",6315,6624,6809,6390,5520,5333,6395,6837,6664,7511,,814487,761458,748104,716911,748041,831715,904288,1013887,1147660,1396823,,9312,9662,9799,9075,8730,7541,8072,8315,8112,8588
761300,Aluminium containers for compressed or liquefied gas,270,147,255,962,989,1283,1110,2051,5245,7511,,48646,50707,52453,54361,40719,34506,37825,49697,68239,82291,,2953,2388,2470,2881,3035,3800,4064,5785,9561,12091
841290,"Parts of non-electrical engines and motors, n.e.s.",3116,4052,3754,3706,3115,4520,5463,3892,25403,7507,,800416,773731,887495,930185,1049469,964189,1521627,1857539,1965268,2111631,,18112,10496,9157,8346,7914,11767,13157,17070,99922,37316
611596,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",3365,3626,7951,10191,10532,11291,14424,12776,10843,7505,,2513220,2758419,2833355,2796566,2467214,2509607,2875854,2894931,2483060,2845203,,8856,8746,12191,14650,16550,17246,20730,17168,13844,11621
382440,"Prepared additives for cements, mortars or concretes",2480,1467,1615,2186,1980,2082,3242,4178,5038,7475,,191192,263498,290281,324508,239798,248624,308581,271225,207497,236817,,16416,16166,14790,13672,11439,11672,10829,9797,10852,15496
