Product code,Product label,China's imports from United States of America-Value in 2012,China's imports from United States of America-Value in 2013,China's imports from United States of America-Value in 2014,China's imports from United States of America-Value in 2015,China's imports from United States of America-Value in 2016,China's imports from United States of America-Value in 2017,China's imports from United States of America-Value in 2018,China's imports from United States of America-Value in 2019,China's imports from United States of America-Value in 2020,China's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
540419,Synthetic monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm (excluding ...,4898,7374,7787,7045,7503,6902,8144,7161,6165,5705,,99356,93807,93668,98770,91160,90105,109707,111661,102568,119845,,48160,56813,74154,70391,79097,90151,97688,98578,88285,89139
440890,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ...",24554,22099,19517,9203,9902,9059,7004,4459,3635,5702,,267107,272728,289646,276617,263641,253779,268874,247500,239588,305920,,112576,117154,152079,140616,134284,96044,105571,129757,132699,122714
280130,Fluorine; bromine,1429,159,2024,2165,11647,11717,6528,877,7202,5673,,11142,11697,10073,9708,14976,13333,8889,12497,18341,15774,,71425,77533,80518,59203,110220,170651,173049,239358,192609,248881
690290,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods (excluding ...",2016,1131,958,1536,524,1285,3340,12326,2069,5668,,79698,58578,54024,63471,59427,57818,59380,72588,37504,47932,,25252,36331,30970,17685,23238,28999,60107,75393,75275,94071
960321,"Tooth brushes, incl. dental-plate brushes",5878,6908,7847,8372,8689,8054,12596,14384,12371,5646,,84343,92374,93478,104176,110210,103367,110503,110590,109009,102332,,23340,29518,36877,46275,54525,63055,80017,95948,93278,85405
251200,"Siliceous fossil meals, e.g. kieselguhr, tripolite and diatomite, and similar siliceous earths, ...",2710,4162,5884,5290,5129,6248,7921,5382,6112,5638,,50922,49023,44554,41033,38472,45148,41912,39654,39594,45755,,5224,6467,8692,7673,9240,11360,13152,12037,13189,11978
843041,Self-propelled boring or sinking machinery for boring earth or extracting minerals or ores ...,27140,62784,6088,49733,3800,3681,4707,7353,6692,5614,,915706,701733,563987,532349,241083,377550,421138,337556,278055,303406,,67693,119734,75670,220476,39130,15630,38873,51318,39743,26887
845530,Rolls for metal-rolling mills,32166,17659,27968,13277,12832,10922,11003,12189,14777,5608,,184470,160057,155704,118966,106424,98440,114393,118323,105197,84892,,186386,123689,130326,103745,90206,67676,98557,106097,78078,68929
80232,"Fresh or dried walnuts, shelled",12488,10224,15481,17965,17604,17648,19205,12868,5838,5607,,651402,708532,881239,1018093,753835,859402,858012,754807,831766,869175,,16587,17867,29665,20040,19432,18328,19795,15225,6010,5767
850164,"AC generators """"alternators"""", of an output > 750 kVA (excl. photovoltaic generators)""""",7944,13905,50255,23780,9418,5480,6925,13250,10892,5598,,678248,540619,645346,502925,344362,193613,163813,200847,162961,167347,,200960,141047,138000,111177,114253,109559,78452,91053,113761,125433
900219,"Objective lenses (excluding for cameras, projectors or photographic enlargers or reducers)",3656,3402,3538,2864,4527,6045,6940,5717,5802,5573,,113739,108116,119461,82667,87856,114580,100638,91708,92139,111135,,832748,1470719,1636006,2039092,1801204,2181046,2156334,2704193,2305094,2063203
284329,"Silver compounds, inorganic or organic, whether or not chemically defined (excluding of mercury ...",121,155,439,825,1272,2529,2829,3268,7842,5545,,14961,11114,9223,9266,8190,11898,15337,15426,6995,13425,,4383,2709,2580,3257,5051,6666,6456,6357,9648,7066
482190,"Paper or paperboard labels of all kinds, non-printed",5247,7324,6197,4408,3911,5017,5296,4357,4158,5543,,168368,154386,164685,156541,163024,166214,175849,159380,159400,172064,,35510,35835,35139,31612,34993,37202,31440,26867,20943,23079
910211,"Wrist-watches, whether or not incorporating a stop-watch facility, electrically operated, with ...",193,155,282,6273,2355,393,3864,6734,6341,5523,,264813,285780,324846,319078,305941,335994,343313,286739,149701,143941,,544765,553088,604713,566251,469481,659272,780717,797792,725731,791775
690220,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods containing, ...",9883,3319,2960,3874,3599,9612,2566,17605,10258,5509,,123246,110832,97268,112743,72067,83976,83441,79031,68428,82590,,50476,53366,52614,26202,42280,67252,59663,89282,49775,41539
846620,Work holders for machine tools,14992,15517,16689,19631,15323,15313,26913,10118,5388,5488,,256460,261408,280181,267439,260043,280088,325440,271095,192743,222578,,321693,295462,381208,307630,275031,335021,353332,276300,247825,261283
382440,"Prepared additives for cements, mortars or concretes",20449,10112,7876,5335,5186,4149,4228,4315,6402,5476,,163281,162706,162907,140391,117763,140675,159658,159284,118805,116898,,53997,40184,30728,24496,25463,25716,24269,28715,34416,33122
843860,"Machinery for the industrial preparation of fruits, nuts or vegetables (excluding cooking and ...",5631,2781,3808,2219,4030,2841,4242,4545,8336,5463,,60406,75229,70672,70040,70029,87099,120759,110671,80150,86433,,19215,14926,15064,16172,20986,18329,31815,22592,29064,21085
290519,"Saturated monohydric acyclic alcohols (excluding methanol """"methyl alcohol"""", propan-1-ol ...""",15163,11582,12976,9839,16815,20006,15292,11392,3811,5441,,128554,138094,133928,114817,104667,108361,112340,117761,112167,135304,,477473,457653,497000,292634,258366,305832,287253,257256,219844,365099
390610,"Poly""""methyl methacrylate"""", in primary forms""""",15673,9007,8600,10953,11041,13050,9173,6354,4123,5430,,106798,88430,111560,107244,93128,107860,120994,96060,75166,106148,,645312,582665,570328,460010,419212,494586,614841,480722,393413,503539
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",9520,15018,17425,10876,12059,11275,10799,8871,58720,5426,,575720,677361,689207,660111,661324,676094,677624,727277,1059117,1080513,,74955,108270,131008,124399,128459,161591,193280,214128,1206717,225641
392061,"Plates, sheets, film, foil and strip, of non-cellular polycarbonates, not reinforced, laminated, ...""",24974,18928,17553,11362,10148,12054,12970,7070,4433,5425,,97645,88975,108731,110351,122526,127885,113474,101355,110651,103727,,247523,231276,210259,160521,131138,163281,184072,168224,137058,152306
841620,"Furnace burners for pulverised solid fuel or gas, incl. combination burners",22132,19423,15779,9034,10733,18150,22531,9888,5291,5396,,115256,115037,135575,156686,96165,118330,96545,92860,74513,55722,,167279,216970,232199,137018,135718,213657,199490,158738,134924,105627
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",1049,1615,2232,2338,2206,2520,3920,4134,3943,5352,,395542,404069,404445,433783,408735,395187,431982,465049,374898,504331,,35917,33606,41663,39677,34154,49039,60588,79542,103586,138007
400591,"Compounded rubber, unvulcanised, in the form of plates, sheets or strip (excluding rubber compounded ...",4054,4477,4819,5831,6319,8497,6935,5046,2679,5340,,124914,115758,123348,107864,107341,111194,137502,128069,91048,118726,,2168733,2786679,2008286,788472,53454,43551,38563,38197,35471,33799
701090,"Carboys, bottles, flasks, jars, pots, phials and other containers, of glass, of a kind used ...",2492,1887,2573,1731,2849,1834,2461,2180,3223,5336,,308116,282177,291887,294950,356241,388073,333503,308358,356174,436649,,54649,52391,55516,50758,39807,42831,62353,50767,57712,69212
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,6955,7323,7589,9249,9588,8362,10654,9977,6540,5333,,368479,361529,406910,389621,397249,415131,436617,523488,545958,711877,,56291,87741,75102,83267,90839,153918,204680,153153,99294,102229
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",7558,8418,7302,9214,11621,10695,10080,8880,6497,5323,,297907,310474,345094,282664,243437,251510,284635,263581,218821,251250,,285310,274174,293961,263950,243576,219234,213456,217530,223945,243739
540259,"Synthetic filament yarn, incl. synthetic monofilament of < 67 decitex, single, with a twist ...",190,697,21,445,515,684,558,662,3318,5310,,1342,1448,1259,1681,5241,2622,2185,3530,1757,4568,,2602,3956,3535,2463,3711,1816,2344,3345,5224,6800
220422,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",0,0,0,0,0,3866,5426,5440,3652,5293,,0,0,0,0,0,17889,22888,24035,21793,28978,,0,0,0,0,0,8683,13246,13477,8402,10411
853939,"Discharge lamps (excluding flourescent, hot cathode lamps, mercury or sodium vapour lamps, ...",8242,6913,8394,9349,10678,12178,11542,8073,6141,5282,,41665,36044,35879,25463,22082,22363,19940,18732,15664,19092,,457631,377232,252069,234647,195181,178249,143420,95614,72059,65546
292119,"Acyclic monoamines and their derivatives; salts thereof (excluding methylamine, dimethylamine, ...",17035,8987,3258,3764,1929,7105,8824,2627,4887,5277,,150632,154631,177809,153752,141232,170889,156412,113705,136392,165227,,59702,53159,51509,39273,37514,47492,69791,49203,40632,40818
871680,Vehicles pushed or drawn by hand and other vehicles not mechanically propelled (excluding trailers ...,7000,9214,6273,8324,6700,6847,9315,9329,5001,5261,,213139,282642,309110,300934,276955,261947,281533,272907,230601,295288,,27359,28347,28433,33732,34055,30044,36814,39247,28787,26129
700231,"Tubes of fused quartz or other fused silica, unworked",25567,26411,31453,26777,22658,10983,6167,4676,6347,5249,,110003,123433,107589,119747,117856,137235,146957,136164,150419,141084,,147518,188541,232794,208049,248189,275675,302727,261139,149896,70704
550490,"Artificial staple fibres, not carded, combed or otherwise processed for spinning (excluding ...",31226,38833,29184,21365,32535,40196,32588,15038,2194,5237,,24038,56292,41785,28561,48999,56341,52377,61244,33830,64431,,170924,135694,141845,174983,198314,224013,244201,268751,183027,159594
540411,Elastomeric monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm,7466,5854,5630,5456,5300,5191,5073,6191,5282,5225,,9967,3063,3102,4970,4550,5582,5284,4105,2849,2957,,30521,26251,20000,20468,21668,19078,19248,22402,20725,18202
950590,"Festival, carnival or other entertainment articles, incl. conjuring tricks and novelty jokes, ...",140,173,381,1764,7387,1106,1106,1521,2417,5208,,154767,152907,159057,167775,169714,146599,147895,159396,104495,116249,,2061,2748,3393,6871,13300,7865,9066,7793,4975,14688
480258,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",4620,4126,3898,6665,4089,5876,6486,7310,3357,5176,,109190,114018,111364,90906,72586,79149,94670,87018,64881,84346,,41181,40059,44470,51175,50173,58162,68148,64088,54646,67032
840510,"Producer gas or water gas generators, with or without their purifiers; acetylene gas generators ...",1099,2480,1779,2795,2116,1235,2123,2836,1658,5171,,83881,79072,107602,102687,61393,40389,75477,81769,45963,48445,,4491,10072,9613,6709,6925,7742,6845,12050,5819,19674
290719,"Monophenols (excluding phenol """"hydroxybenzene"""" and its salts, cresols and their salts, octylphenol, ...""",4674,5694,9642,14539,16256,15838,20098,11209,16478,5166,,81979,76627,92107,69997,72166,78821,89710,91532,81257,67990,,62285,78013,89565,79397,63453,82371,110855,88772,110887,83496
740321,"Copper-zinc base alloys """"brass"""" unwrought""""",8095,6032,8500,7191,2002,777,1359,15,2640,5146,,69480,67136,71384,73756,49020,56037,68834,44372,39364,57107,,205761,214404,164861,129808,140240,218016,282262,360082,902493,1171459
901480,"Navigational instruments and apparatus (excluding for aeronautical or space navigation, compasses ...",9101,11422,10983,12640,14118,13762,10545,12239,13623,5143,,276522,273183,246778,251702,275517,310811,345807,337213,365598,411950,,103157,97345,118968,128932,98638,82065,83098,101375,102619,91248
850650,Lithium cells and batteries (excluding spent),7915,11036,10995,12341,12879,11199,9805,8858,8702,5132,,372746,370333,393525,369507,349155,414021,404659,442634,418949,457702,,177219,184150,212093,223569,216993,244876,238400,237734,213914,236396
961390,"Parts of lighters, n.e.s.",1656,2504,4003,4858,4668,3522,3786,4067,3611,5125,,11426,12527,12750,10914,9883,9081,13221,20347,22792,29587,,8849,10535,12383,12384,12294,12321,13832,13033,11582,11977
470610,Pulp of cotton linters,9455,6650,6235,5114,6038,11562,10978,10568,11427,5103,,165788,121644,123460,105500,111484,137247,127865,102724,99861,82324,,9860,6739,6274,5146,6220,11879,11669,11195,12114,9879
846022,"Centreless grinding machines for finishing metal, numerically controlled (other than gear finishing ...",0,0,0,0,0,2344,1149,1699,1468,5099,,0,0,0,0,0,24589,25067,21038,20213,9423,,0,0,0,0,0,45613,44814,46830,26408,29382
843290,"Parts of agricultural, horticultural or forestry machinery for soil preparation or cultivation ...",1431,3294,3596,1909,1323,1657,3359,5999,5121,5095,,325000,350159,300417,253036,249845,283746,275636,249290,233694,335019,,65193,36989,34547,24673,62871,64062,32051,39754,38722,24588
950699,Articles and equipment for sport and outdoor games n.e.s; swimming and paddling pools,4595,4922,8002,8524,5793,12137,6864,5899,3659,5046,,508239,546646,550033,512192,526595,527541,502747,505198,454766,620476,,26316,41411,49336,49967,45349,62116,68004,62076,56065,45724
831000,"Sign-plates, nameplates, address-plates and similar plates, numbers, letters and other symbols, ...",6412,4924,4251,5361,8080,6104,5428,5789,4176,5029,,73516,79373,85486,80983,74017,65718,68866,66524,54678,67740,,90753,91740,89853,79882,64491,60216,65175,61330,51910,56886
550320,"Staple fibres of polyesters, not carded, combed or otherwise processed for spinning",4754,8843,9918,8638,6788,8211,10028,7443,4452,5011,,165006,159847,103398,83847,78934,92762,88961,64959,60929,83497,,206202,232760,229161,176990,158116,218108,272100,242411,185170,165320
290941,"2,2'-Oxydiethanol """"diethylene glycol, digol""""""""",24573,26705,17186,11029,2420,8476,8340,79,10593,5007,,34700,48874,38442,36596,20750,28564,25551,56801,82916,123929,,556523,678089,749392,521139,373379,518296,575121,425667,377878,425892
710700,"Base metals clad with silver, not further worked than semi-manufactured",1862,2997,2795,2245,2451,2422,5080,4934,4281,5002,,48969,55762,50866,26591,30553,27551,29312,25500,20385,30026,,11928,15766,13848,13359,13347,15650,14738,11849,11639,13376
850511,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,9986,9511,10577,9707,10625,14008,10876,5794,4947,4972,,146377,126195,145244,94083,104868,118595,130159,100625,94352,109432,,935297,632957,569923,441482,383508,425340,381758,291290,264892,264515
401610,"Articles of cellular rubber, n.e.s.",5625,5427,6929,6606,7647,7882,8982,5736,4169,4964,,113142,107147,106494,108570,116595,99321,93908,86122,63964,73066,,52099,50275,51353,49268,51407,48737,52788,43058,39655,44875
842099,"Parts for calendering or rolling machines, n.e.s. (other than for metals or glass and excluding ...",2385,2845,4359,5930,4668,3811,3134,3457,4144,4951,,15582,22149,19010,30585,18517,17981,19660,25214,22663,20118,,47080,32315,36555,28183,28204,32484,32632,46509,28433,32648
330125,"Oils of mints, whether or not terpeneless, incl. concretes and absolutes (excluding those ...""",1485,3009,3230,2841,2914,5418,4900,5855,6901,4949,,52002,55100,47274,36981,40125,37918,35756,36381,39786,35137,,86796,125855,79656,60225,38234,28450,39729,34335,56941,54041
293214,Sucralose,0,0,0,0,0,2858,8197,4559,6193,4944,,0,0,0,0,0,31559,82841,92960,106466,122726,,0,0,0,0,0,3013,8300,4821,6345,5331
390920,"Melamine resins, in primary forms",12336,10346,11011,8710,10703,9876,10342,5143,5335,4930,,73311,64088,74967,82225,83600,99264,73686,57820,45133,52611,,53686,54565,60026,51043,51632,51969,46127,37509,33987,34985
320810,"Paints and varnishes, incl. enamels and lacquers, based on polyesters, dispersed or dissolved ...",10449,9292,9195,7201,6954,5145,5316,4604,3604,4920,,264076,269278,283767,311870,284860,296109,295497,296545,257355,280435,,150476,140165,138192,141730,115978,128582,105747,97162,92782,89835
180631,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg, filled",4669,5362,6646,8651,7901,6657,10309,7642,6291,4904,,230727,247837,235505,218814,204121,202398,192742,150492,121661,140970,,50615,66326,91734,90442,60368,71332,113597,129130,134392,122653
850132,DC motors and DC generators of an output > 750 W but <= 75 kW (excl. photovoltaic generators),7028,12918,14665,13976,10565,12916,8902,7147,11433,4884,,210597,220373,240711,246047,226811,232950,286518,256661,422781,570685,,42392,37786,39248,36058,36097,73904,44805,46529,50145,40321
293371,"6-Hexanelactam """"epsilon-caprolactam""""""""",237398,74231,33570,31064,6991,0,1,10084,31559,4850,,502208,412820,362469,246134,79969,59250,46073,57287,75167,64912,,1813705,1075923,504202,362204,277854,429387,349423,306231,288653,166295
901510,Rangefinders,1397,1193,2300,1526,2204,4300,3319,4781,3704,4824,,54868,68130,92925,84308,97942,150170,198440,210685,192312,156455,,18783,26095,38109,44355,80242,110506,136375,157633,149121,194052
854079,"Microwave tubes, e.g. travelling wave tubes and carcinotrons (excluding magnetrons and grid-controlled ...",2018,2659,2979,2085,2176,2069,7451,6526,4059,4808,,77055,73684,72119,85198,75624,80138,65790,62912,74971,99103,,5441,7981,15373,16647,5910,4248,12169,8395,6425,7523
820890,"Knives and cutting blades, of base metal, for machines or for mechanical appliances (excluding ...",16222,21230,20264,13404,8632,8317,9499,5994,5089,4801,,70870,74570,83240,84591,87456,95403,98310,103643,96367,110788,,167297,182119,189261,163362,168229,169006,175602,163735,167684,176289
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,1475,3354,4354,3212,912,1079,2599,2818,4034,4759,,362691,332148,321597,252823,194675,220021,236784,210502,194821,279280,,47540,40884,42823,34849,29467,36517,43479,38565,36682,57782
380700,Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewer's pitch and similar ...,71,42,89,1102,66,101,2926,8999,10275,4757,,18854,12608,40892,33788,20681,20112,36278,43157,35863,28785,,151,97,148,1247,85,370,2951,9028,10442,5196
291719,"Acyclic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their halogenated, ...",3074,7480,4837,7686,4163,3132,3683,2848,4057,4756,,112519,101855,105375,127223,69767,57635,60100,64668,62593,82112,,15645,25643,23411,20874,17869,19309,22900,19385,21234,23212
853610,Fuses for a voltage <= 1.000 V,6865,4268,4545,11711,16330,15684,11134,4683,3034,4748,,206442,198180,221533,231146,205088,235857,224302,197566,201435,235963,,552232,528157,498055,449458,462278,482151,509568,462401,513261,591609
480593,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets ...",1090,2377,2449,1593,2016,3635,4010,1325,16199,4733,,36956,30797,21193,31648,65696,71860,85671,56076,51240,74188,,25121,24742,17174,16004,17186,26987,31784,19591,177866,258779
840682,"Steam and other vapour turbines, of an output <= 40 MW (excluding those for marine propulsion)",6874,5151,5361,10213,1126,3178,3461,4579,3763,4721,,114476,152400,96283,102431,77775,61876,46746,60941,50369,42392,,221319,21952,15770,57423,12407,25540,12687,24074,41411,17445
846024,"Grinding machines for finishing metal, numerically controlled (excl. flat-surface, cylindrical ...",0,0,0,0,0,6119,6646,3363,2787,4714,,0,0,0,0,0,15707,15111,13736,9198,13478,,0,0,0,0,0,184230,258857,217374,175165,153388
401130,"New pneumatic tyres, of rubber, of a kind used for aircraft",3546,7827,5492,3785,3993,6343,7245,6507,19821,4685,,0,0,0,0,0,0,0,0,0,0,,43452,60149,46333,36518,42105,49738,48158,53529,49713,36283
71340,"Dried, shelled lentils, whether or not skinned or split",6,0,0,0,209,2052,6268,4983,6621,4675,,116052,137403,156685,183197,234883,219481,86078,127299,180335,138753,,339,211,334,211,812,2730,8134,9869,11228,10641
902990,"Parts and accessories for revolution counters, production counters, taximeters, milometers, ...",4964,5060,5030,4348,5069,3776,3646,2971,4390,4671,,50018,64114,67831,72395,71710,67497,72183,56800,41768,48542,,184218,163983,135262,116575,75347,50910,43953,32090,40101,33741
846221,"Bending, folding, straightening or flattening machines, incl. presses, numerically controlled, ...",11449,10198,14836,14085,15659,6409,15598,2012,15220,4667,,81874,85415,97381,96087,93592,75978,105778,74589,61512,66324,,310704,260008,254190,220845,205536,214056,225394,249403,227592,198654
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",14468,19753,20443,14953,12517,13136,15646,10999,8139,4664,,220998,214912,201933,191833,168793,216084,297843,252081,181132,268079,,529277,518339,511340,412469,350196,417123,509860,446096,318013,364885
290250,Styrene,239365,374533,254929,394332,429435,374716,174490,56327,4396,4661,,2191741,2999165,2844525,2105486,1928710,2062892,2067629,2155266,1618147,2024542,,4823230,6356593,5943206,4162925,3642719,4016372,3963593,3313160,2089974,1846862
390512,"Poly""""vinyl acetate"""", in aqueous dispersion""""",5315,6803,7069,5577,6270,5585,5822,5769,5505,4601,,14156,12842,14979,14464,14588,13914,11001,9596,7193,10260,,9035,9813,10685,8493,9254,8962,9536,8681,8591,8217
391721,"Rigid tubes, pipes and hoses, of polymers of ethylene",5824,10222,3456,3693,3709,3367,4266,4507,3956,4587,,184110,195781,165955,202317,145421,127670,158684,148979,130359,161168,,27119,34213,29481,24420,28651,32761,44711,31545,22937,20047
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",360,286,76,91,4857,1695,8049,26075,9718,4560,,53538,67083,69765,81964,98446,107967,172725,250864,159661,125149,,11978,11137,16723,36307,86429,126765,156194,253094,444536,405445
560490,"Textile yarn, strip and the like of heading 5404 and 5405, impregnated, coated, covered or ...",1104,1455,1220,1910,1996,2013,1073,567,1748,4552,,37611,12341,14761,13488,13817,14308,15314,16047,14207,16830,,12042,14597,15601,9165,8664,8824,8589,9735,8698,13009
320419,Synthetic organic colouring matter and preparations of the kind used for colouring any materials ...,1384,1552,1884,3230,3123,3453,4444,4484,5096,4547,,145753,139892,137709,160596,173762,185238,220097,228849,216667,263602,,51102,55292,48871,47524,48536,52371,62157,64461,76622,81667
400922,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",5462,7451,8588,8663,10558,11191,13445,10959,4847,4543,,112407,116141,94306,79562,58878,69754,72519,68326,60835,69517,,82216,85272,114923,98975,93775,78696,89946,60281,60050,70094
291539,"Esters of acetic acid (excluding ethyl, vinyl, n-butyl and dinoseb [ISO] acetates)",9224,10575,8549,8284,7459,10265,10228,8464,6606,4541,,172626,181879,185544,151976,136288,155070,178115,155442,160895,202021,,40928,40462,39407,37962,36788,40106,48157,43100,46339,48905
120922,"Clover """"Trifolium spp"""" seed, for sowing""""",1966,881,1404,1237,84,2807,5262,1859,920,4539,,10769,7498,8349,9039,12341,13752,13247,10001,10341,13694,,8300,8553,11164,14019,6472,11947,11109,8012,9054,13658
860719,"Axles, for electrical purposes, and wheels and parts thereof for railway or tramway locomotives ...",902,826,897,2260,821,449,471,433,1698,4535,,731655,664368,822409,869274,685662,576951,695132,671424,416367,391164,,307935,207327,334750,295472,197770,164060,239693,184959,185984,148046
380869,"Goods of heading 3808, containing alpha-cypermethrin """"ISO"""", bendiocarb """"ISO"""", bifenthrin ...""",0,0,0,0,0,79,803,786,2104,4514,,0,0,0,0,0,424,70101,34173,109290,128838,,0,0,0,0,0,1704,2710,5155,7272,7921
560210,"Needleloom felt and stitch-bonded fibre fabrics, whether or not impregnated, coated, covered ...",4591,5573,12395,11717,3914,3444,4403,5298,1192,4508,,57340,64643,67456,64478,65296,65115,73262,77422,65909,70372,,26464,28646,40766,35088,27471,28571,28203,31111,23545,32369
400942,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",3604,4510,7879,7397,8486,7963,12312,7228,6525,4502,,102251,115850,118698,105558,90957,91295,100775,91703,80298,86302,,58863,57463,72849,62081,70446,63071,67697,54427,48113,48443
50510,"Feathers used for stuffing and down, not further worked than cleaned, disinfected or treated ...",32688,29942,27643,23932,13716,15337,12049,8097,2860,4489,,97520,95535,104770,81983,48541,52779,56982,61759,33428,45680,,107116,137941,120485,83245,73055,129340,218252,265594,119641,185368
722230,"Other bars and rods of stainless steel, cold-formed or cold-finished and further worked, or ...",3962,3310,3380,7635,4714,3987,3394,1998,2311,4486,,73068,46463,52554,47369,48254,42808,50483,45924,34296,27594,,41458,30607,33254,33972,21516,33609,73502,62471,77718,53168
721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",1356,1722,2373,1846,2595,3793,3583,6191,5156,4462,,341935,298215,295262,200615,79434,109603,112578,65732,53470,57097,,19150,17694,24663,25367,33693,28262,27077,36896,25265,24337
710510,"Dust and powder of diamonds, incl. synthetic diamonds",3006,4561,8493,8444,4279,5970,5898,4730,6683,4452,,87797,77653,80530,67489,63759,73161,74886,62513,56248,63169,,20941,23647,26425,23744,18467,27662,25832,18624,17941,20238
851810,Microphones and stands therefor (excluding cordless microphones with built-in transmitter),11515,10085,8944,6933,11604,12270,16546,4116,3788,4449,,188688,193316,198067,207015,216197,208632,227110,198402,201777,216231,,718474,807541,921479,892036,802414,759939,778506,751312,758545,709151
691410,"Ceramic articles of porcelain or china, n.e.s.",2700,3159,5267,6253,5517,4836,4809,6455,5308,4442,,9126,8073,8918,7441,11634,13447,14305,9764,6992,8414,,75193,71629,84644,87088,74127,81121,102313,69526,83654,113381
760719,"Aluminium foil, not backed, rolled and further worked, of a thickness of <= 2 mm (excluding ...",5872,3561,2234,1885,1445,2868,6412,4449,4144,4424,,136176,134098,132265,118932,87297,90177,95057,91771,93713,104274,,704424,647282,662207,552904,507331,529947,636204,550672,519023,479561
880310,"Propellers and rotors and parts thereof, for aircraft, n.e.s.",7801,12774,9883,8945,3186,10980,4611,6599,5708,4416,,168725,211542,189885,178845,173089,233430,235069,257242,300370,300157,,12975,18111,15528,18303,20716,21219,17165,17147,14414,14667
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",3413,4626,4731,5384,5967,5585,6012,6127,3694,4414,,233205,231796,238975,226660,229613,264096,242483,249023,191946,213694,,138033,131331,136706,104380,93947,91471,93245,84721,62106,59527
560393,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 70 ...",18491,11671,10205,5766,6175,4671,7770,5292,6257,4407,,127901,164041,163468,133704,138862,154474,146359,128707,119008,189633,,112519,105636,74542,42341,48234,55288,64462,65629,82124,99533
843890,"Parts of machinery for the industrial preparation or manufacture of food or drink, n.e.s.",2793,2983,2474,1890,2086,2053,2007,2173,2468,4366,,339147,355059,331181,321196,319107,329808,327455,346197,312450,326001,,18509,21792,18771,17297,16207,18393,24093,21079,18663,21855
848710,Ships' or boats' propellers and blades therefor,21497,11317,10733,11074,4065,15368,4982,20025,5042,4362,,40147,44086,41310,41270,59059,47288,53014,51634,46752,47122,,521345,550267,691210,551073,314113,241188,202439,164956,164873,158604
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",1082,938,826,1963,1455,1086,2108,2378,2779,4358,,269505,285720,301526,300170,308260,332356,354116,370031,293907,316864,,101836,117292,107590,111173,151316,206757,253033,339201,406886,450046
291720,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, ...",1759,1420,2018,3639,3457,3704,4313,2220,3464,4343,,36620,37505,42628,41608,39800,50952,53411,47265,39957,44578,,30246,44953,46198,34952,35731,37238,38964,39391,34331,47545
481890,"Paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary ...",2787,6446,8571,5330,8209,5051,4513,3682,3240,4334,,100363,89336,69647,76030,70126,68168,105070,115875,118088,122473,,12120,17021,18969,13430,15836,12670,13691,17723,22224,23429
842833,"Continuous-action elevators and conveyors for goods or materials, belt type (excluding those ...",19992,22345,15066,9533,9435,8794,4778,13756,7554,4332,,280939,241479,220062,227481,216412,232026,240327,237352,187568,189161,,269545,277474,239647,269128,191029,247972,234425,264813,225394,201119
