Product code,Product label,Russian Federation's imports from Singapore-Value in 2012,Russian Federation's imports from Singapore-Value in 2013,Russian Federation's imports from Singapore-Value in 2014,Russian Federation's imports from Singapore-Value in 2015,Russian Federation's imports from Singapore-Value in 2016,Russian Federation's imports from Singapore-Value in 2017,Russian Federation's imports from Singapore-Value in 2018,Russian Federation's imports from Singapore-Value in 2019,Russian Federation's imports from Singapore-Value in 2020,Russian Federation's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
300443,"Medicaments containing norephedrine or its salts, not containing hormones, steroids used as ...""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,74,28
300450,"Medicaments containing provitamins, vitamins, incl. natural concentrates and derivatives thereof ...""",0,0,0,0,0,0,0,0,0,0,,21921,11126,17518,2309,1989,3833,26530,22270,30653,32756,,260309,291617,287778,203818,191652,299251,278500,323405,230279,327630
300691,Appliances identifiable for ostomy use,0,0,0,0,0,0,0,0,0,0,,14195,29923,28308,15392,34843,17654,22998,39060,19276,30327,,32327,24504,22289,11510,18847,21390,24718,21474,23349,19283
310240,Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances ...,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,20,147,242,1689,782,52,65,103
310280,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excluding those in ...,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,29,110,26,70,29,0,0,16,73
310390,"Mineral or chemical phosphatic fertilisers (excluding superphosphates, those in pellet or similar ...",0,0,0,0,0,0,0,0,0,0,,141,59,48,42,81,64,409,1178,1013,4,,1087,975,1509,751,1103,860,86,41,11,509
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...",0,0,0,0,0,0,0,0,0,0,,738,673,1067,1141,1549,1270,1055,1108,1564,2021,,15756,16617,18167,10271,14322,17472,18267,20088,16426,22682
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,0,0,0,0,0,0,0,0,0,0,,25077,39489,46780,61206,67679,65671,62597,65157,53610,58012,,35037,38654,39262,30235,40183,46771,53303,51842,55064,65375
320890,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",8,38,14,11,0,0,0,14,37,0,,121509,114271,147960,155221,110812,130155,150463,136735,103193,115729,,273121,273932,272194,197914,192051,212119,201769,198368,185651,215552
321490,"Non-refractory surfacing preparations for facades, inside walls, floors, ceilings and the like",0,0,0,0,0,0,0,0,0,0,,20717,16564,13875,14598,16383,16962,18338,13525,12499,10588,,92315,101694,119173,43981,41003,42317,40852,41864,39904,47323
321519,"Printing ink, whether or not concentrated or solid (excluding black ink)",98,105,20,3,4,2,0,0,0,0,,158912,168622,202205,199657,208658,231933,257575,270035,181042,182976,,187044,179664,180071,140133,155449,169820,177489,179590,164947,170538
10130,Live asses,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,16,0,0,0,0,,0,0,0,0,0,0,0,6,0,27
10511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excluding turkeys and guinea ...",0,0,0,0,0,0,0,0,0,0,,26,0,0,0,98,0,0,0,0,0,,49174,52283,38703,32239,29847,30086,24846,18876,15626,17697
10633,"Live ostriches, and emus [Dromaius novaehollandiae]",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,58,17,14,72,0,0,0,0,0
20312,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",0,0,0,0,0,0,0,0,0,0,,6,15,9,30,2,31,21,6,1,38,,147,34,0,276,0,0,0,0,0,0
20430,Frozen lamb carcases and half-carcases,0,0,0,0,0,0,0,0,0,0,,260,82,51,26,21,212,52,258,7,11,,6,7,5,0,0,0,0,48,0,0
20442,"Frozen cuts of sheep, with bone in (excluding carcases and half-carcases)",0,0,0,0,0,0,0,0,0,0,,1362,867,1393,1095,642,623,673,951,1067,1355,,22071,27897,29078,11703,10295,8417,10194,7850,3875,3106
20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",0,0,0,0,0,0,0,0,0,0,,0,0,134,82,0,0,0,0,0,0,,98383,56375,62345,34411,23603,28535,29582,24245,21684,15086
20610,Fresh or chilled edible offal of bovine animals,0,0,0,0,0,0,0,0,0,0,,1,0,38,95,207,3,30,23,13,2,,3041,2520,1556,3219,1925,3101,2844,1936,1544,1266
20712,"Frozen fowls of the species Gallus domesticus, not cut in pieces",0,0,0,0,0,0,0,0,0,0,,9849,10106,4407,3097,3512,3208,2721,3228,8465,21858,,33637,42247,27448,17953,27859,23511,16170,12352,10384,13579
20742,"Frozen domestic ducks, not cut in pieces",0,0,0,0,0,0,0,0,0,0,,164,104,259,383,512,727,378,460,303,584,,11276,10837,5840,2235,2100,886,1453,3268,2326,1832
20751,"Fresh or chilled domestic geese, not cut in pieces",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,279,106,0,0,0,0,0,0
21012,"Bellies """"streaky"""" and cuts thereof of swine, salted, in brine, dried or smoked""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,,4992,1365,845,72,115,210,69,10,27,6
21092,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,12,0,0
30194,"Live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,13
30232,"Fresh or chilled yellowfin tunas """"Thunnus albacares""""""""",0,0,0,0,0,0,0,0,0,0,,0,1,0,0,4,5,0,0,0,13,,12,39,352,290,279,361,462,479,327,691
30239,"Fresh or chilled tunas of the genus """"Thunnus"""" (excluding Thunnus alalunga, Thunnus albacares, ...""",0,0,0,0,0,0,0,0,0,0,,94,28,31,15,30,192,123,49,10,7,,7,1,9,225,29,125,23,20,0,2
30242,"Fresh or chilled anchovies """"Engraulis spp.""""""""",0,0,0,0,0,0,0,0,0,0,,19,4,1,1,7,0,1,1,0,0,,5,12,2,1,0,1,1,0,0,0
30253,"Fresh or chilled coalfish """"Pollachius virens""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,12,270,1,0,0,0,0,0,0,0
30292,Fresh or chilled shark fins,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0
30299,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,52,24,0,0,,0,0,0,0,0,7,335,42,101,104
30326,"Frozen eels """"Anguilla spp.""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,59,2,,1633,2600,1479,678,377,1087,1136,2498,1022,1790
30344,"Frozen bigeye tunas """"Thunnus obesus""""""""",0,0,0,0,0,0,0,0,0,0,,5976,1219,371,6600,248,2077,1351,2258,1520,440,,0,0,1,2,0,118,2,0,0,0
30359,"Frozen anchovies """"Engraulis spp."""", Indian mackerels """"Rastrelliger spp."""", seerfishes """"Scomberomorus ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,393,792,702,1065,,0,0,0,0,0,56653,62769,62236,35852,50902
30367,"Frozen Alaska pollack """"Theragra chalcogramma""""""""",0,0,0,0,0,0,0,0,0,0,,18,0,1,1,1,0,1,0,0,0,,119,102,391,38,77,0,41,0,0,0
30384,"Frozen sea bass """"Dicentrarchus spp.""""""""",0,0,0,0,0,0,0,0,0,0,,3036,4250,2824,4008,2266,2438,4600,2856,1389,1226,,682,694,1960,1525,723,1377,3138,3859,3151,8321
30390,Frozen fish livers and roes,0,0,0,0,0,0,0,0,0,0,,839,1586,1653,1918,1454,1378,0,0,0,0,,30595,61394,37941,20429,3770,0,0,0,0,0
30442,"Fresh or chilled fillets of trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,3,15,0,0,1,3,40,,3374,204,21,12,8,7,54,20,22,61
30462,"Frozen fillets of catfish """"Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""""""""",0,0,0,0,0,0,0,0,0,0,,1331,2819,3271,2621,3291,3828,2089,1152,912,2322,,41535,40959,30958,16963,20996,17342,18860,16782,15650,26239
30496,"Frozen meat, whether or not minced, of dogfish and other sharks",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0
30551,"Dried cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus"""", even salted, not smoked (excluding ...""",0,0,0,0,0,0,0,0,0,0,,2,3,0,17,23,27,37,27,16,10,,859,607,628,319,183,339,222,39,41,20
30571,"Shark fins, smoked, dried, salted or in brine",0,0,0,0,0,0,0,0,0,0,,39005,34779,28517,39680,36401,21001,8719,8856,8458,10822,,0,0,0,0,0,0,0,0,0,0
30611,"Frozen rock lobster and other sea crawfish """"Palinurus spp."""", """"Panulirus spp."""" and """"Jasus ...""",0,0,0,0,0,0,0,0,0,0,,21,21,239,232,353,507,231,271,458,147,,14,13,31,0,11,15,42,120,0,325
30625,"Norway lobsters """"Nephrops norvegicus"""", even smoked, whether in shell or not, live, fresh, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,471,720,749,450,522,0,0,0,0,0
30694,"Norway lobsters """"Nephrops norvegicus"""", whether in shell or not, dried, salted, smoked or ...""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,9,0,0,0,0
30711,"Oysters, even in shell, live, fresh or chilled",0,0,0,0,0,0,0,0,0,0,,48,79,71,189,65,47,32,28,11,8,,4789,6766,5710,2360,2648,3555,4599,5035,4622,7225
30719,"Oysters, smoked, frozen, dried, salted or in brine",0,0,0,0,0,0,0,0,0,0,,2283,2019,1202,570,234,223,449,486,1065,1329,,36,0,3,26,8,48,0,0,0,0
30811,"Live, fresh or chilled, sea cucumbers """"Stichopus japonicus, Holothurioidea""""""""",0,0,0,0,0,0,0,0,0,0,,15,1,131,3,0,0,2,97,16,20,,0,0,0,0,1,2,0,1,0,1
30821,"Live, fresh or chilled, sea urchins """"Strongylocentrotus spp., Paracentrotus lividus, Loxechinus ...""",0,0,0,0,0,0,0,0,0,0,,0,0,2,3,10,57,65,85,23,31,,13,54,202,127,112,229,363,318,118,3
40299,"Milk and cream, concentrated and sweetened (excluding in solid forms)",0,0,0,0,0,0,0,0,0,0,,15358,10838,11675,9716,5180,4694,2270,1697,1760,1469,,63617,72951,74071,48211,40350,64025,49054,67283,76386,71821
40410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening ...",0,0,0,0,0,0,0,0,0,0,,3989,3369,3445,3339,11586,2186,2083,15410,15308,16068,,95031,106709,96278,41082,54239,64296,34109,51855,30731,34189
40719,Fertilised birds' eggs for incubation (excluding of domestic fowls),0,0,0,0,0,0,0,0,0,0,,0,0,6,0,0,1,0,1,0,0,,10823,11302,15054,18141,25440,38132,39829,44367,49860,57679
50400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ...",0,0,0,0,0,0,0,0,0,0,,1595,8399,14559,1767,677,486,391,1905,1830,587,,83143,65309,51319,37138,28941,52131,72052,45714,39923,39724
50790,"Tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, ...",0,0,0,0,0,0,0,0,0,0,,108,143,1,0,0,978,97,0,0,0,,0,0,0,0,132,0,0,0,66,85
60312,"Fresh cut carnations and buds, of a kind suitable for bouquets or for ornamental purposes",0,0,0,0,0,0,0,0,0,0,,0,2,3,3,3,2,1,1,1,1,,65013,56757,50946,37286,23372,21546,21212,17027,14817,37108
70200,"Tomatoes, fresh or chilled",0,0,0,0,0,0,0,0,0,0,,473,247,300,245,289,167,166,129,113,141,,886816,1104455,1044719,659257,490582,558745,629841,636650,525128,482329
70420,"Brussels sprouts, fresh or chilled",0,0,0,0,0,0,0,0,0,0,,3,8,7,3,6,5,7,9,13,9,,470,429,408,40,109,110,96,116,12,72
70511,Fresh or chilled cabbage lettuce,0,0,0,0,0,0,0,0,0,0,,345,250,264,181,133,65,42,8,7,42,,30528,38468,35024,12345,14314,19920,24445,25849,8250,6808
70930,"Fresh or chilled aubergines """"eggplants""""""""",0,0,0,0,0,0,0,0,0,0,,1,2,1,2,2,1,40,46,4,7,,43073,50364,40707,17830,15920,16896,25222,26115,17227,13791
71022,"Shelled or unshelled beans """"Vigna spp., Phaseolus spp."""", uncooked or cooked by steaming ...""",0,0,0,0,0,0,0,0,0,0,,83,73,88,73,35,21,16,46,52,61,,11009,12043,14263,8051,8502,8486,12542,13719,9663,11647
71080,"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excluding potatoes, ...",0,0,0,0,0,0,0,0,0,0,,269,456,434,748,379,311,389,186,346,33,,47260,55638,59083,35033,26982,35522,58079,62545,54309,59271
71151,"Mushrooms of the genus """"Agaricus"""", provisionally preserved, e.g., by sulphur dioxide gas, ...""",0,0,0,0,0,0,0,0,0,0,,17,2,0,0,0,0,54,126,44,4659,,0,2,88,0,0,117,0,0,0,0
71333,"Dried, shelled kidney beans """"Phaseolus vulgaris"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,0,0,,314,106,52,22,10,61,21,18,61,139,,17640,22280,25274,15363,15596,22565,18075,22334,25331,25754
71360,"Dried, shelled pigeon peas """"Cajanus cajan"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,0,0,,10,143,1,2,27,11,1,14,7,2,,2,6,8,3,0,18,1,4,3,4
80132,"Fresh or dried cashew nuts, shelled",0,0,0,0,0,0,0,0,0,0,,8333,11138,19008,8647,9587,10089,7666,6978,5088,7880,,53524,55531,68139,34097,26520,48002,68895,68940,45231,62692
80222,"Fresh or dried hazelnuts or filberts """"Corylus spp."""", shelled""""",0,0,0,0,0,0,0,0,0,0,,39,59,99,170,104,131,94,110,129,94,,65026,45736,54134,52412,52324,50292,72422,76664,80820,75620
80231,"Fresh or dried walnuts, in shell",0,0,0,0,0,0,0,0,0,0,,11,25,168,14,26,45,42,454,509,240,,3284,767,194,52,188,1084,4316,6301,6503,8989
80251,"Fresh or dried pistachios, in shell",0,0,0,0,0,0,0,0,0,0,,1085,1862,1455,1405,1671,1680,2125,1218,1279,1396,,128637,106960,79807,21037,18079,30843,43684,63640,2705,6257
80290,"Nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts, cashew ...",0,0,0,0,0,0,0,0,0,0,,20766,16944,23161,19011,12027,7837,5012,1140,2167,547,,1874,4780,2553,1029,2921,2343,2934,4375,1497,3616
80420,Fresh or dried figs,0,0,0,0,1,0,0,0,0,0,,202,450,656,462,734,453,344,633,300,306,,17319,16134,13057,5940,4876,7720,8361,9721,11930,12098
80720,"Fresh pawpaws """"papayas""""""""",0,0,0,0,0,0,0,0,0,0,,2,2,3,1,1,10,3,4,8,11,,662,760,789,420,677,1024,1375,1873,2109,2968
80929,Fresh cherries (excluding sour cherries),0,0,3,26,7,0,0,0,0,0,,381,363,284,152,151,52,188,364,398,428,,110195,122066,93912,71021,85386,94517,116805,129323,150978,134975
81030,"Fresh black-, white- or redcurrants and gooseberries",0,0,0,0,0,0,0,0,0,0,,10,6,28,23,14,19,54,45,35,15,,679,728,862,398,428,559,987,1087,1021,970
81210,"Cherries, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water ...",0,0,0,0,0,0,0,0,0,0,,4,2,27,22,42,0,0,0,4,0,,0,0,15,0,0,0,0,0,0,0
81320,Dried prunes,0,0,0,0,0,0,0,0,0,0,,892,815,869,567,777,725,726,426,306,299,,57141,66081,32943,26338,22902,27269,37015,30321,28391,33389
81340,"Dried peaches, pears, papaws """"papayas"""", tamarinds and other edible fruits (excluding nuts, ...""",0,0,0,0,0,0,0,0,0,0,,1164,1123,2053,1467,1254,891,1169,961,822,1176,,8106,11872,10354,4617,4127,4757,9351,11311,11850,13206
90220,Green tea in immediate packings of > 3 kg,0,0,0,0,0,0,0,0,0,0,,1348,1884,2668,2958,3403,2468,2718,1667,5529,2204,,37070,43076,45756,43223,42807,36129,37743,33491,32446,39024
90812,"Nutmeg, crushed or ground",0,0,0,0,0,0,0,0,0,0,,819,180,53,17,165,68,17,11,14,168,,1061,1345,508,620,575,480,464,349,387,541
90821,"Mace, neither crushed nor ground",0,0,0,0,0,0,0,0,0,0,,1277,412,1696,2134,2385,94,10,2,13,104,,33,8,5,1,0,0,1,1,5,5
90931,"Cumin seeds, neither crushed nor ground",0,0,0,0,0,0,0,0,0,0,,2646,3382,2783,1539,1519,1543,1189,1102,864,572,,879,1070,1082,1236,1655,1811,2026,2073,2005,2375
90962,"Juniper berries and seeds of anise, badian, caraway or fennel, crushed or ground",0,0,0,0,0,0,0,0,0,0,,107,86,61,82,25,12,31,35,60,76,,47,139,197,42,64,99,109,101,64,99
100119,Durum wheat (excluding seed for sowing),0,0,0,0,0,0,0,0,0,0,,0,4,1,2,16,0,1,1,1,1,,1522,17971,13523,38345,27645,18070,35236,40002,54996,39763
100390,Barley (excluding seed for sowing),0,0,0,0,0,0,0,0,0,0,,52,50,111,139,98,2688,48,33,133,337,,185196,93923,38452,5900,19959,32299,2351,4616,6609,956
100590,Maize (excluding seed for sowing),0,0,0,0,0,0,0,0,0,0,,118,238,635,70,57,89,131,418,319,123,,8402,11212,5082,4415,4660,6060,4649,5088,3265,2927
100640,Broken rice,0,0,0,0,0,0,0,0,0,0,,1359,1066,446,37,147,0,0,0,0,327,,3621,4690,5556,4953,4707,7581,4698,6035,10313,10165
110100,Wheat or meslin flour,0,0,0,0,0,0,0,0,0,0,,28088,26373,24809,24421,25840,30442,33991,37276,34389,46068,,9880,25584,14404,7093,9998,10395,12594,20906,14915,18457
110412,Rolled or flaked grains of oats,0,0,0,0,0,0,0,0,0,0,,222,227,291,194,271,254,187,202,609,1040,,8512,8863,8716,4294,4419,5306,5271,5488,5452,6117
110819,"Starch (excluding wheat, maize, potato and manioc)",0,0,0,0,0,0,0,0,0,0,,222,238,269,224,304,54,21,47,32,39,,246,666,881,656,767,1111,1483,1966,1887,2770
120510,"Low erucic acid rape or colza seeds """"yielding a fixed oil which has an erucic acid content ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,14283,19635,19725,14711,32963,20597,38741,35339,55918,62881
121020,"Hop cones, ground, powdered or in the form of pellets; lupulin",0,0,0,0,0,0,0,0,0,0,,0,0,4,16,106,0,3,37,10,56,,20334,23626,23491,23415,34616,36836,38403,37883,40486,41755
121120,"Ginseng roots, fresh or dried, whether or not cut, crushed or powdered",0,0,0,0,0,0,0,0,0,0,,1557,4868,3857,3414,5017,4873,5438,2835,2869,361,,26,112,345,82,252,105,47,82,99,193
121130,"Coca leaf, fresh or dried, whether or not cut, crushed or powdered",0,0,0,0,0,0,0,0,0,0,,3,1,0,0,0,1,0,0,0,2,,0,0,0,0,0,0,0,0,0,0
121190,"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ...",0,0,0,0,1,0,0,0,0,0,,55092,92728,65942,50190,52181,58591,49000,56043,50549,39155,,26186,27538,23966,25252,26749,29454,27213,28895,30988,35019
130212,Extracts of liquorice (excluding that with a sucrose content by weight of > 10% or in the form ...,0,0,0,0,0,0,0,0,0,0,,228,203,274,97,228,304,164,285,415,565,,3644,4118,3551,3190,4716,3520,3025,2574,1725,1940
150110,"Lard, rendered or otherwise extracted (excluding lard stearin and lard oil)",0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,3273,1772,1636,124,79,124,82,171,19,4
150120,"Pig fat, rendered or otherwise extracted (excluding lard)",0,0,0,0,0,0,0,0,0,0,,0,0,4,0,0,0,0,2,0,0,,5869,4141,4381,3443,3885,3078,322,326,232,439
150940,"Virgin olive oil """"EU cat. 3"""" obtained from the fruit of the olive tree solely by mechanical ...""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,50
151110,Crude palm oil,0,0,0,0,0,0,0,0,0,0,,5765,28,56,237,88,93,296,306,18,5140,,4573,5054,1828,1447,98,56,9,4975,56,41
151411,"Low erucic acid rape or colza oil """"fixed oil which has an erucic acid content of < 2%"""", ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,364,286,147,284,536,,695,790,826,661,1800,880,69340,105290,103547,172372
151529,"Maize oil and fractions thereof, whether or not refined, but not chemically modified (excluding ...",0,0,0,0,0,0,0,0,0,0,,13876,11653,8741,4670,4003,3735,4442,3378,2219,2691,,2519,2510,1033,51,69,121,81,67,92,61
151550,"Sesame oil and its fractions, whether or not refined, but not chemically modified",31,44,36,15,18,16,14,9,4,0,,12991,14621,16414,16189,18210,16529,17139,17163,17703,19580,,1245,1685,1540,1134,1280,1642,1603,2068,2489,3817
160220,Preparations of liver of any animal (excluding sausages and similar products and finely homogenised ...,0,0,0,0,0,0,0,0,0,0,,14,21,27,32,19,10,18,161,88,201,,5002,6163,5321,2556,1814,2039,2411,2233,2480,3434
160417,"Prepared or preserved eels, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,0,,2801,2037,1825,2282,3292,1104,1842,1531,1879,357,,23279,21498,32258,21436,32136,32919,65341,56963,54377,69712
160540,"Crustaceans, prepared or preserved (excluding smoked, crabs, shrimps, prawns and lobster)",0,0,0,0,0,0,0,0,0,0,,7,5,60,45,31,27,24,18,9,3,,3060,4060,2678,2929,6313,14889,13529,18243,16879,16007
160559,"Molluscs, prepared or preserved (excluding smoked, oysters, scallops, mussels, cuttle fish, ...",0,0,0,0,0,0,0,0,0,0,,508,512,682,504,417,457,744,578,245,157,,380,439,413,74,119,60,86,0,28,11
170114,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excluding ...",0,0,0,0,0,0,0,0,0,0,,1666,2076,2508,3197,3868,4607,4351,5653,6738,6405,,275106,249576,279954,188010,94624,5312,4817,4768,4256,5361
170220,"Maple sugar, in solid form, and maple syrup (excluding flavoured or coloured)",0,0,0,0,0,0,0,0,0,0,,153,252,240,225,178,115,287,217,94,161,,543,580,767,354,407,434,581,548,535,712
190211,"Uncooked pasta, not stuffed or otherwise prepared, containing eggs",0,0,11,4,0,0,0,0,0,0,,869,927,923,1149,1114,1131,1077,1190,1001,1019,,12001,13417,13917,4986,4902,4956,5780,5505,6108,6831
190300,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, ...",0,0,0,0,0,0,0,0,0,0,,411,390,284,288,225,161,271,736,354,340,,35,84,56,95,144,111,163,102,170,232
190520,"Gingerbread and the like, whether or not containing cocoa",0,0,0,0,0,0,0,0,0,0,,425,453,650,130,127,49,58,24,5,5,,3015,4108,3929,1821,1993,3429,4087,3832,3158,4378
200410,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",0,0,0,0,0,0,0,0,0,0,,668,553,606,1427,975,990,516,412,663,330,,71249,84320,97503,75445,84830,103011,105480,91358,66500,90030
200600,"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar (drained, ...",0,0,0,0,0,0,0,0,0,0,,5392,5963,5195,5260,3788,3682,6185,5080,2389,2003,,4695,4349,4184,2420,2500,4104,4631,3734,4885,5119
200850,"Apricots, prepared or preserved, whether or not containing added sugar or other sweetening ...",0,0,0,0,0,0,0,0,0,0,,110,188,136,92,96,120,129,64,20,41,,7032,6022,5026,2747,2815,2414,2953,2371,2563,3145
200989,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening ...",0,0,0,0,0,0,0,0,0,0,,23113,29195,31900,28878,27295,30937,34721,35014,35235,41751,,40217,53910,49572,29936,32934,48935,58587,49367,57148,59541
210130,"Roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates ...",0,0,0,0,0,0,0,0,0,0,,204,252,306,1004,1338,755,705,580,224,212,,21714,25038,17465,12816,9180,8883,7629,8736,10469,10592
210310,Soya sauce,0,1,0,0,0,0,0,0,0,0,,38400,41094,42857,41299,41943,43854,47658,50846,46287,56316,,24040,26192,26684,16393,18246,19762,22175,22367,24424,29088
230320,"Beet-pulp, bagasse and other waste of sugar manufacture",0,0,0,0,0,0,0,0,0,0,,295,564,647,558,34,0,12,10,0,0,,0,0,40,49,71,144,2,0,32,0
230610,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,,0,8,4,0,0,0,5,0,0,0
230660,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,0,0,0,0,0,0,,11,0,358,2489,611,46,0,1,0,0,,0,0,0,0,0,0,0,0,0,0
240210,"Cigars, cheroots and cigarillos containing tobacco",0,0,0,0,0,0,0,0,0,0,,2072,2489,3382,2961,3309,4961,7184,10401,8563,7797,,24106,27755,22157,6576,16065,18381,20016,16385,12077,13442
240311,Water-pipe tobacco (excluding tobacco-free. See subheading note 1.),0,0,0,0,0,0,0,0,0,0,,272,329,322,186,12,1,0,0,62,8,,2699,1665,2094,1314,1456,653,943,3712,5318,3519
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",0,0,0,0,0,0,0,0,0,0,,5928,7012,6483,5361,5659,8687,14660,16058,11384,21236,,118951,154845,121386,80233,86291,83674,76834,85019,76938,79309
250810,Bentonite,0,0,0,0,0,0,0,0,0,0,,4167,5387,5004,5363,3944,3300,3121,2271,2315,3883,,20872,19081,18528,11220,11003,21789,22645,27366,25920,23997
251741,"Marble granules, chippings and powder, whether or not heat-treated",0,0,0,0,0,0,0,0,0,0,,609,562,532,456,192,95,86,221,145,87,,19315,19334,19784,9699,7375,8929,9161,9037,7495,7741
252100,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of ...",0,0,0,0,0,0,0,0,0,0,,121,76,155,189,428,88,52,114,52,61,,3178,880,175,88,780,669,1295,1595,1613,1921
252220,Slaked lime,12,0,0,0,0,0,0,0,0,0,,209,612,422,377,183,219,105,122,263,153,,2395,4552,4001,2186,1264,1336,1145,886,4798,1418
252230,Hydraulic lime (excluding pure calcium oxide and calcium hydroxide),0,0,0,0,0,0,0,0,0,0,,52,17,4,3,16,4,329,524,822,103,,55,95,98,14,47,81,25,57,22,21
252310,Cement clinkers,0,0,0,0,0,0,0,0,0,0,,661,1794,821,169,995,483,51,132,177,125,,27698,34815,31363,5297,2834,582,3755,314,81,51
252390,"Cement, whether or not coloured (excluding portland cement and aluminous cement)",0,0,0,0,0,0,0,0,0,0,,772,883,1631,1755,1037,1196,1183,3290,2270,377,,1260,6318,5319,190,37,192,29,16,84,9331
252530,Mica waste,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,0
