Product code,Product label,Australia's imports from Singapore-Value in 2012,Australia's imports from Singapore-Value in 2013,Australia's imports from Singapore-Value in 2014,Australia's imports from Singapore-Value in 2015,Australia's imports from Singapore-Value in 2016,Australia's imports from Singapore-Value in 2017,Australia's imports from Singapore-Value in 2018,Australia's imports from Singapore-Value in 2019,Australia's imports from Singapore-Value in 2020,Australia's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
846150,"Sawing or cutting-off machines, for working metals, metal carbides or cermets (excluding machines ...",68,6,92,215,22,5,268,25,11,151,,25780,8364,7197,6194,5388,9712,5319,3995,3852,3406,,21772,23564,23586,21799,20253,27507,25279,24450,21565,29377
730449,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, ...""",108,111,389,228,258,106,305,92,67,150,,12538,17663,22664,25593,21279,6932,8628,9634,5251,9280,,23148,13804,12537,7653,7910,4437,7611,4962,4495,4883
830210,"Hinges of all kinds, of base metal",308,227,265,211,177,145,132,127,85,150,,14297,14283,18617,16989,16005,13902,15304,12574,9822,13289,,55409,57095,64943,63995,67264,70376,79117,67010,69442,92296
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",58,37,2,8,31,38,3,0,67,149,,4299,6412,15677,7241,5969,41580,17075,35741,20653,47911,,193045,228756,243168,235027,244844,294204,324098,307956,368488,393695
330410,Lip make-up preparations,52,17,40,102,476,338,225,28,11,149,,89255,110753,166738,204486,246302,460794,706566,937608,535864,446097,,45185,48435,52796,60426,69587,80830,76991,76891,57379,65157
730419,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excluding products ...",884,502,414,209,279,271,542,159,612,148,,143176,142164,157585,114181,40702,63340,53567,49098,37738,45227,,117982,54085,30891,69642,10552,26113,46577,14021,14989,26384
850819,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor ...",31,0,2,12,2,10,0,0,5,147,,1895,2025,17201,2519,2725,3530,3316,2694,3099,4618,,53150,58584,55522,47863,45472,46840,43859,40479,55322,53559
441299,"Laminated wood with both outer plies of coniferous wood (excl. of bamboo, with an outer ply ...",99,168,129,260,124,1,8,18,2,146,,11702,8734,10030,10829,7495,5108,5651,3868,2584,3634,,42920,49803,65971,52203,71422,108267,132667,120332,116222,178789
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",431,46,30,66,375,182,53,96,67,145,,26662,15286,14916,19789,23204,18005,18523,22883,35290,41097,,102547,130100,106080,117990,121583,136176,159815,121214,114793,152108
291615,"Oleic, linoleic or linolenic acids, their salts and esters (excluding inorganic or organic ...",97,37,42,36,60,72,62,64,227,145,,1455,1087,976,675,674,361,961,1386,1516,1933,,1326,915,808,640,477,534,1965,1184,1455,1165
830249,"Base metal mountings, fittings and similar articles (excluding locks with keys, clasps and ...",425,459,879,834,316,303,142,257,132,145,,34701,35553,29188,33594,28793,26808,35195,32937,30075,42525,,71161,71220,75693,76262,71067,77420,88227,83283,76050,85575
701810,"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass ...",0,0,6,11,2,3,3,8,1,145,,5735,4578,4553,2856,1479,3416,21515,5821,2594,1689,,4443,4350,4997,4207,4672,3655,4152,4090,3714,4500
293628,"Vitamin E and its derivatives, used primarily as vitamins",619,764,762,1272,532,480,207,314,161,145,,85694,71129,55887,35639,41236,34641,35668,41039,43389,42351,,27913,23422,20928,19196,16700,18618,24933,16047,19195,23804
901849,"Instruments and appliances used in dental sciences, n.e.s.",545,399,56,56,51,212,102,60,106,144,,14457,18557,17012,15296,15854,10737,12353,11286,15944,9445,,89083,91530,98168,98479,97989,107685,109669,107800,110644,147411
841231,"Pneumatic power engines and motors, linear-acting, """"cylinders""""""""",175,98,44,337,38,99,87,117,302,143,,8708,5385,8878,9855,5290,6343,8128,8606,8080,10208,,16501,14577,16110,17242,16056,17120,22218,16904,18012,18488
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",429,1038,557,793,565,518,264,300,122,142,,30595,31268,19914,25336,25226,12374,16891,13657,19438,21178,,173128,164820,210524,222759,185474,206384,287179,256160,223331,232972
441239,"Plywood consisting solely of sheets of wood <= 6 mm thick (excluding of bamboo, plywood of ...",0,33,0,2,3,0,17,65,58,142,,4773,4282,3743,2542,2006,1312,1430,1490,1101,1719,,88526,61827,68953,65963,75947,75685,65603,44734,45257,78439
392630,"Fittings for furniture, coachwork and the like, of plastics (excluding building components ...",121,61,39,72,173,162,114,148,133,141,,11525,6311,4205,3429,3793,4646,4578,4704,4143,6220,,14471,15110,14910,15493,15125,16974,18291,17330,16940,19121
281129,"Inorganic oxygen compounds of non-metals (excluding diphosphorus pentaoxide, oxides of boron, ...",135,56,18,0,19,5,251,231,75,140,,1120,1956,1627,1666,1920,3163,6307,8775,7786,6920,,3586,3383,3828,4186,5326,11088,13939,17062,14705,15034
845011,"Fully-automatic household or laundry-type washing machines, of a dry linen capacity <= 6 kg",42,130,37,677,321,879,53,20,69,139,,8270,6621,6241,5064,4877,3879,4293,3312,3098,1943,,298426,295589,274720,280982,267234,285575,253716,251417,289174,273672
490890,"Transfers """"decalcomanias"""" (excluding vitrifiable)""""",115,120,77,108,57,14,2,14,284,139,,705,889,1025,1453,1143,390,702,916,1369,1886,,6536,5988,5984,6015,4368,4470,4501,3951,4787,6817
854290,"Parts of electronic integrated circuits, n.e.s.",18,6,76,5,24,1225,367,350,308,139,,4901503,6104584,5703972,2443460,1960809,1952670,1801296,1049931,1479249,2113075,,917,1021,939,1580,1714,5009,4105,6061,2515,3770
681099,"Articles of cement, concrete or artificial stone, whether or not reinforced (excluding prefabricated ...",252,63,62,11,305,40,97,43,135,138,,3192,4241,3841,2507,12179,2565,2719,1534,2510,2626,,142547,155715,190106,215154,248895,261689,284370,242108,214612,242190
842519,"Pulley tackle and hoists (other than skip hoists or hoists of a kind used for raising vehicles), ...",655,200,79,149,6,27,76,40,2,138,,3055,6722,4982,3641,5811,3950,4902,2855,2471,9579,,19325,16458,17286,13653,9741,14067,14775,12252,12736,12215
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",34,155,188,8,1,417,302,15,95,137,,12900,13005,12882,12558,8740,8239,11420,23587,38013,25370,,242870,263650,242049,225135,190203,196106,207486,196913,230716,279822
382478,"Mixtures containing perfluorocarbons """"PFCs"""" or hydrofluorocarbons """"HFCs"""", but not containing ...""",746,36,0,115,116,92,470,107,0,137,,5405,4210,4229,6908,3904,5029,8334,6567,4571,5486,,28076,266,741,4351,7610,15454,11891,10793,5601,9016
290539,"Diols (excluding ethylene glycol """"ethanediol"""" and propylene glycol """"propane-1,2-diol"""")""""",2392,1967,833,623,494,1244,1080,122,1207,137,,39381,46546,51199,32687,28693,37243,37888,32207,19268,10416,,9937,9350,7501,7084,5353,6429,7919,7145,6423,11102
848210,Ball bearings,104,51,748,962,547,562,182,152,123,136,,770405,767885,672510,633911,600342,620792,539537,480830,377948,410162,,88862,61818,70152,60130,57804,59567,56691,57816,55851,59129
400931,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",45,41,17,28,34,40,33,47,193,136,,5293,4034,4132,3789,5731,6966,7102,7061,6112,5983,,53518,45490,45788,41995,37574,39447,39380,36104,32949,37140
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",267,246,190,261,9,103,260,817,171,134,,13076,13594,12777,13272,13673,15448,21551,15203,20155,26237,,187766,186559,206564,202031,200322,218047,237269,232922,241544,249010
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",394,169,228,365,157,133,213,182,135,133,,183040,209433,179188,183099,164404,181580,218793,211145,169957,245213,,55487,44027,35270,30278,27594,36035,36240,27527,22148,33157
283620,Disodium carbonate,4,0,2,0,0,299,172,50,0,133,,909,721,432,441,438,661,769,398,421,492,,28760,37544,64565,49192,51904,62042,62356,62575,58327,51398
392350,"Stoppers, lids, caps and other closures, of plastics",635,232,263,152,53,28,75,36,120,133,,28156,30921,37536,34765,22946,25396,31168,34625,29883,30125,,88156,96442,108256,103624,106993,110959,120838,119249,134064,142465
271091,"Waste oils containing polychlorinated biphenyls [PCBs], polychlorinated terphenyls [PCTs] or ...",19,8,92,35,0,211,1999,762,421,133,,0,7,0,0,0,0,0,0,1,2,,1001,654,498,491,399,589,2918,1853,964,903
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene ...",0,8,193,8,0,0,405,0,23,131,,18569,22149,18896,15403,22025,18406,18214,26014,27560,31540,,37125,6729,8215,8548,8582,17813,15885,12340,10014,11328
842131,Intake air filters for internal combustion engines,343,96,238,284,241,250,357,352,97,130,,20771,15132,17062,19492,20845,25028,38418,43854,36690,44264,,70839,72200,73736,69564,65770,71591,83817,85668,89179,96670
210111,"Extracts, essences and concentrates, of coffee",1417,815,555,316,774,198,445,396,305,129,,68495,56140,50109,45405,33124,32918,33235,28742,25708,25268,,158047,109083,108182,113623,110758,125280,134986,134405,139100,137005
850780,"Electric accumulators (excl. spent, and lead-acid, nickel-cadmium, nickel-metal hydride and ...",580,575,96,128,214,971,1326,4585,17,128,,62890,31163,33768,23159,19127,19041,13581,11976,13451,9311,,11288,9153,13152,14174,10484,18581,17787,18242,9983,14398
847982,"Mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring ...",318,193,591,477,223,3159,212,187,37,128,,43705,39583,47994,48861,57095,55073,58515,62063,43015,64307,,48092,46983,45348,37328,39032,59230,46751,60431,58828,75245
330749,"Preparations for perfuming or deodorising rooms, incl. odoriferous preparations used during ...",52,42,42,104,58,164,154,143,326,126,,28075,22315,14364,12713,13047,15251,16499,14383,14488,9929,,46084,48222,47142,46849,44156,44976,48486,48827,55370,63218
160510,"Crab, prepared or preserved (excluding smoked)",4,0,0,0,54,0,0,7,161,126,,3161,3626,12714,14181,19490,9818,2698,1450,730,239,,4871,6162,5807,4183,3597,5090,5968,4815,4437,5466
845640,"Machine tools for working any material by removal of material, operated by plasma arc processes",0,0,0,0,0,0,47,57,76,126,,0,0,0,0,0,0,2711,3683,6166,9705,,0,0,0,0,0,3218,6325,9145,8312,13987
846299,"Presses, not hydraulic, for working metal (excluding forging, bending, folding, straightening ...",0,74,79,2,0,94,157,49,0,125,,30078,19027,16803,7948,6717,13028,12624,3961,2254,3501,,7396,6010,2708,3425,11623,3818,4798,2730,2829,4437
330610,"Dentifrices, incl. those used by dental practitioners",269,114,26,20,136,166,404,265,264,124,,12768,10542,13679,9325,11502,14166,8647,11067,13235,11474,,61085,65580,69058,68802,76869,72581,115076,95969,107900,102397
842430,"Steam or sand blasting machines and similar jet projecting machines, incl. water cleaning appliances ...",635,319,415,87,30,757,468,52,36,123,,11865,9224,10969,9413,11743,8311,8968,12168,7538,6752,,64547,63419,58057,58833,45250,53760,52633,54852,55527,88460
850519,"Permanent magnets and articles intended to become permanent magnets after magnetization, of ...",4,6,12,20,18,18,40,41,22,123,,16062,10230,4941,8474,14955,20174,13404,6917,6671,9443,,9442,9379,9698,10143,10073,10541,10895,10167,7494,9488
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",148,122,66,76,170,131,80,110,88,123,,52850,99370,114936,102087,66401,101743,45524,36780,36255,41593,,15621,17438,13281,17102,14642,23560,17156,9326,15896,16914
330491,"Make-up or skin care powders, incl. baby powders, whether or not compressed (excluding medicaments)",75,85,200,124,200,313,166,154,204,122,,79250,71795,68746,81057,79560,76618,102526,129148,154409,204351,,31956,32948,37574,41934,45448,47600,45352,39623,30733,35690
731600,"Anchors, grapnels and parts thereof, of iron or steel",2112,2149,1722,999,26,22,1259,1,1919,122,,25256,29220,23133,14237,8591,13895,18837,9266,11024,7314,,11130,12053,11516,9058,6909,4216,6889,7435,9148,5900
845229,"Sewing machines, industrial type (excluding automatic units)",53,89,105,187,121,140,127,67,170,121,,239702,298279,340679,364452,343814,252982,456261,285893,162086,268559,,4512,3343,3312,3004,2868,2731,2423,2014,2542,3376
940370,"Furniture of plastics (excluding medical, dental, surgical or veterinary, and seats)",131,282,222,226,238,95,35,37,71,121,,3269,2893,2764,2085,4278,4161,3269,3848,2607,6107,,71138,69640,72207,66444,53258,58914,65022,56581,57990,74592
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",331,80,133,590,312,228,86,126,122,120,,67844,78751,91141,92721,105223,135669,173512,138835,123170,186267,,206644,202631,180369,174791,162088,132888,99017,100368,87836,116523
310430,"Potassium sulphate (excluding that in tablets or similar forms, or in packages with a gross ...",0,0,0,0,124,24,205,115,238,120,,49,188,255,1404,1677,2166,2464,2523,2187,2547,,37540,37292,40211,36913,28543,31022,30257,31578,36678,27795
902129,Dental fittings (excl. artificial teeth),110,91,113,87,127,88,86,126,81,119,,4013,3174,3048,5394,3742,4145,5272,4399,2406,3743,,44733,49653,51639,52389,61114,61131,58905,66005,63549,62977
851840,Audio-frequency electric amplifiers,145,566,682,1079,101,60,103,21,23,119,,40439,60893,40417,35038,38470,36765,44765,37325,30135,37318,,41680,47934,43790,41538,38654,41194,38875,40641,48898,43837
392330,"Carboys, bottles, flasks and similar articles for the conveyance or packaging of goods, of ...",36,40,31,69,103,126,149,54,12,118,,8052,10453,14642,12185,13768,10435,13278,12813,12838,31328,,68563,71641,65355,76087,75278,83768,96990,99128,110643,106122
210112,"Preparations with a basis of extracts, essences or concentrates of coffee or with a basis of ...",198,195,334,350,30,27,55,50,131,118,,64492,58606,54089,23612,19775,39689,20582,20716,16881,17932,,7992,13882,17741,15266,8798,9425,12246,16294,16585,23675
854470,"Optical fibre cables made up of individually sheathed fibres, whether or not containing electric ...",2049,1065,812,169,422,594,363,333,278,118,,89081,70600,82892,80789,80916,76495,65972,100780,60084,70705,,139401,183657,142763,167100,135830,105843,101235,97088,88080,98469
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",442,419,253,168,256,136,239,105,192,118,,33348,21607,33350,35150,42372,54096,60843,74806,63029,74886,,370160,381109,377606,371580,336893,364681,466931,391636,316704,386173
853222,"Fixed electrical capacitors, aluminium electrolytic (excluding power capacitors)",69,27,49,15,7,23,19,69,88,118,,193209,142450,141092,192765,190442,319378,453598,418389,481202,616954,,2342,1227,1389,1644,2016,2887,2807,2765,2847,3669
846291,"Hydraulic presses for working metal (excluding forging, bending, folding, straightening and ...",143,61,68,0,0,6,23,57,181,118,,4789,7132,12024,19689,19271,12932,15392,22397,8568,19038,,7986,6459,5007,4183,10369,7980,8912,12159,9216,12383
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",256,305,398,315,104,1024,325,136,102,116,,34960,32517,27063,19394,18165,54617,67504,67449,50618,56795,,26192,22160,21705,19918,16404,19988,20554,14593,11900,26055
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",22,27,38,39,21,149,319,141,101,115,,436045,427363,318502,234186,254355,358398,605066,507219,592285,778632,,3135,2714,2917,2549,2996,2476,8099,6152,4908,6379
731290,"Plaited bands, slings and the like, of iron or steel (excluding electrically insulated products)",563,439,1358,3379,226,64,425,143,76,115,,11074,9646,7916,8038,7185,6338,7299,6848,7076,6654,,9573,6819,11787,11433,7828,8244,8534,8917,8081,7147
820719,"Rock-drilling or earth-boring tools, interchangeable, and parts therefor, with working parts ...",1221,369,1656,643,351,205,378,106,216,115,,123953,157037,128062,82102,53860,43849,54967,41694,18782,24868,,156852,102575,109136,82767,73544,82875,94546,103415,90819,126322
160529,"Shrimps and prawns, prepared or preserved, in airtight containers (excluding smoked)",216,195,7,4,7,43,48,177,90,115,,93,143,272,129,33,4,47,385,1659,1995,,51300,45523,60174,39666,49275,71636,54727,44210,42411,41291
330129,"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excluding those ...",814,639,837,64,33,59,68,12,163,114,,42855,38312,40389,37685,36627,21575,24017,24276,20946,20969,,18557,19060,20928,29942,40507,64625,86980,71125,48334,41633
91099,"Spices (excluding pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, ...""",106,66,33,29,91,107,52,38,79,112,,3834,4761,3763,4833,4671,4119,1443,1558,2378,1518,,8039,7699,9112,9726,9770,8505,8117,8102,8966,10011
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",378,170,72,302,108,458,455,597,228,112,,53116,30689,59955,74088,115728,221622,207727,172374,127143,88178,,13478,10816,9246,4739,4791,11249,9527,6119,4189,5058
482040,"Manifold business forms and interleaved carbon sets, of paper or paperboard",2474,1924,1841,1381,604,108,11,21,2,112,,4536,4417,4228,4089,3559,1826,685,636,663,1477,,2573,2170,1994,1753,1316,1116,1185,988,804,633
900490,"Spectacles, goggles and the like, corrective, protective or other (excluding spectacles for ...",29,8,45,49,20,18,29,19,21,112,,7127,7494,8510,11298,7347,5357,7386,5985,8570,4936,,161583,190018,224863,192860,167737,187723,212673,208102,265706,231957
291631,"Benzoic acid, its salts and esters (excluding inorganic or organic compounds of mercury)",67,0,0,105,22,21,4,18,118,111,,4594,4896,4673,3852,4006,3699,4168,4348,2747,2723,,4162,4317,3370,3443,3801,3616,3883,3723,4273,4544
293410,"Heterocyclic compounds containing an unfused thiazole ring, whether or not hydrogenated, in ...",0,0,0,215,122,0,0,0,171,111,,14293,29849,19255,18975,9245,5417,7877,8693,9289,10603,,1722,2462,5932,7033,3509,8894,7794,6500,5754,9550
902920,"Speed indicators and tachometers, stroboscopes",156,128,73,102,31,155,95,88,26,111,,3906,3112,2634,1874,2667,4558,5173,9772,19272,28788,,20725,25371,23044,19554,18510,18573,17659,14053,14514,15887
940180,"Seats, n.e.s.",872,479,213,45,13,20,63,121,35,110,,4300,6638,5159,4019,4093,3346,5004,7357,4269,4243,,55782,58197,67451,63752,66320,77238,94395,91643,93650,121960
591190,"Textile products and articles, for technical purposes, specified in Note 7 to chapter 59, n.e.s.",505,789,593,222,428,480,97,281,293,110,,8613,9510,10983,10309,19240,13059,14920,11812,13387,17741,,30463,36224,38300,29720,32937,33541,37731,38335,43508,48745
854121,Transistors with a dissipation rate < 1 W (excluding photosensitive transistors),19,2,26,57,42,43,102,57,171,108,,663037,334377,185659,127298,137418,139762,182799,177338,184735,334374,,1345,465,800,1015,1062,987,1765,1406,2635,5206
830140,Locks of base metal (excluding padlocks and locks for motor vehicles or furniture),68,42,41,49,53,111,303,199,184,108,,7378,9570,9686,8701,7283,8166,11838,11785,10561,9582,,56820,66680,73380,71854,71444,76782,79333,78299,77399,96828
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",137,303,65,69,55,52,49,33,93,107,,145494,131818,148052,114630,108332,134304,204236,207066,188486,186560,,8049430,8740167,8097504,7472391,7950702,8698935,8570426,7434583,6129896,7697220
853610,Fuses for a voltage <= 1.000 V,52,21,155,529,36,54,32,36,24,107,,42859,69877,55258,45127,36842,43316,53088,55863,90640,75931,,8810,7661,9536,8774,8210,8388,8645,8820,8505,11332
940290,"Operating tables, examination tables, and other medical, dental, surgical or veterinary furniture ...",191,34,18,62,40,12,127,27,115,107,,43387,25193,19788,18661,20515,18587,19456,17155,19890,13456,,57081,64800,89520,85782,85949,96526,97672,96999,125127,108141
732090,"Springs and leaves for springs, of iron or steel, incl. flat spiral springs (excluding helical ...",138,99,171,97,74,127,116,117,77,106,,25155,38541,34717,29544,25011,24426,28046,31024,25650,31279,,17096,17103,18041,15975,16051,17948,19668,16702,15084,18448
841410,Vacuum pumps,201,244,225,158,94,126,131,187,114,106,,28250,28025,37277,72935,103636,52041,45003,48511,51910,62228,,23732,24913,21722,24317,22451,21361,24496,24488,24086,28048
30579,"Fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, ...",0,0,0,0,31,68,41,120,0,104,,93,239,48,321,134,846,1505,2093,1235,3222,,47,64,73,116,175,167,113,269,77,249
853941,Arc lamps,99,14,146,69,117,170,321,0,92,103,,1434,4370,5489,6923,5910,13622,10463,9050,13755,27448,,2867,4110,4420,4656,3367,4065,3842,3386,2048,3205
846420,"Grinding or polishing machines, for working stone, ceramics, concrete, asbestos-cement or like ...",25,15,37,45,38,14,0,0,0,102,,32702,18326,26840,20107,20523,18632,17883,20180,11213,15436,,7728,5945,9350,11098,11856,13411,13265,9749,11268,13614
292029,"Phosphite esters and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives ...",0,0,0,0,0,0,162,241,346,102,,0,0,0,0,0,0,16058,47695,39554,42735,,0,0,0,0,0,77,550,444,386,233
842699,"Ships' derricks; cranes, incl. cable cranes (excluding overhead travelling cranes, transporter ...",0,35,0,407,28,0,173,72,0,101,,81966,29142,45803,22382,39096,11858,5108,25242,7368,8157,,2293,6046,4641,4151,4769,3909,6803,5702,8252,8667
391690,"Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, ...",47,57,19,11,41,108,128,41,31,101,,3452,5642,6578,9653,12520,9524,14298,10465,11416,11924,,13988,15642,14786,17323,17071,24369,30888,31278,32581,36537
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",0,0,0,0,0,0,0,0,0,100,,6265,6811,3042,3916,21261,8350,352,587,2206,1919,,2508429,2624124,2621305,2603564,2500042,2363943,2387671,2107909,1927074,2450949
291830,"Carboxylic acids with aldehyde or ketone function but without other oxygen function, their ...",0,0,20,0,30,0,0,0,24,100,,4482,4388,4968,2719,1199,1725,1911,3270,3817,4253,,1101,852,840,520,734,688,910,947,1134,1943
842920,Self-propelled graders and levellers,737,373,131,0,500,0,0,5,91,100,,89533,35945,33611,11450,8388,4107,6502,7517,4736,6452,,310866,135490,87119,49974,55696,69955,175627,165543,127449,174459
846799,"Parts of pneumatic tools for working in the hand, hydraulic or with self-contained electric ...",66,81,47,37,12,5,30,45,43,100,,72286,76778,71668,78773,25568,15993,17746,22057,14170,11552,,27382,23386,20962,19801,18489,22968,23160,23175,26566,36094
842691,Cranes designed for mounting on road vehicles,0,0,0,0,31,0,0,0,0,100,,3795,10213,3813,4562,1819,1675,3173,2527,1341,1137,,50554,49577,44239,36585,37716,38836,59354,43534,31544,54487
902300,"Instruments, apparatus and models designed for demonstrational purposes, e.g. in education ...",759,747,695,357,192,680,182,214,81,100,,39275,35070,35721,26628,38239,24210,23408,16753,12215,28256,,82250,81987,110341,45454,42453,40176,58369,51248,47148,67283
843050,"Self-propelled earth-moving machinery, n.e.s.",187,1047,18,0,0,0,0,0,0,99,,17621,12354,11622,39448,8698,10632,3280,4800,1646,966,,40443,28560,20216,20020,15403,22189,41197,23210,17085,16395
842511,"Pulley tackle and hoists, powered by electric motor (other than skip hoists or hoists of a ...",216,172,106,151,96,346,269,584,8,99,,21637,8456,8914,7165,5057,3299,5340,6433,1738,2156,,33158,29426,27693,22052,23438,23750,27279,27245,31045,40823
680610,"Slag-wool, rock-wool and similar mineral wools, incl. intermixtures thereof, in bulk, sheets ...",15,4,233,21,41,45,35,30,22,98,,2584,2881,3170,5188,2669,2421,1989,2644,3525,3778,,6667,8668,9187,9588,9844,9784,9457,8077,7305,9611
843142,"Bulldozer or angledozer blades, n.e.s.",63,2,62,2,11,0,0,0,0,96,,17310,13188,22358,11620,8561,5290,5119,4079,3077,4943,,5559,3310,4390,5550,3708,2688,7949,9696,9863,12206
293690,"Provitamins and mixtures of vitamins, of provitamins or of concentrates, whether or not in ...",526,535,351,850,292,113,171,102,64,95,,33398,41635,46583,44660,44222,35479,51943,45810,35852,41495,,8385,6572,6823,8086,8195,10138,18244,8458,7173,5880
950430,"Games with screens, flipper and other games, operated by coins, banknotes, bank cards, tokens ...",250,15,3,125,32,196,41,2542,22,95,,15849,42159,18894,32333,21115,15823,26991,8853,5225,3083,,115889,126863,161629,148056,180575,155614,158504,148275,77812,130911
292130,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof",253,76,114,119,15,63,72,53,48,94,,6338,6880,8792,7847,8242,4377,3621,2417,959,1602,,3047,2482,2261,1989,2082,2103,3196,2824,2462,4253
381519,"Supported catalysts, n.e.s. (excluding with precious metal, a precious-metal compound, nickel ...",1669,843,10,0,334,14,0,1452,205,94,,82122,70958,86169,90751,58959,60263,75167,66455,68654,76621,,19197,19500,15886,27945,23928,14468,17665,25522,18605,18206
841382,Liquid elevators (excluding pumps),0,0,0,0,0,2,1,0,3,94,,1170,640,1368,1051,777,335,1339,2172,1252,2998,,699,423,587,436,138,295,252,424,368,444
730424,"Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel",205,286,95,44,132,318,19,24,0,94,,12848,47751,29611,20543,26003,15414,379771,49960,36945,32690,,12395,6846,25153,43155,12221,36713,25803,31879,74131,19658
850750,Nickel-metal hydride accumulators (excluding spent),809,225,144,173,236,144,93,81,66,94,,22246,20508,16402,18266,26878,25531,37561,46634,30171,27955,,26488,25300,22671,19150,16928,18564,13548,13920,13817,14808
853223,"Fixed electrical capacitors, ceramic dielectric, single layer (excluding power capacitors)",15,78,109,60,51,101,87,144,263,92,,175009,167246,185291,62948,59016,66836,96627,64493,54658,47535,,1582,1494,1243,977,683,913,1231,581,2182,3330
400821,"Plates, sheets and strip, of non-cellular rubber",106,34,144,62,114,143,76,83,139,92,,3443,4536,3314,3598,3391,2006,4808,4837,5984,3664,,38361,28782,35128,29391,31696,32238,36140,40152,36851,41617
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",1068,1608,100,55,79,924,37,118,177,91,,249994,250339,254214,160681,127431,86116,85795,82227,52538,44509,,1237485,1082673,1033761,934861,925876,1007858,965267,907918,964459,1229513
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,0,0,0,0,55,59,479,426,156,91,,243852,153186,64177,68412,62406,57687,69517,85394,70914,69484,,44308,44359,38859,33722,37256,59030,62176,53811,60498,70292
490900,"Printed or illustrated postcards; printed cards bearing personal greetings, messages or announcements, ...",29,9,15,21,18,237,995,203,135,90,,1565,5382,1950,1313,1078,8509,8878,6829,4546,7808,,48774,42652,44450,39034,39447,35825,36081,33080,27755,32138
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",3691,6157,3376,1219,575,713,507,825,1834,90,,82987,95175,70779,76997,38372,28652,47315,49133,35383,49190,,107055,105901,88208,80672,85557,99763,121694,109605,103635,121179
290522,Acyclic terpene alcohols,8,0,0,0,0,5,2,12,20,90,,4502,5386,5711,4788,3983,3351,7807,5061,3320,4261,,515,517,493,480,562,447,1147,739,906,1112
841981,"Machinery, plant and equipment for making hot drinks or for cooking or heating food (excluding ...",196,183,134,185,103,101,90,96,59,90,,29082,14656,11424,11797,11382,12383,10433,11531,11991,11852,,157434,168434,163419,184806,158333,168615,182234,169263,152953,214160
831120,"Cored wire of base metal, for electric arc-welding",325,438,260,220,63,63,70,139,96,90,,26289,20098,24863,16044,10528,11639,14333,18320,15468,17065,,29054,25990,24215,17818,15652,20628,21287,21439,22837,26607
