Product code,Product label,Russian Federation's imports from Japan-Value in 2012,Russian Federation's imports from Japan-Value in 2013,Russian Federation's imports from Japan-Value in 2014,Russian Federation's imports from Japan-Value in 2015,Russian Federation's imports from Japan-Value in 2016,Russian Federation's imports from Japan-Value in 2017,Russian Federation's imports from Japan-Value in 2018,Russian Federation's imports from Japan-Value in 2019,Russian Federation's imports from Japan-Value in 2020,Russian Federation's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
842691,Cranes designed for mounting on road vehicles,14579,12283,11877,4051,3241,1912,3028,3817,2788,4270,,63755,54603,51242,41429,42631,32929,30128,28350,26405,33705,,102472,115258,88012,25951,45988,67592,72441,85185,83558,113643
842839,"Continuous-action elevators and conveyors, for goods or materials (excluding those for underground ...",756,2603,841,5000,268,644,7198,2778,1231,4192,,264503,240553,232749,205787,199700,295666,218883,211807,200309,140512,,234437,227966,192949,110211,123008,178769,206674,183448,212832,244559
482390,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, in strips or rolls of a ...",396,249,215,443,2503,2671,508,759,1025,4161,,180210,160718,147372,137561,149944,165945,172171,162510,187267,208562,,38330,35103,30742,21236,21794,23843,25340,29323,28287,65772
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",9127,10013,7564,4383,8071,8926,9773,8062,14950,4137,,2245933,1810450,1640312,1594261,1729991,1898197,1871509,1702331,1779309,2102258,,286937,327849,203539,186185,334064,235268,335756,495427,502235,652772
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",6285,5437,4018,2778,3375,5126,3896,4194,4434,4088,,320196,297336,290400,324459,321455,356077,325717,441575,355010,308723,,465338,455938,351948,176604,205015,276207,304762,318815,306682,306241
901180,"Optical microscopes (excluding for photomicrography, cinephotomicrography or microprojection, ...",5500,8997,4127,1318,1915,2980,1860,2966,5247,4071,,166652,167179,170042,170543,167218,207287,251866,236600,187710,229013,,41818,39637,28117,21191,15942,17268,17745,33480,45630,37815
848410,Gaskets and similar joints of metal sheeting combined with other material or of two or more ...,2929,2613,1870,1687,1852,2180,2393,2416,2407,4052,,409732,410284,378297,335483,339902,342151,334261,320027,281879,344786,,23434,22226,20871,19010,22567,35358,38289,42129,38141,51068
220830,Whiskies,3149,3373,3255,2264,1484,1532,1525,3294,3190,4046,,31036,40786,55239,85762,99958,121605,135680,178470,254059,420653,,525148,537782,471376,265368,227939,306559,324799,394882,370172,440807
851130,Distributors and ignition coils of a kind used for spark-ignition or compression-ignition internal ...,1047,902,658,497,779,932,1473,2037,2177,4043,,285729,256744,240821,208870,204830,208130,183661,167336,188618,343123,,19138,21348,19262,14523,17510,24275,28864,29784,28942,46611
870210,"Motor vehicles for the transport of >= 10 persons, incl. driver, with compression-ignition ...""",12609,9865,3522,634,471,420,0,2416,3535,4020,,2241506,2018568,1981699,1823694,1846985,1749013,1800405,2090392,1452758,1301704,,450018,339861,208815,82037,113093,158943,190184,201897,178108,119030
391520,"Waste, parings and scrap, of polymers of styrene",0,0,0,0,0,188,2670,3845,2556,3990,,130956,118646,121056,88217,72267,72662,62124,56493,50000,59668,,47,463,728,1145,1204,1140,3453,4732,2877,4627
848250,Cylindrical roller bearings (excluding needle roller bearings),3715,5385,1851,1524,2345,3023,3870,4180,3312,3985,,386927,343657,362873,336299,341023,369392,390473,374364,334934,384236,,169699,134175,82456,51328,57678,83954,120926,136732,106755,119349
400931,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",2182,2503,2050,1345,1641,2694,3625,3288,2276,3973,,293707,266124,224241,185711,177525,185192,194107,181569,149653,191203,,54022,54524,50273,29656,33331,46173,50936,55751,49995,70876
841440,Air compressors mounted on a wheeled chassis for towing,4718,3342,4562,1972,1200,3844,2847,3079,3522,3968,,41039,46440,41435,38278,30509,33652,39907,40748,22714,32048,,29824,33544,26456,7607,7411,14864,11208,16198,12889,15809
732599,"Cast articles of iron or steel, n.e.s. (excluding articles of non-malleable cast iron, and ...",519,978,936,1594,2921,3151,3481,3637,3288,3908,,137442,145460,117595,73481,33308,34055,29727,37238,38442,39742,,47440,78680,98872,65062,77921,93864,98908,102965,99154,101530
848420,Mechanical seals,2401,1964,1861,2826,1818,2094,2862,3443,3273,3873,,175970,153977,159606,156009,155535,162908,169544,160408,139535,146780,,37925,42521,40396,33582,38110,48330,58695,58729,59774,70212
847780,"Machinery for working rubber or plastics or for the manufacture of products from these materials, ...",2723,2527,8493,2930,1678,5134,1381,6528,10253,3783,,386614,242713,270934,257856,307704,406509,365553,401601,381898,423515,,201032,180227,136042,70905,69736,111863,124029,127899,111222,190708
850450,Inductors (excluding inductors for discharge lamps or tubes),1009,851,1697,1218,1526,2170,2691,2548,2950,3765,,880772,871717,998639,1038191,1081067,1109622,1041731,1050110,1242910,1492318,,69826,69191,56508,33051,41722,49498,52871,47294,50021,56193
392113,"Plates, sheets, film, foil and strip, of cellular polyurethanes, unworked or merely surface-worked ...",142,59,146,145,1301,2532,3802,3311,2808,3763,,222348,213850,197253,195962,199831,205947,202559,193455,144801,152328,,41963,39632,44941,34463,38033,49301,60369,56159,49909,62022
540333,"Filament yarn of cellulose acetate, incl. monofilament of < 67 decitex, single (excluding sewing ...",8972,8619,6072,6140,6616,7497,5353,3645,6126,3763,,16933,13898,9192,8831,5545,6427,4580,3969,3297,4411,,13691,20665,13113,22931,17327,15492,11883,10238,11588,8501
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",16625,23194,19910,14803,13747,9420,8586,16151,8956,3750,,1863733,2331113,2789698,3128602,2818878,3469433,2388034,1524461,1467540,1619690,,535297,512266,558190,461801,622948,659727,641026,656415,659123,625816
283526,"Phosphates of calcium (excluding calcium hydrogenorthophosphate """"dicalcium phosphate"""")""""",1,1,0,300,12,8,77,764,1104,3750,,19625,17136,16190,15892,23836,25802,31422,25867,38828,42609,,3095,4021,3753,2497,2293,2545,3098,3663,4104,7927
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",5650,4710,2897,3922,2754,3038,3624,7575,2997,3741,,265014,208723,172154,143658,149667,163006,175259,253757,156894,137516,,291313,235696,169720,120953,156273,202026,209840,229730,320286,348598
920120,Grand pianos,2344,1214,2222,925,634,1402,1377,3069,5106,3731,,114964,115061,117122,105335,101599,110671,118790,124067,112455,140967,,12191,12667,14846,5086,3253,5967,6490,9337,11144,10696
391400,"Ion-exchangers based on polymers of heading 3901 to 3913, in primary forms",635,1176,806,460,336,894,329,636,1846,3669,,68752,54163,50027,57067,52722,74391,74066,93742,103224,123902,,53371,52491,52884,40503,35711,47943,53801,54857,48775,67226
848140,Safety or relief valves,1626,2075,1462,768,1217,2328,3404,2702,2124,3655,,399615,421071,421001,378200,331367,298991,285129,359023,286804,325376,,79401,79991,95330,62974,66023,75503,90792,93985,119275,100024
330510,Shampoos,2518,5217,5060,3080,2687,2662,3532,3285,2836,3646,,42161,40230,51984,72890,83933,106735,134971,155492,167560,207002,,181121,195123,196428,119350,127286,168492,169633,179436,158293,201407
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",6387,5526,2283,1973,2052,3851,4712,3445,3225,3637,,4816193,3780427,3010663,2841352,2682212,2419975,2109719,1958675,1660903,2028018,,2912436,2446726,2284525,1194760,1079819,1246931,1270646,1164447,1156000,1416360
844130,"Machines for making cartons, boxes, cases, tubes, drums or similar containers (other than by ...",1625,277,184,0,0,6796,4318,322,734,3624,,42745,40402,69233,73332,79331,101461,76080,106780,67192,104401,,54526,63667,121959,14055,19977,28394,39334,26043,44046,53197
850211,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",7432,7167,9777,3596,3371,3729,1882,2650,2067,3582,,137245,103269,113622,124609,92522,99477,117431,110407,84076,106024,,98690,83873,72758,35155,37322,41979,41141,40719,42470,53186
841290,"Parts of non-electrical engines and motors, n.e.s.",3885,4070,2374,1565,2277,2837,3315,3827,2680,3559,,265645,245106,243888,218846,224954,241080,291465,259427,250889,325718,,83248,66190,61848,53328,44737,49877,76579,129685,101043,107807
820770,Interchangeable tools for milling,1579,2211,2979,2017,2263,2652,2977,2960,3249,3533,,154470,150500,166337,179868,175929,192534,223394,206576,169235,200556,,203543,76933,74693,51125,55915,66336,69371,71278,69349,77043
401039,"Transmission belts or belting, of vulcanised rubber (excluding endless transmission belts ...""",991,1389,1235,1034,1689,2361,2710,2825,2138,3470,,154825,127904,120394,104210,108080,116557,119039,103195,88588,123660,,42924,44426,43982,32401,40252,48904,53760,51235,45343,57790
382000,Anti-freezing preparations and prepared de-icing fluids (excluding prepared additives for mineral ...,4848,4655,6071,1971,2747,2803,1913,3076,2773,3466,,21219,17937,16661,11315,13952,15087,18686,14848,14126,17957,,64164,64014,57124,28271,31829,37362,39335,44931,30936,43905
293020,Thiocarbamates and dithiocarbamates (excluding inorganic or organic compounds of mercury),1,1,0,0,0,0,84,0,1717,3443,,55726,50640,44447,42813,48525,45682,48174,48013,49553,51940,,3221,1268,3662,1397,6363,7711,1910,6322,3076,5539
960810,Ball-point pens,7926,4952,5836,3353,3801,3857,4102,3298,2621,3416,,439868,392094,399094,399052,436282,447001,445639,475930,391638,507646,,53816,51466,46428,34739,43290,52568,63741,60798,55875,75803
843880,"Machinery for the industrial preparation or manufacture of food or drink, n.e.s.",4934,5337,4238,1803,2011,4325,2286,3250,4161,3406,,82567,83665,81435,63700,71868,93402,99191,105330,104254,114328,,250089,258805,185450,164775,134496,124522,249267,212922,210164,199230
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",3325,1376,974,107,978,1090,2588,1729,2863,3350,,435083,307582,330165,394720,360765,609040,682339,424824,330738,517330,,339933,287338,201100,61590,36820,49730,55989,46827,60662,97069
853222,"Fixed electrical capacitors, aluminium electrolytic (excluding power capacitors)",924,849,847,934,1141,1539,2290,1742,2495,3337,,1118375,993488,994584,926994,1012453,1099375,1170819,1003165,985966,1199299,,13458,13525,12250,12764,13848,20900,26907,23740,22484,29129
330749,"Preparations for perfuming or deodorising rooms, incl. odoriferous preparations used during ...",782,514,642,360,429,467,758,2389,2525,3331,,26197,20719,19287,18083,24059,31132,38765,40949,50072,50738,,64255,76292,79511,45688,40481,49783,52774,52431,47779,53595
761699,"Articles of aluminium, n.e.s.",2654,2184,1792,1910,881,1710,2060,3468,2107,3305,,214292,212930,198317,182159,187399,209583,254673,247127,313320,370617,,270044,259801,193154,120430,219561,261468,289757,296892,240584,310781
690320,"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ...",2224,2850,2619,2505,2303,1949,2510,2920,3015,3265,,127690,114506,118288,110499,109942,124280,135387,129772,111847,137939,,89648,101326,92706,81521,73302,79663,83487,82350,72897,88059
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",6802,4841,2511,6265,6047,4804,11432,4317,2267,3263,,11616770,10094836,9824469,9060572,9062482,10815125,10812400,11523918,11186084,12182276,,144014,122988,131948,155067,307231,383420,508517,394866,387210,519791
850213,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",1829,332,2747,440,431,2127,2083,5737,1781,3257,,447983,237866,291216,259817,267465,236697,248861,286910,234937,241490,,319401,459907,757449,393786,262270,245736,222513,174876,176841,149694
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",5196,7984,5117,34843,3131,5459,8918,4047,3769,3255,,336813,303901,249818,233130,200607,192567,195711,215247,282186,206297,,624692,669026,801408,761428,722722,1068921,1449200,1508484,1451647,1800392
842240,"Packing or wrapping machinery, incl. heat-shrink wrapping machinery (excluding machinery for ...",2767,5593,4440,5445,4817,4775,5691,2339,1915,3254,,312717,267376,286059,285080,320953,312651,339837,337510,348661,357201,,436182,422626,430402,237215,250101,309522,364745,350446,349539,337846
390740,"Polycarbonates, in primary forms",1848,1649,1850,1236,1487,986,1328,1245,1340,3225,,670290,584634,577516,560652,618405,692521,742390,721601,781410,807155,,139862,112308,104493,56814,40481,55727,63641,76552,73702,65451
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",2305,1994,1520,1414,1299,1929,4313,1559,2264,3213,,452079,389504,532670,487588,539551,877816,999730,852743,803364,1106011,,97056,52799,43955,23498,37757,51088,59663,65527,49126,56119
901210,"Electron microscopes, proton microscopes and diffraction apparatus",7583,7193,8072,4757,1719,2601,2038,3734,3338,3194,,570625,382321,360840,345174,288868,449633,466456,339986,442895,443942,,33237,30309,31682,16335,18327,14326,40172,18111,24712,28949
847420,Crushing or grinding machines for solid mineral substances,5501,4700,1883,1028,488,601,1548,687,515,3153,,70948,56087,48856,35327,18707,18403,26163,12545,12865,18752,,590013,564099,405650,139495,159178,175875,163062,298902,152114,226834
400942,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",4655,1074,1138,518,595,507,1335,1618,1714,3141,,107445,79300,102433,97429,84759,100659,109020,93093,80816,101957,,22875,21759,19280,9164,9662,17857,12984,16589,13491,19677
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...",1,6,0,38,57,19,900,4382,2252,3139,,234491,219754,184569,193860,167625,168722,155506,127415,120079,105808,,108126,75567,80308,13645,9315,10224,13883,14028,12441,15418
730630,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel ...",896,698,613,840,985,1680,2061,2158,1662,3127,,309048,281816,260164,237959,236742,245525,276693,251530,216209,276573,,102078,84153,78957,41679,48465,51131,55203,48140,48741,62676
902720,Chromatographs and electrophoresis instruments,6052,5976,7043,3591,2752,3036,2920,2329,2394,3113,,157363,137036,133285,122899,133293,128386,128626,127952,107823,127521,,47481,34809,30105,22523,41014,31932,38655,49849,53025,67133
961210,"Typewriter or similar ribbons, inked or otherwise prepared for giving impressions, whether ...",2747,2434,1691,1504,1802,2045,3069,2970,2135,3084,,230288,190001,252814,265686,270489,289502,271160,264391,219378,245080,,13879,13790,13026,11381,11932,13454,16479,17505,17589,21951
731822,Washers of iron or steel (excl. spring washers and other lock washers),1689,1814,1570,1288,1390,1847,2393,2597,2245,3059,,243149,224112,213373,189195,207853,226770,238255,232348,205640,249276,,30126,32595,30416,22133,27107,34134,39127,41340,41349,59172
851430,"Electric industrial or laboratory furnaces and ovens (excluding resistance heated, induction, ...",5105,982,2352,619,0,704,61,5,881,3051,,70972,40328,44275,37757,49841,70280,134698,60578,46250,48529,,54515,26672,29285,14499,11231,12245,16699,16343,15938,15931
730690,"Tubes, pipes and hollow profiles """"e.g., open seam, riveted or similarly closed"""", of iron ...""",363,374,1558,748,1672,1503,2622,2558,1859,3012,,6973,6229,4885,8754,11932,8670,6906,7117,7233,11762,,16943,21111,18969,8616,7684,9855,15871,19887,14500,19391
680800,"Panels, boards, tiles, blocks and similar articles of vegetable fibre, of straw or of shavings, ...",5153,5285,6060,4044,4333,5839,2985,2755,2523,3003,,4712,5993,18519,19389,30502,24026,36587,40951,33361,41419,,153127,24671,19963,10250,11184,13371,11797,13697,14423,15865
871120,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",3942,4282,3801,1149,905,1396,1814,2372,2481,2999,,405833,371691,396751,340280,323334,321831,352391,303234,283047,367816,,69852,87313,63241,9255,6492,10401,15917,25365,29318,47695
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",2081,2997,2354,1719,1701,2360,2625,2645,2447,2998,,2192601,1962610,1980391,1776514,1852565,2184618,2066337,2018692,2362543,2756433,,289546,279366,298577,192830,223609,253969,299188,303930,318383,397163
854720,"Insulating fittings for electrical purposes, of plastics",1583,1724,1346,1055,2056,2971,3183,2992,2404,2974,,605688,618646,566040,528964,547295,562444,562655,545208,519330,598839,,39434,41969,37160,29757,40028,54886,62365,57966,53532,66396
830210,"Hinges of all kinds, of base metal",1676,4056,3845,2433,2342,2678,3074,2900,2035,2927,,105346,88092,78756,61947,68499,77667,76535,72736,59802,79038,,216586,212234,225402,146060,149704,168981,205007,225111,223274,259069
820750,"Tools for drilling, interchangeable (excluding rock-drilling or earth-boring tools and tools ...",1201,1432,1649,1128,1175,1705,1756,2209,2308,2892,,212939,184798,195016,183741,183578,196365,218716,211481,173925,218873,,371277,190696,123087,89340,81354,108387,122603,116282,122427,147765
846610,"Tool holders, incl. tool holders for any type of tool for working in the hand, and self-opening ...",4279,1778,2341,2208,2101,2057,2099,2006,1722,2867,,281941,212396,243870,224616,194795,213346,241445,201784,168053,214898,,101099,150078,63965,48833,46085,54628,69886,64777,57945,68029
841410,Vacuum pumps,3180,4860,4340,4378,1557,2999,4658,3785,3730,2865,,359737,347951,359568,374733,479002,641741,621730,523763,619261,773113,,72818,98802,77701,67683,56411,53455,64231,68971,66140,74014
841520,"Air conditioning machines of a kind used for persons, in motor vehicles",517,4548,4934,2605,1687,2279,3753,3661,1863,2839,,25839,28278,30419,23519,14594,20305,29307,42417,23111,27551,,117787,107372,82021,37778,43087,42256,48188,54428,62270,66089
850212,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",3868,6836,10109,2235,1041,3358,1255,1880,4425,2785,,82508,81700,75997,70705,66560,68621,58950,51104,47750,45044,,130036,120115,90002,35021,34623,46276,42816,39450,44394,57833
846591,"Sawing machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...",2985,29,573,178,984,722,5076,1653,5228,2782,,12810,6050,7646,5043,8157,6515,6418,6792,6314,7465,,172474,121516,137986,57765,82133,109580,100216,90905,77355,139066
848230,Spherical roller bearings,3002,4133,3702,1902,2217,2435,2697,3303,3884,2778,,279899,220306,227329,231459,214958,217839,238975,244060,214467,219245,,40708,36927,52538,27037,31410,43918,46555,56083,53412,57789
902110,Orthopaedic or fracture appliances,0,1072,1325,754,1203,1716,1789,1612,2276,2767,,16042,15898,14204,13711,17196,17964,17926,16364,14110,23322,,54576,57134,66875,56520,60172,83385,90560,98142,78132,101702
846090,"Machines for deburring, grinding or polishing metals, metal carbides or cermets (excluding ...",46,277,1356,196,348,3,2,278,5,2765,,403560,263038,277353,251536,232104,92858,108274,78644,57113,44898,,19539,28591,24388,20655,8612,8868,6745,6560,6039,10085
960820,Felt-tipped and other porous-tipped pens and markers,811,897,610,478,631,1652,2486,2596,2400,2747,,160965,142819,146003,144238,171507,177278,179527,181048,160649,187456,,23631,25990,22205,20942,28827,31836,38618,40810,43975,70545
845530,Rolls for metal-rolling mills,13726,3325,2498,3467,5572,1860,1926,1649,1442,2741,,306213,195411,206125,198358,204862,178624,211320,239039,211124,191111,,193940,158542,124228,116597,105978,97540,96421,115153,110591,95533
900410,Sunglasses,820,1009,1134,710,1181,1987,2375,2551,1693,2738,,105762,84513,91767,88732,127997,124501,124951,135888,91056,120062,,70058,80396,71915,38083,45311,49580,60257,65074,44220,72463
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",11701,9995,4861,2212,1888,3088,2823,2476,1498,2714,,553314,429785,432683,433792,574467,678545,715006,629413,559942,703049,,316857,325763,262119,179784,192398,242034,250978,268349,248573,306854
871130,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",4451,4386,4238,1460,1051,1671,2216,2518,2148,2714,,272070,245444,264920,189182,191289,239219,242871,184684,187264,227641,,7146,11257,10986,3040,2444,5017,7453,9030,8725,14529
391239,"Cellulose ethers, in primary forms (excluding carboxymethylcellulose and its salts)",2586,2676,2331,1990,1879,2431,2241,2289,2115,2709,,164819,161529,148233,152025,162428,159376,186326,190127,217841,236614,,74787,74102,76937,67505,80629,87708,105440,106254,109058,140020
950790,"Line fishing tackle n.e.s; fish landing nets, butterfly nets and similar nets; decoys and similar ...",1929,1803,1460,479,779,868,1250,2007,1976,2688,,34393,25205,26841,24869,33487,37602,44892,43279,47782,69259,,39517,40214,33665,19564,16091,14552,20999,21100,20480,30133
401130,"New pneumatic tyres, of rubber, of a kind used for aircraft",2660,2876,3889,4276,2928,3647,4249,4839,1430,2648,,107828,124498,144644,141476,146717,151639,136498,155395,75113,75048,,9942,11965,12473,10023,7446,10059,10909,10971,5653,10194
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",2265,1948,1714,1014,1296,1970,1961,2042,1930,2625,,155844,139232,141787,132432,138418,150410,164223,165096,142804,169891,,71543,69206,57866,54800,75214,86402,99284,100543,103211,119700
401031,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",2350,2276,1748,986,1262,1650,1731,2222,1547,2617,,74969,70418,70248,53215,51948,51806,46850,50059,38188,53037,,22029,23724,22101,16061,21386,28692,29900,31865,29490,37448
330420,Eye make-up preparations,4552,4470,3661,2844,2768,4261,3208,2691,1680,2606,,132037,120821,136989,160797,211694,247356,312547,286005,236823,305539,,185023,185537,181164,136258,138008,156811,159403,165422,123781,152294
220300,Beer made from malt,4007,3317,3208,1770,1433,1636,1932,2296,2374,2605,,56064,55833,62170,70653,87468,114783,116626,84095,54085,67106,,225540,210916,199729,110650,126699,195143,287427,323881,369283,415251
550330,"Acrylic or modacrylic staple fibres, not carded, combed or otherwise processed for spinning",85,94,58,215,460,1089,895,2603,1922,2602,,363952,386909,332389,281247,206436,244333,256909,218771,154824,190563,,2358,3786,2992,2624,4876,4321,5018,4400,4703,4780
842330,Constant weight scales and scales for discharging a pre-determined weight of material into ...,692,843,2290,1009,1852,2761,2169,2237,2377,2559,,138958,120385,124228,115523,153793,139142,155226,152743,142622,169202,,12422,18515,14442,7844,7850,12232,10976,10633,12840,13539
902680,"Instruments or apparatus for measuring or checking variables of liquids or gases, n.e.s.",7983,5759,4898,3937,2812,3317,2583,2751,2628,2555,,81291,83403,71508,83175,87318,111197,128434,156841,142453,167536,,104798,103989,109333,64385,61982,76529,81049,85141,101838,79460
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",3105,4193,3851,3683,3817,4391,5102,3730,2381,2541,,4839268,4370141,4249763,3907024,4300686,4936728,4713083,4353913,4021326,4401146,,312192,317215,316906,190626,200914,274568,286468,281724,267003,303690
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",2592,2237,1694,2204,1111,1256,1503,1483,1517,2496,,175721,165264,169588,181241,214103,230124,273755,272355,299602,324571,,101212,129492,126811,98294,137831,156287,174655,203992,215502,200851
844630,"Weaving machines for weaving fabrics of a width > 30 cm, shuttleless type",0,0,525,1157,1795,2296,999,0,1701,2481,,477671,595976,490137,391735,494727,399968,522156,428354,250164,357924,,14950,14013,14519,4569,12368,16230,18600,13110,11700,18570
321519,"Printing ink, whether or not concentrated or solid (excluding black ink)",232,230,291,366,471,851,1345,1512,1755,2459,,449601,523704,521184,443667,445620,472629,492501,414695,376764,485350,,187044,179664,180071,140133,155449,169820,177489,179590,164947,170538
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",1525,2364,818,724,1030,1325,1596,1776,1798,2398,,216174,221821,208005,161387,165220,180214,191341,171887,129789,160377,,118856,129238,136441,111910,92235,100563,118817,140159,121936,123447
842920,Self-propelled graders and levellers,7823,5956,2473,975,1476,2558,6396,8262,512,2388,,216011,207231,188434,139387,103309,176265,184149,111009,84842,161617,,95571,96488,67077,14234,23667,49833,47325,51584,42747,97837
391733,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",484,527,431,375,555,716,1280,2009,1840,2354,,17266,16174,11071,10898,16673,18574,20333,23763,23981,26204,,15913,16694,14029,11875,15505,22943,26446,25620,25300,34624
391910,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, in ...",692,1135,1000,49337,1070,2014,1804,2096,2210,2326,,447376,381728,370247,328797,339610,373322,384694,345166,340437,404836,,117952,113433,113339,121634,76887,91514,97076,99444,101509,120436
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",4678,4156,2504,1806,803,575,505,414,569,2324,,384522,352508,357967,340893,381550,403018,442998,410139,424609,593532,,213684,216815,212321,155199,150467,173840,225837,236619,227168,418231
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",1463,9591,11002,7830,5702,4543,5617,5497,3440,2308,,51262,45028,47828,44397,44270,50555,34616,34448,24529,26206,,61401,63270,76189,51783,66065,75317,97348,110590,95472,92028
850750,Nickel-metal hydride accumulators (excluding spent),2405,1966,1349,1388,2489,1925,1818,2090,2290,2307,,702566,683673,575932,541136,675895,741655,893643,1073125,884843,1000283,,21392,16467,15564,10496,12230,12571,13824,13136,12984,12745
846721,"Drills of all kinds for working in the hand, with self-contained electric motor",2015,519,190,87,52,6427,4724,3742,653,2305,,35063,25410,21742,16104,13760,11873,12790,9223,8679,17099,,242746,240166,237555,113701,117697,255666,227019,244533,276841,181077
330491,"Make-up or skin care powders, incl. baby powders, whether or not compressed (excluding medicaments)",1194,1582,1606,1115,1120,1036,1272,983,1113,2302,,71425,62494,74808,71733,103469,114741,133006,128163,115714,168124,,61797,64039,56727,41129,44329,51071,51503,49564,33470,41425
844120,"Machines for making bags, sacks or envelopes out of paper pulp, paper or paperboard (excluding ...",0,2887,972,0,0,0,289,0,2557,2295,,31729,19899,21312,23951,28716,21972,24593,32246,15032,21243,,8400,11392,15710,16078,3223,2052,3129,12687,21906,29341
910211,"Wrist-watches, whether or not incorporating a stop-watch facility, electrically operated, with ...",1180,1773,1600,1234,1154,1708,1108,1489,1390,2291,,83165,70309,97213,79014,81268,73132,69647,83982,93721,117146,,119481,115925,115539,74679,75283,78254,91530,81533,60084,76193
400821,"Plates, sheets and strip, of non-cellular rubber",424,549,307,208,187,990,1118,1295,1291,2249,,108693,109112,106445,86201,95200,103680,104853,100458,88222,104612,,53741,54179,47115,27610,30883,32580,36641,39755,34841,50475
30487,"Frozen fillets of tuna """"of the genus Thunnus"""", skipjack or stripe-bellied bonito """"Euthynnus ...""",315,389,412,386,530,763,1088,1344,1500,2240,,20218,12208,10723,12052,11376,14259,14804,20756,18933,31722,,10851,13246,9223,9788,13466,13394,22428,39148,20894,37540
853921,Tungsten halogen filament lamps (excluding sealed beam lamp units),1398,1350,1274,776,781,1887,2256,2926,2082,2237,,61602,57231,57228,53455,63669,75112,73588,57988,56724,70662,,62707,52693,50942,37984,35430,41102,43650,39638,37437,42582
845951,"Milling machines for metals, knee-type, numerically controlled",0,0,215,0,0,30,0,0,0,2198,,4515,1975,5355,5795,3937,1959,1690,3183,5175,1487,,1191,684,4604,2652,246,724,515,1383,177,2661
30711,"Oysters, even in shell, live, fresh or chilled",0,0,27,70,195,510,745,1700,1329,2176,,14,78,81,85,299,584,1254,2055,1638,6193,,4789,6766,5710,2360,2648,3555,4599,5035,4622,7225
220850,Gin and Geneva,0,0,0,0,0,0,1,464,1024,2162,,0,2,2,0,139,5721,18016,20949,16338,27693,,13164,14190,11160,6094,6089,8549,9761,12452,13414,20209
