Product code,Product label,"Korea, Republic of's imports from Russian Federation-Value in 2012","Korea, Republic of's imports from Russian Federation-Value in 2013","Korea, Republic of's imports from Russian Federation-Value in 2014","Korea, Republic of's imports from Russian Federation-Value in 2015","Korea, Republic of's imports from Russian Federation-Value in 2016","Korea, Republic of's imports from Russian Federation-Value in 2017","Korea, Republic of's imports from Russian Federation-Value in 2018","Korea, Republic of's imports from Russian Federation-Value in 2019","Korea, Republic of's imports from Russian Federation-Value in 2020","Korea, Republic of's imports from Russian Federation-Value in 2021",Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
960321,"Tooth brushes, incl. dental-plate brushes",0,0,0,0,0,0,12,0,23,0,,1780,2978,3394,3014,7179,11055,10999,12290,14823,16639,,54270,47989,61830,69821,72404,76844,89366,97337,81304,82421
960400,Hand sieves and hand riddles (excluding colanders),0,0,0,0,0,0,0,0,0,0,,161,131,229,149,230,262,295,457,540,697,,150,91,81,453,259,289,259,236,225,292
960500,"Travel sets for personal toilet, sewing or shoe or clothes cleaning (excluding manicure sets)",0,0,0,0,0,0,0,0,1,0,,34,37,379,51,70,62,84,197,724,1895,,928,1278,1419,1422,1926,2170,2108,2488,1945,1731
960622,"Buttons of base metal, not covered with textile material (excluding press-fasteners, snap-fasteners, ...",0,0,0,0,0,0,0,0,0,0,,23,21,34,13,35,106,102,127,143,358,,757,1001,912,698,678,1080,1318,1414,1300,1601
960830,"Fountain pens, stylograph pens and other pens",2,0,0,0,0,0,0,2,4,0,,337,99,37,89,67,203,452,540,436,601,,7309,8851,10609,12566,14326,14502,15060,13115,9813,13875
960891,Pen nibs and nib points,0,0,0,0,0,0,0,0,0,0,,1,4,10,1,2,2,6,10,6,10,,3389,2701,2700,3058,4063,3745,4290,3678,3081,3392
961380,"Lighters (excluding gas fuelled pocket lighters, and fuses and primers for propellent powders ...",0,0,0,0,0,0,0,0,0,0,,301,269,243,159,162,154,210,351,412,522,,4717,5489,8923,7421,7760,8197,8359,8103,8410,10250
845630,"Machine tools for working any material by removal of material, operated by electro-discharge ...",1,0,0,0,0,0,0,0,0,0,,428,488,607,1227,529,989,849,793,591,398,,60822,101390,75851,61723,43528,44426,41311,32955,23545,35601
845640,"Machine tools for working any material by removal of material, operated by plasma arc processes",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,310,267,235,1129,1135,,0,0,0,0,0,736,1795,3001,3484,5327
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",0,0,0,0,0,0,0,0,0,0,,7402,3404,5332,2910,2752,5175,8475,5021,6216,8532,,80173,72327,93914,92818,93248,72756,73254,71543,62143,94256
845939,"Boring-milling machines for metals, not numerically controlled (excluding way-type unit head ...",0,0,0,0,0,0,0,0,0,0,,751,1076,1084,399,111,381,275,614,561,648,,3576,1036,2811,499,123,1472,98,2414,290,526
845959,"Milling machines for metals, knee-type, not numerically controlled",0,0,0,0,0,0,0,0,0,0,,3473,472,351,278,181,217,1104,772,562,856,,248,1484,314,264,93,411,133,129,82,243
846012,"Flat-surface grinding machines for finishing metal, numerically controlled",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,224,153,1,50,,0,0,0,0,0,10176,15402,6548,6025,4653
846190,"Planing machines and other machine tools for working metals, metal carbides or cermets by removing ...",0,4,0,0,0,0,0,0,0,0,,337,106,121,108,186,17,296,340,261,987,,14137,9921,12828,9960,9539,8401,12074,9296,10907,5359
846291,"Hydraulic presses for working metal (excluding forging, bending, folding, straightening and ...",0,14,0,4,0,0,0,0,2610,0,,2893,1567,2692,2378,850,3909,3026,2523,2393,2723,,33668,34075,24222,27305,56227,28635,28767,17597,13316,23605
841090,Parts of hydraulic turbines and water wheels incl. regulators,0,0,0,0,0,0,0,0,0,0,,10358,9772,21249,13016,37953,18173,10350,6839,5467,21962,,16120,9296,4262,2606,1457,5349,9145,10569,4401,425
841229,Hydraulic power engines and motors (excluding hydraulic turbines and water wheels of heading ...,0,0,214,14,0,10,0,8,1,0,,21167,22401,30796,29822,15299,22083,26534,26692,18402,32936,,121424,89269,117255,106687,126576,112188,106120,90779,90424,100272
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",5,0,0,1,4,0,0,0,0,0,,3699,3132,3895,2337,5832,8027,9430,14625,10749,17564,,143600,161395,180633,167216,239053,331293,395326,314830,226354,316966
846694,"Parts and accessories for machine tools for working metal without removing material, n.e.s.",1,105,27,150,32,10,2,1,245,0,,11745,19306,11934,2515,2529,5562,2029,6252,2254,4366,,102813,100213,66841,70583,55908,68811,55189,67423,49872,50696
846880,"Machinery and apparatus for welding, not gas-operated (excluding electric machines and apparatus ...",0,0,0,0,0,0,0,0,0,0,,123,115,227,311,190,385,1569,177,544,245,,5381,5358,5810,6243,3892,7250,5356,11933,5417,5609
847021,"Electronic calculating machines incorporating a printing device, with mains connection (excluding ...",0,0,0,0,0,0,0,0,0,0,,2580,3463,4811,332,272,246,77,16,19,71,,4,0,1,0,0,0,7,45,18,12
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",12,20,17,6,0,1,55,0,6,0,,56528,83426,67924,58273,68084,86020,69290,103694,69431,194984,,903143,953544,939070,959704,1021298,1275707,1634311,1733327,1701183,2322838
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",0,1,10,0,0,7,29,27,6,0,,4103,17478,10982,15792,11664,8721,8234,10208,6060,17210,,84639,77087,91777,96530,95137,602011,545335,470442,543763,852757
840790,Spark-ignition reciprocating or rotary internal combustion piston engine (excluding those for ...,0,0,0,0,0,0,0,0,0,0,,1130,1191,871,970,1351,1263,1174,1430,1624,4595,,41683,60203,39046,41613,43895,54736,66755,59006,51786,64384
847350,"Parts and accessories equally suitable for use with two or more typewriters, word-processing ...",0,0,0,0,0,0,0,0,0,0,,45,46,12,13,14,46,233,67,240,883,,9628,13506,12794,15322,28816,24827,25201,25400,25491,34684
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",6,0,7,0,13,0,0,0,0,0,,48137,55953,30502,26884,31599,34302,26934,56549,53506,70580,,23875,36684,26663,24614,33197,28363,28966,46250,29906,39167
847979,Passenger boarding bridges (excluding of a kind used in airports),0,0,0,0,0,0,0,0,0,0,,0,63,0,5,2128,2249,53,2307,1,0,,234,268,91,696,54,2129,8,45,1193,319
848630,Machines and apparatus for the manufacture of flat panel displays,0,0,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,,689090,778214,565614,428216,2021765,2917328,510369,292960,847088,273984
848640,Machines and apparatus specified in Note?9 C to chapter 84,0,0,0,0,0,1,0,0,0,0,,370,1167,482,984,300,829,49,511,208,43,,920874,572702,686491,690889,810300,1216962,1006746,1018038,1294136,1361691
850134,DC motors and DC generators of an output > 375 kW (excl. photovoltaic generators),0,0,0,0,0,0,0,0,150,0,,47953,31194,21281,12654,22661,48026,54769,39293,12573,44995,,79708,104602,102682,105725,76849,35806,20807,16539,11429,16745
850163,"AC generators """"alternators"""", of an output > 375 kVA but <= 750 kVA (excl. photovoltaic  ...""",10,0,0,0,0,0,0,0,0,0,,1,467,0,101,266,25,181,118,377,1779,,16075,24486,15375,48122,152895,147558,130821,156839,157439,112435
850211,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",0,0,0,0,0,0,0,0,0,0,,3013,3553,10136,3275,3116,3646,3049,3779,3801,4409,,3612,4788,4948,6103,6217,4973,9383,10476,7628,6085
850423,"Liquid dielectric transformers, having a power handling capacity > 10.000 kVA",0,0,0,0,0,0,0,0,0,0,,24003,19127,27782,30386,35517,29668,52057,27386,18955,66568,,5246,9197,16299,31038,18508,67138,2420,11060,42885,3493
850511,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,0,0,0,0,0,0,1,1,0,0,,1008,1456,1390,908,637,1602,2414,1601,1048,1485,,94513,85491,79180,69582,134865,160423,175116,173044,186549,308507
850740,Nickel-iron accumulators (excluding spent),0,0,0,0,0,0,0,0,0,0,,4982,2950,4590,1353,1981,2753,1865,2934,2098,1174,,100,747,331,191,737,50,304,116,359,407
842519,"Pulley tackle and hoists (other than skip hoists or hoists of a kind used for raising vehicles), ...",72,0,0,0,0,0,0,98,79,0,,1995,1743,2960,3308,1466,3418,2749,6027,2380,6863,,21250,43958,31464,27231,19640,13138,5285,5280,9156,9679
842612,Mobile lifting frames on tyres and straddle carriers,0,0,0,0,0,0,0,0,0,0,,36,834,50,137,142,147,110,90,66,80,,24,484,272,28,1842,60,10,13,6230,17075
842619,"Overhead travelling cranes, transporter cranes, gantry cranes, bridge cranes and mobile lifting ...",0,0,0,0,0,0,0,0,0,0,,5538,4751,4555,9011,10290,2905,9885,4348,17305,1264,,73148,140443,130275,172035,82385,52832,80620,34556,66128,174061
842691,Cranes designed for mounting on road vehicles,90,130,0,228,0,0,0,0,0,0,,3836,6753,7602,2854,3094,6902,8736,7068,8589,12622,,1533,762,1151,1177,3069,3240,2810,3960,1829,2421
842790,"Works trucks fitted with lifting or handling equipment, not self-propelled",0,0,15,7,5,19,0,0,0,0,,524,149,932,158,288,270,731,735,537,1143,,8349,10744,14037,15131,14687,18508,12695,12147,12366,16788
842839,"Continuous-action elevators and conveyors, for goods or materials (excluding those for underground ...",0,0,0,0,0,0,0,0,0,0,,4957,8192,18902,7841,11025,7704,11739,9564,6600,9072,,86263,58130,155037,88494,42937,37875,82813,83892,108851,145702
843039,"Coal or rock cutters and tunnelling machinery, not self-propelled (excluding hand-operated ...",0,0,0,0,0,0,0,0,0,0,,1572,2999,1209,1555,962,3957,2547,1559,1901,2295,,1534,3868,3265,764,2856,537,540,604,867,791
843221,"Disc harrows for use in agriculture, horticulture or forestry",0,0,0,0,0,0,0,0,0,0,,1518,2655,2557,2695,2868,5910,5863,5961,7412,8622,,226,35,15,109,681,213,1316,379,314,463
843290,"Parts of agricultural, horticultural or forestry machinery for soil preparation or cultivation ...",0,0,0,0,0,0,0,0,0,0,,7291,8465,9401,7792,8471,11797,14209,14164,19429,30019,,6722,7193,8332,7976,9812,9617,10183,10840,10933,14019
843410,Milking machines,0,0,0,0,0,0,0,0,0,0,,1242,450,590,1026,274,1997,1803,2633,2681,1739,,2389,3051,3195,1272,1256,1870,1972,2805,1719,1925
843420,"Dairy machinery (excluding refrigerating or heat treatment equipment, cream separators, clarifying ...",0,0,0,0,0,0,0,0,0,0,,3481,3507,2302,3462,1835,14721,5660,6978,6494,6629,,2139,2804,1249,6386,2926,2484,2794,4653,7510,2814
843621,Poultry incubators and brooders,0,0,0,0,0,0,0,0,0,0,,598,944,549,492,444,572,407,665,647,1787,,15474,9304,10310,13116,4175,9433,6439,5536,1131,6355
844090,"Parts of bookbinding machinery, n.e.s.",0,0,0,0,0,0,0,0,0,0,,5,15,15,8,9,10,7,14,10,31,,2041,1662,1856,1587,1521,1541,1559,1269,1539,1468
844180,"Machinery for making up paper pulp, paper or paperboard, n.e.s.",0,0,0,0,0,0,0,0,0,0,,93,247,1647,864,949,683,661,789,247,1374,,23579,14253,16718,22680,21107,25643,31018,44734,35525,36880
844230,"Machinery, apparatus and equipment for preparing or making printing blocks, plates, cylinders ...",0,0,0,0,0,0,0,0,0,0,,497,81,416,123,325,445,818,406,204,237,,25744,16642,13694,16568,10102,10163,9339,8627,5951,10458
844315,Letterpress printing machinery (excluding flexographic printing and reel fed machinery),0,0,0,0,0,0,0,0,0,0,,138,567,161,0,262,0,65,18,13,0,,132,336,446,447,210,383,271,182,8327,213
844319,"Printing machinery used for printing by means of plates, cylinders and other printing components ...",0,0,0,0,0,0,0,0,0,0,,607,548,893,1084,574,1560,1050,1743,498,1108,,21155,42229,41120,32005,39742,38623,45136,33451,40707,52312
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",1,0,0,0,0,0,0,0,0,0,,2708,8407,5232,3125,2490,4288,5545,11840,15217,21060,,348971,338204,377187,388344,333468,331534,325862,325901,337042,383058
844511,Carding machines for preparing textile fibres,0,0,0,0,0,0,0,2,0,0,,725,211,268,25,443,38,98,96,160,67,,12042,6487,1483,842,921,344,1253,89,308,1717
844540,"Textile winding, incl. weft-winding, or reeling machines",0,0,0,0,0,0,0,0,0,0,,671,540,7,45,37,20,182,156,104,19,,23438,11616,6327,6193,14321,5863,3920,5045,5142,3580
844629,"Hand looms for weaving fabrics of a width > 30 cm, shuttle type",0,0,0,0,0,0,0,0,0,0,,35,0,0,0,0,1,0,365,90,0,,1952,507,74,125,285,24,164,135,137,134
844720,Flat knitting machines; stitch-bonding machines,0,0,0,0,0,0,0,0,0,0,,484,412,996,135,258,257,272,136,293,186,,43781,55939,40610,34910,50093,33573,34592,31508,13607,15799
844831,Card clothing for machines for preparing textile fibres,0,0,0,0,0,0,0,0,0,0,,641,410,330,278,183,139,180,206,201,151,,4130,3804,3121,3101,2831,2419,3054,2205,1587,1973
845129,"Drying machines for textile yarns, fabrics or made-up textile articles (excluding machines ...",0,0,0,0,0,0,0,0,0,0,,538,438,575,315,436,508,564,625,505,567,,4942,4820,4747,5351,6962,12316,117058,220832,285369,308734
845140,"Machines for washing, bleaching or dyeing textile yarns, fabrics or made-up textile articles ...",44,0,0,0,0,0,0,4,0,0,,733,871,42,644,2,2,10,35,12,107,,4205,8555,6183,5918,8162,7421,9731,12275,4625,6001
845150,"Machines for reeling, unreeling, folding, cutting or pinking textile fabrics",0,0,0,0,0,6,0,0,0,0,,108,253,526,44,232,155,771,272,615,928,,5563,5675,9519,5959,8975,12984,16358,17218,480464,60636
845390,"Parts of machinery for preparing, tanning or working hides, skins or leather or for making ...",0,0,0,0,0,0,0,0,0,0,,397,286,323,819,918,277,693,80,128,32,,2297,1750,2889,2527,1829,1646,1873,1574,1397,1627
830510,"Fittings for loose-leaf binders or files, of base metal (excluding drawing pins and clasps ...",0,0,0,0,0,0,0,0,0,0,,83,106,141,118,110,201,250,198,172,235,,2274,2519,2454,2790,2258,2232,1953,2154,1928,2253
830590,"Office articles such as letter clips, letter corners, paper clips and indexing tags, of base ...",0,0,0,0,0,0,0,0,0,0,,237,418,347,308,532,785,670,728,821,1041,,5795,7146,7011,6433,5830,5971,6106,5454,5648,6623
830890,"Clasps, frames with clasps without locks, buckles and buckle-clasps, of base metal, for clothing, ...",26,0,0,0,0,0,0,0,0,0,,1526,2345,2033,988,1128,1229,1291,1305,1110,1571,,12136,14499,16568,15696,17490,22308,20930,18873,14659,19461
840212,Watertube boilers with a steam production <= 45 t/hour (excluding central heating hot water ...,0,0,0,0,0,0,0,0,0,0,,4494,5408,2688,1879,2379,4718,1763,3037,1690,5849,,20845,65863,35359,7871,8952,2423,2868,6170,5511,4820
840290,"Parts of vapour generating boilers and superheated water boilers, n.e.s.",1,0,2,0,0,0,1,0,16,0,,120312,118166,47058,47003,22670,73143,20612,26736,13702,23698,,53175,106721,156484,106163,38201,47538,46710,42212,37838,37621
840590,Parts of producer gas or water gas generators and acetylene gas generators or similar water ...,0,0,0,0,0,0,0,0,0,0,,1155,39,33,24,45,74,38,276,39,584,,15470,6798,9892,21961,47118,13801,19323,7233,14230,12133
840721,Spark-ignition outboard motors for marine propulsion,0,0,11,0,0,0,12,56,32,0,,887,1113,1420,1400,738,941,1398,1280,1404,1468,,24415,24367,22668,30815,31094,36872,33049,33353,28815,28966
841620,"Furnace burners for pulverised solid fuel or gas, incl. combination burners",0,0,0,0,0,0,0,0,0,0,,10253,4079,7673,4710,4769,9874,4960,3512,6883,4834,,42588,40687,29850,24293,19005,17811,31299,26108,31671,22247
841630,"Mechanical stokers, incl. their mechanical grates, mechanical ash dischargers and similar appliances ...",0,0,0,0,0,0,0,0,0,0,,3649,914,1450,667,589,398,666,234,695,1233,,147,3857,6074,5015,529,1296,15032,5727,21,6097
841840,"Freezers of the upright type, of a capacity <= 900 l",0,0,0,0,0,0,0,15,0,0,,26260,35247,16247,7586,9563,13387,14571,14061,19401,19975,,4593,4364,4028,4941,5766,9808,11785,15635,21143,49018
841950,"Heat-exchange units (excluding instantaneous heaters, storage water heaters, boilers and equipment ...",0,0,0,0,5,18,0,2,53,0,,126217,184874,179258,272535,138222,419366,434933,309500,331547,289193,,159692,340224,258301,193513,137642,229632,241280,233322,208085,188544
842099,"Parts for calendering or rolling machines, n.e.s. (other than for metals or glass and excluding ...",0,0,0,0,0,0,0,0,3,0,,12,276,187,625,11,26,153,57,84,27,,3702,2796,3621,3453,2808,3574,3101,4374,5470,5593
842112,Centrifugal clothes-dryers,0,0,0,0,0,0,0,2,0,0,,463,434,311,163,234,259,255,307,273,306,,200,289,351,688,507,661,621,700,758,834
842121,Machinery and apparatus for filtering or purifying water,0,41,2,58,1,26,14,2,0,0,,21653,31053,40596,21915,38862,36634,32194,44618,40653,56197,,109762,136352,164764,171673,154729,162636,167299,175090,199659,163971
842131,Intake air filters for internal combustion engines,12,0,0,9,0,4,36,0,0,0,,4179,3639,3804,4684,4141,5538,7065,9630,11589,15136,,21710,24704,44006,34776,27955,33861,32698,44252,36985,61546
842220,Machinery for cleaning or drying bottles or other containers (excluding dishwashing machines),0,0,0,0,0,0,0,0,0,0,,268,988,774,525,758,869,727,1093,704,969,,18288,24423,16600,12506,11386,9355,19393,11725,13701,14119
901520,"Theodolites and tachymeters """"tacheometers""""""""",0,0,0,0,0,0,0,0,0,0,,577,565,1015,506,557,921,820,700,546,840,,4855,5349,4369,4268,5321,4535,7632,6438,6899,7128
902219,"Apparatus based on the use of X-rays (other than for medical, surgical, dental or veterinary ...",0,36,0,36,0,0,0,0,0,0,,12777,6212,12589,13864,15876,9220,9314,11532,11566,11366,,102074,102622,98951,117265,112221,138214,139832,107667,159214,150643
890399,"Outboard motorboats, for pleasure or sports, and rowing boats and canoes, of a length > 7,5 ...",54,5,40,27,0,71,332,239,254,0,,2036,29209,2733,12856,2732,3194,4978,31759,11362,16970,,14840,15452,17473,16973,19960,17837,19692,17903,13105,17251
900150,Spectacle lenses of materials other than glass,3,12,23,3,0,7,1,0,0,0,,163,236,343,599,705,742,911,1376,1721,2080,,69803,67199,80126,84505,84622,87307,107749,107254,100891,108492
900640,Instant print cameras (excluding special cameras of subheading 9006.10 or 9006.30),0,0,0,0,0,0,0,1,0,0,,5,0,4,6,29,50,94,430,254,489,,10075,7843,5527,4809,5970,4598,7650,4906,6468,13637
900890,"Parts and accessories for image projectors, photographic enlargers and reducers, n.e.s.",0,0,0,0,1,0,3,0,2,0,,20,0,47,42,35,0,0,0,0,0,,434,483,564,714,492,2253,6544,9127,8106,5383
901180,"Optical microscopes (excluding for photomicrography, cinephotomicrography or microprojection, ...",77,0,0,18,0,0,0,22,0,0,,875,453,1172,572,684,586,935,1825,1750,2609,,46525,54741,45437,42253,39134,46595,44462,46003,49111,61257
903120,"Test benches for motors, generators, pumps, etc.",0,0,0,0,0,0,0,0,651,0,,96477,34677,59650,36306,56798,51913,77457,77742,45594,23575,,53910,8190,25319,15165,26973,36780,28304,15419,18122,47719
910129,"Wrist-watches of precious metal or of metal clad with precious metal, whether or not incorporating ...",0,0,0,0,0,0,0,0,0,0,,522,2668,1773,1838,1706,1097,693,1218,1624,1168,,29128,36139,50766,38489,31548,28646,28599,34876,31614,41261
910211,"Wrist-watches, whether or not incorporating a stop-watch facility, electrically operated, with ...",0,0,0,0,0,0,1,0,0,0,,356,1383,2625,1343,2342,8521,7712,11320,22982,3107,,133794,135987,156682,138020,165074,167862,245324,238306,176278,189642
911011,"Complete watch movements, unassembled or partly assembled movement sets",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1993,2143,2495,2404,2753,2762,3182,2962,2765,3759
903084,"Instruments and apparatus for measuring or checking electrical quantities, with recording device ...",0,0,0,0,0,0,0,14,0,0,,2387,21002,6913,23886,5915,10073,13348,10238,4162,12712,,65045,66278,85265,48887,33888,45964,30492,48388,28563,30842
930520,"Parts and accessories of shotguns or rifles of heading 9303, n.e.s.",0,0,0,0,0,0,0,0,0,0,,591,825,4132,0,0,0,0,0,0,0,,110,151,174,124,1231,3321,1061,911,569,519
940151,Seats of bamboo or rattan,0,0,0,0,0,0,0,0,0,0,,1,13,23,11,14,0,0,0,0,0,,187,317,631,486,357,5,0,0,0,0
940179,"Seats, with metal frames (excluding upholstered, swivel seats with variable height adjustments ...",1,0,0,0,0,0,0,0,0,0,,1940,1911,1821,1373,2503,2535,2932,4443,4750,5492,,73024,87623,110568,95083,95365,110511,123935,130507,169093,220559
940421,"Mattresses of cellular rubber or plastics, whether or not covered",0,0,0,0,0,0,0,0,0,0,,136,422,634,350,492,448,665,1125,748,1559,,36957,32165,41487,37832,53504,50673,62437,87731,95363,111658
940530,Electric lighting sets of a kind used for Christmas trees,0,0,0,0,0,0,0,0,0,0,,643,458,976,863,658,762,1056,1954,2003,3516,,2374,3851,4768,4713,3931,5290,4730,5075,5961,7665
940592,"Parts of lamps and lighting fittings, illuminated signs and nameplates and the like, of plastics, ...",0,0,0,0,0,0,0,0,0,0,,480,1705,833,278,315,1513,532,588,843,873,,3561,4839,6917,10234,9571,10046,11150,10942,10878,14026
950720,"Fish-hooks, whether or not snelled",0,0,0,0,0,0,0,4,0,0,,23,33,46,30,57,63,114,103,124,144,,2762,3425,3836,4866,5081,6646,7723,9807,11441,13110
950790,"Line fishing tackle n.e.s; fish landing nets, butterfly nets and similar nets; decoys and similar ...",0,0,0,0,0,0,0,1,22,0,,4534,5568,5281,4525,4033,3607,5725,5143,5405,8651,,24779,27654,35420,37722,41856,49688,63831,68728,77597,97235
960820,Felt-tipped and other porous-tipped pens and markers,0,0,0,1,0,0,0,0,0,0,,798,1237,1394,887,1378,1643,2190,2770,3198,4519,,9826,12437,13012,13143,17625,18440,17695,20327,20066,24676
960860,"Refills for ball-point pens, comprising the ball-point and ink-reservoir",0,0,0,0,0,0,0,0,0,0,,184,143,197,161,269,294,319,263,242,272,,3973,3342,4446,4513,6262,7849,7882,7781,9434,8255
961310,"Pocket lighters, gas fuelled, non-refillable",0,0,0,0,0,0,0,0,0,0,,459,320,337,742,1396,1773,2750,3184,3777,3776,,11760,8987,9639,7164,3124,2249,1853,2101,1576,1748
851930,"Turntables """"record-decks""""""""",0,0,0,0,0,0,1,0,0,0,,2,11,4,1,2,4,18,4,1,0,,879,1109,1539,1263,1929,2254,2643,3554,4868,8684
852210,Pick-up cartridges,0,0,0,0,0,0,0,0,0,0,,5,1,1,6,4,2,13,2,5,8,,122,154,247,118,217,314,366,261,415,428
851519,Brazing or soldering machines (excluding soldering irons and guns),0,0,0,0,0,0,0,0,0,0,,413,689,378,1431,592,345,924,428,345,654,,8374,5140,7069,6133,8168,7297,5633,7609,7504,6699
851531,"Fully or partly automatic machines for arc welding of metals, incl. plasma arc welding",0,0,68,0,0,0,310,0,0,0,,2202,2371,4650,1764,1958,3563,2879,8799,7724,11598,,26947,21423,30353,38938,26577,33255,23947,20224,23354,35473
851632,Electro-thermic hairdressing apparatus (excluding hairdryers),0,0,0,0,0,0,0,0,0,0,,3416,4087,3641,3173,3078,4034,5008,5576,5883,7934,,17458,27188,25082,23350,20899,25595,34599,73284,138592,162203
851672,"Electric toasters, for domestic use",0,0,0,0,0,0,0,0,0,0,,423,550,790,557,568,705,824,1074,1424,2044,,7106,7601,8995,9546,11072,9553,9358,10059,13794,20360
851711,Line telephone sets with cordless handsets,0,0,0,0,0,0,0,0,0,0,,6771,13151,12355,7182,5418,5856,5120,3960,3436,3484,,22622,30397,25022,17748,13593,11180,11228,8580,5514,5918
853340,"Electrical variable resistors, incl. rheostats and potentiometers (excluding wirewound variable ...",0,3,0,0,0,0,0,0,0,0,,2560,1319,2094,1257,868,1183,1219,2076,2619,2241,,202329,211367,153434,125994,107148,82648,86393,79673,76117,97242
853510,Fuses for a voltage > 1.000 V,2,0,0,0,0,0,0,0,0,0,,1089,1312,853,495,390,468,617,595,617,794,,3810,4429,4466,3073,3535,4418,5680,7192,7210,9871
853540,"Lightning arresters, voltage limiters and surge suppressors, for a voltage > 1.000 V",0,0,0,0,0,0,0,0,0,0,,5384,4385,5045,4831,3579,4643,6137,6449,6716,5350,,35834,33610,30558,32190,33770,28451,23564,16711,20060,22301
852341,"Optical media for the recording of sound or of other phenomena, unrecorded (excluding goods ...",0,0,0,0,0,0,0,0,0,0,,568,520,365,251,302,203,144,160,122,117,,15736,10358,8807,6377,4668,3100,3678,3189,2467,2313
853080,"Electrical signalling, safety or traffic control equipment (excluding that for railways or ...",0,16,0,0,0,0,0,0,0,0,,27199,15647,13415,14737,3922,3783,3764,4627,6454,7151,,524,3330,6144,6966,9042,9679,4496,4217,5018,4199
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",1,20,30,72,6,0,1,0,0,0,,5027,6437,4784,7042,4800,3394,4337,5106,4427,9924,,983125,1089917,834600,545017,335694,252162,193424,161068,145418,206879
870891,"Radiators and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",10,0,1,34,1524,5,0,2,1,0,,48027,43517,33597,20291,24336,27283,27518,28160,25590,34032,,18166,15632,15951,22261,21850,26631,32962,27619,21820,30822
871190,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor and side cars for motorcycles ...",0,0,0,0,0,0,0,0,0,0,,40,16,51,41,300,333,74,722,95,182,,4619,6874,11760,25538,39280,49857,19521,6003,5002,3360
871420,"Parts and accessories for carriages for disabled persons, n.e.s.",0,0,0,0,0,0,0,0,0,0,,17,12,14,42,63,56,6,9,4,16,,2850,3415,4573,4902,4670,6770,6710,7091,6790,6641
871495,Saddles for cycles (excluding for motorcycles),0,0,0,0,0,0,0,0,0,0,,14,17,10,12,12,22,18,32,28,28,,1503,2987,2752,3000,2206,1509,1013,1092,2319,3233
871639,"Trailers and semi-trailers for the transport of goods, not designed for running on rails (excluding ...",0,0,0,0,0,0,0,0,0,0,,85567,70393,42860,48482,61152,27428,20253,25572,19744,32916,,15399,11748,5947,9895,5236,6211,7645,8801,10687,13410
880100,"Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft",0,0,0,0,0,0,0,0,0,0,,0,4,68,0,0,0,0,0,0,0,,665,1454,735,1360,1801,793,504,268,531,337
880240,"Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters, ...",0,0,0,0,0,0,0,0,0,0,,719664,1118730,792283,0,0,0,0,0,0,0,,2022960,1835529,2205977,2980962,1820970,1051508,2009949,1332187,1,1
854121,Transistors with a dissipation rate < 1 W (excluding photosensitive transistors),0,0,8,0,0,0,0,5,4,0,,529,570,403,239,330,266,267,442,282,432,,395012,346340,324534,275593,252900,271257,314531,327946,335496,396066
854233,Electronic integrated circuits as amplifiers,0,0,0,27,136,318,467,16,132,0,,2044,1528,1669,1424,1077,5069,1019,605,951,1532,,86292,87926,91481,123646,124937,214303,259537,222446,277546,408858
854330,"Machines and apparatus for electroplating, electrolysis or electrophoresis",0,0,0,0,0,0,2,0,6,0,,2698,1187,2029,575,1209,1371,14141,3076,4907,2932,,30795,54503,12623,10081,7800,38798,18661,21000,23374,23867
