Product code,Product label,India's imports from Viet Nam-Value in 2012,India's imports from Viet Nam-Value in 2013,India's imports from Viet Nam-Value in 2014,India's imports from Viet Nam-Value in 2015,India's imports from Viet Nam-Value in 2016,India's imports from Viet Nam-Value in 2017,India's imports from Viet Nam-Value in 2018,India's imports from Viet Nam-Value in 2019,India's imports from Viet Nam-Value in 2020,India's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
844839,"Parts and accessories of machines of heading 8445, n.e.s.",31,0,0,0,922,808,1229,1140,1143,2092,,29,3,1,28,2365,3323,4125,3213,2697,5006,,95474,104998,79340,79644,95089,85777,96349,87400,50691,80734
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",185,248,469,240,620,338,348,569,233,2086,,330169,442998,563243,590874,623384,655973,730842,721440,514661,644468,,37075,45494,37235,39036,44596,36494,91048,88124,48003,65417
390422,"Plasticised poly""""vinyl chloride"""", in primary forms, mixed with other substances""""",618,1090,1932,3187,2745,2003,333,385,621,2083,,28832,28610,31063,28390,31645,38204,44533,44750,52835,35896,,83670,84473,98013,89602,69341,43051,14694,22582,22586,25660
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",229,101,481,1463,1346,1675,1853,1704,1182,2069,,68194,87239,100059,114020,135053,146483,147105,183413,138885,339589,,298407,350204,345120,354167,350982,368588,408515,427334,392587,516374
410712,"Grain splits leather """"incl. parchment-dressed leather"""", of the whole hides and skins of ...""",0,24,0,0,0,273,338,146,1324,2048,,12174,15612,19648,48389,65353,60661,59846,52560,28497,43931,,448,1170,1108,1039,1483,7502,10134,16581,19764,32191
854233,Electronic integrated circuits as amplifiers,0,23,0,0,0,2,0,3,27,2028,,54,399,491,1090,905,557,415,1391,10758,19381,,10217,9894,12371,13417,22673,27018,62694,39184,43956,126610
811010,Unwrought antimony; antimony powders,237,732,379,38,276,741,2683,125,564,2015,,10695,8384,4757,8284,6265,4730,4721,3627,3036,81236,,8984,12800,11812,7401,6032,10359,10599,9597,6552,12967
900120,Sheets and plates of polarising material,0,0,0,0,0,0,0,0,58,2011,,0,0,8,13,462,4389,8661,21337,39934,7704,,132,517,1747,2565,1632,2120,2907,2814,1963,3613
580810,Braids in the piece,0,0,0,1,0,7,3,0,619,1980,,222,315,419,1151,754,1103,1368,1717,915,3837,,517,672,798,694,449,747,700,1141,3747,8276
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",131,178,199,661,518,426,1164,1112,1464,1975,,581468,692154,937915,1146904,1188910,1390720,1504113,1656412,1315052,1684502,,6271,8025,12203,17046,17851,23839,30433,35813,31194,38224
400931,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",2,0,0,0,0,0,10,0,422,1974,,2600,3054,4248,5120,8371,9960,8045,7654,5338,9057,,13262,14293,14714,15188,13532,16054,19763,18041,15003,24530
440500,"Wood wool; wood flour wood powder able to pass through a fine"""", 0,63 mm mesh, sieve with ...""",1259,215,343,231,357,1199,987,1132,1647,1960,,16293,21844,20745,18019,20654,18514,18831,19654,20826,15579,,1593,321,511,435,791,1923,2029,2194,2030,2439
847940,Rope or cable-making machines (excluding twisting machines of the type used in spinning mills),0,0,0,0,0,0,0,0,0,1953,,457,498,428,701,115,247,88,95,215,2060,,22329,37106,22675,25902,38402,38719,45662,39222,19907,20049
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",61,25,282,370,150,189,814,333,893,1906,,503,1068,3144,3414,3333,17412,7981,1914,10919,10028,,57954,64949,76709,77706,90962,110522,135305,139739,276928,1128270
901832,"Tubular metal needles and needles for sutures, used in medical, surgical, dental or veterinary ...",1294,1788,2529,2308,2140,3309,3570,2622,1805,1905,,10302,11026,12124,14961,16847,18329,32003,36766,27378,40847,,36342,39276,43848,37762,43058,51107,55721,54123,42185,53764
610343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, knitted ...",36,56,417,513,460,657,920,1233,1219,1899,,95158,144621,195128,210012,293742,363440,482394,533015,520453,676470,,929,1750,2939,5120,4385,5739,9437,11460,10654,15773
631010,"Used or new rags, scrap twine, cordage, rope and cables and worn-out articles thereof, of textile ...",0,0,0,0,7,0,486,2650,1982,1877,,11233,6365,11288,5785,6424,2934,758,1212,1603,2025,,7054,10889,13782,15971,16676,19556,33903,73795,78219,112230
500720,Woven fabrics containing >= 85% silk or schappe by weight,879,634,852,561,1540,2469,7213,6213,2813,1853,,9010,11498,14257,13553,15455,15952,19742,16610,12621,12919,,69369,42108,29153,27490,26372,34491,33389,28678,14579,18888
850450,Inductors (excluding inductors for discharge lamps or tubes),346,533,894,1075,801,1419,1149,4284,3624,1844,,121981,174243,177974,197742,226936,285002,294941,298236,341289,820773,,137809,116414,125138,107219,100039,114779,178120,265456,229632,303978
540752,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",636,1260,521,332,309,1955,1654,2052,1409,1839,,30584,31262,16822,23112,19488,18785,18450,18947,15274,22731,,32798,41629,43802,47751,36579,41099,49692,68381,47570,79019
381231,"Mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline """"TMQ""""""""",0,0,0,0,0,0,4,1290,1189,1821,,0,0,0,0,0,0,569,1059,596,3486,,0,0,0,0,0,10080,13034,11875,11513,17138
640610,Uppers and parts thereof (excluding stiffeners and general parts made of asbestos),1115,363,237,592,2646,1165,2844,3399,1711,1816,,116764,169226,212058,211042,244129,276876,281357,296704,220513,272526,,30459,25301,25337,27800,26250,20554,21882,23744,15044,24099
841350,"Reciprocating positive displacement pumps for liquids, power-driven (excluding those of subheading ...",0,0,43,0,183,0,0,0,0,1804,,1537,1250,147,108,2354,244,174,4712,10965,19361,,63797,42976,53545,50656,53134,52248,78596,85713,90227,133179
410799,"Leather """"incl. parchment-dressed leather"""" of the portions, strips or sheets of  hides and ...""",65,78,63,121,260,933,1539,3990,912,1797,,126772,143002,253340,283759,249050,264244,293333,344976,248775,121899,,29514,44234,62888,70755,74895,62764,56437,27127,8047,9841
845230,Sewing machine needles,468,1455,1761,2783,2491,2249,2009,1211,1434,1791,,17475,24568,30871,38185,36458,34785,30517,27647,25743,50164,,12674,16871,18820,16726,14415,13487,14969,10100,7193,9313
847170,Storage units for automatic data-processing machines,1324,4526,7988,1965,1426,5624,4691,2293,1004,1755,,41599,77867,134179,138774,166691,149977,87648,149150,200271,253548,,1027955,891844,904549,849530,757925,817221,797113,796444,616218,767721
847990,"Parts of machines and mechanical appliances, n.e.s.",1022,802,476,592,1340,807,1098,760,2190,1727,,33092,32126,28731,25447,12181,10805,11996,13863,16184,99153,,423431,379286,329903,278483,311593,366917,422368,435211,430675,392039
420222,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",579,336,849,308,70,40,202,420,475,1712,,144030,198396,202275,240740,239205,318279,382959,459723,448349,356124,,37852,43023,42790,45809,45042,82417,104658,108878,46573,89360
80232,"Fresh or dried walnuts, shelled",0,0,0,0,0,0,1196,5201,4024,1688,,5839,5240,726,4,0,144,2918,15730,26477,10754,,119,612,868,1712,200,1033,2244,12039,28246,12667
401511,"Surgical gloves, of vulcanised rubber (excluding fingerstalls)",19,0,0,0,36,40,75,1136,1679,1674,,438,65,433,4340,6439,6155,2484,3065,5533,65524,,15995,19735,22816,14774,19755,18981,21624,31519,35785,48629
830810,"Hooks, eyes and eyelets, of base metal, of a kind used for clothing, footwear, awnings, handbags, ...",0,39,6,391,647,175,1032,1957,805,1664,,2293,5444,5538,4456,4124,5970,14214,16964,16370,8119,,18254,17512,22947,25670,25189,29551,32664,36627,22220,32266
761699,"Articles of aluminium, n.e.s.",308,203,57,1183,1622,372,52,383,1434,1640,,34119,40450,75231,72640,108336,147378,162424,201928,194444,187738,,92280,79167,104076,123669,118901,145238,260162,327862,210320,229622
481920,"Folding cartons, boxes and cases, of non-corrugated paper or paperboard",2,3,14,17,19,661,640,2836,1886,1639,,23277,26731,29586,30610,25498,31847,52151,64362,59351,100466,,7862,9266,11129,14180,19918,16750,23843,20883,17799,33163
410441,"Full grains leather, unsplit and grain splits leather, in the dry state """"crust"""", of hides ...""",0,593,5,3,147,1837,9148,3950,1119,1638,,0,87,0,0,16,1,0,0,0,3518,,1033,2609,1647,1838,2100,15307,36918,26734,14886,14700
600622,"Dyed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...""",3,7,27,0,13,174,177,944,938,1636,,64943,71055,96487,202739,235566,319212,420687,347056,353023,173466,,9885,8714,6549,5044,4377,10453,31477,41493,20623,32631
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",110,326,81,245,567,754,886,978,963,1632,,751407,859329,911514,1067847,1142849,1076741,1245442,1386020,1303431,1486337,,16761,18121,24940,25865,30081,30969,42239,48327,40342,81924
520842,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 100 g to 200 ...",202,0,134,0,0,92,880,2960,1686,1609,,42,22,66,1429,108,3529,4038,4912,5186,11409,,82506,86413,47969,27282,21858,29208,21887,25116,11507,14375
851290,"Parts of electrical lighting or signalling equipment, windscreen wipers, defrosters and demisters ...",47,79,254,169,236,319,713,617,1373,1588,,28403,36106,37903,36592,34858,32966,32305,24181,24674,134631,,34650,29725,34664,36012,49794,80722,130916,159431,166894,203523
482390,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, in strips or rolls of a ...",124,67,44,10,5,39,124,515,1266,1564,,20206,21395,21495,18989,25022,32507,58138,67230,71413,74656,,46659,44162,46015,50075,50528,51118,44586,44752,34325,45159
420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",405,177,40,92,151,309,530,210,686,1544,,42673,84944,141930,171904,248928,180716,292754,311139,225755,554880,,15015,18708,20734,24583,28835,9572,16764,21269,12785,14987
392051,"Plates, sheets, film, foil and strip, of non-cellular poly""""methyl methacrylate"""", not reinforced, ...""",1327,724,687,809,885,1007,1347,1619,1544,1543,,10174,12678,12817,14441,15517,18820,20967,18028,19080,11564,,36678,40613,45938,53944,63213,85003,122438,115201,86148,129809
350699,"Glues, prepared, and other prepared adhesives, n.e.s.",24,5,6,0,60,51,43,22,321,1539,,3500,4622,2754,2101,2745,4375,5331,8372,10669,14101,,59471,66073,68383,70863,61585,71641,84867,93267,81008,108124
482110,"Paper or paperboard labels of all kinds, printed",10,10,9,154,125,89,230,548,985,1524,,3421,4751,7905,10974,17771,24181,28757,33800,33125,39296,,74925,49548,49589,49997,51982,54027,59086,64756,50575,63651
621210,"Brassieres of all types of textile materials, whether or not elasticated, incl. knitted or ...",24,11,3,31,147,199,856,1319,338,1521,,137767,154428,183058,213233,363179,561480,690134,820477,721248,1132250,,8886,9726,12243,16940,17153,23283,36634,41815,18230,38167
740821,"Wire of copper-zinc base alloys """"brass""""""""",153,273,281,388,345,107,532,368,202,1463,,13095,15826,16652,12784,11416,14164,14670,34270,46101,113657,,18163,25071,23598,25896,24436,29529,40249,27734,15809,34401
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",1206,6,0,102,2,266,703,638,632,1463,,14880,13245,15024,21447,17869,14684,23955,24555,22577,60178,,144219,129884,159201,143959,138983,169401,223718,180495,156154,226643
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",20,22,64,99,260,504,507,996,1002,1458,,929238,1114763,1137552,1123399,1123636,1210243,1551356,1922061,1814401,2841275,,5794,6834,8882,10329,11741,13944,20141,28372,26055,46184
848310,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",237,91,1245,710,641,706,1243,950,1217,1450,,11661,11961,15729,13783,16938,23631,33535,56597,63019,43425,,178346,163555,167761,174333,197155,180893,226587,216480,170731,254037
851230,Electrical sound signalling equipment for cycles or motor vehicles,2,0,0,49,177,248,521,1049,938,1443,,22700,29004,31896,28578,24383,23649,21459,20079,22036,40464,,9527,13344,12222,8401,14285,21827,24593,27291,15274,24073
780191,"Unwrought lead, containing by weight antimony as the principal other element",0,0,530,182,0,0,0,0,0,1437,,23706,40836,60076,36904,56454,84926,76741,70650,57528,15011,,6702,8049,11004,7728,15780,6594,20899,36122,55963,76212
340319,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",10,2,0,436,1212,1670,2128,2573,2330,1435,,10749,12578,11192,183,9352,11912,16303,18592,14091,5488,,47453,34880,46247,51172,52266,67301,77104,65499,54877,107966
551011,"Single yarn, containing >= 85% artificial staple fibres by weight (excluding sewing thread ...",0,0,0,0,0,1758,5825,9433,3833,1421,,79857,61922,55456,44644,75342,66695,56577,75763,39822,18377,,2742,6951,10163,33325,7796,12431,62087,106368,146435,173903
851190,"Parts of electrical ignition or starting equipment, generators, etc. of heading 8511, n.e.s.",5938,5447,1736,1680,1745,2009,1240,1247,717,1416,,18661,18980,16551,12370,10639,11646,15888,21204,25327,24625,,98490,93410,96945,88714,84022,90257,74570,66364,56370,88807
392390,"Articles for the conveyance or packaging of goods, of plastics (excluding boxes, cases, crates ...",479,35,7,47,158,80,153,403,1627,1406,,51903,50023,49902,52987,50925,54105,53575,47946,34028,94905,,49104,58998,66821,67188,74545,84382,102813,116100,92220,138939
902300,"Instruments, apparatus and models designed for demonstrational purposes, e.g. in education ...",6,5,2792,555,4,1301,7595,4449,2018,1400,,117,331,30193,12822,2159,11975,25922,42004,48565,24152,,29359,34911,41726,35712,38154,59745,55541,56169,34103,148400
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",26,0,0,35,72,134,616,1356,1100,1390,,16532,12270,4615,9518,9074,15445,17541,46765,215689,765478,,14380,17628,20072,18832,20260,22274,31791,36440,24331,32190
851718,Telephone sets (excluding line telephone sets with cordless handsets and telephones for cellular ...,892,1840,3317,3292,3017,5691,4031,2746,864,1383,,60390,2218,1000,72663,1925,3734,2534,2214,2662,45259,,59920,43152,36392,33927,26741,30092,28051,17349,13200,13470
540761,"Woven fabrics of yarn containing >= 85% by weight of non-textured polyester filaments, incl. ...",2,0,53,137,256,215,609,803,417,1359,,64882,77911,80611,66723,45612,43816,48642,49114,35042,49268,,35740,48339,68361,70144,75873,79762,92062,100839,64275,99831
281122,Silicon dioxide,16,0,0,0,0,0,0,0,150,1353,,147,184,205,826,551,687,1179,1141,1495,2737,,24982,28347,37152,40603,38398,45251,51782,55601,49757,63888
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",52,39,104,185,340,728,753,732,827,1347,,382088,511757,665902,758807,777249,786293,895858,950698,864059,1002360,,1356,1888,3332,5085,5595,7087,11889,13953,8731,12628
841821,"Household refrigerators, compression-type",0,0,0,0,2,0,0,0,1100,1344,,37991,32782,20885,23810,29213,45214,54674,60350,72278,82573,,14865,14854,5196,3942,5342,13957,30216,18521,37997,99625
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",846,711,499,672,1539,1932,2365,2535,1074,1340,,528165,647245,1043043,1149970,1285819,1160254,1319435,1431620,1290469,2141853,,9252,7249,7950,6007,9785,12430,14822,19488,12292,17599
230650,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,15,0,240,727,1047,1311,,637,595,605,801,728,944,923,978,1507,1645,,9526,6250,17988,32184,39459,38715,59571,66555,69516,76290
282570,Molybdenum oxides and hydroxides,0,0,0,149,482,571,669,1031,190,1290,,7898,11764,6920,2291,1262,2534,4590,16196,25437,20455,,4075,2014,6205,4024,3264,4354,7590,12285,9273,18943
330129,"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excluding those ...",19,1,3,0,2,17,0,313,903,1287,,11235,11443,11077,9145,10084,8615,9623,8058,12935,13942,,61892,63706,81325,80051,106000,97489,109343,102747,100609,122309
610130,"Overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, wind-jackets ...",29,67,25,129,435,167,773,931,965,1283,,68010,82900,113063,129299,136024,148285,191272,188804,150387,217241,,396,864,605,2215,2500,2436,4248,6194,5664,8046
330741,"""Agarbatti"""" and other odoriferous preparations which operate by burning""""",22470,34494,53030,59630,66202,72013,77408,53304,3532,1275,,31748,44592,65361,69544,81349,84213,90074,65492,23275,17692,,27215,37926,57054,67610,74247,81375,84471,58171,3659,1406
830890,"Clasps, frames with clasps without locks, buckles and buckle-clasps, of base metal, for clothing, ...",57,7,0,53,6,155,618,548,470,1264,,2095,2608,3318,4250,7273,8902,13699,14970,13920,35016,,52313,53792,63317,66669,61063,74039,84683,91579,52759,73386
830710,"Flexible tubing of iron or steel, with or without fittings",0,0,0,0,0,0,298,884,736,1261,,2601,4070,3584,4773,5731,6629,13898,17652,15072,32218,,21472,16789,20018,21856,22996,25112,39163,51476,24157,56526
848240,Needle roller bearings,7,0,0,14,0,0,0,0,377,1243,,1,0,24,104,1,78,62,81,1543,6985,,18709,19796,22116,22164,22181,25007,31372,28377,26207,37013
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",637,0,0,0,717,682,1187,2400,151,1230,,62685,43414,18937,23931,30776,31547,31728,41197,45514,44122,,306639,313510,336829,355043,297466,378914,349652,389224,424435,500107
720299,"Ferro-alloys (excluding ferro-manganese, ferro-silicon, ferro-silico-manganese, ferro-chromium, ...",148,41,207,228,209,159,464,285,304,1184,,9138,163,844,457,881,2573,10881,6163,5557,8815,,59378,40211,35663,38046,25394,22399,36150,21970,20184,50490
850610,Manganese dioxide cells and batteries (excluding spent),20,131,0,0,4,0,146,78,0,1180,,2901,3196,2191,2216,2244,2064,4462,2377,2388,33864,,11139,11928,7036,6887,8931,5223,3133,1762,9783,16026
841899,"Parts of refrigerating or freezing equipment and heat pumps, n.e.s.",479,53,2087,1790,2016,507,1738,1842,2959,1164,,43534,51216,42410,50166,63196,39989,43589,45756,57736,59554,,71971,69923,91291,83855,81869,95739,74422,85410,72133,80732
848071,Injection or compression-type moulds for rubber or plastics,550,290,465,582,279,627,409,206,429,1154,,5205,7153,10918,8857,6566,10028,19729,26434,38159,65599,,154795,151597,200934,281406,194681,242176,238183,365509,288802,351008
390791,"Unsaturated polyallyl esters and other polyesters, in primary forms (excluding polycarbonates, ...""",41,0,0,1,0,0,13,66,521,1144,,2485,1995,1803,1757,2839,2555,2292,2201,1955,3826,,78580,70015,59364,53354,53235,88166,83728,80916,70434,128961
846630,"Dividing heads and other special attachments for machine tools, n.e.s.",131,104,0,147,6,93,349,446,432,1142,,40,24,100,43,168,3980,9507,8378,7437,1807,,101215,149671,131950,97027,113499,119088,189487,277251,153541,183073
903210,Thermostats,3,0,0,1,0,47,569,966,388,1134,,2071,4347,8013,8928,10023,10530,15874,14239,15315,120623,,20101,20223,27101,24812,27988,31139,37306,40786,29088,36577
843360,"Machines for cleaning, sorting or grading eggs, fruit or other agricultural produce (excluding ...",11,79,0,12,166,697,1436,1113,410,1134,,1263,752,178,225,263,399,389,369,5198,1808,,7398,7130,8095,5246,6020,4202,7710,10243,6511,10190
842839,"Continuous-action elevators and conveyors, for goods or materials (excluding those for underground ...",110,21,10,98,149,0,128,247,37,1129,,50,53,424,173,46,148,1187,2286,11433,8554,,89226,73684,45446,52182,54981,78992,53348,83505,46211,68653
820730,"Interchangeable tools for pressing, stamping or punching",2,0,1,260,390,375,659,539,444,1127,,193,827,12010,17509,16002,25479,24856,20648,20442,23323,,62293,142564,157193,230014,156274,197897,177479,236064,208581,204161
560122,"Wadding of man-made fibres and articles thereof (excluding sanitary towels and tampons, napkins ...",0,0,41,0,2,6,109,133,659,1116,,1280,2037,1504,2137,2112,2186,2157,1174,558,7877,,1759,4319,5656,6887,11820,10836,13073,16416,11285,19795
90122,"Roasted, decaffeinated coffee",0,95,85,0,0,0,0,0,0,1107,,2759,3756,846,4211,2435,4914,6238,9967,5146,3350,,30,144,228,17,14,0,4,6,44,1114
844520,Textile spinning machines (excluding extruding and drawing or roving machines),0,0,63,0,0,0,0,285,0,1105,,9,1,325,404,413,593,1543,973,1421,1670,,186868,161271,116451,81504,119540,118175,128057,92899,39710,123186
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",23,167,298,428,702,1094,996,1155,702,1103,,12967,18445,21602,24450,23215,25970,23897,30901,57938,51002,,43271,46650,57872,50359,53875,50891,67195,64070,51899,75317
550951,"Yarn containing predominantly, but < 85% polyester staple fibres by weight, mixed principally ...",0,0,0,1099,0,0,326,414,747,1100,,105577,64719,34372,24083,32058,33772,30005,30132,20726,29188,,26702,49695,61578,39441,8275,31129,40592,31213,35947,36276
520523,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",0,56,53,0,0,532,1008,2604,800,1098,,7595,9546,26668,57816,83411,108551,134056,170687,159981,243774,,4429,3817,2031,531,1155,1784,1989,5194,2957,2817
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",178,17,420,627,405,782,1048,850,941,1088,,65625,44868,31474,34317,53094,61131,68870,45252,38756,61558,,283843,296942,309257,301641,348193,289931,351326,354755,281125,438783
560392,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 25 ...",4,0,0,0,7,212,292,212,332,1058,,384,636,1222,989,1953,5756,8123,12709,32209,30041,,8261,19868,18935,27200,35421,41259,52500,49706,42556,55333
90220,Green tea in immediate packings of > 3 kg,234,803,1016,175,199,370,377,81,637,1038,,96051,104168,123444,111038,113113,107721,116734,135173,107654,46216,,1653,2731,5201,2837,3001,3422,4260,2392,2855,4530
848320,"Bearing housings, incorporating ball or roller bearings, for machinery",509,562,837,420,776,629,1657,1201,952,1037,,179,1835,5365,4292,9023,8939,15138,18827,20985,32873,,37723,34499,36876,34927,36083,37525,56156,55821,51924,67427
560394,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > than ...",413,396,367,1081,1576,1310,1357,2034,970,1033,,24250,23162,30076,32099,30699,27074,27961,39577,33662,25580,,34411,38304,43618,44637,43340,50940,55132,66107,36667,47123
300290,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses",94,0,0,3,1,823,15,10,22,1025,,0,25,175,35,49,409,306,262,485,2947,,38992,47537,53754,55851,64100,82500,114843,118763,111432,138248
481890,"Paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary ...",1,0,21,8,26,59,0,60,962,1019,,2215,1733,3382,1665,3882,2450,1852,2632,4469,28710,,8137,2983,3900,2505,2446,2989,5428,6028,6831,5771
620333,"Men's or boys' jackets and blazers of synthetic fibres (excluding knitted or crocheted, and ...",102,172,236,225,183,147,577,473,359,1012,,126294,149663,269228,299442,272232,312336,426735,412878,271504,164486,,5710,10213,16179,15663,11675,13513,21565,28135,18924,36953
392119,"Plates, sheets, film, foil and strip, of cellular plastic, unworked or merely surface-worked ...",13,5,0,12,0,1,95,676,842,1008,,24588,31444,33087,31222,25910,32735,52455,75448,38707,35350,,16484,16561,18510,22794,27129,36287,45827,50467,52419,86906
382319,"Fatty acids, industrial, monocarboxylic; acid oils from refining (excluding stearic acid, oleic ...",63,0,0,0,0,48,926,1790,1850,1004,,4208,2214,1909,1974,2390,4295,5825,6696,7386,9450,,156371,121844,194252,180651,224055,318480,399591,338607,351662,608621
390950,"Polyurethanes, in primary forms",6,53,3207,5832,1143,3930,4159,2060,471,990,,4293,2923,4995,5969,2575,7637,15288,17433,12412,30308,,95722,147016,176316,207023,234312,309539,347708,300787,247301,365175
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",315,8,48,96,2105,4139,1023,352,1503,985,,43802,8392,13719,13502,21167,25898,28772,29444,23573,32411,,666905,502532,547557,491303,537214,676930,810200,663963,513285,858365
960910,"Pencils and crayons, with leads encased in a rigid sheath",26,255,1416,1918,1105,0,0,658,999,969,,27459,33071,44860,49845,70958,53373,44442,43707,43600,46115,,3509,2846,2936,3834,2883,3223,2915,2950,2120,2365
620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",33,13,45,97,230,414,561,605,877,967,,301976,433030,568407,602096,629982,764681,1035278,1152580,923086,1434119,,1305,2080,3073,2426,2500,3219,4667,7083,8057,10928
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",1507,1358,2935,3787,3387,2964,1950,2022,1230,966,,42487,44006,50601,47658,52002,55136,76689,94243,108693,116642,,544195,438451,405882,447648,347838,370620,415644,416230,365250,527903
721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",2649,1718,885,446,110,309,962,270,306,952,,2024,673,34,93,151,158,423,607,1033,5384,,123251,138643,119289,106262,87087,78232,98252,93270,72734,142074
845020,"Laundry-type washing machines, of a dry linen capacity > 10 kg",0,0,0,0,0,139,506,362,16,946,,33,37,26,3,262696,750669,484700,542733,603238,556031,,2405,2731,5020,6927,7850,8795,9989,17361,23206,19644
844540,"Textile winding, incl. weft-winding, or reeling machines",0,0,0,0,0,1,80,0,0,932,,1194,45,70,135,180,517,285,112,955,959,,186218,214923,187031,199246,189136,182197,125594,110951,45185,135592
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",359,168,119,267,628,549,784,945,658,932,,495843,589240,619227,603436,658759,665475,727989,764007,604495,911005,,41412,56559,62065,60763,80664,80515,133627,125796,78821,105777
690410,"Building bricks (excluding those of siliceous fossil meals or similar siliceous earths, and ...",0,0,0,0,0,6,65,291,516,920,,1306,1392,916,740,486,441,7421,1048,1457,1297,,2,38,1,13,1,20,66,364,552,1001
540490,"Strip and the like, e.g. artificial straw, of synthetic textile material, with an apparent ...",165,160,166,450,139,67,26,0,215,906,,402,346,400,328,286,364,7479,13555,28951,42675,,16391,15530,18040,14804,13630,13918,16806,13140,14540,19844
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",15,60,168,148,79,32,370,782,648,886,,41018,64756,77231,74595,40277,44471,19473,24458,20464,129471,,139840,111796,117579,104980,116783,133291,135899,127575,106789,159812
283525,"Calcium hydrogenorthophosphate """"dicalcium phosphate""""""""",0,0,0,37,620,2060,4027,5304,4502,886,,206,264,310,1223,6345,7535,10665,10892,11644,8801,,4594,5207,5481,5064,5103,6784,11508,11710,12166,5149
392043,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",59,450,1624,168,257,335,196,1723,682,880,,16695,20507,26533,17135,18278,19687,32520,41695,40314,32549,,11525,16030,14542,8839,7887,9698,9915,11237,9296,20126
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",84,2,11,19,21,201,73,44,46,865,,374314,414057,487797,595878,631338,639350,670850,844899,1120832,1072959,,62607,58852,57540,59446,70541,86148,77722,74212,59413,53144
30499,Frozen fish meat n.e.s. (excluding fillets),6140,9736,9287,9289,10026,2859,984,0,434,865,,482571,302516,346537,355835,349798,374535,473862,459195,436821,471489,,8799,12033,11322,10486,11090,4136,1878,1961,6191,8638
