Product code,Product label,United States of America's imports from Saudi Arabia-Value in 2012,United States of America's imports from Saudi Arabia-Value in 2013,United States of America's imports from Saudi Arabia-Value in 2014,United States of America's imports from Saudi Arabia-Value in 2015,United States of America's imports from Saudi Arabia-Value in 2016,United States of America's imports from Saudi Arabia-Value in 2017,United States of America's imports from Saudi Arabia-Value in 2018,United States of America's imports from Saudi Arabia-Value in 2019,United States of America's imports from Saudi Arabia-Value in 2020,United States of America's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
721790,"Wire of iron or non-alloy steel, in coils, plated or coated (excluding plated or coated with ...",0,0,0,0,0,0,0,0,0,0,,1703,2026,905,398,683,6460,15876,8243,5700,6267,,37492,32204,39415,33868,26506,31135,31060,21848,23229,33671
721923,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,8,12,0,0,3,0,,13139,13998,14974,19267,12662,12322,9920,8453,6483,5419
721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,0,,3225,1962,2231,3170,3570,3337,3382,1360,162,39,,70957,63594,69386,66248,71774,67638,62373,59787,46278,105810
722240,"Angles, shapes and sections of stainless steel, n.e.s.",0,0,0,0,0,0,0,0,0,0,,4511,4026,4998,936,1113,1417,1034,671,13667,40477,,59255,55262,68981,68442,62491,68315,64377,54555,45403,73127
722599,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled ...""",0,0,0,0,0,0,0,0,0,0,,0,698,2208,3803,3098,2665,1825,1078,2186,1361,,161423,202506,238478,220751,205161,181772,227402,163791,152327,221952
722619,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,0,,197,0,83,185,115,211,333,220,169,0,,26965,21401,12224,4846,3727,4809,3989,2377,2128,3671
722720,"Bars and rods of silico-manganese steel, hot-rolled, in irregularly wound coils",0,0,0,0,0,0,0,0,0,0,,8556,2833,1513,327,0,0,0,0,0,0,,145116,150708,152831,121204,89659,51411,47365,39418,36801,70810
730290,"Sleepers """"cross-ties"""", check-rails, rack rails, chairs, chair wedges, rail clips, bedplates ...""",0,0,0,0,0,0,0,0,0,0,,9473,4306,2627,980,6138,18859,45692,13011,9397,13892,,54360,52176,61234,53177,35172,39553,37627,35407,39945,34347
730411,"Line pipe of a kind used for oil or gas pipelines, seamless, of stainless steel",0,0,0,0,0,0,0,0,0,0,,301,1578,5551,9212,2738,3258,968,10711,2172,85957,,38381,38473,75600,74218,55515,57925,46812,38873,21878,14792
730531,"Tubes and pipes having circular cross-sections and an external diameter of > 406,4 mm, of iron ...",0,0,0,0,0,0,0,0,0,0,,96010,29893,2464,8482,31971,10602,13347,1578,2480,7730,,43497,21512,37103,40917,67412,54092,74815,138676,60863,22648
730611,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of stainless ...",0,0,0,0,0,0,0,0,0,0,,63,838,63,201,70,223,14,280,9132,1020,,30711,25862,78801,51016,47404,62735,15386,18013,10128,16173
842131,Intake air filters for internal combustion engines,0,0,0,36,0,0,0,0,0,0,,4197,5764,5163,6722,7500,2857,3051,2258,3514,6244,,393970,380730,404522,418125,419349,449195,499899,488624,449373,573989
842220,Machinery for cleaning or drying bottles or other containers (excluding dishwashing machines),0,0,0,0,0,0,0,0,0,0,,76,0,112,113,30,125,2899,16,0,0,,42259,47548,45562,50027,54770,62433,89922,135404,140689,164092
842240,"Packing or wrapping machinery, incl. heat-shrink wrapping machinery (excluding machinery for ...",0,0,0,0,0,0,0,0,4,0,,498,1185,1560,1149,878,2939,2599,470,16306,766,,663172,721616,847568,863207,893580,939946,1160794,1168347,1418311,1673414
842389,Weighing machinery of a maximum weighing capacity > 5.000 kg,0,0,0,0,0,0,0,0,0,0,,121,60,141,242,275,263,219,16,0,0,,17474,15338,17036,17223,18421,15154,13449,14529,11829,13699
842519,"Pulley tackle and hoists (other than skip hoists or hoists of a kind used for raising vehicles), ...",0,0,0,0,0,0,0,0,0,0,,773,995,138,1194,1027,1114,1007,53,34,3,,100002,104500,106555,110957,99314,103823,131036,117380,102381,139857
842612,Mobile lifting frames on tyres and straddle carriers,0,0,0,0,0,0,0,0,0,0,,635,198,661,1029,2190,2754,845,0,0,0,,18408,26609,37908,63407,28256,80835,131362,113872,126913,145551
842619,"Overhead travelling cranes, transporter cranes, gantry cranes, bridge cranes and mobile lifting ...",0,0,0,0,0,0,0,0,0,0,,8324,2617,8129,8736,12814,22746,11965,27,64,15,,203208,145642,159150,217528,322117,200270,524769,414245,408134,281495
842691,Cranes designed for mounting on road vehicles,0,0,0,0,0,0,0,0,0,0,,76,1593,96,257,281,293,75,0,0,0,,103591,100596,115917,131477,109472,134770,151343,151629,114317,129170
842790,"Works trucks fitted with lifting or handling equipment, not self-propelled",0,0,0,0,0,0,18,0,0,0,,613,1036,1488,860,1585,1714,1052,0,0,0,,104312,116413,142917,146078,131447,134563,253352,189635,131574,168924
842839,"Continuous-action elevators and conveyors, for goods or materials (excluding those for underground ...",0,0,0,0,0,0,0,0,0,0,,326,428,708,2412,1794,4546,2686,26,400,0,,499913,514623,640069,694995,576911,954668,792933,792042,816053,1347261
843039,"Coal or rock cutters and tunnelling machinery, not self-propelled (excluding hand-operated ...",0,0,214,0,0,0,0,0,0,0,,2130,11919,3256,10512,14565,16275,725,16,218,144,,89962,59746,50134,58556,67671,111680,139215,123598,138296,116901
843221,"Disc harrows for use in agriculture, horticulture or forestry",0,0,0,0,0,0,0,0,0,0,,0,0,0,930,0,0,0,0,0,0,,9858,24889,26948,15318,19848,24540,40960,57926,88120,96744
843290,"Parts of agricultural, horticultural or forestry machinery for soil preparation or cultivation ...",0,0,0,0,0,0,0,0,0,0,,391,706,984,1092,301,76,111,8,4,12,,361408,356045,335697,291205,241478,279313,324138,267017,304437,411959
843410,Milking machines,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,546,272,315,0,0,0,,15332,11299,18769,10245,12966,13201,12262,15565,12922,9405
843420,"Dairy machinery (excluding refrigerating or heat treatment equipment, cream separators, clarifying ...",0,0,0,0,0,85,0,0,0,0,,0,375,42,538,624,666,37,6,0,0,,12263,35077,16182,21619,24070,26352,25398,18886,29976,17858
843621,Poultry incubators and brooders,0,0,0,0,0,0,0,0,0,0,,137,0,28,10,55,10,0,0,0,0,,4335,3810,7170,11446,8268,9023,9316,18647,10812,15053
844090,"Parts of bookbinding machinery, n.e.s.",0,0,0,0,0,0,0,0,0,0,,64,329,87,191,539,7,33,0,0,0,,33892,36550,35299,32899,33607,36327,43062,66890,51585,54771
844180,"Machinery for making up paper pulp, paper or paperboard, n.e.s.",0,0,0,0,0,0,0,0,0,0,,177,2986,3007,2043,1955,321,1810,0,0,0,,158252,104202,142981,158925,203776,188593,261015,272055,213461,304562
844230,"Machinery, apparatus and equipment for preparing or making printing blocks, plates, cylinders ...",0,0,0,0,0,0,0,0,0,0,,307,498,387,95,903,1943,1908,15,0,0,,63607,52362,57025,54545,52690,41896,44584,40392,28923,34127
844315,Letterpress printing machinery (excluding flexographic printing and reel fed machinery),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,34,12,0,0,0,,1511,1773,1383,1150,2312,843,1563,2356,2061,1872
844319,"Printing machinery used for printing by means of plates, cylinders and other printing components ...",0,0,0,0,0,0,0,0,0,0,,635,130,469,441,739,373,1392,0,0,0,,199129,208265,239354,243708,293176,301614,275407,289084,215872,261430
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",0,0,0,0,0,0,0,28,0,0,,0,70,3022,69,5481,2389,1602,0,14,0,,4879185,4781578,4773948,4961981,4567098,4560375,4537779,4055266,2768940,2837182
844511,Carding machines for preparing textile fibres,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,6,0,0,0,0,,4006,12990,23806,27956,5382,9837,10858,9515,12316,14719
844540,"Textile winding, incl. weft-winding, or reeling machines",0,0,0,0,0,0,0,0,0,0,,0,0,0,9,2,38,0,0,0,0,,16912,25990,33388,44345,24237,20208,38197,39300,19430,17991
844629,"Hand looms for weaving fabrics of a width > 30 cm, shuttle type",0,0,0,0,0,0,0,0,0,0,,0,0,2868,672,5,23,71,0,0,0,,1092,1865,970,1135,1935,1482,1359,1994,1337,3179
844720,Flat knitting machines; stitch-bonding machines,0,0,0,0,0,0,0,0,0,0,,0,57,0,0,5,41,9,0,0,0,,15853,16186,15094,15160,15871,19459,28468,21463,12348,19613
844831,Card clothing for machines for preparing textile fibres,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,5085,4849,7126,5407,7814,7585,8029,6681,6483,8406
845129,"Drying machines for textile yarns, fabrics or made-up textile articles (excluding machines ...",0,0,0,0,0,0,0,0,0,0,,73,179,611,179,198,120,131,4,0,0,,789159,971501,970095,1065037,1062263,1115312,1007108,1063540,1307534,1633549
845140,"Machines for washing, bleaching or dyeing textile yarns, fabrics or made-up textile articles ...",0,0,0,0,0,0,0,0,0,0,,1290,969,393,132,145,175,258,0,0,0,,9661,14385,15684,13909,11330,24083,15482,15951,13145,17979
845150,"Machines for reeling, unreeling, folding, cutting or pinking textile fabrics",0,0,0,0,0,0,0,0,0,0,,63,0,0,0,3,141,0,0,0,5,,53566,50167,57346,55533,65556,71910,85707,66976,76566,74620
821000,"Hand-operated mechanical devices, of base metal, weighing <= 10 kg, used in the preparation, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,6,33,0,0,0,,146120,150112,153118,168879,165090,165119,170320,128665,154991,177065
821210,Non-electric razors of base metal,0,0,0,0,0,0,0,0,0,0,,0,180,451,227,191,331,125,389,219,372,,420101,430661,493453,550680,507303,505107,459655,432571,390379,483007
821410,"Paperknives, letter openers, erasing knives, pencil sharpeners and blades therefor, of base ...",0,0,0,0,0,0,0,0,0,0,,0,0,90,28,37,22,15,0,0,0,,20653,19918,23766,21521,25263,20406,18789,17411,16257,19575
830140,Locks of base metal (excluding padlocks and locks for motor vehicles or furniture),0,5,2,0,0,0,0,0,0,0,,220,97,27,359,477,735,374,0,11,16,,742675,784280,784800,889600,838260,903779,1034308,1081913,1034749,1094406
830510,"Fittings for loose-leaf binders or files, of base metal (excluding drawing pins and clasps ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,14,7,14,0,0,0,0,,63907,57070,58007,48494,46692,24304,26394,33049,19977,13273
830590,"Office articles such as letter clips, letter corners, paper clips and indexing tags, of base ...",0,0,0,0,0,0,0,0,0,0,,85,0,115,5,52,18,11,0,0,0,,35232,34460,33508,35756,36642,34120,31034,28199,23371,25401
830890,"Clasps, frames with clasps without locks, buckles and buckle-clasps, of base metal, for clothing, ...",0,0,0,0,0,0,0,0,0,0,,201,176,233,102,1025,341,311,75,0,0,,114936,104066,96802,103166,95302,93256,109847,98712,87220,114022
840212,Watertube boilers with a steam production <= 45 t/hour (excluding central heating hot water ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,548,863,63,0,0,61,,6864,5240,10861,6001,7334,10468,19628,13277,11658,7850
840590,Parts of producer gas or water gas generators and acetylene gas generators or similar water ...,0,0,0,0,0,0,0,0,0,0,,5702,466,1208,2002,441,10352,4,0,0,156,,4245,2563,13584,9706,8205,13736,7867,10267,7207,9294
840721,Spark-ignition outboard motors for marine propulsion,0,0,0,0,0,0,17,0,0,0,,82,29,447,59,69,9,222,0,0,0,,617666,696357,811896,806412,856924,982983,1135342,1137217,809036,1261152
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",0,0,0,0,0,0,0,47,0,0,,0,36,252,19,987,492,368,0,0,0,,8787927,8222911,9201082,8898337,8833490,8692647,9145054,8565166,7809376,8222619
840790,Spark-ignition reciprocating or rotary internal combustion piston engine (excluding those for ...,0,0,0,0,0,0,0,0,0,0,,4827,2423,1344,1017,1989,2450,174,0,0,0,,900996,826272,987559,1042192,883416,919052,1038436,983344,914425,809316
840910,"Parts suitable for use solely or principally with internal combustion piston engine for aircraft, ...",12,14,113,62,7,13,151,264,40,0,,35638,46551,87880,70869,24487,34186,48375,0,0,0,,200717,146149,83279,76796,73772,67496,78756,106414,89113,69527
841090,Parts of hydraulic turbines and water wheels incl. regulators,0,0,0,0,0,0,0,0,0,0,,11232,17804,35412,28497,57380,23714,4680,47,0,0,,71781,84193,46124,60761,45993,51170,56393,39759,43975,24516
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",55,20,197,47,20,121,5,0,10,0,,173936,165998,185153,142602,113306,34069,33152,24700,26775,27789,,1502117,1448268,1356109,1377425,1431132,1477190,1724797,1155334,1280969,1728376
730669,"Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of iron or steel (excluding ...",0,0,0,0,0,0,0,0,0,0,,287,100,30,534,4336,29,73,0,0,0,,11629,8259,18116,19094,26303,29058,26661,77964,62339,34132
731021,"Cans of iron or steel, of a capacity of < 50 l, which are to be closed by soldering or crimping ...",0,0,0,0,0,0,0,0,0,0,,47125,46330,32997,31157,36633,29984,54019,32298,32874,32782,,84335,77761,74111,75779,66005,62732,93109,100533,108452,160031
760691,"Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm (other than square ...",0,0,0,0,0,0,0,0,0,0,,29,355,80,4929,8023,1140,1653,281,117,11239,,69568,70328,61776,70700,61596,72868,49711,54103,67289,55690
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",75,0,0,0,0,0,0,0,0,0,,103555,51481,18211,16142,11559,14255,9969,14559,14802,38219,,418464,443318,493023,654673,745174,774316,941194,910318,936820,1219039
780110,"Unwrought lead, refined",0,0,0,0,1314,2283,0,0,0,0,,878,0,458,349,10662,38268,45695,61863,52777,98682,,351051,684476,927348,788788,818131,1220402,1017903,822909,589073,1098875
810930,Zirconium waste and scrap (excluding ash and residues containing zirconium),0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,638,1182,1449,827,866,1200,1515,2856,1290,6532
811100,"Manganese and articles thereof, n.e.s.; manganese waste and scrap (excluding ash and residues ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,128,687,65,0,0,,132153,106807,96710,74617,50402,64028,61998,92186,57604,117367
811213,Beryllium waste and scrap (excluding ashes and residues containing beryllium),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3413,0,0,0,0,,346,3,10,133,11,130,117,0,5,5
811222,Chromium waste and scrap (excluding ash and residues containing chromium and chromium alloys ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,25,0,0,0,0,0,,1976,699,1203,1469,1507,2013,1721,1934,976,696
811229,"Articles of chromium, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,191,0,0,0,,157898,113151,132382,85003,80323,76258,76167,23092,11548,15517
820411,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, non-adjustable",0,0,0,0,0,0,0,0,0,0,,0,0,113,103,187,62,105,0,0,0,,237913,235756,251690,256191,237105,251773,278577,289930,246203,330810
820600,"Sets of two or more tools of heading 8202 to 8205, put up in sets for retail sale",0,0,6,0,0,0,0,0,0,0,,373,30,30,75,533,627,183,0,45,221,,86603,111159,115633,94732,94767,113663,171719,214973,183523,138864
710410,"Quartz, piezoelectric, of synthetic or reconstructed stone whether or not worked or graded, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2754,2525,3077,2061,2260,2788,4401,8556,10445,9209
710692,"Silver, incl. silver plated with gold or platinum, semi-manufactured",0,0,0,0,0,0,0,0,0,0,,0,0,101,4,0,0,10,0,0,0,,677105,1279410,685566,256327,399446,292321,235135,192009,871949,1056126
710700,"Base metals clad with silver, not further worked than semi-manufactured",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,2965,1492,1769,1470,1101,1670,2119,2113,1363,1662
711419,"Articles of goldsmiths' or silversmiths' wares or parts thereof, of precious metal other than ...",0,0,0,29,0,0,0,0,0,0,,3529,507,428,6,333,460,1831,0,0,811,,4217,7721,3780,3791,3618,9051,4976,3650,3895,4685
711711,"Cuff links and studs, of base metal, whether or not clad with silver, gold or platinum",0,0,0,0,0,0,31,0,0,0,,29,0,95,54,27,296,537,0,0,0,,13504,13529,12534,10837,8504,7370,7950,6563,3314,4194
720270,Ferro-molybdenum,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,138774,108348,146851,36677,59623,123210,224604,197783,102558,280930
720521,"Powders, of alloy steel (excluding powders of ferro-alloys and radioactive iron powders "" ...""",0,0,0,0,0,0,0,0,0,0,,356,0,0,0,6,0,0,0,0,0,,100629,97339,110500,91796,90266,107551,119813,105934,88262,126418
731814,"Self-tapping screws, of iron or steel (excl. wood screws)",0,0,0,0,0,0,0,0,0,0,,0,0,0,28,126,26,12,0,0,170,,655483,664440,745007,848779,802771,878787,1022813,1008315,1048748,1364512
731990,"Knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles, for use ...",0,2,0,0,0,0,0,0,0,0,,2435,99,0,559,47,78,3,29,27,139,,13252,14485,13425,15809,15370,17593,19458,18713,17969,20539
732182,"Stoves, heaters, grates, fires, wash boilers, braziers and similar appliances, of iron or steel, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,173,37,1,26,0,0,0,,28210,29105,47849,60545,46456,50978,50075,55857,38259,64599
732392,"Table, kitchen or other household articles, and parts thereof, of cast iron, enamelled (excluding ...",0,0,0,0,0,0,0,0,0,0,,53,0,35,184,83,53,31,0,0,0,,115501,120824,126160,159349,162624,157904,139272,150372,166143,255212
732510,"Articles of non-malleable cast iron, n.e.s.",0,0,0,0,0,0,0,7,0,0,,743,499,121,313,1014,821,1762,1868,5706,253,,267942,244952,238332,221525,189196,202323,247917,217731,167054,246116
740321,"Copper-zinc base alloys """"brass"""" unwrought""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,7,0,0,0,0,0,0,,3522,6420,9837,9687,8465,33495,76883,75272,79419,152216
740710,"Bars, rods and profiles, of refined copper, n.e.s.",0,0,0,0,0,0,0,0,0,0,,1713,0,0,103,4610,22355,16878,3189,5224,3884,,232478,228650,229654,164448,123173,158039,197420,169977,138042,220020
740921,"Plates, sheets and strip, of copper-zinc base alloys """"brass"""", of a thickness of > 0,15 mm, ...""",0,0,0,0,0,0,0,0,0,0,,0,187,159,5045,174,308,0,0,0,0,,89860,81546,79713,61956,55652,71828,83723,61860,66674,160776
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,42,0,81,0,0,0,0,,113368,126263,120550,78565,48585,113157,197479,256893,173644,222529
741022,"Copper alloy foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,656,556,534,679,575,738,645,467,576,551
741110,Tubes and pipes of refined copper,0,0,0,0,0,0,0,0,0,0,,106,132,62,117,155,411,378,54,10,0,,556433,551168,581756,463916,404428,480249,531467,515925,603017,876164
741210,"Refined copper tube or pipe fittings """"e.g., couplings, elbows, sleeves""""""""",0,0,0,0,0,0,0,0,0,0,,0,145,0,371,472,397,105,1185,2506,5366,,73155,75387,102620,101920,132174,175349,195132,238509,174367,232269
741521,"Washers, """"incl. spring washers and spring lock washers"""", of copper""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,,12036,10564,11633,9699,7062,7868,11060,10497,7694,11531
750120,Nickel oxide sinters and other intermediate products of nickel metallurgy (excluding nickel ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18984,14966,17757,19163,8550,6097,8277,4685,7752,4456
750521,Wire of non-alloy nickel (excluding electrically insulated products),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,7,0,0,0,0,,8366,6875,6221,5413,8742,8310,4235,5165,4648,4802
750712,Tubes and pipes of nickel alloys,0,0,13,0,0,0,297,0,0,0,,215,280,1676,1598,2296,0,0,0,0,111,,81479,159482,91474,96560,72029,89459,100181,171684,154281,133439
750810,"Cloth, grill, netting and fencing, of nickel wire",0,0,0,0,0,0,0,0,0,0,,0,0,0,4,1,3,0,0,0,125,,17288,17059,15670,14434,13861,12756,14916,14596,11681,18177
760110,"Aluminium, not alloyed, unwrought",0,0,15326,54614,742,32979,32787,2518,72,0,,7311,353294,1090840,987209,1083300,999936,951749,840479,969837,825857,,2853105,2894340,2889434,2854853,4039318,5972398,4603766,3976626,3595704,5214799
845611,"Machine tools for working any material by removal of material, operated by laser (excl. soldering ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,396236,539296,559979,419107,565962
845630,"Machine tools for working any material by removal of material, operated by electro-discharge ...",0,0,0,0,0,0,0,0,0,0,,29,0,0,0,0,1,3,0,0,0,,126039,140720,142646,155040,151546,150227,160455,144574,99820,119784
845640,"Machine tools for working any material by removal of material, operated by plasma arc processes",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,51618,74103,74262,67016,86130
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",0,0,0,0,0,0,0,0,0,0,,1223,263,205,35,29,177,11,0,0,0,,1087850,904761,904058,865664,624036,694959,931449,950766,599579,598316
845939,"Boring-milling machines for metals, not numerically controlled (excluding way-type unit head ...",0,0,0,0,0,0,0,0,0,0,,0,0,320,100,78,24,145,76,0,0,,3469,3701,7286,2754,2638,3116,2552,2403,1712,2265
845959,"Milling machines for metals, knee-type, not numerically controlled",0,0,0,0,0,0,0,0,0,0,,0,28,123,0,6,10,26,0,0,0,,15852,12874,14155,15364,11977,12430,13630,13242,9608,11565
846012,"Flat-surface grinding machines for finishing metal, numerically controlled",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,58232,53941,73072,52741,41140
846190,"Planing machines and other machine tools for working metals, metal carbides or cermets by removing ...",0,0,0,0,0,0,0,0,0,0,,163,138,177,232,417,330,439,0,0,0,,21085,17951,20045,19114,20676,30280,21537,23193,16679,32941
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",0,0,10,14,0,0,0,0,0,0,,0,0,0,29,76,49,207,0,0,0,,741448,728703,759007,773392,728012,792900,884986,870887,662467,814313
846694,"Parts and accessories for machine tools for working metal without removing material, n.e.s.",3,0,0,0,0,26,5,0,0,0,,2537,492,634,491,557,795,2902,9,0,0,,422405,477023,425127,449986,429871,482992,493097,423443,369578,493601
846880,"Machinery and apparatus for welding, not gas-operated (excluding electric machines and apparatus ...",0,0,0,0,0,0,0,0,0,0,,2394,586,910,1144,415,1179,2055,0,0,0,,25307,18661,23489,23983,17219,24586,24217,19376,14143,20288
847021,"Electronic calculating machines incorporating a printing device, with mains connection (excluding ...",0,0,0,0,0,0,0,0,0,0,,0,230,0,4,34,57,6,0,0,0,,38285,33931,36338,33502,31530,29362,32438,23113,18720,22404
841620,"Furnace burners for pulverised solid fuel or gas, incl. combination burners",0,0,0,0,0,0,4,0,0,0,,339,0,140,6,120,21,823,0,0,165,,42028,35443,44703,52834,51558,52035,63888,66757,52534,52606
841630,"Mechanical stokers, incl. their mechanical grates, mechanical ash dischargers and similar appliances ...",0,0,0,0,0,0,0,0,0,0,,0,59,1308,121,245,64,0,0,0,0,,5511,37282,7919,7740,8152,17457,7888,6889,5855,6041
841840,"Freezers of the upright type, of a capacity <= 900 l",0,0,0,0,0,0,0,0,0,0,,45,36,0,37,281,134,3,0,0,0,,63847,63918,69529,73999,82951,106795,145579,149082,317779,490780
850163,"AC generators """"alternators"""", of an output > 375 kVA but <= 750 kVA (excl. photovoltaic  ...""",0,10,0,0,0,0,0,0,0,0,,1606,886,672,2122,340,338,573,14,75,57,,38885,42165,51795,35199,26731,52850,39156,37571,30298,41048
850211,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",0,0,0,0,0,0,0,0,0,0,,2065,1167,1160,1792,1779,1155,14511,255,333,0,,152484,144540,141219,127604,103496,111246,131584,138261,91411,113030
850423,"Liquid dielectric transformers, having a power handling capacity > 10.000 kVA",0,0,0,0,0,0,0,0,0,0,,13222,1513,1002,3482,1310,7704,8729,7519,2860,24299,,973052,1069456,1015475,1065174,1063780,859303,871301,969575,1138039,1069578
850511,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,3,1078,1518,636,1113,530,0,,400957,332940,306167,290696,284618,319081,406254,391929,329063,508378
850740,Nickel-iron accumulators (excluding spent),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,,5177,3489,2570,1956,1987,1390,4134,4128,4060,2583
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,0,0,0,0,19,0,0,0,0,0,,31,0,0,411,35,21,223,0,0,0,,461840,503291,535755,502569,472683,486049,499229,503343,481127,567812
851120,"Ignition magnetos, magneto-dynamos and magnetic flywheels, for spark-ignition or compression-ignition ...",0,0,0,0,0,0,0,2,0,0,,38,50,0,190,8,10,0,145,0,0,,43834,44066,45964,44281,43378,34775,38172,34277,26871,42855
851190,"Parts of electrical ignition or starting equipment, generators, etc. of heading 8511, n.e.s.",0,0,0,0,0,17,0,0,0,0,,32,209,32,3297,174,243,2750,145,4,0,,429750,502651,493173,452813,393802,387844,418437,434853,343724,359292
851519,Brazing or soldering machines (excluding soldering irons and guns),0,0,0,0,0,0,0,0,0,0,,0,224,148,64,719,2023,878,0,0,0,,37160,42129,44281,42173,51762,52293,70235,67334,67659,75185
851531,"Fully or partly automatic machines for arc welding of metals, incl. plasma arc welding",0,0,0,0,0,26,0,0,0,0,,212,128,811,605,482,363,2777,0,0,0,,171968,168315,162508,197642,207208,206783,230332,213893,154518,178490
851632,Electro-thermic hairdressing apparatus (excluding hairdryers),0,0,0,0,0,0,0,0,0,0,,559,146,292,262,173,267,148,0,0,0,,353839,389957,341319,361203,303776,269284,285119,393935,323298,519389
851672,"Electric toasters, for domestic use",0,0,0,0,0,0,0,0,0,0,,117,100,39,77,278,42,26,0,0,0,,148538,145613,131201,158104,126469,144101,135975,126452,155327,178479
851711,Line telephone sets with cordless handsets,0,0,0,0,0,0,0,0,0,0,,0,1830,168,20,423,238,44,0,0,0,,634849,529677,463079,435727,331716,319673,269333,206831,144086,128880
851810,Microphones and stands therefor (excluding cordless microphones with built-in transmitter),0,0,0,8,0,0,0,0,0,0,,45,465,50,76,220,127,202,0,0,0,,318676,335614,359650,365034,368663,373486,422404,433325,485434,647703
851930,"Turntables """"record-decks""""""""",0,0,0,0,0,0,0,0,0,0,,1782,0,0,50,104,0,73,0,0,0,,30377,33936,48525,70702,92197,65874,67558,93830,85097,127416
