Product code,Product label,Viet Nam's imports from China-Value in 2012,Viet Nam's imports from China-Value in 2013,Viet Nam's imports from China-Value in 2014,Viet Nam's imports from China-Value in 2015,Viet Nam's imports from China-Value in 2016,Viet Nam's imports from China-Value in 2017,Viet Nam's imports from China-Value in 2018,Viet Nam's imports from China-Value in 2019,Viet Nam's imports from China-Value in 2020,Viet Nam's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
521041,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",529,1243,7949,15383,16328,11664,2668,4696,3675,,,266929,270528,267242,282899,224795,197179,216477,192328,98182,100837,,7010,9829,13877,19351,19051,13737,6179,6872,5031,31880
521131,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",560,992,2455,3616,1316,1325,9659,13286,12662,,,15248,31428,41879,53505,48651,60776,50585,66077,46420,70949,,622,1027,2763,4289,1827,2139,11212,14233,13332,18297
521214,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",901,998,211,705,897,1647,3280,3176,1819,,,11899,12495,15707,18497,20024,24752,30188,29163,21226,20949,,1459,1540,1033,1086,1466,2454,3818,3752,2717,4928
521225,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",418,932,698,1280,351,689,2281,1312,882,,,4796,766,1062,895,699,772,1117,689,1008,672,,997,2154,1868,3069,1368,2873,3227,1569,1241,354
530110,"Flax, raw or retted",0,0,0,0,0,0,0,5,0,,,1,0,5,0,7,0,4,5,1,12,,0,0,0,0,0,0,6,9,0,
530290,"True hemp """"Cannabis sativa L."""", processed but not spun; tow and waste of hemp, incl. yarn ...""",0,0,0,0,0,0,0,0,0,,,645,477,427,739,441,229,219,256,1374,3538,,0,0,0,0,14,16,0,8,5,
530929,"Woven fabrics of flax, containing predominantly, but < 85% flax by weight, dyed, made of yarn ...",6669,7433,10689,17611,10064,15019,26673,41304,39346,,,135115,146453,181142,215288,197645,216951,315743,361262,262723,285148,,8417,8729,12950,21392,14507,19582,33735,50730,45789,63808
540249,"Synthetic filament yarn, incl. synthetic monofilament of < 67 decitex, single, untwisted or ...",9855,6987,5354,6409,5354,6217,8361,11957,10740,,,41056,48805,55118,58551,79252,125400,140649,152213,154318,174131,,14893,13098,10956,10091,10732,15967,21530,29993,21962,18937
540252,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, with a twist of > 50 ...",2071,2617,1364,1414,1188,1201,1687,2387,6054,,,33162,35893,31613,32392,28625,29845,41911,57456,39443,55403,,4220,5447,4142,3388,2646,4598,7641,10395,10903,12621
540263,"Multiple """"folded"""" or cabled filament yarn of polypropylene, incl. monofilament of < 67 decitex ...""",0,0,0,0,0,0,1230,1714,983,,,0,0,0,0,0,36772,45223,51513,37210,44673,,0,0,0,0,0,0,1405,1994,1438,5057
540500,Artificial monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm; strip ...,6,21,70,113,120,100,52,110,22,,,2243,2941,4776,2681,2955,2321,2978,2155,1541,2032,,83,153,236,269,238,270,189,476,203,378
540710,"Woven fabrics of high-tenacity yarn, nylon, other polyamides or polyesters, incl. monofilament ...",29233,47827,54707,56536,56799,69955,70291,74507,72706,,,25390,30718,34220,31072,29535,36038,51304,68514,66946,72424,,101120,135434,150177,139392,139129,160514,167916,175678,157919,76242
540741,"Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides, ...",15598,30143,30997,39117,45456,45242,44860,53348,48198,,,110885,102567,89199,195227,211123,198827,253351,173124,38717,63223,,45861,83302,102553,112048,118156,131838,160072,172564,96895,38299
540744,Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides ...,369,1182,2365,2314,1397,3625,1196,990,2110,,,4523,4607,6676,6513,8850,7184,8597,9575,7479,12491,,1327,4279,8123,7972,5429,13340,4088,4325,7021,10223
540754,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",6518,9445,10609,12754,13069,18321,22788,38200,36253,,,1182730,1390935,1584716,1479712,1463377,1653603,2061812,2379450,2129527,2503363,,10987,12620,13824,15764,15204,20824,25727,44866,41069,164964
540821,"Woven fabrics of yarn containing >= 85% artificial filament by weight, incl. monofilament of ...",92,52,248,235,32,266,1894,1846,791,,,24752,26643,28439,26080,23222,29794,40043,35487,22707,29169,,691,486,830,487,156,586,2274,2189,1306,4270
540832,"Woven fabrics of yarn containing predominantly, but < 85% artificial filament by weight, incl. ...",5227,7485,10395,12165,20069,15094,11349,9646,5688,,,736,12329,24494,45138,59602,26974,30505,33918,22567,27881,,10725,14046,20906,21451,29109,26313,23298,22044,15229,22476
550320,"Staple fibres of polyesters, not carded, combed or otherwise processed for spinning",43980,58044,50821,44178,61585,91730,128696,126776,120450,,,940559,990824,1105461,987907,941062,1028400,1237360,1042946,690826,849016,,398599,402203,357705,285783,282716,336388,422910,360035,305463,360428
550340,"Staple fibres of polypropylene, not carded, combed or otherwise processed for spinning",575,250,370,437,242,241,875,1294,2843,,,15353,15623,14146,16257,13988,15843,23618,23209,19620,44028,,6553,5546,4350,4726,4229,4194,5061,4709,4514,4879
550520,"Waste of artificial staple fibres, incl. noils, yarn waste and garnetted stock",0,0,0,1,133,0,0,0,0,,,2400,88,42,30,140,134,459,337,115,873,,0,0,0,1,133,0,0,12,0,873
550931,Single yarn containing >= 85% acrylic or modacrylic staple fibres by weight (excluding sewing ...,300,43,73,91,68,8,154,474,1572,,,76175,93542,75150,54569,42752,35150,42059,33137,17508,22360,,808,1231,277,238,123,143,478,2595,2332,6255
550959,"Yarn containing predominantly, but < 85% polyester staple fibres by weight, other than that ...",228,414,468,570,171,694,978,1365,3418,,,17846,20064,16843,23854,23796,18729,19028,16442,21422,29012,,1596,1944,1391,1461,719,969,1851,2793,3619,3231
551110,"Yarn containing >= 85% synthetic staple fibres by weight, put up for retail sale (excluding ...",1001,2267,2869,5810,9710,5650,1224,1200,936,,,26512,25371,30972,24813,25294,29041,30277,25166,26363,32574,,1565,5178,5793,7150,10570,11230,2547,2165,1380,1384
551130,"Yarn of artificial staple fibres, put up for retail sale (excluding sewing thread)",1122,300,0,5,21,29,0,25,3,,,1409,985,1336,1407,1139,1614,4270,4187,3458,5005,,1958,300,2,18,21,39,2,25,6,215
551299,"Woven fabrics containing >= 85% synthetic staple fibres by weight, dyed, made of yarn of different ...",97445,103936,110149,122825,53925,86669,121419,79941,59080,,,63590,55715,43008,37357,32442,105960,130370,56329,38157,44391,,228126,239256,246809,251615,100080,161604,241540,167403,113100,33275
551321,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",3411,4632,2869,3932,3152,2872,3888,5274,4255,,,535154,584993,573271,611449,450871,371530,323268,336024,355767,327997,,8146,9965,7711,9112,6981,7293,10966,12366,8774,40975
551349,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",27446,25913,29471,24152,30952,34508,34683,21900,11157,,,68502,37363,48801,39449,27528,15033,17453,14902,8562,39278,,59081,48615,51841,45711,50435,56115,60894,43456,20745,34747
551411,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",5540,6980,5848,876,179,50,429,794,422,,,20391,14543,21551,16968,16899,14874,9979,9958,9453,10610,,6806,7847,6836,1689,611,594,874,1861,987,2275
551423,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",533,627,1107,935,591,1005,1777,1872,2197,,,246537,248141,253696,231325,204887,143664,134264,116736,82800,88111,,2501,4527,8907,7209,9027,9964,11473,12880,9758,16630
551621,"Woven fabrics containing predominantly, but < 85% artificial staple fibres, mixed principally ...",196,687,669,1731,3477,2650,1919,1830,2010,,,7186,6286,11615,5034,4731,6699,13024,12479,11767,16285,,1199,1174,1155,2500,3986,3389,2394,2142,2183,782
551643,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, mixed ...",38,211,6,31,856,708,218,725,261,,,4329,4117,4537,5096,16178,27850,29336,16181,11571,12858,,426,409,114,337,3863,8450,2109,1097,423,3719
560130,Textile flock and dust and mill neps,1204,1950,405,716,657,934,1197,939,829,,,8587,11949,11348,10951,12437,14041,15124,16199,14202,17354,,2776,3506,3118,3236,4716,4454,6177,6219,6277,3207
560210,"Needleloom felt and stitch-bonded fibre fabrics, whether or not impregnated, coated, covered ...",311,435,337,465,372,4075,7825,10884,7659,,,55624,115047,69364,105938,67153,71882,88279,82405,83837,108669,,1005,809,668,931,775,10973,23275,26919,17965,12357
560221,"Felt, not impregnated, coated, covered or laminated, of wool or fine animal hair, n.e.s. (excluding ...",11,17,17,54,36,29,23,101,88,,,3589,4243,9916,5187,3280,4324,7495,9165,8676,10672,,23,53,69,90,158,84,69,214,216,950
560314,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",5253,8165,16970,25477,23768,17721,19092,17517,16146,,,116064,138715,137369,137820,152756,167731,182666,217489,222696,233354,,11698,16838,32214,41518,45929,34946,32968,32416,31091,63355
560394,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > than ...",40151,34057,37599,43034,52102,48574,68590,78452,68147,,,263492,306850,364163,401500,397641,385449,453887,486384,496830,639709,,108082,116841,117847,124439,134807,136496,155654,154245,135090,169562
560600,"Gimped yarn, gimped strip and the like of heading 5404 or 5405; chenille yarn, incl. flock ...",854,778,1023,1441,2112,2362,3629,4523,5923,,,96411,119543,132026,111355,98276,112021,163423,177553,160458,205848,,7014,6827,5794,3763,3815,3453,6364,8625,7931,17581
580126,"Chenille fabrics, of cotton (excluding terry towelling and similar woven terry fabrics, tufted ...",24,12,7,126,54,43,20,25,144,,,797,666,1234,4866,785,937,1167,2528,2531,674,,38,12,7,126,54,120,75,45,166,162
580137,"Warp pile fabrics, of man-made fibres (excluding terry towelling and similar woven terry fabrics, ...",35102,59983,97747,123632,111894,6648,7385,5630,5722,,,214003,289480,308338,265634,246809,232515,202016,172731,128777,158356,,35962,60006,97900,123820,112122,7312,7649,6179,6174,11949
580211,"Terry towelling and similar woven terry fabrics, of cotton, unbleached (excluding narrow woven ...",8,37,23,3,7,249,623,716,71,,,517,1275,2069,2368,3770,2877,3534,3331,1074,925,,172,76,225,45,96,319,759,788,122,14
580230,Tufted textile fabrics (excluding carpets and other floor coverings),2507,1801,1898,2757,2296,2224,2483,3031,1808,,,33065,34706,25247,18805,17215,16052,15080,14034,13989,15051,,4044,3112,3247,3258,3088,2624,3227,3844,1906,2610
580631,"Narrow woven fabrics of cotton, with a width of <= 30 cm, n.e.s.",516,605,596,525,426,385,698,1146,1543,,,39020,57150,78266,96979,197297,324956,481088,432813,108212,78811,,2209,1894,2333,1939,1538,1605,2595,2836,3099,15661
580632,"Narrow woven fabrics of man-made fibres, with a width of <= 30 cm, n.e.s.",6035,8811,13246,14880,14583,23122,28661,31518,32771,,,491496,610642,697049,662542,612133,600170,686542,738001,659189,806478,,15544,20897,27922,31383,29403,41463,56709,57436,54987,183551
580900,"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ...",103,90,147,86,304,181,9851,462,628,,,3910,3353,2622,3028,3789,7916,2488,2885,1876,2436,,730,352,539,320,661,699,12319,1110,1233,158
581100,"Quilted textile products in the piece, composed of one or more layers of textile materials ...",786,1227,2713,2626,2742,4178,3528,4551,4339,,,25072,29844,36210,39480,36868,62881,53526,59915,65901,87145,,4066,3820,7723,7538,8549,9829,7046,7183,6704,27768
590410,"Linoleum, whether or not cut to shape",13,29,73,122,194,181,128,44,59,,,637,658,724,238,62,197,205,124,120,1065,,119,217,120,139,209,211,140,46,105,91
591110,"Textile fabrics, felt and felt-lined woven fabrics, coated, covered or laminated with rubber, ...""",329,554,962,1032,1637,1471,1122,1309,2878,,,6629,7423,8896,11530,7360,9236,8812,10166,8866,8994,,6184,6867,5548,4848,8907,13694,8486,7865,8208,20281
591190,"Textile products and articles, for technical purposes, specified in Note 7 to chapter 59, n.e.s.",11463,13353,16831,17967,18382,18537,20752,22485,27782,,,280355,329500,361282,336906,346802,361393,388620,418987,396166,442666,,30400,35501,47327,48180,45827,66426,76398,72784,63618,72716
600320,"Knitted or crocheted fabrics of cotton, of a width of <= 30 cm (excluding those containing ...""",109,17,12,118,65,149,224,235,201,,,1940,1719,3696,2291,10318,17126,7355,21240,75831,53857,,413,85,179,200,122,200,279,439,337,6723
600340,"Knitted or crocheted fabrics of artificial fibres, of a width of <= 30 cm (excluding those ...""",0,0,12,56,20,121,148,694,7,,,3888,150,81,154,137,3018,2465,445,322,1266,,17,14,14,66,35,193,361,814,53,3298
600490,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...""",90239,129760,208329,189584,175320,215132,203523,170964,157545,,,96275,108623,96653,74704,79705,80611,55286,45954,29982,32625,,249325,313555,373474,391111,337075,376178,365147,264801,233585,28085
600531,"Unbleached or bleached warp knit fabrics of synthetic fibres """"incl. those made on galloon ...""",4316,7991,12858,12068,15615,22470,0,0,0,,,116494,139465,172153,170903,143868,0,0,0,0,0,,19486,26422,38200,41252,44984,63406,0,0,0,
600538,"Warp knit fabrics of synthetic fibres, of yarns of different colours """"incl. those made on ...""",0,0,0,0,0,0,4351,3548,2208,,,0,0,0,0,0,30671,36258,31870,32398,30629,,0,0,0,0,0,0,13175,9754,4691,6679
600622,"Dyed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...""",232468,326139,367061,380701,427676,461038,646435,769729,787669,,,1789363,1786651,1700257,1665977,1495374,1663951,1879690,2059828,1754164,2157088,,632906,742651,781027,803148,806724,861355,1131522,1222758,1169585,1259250
600642,"Dyed fabrics, knitted or crocheted, of artificial fibres, of a width of > 30 cm (excluding ...""",8647,12784,29528,23728,29580,65184,50265,57783,59841,,,597982,633656,631250,641178,728513,672141,682246,640475,474283,613417,,35119,33441,59395,47876,50487,93368,76468,79778,90127,190643
610343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, knitted ...",169,317,290,478,465,1004,1124,1647,1933,,,1814201,2095280,1965107,1882627,1579173,1379133,1383494,1388795,1264226,1686957,,315,499,510,1536,911,1520,2450,3047,3500,9213
610419,"Women's or girls' suits of textile materials, knitted or crocheted (excluding of synthetic ...",0,1,1,73,5,21,22,12,52,,,1790,27724,16193,16660,24650,1840,924,851,4475,8277,,9,11,9,97,21,56,122,48,75,414
610422,"Women's or girls' ensembles of cotton, knitted or crocheted (excluding ski ensembles and swimwear)",0,8,0,2,57,3,7,13,50,,,1305398,1037363,607957,371768,299243,263443,244017,210748,235960,311388,,15,50,22,5,75,49,8,13,74,12013
610429,"Women's or girls' ensembles of textile materials (excluding of cotton or synthetic fibres, ...",11,17,8,31,39,2,35,23,117,,,76866,80249,53830,37878,27992,24093,11080,18482,27896,45147,,26,23,18,40,71,22,50,95,144,206
610432,"Women's or girls' jackets and blazers of cotton, knitted or crocheted (excluding wind-jackets ...",58,107,381,149,131,154,376,383,166,,,6028543,7528664,4926917,3269817,2790845,3111986,2841112,2076478,1372612,1984959,,61,135,541,246,272,277,509,525,344,71011
610449,"Women's or girls' dresses of textile materials, knitted or crocheted (excluding of wool, fine ...",210,210,144,654,576,107,274,335,705,,,53576,57100,49740,69645,51134,26234,21640,24985,23110,28273,,443,520,295,913,1068,452,961,1193,1300,238
610590,"Men's or boys' shirts of textile materials, knitted or crocheted (excluding of cotton or man-made ...",194,71,127,139,299,366,135,243,196,,,13766,11387,6173,7790,24561,6026,16631,8056,6137,9203,,416,198,377,482,567,520,266,351,266,330
611510,"Graduated compression hosiery [e.g., stockings for varicose veins], of textile materials, knitted ...",147,36,25,68,4,197,308,454,190,,,2515,2330,5266,4502,5608,10044,14111,13544,11776,12860,,896,891,934,1054,997,1375,1884,1792,1877,1112
611691,"Gloves, mittens and mitts, of wool or fine animal hair, knitted or crocheted (excl. impregnated, ...",1,0,0,0,0,1,7,1,13,,,64286,93937,78780,60525,62939,86206,97767,120070,45566,74355,,1,0,0,1,1,4,8,3,45,121
611780,"Ties, bow ties, cravats and other made-up clothing accessories, knitted or crocheted, n.e.s. ...",4402,5352,5734,10357,5187,9121,11495,10735,9981,,,285247,318035,293433,311060,316219,313966,343962,393631,422767,501881,,9750,8720,11102,14320,8657,13272,16832,16050,14107,30238
620112,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of cotton ...",10,11,16,15,18,36,39,68,92,,,87204,79916,85014,80317,69167,113978,251751,220241,110291,100468,,166,73,109,209,149,395,190,299,182,2664
620213,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made ...",41,6,28,77,159,471,533,786,964,,,1326003,1446004,1521043,1329074,1177466,1391240,1837484,1824903,1292914,1523228,,81,30,72,286,575,945,1140,1328,1464,19230
620230,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks, incl. ski jackets, wind-cheaters, ...",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
620299,"Women's or girls' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles, ...",106,30,42,61,129,136,127,160,544,,,43383,30614,27910,23590,23920,19592,17507,15738,7117,9475,,160,69,65,117,371,233,242,311,657,87
620412,"Women's or girls' suits of cotton (excluding knitted or crocheted, ski overalls and swimwear)",0,0,0,0,2,1,0,3,0,,,9095,14574,12225,1673,616,1768,2332,5130,7384,5642,,0,2,3,4,2,10,5,14,3,63
620413,"Women's or girls' suits of synthetic fibres (excluding knitted or crocheted, ski overalls and ...",1,0,0,0,1,0,2,0,1,,,60152,58832,41359,42138,27172,24514,19008,22495,23009,40498,,20,4,0,0,66,1,2,1,1,91
620432,"Women's or girls' jackets and blazers of cotton (excluding knitted or crocheted, wind-jackets ...",32,44,184,138,92,69,56,98,125,,,935481,1406326,2633218,2787628,3322859,3321173,2896201,2520713,2285912,2511507,,135,218,406,436,409,498,397,632,627,290372
620459,"Women's or girls' skirts and divided skirts of textile materials (excluding of wool, fine animal ...",741,398,435,757,775,537,283,801,297,,,235171,223630,216789,259386,250463,200836,275894,250522,164390,168695,,1529,1159,1250,2189,2778,2033,1259,1766,941,2268
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",414,580,692,684,1190,1200,1399,1873,3503,,,7438737,7807497,8439521,7934020,7649329,7172687,6976929,6135882,4701954,5594135,,1036,2065,2007,2145,4013,4986,6201,7216,8904,226819
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",406,488,747,788,872,745,1169,1660,1730,,,2776944,2865203,2922782,2697951,2321928,2097392,1980717,1575223,941990,860467,,3009,3652,4415,5923,6349,6670,7596,7013,6606,15198
620791,"Men's or boys' singlets and other vests, bathrobes, dressing gowns and similar articles of ...",39,31,28,35,40,15,65,302,186,,,86260,93663,125064,124795,93737,85411,77418,65511,50764,63131,,48,45,30,38,52,42,76,305,196,508
620811,Women's or girls' slips and petticoats of man-made fibres (excluding knitted or crocheted and ...,0,0,0,0,0,2,0,0,0,,,10869,10947,16466,7942,4879,4584,4214,6108,3920,5361,,0,3,24,0,1,5,0,0,0,93
620899,"Women's or girls' singlets and other vests, briefs, panties, n?glig?s, bathrobes, dressing ...",126,127,106,246,142,269,233,232,789,,,61275,58729,74430,66013,62835,46753,92839,36259,26481,26527,,399,182,578,879,263,300,475,260,884,111
621320,"Handkerchiefs of cotton, of which no side exceeds 60 cm (excluding knitted or crocheted)",1,1,7,20,23,48,114,72,66,,,139322,155055,137406,104443,106827,99425,88764,76000,69134,45934,,26,43,15,30,66,98,133,95,73,586
630210,"Bedlinen, knitted or crocheted",4,0,12,5,5,114,967,11661,5109,,,85976,130104,169182,154014,152263,181393,229380,294953,334506,454398,,23,0,16,69,221,121,1006,11676,5132,3576
630222,Printed bedlinen of man-made fibres (excluding knitted or crocheted),10,0,12,394,297,343,644,760,879,,,631574,736076,840105,808053,750899,688126,689732,731460,734905,911444,,126,125,202,684,540,382,666,903,1057,15599
630510,"Sacks and bags, for the packing of goods, of jute or other textile bast fibres of heading 5303",488,72,353,266,229,295,170,213,665,,,6075,4227,7003,6796,5446,4329,5940,5006,5961,8347,,4778,2935,5143,2950,4114,5306,5658,2967,3336,2150
630520,"Sacks and bags, for the packing of goods, of cotton",22,32,6,97,141,68,395,1071,1296,,,37489,39693,44710,42626,46844,50142,69967,57558,43216,52064,,52,354,633,774,997,495,1067,1225,1442,1885
630612,"Tarpaulins, awnings and sunblinds of synthetic fibres (excluding flat covers of light fabrics ...",110,7,41,51,80,128,336,269,1911,,,481811,502751,590538,603505,599134,644285,770027,802377,820415,1116725,,620,24,164,105,733,230,392,309,2051,3770
640291,"Footwear covering the ankle, with outer soles and uppers of rubber or plastics (excluding waterproof ...",534,647,206,102,426,371,736,1912,1738,,,968951,1538803,1958864,1825687,1864315,1942419,1991907,2062080,1576252,2162720,,1146,1306,404,199,998,762,1303,2844,2827,12975
640510,"Footwear with uppers of leather or composition leather (excluding with outer soles of rubber, ...",434,458,488,787,1199,540,1855,5985,7374,,,102635,296667,1166793,1217858,676351,271527,261502,238133,208649,224284,,5161,4975,5016,5180,7640,6899,8122,14249,15000,18017
650500,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile ...",279,191,209,369,1072,1726,1992,2889,2592,,,2375402,2663503,2826143,2922333,2741428,2642616,2813301,2691462,2020481,2543985,,412,473,2340,6555,7382,3784,2807,8669,6784,44381
680299,"Monumental or building stone, in any form, polished, decorated or otherwise worked (excluding ...",3453,5066,4924,5807,3465,3775,4763,5018,7990,,,186067,214968,247502,246776,187642,134893,159045,197749,247623,336003,,3769,5908,5258,6581,4107,4408,5169,5617,10425,5898
680410,"Millstones and grindstones, without frameworks, for milling, grinding or pulping",418,290,225,327,352,520,589,619,273,,,919,923,977,1296,2796,1726,1998,2308,3173,2767,,969,767,1201,1028,978,1274,1856,1954,1679,4847
680520,"Natural or artificial abrasive powder or grain, on a base of paper or paperboard only, whether ...",3607,4086,5085,5598,5986,6386,6974,7770,9170,,,93144,114338,128973,138413,141945,151900,177094,185311,217602,276044,,14583,16089,16606,18213,19288,20150,21123,21485,20840,30948
680610,"Slag-wool, rock-wool and similar mineral wools, incl. intermixtures thereof, in bulk, sheets ...",8104,7152,19038,9092,20773,11548,9856,13432,19211,,,249830,246789,265283,229351,196293,184904,188241,218483,233645,241492,,18420,17379,46636,18307,33139,22271,23032,26326,31078,49926
680620,"Exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials, ...",256,609,534,445,443,656,406,361,610,,,11733,16829,13813,14941,15345,16849,14438,13321,33405,37889,,800,751,1031,792,600,1126,575,529,971,3799
680710,"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch, in rolls",859,660,685,728,515,672,1358,1726,1585,,,24704,24019,28799,34718,26642,24679,26526,28331,34867,31233,,4316,4277,5130,4751,6159,7088,8487,9613,10357,11807
680800,"Panels, boards, tiles, blocks and similar articles of vegetable fibre, of straw or of shavings, ...",561,573,764,958,1125,1751,1506,1366,1968,,,101925,143289,139588,167581,129916,153955,165335,179582,171703,128322,,4360,6732,6695,4941,4636,4710,4622,3843,3451,12328
680911,"Boards, sheets, panels, tiles and similar articles, of plaster or compositions based on plaster, ...",148,212,408,763,2245,1855,844,435,366,,,72835,97497,141953,112541,83088,45980,44402,58655,53999,48556,,10204,13500,16844,21688,30249,29773,33283,17696,11854,17953
681280,Fabricated crocidolite asbestos fibres; mixtures with a basis of crocidolite asbestos or with ...,238,286,91,56,69,22,27,107,311,,,40,150,289,2123,414,474,646,665,570,497,,267,376,226,195,136,48,54,126,326,199
681293,"Compressed asbestos fibre jointing, in sheets or rolls (excluding of crocidolite asbestos)",388,414,317,371,414,424,397,321,344,,,8193,8320,8254,7771,6157,5407,5490,5524,5595,6528,,516,498,358,461,510,549,653,541,789,1161
681520,Articles of peat (excluding textile products from peat fibres),0,0,30,21,86,159,180,247,169,,,14,858,1590,79,1179,239,564,2568,1788,754,,306,20,39,31,100,162,193,257,196,3
690210,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods containing, ...",14013,16039,26233,25372,30959,35438,57512,62470,59213,,,903069,836528,845634,636452,605778,758118,1206295,927485,671586,797392,,18642,19016,29260,29443,35992,42097,67711,73664,64113,41636
690490,"Ceramic flooring blocks, support or filler tiles and the like (excluding those of siliceous ...",1150,1683,187,26,457,535,577,444,255,,,299682,521067,722372,892234,553133,658452,502252,618677,825635,1154369,,1246,1764,207,48,579,579,664,819,494,24614
690730,"Ceramic mosaic cubes and the like, whether or not on a backing (excl. refractory and finishing ...",0,0,0,0,0,0,69,420,255,,,0,0,0,0,0,76759,91194,103155,59103,79296,,0,0,0,0,0,0,389,757,502,3009
691390,"Statuettes and other ornamental ceramic articles, n.e.s. (excluding of porcelain or china)",50,49,54,256,326,422,671,1172,2031,,,763532,641443,582804,592442,420091,424615,468537,517151,498320,635374,,233,137,1133,380,569,557,808,1324,2161,6004
700100,"Cullet and other waste and scrap of glass; glass in the mass (excl. glass in the form of powder, ...",190,220,188,83,117,285,338,3979,542,,,42086,54988,82624,72107,67898,59295,55732,41177,44394,51910,,278,402,562,265,198,544,655,8578,2599,6674
700231,"Tubes of fused quartz or other fused silica, unworked",519,261,115,200,554,508,702,1775,4576,,,42221,33445,29341,30169,27940,32547,40207,50971,36588,30148,,945,618,307,721,735,1521,1355,3603,9354,3300
700521,"Float glass and surface ground glass, in sheets, coloured throughout the mass """"body tinted"""", ...""",441,5742,7192,8817,10581,6299,7462,12464,1589,,,111937,91962,77813,68780,99258,126836,164427,154939,141369,251589,,6867,11792,30823,79468,122213,145646,108807,119419,47061,10831
700711,"Toughened """"tempered"""" safety glass, of size and shape suitable for incorporation in motor ...""",600,891,1464,1305,2575,2751,2340,1675,1959,,,213020,252771,275056,280900,304130,271296,285717,264371,232012,272183,,5909,8379,9298,13996,19718,16451,28048,31794,25608,20352
701337,Drinking glasses (excluding glasses of glass ceramics or of lead crystal and stemware),661,1421,1917,4404,10848,13312,9963,17498,22009,,,988499,983761,916182,958448,923873,877276,895722,1050693,912272,1094674,,8646,10546,13368,18298,26324,31123,26261,33596,35522,109751
701690,"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ...",456,549,269,328,365,471,444,352,1261,,,230592,267384,248367,241738,220618,228345,233456,360025,237934,223226,,2025,2259,2131,2143,1729,2252,2046,1875,3355,5779
701810,"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass ...",278,478,960,1613,1603,1342,1659,2330,2086,,,322550,381783,556684,527547,504595,503898,505867,580565,478722,661070,,837,1504,3153,7866,9175,15650,10846,10437,4213,23165
701911,"Glass fibre threads """"chopped strands"""", cut into lengths <= 50 mm""""",145,241,509,700,1096,1322,1383,1548,1749,,,121980,120292,145798,155201,141694,160517,232689,153872,121881,206634,,968,1177,2697,3204,4254,4438,3891,3836,4353,6471
