Product code,Product label,"China's imports from Korea, Republic of-Value in 2012","China's imports from Korea, Republic of-Value in 2013","China's imports from Korea, Republic of-Value in 2014","China's imports from Korea, Republic of-Value in 2015","China's imports from Korea, Republic of-Value in 2016","China's imports from Korea, Republic of-Value in 2017","China's imports from Korea, Republic of-Value in 2018","China's imports from Korea, Republic of-Value in 2019","China's imports from Korea, Republic of-Value in 2020","China's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
30743,"Cuttle fish and squid, frozen, with or without shell",0,0,0,0,0,17881,4240,3360,745,22813,,0,0,0,0,0,69038,21813,24864,23285,60424,,0,0,0,0,0,502014,528155,861623,662848,899133
843120,"Parts of fork-lift trucks and other works trucks fitted with lifting or handling equipment, ...",21648,23916,29273,28732,28881,34888,35869,27557,23426,22549,,65662,76529,131960,111035,108816,115421,130601,123647,102814,134188,,144307,137972,175928,164667,164057,159695,176411,162691,139592,156600
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",12004,14539,12679,12862,23134,25631,26156,24594,21501,22511,,53334,60096,61784,63646,69430,77317,83122,83780,93745,111194,,440089,487053,511134,405287,407388,479829,505127,433826,443559,522361
481190,"Paper, paperboard, cellulose wadding and webs of soft cellulose, coated, impregnated, covered, ...",12536,10586,10414,5704,9374,13956,13176,14249,24108,22439,,28398,45322,51078,41505,43625,61160,90661,113841,105890,110524,,140522,155679,162247,126468,121040,141552,151334,125264,124090,137988
900150,Spectacle lenses of materials other than glass,13230,12167,11257,17778,49177,159005,44543,24955,22553,22373,,130608,104206,82659,66841,57244,52861,60599,57338,47069,61929,,151132,169854,244020,399332,276178,429984,281127,325098,356044,452084
160561,"Sea cucumbers, prepared or preserved (excluding smoked)",156,0,1903,325,401,711,1389,1937,7108,22204,,8852,16849,6749,13938,8717,10171,4200,3461,8286,20342,,498,1577,4626,7317,5227,3411,5764,14363,22771,57312
600537,"Dyed warp knit fabrics of synthetic fibres """"incl. those made on galloon knitting machines"""", ...""",0,0,0,0,0,43776,34856,26291,20156,22157,,0,0,0,0,0,275850,275770,248955,200228,233376,,0,0,0,0,0,179989,176597,145622,98522,100028
740329,"Copper alloys unwrought (excluding copper-zinc base alloys """"brass"""", copper-zinc base alloys ...""",1710,596,187,80,11,127,7048,46057,12114,22034,,26979,28754,26753,17069,9674,284,2172,40255,4620,5419,,30679,28662,25965,19013,18165,37120,147353,390600,533481,757514
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",4618,5654,7997,12936,11526,6746,8012,7024,14043,21925,,225597,249680,276483,270624,264053,226556,240202,238379,290823,341289,,153616,176016,205005,291787,292713,306991,355832,384046,387326,459065
620432,"Women's or girls' jackets and blazers of cotton (excluding knitted or crocheted, wind-jackets ...",1752,1457,2500,2810,3724,9592,16719,22831,22367,21889,,2461,3098,3005,3101,2677,3384,3243,3133,3087,8583,,42204,49868,54154,53451,51973,63548,73002,82865,78911,100432
722511,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, grain-oriented",92689,86332,45171,84103,44832,16084,1104,20202,7669,21784,,327575,318743,307834,335641,271682,290259,262717,270400,249019,262942,,454744,287287,151445,221257,80600,23143,6623,32507,26507,36395
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",26283,26300,30806,31818,29707,21601,32328,31000,26919,21533,,60806,62228,82807,86569,97188,85516,83452,88089,86430,99164,,362367,376750,412032,358150,341350,409646,458903,447269,441939,446288
870895,"Safety airbags with inflator system and parts thereof, for tractors, motor vehicles for the ...",29194,39452,35511,34741,24226,17361,17032,25194,21156,21508,,166239,203575,232942,163881,173148,178523,169814,169968,127509,142592,,525935,569786,627450,570560,659893,637609,627527,544807,541032,532623
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,82783,87325,84440,66940,86404,46307,27419,20998,16140,21294,,421750,561811,694002,717219,891425,836472,797938,785935,739125,843531,,755905,933823,1120258,1032464,1223137,1513628,1834855,1714995,1929343,2117058
850590,"Electromagnets and electromagnetic lifting heads, and their parts (excluding magnets for medical ...",17370,25099,27884,24125,22353,24914,25592,22500,21318,21123,,44885,63873,73817,99212,124986,134322,148879,130414,130313,156132,,183271,214873,222311,213489,226888,296218,324172,304511,342368,387285
846210,"Forging or die-stamping machines, incl. presses, and hammers",90550,97736,103349,72645,157083,99933,24100,23066,13370,21012,,126132,91452,86924,168861,214933,175319,45543,53505,39757,56672,,815551,628411,558474,452092,462494,480418,381581,339653,297390,291374
481013,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres ...",32501,24107,22757,20169,14685,24323,32874,15125,13975,20980,,189952,147814,130786,116418,111826,128488,157286,144749,136452,165956,,222068,201076,230750,241233,234606,271238,238433,177901,192172,216913
481029,"Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by ...",12244,17557,10445,15118,21078,27751,24055,17887,15404,20903,,39483,37673,37639,23458,55777,78647,63700,61134,52985,57403,,58182,64374,60652,53229,63089,73287,76764,52104,41681,68663
392350,"Stoppers, lids, caps and other closures, of plastics",32971,20025,23039,22919,24381,26034,29624,26206,24575,20879,,45213,46135,53022,54346,69277,73496,88589,108821,95132,98357,,181020,171691,184543,174699,174531,194427,218445,214126,210291,224385
845121,"Drying machines, of a dry linen capacity <= 10 kg (excluding centrifugal driers)",24,41,86,75,65,373,605,5739,9316,20830,,39110,56726,62839,59564,65986,54768,22955,56608,93977,146207,,6211,6783,11478,14025,28840,72337,71855,86637,165981,237113
283329,"Sulphates (excluding of sodium, magnesium, aluminium, nickel, copper, barium and mercury)",451,4030,1160,580,684,878,3342,1716,9076,20661,,4220,9078,7761,8920,3001,11438,9403,6458,17215,25091,,24566,18653,26471,20173,17201,39799,36434,52320,93526,120375
392112,"Plates, sheets, film, foil and strip, of cellular polymers of vinyl chloride, unworked or merely ...",21992,23132,22183,29754,42095,35734,33342,31933,17362,20627,,17907,14550,19430,16934,29552,28820,31003,33336,26003,26969,,127341,149169,166727,177376,178377,153423,151133,158307,164060,151512
721891,"Semi-finished products of stainless steel, of rectangular """"other than square"""" cross-section""""",0,175,7081,8619,3908,34333,25911,13,244,20607,,255,5306,8099,9812,6114,35075,35943,710,586,26344,,49625,7011,12425,12710,22341,371753,365678,194056,1719,141656
392321,"Sacks and bags, incl. cones, of polymers of ethylene",11858,16757,17856,16156,15395,17195,16799,13750,20098,20524,,112588,125539,140123,134753,145406,157305,195701,209674,218848,233330,,118099,118077,122158,107324,105188,118830,118739,109510,114839,114447
220870,Liqueurs and cordials,167,255,98,743,1714,1275,2283,6945,13662,20215,,1340,1939,14082,17994,18297,16806,17324,29489,50069,81200,,10951,15568,20002,15286,16396,25038,46380,118434,109446,136906
901050,"Apparatus and equipment for photographic or cinematographic laboratories, n.e.s.; negatoscopes",1165,13620,27426,11801,14843,20808,8879,14522,17035,20138,,9349,14843,25835,27827,59831,43084,45493,58783,31899,36740,,195592,228104,234410,146807,177539,209811,339340,223313,257796,300659
390430,"Vinyl chloride-vinyl acetate copolymers, in primary forms",5940,5964,6363,6264,8215,8840,9993,10426,13734,20118,,16996,20109,24205,21126,22048,25006,24824,23407,30071,48501,,29465,31442,36829,35083,42467,45586,45657,44706,46615,58205
381010,"Pickling preparations for metal surfaces; soldering, brazing or welding pastes and powders ...",36348,37842,33576,27946,25063,26325,23832,22918,22364,19980,,45835,40994,38492,42314,50397,58619,64727,61229,65390,79686,,176399,153967,144674,127743,118840,133874,147518,135918,146068,159610
720825,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",11039,9028,14485,10802,16889,26732,24115,16983,15690,19888,,72457,67162,85831,83338,86873,110009,134128,120890,80737,125123,,34924,30905,48677,36208,39075,54689,50328,43602,42541,53971
920110,Upright pianos,10080,13601,15576,15662,24756,25126,25695,28088,18760,19858,,5050,3245,3430,4291,4639,4868,9081,11673,10745,12535,,82622,92552,108092,117148,126443,135516,159100,182423,137022,153694
722990,"Wire of alloy steel other than stainless, in coils (excluding bars and rods and wire of silico-manganese ...",21288,26446,29503,19726,17481,20962,22569,44224,34760,19771,,256504,239177,231726,204179,209848,236186,270412,285561,215941,289142,,125529,115805,127124,99156,106077,125011,136215,134846,120265,115778
841869,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture),14910,13012,14802,14692,12659,14365,23421,27023,23769,19762,,214599,182464,171932,176213,194768,193153,210853,198050,196669,225735,,715303,811183,821741,771293,615714,699665,910994,807907,832421,898990
291611,Acrylic acid and its salts,3048,4508,1025,2352,2575,1713,2491,9740,18957,19637,,30039,63300,38226,26117,28100,17395,24386,24162,32329,30971,,82410,75764,54435,28812,22231,44097,31132,56698,54012,56281
391740,"Fittings, e.g. joints, elbows, flanges, of plastics, for tubes, pipes and hoses",6077,16056,16222,16528,14998,12744,20443,23077,17762,19540,,46754,42732,41382,49471,52808,50793,67517,66595,62880,71715,,162870,213815,232234,211583,237514,273883,340915,296763,326763,394705
381400,"Organic composite solvents and thinners, n.e.s.; prepared paint or varnish removers (excluding ...",26452,26827,27418,24760,16464,14710,16910,27763,20272,19349,,112526,122649,129533,141180,120447,140400,161164,158068,146125,177475,,151540,133568,114241,102282,100138,100066,114150,111143,100165,102160
392340,"Spools, cops, bobbins and similar supports, of plastics",11231,14011,19043,17197,20085,19585,22587,24353,21652,19317,,61803,58133,61580,61983,71080,81166,90761,97343,107402,116485,,55378,58006,67375,55790,56990,60554,66873,61565,54707,58564
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",67589,59250,60449,42120,34044,33929,31299,25752,18924,19308,,335733,405344,449818,418359,480304,495151,550927,611385,555282,692563,,138033,131331,136706,104380,93947,91471,93245,84721,62106,59527
740940,"Plates, sheets and strip, of copper-nickel base alloys """"cupro-nickel"""" or copper-nickel-zinc ...""",3312,4677,4827,4854,6571,7886,8750,9775,12893,19225,,18494,33082,26365,27508,24262,42241,67997,63996,47178,74391,,90533,101552,112887,94803,100473,126001,150126,117343,131115,170467
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these ...,13297,17898,18318,15617,15882,21914,21041,19746,16982,19125,,128575,128653,128244,119559,127409,145877,142658,135009,130022,141666,,371509,383255,484890,302506,271487,344971,378702,348425,332408,419283
291413,"4-Methylpentan-2-one """"methyl isobutyl ketone""""""""",1510,50226,46056,26986,26280,29297,16119,10944,7699,18890,,8370,61490,61330,42299,36192,50130,52321,28029,25876,85159,,47945,93299,93835,53622,48500,68314,52786,24114,25645,42748
851521,Fully or partly automatic machines for resistance welding of metals,17510,28063,19238,31438,35121,32785,22010,22593,8876,18825,,48330,82370,126384,153073,147883,78084,72899,73785,70510,66730,,204662,187510,151608,129717,92941,152306,148629,175108,84679,74729
285000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined (excluding ...",8658,7485,7785,6970,6847,8164,11733,11349,17058,18793,,42695,25200,27283,43715,59326,54503,44218,42371,49204,53498,,75894,70029,80750,86391,104146,119686,120286,104761,101069,108608
720429,"Waste and scrap of alloy steel (excluding stainless steel, and waste and scrap, radioactive, ...",6095,10887,9590,13980,10852,11087,20169,15481,6936,18745,,33488,17266,26106,10361,15305,19244,29021,17477,14821,31856,,74341,50407,36721,44451,42251,41660,97550,84705,16774,64519
903120,"Test benches for motors, generators, pumps, etc.",18246,32581,13203,20812,17276,22333,27252,23713,10001,18733,,16752,9148,15288,20679,14634,21245,28464,31311,15776,41883,,466715,458835,489352,549138,434980,606574,630520,551912,541254,427914
721129,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ...""",20673,22296,21678,22750,22943,27545,24447,20240,16311,18715,,93346,91196,103878,100054,80224,108734,102558,89165,76198,109230,,77729,75846,81844,72472,73902,78392,76058,58626,52769,60333
740100,Copper mattes; cement copper (precipitated copper),8021,7450,5418,5017,5786,4438,2900,5447,10314,18583,,26965,23984,29785,24131,26635,22293,21702,18919,23313,35507,,355100,399062,75907,131174,90904,134906,77359,102339,140894,160835
810890,"Articles of titanium, n.e.s.",6746,8314,12928,12627,9741,11011,16758,21284,14233,18555,,91437,186001,126861,38657,85991,50500,48863,68216,55865,65803,,429642,381437,421515,452806,399087,433320,514941,581339,453853,411744
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",301,4162,2621,1788,8056,13721,16963,20127,21868,18515,,104516,181041,118005,43220,47680,37006,62715,53442,45678,54073,,101836,117292,107590,111173,151316,206757,253033,339201,406886,450046
480431,"Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or ...",2380,3882,2989,1561,2044,7959,8127,3731,10066,18493,,22603,23965,6393,6544,6940,6385,4343,4174,4597,3943,,54287,49385,43545,36156,38610,88455,152080,113396,163775,219934
30359,"Frozen anchovies """"Engraulis spp."""", Indian mackerels """"Rastrelliger spp."""", seerfishes """"Scomberomorus ...""",0,0,0,0,0,6923,3611,15248,9171,18337,,0,0,0,0,0,42908,44147,70617,43356,51258,,0,0,0,0,0,86006,107067,80118,87634,138713
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",22653,30741,22627,19365,19674,24527,30864,28420,23309,18207,,274675,254599,284019,233180,212805,233702,243740,224146,161382,188260,,240448,246679,260544,202122,189353,208756,240762,198285,169856,157790
854320,"Signal generators, electrical",11967,14037,12389,8292,6422,7597,7910,14447,18465,18036,,14639,20114,14107,10146,16712,46512,13152,16804,20973,24192,,179614,160973,221958,196222,196231,197043,288322,393445,362245,433907
731021,"Cans of iron or steel, of a capacity of < 50 l, which are to be closed by soldering or crimping ...",3038,3732,3927,3799,6176,8830,11033,10230,17996,18027,,647,530,1232,1522,2019,2086,2881,3498,5874,9304,,21015,21378,22500,20549,23670,28400,36776,30473,38961,40283
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",6641,6052,5581,4733,4376,7367,11166,19573,18754,18010,,19181,19396,17934,12995,12591,25404,19644,17036,17719,18892,,147553,187819,192567,207179,207732,214218,254173,262339,223499,272603
846620,Work holders for machine tools,50913,45545,70473,55045,38971,38931,44929,27803,19620,18003,,49891,69158,41507,50021,47793,57322,74744,58386,62029,70268,,321693,295462,381208,307630,275031,335021,353332,276300,247825,261283
560392,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 25 ...",2632,6152,5491,3168,2657,6015,12483,10090,19156,17975,,29681,37074,36295,30077,28451,26971,29956,31525,34928,32610,,94117,99621,123065,129876,112988,143023,155238,124951,167142,143719
721069,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",169438,168022,167077,179703,156142,169654,109805,26875,19933,17969,,288847,268475,281011,290745,324950,460224,439119,223046,182308,417338,,216217,224958,220112,235586,224844,214197,147557,57989,45416,43791
30389,"Frozen fish, n.e.s.",34682,30868,19130,25092,33384,35343,19287,30908,24734,17887,,152866,162090,130060,106225,94442,69089,60990,66709,56342,56426,,497989,466369,514618,449128,482037,442065,600675,881678,824804,594696
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",10583,10508,12678,11366,13042,7012,10153,8793,11227,17883,,153117,183125,216800,230823,269492,404757,422980,253454,2173694,2046666,,982850,1042503,1042001,1125483,1438742,1542126,1785607,1919631,1795822,2063956
392049,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",13791,12160,12068,10176,9321,10499,12449,10415,12825,17833,,120860,123006,117184,114034,110612,124335,117136,116246,137989,156947,,90847,101670,93775,76405,76543,99970,120412,97862,96019,110441
320810,"Paints and varnishes, incl. enamels and lacquers, based on polyesters, dispersed or dissolved ...",67984,47271,43189,39175,29799,31417,30754,25956,18841,17601,,38274,38379,36626,31702,30504,29642,29591,28621,30313,35865,,150476,140165,138192,141730,115978,128582,105747,97162,92782,89835
391732,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",14584,16990,19059,14203,16839,16201,17382,14312,18040,17599,,48116,44133,43400,44935,57462,61199,74554,73007,73897,94820,,175810,177841,202438,186348,207272,239338,270413,268619,289201,364637
292090,"Esters of other inorganic acids of non-metals and their salts; their halogenated, sulphonated, ...""",758,1064,2891,3188,4608,7815,10920,12898,12173,17548,,62190,65824,80480,73777,67046,73270,40217,29170,26220,35868,,126740,114429,104201,125387,125188,132085,156878,120847,95031,127022
480100,"Newsprint as specified in Note 4 to chapter 48, in rolls of a width > 36 cm or in square or ...",61559,44214,19225,19430,18158,65810,68130,30872,16682,17477,,427202,464095,434507,362105,388840,267061,288124,111360,48838,48291,,83533,67091,27301,30600,29813,169064,295148,243459,267559,336309
281290,Halides and halide oxides of non-metals (excluding chlorides and chloride oxides),24905,18382,15773,15087,25513,25439,26724,22711,27160,17443,,107105,93291,93907,122555,152374,174288,190601,177858,187003,188697,,49440,41343,38981,47003,57867,60641,52976,44183,50738,41989
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",3368,4309,3071,3035,2328,5094,8858,6531,9553,17223,,25720,36055,21918,14109,18819,19409,21833,16012,13669,19247,,36463,47674,58826,62022,67417,82028,97392,99995,107787,126691
853229,"Fixed electrical capacitors (excluding tantalum, aluminium electrolytic, ceramic, paper, plastic ...",11418,13478,19765,17104,9859,9196,11139,13816,19283,17204,,59561,55769,76126,69114,66796,90908,115848,108479,139094,153588,,232340,209303,196882,191067,123762,115486,129588,139253,122531,101302
903290,"Parts and accessories for regulating or controlling instruments and apparatus, n.e.s.",36519,19359,24581,23154,26232,29670,27605,19857,20182,17123,,140667,96968,105716,63874,62890,41715,43996,58779,71736,74862,,885335,670976,645027,488299,503836,542293,533376,471914,474747,454773
560394,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > than ...",19552,17005,19465,13656,23105,20941,16886,15854,15174,17038,,135706,130161,120945,95626,99712,90105,95513,86273,76277,92461,,111484,107660,127842,126119,149739,155380,159893,143539,155784,175471
280800,Nitric acid; sulphonitric acids,7380,16231,11369,7705,8668,15942,16156,21859,18103,17012,,55488,63669,58059,52259,54037,59875,73358,71813,73690,107165,,10520,19408,13768,10643,12172,19351,20117,34985,23439,22951
841899,"Parts of refrigerating or freezing equipment and heat pumps, n.e.s.",28832,21983,22443,13554,12152,13505,14397,10317,14265,17000,,414931,631492,658113,558738,552298,581851,453921,402655,443221,562673,,109987,101256,102458,84312,79865,82928,100260,92229,104452,129333
940540,"Electric lamps and lighting fittings, n.e.s.",9477,10123,12239,14780,11508,15879,16138,21925,15239,16979,,549964,576775,635576,470168,393341,277235,268303,215228,168005,157891,,198624,208852,254188,271474,276128,254842,285169,240196,225452,243877
854160,Mounted piezoelectric crystals,98746,122272,123334,95765,54683,20558,15306,12456,12004,16914,,65531,88013,76222,71257,66373,71716,78423,73415,75434,124140,,2690805,3015527,3298085,3083081,3801458,3532248,3351729,3197478,3393225,3567869
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",453,1269,4080,5338,8194,3993,5544,11756,27944,16884,,77042,80985,144259,177533,189336,226986,125386,98315,131673,221513,,311243,340489,399352,394048,396794,504272,494064,606132,579603,590995
850239,Generating sets (excluding wind-powered and powered by spark-ignition internal combustion piston ...,0,0,34,21,3,2650,10,0,3,16874,,35188,10070,16226,8979,5519,34054,7193,10480,5954,7116,,187503,179731,259672,66413,57513,95721,93533,79265,127054,143086
291737,Dimethyl terephthalate,9061,3522,10053,7409,11746,16793,17115,13993,11111,16799,,27656,17084,20237,17029,34033,48757,50442,39603,29627,44776,,35010,22911,28921,16412,14938,21899,29011,19189,13530,23158
281129,"Inorganic oxygen compounds of non-metals (excluding diphosphorus pentaoxide, oxides of boron, ...",719,1398,2277,2778,3958,4870,4838,6958,9374,16794,,3331,3874,5548,8202,8491,15310,11851,17359,31260,48328,,10173,11806,15190,14853,25365,37335,40373,36806,38958,56207
840310,"Central heating boilers, non-electric (excluding vapour generating boilers and superheated ...",11009,16333,18278,29268,51554,47086,26495,22469,22469,16513,,115288,134579,147351,128754,162250,147192,147471,141983,147140,184543,,133712,197014,246471,219337,259069,365468,324043,278818,203571,226936
854099,"Parts of thermionic, cold cathode or photo cathode valves and tubes, n.e.s. (excluding parts ...",33663,31703,25099,21966,17594,17103,20307,19095,15531,16497,,2808,2211,2073,2137,3708,2809,1780,2252,1361,2949,,49739,41757,34373,29473,24392,24117,26798,26009,21772,21909
901832,"Tubular metal needles and needles for sutures, used in medical, surgical, dental or veterinary ...",997,778,1878,4518,2920,3875,7029,11758,12832,16325,,53503,59464,65219,73879,84935,103146,100560,105564,109808,149808,,86173,94049,122749,135374,205595,314024,381667,410028,387160,507591
290512,"Propan-1-ol """"propyl alcohol"""" and propan-2-ol """"isopropyl alcohol""""""""",20338,15610,10755,14983,9180,8122,9301,11331,23347,16297,,80388,73283,64999,57624,59547,88010,97060,107819,183679,154364,,151993,175178,128438,112267,100086,114052,143389,130222,102819,97413
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",146947,154026,133303,166925,171535,105218,35662,27910,21249,16208,,241166,212978,201075,225900,218814,148717,79597,71573,86539,99993,,303667,492030,744105,1357243,1287360,1422645,1244642,1063237,803827,581508
280920,"Phosphoric acid; polyphosphoric acids, whether or not chemically defined",2897,3888,15689,30155,27830,10799,3919,6448,8273,16034,,23047,19429,43643,68400,54844,15407,16493,20399,19995,28744,,19293,20066,29858,52111,46874,56684,39269,22824,37015,41348
293590,Sulphonamides (excl. perfluorooctane sulphonamides),0,0,0,0,0,5208,5395,5852,11374,15983,,0,0,0,0,0,31389,59516,38490,41826,54910,,0,0,0,0,0,325373,208490,403004,366452,424698
540752,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",45213,43351,40069,34392,29437,29285,23002,24067,14197,15976,,208912,223288,228626,200697,197064,169429,162565,147346,108242,127297,,180081,170854,152597,137193,126220,121365,119657,115708,87215,112699
854710,"Insulating fittings for electrical purposes, of ceramics",14198,13806,15677,14588,14593,15128,14644,15136,13234,15935,,48503,54412,57587,54195,54845,56835,53660,53109,56818,59555,,60165,67072,65112,74357,63008,80884,88722,94104,95402,99152
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",11975,17994,18275,13335,10434,15137,12667,6298,213712,15862,,90155,103859,99936,92312,88528,102874,105087,91828,702336,295602,,74955,108270,131008,124399,128459,161591,193280,214128,1206717,225641
750890,"Articles of nickel, n.e.s.",5546,6196,3931,2178,3147,3300,5099,8021,14635,15848,,10899,8631,10161,8306,8377,9801,14489,14634,12520,17304,,135852,126189,128578,149766,141995,149913,202044,261971,148689,153749
392330,"Carboys, bottles, flasks and similar articles for the conveyance or packaging of goods, of ...",10375,18206,17176,16454,16353,14777,21142,22474,20228,15837,,154609,149482,145422,148342,171433,200193,225522,223992,183151,188272,,70326,78765,79391,77607,80429,88693,103471,96753,81386,75870
152000,"Glycerol, crude; glycerol waters and glycerol lyes",3790,9409,4565,2507,2610,2157,4467,5273,5756,15719,,3782,9956,3736,2816,2665,2914,5353,5234,6626,18589,,136333,213800,276142,153759,142216,227084,423947,301037,268428,543498
851150,Generators of a kind used for internal combustion engines (excluding magneto dynamos and dual ...,94656,118321,127558,143614,167561,113930,108030,68031,43385,15708,,132114,130504,112191,109154,263628,227429,221305,168536,136320,142660,,187481,223946,220775,220371,276725,243245,306708,322469,320007,337278
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",4196,4479,7720,7449,8380,20840,1500,4432,30226,15675,,89647,119777,139378,153965,99696,115619,102003,118648,102883,98169,,735799,712943,640239,577651,299025,600377,813475,765651,1105442,1191701
842123,Oil or petrol-filters for internal combustion engines,24592,28551,24721,21924,26055,22339,23413,18572,17896,15660,,78063,78605,82156,80203,83717,88454,91237,76262,74194,96965,,232116,255173,249685,202140,189360,211569,234776,209360,190057,200030
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",108061,114646,79038,57340,56570,58424,37023,15599,62614,15552,,729660,688373,604948,510396,466910,487078,550968,404777,459548,756471,,1098826,996878,895326,754332,680548,867874,807264,681616,899797,645959
820770,Interchangeable tools for milling,16000,17281,15916,14922,16935,22499,22687,17354,14329,15464,,120981,117333,142015,185450,198206,203821,203904,205313,163963,189353,,173419,166299,196518,193910,196188,241093,251593,219760,196451,206391
490199,"Printed books, brochures and similar printed matter (excluding those in single sheets; dictionaries, ...",1188,1719,2699,3319,3330,1642,4922,6242,9468,15409,,100360,99719,91952,80795,76820,79308,97405,85180,77486,116586,,185305,239810,237066,264950,316103,361251,444249,454862,413444,397400
690919,"Ceramic wares for chemical or other technical uses (excluding of porcelain or china, articles ...",5357,6766,9045,12949,12675,12583,11040,8851,13902,15338,,40594,55446,131576,251232,205591,228573,218461,182235,167055,219902,,64784,83121,118457,111653,136171,184494,206209,213745,257005,373473
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",3603,2864,4001,4969,5389,4948,7900,7388,9670,15323,,63875,62224,71841,76239,76577,76595,86871,90742,92086,126895,,180074,242041,387239,419409,388770,429059,600950,719565,672148,786965
731822,Washers of iron or steel (excl. spring washers and other lock washers),30311,32555,34727,31356,27022,22490,20410,17114,16570,15316,,11314,17097,21682,25999,32642,33986,33052,35034,35308,39747,,258647,262491,280843,251814,254943,272431,280254,265592,252946,270248
293369,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, ...",10454,13738,12201,9968,14075,8787,10440,21417,20695,15271,,18175,28024,24486,26435,35952,28597,34908,51170,53397,61504,,51178,51778,60479,62752,78451,86583,86247,103692,103497,88608
740322,"Copper-tin base alloys """"bronze"""" unwrought""""",11862,15899,14796,9806,11345,14772,15473,9310,10554,15222,,23888,27407,26828,20456,18199,23868,32333,31257,22082,29839,,82742,77468,66208,42069,34172,42869,50370,43414,54096,98509
846490,"Machine tools for working stones, concrete, asbestos cement or similar mineral substances or ...",25456,8599,7181,2408,17184,21649,42709,8493,5288,15209,,23167,7545,9808,12434,88928,21379,22819,25192,26013,16751,,257584,216855,283769,130171,141272,205313,261064,179938,134718,148411
830160,"Parts of padlocks, locks, clasps and frames with clasps, incorporating locks, of base metal, ...",28851,34209,33046,32481,34171,25580,30929,23273,19454,15157,,138398,162167,108885,105876,116003,116666,116982,99417,79582,86726,,190299,202957,211556,182762,208773,202379,211328,190590,224836,205310
391110,"Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes, in primary ...",51974,63244,78371,70702,54929,22475,17768,14373,15523,15139,,274438,271587,350495,323721,285237,317566,316941,268905,280534,324295,,209150,224650,252159,238849,196746,134563,142456,121374,122717,130909
722920,"Wire of silico-manganese steel, in coils (excluding bars and rods)",7705,13170,15589,14928,17095,19851,21005,15068,15595,15114,,2148,1175,380,82,36319,60287,63122,43190,35652,45885,,29410,41160,40899,38242,42625,47427,47360,35132,35912,35914
