Product code,Product label,"Korea, Republic of's imports from Saudi Arabia-Value in 2012","Korea, Republic of's imports from Saudi Arabia-Value in 2013","Korea, Republic of's imports from Saudi Arabia-Value in 2014","Korea, Republic of's imports from Saudi Arabia-Value in 2015","Korea, Republic of's imports from Saudi Arabia-Value in 2016","Korea, Republic of's imports from Saudi Arabia-Value in 2017","Korea, Republic of's imports from Saudi Arabia-Value in 2018","Korea, Republic of's imports from Saudi Arabia-Value in 2019","Korea, Republic of's imports from Saudi Arabia-Value in 2020","Korea, Republic of's imports from Saudi Arabia-Value in 2021",Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
721899,Semi-finished products of stainless steel (excluding of rectangular [other than square] cr ...,0,0,0,0,0,0,0,0,0,0,,6243,6566,1803,6687,745,637,1477,32,19,3,,2388,9394,6640,4302,336,1772,1755,2192,1738,1648
721914,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",0,0,0,0,0,0,0,0,0,0,,349,68,0,44,29,71,30,0,57,0,,33424,73626,152170,85128,80033,99198,88533,80407,63961,34203
721924,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",0,0,0,0,0,0,0,0,0,0,,49,91,0,5,25,0,0,0,0,0,,2128,1984,1604,1880,5072,5244,7855,4137,2174,3592
722300,"Wire of stainless steel, in coils (excluding bars and rods)",63,63,0,0,0,0,0,0,0,0,,24786,24057,23752,28259,19912,42395,48587,25805,13628,16811,,84596,78809,86768,79132,67344,65761,73915,79382,64716,103288
722519,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, non-grain-oriented",0,0,0,0,0,0,0,0,0,0,,347,75,0,108,146,0,466,0,0,0,,34669,32665,56051,37220,34366,41897,50819,37240,34696,78501
722530,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...",0,0,0,0,0,0,0,0,0,0,,1436,4265,4265,2426,2638,9676,10208,14882,10554,1829,,184137,246856,311250,232389,432965,675103,439209,342515,164382,388853
722540,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...",0,0,0,0,0,0,0,0,0,0,,0,0,28,0,14,21,4,0,0,0,,477662,440214,508781,265493,203160,196124,291342,205209,132295,202810
722611,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,0,,71,0,0,3,0,0,0,0,0,204,,3464,2052,5567,4558,2744,3467,3398,1651,983,596
730300,"Tubes, pipes and hollow profiles, of cast iron",0,0,0,0,0,0,0,1552,0,0,,83511,64812,36922,63457,63665,33829,26154,29876,26587,49563,,9251,8123,8674,6959,5428,6888,6582,5445,5614,2513
730419,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excluding products ...",0,0,0,0,91,18,0,0,0,0,,150907,91751,146079,123957,75329,110447,136696,25807,19853,32244,,349430,318800,269006,197695,126259,124116,148979,142966,86418,100081
730449,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, ...""",0,0,0,0,0,1,0,0,0,0,,38,368,1406,907,4080,3813,1632,31064,5013,488,,243309,269657,252644,185913,122307,119142,167252,179712,116914,128187
730539,"Tubes and pipes having circular cross-sections and an external diameter of > 406,4 mm, of iron ...",0,0,0,0,0,0,0,0,0,0,,575,374,124,1398,1499,5935,28520,8898,1685,1217,,739,2708,13534,2855,1967,470,121,2551,186,138
730619,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of iron ...",0,0,0,0,0,0,0,0,0,0,,2456,819,2011,7517,3259,7017,1342,881,64,259,,9745,4736,6144,2043,3715,476,1070,1264,809,1145
730640,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excluding ...",0,0,0,0,0,0,0,0,0,0,,2926,7108,316,403,1672,2196,767,81,288,57,,41286,44977,57292,31968,24903,29596,23569,32549,24824,34050
730661,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron ...",0,0,0,0,0,0,0,0,0,0,,4723,7074,8055,9023,6573,4033,3152,2852,3533,3821,,26905,31241,43377,47465,56006,77160,58268,54530,35562,96123
730840,"Equipment for scaffolding, shuttering, propping or pit-propping (excluding composite sheetpiling ...",0,0,0,0,0,0,0,0,0,0,,2896,4446,4662,5852,10031,18507,22658,3969,5329,538,,15814,22895,40659,19206,25889,26068,29577,30383,17798,27446
731010,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material, ...",0,0,0,0,0,0,0,0,0,0,,1642,1991,3178,2301,3969,3634,2325,5258,1514,908,,17712,20548,22027,28876,51274,56906,82797,85619,93623,120358
731029,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material, ...",0,1,0,0,0,0,2,0,0,0,,10751,7769,8684,10093,6556,11270,3428,1548,63,135,,74498,77126,81792,89389,93330,105711,121015,112398,110403,121372
731290,"Plaited bands, slings and the like, of iron or steel (excluding electrically insulated products)",0,5,0,0,0,0,0,0,0,0,,1808,2699,4024,1813,5030,6162,3302,13427,4091,1142,,17428,18638,17128,16729,9133,8551,6124,5180,11613,5134
731512,Articulated link chain of iron or steel (excluding roller chain),0,0,0,1,0,0,0,0,0,0,,0,100,48,475,1954,1014,19,8,20,3,,17594,17044,23838,17312,14624,17971,16715,18958,17306,24796
731520,"Skid chain for motor vehicles, of iron or steel",0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,3,7,0,0,3,,1046,1239,1302,549,833,478,559,471,496,409
731600,"Anchors, grapnels and parts thereof, of iron or steel",0,0,0,0,0,0,0,0,0,0,,584,1833,646,175,359,1907,878,74,0,0,,21740,18500,14984,25836,15374,10734,4908,4811,7555,4701
732290,"Air heaters and hot-air distributors, incl. distributors which can also distribute fresh or ...",0,0,0,0,0,0,0,0,0,0,,59,834,0,269,189,153,208,263,195,244,,3334,2991,3178,5141,4782,3981,5949,5969,4386,5094
740313,"Copper, refined, in the form of billets",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,52,273,0,0,0,0,,41316,33670,33475,23623,19746,20642,19741,16382,16156,21746
741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",0,0,0,0,0,0,0,0,0,0,,0,0,330,8,0,0,0,0,374,0,,414899,416170,406755,356444,394377,482347,450358,422769,431357,603367
741529,"Rivets, cotters, cotter pins and the like, not threaded, of copper (excluding spring washers ...",0,0,0,0,0,0,0,0,0,0,,109,0,0,205,2,2238,7,5,0,0,,602,765,948,1363,651,585,712,663,406,641
741533,"Screws, bolts, nuts and similar articles, threaded, of copper (other than screw hooks, ring- ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,10,149,834,562,18,24,3,,1464,1593,1315,1058,1531,1773,1702,1719,2798,3789
741539,"Screw hooks, screw rings and the like, threaded, of copper (excluding standard screws and bolts ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,497,18,2,0,0,0,0,,2007,2130,2626,2324,976,495,401,611,716,884
750300,"Waste and scrap, of nickel (excluding ingots or other similar unwrought shapes, of remelted ...",0,0,0,0,0,0,0,0,0,0,,8029,37873,38098,21222,28019,35479,32119,43654,31093,57839,,2366,2328,3545,5635,5570,7510,9829,10807,15207,19686
750620,"Plates, sheets, strip and foil, of nickel alloys (excluding expanded plates, sheets or strip)",0,0,0,0,0,0,0,0,0,0,,0,0,71,75,249,1,64,0,0,0,,61613,65292,63037,66971,46346,46021,53728,63355,61407,72051
750711,Tubes and pipes of non-alloy nickel,0,0,0,0,0,0,0,0,0,0,,250,373,165,0,38,0,0,76,120,34,,680,189,413,138,212,1105,11296,427,267,602
760421,"Hollow profiles of aluminium alloys, n.e.s.",0,0,0,0,0,0,0,0,0,0,,14760,20639,17812,19870,13882,11410,12477,9856,10804,12102,,4505,5808,2279,1689,2470,17591,30828,27435,14089,21590
760900,"Aluminium tube or pipe fittings (e.g., couplings, elbows, sleeves)",0,0,0,0,0,0,0,0,0,0,,3474,103,0,65,69,341,213,65,99,92,,9723,8830,9592,15227,10890,11405,12282,12561,15229,21694
761300,Aluminium containers for compressed or liquefied gas,0,0,0,0,0,0,0,0,0,0,,58,614,539,1287,985,818,544,0,0,0,,22201,8373,6245,11246,14561,12431,14500,8843,9832,12824
761410,"Stranded wire, cables, plaited bands and the like, of aluminium, with steel core (excluding ...",0,0,0,0,0,0,140,9,0,0,,753,393,1684,1123,7500,522,9362,2805,1464,10089,,279,871,840,496,659,1964,3706,644,419,1210
810199,"Articles of tungsten, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,0,3,0,3,0,0,0,0,,26304,20981,22465,22414,18267,21660,23664,18444,20193,27567
810299,"Articles of molybdenum, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,12,1,0,0,0,0,,60139,49677,42694,24942,15771,22767,26208,25288,19858,23790
810390,"Articles of tantalum, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,72731,56508,56602,61045,49904,72108,76211,78436,72561,90782
810520,Cobalt mattes and other intermediate products of cobalt metallurgy; unwrought cobalt; cobalt ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0,30,0,0,0,,74708,51335,58950,59845,46180,95531,120703,57504,52570,107057
811212,Unwrought beryllium; beryllium powders,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1,0,6,6,3,0,1,6,2,6
811221,Unwrought chromium; chromium powders,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,14115,12560,14649,8439,10153,11211,17140,10564,9447,13985
811292,"Unwrought niobium """"columbium"""", gallium, indium, vanadium and germanium; powders and waste ...""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,50735,81746,74583,56301,24180,21144,67245,24453,14880,65998
820231,"Circular saw blades, incl. slitting or slotting saw blades, of base metal, with working parts ...",0,0,0,0,0,0,0,0,0,0,,0,28,0,18,4,6,0,0,0,0,,5086,3457,3909,3950,4302,5776,5113,4488,5230,6180
620590,"Men's or boys' shirts of textile materials (excluding of cotton or man-made fibres, knitted ...",0,0,0,0,0,0,0,0,1,0,,1520,2403,4084,6158,1699,140,107,0,0,0,,27453,22569,21041,30883,32339,33709,33423,31550,26494,27324
620690,"Women's or girls' blouses, shirts and shirt-blouses of textile materials (excluding of silk, ...",0,0,0,0,0,0,0,0,0,0,,481,750,121,82,65,507,548,0,0,3,,13066,14124,13932,19553,21139,22178,26561,25767,25422,29525
621132,"Men's or boys' tracksuits and other garments, n.e.s. of cotton (excluding knitted or crocheted)",0,0,0,0,0,0,0,0,0,0,,2336,457,2633,3336,12413,6393,2200,492,380,307,,30012,25279,25006,19821,18457,15437,21104,20008,17382,23455
621430,"Shawls, scarves, mufflers, mantillas, veils and similar articles of synthetic fibres (excluding ...",0,0,0,0,0,0,0,0,0,0,,0,144,41,121,55,68,6,134,79,39,,17287,16650,15548,15981,14480,16243,19871,16852,10778,11319
621440,"Shawls, scarves, mufflers, mantillas, veils and similar articles of artificial fibres (excluding ...",0,0,0,0,0,0,0,0,0,0,,34,0,0,31,78,28,5,0,0,0,,4264,5283,6041,4055,3964,3129,2590,2021,1571,1241
621520,"Ties, bow ties and cravats of man-made fibres (excluding knitted or crocheted)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10,0,0,0,0,,1452,1635,1699,1731,1902,1911,2069,2067,1588,1450
621710,"Made-up clothing accessories, of all types of textile materials, n.e.s. (excluding knitted ...",0,0,0,0,0,0,0,0,0,0,,176,55,279,1227,579,754,602,0,0,0,,12401,14276,15532,14853,14585,17314,19393,21648,26178,31123
630231,"Bedlinen of cotton (excluding printed, knitted or crocheted)",0,0,0,0,0,0,0,0,0,0,,36,0,0,3,70,121,92,0,0,0,,5462,4767,7020,11920,14410,21325,19355,23316,22550,23651
630293,"Toilet linen and kitchen linen of man-made fibres (excluding floorcloths, polishing cloths, ...",0,0,0,0,0,0,0,0,0,0,,0,50,209,178,34,61,5,0,0,0,,1874,2033,2156,1880,2384,4024,5671,10548,6627,8300
630419,"Bedspreads of all types of textile materials (excluding knitted or crocheted, bedlinen, quilts ...",0,0,0,0,0,0,0,0,0,0,,0,57,0,249,89,109,153,252,0,6,,2293,2148,2000,3114,2549,2985,2778,2865,3324,3481
630420,"Bed nets, warp knit, antimalarial",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,7,12,29,134,50
630491,"Articles for interior furnishing, knitted or crocheted (excluding blankets and travelling rugs, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,110,186,72,44,0,98,22,,175,399,474,693,1317,1842,2633,3117,4222,4285
630493,"Articles for interior furnishing, of synthetic fibres (excluding knitted or crocheted, blankets ...",0,0,0,0,0,0,0,0,0,0,,0,57,173,155,459,20,76,9,8,28,,5169,7931,12580,10466,9341,10699,15060,12083,15833,27877
630619,"Tarpaulins, awnings and sunblinds of textile materials (excluding of synthetic fibres and flat ...",0,0,0,0,0,0,0,0,0,0,,0,500,0,25,13,35,140,227,229,52,,1448,2120,1427,1382,1592,1245,1457,1054,1923,3985
640320,"Footwear with outer soles of leather, and uppers which consist of leather straps across the ...",0,0,0,0,0,0,0,0,0,0,,288,31,173,57,262,33,47,0,0,0,,2880,618,3480,5699,7681,11611,6061,2183,877,1097
640690,"Parts of footwear; removable in-soles, heel cushions and similar articles; gaiters, leggings ...",0,0,0,0,0,0,0,0,0,0,,0,120,78,83,56,9,46,0,0,0,,12495,15698,17647,18017,18116,20231,18551,17810,16107,20443
650200,"Hat-shapes, plaited or made by assembling strips of any material (excluding blocked to shape, ...",0,0,0,0,0,0,0,0,0,0,,0,39,0,19,1,0,0,0,0,0,,363,164,370,674,144,347,139,120,91,160
670100,"Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,7,0,0,0,0,0,0,,468,235,491,186,299,892,767,877,705,1034
670420,"Wigs, false beards, eyebrows and eyelashes, switches and the like, of human hair, and articles ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,15603,17216,18439,18765,17654,18130,19896,20616,19271,22541
680291,"Marble, travertine and alabaster, in any form (excluding tiles, cubes and similar articles ...",0,0,1,56,0,0,0,0,0,0,,190,658,200,81,5293,44,0,0,0,4,,43941,27126,33260,27549,63141,89171,92397,90287,95155,107429
680422,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",0,0,0,0,0,0,0,0,0,0,,0,0,61,361,289,866,1648,1191,700,1705,,83958,77828,88516,81858,82918,86554,83874,77307,67942,89287
680919,"Boards, sheets, panels, tiles and similar articles, of plaster or compositions based on plaster ...",0,0,0,0,0,0,0,0,0,0,,8365,7653,8125,10047,10622,5676,7702,7889,4798,9951,,4374,9086,7331,3565,5290,8742,2729,5634,11161,10168
681099,"Articles of cement, concrete or artificial stone, whether or not reinforced (excluding prefabricated ...",0,1,0,0,0,0,0,0,0,0,,1357,1402,858,1544,871,10061,10763,10473,9261,7167,,3354,7244,6114,9948,29677,38389,71278,76297,68672,94094
690310,"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,43,0,0,,40746,24271,22564,22093,16538,20232,25089,33248,22980,15123
690510,Roofing tiles,0,0,0,0,0,0,0,0,0,0,,2295,2465,3869,6079,2667,3023,2446,2430,1793,2132,,7414,8982,13171,14530,17609,16957,14178,11307,10442,16381
690723,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,334,,0,0,0,0,0,120730,111375,90912,84230,91415
690810,"Glazed ceramic tiles, mosaic cubes and similar articles, whether or not square or rectangular, ...",0,0,0,0,0,0,0,0,0,0,,1425,1723,1071,1464,767,0,0,0,0,0,,2092,2648,3490,4167,4313,23,0,0,0,0
350110,Casein,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,,26960,34735,37237,30173,23243,27842,24486,27956,31398,36379
350220,"Milk albumin """"lactalbumin"""", incl. concentrates of two or more whey proteins containing by ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,24680,31666,25157,27207,21239,20739,21498,27675,40254,60915
370120,"Instant print film in the flat, sensitised, unexposed, whether or not in packs",0,0,0,0,0,0,0,0,0,0,,0,128,0,18,0,0,0,0,0,0,,16011,8110,7717,7641,9769,3499,6201,5366,4468,9497
370241,"Photographic film """"incl. instant print film"""", sensitised, in rolls, unexposed, without perforations, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,16,42,204,0,0,1
370298,"Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,59,,642,1053,802,47,78,72,44,70,323,219
370320,"Photographic paper, paperboard and textiles, sensitised, unexposed, for colour photography ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,60,0,0,0,0,0,0,,8013,11826,13793,13386,12457,11152,10994,9429,6275,6587
370710,"Sensitising emulsions """"for photographic uses""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,4684,5458,3385,3073,4068,4387,4596,4617,3818,4108
380110,"Artificial graphite (excluding retort graphite, retort carbon and goods of artificial graphite, ...",0,0,0,0,0,0,0,0,0,0,,67,414,0,57,430,281,1614,0,0,1,,267664,301237,283311,233544,139382,169974,207766,210377,173339,196762
380510,"Gum, wood or sulphate turpentine oils",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,9,0,0,0,0,117,,110,104,214,82,33,151,222,193,144,119
380610,Rosin and resin acids,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,11,0,0,5,0,0,,49125,60632,64007,47837,39558,38069,32979,22191,24936,31217
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",0,0,0,0,0,0,0,0,0,0,,11056,13098,13706,11462,12811,7936,10227,5450,3103,4447,,67181,61581,60100,87160,87053,84353,82116,82521,57172,58117
380992,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,63,1,74,44,0,0,0,,5377,6415,5642,6492,7663,8225,9826,12528,11874,8815
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,0,0,0,0,0,0,0,0,0,0,,275681,329007,331889,222795,202302,239543,247465,217414,272490,573373,,60856,142122,55146,54646,86459,84684,65340,62108,41421,59572
382311,"Stearic acid, industrial",0,0,0,0,0,0,0,0,0,0,,0,0,32,33,17,5,0,37,0,3,,78610,62512,71861,58486,58544,69177,61229,50647,57692,101788
382478,"Mixtures containing perfluorocarbons """"PFCs"""" or hydrofluorocarbons """"HFCs"""", but not containing ...""",0,0,0,0,0,0,0,0,0,0,,0,39,0,0,84,56,87,0,0,0,,11616,10357,11793,14542,28176,51067,67290,40670,35507,55835
382482,"Mixtures and preparations containing polychlorinated biphenyls """"PCBs"""", polychlorinated terphenyls ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,334,0,0,0,0,,2,0,0,0,0,23,34,21,0,1
382485,"Mixtures and preparations containing 1,2,3,4,5,6-hexachlorocyclohexane """"HCH """"ISO"""""""", including ...""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,245,0,0,0,0
382510,Municipal waste,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,1,15,0,0,3,17,0,2,0
390461,"Polytetrafluoroethylene, in primary forms",0,0,0,0,0,0,0,0,0,0,,0,0,0,51,841,82,154,12274,317,1714,,105072,82251,81652,67922,66976,90059,87765,69351,73615,96349
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,0,0,18,0,0,,0,0,0,0,0,0,0,0,0,9718,,0,0,0,0,0,47250,85011,83481,50033,55609
390770,"Poly""""lactic acid"""", in primary forms""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3795,415,0,0,0,,7176,9743,7242,8427,9674,10830,14626,18032,23568,34951
390890,"Polyamides, in primary forms (excluding polyamides-6, -11, -12, -6,6, -6,9, -6,10 and -6,12)",0,0,0,0,0,0,0,25,0,0,,3573,1380,811,932,1831,887,443,146,304,186,,119923,106482,115264,168700,107767,114133,117743,115154,97087,140780
711890,Coin of legal tender,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,12545,6827,12009,10910,9046,18962,80007,41973,20786
720150,"Alloy pig iron and spiegeleisen, in pigs, blocks or other primary forms",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3984,27467,0,0,0,,8,17,0,86,78,531,2283,7,0,14
720291,Ferro-titanium and ferro-silico-titanium,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,11507,12949,21359,19077,12975,17609,19776,13528,9055,25778
720293,Ferro-niobium,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,167635,163255,184822,183953,160223,156032,169789,182691,145494,196063
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",0,0,4,0,0,27,13,137,0,0,,0,0,0,0,0,571,1802,1144,83,0,,4061232,3339632,2828226,1313016,1236048,1700149,2238712,2013531,1108587,2145777
720529,"Powders, of pig iron, spiegeleisen, iron or non-alloy steel (excluding powders of ferro-alloys ...""",0,0,0,0,57,0,0,0,0,0,,450,1840,0,66,10,244,127,35,0,11,,106968,106605,106643,97176,78493,92765,100749,98463,85036,114680
720840,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,138,67,5,29,0,0,344,,3500,2314,1608,1633,359,162,90,108,339,52
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",344,0,0,0,0,0,0,0,0,0,,59524,5475,1343,1110,1926,3050,4499,1409,468,9,,2605090,1432869,1770176,1097640,823972,424911,649165,880151,556407,935264
720852,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...",0,0,0,0,0,0,0,0,0,0,,1209,1522,2213,3298,781,226,533,12,19,1162,,34031,45538,47205,32740,30783,18313,28724,48119,11691,28074
720854,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...",0,0,0,0,0,0,0,0,0,0,,0,208,170,37,94,1378,72,0,0,4,,2768,378,999,515,425,455,3043,3006,94,1081
721011,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,0,,9941,3422,5455,5754,4414,1764,57,85,311,7256,,4323,4322,6041,5090,5322,4344,4241,3889,2955,3340
721090,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,0,,8989,5453,3789,8774,1705,3395,7262,8213,3891,166,,141666,110863,118767,83230,95837,102652,117825,115206,77553,117424
721250,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,7,0,0,0,0,,71,0,0,3,1,0,884,308,559,1,,15169,11860,12591,14658,17142,13723,13893,12836,10963,12396
721260,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,53,51,0,0,0,,40049,41163,40179,27320,25977,24469,23724,26405,20752,23589
721590,"Bars or rods, of iron or non-alloy steel, cold-formed or cold-finished and further worked or ...",0,0,189,0,0,0,0,0,0,0,,0,0,0,0,0,164,153,216,109,155,,59738,89899,89812,99304,84923,85917,76829,59275,43104,78998
721622,"T sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or extruded, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,5,31,28,0,0,0,0,,0,0,3063,3292,323,0,2,0,258,0
721631,"U sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, ...",0,0,0,0,0,0,0,9,12,0,,386,0,35,162,268,429,271,21,3,71,,23012,27824,19941,16888,13580,30292,39894,38596,33658,46344
700719,"Toughened """"tempered"""" safety glass (excluding glass of size and shape suitable for incorporation ...""",0,21,0,0,6,0,0,0,0,0,,826,370,369,617,1124,4260,11016,32170,4775,7887,,670306,993871,566448,471414,391058,362164,241303,258008,308600,377048
701190,"Glass envelopes, incl. bulbs and tubes, open, and glass parts thereof, without fittings, for ...",0,0,0,0,0,0,0,0,0,0,,1058,768,620,1045,953,761,65,8,0,0,,5096,4805,4731,5746,5622,4853,4985,3410,2553,2703
701310,"Glassware of glass ceramics, of a kind used for table, kitchen, toilet, office, indoor decoration ...",0,0,0,0,0,0,0,0,0,0,,18378,16958,18133,27863,20509,16506,15131,12329,7899,11587,,4719,3548,6025,6787,6484,3616,2671,2369,1622,2051
701342,"Glassware for table or kitchen purposes of glass having a linear coefficient of expansion ...""",0,0,0,0,0,0,0,0,0,0,,0,61,29,26,14,0,10,0,0,0,,885,832,1239,1188,5931,6530,6012,9154,11377,15190
701952,"Woven fabrics, incl. narrow fabrics, of glass filaments, of width of > 30 cm, plain weave, ...",0,0,0,0,0,0,0,0,0,0,,63,0,0,5,107,62,3,0,0,0,,86775,83940,79720,84571,82837,90976,88185,92968,101656,124665
701959,"Woven fabrics, incl. narrow fabrics, of glass fibres, of a width of > 30 cm (excluding plain ...",0,0,0,0,0,0,0,0,0,0,,198,35,126,2225,53,42,151,6,0,341,,23154,33284,28880,34566,34209,35811,35280,33227,34676,37954
710210,"Diamonds, unsorted",0,0,0,0,0,0,0,0,0,0,,0,0,0,611,0,110,0,0,0,0,,0,523,0,218,308,0,0,58,1,7
710221,"Industrial diamonds unworked or simply sawn, cleaved or bruted",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,165,0,0,0,0,,3147,3787,3642,3022,2807,2854,2547,2401,1508,1729
710231,"Non-industrial diamonds unworked or simply sawn, cleaved or bruted (excluding industrial diamonds)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,279,283,92,555,81,54,50,105,108,9
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",0,0,0,0,0,0,0,0,0,0,,336,1650,262,590,1283,107,185,541,1964,2076,,32046,24374,23720,15588,16950,28813,10322,1966,17290,10807
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",0,0,0,0,5,0,0,0,0,0,,0,2055,4847,2675,1724,8937,11122,21407,3818,324,,342722,262520,271479,296581,298806,977018,265136,208158,249929,1071474
