Product code,Product label,Russian Federation's imports from China-Value in 2012,Russian Federation's imports from China-Value in 2013,Russian Federation's imports from China-Value in 2014,Russian Federation's imports from China-Value in 2015,Russian Federation's imports from China-Value in 2016,Russian Federation's imports from China-Value in 2017,Russian Federation's imports from China-Value in 2018,Russian Federation's imports from China-Value in 2019,Russian Federation's imports from China-Value in 2020,Russian Federation's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",22522,17191,10053,9508,9406,8822,11104,13445,14667,29322,,615357,647960,681182,667042,578724,613176,705560,787468,798439,1045906,,252252,247508,209209,167729,160315,169723,180218,190648,195723,270020
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",24113,24084,31161,19464,21453,22576,25288,20714,21768,29313,,899908,1053014,1146637,1261062,1302183,1490105,1603571,1784986,2083829,2478975,,353920,375005,340309,221521,253198,263115,255390,239122,228581,273398
721691,"Angles, shapes and sections, of iron or non-alloy steel, cold-formed or cold-finished from ...",12318,12438,10458,5364,4757,4713,5531,12003,15637,29201,,66968,69252,79509,79884,76648,97310,105089,129891,170864,295749,,42186,39443,40238,17201,11906,27611,20551,28147,26890,46877
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",78016,80874,73555,48031,41839,46446,41769,39089,26484,29173,,2776944,2865203,2922782,2697951,2321928,2097392,1980717,1575223,941990,860467,,173117,190766,186271,125584,125829,157341,154407,148008,109593,120386
851810,Microphones and stands therefor (excluding cordless microphones with built-in transmitter),7960,7654,10250,6510,7599,9211,14282,18318,22584,29138,,888526,915011,994321,989436,880906,924884,1041230,1220484,1759859,1788007,,20616,22755,24148,14628,15485,21298,30543,35251,38310,47027
950490,"Tables for casino games, automatic bowling alley equipment, and other funfair, table or parlour ...",51762,49264,41921,17758,20868,25558,35401,30558,30142,29092,,1985279,1499474,1377446,1244301,1008557,1437851,1561616,1483361,1655633,1682090,,77342,71717,65076,39418,42922,44728,59424,56273,52554,53289
960910,"Pencils and crayons, with leads encased in a rigid sheath",12222,14229,15280,8843,14457,16123,21700,22866,19179,29092,,337254,363271,434990,482951,511999,504613,529300,512660,403353,379856,,16233,18367,20152,12535,18968,21471,27353,28108,24984,35816
732219,"Radiators for central heating, non-electrically heated, and parts thereof, of iron other than ...",4057,7403,9874,9889,21865,35408,34602,30513,21719,28917,,27521,27093,28119,31476,33554,40213,48542,54467,57992,91821,,120501,139597,139595,103277,101049,128312,123266,117604,94377,97021
851150,Generators of a kind used for internal combustion engines (excluding magneto dynamos and dual ...,14036,15240,17660,8982,10857,14516,18253,22088,18283,28800,,265362,295455,362441,313032,318818,362003,390404,373316,352832,438975,,105386,119272,106202,65215,71614,95402,108426,104518,93509,124142
854110,Diodes (excluding photosensitive or light emitting diodes),7767,7264,27583,13147,10204,15202,19607,17336,17784,28681,,1908403,2508753,2826450,2554477,2055089,2139155,2334318,2377114,2587145,3022485,,46701,19337,42810,26190,25765,35892,46953,40407,40595,53688
830160,"Parts of padlocks, locks, clasps and frames with clasps, incorporating locks, of base metal, ...",18661,14456,10679,7057,9037,20242,24847,25573,21653,28640,,651995,789582,933084,790485,760854,803626,905284,854390,862996,1025319,,53641,50344,42589,26408,26696,43770,54145,54567,47727,61765
841932,"Dryers for wood, paper pulp, paper or paperboard",9892,6304,7438,7701,9019,8120,14075,19965,6992,28615,,28873,35616,45747,78100,62160,63170,97223,100903,58847,103996,,65774,69093,42283,25836,37190,53933,34426,41162,49242,72799
730830,"Doors, windows and their frames and thresholds for doors, of iron or steel",173833,165219,170511,51222,62278,68447,50134,34398,32889,28614,,991344,1201583,1119414,935885,782726,892732,912863,912493,926443,909447,,246113,246188,251032,90458,124998,130725,121247,102421,104788,121479
551219,"Woven fabrics containing >= 85% polyester staple fibres by weight, dyed, made of yarn of different ...",77951,30806,21616,18622,19488,22526,24751,26033,22021,28505,,494318,591144,703530,781049,727773,701121,814699,886447,779450,874338,,100201,76374,72541,29491,27103,32201,34296,35278,29218,38268
820551,"Household hand tools, non-mechanical, with working parts of base metal, n.e.s.",25451,27105,25054,18463,15956,17850,22147,22528,22164,28426,,491895,569678,589306,647869,583926,635522,753902,991206,932570,1217622,,30616,64675,29479,20994,18641,20927,25968,26797,26538,34207
730630,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel ...",40153,36229,36675,20316,23590,18309,24035,22168,22163,28386,,682537,734973,872012,946110,888917,945642,1016785,952338,927774,1456044,,102078,84153,78957,41679,48465,51131,55203,48140,48741,62676
850211,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",27771,30205,30690,16342,17482,19846,22297,20898,22140,28332,,618343,732608,785198,770647,562075,553558,585543,599213,552935,656455,,98690,83873,72758,35155,37322,41979,41141,40719,42470,53186
680422,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",22192,19335,20986,15020,12702,17333,21524,19748,23475,28327,,302723,355805,494016,524588,521494,585147,647365,672511,750624,877429,,63233,83118,56070,38480,36365,47784,53251,53791,53919,64387
920710,"Keyboard instruments, the sound of which is produced, or must be amplified, electrically (excluding ...",29682,31543,27178,11798,15234,18243,18175,21538,20892,28300,,350376,343338,349551,333604,359807,351433,390045,458820,545415,578000,,39309,42649,38035,17797,21469,26265,28902,34443,32022,42198
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",10348,14493,13830,11767,16902,19266,22712,25992,29951,28071,,771978,907903,1065063,899762,952054,1167260,1391730,1380999,1524513,1532421,,101212,129492,126811,98294,137831,156287,174655,203992,215502,200851
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),3181,3789,7001,5423,8230,12721,16590,17185,18205,28012,,2541808,4121556,3083793,3224546,3141353,3201159,3542204,3827190,4612890,5603617,,52552,40185,50327,40790,48161,61363,76107,72765,73673,85584
611241,"Women's or girls' swimwear of synthetic fibres, knitted or crocheted",31172,33089,37616,26603,25048,27717,33185,39955,23735,27998,,830648,935515,1121070,1154223,1193955,1275000,1407048,1403739,1101280,1483675,,56780,63911,65222,40957,38216,47391,64160,75345,47208,56861
841840,"Freezers of the upright type, of a capacity <= 900 l",10816,13482,13865,7238,8953,13925,8990,12524,18159,27964,,182797,224372,245959,233013,241590,295180,347685,340520,513875,588533,,58346,81732,71802,49381,52725,54566,53958,56715,77233,84981
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",50481,62200,60893,35356,31628,40904,34215,30851,24916,27921,,3794415,4701628,5328200,4982465,4386915,4195984,4137774,3677689,3092265,3879118,,145406,172306,166260,111156,116542,134954,128104,121674,95549,101811
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",16782,10295,9065,8917,7829,12161,19289,22884,27682,27850,,543519,631661,662524,888867,927284,911187,1096229,1169958,1302842,1351545,,54661,40744,38336,30113,32427,54775,80948,97339,130748,187326
847431,Concrete or mortar mixers (excluding those mounted on railway wagons or lorry chassis),55085,65276,63346,23207,10776,19010,17244,17526,18126,27822,,263944,297102,325123,255501,221079,214153,229080,252751,223991,245829,,200314,226309,197797,65216,38853,47001,56622,43009,55987,76023
291990,"Phosphoric esters and their salts, incl. lactophosphates; their halogenated, sulphonated, ...""",6444,9986,10574,10156,7864,9535,13202,16704,17150,27754,,339638,365381,423258,390247,356073,421757,481241,477822,447962,872227,,8821,12361,19418,12133,12644,15614,17081,18719,19467,32447
441192,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...""",41921,47398,70800,17328,25249,27044,30966,25461,24240,27716,,181285,157839,166271,133275,127587,116339,114036,91653,80419,87726,,81386,68099,94344,35721,60115,70562,75198,67067,73544,88822
611011,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of wool, knitted or crocheted ...",33866,30088,24406,11905,15135,18818,22718,22964,21487,27655,,850395,959295,1203474,1286852,1205361,1044309,1022690,935211,761147,901987,,78788,75144,64930,37466,46004,64992,79456,79397,71039,87872
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,4592,3406,2967,3112,4990,13361,18928,20161,24380,27591,,702754,785053,898515,895376,846606,958962,1113123,1213701,1146693,1271219,,153572,159641,152403,114000,123462,138762,152318,141166,146823,170814
251990,"Fused magnesia; dead-burned """"sintered"""" magnesia, whether or not containing small quantities ...""",36395,33885,27832,35125,29280,32581,43794,43601,42145,27565,,611892,529323,618178,540285,460777,621074,1039032,768157,570197,839612,,62260,58749,54094,50538,47554,52701,67094,66309,61762,50985
731511,Roller chain of iron or steel,18316,18803,15005,10046,14110,17227,16995,16453,16783,27486,,579652,665109,712337,647675,599535,651304,691482,623443,665554,827581,,40439,44201,41857,32484,40563,46321,48424,52656,52171,69264
721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",3865,2330,3210,4105,5696,4661,10357,10851,13400,27455,,73569,85577,126450,112754,110383,126634,179876,189603,189772,221853,,52184,51086,40783,22686,33298,37725,40028,31716,32134,47955
570330,"Carpets and other floor coverings, of man-made textile materials, tufted """"needle punched"""", ...""",11182,14128,17847,10635,10798,15004,19344,25816,23513,27434,,756268,879844,995920,961553,990369,1073633,1241185,1153942,1141701,1201848,,93986,90070,81711,40203,30782,42329,46861,55198,46373,56975
391400,"Ion-exchangers based on polymers of heading 3901 to 3913, in primary forms",17927,17707,18215,15805,17479,22146,26585,27086,22241,27370,,180840,191861,211217,202560,183207,207725,233844,269992,269654,280508,,53371,52491,52884,40503,35711,47943,53801,54857,48775,67226
850153,"AC motors, multi-phase, of an output > 75 kW",17826,15142,16225,14449,17069,20030,28166,30846,33399,27202,,362398,380203,417863,401260,363606,418076,460883,531977,483709,624883,,176332,177132,114289,94176,123273,241923,207451,159416,164519,141010
852910,"Aerials and aerial reflectors of all kinds; parts suitable for use therewith, n.e.s.",16805,15668,19403,10794,11082,20529,24223,27236,23936,27198,,1475950,1169766,1161599,1074688,950899,944634,985768,927153,890831,946969,,128728,104545,95893,43028,64161,86245,59493,60219,54533,65148
610230,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",7199,8536,12312,13385,13275,16916,18236,19570,19735,27116,,443976,386639,474157,506565,488324,402272,491950,573662,422050,533353,,12603,12756,19333,21497,22835,29192,30243,34533,34332,44935
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",1320,2189,2186,2175,2458,19598,27156,19785,24813,27006,,1806044,2100562,2671167,2616412,3216610,3772956,3214479,2605054,2711790,3540136,,11916,18166,14591,14987,14619,41004,38913,32947,36215,39694
760421,"Hollow profiles of aluminium alloys, n.e.s.",10086,15547,16512,13443,11576,27296,30250,23798,26204,26924,,1467823,997718,1589383,1992174,1624752,1184756,1440637,1542168,1460148,1673898,,91652,104583,95943,64274,65050,88868,93775,100678,98530,128339
901780,"Instruments for measuring length, for use in the hand, n.e.s.",20060,20989,21408,12652,14197,18640,20719,21632,20207,26811,,437868,441983,505464,516188,487014,485533,510785,492218,479613,553367,,33631,30775,30966,17811,20414,26440,29233,30147,27036,36045
600632,"Dyed fabrics, knitted or crocheted, of synthetic fibres, of a width of > 30 cm (excluding ...""",37251,42376,20966,17018,23117,16617,16318,17597,18289,26803,,2132265,2627949,2988621,3242442,3368970,4121852,4388844,4350558,3349565,4372604,,66517,57026,36808,28191,33577,26712,31850,32885,40725,57657
900490,"Spectacles, goggles and the like, corrective, protective or other (excluding spectacles for ...",35268,33055,39158,15890,12473,16847,16357,18636,27623,26791,,960608,1143758,1184680,1180537,1311596,1332492,1379582,1437365,1882079,1418210,,58297,56416,51104,23546,28693,28749,27264,30547,40726,40620
610462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton, knitted ...",32505,38241,38928,21814,22592,21935,18206,18752,16643,26719,,4794612,4971838,3544678,3011955,2490833,2391979,2216934,2192816,2103621,2928627,,83330,103273,100368,69245,75905,92228,93809,97759,95928,156822
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,10759,16601,15389,17421,14418,21132,24953,20651,20239,26679,,986552,950921,1035167,923415,999944,1079758,1264949,1097369,1073270,1230606,,545316,576811,540958,388832,361691,417079,431446,410596,460306,517688
700910,"Rear-view mirrors, whether or not framed, for vehicles",9340,9325,7339,2671,4373,6701,10331,16700,15400,26672,,236578,299979,310987,307489,297614,282309,289410,288424,310604,395453,,86177,90740,80314,47992,55063,84647,100025,100587,89889,121318
850212,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",23948,34939,26767,12383,13647,16904,19415,17631,19770,26658,,374312,416707,440793,440006,383950,399596,421281,439726,355740,406365,,130036,120115,90002,35021,34623,46276,42816,39450,44394,57833
732599,"Cast articles of iron or steel, n.e.s. (excluding articles of non-malleable cast iron, and ...",10882,10851,14543,11402,13336,18366,18403,23828,23736,26646,,160321,180259,187081,170482,148719,192800,212185,208616,200532,250227,,47440,78680,98872,65062,77921,93864,98908,102965,99154,101530
611596,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",31189,34869,29597,23007,22592,23409,25472,22821,21959,26503,,2513220,2758419,2833355,2796566,2467214,2509607,2875854,2894931,2483060,2845203,,50009,51313,44703,33074,33550,36776,39834,38412,34447,44157
860719,"Axles, for electrical purposes, and wheels and parts thereof for railway or tramway locomotives ...",233126,32556,10230,340,40,1463,2313,89906,64542,26189,,322401,240644,344595,574089,196447,214043,308647,426547,336328,213581,,756881,350144,158791,71942,81616,128427,155052,402698,364276,235318
30749,"Cuttle fish """"Sepia officinalis, Rossia macrosoma, Sepiola spp."""" and squid """"Ommastrephes ...""",13882,20252,36321,23241,27736,24528,38435,22651,20706,26137,,1175406,1459191,1817343,2047872,2233260,130840,113732,62273,50490,39726,,18752,25413,42650,24398,28617,24755,38436,22651,20712,26140
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",13160,13290,15848,11162,12235,17516,22644,22056,20465,26091,,483734,467115,557878,527152,480174,540286,637725,636715,537990,703766,,76616,84685,90926,73656,86151,109385,126098,117394,122019,146952
848210,Ball bearings,18418,14303,13144,9550,10653,14803,15913,18254,19350,25951,,2034960,2259762,2416531,2342278,2393412,2557194,2842117,2650082,2506742,3213913,,125746,133986,153755,108887,124572,171049,178381,195148,189661,231977
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",6581,8270,7061,4593,4512,9887,7460,17204,22409,25936,,549273,576342,613940,643673,657080,654917,804312,803486,881775,959599,,203211,184468,160703,99894,103221,142903,159038,182080,204682,221701
850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",9750,12017,20125,11840,9571,18532,19206,19336,22065,25818,,1459010,1667813,2038358,2150215,2272678,2420778,2583207,2660082,2735127,3278548,,71700,76416,75291,51328,62311,93398,106047,104619,118765,140061
851290,"Parts of electrical lighting or signalling equipment, windscreen wipers, defrosters and demisters ...",10005,6535,6260,4613,4944,7467,13123,18641,16014,25717,,611867,737641,862731,919809,995085,1162734,1303744,1234361,1138498,1377054,,78729,80564,72232,48096,47059,63565,89991,115128,97027,150545
130239,"Mucilages and thickeners derived from vegetable products, whether or not modified (excluding ...",4320,3777,6669,10115,11842,10885,20045,23970,22888,25675,,293262,356047,397121,375782,360134,400852,447598,446627,434219,470725,,24031,24592,29850,33529,32427,36681,50605,55968,54204,62768
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",134,1696,648,475,1228,4638,37985,58109,27779,25646,,116634,74886,61952,40278,21477,298848,359119,302551,202915,146427,,1775684,1415623,1161644,571657,458289,858020,797612,900795,569439,687938
580632,"Narrow woven fabrics of man-made fibres, with a width of <= 30 cm, n.e.s.",17732,17304,14399,9581,9670,16058,19125,19833,19254,25646,,491496,610642,697049,662542,612133,600170,686542,738001,659189,806478,,37878,30806,25443,17120,16600,26039,29732,30944,30050,39304
650610,"Safety headgear, whether or not lined or trimmed",15561,19025,19524,12179,11461,16060,16266,16125,17464,25638,,704644,804896,910642,919573,885465,915593,1003920,1094796,1196089,1563384,,28143,35470,33221,19731,19387,26245,29929,29172,30321,38633
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene ...",22896,17650,15277,14580,14787,21058,28787,33840,22808,25579,,889713,660551,630523,753865,812870,1094723,1367621,1120958,788514,1102750,,30179,22866,19183,16810,17819,24692,32474,37209,25838,31208
850450,Inductors (excluding inductors for discharge lamps or tubes),10430,10502,9050,9926,12712,17105,20092,16299,17559,25539,,2369382,3288910,3254863,2888664,2624270,2661130,2901203,2897949,2773106,3660486,,69826,69191,56508,33051,41722,49498,52871,47294,50021,56193
731822,Washers of iron or steel (excl. spring washers and other lock washers),14776,15719,14709,10435,13430,16020,17628,18523,18620,25533,,252221,265968,302794,277507,296505,323921,416111,412257,434157,538438,,30126,32595,30416,22133,27107,34134,39127,41340,41349,59172
400922,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",15026,18490,13686,10671,12710,16635,17873,19625,19251,25359,,183529,188800,196009,175277,144398,159857,174128,199780,195151,232327,,50904,57575,46359,30083,33000,40039,48971,49715,47643,61859
851840,Audio-frequency electric amplifiers,18221,20705,17973,7800,8865,12251,14563,17002,17828,25254,,1659514,1640927,1697821,1598473,1476303,1411496,1452738,1162084,1065621,1219069,,41682,42325,39768,19139,20639,28566,34484,38955,37481,48469
392350,"Stoppers, lids, caps and other closures, of plastics",24966,26705,25867,20410,22050,17944,17908,18268,19873,25247,,748942,833515,923060,949678,967392,1063827,1189720,1342775,1481671,1606794,,128463,176892,186740,134977,144289,145594,154518,169200,176801,206141
620444,Women's or girls' dresses of artificial fibres (excluding knitted or crocheted and petticoats),13351,17415,19456,14612,17208,22052,19703,24632,23401,25245,,386555,499534,491000,603260,629170,626284,683342,860705,680909,929603,,49110,60494,57951,40893,46571,65662,66086,82396,66097,75334
843910,"Machinery for making pulp of fibrous cellulosic material (excluding autoclaves, boilers and ...",5174,1651,843,3556,1024,1919,6022,6871,10205,25104,,72949,96450,62070,214894,99355,74342,75406,141016,142046,100041,,22130,16468,16712,13933,22541,16930,69647,66590,78354,86968
940290,"Operating tables, examination tables, and other medical, dental, surgical or veterinary furniture ...",29006,22812,19115,12424,12831,13622,16653,24230,44738,25036,,435376,472456,512815,528581,466190,511040,571995,650304,812053,809401,,173318,124567,92373,46585,45153,52858,67546,73127,110474,101751
670290,"Artificial flowers, foliage and fruit and parts thereof, and articles made of artificial flowers, ...",27608,24653,23226,12210,13454,17365,18174,15757,16092,24991,,939977,1078484,1261584,1563777,1128899,1662632,1840585,2171981,1842247,2218852,,28694,25533,24556,13232,13984,18005,19005,17845,17991,25866
850431,Transformers having a power handling capacity <= 1 kVA (excluding liquid dielectric transformers),14374,15176,14688,10363,11390,13583,16942,18303,21209,24984,,1463935,1555204,1769579,1584955,1596643,1557872,1653917,1601181,1539461,1825195,,70296,58448,80367,29578,31281,33994,36530,40898,42584,45411
853630,Apparatus for protecting electrical circuits for a voltage <= 1.000 V (excluding fuses and ...,7826,7199,8351,5655,4573,8352,11979,12607,17895,24911,,437206,547785,572625,629421,685349,780090,910529,803604,833670,954761,,686932,187207,82018,40773,43110,47928,57379,58454,66731,76733
640610,Uppers and parts thereof (excluding stiffeners and general parts made of asbestos),56924,71432,52452,22470,21009,20752,17719,16760,14620,24710,,1153715,1152825,945486,815743,852543,926996,791099,834865,820589,981030,,66279,86167,65681,30279,35839,48644,41097,36052,28929,38277
610443,"Women's or girls' dresses of synthetic fibres, knitted or crocheted (excluding petticoats)",63265,84851,67053,42727,43204,54295,49283,41707,24823,24621,,2051751,2120439,2069054,2196270,1958353,1718317,1636256,1702461,1254092,1759043,,98654,115622,99539,65830,68457,83913,82002,72803,46943,49878
350790,"Enzymes and prepared enzymes, n.e.s. (excluding rennet and concentrates thereof)",6401,5817,6574,8283,12955,14599,22974,21665,18467,24609,,280494,286055,336877,355981,344917,357837,371222,362394,422604,466142,,73540,77710,92881,79424,89778,102393,113081,117283,125795,197016
900150,Spectacle lenses of materials other than glass,8638,9850,9419,9434,9995,12360,15152,16115,18089,24482,,598852,663851,962672,1119277,844739,1018086,924209,1020243,964181,1278242,,52588,60691,76873,52574,40424,48581,56253,61309,57272,74340
591190,"Textile products and articles, for technical purposes, specified in Note 7 to chapter 59, n.e.s.",16563,14689,15665,13063,11108,12126,12849,11245,9543,24333,,280355,329500,361282,336906,346802,361393,388620,418987,396166,442666,,57291,57617,57451,38795,38866,48710,50691,48824,44642,72126
852862,Projectors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,23828,28142,29619,21848,24324,,0,0,0,0,0,12919,31995,88856,86010,112679,,0,0,0,0,0,55870,62919,70167,43307,45520
846221,"Bending, folding, straightening or flattening machines, incl. presses, numerically controlled, ...",16502,13218,13952,6304,7313,9707,11882,14287,13592,24247,,83742,98406,109486,101777,112965,132648,155480,177520,158387,183032,,167005,157160,171348,71083,67494,67582,85130,84202,95215,116948
850132,DC motors and DC generators of an output > 750 W but <= 75 kW (excl. photovoltaic generators),874,813,2688,500,488,636,1544,15265,14633,24136,,259742,284524,327231,355338,350270,331437,442880,424432,393588,522108,,18582,14931,15016,10501,8536,11160,16288,21162,19817,32350
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",28171,21527,16963,12569,11137,13974,13019,15389,14015,24100,,591600,671907,753534,755125,755461,781508,823145,910798,803183,882774,,231036,238007,199474,125290,136552,177822,174558,182749,167147,207397
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",16359,12589,6540,3535,1817,2747,6090,29306,22015,24017,,540464,500759,524482,504429,546215,573366,673851,737606,730481,880720,,111032,59773,50377,31892,33962,46118,75843,122119,133474,120569
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",49223,54236,54074,26343,16582,18444,20050,17165,15873,23873,,5785176,6346436,7284550,7484281,7714444,8197437,8783814,7717648,7631375,8897566,,182491,190920,174826,89910,63089,70342,74468,65759,66078,87379
820320,"Pliers, incl. cutting pliers, pincers and tweezers for non-medical use and similar hand tools, ...",19568,19100,19156,12154,14011,18621,19408,19414,18175,23809,,539212,548050,678567,604707,597089,620096,642793,667966,673717,785697,,34191,35038,33824,19815,23863,31911,35081,35358,35449,46504
482390,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, in strips or rolls of a ...",5977,4878,5390,4660,4220,4870,6222,7493,8514,23696,,1015489,1071799,1114944,1252844,992162,960583,1171417,1256500,1325592,1545835,,38330,35103,30742,21236,21794,23843,25340,29323,28287,65772
842441,"Agricultural or horticultural sprayers, portable",0,0,0,0,0,5193,7793,9104,12406,23644,,0,0,0,0,0,335741,370516,372045,646897,577071,,0,0,0,0,0,7549,11250,12496,17660,28208
820411,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, non-adjustable",17793,19606,18671,12507,13695,16100,19170,19409,18215,23609,,350106,383291,483823,407543,414661,414305,447936,439786,417703,514854,,63285,64161,56626,32762,36592,46086,52094,51455,45050,58772
852869,"Projectors, not incorporating television reception apparatus (excluding of a kind solely or ...",57408,37067,25320,23188,37566,23905,24268,23326,20346,23540,,2278914,1943752,2023154,1609053,1524733,1592651,1712695,1396057,1434754,1292538,,98939,89490,77759,48124,76390,35925,31378,26811,23634,25608
80212,"Fresh or dried almonds, shelled",52,232,2482,7349,16729,46411,49704,13214,30609,23517,,528,2158,4319,3559,2047,1752,1194,2072,1893,1025,,111152,122535,85310,48776,35505,66448,71282,52857,53293,45593
850780,"Electric accumulators (excl. spent, and lead-acid, nickel-cadmium, nickel-metal hydride and ...",4015,4309,3451,4736,10091,7154,14095,19153,13323,23493,,51138,13204,21431,18993,27021,21449,58834,17604,23698,40250,,6380,6675,5582,7022,11391,9845,18116,21831,15941,25995
390950,"Polyurethanes, in primary forms",4529,4437,5952,4926,6809,9193,10401,10680,11921,23484,,258947,318914,380007,383523,378947,505284,645738,606948,527385,761880,,140238,148259,149649,109421,116287,154084,175438,162973,157900,202989
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",10620,13942,11782,12772,11186,20898,18921,19798,18277,23481,,1694045,1123571,1389404,2217468,2152417,1271354,1473575,1417900,1095556,1332355,,59226,66149,54723,40641,42419,59924,57053,69824,57852,75716
843139,"Parts of machinery of heading 8428, n.e.s.",10067,4410,7726,2584,5415,6804,14353,16006,16863,23017,,472572,574314,664600,693200,601132,660122,789354,863361,784416,1031679,,128062,138522,85049,105559,100946,95639,115036,114538,133914,154846
520611,"Single cotton yarn containing predominantly, but < 85% cotton by weight, of uncombed fibres ...""",25117,28467,25817,15361,19615,17405,21278,20403,16518,22997,,49348,61294,67853,57346,54679,55436,60660,59242,49721,53010,,42036,43090,35405,24886,26488,26799,33407,34455,31461,44142
611120,"Babies' garments and clothing accessories of cotton, knitted or crocheted (excluding hats)",34955,51929,41473,25889,22468,25147,22889,20562,19818,22975,,1961926,2078459,2156071,2038333,1877556,1876089,1836783,1643464,1309094,1524752,,92306,115429,105858,74637,79356,91542,88845,89006,83841,105143
841231,"Pneumatic power engines and motors, linear-acting, """"cylinders""""""""",5174,6192,8429,6168,15119,10090,10548,16385,15388,22892,,179673,180709,200382,216959,224932,269742,309456,279297,260608,334037,,51393,59672,55728,45634,47869,56759,72222,83318,64739,76737
842541,Built-in jacking systems of a type used in garages,19809,20591,18415,11261,12075,15646,15994,18141,17030,22886,,482,847,2302,2813,3321,4514,9142,13412,11931,9351,,49451,40985,32866,15502,17314,22714,26611,23766,20671,27513
902214,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excluding for ...",30377,6681,6956,1524,5538,4680,5907,19960,55792,22856,,151249,153388,158807,177713,198313,198025,248618,309218,395185,390462,,485790,180540,145051,53278,57742,71450,86697,208133,292163,203189
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",7365,7703,6465,6023,8689,10747,13449,15506,15007,22818,,499102,510166,565266,557217,540621,638441,722756,832202,766896,812806,,29652,31191,49928,57144,41916,49216,39955,43488,35637,40449
730791,Flanges of iron or steel (excluding cast or stainless products),28873,28534,21351,10116,12530,15942,20021,31448,20554,22725,,712297,652831,655500,552747,489519,542082,756063,698295,557532,646860,,50069,60624,52843,32203,32700,38611,41852,54547,43686,47342
293628,"Vitamin E and its derivatives, used primarily as vitamins",497,1214,2983,1328,4039,6641,10774,9609,14039,22694,,723086,656433,616813,392960,441605,460910,652104,422827,563812,753708,,29159,31507,30606,24346,29904,29424,35742,27665,43918,56238
722020,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ...""",10674,8553,9939,7229,8989,6722,11455,12270,15212,22686,,162019,182132,206238,187442,228648,222352,248702,351202,407691,1233292,,64054,77584,64757,52606,47493,51030,59455,52287,52741,69784
