Product code,Product label,Australia's imports from Saudi Arabia-Value in 2012,Australia's imports from Saudi Arabia-Value in 2013,Australia's imports from Saudi Arabia-Value in 2014,Australia's imports from Saudi Arabia-Value in 2015,Australia's imports from Saudi Arabia-Value in 2016,Australia's imports from Saudi Arabia-Value in 2017,Australia's imports from Saudi Arabia-Value in 2018,Australia's imports from Saudi Arabia-Value in 2019,Australia's imports from Saudi Arabia-Value in 2020,Australia's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
842430,"Steam or sand blasting machines and similar jet projecting machines, incl. water cleaning appliances ...",0,0,0,0,0,0,0,0,0,0,,857,49,507,211,659,459,791,7,0,24,,64547,63419,58057,58833,45250,53760,52633,54852,55527,88460
842482,"Agricultural or horticultural mechanical appliances, whether or not hand-operated, for projecting ...",0,0,0,0,0,55,228,0,0,0,,0,0,0,0,0,0,0,0,0,50260,,0,0,0,0,0,52158,57524,49283,50482,65953
842531,Winches and capstans powered by electric motor,0,0,116,0,0,0,0,0,0,0,,227,1039,31,1038,1978,1581,1031,0,0,0,,41088,38727,41299,36627,24745,30840,37033,33893,31959,43924
842541,Built-in jacking systems of a type used in garages,0,0,0,0,0,0,0,0,0,0,,0,194,0,142,16,325,5,0,0,0,,10222,12530,11789,12493,10871,13243,14352,10131,11971,15449
842620,Tower cranes,0,0,0,0,0,0,0,0,0,0,,3255,12899,20305,22497,13666,10125,16553,739,521,166,,21375,37796,30365,41421,39553,48113,54055,41244,34601,38217
842710,"Self-propelled trucks fitted with lifting or handling equipment, powered by an electric motor",0,0,0,0,0,0,0,0,0,0,,571,52,0,353,380,903,1282,13,0,1,,168652,147363,139901,140915,133784,157710,186017,180108,143744,205977
842919,"Self-propelled bulldozers and angledozers, on wheels",0,0,0,0,0,0,0,0,0,0,,3498,4327,6139,3731,2638,16603,16244,69,0,0,,85224,11801,6790,4807,930,12783,10045,7572,14370,16818
843031,Self-propelled coal or rock cutters and tunnelling machinery (excluding hydraulically operated ...,0,0,0,0,0,0,0,0,0,0,,1513,267,2920,623,1784,11797,31549,0,0,0,,145868,57861,100139,24833,106420,35267,50001,134245,72570,35794
843069,"Earth moving machinery, not self-propelled, n.e.s.",0,0,0,0,0,0,0,0,0,0,,2100,3030,795,2077,4355,3161,913,0,15,0,,1223993,48018,35019,986655,29642,42361,45209,34428,31347,37469
843120,"Parts of fork-lift trucks and other works trucks fitted with lifting or handling equipment, ...",0,0,0,0,0,0,0,0,0,0,,346,455,140,311,156,299,174,600,0,1,,55033,52979,58734,43671,44994,48776,56419,54265,51313,60020
843320,"Mowers, incl. cutter bars for tractor mounting (excluding mowers for lawns, parks or sports ...",0,0,0,0,0,0,0,0,0,0,,0,0,139,20,7,15,34,0,0,0,,42315,34026,45570,38765,42725,46322,35423,36925,53923,64353
843340,"Straw or fodder balers, incl. pick-up balers",0,0,0,0,0,0,0,0,0,0,,348,309,155,48,70,62,147,0,0,0,,14029,24909,43604,42206,45373,57082,36795,55565,89231,91505
843352,Threshing machinery (excluding combine harvester-threshers),0,0,0,0,0,0,0,0,0,0,,0,33,173,9,41,0,0,0,0,0,,215,179,260,585,208,351,384,268,541,2771
660110,Garden or similar umbrellas (excluding beach tents),0,0,0,0,0,0,0,0,0,0,,0,215,0,80,62,14,87,19,3,10,,15770,16544,19157,17071,14647,14647,20514,16218,14126,27705
680530,"Natural or artificial abrasive powder or grain, on a base of materials other than woven textile ...",0,0,0,0,0,0,0,0,0,0,,34,0,278,148,132,1,0,0,0,9,,23730,23579,24186,23290,24963,24749,26719,28753,29001,29676
680690,"Mixtures and articles of heat-insulating, sound-insulating or sound absorbing mineral materials ...",74,359,230,512,16,27,0,0,0,0,,6779,3116,3919,3970,4195,5179,4457,3494,2228,2544,,30719,33592,39439,40943,34979,34550,40391,39142,39958,43152
681510,"Articles of graphite or other carbon, incl. carbon fibres, for non-electrical purposes",0,0,0,0,0,0,0,0,0,0,,29,1281,507,320,287,288,383,1127,2451,333,,36398,42841,46744,52240,43920,27164,34796,42150,49536,33927
681599,"Articles of stone or of other mineral substances, n.e.s.",0,0,0,0,0,0,0,0,0,0,,78,27,28,13,122,303,71,60,59,257,,21272,23903,21974,23091,30799,23280,30362,26622,22778,32465
690790,"Unglazed ceramic flags and paving, hearth or wall tiles; unglazed ceramic mosaic cubes and ...",0,8,0,8,0,0,0,0,0,0,,5466,5374,2593,3149,4826,4193,2130,4764,7097,7382,,55316,61884,75034,72527,75980,0,0,0,0,0
690890,"Glazed ceramic flags and paving, hearth or wall tiles; glazed ceramic mosaic cubes and the ...",0,0,26,16,22,0,0,0,0,0,,18238,27270,33951,28680,24528,0,0,0,0,0,,202071,219766,256373,269883,276350,0,0,0,0,0
690911,"Ceramic wares for laboratory, chemical or other technical uses, of porcelain or china (excluding ...",0,0,0,0,0,0,0,0,0,0,,0,0,57,10,1068,1244,5415,177,44,115,,211,241,297,421,496,348,1887,2690,594,349
691190,"Household and toilet articles, of porcelain or china (excluding tableware and kitchenware, ...",0,0,0,0,0,0,0,0,0,0,,219,130,342,539,2489,863,619,30,0,0,,2023,2065,2072,1934,2212,1632,1647,1388,1646,2709
691310,"Statuettes and other ornamental articles of porcelain or china, n.e.s.",0,0,5,0,0,0,0,0,0,0,,140,0,0,83,173,110,211,3,0,0,,4257,4205,3833,3672,4144,4107,5992,5383,4665,7621
700220,"Rods of glass, unworked",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,453,259,149,185,224,152,176,157,126,258
700319,"Cast glass and rolled glass, in non-wired sheets, not otherwise worked (excluding glass coloured ...""",0,9,7,7,0,0,10,0,0,0,,4656,2971,7677,7381,7509,9007,9912,10765,8077,6905,,2138,1543,1949,1378,1447,1681,2013,1442,1470,3212
640220,"Footwear with outer soles and uppers of rubber or plastics, with upper straps or thongs assembled ...",0,0,0,0,0,0,0,0,0,0,,725,418,0,586,645,638,0,0,0,0,,42988,49536,47033,47446,37039,41858,30456,32556,25618,33739
640312,"Ski-boots, cross-country ski footwear and snowboard boots, with outer soles of rubber, plastics, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,21,0,0,0,,122,131,114,71,43,63,68,180,28,37
640351,"Footwear with outer soles and uppers of leather, covering the ankle (excluding incorporating ...",0,0,0,0,0,0,0,0,1,0,,106,132,210,323,199,357,302,0,30,0,,28429,29770,28190,27529,25973,26705,20486,17443,14211,14531
630291,"Toilet linen and kitchen linen of cotton (excluding of terry fabrics, floorcloths, polishing ...",0,0,0,0,0,0,0,0,0,0,,357,767,359,1066,3323,642,720,181,22,1,,20546,23906,24546,23609,22089,19984,21703,24624,17282,22385
630319,"Curtains, incl. drapes, and interior blinds, curtain or bed valances, knitted or crocheted ...",0,0,0,0,0,0,0,0,0,0,,0,44,108,574,27,20,603,0,0,17,,366,235,545,445,446,248,344,238,426,317
630391,"Curtains, incl. drapes, and interior blinds, curtain or bed valances of cotton (excluding knitted ...",0,0,0,0,0,0,0,0,0,0,,0,677,425,465,202,488,765,32,28,4,,6445,5147,4736,4119,3525,3020,2768,1600,1137,1558
630539,"Sacks and bags, for the packing of goods, of man-made textile materials (excluding of polyethylene ...",0,0,0,0,0,0,0,0,0,0,,569,1170,682,361,324,8,162,99,403,206,,21399,15709,16864,16629,14274,15512,16108,13244,14767,13123
630720,"Life jackets and life belts, of all types of textile materials",0,0,0,0,0,0,0,0,0,0,,105,88,0,12,21,139,75,13,0,0,,13996,12282,15139,15888,16291,14248,15368,15471,12660,23435
761010,"Doors, windows and their frames and thresholds for door, of aluminium (excluding door furniture)",0,0,0,1,0,0,0,0,0,0,,10351,12402,12336,14907,4205,3063,3060,1750,849,414,,63555,69438,76328,96381,103087,170080,243783,255377,203891,232337
761100,"Reservoirs, tanks, vats and similar containers, of aluminium, for any material (other than ...",0,0,0,0,0,0,0,0,0,0,,0,0,43,129,36,581,53,0,0,8,,2788,1360,754,842,777,844,1411,1674,1231,1404
780419,"Lead plates; lead sheets, strip and foil, of a thickness """"excluding any backing"""" of > 0,2 ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,40,477,12,0,0,44,60,,2732,2920,1898,1076,1074,1585,1330,1009,810,688
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",0,0,0,0,0,0,0,0,0,0,,83,0,0,0,302,1153,134,0,13,38,,28,0,140,1237,1576,204,260,332,162,320
790390,"Zinc powders and flakes (excluding grains of zinc, and spangles of heading 8308, and zinc dust)",0,0,0,0,0,0,0,0,0,0,,1593,1953,4670,4777,281,232,308,0,0,45,,93,141,69,145,156,146,198,132,129,207
790500,"Zinc plates, sheets, strip and foil",0,0,0,0,0,0,0,0,0,0,,717,0,140,182,174,318,669,21,44,15,,5251,4760,4751,3535,2989,2754,3289,2208,1167,1636
810110,Tungsten powders,0,0,0,0,0,0,0,0,0,0,,330,0,0,0,1099,0,0,0,0,540,,1950,807,1363,1577,1183,1052,614,511,693,846
810295,"Molybdenum bars and rods (other than those obtained simply by sintering), profiles, plates, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,16,25,0,0,13,451,,1541,151,166,225,45,156,149,313,202,194
810297,Molybdenum waste and scrap (excluding ash and residues containing molybdenum),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
810411,"Unwrought magnesium, containing >= 99,8% by weight of magnesium",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,,21761,14869,13160,2690,2916,3435,5833,4595,2622,6699
820140,"Axes, billhooks and similar hewing tools, with working parts of base metal (excluding ice axes)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,2,13,0,0,0,,2449,2724,3072,2865,3051,3605,2936,2798,3683,5094
820320,"Pliers, incl. cutting pliers, pincers and tweezers for non-medical use and similar hand tools, ...",0,0,0,0,0,0,0,0,0,0,,0,39,0,117,187,443,100,0,0,0,,24301,22891,24093,21632,22528,23208,25468,25624,25796,33601
820730,"Interchangeable tools for pressing, stamping or punching",0,7,0,0,0,0,0,0,0,0,,142,0,0,75,7,11,74,0,0,0,,7882,7826,7800,7791,9066,7445,9502,8434,8776,11927
830160,"Parts of padlocks, locks, clasps and frames with clasps, incorporating locks, of base metal, ...",0,0,0,0,0,0,0,0,0,0,,0,0,267,83,211,55,643,25,0,0,,22020,24799,25730,25744,22980,23691,27968,27307,23962,31013
830220,Castors with mountings of base metal,0,0,0,0,0,0,0,0,0,0,,0,0,0,51,74,51,121,0,0,30,,10313,9769,9748,9538,9045,8955,9607,8041,8310,11048
830300,"Armoured or reinforced safes, strongboxes and doors and safe deposit lockers for strongrooms, ...",0,0,0,0,0,0,0,0,0,0,,126,38,261,72,224,159,133,0,0,2,,18584,18198,17875,17767,18830,18775,19902,19065,21364,23362
830610,"Bells, gongs and the like, non-electric, of base metal (excluding musical instruments)",0,0,0,0,0,0,0,0,0,0,,0,0,0,37,25,16,0,0,0,0,,1085,1229,1261,1066,1028,1196,983,1212,1184,1645
830710,"Flexible tubing of iron or steel, with or without fittings",0,0,0,0,0,0,0,0,0,0,,108,303,88,293,263,180,36540,62,41,0,,17767,131101,44832,27145,32965,81054,51062,23675,26267,84367
831110,"Coated electrodes of base metal, for electric arc-welding",0,0,0,0,0,0,0,0,0,0,,235,962,132,619,585,563,855,160,310,619,,19144,14474,14195,10893,8237,10517,10921,9731,8214,10126
840140,"Parts of nuclear reactors, n.e.s. [Euratom]",0,0,0,0,0,0,0,0,0,0,,0,115,0,0,0,0,0,0,0,0,,1,0,57,0,2,4,3278,3,0,223
840690,"Parts of steam and other vapour turbines, n.e.s.",0,0,0,0,0,0,0,0,0,0,,979,0,92,2107,1926,375,10350,0,0,0,,27412,19149,48052,31273,22218,18941,61589,37843,20083,18758
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,0,0,0,0,0,0,0,0,0,0,,3737,822,1497,1533,3642,2737,4992,947,4282,547,,203924,235244,203753,195095,181526,129632,103279,99391,100415,121383
841013,"Hydraulic turbines and water wheels, of a power > 10.000 kW (excluding hydraulic power engines ...",0,0,0,0,0,0,0,0,0,0,,0,300,550,0,0,0,0,0,0,0,,9,1003,0,0,0,0,19,0,0,0
841121,Turbopropellers of a power <= 1.100 kW,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,24600,29381,29804,44209,32674,24640,26802,38046,31893,27955
841182,Gas turbines of a power > 5.000 kW (excluding turbojets and turbopropellers),0,0,0,0,0,0,0,0,0,0,,251,1100,0,1050,146,160,4333,0,0,0,,307920,214440,197971,163085,207557,202620,112352,145203,177517,135150
841239,Pneumatic power engines and motors (excluding linear acting),0,0,0,0,0,0,0,0,0,0,,182,133,64,701,223,3095,443,11,74,16,,22110,23723,19860,20104,21005,22317,25412,29313,25927,19396
841280,"Engines and motors (excluding steam turbines, internal combustion piston engine, hydraulic ...",0,0,0,0,0,0,0,0,0,0,,0,258,1270,1073,217,896,122,0,0,0,,9598,213641,8013,5534,3507,3384,15698,58244,7398,3355
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",0,0,0,0,0,0,0,0,0,0,,48,323,2150,1094,2232,1229,968,123,4,95,,122856,114833,116110,110049,98211,97211,100714,106900,111059,129061
420310,"Articles of apparel, of leather or composition leather (excluding clothing accessories, footware ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,4,10,126,519,0,0,0,,34639,35895,35600,32188,33231,31924,30697,27009,21434,27606
420330,"Belts and bandoliers, of leather or composition leather",0,0,0,3,0,0,0,0,0,0,,32,100,637,54,77,73,125,0,0,0,,22906,22561,23449,22472,22138,24454,29147,31238,19398,25884
430110,"Raw furskins of mink, whole, with or without heads, tails or paws",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,2,0,0,8,0
430400,"Artificial fur and articles thereof (excluding gloves made of leather and artificial fur, footware ...",0,0,0,0,0,0,0,0,0,0,,57,0,0,1,10,7,0,0,0,0,,852,411,670,749,1979,1782,597,483,1488,2368
440112,"Fuel wood, in logs, billets, twigs, faggots or similar forms, non-coniferous",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,211,278,318,522,625
440321,"Pine """"Pinus spp."""" in the rough, of which the smallest cross-sectional dimension is =>15 ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,228,8,647
440349,"Tropical wood in the rough, whether or not stripped of bark or sapwood, or roughly squared ...",0,0,0,0,0,0,0,0,0,0,,0,43,0,0,11,0,0,0,0,0,,37,47,10,13,1422,4,2026,1749,717,619
440391,"Oak """"Quercus spp."""" in the rough, whether or not stripped of bark or sapwood, or roughly ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,,468,316,311,4,7,115,49,10,33,0
440691,"Railway or tramway sleepers """"cross-ties"""" of wood, impregnated, coniferous""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,2,0,0,0,0
440711,"Pine """"Pinus spp."""" sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,186437,258091,154751,121670,201002
440725,"Dark red meranti, light red meranti and meranti bakau, sawn or chipped lengthwise, sliced or ...",0,0,0,0,0,0,0,0,0,0,,62,0,0,8,23,203,16,0,0,0,,10790,11721,10018,8982,9352,6908,7484,6142,5065,6915
440727,"Sapelli, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,30,54,40,31,40,6,48,23,12,38
440793,"Maple """"Acer spp."""", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,291,202,234,297,316,227,230,71,122,205
440795,"Ash """"Fraxinus spp."""", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,10,18,0,0,0,,515,509,748,827,555,658,610,484,725,866
441233,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,59673,82723,89421,94559,126126
441294,"Laminated wood as blockboard, laminboard or battenboard (excluding of bamboo, plywood consisting ...",0,0,0,0,0,0,0,0,0,0,,7211,9966,7362,8781,11155,8303,7959,5998,4862,5370,,3426,7117,12025,15444,13975,14807,18771,17529,17552,18586
441300,"Metallised wood and other densified wood in blocks, plates, strips or profile shapes",0,0,0,0,0,0,0,0,0,0,,4055,6486,3803,1262,186,11,24,24,14,65,,24187,25581,23001,19513,9672,5381,2780,2024,1590,1185
441510,"Cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood",0,0,0,0,0,0,0,0,0,0,,417,329,4401,2459,2528,2191,3409,1370,186,210,,4237,4691,6274,5162,6932,8720,7941,5622,6627,11231
450390,"Articles of natural cork (excluding cork in square or rectangular blocks, plates, sheets or ...",0,0,0,0,0,0,0,0,0,0,,182,0,299,258,149,3052,2886,2735,719,507,,767,681,525,656,532,359,323,209,249,332
460121,"Mats, matting and screens of bamboo plaiting materials, flat-woven or bound together in parallel",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,35,19,11,0,0,0,,3044,2315,1808,1523,1624,1774,1812,1465,1276,1491
460199,"Plaiting materials, plaits and similar products of non-vegetable plaiting materials, flat-woven ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,9,0,0,0,,294,863,1368,1444,1321,1261,1156,417,355,740
470100,"Mechanical wood pulp, not chemically treated",0,0,0,0,0,0,0,0,0,0,,36,0,0,3,201,0,34,0,0,0,,590,1551,1991,2051,750,1648,1698,1581,1996,1598
470500,Wood pulp obtained by a combination of mechanical and chemical pulping processes,0,0,0,0,0,0,0,0,0,0,,658,0,0,122,140,0,0,0,0,0,,11522,5173,6914,7519,4923,2212,3133,2490,1449,1133
480210,Handmade paper and paperboard of any size or shape,0,0,0,0,0,0,0,0,0,0,,130,1009,962,2152,7748,4271,4937,1778,1520,2683,,497,405,261,416,196,211,133,139,246,248
480262,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,36,258,9,0,17,0,0,,3691,1177,428,278,364,2205,1412,755,862,1280
480429,"Sack kraft paper, uncoated, in rolls of a width > 36 cm (excluding unbleached, and goods of ...",0,0,0,0,0,0,0,0,0,0,,573,654,108,162,229,158,296,1889,0,29,,2420,2868,3443,3371,2899,2522,4310,2742,3398,2950
480452,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,181,0,0,0,0,,6275,6034,5197,5504,5726,4902,5941,3424,2694,1852
480524,"Testliner """"recycled liner board"""", uncoated, in rolls of a width > 36 cm or in square or ...""",0,0,0,0,0,0,0,0,0,0,,7840,10449,1311,14,6524,9899,10901,19000,25001,8446,,1287,225,33,2531,7439,8613,9235,8598,9307,12893
480530,"Sulphite wrapping paper, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",0,0,0,0,0,0,0,0,0,0,,22006,9018,5993,410,510,1729,7901,5514,11314,3763,,200,196,92,181,199,76,62,114,116,111
481019,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres ...",0,0,0,0,0,0,0,0,0,0,,1759,181,668,1205,399,35,248,339,193,20,,210978,176007,172239,145708,125139,122889,107345,93278,56809,85339
481029,"Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by ...",0,0,0,0,0,0,0,0,0,0,,4634,2677,1124,1852,74,18,569,88,565,2594,,96274,110490,79578,84292,63818,73001,83056,77835,65294,68974
481031,"Kraft paper and paperboard, bleached uniformly throughout the mass and containing > 95% chemically ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,18,0,0,0,0,0,,1700,1536,903,189,103,91,2843,3300,118,17
481920,"Folding cartons, boxes and cases, of non-corrugated paper or paperboard",0,0,0,0,0,0,0,0,0,0,,198439,159086,218898,236653,205093,169647,84911,178125,185767,112018,,87250,88862,99486,89501,74742,84020,103817,106840,106651,126729
482030,"Binders (other than book covers), folders and file covers, of paper or paperboard",0,2,0,0,0,0,0,0,0,0,,31,59,181,355,74,51,5,4,0,4913,,12976,13461,12833,12387,11307,12096,11898,9298,7671,8628
482040,"Manifold business forms and interleaved carbon sets, of paper or paperboard",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,107,28,34,0,3,3,,2573,2170,1994,1753,1316,1116,1185,988,804,633
482370,"Moulded or pressed articles of paper pulp, n.e.s.",0,0,0,0,0,0,0,0,0,0,,4547,5744,5387,6813,20577,9147,12903,8880,6511,7303,,7218,11441,16299,19899,20049,25039,24523,26803,28287,36009
510220,"Coarse animal hair, neither carded nor combed (excluding wool, hair and bristles used in the ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,7,5,5,0,0,0,2,0,0,896
511120,"Woven fabrics containing predominantly, but < 85% carded wool or carded fine animal hair by ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,12,1,31,0,0,0,0,,355,126,322,176,180,61,239,135,22,43
511211,Woven fabrics containing >= 85% combed wool or combed fine animal hair by weight and weighing ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,,1033,862,674,514,349,217,206,161,197,409
520612,"Single cotton yarn containing predominantly, but < 85% cotton by weight, of uncombed fibres ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,3,0,16,0,0,0,0,4,0,24
520633,"Multiple """"folded"""" or cabled cotton yarn containing predominantly, but < 85% cotton by weight, ...""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
520635,"Multiple """"folded"""" or cabled cotton yarn containing predominantly, but < 85% cotton by weight, ...""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,56,22,299,476,0
520641,"Multiple """"folded"""" or cabled cotton yarn containing predominantly, but < 85% cotton by weight, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2,0,6,10,10,165,610,406,25,28
520643,"Multiple """"folded"""" or cabled cotton yarn containing predominantly, but < 85% cotton by weight, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,6,0,16,104,163,91,49,2,82,12
520790,"Cotton yarn containing predominantly, but < 85% cotton by weight, put up for retail sale (excluding ...",0,0,0,0,0,0,0,0,0,0,,0,28,0,3,6,0,0,0,0,0,,148,114,287,424,336,457,492,265,696,474
520819,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m©÷, unbleached ...",0,0,0,0,0,0,0,0,0,0,,0,0,846,346,0,0,0,3,0,0,,225,300,53,45,239,181,215,138,94,159
520832,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 100 g to 200 ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,9144,5728,5487,4749,3629,3431,3567,2976,10927,17151
520859,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m©÷, printed ...",0,0,0,0,0,0,0,0,0,0,,0,139,0,315,2079,921,42,0,0,0,,4581,5469,5895,4852,3134,3516,2766,2021,2419,1742
520929,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, bleached ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,5,0,0,0,0,0,0,,1131,1121,780,690,462,349,316,158,170,616
521039,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,3,3,0,0,21,0,0,,437,900,346,331,347,722,692,457,350,453
521111,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,44,0,0,0,0,0,,35,46,12,1,19,8,53,56,7,0
521152,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,2,4,0,1,0,0,4,6,7
521211,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,,25,14,103,48,15,16,7,17,92,111
521221,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,9,10,1,10,48,12,32,65,18,137
521222,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,5,4,1,0,1,4,1,2,4
530919,"Woven fabrics of flax, containing >= 85% flax by weight, dyed, made of yarn of different colours, ...",0,0,0,0,0,0,0,0,0,0,,67,0,0,0,3,1,0,0,0,0,,2909,3132,3315,3234,3764,4686,6332,6589,6490,10016
540244,"Synthetic filament elastomeric yarn, single, untwisted or with a twist of <= 50 turns per metre ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1390,1555,1517,1773,1834,1848,1310,990,594,750
540246,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, untwisted or with a ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,11,3,4,2,1,2,0,4,0,4
540310,High-tenacity yarn of viscose rayon filament (excluding sewing thread and yarn put up for retail ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,116,252,453,452,314,401,338,321,259,462
711031,"Rhodium, unwrought or in powder form",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,23,27,26,27,19,123,208,235,88,79
711100,"Base metals, silver or gold, clad with platinum, not further worked than semi-manufactured",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,66,4,10,10,8,17,5,3,9,14
720120,"Non-alloy pig iron in pigs, blocks or other primary forms, containing by weight >= 0,5% phosphorus",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,173,154,0,0,0,0,0,0,51
720249,"Ferro-chromium, containing by weight <= 4% of carbon",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,0,0,0,0,,6850,3363,3610,3056,2457,3155,3279,2883,1824,2872
720390,"Spongy ferrous products, obtained from molten pig iron by atomisation, iron of a purity of ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,17,0,0,0,0,0,,883,184,58,96,8,4,0,13,7,1
