Product code,Product label,"Viet Nam's imports from Korea, Republic of-Value in 2012","Viet Nam's imports from Korea, Republic of-Value in 2013","Viet Nam's imports from Korea, Republic of-Value in 2014","Viet Nam's imports from Korea, Republic of-Value in 2015","Viet Nam's imports from Korea, Republic of-Value in 2016","Viet Nam's imports from Korea, Republic of-Value in 2017","Viet Nam's imports from Korea, Republic of-Value in 2018","Viet Nam's imports from Korea, Republic of-Value in 2019","Viet Nam's imports from Korea, Republic of-Value in 2020","Viet Nam's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
80132,"Fresh or dried cashew nuts, shelled",0,0,0,0,0,0,0,0,0,,,0,120,2,155,73,253,516,28,47,192,,11645,11660,23893,24896,31104,50689,93560,123638,141786,39328
80222,"Fresh or dried hazelnuts or filberts """"Corylus spp."""", shelled""""",0,0,0,0,0,0,0,0,0,,,0,0,0,3,6,0,0,45,31,0,,6,13,12,20,24,157,111,378,404,110
80231,"Fresh or dried walnuts, in shell",0,0,0,0,0,0,0,0,0,,,0,189,0,0,0,0,0,0,0,0,,4028,2180,123,200,709,4060,10210,24206,29167,43418
80251,"Fresh or dried pistachios, in shell",0,0,0,0,0,0,0,0,0,,,2,3,0,0,95,0,0,0,44,53,,112,709,166,523,144,151,12082,33866,61342,80714
80290,"Nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts, cashew ...",0,0,0,0,0,0,0,0,0,,,85,40,97,111,714,129,374,164,186,362,,231,683,200,243,731,917,1468,2016,2688,7002
80420,Fresh or dried figs,0,0,0,0,2,0,0,0,0,,,0,7,102,170,171,101,220,158,105,131,,19,10,13,15,41,54,159,165,62,278
80720,"Fresh pawpaws """"papayas""""""""",0,0,0,0,0,0,0,0,0,,,0,0,2,0,6,1,2,0,0,1,,1,1,0,0,0,0,0,0,0,
80929,Fresh cherries (excluding sour cherries),0,0,0,0,0,0,0,0,7,,,0,1,0,0,2,1,0,0,1,0,,3152,2997,5824,5844,9967,17551,21235,37037,41613,31968
81030,"Fresh black-, white- or redcurrants and gooseberries",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,2,16,1,0,0,
81210,"Cherries, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water ...",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,0,
81320,Dried prunes,0,0,2,3,5,3,0,0,0,,,195,705,523,547,460,315,466,427,440,434,,107,141,107,139,187,152,143,350,214,436
81340,"Dried peaches, pears, papaws """"papayas"""", tamarinds and other edible fruits (excluding nuts, ...""",0,0,0,18,171,349,618,755,1005,,,1553,1349,792,1530,2557,3178,4959,5065,6515,6360,,3778,8596,8369,94200,84506,154850,84321,30169,23373,38020
90220,Green tea in immediate packings of > 3 kg,0,0,0,0,0,0,1,2,14,,,2886,3148,1501,1577,3297,3894,2920,1464,3304,4841,,2020,2271,538,624,995,4330,7510,16487,5176,54070
90812,"Nutmeg, crushed or ground",0,0,0,0,0,0,0,0,0,,,0,10,22,170,59,144,85,0,0,100,,23,183,831,398,431,225,266,67,21,416
90821,"Mace, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,1582,1576,1627,1515,1431,1969,2113,4100,4911,2876
90931,"Cumin seeds, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,50,0,0,0,20,,225,308,430,172,808,2211,2429,2320,3139,3273
90962,"Juniper berries and seeds of anise, badian, caraway or fennel, crushed or ground",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,7,0,0,0,,3,5,9,13,31,21,6,46,22,12
100119,Durum wheat (excluding seed for sowing),0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,14041,4775,3,5077,3914,620,1387,0,64,21
100390,Barley (excluding seed for sowing),0,0,0,0,0,0,0,0,0,,,127,135,87,99,228,538,842,193,263,237,,18504,17977,16493,16346,22297,35709,47887,62729,67690,164368
100590,Maize (excluding seed for sowing),0,0,0,0,0,15,1,0,0,,,208,78,128,58,54,9052,114,57,26,70,,462771,624214,1170180,1614132,1644258,1474889,2085299,2288632,2382111,2338105
100640,Broken rice,0,0,0,0,0,0,0,0,0,,,1,12,0,0,330,633,430,447,124,162,,2036,2060,1800,1947,3020,3735,4700,4620,6714,121378
110100,Wheat or meslin flour,428,220,405,423,150,181,336,986,179,,,12979,12966,14757,14857,16165,17403,20223,23118,25831,25766,,10738,8373,9651,9021,7491,11183,8678,17224,10026,9994
110412,Rolled or flaked grains of oats,0,0,0,0,0,0,0,0,0,,,0,0,3,33,21,3,0,0,37,14,,29,118,377,719,1016,1359,926,17999,3100,3813
110819,"Starch (excluding wheat, maize, potato and manioc)",0,0,0,4,1,3,0,10,1,,,480,507,631,434,724,631,710,425,449,580,,1108,787,1102,744,1490,3050,896,1167,2478,2423
120510,"Low erucic acid rape or colza seeds """"yielding a fixed oil which has an erucic acid content ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,3,0,0,0,3,0,0,,69,77,296,377,292,70,32,34,31,52
121020,"Hop cones, ground, powdered or in the form of pellets; lupulin",0,0,0,0,0,0,0,0,0,,,0,0,0,107,0,10,0,149,85,14,,2466,4143,4982,4466,11026,10044,15906,10953,9854,7850
121120,"Ginseng roots, fresh or dried, whether or not cut, crushed or powdered",377,228,548,624,379,533,675,785,724,,,83964,106615,107440,84891,51227,67081,81073,82018,68942,80812,,481,354,810,862,895,1015,1258,1074,1032,2863
121130,"Coca leaf, fresh or dried, whether or not cut, crushed or powdered",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
121190,"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ...",159,90,58,401,304,93,40,49,78,,,3565,2837,4401,4005,3203,4188,3840,5219,6875,8009,,15276,22460,26711,32269,20912,28548,31983,45109,56773,77127
130212,Extracts of liquorice (excluding that with a sucrose content by weight of > 10% or in the form ...,8,8,21,71,5,51,51,0,33,,,331,240,469,564,527,528,589,608,456,525,,8,39,39,114,64,127,255,186,140,264
150110,"Lard, rendered or otherwise extracted (excluding lard stearin and lard oil)",0,0,0,0,0,0,0,0,0,,,0,0,54,698,1,0,0,0,0,0,,0,0,0,2,0,0,0,0,1,94
150120,"Pig fat, rendered or otherwise extracted (excluding lard)",0,0,0,0,0,0,0,0,0,,,0,40,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,2,
151110,Crude palm oil,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,7642,7200,9818,1549,0,1,66,176,268,
151411,"Low erucic acid rape or colza oil """"fixed oil which has an erucic acid content of < 2%"""", ...""",0,0,0,0,0,3,0,0,0,,,0,53,76,73,20,38,19,0,0,0,,496,1499,2798,1774,2170,2012,3332,2709,2585,35
151529,"Maize oil and fractions thereof, whether or not refined, but not chemically modified (excluding ...",11,11,103,96,58,20,24,32,36,,,10134,10084,12128,15197,14652,15453,9306,12448,8219,10718,,4139,5375,4379,2971,4710,3597,2358,2542,2261,2646
151550,"Sesame oil and its fractions, whether or not refined, but not chemically modified",22,26,35,41,114,200,209,263,439,,,872,1450,2793,2799,3672,4101,4624,5323,8234,9004,,499,1235,1278,1041,1089,1544,2030,2117,3224,3358
160220,Preparations of liver of any animal (excluding sausages and similar products and finely homogenised ...,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,2,4,0,,94,192,98,111,372,206,165,276,400,696
160417,"Prepared or preserved eels, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,,,2,147,4,17,47,25,82,140,81,801,,35,44,61,78,179,460,1190,1903,1228,2399
160540,"Crustaceans, prepared or preserved (excluding smoked, crabs, shrimps, prawns and lobster)",0,0,0,0,0,0,0,0,0,,,16,25,25,45,13,35,25,2,21,22,,0,122,0,596,219,43,0,173,21,221
160559,"Molluscs, prepared or preserved (excluding smoked, oysters, scallops, mussels, cuttle fish, ...",1,0,0,0,0,13,0,2,3,,,4807,6441,9007,7649,7612,8208,8157,13816,10408,10157,,63,108,688,549,1159,289,13,388,378,1284
170114,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excluding ...",0,0,0,0,0,0,88,48,0,,,8,32,66,300,467,274,138,314,241,165,,27432,22876,27202,51691,65919,44831,45359,86504,205012,83454
170220,"Maple sugar, in solid form, and maple syrup (excluding flavoured or coloured)",0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,10,6,9,2,241,,0,144,3,4,8,15,13,22,35,94
190211,"Uncooked pasta, not stuffed or otherwise prepared, containing eggs",0,0,0,0,0,0,0,0,0,,,363,442,428,324,215,192,262,341,445,488,,23,86,15,33,10,51,312,166,186,110
190300,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, ...",0,4,0,1,1,0,0,0,0,,,5,18,57,33,36,28,37,97,26,60,,120,203,224,262,579,1916,3783,4212,3802,5229
190520,"Gingerbread and the like, whether or not containing cocoa",4,0,0,1,2,2,17,30,151,,,0,0,0,0,0,0,5,1,5,10,,7,3,7,18,2,40,75,112,271,327
200410,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",0,0,0,0,0,0,0,0,0,,,0,13,1016,330,39,66,75,42,51,725,,3245,4904,6009,6993,14439,12129,25896,38386,24382,21753
200600,"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar (drained, ...",0,0,0,0,0,0,0,5,0,,,378,477,445,394,745,809,770,747,761,930,,333,275,460,288,720,1182,1871,1469,1042,7235
200850,"Apricots, prepared or preserved, whether or not containing added sugar or other sweetening ...",0,0,0,0,0,0,0,0,4,,,0,0,0,1,0,18,0,0,0,0,,100,46,148,316,219,143,217,99,110,49
200989,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening ...",29,27,47,62,86,43,25,37,87,,,7414,3450,3424,2931,2535,4631,4185,4421,5528,12287,,1875,2699,3324,2997,3730,3946,3133,4434,3361,7759
210130,"Roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates ...",0,0,0,1,1,11,0,6,1,,,6097,5401,6614,6902,5955,4127,4157,3885,5205,5379,,166,766,79,158,142,1636,2438,1291,2115,2255
210310,Soya sauce,20,61,248,497,546,922,873,1302,891,,,13864,15345,13470,13104,13440,13967,14469,15230,16073,18603,,844,2862,4265,4940,5802,6820,6954,7994,8238,8015
230320,"Beet-pulp, bagasse and other waste of sugar manufacture",0,0,0,0,0,15,0,0,0,,,0,0,0,0,254,640,790,835,1114,1002,,0,0,0,5,4,20,47,28,15,1111
230610,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,16,176,1164,122,0,0,126,0,0,1748
230660,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,0,0,0,0,0,,,0,0,15,9,7,0,0,0,0,0,,22766,27346,27478,25008,35885,46369,53499,65812,66653,94048
240210,"Cigars, cheroots and cigarillos containing tobacco",0,0,0,0,0,0,0,0,0,,,151,307,5,214,2,0,0,21902,21663,43,,24,34,76,181,135,140,54,14,18,31030
240311,Water-pipe tobacco (excluding tobacco-free. See subheading note 1.),0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,306
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",8,11,78,22,29,26,16,19,39,,,8988,12422,9812,10467,10686,9344,10163,10811,10555,12510,,21476,17917,18928,18280,15462,21425,24109,28824,23939,42954
250810,Bentonite,19,48,81,89,57,140,415,650,619,,,799,896,915,991,2186,1584,2113,1857,1928,2891,,3516,2928,3396,4840,4629,6141,6758,8412,10929,18069
251741,"Marble granules, chippings and powder, whether or not heat-treated",0,0,0,0,0,0,0,0,0,,,0,33,1,709,11,15,0,5,1,20,,1,5,33,7,58,1,0,2,220,310
252100,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of ...",26,17,14,1,12,0,1,0,0,,,754,1369,1048,421,594,668,1355,1516,2155,3250,,74,307,542,186,73,43,1681,107,119,80
252220,Slaked lime,0,0,0,4,0,1,3,2,19,,,161,183,132,202,250,173,124,104,121,161,,137,386,123,99,82,48,35,65,67,280
252230,Hydraulic lime (excluding pure calcium oxide and calcium hydroxide),0,0,0,0,0,11,0,0,0,,,3,10,0,1,1,0,0,1,0,0,,24,5,18,38,30,30,18,32,63,615
252310,Cement clinkers,0,0,0,0,0,35,0,2,0,,,206129,194005,197598,156030,91011,58992,137366,196579,144513,129328,,23832,7891,9431,8243,26827,35109,19258,17048,18204,4403
252390,"Cement, whether or not coloured (excluding portland cement and aluminous cement)",27,14,6,2,4,3,1,0,1,,,4638,4111,3170,2278,1200,1227,501,514,383,453,,3255,2657,4395,1430,202,313,415,407,908,580
252530,Mica waste,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,2
252800,"Borates, natural, and concentrates thereof, whether or not calcined, and natural boric acids ...",1,0,0,0,0,0,0,0,0,,,83,55,85,96,106,91,126,203,176,105,,297,201,297,422,938,1136,1724,2551,2528,2410
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),0,0,0,0,0,0,0,0,0,,,9929,13607,8084,707,43,48,137,349,9301,17439,,2435,2435,5039,5972,130633,242193,683379,1057975,1388639,1649065
260200,"Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a ...",0,0,0,0,0,0,0,0,2,,,0,42,0,15,4,0,74,55,0,0,,19631,24229,47762,25844,27386,44309,38631,28321,23266,7358
261100,Tungsten ores and concentrates,755,526,0,2117,1534,108,294,357,733,,,1973,581,2540,682,2,24,3786,797,3112,83,,103003,120341,80887,33971,36055,27060,9771,11361,13650,14185
261210,Uranium ores and concentrates,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
262099,"Slag, ash and residues, containing metals or metal compounds (excluding those from the manufacture ...",0,0,0,0,0,0,0,0,0,,,10492,10066,9833,2886,1805,15033,44246,16312,3491,31593,,269,17,12,3,0,2,0,14,21,1201
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",0,0,5467,0,1,10,28,0,1,,,1802,11447,4944,277,101,19480,20022,3777,35271,123307,,37298,45240,127041,95156,85675,213876,318686,312247,219961,439652
271410,Bituminous or oil-shale and tar sands,39,81,31,42,28,42,15,23,48,,,0,0,2,0,0,0,0,23,51,11,,46,81,31,42,28,42,158,122,54,11
271500,"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ...",57,3,38,44,33,94,257,314,343,,,4641,4787,6820,6022,6066,4561,5010,4064,3960,22323,,9419,3777,3507,4228,3720,3842,3720,4045,4227,5028
271600,Electrical energy,0,0,0,0,0,0,0,0,0,,,0,0,0,1,28,2,0,0,0,0,,158655,221180,142704,142847,135536,109041,170869,187782,173217,66523
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",11251,13620,15111,13361,11307,16928,17717,20979,17428,,,201770,216830,237042,190246,169219,209935,299200,295384,257344,363959,,83132,87320,104213,87641,88828,138055,198406,192825,177246,269783
280430,Nitrogen,0,7,5,2,50,14,12,58,27,,,133,407,235,282,153,289,223,237,150,140,,128,112,119,143,645,835,624,646,526,291
280469,"Silicon containing < 99,99% by weight of silicon",14,37,14,19,32,154,91,69,93,,,6080,8021,12908,8999,7185,10628,3963,2473,4103,2562,,2128,2654,4088,6557,9409,12159,16607,13106,16728,23676
280540,Mercury,0,0,0,0,0,0,0,0,0,,,110,83,4,0,2,2,0,0,0,0,,228,128,80,20,32,22,0,0,0,
280610,"Hydrogen chloride """"hydrochloric acid""""""""",6,100,82,1144,1125,1211,557,657,195,,,13985,5340,3553,4703,6485,5860,4516,4335,5490,8228,,440,626,577,4047,5720,5566,3315,4963,2488,2529
281910,Chromium trioxide,51,108,49,3,7,18,27,23,30,,,378,663,1579,970,639,714,1244,1348,1271,1550,,4705,4103,3469,3011,2541,3042,3677,3445,2942,2009
282300,Titanium oxides,4197,5241,6005,4686,3644,5192,4912,4550,3867,,,87675,78149,67719,45953,43915,58271,57662,59626,51947,58430,,38991,32293,35919,35497,29288,44577,44499,39242,35195,39001
282550,Copper oxides and hydroxides,0,29,29,253,1580,4187,3266,4989,5930,,,12744,9765,11153,7465,8543,10921,8955,11598,10889,7994,,1895,4829,6103,7375,10130,14528,14171,15296,18243,14073
282570,Molybdenum oxides and hydroxides,0,0,0,0,0,0,0,0,0,,,155,2198,501,593,3972,6924,9930,8554,7999,15232,,64,383,3,2,1,2,1,0,1003,3883
282732,Aluminium chloride,4,50,64,436,52,118,54,48,11,,,163,58,86,419,112,211,168,129,214,301,,3136,4904,5285,7009,8081,9991,10655,11587,10615,4152
282741,Chloride oxides and chloride hydroxides of copper,0,17,5,31,0,214,15,7,0,,,496,49,18,0,0,26,31,0,1,0,,33,533,820,639,2661,1622,1691,2962,4441,4893
282760,Iodides and iodide oxides (excluding inorganic or organic compounds of mercury),1,3,4,9,16,14,19,25,18,,,5529,12434,10757,8063,5244,7558,4669,4930,4321,4718,,978,1108,949,807,779,601,550,969,677,748
283311,Disodium sulphate,2,4,1,16,45,18,28,4,3,,,174,27,94,10,29,954,1190,748,16,10,,29558,33750,31103,27413,28784,34876,45557,41588,40632,25650
283327,Sulphate of barium,47,96,28,6,7,23,71,136,24,,,704,421,455,387,381,409,771,564,315,185,,1618,2343,2344,2165,2965,4342,5909,8240,7528,9166
283510,"Phosphinates """"hypophosphites"""" and phosphonates """"phosphites""""""""",16,4,0,27,106,96,92,173,143,,,751,609,654,37,35,35,101,107,116,314,,930,271,1122,1647,1492,1848,2599,2318,2543,2110
283919,"Silicates of sodium, incl. commercial silicates (excluding sodium metasilicates)",81,103,119,190,217,309,485,467,340,,,114,340,544,642,629,548,371,402,433,267,,2558,4670,3136,3152,4481,3847,3974,3386,2268,1000
284011,"Anhydrous disodium tetraborate """"refined borax""""""""",0,0,0,1,0,0,0,0,0,,,0,0,0,31,1,1,1,0,1,1,,159,215,74,164,54,95,23,12,10,5
284190,"Salts of oxometallic or peroxometallic acids (excluding chromates, dichromates, peroxochromates, ...""",457,443,279,318,295,280,366,250,81,,,231463,346500,405681,395449,422482,682901,910553,1958305,2428789,4423597,,2554,2304,1628,1505,1728,1645,1654,1937,1494,14432
284430,"Uranium depleted in U 235 and its compounds; thorium and its compounds; alloys, dispersions, ...",0,0,0,0,0,0,0,0,0,,,0,74,360,57,30,3,86,11,1,5,,2,0,0,0,0,8,0,0,0,45
284510,"Heavy water """"deuterium oxide"""" [Euratom]""""",0,0,0,0,0,0,6,6,0,,,0,0,0,0,0,0,0,1,1,5,,0,10,35,25,236,771,165,83,34,
284610,Cerium compounds,1,0,4,1643,51,632,0,0,0,,,5474,1166,46,1831,268,602,115,160,176,235,,649,3273,6796,9551,6174,10455,0,0,0,145
284990,"Carbides, whether or not chemically defined (excluding of calcium or silicon, and inorganic ...",0,417,456,0,0,0,0,18,111,,,41936,39271,45597,30713,26343,29687,36702,27879,21837,29605,,187,446,529,12,443,1150,1426,1259,546,1149
285210,"Compounds, inorganic or organic, of mercury, chemically defined (excluding amalgams)",17,0,35,43,0,0,1,2,0,,,59,61,130,63,71,12,44,37,48,30,,179,83,136,228,90,184,31,58,119,747
290219,"Cyclanes, cyclenes and cycloterpenes (excluding cyclohexane)",2439,2667,2697,2611,1658,2128,2818,4690,3344,,,51749,53700,57401,53417,50844,60439,81039,85129,62260,90142,,2957,3249,3488,3632,2851,4307,5145,7727,6342,7869
290313,"Chloroform """"trichloromethane""""""""",0,0,2,0,7,7,9,5,7,,,6265,4048,6489,3874,2791,3002,5066,4554,2514,5252,,103,92,79,51,96,73,107,58,77,90
290371,Chlorodifluoromethane,1,14,0,51,0,0,0,0,0,,,725,4,0,773,1787,2346,3977,3708,2261,4271,,6286,5002,7110,7488,6099,7261,9636,9045,4795,5631
290399,"Halogenated derivatives of aromatic hydrocarbons (excluding chlorobenzene, o-dichlorobenzene, ...""",350,241,262,4,18,36,43,15,0,,,7158,4338,3376,7546,7963,11004,14280,22045,19986,23996,,2208,260,428,49,228,400,567,383,675,1161
290490,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated ...",1,8,14,49,71,77,0,0,0,,,853,112,408,650,8077,0,0,0,0,0,,1710,1574,2091,1374,542,1028,0,0,0,
290712,Cresols and their salts,10,6,1,0,2,1,5,4,0,,,198,726,1772,1096,851,632,588,245,177,12,,20,23,14,20,24,85,14,11,3,13
290722,"Hydroquinone """"quinol"""" and its salts""""",0,0,0,0,9,3,0,0,0,,,1644,1412,631,63,61,16,64,49,4,23,,46,130,106,71,200,218,128,192,181,69
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...""",249,75,77,360,409,523,321,307,253,,,30714,34709,42917,41880,39547,44380,76273,69451,74429,118205,,4711,4799,5974,5449,6133,7611,9409,9166,8187,8541
291100,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, ...",0,0,0,0,0,0,0,0,0,,,219,436,179,4,834,1741,1510,2157,2166,3664,,3,15,14,60,53,342,524,425,472,145
291260,Paraformaldehyde,0,0,0,0,0,0,0,0,0,,,0,0,7,0,7,16,48,16,51,14,,190,138,181,79,104,135,263,140,144,305
291431,"Phenylacetone """"phenylpropan-2-one""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,61,216,374,395,245,
291529,Salts of acetic acid (excluding inorganic or organic compounds of mercury),2,1,41,46,40,45,24,33,9,,,185,168,240,136,447,456,1749,1558,1230,2253,,1508,1389,1419,1456,1556,1672,1465,2571,2533,3669
291616,Binapacryl (ISO),0,4,7,0,0,0,0,0,0,,,,,,,,,,,,,,0,4,7,23,0,0,0,0,0,
291619,"Unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids ...",1,13,12,8,7,12,30,29,58,,,1180,12261,9789,12630,12306,14271,16076,20904,24394,29128,,1903,2804,2585,2347,2825,4055,4621,5245,5632,5340
291737,Dimethyl terephthalate,8,27,5,1,85,29,2,1,12,,,27656,17084,20237,17029,34033,48757,50442,39603,29627,44776,,28,47,25,27,102,61,24,14,19,238
291817,"Phenylglycolic acid """"mandelic acid"""", its salts and esters""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,166
291899,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and ...",80,155,112,162,23,125,70,58,16,,,4911,7582,9788,11484,16004,17837,24123,30470,23145,29103,,2417,2239,1926,3498,3613,2859,3790,3163,3491,3209
291990,"Phosphoric esters and their salts, incl. lactophosphates; their halogenated, sulphonated, ...""",136,51,66,103,28,229,56,63,201,,,11169,3327,3633,2525,1349,2680,5898,7789,8913,8648,,1350,2541,6343,4856,3115,4477,6953,8465,9583,36474
292021,Dimethyl phosphite,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,
292159,"Aromatic polyamines and their derivatives; salts thereof (excluding o-phenylenediamine, m-phenylenediamine, ...",3,11,23,27,26,28,42,46,92,,,4523,1198,691,827,2001,4080,4359,5909,4819,4253,,1685,1038,2032,1734,1971,1612,2678,1805,1763,2019
292213,Triethanolamine and its salts,5,6,4,2,38,133,0,0,0,,,1441,3145,2903,1304,845,0,0,0,0,0,,2569,2936,3621,3996,3945,3902,0,0,0,13
292423,"2-Acetamidobenzoic acid """"N-acetylanthranilic acid"""" and its salts""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,4,0,0,,808,882,477,692,892,1267,119,0,0,
292519,"Imides and their derivatives; salts thereof (excluding saccharin and its salts, glutethimide ...",51,47,92,33,126,155,226,241,293,,,729,928,878,1004,3613,3892,4490,6935,6335,3713,,241,163,323,226,330,402,539,500,716,1094
293090,"Organo-sulphur compounds (excl. thiocarbamates and dithiocarbamates, thiuram mono-, di- or ...",95,80,268,104,169,127,541,459,1491,,,38325,56703,57740,69245,65951,75419,93104,97351,96700,117400,,9205,10350,16682,16649,19001,23109,37099,42845,50291,97335
293120,Tributyltin compounds,0,0,0,0,0,0,0,0,0,,,43,77,0,0,3,1,0,3,2,2,,5,0,1,0,1,0,0,0,1,1
293139,"Separate chemically defined organo-phosphorous derivatives, n.e.s.",0,0,0,0,0,0,28,0,1,,,0,0,0,0,0,725,955,2700,1482,670,,0,0,0,0,0,0,471,1075,1504,19002
293212,"2-Furaldehyde """"furfuraldehyde""""""""",0,0,0,0,0,0,0,0,0,,,45,0,0,0,0,0,0,0,0,0,,714,570,655,635,522,1007,1006,603,416,813
293292,"1-""""1,3-Benzodioxol-5-yl""""propan-2-one""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,67,0,0,0,0,0,0,
293329,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused imidazole ring, ...",38,85,81,74,24,94,55,99,148,,,20688,19062,20443,21108,8449,12236,14381,16290,16757,24685,,2787,3473,5191,5459,5076,6681,7278,7337,12090,11985
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",33,46,43,47,71,78,35,107,837,,,6773,6119,21996,30290,5809,15708,14727,12007,10829,10957,,5159,5043,8280,10818,11212,12230,11833,12507,16165,45452
293361,Melamine,1,8,454,201,208,224,172,115,72,,,376,336,578,420,961,934,528,442,270,144,,3813,5322,6649,7156,11807,15421,26496,26468,25944,41183
293430,"Heterocyclic compounds containing in the structure a phenothiazine ring-system, whether or ...",0,0,0,33,14,8,7,0,0,,,50,42,52,137,138,186,88,14,64,2,,783,1045,1293,1295,1528,1525,1643,1617,1146,791
293623,"Vitamin B2 and its derivatives, used primarily as vitamins",264,184,701,1399,846,606,1602,1138,468,,,41373,34927,40242,40259,35508,35053,44033,39802,38049,48559,,2617,2663,3602,4517,7495,6345,7582,7063,4033,3343
293628,"Vitamin E and its derivatives, used primarily as vitamins",20,0,108,173,21,3,165,0,0,,,1583,1532,693,726,652,706,692,888,1021,1565,,23319,21858,20312,13475,23106,20080,17793,14628,23025,29616
293723,Oestrogens and progestogens,0,0,0,0,0,0,0,0,0,,,0,30,0,61,290,1,1,1,507,0,,304,1539,1233,1390,1952,1668,2800,842,775,393
293890,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other ...""",209,168,134,243,190,300,223,282,269,,,3248,2869,4523,8613,10430,13404,13976,15766,19687,20588,,438,435,1385,1458,1926,2536,4320,4689,4908,5555
293920,Alkaloids of cinchona and their derivatives; salts thereof,0,0,0,0,0,0,0,0,48,,,0,0,0,0,3,3,1,1,2,1,,86,17,42,42,93,41,70,199,303,14
