Product code,Product label,Germany's imports from Russian Federation-Value in 2012,Germany's imports from Russian Federation-Value in 2013,Germany's imports from Russian Federation-Value in 2014,Germany's imports from Russian Federation-Value in 2015,Germany's imports from Russian Federation-Value in 2016,Germany's imports from Russian Federation-Value in 2017,Germany's imports from Russian Federation-Value in 2018,Germany's imports from Russian Federation-Value in 2019,Germany's imports from Russian Federation-Value in 2020,Germany's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
910529,Wall clocks (excluding electrically operated),0,0,0,6,0,0,0,0,0,21,,118,323,57,32,67,189,564,383,489,514,,1392,1404,1480,1053,1447,3140,3200,2424,1676,1881
871620,Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,0,0,0,0,0,0,0,0,0,21,,4097,3657,5198,2694,2034,1326,2892,2528,2620,3385,,57426,62901,60977,52237,50311,52968,72562,81568,94333,111702
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",1,23,5,7,1,6,3,16,6,21,,3845,5696,7558,6017,4379,6485,7964,10115,13709,17759,,693591,713839,689122,725110,684626,705020,780163,798974,826074,910185
890710,Inflatable rafts,17,26,405,41,32,0,3,127,70,21,,3488,2871,2042,776,2622,2596,2782,3615,2158,8927,,5356,5933,13516,39797,49737,61962,79907,100073,79096,55102
848140,Safety or relief valves,5212,2369,1573,291,92,37,74,263,279,21,,15218,22924,14841,16212,9871,13072,20196,18133,16946,18257,,265760,259697,243551,219302,231158,262405,332089,349936,281979,285404
821220,"Safety razor blades of base metal, incl. razor blade blanks in strips",50,175,112,105,44,5,4,4,9,21,,33386,37710,38865,26802,29608,32233,30188,30690,29087,32337,,117841,125781,141316,123033,92521,93390,106628,107077,117432,117106
480592,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets ...",1976,1565,2136,1627,122,646,356,12,9,21,,54882,60845,81336,68376,38118,50300,74218,66269,61669,97090,,29300,22666,19915,15585,17572,18643,14939,11769,12573,15633
200110,"Cucumbers and gherkins, prepared or preserved by vinegar or acetic acid",0,0,2,0,0,1,3,3,10,20,,510,1011,1785,1523,1954,2315,3218,3850,4846,6025,,46816,56918,59775,57170,47237,56370,52607,65672,82385,88316
200520,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",19,18,13,9,51,9,8,10,10,20,,34381,69347,70782,44545,41003,52238,65157,84659,94655,110501,,150689,170352,180115,151489,171423,197477,197183,196522,165121,181959
960310,"Brooms and brushes, consisting of twigs or other vegetable materials bound together, with or ...",17,30,11,0,0,54,6,25,2,20,,229,308,277,154,304,516,472,542,519,918,,2769,3510,3857,3125,3282,3651,5475,3826,3788,4984
845090,"Parts of household or laundry-type washing machines, n.e.s.",464,22,17,14,17,41,35,30,31,20,,1343,602,516,484,618,784,876,1011,1173,1736,,94597,90602,95042,86651,87834,96580,93322,89461,90466,89938
630140,"Blankets and travelling rugs of synthetic fibres (excluding electric, table covers, bedspreads ...",0,5,1,96,3,40,1,1,17,20,,288,497,931,684,838,796,1089,1108,1231,1957,,126152,138769,147644,127012,120684,127596,130184,113949,117279,148593
620453,Women's or girls' skirts and divided skirts of synthetic fibres (excluding knitted or crocheted ...,41,3,21,3,7,1,2,50,65,20,,553,1432,2044,2052,1578,1674,1698,2282,2758,1730,,102954,106429,124176,93960,96836,106620,119684,134943,119542,108304
420100,"Saddlery and harness for any animal, incl. traces, leads, knee pads, muzzles, saddle cloths, ...",0,1,22,0,0,1,11,0,2,20,,262,190,118,152,202,299,435,525,920,1363,,126416,134822,163306,145709,149611,160600,172408,176274,179403,264212
851140,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition ...,223,60,73,28,10,4,4,9,7,20,,13525,8465,10965,7478,7719,9736,11338,11485,10532,21861,,397096,454389,474023,422249,437292,477558,551656,488927,425860,391070
960330,"Artists' brushes, writing brushes and similar brushes for the application of cosmetics",9,9,7,16,10,20,14,17,22,20,,848,1424,1474,1163,1460,1885,2585,2905,2971,4163,,35127,40309,46337,47279,65618,72447,71151,58036,46304,51190
392043,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",1,0,1,0,3,1,6,6,10,20,,4239,4383,3438,2132,4840,6901,10314,12215,17143,27608,,143313,133390,139519,134688,132085,141367,145767,126161,120625,127696
292142,Aniline derivatives and their salts,0,0,0,0,0,3,38,50,52,20,,49208,49717,32590,27864,25946,36814,23512,18436,14254,16298,,37118,30208,29989,25728,26053,29116,36546,31158,37419,39846
250300,"Sulphur of all kinds (excluding sublimed sulphur, precipitated sulphur and colloidal sulphur)",0,0,0,0,4,0,0,5,3,20,,569648,302989,445368,344985,196737,220520,330628,272465,160140,255140,,15425,14273,21738,16656,12538,11932,14882,15272,10992,13579
30191,"Live trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...""",0,0,0,0,0,0,0,0,0,20,,8,3,0,1,4,45,0,12,0,0,,16930,24391,25817,19956,22353,23972,24239,25628,24770,32961
621142,"Women's or girls' tracksuits and other garments, n.e.s. of cotton (excluding knitted or crocheted)",26,0,0,29,0,0,4,5,19,20,,351,664,819,745,780,867,1203,1371,1370,1865,,101448,85752,82252,70037,67828,67299,73666,86589,83216,92721
650699,"Headgear, whether or not lined or trimmed, n.e.s.",6,11,2,1,16,10,4,5,5,20,,828,1873,844,1031,870,960,1576,1408,1315,1258,,13166,15440,15879,12707,15130,15734,15624,16683,13471,18960
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",265,45,168,26,174,18,13,36,55,20,,5027,6437,4784,7042,4800,3394,4337,5106,4427,9924,,992356,909802,972896,631327,514070,670269,565417,483863,499592,536797
870891,"Radiators and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",42,60,67,14,13,68,14,18,18,20,,48027,43517,33597,20291,24336,27283,27518,28160,25590,34032,,750182,882038,916645,778349,843603,912932,949989,933703,886219,970778
430190,"Heads, tails, paws and other pieces or cuttings of furskins suitable for use in furriery",3,0,0,0,0,26,0,25,48,20,,0,0,0,0,50,0,0,26,67,21,,56,90,59,47,1,46,0,72,48,32
901510,Rangefinders,2,33,4,3,1,0,6,11,5,19,,7258,4293,3260,7278,8875,8969,5629,11956,5634,8212,,59240,67394,74489,75001,64398,64849,68602,79970,62575,82271
630221,Printed bedlinen of cotton (excluding knitted or crocheted),10,1,1,43,16,3,106,172,444,19,,4257,4654,3990,2120,2058,2318,2549,3510,3016,3830,,356506,394929,434109,349026,312683,339552,356597,333173,342524,406346
845590,"Parts of metal-rolling mills, n.e.s.",4,436,0,26,28,3,65,104,52,19,,3277,1639,4748,6300,3528,2192,2196,2454,2249,2255,,189175,174554,128424,64272,54912,62922,85484,80712,62702,61922
210120,"Extracts, essences and concentrates, of tea or mate, and preparations with a basis of these ...",3,4,20,0,0,43,0,3,0,19,,493,668,484,438,500,677,3342,1246,1837,5919,,36343,48226,41293,31639,34327,33956,39986,32242,35761,39086
120600,"Sunflower seeds, whether or not broken",1227,894,3009,192,195,152,121,71,161,19,,118958,33996,41928,32241,82626,131170,49827,251465,562510,62031,,370268,380963,309763,247382,224633,231342,255619,250024,260848,249702
291521,Acetic acid,0,461,0,0,0,0,0,0,1,19,,30890,23544,30102,20816,10952,16811,17446,26261,18661,13250,,196325,260755,266419,215587,176970,196954,278917,227826,201258,286884
401039,"Transmission belts or belting, of vulcanised rubber (excluding endless transmission belts ...""",12,97,449,4,13,28,31,10,44,19,,6842,5999,5905,4023,3973,5027,6499,7252,7699,8800,,147970,145511,155830,148424,156289,165490,172271,151896,142684,178785
732010,"Leaf-springs and leaves therefor, of iron or steel (excluding clock and watch springs and shock ...",0,1,0,3,14,3,10,6,5,19,,12894,14943,10503,8127,8065,10590,10855,10589,9779,13494,,189058,219368,209260,160908,156726,146411,149028,116557,96307,128797
853180,Electric sound or visual signalling apparatus (excluding indicator panels with liquid crystal ...,500,291,192,45,10,8,10,0,5,19,,6930,8693,7508,10990,9667,6852,8594,6665,5107,7538,,120990,138464,197229,187914,258355,178477,204081,232528,249605,416358
853610,Fuses for a voltage <= 1.000 V,15,34,11,42,0,5,2,4,28,19,,4004,2926,2505,3041,2211,2186,2786,3089,2153,2780,,100938,92704,88852,79900,87887,103865,118011,126208,126332,183533
920590,Wind musical instruments (excluding brass-wind instruments),34,11,1,8,5,10,9,27,9,19,,258,190,203,107,305,192,277,514,546,605,,57884,51741,48025,46261,47256,48474,52533,52565,47084,46753
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",35,78,27,21,40,0,5,44,9,19,,733,264,646,652,267,353,516,625,712,702,,36591,36514,41984,43935,41197,49407,56109,70076,82783,138286
391400,"Ion-exchangers based on polymers of heading 3901 to 3913, in primary forms",0,0,0,0,0,0,0,0,0,19,,2565,3805,2474,2010,1628,4397,4348,8140,3850,9412,,81625,99107,99395,96789,99812,114925,110600,126605,140907,159750
570500,"Carpets and other textile floor coverings, whether or not made up (excluding knotted, woven ...""",71,1,9,0,0,2,0,5,14,19,,220,552,495,819,920,1359,1768,1836,2087,2690,,52724,52104,54099,51734,49918,56823,50944,45100,57352,78971
852380,"Media for the recording of sound or of other phenomena, whether or not recorded, incl. matrices ...",14,1,4,2,0,1,5,3,8,19,,2315,1212,1221,896,867,971,996,334,451,380,,35680,41753,55338,63843,71627,81290,98614,90157,98620,132063
281122,Silicon dioxide,6,0,57,0,0,0,1,6,87,19,,1076,1370,1309,866,1301,2738,3585,3331,3593,6440,,193009,171387,179352,151828,167130,195971,217936,202985,168774,192788
847290,"Office machines, n.e.s.",35,97,21,0,16,1,2,0,25,19,,10102,20019,23411,10844,4886,6670,6563,10555,5151,6740,,221123,234976,268915,239556,268656,259181,341378,304623,283612,285207
846031,"Sharpening """"tool or cutter grinding"""" machines, numerically controlled""""",0,0,0,0,0,17,11,0,0,19,,548,36,0,24,31,128,188,105,207,242,,22096,15794,26580,30368,28878,32363,38307,29409,19365,32813
848130,"Check """"non-return"""" valves for pipes, boiler shells, tanks, vats or the like""""",1389,864,623,291,18,56,55,146,17,18,,10410,18085,9181,13996,10517,13221,16173,15316,19224,20557,,122543,140026,150443,123764,132659,149725,168638,182063,152352,166326
732190,"Parts of domestic appliances non-electrically heated of heading 7321, n.e.s.",0,0,0,1,7,4,0,1,28,18,,441,694,819,836,1195,644,613,631,882,1338,,71109,78971,75795,60074,64540,69356,77067,80036,84567,120681
611211,"Track-suits of cotton, knitted or crocheted",0,0,0,0,0,1,3,0,5,18,,475,772,791,563,651,504,654,844,1076,1914,,28830,26786,26871,20224,20166,27618,25256,29125,37930,55124
420310,"Articles of apparel, of leather or composition leather (excluding clothing accessories, footware ...",49,4,23,15,6,9,7,8,18,18,,1126,1091,1876,1577,1469,2067,2141,2573,2297,2791,,436302,459914,507484,416930,364719,349973,349718,314894,289746,282579
841861,Heat pumps (excluding air conditioning machines of heading 8415),3,2,0,5,0,0,0,0,0,18,,66,1256,26,149,87,240,203,534,723,306,,158473,181707,173885,151004,198279,201130,254603,254455,351723,684949
490210,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising ...",567,534,447,99,1,0,1,2,0,18,,1989,1638,305,231,197,173,192,149,95,90,,12319,10726,8627,6184,3216,2610,2304,1862,1395,904
610342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of cotton, knitted or ...",0,1,0,1,0,0,1,1,4,18,,3165,4297,4364,2538,4351,6186,6221,7937,7535,12397,,81484,97002,96931,101566,113964,122946,140748,138774,157860,251315
293629,"Vitamins and their derivatives, used primarily as vitamins, unmixed (excluding vitamins A, ...",0,0,3,0,0,0,0,53,3,18,,10,22,92,357,411,956,496,159,739,2001,,117749,109203,111468,103711,99980,110782,102950,96448,178267,120050
830621,"Statuettes and other ornaments, of base metal, plated with precious metal (excluding works ...",0,0,0,1,0,15,1,0,4,18,,942,407,145,554,360,809,556,389,3817,619,,4798,4598,5362,5195,7722,9178,8379,6576,5059,8155
481960,"Box files, letter trays, storage boxes and similar articles, of paperboard, of a kind used ...",1,0,4,7,3,4,2,0,1,18,,47,59,110,137,71,171,73,49,49,149,,46638,44904,56608,48326,42270,44799,47367,60650,63147,49016
251611,"Granite, crude or roughly trimmed (excluding already with the characteristics of setts, curbstones ...",0,0,11,48,67,116,109,42,0,18,,73,132,48,71,111,77,101,97,150,197,,16911,14378,20359,15571,15977,22973,17499,14970,10609,11602
81350,Mixtures of nuts or dried fruits,0,0,0,10,12,12,8,10,19,18,,380,526,673,366,518,608,665,897,1032,864,,25150,33267,34586,30510,28817,27929,28687,28785,26673,24441
91099,"Spices (excluding pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, ...""",0,0,0,0,0,0,13,16,49,18,,778,1059,979,999,1808,1923,1588,2160,3148,3936,,35407,40911,45019,43709,46475,55038,55843,55811,60837,54706
841830,"Freezers of the chest type, of a capacity <= 800 l",0,116,33,18,43,5,39,201,0,18,,7992,9134,8988,9760,9873,13732,13637,17913,20047,31882,,39020,38613,38521,40731,38744,31560,39764,33082,45355,48129
830260,Automatic door closers of base metal,575,182,0,0,2,0,2,5,2,18,,726,750,852,909,1080,1418,1603,1843,2269,3174,,77688,84985,85424,71815,83254,87251,104414,96196,93963,109802
293329,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused imidazole ring, ...",17,15,19,14,11,13,16,5,11,18,,70,113,1377,266,1881,1949,1333,151,1317,456,,78851,82337,52840,48878,55289,55395,61943,62139,76728,91293
81340,"Dried peaches, pears, papaws """"papayas"""", tamarinds and other edible fruits (excluding nuts, ...""",0,256,215,1,1,0,4,4,17,18,,222,572,472,529,377,281,403,652,587,710,,42444,53300,65265,55075,64556,62433,74747,76715,75733,87296
821000,"Hand-operated mechanical devices, of base metal, weighing <= 10 kg, used in the preparation, ...",0,0,0,0,0,0,1,0,0,17,,1092,1033,961,770,855,773,1126,758,954,1238,,46058,52265,53432,51550,53614,50930,50150,60586,65667,81179
294110,Penicillins and their derivatives with a penicillanic acid structure; salts thereof,0,0,0,0,0,0,0,0,0,17,,2,451,413,585,50,536,316,67,606,487,,32178,35346,34427,24203,23576,18093,21280,20284,24587,18288
310560,Mineral or chemical fertilisers containing the two fertilising elements phosphorus and potassium ...,0,0,0,0,0,0,0,0,103,17,,1361,780,819,1527,3216,9634,9502,6226,9195,10707,,44170,39724,32515,25860,22486,24364,14070,16559,17709,18646
902590,"Parts and accessories for hydrometers, areometers and similar floating instruments, thermometers, ...",322,324,242,120,813,61,12,2,27,17,,5713,5020,5870,4819,5013,6579,6653,7647,6694,8970,,79197,81717,88327,76798,84439,97797,106989,89444,91588,94205
820130,"Mattocks, picks, hoes and rakes, with working parts of base metal (excluding ice axes)",11,21,23,8,3,1,0,39,7,17,,468,599,574,357,392,545,1279,1781,1842,2167,,12304,14630,16420,17005,16498,15007,18149,17356,17440,21936
840390,"Parts of central heating boilers, n.e.s.",0,1,107,0,0,0,7,13,18,17,,430,1420,1761,3041,1017,1365,2483,1936,4072,5118,,484067,489686,493682,532823,424905,492894,489843,397155,414801,462124
200210,"Tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid",0,0,0,0,0,0,0,4,13,17,,37,72,221,122,205,605,561,712,822,781,,189299,194821,215540,175497,166906,178791,187568,186946,204954,230363
420299,"Travelling-bags, shopping or tool bags, jewellery boxes, cutlery cases and similar, with outer ...",0,3,0,1,2,4,8,9,6,17,,977,755,868,876,557,764,892,858,816,1124,,55822,68373,71025,67152,72609,77181,91462,81864,75711,82052
340120,"Soap in the form of flakes, granules, powder, paste or in aqueous solution",1,13,84,34,1,0,0,0,9,17,,5771,8007,6840,6186,6135,6811,7232,11418,12662,11522,,65307,52383,58245,55827,62438,66013,67623,56171,83562,72781
200897,"Mixtures of fruits, nuts and other edible parts of plants, prepared or preserved, whether or ...",0,0,0,0,0,0,0,1,13,17,,94,2205,698,389,507,924,1358,1764,1912,2767,,96005,98908,84801,67725,69427,68083,68476,64939,58692,84813
732290,"Air heaters and hot-air distributors, incl. distributors which can also distribute fresh or ...",0,5,2,0,39,19,0,1,4,17,,9682,8427,7920,6664,9213,9566,12350,15777,19263,25890,,64221,69626,63556,58536,60211,70392,73569,54991,57422,54834
854690,Electrical insulators (excluding those of glass or ceramics and insulating fittings),6,0,39,0,5,75,41,27,13,17,,17788,14985,7710,5729,7312,7839,7097,7419,5562,9112,,87587,88044,90375,92431,99647,95112,110577,89869,95231,92894
251710,"Pebbles, gravel, broken or crushed stone, for concrete aggregates, for road metalling or for ...",2,2,3,0,0,4,0,17,13,17,,1707,970,2730,5348,2083,4722,5485,8941,10613,12667,,39265,43165,42296,37348,35927,37878,42169,65580,43992,48682
321590,"Ink, whether or not concentrated or solid (excluding printing ink)",3,0,0,1,2,1,5,2,5,17,,614,747,1055,972,976,1886,1704,2755,3367,3975,,1634465,2155295,2106438,1626445,967503,300689,1663618,1578921,1743261,1676487
291419,"Acyclic ketones, without other oxygen function (excluding acetone, butanone """"methyl ethyl ...""",51,14,15,14,12,6,23,22,5,16,,29,17,11,30,95,45,59,76,161,137,,27713,32073,27701,18935,20725,20756,27179,21544,20311,25261
847910,"Machinery for public works, building or the like, n.e.s.",2468,435,693,575,437,201,309,51,32,16,,11766,10166,6805,7102,7366,8004,8212,8162,7316,19602,,77421,78645,75564,70370,81190,85538,91501,91631,64169,68654
71190,"Vegetables and mixtures of vegetables provisionally preserved, e.g. by sulphur dioxide gas, ...",0,0,0,0,0,0,0,0,4,16,,2377,2828,1426,1824,1585,1755,1899,2662,1585,1628,,11417,10404,10312,13793,12400,13031,15376,13749,13362,12679
392112,"Plates, sheets, film, foil and strip, of cellular polymers of vinyl chloride, unworked or merely ...",1,9,8,4,1,5,22,3,8,16,,2686,3333,2931,9933,3707,3651,2593,7186,9374,4564,,103870,109986,113906,105008,103778,108679,119702,113736,103663,115804
870432,"Motor vehicles for the transport of goods, with only spark-ignition internal combustion piston ...",0,0,0,0,0,0,0,0,8,16,,1242,635,439,89,167,376,1522,594,173,456,,0,0,0,0,0,0,31,506,1500,832
390440,"Vinyl chloride copolymers, in primary forms (excluding vinyl chloride-vinyl acetate copolymers)",0,0,0,0,0,0,0,0,0,16,,61,4,164,107,37,16,6,2,5,5,,6476,9112,9630,12470,11837,14821,13391,12092,8922,9506
843340,"Straw or fodder balers, incl. pick-up balers",0,0,0,0,0,0,0,0,12,16,,2079,5335,7657,5198,5966,7820,9185,9403,8045,11271,,71366,82457,71686,59953,61342,66428,80485,78970,76568,86947
560121,"Wadding of cotton and articles thereof (excluding sanitary towels and tampons, napkins and ...",0,0,0,0,0,0,4,5,6,16,,7083,10603,11835,5321,6049,9991,10811,11862,12385,13955,,33858,41839,43638,39797,49011,44974,44136,49187,52968,44117
730793,"Butt welding fittings of iron or steel (excluding cast iron or stainless steel products, and ...",337,0,0,81,0,0,146,25,21,16,,41285,34099,41895,41397,19190,14868,19703,29348,23930,20057,,60497,56154,53033,43136,40567,39356,52503,49072,43239,48571
630229,"Printed bedlinen of textile materials (excluding cotton and man-made fibres, knitted or crocheted)",0,0,0,0,3,1,0,0,0,16,,10,47,107,64,93,115,174,157,264,191,,2665,2726,992,2187,989,725,1080,1520,865,814
890790,"Rafts, tanks, coffer-dams, landing stages, buoys, beacons and other floating structures (excluding ...",0,0,4,0,0,0,0,5,0,16,,1375,11348,21736,795,1204,1618,1461,1571,1009,667,,30321,6208,5237,4430,3300,3668,2709,2063,3306,4181
262190,"Slag and ash, incl. seaweed ash """"kelp"""" (excluding slag, incl. granulated, from the manufacture ...""",0,0,0,0,0,0,0,0,0,16,,2566,3099,2002,2002,4340,3555,4559,9262,4777,1431,,21626,17183,22439,15388,13159,19805,25269,20272,17404,70060
810720,Unwrought cadmium; cadmium powders,7,18,21,17,16,23,16,27,6,16,,1946,1300,1248,915,1473,955,1850,1463,1313,1228,,263,237,192,83,99,120,128,194,187,336
610419,"Women's or girls' suits of textile materials, knitted or crocheted (excluding of synthetic ...",0,0,0,0,0,0,0,0,2,16,,45,140,387,58,321,259,139,334,294,718,,9958,6587,4726,2624,1879,5884,19356,12996,3260,2032
620640,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excluding knitted or ...",18,36,14,3,72,0,0,0,1,15,,723,2729,4732,4336,3890,4223,4495,4187,3110,3507,,441673,586740,767425,847236,878233,928664,983688,877437,667808,600685
830210,"Hinges of all kinds, of base metal",22,55,86,0,23,6,1,27,6,15,,1567,2290,3009,2376,3280,4054,5536,6463,6865,8791,,302742,316289,384087,346941,369889,394677,451045,466471,513128,571747
846692,"Parts and accessories for machine tools for working wood, cork, bone, hard rubber, hard plastics ...",25,127,63,92,23,163,55,63,38,15,,337,540,455,249,255,529,974,515,779,1134,,146325,147342,159410,152479,155027,192863,185279,180754,191460,227445
842611,Overhead travelling cranes on fixed support,0,0,0,143,0,0,0,0,0,15,,6740,2406,2115,19005,6674,20721,11409,25016,17106,16552,,8916,5535,5850,4069,5201,10121,5746,4876,4280,24624
845970,Threading or tapping machines for metals (excluding way-type unit head machines),0,0,0,0,0,32,23,0,49,15,,659,827,377,161,441,255,425,1864,689,358,,5759,2654,2603,2403,2710,2340,3431,2514,2216,3644
130190,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins (excluding gum ...",0,0,1,0,2,2,0,0,1,15,,456,879,1380,495,499,779,642,936,661,1256,,30341,31233,28229,21524,25913,27653,24319,19950,20369,26174
691310,"Statuettes and other ornamental articles of porcelain or china, n.e.s.",9,13,1,1,5,8,9,9,12,15,,220,704,348,327,305,274,240,253,261,373,,31336,29097,32029,28157,27707,29275,30685,28919,25548,33723
440691,"Railway or tramway sleepers """"cross-ties"""" of wood, impregnated, coniferous""""",0,0,0,0,0,0,0,0,2,15,,0,0,0,0,107,7142,7634,9587,7252,8122,,0,0,0,0,0,3326,7119,3644,4019,1389
960321,"Tooth brushes, incl. dental-plate brushes",0,3,0,0,0,0,0,0,0,15,,1780,2978,3394,3014,7179,11055,10999,12290,14823,16639,,168986,182128,183884,180997,180146,203281,211992,234410,312784,387579
851690,"Parts of electric water heaters, immersion heaters, space-heating apparatus and soil-heating ...",4,2,10,1,1,3,5,6,4,15,,368,1046,498,381,361,667,976,998,919,1878,,300208,296024,320584,341022,349377,307827,331206,291786,353135,471300
851850,Electric sound amplifier sets,33,10,3,1,4,9,3,5,4,15,,1452,2430,1385,585,852,585,507,535,1359,753,,34158,30317,36481,34760,35212,46101,47682,36700,57419,72728
848079,Moulds for rubber or plastics (other than injection or compression types),1,144,67,362,111,20,318,140,13,15,,547,740,1274,265,944,215,517,249,554,775,,118115,117462,115318,118527,118002,115716,113548,101047,90143,77697
730300,"Tubes, pipes and hollow profiles, of cast iron",0,4,164,614,105,201,87,104,48,15,,9406,12580,13225,6257,6244,8985,10393,9050,7764,8391,,36833,33357,30953,37178,41908,40724,44920,44295,45739,65902
620339,"Men's or boys' jackets and blazers of textile materials (excluding of wool, fine animal hair, ...",1,31,0,0,0,0,25,26,7,15,,72,99,250,177,113,143,994,449,253,147,,39216,37693,41511,41609,47751,46416,46797,47018,43558,35088
251400,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or ...",9,16,8,2,4,14,1,23,13,15,,5857,5503,276,332,183,349,254,643,619,526,,6583,6885,7065,5351,5870,5859,5934,5810,5080,6307
392630,"Fittings for furniture, coachwork and the like, of plastics (excluding building components ...",21,20,10,67,15,14,6,38,11,15,,3072,4987,4246,2993,3309,4509,4456,6586,8087,9432,,310193,352959,482505,412502,392903,490690,586828,569661,507726,657033
730721,Flanges of stainless steel (excluding cast products),38,68,15,38,0,152,53,42,41,15,,3254,3431,2271,1873,1538,2133,2556,1741,1717,2130,,146938,126531,124566,105177,92159,107742,135166,136004,119011,145026
761210,"Collapsible tubular containers, of aluminium",0,0,0,2,0,0,0,3,0,15,,317,232,1329,1122,1556,1564,2025,1533,1512,1524,,45507,46291,44333,45330,44490,51627,63521,60864,61223,62308
821194,"Blades of base metal for table knives, pocket knives and other knives of heading 8211",0,0,0,0,12,0,4,3,10,15,,55,18,51,39,88,141,238,166,215,388,,8300,7638,9189,9096,10395,11323,12413,13101,15533,20001
846150,"Sawing or cutting-off machines, for working metals, metal carbides or cermets (excluding machines ...",20,0,76,0,0,75,25,18,9,14,,1892,921,1255,950,2550,2040,1281,4609,2851,5930,,59014,42629,41675,40692,34087,38055,45209,53047,41694,48824
620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excluding ...",65,110,84,149,64,52,56,20,9,14,,6315,6399,8060,4558,4930,6080,6989,8972,7257,8360,,458125,504202,591303,507438,577271,624344,693535,721253,694009,797439
970190,Collages and similar decorative plaques,149,72,17,14,2640,33,38,3,66,14,,12,6,1,30,209,975,5,25,58,124,,23957,15665,12293,8562,14517,13618,16873,20969,11900,22636
30722,"Scallops and other molluscs of the family Pectinidae, frozen, even in shell",0,0,0,0,0,0,0,0,0,14,,0,0,0,0,8,15287,12988,10804,7006,8141,,0,0,0,0,0,27705,13175,13452,8518,10284
853932,Mercury or sodium vapour lamps; metal halide lamps,48,31,66,87,56,69,173,79,87,14,,2704,3483,6105,2547,2467,3598,3197,3154,2636,2433,,153417,147391,142365,115354,118178,107208,91348,65977,44016,44998
854520,Carbon brushes for electrical purposes,2,0,0,3,2,0,11,12,11,14,,5939,5259,3338,2793,2382,3680,4362,3914,3454,4325,,42964,43850,46882,43796,44840,55173,67903,59759,51731,50167
920994,"Parts and accessories for musical instruments, the sound of which is produced, or must be amplified, ...",2,3,17,0,2,1,3,17,17,14,,6,7,2,2,40,29,64,83,160,194,,65347,29544,18738,19795,20292,23351,26939,26959,37056,47620
340700,"Modelling pastes, incl. those put up for children's amusement; preparations known as dental ...""",0,17,0,0,0,0,0,2,2,14,,2911,3844,4735,2990,3840,4797,5179,6061,5119,7287,,54907,55775,58332,66205,75337,69257,72763,66408,65756,87605
620433,"Women's or girls' jackets and blazers of synthetic fibres (excluding knitted or crocheted, ...",0,0,16,25,35,30,70,56,134,14,,402,1189,2084,1978,1332,1021,1845,2171,1702,2525,,299579,261182,265212,240812,226044,230529,249047,244157,219738,235670
611596,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",0,0,0,0,0,0,2,39,21,14,,325,891,1365,875,1132,1878,2229,2596,2364,3021,,119811,137647,149465,140520,150045,171278,178105,181318,170193,196049
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",1,5,1,0,0,4,42,0,13,14,,2194,2181,2464,1796,2159,2807,2816,2582,3265,3123,,103432,88510,80624,70539,71587,87789,109641,94019,85650,109084
640420,Footwear with outer soles of leather or composition leather and uppers of textile materials ...,23,0,6,0,0,22,4,1,5,14,,3970,2972,4460,2699,1795,1932,2382,2600,1958,2632,,20055,21170,26027,18281,22740,34468,49798,39871,28283,31281
