Product code,Product label,"Russian Federation's imports from Taipei, Chinese-Value in 2012","Russian Federation's imports from Taipei, Chinese-Value in 2013","Russian Federation's imports from Taipei, Chinese-Value in 2014","Russian Federation's imports from Taipei, Chinese-Value in 2015","Russian Federation's imports from Taipei, Chinese-Value in 2016","Russian Federation's imports from Taipei, Chinese-Value in 2017","Russian Federation's imports from Taipei, Chinese-Value in 2018","Russian Federation's imports from Taipei, Chinese-Value in 2019","Russian Federation's imports from Taipei, Chinese-Value in 2020","Russian Federation's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
901730,"Micrometers, callipers and gauges (excluding gauges without adjustable devices of subheading ...",65,76,33,13,27,20,26,807,729,902,,4645,6250,5113,4737,6329,6261,6443,5928,6386,6442,,4340,5686,5342,4499,5076,7624,10177,11227,9657,12632
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",391,329,1310,379,1259,1669,2272,2123,1410,898,,0,8216,113082,103121,83170,69125,54708,51771,48345,47958,,805207,822015,816784,593866,547983,523266,492610,501759,415401,483688
821300,"Scissors, tailors' shears and similar shears, and blades therefor, of base metal (excluding ...",340,322,307,140,232,197,804,1104,805,888,,28016,30291,30823,28852,31396,30347,32106,34008,35814,40182,,12360,11840,14032,8836,9597,14656,15694,17340,14538,22975
330420,Eye make-up preparations,1183,696,736,555,911,1215,1042,1547,1178,884,,35332,40039,44468,48067,63196,62307,60434,69907,59937,72242,,185023,185537,181164,136258,138008,156811,159403,165422,123781,152294
820890,"Knives and cutting blades, of base metal, for machines or for mechanical appliances (excluding ...",376,405,330,237,404,435,485,802,781,878,,53332,54726,62572,49745,40051,45369,45504,40898,39711,47081,,27292,28430,30333,24037,29223,34784,39429,42003,44094,46927
390890,"Polyamides, in primary forms (excluding polyamides-6, -11, -12, -6,6, -6,9, -6,10 and -6,12)",38,0,0,0,0,1,764,553,184,877,,74197,69967,65080,57728,70325,83856,84739,61012,59355,74421,,38649,40563,35950,23260,25853,30289,32729,32838,34238,46642
292029,"Phosphite esters and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives ...",0,0,0,0,0,0,339,327,338,875,,0,0,0,0,0,86307,99791,94031,78513,95392,,0,0,0,0,0,663,743,685,2267,3985
850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",3238,2262,1531,768,569,490,488,630,567,865,,176969,215384,186987,216995,197985,246097,223972,195324,185873,257409,,71700,76416,75291,51328,62311,93398,106047,104619,118765,140061
940370,"Furniture of plastics (excluding medical, dental, surgical or veterinary, and seats)",1213,1382,1931,1125,664,756,944,1079,872,863,,32512,32439,37482,26762,22640,23028,23089,22176,28305,31682,,40560,51734,42146,27639,22057,28515,33162,37485,42030,56157
846291,"Hydraulic presses for working metal (excluding forging, bending, folding, straightening and ...",378,2742,2307,233,349,722,870,747,573,856,,29709,25444,25087,22269,17311,24822,19363,33418,18513,15974,,38654,45172,58825,24965,16073,29902,35840,28661,28063,38860
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",234,335,177,202,305,394,617,760,976,853,,31178,32391,41469,52278,66694,77851,87593,75082,65106,85163,,1548756,1737908,1450673,785663,856412,1254878,1434571,1436325,1224702,1681148
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",644,27,34,18,1,167,149,277,518,846,,6327,6388,6554,8215,6804,5799,5507,36178,342878,608959,,616756,550302,449572,207260,197422,285040,344967,295642,287799,384621
392321,"Sacks and bags, incl. cones, of polymers of ethylene",220,127,83,989,69,128,77,866,756,840,,81834,81399,98698,79518,76186,82781,92476,92047,99124,119086,,116554,137090,122477,87258,82300,86922,89280,87504,81401,89074
960719,Slide fasteners (excluding fitted with chain scoops of base metal),414,1187,3524,877,1344,1630,872,508,652,838,,177932,194495,202643,180381,175120,186210,181077,170513,147956,201493,,12407,14080,17233,8515,9452,10980,15886,14995,17532,25541
844790,"Machines for making gimped yarn, tulle, lace, embroidery, trimmings, braid or net and machines ...",403,292,290,144,474,1032,723,762,643,838,,39305,30240,27176,35855,43906,50216,58678,49291,46157,65076,,6339,8709,6539,3020,4624,8580,8418,9288,6680,7634
830249,"Base metal mountings, fittings and similar articles (excluding locks with keys, clasps and ...",278,290,230,463,668,789,821,958,831,820,,200372,154088,157783,148447,137893,144830,98976,94158,95737,128503,,26017,29514,29229,23458,21109,26148,28075,26612,26058,30410
845969,"Milling machines for metals, not numerically controlled (excluding way-type unit head machines, ...",1136,1187,747,767,1325,1304,1093,681,829,813,,90221,83315,79650,75176,56532,66427,74118,51353,41812,53681,,15636,23270,20629,10226,7877,8890,10043,8705,10741,9115
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,0,24,0,138,807,,0,0,0,0,0,190,288,820,2059,3273,,0,0,0,0,0,93486,159027,178351,153677,237914
281121,Carbon dioxide,401,770,689,666,376,166,386,830,738,805,,8947,13588,16434,11242,10310,12349,11104,7273,8020,13596,,2881,3870,3188,2885,2238,1994,1787,2678,2202,3004
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",1068,1330,1417,303,549,1243,726,1118,821,805,,2981995,3822898,3295263,2517299,469680,459008,453227,390102,367586,463884,,26672,31542,29897,13631,14886,27761,26053,26980,27300,28807
841420,Hand-operated or foot-operated air pumps,496,464,712,421,582,388,506,460,594,804,,49645,44226,50879,53743,48873,52555,53969,54002,64558,81174,,11504,11303,10137,5849,5045,5734,6199,6470,5867,7842
846039,"Sharpening """"tool or cutter grinding"""" machines, not numerically controlled""""",754,1064,752,419,348,837,622,644,284,796,,9559,9980,7550,5640,7719,7402,7414,5428,2545,4538,,19810,22540,18635,8684,9419,13210,13760,14596,15113,17780
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,394,539,1154,859,1326,1091,1351,1205,762,793,,324277,260071,271671,298697,262544,291614,350131,343941,284164,316940,,153572,159641,152403,114000,123462,138762,152318,141166,146823,170814
611510,"Graduated compression hosiery [e.g., stockings for varicose veins], of textile materials, knitted ...",619,117,63,32,9,250,554,867,305,787,,1377,2116,3386,3473,3057,4206,4609,6006,6736,10169,,23648,25079,29278,17149,19069,23190,25413,26929,15425,20910
846012,"Flat-surface grinding machines for finishing metal, numerically controlled",0,0,0,0,0,200,378,625,1171,781,,0,0,0,0,0,37093,47525,76316,32953,56603,,0,0,0,0,0,6576,6282,6710,6006,8568
842482,"Agricultural or horticultural mechanical appliances, whether or not hand-operated, for projecting ...",0,0,0,0,0,318,325,741,399,771,,0,0,0,0,0,7897,10229,8863,9849,13580,,0,0,0,0,10,91850,78624,66811,102904,195961
847990,"Parts of machines and mechanical appliances, n.e.s.",490,421,228,166,301,281,643,271,408,765,,199867,188875,209453,204281,197936,241580,276531,235419,191170,259594,,81184,107882,85018,57144,63611,79288,90324,101859,103231,103716
320820,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",122,39,74,140,375,1077,1243,803,813,761,,30563,28828,38917,32779,32988,34409,32925,30259,28442,31355,,183170,195561,176406,113600,109345,134035,146047,147719,131563,152342
390740,"Polycarbonates, in primary forms",1386,534,644,532,380,329,311,608,444,758,,616360,674293,730584,727236,693239,971708,1121821,828877,753553,1421293,,139862,112308,104493,56814,40481,55727,63641,76552,73702,65451
842531,Winches and capstans powered by electric motor,1697,2312,1659,1067,339,747,715,807,666,756,,23391,20411,20908,19318,18092,20876,19750,24240,21647,24107,,56685,84004,57273,50556,49735,63309,44586,55078,64861,87403
903120,"Test benches for motors, generators, pumps, etc.",571,953,632,2653,1955,1611,5167,1003,540,755,,9774,8766,8684,11522,16946,17968,9377,27172,11645,8399,,170361,164646,96586,71870,94834,69367,60978,69855,54555,85117
730729,"Tube or pipe fittings of stainless steel (excluding cast products, flanges, threaded elbows, ...",510,1314,423,264,298,580,552,641,513,754,,149764,128644,134288,127330,112333,145025,162850,150743,110702,164733,,41075,50098,54403,36193,39660,54982,56436,56566,60061,64596
330491,"Make-up or skin care powders, incl. baby powders, whether or not compressed (excluding medicaments)",2849,1724,2784,1866,2261,1960,1695,1143,1280,747,,23073,22903,22431,23824,33181,23864,25940,22305,17096,16897,,61797,64039,56727,41129,44329,51071,51503,49564,33470,41425
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",152,489,63,202,480,228,100,123,219,744,,301680,316696,333150,331233,374039,435514,528796,468131,677673,755771,,177922,159690,222073,281823,181737,255905,283860,255879,249209,239868
842420,"Spray guns and similar appliances (other than electrical machines, appliances and other devices ...",1047,704,723,332,598,660,828,885,668,743,,35215,40196,39913,44118,46886,54044,60035,59284,62015,77139,,88131,67141,85630,35172,37690,47535,49776,53899,54723,84123
871491,"Frames and forks, and parts thereof, for cycles, n.e.s. (excluding for motorcycles)",449,868,462,286,201,269,584,364,624,737,,387603,368380,431297,473409,457193,513809,574787,557393,611637,929500,,32747,35499,32265,21873,19211,21493,27182,30348,17966,43989
903033,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",2810,3188,2623,1735,2338,1510,921,550,431,730,,43551,48874,57380,61885,67332,69279,73652,55176,62196,76442,,50663,74257,40864,30271,25794,25631,30760,27975,26505,30906
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",3528,1282,1201,959,464,1417,524,382,746,729,,185749,199198,231954,216388,208797,207527,208359,221481,195553,236080,,252252,247508,209209,167729,160315,169723,180218,190648,195723,270020
841350,"Reciprocating positive displacement pumps for liquids, power-driven (excluding those of subheading ...",232,300,431,384,391,491,371,653,464,729,,8996,10807,15241,17088,17959,24816,29926,21476,26485,19577,,222742,264769,217202,155978,154091,230291,268084,235416,270818,272852
844110,"Cutting machines for making up paper pulp, paper or paperboard (excluding bookbinding machinery ...",3958,2402,1895,559,741,2121,796,1281,1179,724,,30022,39184,38047,36098,32106,34547,39116,40072,31951,41181,,48063,40605,28582,27077,26748,34165,43076,38923,26660,36066
851580,"Electric machines and apparatus for laser or other light or photon beam, ultrasonic, electron ...",1245,1949,938,560,913,2268,371,1084,2320,721,,39520,37462,33971,26606,23247,27163,26706,28670,36646,29207,,136897,111203,119814,50098,49235,58442,86636,83101,95387,91852
844140,"Machines for moulding articles in paper pulp, paper or paperboard (excluding drying equipment)",0,312,590,337,300,0,3867,50,570,719,,5274,6051,5387,12960,23295,8209,8820,15493,10043,9568,,6605,9188,5966,14319,7684,7151,14204,4861,5608,6706
851840,Audio-frequency electric amplifiers,914,472,380,207,110,118,236,347,586,718,,11841,11818,10511,8041,8595,11580,13162,21918,25299,24879,,41682,42325,39768,19139,20639,28566,34484,38955,37481,48469
330410,Lip make-up preparations,996,928,1208,755,819,1351,1240,1343,1107,716,,34920,31028,37430,41758,46302,44875,48125,49009,34832,39329,,132274,135941,127515,99692,120965,149422,148857,133048,81284,92161
940350,Wooden furniture for bedrooms (excluding seats),26,5,51,65,59,322,251,410,510,705,,11302,10997,11501,11021,7995,10770,8854,10865,11529,12095,,187712,193287,167714,86349,53414,53175,54533,51737,50247,63441
741220,"Copper alloy tube or pipe fittings """"e.g., couplings, elbows, sleeves""""""""",606,272,649,510,234,417,272,517,488,702,,54788,51614,59643,57523,55092,66664,73422,68916,69108,93552,,167295,130435,121541,101974,110566,146249,167371,154520,156243,225767
960350,"Brushes constituting parts of machines, appliances or vehicles",178,791,495,249,323,491,413,344,691,701,,9118,10807,6266,5678,5022,7695,12876,11161,9868,11918,,60869,70710,64531,45284,56897,74437,66175,57323,53003,69272
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",428,765,686,66,57,233,468,589,396,685,,11766,14407,17182,17036,16580,19806,21749,26341,40742,79556,,85686,75897,73877,43622,31574,41991,45984,50361,48387,65957
830230,"Base metal mountings, fittings and similar articles suitable for motor vehicles (excluding ...",1719,451,471,262,249,289,391,469,499,678,,35129,38032,44651,42977,36959,46338,49598,49837,48453,78516,,129668,144366,145180,92113,104077,145836,170848,174059,158350,209616
903300,"Parts and accessories for machines, appliances, instruments or other apparatus in chapter 90, ...",81,94,22,124,63,50,44,83,210,670,,97005,81635,74911,78723,76152,97205,103156,67322,67528,81424,,12012,13251,11237,8590,8614,10691,14186,10674,13926,17053
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",256,433,157,157,217,556,468,266,584,668,,3024,1755,1227,1492,1481,1757,1493,3329,2871,1978,,465338,455938,351948,176604,205015,276207,304762,318815,306682,306241
950629,"Water-skis, surfboards and other water-sport equipment (other than sailboards)",466,1863,1226,690,406,676,717,711,643,658,,50347,55617,62539,60693,62512,64783,70603,71310,68562,105838,,8492,10928,10946,7451,7284,10156,11506,14674,13286,21094
960390,Mops and leather dusters; prepared knots and tufts for broom or brush making; squeegees of ...,822,589,472,415,749,913,533,679,599,655,,29889,29626,28620,27662,29350,30229,28989,28136,30161,27523,,63256,67893,64882,42316,49716,63800,70149,72886,78422,110161
854890,"Electrical parts of machinery or apparatus, not specified or included elsewhere in chapter ...",170,107,108,266,366,413,524,375,453,636,,190720,172350,169012,140415,138060,214829,210454,246808,184136,210303,,605,442,908,728,1191,2159,3145,4130,5071,6792
940290,"Operating tables, examination tables, and other medical, dental, surgical or veterinary furniture ...",2155,1260,872,118,117,78,80,37,192,634,,99679,98060,98048,102946,93228,101373,104291,101424,106663,112773,,173318,124567,92373,46585,45153,52858,67546,73127,110474,101751
540231,"Textured filament yarn of nylon or other polyamides, with a linear density of <= 50 tex per ...",199,160,197,29,74,112,189,506,460,630,,225405,231238,218677,154436,138089,161976,168396,136889,90365,112710,,18599,9673,7658,4379,5648,8250,7285,6723,4832,7259
392530,"Shutters, blinds, incl. Venetian blinds, and similar articles and parts thereof, of plastics ...",377,286,391,173,100,92,428,482,576,627,,64776,68342,69129,66083,69440,72243,81371,74835,67098,78623,,16410,15479,17611,11053,9603,11978,15395,17349,16234,19828
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,1241,1780,862,475,318,430,455,823,712,627,,61013,70003,66224,76727,80602,98047,120340,116002,128320,160839,,548382,579265,856519,286483,246932,404173,442114,536563,476248,532772
732020,"Helical springs, of iron or steel (excluding flat spiral springs, clock and watch springs, ...",251,235,262,185,187,448,279,372,413,624,,6080,6550,6561,5451,7417,6132,7194,7763,9703,11847,,108060,115868,104639,60954,70123,89634,104904,112107,95733,117665
830140,Locks of base metal (excluding padlocks and locks for motor vehicles or furniture),601,972,536,385,283,458,577,654,465,621,,201528,226671,241642,252929,254061,276412,313949,332167,360201,428780,,51514,42097,32414,22170,22954,34940,49745,54030,68569,78173
590310,"Textile fabrics impregnated, coated, covered or laminated with poly""""vinyl chloride"""" (excluding ...""",2434,1218,992,730,338,760,917,610,289,621,,202537,183629,177954,169003,155870,156638,153627,129454,105505,131447,,54665,40628,36982,23340,27340,29292,27124,28180,25707,40236
400811,"Plates, sheets and strip of cellular rubber",310,185,153,325,324,194,151,475,725,614,,4347,3732,3053,3738,4466,4493,3912,4108,3111,3936,,16081,19119,16077,11794,8330,8310,10176,11090,13231,14245
290531,"Ethylene glycol """"ethanediol""""""""",0,0,0,0,0,2,0,0,0,614,,1257992,1395906,1389118,1099380,853967,1235503,1252756,832134,646016,889550,,45147,43919,36612,17290,26457,45356,53403,44067,42032,85963
722220,"Other bars and rods of stainless steel, not further worked than cold-formed or cold-finished",50,25,43,14,3,0,0,12,200,613,,206480,177855,227771,215915,170745,182272,200852,206814,149618,206335,,61072,62117,68634,34196,39211,49651,56055,46752,56822,64973
851190,"Parts of electrical ignition or starting equipment, generators, etc. of heading 8511, n.e.s.",122,80,219,310,1213,1350,805,536,528,606,,109971,97706,89343,75237,69668,60689,60861,48174,38440,52605,,42357,34949,31311,21082,30649,36740,39373,35955,34971,60463
731829,"Non-threaded articles, of iron or steel",209,390,366,635,605,150,227,337,370,603,,39968,45792,52944,56581,70727,70269,86824,80202,75362,96677,,35770,33061,33410,29246,30923,45100,55269,64037,61788,84334
722090,"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",312,364,412,299,145,694,849,898,1058,598,,96587,92136,89843,72246,76082,16990,15152,14340,13548,14171,,19118,12915,9309,7326,7445,9635,10970,7988,7691,8249
540752,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",121,559,129,322,317,693,1002,760,747,598,,819274,838091,835798,802274,709357,684809,703155,697122,533740,642803,,10592,10029,7002,11960,9430,12696,21937,25212,21526,32651
844316,Flexographic printing machinery,1818,1914,2799,748,1441,2518,3051,1829,454,593,,63648,48112,39112,41611,21774,40224,34454,33705,40576,44374,,64271,68434,48705,32567,42252,73452,63585,46895,39535,43648
820750,"Tools for drilling, interchangeable (excluding rock-drilling or earth-boring tools and tools ...",872,810,771,702,448,467,340,365,462,593,,61823,57530,65131,67576,66288,72015,71350,65512,73581,81936,,371277,190696,123087,89340,81354,108387,122603,116282,122427,147765
810890,"Articles of titanium, n.e.s.",1,3,0,0,0,4,10,11,1,586,,32805,31511,31300,27802,26296,28018,26933,35274,38035,47056,,61098,72173,62763,37953,34982,43824,69744,33123,39129,42368
850431,Transformers having a power handling capacity <= 1 kVA (excluding liquid dielectric transformers),273,639,562,279,374,669,400,995,830,584,,38258,38598,36240,38388,39077,41892,44751,39656,35367,47771,,70296,58448,80367,29578,31281,33994,36530,40898,42584,45411
611780,"Ties, bow ties, cravats and other made-up clothing accessories, knitted or crocheted, n.e.s. ...",454,548,722,332,425,668,497,536,457,582,,13027,15832,15320,15536,15707,14962,14233,16268,13803,16079,,15522,9778,7360,4147,4572,4974,5539,76254,21718,28262
210690,"Food preparations, n.e.s.",424,673,1251,1459,459,513,654,665,613,581,,245717,278021,325763,371072,406688,460192,604534,700475,679984,828703,,822354,974817,918212,422711,461425,578012,623122,654484,698534,889950
291590,"Saturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; ...",0,0,0,7,1,264,227,489,594,575,,16005,11315,11240,11711,8571,7237,11930,19631,24522,4729,,12142,14951,14472,13413,17622,18144,19259,17908,19029,25782
830890,"Clasps, frames with clasps without locks, buckles and buckle-clasps, of base metal, for clothing, ...",601,433,507,563,690,513,615,843,602,574,,164236,162715,174856,140153,100499,105251,107978,102155,80680,120501,,9520,7885,6203,4249,5476,6126,7051,7803,7417,10548
392390,"Articles for the conveyance or packaging of goods, of plastics (excluding boxes, cases, crates ...",1094,1580,493,268,1475,1476,653,717,198,573,,71743,60935,62941,66461,73293,92674,102412,108672,126913,155326,,76142,87762,77397,56372,67372,80342,78887,84265,84143,96708
851989,"Sound recording or sound reproducing apparatus (excluding using magnetic, optical or semiconductor ...",57,79,57,65,54,71,51,87,316,572,,9957,3427,1846,1504,1811,1389,1190,1136,1053,8030,,6499,7597,9664,3735,4078,4650,5030,6497,8463,12267
847982,"Mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring ...",174,1098,743,123,989,363,766,652,241,569,,130994,135386,144730,119683,116556,127834,168889,117022,100785,108183,,264363,209104,195414,121486,141471,320999,218827,170958,196730,270576
391739,"Flexible tubes, pipes and hoses, of plastics, reinforced or otherwise combined with other materials ...",519,415,466,941,409,499,488,520,512,569,,60843,66480,60081,52408,50694,56692,64637,59299,77222,102474,,275764,95490,91642,77786,84303,108636,123305,127359,120897,153952
846330,"Machine tools for working metal wire, without removing material (excluding wire bending machines ...",334,315,486,181,127,1114,977,1120,771,567,,45752,40076,41095,30731,34458,34865,40200,30571,24710,34717,,15616,17695,14377,3942,4047,7271,11628,15000,11538,14735
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,96,24,12,596,1147,1392,214,247,735,563,,290562,430447,247515,269806,369808,921011,888122,1068687,1106574,1998520,,103607,117711,351740,73697,59897,37526,46335,53260,47928,34037
847690,"Parts of automatic goods-vending machines, incl. money changing machines, n.e.s.",122,35,83,115,141,273,389,349,382,559,,11983,8537,11186,9385,7987,11964,12796,11900,10500,21826,,11507,14423,10885,5167,2963,2154,3141,3014,3131,3547
392630,"Fittings for furniture, coachwork and the like, of plastics (excluding building components ...",320,393,317,436,486,687,600,447,525,557,,38186,37693,31703,26405,24234,25307,23324,22616,24081,29237,,155630,159263,151018,93928,100259,122023,136054,128977,107886,136445
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,26,274,68,35,87,87,318,458,513,556,,375306,430743,538692,515211,750482,949003,1268345,1265667,1526325,1837047,,5407,6310,9641,7246,7223,11710,10156,8978,7924,12991
820130,"Mattocks, picks, hoes and rakes, with working parts of base metal (excluding ice axes)",382,392,670,303,172,303,276,431,311,554,,4125,4120,5504,4756,3998,4375,4532,4398,6329,8171,,4458,4621,5885,3573,3318,2889,3394,3571,3163,4341
846229,"Bending, folding, straightening or flattening machines for flat products (excl. numerically ...",463,1401,1437,617,605,691,742,669,409,545,,29889,39502,33569,37094,23701,32505,29263,31164,22145,28643,,84078,87251,63593,20820,27530,27327,31666,30322,29121,39276
960720,Parts of slide fasteners,320,71,105,51,49,260,592,268,335,540,,64021,71712,77380,81449,79573,83022,86201,83942,60352,85378,,8934,8180,5104,3830,4935,6486,9393,11556,12596,16817
731511,Roller chain of iron or steel,221,311,223,342,513,358,290,297,414,537,,57981,59971,67502,63147,59351,66261,70453,67493,74726,96592,,40439,44201,41857,32484,40563,46321,48424,52656,52171,69264
950670,"Ice skates and roller skates, incl. skating boots with skates or rollers attached",56,246,25,437,53,11,209,463,326,535,,2708,3104,4214,3334,2358,3259,4382,4832,3278,4316,,66852,80016,76989,58382,41208,37760,34853,40555,29769,49728
853630,Apparatus for protecting electrical circuits for a voltage <= 1.000 V (excluding fuses and ...,256,297,262,431,221,286,419,491,504,534,,12171,11052,12077,19629,25408,22956,23195,16741,19963,20738,,686932,187207,82018,40773,43110,47928,57379,58454,66731,76733
540741,"Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides, ...",15,0,6262,355,0,0,13,0,107,529,,110243,113795,114707,111577,116144,129507,143732,118388,78041,87680,,1152,627,7158,1038,886,1225,1229,981,1290,2083
841869,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture),290,268,336,154,266,162,193,514,272,527,,44375,46969,52963,50500,52176,55035,53545,60322,46884,45988,,243004,248256,219173,141147,154149,224580,213736,242232,201050,263914
960329,"Shaving brushes, hair brushes, nail brushes, eyelash brushes and other brushes for use on the ...",131,24,36,30,44,114,169,376,402,525,,11305,13758,14023,13488,13776,13786,14284,12348,9527,9829,,10899,11869,9992,10277,9497,9260,8665,8693,9466,11684
852910,"Aerials and aerial reflectors of all kinds; parts suitable for use therewith, n.e.s.",1343,869,785,651,512,430,663,483,555,524,,296795,250800,235811,287715,270550,300579,270074,274224,250329,299526,,128728,104545,95893,43028,64161,86245,59493,60219,54533,65148
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",295,309,288,341,348,517,1074,985,816,523,,49342,48830,54193,47000,38138,47652,63281,60966,49781,68534,,76616,84685,90926,73656,86151,109385,126098,117394,122019,146952
853221,"Fixed electrical capacitors, tantalum (excluding power capacitors)",80,69,31,67,78,118,74,158,262,522,,135862,106963,63155,87986,126395,143533,166386,133618,163118,208236,,3176,2847,3217,2986,6413,11677,12667,12044,11954,15784
391290,"Cellulose and chemical derivatives thereof, n.e.s., in primary forms (excluding cellulose acetates, ...",479,276,391,390,303,199,262,356,441,521,,52737,57351,55092,57219,53988,54442,60048,56212,62024,70784,,12267,14483,9694,8923,9189,11425,12526,12471,14213,18379
820520,Hammers and sledge hammers with working parts of base metal,612,817,628,262,272,433,305,1031,429,519,,21473,23704,24566,24723,28274,30638,34696,32792,32414,47424,,19881,22350,21595,8632,7197,9818,12214,13112,11496,16031
851829,"Loudspeakers, without enclosure",2491,2012,1036,133,71,136,92,297,269,518,,38360,38736,36014,28429,22002,22428,22939,20658,22105,31609,,139506,132754,115756,56803,55806,66788,78287,81698,74710,92921
940180,"Seats, n.e.s.",2729,1793,1624,1546,559,367,333,257,468,518,,54812,56056,59759,55753,57982,60968,58609,58027,76498,84547,,73446,84949,83117,45139,39895,47974,54455,49916,47418,57831
846789,"Tools for working in the hand, hydraulic or with self-contained non-electric motor (excluding ...",736,1018,490,296,366,537,532,577,537,518,,15540,10006,7393,8970,11074,9491,9641,12179,8284,10631,,134739,155392,127976,44828,63224,97874,112880,98810,88568,149965
852290,Parts and accessories suitable for use solely or principally with sound reproducing and recording ...,282,95,84,1001,314,168,5,14,18,511,,39952,42034,30496,29488,26515,24038,30939,22474,25794,27293,,4784,1563,2052,2162,1061,1158,1144,928,644,1676
540245,"Filament yarn of nylon or other polyamides, incl. monofilament of < 67 decitex, single, untwisted ...",0,0,0,253,483,199,703,28,0,510,,213124,234036,238184,184243,154580,159850,147613,127294,89488,106267,,804,957,1035,1035,2003,2445,2700,1743,2662,2182
291612,Esters of acrylic acid,0,0,0,7,303,1503,1212,1346,841,507,,180969,189544,160185,145432,135102,164562,205174,166332,148494,333891,,23928,11645,13444,9321,5703,7427,8718,10049,5336,15396
281122,Silicon dioxide,1,2,3,1,2,2,149,32,153,501,,96688,94121,98960,90376,94441,97866,100836,105436,87928,101874,,54663,70468,64881,64088,74241,80491,82430,79973,66021,81796
340590,"Glass or metal polishes, whether or not in the form of paper, wadding, felt, nonwovens, cellular ...",3,72,44,4,2,19,154,253,495,501,,44339,24981,28092,21124,39800,34497,45426,60853,83159,129224,,9395,10901,10692,7284,6952,8116,9921,8379,8782,11257
846792,"Parts of pneumatic tools for working in the hand, n.e.s.",124,155,147,127,169,337,365,472,413,500,,62002,69567,76896,74452,74251,88900,89709,87529,83998,113921,,1623,3874,2498,1276,1168,1876,2048,2455,2238,2541
902590,"Parts and accessories for hydrometers, areometers and similar floating instruments, thermometers, ...",198,253,245,219,301,359,381,462,441,498,,12802,13318,14688,13485,10916,12711,12052,8368,21066,11733,,28710,32578,31082,22120,22884,32843,37898,39111,40312,47452
901110,Stereoscopic optical microscopes,108,2,32,159,382,135,237,241,181,494,,259,338,409,411,208,167,228,211,341,445,,37652,25696,22736,18351,18215,19721,30397,33117,32874,39416
940540,"Electric lamps and lighting fittings, n.e.s.",3716,1847,2021,1338,811,565,485,553,321,492,,289700,267259,252111,239906,231074,227252,204887,195618,180976,235475,,259161,244608,227071,160171,157281,266279,267065,277832,229371,272221
847950,"Industrial robots, n.e.s.",9,129,0,161,31,48,21,343,438,492,,75120,88794,84926,79648,107163,166596,158910,135988,135555,151422,,32603,41010,36028,18039,11247,25912,28352,32676,35263,42071
290389,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons (excluding 1,2,3,4,5,6-Hexachlorocyclohexane ...""",6,11,39,66,63,73,348,2498,338,490,,0,74,282,227,214,533,1371,4040,6314,12156,,7164,6895,6016,10416,4876,3868,6969,3496,1491,1212
