Product code,Product label,Germany's imports from Viet Nam-Value in 2012,Germany's imports from Viet Nam-Value in 2013,Germany's imports from Viet Nam-Value in 2014,Germany's imports from Viet Nam-Value in 2015,Germany's imports from Viet Nam-Value in 2016,Germany's imports from Viet Nam-Value in 2017,Germany's imports from Viet Nam-Value in 2018,Germany's imports from Viet Nam-Value in 2019,Germany's imports from Viet Nam-Value in 2020,Germany's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
611610,"Gloves, mittens and mitts, impregnated, coated, covered or laminated with plastics or rubber, ...",722,444,408,481,926,2577,3501,5487,5171,5980,,60173,60895,69203,75253,90017,104337,130860,161334,183113,198165,,178621,194383,228063,209013,215659,258009,278769,279211,276116,332689
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",8,0,145,2746,514,2249,1910,2983,2199,5969,,130,164,115,364,228,499,296,293,203,8046,,1874107,1834649,1528461,1129924,841621,964157,1174410,1594561,2411413,3723744
560394,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > than ...",26,48,172,407,7,201,360,260,1446,5912,,24250,23162,30076,32099,30699,27074,27961,39577,33662,25580,,72228,68742,77980,83961,75335,92369,104106,101849,97611,126056
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",60,2836,7063,4944,1163,1429,1270,1358,1539,5890,,29079,99878,70815,110329,146792,187542,264993,424664,495077,563221,,451151,447873,595458,714510,537101,538524,499093,519292,601574,641411
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),1377,1499,2326,3283,2831,3154,4681,5473,4002,5836,,30761,38841,46505,54680,49382,52382,59365,67037,65264,117454,,244849,203616,193634,168956,188704,220365,246256,270682,268623,339578
80550,"Fresh or dried lemons """"Citrus limon, Citrus limonum"""" and limes """"Citrus aurantifolia, Citrus ...""",22,495,3064,620,4748,6362,6564,4693,4926,5748,,3161,4486,8449,17291,26929,41296,46502,31724,36741,33278,,195903,252182,259438,255041,325787,314102,376281,324157,454448,387942
81190,"Frozen fruit and nuts, uncooked or cooked by steaming or boiling in water, whether or not sweetened ...",1410,1568,2736,2951,2108,3159,3724,2673,4043,5704,,14310,17942,38973,39290,59712,65752,75787,67265,115489,202693,,334427,325807,282389,234103,243356,292047,295611,293312,299221,332058
847989,"Machines and mechanical appliances, n.e.s.",342,562,898,1551,2627,2006,1564,1423,3748,5695,,14988,21006,23651,37022,110253,57013,79892,61979,101406,179265,,1662788,1807227,2164793,1924303,2207646,2434856,2912986,2923924,2939610,2932886
680299,"Monumental or building stone, in any form, polished, decorated or otherwise worked (excluding ...",438,1340,1106,1354,701,1270,1645,1806,3739,5695,,3895,4906,6127,7045,6267,4767,6124,5619,5303,23825,,26311,31222,28015,22614,22497,23560,22014,20823,21105,30064
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",2314,2340,7827,6996,6023,6448,4896,5501,5507,5669,,41181,42192,53769,56217,48889,59252,59606,75168,98790,187530,,599045,631939,580067,536362,480969,587988,601079,541784,536921,675050
401290,"Solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber",334,64,310,231,898,3825,6193,6476,8983,5667,,3078,2872,2801,2665,12397,35428,46413,44174,49148,58430,,129189,135448,129328,110962,115682,108540,121957,125231,121589,135247
610620,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres, knitted or crocheted ...",3713,5962,5538,3651,2908,3642,3798,3913,5298,5607,,96166,118835,137939,139154,142606,158200,160530,154487,139952,191809,,196888,223201,232729,197965,223060,216185,190305,172505,151347,137230
680100,"Setts, curbstones and flagstones, of natural stone (excluding slate)",1988,2148,1534,2022,1511,1925,2203,3635,6097,5591,,47359,55452,68442,65155,64765,64174,61836,47827,55012,74520,,114690,114582,131651,112034,98613,108341,130382,130428,111729,114888
81090,"Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, ...""",4566,5518,2876,1879,2366,2920,4428,4646,5291,5552,,391392,252146,322635,545706,1144740,1479306,1563283,1549394,1341076,722240,,117797,117650,131367,113475,110826,120737,147499,135036,145321,143563
441990,"Tableware and kitchenware, of wood (excl. of bamboo or tropical wood, and interior fittings, ...",0,0,0,0,0,5378,4878,5159,4299,5535,,0,0,0,0,0,0,44527,53736,58996,74586,,0,0,0,0,0,61875,67075,78042,84618,108785
460212,"Basketwork, wickerwork and other articles, made directly to shape from rattan plaiting materials ...",3055,2727,2706,2364,2229,2812,2829,3663,5639,5521,,18613,20150,19868,17844,17398,22284,23100,30135,33758,48318,,19052,17994,15918,14607,13212,15362,15337,16337,19368,24200
200989,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening ...",914,554,2088,2135,2283,5818,4947,5404,6561,5513,,10885,6050,31217,474935,56611,74624,71319,131410,141859,182431,,229971,236624,215602,193114,195191,200610,206938,197486,216816,252492
820320,"Pliers, incl. cutting pliers, pincers and tweezers for non-medical use and similar hand tools, ...",2499,2483,3850,5324,5722,5960,5372,5035,6365,5498,,8605,8284,10259,12645,13449,14163,13564,15333,20347,36817,,86650,87928,98328,93607,99703,109786,122110,118592,121693,150312
821191,"Table knives having fixed blades of base metal, incl. handles (excluding butter knives and ...",5555,6744,7319,6769,8057,7236,8834,8975,6761,5467,,13291,14031,18158,18692,18644,20934,25216,25527,15159,21948,,31105,37210,56848,27287,30498,32940,27668,25971,32357,22218
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",3349,773,1906,3930,3273,2796,3684,3515,3709,5450,,18024,18088,29229,28020,18105,22527,27450,45748,98536,159314,,693591,713839,689122,725110,684626,705020,780163,798974,826074,910185
610610,"Women's or girls' blouses, shirts and shirt-blouses of cotton, knitted or crocheted (excluding ...",8797,7904,4381,2692,2409,2659,2175,2745,3621,5385,,78511,96213,89767,88959,68334,75024,101800,80571,76142,151004,,370719,341244,280577,209747,200138,206968,166952,165656,136249,152328
620530,"Men's or boys' shirts of man-made fibres (excluding knitted or crocheted, nightshirts, singlets ...",2004,2858,3117,2488,2383,2148,1800,2946,2942,5358,,122514,130434,153479,167488,182565,168057,192754,205416,175784,213354,,61943,69218,76491,67042,67715,70854,80245,83073,80707,79850
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",894,1027,1666,1189,1390,2757,2058,2875,2914,5306,,117283,126708,119380,115947,159037,169934,188621,197634,193019,196830,,1227017,1343566,1397304,1288282,1363417,1454276,1602581,1692254,1752475,1991277
610442,"Women's or girls' dresses of cotton, knitted or crocheted (excluding petticoats)",2741,1031,1113,1217,987,2053,2297,3333,3761,5255,,81413,75858,97603,96448,105477,106942,168770,184293,176294,274383,,215961,212499,231423,194669,215165,258414,282895,290052,304333,418487
620192,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of cotton (not knitted ...",16503,15130,21583,14813,12042,11715,10305,6321,4210,5249,,28455,30876,43576,39732,39782,35296,32297,32349,35482,96699,,157359,159120,181505,137099,132576,162160,155239,142150,138983,143234
392640,"Statuettes and other ornamental articles, of plastics",4554,4672,5072,6819,3014,2443,2463,2676,3592,5214,,25391,28237,28882,27248,23166,23581,27837,32536,38002,104394,,164777,152015,163939,152072,151605,156368,180713,190059,196400,233324
620432,"Women's or girls' jackets and blazers of cotton (excluding knitted or crocheted, wind-jackets ...",5349,9006,7082,9428,7699,6228,8672,6120,4968,5200,,46823,41800,48110,57427,46403,37606,60462,67503,47066,26893,,248421,248696,181796,145158,133260,130451,128149,112787,100497,98506
650610,"Safety headgear, whether or not lined or trimmed",1922,1804,3305,3306,3680,3266,3531,4862,4320,5111,,20893,22068,30822,34263,45864,48481,54601,66831,65485,127193,,194109,201366,231954,210893,225155,237401,260786,322686,326319,413022
950490,"Tables for casino games, automatic bowling alley equipment, and other funfair, table or parlour ...",313,260,254,700,1666,4708,4158,2949,3180,5043,,50,1068,2337,3377,5208,7759,12246,11865,139867,95041,,269394,229187,246499,205931,218174,255109,261571,262212,352444,438875
720927,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...""",0,0,0,0,0,0,0,0,0,4944,,1923,1825,1691,899,842,1111,611,888,1106,4975,,61505,52648,39042,34068,33194,32803,51903,39424,40692,77431
620930,Babies' garments and clothing accessories of synthetic fibres (excluding knitted or crocheted ...,1382,1156,1738,1869,1772,960,2172,3011,3774,4834,,14105,16433,23395,29604,22075,20445,34944,30343,32564,52052,,30323,32987,42415,40202,41107,42358,51892,44082,45140,53143
720916,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",0,118,0,0,0,732,5141,1325,869,4815,,50236,37814,56238,74661,153648,109659,197296,142939,58941,233954,,506647,476164,415349,371460,329071,460398,461795,356063,227544,454907
871495,Saddles for cycles (excluding for motorcycles),2288,944,1259,1360,892,1098,1228,2540,3277,4731,,7677,10020,10894,11616,12337,13814,14688,15021,19524,32519,,38877,39808,42128,39489,36602,37285,40429,40916,50026,72205
721061,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,39,12,292,5690,0,607,4717,,221558,344819,331719,174894,200719,324608,508578,287982,372206,916197,,56231,52532,49571,39894,38714,58863,62243,45689,25850,40743
950662,Inflatable balls,2139,2646,3975,5001,3347,3349,6310,8413,9253,4698,,30932,43407,60321,63483,68867,85204,90765,113012,102831,117520,,91159,82182,105069,95861,108084,88736,89604,87290,81053,84854
392490,"Household articles and toilet articles, of plastics (excluding tableware, kitchenware, baths, ...",4844,3363,5106,4328,4957,5196,5312,4776,4736,4678,,52983,58982,61723,69002,71723,83792,77573,98684,119694,152952,,332862,360879,397762,363361,388449,415759,450112,446448,550349,593557
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",166,3,4,43,3017,3586,3395,2896,3146,4568,,36411,29096,27275,33363,31699,40400,59391,68084,85413,172253,,1893121,1983712,2028721,1696955,1825517,1946629,2195122,2217562,2200722,2715552
870895,"Safety airbags with inflator system and parts thereof, for tractors, motor vehicles for the ...",1,0,1,15,97,1147,1182,4125,5678,4455,,177183,196092,186980,193131,174477,246406,289557,357912,308709,357333,,715790,854929,997291,969218,1055096,1100405,1090404,919403,749400,753793
960321,"Tooth brushes, incl. dental-plate brushes",1932,1738,2406,3534,2664,3854,3920,3783,3420,4393,,58312,58481,70082,74991,71238,73511,77720,82601,75973,120494,,168986,182128,183884,180997,180146,203281,211992,234410,312784,387579
640520,"Footwear with uppers of textile materials (excluding with outer soles of rubber, plastics, ...",2248,1917,5013,3834,4288,4682,4478,3638,3515,4388,,16785,13328,17062,22777,23972,21698,25079,26181,24544,51215,,205672,232235,261547,298276,335754,381386,108414,114767,95352,121652
460211,"Basketwork, wickerwork and other articles, made directly to shape from bamboo plaiting materials ...",2276,2044,2339,2453,2163,2051,1820,2560,3306,4295,,48146,50976,53997,54408,51514,46057,46057,50789,49730,37564,,11053,9406,10393,9855,10147,10260,9349,10001,11569,14466
844790,"Machines for making gimped yarn, tulle, lace, embroidery, trimmings, braid or net and machines ...",0,0,0,1221,1293,2255,1912,2218,2844,4292,,1515,946,271,4462,8592,8325,11481,9999,10579,22672,,10840,14155,12628,13352,15779,16577,21270,21490,19044,24798
570330,"Carpets and other floor coverings, of man-made textile materials, tufted """"needle punched"""", ...""",0,0,0,0,0,0,0,120,816,4289,,292,271,10554,15069,21583,29092,58376,142027,240077,265252,,221201,215605,228224,197894,198803,191825,202860,199276,214068,235912
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",36,149,432,1251,1369,2383,2549,2948,3015,4277,,8049,2932,1789,5224,1198,4946,7515,11439,11555,40957,,409191,402276,449370,456935,536303,596463,733332,724796,674513,906177
848220,"Tapered roller bearings, incl. cone and tapered roller assemblies",3808,3491,4796,4626,6559,5534,4257,3598,3578,4273,,5093,6527,6795,6430,7440,7270,8587,9150,10780,25778,,670733,686053,717712,580091,547713,578619,663022,617051,545922,638582
680421,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",1,0,0,3,0,1,1,2,1272,4271,,158,248,294,293,340,338,527,475,701,16898,,155918,145316,157274,146505,156387,167701,175249,177410,176300,200464
620453,Women's or girls' skirts and divided skirts of synthetic fibres (excluding knitted or crocheted ...,3237,3139,4814,4920,4773,4734,4524,5467,3900,4232,,60182,64956,85164,96767,110498,94075,124957,121019,93524,106925,,102954,106429,124176,93960,96836,106620,119684,134943,119542,108304
620690,"Women's or girls' blouses, shirts and shirt-blouses of textile materials (excluding of silk, ...",472,192,612,562,196,433,791,1832,2475,4231,,68206,83750,82387,122154,75560,85678,113812,114975,91336,40799,,44662,37888,37249,32283,27288,26938,32815,49941,59710,70613
420232,"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...",1199,1178,1694,2702,2824,2476,3602,3479,4241,4223,,4877,9229,10622,15457,27318,34329,44790,48405,47582,170288,,107810,118512,119166,113986,127851,131758,149755,143669,125450,139078
870310,Vehicles for the transport of persons on snow; golf cars and similar vehicles,104,194,271,339,623,929,480,1279,1717,4218,,0,0,0,5,2,8,209,22916,17642,29626,,43765,42177,55666,28435,31369,43390,39832,45915,38360,44947
851822,"Multiple loudspeakers, mounted in the same enclosure",225,80,117,76,520,1695,651,1876,2151,4187,,10918,6099,6337,9661,36093,90730,70840,113119,183245,844700,,346043,398698,498041,547611,556207,679862,663083,638316,693614,737493
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",700,898,2983,3149,3074,4484,4167,3358,1735,4094,,43802,8392,13719,13502,21167,25898,28772,29444,23573,32411,,3818469,3675550,3932631,3337936,3499906,3685295,4041239,3700733,2925090,3612638
391733,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",8,2,0,64,895,1283,1500,1621,4274,4038,,5,33,78,79,148,633,407,741,695,5765,,78793,77160,94405,75249,76718,91510,115656,136943,154519,189563
392329,"Sacks and bags, incl. cones, of plastics (excluding those of polymers of ethylene)",640,785,731,723,614,210,2094,2926,3902,3912,,98512,112882,141704,133108,140001,153460,174743,179271,182099,152629,,240224,264754,278062,241719,233346,238113,260794,257867,269407,331661
640420,Footwear with outer soles of leather or composition leather and uppers of textile materials ...,81,200,91,145,177,88,69,937,1692,3911,,1109,2360,2603,738,871,796,942,2479,13284,16959,,20055,21170,26027,18281,22740,34468,49798,39871,28283,31281
960820,Felt-tipped and other porous-tipped pens and markers,26,9,180,421,712,2011,2971,2532,2619,3886,,16559,17162,17974,20144,25002,23923,24731,25326,28401,69158,,62737,62012,68304,63083,78162,85419,90117,96446,119233,142161
711620,"Articles of precious or semi-precious stones """"natural, synthetic or reconstructed"""", n.e.s.""""",29,9,2,1,17,29,204,908,704,3871,,1732,4425,3910,3128,4543,4013,2465,3129,17494,65199,,38045,53331,58040,68565,32363,27516,28014,47250,61241,60301
640610,Uppers and parts thereof (excluding stiffeners and general parts made of asbestos),77845,19509,5328,2076,361,191,2073,2828,2915,3821,,116764,169226,212058,211042,244129,276876,281357,296704,220513,272526,,240582,200903,194227,152057,164391,199664,221873,184340,126363,154266
940190,"Parts of seats, n.e.s.",2960,2906,3431,2250,2391,2756,3806,4878,3271,3773,,130869,143016,165359,231403,204172,215179,300198,410920,408611,713865,,3677065,4064059,4760105,4115609,4207092,4253883,4398634,3811621,3318819,3594269
851718,Telephone sets (excluding line telephone sets with cordless handsets and telephones for cellular ...,6063,6987,7483,7037,6010,6933,4644,1955,1551,3734,,60390,2218,1000,72663,1925,3734,2534,2214,2662,45259,,229875,257890,325305,311743,338342,350809,342472,314965,234447,706796
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",656,866,512,1021,1604,2155,4010,4151,3025,3710,,46877,60556,117921,167024,210710,256609,286748,306853,263449,218017,,1357145,1364875,1373242,1194053,1291098,1456760,1599675,1511774,1393392,1699011
850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",1862,4772,5630,9182,5509,8826,4958,3002,2235,3704,,15720,13854,16069,19750,23220,25569,30455,79794,96610,209725,,702569,834367,972133,964447,1216573,1435189,1565428,1374310,1522357,1848772
152190,"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",348,87,0,88,435,2643,4278,3369,2759,3655,,2977,3804,5667,8357,9264,7151,7418,5898,5695,10055,,17899,21897,23942,27694,26898,28041,28412,25835,29078,28517
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",778,61,18,403,30,92,253,315,6272,3643,,68194,87239,100059,114020,135053,146483,147105,183413,138885,339589,,7480812,8519942,9611818,8669806,9679114,9972665,10400403,9327212,8232279,8886809
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",707,1181,2088,517,1276,492,441,1845,3284,3632,,11239,28446,56313,67277,47862,62857,54857,70286,127614,360555,,1662236,1762464,2076648,1921558,1940125,1639466,1841496,1822589,1589509,1797277
620439,"Women's or girls' jackets and blazers of textile materials (excluding of wool, fine animal ...",3003,1741,2284,3438,3752,3820,3983,5589,4566,3612,,282177,254420,230731,221667,198550,148148,109465,114640,78559,37484,,91630,77402,65487,59465,60648,55069,56886,64168,63653,66497
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",97,88,23,38,14,8,212,320,1967,3611,,1453,2157,5367,4333,3133,11660,2572,34205,250534,66067,,454843,529555,571614,548750,411404,497513,533848,301746,615464,1070069
841869,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture),2183,2529,3006,2789,3105,3424,3817,3965,4181,3574,,2499,3168,3632,17029,10125,35911,34876,41211,40510,64006,,461475,581677,637113,535474,645965,608645,702821,783591,675085,818825
842381,Weighing machinery having a maximum weighing capacity <= 30 kg (excluding balances of a sensitivity ...,0,0,3,7,0,100,1,19,2267,3567,,2936,3957,3525,3332,3435,3231,3106,3154,3603,10174,,38987,31046,31854,38332,42960,44593,42337,35363,36422,48709
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",1888,674,508,388,342,371,139,158,741,3533,,49874,58545,73522,88184,86639,63356,88325,115581,160461,136995,,1436636,1342380,1411992,1286396,1228737,1429664,1596428,1393360,1278500,1825485
611011,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of wool, knitted or crocheted ...",1514,1527,2687,1687,2450,3714,3055,2330,4430,3473,,13652,21062,28868,41869,61438,80854,134394,119159,124563,155960,,393148,393528,409308,340183,354178,372032,382690,344674,330243,378257
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",61,256,1590,2238,2763,2816,4971,3441,1957,3466,,1356,2351,6065,4418,6037,6510,7932,7669,5694,34102,,721983,672902,739216,655156,657594,660566,791171,720679,520688,693505
540220,High-tenacity filament yarn of polyesters (excluding that put up for retail sale),0,0,14,3,0,0,0,0,3,3439,,5073,4288,9047,14026,13928,21542,42662,44494,38267,133888,,127150,140684,150123,118753,109682,107540,121444,112206,86596,117935
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",2,10,106,32,145,50,177,997,1467,3412,,7172,15446,21942,44444,25742,5639,7019,156832,291912,1022293,,866808,1009286,1208990,1042226,1043587,1199067,1325092,1444626,1653803,2067584
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",138,122,34,1098,2091,2187,2893,3953,2958,3395,,1630398,1868144,1962344,1974574,2008435,2311678,2599179,2825387,2676329,3230456,,3985910,4235922,4874194,4445966,4443431,4819152,5263516,4874084,4457141,4963751
950730,Fishing reels,842,1043,958,952,1858,2623,4605,4127,6819,3387,,18598,17128,16885,16266,19901,25724,42134,40605,49235,59504,,33753,36439,34847,41730,40769,39588,31156,24464,30199,28333
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",118,287,527,1922,2697,3016,2988,3228,3059,3379,,18091,23519,23109,18158,45349,49120,48360,44261,76108,80194,,154686,170822,171614,161193,179186,197552,208462,201145,217831,239107
410390,"Raw hides and skins, fresh, or salted, dried, limed, pickled or otherwise preserved, whether ...""",0,0,0,0,0,0,0,8130,9736,3361,,27,0,0,598,846,15513,16289,20777,18333,23614,,2131,3324,2732,1548,1537,1095,2146,12055,17040,7476
960200,Worked vegetable or mineral carving material and articles of these materials n.e.s; moulded ...,4,8,73,96,74,74,113,158,355,3331,,15142,14680,13576,18840,23606,28598,29010,34475,43533,63405,,158046,103456,96460,71278,58789,64692,58435,57451,61698,61628
630619,"Tarpaulins, awnings and sunblinds of textile materials (excluding of synthetic fibres and flat ...",605,1689,983,1179,915,2336,3419,3361,4029,3243,,1122,1613,2373,1053,806,1274,2883,3786,7036,10724,,18888,16103,19110,19955,23633,25654,30239,34258,33301,32509
761699,"Articles of aluminium, n.e.s.",363,453,745,705,2123,2572,2654,2877,2105,3235,,34119,40450,75231,72640,108336,147378,162424,201928,194444,187738,,1403732,1450222,1540243,1368805,1429650,1529590,1627684,1445830,1272733,1614105
732399,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron ...",432,628,173,842,1346,2176,3002,3319,3087,3226,,6354,4242,4680,4614,6641,9745,14486,14678,12701,41733,,184195,179025,189391,178321,175270,180609,208491,212983,236032,315654
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",1629,2949,2963,2750,2788,1920,1552,2347,2296,3225,,41018,64756,77231,74595,40277,44471,19473,24458,20464,129471,,1151675,1125113,1320622,1303927,1405089,1498820,1550633,1472790,1454777,1651948
841391,"Parts of pumps for liquids, n.e.s.",2824,2041,3653,3698,3578,4371,6617,5084,2473,3197,,16255,15806,15554,13157,20139,35724,53334,65413,58396,97644,,1357594,1421763,1527201,1401425,1173447,1361664,1464158,1298493,1097616,1328723
420291,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",631,2005,4165,4399,4263,4509,4139,5576,3984,3176,,30740,87822,106189,82289,69271,22877,47770,41404,42710,132308,,136184,143993,161976,151036,147348,154560,141448,137185,108224,120492
950670,"Ice skates and roller skates, incl. skating boots with skates or rollers attached",380,874,615,1505,3319,1560,878,678,940,3140,,11626,12055,13169,26605,22816,24005,23407,23576,32166,64087,,70074,57352,70218,60251,52713,50526,53412,51189,56216,88538
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",539,458,410,923,1461,1537,2144,2351,1598,3120,,22737,74427,123512,182431,282148,337107,327203,299008,341481,563799,,2696167,2844598,2950591,2652187,2747627,3081619,3387189,3366262,3220989,3804947
441919,"Tableware and kitchenware, of bamboo (excl. chopsticks, bread boards, chopping boards and similar ...",0,0,0,0,0,2280,2482,3524,2863,3100,,0,0,0,0,0,0,1639,1743,1754,13842,,0,0,0,0,0,23719,25260,27821,28372,40035
620292,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of cotton (not ...",3544,5047,5613,5793,6229,9327,5957,4892,6243,3094,,29102,28177,32513,40867,36075,41245,47035,56964,44838,62144,,151127,197165,207734,156723,130287,171791,185220,155154,142995,132777
620332,"Men's or boys' jackets and blazers of cotton (excluding knitted or crocheted, and wind-jackets ...",3945,9719,10100,10736,7977,8188,6055,4622,3892,3083,,9074,22071,24637,32183,40918,34656,46552,49452,41271,25018,,154825,164602,160388,130971,120145,117038,115880,104313,83564,90412
940520,"Electric table, desk, bedside or floor-standing lamps",1145,1029,1063,1126,3641,2829,2236,3125,3834,3024,,8091,7116,9838,10473,16409,17807,19037,27775,32761,51953,,266345,275373,303650,285015,302840,296074,313634,313872,337975,401681
847990,"Parts of machines and mechanical appliances, n.e.s.",272,512,819,290,676,346,415,940,1063,3024,,33092,32126,28731,25447,12181,10805,11996,13863,16184,99153,,1363382,1308227,1397637,1295719,1383117,1440613,1747497,1663057,1608679,1874929
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",83,425,1202,1523,1424,1215,1642,1635,1230,3022,,27217,88065,95526,93340,105963,115616,107982,95841,210414,221290,,341172,319203,341992,283064,366070,491073,593999,578317,508647,532091
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",287,247,1078,1180,1372,1284,3380,3195,2533,3005,,7324,4612,9962,12317,14358,14863,25494,27200,103322,188777,,405656,399829,496369,487254,523553,631819,844367,723915,684107,1159250
920710,"Keyboard instruments, the sound of which is produced, or must be amplified, electrically (excluding ...",213,284,695,610,1032,1417,514,1460,2324,2987,,0,0,0,10,27,1878,1196,604,338,15667,,171173,143615,174311,142232,144513,168688,184372,184325,197749,220198
620449,"Women's or girls' dresses of textile materials (excluding of wool, fine animal hair, cotton ...",428,186,452,201,140,245,1321,2141,2067,2968,,65482,54313,59428,63965,58591,50527,48735,74222,50717,35136,,78136,68066,62913,57784,62329,68833,88081,100030,90058,104323
441299,"Laminated wood with both outer plies of coniferous wood (excl. of bamboo, with an outer ply ...",0,39,0,0,0,6,691,2424,2098,2961,,52387,49319,48602,45137,57495,64277,199767,156694,131841,140698,,97868,89557,93445,78738,84405,102943,108871,116533,104611,123691
284990,"Carbides, whether or not chemically defined (excluding of calcium or silicon, and inorganic ...",1025,2904,2989,3065,2788,4391,4774,4903,1892,2935,,1701,4576,4265,2031,5250,5549,3917,5348,1419,4292,,164856,147105,148717,134801,124610,165618,214965,115965,96633,139701
901832,"Tubular metal needles and needles for sutures, used in medical, surgical, dental or veterinary ...",933,3024,3267,2401,2585,3177,2776,5078,2063,2904,,10302,11026,12124,14961,16847,18329,32003,36766,27378,40847,,136119,130719,124523,116157,127168,185205,216841,235510,219720,225302
961320,"Pocket lighters, gas fuelled, refillable",559,328,367,809,744,1128,2042,1774,3314,2860,,3438,5138,7301,10258,9849,10718,10488,8464,8913,9407,,36091,34401,39375,35299,38783,41151,37852,32902,31803,30352
611211,"Track-suits of cotton, knitted or crocheted",387,176,2698,1756,1087,1474,634,607,2357,2806,,3442,2594,5068,7190,7880,6315,1475,3180,8514,24218,,28830,26786,26871,20224,20166,27618,25256,29125,37930,55124
611120,"Babies' garments and clothing accessories of cotton, knitted or crocheted (excluding hats)",246,237,412,309,488,685,606,967,1681,2711,,47202,84484,118594,111895,145883,190148,181899,192951,227491,335581,,312885,353414,392532,365665,394101,436450,469894,411494,454940,565505
630622,Tents of synthetic fibres (excluding umbrella and play tents),1576,1661,1946,2585,3218,3140,2975,2806,2832,2709,,35229,42675,50231,52348,48508,56107,67576,77021,83576,132798,,80962,73951,75363,96939,98803,97651,103088,108669,136707,162450
621030,"Garments of the type described in heading 6202, rubberised or impregnated, coated, covered ...",809,1088,1248,1258,2533,3526,3386,3655,2802,2700,,7880,10802,9197,8664,12168,20737,31192,34852,95661,62421,,16653,13216,17567,14643,15169,22979,22823,22546,29143,36982
848240,Needle roller bearings,0,0,0,0,0,0,0,0,551,2668,,1,0,24,104,1,78,62,81,1543,6985,,193887,231491,265553,210927,226827,248530,213136,197385,162692,186937
940510,Chandeliers and other electric ceiling or wall lighting fittings (excluding for lighting public ...,880,1212,1108,1462,1806,2413,3652,3544,3508,2647,,5461,6907,7276,7296,19512,25878,30918,37163,75241,214166,,925681,1014259,1190647,1115055,1153685,1235072,1303486,1232485,1291899,1467329
