Product code,Product label,United States of America's imports from Russian Federation-Value in 2012,United States of America's imports from Russian Federation-Value in 2013,United States of America's imports from Russian Federation-Value in 2014,United States of America's imports from Russian Federation-Value in 2015,United States of America's imports from Russian Federation-Value in 2016,United States of America's imports from Russian Federation-Value in 2017,United States of America's imports from Russian Federation-Value in 2018,United States of America's imports from Russian Federation-Value in 2019,United States of America's imports from Russian Federation-Value in 2020,United States of America's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
570110,"Carpets and other textile floor coverings, of wool or fine animal hair, knotted, whether or ...",142,24,26,190,511,15,32,10,30,21,,0,13,30,29,2,38,1,13,0,11,,261761,265368,298469,293590,324204,283894,310527,249886,208673,280590
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",0,41,0,0,4,6,0,0,45,21,,682,1657,1989,1331,1262,1921,2569,3472,5188,7064,,857591,921686,953265,1024957,1074138,1262083,1440158,1408759,1446298,1709120
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",0,60,0,221,32,146,185,148,112,21,,5569,7057,5313,6598,11247,11657,14732,13604,13737,27100,,2871361,2978136,2857405,2651440,2861888,2866618,3364602,3112556,3424658,4214164
293319,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyrazole ring, ...""",3,0,9,0,0,0,12,5,13,21,,3969,7154,1217,329,1,1,8,96,18,37,,368884,556579,560410,273895,315517,320566,335663,471537,423649,565021
851981,"Sound recording or sound reproducing apparatus, using magnetic, optical or semiconductor media ...",49,56,166,44,86,91,39,79,64,21,,4893,5372,4479,5501,4553,6458,7797,5471,4786,5793,,688135,715708,883881,806700,842447,787035,762353,780916,812669,976958
291550,"Propionic acid, its salts and esters",129,139,0,33,135,147,384,77,58,21,,1,94,82,55,24,28,35,13,37,66,,26033,28052,23755,23797,26161,24763,24927,23324,23184,26666
970190,Collages and similar decorative plaques,342,124,490,155,986,442,50,34,82,21,,12,6,1,30,209,975,5,25,58,124,,125552,179512,177912,260844,233069,236258,261763,245895,104652,112089
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",2,0,0,10,0,0,0,0,0,21,,116500,164122,226020,200039,196175,372519,238344,236974,244419,297333,,965838,982262,1151433,1217804,1171384,1158333,1210294,1241277,1274786,1494907
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",8,42,42,3,0,211,40,12,4,21,,1882,4745,4076,2793,3427,4446,5693,7050,7368,10754,,2973953,3213514,3385175,3933251,4692793,5018063,5342525,6195258,5562266,6727084
490110,"Printed books, brochures and similar printed matter, in single sheets, whether or not folded ...",48,67,0,37,0,9,22,12,7,21,,7866,6516,10197,14486,6761,5298,19258,10215,22738,11372,,62791,74892,75845,117479,123977,133507,136796,122745,84994,112708
220291,Non-alcoholic beer <= 0.5% vol alc,0,0,0,0,0,12,15,14,8,21,,0,0,0,0,110,7320,6646,8178,8259,11066,,0,0,0,0,0,23367,26337,50328,82964,79776
821000,"Hand-operated mechanical devices, of base metal, weighing <= 10 kg, used in the preparation, ...",0,0,0,0,0,0,0,0,0,21,,1092,1033,961,770,855,773,1126,758,954,1238,,146120,150112,153118,168879,165090,165119,170320,128665,154991,177065
441192,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...""",0,0,0,0,56,0,0,0,0,20,,50421,48117,49131,31912,29459,28636,30951,36348,39548,63060,,90194,99509,68857,87539,117988,153014,139041,102787,133260,151896
846299,"Presses, not hydraulic, for working metal (excluding forging, bending, folding, straightening ...",0,0,8,0,20,15,0,6,0,20,,875,1366,4424,658,804,1986,1003,2045,1553,5545,,68011,83911,101487,89029,90700,135012,125606,90873,68660,57357
680423,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",0,0,3,0,0,0,0,0,0,20,,16,15,32,4,72,8,31,34,21,37,,17776,15893,16359,17671,15944,22043,35356,33656,27590,29179
901480,"Navigational instruments and apparatus (excluding for aeronautical or space navigation, compasses ...",149,25,79,13,2,50,76,40,0,20,,35437,29961,11684,19520,8185,32786,16655,22339,17262,12138,,235236,236285,228810,268067,216851,338552,422330,380160,399740,434328
820570,"Vices, clamps and the like (excluding accessories for and parts of machine tools)",0,0,3,0,19,0,0,7,0,20,,1055,1451,1203,703,649,1280,2367,1701,2206,2110,,148364,136373,169254,159968,161922,171657,195531,170540,166365,200880
620339,"Men's or boys' jackets and blazers of textile materials (excluding of wool, fine animal hair, ...",0,0,0,1,0,0,55,50,0,20,,72,99,250,177,113,143,994,449,253,147,,69933,73692,80779,74691,68940,65640,59745,61766,39208,33683
610712,"Men's or boys' underpants and briefs of man-made fibres, knitted or crocheted",0,0,0,0,0,12,25,16,19,20,,166,285,399,264,420,547,551,664,727,914,,145618,165849,206233,326122,352692,393346,494610,465541,403310,618396
903039,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",0,4,15,12,39,0,50,0,6,19,,2346,1277,4194,2353,2109,3661,1798,3526,2089,2917,,98263,120589,119028,118917,139515,163405,140126,144092,138687,158242
200950,"Tomato juice, unfermented, whether or not containing added sugar or other sweetening matter ...",10,13,10,8,0,0,0,0,14,19,,3774,2463,2220,2510,3055,3162,3803,4684,4631,4767,,438,490,486,913,944,711,848,654,723,2439
844190,"Parts of machinery for making up paper pulp, paper or paperboard, n.e.s.",74,0,0,0,0,18,0,96,0,19,,1541,1364,1779,1330,1770,1417,1028,1117,1408,1506,,160338,178564,220806,235878,203373,232109,261216,257030,278665,355133
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",0,0,0,127,75,12,7,6,6,19,,12788,19000,35996,27938,31225,31643,36749,44687,43896,50199,,6607027,6889821,6721380,6596446,5634651,5267599,5425853,5451619,4027752,5187839
282731,Magnesium chloride,0,7,0,0,10,3,22,20,15,19,,1195,383,5,28,76,129,223,493,239,282,,19981,16116,36684,35295,35263,25203,30709,31970,27587,32152
920710,"Keyboard instruments, the sound of which is produced, or must be amplified, electrically (excluding ...",0,0,0,0,3,0,3,0,0,19,,61,159,154,80,205,197,1205,2539,3649,4813,,200373,185231,191054,175120,184004,206725,215852,253480,230824,268302
620113,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made ...",0,1,0,0,0,2,2,1,0,19,,738,980,3923,3066,674,898,1151,1832,2220,2751,,49758,39692,45484,48891,55532,58841,69302,77605,53013,64231
841199,"Parts of gas turbines, n.e.s.",160,201,0,425,40,517,1027,769,206,19,,17503,23228,34628,37519,28640,24297,47046,77091,53577,74783,,3632536,3296536,3166823,3226410,3303507,3010084,2183784,2451409,2160023,2404421
90932,"Cumin seeds, crushed or ground",0,0,0,0,0,0,0,0,0,19,,19,32,16,11,19,25,21,40,42,61,,12476,8059,8736,8208,12217,13931,16081,15367,18044,19854
621230,"Corselettes of all types of textile materials, whether or not elasticated, incl. knitted or ...",0,0,0,0,0,0,0,0,0,19,,3,13,27,64,41,121,42,54,51,58,,18469,17925,23749,32353,19401,16123,15725,14911,15400,24334
740819,"Wire of refined copper, with a maximum cross-sectional dimension of <= 6 mm",0,0,30,0,2,4,4,8,3,19,,4730,4853,6145,3274,2221,31538,7492,13480,16764,23124,,106519,90900,96147,81113,79445,84603,103713,135334,145091,178556
90922,"Coriander seeds, crushed or ground",0,35,26,0,0,11,13,34,37,19,,119,549,895,1202,1877,987,1605,1673,2106,3213,,1620,1694,2384,2974,3192,3556,3658,3305,4756,5899
600622,"Dyed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...""",0,0,0,0,0,0,0,0,0,18,,249,442,858,1246,1745,1878,1927,4680,6279,14838,,18549,20694,17060,13926,14291,23577,26698,25591,10917,25107
290378,"Perhalogenated derivatives of acyclic hydrocarbons containing two or more different halogens, ...",7,2,10,0,0,0,0,2,0,18,,18,43,15,37,20,28,52,110,114,181,,6088,5858,2975,996,9198,5531,2005,452,2219,4823
842290,"Parts of dishwashing machines, packing or wrapping machinery and other machinery and apparatus ...",8,6,19,7,0,61,8,5,10,18,,892,1480,3943,3203,1503,2384,2283,2908,3140,3783,,647259,713160,788858,765762,780391,828555,918364,1009021,957848,1205739
480592,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets ...",0,0,22,18,0,0,0,0,0,18,,54882,60845,81336,68376,38118,50300,74218,66269,61669,97090,,7157,9429,12147,13308,11739,14799,18740,18413,15600,22475
110290,"Cereal flours (excluding wheat, meslin and maize)",6,0,7,5,3,12,0,0,17,18,,2111,2331,2347,2391,1843,2301,2644,4527,5312,5088,,32697,37567,30700,30997,31547,37083,41754,46063,60600,61836
741999,"Articles of copper, n.e.s.",8,6,29,0,7,11,7,0,3,18,,27066,48171,66389,7816,9687,12219,10648,8796,18844,9185,,351305,346075,380160,373979,362627,373927,422549,375151,340234,454538
731816,Nuts of iron or steel,0,2,0,34,11,12,2,13,101,18,,14536,16595,12955,10105,8060,10282,12149,12060,11371,14223,,1023402,1000471,1116275,1131575,1033299,1134825,1297790,1240694,1011600,1375802
903033,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",246,110,42,54,17,90,33,43,5,18,,12714,13748,19678,11063,15793,26840,16410,17104,7723,10527,,312359,314557,321069,333270,338976,363397,367225,373191,337934,425304
680530,"Natural or artificial abrasive powder or grain, on a base of materials other than woven textile ...",0,0,0,0,0,21,9,27,2,18,,553,432,340,321,580,1015,1314,2227,2795,3027,,217956,241690,264448,272238,293087,299692,307437,298967,303070,345059
350790,"Enzymes and prepared enzymes, n.e.s. (excluding rennet and concentrates thereof)",149,80,72,114,21,15,40,31,12,18,,2061,1603,2615,2500,3617,4613,5375,5162,5923,6462,,727152,717625,808026,823542,798341,810566,858810,772744,952005,1180129
620333,"Men's or boys' jackets and blazers of synthetic fibres (excluding knitted or crocheted, and ...",0,0,0,0,0,0,2,2,0,17,,368,334,708,380,385,481,695,683,531,436,,133001,153380,151484,159227,164321,162033,197790,213415,110744,98025
200520,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",3,4,0,0,0,27,6,0,0,17,,34381,69347,70782,44545,41003,52238,65157,84659,94655,110501,,150469,143651,145638,165212,162278,173080,196176,204501,235888,277780
320740,"Glass frit and other glass in the form of powder, granules or flakes",0,0,0,0,0,0,0,0,0,17,,1920,1742,1515,218,338,1049,995,1323,2381,4993,,53278,55784,58619,65188,62806,79008,97592,110544,110975,132222
230910,"Dog or cat food, put up for retail sale",0,0,0,0,0,0,0,0,0,17,,74487,98488,101170,71322,81378,80175,87775,117492,167050,226963,,735663,663765,689918,765332,779633,842945,985190,1027878,1231728,1534992
700992,"Glass mirrors, framed (excluding rear-view mirrors for vehicles, optical mirrors, optically ...",0,5,0,0,0,0,10,26,0,17,,947,1086,1096,859,1139,1605,1712,2232,2669,3987,,376667,400170,420480,486985,489421,503368,582034,503203,515494,701749
940120,Seats for motor vehicles,0,26,65,6,1,8,1,0,0,17,,4957,3590,2042,1101,1660,2994,3772,3647,5042,9954,,165362,170588,170345,184894,173770,185914,223826,263968,258423,252161
830241,Base metal mountings and fittings suitable for buildings (excluding locks with keys and hinges),0,0,0,0,21,7,11,26,9,17,,8560,13906,18834,17332,18370,25773,34286,37889,40057,54091,,1033889,1170236,1240239,1356952,1398925,1442222,1622596,1457699,1615453,1997017
620640,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excluding knitted or ...",0,5,12,11,12,4,10,7,10,17,,723,2729,4732,4336,3890,4223,4495,4187,3110,3507,,1050093,1320457,1246547,1416245,1531175,1472400,1462622,1320008,783174,733064
340399,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",9,0,12,0,0,0,0,6,0,17,,6550,7368,10298,8456,10923,13776,14154,17868,15898,20429,,131491,132332,144763,134417,130924,138147,161657,166958,137546,210187
490890,"Transfers """"decalcomanias"""" (excluding vitrifiable)""""",0,0,0,0,0,0,0,0,9,17,,103,25,14,53,389,600,528,244,221,437,,80971,66772,89635,88531,73593,86313,86954,89226,74591,99395
830210,"Hinges of all kinds, of base metal",0,0,0,0,2,13,0,9,0,17,,1567,2290,3009,2376,3280,4054,5536,6463,6865,8791,,752315,769702,815516,840418,837748,832434,938353,897281,868912,1093956
761610,"Nails, tacks, staples, screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers ...",0,25,13,5,17,10,4,36,24,17,,7669,7658,7008,5030,3721,4427,3598,3294,3886,3790,,51732,48624,54746,60349,64514,70812,77522,77510,65325,83854
840733,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",23,19,58,39,45,32,9,25,41,16,,261,187,232,139,125,108,260,113,138,192,,393579,339565,333999,356266,352196,336923,386201,382989,353245,441015
380120,Colloidal or semi-colloidal graphite,0,0,0,0,0,0,0,0,9,16,,277,211,64,145,478,432,921,1227,1356,1651,,1841,1293,1592,1521,1284,1661,4986,3440,1421,3209
281129,"Inorganic oxygen compounds of non-metals (excluding diphosphorus pentaoxide, oxides of boron, ...",0,19,0,0,0,0,0,0,127,16,,1801,2792,2197,1038,1032,1608,1195,1080,3765,6569,,43296,44812,50881,60416,72945,82476,92642,110302,99606,142102
390950,"Polyurethanes, in primary forms",0,0,0,0,0,50,0,5,22,16,,13746,14221,18509,13716,16547,18751,22795,21701,20214,26898,,250979,245462,304889,313130,338992,340590,382193,343036,292672,438599
700521,"Float glass and surface ground glass, in sheets, coloured throughout the mass """"body tinted"""", ...""",0,0,0,0,0,0,0,5,0,16,,7178,11681,16367,11729,11625,14531,12776,12246,18205,17930,,8290,7820,7249,7453,10258,21543,21514,9580,7934,13849
830140,Locks of base metal (excluding padlocks and locks for motor vehicles or furniture),0,0,0,0,0,0,7,0,5,16,,16754,18568,16107,11339,11636,17544,13846,15787,13455,16073,,742675,784280,784800,889600,838260,903779,1034308,1081913,1034749,1094406
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",4029,3557,1960,3087,2335,3124,1730,93,11,16,,25792,25931,24914,16226,15864,19051,23569,20615,15167,14308,,3836500,4033014,4323503,4043446,3254541,3590408,3890267,3618573,2966242,3551224
190420,Prepared foods obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes ...,0,0,0,10,0,0,0,0,0,16,,6135,14608,6577,5361,5525,7148,8494,11972,17425,24301,,53604,53777,60987,70855,62245,58207,68982,63420,68067,71967
680990,Articles of plaster or of compositions based on plaster (excluding plaster bandages for straightening ...,0,0,0,0,0,0,6,7,0,16,,141,142,99,390,2482,3208,2840,2656,1220,962,,38136,29535,32092,32039,27348,24861,30737,28671,17980,25062
930629,Parts of cartridges for smooth-barrelled shotguns; lead shot for air rifles and pistols,0,0,0,0,0,0,0,0,0,16,,166,442,313,0,0,0,0,0,0,0,,43650,69137,48710,56178,56196,41438,37631,34495,43086,75134
610230,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",0,0,2,3,3,7,3,49,48,16,,275,421,750,925,1122,1434,1486,2244,2326,3099,,466091,468073,533701,579928,497888,486616,512773,554553,408322,529896
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",0,2,6,5,7,23,36,3,4,16,,4038,5413,7600,4336,5221,6921,6210,7126,9594,9104,,1245790,1372995,1543046,1808130,1970744,1903542,1895153,2029300,1453684,2064253
630492,"Articles for interior furnishing, of cotton (excluding knitted or crocheted, blankets and travelling ...",0,2,0,3,1,10,1,4,2,16,,33,40,50,59,75,181,242,166,264,167,,211916,230953,201050,225962,210317,214504,218373,205842,178580,244242
848420,Mechanical seals,74,22,114,39,0,44,30,2,7,16,,11566,14030,17274,10755,13381,7567,10829,10711,8982,11110,,190107,189353,210118,198288,199321,245009,271156,247527,208367,228152
200290,"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid (excluding whole or ...",0,0,0,0,0,0,0,5,12,16,,1203,1351,2451,3446,4489,5004,7503,8356,10789,10334,,14684,14055,17166,28434,25825,31893,30773,35091,40175,43082
960110,"Worked ivory and articles of ivory, n.e.s.",152,87,170,26,0,0,0,0,0,16,,0,0,0,35,17,31,10,77,10,0,,1973,1344,1224,493,265,128,422,96,86,453
850940,"Domestic food grinders and mixers and fruit or vegetable juice extractors, with self-contained ...",0,0,0,0,8,5,0,0,0,16,,26457,29204,24643,19148,19668,25063,31847,34349,38185,50425,,900462,1109045,1028853,935123,842651,830597,801025,765792,929796,1257062
271490,"Bitumen and asphalt, natural; asphaltites and asphaltic rocks",0,0,0,0,0,0,0,0,0,16,,0,0,147,81,216,282,428,78,1171,61,,119678,140166,231576,237618,61195,85058,209979,124832,135418,194127
391910,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, in ...",0,1,0,0,0,0,1,4,0,15,,6891,7678,10069,7149,6889,8577,13197,16356,19221,34159,,413365,425235,499626,482917,462527,475536,514042,519891,509041,664283
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",0,0,0,36,27,5,3,25,7,15,,37597,62907,76440,74921,51184,114781,148455,210059,35543,54454,,3695022,3789593,3922227,3068078,2441170,2718896,2975500,2868108,3185247,3580071
840690,"Parts of steam and other vapour turbines, n.e.s.",0,0,0,0,0,0,0,0,0,15,,68445,63507,106145,113269,56011,35693,83414,30095,54563,176970,,306913,296036,352001,292760,332022,295238,264562,178887,203725,134772
711039,Rhodium in semi-manufactured forms,0,936,3399,0,257,900,47,0,0,15,,64,113,70,30,74,122,0,253,222,248,,25162,24839,22261,7425,12833,7361,10915,28631,237693,692975
480421,"Unbleached sack kraft paper, uncoated, in rolls of a width > 36 cm (excluding goods of heading ...",0,270,0,0,34,489,0,36,40,15,,182424,202426,214199,188425,175651,217859,298188,288714,213993,203001,,106139,104630,107013,93369,93618,87301,113094,119654,112489,131786
830249,"Base metal mountings, fittings and similar articles (excluding locks with keys, clasps and ...",0,145,4,419,379,9,26,21,19,15,,1669,2887,3461,3013,3713,5292,6429,6579,6820,7857,,420725,439253,490646,560235,576957,611787,673853,706389,563429,660090
845150,"Machines for reeling, unreeling, folding, cutting or pinking textile fabrics",0,0,0,0,0,0,0,0,0,15,,108,253,526,44,232,155,771,272,615,928,,53566,50167,57346,55533,65556,71910,85707,66976,76566,74620
741022,"Copper alloy foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",0,0,0,0,0,0,0,0,0,15,,39,21,13,14,8,15,49,15,58,24,,656,556,534,679,575,738,645,467,576,551
610343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, knitted ...",0,0,5,8,7,43,24,10,3,15,,1729,2195,2149,1374,1706,2633,2629,2711,2417,3282,,799462,843106,920678,1080171,1031207,1093594,1211136,1230676,1024543,1552914
300450,"Medicaments containing provitamins, vitamins, incl. natural concentrates and derivatives thereof ...""",217,0,0,0,0,0,0,0,2,15,,14879,15187,15053,13892,13247,14815,14853,16807,20303,19871,,134768,104227,193562,97036,146531,198151,250462,215808,235591,240221
845590,"Parts of metal-rolling mills, n.e.s.",0,0,0,317,612,10,0,0,0,15,,3277,1639,4748,6300,3528,2192,2196,2454,2249,2255,,178505,245935,175297,183393,121530,122362,152733,264990,287168,287948
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these ...,0,38,0,3,0,40,11,0,16,15,,2089,1659,2584,2129,3083,2399,3345,1931,3377,4698,,1021995,1105638,1120286,1268519,1207001,1361650,1332133,1224188,1201335,1249981
853390,"Parts of electrical resistors, incl. rheostats and potentiometers, n.e.s.",25,0,0,15,0,0,10,0,0,15,,226,162,23,30,12,8,102,246,26,1539,,50593,53279,57667,62739,65587,52654,51499,24873,24660,30708
630392,"Curtains, incl. drapes, and interior blinds, curtain or bed valances of synthetic fibres (excluding ...",0,29,5,0,6,0,0,23,11,15,,282,982,928,1030,807,1170,1402,2504,4260,4845,,816456,933868,926404,1056791,1038632,1030333,1138604,1111226,1194221,1416866
852692,Radio remote control apparatus,0,0,0,0,0,0,35,36,0,15,,57155,11501,2701,2610,16180,2326,1513,1837,2509,2649,,521784,524866,666424,792503,671462,764207,959888,1213675,1070609,1280686
284290,"Salts of inorganic acids or peroxoacids (excluding of oxometallic or peroxometallic acids, ...",35,5,0,4,0,4,4,7,5,15,,1798,1057,1544,725,1253,874,457,539,496,1887,,47116,40537,36195,35106,27171,35799,36091,25434,23171,49330
850110,"Motors of an output <= 37,5 W",30,4,5,57,8,21,15,23,0,15,,9319,10999,9622,6707,7261,11040,9538,9187,14362,16502,,1474065,1603999,1868554,1995956,2086704,2206116,2270832,2212016,1950397,2231329
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,37,31,28,34,85,59,103,0,33,14,,403,893,513,2910,1590,2717,4132,775,283,472,,2357100,2343682,2492761,2284289,2435186,3562488,3952706,3196044,3875425,3874718
71090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",5,0,0,0,0,0,0,4,0,14,,1203,720,484,265,488,501,463,849,1264,1867,,102350,107172,105160,117235,134444,153015,183650,188263,216056,210698
10620,"Live reptiles """"e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""""""""",0,0,0,0,0,0,4,34,4,14,,0,0,0,65,3,1,3,42,15,38,,5094,6589,5669,8208,7582,8673,10291,11833,15077,21350
200210,"Tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid",0,0,0,0,0,5,0,7,4,14,,37,72,221,122,205,605,561,712,822,781,,11995,14136,18171,18899,19643,16406,19800,20537,22927,28919
441400,"Wooden frames for paintings, photographs, mirrors or similar objects",0,0,7,0,0,0,2,0,0,14,,249,150,132,150,173,788,927,669,689,859,,356982,348995,355145,376278,324099,306080,328151,301594,254897,275588
843061,"Tamping or compacting machinery, not self-propelled (excluding hand-operated tools)",0,0,0,0,0,0,0,67,22,14,,138,236,436,240,138,154,653,1119,1260,922,,15191,15801,16247,21406,22241,25883,46379,52853,51833,60221
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",21,0,3,0,5,99,2,0,2,14,,2348,4346,4111,5175,6996,8439,9459,12021,11791,11456,,394489,449391,764576,732434,476995,522447,741055,752781,684262,825893
680299,"Monumental or building stone, in any form, polished, decorated or otherwise worked (excluding ...",2,0,0,0,0,13,16,7,0,14,,180,572,160,321,476,498,417,543,602,1147,,255898,326650,323283,341187,390979,444322,412024,374774,377822,558404
842619,"Overhead travelling cranes, transporter cranes, gantry cranes, bridge cranes and mobile lifting ...",0,0,0,0,0,317,100,0,0,14,,5538,4751,4555,9011,10290,2905,9885,4348,17305,1264,,203208,145642,159150,217528,322117,200270,524769,414245,408134,281495
853110,Burglar or fire alarms and similar apparatus,130,38,55,67,40,39,11,51,16,14,,30401,36796,32917,25092,29572,36744,30879,45968,32627,40185,,463274,525488,506613,575814,689205,805600,804965,777744,617650,664658
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",7,0,0,21,17,8,0,15,23,14,,275,534,227,151,134,289,1010,767,450,907,,542007,535857,1376083,903021,546250,570361,880101,901690,710627,1226684
681182,"Sheets, panels, paving, tiles and similar articles, of cellulose fibre-cement or the like, ...",0,0,0,0,12,4,0,0,0,14,,618,789,501,1093,760,1146,2369,3659,4367,5741,,52703,64886,79259,71535,103356,115718,104127,118049,115618,157862
640192,"Waterproof footwear covering the ankle, but not the knee, with outer soles and uppers of rubber ...",0,0,1,0,2,9,2,6,13,14,,11716,13680,35954,4238,5070,6175,5824,5437,4626,5137,,120327,105748,145192,169214,129898,109200,122976,152468,93142,136508
732599,"Cast articles of iron or steel, n.e.s. (excluding articles of non-malleable cast iron, and ...",10,0,0,0,0,0,45,42,0,14,,19327,19306,12255,9694,9893,14247,17617,18152,11796,13944,,348811,326794,323674,302170,232045,266913,283870,280036,214424,293682
392092,"Plates, sheets, film, foil and strip, of non-cellular polyamides, not reinforced, laminated, ...",0,0,0,0,0,0,1,0,0,14,,352,319,444,403,413,661,440,834,820,940,,75879,74048,80444,73472,72701,84137,92593,106595,103335,117001
851850,Electric sound amplifier sets,0,3,0,0,19,0,39,0,0,14,,1452,2430,1385,585,852,585,507,535,1359,753,,100490,117754,108839,121719,120788,120901,124412,96890,71696,89070
853941,Arc lamps,6,26,31,0,0,0,0,0,8,14,,79,298,416,154,201,218,313,223,312,356,,82819,97461,105935,103421,108290,103274,97425,87894,77862,106273
852550,"Transmission apparatus for radio-broadcasting or television, not incorporating reception apparatus",320,16,4,26,201,178,171,68,26,13,,929,2132,379,2595,3583,501,441,1503,636,2445,,2585481,2381165,2529647,2963750,2707122,3049891,2751855,2509070,2686670,2430431
481910,"Cartons, boxes and cases, of corrugated paper or paperboard",62,24,11,14,10,35,17,0,2,13,,20893,26154,31856,30579,42107,49146,60383,63994,67441,112880,,338199,355598,375759,435134,464146,518825,527930,544180,598018,680978
640199,"Waterproof footwear covering neither the ankle nor the knee, with outer soles and uppers of ...",0,0,0,0,0,0,6,4,6,13,,5479,5089,4548,3040,3170,4036,3729,3914,4508,5559,,15900,15364,23335,21002,15793,16810,22153,25175,19246,19633
440791,"Oak """"Quercus spp."""", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...""",0,0,0,0,0,0,7,0,0,13,,58711,48988,36589,52822,60360,60937,64954,59817,37047,44369,,6847,10672,13779,16368,20024,20078,23250,22751,18839,21071
330119,"Essential oils of citrus fruit, whether or not terpeneless, incl. concretes and absolutes (excluding ...",0,0,0,0,0,0,4,0,0,13,,21,30,37,36,24,36,40,39,59,49,,63976,77309,107701,118595,113070,134168,122810,92282,95088,121730
291419,"Acyclic ketones, without other oxygen function (excluding acetone, butanone """"methyl ethyl ...""",2,4,4,10,48,6,4,0,0,13,,29,17,11,30,95,45,59,76,161,137,,77195,53277,44176,42474,45020,43026,50193,39826,37015,35357
130120,Natural gum Arabic,0,0,0,0,0,0,0,0,0,13,,3,7,32,7,20,22,28,45,43,39,,43834,54760,53419,53295,49129,53459,37602,45241,55622,66171
721691,"Angles, shapes and sections, of iron or non-alloy steel, cold-formed or cold-finished from ...",0,0,0,0,0,0,0,0,0,13,,42604,32115,27753,21482,21136,19496,24070,29244,27949,41716,,28549,30464,37383,39423,48531,48868,82074,65691,59102,119757
620413,"Women's or girls' suits of synthetic fibres (excluding knitted or crocheted, ski overalls and ...",0,0,0,0,0,0,0,0,0,13,,17,197,287,89,49,125,120,4721,19372,9636,,80246,47549,45719,30545,17019,13733,12984,10278,5437,4457
441990,"Tableware and kitchenware, of wood (excl. of bamboo or tropical wood, and interior fittings, ...",0,0,0,0,0,0,19,20,3,13,,0,0,0,0,23,7748,11889,10905,11323,14447,,0,0,0,0,0,156567,179141,199136,218359,340572
854310,"Electrical particle accelerators for electrons, protons, etc. (excluding ion implanters for ...",268,11,6196,58,4526,60,125,5,2840,13,,8308,8622,10528,11957,12205,10474,8488,12122,16681,8396,,11168,8063,15363,16563,30093,20172,17292,23157,21182,27889
