Product code,Product label,"China's imports from Taipei, Chinese-Value in 2012","China's imports from Taipei, Chinese-Value in 2013","China's imports from Taipei, Chinese-Value in 2014","China's imports from Taipei, Chinese-Value in 2015","China's imports from Taipei, Chinese-Value in 2016","China's imports from Taipei, Chinese-Value in 2017","China's imports from Taipei, Chinese-Value in 2018","China's imports from Taipei, Chinese-Value in 2019","China's imports from Taipei, Chinese-Value in 2020","China's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
410799,"Leather """"incl. parchment-dressed leather"""" of the portions, strips or sheets of  hides and ...""",36164,60485,44258,35777,19214,15459,12115,10355,8176,8958,,116544,128301,141076,112842,84163,78256,76242,68098,51003,65940,,230698,245774,266493,229392,154056,137758,140537,138804,113618,96193
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",9520,11826,12075,11265,12462,12603,11902,9323,8444,8895,,115438,111314,100911,77736,75581,85921,82441,63484,58665,75211,,170160,205977,240736,205566,213048,161756,76415,137863,327847,392307
731824,"Cotters and cotter pins, of iron or steel",8016,7595,8071,7418,7661,8634,9313,7727,8687,8821,,21572,28860,35677,34029,30259,35072,36254,33838,28912,49522,,250877,263582,290331,232078,223773,257874,263477,230939,223213,257583
846299,"Presses, not hydraulic, for working metal (excluding forging, bending, folding, straightening ...",13662,9727,12926,7950,11473,8904,15638,15252,10872,8820,,109596,89530,103016,80498,85366,87707,90390,74397,43223,67137,,188775,124913,113857,134959,115287,124778,131675,152363,90333,135087
820320,"Pliers, incl. cutting pliers, pincers and tweezers for non-medical use and similar hand tools, ...",7132,7013,7765,8438,8163,8736,9318,8329,7578,8797,,79436,77172,85115,86935,85724,92331,95659,93134,88333,114110,,27628,28651,32822,31082,31689,37350,36686,36138,32330,40832
721810,"Steel, stainless, in ingots and other primary forms (excluding waste and scrap in ingot form, ...",13065,10851,6658,5289,3894,4519,4213,4843,3990,8791,,17366,20096,12447,9726,6466,7631,9424,12285,9441,16377,,16115,13939,9889,9245,7318,8465,7212,12844,18468,18096
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",16764,15024,8187,5168,2842,3478,4816,4442,3446,8710,,12190,10587,9034,7361,7565,9623,14411,11456,10680,21172,,814992,718904,680239,513745,401976,425494,500325,429798,309543,366949
842290,"Parts of dishwashing machines, packing or wrapping machinery and other machinery and apparatus ...",4326,5137,5332,5100,5468,6607,7552,5965,6539,8706,,44440,50095,46031,46094,46220,51064,58313,51042,49794,60816,,138100,148380,159576,129925,127987,146158,187235,185129,194664,193862
830260,Automatic door closers of base metal,6119,7922,7792,6035,7372,8644,8466,7369,6509,8690,,60992,66040,72546,73511,74471,75698,76879,73682,62998,83058,,26716,26566,28104,24599,27602,28124,30110,29346,24528,30403
852692,Radio remote control apparatus,1064,1142,690,1092,1237,1467,10887,12788,12909,8670,,33607,35703,38666,33121,31259,39728,72074,107826,88435,108650,,205189,201630,235417,233839,253144,211484,235343,253010,238899,195815
848291,"Balls, needles and rollers for bearings (excluding steel balls of heading 7326)",5374,6861,7021,7730,9616,9420,9882,7953,8398,8666,,18179,19736,18863,19376,21745,22165,22301,20141,17884,22852,,139953,139783,166108,162129,144879,165206,179177,170761,169138,163772
480411,"Unbleached kraftliner, uncoated, in rolls of a width > 36 cm",37015,16963,14582,16072,13614,23388,40884,36285,26942,8642,,1,4,103,23,979,4257,8673,5215,5597,8941,,309774,338069,365325,334826,358996,425557,705351,484276,600253,443182
851430,"Electric industrial or laboratory furnaces and ovens (excluding resistance heated, induction, ...",17239,18608,18783,7577,8075,30529,10350,20712,11915,8630,,47819,74740,37065,23463,32677,56093,33941,40367,25271,54312,,141359,156628,133103,163474,82935,172163,102080,103270,94645,122480
846320,"Thread rolling machines, for working metal",10161,4453,6195,7790,4338,5906,8411,3512,2829,8554,,28460,23083,21043,22235,17647,22047,32349,27181,17230,27046,,23101,14593,20877,14405,15375,16032,20283,12072,12476,19341
845150,"Machines for reeling, unreeling, folding, cutting or pinking textile fabrics",15029,14464,14247,8271,9489,16220,15601,10491,9690,8538,,19485,25616,22331,21834,22653,36565,31683,26239,43967,34060,,82058,67038,71185,61175,55908,83602,75013,75617,60592,54411
901210,"Electron microscopes, proton microscopes and diffraction apparatus",195,279,1543,5833,7876,14792,22363,17531,77,8489,,1058,1229,1598,1463,3558,5770,2715,4350,4500,4911,,282975,308670,319806,368704,492781,594432,811884,1039201,993044,807945
900490,"Spectacles, goggles and the like, corrective, protective or other (excluding spectacles for ...",11510,11090,5560,5272,5733,5594,7065,7436,12694,8417,,237842,250596,273934,277217,271873,293903,326993,313772,387316,378896,,39684,29637,58954,33001,42296,33508,40806,46570,60994,38984
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...",160,270,335,166,405,885,3227,3847,4372,8407,,2596,213,305,533,952,1524,6688,6829,7090,17299,,753927,753342,640066,826319,554261,461285,669006,661968,619917,599578
741012,"Copper alloy foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of heading ...",42238,38813,40427,37165,34386,38600,39724,28452,11526,8372,,40743,36996,38200,32986,29557,35691,39398,34098,37935,32237,,242976,209371,209157,178819,184573,214396,227998,194863,219541,270019
292090,"Esters of other inorganic acids of non-metals and their salts; their halogenated, sulphonated, ...""",4754,5078,5162,6314,6956,1490,1541,5817,4823,8360,,70339,73893,67904,81688,88269,6146,7874,12563,11353,19642,,126740,114429,104201,125387,125188,132085,156878,120847,95031,127022
400821,"Plates, sheets and strip, of non-cellular rubber",9632,9139,8634,7296,5869,8131,8027,6298,8443,8338,,43672,30034,26478,21910,20252,19109,19170,19263,18448,20426,,116481,108655,123948,108866,115420,131445,148974,127570,127759,124655
846031,"Sharpening """"tool or cutter grinding"""" machines, numerically controlled""""",9531,4697,3694,1934,2536,11234,15290,7961,7491,8328,,8214,5577,4586,2302,2331,1167,1890,2952,8327,19473,,216701,176673,172217,214588,158922,245486,285340,132875,125907,198296
30359,"Frozen anchovies """"Engraulis spp."""", Indian mackerels """"Rastrelliger spp."""", seerfishes """"Scomberomorus ...""",0,0,0,0,0,27716,47760,11445,8237,8307,,0,0,0,0,0,91199,119169,128942,79879,95027,,0,0,0,0,0,86006,107067,80118,87634,138713
370130,"Photographic plates and film in the flat, sensitised, unexposed, with any side > 255 mm",9627,9429,7998,7205,7596,7933,8604,8395,6266,8305,,11256,8760,11416,22650,24279,26085,25105,24770,18542,24626,,159585,130870,99912,84174,84914,86399,102498,124924,130750,157469
854720,"Insulating fittings for electrical purposes, of plastics",14786,9178,10420,8090,8056,8286,7630,6671,5751,8253,,6552,4365,5186,4929,5815,7959,9266,9632,11529,17360,,476564,486395,484626,435039,466854,499476,516998,449950,478535,533102
841780,"Industrial or laboratory furnaces and ovens, non-electric, incl. incinerators (excluding those ...",13504,9311,5003,7645,9737,5747,4257,5014,10013,8229,,24306,17980,17628,18590,17115,10958,19121,12530,17565,10942,,186508,140419,161517,142539,109382,145920,128368,134793,135110,125758
720510,"Granules, of pig iron, spiegeleisen, iron or steel (excluding granules of ferro-alloys, turnings ...",1628,2997,5547,12209,17327,15382,13007,18167,9013,8208,,16499,26627,26011,11047,5403,9433,14737,24250,13533,18276,,28627,16228,24761,40648,36302,27593,28656,37703,20713,20190
80540,Fresh or dried grapefruit,2023,2536,3520,5230,5776,5577,6673,8459,5949,8154,,2233,2646,3458,5269,4999,5605,6993,9178,7774,10690,,14765,23843,30877,36667,42315,51203,87033,65790,78682,128677
740313,"Copper, refined, in the form of billets",92,50,0,0,0,0,2,0,6051,8113,,118,137,5,0,0,3,4,104,155,369,,32553,16737,26125,54445,22788,37107,112181,175567,245741,399779
844900,"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ...",4755,5069,3485,8684,4307,7397,5883,4981,14516,8084,,5079,7874,7986,4921,3448,8108,4451,4483,28275,10692,,113365,58491,83648,69758,78450,112052,110917,89130,101927,179514
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",14,106,95,897,426,573,566,608,9596,8068,,3918,8503,11720,12041,13506,13710,13462,11489,11392,11493,,16322,22465,25439,38474,40172,103009,187412,300954,580862,1626320
381400,"Organic composite solvents and thinners, n.e.s.; prepared paint or varnish removers (excluding ...",12756,9216,7978,7231,7811,9934,11911,10793,7990,8043,,17331,20545,24342,23327,21882,24492,29481,35252,31224,46257,,151540,133568,114241,102282,100138,100066,114150,111143,100165,102160
721550,"Bars and rods, of iron or non-alloy steel, not further worked than cold-formed or cold-finished ...",13043,13373,13797,6126,5452,6515,7161,6694,6206,8019,,5460,4764,3559,2607,3033,4911,4719,5313,3946,5494,,36470,33966,35617,27323,26401,27777,30363,26869,25976,31327
250610,Quartz (excluding quartz sands),180,357,422,486,517,518,1606,5711,8986,8001,,282,318,216,50,67,179,653,487,283,462,,31442,17391,59911,47091,58617,112882,114071,127956,115036,152684
871130,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",0,229,544,260,261,409,5177,10419,14832,7965,,37307,57333,65711,52515,52557,46913,52529,47326,42404,73135,,23,425,1627,14589,4011,8997,41330,74178,167915,238606
960350,"Brushes constituting parts of machines, appliances or vehicles",2676,4034,2920,3571,3284,4062,8162,8869,6702,7944,,9118,10807,6266,5678,5022,7695,12876,11161,9868,11918,,49518,55114,65212,55803,51370,63457,72307,68915,65464,69268
853720,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",19830,10688,7958,2381,1440,1440,2935,1738,2784,7895,,33675,25983,52596,48491,10126,17127,8763,10556,10870,33148,,371271,394590,438360,351399,247661,270896,306883,320141,323137,279095
580410,"Tulles and other net fabrics (excluding woven, knitted or crocheted fabrics)",42042,41787,39502,34682,23498,21135,18736,12619,7791,7879,,173180,174255,185424,252150,248536,219631,210478,200322,130945,113468,,108938,103650,93235,79334,66167,61104,66110,47013,30618,36213
701090,"Carboys, bottles, flasks, jars, pots, phials and other containers, of glass, of a kind used ...",8409,8354,7833,6004,5321,6358,8003,6971,7853,7720,,134731,139632,133422,142679,133685,141315,148179,141699,162738,160255,,54649,52391,55516,50758,39807,42831,62353,50767,57712,69212
722300,"Wire of stainless steel, in coils (excluding bars and rods)",15220,14404,12965,13748,12269,11433,10655,7008,5396,7694,,87272,85564,92719,75080,72399,77549,82228,76811,65301,83348,,145048,142072,145735,136602,139621,166222,175907,165258,159536,177342
847759,Machinery for moulding or otherwise forming products from rubber or plastics (excluding injection-moulding ...,44901,32537,26103,20781,11092,12760,17707,12150,6126,7691,,90766,74162,75041,64232,54301,65806,80527,56320,47321,58275,,173959,152147,139478,154463,132175,133322,163487,158981,112242,87340
291260,Paraformaldehyde,6332,7252,7391,5593,7822,7012,6948,6044,4605,7690,,29692,29993,32834,27724,27336,31785,36262,27481,20736,33812,,18083,24503,21573,14140,16693,16169,19403,19107,13785,17702
732010,"Leaf-springs and leaves therefor, of iron or steel (excluding clock and watch springs and shock ...",7770,8815,8190,7222,8190,8557,8486,6687,6726,7678,,5749,5963,6519,5152,4699,4799,4616,3965,4816,6175,,133324,135494,143335,132949,144250,157436,164504,130914,138871,142024
390750,"Alkyd resins, in primary forms",17038,16599,14622,11294,8184,6816,5634,4043,3336,7649,,68026,66513,64130,55501,52590,53996,45530,40273,34039,36818,,40801,36265,33514,26496,24915,26142,26610,16699,15526,20997
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",7469,5556,7858,3861,5184,7919,13911,9376,38600,7646,,25709,17500,17938,15800,14286,17406,23752,24007,28702,26615,,919979,1080656,1182647,1242404,1411219,1575495,1740751,1837488,2343955,1990876
900110,"Optical fibres, optical fibre bundles and cables (excluding made up of individually sheathed ...",7544,4191,3684,8981,19765,25944,12786,9189,17369,7619,,4369,3744,3170,5263,11832,16330,6867,4430,5381,4896,,479792,375553,231540,325471,429071,391971,371495,338453,353676,356061
760711,"Aluminium foil, not backed, rolled but not further worked, of a thickness of <= 0,2 mm (excluding ...",6608,5350,4072,2063,1471,2993,4233,3850,4682,7579,,11485,13953,14237,10928,11663,18615,37681,37764,40715,50983,,109271,105136,104274,88647,90281,92906,118973,130144,126405,165212
850151,"AC motors, multi-phase, of an output > 37,5 W but <= 750 W",13947,17055,18074,14848,16287,29074,22095,8575,6058,7578,,26954,33098,61485,60450,64144,71426,74556,65229,67041,113939,,302736,333658,354327,357089,371996,389800,361874,277916,276556,324629
30389,"Frozen fish, n.e.s.",13862,42896,56624,41365,41730,10445,19366,26790,21932,7539,,0,23105,189674,161423,172125,79307,81499,101699,90191,64502,,497989,466369,514618,449128,482037,442065,600675,881678,824804,594696
390421,"Non-plasticised poly""""vinyl chloride"""", in primary forms, mixed with other substances""""",29117,20870,12264,4730,4657,2242,3693,3759,2303,7529,,162394,191686,176148,174974,128587,3042,3952,2862,4072,2076,,95238,65534,44809,26447,25013,25823,28085,27237,30788,29693
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",45939,33669,27346,21990,15958,16171,17037,13980,9046,7520,,749055,708956,828559,501733,502131,616373,616153,490308,389134,882179,,234811,201350,227494,197601,152038,171915,194145,298240,515327,888553
290241,O-Xylene,388104,160275,119421,45994,34304,67770,5209,2849,1740,7520,,368118,169000,108213,46244,41405,63711,2628,5729,1671,15161,,1052850,834083,609981,287200,215277,282762,224303,71048,100386,115951
220830,Whiskies,332,328,374,545,978,924,1461,2952,3653,7494,,3766,19337,28941,16102,28121,35064,44199,37632,42558,102826,,134047,113502,107414,118770,113107,135675,173426,208581,244123,405189
847730,Blow-moulding machines for working rubber or plastics,7469,9649,7478,9077,5211,4438,7574,3122,9013,7462,,97389,111614,85636,93367,86894,77884,93489,84035,77965,95705,,248699,225083,205041,166443,126241,156347,209111,211098,116656,121886
390311,"Expansible polystyrene, in primary forms",28926,31558,30345,26395,19215,17765,21360,12185,14793,7449,,378651,453609,454490,345257,309702,336861,340060,282781,253636,409139,,103866,127664,139092,85719,54558,58317,124793,88344,56424,58376
721710,"Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excluding ...",23594,17595,17101,13211,11048,10617,11318,8948,7329,7433,,69453,65604,70531,57717,58115,71993,77155,74746,70071,94733,,90808,86893,88638,68820,61954,66242,70829,59794,57146,67578
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",14209,14451,23753,18147,16207,16540,15846,8862,8239,7430,,56444,57303,64304,45674,38010,42884,48395,41380,39903,53418,,212666,235313,251553,207018,218909,246169,257959,218256,233992,290730
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",3840,4119,4279,5098,5990,7540,7894,7650,8126,7424,,23722,30684,34804,45093,44172,45026,54233,44661,41609,49131,,1519415,1139313,1034904,711998,730205,1102436,1427147,1198364,1238947,1300877
293329,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused imidazole ring, ...",1656,3680,3173,5455,2627,119,2276,3270,7571,7414,,1108,2704,712,1746,1630,2245,1494,3977,2417,3094,,110910,62666,61517,55483,68137,39820,64570,65499,84899,96952
902720,Chromatographs and electrophoresis instruments,297,410,650,1078,1459,3365,6999,2881,7526,7386,,1254,1272,2589,2153,3161,3182,4348,7955,4517,7922,,750668,844275,848667,926022,982691,1011170,1163752,1044733,1084730,1148239
851490,"Parts of electric industrial or laboratory furnaces and ovens, incl. of those functioning by ...",2511,2798,3000,2307,2889,2010,7897,21863,16434,7360,,13972,12929,17122,13527,10949,12172,16102,13485,12461,12156,,171871,65624,85590,75882,63988,68870,82198,97931,79802,81187
846330,"Machine tools for working metal wire, without removing material (excluding wire bending machines ...",7762,8726,8459,7028,6891,12384,8759,6126,6855,7357,,45752,40076,41095,30731,34458,34865,40200,30571,24710,34717,,29837,32888,40825,29991,26784,34090,24208,25041,14508,34989
401610,"Articles of cellular rubber, n.e.s.",2504,2246,1531,1865,2514,2761,3958,3138,4221,7346,,11926,14078,17349,18852,17582,19851,23414,21338,18717,28864,,52099,50275,51353,49268,51407,48737,52788,43058,39655,44875
210500,"Ice cream and other edible ice, whether or not containing cocoa",4146,2389,2047,2857,551,3936,4633,5220,7085,7335,,3653,4587,8326,8312,5260,8311,9568,15397,44483,43718,,43169,53964,65960,64721,60686,67755,89090,102762,91956,113697
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",488,274,26179,137,517,254,2240,4892,7930,7318,,381954,386060,450589,394674,326480,329927,413564,410896,292922,294437,,1521658,1802658,2009289,1760446,1731410,1803870,2270993,2573495,1735837,1936234
560314,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",6114,7166,7333,6944,7981,8271,7268,7242,6295,7314,,21598,23507,22991,20605,19394,21052,20824,23726,21851,25935,,86959,83452,98678,84177,79972,82346,77934,88833,90181,105003
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as UV, visible, ...",2464,4442,4856,4129,4731,9824,7438,10549,11969,7292,,6960,6239,6955,7605,10561,12793,10865,13560,13839,15495,,496573,539365,538042,553454,576483,622522,732881,647798,698808,562423
392069,"Plates, sheets, film, foil and strip, of non-cellular polyesters, not reinforced, laminated, ...",23114,14299,11785,10875,7421,8015,8987,10544,7659,7269,,100973,83042,76900,83390,64371,58191,63534,75124,66492,76704,,131236,100915,77884,74625,78916,79354,84604,75110,79439,82572
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",3868,5346,4469,6334,7569,9315,9639,8939,7943,7187,,467625,391288,380276,323860,310795,307677,322701,297230,348065,409625,,273522,316042,359298,493400,495300,558698,648121,755325,772765,921677
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",10768,6569,7108,8250,9539,8885,9123,6985,5667,7142,,56684,41827,41326,38562,36093,38116,41220,56264,29409,40493,,239817,299627,331881,276705,330894,358696,396232,375650,380842,426662
722830,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn ...",8685,5381,6326,10504,12713,17982,21082,12893,9168,7136,,26744,21796,26503,25767,23160,28647,33715,31607,23426,31668,,290123,271568,307109,242575,263129,350781,415030,360567,325033,340832
284180,"Tungstates """"wolframates""""""""",2,6,10,236,49,27,45,3132,3041,7128,,0,0,155,216,71,15,29,12037,21814,27537,,11235,5321,27888,12486,7284,10075,21170,27880,33301,23395
293369,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, ...",4163,2996,1579,3434,3799,3693,4772,3491,6420,7119,,49901,64929,75768,50558,64179,67254,89800,82089,33615,56434,,51178,51778,60479,62752,78451,86583,86247,103692,103497,88608
320990,"Paints and varnishes, incl. enamels and lacquers, based on synthetic or chemically modified ...",11007,11217,7548,3092,2571,4930,7561,6934,5045,7112,,20635,22563,24253,21656,21501,22217,25546,22052,19928,31609,,119097,141828,143270,110034,100933,100135,104034,105033,98934,108362
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,11648,8345,6958,9794,9263,9023,8999,5806,6206,7093,,94639,88232,101509,82934,87588,94647,107000,114350,136803,146011,,221621,216951,227917,225100,261088,263439,255067,244625,351680,435577
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",4074,4067,4405,4634,4138,4859,6757,4608,4712,7075,,97251,107435,111345,110225,122192,123510,132306,125826,124829,159506,,302887,315360,284001,285403,300838,358640,349336,320412,314134,358082
940599,"Parts of lamps and lighting fittings, illuminated signs and nameplates and the like, n.e.s.",34584,10594,13163,97872,24125,4760,3683,2500,4821,7041,,42489,36081,45256,45621,49763,54422,63188,50366,43708,57620,,192239,136873,128800,184870,112847,77971,71145,70096,63138,59573
491199,"Printed matter, n.e.s.",9447,12563,13774,9147,6828,7254,8329,6029,6039,7036,,15300,14518,19428,20921,20700,19513,21863,21935,19561,23532,,169728,433290,448601,228148,209025,177103,168955,306974,305118,255419
902590,"Parts and accessories for hydrometers, areometers and similar floating instruments, thermometers, ...",2715,3100,3690,3572,3169,5214,5752,5373,30268,7033,,12802,13318,14688,13485,10916,12711,12052,8368,21066,11733,,114798,112455,281628,112396,90178,97472,108678,115918,309888,132065
848360,"Clutches and shaft couplings, incl. universal joints, for machinery",5514,5931,6682,5932,4938,8418,8322,5040,5879,7031,,9276,7866,9070,8566,10799,13132,12519,10343,9972,14176,,290024,328070,311011,250548,210452,234312,259340,257222,273523,258252
844839,"Parts and accessories of machines of heading 8445, n.e.s.",4769,5678,4863,2545,2951,3188,3491,3478,4629,7017,,20464,20380,18354,16785,17939,19837,27301,19692,13983,16170,,168931,173957,146542,117208,111845,150181,163533,173444,127154,124189
291219,"Acyclic aldehydes, without other oxygen function (excluding methanal [formaldehyde] and ethanal ...",3289,4385,3574,2481,3874,3020,3821,2754,3713,7006,,7980,6556,7496,5601,4077,3712,6662,3903,5331,15723,,91143,79304,79422,62516,49379,52093,54993,61632,55247,76857
902610,Instruments and apparatus for measuring or checking the flow or level of liquids (excluding ...,3112,4462,4768,4291,5526,4756,6759,7483,5543,6986,,11538,14757,17845,13263,15243,18292,22312,20025,19383,32729,,481650,510447,527067,515825,443179,463043,561320,530072,498009,551584
820810,"Knives and cutting blades, of base metal, for machines or for mechanical appliances, for m ...",17928,14139,12859,9336,7501,9605,8314,6617,6029,6961,,12316,12283,16832,11467,11290,12005,14220,10892,11479,13052,,586905,594574,654896,599078,639653,742878,805514,693852,679885,660383
320810,"Paints and varnishes, incl. enamels and lacquers, based on polyesters, dispersed or dissolved ...",14005,14533,13765,8804,10805,11029,9188,7804,6377,6952,,13290,13815,15395,12219,15297,15617,15497,13707,11523,13237,,150476,140165,138192,141730,115978,128582,105747,97162,92782,89835
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",5328,3854,3016,2200,2637,3891,6501,4529,5251,6947,,34166,34330,24709,23560,23489,23921,25555,24578,26594,26188,,83781,54709,61718,62315,63977,73008,96614,95031,88930,100642
950890,"Roundabouts, swings, shooting galleries and other fairground amusements; travelling theatres ...",2151,5,1524,1687,331,722,203,6886,13166,6941,,12760,5438,17023,15451,24832,12073,16183,30631,44338,12590,,66235,78728,223852,231114,210197,306535,332572,393183,334430,188856
940310,Metal furniture for offices (excluding seats),3421,3351,3284,3217,4172,5485,6345,6523,4971,6941,,65225,58091,62110,72780,79892,108688,107490,120758,145669,163726,,13951,14996,13750,15596,18429,20935,21919,20795,14357,15613
731822,Washers of iron or steel (excl. spring washers and other lock washers),10847,11205,9400,7965,8503,7708,7291,6054,6183,6933,,85843,84071,89666,82412,77916,85858,94342,88206,86918,116739,,258647,262491,280843,251814,254943,272431,280254,265592,252946,270248
291735,Phthalic anhydride,46451,42160,32497,17608,15625,12496,12618,6046,12471,6858,,114589,105013,101572,47737,71195,85960,96603,85228,86009,117777,,147133,125042,89173,52249,52920,38980,26201,21390,28913,13067
290123,"Butene """"butylene"""" and isomers thereof""""",0,1346,0,5646,2964,1548,0,0,1082,6848,,60971,47528,36158,27870,18513,31365,38064,18033,22976,19449,,73375,30937,28770,36232,35086,17291,6670,18276,25875,61013
853229,"Fixed electrical capacitors (excluding tantalum, aluminium electrolytic, ceramic, paper, plastic ...",9233,6793,13364,13917,9402,9980,10459,6395,10942,6836,,176815,150685,136841,121877,212026,224854,213266,114797,113396,130665,,232340,209303,196882,191067,123762,115486,129588,139253,122531,101302
600633,"Fabrics, knitted or crocheted, of synthetic fibres, of yarns of different colours, of a width ...""",16150,16566,18563,16783,14774,13536,15839,10678,6187,6818,,49972,46145,51893,47419,45471,54606,46940,34299,33842,46537,,41944,41961,47266,45236,38710,49366,61894,32407,20549,18065
590699,"Rubberised textile fabrics (excluding knitted or crocheted textile fabrics, adhesive tape of ...",6489,10552,11388,13710,13503,12677,10280,8525,6318,6797,,40698,36964,39886,43741,39837,47375,33521,28229,24314,35043,,50930,55951,71210,64192,78783,74074,66210,49414,48363,57996
340391,Textile lubricant preparations and preparations of a kind used for the oil or grease treatment ...,9567,8033,9194,9539,10848,13159,11618,9666,7960,6764,,20093,17863,14659,14414,12017,13068,11540,11030,9514,10659,,313656,358510,379709,393717,371521,437788,447845,415672,405533,465285
300220,Vaccines for human medicine,1,2,0,0,949,1870,1305,1321,1254,6727,,73,380,739,1642,801,3596,45073,76978,70696,64732,,155745,303674,187307,217600,239058,498915,824742,1505176,2430175,3291534
721935,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",20198,14724,15812,14315,8386,8162,10081,11001,7733,6689,,132932,131451,119164,104379,101118,116266,128636,103343,95742,129117,,88036,64696,60840,53491,38185,34748,33996,32902,28517,29104
741533,"Screws, bolts, nuts and similar articles, threaded, of copper (other than screw hooks, ring- ...",6810,8712,9572,8976,7064,7335,6163,4868,4543,6676,,33965,40472,36317,36586,35493,39715,40529,43705,39783,56815,,60150,78068,76528,63976,58809,58745,56824,46475,44658,45048
650500,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile ...",1126,1254,980,694,1468,1307,3892,2636,3324,6649,,0,3008,54006,54905,55115,54677,49175,45597,41213,48824,,18664,17783,17284,22132,25406,30270,56313,68107,101735,154126
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,6146,10427,8018,5412,6646,,0,0,0,0,0,166705,179197,271004,276183,320757,,0,0,0,0,0,61635,74192,114256,68127,75900
831120,"Cored wire of base metal, for electric arc-welding",6692,5872,7195,8217,3602,3244,4679,5010,5067,6632,,21735,18047,21396,19213,13979,10947,11670,11499,10569,13195,,127575,107158,111250,96783,78997,77190,83244,87955,72579,61340
392350,"Stoppers, lids, caps and other closures, of plastics",9351,9805,10951,13199,9436,11518,11767,10338,6791,6615,,53397,60610,69247,77886,85413,89938,100569,109002,110527,129594,,181020,171691,184543,174699,174531,194427,218445,214126,210291,224385
850590,"Electromagnets and electromagnetic lifting heads, and their parts (excluding magnets for medical ...",5938,3281,4520,4950,4036,5244,6428,6289,8501,6609,,81331,79172,80301,62484,64165,78152,77968,59048,53114,70467,,183271,214873,222311,213489,226888,296218,324172,304511,342368,387285
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",8123,7447,12703,22056,16745,13015,12082,7786,8392,6571,,181359,167816,193106,170365,174682,118957,122416,111098,109030,154811,,1819924,1986494,1745528,1217842,1139343,934093,1272703,1347202,1352029,1592214
390599,"Polymers of vinyl esters and other vinyl polymers, in primary forms (excluding those of vinyl ...""",3265,12564,13156,16971,13642,10733,13237,8697,4601,6570,,22082,36980,40342,43288,38842,37857,47110,35108,29570,50707,,118995,127348,131947,155777,157004,167738,183023,180885,160160,196895
330590,"Preparations for use on the hair (excluding shampoos, preparations for permanent waving or ...",578,749,772,1570,1714,1329,2254,3843,3673,6553,,6840,8470,10468,12905,13063,13147,16572,16439,15214,17355,,49192,47174,58348,97703,106991,156685,253977,345503,450089,487369
