Product code,Product label,"India's imports from Korea, Republic of-Value in 2012","India's imports from Korea, Republic of-Value in 2013","India's imports from Korea, Republic of-Value in 2014","India's imports from Korea, Republic of-Value in 2015","India's imports from Korea, Republic of-Value in 2016","India's imports from Korea, Republic of-Value in 2017","India's imports from Korea, Republic of-Value in 2018","India's imports from Korea, Republic of-Value in 2019","India's imports from Korea, Republic of-Value in 2020","India's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",2523,1660,2683,16230,6335,1611,355,569,36,8005,,247555,325108,485527,413856,412563,462729,330619,145479,133631,122782,,63752,169321,132720,123672,85545,60312,125118,26766,8517,79974
320890,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",6220,4845,4554,5684,5976,6602,5291,5026,4520,7918,,313865,328286,374012,367943,327679,345994,375499,360856,334727,363713,,85345,86019,92689,100365,101947,115028,119250,115876,97620,131149
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",303,243,1,2,4,10,2,5,7,7880,,89647,119777,139378,153965,99696,115619,102003,118648,102883,98169,,85848,111400,156556,87164,86489,88692,119679,121047,111886,331638
854110,Diodes (excluding photosensitive or light emitting diodes),4946,4526,7196,10700,12144,11672,11096,10155,8034,7851,,242199,261351,231541,206314,206381,274676,318215,297166,259093,309125,,157422,154598,155914,150421,146710,171008,221852,219749,195673,276103
848299,"Parts of ball or roller bearings (excluding balls, needles and rollers), n.e.s.",5971,4540,2545,6266,3011,3650,3936,4007,4298,7804,,27642,54509,78528,89424,116495,149109,170171,156912,145460,175657,,156907,137182,141454,137770,137968,161251,169668,132864,116195,180618
850490,"Parts of electrical transformers and inductors, n.e.s.",8357,5522,7276,7886,12397,6403,2816,3266,1912,7786,,415347,441478,422996,387911,375763,411309,449952,425981,487208,571560,,311326,359265,320498,302681,357858,423373,605372,599450,370243,467127
847950,"Industrial robots, n.e.s.",6445,29173,16096,14602,9896,14492,59721,60921,14574,7783,,155764,178947,167770,235572,179462,198671,173703,204166,155711,180182,,69355,81334,74481,69425,86262,115368,219065,191120,79740,93036
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),3750,1819,2838,6103,6687,7194,5195,5275,7865,7781,,211342,314557,407910,372655,432831,495855,631745,663178,670712,737840,,195618,169116,215432,209434,210223,223503,277592,318568,300571,387148
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",1010,5410,3388,2660,2801,4774,4747,6042,5996,7644,,210860,383261,351602,486302,594675,1087828,1231600,977954,964248,979336,,70107,56744,60726,48513,59341,74239,92622,79680,80016,95956
681510,"Articles of graphite or other carbon, incl. carbon fibres, for non-electrical purposes",671,409,600,428,583,861,1218,1458,3229,7591,,65284,97870,146180,166992,143971,152895,198324,196471,158815,254787,,40023,34966,31135,42381,42515,46759,63667,78392,74925,109244
720292,Ferro-vanadium,1095,67,641,440,935,5580,5858,1670,1627,7567,,54954,26424,27311,47470,35607,66485,140757,89288,36173,88902,,14688,8696,15326,7024,5028,18107,46736,14845,7799,24042
732599,"Cast articles of iron or steel, n.e.s. (excluding articles of non-malleable cast iron, and ...",3765,8767,8753,7411,6001,4994,6590,8009,4644,7416,,214796,155836,171561,139997,116037,138957,153936,152452,133785,164579,,86448,74692,70469,57801,72601,78343,98885,85450,67461,88124
481160,"Paper and paperboard, coated, impregnated or covered with wax, paraffin wax, stearin, oil or ...",4896,7323,15145,12265,4002,6567,7834,5367,7125,7387,,2586,2867,4789,5267,5150,8709,11911,8869,10174,11686,,16944,18812,24994,23050,14849,19372,21511,16343,17728,22398
831120,"Cored wire of base metal, for electric arc-welding",1221,1560,1498,2010,1826,2832,4639,4886,4394,7369,,139115,124407,135169,138439,121199,103638,106975,129100,104246,120470,,26861,21082,24799,22926,20851,24249,33289,33404,25986,43629
120991,"Vegetable seeds, for sowing",2765,2494,2429,3207,3375,3095,4921,4976,5942,7343,,40422,40286,39323,45938,52774,57414,50218,55993,57270,57976,,52453,56043,67589,73834,64563,77800,90961,85683,95113,95096
291020,"Methyloxirane """"propylene oxide""""""""",3430,6675,5619,5868,4459,4482,4427,5507,3785,7218,,12983,13675,11097,10008,7449,8616,28406,162023,171587,246584,,20933,22062,37426,39873,31143,41865,39789,34458,22626,48304
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",2261,4388,7956,13804,16646,12239,14915,20452,11042,7195,,267526,321071,399191,308296,313681,366889,418511,441028,287741,310651,,48170,54162,61522,80473,83366,155410,137901,164571,102372,128174
730690,"Tubes, pipes and hollow profiles """"e.g., open seam, riveted or similarly closed"""", of iron ...""",5371,5602,7132,11615,10915,7144,7339,5063,5279,7169,,78372,49733,56197,50365,38463,32787,28812,43099,29968,19795,,94433,82782,97752,61477,55278,51257,70214,39706,35268,38328
350699,"Glues, prepared, and other prepared adhesives, n.e.s.",5255,7271,6891,6700,3422,3555,2486,9394,5672,7156,,37869,32933,37457,28461,34775,38678,42256,64069,74795,86010,,59471,66073,68383,70863,61585,71641,84867,93267,81008,108124
848110,Pressure-reducing valves,165,2686,1313,1754,2306,3307,3592,4754,4221,7105,,69464,67388,63852,66265,71529,90705,90561,95554,93345,107453,,18969,15406,16971,10286,10421,15448,20167,23224,20110,30145
291714,Maleic anhydride,3222,2819,1145,943,6958,4860,11058,7255,7902,7083,,25452,34860,33856,26619,29921,40190,53482,48479,37687,63637,,60902,65924,67434,50317,44352,58397,87591,69230,51918,129075
760421,"Hollow profiles of aluminium alloys, n.e.s.",3146,2906,3452,3454,4566,4997,5713,4491,3917,7052,,17939,19220,19517,30586,47918,53357,56894,59153,76375,69873,,7604,7457,10348,12821,18300,22180,28005,28934,23209,43221
320416,Synthetic organic reactive dyes; preparations based on synthetic organic reactive dyes of a ...,1928,4685,3422,3163,3174,3469,4503,5329,4284,7043,,118243,155994,179653,157931,158217,161205,193819,194515,186888,240135,,33750,41178,41054,41538,42026,42574,37132,40312,26350,40766
280800,Nitric acid; sulphonitric acids,0,0,0,0,342,3123,5044,5026,3302,7015,,55488,63669,58059,52259,54037,59875,73358,71813,73690,107165,,176,331,347,408,788,4017,5904,5842,4013,8297
740911,"Plates, sheets and strip, of refined copper, in coils, of a thickness of > 0,15 mm (excluding ...",60,88,267,439,478,774,3653,1343,3622,6933,,146526,154108,180619,115971,104375,140722,164843,138322,158300,238395,,8569,11820,9650,9642,10864,19700,25927,21852,22050,42385
382430,Non-agglomerated metal carbides mixed together or with metallic binders,5126,5382,6058,4934,4012,5775,9254,4230,4506,6871,,10388,11969,8598,6114,5266,7734,9897,5204,5885,8051,,25854,28032,31002,25166,17724,23877,33705,26214,17802,25742
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",14382,8748,7717,12421,9367,10106,5793,6898,4550,6841,,835448,776216,819580,761683,807437,735153,863103,831505,888394,985886,,221381,206602,235385,245373,244963,287373,313160,282599,214027,325687
271290,"Paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, ...",2160,2103,1705,2052,1695,2531,3365,3752,3643,6785,,15699,14168,13746,12380,9978,13319,12919,17708,14952,23997,,76940,103870,115389,102403,78375,85661,100932,98484,88596,121305
282530,Vanadium oxides and hydroxides,0,0,255,540,1606,214,196,1572,642,6781,,9022,4852,9937,7308,6342,14037,26964,14324,12022,20953,,6208,5742,10306,6992,14270,24926,40925,29961,7239,20757
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",2213,2358,2359,2303,4320,8397,16678,12098,5403,6777,,29522,27573,32374,37245,24038,37265,61602,38331,31332,37436,,85070,79529,96445,101375,121788,158064,225917,225113,185137,228927
390591,"Copolymers of vinyl, in primary forms (excluding vinyl chloride-vinyl acetate copolymers and ...",1787,2570,2096,925,360,230,11,20,339,6665,,559,712,581,1389,5737,3551,1754,1545,8859,18460,,8845,11816,10243,12081,15205,13713,20045,16912,19646,29860
290219,"Cyclanes, cyclenes and cycloterpenes (excluding cyclohexane)",3893,4123,4454,3969,3515,4209,3934,4731,5938,6639,,51749,53700,57401,53417,50844,60439,81039,85129,62260,90142,,69028,70571,76435,69830,61773,84400,133230,110855,75878,127376
871690,"Parts of trailers and semi-trailers and other vehicles not mechanically propelled, n.e.s.",467,42,54,202,50,14,25,1111,4864,6610,,20374,27067,20651,19873,18109,21613,23471,60976,60721,85878,,30352,21374,19895,26955,30646,27475,38975,25626,23428,32635
902213,Apparatus based on the use of X-rays for dental uses,330,9,33,710,1989,7103,4335,6386,3979,6606,,91185,104874,126890,125765,137364,154494,200984,214452,176477,268485,,4259,2599,3492,4337,5850,12714,11645,13229,7185,11756
848420,Mechanical seals,2373,2043,4836,4237,2663,2551,3463,3675,4807,6571,,15584,17803,27436,24429,21420,22609,22247,18611,19719,24155,,34884,38107,40997,36729,42454,51715,60092,57059,50505,71664
853929,"Filament lamps, electric (excluding tungsten halogen lamps, lamps of a power <= 200 W and for ...",6079,5883,6747,6832,6225,6849,7527,6384,5329,6563,,26458,21238,25995,23438,26684,25263,28873,19755,16841,23331,,28386,25870,33217,43480,41300,33113,36137,26245,18854,24931
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",6299,5669,2233,2425,4609,3865,4424,8533,3969,6551,,65608,75624,72668,81547,85546,93398,104961,99189,90426,121493,,168780,148166,163021,175318,233468,218191,252660,214972,218990,196216
846210,"Forging or die-stamping machines, incl. presses, and hammers",16355,2608,1392,2836,6867,5370,17482,5201,6673,6520,,126132,91452,86924,168861,214933,175319,45543,53505,39757,56672,,134424,57226,41175,41711,51712,80093,108156,105846,67167,70507
732429,Baths of steel sheet,156,1405,1390,3486,3981,3484,6670,5277,3131,6516,,1009,1041,3196,1979,816,689,675,781,1234,1192,,6412,6990,7007,8270,7877,9886,16449,14025,9947,17257
700910,"Rear-view mirrors, whether or not framed, for vehicles",18463,8449,1958,1588,2637,2773,3348,6612,6240,6443,,27137,30746,36912,64506,86944,79369,80386,76667,67923,75798,,47975,43156,48881,52958,46052,42471,46435,38859,29929,40162
261310,Roasted molybdenum ores and concentrates,2877,5843,3162,3969,2516,11319,7238,1117,4251,6429,,55826,41417,45011,25146,15286,17586,30115,14712,18531,85001,,131632,94760,141196,79483,78725,106047,182118,151979,100686,189227
730729,"Tube or pipe fittings of stainless steel (excluding cast products, flanges, threaded elbows, ...",876,731,1217,1407,1357,1930,1485,2045,2861,6415,,112884,112040,115786,130520,114881,124507,147176,147075,121890,159223,,23628,20321,33254,40788,30329,33970,35839,37114,47515,44516
741121,"Tubes and pipes of copper-zinc base alloys """"brass""""""""",457,222,225,193,2780,4057,4755,4386,3609,6372,,25009,44665,34192,21682,21017,24937,25999,21315,11668,16261,,1982,1612,2387,2568,5459,7280,8912,7208,5811,9032
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,4994,6237,3742,3541,3999,3442,4357,4811,4195,6369,,163776,183290,175916,165991,172789,166185,167388,165262,154798,194844,,78939,77575,81583,69237,72216,77240,85548,77323,66596,90008
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",520,873,4546,11627,3199,7911,9491,13640,2306,6319,,357476,386525,454205,361699,316605,328393,414058,424125,326909,422125,,24718,2506,7475,15906,7069,15630,35239,24040,8973,19406
847290,"Office machines, n.e.s.",10279,34116,44655,32565,19780,7124,3547,7610,2453,6299,,415629,422960,413512,341755,309798,221985,272997,331745,330739,425020,,95972,103779,161576,138486,96474,55676,46110,87050,60712,76112
848220,"Tapered roller bearings, incl. cone and tapered roller assemblies",4699,4129,3743,4650,5921,8314,10110,8522,5375,6284,,82998,87549,144355,134359,172954,195063,212798,180206,143028,164606,,142985,107921,110829,108619,111711,112783,173611,121689,77989,145720
380991,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",1859,2279,2232,3143,2164,2443,2430,3400,3211,6282,,62444,115057,112640,109212,69027,80736,96083,92082,94129,123119,,51605,52723,56274,54728,51367,57340,65244,63026,55863,83314
721710,"Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excluding ...",725,5153,4332,4376,5063,6878,7024,5470,3929,6202,,183866,191253,209680,191256,129265,142331,170101,156581,126673,154016,,8010,10705,11481,13575,17157,18358,18063,17659,11977,16396
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",12789,8075,13448,17403,16607,12910,9489,14016,6443,6187,,333657,264369,276331,307670,298808,354156,395778,411882,365969,356734,,283843,296942,309257,301641,348193,289931,351326,354755,281125,438783
261900,"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ...",0,0,0,0,3610,1654,5107,6196,2361,6176,,42186,32386,14912,13483,9178,5237,6912,6670,4648,20527,,827,586,2435,2,6317,9509,19057,11871,6422,8417
843710,"Machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables",7645,5099,4747,4615,2920,3950,3758,3777,4074,6067,,28651,27177,19857,15534,14367,13729,12055,10214,7691,8034,,63091,71342,63309,52118,48642,53502,50895,56651,69306,81077
721912,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, ...",3570,1593,2170,2474,1777,4542,29283,25633,8073,5893,,223414,180770,247514,182632,157071,178581,264256,224534,192146,178583,,43180,21064,35217,41953,24912,45153,68646,63558,33308,102189
291720,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, ...",501,267,245,489,372,543,334,546,723,5848,,11757,10002,8019,4978,4668,5096,5375,6023,10472,37250,,18099,15970,23259,19817,18495,27140,50671,15592,8709,19766
860799,"Parts of rolling stock of heading 8603, 8604, 8605 or 8606, n.e.s.",29878,7174,6807,45809,13125,14766,5688,2145,2144,5770,,112633,209620,138627,244969,129017,95104,50046,43326,30610,54495,,129534,50569,66244,136373,100616,129026,120520,90348,74260,72474
722692,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further ...""",262,1457,2948,2668,2196,2866,4093,4920,3126,5753,,4059,9962,11441,11873,39933,47412,48727,40258,34715,38139,,7019,7715,8964,9518,10231,9428,12007,9822,6743,12709
845180,"Machinery for dressing, finishing, coating or impregnating textile yarns, fabrics or other ...",3984,3499,6308,5335,4556,8161,6797,5916,3967,5633,,112710,108992,129533,104515,111063,135130,109754,95300,96837,140005,,73781,86293,102276,111743,111082,94176,113575,113381,68802,77740
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",10872,15249,12014,7755,6573,6146,3810,4498,4184,5628,,131721,147973,171451,174704,201273,209956,230765,212528,204738,259290,,173735,188150,177686,161932,190567,206077,231643,253530,206496,350977
760720,"Aluminium foil, backed, of a thickness (excluding any backing) of <= 0,2 mm (excluding stamping ...",25504,15515,22861,17286,15269,16727,10864,7457,5324,5599,,84152,78802,86724,91044,86255,89225,75873,59500,57701,67658,,97830,91647,104497,102858,93001,110052,114762,101220,77755,101398
846694,"Parts and accessories for machine tools for working metal without removing material, n.e.s.",7470,3076,2943,4256,6530,4221,6050,10097,4071,5576,,109723,118339,111513,129966,107978,136012,103053,118254,96909,106937,,56663,76615,51442,47575,48482,54298,67350,86448,60492,86016
830710,"Flexible tubing of iron or steel, with or without fittings",2602,4074,5471,5520,5874,6078,7862,7144,4288,5568,,34830,46111,48738,45581,43125,63853,58304,58380,56636,80041,,21472,16789,20018,21856,22996,25112,39163,51476,24157,56526
842710,"Self-propelled trucks fitted with lifting or handling equipment, powered by an electric motor",764,258,183,56,725,586,4272,3858,2427,5463,,102203,92547,94392,96939,93646,107693,122200,134959,137963,181493,,18744,18724,22437,21434,24594,30341,52179,56360,32056,60112
730792,"Threaded elbows, bends and sleeves, of stainless steel (excluding cast or stainless products)",249,373,178,219,733,1022,6252,2755,2377,5398,,30036,35906,43814,47120,42261,51457,60203,51047,32711,52069,,10669,10935,15449,13100,13105,16352,18386,14700,10732,15905
381010,"Pickling preparations for metal surfaces; soldering, brazing or welding pastes and powders ...",1390,1591,1781,1766,2072,2658,2727,3398,3409,5364,,45835,40994,38492,42314,50397,58619,64727,61229,65390,79686,,18459,20063,21555,16042,17612,19095,24344,27099,30326,40458
844339,"Printers, copying machines and facsimile machines, whether or not combined (excluding those ...",1412,2525,1087,1255,683,1527,901,1397,327,5362,,80959,78122,76559,61662,102368,74774,63847,53741,45064,54639,,107618,94802,82811,76939,79746,93536,116526,75655,52885,85030
732020,"Helical springs, of iron or steel (excluding flat spiral springs, clock and watch springs, ...",482,1049,1146,1948,2582,2904,2872,3013,2959,5358,,28045,30750,34468,39401,46360,47825,54680,54561,52113,57657,,10478,10013,9320,12195,13458,15676,17494,20639,20370,27677
560394,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > than ...",7103,10350,10534,10280,8737,7607,7682,25924,8718,5339,,135706,130161,120945,95626,99712,90105,95513,86273,76277,92461,,34411,38304,43618,44637,43340,50940,55132,66107,36667,47123
841410,Vacuum pumps,1052,2105,3206,2877,2279,2779,2774,3503,3350,5317,,192602,291358,283368,308417,327227,377785,459127,428060,366244,443500,,34637,37852,34971,31790,34331,38982,52302,60495,63330,85860
820790,"Interchangeable tools for hand tools, whether or not power-operated, or for machine tools, ...",9384,5761,6643,8529,4586,6760,10348,11758,3939,5281,,149086,153320,147952,135152,103693,103503,107193,87779,60442,66281,,189262,193385,194870,128869,120789,121302,147760,135652,99441,114917
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",12837,2670,2535,10937,7615,3968,2847,2991,2940,5275,,67466,66171,76640,103395,128331,160059,104997,29104,28742,71818,,3189924,1948027,1838163,1872279,1277859,1263180,1867815,1820601,1230915,1568813
321519,"Printing ink, whether or not concentrated or solid (excluding black ink)",1393,1494,1693,2151,2670,3296,3830,5163,4437,5258,,166676,173582,164153,141456,137567,136636,142450,138016,110990,127335,,79993,88455,131068,169885,115706,214508,144762,100427,70002,96106
350610,"Products suitable for use as glues or adhesives put up for retail sale as glues or adhesives, ...",997,645,962,1146,3514,3243,4328,5446,3202,5256,,117857,131203,136112,129895,134336,152206,187516,190774,190668,237784,,14698,14304,18204,19593,25928,24223,27973,33745,23279,30202
850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",9445,6682,8581,10006,11049,6948,7828,8014,5188,5241,,188589,215870,295377,368268,361594,352843,434986,523087,420996,435043,,80906,74891,72196,105384,112239,152345,274504,194152,134764,209588
851190,"Parts of electrical ignition or starting equipment, generators, etc. of heading 8511, n.e.s.",3647,4503,4006,3164,2624,2470,1483,3963,4353,5207,,135400,130505,139276,129136,112090,117368,122290,117797,98297,109696,,98490,93410,96945,88714,84022,90257,74570,66364,56370,88807
841950,"Heat-exchange units (excluding instantaneous heaters, storage water heaters, boilers and equipment ...",5888,1418,27119,63903,13070,1864,4025,6905,17230,5177,,880895,639092,821758,876921,832902,597072,549326,531401,663012,510817,,116181,83569,205452,279239,174993,90599,134317,175861,174093,184377
820770,Interchangeable tools for milling,4275,4249,4491,3396,2819,3305,4379,6857,4497,5139,,120981,117333,142015,185450,198206,203821,203904,205313,163963,189353,,22491,23155,27266,21520,23737,29181,34526,38595,28458,37382
721399,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel (excluding ...",3101,3842,3798,5016,7216,8719,9298,10467,2743,5129,,54494,49584,54814,39492,40191,49367,59517,49459,38072,53293,,83418,27149,17044,17654,9950,12119,14822,12828,3508,8861
850590,"Electromagnets and electromagnetic lifting heads, and their parts (excluding magnets for medical ...",795,573,691,298,300,852,1835,2304,2956,5070,,44885,63873,73817,99212,124986,134322,148879,130414,130313,156132,,29409,30154,31181,27727,27395,29642,48185,44793,35916,68479
292143,Toluidines and their derivatives; salts thereof,3568,4504,4130,4024,4365,3943,5566,5973,4646,5063,,19325,19023,18039,16199,14312,14494,18378,18601,16050,16793,,17553,24121,21555,18166,21609,25900,34219,33123,32687,39985
960200,Worked vegetable or mineral carving material and articles of these materials n.e.s; moulded ...,468,915,2548,4873,3712,3317,4725,1781,4711,5037,,34139,50891,56042,52375,47354,42456,44266,42172,47304,47699,,23429,18528,21484,24644,20064,18487,21633,16613,18570,18101
270730,"Xylol """"xylenes"""" containing > 50% of xylenes (excluding chemically defined)""""",17891,3608,7563,2402,2622,13169,11049,13799,10588,5028,,280677,277291,484961,378118,244943,302926,433305,450786,316620,457281,,43932,17653,28400,28401,43336,75517,86960,89126,54867,42752
831190,"Wire, rods, tubes, plates, electrodes and the like, of base metal or of metal carbides, coated ...",3523,3471,2044,2556,2012,1874,2690,2722,2540,5021,,4351,6168,8938,8117,8290,7450,7821,8607,5527,5095,,19326,23238,24089,21021,20131,25097,23599,35921,23977,35443
850519,"Permanent magnets and articles intended to become permanent magnets after magnetization, of ...",728,338,171,417,697,1420,1829,2948,3499,5008,,82931,87401,95172,106946,114153,126273,134145,116248,96766,111064,,28953,26056,28362,33705,33004,35111,41338,36329,35459,57348
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",9889,10155,5441,8821,4981,3792,8377,7997,4225,4992,,193037,181152,213578,213821,168674,231011,285442,233028,174249,244668,,211986,160543,155792,150876,166061,175212,251359,209633,153222,193558
854160,Mounted piezoelectric crystals,2051,1849,553,2701,2149,1511,858,1017,2727,4949,,65531,88013,76222,71257,66373,71716,78423,73415,75434,124140,,64243,53578,41554,28310,31747,33975,41771,73328,53183,67044
848041,Injection or compression-type moulds for metal or metal carbides (excluding moulds of graphite ...,4404,315,899,1364,2469,4006,4977,5765,6380,4910,,87682,96513,111665,104025,103883,101723,107672,87404,63535,60745,,16735,8333,5726,5181,5719,14514,13129,17968,17900,16286
845891,"Lathes, incl. turning centres, for removing metal, numerically controlled (excluding horizontal ...",7366,5175,7145,2445,2889,4688,8865,6395,4942,4878,,177398,117099,114922,100767,59560,84329,141148,101960,78543,84090,,26859,23856,21816,18129,15729,21578,26937,23401,19282,25188
851590,"Parts of machines and apparatus for soldering or welding or for hot spraying of metals, metal ...",4140,3189,5423,3733,6611,6853,3468,5478,3768,4872,,93274,79518,80996,81776,79679,87207,88184,101070,114451,152471,,48272,43845,50975,48706,57099,58135,67562,65705,52595,65929
291829,"Carboxylic acids with phenol function but without other oxygen function, their anhydrides, ...",219,622,1947,1191,424,331,726,485,212,4862,,115218,121773,137658,138745,124581,120836,123738,141095,131163,158579,,23854,29114,37839,34051,36489,36090,43475,50076,51870,64861
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",269,360,349,535,623,1253,688,1348,4485,4835,,90155,103859,99936,92312,88528,102874,105087,91828,702336,295602,,17212,16628,22807,26370,28672,34812,34548,40478,187459,102509
293399,"Heterocyclic compounds with nitrogen hetero-atom[s] only (excluding those containing an unfused ...""",495,229,40,762,173,591,539,800,348,4828,,98991,127471,125243,111779,165460,136120,128699,179453,213964,232276,,146758,145188,221037,241215,347561,527003,647942,636967,722971,1045186
381400,"Organic composite solvents and thinners, n.e.s.; prepared paint or varnish removers (excluding ...",1223,1767,1601,1155,1298,2357,3341,5904,3959,4822,,112526,122649,129533,141180,120447,140400,161164,158068,146125,177475,,29661,25518,24665,19753,19568,25184,26018,31471,26308,40076
841790,"Parts of industrial or laboratory furnaces, non-electric, incl. incinerators, n.e.s.",24013,4288,3845,1745,2476,2411,4590,4549,3564,4791,,95708,58950,117015,65402,30531,31173,40386,48589,44606,63855,,199731,58190,66296,71645,47143,44469,68808,76599,61705,81408
392113,"Plates, sheets, film, foil and strip, of cellular polyurethanes, unworked or merely surface-worked ...",969,1262,1726,1515,1590,987,1360,2127,2807,4760,,88862,135609,139736,152762,158967,148979,147748,160524,154546,151468,,15349,18694,20264,25220,29239,24142,31079,29788,25432,48114
293211,Tetrahydrofuran,359,0,6,50,0,544,290,2794,3473,4744,,894,1386,642,305,624,1852,2395,4979,4460,8997,,61942,48228,57228,50098,38404,56382,47730,56566,52967,86628
400941,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",890,371,1820,2511,2673,2642,2832,3926,3421,4739,,27328,25770,35187,32065,30829,31367,38912,35791,26922,33278,,25826,28859,23720,20068,15205,18764,25765,19893,12953,17360
841221,"Hydraulic power engines and motors, linear acting """"cylinders""""""""",1050,1493,2165,2460,5048,8764,9308,4433,3177,4734,,213264,215212,259399,209652,201558,268231,331067,291164,204758,316808,,14300,16491,12877,10427,16029,26211,36188,52398,46119,73353
848280,"Roller bearings, incl. combined ball-roller bearings (excluding ball bearings, tapered roller ...",10109,9166,7343,6507,5873,6504,6110,5888,3250,4718,,62266,62743,70569,50113,34319,36115,46679,34197,25889,31327,,121651,89008,96388,91141,89351,89421,101704,94118,81749,119542
842240,"Packing or wrapping machinery, incl. heat-shrink wrapping machinery (excluding machinery for ...",2260,2691,2514,5168,5568,2530,3495,2994,2480,4712,,113577,152227,126055,130415,130381,159412,171430,129433,131246,134351,,146258,162438,114935,129263,156944,142085,153186,126122,136161,152816
340211,"Anionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",930,863,998,3111,1039,1465,1567,3213,2499,4681,,161493,189287,205593,186425,179569,227001,214639,179935,199174,226765,,48114,47983,75301,70733,40957,40219,47442,42146,37035,54842
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",734,735,690,1209,1800,3541,6259,4935,2573,4676,,1155914,1330365,1510528,1474237,1494881,1789456,1819162,1724439,1719006,1992255,,10724,15263,20031,23920,22510,34713,46849,37844,26319,48154
731822,Washers of iron or steel (excl. spring washers and other lock washers),2546,4945,2678,3220,3488,11407,4313,4126,3589,4653,,11314,17097,21682,25999,32642,33986,33052,35034,35308,39747,,35089,31962,31798,30851,28032,42218,45468,36782,27806,42977
844720,Flat knitting machines; stitch-bonding machines,3347,2887,2249,5561,3674,1052,926,2322,5173,4651,,11244,10310,11511,18107,15075,10582,12986,11254,13640,11541,,70549,69822,90032,192406,87667,89123,70837,76255,47669,117721
730441,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, ...""",150,23,4790,4373,514,32,9656,1439,7761,4645,,71865,73983,64154,58948,57102,72277,80223,77633,64331,89600,,7436,7824,14654,15838,13170,12627,68981,67105,74869,106275
846291,"Hydraulic presses for working metal (excluding forging, bending, folding, straightening and ...",2067,4710,1920,5671,1003,1506,4961,8354,2227,4632,,57961,28463,53783,51740,52092,32507,48323,50324,40566,43098,,72752,56362,77125,63339,85804,76370,87638,76531,43344,96078
391732,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",310,234,178,151,864,1020,1420,4742,4603,4600,,48116,44133,43400,44935,57462,61199,74554,73007,73897,94820,,11210,11973,14854,15121,13210,17405,21904,27636,26082,45867
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",3152,2078,2284,1309,4543,3831,4965,5006,2890,4589,,317047,305569,341190,449777,417334,404999,416766,401876,293201,344006,,177773,143793,164621,139951,145641,175423,204867,180838,201965,306306
