Product code,Product label,Russian Federation's imports from Australia-Value in 2012,Russian Federation's imports from Australia-Value in 2013,Russian Federation's imports from Australia-Value in 2014,Russian Federation's imports from Australia-Value in 2015,Russian Federation's imports from Australia-Value in 2016,Russian Federation's imports from Australia-Value in 2017,Russian Federation's imports from Australia-Value in 2018,Russian Federation's imports from Australia-Value in 2019,Russian Federation's imports from Australia-Value in 2020,Russian Federation's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
151491,"High erucic acid rape or colza oil """"fixed oil which has an erucic acid content of >= 2%"""" ...""",0,0,0,0,0,0,0,0,0,0,,727,1056,26,0,1360,3078,1356,643,1387,731,,43,50,30,71,76,237,126,49,17,11
220290,"Non-alcoholic beverages (excluding water, fruit or vegetable juices and milk)",45,66,28,11,0,0,0,0,0,0,,11581,10059,9103,10205,12084,0,0,0,0,0,,78594,93659,87247,55611,70164,0,0,0,0,0
250870,Chamotte or dinas earths,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,29,0,6,0,,1508,1469,1803,2319,1938,1764,2089,2068,1249,2098
251200,"Siliceous fossil meals, e.g. kieselguhr, tripolite and diatomite, and similar siliceous earths, ...",0,0,0,0,0,0,1,0,0,0,,48,210,114,448,82,826,372,1462,476,897,,5832,6945,8011,5345,5595,5206,5205,5575,4778,5581
251400,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or ...",0,0,0,0,0,0,0,0,0,0,,74,0,0,0,0,3,0,27,0,0,,1281,1352,2127,916,1046,1602,1331,1251,968,1023
251620,"Sandstone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks ...",0,0,0,0,0,0,0,0,0,0,,7408,8704,6022,2556,878,1933,2457,586,175,465,,255,253,112,115,214,206,282,320,281,331
251830,Dolomite ramming mix,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,9,,267,2047,442,298,240,390,319,79,161,154
252210,Quicklime,0,0,0,0,0,0,0,0,0,0,,0,433,263,8,0,6,8,2,0,11,,14832,20040,20891,12940,11773,11026,11135,13162,9211,10004
252490,Asbestos (excluding crocidolite and products made from asbestos),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,64,136,644,8,4,1,0,5,3,0
252610,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into ...",0,0,0,0,0,0,0,0,0,0,,11731,14719,17833,7933,11609,13351,16312,14570,12141,10094,,488,279,46,122,724,86,213,311,72,22
260900,Tin ores and concentrates,0,0,0,0,0,0,0,0,0,0,,112239,126681,144123,99660,96625,134843,125021,130708,121349,249154,,5545,4412,2309,0,0,232,54,11,15,0
261000,Chromium ores and concentrates,0,0,0,0,0,0,0,0,0,0,,107332,69960,5295,9,0,4,2,17,4,22,,303398,271185,228693,161334,126052,175496,199474,153134,71824,110749
261390,Molybdenum ores and concentrates (excluding roasted),0,0,0,0,0,0,0,0,0,0,,0,309,162,29,0,0,0,0,97,0,,39,10440,13242,19565,12283,8033,966,422,1519,1132
261710,Antimony ores and concentrates,0,0,0,0,0,0,0,0,0,0,,56694,64503,58742,69821,51133,43883,35464,29234,51296,104676,,0,0,0,74,108,474,0,0,0,0
261900,"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ...",0,0,0,0,0,0,0,0,0,0,,1216,53,31,654,794,2394,16,473,517,0,,402,2453,1895,611,405,435,567,1788,2991,5065
270710,"Benzol """"benzene"""" containing > 50% of benzene (excluding chemically defined)""""",0,0,0,0,0,0,0,0,0,0,,0,0,653,301,0,0,0,0,0,0,,99,5,47,10,600,1471,5695,7599,238,330
271099,Waste oils containing mainly petroleum or bituminous minerals (excluding those containing polychlorinated ...,0,0,0,0,0,0,0,0,0,0,,122,0,8,18,256,3,2,3,1,0,,2,9,0,2,62,2,261,115,1,91
271210,Petroleum jelly,0,0,0,0,0,0,0,0,0,0,,187,51,49,24,64,54,229,344,22,160,,4673,4849,6120,2623,2100,2868,2859,2440,2767,3256
271490,"Bitumen and asphalt, natural; asphaltites and asphaltic rocks",0,0,0,0,0,0,0,0,0,0,,419,181,210,231,212,206,530,388,170,108,,1290,1718,1847,533,1121,1056,1806,1424,1736,1497
280470,Phosphorus,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,7,0,0,0,0,,5025,2065,2473,2447,2081,1272,2004,986,492,1593
282735,Nickel chloride,0,0,0,0,0,0,0,0,0,0,,1,0,0,4,17,4,8,2,0,0,,416,533,554,469,436,445,595,708,488,723
282911,Chlorate of sodium,0,0,0,0,0,0,0,0,0,0,,63,10,2,3,16,2,6,1,2,27,,21048,20740,19934,18667,18679,20733,22621,21264,20194,20122
282990,Perchlorates; bromates and perbromates; iodates and periodates (excluding inorganic or organic ...,0,0,0,0,0,0,0,0,0,0,,103,99,75,85,175,49,66,16,58,49,,544,626,669,1018,1513,1025,1919,1754,3563,1837
283522,Mono- or disodium phosphate,0,0,0,0,0,0,0,0,0,0,,130,156,30,54,73,37,64,164,44,30,,1245,1526,885,631,595,710,925,1470,1457,1739
283529,"Phosphates (excluding phosphates of monosodium, disodium, potassium, calcium and mercury)",0,0,0,0,0,0,0,0,0,0,,273,101,57,105,60,157,188,92,204,621,,19314,7020,5028,3771,6901,5730,5885,5860,5693,6478
283911,"Metasilicates of sodium, incl. commercial metasilicates",0,0,0,0,0,0,0,0,0,0,,104,6,6,15,13,26,17,27,15,164,,2400,3301,2739,2599,1848,3002,4147,4466,4881,5400
284019,"Disodium tetraborate """"refined borax"""" (excluding anhydrous)""""",0,0,0,0,0,0,0,0,0,0,,176,113,22,54,51,36,26,48,129,136,,16250,15137,13529,11993,10384,13265,13201,13957,10790,13081
284210,"Double or complex silicates of inorganic acids or peroxoacids, incl. aluminosilicates whether ...",0,0,0,0,0,0,0,0,0,0,,16,9,81,72,46,25,23,0,5,38,,7190,12426,15379,5603,5950,8130,9556,6116,8556,9635
284330,"Gold compounds, inorganic or organic, whether or not chemically defined",0,0,0,0,0,0,0,0,0,0,,2109,110,19,273,2644,54,83198,134,23,966,,167,71,113,89,173,159,452,301,283,392
284410,"Natural uranium and its compounds; alloys, dispersions, incl. cermets, ceramic products and ...",1348,0,0,0,0,0,0,0,0,0,,0,0,0,0,21,2,0,0,0,0,,482594,774268,769719,882116,457345,398425,443575,610553,533067,0
284420,"Uranium enriched in U 235 and its compounds: plutonium and its compounds; alloys, dispersions, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,3143,0,0,0,0,0,0,0
284590,"Non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not ...""",0,0,8,0,0,0,0,0,0,0,,77,143,343,131,22,141,41,75,514,240,,445,437,7402,0,0,0,0,0,0,0
284920,"Carbides of silicon, whether or not chemically defined",0,0,0,0,0,0,0,0,0,0,,0,91,51,221,135,73,142,5,183,27,,7744,5871,2422,1931,2043,4030,8900,4595,2933,6092
290373,Dichlorofluoroethanes,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,3826,3327,2910,752,6358,3281,3209,2399,0,0
290377,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens, ...",0,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,8,,949,1129,1042,1395,1279,1573,7467,8752,12416,12234
290379,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens (excluding ...,0,0,0,0,0,0,0,0,0,0,,7,0,2,0,0,152,0,5,33,15,,283,181,111,273,554,206,381,247,273,274
290549,"Tri- and other polyhydric acyclic alcohols (excluding 2-ethyl-2-""""hydroxymethyl"""" propane-1,3-diol ...""",0,0,0,0,0,0,0,0,0,0,,270,126,162,91,1,64,63,31,48,272,,3094,4759,7612,6553,9336,13079,20353,23035,17947,20845
290629,"Aromatic cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives ...",0,0,0,0,0,0,1,0,0,0,,1,28,102,21,11,130,159,145,158,100,,28,110,19,67,56,144,148,224,192,207
290713,"Octylphenol, nonylphenol and their isomers; salts thereof",0,0,0,0,0,0,0,0,0,0,,103,64,18,29,11,13,26,21,24,7,,2517,2603,1839,1876,1822,1834,3792,2877,2215,3519
290715,Naphthols and their salts,0,0,0,0,0,0,0,0,0,0,,13,0,0,0,0,0,0,6,0,0,,1611,1709,2015,1408,1397,1305,1556,696,535,1246
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",0,0,0,0,0,0,0,0,0,0,,339,10,4,54,0,0,0,0,1,0,,340,121,82,94,262,558,813,1377,1390,2281
290911,Diethyl ether,0,0,0,0,0,0,0,0,0,0,,23,27,12,15,8,226,3,7,1,14,,49,44,1245,368,127,68,13,65,12,39
291411,Acetone,0,0,0,0,0,0,0,0,0,0,,152,132,101,112,76,122,70,54,120,143,,676,806,1138,510,409,487,705,913,796,754
291413,"4-Methylpentan-2-one """"methyl isobutyl ketone""""""""",0,0,0,0,0,0,0,0,0,0,,18,67,10,12,33,80,16,19,144,60,,165,184,170,130,108,299,287,249,170,548
291423,Ionones and methylionones,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,,0,0,13,21,14,63,30,15,13,21
291439,"Ketones, aromatic, without other oxygen function (excluding phenylacetone [phenylpropan-2-one])",0,0,0,0,0,0,0,0,0,0,,1,1,23,15,1,2,1,28,12,1,,336,302,385,401,602,711,987,1027,794,987
291440,Ketone-alcohols and ketone-aldehydes,0,0,0,0,0,0,0,0,0,0,,14,80,7,7,8,25,29,116,28,47,,627,565,480,810,1070,1244,1858,1186,1370,1960
291532,Vinyl acetate,0,0,0,0,0,0,0,0,0,0,,57,141,5,36,51,21,25,7,0,18,,16947,6575,10331,6093,674,3534,38,3354,6109,971
291590,"Saturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; ...",0,0,0,0,0,0,0,0,0,0,,157,218,171,103,368,395,360,259,288,174,,12142,14951,14472,13413,17622,18144,19259,17908,19029,25782
291632,Benzoyl peroxide and benzoyl chloride,0,0,0,0,0,0,0,0,0,0,,0,0,77,5,0,4,0,48,2,43,,1849,2477,1838,1917,2271,2283,2361,1984,2698,2530
291714,Maleic anhydride,0,0,0,0,0,0,0,0,0,0,,21,102,26,0,0,0,0,0,0,4,,5450,6724,7019,5517,5677,6090,8938,6196,6782,12385
291736,Terephthalic acid and its salts,0,0,0,0,0,0,0,0,0,0,,25,0,0,0,0,14,0,0,0,0,,137717,157672,103144,105260,134160,156050,225428,311805,163633,216927
291823,"Esters of salicylic acid and their salts (excluding o-acetylsalicylic acid, its salts and esters)",0,0,0,0,0,0,0,0,0,0,,0,0,1,0,6,1,0,3,4,3,,32,44,66,50,80,83,100,143,212,152
291891,"2,4,5-T """"ISO"""" """"2,4,5-trichlorophenoxyacetic acid"""", its salts and esters""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,8,0,4
292022,Diethyl phosphite,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
292143,Toluidines and their derivatives; salts thereof,0,0,0,0,0,0,0,0,0,0,,186,0,99,0,0,0,0,0,0,0,,1106,1527,1395,955,2814,941,1608,1105,1332,1633
292218,"2-""""N,N-Diisopropylamino""""ethanol""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,11,0,0,3,1,,0,0,0,0,0,2,1,6,3,0
292241,Lysine and its esters; salts thereof,0,0,0,0,0,0,0,0,0,0,,299,536,267,276,227,270,248,302,451,391,,124972,108462,100230,100035,90869,91840,111093,70874,61670,64042
292800,Organic derivatives of hydrazine or of hydroxylamine,0,0,0,0,0,0,0,0,0,0,,104,91,94,63,93,471,33,206,196,17,,12399,3098,4173,6942,4142,5397,6958,5887,7198,6209
151620,"Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",0,0,0,4,5,12,0,0,0,0,,3096,3477,2567,4654,4848,11341,14200,12633,10808,8658,,103336,85684,94043,94793,71797,99386,77337,71566,62207,89931
152000,"Glycerol, crude; glycerol waters and glycerol lyes",0,0,0,0,0,0,0,0,0,0,,473,254,303,108,0,0,100,67,72,463,,1230,2905,4564,3520,7155,13511,23835,12657,11975,31688
160231,"Meat or offal of turkeys """"Gallus domesticus"""", prepared or preserved (excluding sausages ...""",0,0,0,0,0,0,0,0,0,0,,931,80,0,14,4,10,17,4,0,296,,997,2579,4138,1479,1064,1383,2035,1687,2466,2939
160232,"Meat or offal of fowls of the species """"Gallus domesticus"""", prepared or preserved (excluding ...""",0,0,0,0,0,0,0,0,0,0,,7355,5747,4972,2510,1939,1645,3816,8485,4116,6681,,55776,16716,11300,3076,2950,3904,6342,9106,13279,20256
160411,"Prepared or preserved salmon, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,0,,145,937,1253,854,233,312,528,852,517,363,,47,205,634,4161,474,1,8,6,1,47
160416,"Prepared or preserved anchovies, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,0,,202,73,121,118,64,233,79,82,36,80,,1824,3669,3215,2385,3005,1939,1954,1826,1814,2841
160418,"Prepared or preserved shark fins, whole or in pieces (excl. minced)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,14,,0,0,0,0,0,0,0,0,0,0
160432,Caviar substitutes prepared from fish eggs,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,42,0,0,0,,13504,27412,46223,33020,36953,61032,70276,63743,71984,78567
160529,"Shrimps and prawns, prepared or preserved, in airtight containers (excluding smoked)",0,0,0,0,0,0,0,0,0,0,,908,764,905,633,124,3246,507,257,90,982,,15850,25144,9442,3047,3984,7040,7478,7604,16952,18952
160551,"Oysters, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,,4,175,350,38,7,22,7,12,19,20,,0,0,0,0,0,0,0,0,0,0
160558,"Snails, prepared or preserved (excluding smoked and sea snails)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,208,192,165,73,90,120,158,68,142,164
170211,"Lactose in solid form and lactose syrup, not containing added flavouring or colouring matter, ...",0,0,0,0,0,0,0,0,0,0,,21082,16300,11188,5449,3817,3739,4360,3221,8225,8880,,13041,18059,18728,13897,13689,18325,18032,14254,16618,22556
190190,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",20,93,169,58,90,81,36,0,0,0,,402831,460470,307190,246069,288024,329678,284461,350395,363141,299466,,115790,175140,252453,132151,111382,148710,179841,134442,133550,155913
190219,"Uncooked pasta, not stuffed or otherwise prepared, not containing eggs",31,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2431,28374,13720,0,0,,63063,82503,91037,44040,36440,44133,62349,61318,61876,61250
190220,"Pasta, stuffed with meat or other substances, whether or not cooked or otherwise prepared",0,0,0,0,0,0,0,0,0,0,,3244,2897,2469,599,967,985,695,1056,845,941,,2988,5360,7783,3821,2634,5063,5786,6028,6039,8772
190410,"Prepared foods obtained by swelling or roasting cereals or cereal products, e.g. corn flakes",30,65,0,0,0,0,0,0,0,0,,52381,49988,46155,46004,52715,47412,32644,46476,60856,59154,,13165,16140,17018,11556,13723,16597,20900,24824,24215,23335
190532,Waffles and wafers,0,0,0,0,0,0,0,0,0,0,,6563,6763,8427,8583,10915,11233,14353,5626,3936,8240,,45265,50763,45762,23652,25405,29258,32616,34520,34041,53159
190540,"Rusks, toasted bread and similar toasted products",0,0,0,0,0,0,0,0,0,0,,2864,2691,5413,2270,2365,3909,2634,2292,1951,1299,,19714,24439,26042,14890,15834,20570,20773,21218,20861,22614
200820,"Pineapples, prepared or preserved, whether or not containing added sugar or other sweetening ...",0,0,0,0,0,0,0,0,0,0,,392,233,256,172,301,186,172,324,194,247,,49703,62557,55927,38969,40850,53485,54208,43080,51172,66559
200830,"Citrus fruit, prepared or preserved, whether or not containing added sugar or other sweetening ...",0,0,0,0,0,0,0,0,0,0,,51,4,5,9,68,6,47,106,52,107,,5754,7133,6541,5025,6008,5838,7126,6647,4344,6460
200897,"Mixtures of fruits, nuts and other edible parts of plants, prepared or preserved, whether or ...",0,0,0,0,0,0,0,0,0,0,,5714,5889,2749,2589,2338,1903,3877,5056,1536,2041,,14854,13251,10438,6622,7055,7065,11390,13275,13765,14583
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",76,21,0,0,0,0,0,0,0,0,,7658,9859,10774,8498,7194,6856,6633,5436,5416,7301,,31816,35464,38288,28297,43978,47849,63914,68187,67599,82939
200919,"Orange juice, unfermented, whether or not containing added sugar or other sweetening matter ...",0,0,0,0,0,0,0,0,0,0,,2281,4433,5629,1591,2491,1947,2697,1286,824,2982,,56292,51378,51318,44358,45558,51975,51222,45824,41763,50142
200949,"Pineapple juice, unfermented, Brix value > 20 at 20¡ÆC, whether or not containing added sugar ...",0,0,0,0,0,0,0,0,0,0,,65,188,147,84,39,87,89,72,40,64,,24023,20331,15705,11345,9145,8397,8763,9501,9231,12541
200950,"Tomato juice, unfermented, whether or not containing added sugar or other sweetening matter ...",6,17,8,2,0,0,0,0,0,0,,292,218,182,108,60,39,93,74,36,37,,5451,6305,4095,1602,1504,1761,2411,1837,1691,2038
210210,Active yeasts,0,0,0,0,1,84,25,0,0,0,,4737,5140,5294,4589,3634,4983,4381,3619,4369,3696,,23753,21944,18416,11089,11686,15448,17186,19624,21100,23106
210230,Prepared baking powders,0,0,0,0,0,0,0,0,0,0,,1746,2565,2705,1097,1656,1750,1159,1026,1161,1696,,959,696,617,553,424,447,562,692,802,770
80111,Desiccated coconuts,0,0,0,0,0,0,0,0,0,0,,403,87,305,381,427,433,220,359,264,139,,22837,21348,25459,22091,24651,36446,36628,29992,32953,49150
80252,"Fresh or dried pistachios, shelled",0,0,0,0,0,0,0,0,0,0,,1116,345,320,1254,662,620,389,657,575,415,,1964,2166,2308,1284,560,537,696,3558,139,130
80262,"Fresh or dried macadamia nuts, shelled",35,227,17,0,0,0,0,0,0,0,,59783,75926,81123,90239,96601,106979,145085,167529,166986,163495,,194,511,495,118,163,314,594,897,1100,1362
80390,Fresh or dried bananas (excluding plantains),0,0,0,0,0,0,0,0,0,0,,14,65,119,18,214,239,153,251,97,195,,921338,996385,957740,894196,999190,1140353,1154736,1119894,1116757,1079563
80810,Fresh apples,1,0,7,0,0,0,0,0,0,0,,7859,6032,3990,8373,9995,9439,7662,6835,4259,5854,,796600,789444,620811,380688,370430,406631,517411,393973,476821,477432
81120,"Frozen raspberries, blackberries, mulberries, loganberries, black-, white- or red currants ...",0,0,0,0,0,0,0,0,0,0,,807,611,419,599,297,301,237,132,141,129,,11151,14938,15938,12497,9746,12382,22211,28210,26958,34152
81400,"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ...",0,0,0,0,0,0,0,0,0,0,,97,82,122,43,410,915,1653,25,411,463,,714,817,798,585,546,900,1075,1092,837,1062
90300,Mate,0,0,0,0,0,0,0,0,0,0,,0,0,0,19,5,18,3,3,4,4,,338,522,498,137,193,191,251,380,389,549
90619,"Cinnamon and cinnamon-tree flowers (excluding cinnamon """"Cinnamomum zeylanicum Blume"""" and ...""",0,0,0,0,0,0,0,0,0,0,,76,101,81,66,69,77,11,0,17,3,,216,202,371,315,256,799,745,986,991,1270
90620,Crushed or ground cinnamon and cinnamon-tree flowers,0,0,0,0,0,0,0,0,0,0,,191,211,332,442,529,474,292,172,241,343,,1229,1447,1366,1715,1982,2412,3128,3108,3396,3567
91091,Mixtures of different types of spices,0,0,0,0,0,0,0,0,0,0,,4704,4033,3621,3466,3245,4037,1758,1349,1452,1450,,8709,1223,1036,873,1771,2782,2201,2200,4223,5979
100191,"Seed of wheat and meslin, for sowing (excluding durum)",0,0,0,0,0,0,0,0,0,0,,1772,43,525,124,705,272,3461,572,638,649,,15267,78788,25250,5242,7234,2058,4980,4329,2656,1740
100290,Rye (excluding seed for sowing),0,0,0,0,0,0,0,0,0,0,,97,62,655,203,41,64,91,94,81,123,,0,0,0,289,753,72,1,2772,14584,0
100490,Oats (excluding seed for sowing),0,0,0,0,0,0,0,0,0,0,,45356,3411,3866,3711,2609,4221,4075,4267,43851,126678,,112,432,138,145,909,683,13,2,319,19
100510,Maize seed for sowing,9,8,0,0,0,0,0,0,0,0,,11046,4757,3689,10947,7442,5226,10665,5295,1359,1967,,91387,150155,216335,137718,133597,176212,151765,103115,129439,107987
110319,Groats and meal of cereals (excluding wheat and maize),0,0,0,0,0,0,0,0,0,0,,675,428,683,399,416,366,554,797,1682,2184,,591,999,495,1392,503,342,1234,484,383,1225
110320,Cereal pellets,0,0,0,0,0,0,0,0,0,0,,5104,6648,5793,3036,4494,4853,3351,1152,2136,2222,,1,356,0,0,11,0,0,49,129,271
110814,Manioc starch,0,0,0,0,0,0,0,0,0,0,,1,30,0,0,2,1,6,45,25,22,,1289,1823,3307,1668,1190,1850,1542,1342,1711,1592
120750,"Mustard seeds, whether or not broken",0,0,0,0,0,0,0,0,0,0,,170,39,219,3085,2867,1057,1497,1,1152,3532,,244,208,294,655,1064,1729,1873,1125,963,1142
120810,Soya bean flour and meal,0,0,0,0,0,0,0,0,0,0,,4865,3351,2667,790,1915,4383,5758,6902,2527,4427,,1114,968,383,252,164,119,207,299,269,249
10613,Live camels and other camelids [Camelidae],0,0,0,0,0,0,0,0,0,0,,510,745,2837,671,311,3028,766,376,292,859,,63,9,0,3,3,2,20,54,21,81
20120,"Fresh or chilled bovine cuts, with bone in (excluding carcases and 1/2 carcases)",1262,1467,483,0,0,0,0,0,0,0,,44755,62651,60245,55743,61996,65241,68304,72033,72931,96162,,144217,195005,227461,185978,173410,235559,253682,93540,29156,26794
20441,Frozen sheep carcases and half-carcases (excluding lambs),1315,1562,525,192,14,136,0,100,0,0,,31277,39884,63334,44904,33235,30385,31796,31602,18449,47970,,12775,6017,5474,2198,1502,3245,4188,4028,2050,915
20622,Frozen edible bovine livers,18741,20269,961,0,0,0,0,0,0,0,,31138,25195,27675,29467,17090,20040,24202,25153,26813,30055,,124318,103282,106602,71142,62145,70927,66990,44249,47144,69609
20713,Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus,0,0,0,0,0,0,0,0,0,0,,205,1553,2203,1396,699,1297,1727,732,1329,1479,,6295,16128,33153,42503,48862,60432,75620,88394,84214,95753
20726,Fresh or chilled cuts and edible offal of turkeys of the species domesticus,0,0,0,0,0,0,0,0,0,0,,154,9,2,7,2,0,0,25,0,0,,3,205,206,0,1764,3696,2853,2887,2818,1960
20741,"Fresh or chilled domestic ducks, not cut in pieces",0,0,0,0,0,0,0,0,0,0,,14,16,8,2,10,15,8,2,0,30,,428,594,536,173,309,23,105,1051,898,1272
20743,"Fatty livers of domestic ducks, fresh or chilled",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2,1,2,0,0,0,0,0,0,10
30111,Live ornamental freshwater fish,0,0,0,0,0,0,0,0,0,0,,1256,657,182,296,403,701,635,366,119,126,,2314,2166,1683,959,951,910,840,771,561,665
30193,"Live carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys ...",0,0,0,0,0,0,0,0,0,0,,46,0,0,0,0,0,0,0,0,0,,20,8,110,19,28,225,76,396,122,135
30231,"Fresh or chilled albacore or longfinned tunas """"Thunnus alalunga""""""""",0,0,0,0,0,0,0,0,0,0,,185,177,485,1177,1503,1195,180,325,104,226,,0,0,0,0,0,0,1,0,0,0
30243,"Fresh or chilled sardines """"Sardina pilchardus, Sardinops spp."""", sardinella """"Sardinella ...""",0,0,0,0,0,0,0,0,0,0,,0,0,14,0,0,0,0,0,0,0,,32,55,33,1,0,4,1,0,2,1
30245,"Fresh or chilled jack and horse mackerel """"Trachurus spp.""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,3,1,0,6,1,5
30251,"Fresh or chilled cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",0,0,0,0,0,0,0,0,0,0,,0,5,0,5,5,13,4,62,16,34,,101,456,57,0,0,0,0,0,1,1
30291,"Fresh or chilled fish livers, roes and milt",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,427,1691,1634,3294,,0,0,0,0,0,1,22,21,413,564
30325,"Frozen carp """"Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys ...""",0,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,97,243,274,246,434,,0,0,0,3,2,0,0,0,48,118
30334,"Frozen turbot """"Psetta maxima""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,252,5,359,262,304,135,264,288,0,135
30351,"Frozen herrings """"Clupea harengus, Clupea pallasii""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,,130530,150470,105359,66420,50208,66818,51121,74688,50102,65485
30391,"Frozen fish livers, roes and milt",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,5681,6117,3052,6634,7564,,0,0,0,0,0,3137,1434,936,1134,2018
30463,"Frozen fillets of Nile perch """"Lates niloticus""""""""",0,0,0,0,0,0,0,0,0,0,,14,0,0,80,0,0,0,0,12,3,,12,84,66,0,10,10,21,0,0,0
30471,"Frozen fillets of cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",0,0,0,0,0,0,0,0,0,0,,9,4,0,0,0,1,0,1,0,0,,122,28,483,3,331,0,0,12,2,113
30475,"Frozen fillets of Alaska pollack """"Theragra chalcogramma""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,27,0,0,26,23,0,,19233,18295,23255,9199,6267,6974,8710,9087,7785,2610
30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, ...""",0,0,0,0,0,0,0,0,0,0,,0,38,0,36,0,89,53,18,47,0,,602,4438,3449,549,2458,2316,4898,4643,4291,2411
30510,"Flours, meals and pellets of fish, fit for human consumption",0,0,0,0,0,0,0,0,0,0,,278,200,18,0,37,2,0,0,1,1,,3,2,7,62,457,0,41,48,40,5
30532,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1937,1210,1410,338,341,7484,12524,11182,5693,5084
30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",0,0,0,0,0,0,0,0,0,0,,10466,7962,3003,145,8,86,264,18,0,0,,45031,27968,22792,16167,17776,12270,19325,29267,29364,28536
30564,"Tilapia """"Oreochromis spp."""", catfish """"Pangasius spp., Silurus spp., Clarias spp., Ictalurus ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
30572,"Fish heads, tails and maws, smoked, dried, salted or in brine",0,0,0,0,0,0,0,0,0,0,,1,0,38,0,50,0,91,40,20,24,,0,0,0,41,16,422,51,1,681,1262
