Product code,Product label,United States of America's imports from China-Value in 2012,United States of America's imports from China-Value in 2013,United States of America's imports from China-Value in 2014,United States of America's imports from China-Value in 2015,United States of America's imports from China-Value in 2016,United States of America's imports from China-Value in 2017,United States of America's imports from China-Value in 2018,United States of America's imports from China-Value in 2019,United States of America's imports from China-Value in 2020,United States of America's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
841430,Compressors for refrigerating equipment,239473,256124,284445,317838,365132,377380,317005,287233,252155,294281,,2687636,3075983,3261575,3122087,3212495,3378701,3622839,3916572,3933148,4896594,,1827628,1951841,1987337,2127086,2122499,2186317,2161979,2258328,1945879,2441993
950730,Fishing reels,147570,159866,158547,209218,186306,177128,192808,174082,191679,291751,,259239,282241,291512,277224,271746,286622,311553,274255,312108,416807,,235778,247748,257530,297535,280999,278168,290055,277880,293786,432976
870891,"Radiators and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",285750,308253,303532,338996,329946,332957,370457,284552,225914,287638,,976063,1106892,1189701,1297665,1241251,1301596,1401876,1369093,1263070,1617008,,875888,851056,917217,891629,923130,951372,1015575,926388,820217,944254
843390,"Parts of harvesting machinery, threshing machinery, mowers and machines for cleaning, sorting ...",203190,197284,218727,249123,232914,274673,303975,228569,205872,286951,,308006,343883,377204,371633,359706,465452,485138,494290,631923,824970,,1080331,1189904,1160672,1000533,837931,921540,1132350,1045897,1026294,1347395
820559,"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.",161950,158949,177968,201131,197273,224256,243337,213613,225087,286517,,584118,626196,787284,776139,723584,777300,891519,940785,1038299,1324802,,398134,419791,459536,504449,489845,542448,594651,550622,564599,710606
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",256114,236583,270313,292240,278890,284446,313684,269114,227139,285942,,794059,894854,992502,949119,893027,956811,1048511,989949,967711,1187952,,1758521,1798871,1963213,2001127,1929463,1956679,2127044,2070404,1804987,2269781
843139,"Parts of machinery of heading 8428, n.e.s.",226950,175624,212873,193127,164830,219211,212864,195116,203975,284511,,472572,574314,664600,693200,601132,660122,789354,863361,784416,1031679,,1288727,1288499,1369804,1406813,1331187,1675155,1869353,1784407,1803782,2299664
293628,"Vitamin E and its derivatives, used primarily as vitamins",212508,180346,165583,109793,126555,111637,191613,119450,162618,282571,,723086,656433,616813,392960,441605,460910,652104,422827,563812,753708,,475225,383890,376984,254238,261397,255889,341641,250411,293931,420689
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",632781,640812,618990,717844,671084,661144,518281,343265,304628,281841,,10398268,10749465,12120725,10267775,10544873,12135404,12184421,12705435,14034762,16500292,,2586449,2289294,2242725,2139217,2167855,2012216,1851474,1661956,1345725,1430845
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",201178,244347,261604,266292,287461,324019,343156,264658,266097,281321,,678811,893436,1007764,821286,816729,932268,1031792,983035,925476,1128694,,2277082,2275206,2546174,2573871,2411992,2513070,2726134,2583055,2229814,2725240
846591,"Sawing machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...",172894,188804,209977,238734,275134,293791,336476,261402,173657,281158,,429172,493140,598755,576381,604680,632689,697885,675441,693761,931042,,363973,435545,480529,510694,587315,621508,644624,598786,633023,870912
640340,"Footwear, incorporating a protective metal toecap, with outer soles of rubber, plastics, leather ...",361688,351383,401421,380130,317298,353282,357989,314305,197106,279392,,784781,896279,1002990,896874,821707,879069,950787,890166,682477,830996,,422302,414589,509492,516897,435464,482348,516008,491387,355735,478484
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,473758,802878,598566,478838,447651,458788,533359,325619,200638,278133,,1873301,2685088,2475640,1928528,1872914,598747,906869,717443,600327,1047765,,797099,1167489,1029973,877336,865252,853694,923310,676815,517901,676448
300510,"Adhesive dressings and other articles having an adhesive layer, impregnated or covered with ...",82317,91232,103845,109872,127193,130180,154189,186768,210633,276697,,280242,312837,337884,338578,378816,410558,449817,518065,505305,590106,,386430,444869,463118,465929,530579,545278,556883,637784,683149,850078
848310,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",179361,189882,201277,254097,222638,270482,338603,291599,235711,275809,,944332,996735,1131284,1112992,1066049,1073819,1284741,1204123,1088108,1329460,,1663462,1638499,1860998,1967483,1792091,1986740,2170090,2175266,1834403,2227315
630231,"Bedlinen of cotton (excluding printed, knitted or crocheted)",362366,443607,411662,409700,347833,353055,377242,327817,222819,274595,,1301114,1483184,1441340,1242783,1158764,1191640,1311755,1195733,1001781,1104556,,1597825,1734891,1648329,1638381,1560479,1616047,1596112,1556896,1326329,1859498
852190,"Video recording or reproducing apparatus, whether or not incorporating a video tuner (excluding ...",1048150,930400,647238,656934,657404,540041,528477,388550,252383,274162,,6362689,5335708,4862970,5121459,3802575,3775723,3942381,3450729,3212272,2668450,,1782609,1654187,1401031,1417124,1327749,1262150,1008209,826507,612221,656925
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,157853,176775,189579,202808,209895,261993,258895,215510,193296,271671,,470690,556453,691867,739524,754617,842790,937740,928073,891950,1139224,,1394505,1396365,1500952,1476046,1476946,1642653,1700778,1618075,1348075,1612958
820750,"Tools for drilling, interchangeable (excluding rock-drilling or earth-boring tools and tools ...",162256,169167,177390,200337,213052,228052,256435,233599,232581,271564,,796480,828691,910191,890232,912999,984202,1082074,1127712,1090740,1291504,,458161,469654,519830,543728,519293,548801,604631,585032,540877,631548
950710,Fishing rods,121925,143092,151917,136397,142213,153229,172227,171716,179149,270383,,497251,562943,586170,577801,550178,558907,605910,582345,612718,835928,,146018,165278,176328,162982,169307,186303,205286,204971,225416,324277
821520,"Sets consisting of one or more knives of heading 8211 and at least an equal number of spoons, ...",135261,161593,150822,151082,142193,141663,191625,250999,310407,269079,,868402,877704,881743,817845,628227,758622,743251,658835,692180,923060,,177636,204105,192723,206397,202171,202501,257076,326517,385899,359803
293369,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, ...",162803,180722,157677,158995,153255,164364,219826,199861,131466,267839,,826675,857761,811291,735308,815217,915247,1213459,1196386,1023571,1353298,,302471,308827,255955,267179,256212,282895,351486,378092,310396,500610
870892,"Silencers """"mufflers"""" and exhaust pipes, and parts thereof, for tractors, motor vehicles ...""",159780,162929,185133,224625,230553,242206,317460,247976,203973,267310,,414804,483075,587872,617758,626241,671903,784241,803051,819165,1068115,,914801,819659,870707,898142,933112,912942,1066373,1190399,1050434,1498849
482010,"Registers, account books, notebooks, order books, receipt books, letter pads, memorandum pads, ...",373630,358213,334941,390835,419193,431883,476220,381014,230822,266353,,924606,992543,1022571,1108865,1096589,1176799,1302447,1335494,1042871,1097898,,662733,649232,643781,691378,718054,717374,808102,748669,584731,650943
850610,Manganese dioxide cells and batteries (excluding spent),147325,152992,177641,164659,176261,215198,276457,262257,297567,265575,,1724869,1771284,1861417,1767200,1610830,1712753,1807716,1794531,1912057,1806074,,220765,236775,268297,265025,308181,383732,526331,471482,569871,572158
730719,Cast tube or pipe fittings of iron or steel (excluding products of non-malleable cast iron),249622,258049,257484,272113,243881,261299,346045,232062,195383,264618,,558662,554109,626411,594627,569752,618109,724397,590810,605881,610144,,373902,374505,385453,393323,350377,382134,483081,393144,377686,546083
847170,Storage units for automatic data-processing machines,4315769,3859063,3657547,3226056,2678105,2158958,1225632,363127,328149,262996,,18638870,16591268,16635339,14808304,16709092,18653486,17820524,17285611,17341219,16708192,,13364806,12215560,11638334,11273462,10136662,9956286,9404491,7237073,8679412,10534792
481950,"Packing containers, incl. record sleeves, of paper, paperboard, cellulose wadding or webs of ...",189577,191359,210871,240610,243212,273112,322799,246216,213713,260521,,85410,93546,225079,447159,404400,610218,644072,791762,899994,1096259,,285848,283953,311672,324182,329594,361318,418381,364318,338085,417529
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",246128,334135,327662,359864,357323,333532,316668,211458,198590,257318,,1404343,1420106,1915126,2053754,2262028,2692665,2660187,2794535,3059260,3842094,,2323340,2489657,2756789,2745465,2641415,2776529,2776064,2729994,2377305,2921763
293890,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other ...""",55562,57509,70690,87742,112110,119528,123305,137243,202113,256485,,407979,442181,541916,544577,530314,539412,569002,706167,763193,763867,,112361,122526,146130,163754,189619,209696,204168,224173,285816,403870
842310,"Personal weighing machines, incl. baby scales; household scales",144253,148757,144760,178166,178264,165582,167918,172634,201715,253295,,447106,472547,525863,553573,551399,563094,614823,671769,1132994,1227205,,150844,155914,152000,185112,184806,175938,176754,177859,208883,261155
950790,"Line fishing tackle n.e.s; fish landing nets, butterfly nets and similar nets; decoys and similar ...",110614,124233,116574,146395,141759,136665,157901,163812,162580,253250,,355307,370972,387183,422579,382245,411010,454878,510289,594321,816638,,196802,212382,203264,251086,238709,238616,276340,287471,296295,441838
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",17919,31832,20162,32104,52736,105848,175597,259556,210323,253155,,1603518,1313213,1128773,1226430,1096064,1427902,1940452,2230114,2277890,4485883,,4100617,2888048,3077489,3004259,2626609,2942900,3749377,4356637,2865056,3783580
842211,Dishwashing machines of the household type,93033,136666,121151,111101,114556,137946,149271,167192,219850,253140,,465262,505884,551467,519582,515107,589267,620070,630274,788813,985080,,223533,308497,340185,334285,358686,422163,436298,470122,563148,767468
847050,Cash registers incorporating a calculating device,184071,159301,162688,336297,244768,228716,260801,297017,259286,251078,,658320,517610,700473,894853,902118,1001758,1137826,1389317,1354341,1677237,,473755,476758,540406,759932,619572,580395,665544,874307,732248,819582
680291,"Marble, travertine and alabaster, in any form (excluding tiles, cubes and similar articles ...",117259,152097,177735,215280,236118,255035,300548,211312,190238,250735,,1439955,1575813,1592925,1692361,1108069,1091539,1398739,1402293,1354857,1214247,,769911,946134,1046500,1125662,1062979,1084777,1168379,1024880,957460,1289345
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",162510,250866,248423,252313,314898,332903,383145,351019,275066,250570,,156628,177603,198656,196192,215565,197627,222068,252441,239368,330875,,907600,947276,1076662,1061392,1030654,1107151,1612333,1602708,1207052,1306872
610712,"Men's or boys' underpants and briefs of man-made fibres, knitted or crocheted",32977,42333,55044,73455,84749,109625,134454,134933,136061,249170,,362594,459810,626545,565472,555510,574225,596391,639153,667075,896618,,145618,165849,206233,326122,352692,393346,494610,465541,403310,618396
940330,Wooden furniture for offices (excluding seats),306547,266141,267857,268603,294396,384992,320602,225795,221745,248474,,853788,892441,1030991,1220836,1145262,1169866,1200598,971516,1141552,1237901,,898493,864287,902126,963703,1036529,1146907,1037903,941068,882397,954488
711311,"Articles of jewellery and parts thereof, of silver, whether or not plated or clad with other ...",475164,445958,411566,428862,379951,329502,329286,289645,171385,248067,,681116,861313,918416,818116,656925,604081,540400,534537,706972,2139749,,2099591,2218700,2142444,2189519,2041308,1648604,1693388,1503970,1309695,1952550
30471,"Frozen fillets of cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",181655,174069,234738,254913,263544,300138,312893,291566,251353,247677,,510420,542470,636575,639421,675800,747980,795852,813836,639727,550981,,262533,267008,314667,342119,358408,402916,441856,425019,383401,415248
630493,"Articles for interior furnishing, of synthetic fibres (excluding knitted or crocheted, blankets ...",153807,170508,169559,171986,180584,183706,190665,186281,201373,246106,,629151,723541,745096,775210,739546,784923,815886,817938,855310,1050414,,202112,214405,204464,198506,209433,215974,241715,222031,232814,289839
621040,"Men's or boys' garments of textile fabrics, rubberised or impregnated, coated, covered or laminated ...",259872,293599,355234,378304,322486,312814,316994,333248,178742,245323,,2127339,2347038,2283130,1907618,1666740,1622699,1673630,1560054,1064178,1183115,,523794,534181,627989,711735,635860,626967,643938,738125,542420,671502
350400,"Peptones and their derivatives; other albuminous substances and their derivatives, n.e.s.; ...",29494,41227,61566,67658,53665,57947,102506,156910,163068,244307,,424787,539313,567500,481253,395984,436192,465031,463108,558039,687641,,163421,182537,201826,246937,280147,251009,341551,515143,544500,728668
482370,"Moulded or pressed articles of paper pulp, n.e.s.",45907,48354,43759,63121,70043,87976,151226,219030,211332,242751,,129471,130305,156057,178345,165882,180568,181592,223275,274169,307706,,126714,141476,144182,172505,178513,202865,266874,350952,349736,390484
842549,"Jacks and hoists of a kind used for raising vehicles, not hydraulic",142964,141534,146805,157750,157687,179998,207766,167828,163240,242741,,224035,234987,275680,268704,259703,291167,318243,286601,291723,380300,,270720,276501,299591,299817,291680,325878,349608,298174,288665,402810
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",132018,124513,139043,155110,164244,175254,224627,176611,204997,241747,,1496558,1615145,1954988,1872870,1833510,1852560,2167677,2281210,2597032,3430031,,618537,619782,629751,657303,669381,695354,810492,815766,852864,1101667
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",93298,116396,137557,149061,142500,158252,166674,165844,146365,240955,,2134877,2808650,3330148,2843291,2893061,2905077,2940015,3145809,3946023,4832608,,674254,697961,723942,691191,654327,664339,677444,667709,568675,924483
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",1325480,1318461,1603256,1375780,990683,877018,1302405,433387,186831,240669,,8056376,8132128,8517548,7245766,6671898,7390076,7808521,7350764,6599528,7267488,,4318411,4170089,4568257,4410636,4164016,4311347,4747328,4792756,4467190,5807888
420232,"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...",414506,422830,409051,413331,378041,391953,399679,283351,166339,238057,,1856796,2235357,2182152,2382771,2379838,2323043,2378665,2234166,1902401,2609142,,524652,537190,545175,592534,600366,636878,641586,553020,429801,603340
841191,"Parts of turbojets or turbopropellers, n.e.s.",229454,260693,302591,309775,325630,330247,293790,325784,248996,237641,,1028289,1248349,1560223,1562301,1771100,1925835,2139792,2629812,1509547,1425124,,10363016,11273825,12132580,12584051,12180613,13619339,14280649,15566416,9390307,9624664
821192,"Knives with fixed blades of base metal (excluding straw knives, machetes, knives and cutting ...",133062,149238,139762,151904,161443,167150,159998,164915,206806,236855,,385093,432698,437864,471032,439589,489811,477195,436982,446574,560869,,246411,269668,264288,269697,292060,298677,290046,288458,333690,409224
392630,"Fittings for furniture, coachwork and the like, of plastics (excluding building components ...",79529,94924,112246,124301,148874,167571,199495,248498,185859,236797,,248150,310063,339472,358481,318752,347605,438253,438844,488602,585361,,325744,383202,476999,550889,619977,657292,726509,778332,649312,786879
392590,"Building elements for the manufacture of floors, walls, partition walls, ceilings, roofs, etc., ...",112568,129593,135260,135728,151931,177676,205253,156231,168443,235797,,866854,1017281,1100880,1031420,976190,1101331,1150185,1336038,1423602,1623062,,559614,595834,604620,655869,699110,723418,794064,764450,850232,1049234
761290,"Casks, drums, cans, boxes and similar containers, incl. rigid tubular containers, of aluminium, ...",7633,10334,8643,8424,10092,11238,11512,13135,31113,235505,,174025,172519,193664,182186,153214,176592,209276,228601,259834,488223,,192921,171382,172843,158096,192029,167573,249467,272380,713827,1223655
820551,"Household hand tools, non-mechanical, with working parts of base metal, n.e.s.",190372,208923,213831,236285,203663,201213,225807,169943,211870,235211,,491895,569678,589306,647869,583926,635522,753902,991206,932570,1217622,,241406,257018,259690,285319,248369,243991,269862,208070,256693,286855
821599,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and ...",174786,195418,187381,202770,184412,184711,207961,203778,190388,234931,,956800,1022570,1040256,1079534,926820,1092873,1089920,1128122,1055269,1237921,,226169,253765,242722,266407,245503,245197,269442,261456,233309,297590
621050,"Women's or girls' garments of textile fabrics, rubberised or impregnated, coated, covered or ...",210357,237663,233132,198228,182051,179261,192726,209623,168308,234304,,1608713,1992874,1979448,1465847,1199003,1222435,1205851,1063746,970752,960556,,350393,368960,408034,406709,381273,378035,406621,457028,610902,489779
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,1396,4906,7245,138435,234277,,0,0,0,0,0,110059,129753,438082,1578871,8143214,,0,0,0,0,0,367976,327755,1577405,1763637,5350199
950631,"Golf clubs, complete",387346,445727,363771,340083,291146,275829,282050,276556,186509,233575,,638062,704209,753059,494476,300182,250280,258255,274933,243262,419576,,487714,524226,424148,408243,363796,411419,428904,451121,439666,599320
851840,Audio-frequency electric amplifiers,321664,322916,306966,327542,295073,289479,291914,217934,160172,232360,,1659514,1640927,1697821,1598473,1476303,1411496,1452738,1162084,1065621,1219069,,598563,632838,699740,754141,747584,792197,893223,857788,762760,932707
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",117186,90225,106351,97462,100994,97157,133792,177757,186787,231904,,1010354,1175545,1525035,1591931,1547357,1612890,1801586,2087520,2265232,2253323,,965838,982262,1151433,1217804,1171384,1158333,1210294,1241277,1274786,1494907
481920,"Folding cartons, boxes and cases, of non-corrugated paper or paperboard",168724,191920,213324,228311,238301,233385,254623,195387,159512,231783,,1408975,1599257,1514997,1455917,1248852,1189315,1354776,1504635,1655423,2005529,,720560,783023,815020,864410,889055,919324,990190,951456,913886,1054477
841899,"Parts of refrigerating or freezing equipment and heat pumps, n.e.s.",168521,166835,217650,261255,227533,240065,249406,195077,162748,227655,,1084881,1108997,1106464,1068876,1015451,1118977,1161194,1186652,1221931,1603134,,767623,790541,870554,1027546,893145,934327,985812,922909,859831,1161591
851020,Hair clippers with self-contained electric motor,159376,135063,142994,172519,125477,113795,111143,89089,203622,226103,,435161,438345,476454,535816,541838,609384,634253,689708,1102141,1081305,,166860,166733,182658,217659,143609,133566,131597,106484,242836,308610
741220,"Copper alloy tube or pipe fittings """"e.g., couplings, elbows, sleeves""""""""",147580,167790,186870,173042,174968,174937,218819,163204,146312,224760,,772862,781763,874003,837879,737331,806115,929137,871543,837999,1114294,,369943,412490,440881,414898,442237,464292,555444,526645,482538,709013
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",2879,3468,8157,18492,32161,50374,54844,40693,29456,222616,,703812,773951,1067873,885896,940280,987270,1170029,1328043,1453212,2874717,,306299,303177,351025,353046,376391,477199,477620,409287,393891,935146
293299,"Heterocyclic compounds with oxygen hetero-atom[s] only (excl. compounds containing unfused ...""",257306,165698,165860,120263,112954,122249,185755,155234,154716,221510,,1362744,1085343,967694,894146,881637,895141,1117013,1028894,999513,1100197,,508162,489382,520170,680910,1892506,874625,1857021,1776131,2346497,3519389
950440,Playing cards,50743,51065,46149,57184,68310,123667,127331,138299,229090,221337,,149079,168192,162710,179608,165288,152268,172969,183449,212711,206103,,67423,70101,64217,83095,93809,149153,162379,168627,273997,318546
30481,"Frozen fillets of Pacific salmon """"Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...""",207255,198468,234681,209982,193856,235717,276461,269719,269396,221169,,502875,483753,588396,480336,502893,582072,617678,538949,482805,380388,,539832,637269,801386,685729,664707,911226,944868,1020568,1107783,1269216
620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excluding ...",291605,296184,282904,319943,292096,283187,292313,264153,165699,220766,,2043857,2101222,2501001,2546076,1999703,1977449,2068496,1944375,1567667,1818683,,1209602,1326061,1298416,1423987,1387655,1412450,1571101,1626913,1296472,1786983
392310,"Boxes, cases, crates and similar articles for the conveyance or packaging of goods, of plastics",335943,315976,332213,351881,358401,317910,329656,222082,180747,219735,,1525482,1678211,1449924,1386413,1274899,1325559,1378635,1566993,1731423,2102358,,998150,1009540,1050433,1067367,1126563,1163899,1176794,1062686,1038364,1373762
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",70155,73797,120147,179177,183503,225049,223026,123733,195853,219290,,195046,182986,117883,77391,87209,66694,145833,116897,80373,126494,,440457,382417,873328,1279195,1066926,1319298,1672497,1593169,1727944,2067725
851140,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition ...,160816,153787,168130,178677,163035,200647,203095,187235,183683,218935,,448162,486019,574020,523241,510791,554046,559405,492472,503309,623636,,1175785,1023762,1114657,1148118,1162321,1257660,1422435,1412495,1188409,1456159
830249,"Base metal mountings, fittings and similar articles (excluding locks with keys, clasps and ...",103014,113005,126312,155269,150040,153330,199238,185590,164968,218098,,396519,497499,505794,582335,670335,829618,788643,718477,611416,661372,,420725,439253,490646,560235,576957,611787,673853,706389,563429,660090
821110,Sets of assorted articles of knives of heading 8211; sets in which there is a higher number ...,51048,63643,62525,76270,61149,68807,85189,118061,193155,217768,,307266,345340,368945,331468,288472,376862,418814,453122,504468,635942,,54898,67575,66168,81163,65664,70872,95371,122409,198084,230079
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",141739,122552,136605,166572,211232,271192,277455,215228,172205,217549,,667621,647337,707191,813634,750752,864584,1160453,1442622,1228107,1257478,,1764805,1981023,2251509,2234572,2533437,2786996,3216749,3212960,3025551,3854354
292249,"Amino-acids and their esters; salts thereof (excluding those with > one kind of oxygen function, ...""",131142,157301,155118,161494,146633,190772,209490,114721,118851,217227,,582031,651988,744470,720097,706778,841256,990820,945862,1061220,1299298,,1294088,1085209,1157720,1040606,1179241,1210968,1251740,671350,352455,515222
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",250022,188572,193912,191179,208625,214967,289517,221055,151983,217132,,1313094,1245502,1416742,1346296,1284577,1489404,1745899,1802398,1549612,1985336,,954118,966299,973011,910924,785569,845649,1027391,1032646,789734,1098773
392530,"Shutters, blinds, incl. Venetian blinds, and similar articles and parts thereof, of plastics ...",460572,506220,497139,488792,434106,403298,419654,337449,199032,216621,,539228,584182,562943,471746,438046,448873,483876,452343,425603,491648,,608762,668845,676899,732439,712595,703909,820324,846936,887280,1003068
842619,"Overhead travelling cranes, transporter cranes, gantry cranes, bridge cranes and mobile lifting ...",72211,16875,22811,60392,78543,58704,113239,270218,231951,214657,,1508346,2307515,2123693,2165031,2703080,2062638,1896316,1666646,1388200,1255106,,203208,145642,159150,217528,322117,200270,524769,414245,408134,281495
940350,Wooden furniture for bedrooms (excluding seats),585699,517899,467132,462941,449759,483901,465515,269349,286694,214414,,3018594,3059895,3901783,4510284,4575472,4071780,3122497,2696021,2597735,2632502,,3229513,3345203,3513499,3815659,3699492,4003241,4103153,4121205,4209633,4971691
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",177724,179895,210119,202341,185325,190150,194046,208287,173250,213962,,483734,467115,557878,527152,480174,540286,637725,636715,537990,703766,,891467,868022,973321,960867,867250,922737,976943,980408,781480,937473
200830,"Citrus fruit, prepared or preserved, whether or not containing added sugar or other sweetening ...",308223,276558,261774,265014,260603,237409,306613,221856,214620,213466,,443778,354083,335518,329855,323243,315056,397433,309002,311472,273526,,389656,362573,334225,342374,344566,328114,406031,319130,319095,329415
847290,"Office machines, n.e.s.",413915,377444,381716,431259,399859,381148,345857,273730,229615,211784,,1995451,1885543,1904023,1623438,1372255,1371162,1347214,1346076,1211111,1173327,,784227,713487,736224,804623,916662,774030,796002,991143,888581,1095576
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",150159,168075,153244,177544,212216,226880,227989,219726,196858,211499,,540464,500759,524482,504429,546215,573366,673851,737606,730481,880720,,1492750,1453302,1372724,1308430,1336430,1336910,1309006,1250346,1081359,1244126
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",468608,469135,614303,609846,584102,620450,607542,243723,182398,211209,,797512,801076,932385,1018361,1030754,1008148,1062972,1010201,907931,1053159,,1035154,1047508,1282855,1266310,1290416,1376778,1417985,1192784,1018536,1302830
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",118957,136525,169081,185281,182760,199245,217811,193452,164890,208986,,336076,388862,482274,532806,539414,559870,668854,1197421,991010,889248,,1564933,1547838,1643245,1657710,1652315,1775436,1900268,1992722,1985196,2398980
841320,Hand pumps for liquids (excluding those of subheading 8413.11 and 8413.19),24945,39288,69574,90009,104925,117146,139125,146644,284799,208846,,138671,181231,241846,255331,269620,291625,342369,370359,816101,508553,,78983,95915,127653,147651,160867,189574,211800,249128,413259,342613
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",105957,95977,99428,104691,128254,132887,142012,119600,126089,207105,,258464,284753,329815,348102,389788,481289,538194,628373,720294,976827,,459190,426586,438102,449928,526350,578510,642661,670141,747286,1060356
901310,"Telescopic sights for fitting to arms; periscopes; telescopes designed to form parts of machines, ...",66311,81525,62392,80357,97752,79365,85722,93631,117096,204915,,94129,109351,89631,111444,145940,133079,166772,169416,293129,505137,,214206,262582,210475,256479,287360,278847,298912,278560,287621,470009
620640,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excluding knitted or ...",514480,587588,511657,542092,556859,496729,473125,397506,177867,204017,,925936,1165967,1090842,1020654,1012160,905069,941988,931005,689456,912153,,1050093,1320457,1246547,1416245,1531175,1472400,1462622,1320008,783174,733064
871120,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",53845,54954,43571,46036,53580,65368,77689,81379,124730,203302,,4374668,4640806,4440545,4103077,3809999,4197605,4431358,4259006,4375475,5451274,,376173,302783,297291,270172,312704,354496,361776,353762,393870,585144
610230,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",205059,184601,208929,251504,222233,219560,228802,242853,144432,203287,,443976,386639,474157,506565,488324,402272,491950,573662,422050,533353,,466091,468073,533701,579928,497888,486616,512773,554553,408322,529896
610342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of cotton, knitted or ...",70379,83044,149277,214555,162147,179298,190864,163615,94491,203147,,2923469,3386106,2124186,1919976,1933514,1758219,1547510,1598538,1718057,2189302,,290386,348328,494917,655116,562466,642022,823118,900920,854522,1525803
441400,"Wooden frames for paintings, photographs, mirrors or similar objects",255521,247271,251888,276455,234193,223533,247783,227511,190016,202217,,418728,422243,445252,452674,426461,422032,501921,447279,452520,460501,,356982,348995,355145,376278,324099,306080,328151,301594,254897,275588
481910,"Cartons, boxes and cases, of corrugated paper or paperboard",118479,138297,148322,183094,202624,228224,225584,187942,162305,201916,,690257,838379,918589,1047654,858956,882622,1018609,1270123,1521137,1693279,,338199,355598,375759,435134,464146,518825,527930,544180,598018,680978
482369,"Trays, dishes, plates, cups and the like, of paper or paperboard (excluding of bamboo paper ...",112951,120311,149482,186294,209788,247577,284362,215033,151225,201780,,373073,442792,608909,729659,759732,853872,1100898,1304036,1225723,1426248,,194681,212240,251542,294950,323641,368530,417682,380313,303030,379067
821193,"Knives having other than fixed blades, incl. pruning knives, of base metal (excluding razors)",160058,192707,190797,202473,194424,191570,215508,195899,171973,201275,,129656,143170,155301,155912,156829,162179,188352,216169,221409,265179,,230293,261524,255528,268866,256495,253222,281576,260778,247761,328749
842123,Oil or petrol-filters for internal combustion engines,80739,80534,95376,102336,109598,127432,154509,145005,135753,200821,,553444,679009,717795,641659,613601,685445,705810,692229,676152,850922,,679621,705683,769113,772446,744016,784396,875532,950293,854226,1165992
