Product code,Product label,Japan's imports from Viet Nam-Value in 2012,Japan's imports from Viet Nam-Value in 2013,Japan's imports from Viet Nam-Value in 2014,Japan's imports from Viet Nam-Value in 2015,Japan's imports from Viet Nam-Value in 2016,Japan's imports from Viet Nam-Value in 2017,Japan's imports from Viet Nam-Value in 2018,Japan's imports from Viet Nam-Value in 2019,Japan's imports from Viet Nam-Value in 2020,Japan's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
390230,"Propylene copolymers, in primary forms",9,0,18,0,32,3,2,0,2,5110,,38,610,904,1579,1599,1581,2003,1081,55420,82550,,343027,251445,300636,194616,189125,248149,477996,321100,245439,342930
392590,"Building elements for the manufacture of floors, walls, partition walls, ceilings, roofs, etc., ...",2428,3044,3766,3642,3497,3444,3120,3592,4158,5076,,10423,11573,8942,9096,10528,11155,7807,12065,16065,43397,,97389,103004,104291,93835,95819,117574,118390,124508,105377,125395
821192,"Knives with fixed blades of base metal (excluding straw knives, machetes, knives and cutting ...",514,519,614,862,998,2141,2965,3682,4207,5030,,412,524,672,898,1461,4087,4191,5168,5735,8054,,16765,21147,18671,19189,15883,19251,24269,23617,25879,47601
60313,"Fresh cut orchids and buds, of a kind suitable for bouquets or for ornamental purposes",4981,4433,5141,5341,5929,5321,4596,4204,4506,5026,,3231,3932,3767,4627,4874,4601,4706,4744,4693,6782,,81002,64395,61448,58048,65032,61890,62375,62437,55030,56951
847050,Cash registers incorporating a calculating device,8170,12049,13371,9657,10095,10655,13192,8234,4894,5014,,4,326,9,4,51,13854,33326,42117,76020,542346,,72692,116535,105947,93456,119966,169506,157578,177005,160677,141261
940560,"Illuminated signs, illuminated nameplates and the like, with a permanently fixed light source",1815,2380,3191,3537,4035,4434,5167,7113,5227,4937,,2341,3031,3867,3999,6754,13777,18737,20664,19697,17387,,17517,13097,11966,13160,14819,13872,15218,19062,15433,18793
460219,"Basketwork, wickerwork and other articles, made directly to shape from vegetable plaiting materials ...",2910,3173,3361,3266,3437,3991,3487,3703,4271,4844,,45228,59020,66198,67820,73281,81604,104778,132627,138688,232452,,79259,77831,74609,64940,61773,63771,60251,58121,55354,60546
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",2072,2437,3596,3510,4195,3726,3780,4886,4265,4810,,41018,64756,77231,74595,40277,44471,19473,24458,20464,129471,,476582,488291,602078,566831,758981,714125,680924,666650,723879,635358
960330,"Artists' brushes, writing brushes and similar brushes for the application of cosmetics",80,24,92,94,81,1791,3095,2758,2604,4809,,1588,4817,7046,9464,10230,9041,9954,8285,7796,9489,,35207,31599,35696,37445,44505,45461,55178,55433,46467,48500
640192,"Waterproof footwear covering the ankle, but not the knee, with outer soles and uppers of rubber ...",6884,4785,4689,3883,3654,4006,4179,3563,3586,4764,,5739,4736,6178,5327,5387,7771,8749,14961,30282,38110,,191339,177902,181860,166161,130682,121413,136408,109499,95496,121703
851850,Electric sound amplifier sets,109,29,16,1230,925,693,845,3358,3990,4744,,76,1725,5236,3623,3603,14897,19163,22102,22598,22426,,112327,92015,69611,64123,55409,57947,38606,34809,34433,40440
151550,"Sesame oil and its fractions, whether or not refined, but not chemically modified",3950,4242,4280,5282,3431,4341,5538,4890,4632,4720,,3959,4361,4866,4801,3541,4410,5211,5213,4997,5224,,7926,7510,6079,7523,8005,9126,9252,9380,9912,9646
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these ...,2630,3077,2433,3806,3889,4351,4611,6236,5725,4719,,1207,2413,7610,7433,10258,13678,14060,12741,8626,14498,,288210,284461,314963,312744,301684,336098,365152,357216,297349,360753
391740,"Fittings, e.g. joints, elbows, flanges, of plastics, for tubes, pipes and hoses",3491,5446,3884,3830,3707,3289,3916,4527,4193,4717,,11700,14243,16037,16307,15947,14416,14405,16309,15249,24701,,108040,115206,102427,92102,93538,104471,107505,100434,96439,131651
901832,"Tubular metal needles and needles for sutures, used in medical, surgical, dental or veterinary ...",9482,8358,7996,6352,9333,10502,7052,6898,5161,4716,,10302,11026,12124,14961,16847,18329,32003,36766,27378,40847,,314799,162032,153869,147008,144481,167123,167786,185100,176436,191935
711230,Ash containing precious metal or precious-metal compounds,0,0,0,0,0,0,0,150,387,4685,,0,826,616,518,584,181,1224,1966,3091,4685,,37268,26308,13383,7331,6106,5547,5298,53028,73528,188362
230910,"Dog or cat food, put up for retail sale",2218,3365,4272,4256,4130,4067,4468,5811,5713,4658,,5670,5868,8370,18817,25231,32142,47577,56874,119580,86933,,830665,781143,730266,657563,641719,619211,643922,646338,673653,702671
710811,"Gold, incl. gold plated with platinum, for non-monetary purposes",0,0,0,0,0,0,0,0,0,4646,,416,754,572,603,3694,4661,4129,5076,5493,4779,,2208,2767,1982,1865,874,584,200,232,141,56226
610892,"Women's or girls' n?glig?s, bathrobes, dressing gowns, housejackets and similar articles of ...",3094,1548,1947,2335,6841,5220,8490,4152,4697,4591,,21562,20788,20141,26881,31640,53344,62190,62067,108380,133118,,91465,85611,65080,56125,46923,51229,60199,47265,39553,47998
850590,"Electromagnets and electromagnetic lifting heads, and their parts (excluding magnets for medical ...",4616,5269,6899,7411,9564,7768,6224,4787,5290,4566,,321,3857,10495,12952,18147,17333,26455,22060,20779,48519,,210657,187479,181479,163871,160200,166458,174963,150275,129052,173250
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",592,606,881,2163,1088,1109,12217,12272,1763,4565,,24752,24537,13556,3986,35760,3057,36221,57027,91918,89336,,277301,268009,332101,257134,250333,318304,393206,387923,388547,427423
852799,"Radio-broadcast receivers, for mains operation only, not combined with sound recording or reproducing ...",0,0,0,1013,5837,2684,3187,3627,3342,4494,,0,2718,26958,40257,43840,49494,55031,47529,14199,41087,,23711,17300,16625,17013,19214,14761,17773,12939,12546,12293
392350,"Stoppers, lids, caps and other closures, of plastics",677,1152,1295,1443,2541,3628,4868,5415,4377,4491,,15149,20548,16455,14705,20094,25185,22284,24794,26150,39298,,138692,146426,151545,137358,156994,177521,205968,210123,192909,208588
621020,"Garments of the type described in heading 6201, rubberised or impregnated, coated, covered ...",384,517,428,1288,1451,1862,2512,3273,7299,4487,,70283,56966,33874,10547,5809,6908,15444,19134,27910,30912,,15792,17908,11315,17953,14958,15197,19016,20455,18582,16909
611120,"Babies' garments and clothing accessories of cotton, knitted or crocheted (excluding hats)",3326,5669,7517,7392,8589,6588,6368,5878,5768,4458,,47202,84484,118594,111895,145883,190148,181899,192951,227491,335581,,214323,199042,194060,189731,183866,176587,171788,159816,143916,169097
610469,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of textile materials, ...",342,506,481,478,3051,7376,20535,8107,5557,4443,,102305,110859,137064,154432,155797,105932,149894,162263,129709,134536,,26632,27022,24200,18459,33811,28506,41951,32107,40943,34742
846694,"Parts and accessories for machine tools for working metal without removing material, n.e.s.",16145,9623,12215,15862,20705,27475,15950,4896,3398,4431,,34133,31768,46510,48030,7163,7559,11051,12352,6620,7985,,140847,118623,131506,120346,126008,163235,140886,152127,92050,105604
630612,"Tarpaulins, awnings and sunblinds of synthetic fibres (excluding flat covers of light fabrics ...",0,113,587,90,827,1607,2336,4295,4558,4425,,142,179,2262,2236,2961,3300,3333,4976,7748,41595,,51669,50196,50270,42268,43637,45754,47966,52333,47112,60500
481141,"Self-adhesive paper and paperboard, surface-coloured, surface-decorated or printed, in rolls ...",1655,649,323,662,103,256,1697,2509,3267,4417,,3220,4395,5105,4752,3163,4113,5367,5707,5824,8375,,89897,91674,94321,92751,98085,91067,85899,92947,84482,92440
160413,"Prepared or preserved sardines, sardinella and brisling or sprats, whole or in pieces (excluding ...",1050,829,2780,2468,2912,2462,2928,5050,5444,4412,,10309,9418,16318,13928,17383,16153,11681,15120,25933,27109,,22399,20188,20592,18959,20434,21310,27941,46792,34217,26214
160554,"Cuttlefish and squid, prepared or preserved (excluding smoked)",4585,2236,1867,2290,1438,9487,7225,5036,4548,4408,,26723,24157,20753,23882,21425,36229,28743,23001,21038,24935,,70478,59305,54769,41185,38245,274291,270308,282574,274750,275160
640590,"Footwear with outer soles of rubber or plastics, with uppers other than rubber, plastics, leather ...",3770,6411,15001,9628,7853,5756,5334,4099,4656,4349,,98212,98990,147415,151815,152594,153207,143270,216742,190759,203945,,44936,53102,65176,36857,29221,28948,30008,24985,21228,20354
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,142,75,54,3,294,44,2679,3329,2948,4322,,1664,2712,1192,715,361,262,1385,1930,2343,21040,,383102,370865,363175,368698,417461,455802,429447,403803,394423,461774
391739,"Flexible tubes, pipes and hoses, of plastics, reinforced or otherwise combined with other materials ...",189,60,157,1824,415,814,825,3178,4286,4319,,5521,7692,9307,9652,11495,15508,12597,19491,32100,43723,,49651,44799,49243,46597,46109,47830,64939,68323,59937,71326
391690,"Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, ...",78,535,1563,1638,1586,2812,3238,5130,4111,4309,,1256,745,2411,3485,3032,3627,4534,5314,12334,21514,,44463,49623,45440,44294,41663,51057,55650,47919,45387,57553
293299,"Heterocyclic compounds with oxygen hetero-atom[s] only (excl. compounds containing unfused ...""",6410,3948,3049,7193,5774,4383,3607,5267,4438,4268,,9774,17949,52692,51966,49671,52030,40586,35902,16603,20114,,237748,241099,241090,231702,223776,226398,259028,230310,282171,285322
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),0,6560,6783,2877,7281,8982,9576,14919,4460,4243,,3026,2731,2622,3186,6658,10533,13253,21452,37391,54336,,241016,237090,269725,239856,240025,296453,365791,406155,429112,634756
570249,"Carpets and other floor coverings, of vegetable textile materials or coarse animal hair, woven, ...""",1779,2664,3282,3748,3944,4498,4990,5961,3215,4227,,1205,2142,2797,3588,3675,4134,4621,5398,2880,4842,,14645,13907,13671,12338,12526,13284,12239,13359,8943,11516
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",2902,2026,1866,1713,1282,2084,2634,4264,4456,4200,,33016,34807,38266,35649,37610,45919,59117,59791,59604,44627,,1093110,1103418,1095635,972603,924049,897009,1122050,1154508,1077639,1300036
848710,Ships' or boats' propellers and blades therefor,5459,6148,8258,7203,6078,5520,4755,4849,4368,4183,,13170,11817,9244,4486,7551,8029,6390,6936,5632,6426,,26506,28535,33306,28846,28207,21004,22182,23436,19300,24671
731824,"Cotters and cotter pins, of iron or steel",43,70,36,44,4545,4519,4223,3795,3875,4179,,2487,6838,10718,12150,14422,15541,21691,22272,22692,9464,,9987,10821,10930,11224,15342,14960,16880,16407,13461,14880
401310,"Inner tubes, of rubber, of a kind used on motor cars, incl. station wagons and racing cars, ...",0,0,0,1538,4479,5162,4596,5386,2911,4140,,26036,25958,25985,21796,18661,19299,21141,24168,22476,13621,,30569,25030,25465,21711,17592,15900,15444,17396,10108,14938
851190,"Parts of electrical ignition or starting equipment, generators, etc. of heading 8511, n.e.s.",3263,3845,3512,3789,3993,5154,3735,3088,3017,4124,,18661,18980,16551,12370,10639,11646,15888,21204,25327,24625,,130381,126981,143205,142705,127945,123125,130562,146077,126569,170974
620212,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of cotton ...",8250,13112,13755,15588,15144,12093,9525,9224,6987,4109,,36314,66005,70630,94909,64578,59563,53442,47132,27953,46192,,146630,140846,138028,132722,114758,86608,94739,94507,64779,53168
871499,"Parts and accessories, for bicycles, n.e.s.",177,329,513,600,651,610,742,834,2023,4095,,14474,10236,11835,14098,14086,16474,22703,30287,35453,65879,,94750,100554,104199,93842,91471,89143,92780,83912,93076,111595
902690,"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, ...",219,480,1325,724,1187,2707,3065,2400,2530,4095,,5108,6850,2321,1919,602,1939,6675,10262,10893,20657,,219252,231651,248026,449534,305334,251892,264581,280318,250899,332988
230800,"Acorns, horse-chestnuts, marc and other vegetable materials and vegetable waste, vegetable ...",1413,3367,5210,4527,4267,4952,4815,4080,3731,4055,,1231,1442,2436,2812,3715,4299,4417,5709,7502,19179,,43070,44574,44970,41506,39785,42811,44314,43538,44096,46998
780191,"Unwrought lead, containing by weight antimony as the principal other element",13116,7920,3882,784,598,1869,0,201,0,4050,,23706,40836,60076,36904,56454,84926,76741,70650,57528,15011,,26463,14448,7694,9418,9106,27074,22519,10226,6436,13560
620899,"Women's or girls' singlets and other vests, briefs, panties, n?glig?s, bathrobes, dressing ...",10314,9210,9745,7894,7739,7012,6395,6006,4436,4038,,9508,15082,12904,9484,8610,9623,15486,15838,14392,6275,,13686,11972,11378,8597,8302,7536,6803,6575,4871,4648
851240,"Electrical windscreen wipers, defrosters and demisters, for motor vehicles",0,0,0,0,5,1987,3265,4236,3977,4022,,20851,16897,17207,21341,20351,25281,35865,61594,61954,60531,,31469,25347,23267,19545,18739,19656,23391,26327,21479,25016
391910,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, in ...",258,309,727,120,295,304,299,2782,1657,4002,,7363,4787,6430,8392,13643,21187,19469,31110,17058,38698,,195542,196439,206393,196649,192165,201137,211118,204514,197059,227169
441875,"Flooring panels, multilayer, assembled, of wood other than bamboo (excl. for mosaic floors)",0,0,0,0,0,622,792,404,1705,3996,,0,0,0,0,0,0,13079,43079,66002,51064,,0,0,0,0,0,18562,19509,18685,15242,18819
851150,Generators of a kind used for internal combustion engines (excluding magneto dynamos and dual ...,1250,1228,1493,1426,1667,1394,2405,2508,3271,3991,,902,858,1618,1759,859,1028,1250,1786,3428,4255,,88382,119563,103157,82728,71908,70393,67806,71540,80282,112505
820320,"Pliers, incl. cutting pliers, pincers and tweezers for non-medical use and similar hand tools, ...",11,117,207,431,826,2065,350,481,2833,3968,,8605,8284,10259,12645,13449,14163,13564,15333,20347,36817,,29990,28746,32573,31460,33338,33744,33823,35178,38811,44437
630130,"Blankets and travelling rugs of cotton (excluding electric, table covers, bedspreads and articles ...",218,64,689,970,1550,2895,5343,6552,6467,3963,,273,271,1039,1019,1786,2400,4974,4580,5135,7678,,63129,54027,46061,40863,37715,37128,38343,36901,30948,33947
210112,"Preparations with a basis of extracts, essences or concentrates of coffee or with a basis of ...",103,299,176,133,472,425,1025,904,1635,3956,,130,66941,42357,33840,6972,88996,84616,81147,78935,94473,,14841,24919,33488,26297,9780,19164,15840,13014,9842,13462
520299,"Cotton waste (excluding yarn waste, thread waste and garnetted stock)",0,26,22,135,684,1880,4073,2613,2990,3946,,16712,20613,20583,25685,34407,47814,21662,15743,9899,5619,,17731,11653,11695,10455,12793,16378,19794,16011,14856,16581
621220,"Girdles and panty girdles of all types of textile materials, whether or not elasticated, incl. ...",7871,10249,9170,8098,7692,7478,7783,8699,8037,3922,,8508,8725,8619,10377,13702,7317,9446,11067,12220,18661,,95834,106385,88255,79716,83134,86531,89425,96611,96703,83171
841790,"Parts of industrial or laboratory furnaces, non-electric, incl. incinerators, n.e.s.",190,1721,212,195,2255,321,2688,8474,600,3903,,509,802,576,592,1104,817,8813,3024,1523,28577,,80821,53577,57147,68466,67325,71407,74391,86811,87194,61820
902680,"Instruments or apparatus for measuring or checking variables of liquids or gases, n.e.s.",312,41,3499,8810,13528,11326,8737,6912,5242,3886,,46409,44188,40243,34062,55358,53706,54783,60319,55852,69194,,36987,34963,40567,47004,59118,66183,68346,53464,53677,64466
540220,High-tenacity filament yarn of polyesters (excluding that put up for retail sale),0,9,391,1561,1351,1538,1905,3038,2288,3870,,5073,4288,9047,14026,13928,21542,42662,44494,38267,133888,,24735,29673,42093,39771,42157,45805,51197,54105,39679,51115
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",1381,1615,1778,1303,4343,4003,5056,3600,3206,3866,,503,1068,3144,3414,3333,17412,7981,1914,10919,10028,,350985,315891,335101,331490,369920,417295,417766,434139,466483,506780
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",6399,3116,1630,1389,1071,1499,2957,3029,2814,3832,,8791,8376,6914,4466,13199,14782,16650,15391,27889,50912,,91598,86439,95232,86876,101677,98338,115188,113834,115816,109171
620452,Women's or girls' skirts and divided skirts of cotton (excluding knitted or crocheted and  ...,5941,5145,6918,7771,5857,5788,8535,8428,4204,3807,,40390,38992,30285,29534,28630,30481,31818,33957,25457,29935,,148478,135251,213546,176614,140863,163846,233559,187536,109946,111654
830250,"Hat-racks, hat-pegs, brackets and similar fixtures of base metal",1802,1515,1450,2189,2819,2545,3024,3577,5706,3783,,5998,6421,8234,7745,7737,8220,9669,16739,27330,93034,,56821,64097,67714,61552,60417,64873,67386,66378,71830,71955
610444,"Women's or girls' dresses of artificial fibres, knitted or crocheted (excluding petticoats)",1558,5852,5654,5088,6051,4287,5242,2439,1262,3772,,35050,36245,63162,47457,54591,48590,70582,76523,58933,90058,,81615,72475,58892,49887,49073,39012,41130,54118,42877,42112
420321,"Specially designed gloves for use in sport, of leather or composition leather",3112,3679,3638,3212,2867,3328,3887,4807,3406,3750,,43763,47435,48770,56826,49250,51294,57072,64288,68927,79573,,46889,44936,44376,39369,36504,33386,38044,36573,25465,33258
460211,"Basketwork, wickerwork and other articles, made directly to shape from bamboo plaiting materials ...",5335,5223,6106,6207,6020,5768,5110,5092,3966,3746,,48146,50976,53997,54408,51514,46057,46057,50789,49730,37564,,19360,17708,19568,16612,15545,15629,12952,11926,9400,9002
610831,"Women's or girls' nightdresses and pyjamas of cotton, knitted or crocheted (excluding T-shirts, ...",1742,1494,1770,2174,6491,4183,3392,2919,3635,3725,,25781,32693,41625,45370,58593,55810,62795,82936,58497,79552,,75874,69457,57910,54747,59161,56554,58883,50244,59361,67443
732393,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excluding ...",6428,2695,7332,7729,6429,5463,6388,5210,4298,3693,,62784,64215,82004,91188,112459,85227,148093,123159,94558,117444,,266432,268050,264972,227822,237132,213939,214012,208770,209132,268388
550320,"Staple fibres of polyesters, not carded, combed or otherwise processed for spinning",57,52,158,207,162,103,992,2076,2570,3673,,104549,107867,117612,96815,68372,73874,157028,185596,175270,211973,,45306,49569,56376,55763,73123,90758,116605,105598,85923,95608
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",2836,2422,3598,4494,2324,2107,2401,3819,4396,3652,,2964,3375,6785,18452,75382,135627,107974,136008,173131,11515,,64503,59008,71548,63412,64130,66429,63025,57304,66881,66275
852341,"Optical media for the recording of sound or of other phenomena, unrecorded (excluding goods ...",295,136,128,273,969,732,419,2008,3010,3649,,42490,39449,38705,38253,49958,49889,54293,41245,28559,28334,,295388,204049,169688,131346,127716,116161,114190,93558,93170,87661
820560,Blowlamps and the like (excluding gas-powered blowlamps),1005,952,990,872,1357,1633,1493,2731,2993,3643,,0,371,403,494,682,1281,1188,1779,1764,4248,,2294,2470,2032,1051,1542,2060,1994,3045,3912,5131
960321,"Tooth brushes, incl. dental-plate brushes",3812,3437,3450,3484,4899,5948,6199,7219,4696,3640,,58312,58481,70082,74991,71238,73511,77720,82601,75973,120494,,105372,99929,94894,103830,119605,122128,120362,125322,115629,120418
843061,"Tamping or compacting machinery, not self-propelled (excluding hand-operated tools)",30,1724,3376,1743,2178,2503,3355,2657,3169,3633,,136,2678,8243,5974,6186,7070,9513,7743,8557,11666,,7626,5129,5074,2768,3374,3949,4217,3628,4113,4273
610453,"Women's or girls' skirts and divided skirts of synthetic fibres, knitted or crocheted (excluding ...",740,1079,4706,4221,9781,8070,16411,11890,4243,3614,,37193,45255,72671,58343,82822,83489,87723,72336,47169,53492,,83131,107899,159058,110551,102856,84554,87207,88943,70551,66971
380210,"Activated carbon (excluding medicaments or deodorant products for fridges, vehicles etc., put ...",4020,3211,2677,2688,2343,2558,3537,4730,2872,3573,,24519,25188,31877,30465,23635,26022,33456,32954,29667,27333,,205702,187451,164465,141641,138549,147009,171776,165130,141283,157643
852692,Radio remote control apparatus,2195,2289,2436,2321,3030,2815,2657,3919,3186,3569,,281,101,378,191,401,1652,13481,14705,15713,142801,,120898,151482,148050,133514,161922,190411,204953,147447,98575,116811
840212,Watertube boilers with a steam production <= 45 t/hour (excluding central heating hot water ...,0,2202,4440,3305,2821,856,112,1072,1146,3542,,10169,2379,1447,2280,1005,1891,577,1053,599,3877,,16101,7458,14597,29314,11395,23667,15106,10759,12844,21726
620459,"Women's or girls' skirts and divided skirts of textile materials (excluding of wool, fine animal ...",1310,1286,1663,1935,2612,2551,4200,5048,5417,3523,,42331,36355,68354,64510,85392,62590,35200,34402,38120,21730,,53327,41410,43517,36027,37281,42836,51269,68533,59568,44775
630492,"Articles for interior furnishing, of cotton (excluding knitted or crocheted, blankets and travelling ...",275,265,72,99,74,38,132,1197,3292,3512,,416,315,188,308,1252,659,2355,2961,2095,9846,,36083,34797,34723,38083,40118,35080,29164,28768,27511,29313
620192,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of cotton (not knitted ...",3129,4198,7368,7723,6698,4132,6309,5633,3753,3507,,28455,30876,43576,39732,39782,35296,32297,32349,35482,96699,,102443,87382,80732,72705,71933,70514,80939,77484,65001,62624
440922,"Tropical wood, incl. strips and friezes for parquet flooring, not assembled, continuously ...""",0,0,0,0,0,2827,3418,4873,3848,3498,,0,0,0,0,0,0,22,619,300,6535,,0,0,0,0,0,67666,78826,88410,68124,68188
482390,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, in strips or rolls of a ...",3042,2192,3592,3150,4144,4765,4514,4820,4003,3477,,20206,21395,21495,18989,25022,32507,58138,67230,71413,74656,,197936,194164,186803,174578,179922,182669,206127,210867,208490,223073
200599,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ...""",2446,4792,2860,2792,2813,2674,3111,3107,2742,3466,,20263,25999,36832,22629,25881,30661,25265,27957,28379,23716,,411961,388245,357898,330141,344683,350775,373439,368488,378094,389174
420310,"Articles of apparel, of leather or composition leather (excluding clothing accessories, footware ...",111,703,1022,589,394,1415,3261,2874,3173,3466,,4675,8219,14981,22882,23255,24619,27331,31188,22694,40722,,134483,126421,120517,108771,113658,110619,104275,96345,70098,74017
940690,"Prefabricated buildings, whether or not complete or already assembled (excl. of wood, and modular ...",0,0,0,0,0,75,245,445,1046,3455,,0,0,0,0,0,0,216205,267323,197273,152981,,0,0,0,0,0,63118,66769,77865,57826,72294
300230,Vaccines for veterinary medicine,0,0,0,566,0,2574,2554,3045,3503,3441,,321,827,1649,3529,2355,5174,4706,4633,5368,4147,,90919,97020,72930,64731,77166,105907,81465,118840,110196,128982
911320,"Watch straps, watch bands and watch bracelets, and parts thereof, of base metal, whether or ...",3847,4079,6414,9333,7437,3562,2938,4236,3747,3427,,3704,7749,8523,6860,10348,10184,8446,10572,7365,6115,,79514,60469,78768,90493,79667,63013,69801,75083,55743,49795
391190,"Polysulphides, polysulphones and other polymers and prepolymers produced by chemical synthesis, ...",3518,3699,4136,4032,3798,4033,4557,3731,2665,3426,,3481,3773,4092,4245,4255,4711,5581,5942,5454,12220,,368626,240490,241272,230947,291888,318057,311047,328435,329809,343112
960920,"Pencil leads, black or coloured",2079,2090,2435,2806,3496,3407,2685,3114,3176,3408,,2331,2562,2479,2545,2881,2632,1910,2439,2644,3601,,4956,5446,5110,5140,5667,5576,4724,4831,4778,5543
900110,"Optical fibres, optical fibre bundles and cables (excluding made up of individually sheathed ...",3611,4037,3616,6549,4803,4085,4876,3138,2318,3399,,4051,3306,7389,7613,7365,8130,8354,7868,6225,14487,,49728,40688,36646,42393,48278,47741,48622,63268,70512,69513
691490,"Ceramic articles, n.e.s. (excluding of porcelain or china)",4470,3942,4042,4139,4278,4076,3764,3936,3184,3395,,79942,80856,89511,85136,88326,93332,101069,103262,105782,126827,,71914,91655,60578,55982,56405,54330,53057,53284,50091,70032
721710,"Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excluding ...",468,368,203,166,535,1476,3371,4018,2562,3393,,10308,4908,7915,8425,8893,18899,34895,38034,43878,62758,,67975,60224,58773,42950,50959,56865,55686,57749,49468,55068
620444,Women's or girls' dresses of artificial fibres (excluding knitted or crocheted and petticoats),1888,1984,2608,3091,4396,5201,6242,7152,8609,3388,,21597,17409,19511,30970,36733,38291,41188,50100,60526,97737,,93757,95645,80998,61318,66721,71221,76526,101409,93917,74803
950662,Inflatable balls,1991,2052,2083,2882,3408,3497,3463,3060,3049,3358,,30932,43407,60321,63483,68867,85204,90765,113012,102831,117520,,45878,44954,43530,36796,37762,36895,36347,38123,36137,39682
270799,"Oils and other products of the distillation of high temperature coal tars; similar products ...""",0,0,0,0,0,0,0,0,0,3307,,99,2,0,0,28,19,9,52,21647,43429,,248864,111940,106745,66299,37052,63841,86752,73104,44593,75260
392210,"Baths, shower-baths, sinks and washbasins, of plastics",375,394,409,436,1299,1903,2756,3154,2873,3306,,3386,2799,4340,4400,6035,6001,7141,8331,6194,5265,,66996,74021,69716,60215,69850,66788,75739,79885,68424,76443
610721,"Men's or boys' nightshirts and pyjamas of cotton, knitted or crocheted (excluding vests and ...",1726,1308,1951,2319,3071,3442,3167,2889,3222,3270,,13462,29244,17079,23285,22332,26974,27685,32293,27865,59656,,39190,35356,26369,24652,27801,26184,26170,24736,20746,24006
621030,"Garments of the type described in heading 6202, rubberised or impregnated, coated, covered ...",651,529,1245,1773,2614,3926,3197,3958,4570,3264,,7880,10802,9197,8664,12168,20737,31192,34852,95661,62421,,12449,11914,13451,16489,24733,16418,32375,20739,17688,15561
731822,Washers of iron or steel (excl. spring washers and other lock washers),790,749,619,780,1413,4053,3171,2956,2816,3257,,17990,13533,12479,9461,11171,13509,18273,17178,16600,14773,,56508,60893,60951,54410,63390,72101,67275,61110,48503,49909
630690,"Camping goods of textile materials (excluding tents, awnings and sunblinds, sails, pneumatic ...",67,59,160,607,369,344,843,1594,3101,3254,,13606,12709,4637,6742,6749,6683,6356,6659,8754,17095,,1999,2100,2474,3672,3845,3740,4912,8661,12458,16988
540753,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",2653,4240,2804,1559,4979,3137,4230,4799,2485,3251,,2,7,15,49,5238,4152,5556,6435,3689,6364,,9862,15151,16671,12380,17036,15891,16511,18863,13267,14899
560900,"Articles of yarn, strip or the like of heading 5404 or 5405, or of twine, cordage, ropes or ...",2989,2980,3100,2198,2867,2770,3020,3692,3203,3245,,4802,4654,6228,5359,5915,8361,10734,7463,6964,28519,,23354,22856,24949,21878,23748,23061,23341,24085,23668,28941
401320,"Inner tubes, of rubber, of a kind used for bicycles",734,932,839,1426,1271,2597,3683,3533,3350,3231,,8723,8574,12104,13676,18578,27561,30254,34301,41168,40798,,15294,14417,13446,12081,11855,11780,10255,10126,10148,11703
611692,"Gloves, mittens and mitts, of cotton, knitted or crocheted (excl. impregnated, coated, covered ...",1184,1501,1742,2816,2676,3016,3461,3566,3548,3217,,2457,3005,3714,5046,6297,7391,9213,10007,10271,9350,,64065,57981,60907,51738,45737,42218,45906,44179,44190,38991
