Product code,Product label,"Taipei, Chinese's imports from Japan-Value in 2012","Taipei, Chinese's imports from Japan-Value in 2013","Taipei, Chinese's imports from Japan-Value in 2014","Taipei, Chinese's imports from Japan-Value in 2015","Taipei, Chinese's imports from Japan-Value in 2016","Taipei, Chinese's imports from Japan-Value in 2017","Taipei, Chinese's imports from Japan-Value in 2018","Taipei, Chinese's imports from Japan-Value in 2019","Taipei, Chinese's imports from Japan-Value in 2020","Taipei, Chinese's imports from Japan-Value in 2021",Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
940190,"Parts of seats, n.e.s.",23608,18949,16740,14294,12241,8192,7597,8264,7890,7889,,1132891,890247,762662,618322,664992,662176,724444,662197,499170,586735,,87510,80471,87250,80426,75193,82920,77289,78226,96420,107376
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",5573,6845,4933,5376,5175,4642,4747,6623,8352,7871,,510828,536250,553434,491790,480205,548435,520464,473841,543088,588029,,14538,14006,7818,8778,11122,9853,12861,15343,22607,22842
851430,"Electric industrial or laboratory furnaces and ovens (excluding resistance heated, induction, ...",54891,27843,14602,13340,25550,9899,5953,2962,4525,7871,,70972,40328,44275,37757,49841,70280,134698,60578,46250,48529,,71272,42510,28683,27734,59680,28498,29836,17262,19117,18941
480431,"Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or ...",5306,5176,7827,6682,7250,8398,8367,7510,6985,7863,,124385,117308,120382,106183,116943,130648,136863,127777,136090,147758,,14803,18003,18043,13412,14580,16567,19473,17899,21161,26337
902519,"Thermometers and pyrometers, not combined with other instruments (excluding liquid-filled thermometers ...",6340,7079,9785,10454,9809,7219,7492,5271,6722,7843,,58960,50959,46294,43367,43640,42424,51974,51336,55982,66059,,23558,27660,29565,30819,35503,37934,36145,37078,52379,61395
481022,"Lightweight coated paper used for writing, printing or other graphic purposes, total weight ...",18903,24041,25716,22659,17889,21162,23645,14530,8147,7817,,15760,5553,4275,5567,4699,4735,14939,2348,1344,1258,,31147,34011,34874,30356,23728,24963,27566,18956,13704,12651
390710,"Polyacetals, in primary forms",8372,10733,7678,5806,5198,6292,8066,5764,4982,7761,,171192,169226,158393,141000,144241,155513,165310,143157,124064,179552,,25025,28365,29723,24599,22755,27336,30393,22834,25310,32093
731010,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material, ...",6012,3093,4057,4029,5429,6574,5711,5345,6155,7733,,15557,14687,12693,13014,17883,12511,11887,13063,12110,16286,,12070,8853,9606,8081,7811,9497,8952,7714,9789,14423
940340,Wooden furniture for kitchens (excluding seats),5225,4677,3753,3863,4611,5556,7066,6489,5718,7714,,3327,2106,2918,1548,1824,2123,2561,2437,2257,3669,,26129,32056,36126,34926,35277,32321,34248,35673,30431,37274
854071,Magnetrons,1275,2437,2837,4870,3903,4854,4933,4571,5641,7682,,25069,24811,26425,27316,26105,27914,32208,31029,32513,40254,,3769,4965,5291,7486,6032,6586,6857,6434,7737,9723
722692,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further ...""",13394,10530,9558,5408,5074,4947,8148,7125,7849,7642,,81710,78495,101613,98426,112156,113115,141567,121201,111194,141180,,15647,12641,11667,7803,7181,6917,10488,9073,8939,9674
401019,"Conveyor belts or belting, of vulcanised rubber (excluding reinforced only with metal or only ...",4844,4645,5010,5663,4419,4008,5503,6013,6740,7584,,27443,25702,17253,14852,14265,13051,13174,13232,12302,14368,,6501,6361,6975,7567,6384,6359,7811,8366,9070,10517
722699,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled ...""",629,551,1129,2279,1075,2045,3461,4736,6996,7568,,45138,42448,51334,46944,41186,52946,56470,48983,43037,59961,,2843,2737,4487,5908,3275,3197,5486,7194,8806,10061
851610,Electric instantaneous or storage water heaters and immersion heaters,154,16,35,7,24,130,5645,5958,6607,7545,,4397,3788,5044,4779,7987,10066,6481,9061,7553,7705,,2425,1924,3441,1786,2056,2807,20453,28029,31413,42016
320650,"Inorganic products of a kind used as luminophores, whether or not chemically defined",19508,13483,20498,19146,14474,14027,9373,7115,7035,7544,,264808,150215,114487,79005,74015,65027,49943,48718,45091,64359,,34872,36508,35559,27533,22200,21572,14868,11981,11470,14731
721650,"Sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded ...",3309,4375,4157,3421,2870,3853,7171,9220,5512,7530,,33014,35637,29758,22359,18180,18592,14284,8374,7351,12101,,4454,6733,6047,3720,3136,4619,8528,11320,8829,9185
280110,Chlorine,4506,4946,5011,4832,4956,6056,6080,6007,6983,7526,,9714,8496,8878,9475,10515,11795,12342,11838,12154,12209,,5077,5542,5906,5971,6158,7337,7475,6994,7460,8043
280200,"Sulphur, sublimed or precipitated; colloidal sulphur",423,815,802,45,1133,1747,1815,960,1786,7525,,1025,777,782,466,608,544,355,349,327,433,,586,2621,1118,524,5772,4008,2703,1589,3296,14711
160552,"Scallops, incl. queen scallops, prepared or preserved (excluding smoked)",0,647,2758,2222,3277,3733,5017,5478,5640,7495,,108165,145578,123451,130431,118404,83878,86859,69417,43522,73641,,0,1215,7483,7195,9565,9643,12072,17264,13927,16602
902214,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excluding for ...",5363,7913,6557,7974,6505,11359,6870,10314,10099,7482,,440040,363888,331217,292096,281328,306358,348514,294148,262555,233300,,27642,20074,20435,22914,32235,36421,42919,38829,50618,40033
854233,Electronic integrated circuits as amplifiers,6050,1483,2013,2289,3010,4282,5685,5450,5415,7479,,769849,538957,375074,472990,508773,475162,403542,306824,283186,273056,,94235,96172,127471,155416,211834,173181,181513,187242,210691,222661
750610,"Plates, sheets, strip and foil, of non-alloy nickel (excluding expanded plates, sheets or strip)",960,936,8495,4049,1699,3140,5689,8454,5892,7460,,70536,95703,43136,34521,34543,31836,51477,62695,48430,52906,,5102,9347,38644,16907,17609,14196,23009,19420,16278,20679
740329,"Copper alloys unwrought (excluding copper-zinc base alloys """"brass"""", copper-zinc base alloys ...""",2219,2510,2070,1467,1278,1136,2393,9459,10109,7453,,94540,55156,66720,90304,52796,38741,48211,45991,43855,58726,,6176,5739,5211,5708,4617,4689,7855,16711,24177,16670
701400,"Signalling glassware and optical elements of glass, not optically worked (excluding clock or ...",36185,11754,6873,8807,6471,7493,9785,5828,5879,7445,,492096,542831,130361,101709,169746,154968,148445,104654,81169,103189,,58822,36607,30789,33646,38593,28241,32243,26478,22505,33846
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",13724,10334,11246,10261,9661,12174,13275,10028,4956,7441,,2922154,2360659,2419739,1886539,2019132,2527459,3135938,2970964,2640170,3422000,,57363,58109,52965,54394,57520,61692,62860,55956,52843,64490
846024,"Grinding machines for finishing metal, numerically controlled (excl. flat-surface, cylindrical ...",0,0,0,0,0,8181,7451,10895,5205,7435,,0,0,0,0,0,164395,225688,201514,156523,146123,,0,0,0,0,0,28487,19294,36272,15453,22299
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",6964,5964,6135,5551,5554,5273,5511,4739,4362,7434,,160310,151607,144081,123299,139675,152520,180630,184191,169195,212484,,106003,94762,106349,88960,76459,88921,111139,85339,72646,91465
730451,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other ...""",6719,4351,7161,4908,3648,3888,6766,3840,5944,7410,,107579,95252,112696,90252,81838,77683,76460,64801,49108,63770,,13011,12865,14520,10113,9183,11351,15473,12115,13810,18886
700319,"Cast glass and rolled glass, in non-wired sheets, not otherwise worked (excluding glass coloured ...""",66242,46641,35379,25619,18705,16513,12317,12263,6007,7351,,111093,47926,39479,51359,64040,76024,59810,40723,14029,25445,,246120,186436,75733,109401,135365,64959,68353,64372,66786,78968
901290,"Parts and accessories for electron microscopes, proton microscopes and diffraction apparatus, ...",2833,2286,3103,3306,4165,4048,4851,5559,9027,7338,,78471,71801,65443,67597,66021,74222,66518,66620,71857,80205,,7178,6264,9257,12541,12441,15164,18161,22628,32192,23986
810294,"Unwrought molybdenum, incl. bars and rods obtained simply by sintering",287,1,0,2,1063,13783,10480,14193,13283,7296,,400,0,0,2,2460,20344,20250,26044,21353,18937,,5866,56,63,3,1084,14266,10584,14778,13656,7296
130219,"Vegetable saps and extracts (excluding liquorice, hops and opium)",2629,2269,2604,2512,3067,3484,4253,4510,5597,7285,,24490,24050,19137,20238,23706,23094,26397,25231,29493,33308,,22886,31914,32827,25535,28797,30419,33727,38959,43397,51298
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,6560,3753,6527,3704,6412,7358,7130,5557,5854,7266,,64444,53203,70902,79563,140881,171797,201348,139974,97447,75025,,83209,78854,66270,75614,74327,80211,95912,98631,127839,148098
292249,"Amino-acids and their esters; salts thereof (excluding those with > one kind of oxygen function, ...""",4418,4083,4263,3749,3590,4154,4440,5079,5975,7251,,137159,135974,134973,104893,108007,97648,107747,102938,99630,115970,,23008,24118,25596,22939,23679,25013,27975,26652,34356,37419
380210,"Activated carbon (excluding medicaments or deodorant products for fridges, vehicles etc., put ...",4806,5908,5006,4856,5228,6329,6300,6029,6757,7246,,76213,78473,79305,78089,71271,75776,84855,91466,91909,105355,,27158,28819,31255,33685,32917,34872,42598,44241,51561,58355
470311,"Unbleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving grades)",2691,4142,3942,3928,3809,4383,4628,3678,4220,7240,,62272,72531,78373,80386,84396,93761,96411,62438,71479,80766,,44143,48663,57362,49632,46577,53182,77189,44916,45913,59429
901190,"Parts and accessories for compound optical microscopes, n.e.s.",4796,3901,4072,4740,3880,6416,6028,4434,5380,7230,,143743,116442,114150,109191,110217,122370,152490,150867,135712,166904,,9070,10520,10157,9370,8934,11703,11647,10979,11908,15515
730722,"Threaded elbows, bends and sleeves of stainless steel (excluding cast products)",2670,2869,2752,3160,2858,2526,4647,5900,4840,7207,,9595,8196,8346,8903,10411,11607,11078,8019,8702,10353,,13168,12919,13080,13441,13415,11607,14009,15636,14277,21688
691010,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",6871,6532,7126,6651,6519,5635,6200,6946,8225,7202,,1165,630,504,345,555,433,543,344,1364,333,,44419,46012,58483,59712,50347,49181,54589,56848,62575,70701
901849,"Instruments and appliances used in dental sciences, n.e.s.",5983,5965,6612,5331,6102,4760,5025,6208,6630,7046,,217985,209451,213238,209480,215521,212811,230705,228812,197134,267374,,28198,32953,32995,28660,29665,31300,34714,38139,38807,37809
901812,Ultrasonic scanning apparatus,5867,5360,5637,7634,6404,5614,6145,8138,8133,6982,,544598,463656,455221,405147,406800,410020,444426,431254,353105,406893,,19209,19106,19863,23008,22479,24094,23567,31565,36792,31361
843131,"Parts of lifts, skip hoists or escalators, n.e.s.",6263,36400,4925,5239,10154,4195,5538,3694,6215,6967,,149087,136865,132927,130591,132872,144553,129475,108654,83132,93429,,41084,70224,44678,39534,42025,37432,43851,39413,60221,78118
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",11145,12133,12853,8969,5664,6584,6651,7224,7513,6959,,1144543,803969,1363134,1621309,2280223,1676821,1324684,1052985,409648,829483,,367886,349661,418621,383401,326878,367144,463179,512179,378815,571634
722691,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further ...",5274,4741,6630,6871,7398,7914,7854,5452,5813,6954,,74769,72617,71401,68865,63819,64238,66950,67764,52983,66862,,21762,20699,20538,18871,19366,21333,24749,17954,15615,22886
740821,"Wire of copper-zinc base alloys """"brass""""""""",3948,5709,7058,6084,5587,5824,6511,4977,4032,6953,,59422,64769,59704,54043,55130,67336,77625,55120,42363,79352,,6890,8034,9479,8516,6738,7200,8091,5956,5254,9108
853229,"Fixed electrical capacitors (excluding tantalum, aluminium electrolytic, ceramic, paper, plastic ...",22363,11965,8546,7477,6097,6928,7457,11967,5962,6918,,148845,100821,74398,53308,59763,70583,83701,70678,74967,70040,,39607,27145,23769,22724,116713,109802,23815,23477,17950,22111
846620,Work holders for machine tools,14061,6935,8186,7298,7629,9833,8168,6687,6123,6910,,121673,96751,105338,89964,85958,99657,140732,145200,122466,132261,,33094,24866,26649,22444,22882,25745,23003,22625,18266,21828
842123,Oil or petrol-filters for internal combustion engines,5434,5028,5567,5113,4953,5266,6253,7095,6415,6855,,339752,302108,275757,211731,204200,215969,223153,211334,179551,225690,,26094,27789,30310,30036,30424,33438,36739,36662,37288,41592
701990,"Glass fibres and articles thereof, n.e.s.",4505,2188,4018,2675,4077,3303,5104,4995,3951,6850,,64277,44381,39653,30508,33329,34818,29528,33477,33860,39994,,19732,15813,16292,15115,15865,15639,18716,16613,16002,22443
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",7619,7429,7187,6246,7448,5641,6584,6214,6499,6797,,922946,913315,876139,791304,790676,803223,829445,834862,736044,955422,,14387,15764,16954,14701,16526,15185,17498,16962,18274,23371
900319,"Frames and mountings for spectacles, goggles or the like (excluding of plastics)",5050,8647,7517,4897,4794,4013,4963,6130,6741,6776,,104602,89003,86277,76091,81084,87607,102149,120739,88035,119553,,19981,22757,22630,18119,16415,15611,20032,22742,23091,23078
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",29448,15488,10459,14791,12749,12753,10488,7613,5903,6745,,10589,8414,15209,17156,24567,25268,23541,29143,37603,24040,,143640,138351,79679,99126,94550,123315,120962,128427,132204,199733
284310,Colloidal precious metals,7316,911,3235,3325,3628,4048,3927,3946,3970,6744,,28786,42657,51606,38817,27279,31332,55651,70473,89227,220244,,7953,2019,3802,3820,4115,4552,4275,4252,4446,7436
854089,"Electronic valves and tubes (excluding receiver or amplifier valves and tubes, microwave tubes, ...",4466,4543,4374,2012,3596,4364,6980,2634,3753,6699,,26823,26982,19632,12782,11058,7760,7143,4780,4024,4250,,8706,7741,8295,5145,7163,9599,13321,7366,8115,12385
283325,Sulphates of copper,7777,7864,7076,6308,5748,6943,6208,5366,5647,6685,,11724,12340,10319,10738,10640,13098,11960,10059,11305,16915,,14093,15918,13160,9865,8611,9512,10048,8841,9067,11785
848110,Pressure-reducing valves,4390,5435,4686,3994,3755,5900,5056,4321,4653,6668,,182806,148383,152670,131523,158152,126724,118665,110572,127857,172150,,20075,23990,31650,34910,42152,48788,59002,46864,52567,73878
731824,"Cotters and cotter pins, of iron or steel",5924,5050,5626,4477,3786,5168,5741,5615,5244,6602,,30469,29050,29507,28412,29097,31615,43668,37151,33971,42603,,8562,7956,8914,7310,7223,8842,10020,12769,10556,13783
848230,Spherical roller bearings,9856,8427,7678,8636,7558,9768,9170,7302,6200,6590,,279899,220306,227329,231459,214958,217839,238975,244060,214467,219245,,33093,28156,31047,27520,21750,25059,25840,22940,22610,24365
731414,"Woven cloth, incl. endless bands, of stainless steel wire (excluding woven products of metal ...",5714,6234,9222,9227,7050,6929,6630,6298,7044,6560,,50663,47628,49814,46958,48597,48152,49368,50877,61032,70293,,11755,11185,14246,13376,9816,9501,9111,8676,9353,9270
540244,"Synthetic filament elastomeric yarn, single, untwisted or with a twist of <= 50 turns per metre ...",2886,3834,3136,3588,2315,1442,1180,1270,2340,6539,,66071,77812,65484,60793,57961,63147,63940,61922,42478,63488,,34223,44432,40613,66056,73441,92228,90155,74265,73572,172804
280700,Sulphuric acid; oleum,10730,7189,5159,4346,4083,5580,7121,6435,3561,6524,,120151,57074,55394,61007,42905,32148,57011,81649,34955,92892,,11925,8490,5983,5350,4478,6070,8221,7711,5437,8712
392049,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",9462,4309,5784,4702,6455,9502,8015,4359,4967,6519,,106055,96593,97961,89345,99287,102742,106055,83049,80327,106002,,29874,30576,36042,33106,36084,43710,43932,42134,48746,72098
290819,"Derivatives containing only halogen substituents and their salts, of phenols or phenol-alcohols ...",13998,8956,8302,7250,5078,5031,4835,6974,6873,6513,,39084,35758,26118,24655,28224,33149,33322,40161,40228,45176,,92364,78144,86848,86513,104754,108305,106617,92629,84598,130446
151790,Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...,2708,4684,3921,3657,4202,5536,6028,4851,6020,6510,,13526,10638,9344,8240,8351,9650,9521,11068,11908,14978,,11660,12644,13382,15372,18820,26046,29798,31732,34263,43977
420222,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",3319,2746,2313,4020,5798,5353,5457,5581,6464,6505,,1743,1910,2064,5337,17733,24120,20467,24398,32074,48609,,158928,131193,128519,127797,129917,131303,142255,169796,172323,190542
293369,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, ...",7685,7356,7394,6303,4003,3528,3014,2899,4503,6487,,115955,112326,89015,77592,88000,106646,111484,107553,90556,107917,,25856,24151,26534,22969,48567,48960,59788,75177,48942,68155
841939,"Dryers (excl. lyophilisation apparatus, freeze drying units, spray dryers, dryers for agricultural ...",5127,8074,4553,22879,4274,5735,12859,22335,3938,6481,,225565,161005,124743,101246,135317,165014,140284,163150,107384,86921,,27233,21340,30124,47304,24182,42392,38918,45454,22564,36596
281111,"Hydrogen fluoride """"hydrofluoric acid""""""""",2542,2248,1033,1372,1092,1161,1055,1274,3593,6459,,57324,46780,42832,33245,36344,46698,75979,54131,25657,31267,,67606,66175,68528,60673,56795,77755,95913,88262,79714,109129
854470,"Optical fibre cables made up of individually sheathed fibres, whether or not containing electric ...",3379,13122,5018,2171,6336,10331,3718,2945,9423,6457,,213253,166318,176650,127877,211199,232291,190783,186777,226063,288444,,40259,51679,59891,41874,75032,116992,88881,104028,103772,86164
851230,Electrical sound signalling equipment for cycles or motor vehicles,3283,2484,1982,1795,3248,3036,2032,2468,4201,6447,,29325,31930,39544,33289,41049,47443,56766,48526,41042,51922,,8484,8692,8479,7638,8817,9110,7512,12549,14617,17716
844590,Machines for producing textile yarns and machines for preparing textile yarns for use on machines ...,636,2370,2781,7988,5592,2819,3679,5910,1001,6430,,29841,46440,20132,21739,20003,23713,36345,38197,17728,17671,,15404,8572,7922,11347,7904,6569,6705,8252,3925,9012
330749,"Preparations for perfuming or deodorising rooms, incl. odoriferous preparations used during ...",2314,1823,2129,2761,3659,4339,4972,5454,7006,6418,,26197,20719,19287,18083,24059,31132,38765,40949,50072,50738,,16893,17598,17898,19534,22217,41196,46753,61296,69493,70180
853540,"Lightning arresters, voltage limiters and surge suppressors, for a voltage > 1.000 V",2944,1826,2366,2863,2472,1604,3035,2761,5549,6408,,29280,21800,21134,17184,14176,16361,12976,12591,15895,27289,,9022,6588,6765,5918,6029,5762,6790,13094,30563,11699
760692,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm (other than square ...",16890,13801,13217,7485,5942,7395,6517,4247,4341,6402,,193376,162216,149213,164492,98250,96372,104863,47390,34475,18772,,73379,65110,54991,43873,31287,41738,50999,38344,32147,44063
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",4110,6514,5287,5025,7514,4807,3532,2521,6400,6370,,66059,85506,105920,97040,111239,113010,123558,85484,85131,92910,,24526,31388,25801,23957,23987,23361,25826,32065,31191,38710
540220,High-tenacity filament yarn of polyesters (excluding that put up for retail sale),605,926,805,413,507,1150,1957,3557,5974,6367,,41215,28746,26654,23697,29525,27212,30323,35964,34520,37889,,16708,18613,18275,14800,12410,14805,19531,16403,19303,24483
740721,"Bars, rods and profiles, of copper-zinc base alloys """"brass"""", n.e.s.""""",7173,8241,7423,5661,5085,5697,6408,4300,3621,6340,,192413,203877,195051,149089,133582,150061,157937,133657,97728,196646,,21688,22087,20053,16570,14697,15284,20643,19184,19835,28061
846694,"Parts and accessories for machine tools for working metal without removing material, n.e.s.",13288,9512,11721,8742,7975,9724,8746,8259,5388,6326,,491227,375354,288776,287699,270146,308148,333352,295446,217553,241809,,33346,36208,40787,32373,35978,41963,42416,36844,36489,45030
811292,"Unwrought niobium """"columbium"""", gallium, indium, vanadium and germanium; powders and waste ...""",1518,712,3720,8301,4934,3812,3829,6138,6520,6324,,39591,47151,55301,29431,13210,9208,8409,6384,10450,9635,,18449,31966,53807,33869,21103,21838,87272,80036,46115,59418
841360,"Rotary positive displacement pumps for liquids, power-driven (excluding those of subheading ...",10056,8038,9071,8407,7697,6632,7318,6944,7427,6303,,675254,640742,541376,464930,490356,573910,623378,648067,615328,774066,,23966,20631,24834,25395,20159,21971,23301,21927,24588,29823
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",71688,37578,22931,34131,29647,30802,41933,32333,20774,6252,,191741,190670,154718,143448,150729,143430,139374,99193,53646,32139,,183477,108792,88351,91572,70019,72128,75302,61091,84844,73630
820770,Interchangeable tools for milling,6653,5697,6075,5888,6077,6230,6330,5934,5163,6247,,154470,150500,166337,179868,175929,192534,223394,206576,169235,200556,,20934,19644,20247,19496,19603,21033,23713,21250,20553,22542
901480,"Navigational instruments and apparatus (excluding for aeronautical or space navigation, compasses ...",9797,5195,6853,3109,3001,4328,3534,5280,5930,6236,,161654,128042,136832,157001,126234,115496,117600,124713,99451,109470,,11459,6710,9736,6689,7380,6223,7280,8553,11223,13037
852610,Radar apparatus,6601,4619,12080,8877,3877,6319,3343,4449,5774,6235,,151262,117369,139299,170430,227228,306229,347418,325508,280589,400903,,7361,7113,16798,12977,8591,12804,7326,16710,18799,34447
853590,"Electrical apparatus for switching or protecting electrical circuits, or for making connections ...",1135,1890,1798,2137,2301,2736,3229,5791,4898,6225,,89271,58119,50664,81036,77838,101730,68475,78196,71998,55805,,8249,6598,7440,8263,9301,13105,14863,26924,39457,52791
850590,"Electromagnets and electromagnetic lifting heads, and their parts (excluding magnets for medical ...",5556,4920,5535,5714,5361,3886,4344,4764,12210,6220,,421395,442793,438464,412350,434770,422720,421254,413578,575291,486350,,23223,25919,27850,25300,21190,25328,25803,25547,33034,32716
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",2932,3157,3582,4005,4716,4425,4729,5087,5271,6215,,4202,4178,6795,14571,12584,9042,10167,23349,28470,37377,,29741,32538,38755,35730,37902,39179,41611,46979,46232,55327
680510,"Natural or artificial abrasive powder or grain, on a base of woven textile fabric only, whether ...",10382,10847,10916,6290,6119,6397,5943,5525,5196,6195,,30084,26700,27976,25635,30139,31137,31346,31574,29394,32125,,33371,24197,21784,17295,17089,17425,16998,15862,15267,20036
851140,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition ...,5662,7045,9718,8866,7564,7477,7426,5713,5276,6173,,735668,740427,763205,700107,716952,742145,741376,641730,556449,665997,,11970,16910,27310,25798,26793,29944,26191,19340,18901,21836
721730,"Wire of iron or non-alloy steel, in coils, plated or coated with base metals (excluding plated ...",19822,10657,7704,6774,6510,5964,5672,5378,6235,6173,,74102,41214,35701,27468,26701,25878,27307,21869,20293,27021,,49205,52556,55431,51951,52415,42089,26053,24375,24981,26864
220870,Liqueurs and cordials,1944,1468,2620,1226,1837,2046,2773,3256,3737,6159,,25717,26080,26416,27735,38815,44382,51379,59091,80791,110003,,5342,5310,6826,5250,6383,6754,7685,9158,11912,14158
20230,"Frozen, boneless meat of bovine animals",0,0,0,0,0,1116,4262,5122,4991,6151,,43977,32464,38005,40284,57117,85053,102078,143380,134876,256857,,366408,435831,461375,438470,482490,525494,561916,608553,608930,619319
650610,"Safety headgear, whether or not lined or trimmed",307,533,789,778,1330,1837,2345,3199,4789,6150,,112028,110850,114376,102210,127541,130336,129000,151597,166797,202463,,4039,5206,7124,8866,14261,14539,16179,16914,20534,27489
853230,"Variable or adjustable """"pre-set"""" electrical capacitors""""",9712,7886,2600,1699,2213,4541,8023,3602,4255,6126,,19662,15133,14384,13445,18550,33156,35862,25527,33153,46935,,66663,53824,11327,7205,8319,12823,29868,16571,17304,20871
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,367,1110,1402,1873,6121,,0,0,0,0,0,93920,84189,96584,93327,125334,,0,0,0,0,0,3300,22885,27188,29805,45751
340399,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",5726,7578,7874,5856,5000,4834,5132,6329,5577,6103,,521123,483066,492569,416326,444614,457944,459745,435813,387156,549448,,40821,48532,47162,43223,47217,56939,57961,62115,53598,65071
210310,Soya sauce,2823,2494,2905,3739,4301,4255,4839,4986,5460,6100,,45977,43779,48874,51126,60915,63793,69997,70480,70398,83344,,3723,3559,4144,5117,5822,6200,7029,7395,8052,9323
400591,"Compounded rubber, unvulcanised, in the form of plates, sheets or strip (excluding rubber compounded ...",2102,1796,1583,2156,2418,3255,3739,3714,4467,6083,,23854,16004,16130,13191,14345,15506,19941,19356,17479,20256,,6219,5667,5369,8534,6720,7375,7653,8687,11193,17033
901832,"Tubular metal needles and needles for sutures, used in medical, surgical, dental or veterinary ...",3522,3879,4278,4307,4528,5251,6044,5906,6124,6058,,229109,202624,194033,183223,194636,188399,197686,209144,213397,232978,,15362,16929,18446,20022,22237,24393,26455,25600,29678,29036
391390,"Natural polymers and modified natural polymers, e.g. hardened proteins, chemical derivatives ...",3725,5094,4922,5613,6096,6047,6194,5894,5197,6054,,46667,36798,45510,42671,48752,47495,57548,50111,56722,62389,,13383,15764,14915,17885,18824,19889,23929,24839,29037,31651
848240,Needle roller bearings,7636,5347,5758,4808,4576,4762,5344,4858,3908,5979,,271510,261975,252189,228920,236104,267737,278503,265096,212251,267927,,12112,9701,11426,9698,9042,10113,12098,10485,9115,14613
848420,Mechanical seals,9252,6881,5301,4964,8615,9865,9388,5913,7516,5950,,175970,153977,159606,156009,155535,162908,169544,160408,139535,146780,,21830,18411,17598,16220,20123,23425,22323,22229,20609,22410
846490,"Machine tools for working stones, concrete, asbestos cement or similar mineral substances or ...",8448,17109,7982,8798,12892,7231,3952,2095,1422,5945,,130588,113599,134067,97803,117018,145892,159385,169616,89145,110730,,19462,34018,19597,18381,18812,15472,10899,10006,7849,14337
321000,"Paints and varnishes, incl. enamels, lacquers and distempers (excluding those based on synthetic ...",12356,12614,9787,8069,8621,8303,7474,7562,6692,5945,,32267,23124,18650,17560,25387,30920,41296,29765,18888,32900,,40821,38270,39659,33490,26265,26582,31089,29298,28284,29070
870891,"Radiators and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",11365,5081,4801,4855,4606,5014,5248,5205,4706,5940,,248705,231124,221853,190448,191356,198367,223346,201382,181173,248507,,29783,26928,28689,28675,26489,28380,28518,31185,31506,37539
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",7736,11271,6802,4243,4628,6606,5283,5435,4378,5939,,216174,221821,208005,161387,165220,180214,191341,171887,129789,160377,,23817,24455,23599,20228,21664,23651,16510,17655,14986,18897
860719,"Axles, for electrical purposes, and wheels and parts thereof for railway or tramway locomotives ...",1565,16704,17375,2869,8114,419,1749,4271,3846,5935,,192111,97907,149627,143303,100956,95570,86054,66166,58172,43100,,3300,20269,19653,4819,10876,3249,4351,9106,7578,10110
