Product code,Product label,Australia's imports from Germany-Value in 2012,Australia's imports from Germany-Value in 2013,Australia's imports from Germany-Value in 2014,Australia's imports from Germany-Value in 2015,Australia's imports from Germany-Value in 2016,Australia's imports from Germany-Value in 2017,Australia's imports from Germany-Value in 2018,Australia's imports from Germany-Value in 2019,Australia's imports from Germany-Value in 2020,Australia's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",1601,1715,1696,3153,3402,3391,4459,7458,7077,9534,,487919,506580,546929,509752,518911,561181,652773,624684,708128,718434,,63416,68623,78748,81872,78953,84204,100414,84760,127894,98240
842131,Intake air filters for internal combustion engines,5478,6123,5650,5034,6491,6338,7676,8321,8227,9532,,258802,276919,283226,252437,231675,254512,287641,270901,282243,566884,,70839,72200,73736,69564,65770,71591,83817,85668,89179,96670
300420,"Medicaments containing antibiotics, put up in measured doses """"incl. those in the form of ...""",25525,22300,23065,18152,7144,5942,10689,6020,10127,9490,,1478121,1376588,1312838,1132410,1069540,1143584,1297524,1372693,1303688,1340620,,480537,410277,291815,180652,160070,181173,142966,140354,142759,114802
846789,"Tools for working in the hand, hydraulic or with self-contained non-electric motor (excluding ...",8657,9765,8517,7048,6777,7739,8153,6188,6835,9339,,301124,339623,330710,289515,316826,328876,354173,330279,353280,429303,,110108,103152,107537,102779,88989,100952,87183,70064,80590,99727
392490,"Household articles and toilet articles, of plastics (excluding tableware, kitchenware, baths, ...",1260,2075,3621,1899,1745,3125,4058,5812,5766,9139,,293522,327491,373524,339697,335010,352824,392345,379401,441940,471781,,153730,167726,203567,212254,207863,242364,263515,264387,271006,323949
841990,"Parts of machinery, plant and laboratory equipment, whether or not electrically heated, for ...",6365,10398,5557,9590,4113,5437,5648,7362,5505,9085,,848684,849054,872568,697824,634654,734313,727420,723706,625577,711780,,70376,124271,162301,142406,61761,78046,64610,76516,66441,85222
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",7798,6151,5669,5339,6908,8706,8368,7994,6935,9083,,1322450,1804918,1884287,1781958,1931623,2135512,2351625,2466286,2460418,2676858,,234088,237304,254166,278917,291337,262758,309813,275842,281137,344631
940540,"Electric lamps and lighting fittings, n.e.s.",12909,9892,10522,11164,11362,13870,12959,13445,9422,9056,,1425042,1520367,1677327,1356589,1434143,1530576,1603221,1525251,1272926,1461572,,248361,293996,289420,291861,296342,322205,365023,360410,361357,467702
843890,"Parts of machinery for the industrial preparation or manufacture of food or drink, n.e.s.",14703,5822,6353,4453,7406,6230,6272,9306,6623,9033,,466195,494154,467781,383162,442511,461225,458312,437949,457079,486454,,44121,34783,46412,42517,44668,46775,43629,53704,45581,54498
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",3684,2787,2822,2013,3234,2877,2159,2896,1776,8993,,385188,387721,426189,367836,396377,489080,565598,607127,512172,558187,,89646,91699,160536,108763,116009,101369,115533,94524,85264,111988
845121,"Drying machines, of a dry linen capacity <= 10 kg (excluding centrifugal driers)",1181,1013,1085,560,59,157,143,90,2244,8916,,188812,190072,207198,179149,207766,233127,241344,244710,258624,310339,,68153,62423,59481,68274,70280,81502,80762,84120,118109,135906
870422,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",36280,17220,9257,6790,7323,6436,7018,6287,2808,8795,,1569284,1756218,1474435,1484333,1604215,1427419,1550607,1404442,1172091,1256242,,692226,571454,522099,436688,477792,506171,581778,406366,368800,687652
310420,"Potassium chloride for use as fertiliser (excluding that in tablets or similar forms, or in ...",8347,7584,4581,7021,9331,7607,7208,11156,8319,8734,,1849895,1566943,1239722,0,0,0,0,0,0,0,,94825,93079,92519,113911,79145,83313,135488,133953,117961,185006
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",4864,5974,4251,3796,3280,4348,4530,5445,4445,8728,,689284,704892,714472,636949,699927,831724,896476,888658,968495,1180097,,62942,53259,74501,56863,40820,69871,72220,69316,62397,118523
902680,"Instruments or apparatus for measuring or checking variables of liquids or gases, n.e.s.",5138,3814,4291,2728,2601,3340,3457,3537,4574,8704,,699461,747212,760537,708446,810583,871389,874379,796712,708825,801980,,41680,62164,56773,39699,28920,31398,31875,40823,31154,37411
940290,"Operating tables, examination tables, and other medical, dental, surgical or veterinary furniture ...",7445,11153,8960,13323,11085,10051,11279,11269,10448,8629,,536787,562201,572711,501779,493823,519657,575916,582103,562110,602839,,57081,64800,89520,85782,85949,96526,97672,96999,125127,108141
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",9369,6928,8374,5272,5370,6956,9855,7053,8079,8617,,580395,572617,603751,511453,494937,528424,617482,586112,532762,662908,,158168,141145,128609,188275,79146,99150,125439,102800,108378,131888
902219,"Apparatus based on the use of X-rays (other than for medical, surgical, dental or veterinary ...",14182,5107,4951,5638,6516,7163,5934,17140,10878,8567,,595347,656474,602784,516080,513837,572635,589789,557913,460260,493471,,37027,21271,26443,23970,27943,29622,35825,48170,35644,47861
842810,Lifts and skip hoists,11322,3807,5697,6692,7553,4352,6384,5341,3372,8533,,585592,629314,567955,497824,507521,549094,677448,637616,608381,570901,,136608,134078,149073,160040,159231,158768,182016,171120,164120,177611
400821,"Plates, sheets and strip, of non-cellular rubber",5196,3066,3257,2713,3402,3240,4503,7278,7366,8447,,564642,570786,587062,514872,531078,570464,582707,537182,521950,599827,,38361,28782,35128,29391,31696,32238,36140,40152,36851,41617
210112,"Preparations with a basis of extracts, essences or concentrates of coffee or with a basis of ...",3457,2169,996,2088,2065,2664,3902,6456,2704,8367,,82501,87476,84369,75403,95141,116292,125036,119174,128899,135063,,7992,13882,17741,15266,8798,9425,12246,16294,16585,23675
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,6582,7181,7566,7057,6049,7253,8241,8210,7286,8338,,1339833,1418743,1524868,1330425,1331186,1516301,1641790,1546394,1558570,1861434,,33535,33507,33990,31481,42732,43165,45057,43945,42380,47446
902000,Breathing appliances and gas masks (excluding protective masks having neither mechanical parts ...,7171,7186,7399,4534,7573,9807,18717,7500,5343,8327,,194497,207230,220480,220861,248732,287187,330964,330842,324225,302035,,39205,40148,35984,33429,35238,40363,64094,50400,59215,65822
870423,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",45385,13741,12724,3361,5699,13783,23599,15806,6213,8314,,3954178,4024896,3581334,3063433,3197884,3282674,3831606,3655211,3056181,2863315,,367621,273142,288856,210943,274549,358356,517413,329894,247251,511495
848220,"Tapered roller bearings, incl. cone and tapered roller assemblies",8533,7499,10840,9736,7264,8195,6758,7343,7148,8273,,643125,742624,724960,564766,541495,664762,708882,713545,725885,800907,,106012,86775,78021,64866,63595,77655,78297,78266,90340,99493
381190,"Oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive preparations and ...",7771,8253,8319,7445,5024,3694,3643,3477,5656,8255,,498895,558632,620155,524864,496313,535391,575268,541507,478948,534793,,26306,24759,29256,26249,24210,23728,24846,25837,27795,23182
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",5676,6127,6303,5224,5131,5952,6067,6682,6531,8252,,710150,768949,801750,711362,752888,798293,878025,869709,815091,918374,,84053,79026,81094,81877,79252,88076,95227,94529,94004,111181
391000,Silicones in primary forms,7037,2143,1467,7783,8167,8795,8978,7464,7419,8233,,0,0,0,0,0,0,0,0,0,0,,26136,23273,26391,24757,26794,25217,31290,23142,26094,32686
850490,"Parts of electrical transformers and inductors, n.e.s.",6682,2687,2625,1454,3477,2887,2618,2755,6191,8120,,1520577,1283840,1144297,909617,840809,930975,1173938,926572,881764,958842,,39214,39299,31747,44715,32528,66641,39464,33182,45653,55715
844313,"Offset printing machinery (excluding sheet fed offset printing machinery, sheet size <= 22 ...",11670,32596,22243,16117,17629,19309,5837,5056,1616,8006,,1854315,1751933,1541630,1309743,1315655,1472642,1404949,1310571,1071902,1256477,,17922,62443,35454,21607,24507,27130,9723,9229,3859,11877
940190,"Parts of seats, n.e.s.",12187,10456,9359,10617,9707,9647,8688,8776,5274,7930,,1851707,1881298,2019150,1904314,1862242,2024414,2210231,1989618,1630247,1819626,,150852,155240,144476,144962,144821,113256,91176,92306,74605,83792
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",3844,3531,4521,5608,5577,7190,8828,9568,5354,7920,,3102528,3191470,3453620,3053659,3177081,3450840,3525901,3107899,2613765,3164698,,120547,126920,119107,112925,106567,85919,52601,55604,49463,62664
841290,"Parts of non-electrical engines and motors, n.e.s.",7101,7797,9222,5615,22851,4034,15271,8328,7403,7881,,635860,827261,997995,764872,778851,690113,914499,891286,765301,652917,,84547,79035,111799,44962,109020,150398,310934,336110,248853,186742
190532,Waffles and wafers,1085,3668,6498,9114,8016,8013,6871,6739,6313,7805,,319500,332191,354524,329013,339701,342653,369337,383454,406830,493846,,20236,30267,32594,41220,39724,45203,50064,64067,51031,56428
390529,"Vinyl acetate copolymers, in primary forms (excluding in aqueous dispersion)",9150,8321,9309,9269,9991,11117,10261,9482,6973,7719,,0,0,0,0,0,0,0,0,0,0,,14087,13481,16681,14693,14612,15453,15903,15027,14283,18946
847759,Machinery for moulding or otherwise forming products from rubber or plastics (excluding injection-moulding ...,9866,3997,1057,1917,1753,682,1391,2526,1146,7693,,176047,208040,192208,159325,153039,184426,160997,135837,164746,149524,,16229,16160,12042,14055,15800,16319,18628,18952,19429,29942
843359,"Harvesting machinery for agricultural produce (excluding mowers, haymaking machinery, straw ...",2479,2298,1137,3115,5516,4063,2684,3972,5152,7690,,599760,677704,609508,446957,507120,558620,581052,545729,623259,792595,,147115,39108,31771,32715,37770,62602,63388,55856,57271,46855
40210,"Milk and cream in solid forms, of a fat content by weight of <= 1,5%",0,173,247,434,568,470,4629,3169,6887,7672,,838837,1092263,1261937,824926,744151,883521,765143,889654,976808,966204,,11933,22844,29221,36241,24768,21690,43500,46001,62288,51260
850720,Lead acid accumulators (excluding spent and starter batteries),13362,13365,11359,11066,12617,12967,10824,8263,9076,7668,,510194,535853,565144,517254,540702,605849,650202,646234,578013,646256,,160671,156270,169176,170512,172561,194147,194143,181489,172949,196893
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",10172,12567,10023,7033,6363,7599,9954,7803,5525,7607,,1387274,1367832,1299779,1007768,1028978,1150010,1193136,1070453,1030505,1224668,,845648,702805,642296,516959,503949,526658,557445,521879,524494,634117
960820,Felt-tipped and other porous-tipped pens and markers,5129,5377,5505,5418,5762,5646,5688,5992,5030,7604,,251525,264501,273681,242339,266754,275777,296557,290258,282671,324878,,38800,37602,40827,39417,38601,37054,38698,38686,41999,50282
320890,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",5175,6350,6002,5288,6624,6182,8836,6544,6958,7484,,1051680,1082795,1114383,929007,946335,1004713,1090142,1026778,994158,1224383,,55151,55485,61097,62435,56990,57932,61871,55362,55696,71389
591190,"Textile products and articles, for technical purposes, specified in Note 7 to chapter 59, n.e.s.",2973,4218,4654,4870,3867,3351,3808,5258,6107,7483,,279140,302761,321875,275055,295041,338294,371612,356555,361946,453395,,30463,36224,38300,29720,32937,33541,37731,38335,43508,48745
841460,"Hoods incorporating a fan, whether or not fitted with filters, having a maximum horizontal ...",6023,6724,7263,4835,6039,7687,9181,7181,6217,7461,,219816,249660,267708,239943,264904,288625,302717,257183,283440,333990,,39660,45011,50634,47007,50606,52150,57353,49195,53292,69685
380893,"Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings ...",18395,15631,14757,7824,5202,10263,8246,4385,6967,7454,,1342737,1635875,1685532,1494949,1528866,1513708,1407802,1303984,1027291,1094606,,366731,403229,419196,360043,448908,498987,448422,285853,547755,786727
842489,"Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying ...",8659,5994,6935,5425,5413,6626,7726,7751,6036,7337,,1153944,1074320,1104472,965219,986343,1242967,1385667,1252719,1211110,1376466,,91694,86436,90356,89140,84571,93031,105093,110257,134522,122312
391239,"Cellulose ethers, in primary forms (excluding carboxymethylcellulose and its salts)",4026,4616,5245,4901,4931,5383,6676,6619,7139,7239,,704510,735295,771309,699892,727261,773815,813544,763586,770745,878915,,21224,21669,20690,17492,15483,16757,18341,17661,19936,21180
860719,"Axles, for electrical purposes, and wheels and parts thereof for railway or tramway locomotives ...",1342,2213,4152,2035,787,1562,5402,9242,8433,7234,,374552,413905,478473,396346,321329,262672,336459,331564,372398,381695,,53390,29210,32587,19096,26405,26673,53168,54555,57661,53375
293410,"Heterocyclic compounds containing an unfused thiazole ring, whether or not hydrogenated, in ...",470,1155,4651,5797,2672,5824,5639,4504,4647,7231,,281530,315064,237924,106262,121326,139699,176596,200000,187765,149017,,1722,2462,5932,7033,3509,8894,7794,6500,5754,9550
760720,"Aluminium foil, backed, of a thickness (excluding any backing) of <= 0,2 mm (excluding stamping ...",3082,3131,3962,2632,3390,2437,2616,4741,4947,7217,,578571,622063,698272,598052,547781,560895,614689,583288,546266,558810,,40508,41727,37938,38778,40459,42378,41034,39694,34576,45636
840690,"Parts of steam and other vapour turbines, n.e.s.",932,3366,19060,2040,2568,6714,14565,10291,6230,7196,,833819,664058,544458,544787,571293,499895,415162,320164,296662,257333,,27412,19149,48052,31273,22218,18941,61589,37843,20083,18758
940120,Seats for motor vehicles,7640,6556,8061,6370,9032,12084,8729,5274,5816,7120,,672446,605866,563570,507102,459169,347177,393680,415089,321248,421582,,24705,24172,28844,21213,21427,26065,30651,28495,29225,37716
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",6598,9111,16581,6232,2148,3737,4429,6842,5057,7116,,349452,397261,294453,217067,228180,290264,302712,369537,307374,254317,,194573,159471,183593,134272,109481,130354,167671,162956,168112,192056
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",5824,5421,4771,4274,5169,3856,6358,3597,15834,7050,,652150,686459,703145,645832,619537,642284,685408,644720,1303876,1094678,,117215,125639,173475,180741,172151,188162,191730,185979,332251,268072
843229,"Harrows, scarifiers, cultivators, weeders and hoes for use in agriculture, horticulture or ...",1661,1941,870,614,2590,2471,3310,2103,2374,7048,,201045,217922,186527,147081,149957,176463,214899,198573,198397,275333,,23452,17251,11802,15263,17759,20580,18397,14124,13921,28893
380892,"Fungicides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",8819,5309,4495,1941,5870,6472,7832,6417,5946,6993,,1047337,1120415,1223453,1130943,1154161,1213632,1258545,1142109,1042951,1086079,,100946,76599,78064,79181,124476,144674,97061,78829,105200,139846
848490,"Sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, ...",5578,6193,5816,5142,5764,6645,6703,5560,5740,6942,,308432,335378,371249,321660,323921,362212,413515,415247,399445,457896,,40884,39276,44940,40085,37909,44177,43511,44793,44126,45550
843390,"Parts of harvesting machinery, threshing machinery, mowers and machines for cleaning, sorting ...",2603,2997,4582,4691,7881,6732,5125,7113,6619,6886,,904884,969917,927553,664683,694236,776266,838716,748275,807814,1005147,,131386,89075,95771,95908,124974,137420,107366,97738,116185,178211
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),8031,6523,6920,5967,5009,5974,6721,6007,5840,6863,,2556749,2994102,3410999,3149449,3449568,4205712,4761980,4442795,4405465,5478118,,123574,128705,122838,133229,127141,141864,166839,158854,161688,193323
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",10276,9285,7897,6578,9038,7097,8100,7617,6079,6862,,692048,616497,565127,478136,468393,436483,482957,542189,646526,916359,,1652741,1055002,788968,351409,1549353,1335559,1672353,28977,324238,261972
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",5468,5539,4894,4899,4499,4403,6118,6412,6188,6842,,1073181,1093286,1157116,1027358,1100560,1301532,1415430,1322991,1148597,1306197,,59060,55301,47457,42482,37635,43191,57842,46576,45255,53215
340399,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",5618,6361,7478,7493,5065,7644,7695,6222,5677,6737,,597870,668083,736839,652422,682026,769428,835969,757484,719234,858737,,49152,54420,62705,54433,43778,46070,51106,46146,42089,42673
903290,"Parts and accessories for regulating or controlling instruments and apparatus, n.e.s.",15666,12101,12728,14047,10736,10197,10842,8055,7188,6702,,643561,641506,597804,462291,440370,486934,494292,448436,404289,444069,,81858,67633,77660,61799,44101,46974,42920,38547,34568,34545
841939,"Dryers (excl. lyophilisation apparatus, freeze drying units, spray dryers, dryers for agricultural ...",2004,3574,2205,5744,3068,6384,3114,3087,5269,6625,,376949,407106,333138,291510,283839,357684,361797,431768,343155,340538,,23294,23610,20007,49398,25040,21414,24172,29198,27778,30777
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,1286,992,1690,1042,1208,2631,2978,4880,9370,6601,,1257337,1285553,1265247,1086472,1091188,1167892,1237669,1207995,1382266,1594354,,92952,94629,97188,103267,134361,153416,183278,184071,184981,171525
370500,"Photographic plates and film, exposed and developed (excl. products made of paper, paperboard ...",0,0,0,0,0,991,731,5535,6281,6598,,0,0,0,0,0,144368,175257,162234,173718,176924,,0,0,0,0,0,2146,2013,6528,6890,6859
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",4391,3947,4054,3763,4842,5316,5099,5705,5979,6571,,0,0,0,1935213,1863057,2046391,2212387,2052594,1891953,2420019,,151621,166043,155125,133609,147222,167471,171938,161985,146142,184988
847720,Extruders for working rubber or plastics,6754,2908,658,5595,2838,5733,1370,3524,3346,6539,,766469,908578,817671,853290,673206,771306,790779,826403,987447,835317,,17857,12544,5499,12439,10535,17082,11904,8315,15409,13850
340319,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",5197,4826,5137,3913,4289,4759,5925,5763,6275,6513,,849048,948203,1049665,882355,910910,1018000,1069750,1018596,993253,1176352,,40151,32075,34514,28498,22429,24479,25575,25004,26479,31181
846591,"Sawing machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...",4921,3179,5857,3981,4254,5465,6275,5960,4002,6499,,270881,278213,309942,261415,334011,362395,386367,342577,354637,452498,,36987,37320,42700,42019,42829,47498,50024,40423,44278,64975
848250,Cylindrical roller bearings (excluding needle roller bearings),6826,5939,6184,6697,5844,5153,6116,6173,6504,6447,,907245,937187,966425,834297,783604,928548,990781,997150,895787,944492,,25770,20038,21962,23514,18201,23756,29207,27405,31686,31275
841583,"Air conditioning machines comprising a motor-driven fan, not incorporating a refrigerating ...""",329,88,503,416,867,1920,1947,2133,2520,6413,,326828,322400,333351,293997,264280,317361,322267,348377,358495,387458,,23895,24126,26484,28861,27905,25791,36189,36239,28863,36003
481159,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or ...",2154,1274,1027,1303,1494,1519,4152,11834,3407,6376,,1350085,1329048,1291933,1117975,1113903,1168447,1221729,1176695,1140001,1300954,,31496,26651,26004,52346,79573,81447,79284,81565,84794,96634
732290,"Air heaters and hot-air distributors, incl. distributors which can also distribute fresh or ...",1342,1378,1781,1760,2182,3476,2721,1705,3626,6370,,63248,56538,53362,45904,47884,48957,49350,55805,45058,47323,,42376,34664,35223,28293,30001,30243,38289,27141,30593,43703
902230,X-ray tubes,10405,10388,11931,10220,9200,9477,12449,10331,7029,6365,,706205,564505,372209,298596,246457,226180,306910,302518,332886,353107,,24319,23314,25535,25317,19290,23440,25441,23994,18909,19483
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",5257,4641,3576,2898,3423,4888,7399,5213,6407,6360,,471285,449883,443451,376143,368083,387716,444843,435668,413875,467798,,107055,105901,88208,80672,85557,99763,121694,109605,103635,121179
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,22238,22854,17274,13958,11534,9889,9836,7393,5589,6306,,3852074,3429230,3350282,2966853,2848278,2388328,2147991,1890758,1344266,1257610,,428981,361505,268472,206779,147314,104855,109963,68937,67140,71041
370130,"Photographic plates and film in the flat, sensitised, unexposed, with any side > 255 mm",17278,12485,16609,12910,6979,10045,7659,4716,4199,6256,,773215,801119,839162,709484,691561,686578,759652,696159,569566,661879,,64759,58988,56736,48811,42198,44183,37753,31786,21960,26006
391710,"Artificial guts """"sausage casings"""" of hardened protein or cellulose materials""""",4832,5383,4462,3068,2311,2758,3288,5722,6064,6236,,285053,292712,331917,252434,264256,276529,225274,215138,237409,245913,,21955,24823,23923,17777,16102,18613,18106,15623,16818,14545
320990,"Paints and varnishes, incl. enamels and lacquers, based on synthetic or chemically modified ...",2030,2272,2824,2215,2395,3138,5758,4627,5224,6231,,534675,551916,612902,532592,462475,491932,579629,551621,505664,559084,,15608,16955,19511,16988,19076,18182,20998,20400,20729,25481
731100,"Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically ...",979,6550,6970,4201,4869,1808,1737,1106,4645,6230,,266883,247527,241875,181491,170662,177452,201542,214652,182811,216245,,86424,83656,77273,67651,46524,48113,64989,45419,42120,59962
841112,Turbojets of a thrust > 25 kN,13042,1120,4139,9161,6220,762,9665,8248,5016,6199,,3948113,4109443,3417616,3023389,2863913,3549096,5245457,5506634,4125011,2293438,,166749,172488,254279,206702,171577,257689,197560,232953,221257,351628
340111,"Soap and organic surface-active products and preparations, in the form of bars, cakes, moulded ...",3660,2262,2724,2936,4271,4932,7997,6508,7555,6174,,413161,427531,423633,398062,407596,443008,495390,484287,489785,538294,,87106,84980,96142,88356,84429,78088,69339,74889,90470,71876
848790,"Parts of machinery of chapter 84, not intended for a specific purpose, n.e.s.",8311,6110,6587,4181,4432,5881,9991,7055,7324,6170,,1111617,1181619,1249338,1063619,1126686,1389133,1650833,1598873,1400128,1646308,,34289,29375,35246,28157,26783,25712,31243,32641,32879,35905
330420,Eye make-up preparations,4110,4289,4087,3969,4205,4110,3864,5362,3955,6147,,445248,473666,491844,469831,548253,549497,582613,503898,410875,496375,,56352,57152,62657,70368,82433,88364,97580,93954,72694,81439
391739,"Flexible tubes, pipes and hoses, of plastics, reinforced or otherwise combined with other materials ...",2876,4176,2999,3466,3629,3999,4183,4705,5294,6133,,451644,517093,598953,527468,567090,651110,712006,718599,722629,849878,,51948,64424,59793,54512,58017,65295,66309,65277,66603,76277
902690,"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, ...",5416,4617,5182,4255,4001,5525,6149,3918,4415,6110,,487718,536161,603371,501587,490027,527568,605176,579010,565788,693471,,49700,47555,47517,41469,33144,41068,43030,45546,37251,40101
761699,"Articles of aluminium, n.e.s.",3423,3393,3495,3063,3494,3690,4000,4512,4431,6107,,1438596,1534588,1613875,1491398,1545090,1744586,1815233,1653726,1475022,1792677,,197820,197728,202345,193157,195690,210251,238111,223514,230804,301393
852691,Radio navigational aid apparatus,1387,1418,1334,1188,1740,2586,2022,2552,2181,6107,,1270199,1236600,1250050,1178787,1398505,1768870,1682815,1767763,893907,544205,,236629,170570,145646,142593,124281,120526,128028,133810,169396,179025
848140,Safety or relief valves,6926,6238,7427,6139,4904,6509,7463,6164,5753,6086,,538561,608056,569079,520834,587546,699106,845645,920899,724188,648047,,49923,61402,73009,61426,59722,53933,53269,52828,48485,48814
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",7552,6913,7775,4886,5184,6590,6715,4323,4326,6069,,1349740,1425856,1466262,1271583,1323115,1421113,1522660,1495872,1392426,1735407,,352823,362456,384980,397840,368820,373069,454791,418512,413428,538759
848350,"Flywheels and pulleys, incl. pulley blocks",5822,6378,5051,4970,3840,4073,5655,5240,5020,6065,,1347594,1481047,1518547,1370235,1379437,1469693,1521062,1415797,1258208,1424866,,54865,51342,48439,45859,39677,41345,44166,40734,40418,48817
850819,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor ...",11731,9458,9776,9929,8985,8544,7001,5058,6201,6029,,455421,472001,381044,249503,259448,308631,290252,274208,257452,301505,,53150,58584,55522,47863,45472,46840,43859,40479,55322,53559
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,4896,4075,3963,3221,2629,3088,3207,3703,4423,6020,,465931,553496,657107,536247,520603,560750,538334,580826,651633,853118,,56210,56386,53753,46916,47446,48092,48469,49009,46133,52522
401140,"New pneumatic tyres, of rubber, of a kind used for motorcycles",4866,5316,4454,4609,4267,4672,4019,4594,3965,6005,,181752,201288,200456,165973,177045,196832,194434,187542,185886,231571,,27814,26619,26360,21733,24776,22197,20541,19692,17600,25606
830242,"Base metal mountings, fittings and similar articles suitable for furniture (excluding locks ...",9568,8438,14261,6382,7531,8431,6831,5157,4557,5969,,1031705,1008634,934447,856726,927502,984725,1043093,985856,913991,1167955,,76603,75665,83542,74174,87537,82214,89656,85687,89231,117390
846722,"Saws for working in the hand, with self-contained electric motor",1391,1463,1434,1963,1161,1671,1413,1384,2745,5952,,209786,218027,221607,211337,227594,255154,257172,233918,330077,421535,,51501,46302,46662,41495,36469,49974,57711,55050,73382,105251
841582,"Air conditioning machines incorporating a refrigerating unit but without a valve for reversal ...""",3901,7716,8976,4174,4461,4127,4136,7144,7118,5952,,330824,302990,280843,238894,268229,319909,358222,358238,280123,272965,,50926,62827,72527,77934,56825,81697,53498,60151,52414,56053
820559,"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.",5940,4740,5205,4391,4444,5018,5554,4740,4427,5864,,307882,326828,356961,321898,340486,351829,388072,382065,344572,391107,,77215,73587,75356,76071,70154,81581,82753,76502,77591,101131
190410,"Prepared foods obtained by swelling or roasting cereals or cereal products, e.g. corn flakes",7237,7529,8404,7081,6242,6333,6500,5733,5569,5827,,577244,574039,602555,525161,503788,472914,451357,446051,483379,493533,,23000,29494,43675,47281,51921,58680,64533,68462,70937,82295
844180,"Machinery for making up paper pulp, paper or paperboard, n.e.s.",3789,2766,471,1087,5045,948,4193,894,1691,5824,,192542,173746,175453,152049,188677,192826,230629,248382,191374,208513,,15631,23692,4302,18131,16265,21387,11815,8696,7858,17195
841430,Compressors for refrigerating equipment,10165,10319,10255,7048,7591,8886,8676,6329,10058,5737,,963502,996665,1026761,897273,936324,997488,1126878,1148963,1218529,1430118,,141385,181915,308831,115939,103624,95710,83432,79215,80005,90360
860730,"Hooks and other coupling devices, buffers, and parts thereof, for railway or tramway locomotives ...",5971,6718,2975,2241,2555,3045,3031,2596,4116,5703,,171198,184956,220309,192221,150159,144210,144186,151100,141758,150458,,16077,18039,18191,15873,15675,19578,21382,31469,38595,39501
902213,Apparatus based on the use of X-rays for dental uses,4778,3421,2513,3214,5909,4373,5041,4145,4771,5670,,160537,176568,183122,191573,235242,233856,195955,193090,126710,168600,,17403,13187,14642,16675,16817,13751,17138,15518,14622,19795
560314,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",2342,2944,4231,1885,2905,1925,1942,4753,4302,5656,,370007,381684,371761,330972,338896,375906,418499,423635,429146,485908,,21365,17758,20452,21108,21218,20673,18297,20112,20443,22725
