Product code,Product label,United States of America's imports from Germany-Value in 2012,United States of America's imports from Germany-Value in 2013,United States of America's imports from Germany-Value in 2014,United States of America's imports from Germany-Value in 2015,United States of America's imports from Germany-Value in 2016,United States of America's imports from Germany-Value in 2017,United States of America's imports from Germany-Value in 2018,United States of America's imports from Germany-Value in 2019,United States of America's imports from Germany-Value in 2020,United States of America's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
844120,"Machines for making bags, sacks or envelopes out of paper pulp, paper or paperboard (excluding ...",20303,11607,22054,26225,24912,24200,34097,18599,25108,26730,,135680,131303,94556,118591,128902,133232,183308,111291,154820,209003,,26404,17703,31543,35438,31547,31702,46398,26268,33402,38045
330690,"Preparations for oral or dental hygiene, incl. denture fixative pastes and powders (excluding ...""",13084,14534,18586,18232,16895,19916,27474,20644,27235,26715,,144512,173668,175479,163977,172402,193686,197882,208874,242269,265271,,109540,118605,108697,122373,122968,121708,157954,165577,138790,148983
420100,"Saddlery and harness for any animal, incl. traces, leads, knee pads, muzzles, saddle cloths, ...",22918,21346,21127,14181,15079,17975,18793,19713,24341,26653,,146366,146278,168371,142042,152754,169817,183186,176499,205971,253512,,408953,411074,436171,485770,510951,533990,534558,517935,525691,767401
480257,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",605,1069,1167,10487,12029,21113,31012,31930,21063,26561,,447883,456555,510337,405786,434124,460629,475652,486395,405119,406660,,190570,167185,159126,155479,156532,143412,146756,151772,112866,129843
730840,"Equipment for scaffolding, shuttering, propping or pit-propping (excluding composite sheetpiling ...",24199,30724,48710,23871,23698,18489,28769,29959,19822,26474,,813522,859939,893777,854694,822691,959143,1073423,928886,667299,1028740,,253828,262422,404329,407316,378585,442115,541176,417783,298887,318125
740721,"Bars, rods and profiles, of copper-zinc base alloys """"brass"""", n.e.s.""""",15853,19714,16880,11668,10476,19937,19683,13606,12491,26473,,698570,729231,696940,613918,584057,729238,800811,676599,649585,910102,,169191,188417,172662,134604,88210,128175,135985,107050,85849,158177
700729,Laminated safety glass (excluding glass of size and shape suitable for incorporation in motor ...,14818,16261,94735,38321,32323,33890,21854,17206,14958,26381,,298884,290699,371333,267261,270196,288312,338032,291343,259735,294218,,88534,88464,187860,161762,154741,145415,150304,152786,113015,136886
903039,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",9688,17943,11222,19135,21448,27715,16336,21877,27626,26328,,149447,148624,147195,127074,148090,150761,152317,140897,172358,200142,,98263,120589,119028,118917,139515,163405,140126,144092,138687,158242
848130,"Check """"non-return"""" valves for pipes, boiler shells, tanks, vats or the like""""",19780,22357,22138,29029,22894,22846,23895,25238,23481,26210,,325133,332100,385579,330267,353843,409772,450383,461224,408119,435219,,326921,358196,392275,388795,361362,393489,431513,419223,347202,434021
400249,"Chloroprene """"chlorobutadiene rubber, CR"""", in primary forms or in plates, sheets or strip ...""",46745,24850,32938,22337,23378,23208,19483,25564,17758,26143,,163828,123739,124170,107429,92491,132832,152200,152323,97146,144765,,63450,44740,58888,49648,49848,50178,45235,47306,32341,44493
190531,Sweet biscuits,63754,64315,67475,62716,67080,73089,80670,57147,21082,26079,,771034,825880,845834,731745,716139,753612,791753,749363,775379,805754,,969990,995164,942709,949361,1180955,1241226,1321563,1386772,1368037,1648315
292910,Isocyanates,51584,46231,65752,36422,33631,38984,27174,35753,29868,25994,,987270,991392,911108,777656,798082,1164496,1210989,907470,749528,920801,,91520,98574,167467,132316,139983,212282,221946,152090,111376,301402
330210,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",13024,15022,16061,12157,15400,21656,21432,19486,23803,25971,,840632,928327,941743,818730,859749,965725,1072221,1097154,1120546,1289617,,1910746,2118782,2231983,2499952,2347635,2457994,2973820,3062646,3100707,3319835
731821,"Spring washers and other lock washers, of iron or steel",9873,14149,14224,13601,15523,21578,30855,28406,22062,25964,,173178,196381,213610,188249,202895,234246,260352,244864,223514,270256,,48877,51992,56240,54228,55023,64817,82731,77117,62262,77566
680422,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",32862,33794,32731,31123,26209,25241,28102,25884,19744,25873,,482198,500165,503814,437403,442538,479066,520223,479954,435665,507179,,199571,193425,206022,213971,202356,219895,240096,216081,200059,252236
701790,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated (excluding ...",16413,16456,18388,19121,17826,16349,16960,21376,21832,25869,,135619,137449,139414,116587,111989,109168,116014,120265,113380,142844,,84753,91937,82193,93149,84459,86202,91237,77872,77800,94095
846330,"Machine tools for working metal wire, without removing material (excluding wire bending machines ...",11905,12908,22219,18208,19096,11680,15642,19120,17365,25756,,0,0,0,0,0,0,0,0,0,0,,53704,63491,69172,78884,70586,79955,73525,92683,62158,83013
903084,"Instruments and apparatus for measuring or checking electrical quantities, with recording device ...",15942,16690,15709,27221,40109,21398,22643,19379,25433,25420,,200749,210003,209644,181678,214339,214692,243197,239469,281998,301603,,82461,84002,80976,88135,106678,91102,111999,114430,117599,108417
851130,Distributors and ignition coils of a kind used for spark-ignition or compression-ignition internal ...,29022,33391,38069,31957,32240,22330,22286,20595,20214,25405,,229374,259212,247429,189956,191167,212573,197881,180152,154573,188742,,441512,489130,513417,548107,564255,570660,597880,486419,425983,527211
190532,Waffles and wafers,8889,15701,14488,12898,12015,14077,18380,20151,18649,25384,,319500,332191,354524,329013,339701,342653,369337,383454,406830,493846,,353880,333685,346011,407869,445931,490048,550538,590618,597570,735977
880390,"Parts of aircraft and spacecraft, n.e.s.",7918,12923,11943,14286,9076,6339,10249,15638,17349,25304,,292990,421699,381940,273509,163626,214685,179551,151846,116684,175849,,224567,237689,237077,249074,319795,379878,246248,249993,212279,233861
381900,Hydraulic brake fluids and other prepared liquids for hydraulic transmission not containing ...,16097,22143,24449,23727,25013,21220,22208,21481,14628,25170,,168686,203048,207609,178306,193192,213992,239800,229401,200907,258266,,24661,32666,39011,37137,34916,33357,35749,34747,25781,38347
360100,Propellent powders,2294,3749,1743,888,7150,6478,3137,1615,3768,25170,,43169,51318,41600,0,0,0,0,0,0,0,,84090,87593,97028,95201,83684,59918,51760,46519,77621,123794
730669,"Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of iron or steel (excluding ...",472,735,11409,10161,9356,12777,14225,12858,15846,25160,,95145,96837,117093,103131,109468,135420,145598,132166,112685,164883,,11629,8259,18116,19094,26303,29058,26661,77964,62339,34132
721510,"Bars and rods, of non-alloy free-cutting steel, not further worked than cold-formed or col ...",38942,45142,43245,40423,40341,45415,46954,36596,20122,24960,,109242,115277,126552,100341,102809,134713,162765,127339,100547,158631,,105476,94651,101144,90940,76291,93537,86787,63856,50804,74182
292090,"Esters of other inorganic acids of non-metals and their salts; their halogenated, sulphonated, ...""",11865,15299,17483,20317,15847,18295,19705,19262,17976,24815,,184870,225151,207516,190046,202124,173483,172576,172028,164703,215092,,184353,205894,209899,206523,140754,136893,177949,178561,157070,237494
291030,"1-Chloro-2,3-epoxypropane """"epichlorohydrin""""""""",36479,23343,29601,23869,21131,27349,26065,16480,25164,24784,,171440,130463,141230,110873,99963,113014,137497,121545,118307,156206,,43534,35161,42248,33835,33715,55203,75659,63015,71378,81160
845730,Multi-station transfer machines for working metal,40325,27166,18183,6417,12100,13374,34033,9790,10838,24784,,243950,271182,181772,176897,172921,203215,208896,180798,155560,138731,,107048,71514,87455,72403,80478,55785,91192,66466,68939,60093
850660,Air-zinc cells and batteries (excluding spent),24285,30885,30006,36186,35664,42975,38451,43002,40367,24752,,74404,89864,96602,102381,113086,128994,132399,138007,136121,126022,,33409,34606,35123,41839,39676,47497,42617,46501,44295,30798
293329,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused imidazole ring, ...",54937,30168,16753,21890,47533,20755,20619,29021,21181,24680,,116081,110765,131026,118349,126250,123171,127265,125059,138634,171453,,140082,108504,186541,255890,1174503,350957,112594,118990,112186,135382
391400,"Ion-exchangers based on polymers of heading 3901 to 3913, in primary forms",20915,22809,21461,20051,18991,22064,23725,26059,36085,24659,,0,0,0,0,0,0,0,0,0,0,,292115,293456,308316,283020,272316,304854,322733,293382,343178,438253
950890,"Roundabouts, swings, shooting galleries and other fairground amusements; travelling theatres ...",28356,32538,25610,35794,35705,72936,84384,60991,30343,24658,,109848,154872,125929,139414,120876,169250,190029,198398,173683,95483,,177255,215111,235031,256922,263292,264630,366297,359934,201029,157528
721240,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",21044,14505,16277,27395,27887,28428,30649,14077,29073,24658,,168000,169598,177448,152752,146863,162137,173786,155281,183958,215538,,53604,40151,50925,56832,58653,65466,64491,46145,71081,104513
851840,Audio-frequency electric amplifiers,15519,14502,17182,22037,19275,22758,27546,30704,13878,24625,,257626,267471,272149,237810,272313,309782,334710,316955,311398,368073,,598563,632838,699740,754141,747584,792197,893223,857788,762760,932707
731582,"Welded link chain of iron or steel (excluding articulated link chain, skid chain and stud-link ...",40031,30315,38575,34525,18109,22501,32696,32060,25140,24589,,174646,199472,179378,135716,108403,127398,157917,155304,129788,137130,,164507,124906,132579,135783,92473,126901,123201,125269,132877,140971
846229,"Bending, folding, straightening or flattening machines for flat products (excl. numerically ...",18541,14909,26750,25761,20906,21529,23570,14449,19954,24584,,178818,183207,156920,126963,123314,143793,138929,123448,118422,107724,,217075,191850,198279,205925,192249,235546,236633,240143,202134,217778
842382,Weighing machinery of a maximum weighing capacity > 30 kg but <= 5.000 kg (excluding personal ...,4243,4536,11620,10120,14145,13517,15977,14844,15380,24561,,66549,58974,63629,70441,77619,89871,98037,99365,95287,116366,,265310,224314,198711,195693,176493,167625,180609,157503,145311,185230
401039,"Transmission belts or belting, of vulcanised rubber (excluding endless transmission belts ...""",16714,17975,20423,20000,16621,20845,27183,21562,21552,24539,,222265,235951,245774,221482,228549,261866,286097,265478,263648,319680,,129481,126893,159543,157331,131327,140563,167073,162715,152928,187999
300213,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,2512,2926,5897,13933,24530,,0,0,0,0,0,168214,162655,275261,448663,27031,,0,0,0,0,0,3323522,2745264,880423,878364,1270905
852550,"Transmission apparatus for radio-broadcasting or television, not incorporating reception apparatus",8243,10617,18406,11371,15389,21924,84706,106460,22886,24213,,102085,87814,97043,68863,56136,71551,131078,120544,57208,56784,,2585481,2381165,2529647,2963750,2707122,3049891,2751855,2509070,2686670,2430431
481029,"Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by ...",62329,60979,36143,38647,29473,25877,31815,33630,26131,24195,,617547,595367,558733,491608,514970,557501,615588,525757,425447,480992,,352179,280269,221213,203334,179051,216446,273611,251107,147661,197492
390529,"Vinyl acetate copolymers, in primary forms (excluding in aqueous dispersion)",13368,17820,17168,17777,20070,18561,19104,20819,18426,24160,,0,0,0,0,0,0,0,0,0,0,,36133,50660,61434,58666,52231,50187,56344,56901,51377,67632
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",12594,15202,15559,13688,14045,18112,16855,15690,18880,24126,,924404,925678,976474,938704,936463,1078223,1171581,1042668,973853,1307925,,379398,394678,442855,471909,487049,645366,675143,546479,533739,787316
591190,"Textile products and articles, for technical purposes, specified in Note 7 to chapter 59, n.e.s.",14785,18491,19030,17856,18408,19380,20160,21601,20393,23999,,279140,302761,321875,275055,295041,338294,371612,356555,361946,453395,,384457,377682,410565,400781,405090,421310,456181,468097,512491,615640
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",18820,19405,21691,16931,19302,18087,36967,35045,21697,23975,,599692,560189,541814,380488,345525,396016,391661,413484,320347,278298,,1035154,1047508,1282855,1266310,1290416,1376778,1417985,1192784,1018536,1302830
230910,"Dog or cat food, put up for retail sale",388,1746,3794,8733,2315,8078,4260,7674,16831,23765,,999170,1152495,1425972,1281224,1408188,1606387,1764400,1819065,2215499,2655950,,735663,663765,689918,765332,779633,842945,985190,1027878,1231728,1534992
950490,"Tables for casino games, automatic bowling alley equipment, and other funfair, table or parlour ...",9262,11763,11284,14208,17547,19239,18130,17652,19545,23758,,216482,179709,205473,179850,197514,223463,245573,247973,302558,346835,,1568968,800930,742315,817695,910954,1059117,1214263,1089786,1184421,1574853
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",6060,12642,14789,10954,9558,37181,15974,54692,12953,23670,,1582582,1603254,1623479,1398775,1375557,1511401,1571850,1367820,1366456,1861663,,1367057,1480163,1569053,1507958,1444665,1391456,1517677,1462254,1280663,2152547
292690,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine """"dicyandiamide"""", fenproporex ...""",24235,22067,20127,18959,18730,18118,17300,19606,21054,23647,,159728,166369,201147,180758,189048,211727,232757,229622,243369,285262,,300525,345590,302767,289682,276916,277107,322656,350324,321309,351763
853340,"Electrical variable resistors, incl. rheostats and potentiometers (excluding wirewound variable ...",34351,36995,29363,25096,17881,19954,17494,17739,14856,23552,,274500,266414,249936,193529,199502,239336,288477,251490,219024,222220,,498942,539271,553578,515081,529073,458737,482908,434805,415232,523445
321490,"Non-refractory surfacing preparations for facades, inside walls, floors, ceilings and the like",5903,6923,8290,10996,9250,11171,11384,14005,12656,23506,,457754,450691,469005,403464,418015,460362,495112,511487,510222,605678,,36758,36189,40898,44861,46491,55289,58439,66875,60048,73749
30481,"Frozen fillets of Pacific salmon """"Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...""",0,272,5340,13103,17997,17354,0,5179,28787,23500,,67745,87883,113401,96231,120557,155037,128878,98324,108814,97426,,539832,637269,801386,685729,664707,911226,944868,1020568,1107783,1269216
840130,"Fuel elements """"cartridges"""", non-irradiated, in casing with handling fixtures, for nuclear ...""",10744,8252,10359,8383,21914,3851,15145,20796,27127,23459,,243035,67598,324336,306622,288556,312529,243565,310914,195822,283568,,116014,98167,95257,97327,68616,31268,49642,51460,62982,60155
700529,"Float glass and surface ground and polished glass, in sheets, but not otherwise worked (excluding ...""",15329,10782,18113,19521,19499,21708,17541,22688,25424,23443,,218525,313652,327374,283510,318206,308777,467355,338836,298820,394603,,59536,55330,66147,101788,157501,117149,114859,97513,84968,86740
903290,"Parts and accessories for regulating or controlling instruments and apparatus, n.e.s.",36133,29143,26744,21931,18291,17144,20209,19851,21843,23417,,643561,641506,597804,462291,440370,486934,494292,448436,404289,444069,,480519,458384,471991,448958,415776,438049,448461,404769,299933,362545
902140,Hearing aids (excluding parts and accessories),3940,4252,4581,4521,2000,5714,3133,1353,336,23399,,134766,160116,149533,185568,138621,95055,71934,49110,33303,37988,,1059661,1080654,1017956,1102506,1212958,1409092,1560339,1579829,1381879,1958747
730900,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material other than ...""",32973,43038,35208,36011,33378,24483,30090,16432,27061,23392,,357244,387447,379592,320161,292940,326015,384812,384880,312150,350171,,439526,437188,480786,602530,475375,463682,587926,411156,374254,448157
293590,Sulphonamides (excl. perfluorooctane sulphonamides),0,0,0,0,0,24924,26487,22576,16662,23360,,0,0,0,0,0,174867,162527,147732,133782,220339,,0,0,0,0,0,2584228,3940249,4245735,3747479,3033381
720441,"Turnings, shavings, chips, milling waste, sawdust, filings, trimmings and stampings of iron ...",20726,7731,0,0,6040,6,0,8,3861,23345,,1033242,891243,800339,476824,413653,532442,583196,464266,421356,693844,,499642,513153,475220,290380,293492,503688,616209,547213,491849,1002838
844400,"Machines for extruding, drawing, texturing or cutting man-made textile materials",23842,34523,24027,18728,15427,33142,62547,51822,22143,23282,,373857,348325,283677,159021,192321,356816,482366,385906,352801,540900,,40481,51624,46542,48300,31855,57441,85745,87303,42644,59336
382100,"Prepared culture media for the development or maintenance of micro-organisms incl. viruses ...""",10162,10313,10221,12938,13321,15460,19860,21979,22677,23262,,160693,178298,196736,193528,191215,220002,260258,268195,295332,338664,,91092,102277,114601,133543,166432,138663,184855,197075,426358,391012
847940,Rope or cable-making machines (excluding twisting machines of the type used in spinning mills),2548,6102,15472,4920,6401,4159,7583,16994,15455,23233,,92733,83157,59909,71282,60482,42675,100023,49555,95091,104810,,51933,41253,57712,45455,62633,59094,38937,85509,56242,105292
381231,"Mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline """"TMQ""""""""",0,0,0,0,0,316,180,2539,15556,23212,,0,0,0,0,0,45061,55329,53150,45613,76173,,0,0,0,0,0,9686,22473,18745,25962,48706
850450,Inductors (excluding inductors for discharge lamps or tubes),18984,27003,29114,16214,13665,17196,12677,14061,18242,23080,,639848,648969,709080,638541,754408,867268,958633,910682,921999,1157486,,552790,611816,704485,724781,716799,727808,803225,714935,711042,923171
330410,Lip make-up preparations,26525,34075,30363,39907,37429,36280,24972,25674,14482,23001,,201396,215539,206946,223594,293486,301919,308090,331653,208131,273773,,349620,398265,456674,558321,705061,720004,656021,556400,419418,452035
820559,"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.",15135,18748,18690,20376,17780,21768,25318,22863,19504,22999,,307882,326828,356961,321898,340486,351829,388072,382065,344572,391107,,398134,419791,459536,504449,489845,542448,594651,550622,564599,710606
761010,"Doors, windows and their frames and thresholds for door, of aluminium (excluding door furniture)",7128,9654,9288,11104,11632,12263,13502,14625,19978,22997,,327979,332709,352139,326002,348008,368030,395172,415445,393563,424077,,237617,291220,393459,486593,570038,623623,686353,821090,871337,1019454
843010,"Pile-drivers and pile-extractors (excluding those mounted on railway wagons, motor vehicle ...",17624,17043,23613,20739,16286,12963,10665,12939,25726,22920,,64017,56897,56380,36188,42527,43760,70052,34671,83641,66475,,44337,60932,61410,51907,56915,48863,55368,52955,60946,57484
292119,"Acyclic monoamines and their derivatives; salts thereof (excluding methylamine, dimethylamine, ...",15445,16528,20794,23294,23590,19599,23846,19848,23907,22835,,0,0,0,0,0,170187,175639,169924,155284,188208,,155456,140845,136544,127640,143158,162745,214990,152706,162128,197267
560394,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > than ...",11233,10977,10634,9456,8111,10766,11284,15494,12044,22825,,223982,248085,267469,215926,228409,260355,264654,262066,237730,286288,,107342,99652,99251,103447,106473,116962,151716,156337,192738,235731
851822,"Multiple loudspeakers, mounted in the same enclosure",13397,10819,13420,16496,17714,17480,22026,24699,14148,22791,,226931,236760,258016,254826,267563,316164,345510,368822,299869,332249,,1105999,1232040,1432473,1510582,1346560,1259206,1175246,1388168,1865254,2350891
853630,Apparatus for protecting electrical circuits for a voltage <= 1.000 V (excluding fuses and ...,27382,23297,23463,25607,18931,22613,22350,20701,19924,22782,,749033,738365,734826,632406,633345,647159,729097,705516,698131,772599,,587553,663886,648845,649458,625251,676538,678646,615005,620510,780758
292529,Imines and their derivatives; salts thereof (excluding chlordimeform [ISO]),15569,17892,20126,25395,21815,28930,35761,28175,17325,22763,,65426,146353,76361,75479,80371,114161,140314,117212,109726,128653,,161872,148494,131373,149041,128100,153401,156163,144439,156825,218724
930510,"Parts and accessories for revolvers or pistols, n.e.s.",12482,20207,12490,6921,10284,7350,8091,11168,15046,22716,,20033,28731,17084,10688,15764,11843,12446,14232,17292,22589,,167997,234833,187011,164416,238127,231053,223399,206329,327646,430707
853941,Arc lamps,7800,13236,18869,17230,20813,15676,15201,17713,20444,22571,,451862,466683,493536,483763,444588,414731,357660,270133,203932,201351,,82819,97461,105935,103421,108290,103274,97425,87894,77862,106273
701990,"Glass fibres and articles thereof, n.e.s.",10759,13491,18225,23583,21632,27754,30226,26744,18371,22538,,159367,184348,201547,172873,180109,205356,263182,315191,286049,277695,,213621,213386,255667,270002,298175,271952,312637,303591,291236,387468
550330,"Acrylic or modacrylic staple fibres, not carded, combed or otherwise processed for spinning",13290,22933,21338,16771,15410,16079,12783,13951,8632,22430,,0,0,0,0,0,0,0,0,0,0,,99188,92945,91121,86467,75154,81887,86357,76472,59443,99120
291479,"Halogenated, sulphonated, nitrated or nitrosated derivatives of ketones or quinones (excl. ...""",0,0,0,0,0,6797,15175,15162,18338,22425,,0,0,0,0,0,144565,112106,95146,104125,111784,,0,0,0,0,0,29167,59856,93755,84029,111103
850120,"Universal AC-DC motors of an output > 37,5 W",19343,14405,19743,15663,11076,12592,13370,17356,13635,22382,,68543,77686,104495,83545,90586,78619,66056,71935,69315,74564,,141689,140737,151400,203733,154596,149050,154085,135875,101507,140433
392049,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",14980,14947,19817,18455,15428,16418,18733,14848,14612,22191,,610281,639476,619446,543537,561162,564772,617324,675150,692119,756402,,136433,138686,162287,177557,166368,166644,208124,196026,178336,235034
390519,"Poly""""vinyl acetate"""", in primary forms (excluding in aqueous dispersion)""""",24137,19220,25078,18286,19805,20613,17844,21299,21514,22166,,75823,79488,78386,62287,56879,61257,65461,62238,54795,70700,,30139,24969,40715,27963,30953,28605,24814,26832,26153,35184
843290,"Parts of agricultural, horticultural or forestry machinery for soil preparation or cultivation ...",5508,5865,6214,6773,8970,11120,15811,13981,15717,22151,,357370,402744,393782,339910,380978,458546,480133,456594,484077,605413,,361408,356045,335697,291205,241478,279313,324138,267017,304437,411959
480439,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",5900,3003,5472,3181,3361,15816,20876,20143,17877,22112,,81820,59035,55327,46865,61281,300871,342741,299817,335870,392556,,186574,187419,190234,217346,243368,234785,235069,222442,200065,218177
390430,"Vinyl chloride-vinyl acetate copolymers, in primary forms",15793,10977,13132,14631,12416,11467,14280,15307,12656,22111,,109309,109077,111243,92611,84250,89435,93870,96754,89857,134107,,51847,31995,36158,43676,39373,33410,38532,35190,29439,52835
930330,"Sporting, hunting and target-shooting shotguns with one or more rifled bores (other than spring, ...",23885,39792,14635,6502,8523,5374,7084,10892,9339,22103,,95096,117544,70634,55487,56365,57569,59566,64790,53494,98229,,214197,283740,196117,162683,170164,144181,149614,165778,192889,269309
902000,Breathing appliances and gas masks (excluding protective masks having neither mechanical parts ...,16584,16053,17823,22915,24858,21263,26662,26108,19060,21986,,194497,207230,220480,220861,248732,287187,330964,330842,324225,302035,,130680,126269,141941,158870,196850,210794,229725,250239,365769,224422
391690,"Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, ...",13483,11590,11395,11798,11725,15996,14060,16691,16655,21970,,625225,628377,675459,598837,622132,688528,694582,664841,633817,772943,,114539,116813,131410,149618,177173,216303,222236,212878,204896,245264
690390,"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ...",27826,25033,26321,15415,14147,16556,19694,18876,16602,21746,,231621,215897,208546,140201,158098,163685,195293,178719,154281,186498,,70280,63052,74841,69024,67624,74011,77235,76408,68351,99746
730431,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy ...""",33831,22686,27275,22151,17376,24012,27776,25228,16429,21699,,377719,340959,346343,272724,280729,289950,350588,308438,233368,361492,,178323,141048,150521,142591,117107,116719,121786,80967,45120,58910
730619,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of iron ...",100411,9830,35230,11544,9115,35079,43797,21613,544,21686,,157266,163738,160208,59419,104397,157468,281391,119627,76266,120189,,1108977,800662,851662,662764,266336,634504,598407,524967,185458,386079
970200,"Original engravings, prints and lithographs",36043,27176,28430,48281,27568,38905,33075,31816,14200,21675,,19599,18827,26378,14917,12560,13123,16129,18283,14082,32236,,132079,130725,193101,160360,180642,325738,222375,170624,92365,153274
760719,"Aluminium foil, not backed, rolled and further worked, of a thickness of <= 2 mm (excluding ...",22106,16821,19075,16610,14373,12661,17428,14534,14098,21611,,458197,436567,446529,354813,345075,362122,384195,360329,316823,351350,,167125,266130,241110,203826,137001,195320,268074,148248,140199,168390
852910,"Aerials and aerial reflectors of all kinds; parts suitable for use therewith, n.e.s.",36583,34638,21498,20868,22775,23397,36952,32347,24727,21516,,601030,517400,524709,455534,403776,417985,444736,378103,463093,372406,,1015845,930080,1030680,1039629,1021927,1067680,1027920,924498,788692,830919
810197,Tungsten waste and scrap (excluding ash and residues containing tungsten),5278,2260,10010,5977,3066,6371,11661,12884,11241,21514,,93943,116512,122157,77809,70613,81700,112209,87092,80327,141073,,42195,39198,55098,39109,30966,39949,69734,65243,45116,66701
390599,"Polymers of vinyl esters and other vinyl polymers, in primary forms (excluding those of vinyl ...""",26241,21041,26623,28135,25675,27401,27028,21301,22559,21446,,238012,241593,224865,224826,233557,242304,256956,224933,241306,258659,,41431,36068,43731,40908,35660,38793,39607,35325,33770,37265
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",13271,13744,20509,15628,19864,24609,20204,21822,25268,21435,,4371207,3675548,4953376,5225023,4768309,6194003,5947601,5239079,6029378,7787969,,44118432,43235338,42589984,39807140,36356774,40393506,40173035,40818542,51636353,60802219
860719,"Axles, for electrical purposes, and wheels and parts thereof for railway or tramway locomotives ...",14756,13263,14725,12009,8757,12318,18810,17334,20754,21407,,374552,413905,478473,396346,321329,262672,336459,331564,372398,381695,,428484,439136,578571,791594,365673,340024,420112,395118,288373,288224
843280,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn ...",2975,6903,8467,8521,7731,10845,9696,10149,15474,21389,,97541,109450,108139,89558,94599,103686,124575,137308,134847,192336,,73131,90936,81756,72892,64726,81838,90834,87783,90774,141275
841319,"Pumps for liquids, fitted or designed to be fitted with a measuring device (excluding pumps ...",22664,37552,30569,20428,12113,21227,21403,13972,17702,21271,,40620,44577,46476,39226,37533,38422,56910,130081,150035,173417,,96051,104558,100696,133714,176863,224083,273024,248050,219588,322758
843810,"Bakery machinery and machinery for the industrial preparation or manufacture of macaroni, spaghetti ...",19769,14511,22797,15804,23901,20562,25799,17818,24716,21210,,312211,316336,346817,259501,250383,271572,307745,257140,254814,276530,,180249,191330,205847,205301,252548,231583,296594,240896,226231,368751
851531,"Fully or partly automatic machines for arc welding of metals, incl. plasma arc welding",21445,33488,27748,40832,22207,26489,26692,18525,17808,21197,,363684,313968,313596,312526,281016,397936,401942,332853,269216,359236,,171968,168315,162508,197642,207208,206783,230332,213893,154518,178490
291990,"Phosphoric esters and their salts, incl. lactophosphates; their halogenated, sulphonated, ...""",22697,20132,19466,17678,14562,15464,17352,19221,17648,21015,,166053,155690,146983,122529,109786,124435,137383,128890,138535,195760,,110200,112427,126837,122241,93935,108487,120968,115646,102241,184328
350300,"Gelatin, whether or not in square or rectangular sheets, whether or not surface-worked or coloured, ...",19770,29340,16980,14771,11750,12062,20649,22462,23544,21015,,234077,261055,246890,213905,233660,248800,256795,259726,261445,276916,,302048,346105,303200,294339,256157,250152,272095,308665,320228,334981
381220,"Compound plasticisers for rubber or plastics, n.e.s.",20742,16865,23209,19541,20608,32506,40310,37614,14465,21013,,148716,160445,165265,141699,138613,151617,160326,143516,126537,168126,,105476,86802,103631,99793,87449,95409,102877,91916,52465,69387
