Product code,Product label,Saudi Arabia's imports from Viet Nam-Value in 2012,Saudi Arabia's imports from Viet Nam-Value in 2013,Saudi Arabia's imports from Viet Nam-Value in 2014,Saudi Arabia's imports from Viet Nam-Value in 2015,Saudi Arabia's imports from Viet Nam-Value in 2016,Saudi Arabia's imports from Viet Nam-Value in 2017,Saudi Arabia's imports from Viet Nam-Value in 2018,Saudi Arabia's imports from Viet Nam-Value in 2019,Saudi Arabia's imports from Viet Nam-Value in 2020,Saudi Arabia's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
844190,"Parts of machinery for making up paper pulp, paper or paperboard, n.e.s.",0,0,0,0,0,0,0,229,0,1,,882,1028,519,830,594,285,312,246,322,855,,13746,15967,24632,23162,29730,20799,16551,18285,26209,15470
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",0,0,0,0,0,0,0,7,0,1,,296,173,572,1399,614,1238,2156,2596,10082,25301,,37222,20415,24762,28505,26494,23415,29659,32067,24609,29626
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,94,27,0,0,0,0,0,3,0,1,,10461,8765,13344,14775,20131,27455,48196,63680,86590,188616,,77993,57303,8645,8923,8559,13083,15122,27158,64760,69786
120242,"Groundnuts, shelled, whether or not broken (excluding seed for sowing, roasted or otherwise ...",0,0,0,0,0,0,0,0,0,1,,5614,10986,3861,4176,30531,23418,16367,56143,56810,2845,,2581,3851,3546,3969,4169,5088,4854,5871,5421,6274
400591,"Compounded rubber, unvulcanised, in the form of plates, sheets or strip (excluding rubber compounded ...",0,0,0,0,0,0,0,0,19,1,,32816,38181,63403,94704,8828,8345,3557,4149,3538,3778,,8195,8271,7864,13294,13405,13964,14345,7838,8067,7526
491199,"Printed matter, n.e.s.",0,0,0,0,0,0,0,9,0,1,,2053,1661,4319,5650,4725,4758,2894,21435,23029,20037,,7429,5699,27469,29348,41371,59311,44059,21571,24771,8383
960850,"Sets of articles from two or more of the following: ball-point pens, felt or fibre-tipped pens ...",0,0,0,0,0,0,0,0,0,1,,2108,2680,966,963,695,353,37,9,15,923,,1172,1557,1921,1067,492,377,338,395,412,1021
961590,"Hairpins, curling pins, curling grips, hair-curlers and the like, and parts thereof, n.e.s. ...",0,0,0,65,198,197,143,21,19,1,,232,183,2116,2012,3912,1585,4746,5135,6265,790,,16297,15463,13399,15381,22591,13187,12653,10817,3981,3432
870891,"Radiators and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",0,0,0,0,0,0,0,0,0,1,,350,894,963,736,680,996,1162,1237,1287,2568,,58284,63564,67945,77746,50239,45229,32757,41920,47173,50461
903110,Machines for balancing mechanical parts,0,0,0,0,0,0,0,0,0,1,,288,380,233,229,4498,193,403,358,288,82,,14321,14449,16118,10569,9249,7297,16253,6990,6151,9383
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,0,0,0,0,0,0,0,0,0,1,,1664,2712,1192,715,361,262,1385,1930,2343,21040,,9156,11653,16070,16042,12595,10216,7397,13071,12588,13468
950639,Golf equipment (excluding balls and complete clubs),0,0,0,0,0,0,46,0,0,1,,32633,34878,43239,58202,60170,87334,101158,136506,162592,337184,,2663,827,952,1221,579,759,948,550,504,801
950720,"Fish-hooks, whether or not snelled",0,0,0,0,0,0,0,10,0,1,,10616,5223,5552,4809,5351,6663,5982,11991,9690,18042,,186,122,308,459,489,419,259,385,623,693
847350,"Parts and accessories equally suitable for use with two or more typewriters, word-processing ...",0,0,496,0,166,0,0,0,0,1,,571,535,1477,1639,2505,2386,1915,2503,3927,16148,,26457,48554,48573,13950,15157,1736,2515,1543,2245,2047
621320,"Handkerchiefs of cotton, of which no side exceeds 60 cm (excluding knitted or crocheted)",0,0,0,0,0,0,0,0,0,1,,1877,3817,4049,3687,4554,4713,6805,8616,6252,1265,,0,0,0,96,75,144,240,613,618,173
630210,"Bedlinen, knitted or crocheted",0,0,0,0,0,0,3,0,0,1,,430,157,719,1112,1641,4243,3643,6228,17419,21738,,9285,6494,4811,4512,3003,3431,3444,3540,2836,3251
630222,Printed bedlinen of man-made fibres (excluding knitted or crocheted),0,0,0,0,0,0,0,0,0,1,,3681,5618,5149,4606,5146,1237,1031,2911,3394,5429,,1282,1845,1371,1697,1162,1124,647,1093,1951,1446
610449,"Women's or girls' dresses of textile materials, knitted or crocheted (excluding of wool, fine ...",41,0,0,229,191,264,359,137,0,1,,78389,87494,80463,94351,79523,47769,59789,57509,39367,2743,,5271,3869,8732,7935,6462,7153,7856,8995,4212,4916
610590,"Men's or boys' shirts of textile materials, knitted or crocheted (excluding of cotton or man-made ...",34,0,110,116,174,1081,608,390,8,1,,20324,13870,12655,7926,12602,21187,29046,21168,8112,4717,,7746,2325,3921,4453,38032,32075,24679,41685,4135,2795
630520,"Sacks and bags, for the packing of goods, of cotton",0,0,0,0,0,0,0,0,0,1,,567,739,398,407,240,254,348,1686,431,2022,,1051,1013,2017,1734,1182,1027,605,659,740,1332
701337,Drinking glasses (excluding glasses of glass ceramics or of lead crystal and stemware),0,0,0,0,0,0,0,6,130,1,,331,445,256,129,169,127,142,95,406,874,,17382,15256,9157,10134,11359,11071,10802,15300,7952,10284
400690,"Rods, bars, tubes, profiles and other forms of unvulcanised rubber, incl. mixed rubber, and ...",0,0,0,0,0,0,0,27,24,1,,442,107,100,468,269,128,102,133,300,1993,,13650,9424,9639,15555,9414,8778,7855,8364,9703,11322
80420,Fresh or dried figs,0,0,0,0,0,0,0,0,0,1,,0,0,0,1,0,0,1,1,9,69,,952,2662,3335,4372,5614,7790,8499,7702,4977,7152
961511,"Combs, hair-slides and the like of hard rubber or plastics",0,0,0,0,0,0,7,110,0,1,,135,363,575,829,853,1152,1219,1086,1834,1927,,4844,6055,7343,9712,10417,6619,7866,10193,6698,11338
731829,"Non-threaded articles, of iron or steel",0,0,0,0,0,0,31,12,11,1,,13800,16374,19280,21064,25650,31627,30043,27490,26724,21955,,28338,44408,75755,49123,29612,24938,25335,22937,22836,19556
840420,Condensers for steam or other vapour power units,0,0,261386,195,0,0,0,0,0,1,,54,0,8,0,0,0,0,0,2,2,,66521,40341,296682,71691,56222,9006,6833,11263,11637,3739
847329,"Parts and accessories of non-electronic calculators for accounting machines, cash registers ...",0,0,0,0,0,0,0,0,0,1,,0,6,4,65,115,271,921,832,544,44142,,10679,3612,1992,2519,8412,3254,2351,2818,0,1266
852873,"Reception apparatus for television, black and white or other monochrome, whether or not incorporating ...",0,5890,4787,0,312,5381,4804,2906,0,1,,34,0,0,0,14,3,58,4,25,373,,240468,343123,419675,355293,309421,284189,266848,214345,161335,56149
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",0,0,0,0,0,0,0,143,0,1,,111706,135239,92150,551223,1617756,2325299,2000068,3507962,4460421,2997497,,18671,20590,21459,18063,17170,13967,46134,142315,28333,41939
560790,"Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, ...",0,0,0,0,0,0,0,19,0,1,,1505,1766,2660,1894,1588,4344,5981,6363,17570,8555,,1602,1682,2877,3143,2858,2377,1618,2901,952,5067
392049,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",0,0,0,75,0,61,50,26,0,1,,15015,13843,15021,13382,15683,17317,17625,17653,14853,18034,,26730,30050,30520,52178,54066,46548,39563,45708,54363,44972
30614,"Frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming ...",0,0,0,102,0,0,0,0,0,1,,28176,23965,28358,34786,37347,33623,47661,63441,60337,12475,,27,62,35,745,568,456,1108,680,1853,699
340399,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",0,0,0,0,0,0,0,0,0,1,,310,603,536,959,914,1305,1509,2159,6821,2226,,11628,11583,15788,15683,11595,14745,21880,26837,17719,16047
441911,"Bread boards, chopping boards and similar boards, of bamboo",0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,959,613,896,2134,,0,0,0,0,0,0,0,0,0,637
500790,"Woven fabrics containing predominantly, but < 85% silk or silk waste by weight",0,0,0,0,0,0,0,0,0,1,,128,33,23,26,69,29,55,38,55,42,,4123,1941,1584,2178,1990,1069,580,886,491,784
611699,"Gloves, mittens and mitts, of textile materials, knitted or crocheted (excl. of wool, fine ...",0,0,0,153,0,0,8,0,28,1,,5201,4329,5459,5189,7364,8677,8355,8735,7677,5700,,3143,2444,2956,4051,3712,1828,2148,3081,1048,752
450490,"Agglomerated cork, with or without a binding substance, and articles of agglomerated cork (excluding ...",0,0,0,0,0,0,0,0,11,1,,13,0,0,0,0,0,4,29,520,2056,,567,696,870,1581,19274,1535,899,4084,34754,34324
761610,"Nails, tacks, staples, screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers ...",0,0,0,0,0,0,0,0,15,1,,9787,2790,4323,1789,2319,2601,3657,4185,5120,1515,,3203,3737,2766,3451,2882,2948,4056,5307,5418,8327
841440,Air compressors mounted on a wheeled chassis for towing,0,0,0,0,0,96,0,0,0,1,,246,147,138,62,205,49,357,161,496,547,,120029,95731,95797,105620,44920,35582,49564,48527,46903,50377
830230,"Base metal mountings, fittings and similar articles suitable for motor vehicles (excluding ...",3294,4783,4784,5598,3923,2739,252,40,140,1,,920,1521,978,1376,1160,1139,3055,6230,12411,44152,,99575,127445,132519,134108,103104,75779,71324,91385,50551,37371
820540,Hand-operated screwdrivers,0,0,0,0,0,0,0,0,0,1,,1019,2183,5395,10013,10933,13072,13979,936,1379,7009,,4065,3909,3422,4990,4135,3712,3490,4351,4370,4218
852871,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers ...",0,0,0,0,0,5584,0,6,0,1,,121250,144765,105624,120562,210381,205941,245077,324260,733244,484201,,6262,28611,26969,3979,13061,30661,30767,21920,18463,39214
850790,"Plates, separators and other parts of electric accumulators, n.e.s.",0,0,0,0,69,0,3,9,0,1,,1784,4532,6297,22535,33899,47227,49119,95048,69330,47944,,23280,13981,14869,15435,14026,13517,14914,12488,11453,6528
851490,"Parts of electric industrial or laboratory furnaces and ovens, incl. of those functioning by ...",0,0,0,0,0,0,0,0,3,1,,689,260,138,88,324,499,828,560,1737,3590,,4406,9136,5934,6353,2911,2829,5798,7493,4480,5806
847410,"Sorting, screening, separating or washing machines for solid mineral substances, incl. those ...",0,0,0,4009,0,0,0,0,0,1,,712,578,546,186,91,296,456,2183,1392,1034,,41939,46783,26600,42813,36927,9437,7998,23420,31346,23669
850519,"Permanent magnets and articles intended to become permanent magnets after magnetization, of ...",0,0,0,0,0,0,0,0,0,1,,5407,4899,6300,6983,10145,10536,11545,11339,13004,22077,,1723,1117,1334,2403,2675,2653,1109,1101,248,1713
950631,"Golf clubs, complete",0,0,0,0,0,0,5,0,9,1,,44412,36877,43834,54010,46895,51750,55151,45045,63194,250558,,0,0,0,114,85,129,299,152,254,291
940410,Mattress supports for bed frames (excluding spring interiors for seats),0,0,80,114,0,44,0,0,3,1,,32,16,25,308,511,438,197,98,105,2973,,609,2369,1259,2060,3131,5431,5249,6382,7473,11626
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",0,0,0,0,0,0,0,0,12,1,,38051,457,519,698,4234,22439,11842,4177,6106,193920,,1170,2169,1672,1983,1615,1800,1505,8908,8010,22128
851680,Electric heating resistors (excluding those of agglomerated coal and graphite),0,0,0,0,0,0,0,0,5,1,,51486,67026,76361,76371,96993,124822,140678,168504,184996,274149,,43077,10256,6472,8588,12415,7893,12685,13759,13361,18965
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",0,0,0,0,0,0,0,0,0,1,,17990,17883,17810,20532,22177,28841,55123,71900,75257,100205,,2455,1174,1770,4031,3634,5312,2018,2098,1512,2219
920790,"Accordions and musical instruments without keyboards, the sound of which is produced, or must ...",0,0,0,0,0,0,0,0,0,1,,4291,2730,11393,6351,3051,3220,3301,3449,5326,8914,,0,45,0,189,321,519,577,452,480,402
960350,"Brushes constituting parts of machines, appliances or vehicles",0,0,0,0,0,0,0,0,0,1,,8130,10826,12612,19038,15398,16423,18377,18598,17634,13208,,1562,2165,2527,4529,3178,2900,4257,5410,4594,5609
850870,"Parts of vacuum cleaners, dry cleaners and wet vacuum cleaners, n.e.s.",0,0,0,0,0,0,3,0,0,1,,186,2077,8274,8558,8889,10911,19931,31503,30986,41319,,2917,2398,2562,3364,3800,3914,4622,3351,2182,2968
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",0,0,394,242,0,206,5,48,0,1,,5268,3348,6983,7654,7295,11991,14173,14201,11384,108816,,482937,430215,701929,504658,254030,230001,238669,190010,945,19422
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",0,0,0,0,0,0,0,0,7,1,,65625,44868,31474,34317,53094,61131,68870,45252,38756,61558,,80258,88202,94227,94205,54464,62736,50784,58364,101020,57307
660200,"Walking sticks, seat-sticks, whips, riding-crops and the like (excluding measure walking sticks, ...",0,0,0,0,0,0,0,0,0,1,,0,3,0,10,0,17,0,0,0,186,,1057,900,813,1115,1225,1129,843,771,785,1050
620610,"Women's or girls' blouses, shirts and shirt-blouses of silk or silk waste (excluding knitted ...",0,0,0,119,0,195,381,15,47,1,,2591,2910,3926,8800,9568,10414,10753,11520,10255,4040,,391,337,412,1131,10567,9515,6922,5468,3266,2980
610451,"Women's or girls' skirts and divided skirts of wool or fine animal hair, knitted or crocheted ...",0,0,0,0,0,0,0,0,0,1,,108,273,399,636,571,745,699,1141,670,149,,0,0,41,131,11,20,318,489,202,92
591000,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, ...",0,0,0,0,0,0,0,0,0,1,,19,18,53,10,19,65,58,43,177,112,,5608,3433,5211,4495,3368,5386,3914,3309,2317,2981
691090,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",0,39,0,0,210,0,0,0,0,1,,368,1068,245,493,212,1025,211,850,567,112736,,24202,23911,24004,26902,27252,21688,10078,3480,1545,2370
701590,"Clock or watch glasses and similar glasses, glasses for non-corrective spectacles, curved, ...",0,0,0,0,0,0,0,0,0,1,,1,6,145,9,4,12,3,6,0,3,,251,455,6669,5820,5035,4793,2622,2580,1717,563
340590,"Glass or metal polishes, whether or not in the form of paper, wadding, felt, nonwovens, cellular ...",0,0,0,0,0,0,0,0,0,1,,111,451,704,607,576,602,454,809,589,1013,,7646,10801,9900,11658,6368,14821,13248,7458,6951,6954
210610,Protein concentrates and textured protein substances,0,0,0,0,0,0,0,0,0,1,,11,34,13,81,148,217,165,172,340,817,,35432,28127,53149,35105,20515,26472,34798,35422,39230,35430
480890,"Paper and paperboard, creped, crinkled, embossed or perforated, in rolls of a width > 36 cm ...",0,0,0,0,0,0,0,0,0,1,,141,700,536,168,224,191,491,1808,574,2973,,9732,19028,13156,12193,5649,7264,6580,12515,10433,6620
481099,"Paper and paperboard, coated on one or both sides with kaolin """"China clay"""" or other inorganic ...""",0,0,0,0,0,0,0,0,0,0,,518,1057,801,1514,974,2310,2990,3970,5161,10506,,16270,14213,13661,20247,13554,16418,19284,23791,19065,22668
481110,"Tarred, bituminised or asphalted paper and paperboard, in rolls or in square or rectangular ...",0,0,0,0,0,0,0,0,0,0,,21,88,7,20,12,6,13,23,23,395,,704,521,176,510,279,250,610,256,149,135
481149,"Gummed or adhesive paper and paperboard, surface-coloured, surface-decorated or printed, in ...",0,39,0,0,0,0,355,0,0,0,,118,591,20,40,24,16,86,158,138,481,,21767,25245,24601,31613,28344,24971,25273,18253,11159,11950
481310,Cigarette paper in the form of booklets or tubes,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,146,,1410,530,795,531,869,626,881,1075,1328,1574
481420,"Wallpaper and similar wallcoverings of paper, consisting of paper coated or covered, on the ...",0,0,0,0,0,0,0,0,0,0,,800,737,538,389,455,372,389,434,405,208,,26391,32223,37247,37436,33771,27601,25841,20716,15623,10170
481620,"Self-copy paper, in rolls of a width of <= 36 cm or in rectangular or square sheets with no ...",0,0,0,0,0,0,0,0,0,0,,0,36,4,0,1,4,4,2,15,40,,291,455,2338,1431,3012,4209,6523,4181,4690,2602
490110,"Printed books, brochures and similar printed matter, in single sheets, whether or not folded ...",0,0,0,0,0,0,0,0,0,0,,48,61,195,42,177,185,471,305,289,995,,4252,32322,42678,21382,3648,2385,4159,2911,2103,2494
490600,"Plans and drawings for architectural, engineering, industrial, commercial, topographical or ...",0,0,0,0,0,0,0,0,0,0,,14,44,66,164,536,666,1031,491,421,66,,1060,95,121,20712,241,127,681,145,150,66
490900,"Printed or illustrated postcards; printed cards bearing personal greetings, messages or announcements, ...",0,0,0,0,0,0,0,0,0,0,,1916,1618,1828,1574,3035,5610,12133,15318,19343,47906,,995,490,701,1303,1079,811,835,824,274,466
500200,Raw silk (non-thrown),0,0,0,0,0,0,0,0,0,0,,1634,1777,344,6838,17458,30201,39141,55325,39763,70031,,0,323,0,0,88,16,0,0,0,0
500400,Silk yarn (excluding that spun from silk waste and that put up for retail sale),0,0,0,0,0,0,0,0,0,0,,41228,50512,50747,47271,39398,45388,41235,34753,19972,17697,,0,0,0,381,0,257,0,0,0,1
510129,"Degreased wool, non-carbonised, neither carded nor combed (excluding shorn wool)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,,,0,28,33,38,0,12,6,7,0,4
510400,"Garnetted stock of wool or of fine or coarse animal hair, neither carded nor combed",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,6,0,,,0,0,0,0,0,0,0,0,0,2
510539,"Fine animal hair, carded or combed (excluding wool and hair of Kashmir """"cashmere"""" goats)""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,80,45,0,126,50,69,57,0,6,1
510540,"Coarse animal hair, carded or combed",0,0,0,0,0,0,0,0,0,0,,0,0,32,0,0,0,0,0,0,,,0,0,0,0,2,0,0,0,13,5
510620,"Carded wool yarn containing predominantly, but < 85% wool by weight (excluding that put up ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,33,39,,0,0,0,2,31,2,23,80,11,0
520291,Garnetted stock of cotton,0,0,0,0,0,0,0,0,0,0,,2248,742,108,898,631,51,275,13,103,498,,0,0,0,509,159,153,133,55,37,6
520300,"Cotton, carded or combed",0,0,0,0,0,0,0,0,0,0,,306,1153,1201,9327,6237,6198,7705,5733,3972,1535,,2239,2454,2065,4658,2347,2583,1214,2030,957,482
520411,"Sewing thread, containing >= 85% cotton by weight (excluding that put up for retail sale)",0,0,0,0,0,0,0,0,0,0,,28,0,27,0,3,0,0,2,135,409,,266,508,173,33,76,58,5,349,136,57
520515,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",0,0,0,0,0,0,0,0,0,0,,0,0,3,0,660,148,4,5,34,148,,0,0,0,0,44,0,34,0,0,0
520611,"Single cotton yarn containing predominantly, but < 85% cotton by weight, of uncombed fibres ...""",0,0,0,0,0,0,0,0,0,0,,1266,4460,4519,3148,2934,3301,7353,9750,12682,16415,,467,1295,930,1682,3267,3393,3381,2944,1383,1082
520613,"Single cotton yarn containing predominantly, but < 85% cotton by weight, of uncombed fibres ...""",0,0,0,0,0,0,0,0,0,0,,38,5020,12710,20415,34866,52383,52065,35363,21437,22637,,0,33,0,144,0,0,0,0,0,0
520642,"Multiple """"folded"""" or cabled cotton yarn containing predominantly, but < 85% cotton by weight, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,83,164,253,83,38,667,241,36,,0,0,0,16,2,0,0,0,0,0
520831,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 100 g/m©÷, ...",0,0,0,0,0,0,0,0,0,0,,0,154,7,1,11,2,3,48,11,333,,31,37,43,12,121,47,164,547,220,296
521059,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,4,0,763,575,612,503,131,352,52,57,,847,136,565,72,140,79,2363,829,156,250
521149,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,21,0,88,160,23,654,15,66,2,1638,,1401,805,911,1392,1067,1050,629,531,186,254
521151,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",0,0,0,39,0,0,0,0,0,0,,0,0,0,0,0,0,8,0,3,,,189,742,1558,806,54,932,1263,18,3,18
521223,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",0,0,0,0,0,0,0,0,0,0,,110,57,105,65,220,145,107,147,68,19,,29,0,0,112,83,615,163,26,4,23
530129,"Flax, hackled or otherwise processed, but not spun (excluding broken, scutched and retted flax)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,268,,,31,67,31,10,92,82,146,0,24,36
530500,"Coconut, abaca Manila hemp or Musa textilis Nee"""", ramie, agave and other vegetable textile ...""",0,0,0,0,0,0,0,3,0,0,,29556,27575,41047,34150,24190,23808,33024,26170,22267,18587,,4299,3565,4411,5473,7774,5070,5872,5085,6234,4564
540110,"Sewing thread of synthetic filaments, whether or not put up for retail sale",0,0,0,0,0,0,0,0,0,0,,12798,17380,18197,20996,19958,20440,24410,27512,26578,22086,,699,1108,520,1081,1341,1491,1411,1529,596,1160
540120,"Sewing thread of artificial filaments, whether or not put up for retail sale",0,0,0,0,0,0,0,0,0,0,,3889,4079,3757,4761,2931,3320,1777,1878,1467,1311,,2971,2776,3936,3979,3538,2843,1869,2542,1452,2200
540219,"High-tenacity filament yarn of nylon or other polyamides (excluding sewing thread, yarn put ...",0,0,0,0,0,0,0,0,0,0,,12403,9791,10812,12168,14251,20361,35405,49167,41183,62819,,214,1035,1311,1255,605,683,851,1049,569,3166
540245,"Filament yarn of nylon or other polyamides, incl. monofilament of < 67 decitex, single, untwisted ...",0,0,0,0,0,0,0,0,0,0,,57277,81412,66548,54821,62400,116828,128735,106566,70086,95963,,42,0,266,103,20,129,360,37,6,2
540247,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, untwisted or with a ...",0,0,0,0,0,0,0,0,0,0,,7239,5164,6732,3961,3069,5576,9589,12654,19237,31546,,36,196,0,111,114,32,222,50,49,18
540259,"Synthetic filament yarn, incl. synthetic monofilament of < 67 decitex, single, with a twist ...",0,0,0,0,0,0,0,0,0,0,,23,0,0,14,11,11,0,0,0,1130,,147,287,200,507,220,86,39,31,41,28
540262,"Multiple """"folded"""" or cabled filament yarn of polyester, incl. monofilament of < 67 decitex ...""",0,0,0,0,0,0,0,0,0,0,,2630,4459,1685,671,1553,330,589,318,1443,2256,,405,718,288,689,262,357,402,841,985,1173
540342,"Multiple """"folded"""" or cabled filament yarn of cellulose acetate, incl. monofilament of < ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,12,0,0,0,0
400130,"Balata, gutta-percha, guayule, chicle and similar natural gums, in primary forms or in plates, ...",0,0,0,0,0,0,0,0,0,0,,283,21,30,752,139,213,153,8,0,7,,0,0,0,3,0,303,0,0,0,8
400510,"Rubber, unvulcanised, compounded with carbon black or silica, in primary forms or in plates, ...",0,71,0,0,0,0,0,9,0,0,,311,2857,9767,26007,16909,12402,12118,14779,5079,7877,,22240,9648,1380,2038,2502,607,598,1262,2191,2824
400922,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",0,0,0,0,0,0,0,0,0,0,,292,378,482,520,806,1327,1584,668,658,327,,6425,7308,11895,6609,5411,4663,5211,9116,14595,5259
430180,"Raw furskins, whole, with or without heads, tails or paws (excluding those of mink, lamb - ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0,0,0,0,0
440111,"Fuel wood, in logs, billets, twigs, faggots or similar forms, coniferous",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,101,16,3,34,,0,0,0,0,0,0,0,0,0,2799
440326,"Coniferous wood in the rough, of which the smallest cross-sectional dimension is <15 cm, whether ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,9,0,120,,0,0,0,0,0,0,0,0,0,44
440392,"Beech """"Fagus spp."""" in the rough, whether or not stripped of bark or sapwood, or roughly ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,229,234,305,522,611,0,0,0,0,0
440500,"Wood wool; wood flour wood powder able to pass through a fine"""", 0,63 mm mesh, sieve with ...""",0,0,0,0,0,0,0,0,3,0,,16293,21844,20745,18019,20654,18514,18831,19654,20826,15579,,82,112,43,145,99,109,13,117,168,1080
440690,"Railway or tramway sleepers """"cross-ties"""" of wood, impregnated""""",0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,,,1292,1224,871,443,76,2216,112,506,38,0
440710,"Coniferous wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...",0,0,0,0,105,0,0,0,0,0,,1535,349,649,599,369,331,0,0,0,,,276854,260311,322336,319462,283824,44958,72563,117053,12494,203
440722,"Virola, imbuia and balsa, sawn or chipped lengthwise, sliced or peeled, of a thickness of > ...",0,0,0,0,0,0,0,0,0,0,,14,0,6,0,1,2,0,0,0,29,,0,36,0,383,0,11,0,0,67,0
440794,"Cherry """"Prunus spp."""", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,42,157,35,,0,0,0,2,82,0,32,0,239,0
441234,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,157955,156991,179270,62872,,0,0,0,0,0,0,0,0,0,9
401610,"Articles of cellular rubber, n.e.s.",0,0,0,0,0,0,0,16,0,0,,938,1734,2661,3112,2249,3517,2434,2712,2450,3474,,3579,2340,3384,4217,3549,4534,8587,6971,14816,11522
401692,"Erasers, of vulcanised rubber (excluding hard rubber), conditioned (excluding those simply ...",0,0,0,0,0,0,0,12,0,0,,6,11,47,14,31,42,96,478,244,435,,1123,480,481,1762,1340,1416,1112,1590,743,499
410120,"Whole raw hides and skins of bovine """"incl. buffalo"""" or equine animals, whether or not dehaired, ...""",0,0,0,0,0,0,0,0,0,0,,35,92,26,7,84,171,116,32,1,2,,0,0,0,0,0,22,0,7,30,0
410691,"Hides and skins of antelopes, deer, elks, elephants and other animals, incl. sea animals, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
441860,"Posts and beams, of wood",0,0,0,0,0,0,0,0,0,0,,21,22,107,77,3,52,61,162,201,2483,,9310,6895,2393,5966,3158,911,687,1084,1681,8504
