Product code,Product label,Japan's imports from Saudi Arabia-Value in 2012,Japan's imports from Saudi Arabia-Value in 2013,Japan's imports from Saudi Arabia-Value in 2014,Japan's imports from Saudi Arabia-Value in 2015,Japan's imports from Saudi Arabia-Value in 2016,Japan's imports from Saudi Arabia-Value in 2017,Japan's imports from Saudi Arabia-Value in 2018,Japan's imports from Saudi Arabia-Value in 2019,Japan's imports from Saudi Arabia-Value in 2020,Japan's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
210320,Tomato ketchup and other tomato sauces,0,0,0,0,0,0,0,0,0,0,,9700,9970,8927,9884,8067,12780,11990,12386,10354,9143,,8555,8721,7405,6632,6597,6228,6294,7868,7671,8081
220430,"Grape must, of an actual alcoholic strength of > 0,5% vol (excluding grape must whose fermentation ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,26695,36755,33922,27181,19169,17645,15787,14820,8289,1386
220720,Denatured ethyl alcohol and other spirits of any strength,0,0,0,0,0,0,0,0,0,0,,0,442,165,13,4,10,27,0,34,41,,50,53,67,56,20,11,52,30,741,195
230210,"Bran, sharps and other residues of maize """"corn"""", whether or not in the form of pellets, ...""",0,0,0,0,0,0,0,0,0,0,,0,48,0,0,0,0,0,0,0,0,,1829,920,192,90,73,64,77,112,81,72
230250,"Bran, sharps and other residues of leguminous plants, whether or not in the form of pellets, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,12952,13744,15500,9530,9377,10765,9922,10087,11661,13554
230500,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,0,0,0,0,0,0,,0,393,156,0,0,0,0,0,0,0,,52,39,3,0,0,0,0,0,0,0
230620,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,19,0,0,18,34,31,0,0,19,0
230649,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...""",0,0,0,0,0,0,0,0,0,0,,43,0,0,0,0,0,43,0,0,0,,6509,12000,6072,3322,2398,2145,1826,1995,1419,1539
230690,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,0,0,0,0,0,0,,0,27,0,0,0,0,0,0,0,0,,6084,12489,19597,13414,12336,13944,15058,12620,15071,18826
240220,"Cigarettes, containing tobacco",0,0,0,0,0,0,0,0,0,0,,1308,360,65,517,3534,0,18506,0,0,279,,5357401,4091115,3351403,3066070,3241521,2612628,2416255,2237379,2003682,1789908
240391,"Tobacco, """"homogenised"""" or """"reconstituted"""" from finely-chopped tobacco leaves, tobacco ...""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,34959,35680,34003,28246,27205,22417,20887,30469,30205,29401
251720,"Macadam of slag, dross or similar industrial waste, whether or not incorporating pebbles, gravel, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,25,0,0,0,0,0,0,402,97
252520,Mica powder,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,5,18,63,0,0,0,,36714,37445,34315,28545,29837,35100,33831,31698,28035,33990
252922,Fluorspar containing by weight > 97% calcium fluoride,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,40476,18083,22747,20989,14314,15251,38041,38326,18730,21845
253090,"Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,403,55,181,210,249,447,253,114,116,,84944,85786,71780,66835,59190,71394,83599,76494,71127,99025
261590,"Niobium, tantalum or vanadium ores and concentrates",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,453,7,1762,6381,3149,6,15122,7130,15694
262019,"Slag, ash and residues containing mainly zinc (excluding hard zinc spelter)",0,0,0,0,0,0,0,0,0,0,,101,14917,670,906,239,51,327,0,0,0,,35589,40907,51907,45521,40941,69486,75573,63647,55201,105349
270111,"Anthracite, whether or not pulverised, non-agglomerated",0,0,0,0,0,0,0,0,0,0,,221,0,0,49,85,37,3,0,0,0,,1098690,815903,645464,599383,531374,919839,964964,851790,595922,910506
270220,Agglomerated lignite (excluding jet),0,0,0,0,0,0,0,0,0,0,,207,0,0,53,0,0,256,0,0,0,,290,379,174,161,253,230,244,317,398,716
270730,"Xylol """"xylenes"""" containing > 50% of xylenes (excluding chemically defined)""""",0,0,0,0,0,0,0,0,0,0,,208,123,438247,0,21,0,0,0,0,0,,74196,66367,0,1761,0,3,0,3,0,13
901820,"Ultraviolet or infra-red ray apparatus used in medical, surgical, dental or veterinary sciences",0,0,0,0,0,0,0,0,7,0,,0,0,150,339,409,307,8,0,0,0,,17780,13099,14552,6551,7513,10556,8447,9369,6904,13543
901832,"Tubular metal needles and needles for sutures, used in medical, surgical, dental or veterinary ...",0,0,0,0,0,0,0,0,0,0,,0,0,32,0,71,25,10,0,0,0,,314799,162032,153869,147008,144481,167123,167786,185100,176436,191935
902121,Artificial teeth,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,,15064,13624,12519,12495,14405,13469,14417,15374,14626,18319
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",0,0,0,0,0,0,0,0,0,0,,0,28,257,253,493,1038,264,0,0,0,,476582,488291,602078,566831,758981,714125,680924,666650,723879,635358
902720,Chromatographs and electrophoresis instruments,0,0,0,0,0,0,0,0,0,0,,85,72,111,2177,212,358,107,0,0,0,,79302,66060,55106,51404,58576,68872,68784,67539,72304,72163
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as UV, visible, ...",0,0,0,0,0,0,0,0,0,0,,166,96,30,856,211,489,327,0,0,0,,161696,183479,170636,131623,149247,155834,174585,177067,155442,166514
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",0,0,0,0,2,0,0,0,0,0,,376,199,1438,531,1099,108,477,0,0,0,,178238,171828,162821,134972,144667,158048,186032,229698,237992,284888
902910,"Revolution counters, production counters, taximeters, milometers, pedometers and the like (excluding ...",0,0,0,0,0,0,0,0,0,0,,71,0,100,44,31,149,387,0,0,0,,36950,59754,39350,35209,30418,27229,28411,29243,23670,29125
390319,"Polystyrene, in primary forms (excluding expansible)",0,0,0,0,0,0,0,0,0,0,,139495,91832,141229,92412,124267,151390,115419,88957,88579,152761,,87197,50581,37960,20969,12710,9027,7066,5918,7375,5088
390469,"Fluoropolymers of vinyl chloride or of other halogenated olefins, in primary forms (excluding ...",0,0,0,0,0,0,0,0,0,0,,2917,14663,22113,33876,35603,27641,19936,21398,22080,8781,,130807,95933,102738,115750,122845,151102,167618,156481,156496,213465
390490,"Polymers of vinyl chloride or other halogenated olefins, in primary forms (excluding poly""""vinyl ...""",0,0,0,0,0,0,0,0,0,0,,1657,24209,16876,8813,4259,289,355,220,1411,954,,2321,1450,1610,2197,3730,3571,4716,4586,4074,5027
390512,"Poly""""vinyl acetate"""", in aqueous dispersion""""",0,0,0,0,0,0,0,0,0,0,,51,339,0,194,887,669,2182,1145,429,5111,,492,1151,1587,982,1101,885,694,896,715,849
390591,"Copolymers of vinyl, in primary forms (excluding vinyl chloride-vinyl acetate copolymers and ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,57,0,0,144,14,1321,,30258,25835,23090,17998,36154,40009,48245,50856,36854,34275
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",0,0,0,0,0,0,0,0,0,0,,70,286,86,322,142,240,273,192,0,0,,111761,97716,109376,112853,135531,152042,186068,212771,245923,283979
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1047441,1060879,1063993,950187,922313,978239,979554,1021238,944923,988942
220600,"Cider, perry, mead and other fermented beverages and mixtures of fermented beverages and non-alcoholic ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,278807,241475,232839,195818,179196,173030,131433,100746,92403,84655
220870,Liqueurs and cordials,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,119223,134523,164351,132184,132558,126226,122368,116022,82018,81629
220890,"Ethyl alcohol of an alcoholic strength of < 80% vol, not denatured; spirits and other spirituous ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,987,0,,163409,137005,117100,104013,104973,109417,102264,109692,89406,86759
230120,"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ...",0,0,0,0,0,0,0,0,0,0,,488,0,0,0,0,0,0,0,0,0,,355703,317986,377807,368209,225222,248678,287867,305868,289838,221403
250510,"Silica sands and quartz sands, whether or not coloured",0,0,0,0,0,0,0,0,13,0,,23413,20191,13533,11979,22693,31833,39363,38634,32513,38293,,114514,92244,84499,72744,67818,77291,82272,85576,64681,67822
250590,"Natural sands of all kinds, whether or not coloured (excluding silica sands, quartz sands, ...",0,0,0,0,0,0,0,0,0,0,,0,4901,13480,19012,8044,0,0,0,0,0,,3594,1820,1443,1807,2407,1875,2316,2064,1623,1914
250620,"Quartzite, merely cut, by sawing or otherwise, in blocks or slabs of a square or rectangular ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,21079,18652,18957,19137,14725,17850,18086,12944,10867,14887
251310,Pumice stone,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,1,0,3,0,5,0,,1310,1154,1098,772,1107,929,1044,1441,1504,1330
251820,"Calcined or sintered dolomite (excluding broken or crushed dolomite for concrete aggregates, ...",0,0,0,0,0,0,0,0,0,0,,0,107,0,0,0,0,0,1832,2256,2905,,13832,13924,17030,17108,12115,12903,13811,14613,10468,15771
252010,Gypsum; anhydrite,0,0,0,0,0,0,0,0,0,0,,4187,5208,6359,5871,5275,4187,3620,3437,3028,1391,,72201,80322,95571,71234,65352,72098,90320,92552,86162,94391
252910,Feldspar,0,0,0,0,0,0,0,0,0,0,,178,441,2380,3041,3026,1590,102,665,755,244,,5371,5313,5171,6327,6033,5886,4864,5633,5193,5897
260120,Roasted iron pyrites,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,13,40,38,31,49,75,35,15,0,0
260500,Cobalt ores and concentrates,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,168,0,0,3,2,0,0,0,4
261220,Thorium ores and concentrates,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,34,17,35,31,0,0,0,31
261690,Precious-metal ores and concentrates (excluding silver ores and oncentrates),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,92127,77149,86774,33286,96207,35339,35304,78663,128496,102617
262029,"Slag, ash and residues containing mainly lead (excluding leaded gasoline sludges and leaded ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,27,0,15,67,2662,4233,800,,275,0,98,2368,13892,0,269,0,0,0
270210,"Lignite, whether or not pulverised, non-agglomerated (excluding jet)",0,0,0,0,0,0,0,0,0,0,,0,0,55,0,0,0,24,0,0,0,,3226,3426,1831,2188,2018,2157,2950,2894,3380,2175
271020,Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,48,470,176,89,101,82,184,141,138,196
291524,Acetic anhydride,0,0,0,0,0,0,0,0,0,0,,15814,17744,15275,11227,9837,20133,8049,14808,11093,34944,,8158,11117,8762,8156,2176,8987,9324,4829,3897,4469
291540,"Mono- di- or trichloroacetic acids, their salts and esters",0,0,0,0,0,0,0,0,0,0,,924,143,209,31,0,0,0,2630,158,0,,978,435,1064,404,321,153,692,1235,1619,1625
291550,"Propionic acid, its salts and esters",0,0,0,0,0,0,0,0,0,0,,30,0,0,20,62,11,5,0,0,0,,8385,9135,10776,9341,13280,11971,9201,8684,6568,8015
291620,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,7,0,0,0,81,0,0,,36920,32258,47421,35430,32141,23495,26165,22431,29293,31955
291634,Phenylacetic acid and its salts,0,0,0,0,0,0,0,0,0,0,,0,0,0,65,67,9,0,48,0,0,,101,62,0,17,97,15,16,54,85,11
291811,"Lactic acid, its salts and esters (excluding inorganic or organic compounds of mercury)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,6,40,0,0,0,,44451,36137,37140,34898,36855,36723,38728,34656,38254,40228
291812,Tartaric acid,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,22,10,0,0,0,,7614,9800,6038,4989,4602,4705,5589,5509,5497,6749
291821,Salicylic acid and its salts (excluding inorganic or organic compounds of mercury),0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,4,0,,2271,2213,3440,2531,2644,2903,3229,5011,3776,2846
290522,Acyclic terpene alcohols,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,168,23,0,0,0,0,,7890,7366,8361,6563,7946,8664,13846,9458,9753,9813
290541,"2-Ethyl-2-""""hydroxymethyl"""" propane-1,3-diol """"trimethylolpropane""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,32,0,0,0,0,0,0,8,,10865,8949,8838,6929,7373,7092,7169,7665,5185,12003
290544,"D-glucitol """"sorbitol""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,38253,35802,35833,34172,39697,35300,36190,39431,35089,30951
290559,"Halogenated, sulphonated, nitrated or nitrosated derivatives or acyclic alcohols (excluding ...""",0,0,0,0,0,0,0,0,0,0,,62,1450,1077,1,86,58,0,8,6,9,,21264,17027,13967,15209,12858,12316,16926,19800,24006,24297
291219,"Acyclic aldehydes, without other oxygen function (excluding methanal [formaldehyde] and ethanal ...",0,0,0,0,0,0,0,0,0,0,,30216,18500,14824,10067,3141,96,231,254,1161,250,,12183,12122,11686,9389,8102,9774,11020,11113,11283,10394
291221,Benzaldehyde,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,898,925,743,671,658,713,682,681,585,809
291242,"Ethylvanillin """"3-ethoxy-4-hydroxybenzaldehyde""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,15,32,12,0,0,0,,1690,1796,1526,1471,1288,1355,1278,1550,2089,1537
291419,"Acyclic ketones, without other oxygen function (excluding acetone, butanone """"methyl ethyl ...""",0,0,0,0,0,0,0,0,0,0,,193,62,0,10,30,53,0,0,12,0,,12278,9712,10097,8330,10806,9928,12788,14152,10080,13202
291461,Anthraquinone,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,0,0,0
271114,"Ethylene, propylene, butylene and butadiene, liquefied (excluding ethylene of a purity of >= ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,47900,18553,181,173,8375,26523,20051,4430,2237,5309
271129,"Hydrocarbons in gaseous state, n.e.s. (excluding natural gas)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,11,3,31,0,0,0,86,3,0
271290,"Paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, ...",0,0,0,0,0,0,0,0,0,0,,520037,291378,482876,31,3,0,11,0,0,0,,16353,16783,16787,16353,20443,25834,47120,59975,36552,30450
271312,"Petroleum coke, calcined",0,0,0,0,0,0,0,0,0,0,,51,0,0,0,40,0,0,0,0,0,,50649,28537,31146,27799,21869,25604,60992,39040,17322,31175
280130,Fluorine; bromine,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,19,153,265,76,35,0,,6718,6654,6044,2720,3452,3367,3183,3600,4560,5681
280511,Sodium,0,0,0,0,0,0,0,0,0,0,,56,499,35,148,122,447,7,0,0,0,,5097,7712,8113,6801,5367,5864,6536,5808,5734,6570
281119,"Inorganic acids (excluding hydrogen chloride """"hydrochloric acid"""", chlorosulphuric acid, ...""",0,0,0,0,0,0,0,0,0,0,,876,410,515,1334,1,5,0,0,7,85,,19152,10764,19475,13685,16958,13979,10677,10500,8227,8686
281122,Silicon dioxide,0,9,44,11,0,0,0,0,0,0,,0,0,0,435,1746,1700,1614,3,0,101,,158593,160125,163287,132576,133729,135705,143633,154864,135240,169087
281217,Thionyl chloride,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,516,590,608,783,897
281310,Carbon disulphide,0,0,0,0,0,0,0,0,0,0,,0,54,0,0,0,0,0,0,0,0,,3535,3223,3091,3025,2996,2816,2553,2673,1828,1493
281511,"Sodium hydroxide """"caustic soda"""" solid""""",0,0,0,0,0,0,0,0,0,0,,36220,33238,25248,18789,19489,29539,29145,25947,14712,20747,,11406,9710,8928,6794,6487,6890,6013,6359,4480,5414
281512,"Sodium hydroxide """"caustic soda"""" in aqueous solution """"soda lye or liquid soda""""""""",0,0,0,0,0,0,0,0,0,0,,271875,239023,212438,138320,188358,183318,167954,89513,110410,121615,,1180,613,673,681,620,664,757,941,1020,1973
282110,Iron oxides and hydroxides,0,0,0,0,0,0,0,0,0,0,,228,86,125,40,107,82,151,13,0,20,,25120,19198,20605,14996,14517,15979,15829,14145,12540,13632
282560,Germanium oxides and zirconium dioxide,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,60425,50878,40922,32889,27730,29209,57216,46485,41654,43411
282890,"Hypochlorites, chlorites and hypobromites (excluding calcium hypochlorites)",0,0,0,0,0,0,0,0,0,0,,3492,3582,2822,2922,1954,1159,531,524,905,1414,,1730,1548,1495,1573,1518,1211,1227,1392,1928,1342
282919,Chlorates (excluding sodium),0,0,0,0,0,0,0,0,0,0,,58,0,27,83,2,7,40,0,0,0,,178,114,111,119,111,113,112,75,73,49
283190,Dithionites and sulfoxylates (excluding sodium),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,178,,104,85,39,86,0,44,39,40,41,54
283321,Sulphate of magnesium,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,6,9,29,0,0,0,,2134,3076,2384,3377,3377,3979,4928,4587,4205,4769
283324,Sulphates of nickel,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,57300,25783,53643,96085,106524,154679,228795,326208,346716,456420
283524,Phosphates of potassium,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,17,0,0,0,,4756,4698,5329,4422,3910,4293,4666,4442,3953,7116
283640,Potassium carbonates,0,0,0,0,0,0,0,0,0,0,,56,0,0,3,3,58,0,0,0,0,,6800,5217,5015,4988,5515,5435,5296,5915,5355,6253
283699,"Carbonates and peroxocarbonates """"percarbonates""""; commercial ammonium carbonate containing ...""",0,0,0,0,0,0,0,0,0,0,,48,150,134,116,5,19,0,0,0,0,,17108,14918,13472,12187,19750,20497,32017,23829,21025,23609
284910,"Carbides of calcium, whether or not chemically defined",0,0,0,0,0,0,0,0,0,0,,59,0,0,0,0,18,0,0,0,0,,3493,2957,2834,2201,1142,980,1190,2063,1404,1582
290123,"Butene """"butylene"""" and isomers thereof""""",0,0,0,0,0,0,0,0,0,0,,3448,0,0,0,0,0,0,0,0,0,,2415,6317,2181,3434,49,3003,11,2729,2941,9112
290241,O-Xylene,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,2,4
290244,Mixed xylene isomers,0,0,0,0,0,0,0,0,0,0,,36,76,0,0,19,10,40,0,149,21306,,11,34,39,27,21,12,12,8,8,6
290260,Ethylbenzene,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,8,0,0,0,0,,0,0,0,0,0,0,0,25,0,0
290315,"Ethylene dichloride """"ISO"""" """"1,2 dichloroethane""""""""",0,0,0,0,0,0,0,0,0,0,,80408,91700,141788,110079,107494,89635,122993,177665,137028,267797,,34489,87039,102242,83668,64550,97670,72073,71466,37199,75547
290375,Dichloropentafluoropropanes,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,843,905,0,522
290381,"1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,17,0,0,0,0,0,0,0,0,0
290435,"Salts of perfluorooctane sulphonic acid (excl. ammonium, lithium and potassium perfluorooctane ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
290491,"Trichloronitromethane """"chloropicrin""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,4399,8031,6342,4428,3761
10239,Live buffalo (excluding pure-bred for breeding),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,49,0,0,0,,0,0,71,238,0,0,175,0,0,0
10310,Pure-bred breeding swine,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,66,247,47,130,636,514,150,49,83,148
10599,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",0,0,0,0,0,0,0,0,0,0,,1562,70,0,194,122,231,0,333,657,585,,0,0,3,0,0,0,17,20,0,0
10612,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,,25,157,52,49,449,0,186,46,407,27
10690,"Live animals (excluding mammals, reptiles, birds, insects, fish, crustaceans, molluscs and ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,3107,3449,3470,3155,3262,3540,4040,4205,4906,5340
20329,"Frozen meat of swine (excluding carcases and half-carcases, and hams, shoulders and cuts thereof, ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,3400287,2398739,2680280,2044797,2442098,2491571,2460385,2655799,2368736,2338279
20630,Fresh or chilled edible offal of swine,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,14,77,220,114,83,132,103,129,230
20714,Frozen cuts and edible offal of fowls of the species Gallus domesticus,0,0,0,0,0,0,0,0,0,0,,4261,3227,5215,9940,30982,29601,31521,14417,10276,2932,,1174287,1110927,1319253,1287354,1096708,1320534,1161550,1213306,1069723,1160811
20753,"Fatty livers of domestic geese, fresh or chilled",0,0,0,0,0,0,0,0,0,0,,0,0,0,57,0,0,0,0,0,0,,3610,3295,2820,1348,1264,741,1034,632,168,74
20860,"Fresh, chilled or frozen meat and edible offal of camels and other camelids [Camelidae]",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,37,0,0,0,0,0,,11,25,10,27,24,28,40,37,20,0
21020,"Meat of bovine animals, salted, in brine, dried or smoked",0,0,0,0,0,0,0,0,0,0,,121,0,0,0,0,1,0,17,65,0,,16,4,0,0,0,0,0,119,58,66
30192,"Live eels """"Anguilla spp.""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,387452,479373,198602,212871,327475,175248,470110,442405,216042,187222
30229,"Fresh or chilled flat fish """"Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae ...""",0,0,0,0,0,0,0,0,0,0,,6236,6834,5596,3355,4368,1864,0,0,0,0,,693,187,0,2,2,0,0,0,4,0
30233,Fresh or chilled skipjack or stripe-bellied bonito,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,39,0,0,0,0,0,0,0,9,0
30234,"Fresh or chilled bigeye tunas """"Thunnus obesus""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,153952,109651,93957,61705,58720,49203,34122,28722,21800,15814
30241,"Fresh or chilled herring """"Clupea harengus, clupea pallasii""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,0,0,,0,0,0,0,0,0,0,0,0,0
30255,"Fresh or chilled Alaska pollack """"Theragra chalcogramma""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
30323,"Frozen tilapia """"Oreochromis spp.""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,249,0,48,128,25,0,2,,829,704,592,565,642,678,1945,755,1088,1147
30332,"Frozen plaice """"Pleuronectes platessa""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,17,0,0,0,3,0,0,0,0
30353,"Frozen sardines """"Sardina pilchardus, Sardinops spp."""", sardinella """"Sardinella spp."""", brisling ...""",0,0,0,0,0,0,0,0,0,0,,98,855,103,1,0,0,0,0,0,0,,5312,2660,3334,1023,515,829,392,2331,3259,391
30356,"Frozen cobia """"Rachycentron canadum""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,2,0,0,0,0,0
30369,"Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,545,1525,2426,2009,427,35,4395,,104,178,1844,445,416,113,121,122,35,43
30381,Frozen dogfish and other sharks,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,15263,12910,11937,11734,14111,1263,0,12,0,0
30382,"Frozen rays and skates """"Rajidae""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,6468,4182,4377,3670,3563,4179,4941,2727,1389,1572
30445,"Fresh or chilled fillets of swordfish """"Xiphias gladius""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,7,0,5,0,0,0,0,0,0
30448,"Fresh or chilled fillets of rays and skates """"Rajidae""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
30449,"Fresh or chilled fillets of fish, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,285,0,1,1,0,0,0,0,,18389,15661,14977,14674,16477,20319,26360,24862,18673,13610
30452,"Fresh or chilled meat, whether or not minced, of salmonidae (excluding fillets)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
30453,"Fresh or chilled meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
30461,"Frozen fillets of tilapia """"Oreochromis spp.""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1852,1693,1900,2269,2207,2500,3436,2480,1907,1360
30469,"Frozen fillets of carp """"Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys ...""",0,0,0,0,0,0,0,0,0,0,,0,1884,857,1983,1631,5299,9099,732,0,0,,0,0,0,10,0,0,0,5,0,7
30473,"Frozen fillets of coalfish """"Pollachius virens""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,5004,4861,4807,5374,4985,4671,5403,6452,6519,8380
