Product code,Product label,"Singapore's imports from Taipei, Chinese-Value in 2012","Singapore's imports from Taipei, Chinese-Value in 2013","Singapore's imports from Taipei, Chinese-Value in 2014","Singapore's imports from Taipei, Chinese-Value in 2015","Singapore's imports from Taipei, Chinese-Value in 2016","Singapore's imports from Taipei, Chinese-Value in 2017","Singapore's imports from Taipei, Chinese-Value in 2018","Singapore's imports from Taipei, Chinese-Value in 2019","Singapore's imports from Taipei, Chinese-Value in 2020","Singapore's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
871310,"Carriages for disabled persons, not mechanically propelled",147,165,207,274,81,330,161,134,41,88,,19623,22114,21923,19684,19849,19390,26521,15339,10346,9591,,1404,1920,2479,2401,2388,3535,3233,2373,2800,3286
330410,Lip make-up preparations,762,468,562,617,827,991,501,257,205,87,,34920,31028,37430,41758,46302,44875,48125,49009,34832,39329,,55041,75883,106550,143076,197511,357250,486659,488620,276563,238142
847431,Concrete or mortar mixers (excluding those mounted on railway wagons or lorry chassis),838,6,938,232,65,205,13,7,0,87,,1713,1632,1625,1437,2044,1125,1095,584,1002,678,,14047,15192,20107,29774,5303,14200,13817,6520,7566,6891
220890,"Ethyl alcohol of an alcoholic strength of < 80% vol, not denatured; spirits and other spirituous ...",3,49,102,1,2,1,64,15,9,87,,40900,36735,23368,16349,26302,35323,47889,75617,95302,91609,,60059,59585,53676,52218,54419,48084,85250,86073,87082,127060
847910,"Machinery for public works, building or the like, n.e.s.",4,72,204,79,108,179,251,375,443,87,,4711,3975,3155,2841,2885,23415,8052,2203,940,1435,,11569,14617,14377,21940,17579,13874,21421,21417,18898,6755
330129,"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excluding those ...",163,102,225,118,179,42,19,186,69,87,,3860,3950,4479,5966,6040,6340,5999,5292,3912,3807,,58043,53091,67580,64940,68109,60402,61491,59050,65353,63339
851140,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition ...,321,211,121,109,56,96,195,126,74,86,,11609,18635,20721,19809,24084,32508,29363,19792,14142,20158,,23269,25502,19877,19292,24201,65670,94192,38712,34041,32773
630260,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton (excluding ...",119,158,75,22,41,51,43,65,155,86,,664,736,1597,1491,1978,1516,1103,659,496,401,,21539,21735,20188,19346,18555,15303,16632,16790,12693,14802
250510,"Silica sands and quartz sands, whether or not coloured",36,168,287,150,85,20,65,63,4,86,,40851,35600,37135,33735,26594,25239,30656,36556,36916,47655,,58165,50571,52664,47019,43249,48751,40089,18337,15891,41846
401190,"New pneumatic tyres, of rubber (excl. of a kind used on agricultural, forestry, construction, ...",0,0,0,0,0,0,280,26,34,86,,0,0,0,0,0,43859,48728,62163,57664,74829,,0,0,0,0,0,0,49961,22817,7378,14537
611596,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",29,129,150,157,177,172,117,122,74,86,,37683,34711,30035,31427,23057,22828,20383,21101,15389,18957,,2366,2540,2991,2928,3024,3678,3545,3804,2937,4165
854519,"Electrodes of graphite or other carbon, for electrical purposes (excluding those used for furnaces)",98,56,94,51,82,16,67,134,127,85,,1780,1276,1114,946,1442,1112,1503,1483,2583,2872,,7094,3069,4209,3422,2821,7024,16989,2800,2712,5289
846229,"Bending, folding, straightening or flattening machines for flat products (excl. numerically ...",361,262,362,405,265,2175,112,495,31,85,,29889,39502,33569,37094,23701,32505,29263,31164,22145,28643,,17371,16073,11436,8184,6389,5562,9156,7290,6745,6137
721069,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",36,25,20,42,22,59,31,34,47,84,,3388,2084,1982,1467,1978,1317,1887,2003,654,1615,,2305,966,2755,2005,2250,1948,2279,1133,207,820
700910,"Rear-view mirrors, whether or not framed, for vehicles",86,44,113,75,189,77,83,81,60,84,,163423,179717,197996,184715,178139,189120,185969,183627,172530,218133,,27459,30072,28399,26272,33223,16600,1348,1011,1346,2592
680919,"Boards, sheets, panels, tiles and similar articles, of plaster or compositions based on plaster ...",592,1339,1533,928,1729,1547,639,320,499,84,,838,346,423,487,690,1063,1106,1202,809,1184,,11053,10160,10430,8438,5700,5328,3193,2769,2690,3098
70993,"Fresh or chilled pumpkins, squash and gourds """"Cucurbita spp.""""""""",98,62,35,47,30,42,313,63,52,84,,0,0,6,8,21,36,39,17,28,32,,16550,17888,19129,18724,19006,20273,20496,19561,20524,21830
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",118,217,1181,169,442,590,239,359,137,84,,91264,54378,59925,44817,39617,65998,64419,63691,52230,136963,,16116,11870,23073,21675,11209,14871,21761,19809,15497,19757
730439,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy ...""",34,90,141,104,1147,1141,363,282,13,84,,8235,7244,6925,6232,4261,4932,5961,3446,2497,3585,,69525,48301,39933,25379,22209,13804,24293,21909,17231,22108
621220,"Girdles and panty girdles of all types of textile materials, whether or not elasticated, incl. ...",107,19,11,297,314,148,85,99,65,83,,6590,4703,4207,3810,3893,6476,4208,3320,1571,2129,,1921,2554,4207,11372,3877,2069,1788,1901,605,631
630319,"Curtains, incl. drapes, and interior blinds, curtain or bed valances, knitted or crocheted ...",172,94,20,210,12,5,2,0,99,83,,2436,2281,1336,1316,854,744,309,224,259,161,,3437,1841,1711,5973,985,1647,1417,1666,2074,3718
851539,"Machines for arc welding of metals, incl. plasma arc welding, neither fully nor partly automatic",208,439,54,29,57,109,195,13,59,83,,651,359,247,436,319,404,329,1325,203,536,,22424,27475,26455,21705,18915,8670,10397,10229,8085,6706
846599,"Machine tools for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...""",1075,97,485,388,236,162,234,120,64,83,,126526,118292,112672,108056,99671,128978,135195,123390,109393,127199,,13221,3721,5150,5284,8221,7707,7052,2747,1702,2870
481013,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres ...",136,53,46,69,47,133,123,32,113,83,,53670,49015,50019,40668,41262,41294,34825,28419,22015,25361,,149881,154372,162306,138256,133636,12099,11918,13429,9316,9438
760120,Unwrought aluminium alloys,85,127,124,119,6,309,5,257,257,83,,287400,264944,269157,197137,167542,193074,189390,157068,201042,264559,,25922,13029,20828,20805,14664,15889,14194,53172,63282,32511
845221,"Automatic sewing machines, industrial type",266,290,371,338,1019,905,139,332,109,82,,16645,21529,19620,20438,24245,27536,34933,40622,34282,51538,,72618,87084,67270,58558,65426,56564,39818,4689,2755,2399
391110,"Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes, in primary ...",605,585,447,593,290,411,443,339,274,82,,129278,129365,139957,123435,106547,114178,119783,102650,89468,105136,,7442,5380,20727,24959,32428,34827,30040,12788,4587,3536
901310,"Telescopic sights for fitting to arms; periscopes; telescopes designed to form parts of machines, ...",21,698,790,0,1,0,2,0,5,82,,1097,1698,666,1076,668,935,960,1299,3718,8447,,1434,1792,1390,5792,1117,1384,1188,3825,2468,1153
730793,"Butt welding fittings of iron or steel (excluding cast iron or stainless steel products, and ...",1048,338,118,168,683,338,232,490,77,82,,14233,19019,18490,12614,9108,9594,14991,17057,9178,7152,,30460,32703,31748,21301,13607,12772,19498,25490,25222,20733
220110,"Mineral waters and aerated waters, not containing added sugar, other sweetening matter or flavoured",99,48,0,18,0,0,40,76,46,82,,1602,1544,1937,2342,2140,2340,2734,2440,1875,2227,,22256,19361,21764,20902,21664,20832,24396,22689,15793,17312
842389,Weighing machinery of a maximum weighing capacity > 5.000 kg,472,1327,887,1684,1895,1040,417,110,75,82,,615,816,474,810,414,750,421,422,533,188,,16622,18964,20337,14057,9704,11833,17558,3538,7895,2493
441510,"Cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood",589,81,116,48,28,17,12,65,626,81,,1810,1725,2034,1524,1999,2464,1991,1750,5345,8716,,10513,9634,8698,8400,7302,3704,5216,5181,5691,8918
711620,"Articles of precious or semi-precious stones """"natural, synthetic or reconstructed"""", n.e.s.""""",86,198,48,70,69,2,4,28,116,81,,54430,64685,81025,59940,36079,23043,23239,10724,8091,6117,,11029,15880,34754,11423,18002,5801,21599,19733,111938,50952
151519,"Linseed oil and fractions thereof, whether or not refined, but not chemically modified (excluding ...",0,1,0,0,71,42,57,57,78,80,,286,376,276,217,208,255,173,127,171,250,,273,265,164,163,204,145,160,145,189,230
730719,Cast tube or pipe fittings of iron or steel (excluding products of non-malleable cast iron),767,260,866,724,785,707,210,163,115,80,,10385,9351,23202,26710,23529,30864,27091,23399,24384,32416,,56632,58567,57015,36941,34499,36316,41499,32348,21185,25792
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",263,246,29,209,210,328,0,575,238,80,,66412,55943,84320,40712,32308,39141,56518,43228,25536,35665,,493456,595970,432844,161731,119661,88100,245236,219491,130858,147361
870892,"Silencers """"mufflers"""" and exhaust pipes, and parts thereof, for tractors, motor vehicles ...""",15,28,41,31,25,30,64,65,40,80,,21177,21805,27283,24691,22786,20387,24713,26323,28148,40351,,31969,35608,33289,29216,35976,18476,6096,5958,5543,7073
845939,"Boring-milling machines for metals, not numerically controlled (excluding way-type unit head ...",97,957,412,175,111,478,91,236,106,80,,7610,4270,4512,3961,2652,3162,2632,4045,3755,3237,,3791,4418,1647,2656,824,2043,816,4093,911,340
845959,"Milling machines for metals, knee-type, not numerically controlled",177,0,28,70,0,62,67,48,1,80,,6428,5600,7627,7681,5772,18559,15960,6823,3623,7528,,951,270,884,654,345,344,187,328,83,411
391731,"Flexible tubes, pipes and hoses, of plastics, burst pressure >= 27,6 MPa",97,91,159,235,212,196,292,126,42,80,,486,1427,1996,1709,1901,2944,6858,7372,6449,6780,,11886,17075,14561,11864,13443,15171,15804,16562,11502,17767
440500,"Wood wool; wood flour wood powder able to pass through a fine"""", 0,63 mm mesh, sieve with ...""",0,0,0,0,0,0,0,0,0,80,,6505,6307,7166,4199,3233,3130,1089,1294,4137,1469,,593,576,254,338,218,343,248,280,192,305
730621,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products ...",5,1,1,59,0,1,0,23,61,79,,24,11,6,2,17,29,23,38,73,3,,8231,7382,3211,1808,2344,2889,1212,1508,219,329
200981,"Cranberry """"Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea"""" juice, unfermented, ...""",194,141,153,168,133,35,34,20,46,78,,0,24,140,188,599,195,130,98,104,89,,1520,1150,1355,891,1096,881,738,811,661,900
91012,"Ginger, crushed or ground",14,1,1,2,12,8,6,6,29,78,,0,10,121,110,250,92,106,69,76,124,,216,202,216,253,327,318,367,319,438,380
846190,"Planing machines and other machine tools for working metals, metal carbides or cermets by removing ...",160,961,611,55,37,90,43,25,99,78,,14360,12763,17093,10352,7201,7354,8519,4702,4282,4797,,2878,6146,3506,2612,3825,3662,3726,2690,5681,2958
30722,"Scallops and other molluscs of the family Pectinidae, frozen, even in shell",0,0,0,0,0,0,42,95,69,78,,0,0,0,0,0,94,20,103,33,113,,0,0,0,0,0,0,13939,23177,16542,25491
390512,"Poly""""vinyl acetate"""", in aqueous dispersion""""",72,97,65,105,203,48,51,59,58,78,,2548,2660,5704,6032,3456,4279,10250,10116,8900,11883,,6223,5697,8054,6098,6860,6961,5702,5022,2481,2864
440890,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ...",118,394,71,626,40,0,1,121,0,78,,6453,5916,6021,5013,5602,5618,5533,5667,5802,9029,,4256,3825,2138,1523,866,1519,1116,1015,583,533
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",368,176,364,370,137,1,6,63,7,77,,21049,21439,26265,21365,16971,21594,19205,20372,27509,41173,,17335,29142,31629,29801,45544,47114,21739,29314,76528,117214
160414,"Prepared or preserved tunas, skipjack and Atlantic bonito, whole or in pieces (excluding minced)",202,74,73,92,87,40,55,45,107,77,,259,317,239,515,261,366,395,399,932,600,,12415,12713,12049,10996,12205,10495,11695,11685,29304,12042
70511,Fresh or chilled cabbage lettuce,727,902,989,1299,197,109,291,77,114,77,,7209,9519,9525,8982,9390,7346,10223,5958,5281,5806,,13321,13972,13731,12694,11641,11949,11772,11132,10580,12585
900791,"Parts and accessories for cinematographic cameras, n.e.s.",106,85,58,6,26,36,7,59,34,77,,1804,1309,1291,459,910,256,320,239,224,154,,13150,8655,23225,15009,7542,9291,6584,7089,4404,4985
380892,"Fungicides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",0,0,6,16,0,0,4,37,87,77,,20158,25155,29699,36665,32335,41553,47037,48788,47497,45718,,13024,24386,18392,16398,15951,18232,18657,11621,16217,15452
350400,"Peptones and their derivatives; other albuminous substances and their derivatives, n.e.s.; ...",35,35,32,7,2,4,13,41,58,77,,2456,2788,2209,3775,2675,3084,6297,11171,17140,21575,,25911,36071,23510,15126,20574,25349,27199,41110,49154,60976
850519,"Permanent magnets and articles intended to become permanent magnets after magnetization, of ...",80,67,251,62,131,208,90,260,178,77,,8861,7656,7542,7517,8515,8839,8253,10704,10741,10348,,14758,12816,13639,16338,27536,33353,32221,31737,30880,37954
200811,"Groundnuts, prepared or preserved (excluding preserved with sugar)",163,370,132,298,185,79,84,112,24,76,,1279,2348,1834,1317,951,1083,1083,1198,1613,1254,,17980,21873,18335,18926,19023,18214,19047,18596,20315,20091
920994,"Parts and accessories for musical instruments, the sound of which is produced, or must be amplified, ...",243,229,128,188,203,52,41,12,73,76,,19189,14014,27517,34568,25936,27338,30583,26892,20972,13268,,5096,4962,6855,4120,3449,2727,2626,1969,2059,1871
611490,"Special garments for professional, sporting or other purposes, n.e.s., of textile materials, ...",539,153,120,75,164,147,64,41,44,76,,1686,1604,1871,3186,2029,1651,1651,2097,1815,2742,,109200,95036,95819,89900,107268,116688,108123,118311,65450,102493
490290,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising ...",432,575,583,712,554,442,334,271,80,75,,6387,5569,6271,8398,8919,6547,5535,4511,2604,2548,,17503,14214,16269,11289,9447,8306,7057,5609,3241,1808
731512,Articulated link chain of iron or steel (excluding roller chain),13,7,39,19,45,8,18,4,27,75,,1700,1389,1587,1460,1233,1613,1897,1253,1350,1400,,3076,3326,4902,2636,1987,1406,2081,3930,1697,3009
820719,"Rock-drilling or earth-boring tools, interchangeable, and parts therefor, with working parts ...",64,27,167,201,63,42,74,39,13,75,,797,596,592,582,537,1033,1043,685,930,1160,,143341,159651,153121,83920,46954,47262,47878,46606,36547,51052
851420,Furnaces and ovens functioning by induction or dielectric loss,13,46,2,578,5,0,608,550,30,75,,4594,4842,5292,3703,5092,6056,7670,3789,4717,4877,,3467,4343,5206,3003,1926,3798,5233,7047,4302,5358
853939,"Discharge lamps (excluding flourescent, hot cathode lamps, mercury or sodium vapour lamps, ...",460,103,204,14,96,119,30,83,89,74,,57054,24824,60845,80427,54466,17529,12667,8519,6945,7215,,18336,16825,13823,12891,8897,8526,9129,6339,5524,6284
900661,Electronic discharge lamp flashlight apparatus for photographic purposes,772,55,24,275,185,524,391,138,40,74,,10134,5031,2609,8644,6848,8879,7569,1989,1443,2863,,12360,12941,4989,2193,2963,2804,3136,2045,832,1240
330420,Eye make-up preparations,575,560,482,436,270,775,505,377,194,74,,35332,40039,44468,48067,63196,62307,60434,69907,59937,72242,,60387,75707,91767,100740,103497,116854,157668,170158,76216,102652
560819,"Knotted netting of twine, cordage, ropes or cables, by the piece or metre; made-up nets, of ...",28,19,17,113,125,105,74,76,85,74,,8159,12440,11479,10525,9974,10571,8662,7343,7014,9439,,2790,2099,1693,2710,3002,2706,3341,3064,3103,2115
160416,"Prepared or preserved anchovies, whole or in pieces (excluding minced)",86,80,118,95,96,84,67,65,94,74,,8,1,8,7,141,741,37,4,8,3,,1003,876,836,803,1272,1711,1418,1040,1100,1141
840510,"Producer gas or water gas generators, with or without their purifiers; acetylene gas generators ...",5,0,47,31,33,15,25,30,6,74,,256,232,425,1166,1221,860,535,574,1098,499,,37680,27016,8815,24903,38035,10360,15833,14004,14498,16896
70890,"Fresh or chilled leguminous vegetables, shelled or unshelled (excluding peas """"Pisum sativum"""" ...""",0,0,0,46,68,40,89,118,73,73,,2290,1994,1502,1526,1237,1614,1180,994,939,778,,3435,3661,3630,3416,3441,3322,3798,4035,4548,4848
481950,"Packing containers, incl. record sleeves, of paper, paperboard, cellulose wadding or webs of ...",331,165,118,138,72,62,6,11,136,73,,31521,32779,31304,28460,26613,23852,25134,27292,23327,23859,,5837,6889,8620,57496,50088,42679,40909,39895,33556,34534
920590,Wind musical instruments (excluding brass-wind instruments),65,66,54,79,64,1,114,26,34,73,,14116,13734,14259,13191,13540,12866,13827,14862,11438,10773,,2347,3295,3710,3059,4767,2304,3231,3449,2754,4080
940130,"Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, ...",169,299,841,742,717,364,303,216,53,72,,7640,21391,52450,58246,53114,57021,76443,64346,80508,85268,,12084,14204,15095,17432,18662,17409,22480,25270,25566,41495
200490,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar or acetic ...",24,19,11,2,42,173,84,52,31,72,,11492,11841,12890,12617,14212,14506,12613,14217,13029,17461,,2396,2637,2821,2565,2971,2785,3356,4193,3850,4258
281119,"Inorganic acids (excluding hydrogen chloride """"hydrochloric acid"""", chlorosulphuric acid, ...""",87,101,109,87,75,62,95,69,104,72,,30834,32175,30801,23858,24817,25754,25788,24885,20641,18698,,2648,2145,1488,1608,1627,3114,3437,4439,6773,4949
580640,"Narrow fabrics consisting of warp without weft assembled by means of an adhesive """"bolducs"""", ...""",102,95,145,134,285,147,132,109,155,72,,2,93,144,110,135,107,64,169,32,90,,352,331,428,350,688,512,424,496,428,447
520420,"Cotton sewing thread, put up for retail sale",16,0,30,31,19,7,91,39,39,71,,1388,1291,1622,1136,227,114,102,57,29,60,,244,432,696,324,194,233,468,212,134,183
300442,"Medicaments containing pseudoephedrine """"INN"""" or its salts, not containing hormones, steroids ...""",0,0,0,0,0,0,0,70,141,71,,0,0,0,0,0,0,293,119,0,111,,0,0,0,0,0,0,673,1728,1659,766
846299,"Presses, not hydraulic, for working metal (excluding forging, bending, folding, straightening ...",404,295,889,491,697,600,292,152,605,71,,109596,89530,103016,80498,85366,87707,90390,74397,43223,67137,,29069,19152,16884,9303,9701,13269,13650,6487,5658,11739
721691,"Angles, shapes and sections, of iron or non-alloy steel, cold-formed or cold-finished from ...",0,0,0,236,351,0,0,22,27,71,,404,899,146,137,322,1085,4735,3501,3565,6712,,1155,1563,689,653,1027,834,837,1663,666,604
910229,"Wrist-watches, whether or not incorporating a stop-watch facility, with hand winding only (excluding ...",45,298,49,9,273,34,2430,82,377,71,,1472,1353,739,530,2867,1225,2402,1282,2226,6829,,82267,84370,85553,397472,473183,411506,392982,396636,277649,429854
611599,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",378,395,329,154,124,129,87,148,85,71,,19704,22521,24075,25312,21171,22184,22170,21467,13796,18966,,11951,13174,10876,10054,6438,6346,7119,8001,4514,5225
701399,"Glassware of a kind used for toilet, office, indoor decoration or similar purposes (excluding ...",154,53,46,71,84,105,365,121,51,70,,9145,12656,11179,9648,8940,9531,11916,10059,7781,8826,,10048,15734,12552,20864,21960,16800,22141,23750,18513,22651
200410,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",16,12,26,0,0,34,23,3,76,70,,36,230,419,948,709,1327,1727,1664,1104,890,,32225,35604,34547,36221,35433,38506,39228,44059,37874,49425
480419,"Kraftliner, uncoated, in rolls of a width > 36 cm (excluding unbleached and goods of heading ...",3789,2355,3921,6069,1823,91,46,105,45,70,,16637,21070,15397,6936,10443,13575,26936,50540,49092,31038,,9031,8761,8026,9444,2929,717,855,491,340,774
160555,"Octopus, prepared or preserved (excluding smoked)",12,78,79,102,67,63,46,89,8,70,,0,62,795,761,784,895,2565,4136,1266,2332,,2324,2658,3061,2451,2837,3130,3759,3774,2827,3687
151590,"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...",12,20,21,5,16,8,29,42,36,70,,2463,2196,2858,2419,1161,1327,991,2023,910,890,,51678,24156,20998,30091,26597,27387,36123,47679,55277,65628
285000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined (excluding ...",71,0,104,86,1,26,11,1,1,70,,1738,3139,6886,7518,11987,17279,18541,16590,20300,20728,,9195,7902,9545,11899,11526,13540,18478,20536,24145,23699
270730,"Xylol """"xylenes"""" containing > 50% of xylenes (excluding chemically defined)""""",526,526,704,265,29,32,46,78,3368,70,,67057,60600,228290,134771,118535,136813,194809,170890,158180,183618,,47158,19488,5594,4614,4241,21757,11810,18236,11818,3020
940520,"Electric table, desk, bedside or floor-standing lamps",291,268,163,98,61,54,73,68,28,70,,11219,9208,18995,33266,36733,29014,16083,15897,11496,12134,,10679,11199,10552,12261,11866,13524,9484,10606,9001,10753
920600,"Percussion musical instruments, e.g. drums, xylophones, cymbals, castanets, maracas",547,455,316,191,557,334,323,225,44,69,,29810,24758,23145,25895,27275,25182,26805,25868,20519,24685,,6073,4339,3414,2884,5221,4172,2476,1961,1479,3283
401695,"Inflatable mattresses and cushions and other inflatable articles, of vulcanised rubber (excluding ...",116,68,58,30,161,144,78,71,82,69,,840,890,920,1086,1082,867,819,670,1176,1142,,7960,5788,4918,4796,4284,5036,3410,2357,2756,2916
811299,"Articles of niobium """"columbium"""", gallium, indium, vanadium and germanium, n.e.s.""""",24,39,4,1,21,37,6,30,0,69,,20706,29101,39703,23230,16460,19857,29527,24239,21417,21022,,7265,5859,5702,9644,5924,3440,5282,2429,5933,7673
854419,"Winding wire for electrical purposes, of material other than copper, insulated",1841,1014,304,670,846,521,517,450,145,69,,56661,59954,52165,39782,33410,35265,35739,34296,30604,40493,,29047,28136,32839,22755,19079,16482,22312,13125,20990,26732
640291,"Footwear covering the ankle, with outer soles and uppers of rubber or plastics (excluding waterproof ...",81,79,195,75,49,65,160,98,56,69,,543,177,284,512,870,796,1256,660,682,965,,2878,6722,9130,7038,5349,7313,7280,9989,10238,9713
381129,Prepared additives for oil lubricants not containing petroleum oil or bituminous mineral oil,3,40,72,0,7,68,62,0,58,69,,7228,7345,8411,6326,6167,7301,6566,4075,4230,4765,,92658,69791,80151,60645,55085,61667,37899,26669,39757,71763
901811,Electro-cardiographs,1,9,4,38,14,1,13,21,43,69,,730,801,407,1448,4773,646,353,270,650,1253,,16145,12040,11797,10795,15250,16646,18277,36617,43901,92230
691410,"Ceramic articles of porcelain or china, n.e.s.",339,676,1937,1409,140,137,102,19,127,68,,2770,2998,1983,1902,1326,3624,4728,2564,7048,10336,,7108,7769,15224,13957,10454,7552,6646,10570,4247,6644
81340,"Dried peaches, pears, papaws """"papayas"""", tamarinds and other edible fruits (excluding nuts, ...""",26,43,2731,1248,144,68,29,229,50,68,,825,771,874,721,876,572,518,414,393,510,,6362,6044,9070,7197,6709,6108,7436,6897,6279,6710
701391,"Glassware, of lead crystal, of a kind used for toilet, office, indoor decoration or similar ...",124,175,77,34,25,27,59,45,17,68,,610,658,669,483,689,670,432,861,109,218,,4415,8557,5772,4387,4083,5470,4136,3921,3158,4722
840810,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",715,469,353,126,189,71,83,184,221,68,,3100,2207,3514,3069,4954,2315,3390,2338,2100,2870,,338787,365777,319493,229533,142835,148364,78454,86930,84500,61082
630253,Table linen of man-made fibres (excluding knitted or crocheted),0,9,1,1,4,38,49,39,45,67,,8592,3725,3298,3031,3706,5639,9115,6753,7208,4107,,801,351,430,460,383,402,327,488,253,285
580610,"Narrow woven pile fabrics, incl. terry towelling and similar terry fabrics, and chenille fabrics, ...",71,60,122,9,13,6,17,10,24,67,,13062,12569,10213,10669,11695,12000,15945,15355,14386,19153,,3910,7864,3565,3440,2250,2184,3213,1853,1560,1980
590699,"Rubberised textile fabrics (excluding knitted or crocheted textile fabrics, adhesive tape of ...",958,867,588,150,169,416,184,20,24,67,,40698,36964,39886,43741,39837,47375,33521,28229,24314,35043,,14666,12382,11732,5472,3547,3653,3138,3134,1931,2372
850410,Ballasts for discharge lamps or tubes,173,68,73,221,21,67,70,78,144,67,,10429,10004,8344,5514,4078,2401,1787,1707,1765,2248,,28280,28565,25270,19043,14045,13717,10466,10863,7561,10019
851290,"Parts of electrical lighting or signalling equipment, windscreen wipers, defrosters and demisters ...",79,180,737,275,253,183,105,66,339,67,,88794,85500,95165,113105,110557,115170,148867,166558,155238,214424,,13241,12622,9978,17027,27126,43938,61978,48090,43420,24394
600490,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...""",8,53,124,40,302,0,0,2,92,67,,67070,68022,83094,85980,85973,78411,49253,33697,26001,38284,,549,247,169,299,992,149,300,163,394,348
551339,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",0,12,0,0,75,294,136,119,70,67,,1849,3269,4343,1495,793,639,1063,1444,1129,622,,364,1281,650,496,1298,1721,1469,1589,487,774
610332,"Men's or boys' jackets and blazers of cotton, knitted or crocheted (excluding wind-jackets ...",11,18,68,94,20,26,5,9,51,66,,132,212,856,365,226,40,175,135,50,54,,9382,11185,11790,15378,17875,16525,17366,4507,1950,1571
851230,Electrical sound signalling equipment for cycles or motor vehicles,130,48,66,85,62,344,76,81,30,66,,53829,54128,48341,32015,24351,25980,26427,28797,29555,33549,,8194,7526,8757,11836,5365,6305,6406,3372,2795,3539
850220,Generating sets with spark-ignition internal combustion piston engine,185,0,0,0,3,22,5,0,0,66,,6,38,78,677,33,51,196,24,20,30,,104590,52662,42087,75374,61672,19357,30602,61413,45817,43075
284920,"Carbides of silicon, whether or not chemically defined",3,1928,2,19,13,43,1,383,4,66,,6176,8246,7428,5758,5944,6120,4095,5481,7169,6171,,19046,20722,27474,24119,20921,21005,12957,9060,7337,10245
722100,"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils",4109,2327,1701,722,731,438,396,101,188,66,,305098,244888,278891,292705,274164,372028,376517,299591,263824,345881,,10928,7938,11551,23339,12155,8258,9621,3475,6504,18862
901730,"Micrometers, callipers and gauges (excluding gauges without adjustable devices of subheading ...",103,33,32,30,30,27,138,225,50,66,,4645,6250,5113,4737,6329,6261,6443,5928,6386,6442,,9035,9066,9293,7422,6388,7638,10453,11432,10073,9968
961800,"Tailors' dummies and other lay figures, automata and other animated displays used for shop ...",129,413,244,269,91,68,115,33,16,65,,8280,6247,5364,4089,4151,3517,3866,3488,2534,3910,,8578,8350,6414,4494,7545,5854,4449,3594,1893,2514
81050,Fresh kiwifruit,0,0,0,0,0,49,0,74,0,65,,0,30,292,50,0,126,197,327,474,169,,10143,11736,15777,18359,19443,16516,21457,18531,22444,25011
