Product code,Product label,"Taipei, Chinese's imports from Russian Federation-Value in 2012","Taipei, Chinese's imports from Russian Federation-Value in 2013","Taipei, Chinese's imports from Russian Federation-Value in 2014","Taipei, Chinese's imports from Russian Federation-Value in 2015","Taipei, Chinese's imports from Russian Federation-Value in 2016","Taipei, Chinese's imports from Russian Federation-Value in 2017","Taipei, Chinese's imports from Russian Federation-Value in 2018","Taipei, Chinese's imports from Russian Federation-Value in 2019","Taipei, Chinese's imports from Russian Federation-Value in 2020","Taipei, Chinese's imports from Russian Federation-Value in 2021",Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
460199,"Plaiting materials, plaits and similar products of non-vegetable plaiting materials, flat-woven ...",0,0,0,0,0,0,0,0,0,0,,4,2,19,6,6,13,12,36,22,33,,717,723,429,447,375,227,313,395,277,416
470100,"Mechanical wood pulp, not chemically treated",0,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,12,8,693,,620,315,194,324,188,254,347,41,202,334
470500,Wood pulp obtained by a combination of mechanical and chemical pulping processes,0,0,0,0,0,0,35,0,0,0,,79227,77439,79401,58654,55677,63764,76369,58333,59308,65578,,38420,33730,23764,17763,13765,13998,12636,12080,9515,8318
480210,Handmade paper and paperboard of any size or shape,0,0,0,0,0,0,0,0,0,0,,56,226,264,357,468,85,59,20,47,29,,510,1310,1140,699,626,357,414,514,307,239
480262,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",0,73,0,0,0,0,0,0,0,0,,1209,16,32,11,135,84,25,26,25,37,,5081,5321,4112,3267,4506,5418,5996,3856,3060,3363
180400,"Cocoa butter, fat and oil",0,0,0,0,0,0,0,0,0,0,,386,38,91,19,1975,1056,1532,2029,1136,1203,,384,573,998,909,1402,907,1111,1230,1493,1474
180610,"Cocoa powder, sweetened",0,0,0,0,0,0,0,0,0,0,,53,122,45,66,324,503,441,483,282,295,,958,1120,857,868,842,1255,1129,1388,957,733
282612,Fluoride of aluminium,0,0,0,0,0,0,0,0,0,0,,1,857,0,1,20,0,2,6,0,628,,87,271,281,341,295,210,396,175,79,323
283010,Sodium sulphides,0,0,0,0,0,0,0,0,0,0,,475,62,80,132,269,386,402,86,117,1495,,1253,1290,797,1357,1933,842,1222,777,697,774
283090,"Sulphides (excluding sodium); polysulphides, whether or not chemically defined (excluding inorganic ...",0,0,0,0,0,0,0,0,0,0,,463,1347,1813,372,23,171,421,234,160,63,,2128,1948,1744,1641,1801,2478,2537,1869,2906,3522
283230,Thiosulphates,0,0,0,0,0,0,0,0,0,0,,266,858,819,450,175,387,307,1063,824,1449,,642,454,366,264,360,533,832,752,807,1162
283329,"Sulphates (excluding of sodium, magnesium, aluminium, nickel, copper, barium and mercury)",48,0,0,0,0,0,0,0,0,0,,19244,24965,21971,12906,10828,12822,17560,8552,9659,16003,,5838,5829,8238,6115,6104,7451,7909,7577,11930,16603
310310,"Superphosphates (excluding those in tablets or similar forms, or in packages with a gross weight ...",0,0,0,0,0,0,0,0,0,0,,31,3,32,4,7,0,0,0,0,0,,0,51,942,0,117,0,0,0,0,0
310420,"Potassium chloride for use as fertiliser (excluding that in tablets or similar forms, or in ...",5741,6071,6354,350,510,0,0,0,0,0,,3591204,2137881,2656594,2872015,1831783,2110631,2005024,2314287,1756407,3296125,,150414,128134,134603,115886,94400,97705,94762,114884,112179,89944
310510,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, ...",0,0,0,0,45,21,0,0,0,0,,3482,2341,754,480,630,1072,1149,1528,4692,16489,,18969,15450,14337,12748,16454,14991,14717,13561,14714,14051
310551,"Mineral or chemical fertilisers containing nitrates and phosphates (excluding ammonium dihydrogenorthophosphate ...""",0,0,0,0,0,0,0,0,0,0,,187077,159342,196719,122390,96303,126822,137742,133496,105627,161764,,58,117,68,65,152,64,64,44,29,111
310590,Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium ...,0,0,0,0,0,0,0,0,0,0,,1561,2186,909,55279,39370,27042,21293,40122,15709,22539,,8125,11149,10698,9436,10383,12489,13408,13154,14019,14929
320300,"Colouring matter of vegetable or animal origin, incl. dye extracts (excluding animal black), ...",0,0,0,0,0,0,0,0,0,0,,1445,1410,1554,874,1443,2038,2756,3327,3298,4298,,8183,5846,5829,4843,6979,6716,6118,6764,6338,7460
320500,Colour lakes (other than Chinese or Japanese lacquer and paints); preparations based on colour ...,0,0,0,0,0,0,0,0,0,0,,492,218,153,73,134,148,164,149,199,229,,1773,2089,1698,2285,2355,2075,1350,1222,661,1029
320641,Ultramarine and preparations based thereon of a kind used for colouring any material or produce ...,0,0,0,0,0,0,0,0,0,0,,12,7,10,12,4,13,114,129,130,184,,1871,1833,1949,1594,1664,1604,1440,1315,1110,1733
291636,Binapacryl (ISO),0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,2,0,0,0,0,0,0,0,0
291712,"Adipic acid, its salts and esters",0,0,0,0,0,0,0,0,0,0,,53,13,40,25,15,65,157,36,118,131,,127333,134474,141189,98097,86500,132517,125199,86508,67915,113361
291732,Dioctyl orthophthalates,0,0,0,0,0,0,0,0,0,0,,2139,2135,3701,1468,2582,4897,5539,4007,2194,3342,,302,5,15,9,477,1687,6,6,215,7026
291734,"Esters of orthophthalic acid (excluding dioctyl, dinonyl or didecyl orthophthalates)",0,0,0,0,0,0,0,0,0,0,,600,467,538,464,688,678,845,1156,742,2738,,262,267,378,227,272,306,489,1150,1692,20193
291819,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and ...",0,0,0,0,0,0,0,0,0,0,,11,90,6,31,76,266,211,865,257,376,,8230,10100,12387,12119,9980,10295,12644,9769,7755,10505
291829,"Carboxylic acids with phenol function but without other oxygen function, their anhydrides, ...",0,0,0,1,0,0,0,0,0,0,,76,51,98,81,74,85,127,416,1286,981,,11369,12083,10765,14728,11624,13225,12813,11420,11484,18602
291830,"Carboxylic acids with aldehyde or ketone function but without other oxygen function, their ...",0,0,0,0,0,0,0,0,0,0,,5,53,25,1,68,2,54,2,160,281,,1691,2065,2279,2862,1349,1986,2528,2331,2215,2354
292024,Triethyl phosphite,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,350,623,468,270,1276
292122,Hexamethylenediamine and its salts,0,0,0,0,0,0,0,0,0,0,,1,4,47,162,42,2,13,10,42,44,,10156,14163,16936,14138,13570,32352,45709,32907,20636,18940
292145,"1-Naphthylamine """"alpha-naphthylamine"""", 2-naphthylamine """"beta-naphthylamine"""" and their ...""",0,0,0,0,0,0,0,0,0,0,,24,37,34,20,11,16,13,56,25,18,,5749,7485,7608,5820,4841,5354,7423,5543,4820,5072
292239,"Amino-aldehydes, amino-ketones and amino-quinones; salts thereof (excluding those containing ...""",0,0,0,0,0,0,0,0,0,0,,15,10,7,2,2,4,8,6,6,13,,2897,3523,6430,3712,3012,2495,3243,5987,3765,4326
292243,Anthranilic acid and its salts,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,199,170,225,215,140,207,196,13,93,153
292521,"Chlordimeform """"ISO""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,16,8,0,0,0,0,0,0,0,0
293220,Lactones,0,0,0,0,0,0,0,0,0,0,,76,35,40,49,196,249,325,311,269,312,,0,752,14133,12766,13084,13429,13949,13396,13606,11045
293293,Piperonal,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,5,13,163,14,4,7,12,16,12,10
293349,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing in the structure a quinoline ...""",0,0,0,0,1,0,0,0,0,0,,535,548,422,282,180,430,374,222,176,393,,9599,8543,8232,7950,8340,10123,15345,10865,13436,8937
293352,"Malonylurea """"barbituric acid"""" and its salts""""",0,0,0,0,0,0,0,0,0,0,,1,4,2,1,1,0,1,1,1,1,,0,3,4,3,3,13,12,43,29,31
293500,Sulphonamides,0,1,0,0,0,0,0,0,0,0,,2153,993,1609,1593,1826,0,0,0,0,0,,7351,8238,9680,8835,9712,67,0,0,0,0
293590,Sulphonamides (excl. perfluorooctane sulphonamides),0,0,0,0,0,0,1,0,0,0,,0,0,0,0,94,3304,1194,2149,3399,4745,,0,0,0,0,0,11270,11214,12429,17919,15213
293711,"Somatropin, its derivatives and structural analogues, used primarily as hormones",0,0,0,0,0,0,0,0,0,0,,352,778,0,0,3,7,7,3,5,14,,68,30,0,156,136,112,37,108,3,11
293731,Epinephrine,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,58,25,0,0,0,0,0,0,0,0
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,0,0,1,1,0,,0,0,0,0,403,21552,18797,20155,29532,81791,,0,0,0,0,0,326029,471440,527447,657576,794203
300290,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses",0,0,0,0,0,0,0,0,0,0,,15299,19946,19071,16308,27038,31004,39908,39312,38712,38298,,25913,32156,28225,27622,31446,34138,41547,40172,41746,44059
300320,"Medicaments containing antibiotics, not in measured doses or put up for retail sale (excluding ...",0,0,0,0,0,0,0,0,0,0,,393,461,643,1282,1221,2118,3039,4625,2970,2983,,1150,1810,3085,2454,6687,8072,5439,7109,8497,11412
300331,"Medicaments containing insulin, not in measured doses or put up for retail sale",0,0,0,0,0,0,0,0,0,0,,0,0,0,10,87,642,1,5,53,46,,0,0,0,0,8,5,1,0,0,0
300620,Reagents for determining blood groups or blood factors,0,0,0,0,0,0,0,0,0,0,,144,778,1034,631,460,610,620,619,541,527,,357,464,811,840,943,1118,1464,1693,1813,1955
300630,Opacifying preparations for x-ray examinations; diagnostic reagents for administration to patients,0,0,0,0,0,0,0,4,0,0,,227,3922,2748,2008,3597,2023,2068,6805,5446,3096,,17612,20289,18717,21203,23694,23771,27197,31543,34947,30258
300640,Dental cements and other dental fillings; bone reconstruction cements,0,0,0,0,0,0,0,0,0,0,,1296,1496,1678,1416,2349,2912,3739,4550,4576,6588,,8315,9423,11560,11898,11689,12968,14146,15123,16075,15330
283691,Lithium carbonates,0,0,0,0,0,0,0,0,0,0,,5,14,11,6,285,1732,20,16,118,12,,3119,1872,1503,1980,8103,8445,4155,4770,3658,1461
283720,Complex cyanides (excluding inorganic or organic compounds of mercury),0,0,0,0,0,0,0,0,0,0,,15,10,42,10,9,52,106,59,20,45,,424,305,240,232,214,210,361,561,432,527
330749,"Preparations for perfuming or deodorising rooms, incl. odoriferous preparations used during ...",0,0,0,0,0,0,0,13,14,0,,16147,19227,20828,18004,17149,21364,21425,24530,24545,44064,,16893,17598,17898,19534,22217,41196,46753,61296,69493,70180
340520,"Polishes, creams and similar preparations, for the maintenance of wooden furniture, floors ...",0,0,0,0,0,0,0,0,0,0,,327,1024,1354,781,912,1250,1126,1021,1082,1224,,898,990,864,945,742,492,444,618,455,513
340700,"Modelling pastes, incl. those put up for children's amusement; preparations known as dental ...""",0,0,0,0,0,0,0,0,0,0,,2911,3844,4735,2990,3840,4797,5179,6061,5119,7287,,6378,6313,7177,7062,7964,7648,9655,9395,10363,11846
350790,"Enzymes and prepared enzymes, n.e.s. (excluding rennet and concentrates thereof)",16,11,8,0,2,0,0,0,0,0,,2061,1603,2615,2500,3617,4613,5375,5162,5923,6462,,28694,30565,28163,31621,34632,38759,41390,47221,56926,53968
370130,"Photographic plates and film in the flat, sensitised, unexposed, with any side > 255 mm",0,0,0,0,0,0,0,0,0,0,,996,1104,1543,1716,1523,2415,3178,2788,3609,5198,,51813,50342,46933,43537,44468,41240,42472,35034,33386,35571
370243,"Photographic film """"incl. instant print film"""", sensitised, in rolls, unexposed, without perforations, ...""",0,0,0,0,0,0,0,0,0,0,,7,182,179,129,74,93,55,67,58,85,,2873,3432,2869,2112,1479,1720,1290,932,1085,665
370610,"Cinematographic film, exposed and developed, whether or not incorporating soundtrack or consisting ...",0,0,0,0,0,0,0,0,0,0,,1398,408,19,13,45,11,0,21,0,0,,1724,48,80,78,0,65,11,2,7,16
382319,"Fatty acids, industrial, monocarboxylic; acid oils from refining (excluding stearic acid, oleic ...",0,0,0,0,0,0,0,0,0,0,,10891,16191,23482,9789,13423,24320,22834,13356,33900,29555,,26637,27762,25026,13990,14051,14612,14880,12379,14060,22124
382450,Non-refractory mortars and concretes,0,0,0,0,0,0,0,0,0,0,,620,1230,1300,1144,1237,1768,1712,2648,4240,5431,,110,149,998,323,620,249,503,2041,7065,14333
382471,"Mixtures containing chlorofluorocarbons """"CFCs"""", whether or not containing hydrochlorofluorocarbons ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,4,0,0,2,166,132,,128,126,171,31,35,77,20,0,0,0
382490,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",1,1,48,3,90,0,0,0,0,0,,56461,61965,50486,37628,39210,0,0,0,0,0,,2357267,2397148,2097716,1511074,1552839,15217,0,0,0,0
382530,Clinical waste,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,,3,0,0,0,0,0,0,0,0,0
390220,"Polyisobutylene, in primary forms",0,0,0,0,0,0,0,0,0,0,,12074,12672,15983,10943,10936,10162,12691,10026,11707,15808,,3748,3564,3101,2357,1770,2007,1948,2641,3048,3670
390440,"Vinyl chloride copolymers, in primary forms (excluding vinyl chloride-vinyl acetate copolymers)",0,0,0,0,0,0,0,0,0,0,,61,4,164,107,37,16,6,2,5,5,,3490,2823,3152,3376,3129,4433,4617,3633,2644,2899
390519,"Poly""""vinyl acetate"""", in primary forms (excluding in aqueous dispersion)""""",0,0,0,0,0,0,0,0,0,0,,58,70,31,21,48,36,7,9,15,24,,1754,1093,1025,803,818,1011,756,873,494,737
390529,"Vinyl acetate copolymers, in primary forms (excluding in aqueous dispersion)",0,0,0,0,0,0,0,0,0,0,,2310,2253,3610,1663,3722,4512,6609,6159,6193,10290,,2627,2824,3735,3521,4538,4405,4952,4155,3803,4000
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",214,184,69,124,0,0,0,0,0,0,,47516,53293,45527,37694,38943,50349,67614,56807,52898,82685,,155235,144614,155405,132190,140223,166046,186903,212780,239118,302085
390939,"Amino-resins, in primary forms (excl. urea, thiourea and melamine resins and MDI)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1037,1449,1080,749,814,,0,0,0,0,0,1097,837,840,901,1705
391400,"Ion-exchangers based on polymers of heading 3901 to 3913, in primary forms",0,0,0,0,0,0,0,0,0,0,,2565,3805,2474,2010,1628,4397,4348,8140,3850,9412,,30439,28507,31492,34283,30746,32201,37258,43251,52441,57150
391620,"Monofilament with any cross-sectional dimension of > 1 mm, rods, sticks and profile shapes, ...",0,0,0,0,0,0,0,0,0,0,,41532,49748,50997,58116,40300,43209,45670,51582,51931,81978,,351,469,1036,835,725,700,877,1015,636,751
391710,"Artificial guts """"sausage casings"""" of hardened protein or cellulose materials""""",51,7,0,0,0,0,0,0,0,0,,3958,5612,5317,4126,4070,4677,5014,4522,5150,7701,,6843,6468,5615,5377,4644,5987,6027,6605,6828,6498
391732,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",0,0,0,0,0,0,0,0,0,0,,50565,55470,61464,51786,52201,55429,63895,70117,73317,82698,,16293,21233,20419,18746,17940,19662,21066,21216,17603,18640
391910,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, in ...",0,0,0,0,0,0,0,0,0,0,,6891,7678,10069,7149,6889,8577,13197,16356,19221,34159,,33557,22931,28629,23991,26657,29124,34492,33575,42799,48454
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",0,0,0,0,0,0,0,0,2,0,,64833,77778,93714,102486,95279,107117,130433,127797,128141,200153,,87676,89125,91882,89940,94591,100984,110621,104524,118881,146797
392059,"Plates, sheets, film, foil and strip, of non-cellular acrylic polymers, not reinforced, laminated, ...""",0,0,0,0,0,0,0,0,0,0,,91,42,55,149,74,75,79,80,123,271,,7964,7264,5358,2830,4248,5890,6592,10173,9576,10923
392092,"Plates, sheets, film, foil and strip, of non-cellular polyamides, not reinforced, laminated, ...",0,0,0,0,0,0,0,0,0,0,,352,319,444,403,413,661,440,834,820,940,,122448,58720,41571,31571,46113,79481,73831,49540,53788,57710
392094,"Plates, sheets, film, foil and strip, of non-cellular phenolic resins, not reinforced, laminated, ...",0,0,0,0,0,0,0,0,0,0,,88,70,105,81,30,55,58,56,60,99,,20727,26941,43660,51519,65442,67263,82366,83908,113921,142692
392220,"Lavatory seats and covers, of plastics",0,0,0,0,0,0,0,0,0,0,,2354,1805,1940,1325,1642,3040,3013,2110,2160,2714,,3911,3152,4414,4334,3573,3156,3519,3380,3465,3083
392330,"Carboys, bottles, flasks and similar articles for the conveyance or packaging of goods, of ...",0,0,0,0,0,0,0,0,0,0,,27575,36082,40188,32503,39622,52258,59880,61493,58271,84073,,28836,25424,27291,27690,30265,32935,38407,39668,42517,49355
392350,"Stoppers, lids, caps and other closures, of plastics",0,0,0,0,0,0,0,0,0,0,,42197,47604,48258,36044,38759,44091,48601,51332,52327,61075,,17651,17613,20288,20543,21680,23028,26314,28336,30466,33647
220900,"Vinegar, fermented vinegar and substitutes for vinegar obtained from acetic acid",0,0,0,0,0,0,0,0,0,0,,667,867,853,1377,907,1011,1202,1587,1860,1760,,1686,2225,2455,3449,4820,5714,5358,5351,6374,7101
230240,"Bran, sharps and other residues of cereals, whether or not in the form of pellets, derived ...",0,0,0,0,0,0,0,0,0,0,,16213,19211,14164,16610,13435,19122,18854,20760,21605,25055,,574,565,204,161,159,178,145,220,178,261
230310,Residues of starch manufacture and similar residues,0,0,0,0,0,0,0,0,0,0,,160,1045,2140,2769,1927,1238,1957,1925,1675,1893,,23258,27141,29295,25123,22191,24803,26171,21833,21387,30485
230650,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,2,10,12,13,,7761,7136,6359,4017,2743,2789,2690,3311,3423,2781
230700,Wine lees; argol,0,0,0,0,0,0,0,0,0,0,,0,25,0,0,0,0,0,0,0,177,,35,0,9,32,60,45,62,64,18,0
250410,Natural graphite in powder or in flakes,0,0,0,0,0,0,0,0,0,0,,593,492,2287,1854,1080,1428,2500,1061,2489,2357,,6680,4897,5177,5029,6228,8475,9232,8946,7423,11661
250860,Mullite,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,95,92,94,1,135,,2860,1806,2120,1353,1634,2646,2298,1563,2392,3946
251110,"Natural barium sulphate """"barytes""""""""",0,0,0,0,0,0,0,0,0,0,,2811,2428,1423,625,703,829,955,1088,1562,1184,,2907,3404,3061,2477,2043,3111,3033,3213,3331,3011
251120,"Natural barium carbonate """"witherite"""", whether or not calcined (excluding barium oxide)""""",0,0,0,0,0,0,0,0,0,0,,0,9,20,7,7,0,1,10,1,106,,46,22,0,143,219,0,0,0,0,0
251511,"Marble and travertine, crude or roughly trimmed",0,0,0,0,0,0,0,0,0,0,,0,58,10,1,12,5,138,13,279,28,,84078,88007,87326,72767,41929,49007,41264,35664,21718,24483
251612,"Granite, merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular ...",0,0,0,0,0,0,0,0,28,0,,611,819,829,353,298,535,422,557,651,410,,47383,126410,106939,69535,38552,34662,35054,22500,33462,57037
251710,"Pebbles, gravel, broken or crushed stone, for concrete aggregates, for road metalling or for ...",0,0,0,0,0,0,0,0,0,0,,1707,970,2730,5348,2083,4722,5485,8941,10613,12667,,45411,47475,51576,50629,38600,32657,29719,25012,25769,25595
251730,Tarred macadam,0,0,0,0,0,0,0,0,0,0,,0,4,0,6,4,0,16,0,0,0,,64,106,40,51,75,23,0,0,0,0
251910,"Natural magnesium carbonate """"magnesite""""""""",0,0,0,0,0,0,0,0,0,0,,244,1059,500,255,233,3223,7432,5631,155,3965,,7556,10671,9648,7087,835,87,91,47,55,54
252410,Crocidolite asbestos (excluding products made from crocidolite),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,1,0,0,0,0,0
252890,"Borates, natural, and concentrates thereof, whether or not calcined, and natural boric acids ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,23341,19955,0,0,0,0,0,0,0,0
260400,Nickel ores and concentrates,0,0,0,0,0,0,0,0,0,0,,18639,4736,196,8994,27750,28499,38166,19738,82021,299936,,2,0,29,0,0,0,0,0,206,2
261610,Silver ores and concentrates,0,0,0,0,0,0,0,0,0,0,,691,0,0,0,0,0,0,0,6377,52401,,0,0,0,0,0,2,0,667,2007,847
261790,"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ...",0,0,0,0,0,0,0,0,1,0,,4217,686,36,16,131,386,370,466,362,326,,2027,1939,1118,642,523,274,184,180,189,212
261800,Granulated slag (slag sand) from the manufacture of iron or steel,0,0,0,0,0,0,0,0,0,0,,5044,1500,1486,2219,1822,3488,2515,2668,2545,2581,,37623,50508,57474,46541,28608,23486,34659,51028,60290,54348
270600,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not ...",0,0,0,0,0,0,0,0,0,0,,67273,97911,73842,45103,28453,96565,191109,56994,23887,23282,,10547,7978,4248,824,1966,272,217,372,368,156
270720,"Toluol """"toluene"""" containing > 50% of toluene (excluding chemically defined)""""",0,0,0,0,0,0,0,0,0,0,,1,129,0,0,0,19,22,79,1,8,,50,3,0,0,0,0,0,0,0,0
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",0,0,0,0,0,0,0,0,0,0,,84066,99712,169460,225735,229034,290512,334307,428505,211820,3691,,100482,100774,87664,48755,48370,47749,64507,61199,38586,50402
271011,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume incl. ...""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,201664,108025,0,0,0,0,0,0,0,0
120720,"Cotton seeds, whether or not broken",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,595,476,0,0,0,0,0,0,0,0
120740,"Sesamum seeds, whether or not broken",0,0,0,0,0,0,0,10,0,0,,46,68,131,230,273,419,649,743,1019,1625,,39925,45522,70504,55693,49138,48962,52535,52797,64071,62779
121229,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, unfit for ...",0,0,0,0,0,0,0,0,0,0,,0,9,36,65,71,38,85,105,98,159,,0,486,3137,1249,1231,1171,936,935,938,932
130231,"Agar-agar, whether or not modified",0,0,0,0,0,0,0,0,0,0,,310,442,868,873,671,974,1729,1535,1598,1313,,1468,1593,1509,1824,2047,1910,2078,2259,2202,2899
140110,Bamboos,0,0,0,0,0,0,0,0,0,0,,0,0,15,1,2,1,3,4,2,8,,1248,1541,1799,991,1181,963,870,785,673,584
150600,"Other animal fats and oils and their fractions, whether or not refined, but not chemically ...",0,0,0,0,0,0,0,0,0,0,,1,2,26,75,27,5,1,28,12,6,,134,419,70,88,117,997,1125,21,25,20
150890,"Groundnut oil and its fractions, whether or not refined (excluding chemically modified and ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,2,1,1,,0,0,3,1,0,0,0,0,0,0
150990,Olive oil and fractions obtained from the fruit of the olive tree solely by mechanical or other ...,0,0,0,0,0,0,0,0,0,0,,54,99,103,187,113,117,320,192,188,217,,14357,20632,25928,21715,17176,21251,20168,17114,18494,25158
151211,Crude sunflower-seed or safflower oil,0,0,0,0,0,0,0,0,0,0,,1300149,1045715,1027252,778330,1006328,1321692,1182803,1732076,1819475,2431389,,17516,12582,20606,12038,10772,10612,11419,11019,10564,21393
151610,"Animal fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,9,0,1138,20,0,,94,175,606,667,607,722,667,1060,2299,4710
160210,"Homogenised prepared meat, offal, blood or insects, put up for retail sale as infant food or ...",0,0,0,0,0,0,0,0,0,0,,904,1622,2101,1516,1460,1441,1962,2823,1939,2155,,38,2,0,562,345,444,559,710,551,342
160249,"Prepared or preserved meat and offal of swine, incl. mixtures (excluding hams, shoulders and ...",0,0,0,0,0,0,0,0,0,0,,1965,2481,1863,1901,1827,2388,2563,3374,4850,8132,,426,725,1198,1658,1327,1391,1231,1976,2383,4780
160300,"Extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates",0,0,0,0,0,0,0,0,0,0,,0,1,2,3,17,22,25,15,11,10,,837,626,790,734,4961,960,806,1127,1077,1485
160412,"Prepared or preserved herrings, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,0,,4188,3709,3666,2345,2399,2927,3060,3866,5545,6380,,175,110,162,50,82,69,91,77,116,163
160414,"Prepared or preserved tunas, skipjack and Atlantic bonito, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,0,,256,6672,921,257,390,825,1426,1610,1719,2055,,10877,9329,9505,12828,10840,13341,12534,13297,14142,15384
160431,Caviar,0,0,26,0,0,0,0,0,0,0,,3478,3706,2955,2034,2113,2390,2297,2500,702,1529,,0,293,786,801,1383,646,435,552,669,949
160561,"Sea cucumbers, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,,478,1074,1077,1525,1323,1044,2479,2211,3124,4359,,0,0,409,1047,1390,2144,3343,3637,45,17
160563,"Jellyfish, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,7,3,121,178,6,7,6,4
170112,Raw beet sugar (excluding added flavouring or colouring),0,0,0,0,0,0,0,0,0,0,,3142,89,216,181,2178,6929,3183,16693,67549,4867,,50,58,77,88,110,43,234,261,73,40
170199,"Cane or beet sugar and chemically pure sucrose, in solid form (excluding cane and beet sugar ...",0,0,0,0,0,0,0,0,0,0,,45216,4393,5011,6873,50639,265417,174169,248823,393015,252948,,85232,72262,68036,61479,76187,212651,236200,109799,90900,113234
284700,"Hydrogen peroxide, whether or not solidified with urea",0,0,0,0,0,0,0,0,0,0,,2645,3015,3421,2659,4407,8592,6238,8334,7489,6329,,22839,26980,32078,27043,24157,30033,34413,32939,44093,47306
290270,Cumene,0,0,0,0,0,0,0,0,0,0,,1413,0,10681,348,10259,6094,23150,37426,21591,22616,,171683,277483,91183,46364,39717,139992,96161,62072,78616,122389
290290,"Cyclic hydrocarbons (excluding cyclanes, cyclenes, benzene, toluene, xylenes, styrene, ethylbenzene ...",0,1,0,0,0,0,0,0,0,0,,16975,22081,25658,6645,12036,14954,26698,16606,4789,5562,,5177,4829,31696,45480,35465,33831,28043,27574,35513,41590
290322,Trichloroethylene,0,0,0,0,0,0,0,0,0,0,,5080,4624,3520,51,117,137,108,133,117,194,,584,304,352,183,261,176,141,96,49,124
290345,"Derivatives of acyclic hydrocarbons, perhalogenated only with fluorine and chlorine (excluding ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,7,7,0,0,0,0,0,0,0,0
