Product code,Product label,Viet Nam's imports from Singapore-Value in 2012,Viet Nam's imports from Singapore-Value in 2013,Viet Nam's imports from Singapore-Value in 2014,Viet Nam's imports from Singapore-Value in 2015,Viet Nam's imports from Singapore-Value in 2016,Viet Nam's imports from Singapore-Value in 2017,Viet Nam's imports from Singapore-Value in 2018,Viet Nam's imports from Singapore-Value in 2019,Viet Nam's imports from Singapore-Value in 2020,Viet Nam's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
630260,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton (excluding ...",0,0,0,0,0,0,0,0,0,,,4157,3176,2504,3967,4299,2319,2710,1961,1183,1401,,650,1310,1042,1628,1977,2268,2206,2337,1867,72502
630392,"Curtains, incl. drapes, and interior blinds, curtain or bed valances of synthetic fibres (excluding ...",0,0,0,6,1,1,0,0,0,,,511,136,454,263,97,354,298,246,414,335,,346,584,710,594,696,361,536,1508,1224,8333
630499,"Articles for interior furnishing, of textile materials (excluding of cotton or synthetic fibres, ...",0,0,0,0,0,0,0,0,0,,,8322,7015,6802,6335,6844,4993,2350,2270,1441,1633,,202,90,243,387,328,175,99,2702,8905,284
630629,"Tents of textile materials (excluding of synthetic fibres, and umbrella and play tents)",0,0,0,0,0,0,0,0,0,,,1115,1737,649,625,810,153,907,505,814,945,,18,191,5,71,107,249,273,147,546,1621
630630,"Sails for boats, sailboards or landcraft, of textile materials",0,0,0,2,0,1,2,0,0,,,75,11,20,425,414,49,194,18,8,45,,123,221,205,241,233,2734,319,268,414,274
640340,"Footwear, incorporating a protective metal toecap, with outer soles of rubber, plastics, leather ...",290,9,12,13,0,0,2,0,0,,,45360,45947,41235,42447,44383,39979,34943,29175,24266,9504,,2555,2575,3580,4307,5831,6565,7499,5385,4624,5381
650400,"Hats and other headgear, plaited or made by assembling strips of any material, whether or not ...",1,0,1,2,3,0,0,0,0,,,1789,1455,1683,1119,1024,806,1411,1517,678,850,,149,162,178,283,903,325,340,308,209,1482
650691,"Bathing caps, hoods and other headgear, whether or not lined or trimmed, of rubber or plastics ...",0,0,0,0,0,2,0,0,1,,,211,447,497,686,576,629,488,772,692,775,,37,110,122,166,216,218,159,196,395,5634
660199,"Umbrellas and sun umbrellas, incl. walking-stick umbrellas (excluding umbrellas having a telescopic ...",0,0,1,12,19,2,22,2,1,,,611,733,1004,911,682,587,1074,477,231,435,,514,539,842,1203,2123,2590,2472,3859,5599,10002
660200,"Walking sticks, seat-sticks, whips, riding-crops and the like (excluding measure walking sticks, ...",0,0,0,0,0,0,0,0,0,,,94,91,105,72,88,142,192,143,14,101,,1,3,1,13,25,51,151,79,46,619
670300,"Human hair, dressed, thinned, bleached or otherwise worked; wool, other animal hair or other ...",0,0,0,0,0,0,0,0,0,,,17,96,127,577,46,820,32,135,1213,7066,,38,143,196,312,221,125,570,826,1567,20307
670411,Complete wigs of synthetic textile materials,0,0,0,0,0,0,0,0,0,,,22,20,78,117,196,26,79,22,68,94,,11,11,10,11,9,7,27,28,73,2662
680221,"Marble, travertine and alabaster articles thereof, simply cut or sawn, with a flat or even ...",3944,101,0,0,0,0,27,0,0,,,5749,808,2594,2023,1323,369,2251,1195,985,2386,,7167,13031,16330,2811,6761,7209,5784,12252,15860,3404
680293,"Granite, in any form, polished, decorated or otherwise worked (excluding tiles, cubes and similar ...",1,0,0,0,0,1,0,1,0,,,1925,638,682,285,438,100,924,781,748,315,,9424,11773,12624,3928,22550,49744,65462,82082,87174,139933
680430,Hand sharpening or polishing stones,20,11,7,6,8,13,24,16,8,,,635,1578,2044,585,620,540,710,360,724,494,,7809,8126,10253,10088,8409,8431,9454,7044,6075,3697
680510,"Natural or artificial abrasive powder or grain, on a base of woven textile fabric only, whether ...",52,291,451,731,466,335,408,374,333,,,3130,5473,6502,7329,5212,3138,4102,3773,2839,2788,,13257,14203,16637,18306,20254,24128,26183,26003,27637,42320
681011,"Building blocks and bricks of cement, concrete or artificial stone, whether or not reinforced",0,0,0,0,0,0,0,0,0,,,315,331,152,395,313,347,139,22,163,86,,134,126,87,374,409,151,200,88,127,479
681091,"Prefabricated structural components for building or civil engineering of cement, concrete or ...",0,0,0,0,0,0,0,0,0,,,5988,26649,842,5006,2622,1822,1240,1907,708,1407,,3168,19701,7,59,276,277,2576,4596,794,476
681189,"Articles of cellulose fibre-cement or the like, not containing asbestos (excluding corrugated ...",0,2,0,0,0,0,0,0,0,,,1000,425,344,124,129,276,446,936,686,1135,,2383,5400,7398,3462,962,1311,910,1259,268,102
690100,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals, e.g. kieselguhr, tripolite ...",0,0,0,3,0,0,0,0,0,,,561,683,609,776,699,686,145,214,73,415,,275,214,503,10665,261,231,695,372,1197,1046
690220,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods containing, ...",0,0,0,0,0,0,0,0,0,,,1339,923,842,1541,7619,485,423,1138,1723,1994,,14038,30666,20914,36990,48829,35168,80966,74820,57662,50633
690990,"Ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, ...",15,1,2,2,0,4,0,0,0,,,265,2056,594,771,506,221,340,642,910,474,,5274,3827,1838,1565,1818,2282,1630,1537,1579,6896
691010,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",23,0,5,29,6,0,32,5,0,,,1438,2490,1519,2055,1327,1289,854,1013,639,546,,5274,6491,11635,19914,22392,32508,36961,51420,54628,627915
691090,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",0,9,0,0,0,0,1,11,0,,,1828,1244,942,928,555,1063,1356,1324,571,466,,1363,2425,453,1419,763,553,598,1095,1297,5353
691110,"Tableware and kitchenware, of porcelain or china (excluding ornamental articles, pots, jars, ...",2,6,2,10,4,3,0,0,0,,,6345,8531,6934,8784,5152,11985,14909,14089,7731,10838,,3117,4695,7592,13881,16880,18129,13910,10851,11548,314844
700800,Multiple-walled insulating units of glass,30,0,0,0,0,0,0,0,0,,,1453,2563,2767,11060,4271,4551,8624,4481,2594,3803,,4217,5829,6354,4888,9263,13630,10543,24693,6419,11962
701020,"Stoppers, lids and other closures, of glass",0,0,0,0,0,0,0,0,0,,,188,210,208,326,183,215,423,122,104,121,,515,969,1055,1175,1500,1803,2145,2212,4297,6535
701090,"Carboys, bottles, flasks, jars, pots, phials and other containers, of glass, of a kind used ...",8,3,4,20,20,3,0,4,5,,,8932,9853,9750,6512,8754,8260,7219,7901,6235,5921,,35900,38110,46489,41122,54807,63174,66162,70474,66122,246172
701341,"Glassware of lead crystal, of a kind used for table or kitchen purposes (excluding articles ...""",0,0,0,0,0,0,0,0,0,,,1126,2146,1117,1067,1483,1117,342,514,257,537,,135,13,61,13,13,11,33,69,15,1115
701590,"Clock or watch glasses and similar glasses, glasses for non-corrective spectacles, curved, ...",1,2,0,0,0,0,0,0,0,,,3251,2518,1540,891,592,1433,2477,1406,855,512,,344,1021,958,419,216,452,516,565,399,291
702000,"Articles of glass, n.e.s.",3,98,117,58,171,5,6,19,17,,,26404,15349,19388,17976,17191,11027,17712,12336,14170,11873,,64699,67081,107266,108601,115106,142933,135029,125509,182298,57842
710310,"Precious stones and semi-precious stones, unworked or simply sawn or roughly shaped, whether ...",0,0,0,0,0,0,0,0,0,,,3960,29186,44660,85211,73467,131603,96250,108341,52478,75829,,41,103,246,679,349,1712,1495,2116,1280,863
710399,"Precious and semi-precious stones, worked, whether or not graded, but not strung, mounted or ...",0,0,0,0,0,0,0,0,0,,,109731,162375,216351,44745,56836,146160,252788,161004,10257,13402,,2464,2058,2671,2710,2448,2027,2802,2838,1209,848
710490,"Precious and semi-precious stones, synthetic or reconstructed, worked, whether or not graded ...",41,16,0,27,13,15,6,0,1,,,25058,455,71363,99346,81846,1622,6355,2951,1721,19555,,2820,3964,5044,3916,4874,4452,6567,13729,13541,20933
710811,"Gold, incl. gold plated with platinum, for non-monetary purposes",0,0,0,0,0,0,0,0,231,,,9,10,514,165,101,247,109,65,4414,5867,,0,1539,1778,1608,1907,2703,2711,2637,3066,941
711019,"Platinum, in semi-manufactured forms",0,0,0,0,0,0,0,0,0,,,1497,11217,39302,11020,34123,17672,15970,37284,50396,63122,,1126,2602,5834,5618,5322,1087,1265,2627,4228,1987
711790,"Imitation jewellery (excluding jewellery, of base metal, whether or not clad with silver, gold ...",4,0,0,0,20,3,18,13,4,,,30996,19784,22161,16304,23514,28055,40394,46774,42623,44610,,946,1059,1647,6120,4341,1124,3163,1803,1510,7874
720219,"Ferro-manganese, containing by weight <= 2% carbon",0,0,0,0,0,0,0,0,0,,,0,0,116,103,105,40,12,22,37,7,,2252,1864,2638,2642,3055,1028,708,1767,2298,8403
720221,"Ferro-silicon, containing by weight > 55% of silicon",0,0,0,0,0,0,0,0,0,,,0,125,1,10,199,0,118,8,83,373,,48066,86702,221984,300264,59928,38165,35316,37917,40642,61021
720230,Ferro-silico-manganese,0,0,0,0,0,0,0,0,0,,,0,0,21,2,306,42,36,265,115,22,,10066,4494,4037,8599,12529,30405,32721,41258,56575,76277
720250,Ferro-silico-chromium,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,,24,28,49,21,0,26,145,12,7,
720292,Ferro-vanadium,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,14,0,0,112,1,,508,645,558,1685,1341,3485,2263,1296,1629,1078
720310,"Ferrous products obtained by direct reduction of iron ore, in lumps, pellets or similar forms",0,0,0,0,0,0,0,0,0,,,62,180,271,24,42,43,27,99,0,14,,11,14326,21406,1,0,1860,73,1,1,115346
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",0,0,0,0,0,0,0,0,0,,,56620,84895,83672,62399,52370,63758,62789,57441,48229,103383,,2601,1574,4024,3517,4302,4164,2736,2069,1239,5464
720441,"Turnings, shavings, chips, milling waste, sawdust, filings, trimmings and stampings of iron ...",0,0,0,0,0,0,0,0,0,,,7265,2364,6726,6350,6348,7924,2333,2767,1416,1309,,86,48,215,89,36,5452,15467,20093,36989,145088
720690,"Iron and non-alloy steel, in puddled bars or other primary forms (excluding ingots, remelted ...",102,14,0,0,0,0,0,0,0,,,13190,10444,8418,4456,2663,4685,3779,2044,1174,5253,,2236,745,1068,1749,506,10,54,117,109,302
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",6,0,0,0,0,0,0,0,0,,,3916,4809,2349,1358,1118,1616,1829,2021,2589,2333,,1196,2566,4170,10445,96771,104786,47475,258,156,16
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",0,74,0,0,0,0,0,0,0,,,7822,3923,4336,2106,636,473,669,1294,990,6841,,1391956,1633973,1090738,721938,888301,1644841,1426658,2123609,2213437,2477655
720926,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...""",0,0,0,0,0,0,0,0,0,,,4978,5908,4953,2407,1543,1731,794,185,89,138,,409,470,1085,474,562,1498,1489,1923,3361,6417
721030,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,55,9,72,11,0,0,0,0,,,40504,22613,18502,14519,13113,13971,13616,14007,14730,47589,,67966,84937,74074,71793,70021,94551,97399,87777,80968,148161
721041,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,5,1,0,0,0,0,2,0,,,3808,3370,1874,1974,3007,4152,1273,1104,771,1241,,4480,2190,2276,3658,749,247,39,204,404,1062
721114,"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, not further worked than ...""",0,57,0,2,0,0,0,35,0,,,1708,3646,1735,615,1076,1302,680,193,188,129,,16206,10712,4760,2053,2307,7872,29028,35232,28402,5384
721190,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",1,0,0,0,1,1,0,0,0,,,2486,1665,1484,3978,1757,1761,1281,551,372,780,,6406,5606,6953,6895,5699,3271,2241,2745,2685,17157
721310,"Bars and rods, hot-rolled, in irregularly wound coils of iron or non-alloy steel, with indentations, ...",117,0,0,0,0,0,0,0,0,,,806,1032,1294,413,1522,2334,43923,18455,21496,44403,,6956,3794,1141,1497,128,11,1,3,1,27
721550,"Bars and rods, of iron or non-alloy steel, not further worked than cold-formed or cold-finished ...",0,0,0,2,0,0,0,0,0,,,653,524,268,3447,1063,223,175,604,448,219,,7773,8222,8720,5270,5684,6447,5905,6062,3637,17181
721610,"U, I or H sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn ...",9,3,12,0,0,0,0,0,0,,,28398,29666,19171,10013,7076,9253,9306,5265,4398,5666,,2008,793,1350,1819,1152,1329,1709,2792,3237,3451
721632,"I sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, ...",25,75,0,36,0,0,0,0,0,,,30264,26264,14240,10384,21922,10686,20909,14317,12800,21457,,3576,4021,4651,4608,3177,1790,2914,6237,1474,3774
721810,"Steel, stainless, in ingots and other primary forms (excluding waste and scrap in ingot form, ...",0,0,0,0,0,0,3,0,0,,,2492,1058,907,561,613,377,187,1701,183,162,,4051,3768,3331,3092,3425,4564,5306,7773,7235,5985
722550,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...""",0,0,0,0,0,0,0,0,0,,,3849,2632,9666,266,185,504,92,449,314,1794,,668,11624,4580,1481,4967,24646,36265,50485,57705,43305
722790,"Bars and rods of alloy steel other than stainless, hot-rolled, in irregularly wound coils (excluding ...",0,5,0,0,0,1,0,0,0,,,3788,3293,3805,3309,2211,3569,1948,1361,2219,1321,,182288,320253,449842,437842,242864,132031,148252,160007,117443,200715
722820,"Bars and rods of silico-manganese steel (excluding semi-finished products, flat-rolled products ...",0,2,0,0,24,0,1,0,0,,,83,172,9418,11623,8432,7,3,9,123,24,,2189,3268,930,546,541,579,1408,1351,436,322
722880,"Hollow drill bars and rods, of alloy or non-alloy steel",33,34,23,6,0,0,4,3,0,,,2869,3359,4692,1468,869,1434,3196,468,605,224,,3593,4198,3388,1036,887,1189,804,1280,963,186
722920,"Wire of silico-manganese steel, in coils (excluding bars and rods)",0,0,0,0,0,0,0,0,0,,,272,162,731,48,104,142,234,253,237,899,,18278,25647,28995,25096,25592,38707,45764,44912,38852,8176
730230,"Switch blades, crossing frogs, point rods and other crossing pieces, for railway or tramway ...",0,0,0,0,0,0,0,0,0,,,682,171,128,550,428,339,102,134,63,185,,1289,4452,4260,585,3268,432,5464,3610,3180,3017
730429,"Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excluding ...",1194,33,794,508,122,351,1047,1156,3,,,522891,506548,384373,196081,101070,106459,125426,162135,139272,90797,,103813,98868,74787,59916,16969,21040,33447,33071,24447,18721
730431,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy ...""",187,98,35,92,24,19,10,30,1,,,8564,16267,2873,4968,1482,2165,2517,4408,2917,2275,,10726,17097,36521,84723,11342,13377,15968,20620,21088,32326
730590,"Tubes and pipes having circular cross-sections and an external diameter of > 406,4 mm, of flat-rolled ...",193,15,5,25,4,2,9,141,15,,,9693,3840,33648,1216,2108,1092,549,1172,2090,3096,,3121,14216,6620,12367,10857,6390,5860,5849,5766,616
730791,Flanges of iron or steel (excluding cast or stainless products),1002,291,268,429,268,105,259,47,105,,,36099,46803,42514,34407,22722,33107,30778,42275,33413,25807,,19986,17798,22296,35782,25576,28145,41059,55799,64871,21444
731100,"Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically ...",118,107,150,13,101,6,24,76,547,,,27553,28747,19266,18141,17757,20874,17929,17487,16316,28114,,13410,15376,27245,22248,38542,23828,25537,49744,43375,52676
731419,"Woven cloth, incl. endless bands, of iron or steel wire (excluding stainless and woven products ...",21,74,8,1,3,1,1,6,0,,,1595,885,879,1785,943,1452,690,1067,1264,1435,,988,1118,1292,4102,1436,731,1306,868,1039,1261
731442,"Grill, netting and fencing, of iron or steel wire, not welded at the intersection, coated with ...",0,1,0,0,0,0,0,0,0,,,277,212,232,260,253,264,505,320,226,295,,164,158,43,169,389,419,469,899,1048,3486
731590,"Parts of skid chain, stud-link chain and other chains of heading 7315 (excluding articulated ...",42,30,20,10,7,9,2,10,1,,,1768,8019,9389,5210,4484,2975,3430,11385,5375,4464,,8978,7981,10151,10338,11141,10516,12296,12620,12072,2878
731822,Washers of iron or steel (excl. spring washers and other lock washers),4420,3839,2956,1983,1677,1418,1518,806,973,,,5114,5187,5336,7074,6736,7313,10099,10175,10088,13287,,81143,74085,87525,106713,124151,118683,131436,119160,110264,35134
731824,"Cotters and cotter pins, of iron or steel",2082,2213,1681,1614,2311,2255,1933,533,430,,,1753,1460,2966,2935,1664,2510,3567,4103,3275,3534,,33920,44723,45851,50882,53814,59428,60577,58362,63387,16484
732020,"Helical springs, of iron or steel (excluding flat spiral springs, clock and watch springs, ...",96,51,98,102,23,17,32,29,24,,,10800,16611,13660,14407,13403,11000,16252,15637,14581,16610,,10385,12382,14885,17313,23643,24223,34673,35544,38823,44697
732090,"Springs and leaves for springs, of iron or steel, incl. flat spiral springs (excluding helical ...",175,92,150,140,112,61,69,56,39,,,25155,38541,34717,29544,25011,24426,28046,31024,25650,31279,,25457,26593,27292,33748,36630,34552,33659,46859,45577,40612
732119,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of ...",4,0,0,0,0,1,0,0,0,,,925,1019,724,765,757,353,269,368,252,1220,,99,350,160,170,898,190,295,359,334,2984
732310,"Iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron ...",0,0,0,0,0,1,0,0,0,,,365,404,397,369,305,281,1153,500,127,251,,362,346,385,409,478,566,513,609,717,2911
732410,"Sinks and washbasins, of stainless steel",98,5,9,31,1,0,2,33,0,,,1256,2099,1562,1426,1631,1090,863,628,533,1052,,2311,2773,12043,32609,6348,9142,8184,9919,17404,67821
740100,Copper mattes; cement copper (precipitated copper),0,0,0,0,0,0,0,0,0,,,2663,3501,5859,2848,2521,6219,13058,7922,8141,2760,,0,0,0,0,229,0,1,31,0,338
740200,"Copper, unrefined; copper anodes for electrolytic refining",2,2,14,9,0,3,0,0,0,,,2727,990,3478,1537,1126,1936,4182,7290,18127,47637,,1716,1981,2278,2629,778,1141,1655,1435,1252,374
740311,"Copper, refined, in the form of cathodes and sections of cathodes",794,0,3,0,702,0,0,0,0,,,173098,234298,53763,195670,558718,698628,540164,118099,36071,235285,,712405,736925,868618,929051,1008187,1429611,1525480,1592353,1434014,1607435
740312,"Copper, refined, in the form of wire-bars",0,0,0,0,0,0,0,0,0,,,9667,1358,1324,489,1935,1120,582,4040,883,926,,820,0,0,129,0,0,0,0,0,5
741510,"Nails, tacks, drawing pins, staples and similar articles, of copper or with shafts of iron ...",2,2,0,0,0,0,0,12,11,,,968,523,408,205,193,374,444,202,159,380,,1374,1567,1797,1383,1156,1126,1561,1894,3645,3321
750110,Nickel mattes,0,0,0,0,0,0,0,0,0,,,63,43,7,16,1200,754,9,19,10939,8,,0,0,32,3,0,0,0,0,0,3
750210,"Nickel, not alloyed, unwrought",0,8,0,0,0,25,0,57,185,,,199200,676125,715411,1329697,286634,255887,243808,202149,107085,921265,,7896,7898,8320,7378,5709,7186,9041,8256,13140,20617
750610,"Plates, sheets, strip and foil, of non-alloy nickel (excluding expanded plates, sheets or strip)",0,0,0,0,0,0,0,0,0,,,1586,375,584,281,55,348,516,198,40,234,,3529,6429,8554,10271,8529,9724,9640,10580,7741,4561
760310,"Powders of aluminium, of non-lamellar structure (excluding pellets of aluminium)",0,0,30,0,0,0,0,0,0,,,632,475,450,593,137,106,63,258,104,1724,,1888,2677,1849,1739,1492,1600,1491,1221,1365,1320
760320,"Powders of aluminium, of lamellar structure, and flakes of aluminium (excluding pellets of ...",0,0,0,0,0,0,0,0,0,,,106,7,50,659,284,55,102,236,59,71,,462,418,836,623,1128,1206,1010,702,815,4515
760719,"Aluminium foil, not backed, rolled and further worked, of a thickness of <= 2 mm (excluding ...",38,14,7,7,12,6,0,5,0,,,26663,18225,18268,9932,9134,9337,13015,14493,16224,37228,,20772,23181,25237,29557,32339,38029,44682,48817,48366,39250
761699,"Articles of aluminium, n.e.s.",947,1222,1971,1546,1275,1673,1601,1267,1760,,,160149,123565,161845,160342,132606,120879,244880,137757,139286,162409,,79989,113663,132558,230112,302655,348932,1139299,883694,645571,240118
780200,"Lead waste and scrap (excluding ashes and residues from lead production heading No 2620"""", ...""",0,0,0,0,0,0,0,0,0,,,1299,7687,4844,2852,1567,1065,10011,4233,4693,4598,,0,0,0,1,0,0,0,0,0,1038
780600,"Articles of lead, n.e.s.",142,211,251,202,145,247,371,250,270,,,36266,58843,42806,34971,49311,70986,31434,20445,18735,18903,,12928,11665,14152,13128,24707,21332,10964,10635,8804,10682
800120,Unwrought tin alloys,19,18,162,296,248,549,215,155,152,,,48836,60555,18504,4916,4891,3550,12026,4179,1913,1534,,351,563,712,977,889,1664,1750,1578,1190,5693
810294,"Unwrought molybdenum, incl. bars and rods obtained simply by sintering",0,0,0,0,0,0,0,0,0,,,0,0,1,5,1,42,49,27,15,342,,0,1,1,1,0,1,0,0,0,388
810296,Molybdenum wire,0,0,0,0,0,0,0,0,0,,,32,28,120,3,5,3,3,1,2,1,,296,178,164,144,269,241,311,807,900,920
810430,"Magnesium raspings, turnings and granules, graded according to size; magnesium powders",0,0,0,0,0,0,0,0,0,,,6,1,2,1,1,0,1,25,1,0,,48,8,205,227,467,851,2746,2131,1654,2444
810590,"Articles of cobalt, n.e.s.",0,0,0,0,0,0,0,0,0,,,9333,31666,23875,16023,8489,10598,6906,15420,14622,22348,,26,5,266,496,839,1037,2716,2757,2197,670
810730,Cadmium waste and scrap (excluding ashes and residues containing cadmium),0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,6,0,0,13,,0,0,0,0,59,0,0,0,0,
811020,Antimony waste and scrap (excluding ash and residues containing antimony),0,0,0,0,0,0,0,0,0,,,0,0,0,24,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,206
811219,"Articles of beryllium, n.e.s.",0,0,0,0,0,0,0,0,0,,,97,158,434,51,57,12,30,70,121,104,,1,6,12,0,0,0,10,0,0,
811300,"Cermets and articles thereof, n.e.s.; waste and scrap of cermets (excluding ash and residues ...",0,0,0,0,0,0,14,31,0,,,1051,2941,3597,843,2329,2702,5697,3905,3245,1803,,10937,10487,8535,10937,8854,7787,6336,6435,8641,2088
820130,"Mattocks, picks, hoes and rakes, with working parts of base metal (excluding ice axes)",4,0,0,0,0,0,0,0,0,,,146,47,64,66,325,73,63,45,77,51,,489,473,732,496,385,560,659,754,1254,4607
820510,"Hand-operated drilling, threading or tapping hand tools",920,7,4,3,0,0,0,19,1,,,10281,6180,8693,9125,4859,6535,4562,2226,1544,1457,,4414,2611,1440,1114,1256,1132,1070,629,399,3475
820790,"Interchangeable tools for hand tools, whether or not power-operated, or for machine tools, ...",137,229,565,778,593,436,536,421,454,,,642528,489376,238902,147159,127679,162325,171866,140981,128262,126322,,8264,8108,10082,14413,19402,16827,17132,20155,24039,55176
821599,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and ...",8,0,1,7,7,6,1,0,0,,,1530,711,597,558,346,615,662,994,3641,383,,1142,1582,2407,3861,8786,3113,5821,4149,3655,40862
830120,"Locks used for motor vehicles, of base metal",0,0,0,0,0,0,2,0,0,,,2360,1738,2032,3276,3796,2439,2382,739,238,606,,11750,8686,8356,11643,14415,13328,15918,19392,15858,17194
830150,"Clasps and frames with clasps, incorporating locks, of base metal",16,3,2,3,2,0,0,0,0,,,611,875,410,737,1626,590,397,692,596,508,,319,308,326,713,2378,872,2388,2167,1078,3166
830241,Base metal mountings and fittings suitable for buildings (excluding locks with keys and hinges),696,161,158,87,115,308,212,142,46,,,22794,33490,26886,22731,21922,18092,21553,19102,20457,11758,,14473,12398,11002,12068,18823,22082,22971,28371,28239,169293
830629,"Statuettes and other ornaments, of base metal, not plated with precious metal (excluding works ...",6,0,0,0,0,10,21,8,19,,,5397,6136,6843,20721,15637,3813,5372,5957,7449,9528,,951,1391,1636,1744,1567,1554,1882,2405,2977,22457
830630,"Photograph, picture or similar frames, of base metal; mirrors of base metal (excluding optical ...",0,3,41,5,4,4,0,1,1,,,615,2909,3098,1438,1528,2069,1994,1734,1082,2527,,495,443,408,689,835,837,548,1378,1027,4622
831000,"Sign-plates, nameplates, address-plates and similar plates, numbers, letters and other symbols, ...",19,92,31,17,22,5,13,28,21,,,6834,5429,4455,2774,2474,2588,1768,4479,5559,7019,,4614,4266,6151,15593,14058,12371,10577,11621,9289,14998
840110,Nuclear reactors [Euratom],0,0,0,0,0,0,0,0,0,,,0,39,0,0,0,501,0,0,0,0,,2378,678,0,5,0,0,0,0,0,
840390,"Parts of central heating boilers, n.e.s.",0,0,0,0,0,0,0,0,0,,,5331,1362,2700,4839,1168,350,1920,422,988,631,,240,12698,445,995,125,68,72,315,120,10301
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",9,5,0,0,0,0,0,0,0,,,16347,6844,8565,10486,5978,7402,16450,30524,13157,21248,,71678,109035,170863,264106,333115,319050,197673,256212,242419,98858
841012,"Hydraulic turbines and water wheels, of a power > 1.000 kW but <= 10.000 kW (excluding hydraulic ...",0,0,0,0,0,0,0,0,0,,,168,117,128,199,41,1,2,6,0,178,,9992,3558,3895,3079,11216,15932,6957,7186,7624,5568
841122,Turbopropellers of a power > 1.100 kW,0,0,0,0,0,0,0,0,0,,,145936,180879,201265,125563,187784,1047158,343093,1256040,938912,627157,,31,7,2066,11,28239,233,34953,37118,89502,62558
841181,Gas turbines of a power <= 5.000 kW (excluding turbojets and turbopropellers),0,37,0,5,3,3,1372,0,0,,,69739,177392,248956,311701,484198,276079,389793,518049,431393,372353,,734,794,14710,4982,2721,3958,3609,503,2625,21808
841199,"Parts of gas turbines, n.e.s.",12,2,19,10,7,0,3,1,0,,,590496,627415,824641,708973,736768,1053068,1306136,1409506,1256778,1357339,,117506,76434,137701,64505,98406,121235,72722,45166,46611,98737
841370,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",5089,3743,2919,4016,3283,4109,4021,3263,3080,,,84069,98619,86848,97243,86255,138062,161851,157702,157506,130310,,85490,105540,96089,215140,118286,110879,146993,169718,158536,218080
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",1864,278,3079,2764,8260,106,422,631,1308,,,216810,322374,384348,321902,163380,126648,194282,190273,205092,212858,,78907,136234,113802,293560,120975,113426,165876,219544,203738,203359
841780,"Industrial or laboratory furnaces and ovens, non-electric, incl. incinerators (excluding those ...",32,0,0,236,16,0,0,0,0,,,3768,1474,3487,8345,5360,1768,5674,1131,1744,2012,,33095,56832,39979,182211,55718,92468,107043,81572,41747,39673
