Product code,Product label,"Taipei, Chinese's imports from Korea, Republic of-Value in 2012","Taipei, Chinese's imports from Korea, Republic of-Value in 2013","Taipei, Chinese's imports from Korea, Republic of-Value in 2014","Taipei, Chinese's imports from Korea, Republic of-Value in 2015","Taipei, Chinese's imports from Korea, Republic of-Value in 2016","Taipei, Chinese's imports from Korea, Republic of-Value in 2017","Taipei, Chinese's imports from Korea, Republic of-Value in 2018","Taipei, Chinese's imports from Korea, Republic of-Value in 2019","Taipei, Chinese's imports from Korea, Republic of-Value in 2020","Taipei, Chinese's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021","Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
410799,"Leather """"incl. parchment-dressed leather"""" of the portions, strips or sheets of  hides and ...""",15,0,3,88,0,91,341,287,236,289,,122345,116415,80505,51284,37644,33851,20774,15831,10736,12309,,12023,24027,42114,30461,9140,9278,10217,4883,5101,8632
520852,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 100 g to 200 ...",85,140,255,190,195,141,169,187,177,289,,181073,169269,156588,158376,134472,120226,118621,121973,157424,170025,,868,922,1400,1072,842,978,1305,1200,936,1472
291440,Ketone-alcohols and ketone-aldehydes,255,260,256,240,303,243,241,309,184,289,,6265,6233,7882,8699,10083,10033,11174,10982,9403,10934,,5964,5826,5451,4120,4634,5977,4590,4410,2887,4077
741820,"Sanitary ware and parts thereof, of copper (excluding cooking and heating appliances of heading ...",7,0,12,16,9,41,114,232,257,287,,107,343,84,162,196,164,62,129,172,138,,3889,3915,4617,4019,3486,2969,2608,3096,2344,2188
852610,Radar apparatus,34,29,97,54,96,9,32,476,508,286,,10760,7791,7638,9213,12995,31390,146734,147694,115751,104849,,7361,7113,16798,12977,8591,12804,7326,16710,18799,34447
840410,"Auxiliary plant for use with boilers of heading 8402 or 8403, e.g. economizers, superheaters, ...",719,1914,12922,6717,378,30,438,2,3701,284,,37484,97671,60265,127467,67292,101916,17929,25537,57068,43481,,29727,21857,44371,50506,17179,48694,24838,11473,21498,16121
903040,"Instruments and apparatus for measuring or checking electrical quantities, specifically for ...",207,70,639,117,441,171,205,86,372,281,,74846,58362,54415,37864,44616,43595,39398,52984,52939,54458,,83416,93254,97448,73547,74865,85393,94259,127522,150935,156403
290729,"Polyphenols and phenol-alcohols (excluding resorcinol and hydroquinone """"quinol"""" and their ...""",1786,1703,2093,1690,2198,2112,1506,1100,284,281,,12883,15311,11005,7591,9592,12632,12888,16671,12801,15264,,13225,17030,12828,12958,13389,12755,12699,9491,10875,8727
732490,"Sanitary ware, incl. parts thereof (excluding cans, boxes and similar containers of heading ...",99,142,273,317,1232,848,237,271,216,279,,4637,7507,4292,3980,9501,4334,4480,4046,3473,3356,,2673,5053,7243,4430,5662,5636,5522,5076,5644,7589
854320,"Signal generators, electrical",384,441,253,183,220,175,95,440,375,279,,14639,20114,14107,10146,16712,46512,13152,16804,20973,24192,,14283,17688,15661,16247,13996,15385,16043,23799,23949,28206
481690,"Copying or transfer papers, in rolls of a width of <= 36 cm or in rectangular or square sheets ...",427,429,387,383,261,177,306,344,256,278,,11212,10396,13003,10989,11452,10314,10879,13911,11162,10413,,8393,6011,6313,6819,5561,4661,5032,4023,3212,2730
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,351,257,128,157,142,373,238,415,348,278,,3924,5012,5573,6947,10440,13895,21255,19686,21230,12405,,91362,99214,110194,127402,134557,135847,144156,140315,142808,140331
961511,"Combs, hair-slides and the like of hard rubber or plastics",108,102,39,60,48,60,62,59,96,278,,1290,595,459,973,1656,863,1135,2225,2137,2810,,2676,1899,1771,2083,2163,1823,1810,2320,2253,2429
691490,"Ceramic articles, n.e.s. (excluding of porcelain or china)",918,911,718,457,795,750,410,240,137,275,,17922,17799,21463,23673,22438,23100,23894,24657,23131,30253,,11508,11704,12022,10081,10721,9224,9016,8684,7555,10295
380893,"Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings ...",1698,2201,1972,1965,2799,2300,903,1330,1022,275,,34923,31253,25987,22624,27154,27644,24636,21536,30878,37251,,54802,74136,91680,64855,73178,81011,73404,66636,80803,96899
940429,"Mattresses, fitted with springs or stuffed or internally filled with any material (excluding ...",79,99,136,98,219,215,117,253,242,275,,10708,27528,36505,27782,22473,22436,23894,24249,17809,22563,,19569,19707,24093,26595,25700,28593,31381,33422,34671,45158
210320,Tomato ketchup and other tomato sauces,137,101,235,619,124,86,103,191,127,274,,3331,3839,3584,2829,2611,2503,2915,2630,3148,3682,,5072,5057,5686,6820,6867,7790,8092,8643,9491,9648
847340,"Parts and accessories of other office machines of heading 8472, n.e.s.",63,121,39,85,111,66,131,270,247,273,,60016,62543,70305,70423,59875,53118,49278,56312,49711,75991,,10010,8738,8726,7739,10075,9806,9479,7369,6963,8213
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",462,245,346,476,179,184,375,374,126,272,,95857,102857,130086,148654,142597,124342,108823,107469,94369,94334,,65454,65753,76473,81788,92510,88655,99621,82437,76884,77372
190532,Waffles and wafers,157,247,275,278,266,314,479,192,229,272,,1602,1474,1347,2756,3171,3792,3193,3489,3737,5359,,5372,6386,10872,7613,8834,11260,13634,14408,19645,27124
850140,"AC motors, single-phase, of an output > 37,5 W",485,505,833,909,788,985,676,431,317,271,,70690,63042,69214,47392,38725,54791,63911,65119,71105,75043,,59982,48805,54590,59786,65664,72106,61632,68193,79033,72520
830160,"Parts of padlocks, locks, clasps and frames with clasps, incorporating locks, of base metal, ...",430,348,695,926,391,337,312,392,416,271,,138398,162167,108885,105876,116003,116666,116982,99417,79582,86726,,17644,18947,21219,19454,18513,17999,22874,28570,28060,37900
321390,"Artist's, student's or signboard painter's colours, modifying tints, amusement colours and ...",381,441,246,332,346,350,292,293,262,270,,5720,4642,4909,6216,3737,2907,3127,2458,2512,2518,,6783,7017,7699,5709,5358,4884,4937,4952,4649,5432
902580,"Hydrometers, areometers and similar floating instruments, barometers, hygrometers and psychrometers, ...",110,125,46,107,140,107,57,88,63,269,,4378,4591,5614,6024,4935,31412,38687,14928,11690,16526,,21784,24266,23047,24690,28141,26259,23307,26548,28697,33431
841981,"Machinery, plant and equipment for making hot drinks or for cooking or heating food (excluding ...",35,72,116,88,126,145,347,215,245,269,,10175,11082,14437,13405,13461,11938,14578,15484,10009,12240,,35603,38139,36784,39051,38684,42756,49764,76202,70273,53075
400921,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",37,2,42,159,230,500,503,286,286,268,,9763,11153,11099,10070,9314,20000,31807,21255,21395,22051,,9950,7892,8196,9126,8375,9782,11477,10651,10253,12697
320820,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",13,12,9,10,46,56,35,43,114,268,,96339,117762,120234,118717,139743,135098,140533,127384,122337,140811,,92282,76102,29075,27139,29728,41590,43374,40158,43179,44096
721123,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ...""",446,272,96,125,178,317,431,133,93,267,,15838,12349,12054,9622,14832,20883,20781,19898,18625,31243,,1281,6032,1044,823,912,1145,1203,710,534,1933
190540,"Rusks, toasted bread and similar toasted products",102,0,2,0,27,11,183,0,567,267,,1190,1323,1728,1464,1005,963,196,67,1066,1627,,2419,2897,2357,2395,3608,3336,3840,4288,5997,5555
293329,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused imidazole ring, ...",0,0,7,16,62,188,167,222,197,265,,20688,19062,20443,21108,8449,12236,14381,16290,16757,24685,,7078,9042,9802,9690,10345,12522,13798,12468,16160,17178
851680,Electric heating resistors (excluding those of agglomerated coal and graphite),399,332,617,428,201,89,214,424,289,265,,39693,39039,44019,52527,65184,67486,85143,91878,89312,126231,,30666,32266,32411,31376,39855,41944,42064,45505,59467,74752
382000,Anti-freezing preparations and prepared de-icing fluids (excluding prepared additives for mineral ...,260,546,365,303,207,402,420,292,263,264,,13364,14256,13252,9815,10395,9621,10994,10664,9209,13059,,6138,6892,5997,6210,6650,6193,7173,8052,8320,9294
960350,"Brushes constituting parts of machines, appliances or vehicles",57,20,56,98,377,251,576,300,233,263,,8262,7142,8316,14663,20075,14284,12533,12939,13791,17720,,7896,8101,8604,7439,7218,8590,9762,10195,11426,12989
291419,"Acyclic ketones, without other oxygen function (excluding acetone, butanone """"methyl ethyl ...""",89,237,448,302,141,150,284,204,301,261,,564,1673,3196,2930,2677,3991,4198,2625,1681,3450,,3593,3248,3772,3612,3978,2613,4759,4014,3751,4744
731700,"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ...",1,10,0,1,2,69,228,280,189,260,,65660,63693,69833,61185,56904,56791,77759,60455,59580,81973,,12792,6508,4715,4760,4749,5231,6895,5990,6372,6517
30381,Frozen dogfish and other sharks,0,0,61,47,3,38,235,119,435,259,,2228,1770,1529,851,395,198,230,223,265,87,,0,36,1805,2314,2602,4052,5102,5152,5391,4559
560750,"Twine, cordage, ropes and cables, of synthetic fibres, whether or not plaited or braided and ...",8,87,448,16,47,44,380,233,200,258,,39195,52019,58146,57033,57099,58507,56696,49442,42117,45934,,6700,7445,9397,8462,6327,6744,7345,7228,9403,9501
901490,"Parts and accessories for compasses and other navigational instruments and appliances, n.e.s.",11,3,8,6,23,14,32,83,125,258,,10488,4713,3759,3602,6661,7424,5452,5555,4968,6411,,8817,5410,5055,7121,5610,5309,6545,8901,10254,14622
251990,"Fused magnesia; dead-burned """"sintered"""" magnesia, whether or not containing small quantities ...""",0,0,18,137,180,339,187,111,46,256,,12972,5982,3983,4472,3082,3639,7051,5008,1243,912,,62653,61181,62290,56921,56418,71260,72257,54582,49924,69484
851150,Generators of a kind used for internal combustion engines (excluding magneto dynamos and dual ...,534,1729,2471,1623,1519,539,410,352,229,256,,132114,130504,112191,109154,263628,227429,221305,168536,136320,142660,,7926,10248,12105,11655,14500,15626,15119,12680,14012,17513
391732,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",526,530,378,354,349,243,384,225,134,255,,48116,44133,43400,44935,57462,61199,74554,73007,73897,94820,,16293,21233,20419,18746,17940,19662,21066,21216,17603,18640
850790,"Plates, separators and other parts of electric accumulators, n.e.s.",211,30,173,197,85,212,494,164,373,252,,870330,665946,621213,628201,568513,578790,954646,943827,843903,840427,,11746,14925,13009,12938,10106,10939,17252,17024,19425,26121
540710,"Woven fabrics of high-tenacity yarn, nylon, other polyamides or polyesters, incl. monofilament ...",26,180,107,157,100,690,102,243,840,250,,47218,56536,66935,65772,67680,72337,96579,87940,66599,71219,,1892,3421,3081,2059,3089,3277,3071,4904,6068,4392
40630,"Processed cheese, not grated or powdered",156,164,170,163,207,166,243,235,287,249,,41,187,351,582,1108,1207,1573,2289,3833,4739,,39237,42291,47487,50961,56796,64135,62838,61528,61139,68894
391731,"Flexible tubes, pipes and hoses, of plastics, burst pressure >= 27,6 MPa",0,5,43,46,28,15,26,33,97,249,,48422,53699,35736,31417,28924,26368,24806,28023,24256,28880,,2503,3680,3230,3237,3839,4286,4604,4043,6827,10129
960910,"Pencils and crayons, with leads encased in a rigid sheath",345,232,382,386,365,314,429,341,347,248,,9105,10797,12069,13943,15056,11365,11645,12692,11741,12490,,11879,9234,9843,12440,15379,10118,7797,8484,6783,6165
630392,"Curtains, incl. drapes, and interior blinds, curtain or bed valances of synthetic fibres (excluding ...",117,116,1,135,68,91,307,234,274,248,,3256,4097,7161,7496,8867,9636,8811,14643,13486,19368,,2367,3117,3568,4073,4879,4095,4507,5088,5894,7378
630399,"Curtains, incl. drapes, and interior blinds, curtain or bed valances of textile materials (excluding ...",0,3,0,12,135,150,90,67,268,246,,1567,1383,2330,1939,1739,1521,1041,1560,853,1386,,951,881,933,686,1042,1931,1910,1456,2049,2092
851810,Microphones and stands therefor (excluding cordless microphones with built-in transmitter),168,196,217,311,328,354,348,457,295,244,,57166,66161,92785,87450,58583,45439,45298,40503,39496,47225,,30296,42442,47496,29299,27538,27928,18844,19272,24699,29947
961519,"Combs, hair-slides and the like (excluding of hard rubber or plastics)",454,142,316,138,188,150,96,258,229,244,,1736,1648,1661,1811,1934,1464,1695,1452,1304,1737,,3541,3371,3032,3342,3922,3612,4115,4365,5495,7295
940370,"Furniture of plastics (excluding medical, dental, surgical or veterinary, and seats)",139,52,103,80,88,82,246,197,329,242,,3866,2896,3977,5374,4207,5332,7775,5526,7021,5516,,6060,7124,7219,7057,7769,8974,11545,13390,15670,17265
842511,"Pulley tackle and hoists, powered by electric motor (other than skip hoists or hoists of a ...",42,4,0,29,25,10,24,241,463,241,,38380,23433,25697,33852,27045,31388,25085,26349,25026,19705,,8558,9133,8678,9410,9422,9759,16150,7993,11996,9066
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",124,201,154,155,39,29,135,129,208,240,,6143,10294,14219,12543,8398,14311,11496,13600,62140,53142,,16920,19392,23570,19708,20019,19513,23155,25188,33237,39180
730110,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements",2558,3,414,134,2,0,67,425,2566,239,,85638,108554,92913,57516,59566,92830,115075,78701,53592,15566,,15960,16283,15703,11528,14335,9588,12184,13837,38999,30091
870590,Special purpose motor vehicles (other than those principally designed for the transport of ...,231,238,14,111,66,36,50,52,42,238,,114477,165931,148598,126132,129275,140013,99633,122616,76512,78804,,11188,3069,4451,4574,5541,4413,7072,7168,6878,8219
540211,High-tenacity filament yarn of aramids (excluding sewing thread and yarn put up for retail ...,414,166,93,104,83,101,107,164,73,237,,66934,57566,75452,71442,67103,85308,109616,133099,134824,173194,,9279,8095,6679,6162,8303,5804,3352,7624,7556,8836
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",206,198,149,176,113,105,145,124,116,237,,25720,36055,21918,14109,18819,19409,21833,16012,13669,19247,,17969,16679,19743,27041,31821,28558,30306,32816,33218,33286
540832,"Woven fabrics of yarn containing predominantly, but < 85% artificial filament by weight, incl. ...",277,171,213,148,141,169,194,175,180,235,,34310,35829,30686,30328,27500,25331,22398,22564,13476,10834,,983,776,842,539,417,570,528,497,442,480
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...",0,13,16,33,28,23,269,488,240,235,,118745,68861,104491,89473,60406,79911,83894,84075,93280,122093,,6547,16378,10599,12303,13561,10518,13720,14887,15748,15935
392030,"Plates, sheets, foil, film and strip, of non-cellular polymers of styrene, not reinforced, ...",842,662,650,770,652,572,480,261,64,233,,13682,15700,20687,26446,30980,37904,28161,29927,38513,60436,,14986,16609,17286,17121,19474,20002,21816,20490,23381,25665
722920,"Wire of silico-manganese steel, in coils (excluding bars and rods)",1122,974,763,669,612,596,940,413,293,232,,2148,1175,380,82,36319,60287,63122,43190,35652,45885,,1578,1266,1143,1834,5117,7648,4572,3279,4775,6324
901841,"Dental drill engines, whether or not combined on a single base with other dental equipment",8,0,8,67,4,0,84,33,47,232,,3206,3193,3007,3330,11927,13122,16766,15532,11603,17142,,641,874,1820,1038,622,1008,892,1313,478,843
950730,Fishing reels,134,140,104,187,286,315,377,179,93,230,,40958,44495,41958,45440,47278,47810,46883,33803,39358,51212,,7657,9198,12788,11834,11066,8667,8711,11309,11253,12817
843680,"Agricultural, horticultural, forestry or bee-keeping machinery, n.e.s.",2,0,0,48,2,99,46,79,18,230,,5940,5640,8669,10485,11034,67170,25912,18093,11252,9153,,4275,3207,5263,3363,4690,3144,5546,3436,6746,9145
853190,"Parts of electric sound or visual signalling apparatus, n.e.s.",6471,1904,16745,21275,3450,179,173,222,244,230,,4631435,5385198,4298800,5253553,6232786,69628,43174,43976,36242,36623,,61468,46760,62312,75009,49606,24862,27860,29239,34207,38219
850780,"Electric accumulators (excl. spent, and lead-acid, nickel-cadmium, nickel-metal hydride and ...",30123,26059,29531,15167,3428,5885,1260,1059,429,229,,453485,310118,289018,397451,533862,18023,3795,3051,3796,8509,,405217,354224,275783,173616,149632,159462,110772,97430,94459,97238
240391,"Tobacco, """"homogenised"""" or """"reconstituted"""" from finely-chopped tobacco leaves, tobacco ...""",696,574,0,427,0,0,0,0,629,229,,5964,6623,8439,8226,8812,9707,10130,6875,9460,8066,,2714,3542,2805,2849,794,2234,1360,1201,3272,1387
846610,"Tool holders, incl. tool holders for any type of tool for working in the hand, and self-opening ...",234,155,96,105,95,167,127,265,156,228,,62497,58326,69166,68004,61365,73595,85940,82266,62340,77831,,13019,11187,15416,15465,14988,15365,17689,14635,14090,17144
380993,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",1145,2252,2400,1668,1160,1103,589,140,135,227,,12669,13061,12602,12282,8824,5543,5572,6122,5489,6413,,8086,10228,11340,8625,7049,6313,5551,3999,2420,3879
903020,Oscilloscopes and oscillographs,19,144,9,294,431,368,138,379,427,226,,3754,3695,3801,3817,3253,3878,3767,5859,3676,5526,,19934,16677,20000,25180,17919,24764,28208,36320,39079,50493
842630,Portal or pedestal jib cranes,0,0,2,7,0,0,0,0,0,226,,36849,10756,39234,12269,19542,26901,27003,24030,9309,4885,,4235,1228,72356,39595,1217,4354,821,3178,2162,513
220190,"Ordinary natural water, not containing added sugar, other sweetening matter or flavoured; ice ...",6,0,0,0,1,27,2,0,27,226,,781,1229,763,302,723,301,839,1414,1375,6997,,836,1160,918,1714,985,654,1150,6930,6842,8312
851521,Fully or partly automatic machines for resistance welding of metals,73,67,57,20,43,0,0,0,48,225,,48330,82370,126384,153073,147883,78084,72899,73785,70510,66730,,8471,12718,3314,3796,11180,4724,4946,6814,6315,7960
760511,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of > 7 mm (excluding ...",0,0,0,107,105,0,1223,113,216,225,,32250,13828,14253,14577,14629,7376,10574,11262,6925,11706,,345,248,1078,1384,1130,2113,3281,1352,1403,1714
420222,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",264,347,1112,455,493,445,446,598,287,225,,18017,22719,25542,23785,33594,34964,52046,57135,78271,100891,,158928,131193,128519,127797,129917,131303,142255,169796,172323,190542
381220,"Compound plasticisers for rubber or plastics, n.e.s.",32,24,53,79,94,114,107,97,115,224,,8752,8996,8694,4163,3233,4297,7285,6465,8250,21274,,11927,11358,14186,11835,11273,13909,13451,12340,13638,16637
282300,Titanium oxides,373,287,268,208,208,194,213,193,135,223,,87675,78149,67719,45953,43915,58271,57662,59626,51947,58430,,40317,44635,41562,31436,28744,31588,36632,23898,21847,28564
280610,"Hydrogen chloride """"hydrochloric acid""""""""",258,601,421,7,21,2,56,94,76,222,,13985,5340,3553,4703,6485,5860,4516,4335,5490,8228,,15078,14956,16620,13259,14040,15394,16381,13617,18242,20847
760810,Tubes and pipes of non-alloy aluminium (excluding hollow profiles),565,861,634,498,168,195,263,152,183,221,,21133,16546,24458,12897,8882,6949,6886,6979,7338,11687,,5516,5030,3797,2733,2368,2419,2812,2288,1939,2832
831130,"Coated rods and cored wire, of base metal, for soldering, brazing or welding by flame (excluding ...",474,314,515,320,226,330,170,119,176,220,,29423,22367,17281,14835,13942,17444,25263,24978,20927,28509,,3978,5050,4421,2121,1964,1845,1686,1908,2136,3266
846691,"Parts and accessories for machine tools for working stone, ceramics, concrete, asbestos-cement ...",102,156,214,1912,221,252,285,226,390,219,,16687,15338,13355,15873,18206,21206,17386,16804,13915,19526,,11306,9321,7767,6692,3603,5036,4815,10030,10833,16211
340219,"Organic surface-active agents, whether or not put up for retail sale (excluding anionic, cationic ...",830,485,881,739,618,923,397,261,290,217,,16270,19537,23939,27647,22024,22855,23141,24613,25958,42828,,38261,38340,34936,31800,27068,29114,30432,25747,27065,32055
842430,"Steam or sand blasting machines and similar jet projecting machines, incl. water cleaning appliances ...",791,1119,713,498,344,344,184,561,137,214,,16879,25743,52539,59221,35303,20615,32853,16085,11524,22141,,7060,10038,7061,6892,10821,9047,11008,10614,10783,9943
482010,"Registers, account books, notebooks, order books, receipt books, letter pads, memorandum pads, ...",470,433,580,336,285,251,240,290,219,213,,36558,34524,38061,35453,36384,34074,36130,39902,36667,35037,,7125,7067,6766,6585,7749,7052,8029,8602,6910,7248
290312,"Dichloromethane """"methylene chloride""""""""",37,148,143,160,178,199,180,217,224,211,,13167,9415,13363,10186,7783,9171,13623,12355,9953,16991,,1722,1832,1917,1927,1939,1508,1445,1399,1438,1470
480525,"Testliner """"recycled liner board"""", uncoated, in rolls of a width > 36 cm or in square or ...""",0,0,0,34,0,894,322,170,1172,205,,9268,8736,8858,10816,15625,20603,20259,17268,20888,17214,,7712,3199,1885,3042,1084,2132,1438,2706,3740,2735
853939,"Discharge lamps (excluding flourescent, hot cathode lamps, mercury or sodium vapour lamps, ...",131,195,306,189,165,361,928,781,388,205,,116661,18705,9259,9099,7452,9551,8098,4774,2906,2383,,27979,18349,15886,14385,19230,21899,23889,20072,14917,13462
392620,Articles of apparel and clothing accessories produced by the stitching or sticking together ...,45,81,96,125,169,81,109,98,102,205,,4966,5534,15511,6320,7602,8067,10236,9753,23480,16363,,14861,15820,15613,15274,16376,17514,18501,18002,25656,30402
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",13,15,45,44,33,225,249,167,156,203,,33813,34820,47182,47200,36324,33761,37349,34580,28412,34702,,33244,36321,29534,29492,31853,36786,40013,75086,87011,99382
843131,"Parts of lifts, skip hoists or escalators, n.e.s.",813,1113,845,424,589,308,239,180,237,202,,73634,74326,83052,72469,60544,77184,63705,54650,54170,46058,,41084,70224,44678,39534,42025,37432,43851,39413,60221,78118
81340,"Dried peaches, pears, papaws """"papayas"""", tamarinds and other edible fruits (excluding nuts, ...""",0,0,19,3,134,40,88,76,108,201,,1553,1349,792,1530,2557,3178,4959,5065,6515,6360,,2221,2445,2789,6140,11054,10668,9419,10676,11399,11915
400811,"Plates, sheets and strip of cellular rubber",0,7,12,0,4,7,4,145,191,200,,18440,19876,18608,21495,20860,24278,24303,26311,20756,29067,,1051,1280,1529,1899,1965,2700,3203,3620,5908,7962
711419,"Articles of goldsmiths' or silversmiths' wares or parts thereof, of precious metal other than ...",52,51,85,115,16,46,86,135,222,200,,296,712,518,167,124696,1441990,20583,3666,476,33967,,8543,7731,5254,5248,4583,18241,16313,5772,84810,157498
846880,"Machinery and apparatus for welding, not gas-operated (excluding electric machines and apparatus ...",30,24,164,54,25,14,0,18,32,200,,10392,17295,14028,20085,26457,24695,18973,16071,7660,8389,,2750,2142,1141,1050,891,714,890,3687,1483,1587
620640,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excluding knitted or ...",519,371,154,129,96,112,95,68,58,200,,34077,31298,30091,21725,23451,21198,20889,17961,21496,28512,,13254,21046,22281,27403,28373,25821,26049,27600,23794,21949
381519,"Supported catalysts, n.e.s. (excluding with precious metal, a precious-metal compound, nickel ...",512,335,971,72,251,204,407,227,429,199,,16942,38396,36138,34167,35777,56606,64544,54275,56348,64265,,29107,72941,51242,37310,65678,38417,81453,63801,98354,127157
271500,"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ...",0,0,17,14,16,13,14,21,113,199,,4641,4787,6820,6022,6066,4561,5010,4064,3960,22323,,468,582,506,438,737,1286,911,1198,1514,1683
900410,Sunglasses,160,205,299,761,707,447,336,584,309,199,,6112,9401,9912,18592,29581,34651,28103,31446,33245,76576,,16962,19434,25579,27991,32073,30023,24357,25796,21999,18916
160417,"Prepared or preserved eels, whole or in pieces (excluding minced)",0,0,0,2,0,0,0,0,0,198,,2,147,4,17,47,25,82,140,81,801,,0,0,1,284,168,2694,2016,677,1446,593
441114,"Medium density fibreboard """"MDF"""" of wood, of a thickness >?9?mm""""",1410,977,748,878,740,369,407,376,350,198,,24139,16418,15869,11437,9183,6965,5796,5775,4416,4778,,17113,15275,17145,14416,12897,12774,12816,11611,12927,19514
722240,"Angles, shapes and sections of stainless steel, n.e.s.",506,12,0,0,37,11,10,56,0,198,,4778,3147,2546,1576,1677,1574,1372,1673,1107,889,,11499,8069,5443,6493,5386,6705,9640,6151,7174,7054
540239,"Textured synthetic filament yarn (excluding sewing thread, yarn put up for retail sale and ...",11,22,3,23,10,77,163,110,144,197,,1236,415,1448,1494,1708,1329,705,581,702,1196,,365,504,579,1275,974,719,1200,970,1532,1733
760720,"Aluminium foil, backed, of a thickness (excluding any backing) of <= 0,2 mm (excluding stamping ...",936,1176,865,902,966,272,270,227,287,197,,84152,78802,86724,91044,86255,89225,75873,59500,57701,67658,,8235,8479,8199,9185,11076,9685,10054,10788,12736,14319
950632,Golf balls,92,741,478,285,171,420,766,207,118,197,,26782,17955,17743,14352,19696,40001,34177,35259,32299,38202,,4796,5780,5297,6071,3544,4530,4822,5233,6159,8818
846721,"Drills of all kinds for working in the hand, with self-contained electric motor",94,158,65,131,0,33,1,0,0,196,,9199,13583,5095,4011,3722,2932,4039,2202,1655,8320,,12887,9231,14129,16587,17169,16608,14238,13367,15406,15967
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",65,8,10,10,43,45,26,25,179,194,,3840,3939,3557,3680,2363,6177,13726,9729,11123,14053,,90049,70690,65729,48905,41648,47031,52080,50694,48943,71413
470720,"Recovered """"waste and scrap"""" paper or paperboard made mainly of bleached chemical pulp, not ...""",0,0,0,0,0,0,36,45,161,194,,764,518,309,5328,6183,13116,15563,9342,4248,4748,,46,0,142,80,0,114,1984,2630,866,1062
711790,"Imitation jewellery (excluding jewellery, of base metal, whether or not clad with silver, gold ...",258,146,172,70,64,91,95,39,25,194,,17096,15892,12944,9827,9413,11454,10579,12403,9553,10280,,43867,30916,32317,37818,29126,24799,24034,15469,14790,18159
401039,"Transmission belts or belting, of vulcanised rubber (excluding endless transmission belts ...""",830,808,1003,772,547,680,576,558,490,193,,30645,21078,21352,17734,16621,16130,16736,19345,13170,14794,,34651,32952,32874,31036,30226,33506,38817,35644,32844,40452
610520,"Men's or boys' shirts of man-made fibres, knitted or crocheted (excluding nightshirts, T-shirts, ...",189,181,140,200,123,119,85,148,76,193,,5712,28674,20615,4794,6414,8563,14602,12938,12635,28008,,8480,10629,9925,10767,13738,9952,12511,12271,12989,12053
330520,Preparations for permanent waving or straightening,0,1,7,4,0,8,41,135,130,193,,740,1058,1074,1269,1628,1595,1850,4327,3621,4397,,1837,1471,1408,1655,1808,1834,2135,2441,2299,2403
680423,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",311,386,203,167,111,139,124,125,93,192,,94,143,118,188,298,513,847,875,666,763,,14174,11411,11602,9877,8665,4131,3380,2325,2459,3036
291720,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, ...",0,23,38,25,21,16,31,0,29,191,,11757,10002,8019,4978,4668,5096,5375,6023,10472,37250,,6931,11242,9774,8244,7960,10061,10619,13176,7000,10452
