Product code,Product label,Germany's imports from Singapore-Value in 2012,Germany's imports from Singapore-Value in 2013,Germany's imports from Singapore-Value in 2014,Germany's imports from Singapore-Value in 2015,Germany's imports from Singapore-Value in 2016,Germany's imports from Singapore-Value in 2017,Germany's imports from Singapore-Value in 2018,Germany's imports from Singapore-Value in 2019,Germany's imports from Singapore-Value in 2020,Germany's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
630239,"Bedlinen of textile materials (excluding of cotton and man-made fibres, printed, knitted or ...",0,0,0,0,0,0,0,0,0,2,,893,915,1978,2312,1109,296,724,356,1072,87,,4880,5517,6258,11501,12807,18695,25523,19254,18811,23198
520710,"Cotton yarn containing >= 85% cotton by weight, put up for retail sale (excluding sewing thread)",0,5,0,0,0,0,3,0,0,2,,2516,4954,3999,4823,2607,1301,41,352,792,943,,19379,26979,25379,18318,14987,15174,14040,12292,13778,15430
320910,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",2,0,0,0,0,2,0,1,2,2,,40778,39594,35316,35763,36027,31441,29476,25120,27416,33633,,162658,159450,157557,135175,133656,170811,162002,159226,180861,228725
480920,"Self-copy paper, whether or not printed, in rolls of a width > 36 cm or in square or rectangular ...",0,0,0,0,0,0,0,0,0,2,,1270,1990,2024,1522,3304,2176,2293,1558,1889,1367,,28269,23706,25971,20373,17987,18233,19840,17896,14153,13851
90121,Roasted coffee (excluding decaffeinated),0,0,0,0,0,0,0,0,1,2,,29307,27853,21886,16544,16223,19010,21327,20634,19461,21546,,702550,698182,775331,613723,637563,586796,612766,638484,754337,829441
760692,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm (other than square ...",28,9,0,0,15,4,3,29,11,2,,18820,15258,16744,17955,7006,9373,12185,7891,8934,21067,,79745,63726,62390,89349,71913,68449,31670,30757,30990,54097
761510,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring ...",3,0,1,4,0,32,0,0,0,2,,5448,4325,4602,3437,4599,5391,3690,1896,1425,1625,,297546,347923,288630,227798,268473,273332,259788,264863,290376,402447
701400,"Signalling glassware and optical elements of glass, not optically worked (excluding clock or ...",11,16,20,27,66,187,17,0,12,2,,459,231,699,524,835,730,709,879,1072,876,,80453,78113,72796,51930,62359,71000,94490,84883,91634,114759
701932,"Thin sheets """"voiles"""" of irregularly laminated glass fibres""""",0,0,0,0,0,1,0,0,0,2,,890,798,541,388,949,554,843,569,1430,1926,,82176,90182,101019,101099,117850,138479,141507,107400,96055,124305
481710,Envelopes of paper or paperboard (excluding letter cards),6,1,1,1,0,1,0,0,2,2,,6028,7383,7169,5938,5291,5647,7304,7795,8969,8073,,54264,61992,61044,52982,52610,50516,60380,59324,55253,67036
442010,"Statuettes and other ornaments, of wood (excluding wood marquetry and inlaid wood)",28,10,5,5,1,6,2,0,5,2,,819,745,1006,1073,548,2367,802,669,351,727,,82159,82208,98904,99938,99646,109951,111735,103968,98760,112698
640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",25,4,7,1,0,2,30,14,1,2,,3134,6030,16381,6965,9113,12729,15108,17965,19929,31862,,1376191,1632603,1783911,1363779,1327122,1334499,1384642,1474394,1429048,1581418
901780,"Instruments for measuring length, for use in the hand, n.e.s.",51,56,21,2,9,4,5,3,103,2,,30166,23816,22601,37397,29988,24537,23159,28482,14717,18299,,71938,74395,80388,71991,72497,75514,81334,80012,73429,97424
848410,Gaskets and similar joints of metal sheeting combined with other material or of two or more ...,6,14,16,80,8,11,36,4,23,2,,45082,29192,26089,29619,31834,35176,37650,32780,32584,36349,,116672,128146,138271,114898,126139,132604,144596,131313,107411,130959
846692,"Parts and accessories for machine tools for working wood, cork, bone, hard rubber, hard plastics ...",318,142,27,4,17,16,12,7,20,2,,23278,34813,40572,28012,18317,21137,13379,9034,11834,10485,,146325,147342,159410,152479,155027,192863,185279,180754,191460,227445
940370,"Furniture of plastics (excluding medical, dental, surgical or veterinary, and seats)",33,20,6,6,11,1,5,25,9,2,,3269,2893,2764,2085,4278,4161,3269,3848,2607,6107,,127702,135662,180898,141463,145905,131344,133007,132204,150382,189988
950670,"Ice skates and roller skates, incl. skating boots with skates or rollers attached",0,12,30,39,96,82,5,0,0,2,,578,710,2168,1519,4359,8160,5002,2819,2458,2961,,70074,57352,70218,60251,52713,50526,53412,51189,56216,88538
902214,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excluding for ...",74,1,142,0,0,10,86,37,23,2,,21950,24337,24026,12007,15792,15724,18956,11919,10535,5459,,205023,173629,164300,149115,120534,128738,147170,182866,215704,244235
871160,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with electric motor for ...",0,0,0,0,0,0,6,1,1,2,,0,0,0,0,0,0,1057,2375,4256,2464,,0,0,0,0,0,711587,1142274,1415501,1632248,1984101
710811,"Gold, incl. gold plated with platinum, for non-monetary purposes",0,0,0,0,0,0,0,0,0,2,,9,10,514,165,101,247,109,65,4414,5867,,15779,17402,2814,527,2809,2180,2438,2205,2475,4658
731590,"Parts of skid chain, stud-link chain and other chains of heading 7315 (excluding articulated ...",0,4,0,0,1,0,1,4,7,2,,1768,8019,9389,5210,4484,2975,3430,11385,5375,4464,,21371,20660,16030,14628,12815,15118,18798,14463,15024,19374
691110,"Tableware and kitchenware, of porcelain or china (excluding ornamental articles, pots, jars, ...",5,10,18,2,3,20,2,2,2,2,,6345,8531,6934,8784,5152,11985,14909,14089,7731,10838,,289809,229982,274705,243177,238943,243596,239917,241759,229945,276300
960810,Ball-point pens,28,20,8,4,9,10,3,2,4,2,,8973,13771,12355,11856,14292,20927,21276,19935,13883,12111,,187617,182955,193947,169969,170524,173213,179267,172872,135267,152106
180320,"Cocoa paste, wholly or partly defatted",0,0,0,0,0,0,0,0,0,2,,6250,1553,1538,328,314,415,2107,1014,4422,4976,,64742,34647,56266,68760,54773,36024,43064,37722,49045,51842
291814,Citric acid,0,276,281,0,0,0,0,0,0,2,,9805,15493,13406,9101,9503,11397,13443,10960,8973,10453,,157369,156729,145685,126565,124535,126610,142195,128313,136775,170798
293420,"Heterocyclic compounds containing in the structure a benzothiazole ring-system, whether or ...",0,0,0,0,2,0,0,0,4,2,,104003,53459,16133,5065,5144,11755,628,919,1771,505,,126840,108251,49767,30562,39328,47205,48184,77905,53796,44063
810820,Unwrought titanium; titanium powders,0,0,7,0,1,1,0,1,0,2,,128,60,146,39,91,166,164,60,443,42,,72565,56617,43644,35989,33587,35867,45236,51261,37579,42660
854310,"Electrical particle accelerators for electrons, protons, etc. (excluding ion implanters for ...",0,0,0,0,0,0,7,0,0,2,,1612,1029,1963,2255,1405,941,2820,1005,1260,1707,,4482,9413,2611,6289,6194,4054,7287,4697,4744,3616
480810,"Corrugated paper and paperboard """"with or without glued flat surface sheets"""", whether or ...""",1,2,3,2,3,8,0,0,0,2,,3939,3024,3424,3724,3049,3474,3166,1768,1751,8098,,48629,52890,58602,46142,41145,45712,61893,51905,49929,80248
392051,"Plates, sheets, film, foil and strip, of non-cellular poly""""methyl methacrylate"""", not reinforced, ...""",0,0,14,13,15,100,3,3,1,2,,4313,4813,4861,5814,7755,9370,17968,10604,7983,9818,,90191,89801,98938,89989,92027,105020,98256,78056,88309,101890
731813,"Screw hooks and screw rings, of iron or steel",2,19,0,0,0,0,1,1,0,2,,7033,6466,7230,8737,7646,8796,8337,5345,3409,3901,,18676,18940,21255,19827,19723,29855,36545,35421,29792,37108
620332,"Men's or boys' jackets and blazers of cotton (excluding knitted or crocheted, and wind-jackets ...",4,7,3,4,4,3,1,2,1,2,,2123,1912,1350,1016,1816,1954,2289,4757,3971,7659,,154825,164602,160388,130971,120145,117038,115880,104313,83564,90412
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",20,18,94,55,30,6,120,13,2,2,,29316,14310,44731,45453,48658,50095,54428,58639,50741,57082,,2897612,3116056,3110905,2794287,2937743,3034194,3110122,3006419,2760786,2945974
321490,"Non-refractory surfacing preparations for facades, inside walls, floors, ceilings and the like",0,7,1,2,0,0,1,2,1,2,,20717,16564,13875,14598,16383,16962,18338,13525,12499,10588,,147056,107813,101124,81124,83498,98714,112185,100112,99981,122887
846190,"Planing machines and other machine tools for working metals, metal carbides or cermets by removing ...",0,0,202,0,0,1,0,0,1,2,,5322,5868,4616,4491,2590,8908,3433,2934,2024,1229,,8305,5445,3649,2601,5119,4977,3843,2062,1634,2917
750712,Tubes and pipes of nickel alloys,11,0,0,7,0,0,0,0,0,2,,4793,6285,3416,5003,2875,2279,3635,26497,18543,12245,,42053,41223,25861,42996,32366,27735,31137,36616,62820,62996
481890,"Paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary ...",0,0,0,0,0,0,0,0,102,2,,45009,36843,20254,2310,3047,1132,1614,1734,10579,2418,,110597,101369,83773,78783,92251,99498,111434,123068,148501,129347
691390,"Statuettes and other ornamental ceramic articles, n.e.s. (excluding of porcelain or china)",3,10,2,4,8,8,3,3,0,2,,748,539,639,629,508,1763,744,380,516,1758,,101914,96461,94530,88743,89108,96509,99547,98199,94790,109408
640510,"Footwear with uppers of leather or composition leather (excluding with outer soles of rubber, ...",3,0,0,0,0,0,0,0,0,2,,18118,22438,19231,26896,36651,35024,48611,42192,39682,39792,,172704,239467,325901,410128,436947,500272,94139,86640,62990,44752
730611,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of stainless ...",0,0,0,0,0,0,0,0,0,2,,28801,20232,3429,2389,2305,1586,2317,2434,2119,6436,,1928,2098,2560,1989,1369,1775,1924,1717,2028,3239
711419,"Articles of goldsmiths' or silversmiths' wares or parts thereof, of precious metal other than ...",0,0,0,0,0,0,0,0,0,1,,334,976,2116,500,1103,629,3732,5114,1028,4397,,5474,1976,1403,1444,1092,2262,943,2748,4672,12182
620432,"Women's or girls' jackets and blazers of cotton (excluding knitted or crocheted, wind-jackets ...",2,4,5,2,2,9,10,4,0,1,,1489,784,1054,1250,1112,2292,1736,2352,2150,2106,,248421,248696,181796,145158,133260,130451,128149,112787,100497,98506
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",633,46,40,5,10,12,11,1,5,1,,9824,12464,24247,33642,46603,44880,43151,49870,37677,45757,,1884206,2081144,2011325,1803400,1750860,1700237,1838639,1666075,1566568,1783882
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",11,39,34,9,12,68,224,384,41,1,,35803,30552,24321,24807,22632,23140,33058,34159,37568,33255,,1436636,1342380,1411992,1286396,1228737,1429664,1596428,1393360,1278500,1825485
750521,Wire of non-alloy nickel (excluding electrically insulated products),0,0,0,1,0,12,0,0,0,1,,111,1009,183,24,131,38,93,123,44,32,,3364,3597,3230,3033,1914,3487,7137,4790,6756,15083
741521,"Washers, """"incl. spring washers and spring lock washers"""", of copper""""",4,0,0,0,1,0,0,0,0,1,,1093,1229,1479,1123,1414,992,1310,821,780,897,,4600,3913,4223,3516,3304,3340,4114,3867,4171,6159
340111,"Soap and organic surface-active products and preparations, in the form of bars, cakes, moulded ...",35,15,8,0,0,23,11,0,0,1,,28874,36994,43844,43913,48263,61457,55246,56184,40926,41665,,133181,153650,174272,155038,171475,178185,225127,217772,246944,271190
400690,"Rods, bars, tubes, profiles and other forms of unvulcanised rubber, incl. mixed rubber, and ...",0,2,2,2,3,1,10,3,1,1,,2686,1950,1626,1637,2144,2361,2740,2139,2233,1538,,20745,19010,19411,16846,17779,26846,24949,19347,16608,18279
90220,Green tea in immediate packings of > 3 kg,0,0,1,0,1,0,1,1,1,1,,1348,1884,2668,2958,3403,2468,2718,1667,5529,2204,,45593,53986,59883,61413,62123,57781,58263,56600,42943,59975
950490,"Tables for casino games, automatic bowling alley equipment, and other funfair, table or parlour ...",3,0,19,2,85,0,13,6,43,1,,26694,15213,14722,9438,8844,15848,12713,12830,4114,6162,,269394,229187,246499,205931,218174,255109,261571,262212,352444,438875
670210,"Artificial flowers, foliage and fruit and parts thereof, and articles made of artificial flowers, ...",0,0,0,0,0,0,14,2,0,1,,208,320,294,294,414,846,268,285,325,104,,83445,78401,75249,76751,78119,85739,100176,111973,111917,130793
850730,Nickel-cadmium accumulators (excluding spent),54,3,9,3,4,16,1,0,0,1,,8978,9327,8877,9464,12826,14123,15678,21760,16594,20025,,96833,67177,56514,45599,45024,41888,42830,41978,41597,40865
292250,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function (excluding ...",0,0,0,0,2,6,4,6,5,1,,1775966,83358,92959,113620,411692,17318,145178,40612,153949,88384,,336411,246417,219345,169396,290869,316804,264556,295934,302310,269501
283110,Dithionite and sulfoxylate of sodium,0,0,0,0,0,0,0,0,0,1,,205,120,51,6,33,41,68,36,177,146,,5506,6397,9141,6709,6874,8807,9075,7669,5714,5917
961100,"Hand-operated date, sealing or numbering stamps, and the like; hand-operated composing sticks ...",1,1,1,0,5,3,1,0,2,1,,1470,971,1804,2592,3102,2709,2681,1633,1418,1839,,24201,26074,30987,31545,29882,31913,32797,28188,28482,36186
910820,"Watch movements, complete and assembled, with automatic winding",0,0,0,0,0,4,0,0,0,1,,1753,1498,702,548,3406,708,428,690,287,644,,15992,19750,19224,14405,15479,13926,14518,14682,17913,20685
911120,"Cases for wrist-watches, pocket-watches and other watches of heading 9101 or 9102, of base ...",4,0,1,0,0,0,0,0,0,1,,21570,10020,32744,27345,7341,183,75,14,100,146,,15130,13896,14804,16554,14380,14750,12686,10704,6981,9498
710310,"Precious stones and semi-precious stones, unworked or simply sawn or roughly shaped, whether ...",6,0,0,13,0,0,10,1,18,1,,3960,29186,44660,85211,73467,131603,96250,108341,52478,75829,,21091,25577,20449,20778,19739,18150,19144,17707,12597,20782
620312,"Men's or boys' suits of synthetic fibres (excluding knitted or crocheted, tracksuits, ski suits ...",1,2,5,3,10,5,3,2,1,1,,216,343,220,210,230,19,249,107,178,222,,52257,48001,38418,30614,32261,26161,37212,34714,23432,17440
610444,"Women's or girls' dresses of artificial fibres, knitted or crocheted (excluding petticoats)",30,25,16,29,51,34,10,2,0,1,,1929,1342,2798,3054,2023,2529,2062,1596,662,1862,,203956,221174,201828,157206,188631,206781,204430,227319,190067,212213
510400,"Garnetted stock of wool or of fine or coarse animal hair, neither carded nor combed",0,0,0,0,0,0,0,0,0,1,,0,0,0,0,6,0,0,0,0,1,,89,78,12,33,23,19,12,5,132,134
871492,"Wheel rims and spokes, for cycles (excluding for motorcycles)",3,1,1,3,0,0,9,10,6,1,,1188,1528,1970,1023,735,1111,860,8426,17433,27432,,37246,31518,36644,38229,34848,33995,40351,45761,59482,88335
852713,"Radio-broadcast receivers capable of operating without an external source of power, combined ...",0,1,0,0,0,21,0,0,0,1,,23812,11219,37859,7965,4428,3535,11698,4824,3433,1918,,102685,77152,66429,59468,56968,62949,50045,54675,36947,47765
830630,"Photograph, picture or similar frames, of base metal; mirrors of base metal (excluding optical ...",14,3,1,0,0,82,53,0,0,1,,615,2909,3098,1438,1528,2069,1994,1734,1082,2527,,27101,26206,28490,26099,25239,30084,33123,31745,35962,31917
841850,"Furniture """"chests, cabinets, display counters, show-cases and the like"""" for storage and ...""",0,0,0,0,1,2,0,26,1,1,,8741,6003,6291,6156,8456,8681,4813,4683,5176,4213,,581922,599415,583357,500332,497081,568223,623755,540663,454663,569981
401610,"Articles of cellular rubber, n.e.s.",3,0,5,6,4,11,20,16,2,1,,16383,17354,28920,23883,20272,22947,24997,23337,18007,15594,,17163,19578,20099,23003,22727,25123,25481,31805,36037,49149
380894,"Disinfectants, put up in forms or packings for retail sale or as preparations or articles (excl. ...",44,0,40,0,0,1,0,0,375,1,,9825,11787,5313,14516,19545,14304,21671,28819,43321,50351,,165803,175142,196145,161531,196415,211141,236588,247622,499922,303129
292142,Aniline derivatives and their salts,0,0,0,0,0,0,0,1,1,1,,795,216,138,129,42,161,65,31,32,43,,37118,30208,29989,25728,26053,29116,36546,31158,37419,39846
220830,Whiskies,0,0,0,1,0,1,1,2,0,1,,797381,820816,773901,826084,803476,814871,894676,921913,696246,779825,,492333,570495,528203,469006,487488,525816,552045,495280,433465,483753
300510,"Adhesive dressings and other articles having an adhesive layer, impregnated or covered with ...",0,36,22,0,0,0,0,0,0,1,,27578,29777,29266,28940,27596,32662,38957,37006,33312,44154,,381326,446534,451218,380774,390888,380081,418207,465490,474708,441717
950710,Fishing rods,12,7,7,3,6,15,5,2,0,1,,51721,20126,19878,16026,21478,19823,27320,29119,15665,20583,,33117,30890,30770,31829,29470,28552,29623,25518,25897,27356
851430,"Electric industrial or laboratory furnaces and ovens (excluding resistance heated, induction, ...",0,12,0,12,29,1,1,3,102,1,,5127,7599,7075,7484,6243,7336,6642,4907,5043,4912,,17518,55243,16957,23677,12225,19553,15924,15241,25743,39209
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",0,0,41,12,0,9,10,8,2,1,,296413,283376,248102,198965,165813,167936,139521,108866,84321,121576,,462157,495443,524330,490378,566902,662982,721075,717525,696929,798873
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",0,62,0,0,0,0,0,2,0,1,,35804,35103,36380,37069,40756,70058,56127,57055,57715,71094,,784214,907134,1031258,813139,873518,911232,996640,922114,930405,936790
621490,"Shawls, scarves, mufflers, mantillas, veils and similar articles of textile materials (excluding ...",8,2,5,2,0,1,10,1,1,1,,4699,7988,11921,17124,23916,28322,33616,23635,13794,9899,,85434,72861,59257,40747,38177,32956,25377,20509,21783,19712
680223,"Granite and articles thereof, simply cut or sawn, with a flat or even surface (excluding with ...",0,0,0,0,0,0,0,0,0,1,,421,917,345,247,612,1999,611,257,140,808,,26958,26288,25326,22468,18679,20974,21544,18409,17924,18933
843390,"Parts of harvesting machinery, threshing machinery, mowers and machines for cleaning, sorting ...",0,0,0,0,6,13,0,0,1,1,,4714,15875,27895,31688,39278,55887,71412,58593,38793,42222,,618625,661331,572301,471245,485024,546675,631896,567542,546885,716621
151790,Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...,1,3,5,1,1,3,1,2,3,1,,70074,70335,72457,82210,74952,68454,75779,71922,68917,91074,,228159,240614,254636,245948,229408,251346,274469,247696,263968,266903
382430,Non-agglomerated metal carbides mixed together or with metallic binders,0,8,0,3,0,0,0,0,0,1,,2715,473,1765,1255,717,381,167,116,108,670,,138167,130686,131959,97799,75146,101193,136870,118532,102792,128360
392329,"Sacks and bags, incl. cones, of plastics (excluding those of polymers of ethylene)",342,30,51,28,100,20,5,3,0,1,,35215,38696,48182,65270,42537,32760,35549,36666,35607,48327,,240224,264754,278062,241719,233346,238113,260794,257867,269407,331661
620319,"Men's or boys' suits of textile materials (excluding of wool, fine animal hair or synthetic ...",12,16,17,5,7,5,4,4,3,1,,1537,2199,749,980,2156,2070,3034,1429,1173,865,,20792,17909,17459,13858,13613,13031,15543,13153,9616,10612
611120,"Babies' garments and clothing accessories of cotton, knitted or crocheted (excluding hats)",1,1,3,0,0,2,25,21,2,1,,22749,10016,10445,11053,14986,20441,7452,9739,5810,8634,,312885,353414,392532,365665,394101,436450,469894,411494,454940,565505
611693,"Gloves, mittens and mitts, of synthetic fibres, knitted or crocheted (excl. impregnated, coated, ...",24,6,0,0,0,5,9,1,0,1,,285,685,912,569,1199,1481,1905,1061,875,991,,94724,97751,96741,78121,77477,91205,99322,94839,87539,113692
610220,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",177,83,78,6,0,11,0,1,0,1,,23761,14533,8324,5996,3292,6756,5530,3613,2947,5086,,193522,217742,233744,188560,185919,217664,240673,224717,202658,244359
610230,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",176,106,2,4,0,1,129,12,59,1,,3196,4171,1800,2586,1778,2538,1873,3725,3189,1566,,205888,216105,264015,256586,270820,281081,337989,357140,338538,365459
640219,Sports footwear with outer soles and uppers of rubber or plastics (excluding waterproof footwear ...,0,7,0,0,0,5,6,10,13,1,,8288,5129,5923,4694,5810,9882,11186,16357,13249,13034,,128678,134278,211829,244233,309959,312894,309738,289229,291922,305067
700910,"Rear-view mirrors, whether or not framed, for vehicles",0,0,0,0,0,2,0,0,0,1,,598,640,648,637,490,550,903,688,554,1563,,653020,769181,892994,581793,706767,835468,830664,753835,629597,630602
720610,"Ingots, of iron and non-alloy steel (excluding remelted scrap ingots, continuous cast products, ...",0,0,0,0,0,0,0,0,0,1,,407,165,314,65,91,187,78,119,90,1498,,23618,13315,15963,7463,8844,20640,9947,8690,6427,12443
900669,Photographic flashlights and flashlight apparatus (excluding with electronic discharge lamps),1,0,0,1,1,0,0,0,0,1,,17836,10239,3822,1730,1943,1259,1263,647,284,244,,5879,7012,8543,6306,2443,2201,1196,1773,2599,5289
852321,Cards incorporating a magnetic stripe for the recording of sound or of other phenomena,255,223,241,25,158,41,85,13,9,1,,82279,53933,54873,25691,19177,13332,8421,5089,2286,2097,,7181,8166,8269,8269,5428,6261,6761,6359,5709,2533
820740,"Tools for tapping or threading, interchangeable",96,70,27,33,54,51,13,0,1,1,,4910,5792,11247,13325,10418,8924,12449,14557,8843,16985,,105419,103339,111636,84669,84550,98089,109175,114463,91062,127749
830242,"Base metal mountings, fittings and similar articles suitable for furniture (excluding locks ...",752,72,15,4,8,4,14,12,0,1,,19572,20012,16713,15614,12934,14307,21449,15675,14338,24545,,649427,657123,674069,626808,657923,718821,732367,705683,724256,890101
842420,"Spray guns and similar appliances (other than electrical machines, appliances and other devices ...",2,27,122,0,3,10,3,16,6,1,,6748,6754,6951,4768,4753,4588,5614,5319,4706,5404,,105552,91541,98613,73247,92192,93093,101075,106031,115072,153530
240220,"Cigarettes, containing tobacco",29,3,30,9,0,0,0,0,47,1,,759410,800408,919222,1163746,1147763,1046181,1055353,1061119,607482,619477,,740934,740474,821069,448524,618621,741304,1104753,1253500,1493120,1624023
392630,"Fittings for furniture, coachwork and the like, of plastics (excluding building components ...",72,32,11,2,12,4,6,3,1,1,,11525,6311,4205,3429,3793,4646,4578,4704,4143,6220,,310193,352959,482505,412502,392903,490690,586828,569661,507726,657033
420500,Articles of leather or composition leather (excluding saddlery and harness bags; cases and ...,0,5,0,6,9,4,21,4,4,1,,65012,65863,41711,66241,94545,86412,84438,116788,64943,68190,,62010,67461,87323,107156,85549,82735,89251,87874,70786,81695
320419,Synthetic organic colouring matter and preparations of the kind used for colouring any materials ...,0,151,1064,559,292,861,459,188,15,1,,40036,42578,41786,35534,37898,36783,37639,31444,29823,34097,,82030,98415,91926,93096,111340,119452,117700,114906,106994,126703
340600,Candles and the like,0,0,0,0,17,20,0,1,2,1,,1235,891,1244,1388,1929,2926,4793,5068,4112,7000,,408794,452355,449577,386504,401841,427315,431102,405958,445531,530409
330119,"Essential oils of citrus fruit, whether or not terpeneless, incl. concretes and absolutes (excluding ...",0,0,9,0,0,0,2,2,3,1,,1468,1220,1935,1896,2142,2717,4161,2774,2240,2838,,13784,13875,20490,19541,23017,27098,32091,32672,24578,32068
390591,"Copolymers of vinyl, in primary forms (excluding vinyl chloride-vinyl acetate copolymers and ...",0,0,0,0,0,0,0,0,0,1,,11409,13315,13799,19436,25000,26840,24762,32072,35872,36534,,65224,74229,68346,63199,64443,73896,79474,73670,80767,89762
920600,"Percussion musical instruments, e.g. drums, xylophones, cymbals, castanets, maracas",2,1,0,0,0,0,2,2,0,1,,2431,2108,940,858,1001,462,554,454,653,715,,41899,38065,49375,47508,48133,50675,56628,54611,50274,57404
940169,"Seats, with wooden frames (excluding upholstered)",58,16,13,8,52,12,0,2,1,1,,334,655,573,952,840,836,737,704,433,423,,222469,213120,228474,215721,214062,212054,217583,229981,233161,295531
961700,"Vacuum flasks and other vacuum vessels, and parts thereof (excluding glass inners)",0,0,0,0,0,2,3,0,1,1,,4444,3235,3090,3745,2540,5541,8419,7803,6290,8138,,56505,64858,62291,65896,71801,89327,103870,117421,134786,158192
400942,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",229,199,117,113,7,18,1,8,26,1,,26574,18114,20916,17306,14652,11355,19799,14644,11026,19261,,195099,185619,187318,160214,164972,169307,181041,160662,160702,199633
610341,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of wool or fine animal ...",0,0,0,0,0,0,0,0,0,1,,122,120,163,90,214,117,110,237,378,422,,5026,4859,3058,2900,2753,3179,4064,3105,3712,5247
441520,"Pallets, box pallets and other load boards, of wood; pallet collars of wood (excluding containers ...",5,3,10,1,26,6,10,1,1,1,,5309,5402,4318,4361,5371,5007,6467,7605,5197,6875,,401340,433837,476060,420215,430945,472847,553203,480865,446187,785013
730110,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements",0,0,0,0,0,0,0,0,0,1,,22103,20625,14857,11186,13612,15525,11163,6890,7683,3635,,70879,106536,101084,58832,87562,96609,106809,103529,76367,117604
902820,"Liquid meters, incl. calibrating meters therefor",1,1,0,0,32,0,7,15,0,1,,3935,6415,4606,2306,1222,2514,2686,3382,3225,2616,,114907,124724,137378,111961,108456,102225,110145,105773,87694,109149
220870,Liqueurs and cordials,0,0,1,0,0,27,976,467,0,1,,52418,57945,50710,54180,48940,54404,36716,34067,56292,44923,,328555,359916,322795,266695,292428,313851,315637,323497,272295,294205
511219,Woven fabrics containing >= 85% combed wool or combed fine animal hair by weight and weighing ...,0,0,0,0,0,0,0,0,0,1,,921,237,677,187,198,414,425,734,1050,340,,27828,22090,26325,22507,19835,17538,18570,17034,13866,23313
381400,"Organic composite solvents and thinners, n.e.s.; prepared paint or varnish removers (excluding ...",0,2,7,116,113,21,41,2,1,1,,43823,46383,55307,46587,37588,41540,51761,44004,39309,50684,,87407,81084,67075,58909,70823,75160,83684,76231,80341,103355
220190,"Ordinary natural water, not containing added sugar, other sweetening matter or flavoured; ice ...",4,2,0,0,2,0,1,2,3,1,,311,342,567,657,404,613,1014,334,536,463,,13282,11966,11541,10882,10678,14972,16447,14810,14388,12769
900659,Cameras for roll film of a width other than 35 mm or for film in the flat (excl. instant print ...,1,1,1,0,0,4,2,13,0,1,,62120,38673,71010,91387,53779,36589,37794,43558,37127,29555,,3033,3416,6014,4364,3503,4210,4332,4918,3626,4405
846721,"Drills of all kinds for working in the hand, with self-contained electric motor",3,5,2,0,2,4,3,10,9,1,,8887,13535,16339,15932,12466,5356,3186,2864,3366,2718,,476011,509314,522485,543022,538287,564260,628326,675000,744303,570125
730441,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, ...""",7,6,1,1,0,0,0,0,0,1,,6989,5294,25885,11775,4592,4509,3686,15045,7752,8745,,142055,152455,137313,123896,123011,126071,170043,142716,130151,132208
392610,"Office or school supplies, of plastics, n.e.s.",14,14,8,3,19,5,0,3,9,1,,16399,20214,18487,22479,24574,20387,20121,11547,7897,7645,,146872,155443,158922,139820,135232,134119,142782,122177,117896,161010
