Product code,Product label,Japan's imports from Australia-Value in 2012,Japan's imports from Australia-Value in 2013,Japan's imports from Australia-Value in 2014,Japan's imports from Australia-Value in 2015,Japan's imports from Australia-Value in 2016,Japan's imports from Australia-Value in 2017,Japan's imports from Australia-Value in 2018,Japan's imports from Australia-Value in 2019,Japan's imports from Australia-Value in 2020,Japan's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
420232,"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...",0,3,31,0,0,6,6,9,58,64,,1431,2127,2653,1593,1488,7541,4912,3580,6216,6223,,414703,352745,288918,255839,285504,295841,336895,388608,335113,348106
200961,"Grape juice, incl. grape must, unfermented, Brix value <= 30 at 20°C, whether or not containing ...",148,176,153,156,144,159,109,97,53,63,,3953,8956,9335,6781,7691,7226,8052,6118,5854,10452,,3617,2392,2250,2629,2633,2562,3156,3757,2711,2827
841610,Furnace burners for liquid fuel,0,0,0,0,0,0,0,0,0,63,,3595,139,218,1117,350,309,382,287,272,94,,563,408,274,155,713,458,799,275,1093,861
621440,"Shawls, scarves, mufflers, mantillas, veils and similar articles of artificial fibres (excluding ...",0,0,0,0,0,0,0,0,0,63,,53,140,141,14,19,26,18,46,75,173,,31603,40532,34583,21271,17055,13587,12327,8952,5839,3042
220890,"Ethyl alcohol of an alcoholic strength of < 80% vol, not denatured; spirits and other spirituous ...",7,11,6,0,0,3,20,33,76,62,,19991,34178,48281,55500,41445,29359,25784,29148,20704,32568,,163409,137005,117100,104013,104973,109417,102264,109692,89406,86759
851610,Electric instantaneous or storage water heaters and immersion heaters,8,0,2,0,8,2,4,13,38,62,,10504,18767,21074,19675,18355,20578,14671,3993,3733,6850,,38839,29457,28103,25704,28359,30032,30464,38278,57364,87770
20410,Fresh or chilled lamb carcases and half-carcases,0,0,2,0,0,0,0,0,0,62,,121426,192885,210356,192371,193754,245568,319732,287839,220955,113566,,152,107,123,113,106,228,74,76,21,101
880529,"Ground flying trainers and parts thereof, n.e.s. (excluding air combat simulators and parts ...",6,21,0,2,83,3,6,48,10,62,,1772,1073,3317,5343,1642,8890,7721,7898,3340,10499,,67975,46450,24676,37496,24385,63611,56303,47004,38532,42601
321290,"Pigments, incl. metallic powders and flakes, dispersed in non-aqueous media, in liquid or paste ...",0,6,2,0,237,136,190,41,46,61,,3389,3656,4760,2649,1632,2332,2204,2153,3349,5910,,26702,23121,16298,14224,16631,17983,17777,19518,17919,21947
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these ...,232,73,90,11,18,29,113,99,79,60,,2269,4980,6015,4775,4215,7872,7871,9529,12392,21116,,288210,284461,314963,312744,301684,336098,365152,357216,297349,360753
30489,"Frozen fish fillets, n.e.s.",1297,897,459,0,0,0,0,18,372,60,,2622,535,743,3465,2601,5110,5657,8561,9471,14513,,681492,518143,545405,494155,512923,530844,552422,590435,499479,494904
901180,"Optical microscopes (excluding for photomicrography, cinephotomicrography or microprojection, ...",0,82,3,0,0,0,0,158,0,60,,4162,3812,1961,3546,2615,2726,6609,6456,2163,3693,,43230,52170,45133,47941,57696,51225,64936,59031,45508,57840
110610,"Flour, meal and powder of peas, beans, lentils and the other dried leguminous vegetables of ...",326,385,275,189,112,139,152,214,121,60,,1111,704,584,831,299,440,627,202,630,437,,635,546,390,335,318,400,446,546,996,1806
90510,"Vanilla, neither crushed nor ground",0,0,2,0,0,0,0,5,34,60,,1754,1893,1981,1635,1441,1688,2254,1830,3443,2654,,4185,7888,8484,12508,12017,34502,37270,25845,14580,7980
491199,"Printed matter, n.e.s.",91,118,229,1129,185,133,67,116,57,60,,31467,20718,17381,17243,15171,15357,15730,17792,19357,23835,,364711,539778,759350,342967,386618,355676,391717,570276,585501,477508
848130,"Check """"non-return"""" valves for pipes, boiler shells, tanks, vats or the like""""",5,5,80,81,115,217,180,88,60,59,,6629,4924,9102,6318,8149,6194,5528,6017,5055,5537,,84663,82393,84148,115162,84993,95726,103823,113118,112788,109645
320649,"Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring ...",49,61,53,30,12,19,46,79,79,59,,400,430,1664,1560,1372,1292,2026,5149,3378,6610,,73597,74680,76845,69262,70857,78846,83802,77124,67319,72520
851890,"Parts of microphones, loudspeakers, headphones and earphones, earphones, audio-frequency electric ...",104,147,103,88,47,425,237,18,10,59,,9299,12227,8026,11957,18183,28219,29480,24050,37776,32597,,39351,40011,38521,38531,37007,39227,38970,46148,49767,60975
440398,"Eucalyptus """"Eucalyptus spp."""" in the rough, whether or not stripped of bark or sapwood, or ...""",0,0,0,0,0,102,82,64,25,58,,0,0,0,0,0,51863,71313,57718,62548,35298,,0,0,0,0,0,171,222,158,148,117
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",93,202,214,148,106,7,108,0,18,57,,1133876,1210678,1026908,1116783,1054214,524534,59182,112665,66480,86819,,5491933,5392079,4731753,3877249,4166969,4287625,4491062,4349719,2860135,3055396
340399,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",471,129,136,179,172,256,175,158,70,57,,17877,16714,17604,17244,12739,14881,20411,16026,19134,17231,,55164,54570,65871,60382,59423,59038,63011,63133,53112,55940
330124,"Oils of peppermint """"Mentha piperita"""", whether or not terpeneless, incl. concretes and absolutes""""",32,18,54,56,33,45,63,47,137,57,,533,716,659,1106,890,1138,459,413,1279,1459,,15285,11955,13653,14504,17802,12855,11760,12394,14354,13638
71331,"Dried, shelled beans of species """"Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"""", ...""",761,0,14,142,9,26,50,16,33,57,,83049,65192,34645,132286,158453,101456,94629,27107,65509,129735,,98473,81989,99583,114509,109459,121795,107597,81215,78894,75502
70700,"Cucumbers and gherkins, fresh or chilled",0,0,0,0,0,0,0,0,0,56,,256,409,334,175,198,322,216,307,268,507,,322,3,56,53,63,24,75,138,133,102
940520,"Electric table, desk, bedside or floor-standing lamps",31,38,53,33,42,128,89,89,44,56,,2484,2513,2657,2470,1780,963,1362,1112,817,946,,101863,91152,91700,83367,86625,78639,79003,83107,85838,102611
902610,Instruments and apparatus for measuring or checking the flow or level of liquids (excluding ...,160,138,173,127,107,89,98,125,57,56,,21070,18842,23583,23241,18399,20340,31028,27684,22029,25275,,107529,96667,112312,101417,117797,126257,143771,131103,123736,172943
71090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",0,0,0,0,0,0,0,0,50,56,,387,1591,1140,606,805,781,816,1031,1171,3055,,54924,55950,50003,45603,45153,49523,51350,48372,51394,53207
90111,Coffee (excluding roasted and decaffeinated),22,23,26,90,44,109,67,62,12,56,,2552,2642,4048,5082,4947,5477,5673,4746,5726,5531,,1583688,1479057,1332057,1476660,1310003,1318155,1146582,1139563,1052939,1183121
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",42,36,67,7,23,63,43,11,44,56,,23353,13213,10655,9595,15725,18094,15822,15569,11426,10638,,102898,104750,130127,113005,134113,137817,139304,163482,164471,164795
120890,Flours and meal of oil seeds or oleaginous fruit (excluding soya and mustard),27,23,22,29,95,56,59,50,51,55,,551,904,439,128,600,383,104,237,115,200,,46,42,22,89,257,189,138,89,96,136
120922,"Clover """"Trifolium spp"""" seed, for sowing""""",9,102,0,96,48,2,27,244,77,55,,6506,9398,8025,8158,6569,9338,6423,6304,6836,9354,,1113,1199,870,1368,1393,1716,1522,1290,983,1470
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",0,0,26,81,10,55,129,10,46,55,,15141407,12938150,11889298,10709989,13390949,12999194,13986349,16124214,15983700,15003130,,238306,149409,113033,120636,92973,73218,68325,59514,95225,75908
850140,"AC motors, single-phase, of an output > 37,5 W",0,3,0,16,23,27,9,9,13,55,,1765,2362,2166,1295,1552,3573,3571,11508,3030,4815,,103120,87082,63755,57811,56613,55114,55330,49681,44328,53059
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",275,135,95,67,24,32,44,31,96,55,,55092,44764,42707,45844,84779,150101,68175,75493,53820,49388,,285061,238307,224338,210858,172653,174240,225202,186612,192394,219059
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",0,4,0,2,0,0,5,3,8,54,,2063,2498,2112,2248,2784,2505,2328,2466,3959,2416,,535411,464119,433314,374864,407195,451016,501221,493313,465859,537206
321410,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' ...",67,25,39,42,124,99,83,102,67,54,,14339,15766,11349,12199,11953,12519,12476,13394,14388,18290,,79833,87686,87076,80214,74022,72753,74540,78482,71697,74256
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,0,2083,0,1948,54,,0,0,0,0,0,0,20441,6317,11706,13938,,0,0,0,0,0,430337,553867,466571,561937,630910
930591,"Parts and accessories of military weapons of heading 9301, n.e.s.",0,0,0,0,0,0,0,105,0,54,,2589,4402,2763,3820,4577,1259,12161,92255,36835,11519,,33437,26916,32423,24857,39201,35311,64368,62487,36949,29666
180100,"Cocoa beans, whole or broken, raw or roasted",0,0,0,0,0,0,0,4,33,54,,598,4,14,32,144,41,36,15,60,53,,158109,109113,101528,138075,219373,160993,145892,140662,137464,118080
711810,"Coin (excluding legal tender, gold coins, medals, jewellery made from coins, collectors' items ...",51,10,27,37,5,0,2,8,20,53,,1169,795,1352,3944,869,1493,1100,762,1726,2885,,1048,1828,646,210,333,124,218,175,326,959
900410,Sunglasses,29,44,103,93,32,3,22,28,11,53,,24535,19947,18828,17591,21276,20065,22674,20580,11962,12597,,123812,144231,148685,147761,165625,182209,188706,195878,137157,137821
848250,Cylindrical roller bearings (excluding needle roller bearings),0,0,0,0,0,0,27,0,0,52,,2146,1591,3433,1579,1484,2199,1514,1704,1548,1933,,44936,41251,42000,42166,44566,51379,57625,54762,49730,54548
640590,"Footwear with outer soles of rubber or plastics, with uppers other than rubber, plastics, leather ...",190,238,204,133,66,82,61,32,37,52,,3393,2652,2411,2333,3313,2453,2799,2457,2370,3459,,44936,53102,65176,36857,29221,28948,30008,24985,21228,20354
843280,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn ...",204,58,48,103,19,80,152,29,104,52,,10105,6938,8372,6684,4095,4758,3678,9278,7095,3454,,8069,10424,8913,8030,9247,10686,12073,10932,12296,12818
440349,"Tropical wood in the rough, whether or not stripped of bark or sapwood, or roughly squared ...",0,0,0,0,0,0,0,24,17,52,,0,3,355,115,116,833,4167,12364,9303,299,,53961,48536,42896,35739,35375,29143,41549,38554,20521,8310
440399,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared (excluding ...""",337,248,167,131,180,40,26,62,48,51,,19732,28873,23980,44144,58521,16484,35140,25998,19517,8575,,60848,58300,55657,46731,38065,26068,26264,20185,20736,14589
843231,"No-till direct seeders, planters and transplanters",0,0,0,0,0,0,17,0,0,51,,0,0,0,0,0,650,1449,2030,431,17,,0,0,0,0,0,2244,1163,761,1074,1930
380899,Rodenticides and other plant protection products put up for retail sale or as preparations ...,30,24,26,0,0,0,13,28,19,51,,8362,10555,9959,6988,4119,6441,5437,3646,9505,9575,,10509,11812,11963,13012,14465,15076,15748,13510,15356,15669
281700,Zinc oxide; zinc peroxide,0,0,0,9,38,46,25,49,35,50,,7411,3946,1292,2295,3268,4108,4457,7708,8278,4086,,25286,22867,25587,18791,20916,22950,28072,25170,21200,26451
842121,Machinery and apparatus for filtering or purifying water,139,5,19,0,0,21,0,467,28,49,,24791,30986,48159,40707,42054,49575,44793,52016,44261,49106,,139555,126840,129876,129441,155412,133587,133209,144023,136780,123652
722300,"Wire of stainless steel, in coils (excluding bars and rods)",0,0,0,0,0,0,2,0,0,49,,1364,653,684,702,835,1287,540,1221,499,792,,137686,116388,127852,106414,103951,109467,123551,119377,103174,124143
844319,"Printing machinery used for printing by means of plates, cylinders and other printing components ...",0,52,0,181,126,198,109,408,75,48,,6961,10272,11480,4850,5805,7013,6655,4921,3855,5518,,53473,71351,67901,55299,22697,22692,30046,23205,15437,17593
580230,Tufted textile fabrics (excluding carpets and other floor coverings),590,265,314,378,0,0,399,718,205,48,,10,0,42,49,17,3,19,686,335,176,,17783,22867,23110,24475,28564,36848,38927,41827,51619,58090
40221,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened",108,89,107,71,79,61,85,315,65,48,,362325,435966,363182,203697,231521,231219,242972,196323,161106,272799,,2173,2148,2007,2108,2894,3118,3811,6701,7887,9136
691490,"Ceramic articles, n.e.s. (excluding of porcelain or china)",0,0,0,14,0,2,0,2,5,48,,6127,2022,1088,2801,5633,7535,5935,7239,5735,8329,,71914,91655,60578,55982,56405,54330,53057,53284,50091,70032
880260,"Spacecraft, incl. satellites, and suborbital and spacecraft launch vehicles",0,0,0,0,0,0,0,0,0,47,,41,120,11,27,413,1931,685,34,273,1680,,200160,449448,35,143643,14,5,105678,2986,157270,378100
382440,"Prepared additives for cements, mortars or concretes",0,2,0,0,3,0,0,0,22,47,,10683,8490,8954,5402,2874,4974,5682,6948,6741,8793,,3492,2753,3209,2958,3369,3480,4173,4251,4940,8267
200911,"Frozen orange juice, unfermented, whether or not containing added sugar or other sweetening ...",0,0,0,0,0,0,0,101,0,46,,1294,530,490,332,1052,1147,1883,1877,1228,1129,,138660,119054,94445,96451,90107,84144,103760,91002,81525,52048
843680,"Agricultural, horticultural, forestry or bee-keeping machinery, n.e.s.",18,0,0,10,0,0,2,4,0,46,,3695,3515,3863,3382,12560,11925,3732,3437,3689,1789,,16665,20410,20900,22610,22641,26855,32164,37088,40557,34119
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",835,267,15,19,39,131,42,16,65,46,,30859,29257,20611,24051,30706,23798,29545,24890,24355,24734,,592417,615662,710454,650575,621325,624334,659953,637978,600065,722733
950790,"Line fishing tackle n.e.s; fish landing nets, butterfly nets and similar nets; decoys and similar ...",28,64,40,29,23,29,19,37,41,45,,2411,2225,3114,1701,3269,2194,2143,2520,2051,2816,,97869,110334,108304,101542,121469,111464,106023,98336,105838,126015
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",309,43,142,122,147,224,235,85,61,45,,80247,58421,79432,67689,78460,76519,84408,73246,55028,64066,,707180,666451,729269,647669,635299,727734,861667,802673,663587,832201
902590,"Parts and accessories for hydrometers, areometers and similar floating instruments, thermometers, ...",34,4,29,17,28,2,5,29,10,45,,1365,2272,3237,2274,1758,1911,2189,3702,6324,5484,,85944,86933,97570,110420,104605,115407,131985,140518,128109,151434
441113,"Medium density fibreboard """"MDF"""" of wood, of a thickness > 5 mm but <= 9 mm""""",615,346,204,123,94,93,62,36,49,45,,440,2077,3220,3536,2273,2413,1137,2668,2558,1173,,52297,51454,47865,41536,44626,44521,45778,44638,31406,33515
401700,"Hard rubber, e.g. ebonite, in all forms, incl. waste and scrap; articles of hard rubber, n.e.s.",5,0,26,0,0,0,14,60,80,44,,337,567,465,467,620,460,372,580,284,377,,39295,31238,30689,24731,19870,22169,24776,26407,24677,23737
841350,"Reciprocating positive displacement pumps for liquids, power-driven (excluding those of subheading ...",4,100,4,4,3,92,69,40,98,44,,16627,13430,19177,15960,14497,13801,12686,14346,13570,18315,,80111,85303,124577,128526,155433,160499,182727,189813,175411,203898
621142,"Women's or girls' tracksuits and other garments, n.e.s. of cotton (excluding knitted or crocheted)",0,2,0,9,0,2,0,0,0,44,,2909,607,1270,1557,1278,729,1768,9005,2178,911,,165323,150475,137499,129516,131131,130909,127048,121873,102233,93248
91099,"Spices (excluding pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, ...""",0,0,0,0,0,0,0,0,14,44,,2267,2393,2517,2606,3302,4601,7199,6339,5173,7518,,10126,10284,13146,15408,15028,14369,16650,21617,17817,20584
180500,"Cocoa powder, not containing added sugar or other sweetening matter",0,0,0,0,0,0,0,0,22,43,,2525,1679,1732,1165,4282,3221,1095,994,912,1012,,99852,69329,56061,60638,62633,68368,60173,63293,59353,73141
200600,"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar (drained, ...",138,61,41,39,72,60,61,51,0,43,,7732,4447,3141,2822,3154,4441,4258,3471,3309,3872,,34919,34823,33221,32130,26907,26220,25036,24743,23040,24551
440711,"Pine """"Pinus spp."""" sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,16,115,74,22,43,,0,0,0,0,0,46744,42265,40620,38110,31932,,0,0,0,0,0,852214,947439,801103,675811,1016731
960329,"Shaving brushes, hair brushes, nail brushes, eyelash brushes and other brushes for use on the ...",3,0,0,0,0,12,11,20,38,43,,448,421,1372,758,707,798,390,618,771,1791,,45939,48048,47492,49500,59120,62309,66409,65245,52729,60660
200190,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar ...",79,54,73,31,40,47,69,51,16,43,,1274,1741,1683,1798,2253,1479,1636,1549,1366,1577,,77297,74400,82116,80064,69761,69910,67364,65597,61829,65291
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",133,225,670,1017,48,138,47,52,35,42,,29052,20972,24654,19887,27610,31318,29195,29464,25256,27046,,464527,460783,434117,388285,396387,424632,527852,592296,834002,793483
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",9,51,47,12,15,24,19,32,14,42,,11254,11792,14561,18121,20555,28516,33337,38207,49340,44435,,331553,317494,325009,311906,342343,536543,685146,1007695,1264136,1228387
852691,Radio navigational aid apparatus,42,321,177,202,380,130,101,182,134,42,,38370,37812,34355,55122,54257,52207,69316,42839,31626,30965,,1146018,1171584,1221069,1222618,1032893,903084,933465,1017010,999532,1005567
440611,"Railway or tramway sleepers """"cross-ties"""" of wood, not impregnated, coniferous""""",0,0,0,0,0,39,38,26,40,42,,0,0,0,0,0,146,151,30,0,36,,0,0,0,0,0,269,152,296,300,194
940370,"Furniture of plastics (excluding medical, dental, surgical or veterinary, and seats)",0,4,3,2,0,19,6,2,0,42,,8168,5679,3617,4031,3349,4067,4516,3603,4083,5595,,49892,54122,52693,45492,36950,38405,45345,50763,57203,71002
970600,Antiques of > 100 years old,5,0,133,2,3,0,0,2,0,41,,10464,12681,10061,5428,3947,2600,4808,1418,1311,2447,,43277,28625,29644,51505,60399,28502,77979,73683,16606,16654
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",1189,313,217,191,0,94,72,0,0,41,,89067,52018,66427,58053,40475,51199,63649,81149,69474,80671,,231477,185948,221842,128829,116563,138983,131853,83800,54699,118758
950621,Sailboards,0,0,0,0,0,6,0,5,0,41,,88,121,89,115,194,443,143,300,160,117,,4528,3749,3253,1879,1810,2124,2806,3798,3119,4276
846620,Work holders for machine tools,4,32,0,4,9,4,173,48,15,41,,334,255,263,543,565,148,992,970,364,560,,35700,27684,37636,36276,34945,40871,46192,47901,31437,43249
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",148,38,31,229,289,80,232,34,32,41,,75789,70455,74466,73080,72098,81372,103727,87976,90570,127188,,1396428,1273626,1249269,1076277,1147913,1279935,1328725,1221377,1233406,1565776
750890,"Articles of nickel, n.e.s.",13,12,10,23,13,28,71,18,22,41,,719,143,792,734,618,533,840,570,436,843,,30856,48969,71255,84131,87436,93986,103341,118233,79107,46229
848210,Ball bearings,14,12,14,20,45,24,57,10,5,41,,6530,6186,5933,6035,5265,5898,6154,5946,5784,9735,,392613,360182,377138,377886,357495,377646,432010,420752,348099,416013
848420,Mechanical seals,423,157,107,126,121,119,157,182,84,41,,11076,11259,10588,9655,10466,13529,14244,22485,14552,15319,,92975,83476,78663,77664,80372,83243,112951,75269,77850,67833
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",90,109,84,50,80,58,40,29,11,40,,10596,7986,7065,6527,4184,7382,9499,8047,8536,8707,,1192070,1164692,1089616,1026898,1132970,1146712,1208347,1358420,1220003,1284660
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",4,3,5,7,39,0,0,36,14,39,,17068,12390,14967,9099,11424,15619,11700,13065,8278,20820,,233228,205206,209204,168144,160601,179464,191132,217544,195621,255593
200520,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",0,0,6,0,0,2,0,0,0,39,,1085,595,203,622,1010,985,1687,2562,3236,3131,,31004,30163,23419,19893,21492,31690,27508,29846,29304,42613
902690,"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, ...",203,104,50,64,40,117,28,237,158,39,,10499,9287,9456,6386,10658,17732,17540,20559,18274,24191,,219252,231651,248026,449534,305334,251892,264581,280318,250899,332988
844859,"Parts and accessories of machines of heading 8447, n.e.s.",0,0,13,2,8,9,0,46,4,38,,1716,633,360,540,406,1316,960,604,165,160,,19382,24770,26487,23885,25456,25036,29948,22442,14975,21433
920790,"Accordions and musical instruments without keyboards, the sound of which is produced, or must ...",8,33,18,10,99,4,29,5,6,38,,1470,1437,1433,1541,2161,2039,1700,1244,1006,1747,,111242,103353,99943,78494,92407,79711,70554,73915,71853,73077
200791,"Citrus fruit jams, jellies, marmalades, purées or pastes, obtained by cooking, whether or not ...",47,53,47,44,36,41,32,39,41,38,,2124,1705,1202,274,237,280,166,372,512,545,,14594,12081,9212,8191,8238,9065,8935,7421,7345,8057
730240,"Fish-plates and sole plates of iron or steel, for railways or tramways",0,65,0,5,11,0,15,0,0,38,,227,540,83,53,190,24,151,504,225,81,,2470,3552,1857,1033,1202,759,641,676,660,231
843110,"Parts of pulley tackles and hoists (other than skip hoists), winches, capstans and jacks, n.e.s.",8,0,43,92,0,30,7,6,3,38,,13261,7237,6967,12552,6200,6283,8400,9974,9782,14794,,48329,45847,52233,60110,41040,41693,40782,47562,35766,46812
841360,"Rotary positive displacement pumps for liquids, power-driven (excluding those of subheading ...",31,62,287,164,36,44,143,55,17,38,,7408,8651,7446,7114,8715,11215,9958,11534,12987,7887,,149541,141648,156353,133527,149726,166111,180118,202125,194561,215283
851410,Resistance heated industrial or laboratory furnaces and ovens (excluding drying ovens),20,0,0,0,0,0,58,0,0,38,,1102,865,471,385,515,836,734,1002,1623,1920,,28190,31278,17508,12006,21309,21094,21982,24100,18882,21297
847170,Storage units for automatic data-processing machines,259,139,111,230,47,143,52,90,59,37,,52399,55415,77053,60359,63903,76396,63082,66562,55204,43303,,3364387,3037311,2731359,2424203,2252471,2230391,2467197,2459406,2100827,2204602
701820,Glass microspheres <= 1 mm in diameter,0,0,0,0,0,0,0,0,0,37,,13219,10647,10945,10364,10437,10425,10825,10003,10338,12203,,4185,4011,4057,3893,4562,4927,3871,4180,4598,6790
903039,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",0,0,38,6,0,0,0,0,0,37,,5821,3301,2196,2449,1134,1275,1255,1281,1489,2710,,22040,15954,15529,18433,39723,28838,23614,35953,33046,43948
761699,"Articles of aluminium, n.e.s.",425,227,270,222,201,166,41,123,156,37,,31782,23863,28940,28684,36725,35762,38200,39139,40601,30579,,315712,316513,334529,285777,290175,314756,347989,376646,400034,434263
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",515,4,616,381,162,76,62,160,158,37,,15504,20419,15369,14028,10769,16640,17366,13672,12720,15356,,571446,487112,554148,544487,604298,556677,532681,535913,530103,648444
880320,"Under-carriages and parts thereof, for aircraft, n.e.s.",73,7,31,57,30,20,35,73,38,37,,7743,13090,15141,13086,17734,24615,30043,17673,20616,21409,,205527,231300,248166,253531,261736,230740,259914,270646,238988,202607
420100,"Saddlery and harness for any animal, incl. traces, leads, knee pads, muzzles, saddle cloths, ...",229,205,185,162,234,154,146,133,52,37,,3901,3701,3431,3700,4095,4615,5342,5978,8148,12266,,53059,50402,50732,44509,46882,50702,59970,56309,53644,68673
630900,"Worn clothing and clothing accessories, blankets and travelling rugs, household linen and articles ...",3,14,2,3,2,2,0,12,15,36,,56791,64590,62509,53712,53550,58205,60940,59256,50820,65347,,27636,25408,23976,25618,30207,39137,46754,49480,42573,71119
391620,"Monofilament with any cross-sectional dimension of > 1 mm, rods, sticks and profile shapes, ...",0,26,7,51,2,5,16,47,21,36,,3726,6006,4319,3649,2849,4359,6449,7839,4938,6409,,9080,15145,12001,13548,14582,21917,23753,27713,26076,32175
200931,"Single citrus fruit juice, unfermented, Brix value <= 20 at 20°C, whether or not containing ...",0,0,0,0,0,0,18,22,0,36,,599,348,114,22,111,577,283,602,508,220,,10924,9472,11635,11783,13477,15877,17620,17604,15040,15108
180400,"Cocoa butter, fat and oil",0,0,0,0,0,0,0,0,17,36,,260,65,174,719,785,871,519,288,357,138,,84940,103790,195810,141330,153545,131276,142653,146390,123556,116548
780199,Unwrought lead (excluding refined lead and lead containing by weight antimony as the principal ...,0,0,0,0,0,0,167,139,197,36,,504010,391273,177165,359985,359484,360649,300621,301196,348223,487695,,1814,755,1794,2856,3069,4167,5238,5685,5931,4682
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",77,33,29,29,69,57,30,49,41,35,,7903,5334,7995,8396,9458,12319,19164,21932,12903,15630,,530183,430947,425072,368082,396979,368871,364545,382930,319461,359574
410692,"Hides and skins of antelopes, deer, elks, elephants and other animals, incl. sea animals, ...""",474,317,365,124,66,47,57,57,54,35,,73,39,21,21,36,33,27,66,24,19,,1880,2033,862,631,514,641,542,455,572,343
903300,"Parts and accessories for machines, appliances, instruments or other apparatus in chapter 90, ...",83,145,30,84,63,4,5,64,97,35,,58940,47062,58305,44282,65166,10547,11451,553572,526773,680015,,43993,49622,30045,30035,29424,23972,27353,27429,22480,33139
841940,Distilling or rectifying plant,0,0,0,0,0,0,0,0,0,35,,1244,2092,2555,2324,961,1173,2513,950,2430,1233,,9042,11334,8066,6687,11192,9908,8444,7698,13600,23098
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",39,0,0,5,0,82,0,28,0,35,,70734,3234,6401,4437,9335,10708,12684,14267,14144,17024,,6987,7833,5617,7317,7546,40829,174266,175804,187789,268244
903290,"Parts and accessories for regulating or controlling instruments and apparatus, n.e.s.",15019,237,203,56,17,78,60,27,80,35,,38819,15774,17960,16735,22736,28174,26013,21109,19472,19852,,496248,530783,525339,615760,675269,792960,791574,714110,579335,642443
871680,Vehicles pushed or drawn by hand and other vehicles not mechanically propelled (excluding trailers ...,18,30,16,28,81,58,127,104,34,35,,2515,2826,4616,4423,5939,5887,6541,6794,9295,7836,,147813,147769,152561,134442,135918,131606,163629,160938,144415,170561
410390,"Raw hides and skins, fresh, or salted, dried, limed, pickled or otherwise preserved, whether ...""",101,59,89,62,77,60,212,350,87,34,,14848,14880,14202,7697,6906,5544,5357,3861,2005,3517,,58006,48846,46166,42944,35779,39023,37981,41412,32736,35968
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",60,13,37,26,12,60,28,26,42,34,,7617,26793,12240,7446,8405,6958,5743,4950,3316,4888,,64503,59008,71548,63412,64130,66429,63025,57304,66881,66275
