Product code,Product label,India's imports from Saudi Arabia-Value in 2012,India's imports from Saudi Arabia-Value in 2013,India's imports from Saudi Arabia-Value in 2014,India's imports from Saudi Arabia-Value in 2015,India's imports from Saudi Arabia-Value in 2016,India's imports from Saudi Arabia-Value in 2017,India's imports from Saudi Arabia-Value in 2018,India's imports from Saudi Arabia-Value in 2019,India's imports from Saudi Arabia-Value in 2020,India's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
761699,"Articles of aluminium, n.e.s.",111,0,15,75,80,105,28,49,33,37,,9527,10002,13749,12416,19063,15744,13961,22099,8853,10484,,92280,79167,104076,123669,118901,145238,260162,327862,210320,229622
490110,"Printed books, brochures and similar printed matter, in single sheets, whether or not folded ...",462,221,136,68,101,140,48,50,13,35,,111,321,550,581,166,38,24,0,0,16,,50212,52938,58753,54275,46034,62378,86727,68494,57155,79272
843999,"Parts of machinery for making or finishing paper or paperboard, n.e.s.",0,0,0,0,0,0,0,32,0,35,,347,618,127,713,215,122,70,26,0,0,,34007,39132,56414,30255,33375,43289,36277,37222,32011,35227
391690,"Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, ...",0,0,0,0,1,0,0,0,0,35,,8299,9080,11894,10005,7085,2154,325,115,69,708,,8124,9434,10776,8781,11632,13269,16094,13103,11015,16972
600537,"Dyed warp knit fabrics of synthetic fibres """"incl. those made on galloon knitting machines"""", ...""",0,0,0,0,0,0,0,0,0,34,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,20992,25216,29078,20689,29704
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",89,132,10,83,6,0,342,246,160,34,,10880,9758,7891,15256,13642,15673,11717,1434,910,132,,563658,527561,535942,539884,525590,580041,624511,595925,515484,715560
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",421,0,0,1,62,0,0,40,401,34,,4338,2277,2929,2673,2860,1975,4015,122,1052,1,,349173,353781,396320,432806,477390,536364,599976,624635,553969,639599
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",22,15,1,7,134,35,50,704,99,34,,809,2765,4815,7023,14994,14595,10522,7731,459,4229,,271123,229332,257623,237773,245383,251114,322617,305386,226774,311972
701337,Drinking glasses (excluding glasses of glass ceramics or of lead crystal and stemware),139,65,17,0,57,0,31,0,0,33,,109,31,267,342,205,304,2156,2687,2554,1471,,15588,16100,17174,19733,20964,23257,27448,24111,13578,21102
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",98,2,11,28,60,41,12,16,11,33,,1793,2577,2616,1807,2736,10492,3263,9565,11543,6194,,103701,112304,90796,101560,99961,102689,127472,125653,108124,108604
400941,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",4,0,0,0,0,0,1,0,0,33,,0,0,0,45,94,37,37,7,0,0,,25826,28859,23720,20068,15205,18764,25765,19893,12953,17360
292144,Diphenylamine and its derivatives; salts thereof,0,0,0,0,0,0,0,0,0,33,,0,0,0,0,0,0,0,0,0,0,,51390,42333,43990,48226,35388,35207,28718,20318,17335,16818
271290,"Paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, ...",122,0,0,0,28,0,0,0,9,32,,520037,291378,482876,31,3,0,11,0,0,0,,76940,103870,115389,102403,78375,85661,100932,98484,88596,121305
410530,"Skins of sheep or lambs, in the dry state """"crust"""", without wool on, whether or not split ...""",15,443,0,0,498,203,19,0,0,30,,432,42,3479,2153,1210,1936,1205,144,36,0,,7422,5357,2249,5220,4296,7604,7189,6011,1503,1096
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",8,10,20,8,33,2,3,505,134,30,,14702,1795,2287,4238,3066,4228,18591,34558,19985,21601,,221381,206602,235385,245373,244963,287373,313160,282599,214027,325687
846729,"Electromechanical tools for working in the hand, with self-contained electric motor (excluding ...",0,0,0,0,0,1,7,0,3,29,,144,97,85,133,202,220,67,0,0,0,,38604,36172,49598,49248,54895,59164,93337,104148,85229,123270
844900,"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ...",0,0,0,0,0,0,0,0,1743,29,,32,0,0,0,201,1246,7,0,0,0,,51695,29031,65109,20842,29339,32995,34934,92987,54816,84787
391710,"Artificial guts """"sausage casings"""" of hardened protein or cellulose materials""""",0,0,0,0,0,0,0,1,0,28,,0,0,76,2,21,14,9,0,6,0,,609,973,573,1073,901,1545,2082,1446,1241,1312
761290,"Casks, drums, cans, boxes and similar containers, incl. rigid tubular containers, of aluminium, ...",0,118,1,665,413,2004,2242,302,0,27,,247932,229539,227640,202476,180679,159003,196492,94703,121784,184056,,25609,31022,25878,25696,27426,28737,29978,26430,22594,19582
848291,"Balls, needles and rollers for bearings (excluding steel balls of heading 7326)",4,0,0,0,0,0,0,1,0,27,,0,43,981,31,45,24,3,0,0,0,,44867,36506,45370,46161,55621,54416,75204,70164,52280,85103
300449,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...""",0,0,0,0,0,0,0,0,0,26,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,976,1050,2421,3869,10091
390421,"Non-plasticised poly""""vinyl chloride"""", in primary forms, mixed with other substances""""",1629,1327,2582,1950,26433,2159,253,1021,72,26,,681,5884,4866,2427,4820,8271,4129,890,1094,5452,,1028698,1173469,1292154,917119,992481,511333,34133,23771,12809,28688
730719,Cast tube or pipe fittings of iron or steel (excluding products of non-malleable cast iron),93,32,27,144,217,136,185,76,4,25,,1466,19965,2971,3345,4758,4033,10356,8293,757,433,,10595,7409,6281,6743,5398,7421,16568,17228,9428,12755
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",13,0,0,0,0,197,4,70,0,25,,25634,28747,30737,43093,63977,80973,85615,29633,19817,36105,,70435,68856,68850,70215,70467,93037,97192,110541,44082,69809
71350,"Dried, shelled broad beans """"Vicia faba var. major"""" and horse beans """"Vicia faba var. equina ...""",0,0,0,0,0,0,0,0,0,24,,42,65,0,36,50,119,52,89,255,157,,1730,0,1,0,2087,6417,1716,1259,6681,8779
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,0,0,0,0,0,0,1602,315,49,24,,171,8517,6075,4248,2743,5186,7829,0,59,5,,72670,69448,88049,82443,84352,81609,107082,101119,80512,103482
330590,"Preparations for use on the hair (excluding shampoos, preparations for permanent waving or ...",4,0,0,0,0,0,0,0,0,24,,5645,13179,27741,37156,40682,11447,11576,7520,3771,4179,,23155,30694,30152,25282,27126,31355,41918,45264,25136,42070
841221,"Hydraulic power engines and motors, linear acting """"cylinders""""""""",0,0,0,0,0,0,0,0,0,24,,75,130,116,642,351,201,295,0,0,5,,14300,16491,12877,10427,16029,26211,36188,52398,46119,73353
842542,"Jacks and hoists, hydraulic (excluding built-in jacking systems used in garages)",0,0,0,0,0,0,1,0,0,24,,614,465,655,1013,636,1420,1427,0,17,0,,7602,8019,4632,5180,7568,10758,9641,10313,7854,17263
730723,Butt welding tube or pipe fittings of stainless steel (excluding cast products),1,0,0,0,0,0,0,13,17,23,,421,738,187,34,63,245,1597,73,85,8,,1414,2020,8577,10146,3700,3992,3532,6468,13358,9082
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",4,0,3,7,0,7,637,63,19,23,,16451,6991,5567,6615,4826,754,2823,747,336,669,,82911,69051,88805,109744,127973,179417,236611,239302,291711,367083
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",2502,0,0,1,0,2,1,2,1,23,,38245,29656,199008,122213,32263,19831,18247,278,404,1199,,1868656,1655176,1687271,1646440,1472511,1696990,1789839,1486268,1208277,1883050
293379,"Lactams (excluding 6-hexanelactam """"epsilon-caprolactam"""", clobazam """"INN"""", methyprylon """"INN"""", ...""",0,0,0,0,0,0,0,0,0,22,,0,0,0,0,0,57,0,0,0,0,,15107,17136,18205,35602,26861,30570,31126,31231,36289,46540
292119,"Acyclic monoamines and their derivatives; salts thereof (excluding methylamine, dimethylamine, ...",52,24,53,165,0,0,0,0,0,22,,3528,1166,1873,21,53,77,11,18,0,34,,25664,31918,35379,31679,30589,31053,45316,39338,50651,68617
251512,"Marble and travertine, merely cut, by sawing or otherwise, into blocks or slabs of a square ...",166,0,0,0,0,0,0,0,0,21,,0,0,0,0,0,6,0,0,0,0,,203498,225394,227169,294802,213633,248986,208319,208157,130415,223821
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",35,0,1,4,0,0,0,0,2,20,,5322,555,2426,696,2493,467,441,5,0,4,,966227,773666,885435,1057056,1262358,1368533,1044114,961005,489694,382505
730792,"Threaded elbows, bends and sleeves, of stainless steel (excluding cast or stainless products)",0,0,0,0,0,6,58,114,0,20,,616,565,219,3133,625,413,1298,187,1052,390,,10669,10935,15449,13100,13105,16352,18386,14700,10732,15905
841239,Pneumatic power engines and motors (excluding linear acting),0,0,0,0,76,120,0,3,4,20,,182,133,64,701,223,3095,443,11,74,16,,26121,40264,42750,33370,23271,24788,34856,51821,32076,28098
190531,Sweet biscuits,3,0,0,0,0,0,0,4,0,19,,56722,56193,59132,63985,44760,47025,49306,54924,54068,50712,,3255,3614,5406,5749,5504,6123,9707,8534,7626,9866
841410,Vacuum pumps,0,0,0,0,0,0,0,0,9,19,,1772,1676,910,1821,2221,1896,1274,42,313,8,,34637,37852,34971,31790,34331,38982,52302,60495,63330,85860
843920,"Machinery for making paper or paperboard (excluding dryers and other heating appliances, calenders ...",0,0,0,0,0,0,0,0,0,19,,102,155,160,0,0,2,0,0,0,0,,40213,16071,142954,77857,10216,54711,24273,21218,33839,35101
170410,"Chewing gum, whether or not sugar-coated",21,24,16,27,27,19,73,62,0,18,,25839,30074,25728,24579,21864,21908,27973,26122,22817,26741,,588,409,440,563,340,654,1087,896,293,469
851519,Brazing or soldering machines (excluding soldering irons and guns),0,0,0,0,0,0,0,20,9,18,,0,224,148,64,719,2023,878,0,0,0,,6780,6413,13092,6607,8841,8384,10353,14853,7584,12976
720510,"Granules, of pig iron, spiegeleisen, iron or steel (excluding granules of ferro-alloys, turnings ...",42,0,0,13,136,307,388,37,0,18,,221,37,107,99,209,699,2366,704,445,991,,33890,35217,36173,24647,23886,29926,38971,30652,22879,33530
152000,"Glycerol, crude; glycerol waters and glycerol lyes",0,0,0,0,0,0,36,0,0,18,,0,0,0,57,936,1265,722,273,170,2,,4398,5934,12689,5606,8664,11992,40497,23111,27374,74108
290529,Unsaturated monohydric acyclic alcohols (excluding acyclic terpene alcohols),0,27,0,59,0,59,75,0,33,17,,74,110,0,5680,0,1010,0,0,0,0,,5796,6558,6681,7060,8540,6125,8514,7412,8985,10122
392329,"Sacks and bags, incl. cones, of plastics (excluding those of polymers of ethylene)",217,1,0,0,1,682,340,3,72,17,,3535,4174,8742,16183,23022,13905,14802,16806,16498,23667,,20290,24861,29331,27693,24201,29697,36166,34126,33305,37881
392390,"Articles for the conveyance or packaging of goods, of plastics (excluding boxes, cases, crates ...",42,27,21,15,58,228,55,14,3,17,,140165,135141,111799,79542,7993,10460,20537,43866,46607,34521,,49104,58998,66821,67188,74545,84382,102813,116100,92220,138939
680990,Articles of plaster or of compositions based on plaster (excluding plaster bandages for straightening ...,313,934,104,246,203,535,387,190,68,17,,10790,15841,11465,7235,6937,12922,11563,10372,10957,18466,,10696,5105,3772,4362,3045,3629,5295,3272,2432,2708
293729,"Steroidal hormones, their derivatives and structural analogues, used primarily as hormones ...""",0,0,0,0,0,0,0,0,0,17,,0,0,0,0,0,5,0,0,0,0,,35081,68503,93766,90214,66407,78438,78613,76315,77335,95760
240110,"Tobacco, unstemmed or unstripped",0,0,0,0,0,0,0,0,179,17,,0,0,0,15,29,2,5,0,0,0,,308,7,0,103,41,432,554,6929,3324,2618
392091,"Plates, sheets, film, foil and strip, of non-cellular poly""""vinyl butyral"""", not reinforced, ...""",31,0,0,0,0,0,0,0,0,16,,0,0,0,97,17,59,18,28,0,0,,30553,37168,38282,39178,39626,45564,55224,45492,32982,49412
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",560,74,425,88,93,0,173,0,31,16,,34100,52812,56574,52128,62401,52928,73947,89066,109736,125264,,128917,121297,145738,142047,149196,170079,193985,205632,202289,296952
844319,"Printing machinery used for printing by means of plates, cylinders and other printing components ...",0,2,0,0,0,298,0,0,0,16,,635,130,469,441,739,373,1392,0,0,0,,79738,63864,71950,75389,67726,93792,98746,86824,74302,78573
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",0,70,0,1,0,11,58,15,0,16,,9445,5931,8610,18163,9236,11798,11761,613,683,975,,510427,546320,565962,529590,563216,613606,710069,762177,676409,948806
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",999,58,52,0,0,128,1280,211,230,16,,103555,51481,18211,16142,11559,14255,9969,14559,14802,38219,,99908,89756,87320,84671,83824,106102,183484,124251,75869,93308
721210,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",9,23,0,61,58,0,28,75,85,16,,1185,0,0,0,0,211,508,682,492,393,,25725,18324,12640,7633,2303,5290,5524,5151,4068,2003
854419,"Winding wire for electrical purposes, of material other than copper, insulated",29,6,5,4,1,7,33,531,326,16,,417,682,956,744,825,3905,1009,561,581,250,,131496,108511,93096,97556,101111,110320,107497,127342,85236,86640
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,0,0,62,0,1,0,0,5,920,15,,382,1285,1912,1751,4251,3887,2269,0,0,0,,47216,45639,42495,47437,43673,46518,63557,67845,71113,96119
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",155,7,1,4,1,2,78,62,131,14,,675,220,87,855,773,897,553,290,965,943,,246199,223400,230812,215233,235233,277984,346626,300850,263303,354701
846040,"Honing or lapping machines, for working metals, metal carbides or cermets (excluding gear cutting, ...",0,0,0,0,0,0,0,0,0,14,,0,0,0,1,11,0,0,0,0,0,,20087,17119,17728,13381,12449,11370,31864,32137,15530,14588
392049,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",137,0,0,0,0,47,70,0,10,14,,11394,4629,2817,5699,30507,27540,34244,30743,27942,17000,,73653,65041,71851,63151,60571,64541,72467,74660,62473,104262
843820,"Machinery for the industrial preparation or manufacture of confectionery, cocoa or chocolate ...",0,0,0,0,0,0,0,0,0,14,,457,0,0,101,976,1415,503,0,0,13,,32428,43203,38036,68064,17263,28307,27302,24633,32098,29241
841391,"Parts of pumps for liquids, n.e.s.",83,0,126,47,17,54,10,872,289,13,,17230,25472,20120,25463,22848,20295,24080,12121,14574,23875,,289839,263214,260140,232998,241137,254834,338528,289011,231085,306139
392051,"Plates, sheets, film, foil and strip, of non-cellular poly""""methyl methacrylate"""", not reinforced, ...""",111,109,0,145,16,37,0,15,48,13,,0,51,61,135,394,831,859,4701,620,1069,,36678,40613,45938,53944,63213,85003,122438,115201,86148,129809
680800,"Panels, boards, tiles, blocks and similar articles of vegetable fibre, of straw or of shavings, ...",27,18,0,0,82,16,626,34,40,13,,3121,1749,1323,1171,1006,2122,3164,2412,1222,3705,,4127,4309,3338,3517,3543,2617,3897,2928,2399,1807
842240,"Packing or wrapping machinery, incl. heat-shrink wrapping machinery (excluding machinery for ...",0,5,2,0,12,0,0,8,0,13,,498,1185,1560,1149,878,2939,2599,470,16306,766,,146258,162438,114935,129263,156944,142085,153186,126122,136161,152816
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,60,0,0,0,0,0,3,0,6,13,,28752,41407,28202,40312,25691,8790,8515,0,143,1,,1598935,1529299,1429219,1258877,1120508,1234590,1335224,1338337,1245069,1850164
851490,"Parts of electric industrial or laboratory furnaces and ovens, incl. of those functioning by ...",0,0,0,0,0,0,0,0,0,12,,176,29,0,37,1,34,169,6,0,1,,29843,26548,13694,16690,35421,17362,20284,20678,18293,25054
850132,DC motors and DC generators of an output > 750 W but <= 75 kW (excl. photovoltaic generators),0,0,0,0,0,0,0,0,0,12,,1917,716,202,614,275,754,791,392,2471,3292,,17937,17960,16457,22407,13467,11330,45587,17337,22548,23904
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",18,0,0,1,0,0,2,34,15,11,,4714,3927,7365,10134,7931,16242,18464,193,240,439,,544195,438451,405882,447648,347838,370620,415644,416230,365250,527903
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",1,2,0,0,35,0,5042,11,6,11,,586,557,1019,1591,2087,1876,6089,13,0,3,,206503,210665,237479,240363,258962,261213,306926,294703,277492,332510
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,0,5,4,0,3,0,30,20,0,11,,3387,6750,10651,8988,5908,2733,1065,1351,181,172,,78939,77575,81583,69237,72216,77240,85548,77323,66596,90008
721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",49,0,23,0,0,60,0,0,0,10,,3225,1962,2231,3170,3570,3337,3382,1360,162,39,,123251,138643,119289,106262,87087,78232,98252,93270,72734,142074
848120,Valves for oleohydraulic or pneumatic transmission,30,0,0,0,0,0,1,254,3,10,,139,139,0,318,257,201,1221,7,286,5,,57456,47399,48104,47997,64073,87799,124302,116511,95833,167181
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",0,0,1,0,0,0,0,0,0,10,,230285,274999,258062,271886,221945,214333,168876,186879,195749,217926,,7973,9697,7672,10669,6543,9611,14656,15802,23947,41537
490210,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising ...",1,0,0,0,0,0,81,7,3,10,,1937,1936,1880,1079,697,271,19,0,0,1,,1157,1767,1554,1319,538,416,397,668,557,356
853620,Automatic circuit breakers for a voltage <= 1.000 V,13,15,0,10,0,1,8,4,6,10,,1472,1458,320,1071,976,2904,3512,3019,4632,2417,,97332,81128,69588,70990,78258,86397,112835,104336,90520,124660
850440,Static converters,630,1,1,7,2,19,191,182,237,10,,9289,30590,21133,41850,15235,8175,8404,126,150,91,,715316,759076,754667,857308,888393,1147820,1111870,1110998,1074591,1543172
843890,"Parts of machinery for the industrial preparation or manufacture of food or drink, n.e.s.",0,0,0,0,0,0,0,0,0,10,,0,68,431,706,921,795,349,0,0,4,,26906,21637,24935,27612,28935,21047,29060,30100,27081,35481
854290,"Parts of electronic integrated circuits, n.e.s.",11,0,0,0,0,0,0,0,16,9,,1061,4105,5425,5681,4833,21205,4910,838,869,705,,101913,90607,49080,13019,14058,15659,371080,945553,862454,129555
730419,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excluding products ...",342,0,2,0,0,9,618,473,403,9,,150907,91751,146079,123957,75329,110447,136696,25807,19853,32244,,136925,108164,65867,67210,78187,35041,95118,119067,101450,42742
271099,Waste oils containing mainly petroleum or bituminous minerals (excluding those containing polychlorinated ...,1,4,18,12,35,7,4,8,4,9,,509,2215,471,0,0,0,0,0,0,0,,2335,756,1015,1021,730,929,1241,1892,2169,2737
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",134,0,0,21,11,0,0,7,17,9,,222,1808,1584,1972,3029,1066,6547,0,0,0,,403605,335934,447084,437118,370565,414560,518386,538614,434975,471752
620443,Women's or girls' dresses of synthetic fibres (excluding knitted or crocheted and petticoats),0,0,0,0,0,0,0,1,0,9,,94,0,32,285,339,1369,363,0,0,0,,2861,3887,4431,5525,5687,7090,10179,11970,7665,16804
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",495,0,0,50,0,0,0,0,0,9,,5828,7672,28049,38986,7202,12352,1687,0,17,0,,981782,1033925,1071586,1092561,1291374,1401143,1218039,1407069,1675853,2808602
281122,Silicon dioxide,48,13,207,973,294,11,8,33,12,9,,0,0,0,435,1746,1700,1614,3,0,101,,24982,28347,37152,40603,38398,45251,51782,55601,49757,63888
844849,"Parts and accessories of weaving machines """"looms"""" and their auxiliary machinery, n.e.s.""""",3,0,0,0,0,0,0,0,0,9,,0,0,0,5,0,7,0,0,0,0,,56944,38980,37540,37115,52338,65884,58690,69206,29300,53533
701911,"Glass fibre threads """"chopped strands"""", cut into lengths <= 50 mm""""",97,84,111,68,64,317,87,0,0,9,,0,0,753,8,22,14,79,0,84,9,,18004,22116,26444,28793,35963,39861,49806,42651,38470,54205
392490,"Household articles and toilet articles, of plastics (excluding tableware, kitchenware, baths, ...",58,10,18,26,2,2,13,5,0,9,,17257,24677,24267,29118,12833,4814,3792,1383,1442,3316,,17715,18508,21017,20125,16149,30831,46066,36783,25667,33382
732010,"Leaf-springs and leaves therefor, of iron or steel (excluding clock and watch springs and shock ...",2,0,0,0,0,0,0,0,0,9,,0,148,0,5,7,9,27,0,0,0,,24736,20666,21538,21383,25762,21413,22433,21462,20926,21896
843049,"Boring or sinking machinery for boring earth or extracting minerals or ores, not self-propelled ...",2834,339,0,0,0,0,1858,72,10,9,,52667,38989,25720,68640,24993,22263,16033,1587,41,8572,,127547,139528,161947,74091,133861,102633,104103,97724,96898,80222
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",54,16,0,0,55,72,357,0,0,8,,22237,31407,10400,10030,28011,7000,16333,0,0,0,,2829269,2678574,2725304,5021119,6376143,11279333,9671630,8168050,6543206,7348509
382370,"Fatty alcohols, industrial",0,0,99,2234,267,0,0,19,11,8,,0,37,95,20,791,1010,3939,10533,7097,4975,,101455,76905,123135,70599,67636,131899,146164,104835,122618,212614
842121,Machinery and apparatus for filtering or purifying water,0,0,0,0,5,5,2,254,0,8,,7592,4501,6051,6916,3486,7370,74891,82014,89434,94436,,75438,71891,82615,156538,88439,76452,103539,120444,137420,160615
391722,"Rigid tubes, pipes and hoses of polymers of propylene",0,0,0,0,0,0,0,0,0,8,,649,2442,2273,1456,473,423,604,438,475,1750,,1090,1539,2093,1543,1437,1157,1589,1923,1441,3743
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",397,493,907,136,74,304,32,380,312,8,,652,1647,3084,7379,12561,5091,7857,32039,24985,1039,,36893,38025,45627,44853,47032,53033,58971,64725,69328,102590
291736,Terephthalic acid and its salts,0,2226,0,34,0,3580,393,1014,0,8,,0,203,91,360,136,632,88,1342,1004,108,,696343,1035845,978076,619319,254961,284210,555711,655741,208264,1013340
902110,Orthopaedic or fracture appliances,0,0,0,0,0,0,0,1,3,8,,2214,379,271,296,235,339,268,0,0,0,,23894,28737,23772,19698,15015,17480,17811,21566,15717,24340
903033,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",0,0,2,0,1,0,0,8,5,7,,98,207,124,1819,957,640,638,0,0,0,,46140,41521,42127,32769,37209,44658,57517,68281,56037,65482
380110,"Artificial graphite (excluding retort graphite, retort carbon and goods of artificial graphite, ...",1,0,0,0,0,0,0,0,0,7,,67,414,0,57,430,281,1614,0,0,1,,7615,6090,6310,8603,13034,15426,26881,28773,21670,38882
902480,Machines and appliances for testing the mechanical properties of materials (excluding metals),0,0,5,0,0,0,0,0,69,7,,613,277,267,1721,381,2628,178,0,0,0,,93675,68959,64148,54703,55319,74448,71862,65988,52785,55869
251110,"Natural barium sulphate """"barytes""""""""",0,0,0,0,0,0,0,0,0,7,,578,0,0,2,0,154,749,1195,1916,2111,,13416,2337,2098,3218,2590,3640,3988,5733,3800,6176
848240,Needle roller bearings,47,0,0,0,0,0,0,0,2,7,,0,0,0,0,0,9,347,0,0,0,,18709,19796,22116,22164,22181,25007,31372,28377,26207,37013
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",75,5,1,47,5,0,108,1687,790,7,,1076,591,2474,1758,1831,2111,6607,1206,1481,1549,,351880,330137,351340,369388,395489,466988,631099,606997,559724,807158
854411,"Winding wire for electrical purposes, of copper, insulated",167,0,0,0,0,14,9,3,4,7,,0,0,351,175,1142,586,420,1248,1708,17682,,111258,97100,93245,77168,65179,70581,74579,66368,42638,69229
848610,Machines and apparatus for the manufacture of boules or wafers,0,0,0,0,0,0,0,0,0,7,,0,268,683,108,3,55,149,0,0,0,,56483,7162,1291,3924,6252,14407,1143,9660,4109,1379
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),93,0,0,1,0,1,21,65,12,6,,864,722,1818,1222,919,490,949,11,167,24,,238974,208154,176442,180588,201342,228838,235610,259824,255917,324457
848410,Gaskets and similar joints of metal sheeting combined with other material or of two or more ...,103,49,10,14,14,10,57,77,101,6,,868,1131,307,744,814,2808,1467,506,1791,718,,34389,32789,25648,23040,21547,24075,32760,31943,26742,41247
846799,"Parts of pneumatic tools for working in the hand, hydraulic or with self-contained electric ...",74,1,2,0,0,0,0,1,1,6,,2833,2252,186,1337,354,402,391,0,0,0,,24713,25124,27884,25003,24136,38634,45248,43018,40569,66387
841199,"Parts of gas turbines, n.e.s.",284,0,0,0,0,0,325,319,0,6,,74594,69257,110285,122630,197303,249664,342248,2433,3270,11666,,447553,166316,199593,232441,187939,153250,140813,192534,153704,151215
281830,Aluminium hydroxide,20,0,0,0,0,0,0,0,0,6,,0,0,0,1,157,0,0,0,1784,2113,,11566,13875,12163,13768,15445,22365,22342,26648,21625,32068
842420,"Spray guns and similar appliances (other than electrical machines, appliances and other devices ...",0,13,1,0,0,0,0,0,1,6,,373,218,384,816,609,1038,603,201,290,0,,10071,8954,8737,9270,11848,16319,20619,17139,18078,22811
848420,Mechanical seals,0,0,0,0,0,1,15,43,3,6,,1667,1223,452,605,1103,2284,1797,4479,2461,546,,34884,38107,40997,36729,42454,51715,60092,57059,50505,71664
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",122,0,74,0,0,146,0,0,0,6,,83,0,0,0,302,1153,134,0,13,38,,84261,71268,185349,177891,435157,321820,391083,277200,219840,278765
701310,"Glassware of glass ceramics, of a kind used for table, kitchen, toilet, office, indoor decoration ...",0,0,0,0,0,0,0,0,0,6,,18378,16958,18133,27863,20509,16506,15131,12329,7899,11587,,3978,3051,3246,4002,2641,2179,3019,1213,829,1388
841790,"Parts of industrial or laboratory furnaces, non-electric, incl. incinerators, n.e.s.",105,0,0,0,4,0,0,0,0,5,,32,1792,945,346,801,169,52,10,4,6,,199731,58190,66296,71645,47143,44469,68808,76599,61705,81408
903039,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",0,0,0,10,0,0,27,0,17,5,,119,55,2608,4702,374,1566,407,0,0,0,,14157,10502,10779,13553,14583,16592,21281,20251,17586,18799
848320,"Bearing housings, incorporating ball or roller bearings, for machinery",0,0,0,0,0,0,0,0,0,5,,0,0,73,23,110,51,33,0,0,0,,37723,34499,36876,34927,36083,37525,56156,55821,51924,67427
750890,"Articles of nickel, n.e.s.",0,0,0,0,0,0,42,1,4,5,,7673,11137,8476,9261,2039,2613,3936,4190,3104,2458,,9180,11592,13685,16505,17852,13302,19705,28591,26026,42295
