Product code,Product label,"Korea, Republic of's imports from China-Value in 2012","Korea, Republic of's imports from China-Value in 2013","Korea, Republic of's imports from China-Value in 2014","Korea, Republic of's imports from China-Value in 2015","Korea, Republic of's imports from China-Value in 2016","Korea, Republic of's imports from China-Value in 2017","Korea, Republic of's imports from China-Value in 2018","Korea, Republic of's imports from China-Value in 2019","Korea, Republic of's imports from China-Value in 2020","Korea, Republic of's imports from China-Value in 2021",China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
720521,"Powders, of alloy steel (excluding powders of ferro-alloys and radioactive iron powders "" ...""",5597,6649,5545,5209,5053,3841,5054,5781,6914,8166,,35233,40666,48978,39056,29058,33342,47097,52710,60432,57932,,82688,85962,82106,57956,64192,68678,75855,66759,58664,77291
848140,Safety or relief valves,1436,1765,2145,2010,1753,1993,2969,3866,7507,8147,,86350,111646,161617,150929,128460,152776,174239,179457,170490,184900,,89194,96449,95758,85852,81886,99168,71031,60718,75433,89928
740819,"Wire of refined copper, with a maximum cross-sectional dimension of <= 6 mm",695,279,231,645,587,327,382,4229,4690,8145,,34681,38242,28697,32027,38455,55666,63068,91261,152414,247654,,22670,7141,6180,5050,8175,8083,4453,7371,7472,38945
320890,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",9876,9643,11900,8341,8664,9033,5999,7333,6101,8138,,207705,201941,248710,270053,222569,261599,259253,259563,241310,245446,,411501,370070,371794,363395,355647,388817,419355,361148,349479,416455
30339,"Frozen flat fish """"Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"""" ...""",4634,6403,6634,8413,6771,6648,9035,9605,6663,8137,,14025,36330,48227,45215,70227,65512,73165,53593,36652,35172,,63008,52866,53557,61399,57715,73123,83936,81578,58192,61574
841830,"Freezers of the chest type, of a capacity <= 800 l",3496,4158,5423,9928,7105,8489,9870,9229,6594,8109,,824341,869752,947953,867654,875565,941671,1053519,1053197,1525748,1528093,,3876,4419,5727,10084,7332,8717,10075,9419,6705,8453
840290,"Parts of vapour generating boilers and superheated water boilers, n.e.s.",23824,20970,78078,29196,10978,4032,1898,18019,16127,8085,,1524795,1270833,1182300,980322,979532,808398,891086,793851,929761,619076,,53175,106721,156484,106163,38201,47538,46710,42212,37838,37621
391211,"Non-plasticised cellulose acetates, in primary forms",1,57,919,3,1404,3581,8567,9792,11103,8063,,41952,95369,83870,47546,18346,19250,23363,16606,18295,22369,,104567,128305,101869,77967,91280,71266,77850,80984,73491,77086
920994,"Parts and accessories for musical instruments, the sound of which is produced, or must be amplified, ...",5512,4868,3997,8516,4735,5210,5780,6693,6571,8052,,40428,42678,42318,43763,45413,43565,51831,55720,55372,72228,,14442,11572,12047,16088,11924,12043,12299,13594,13957,17561
845229,"Sewing machines, industrial type (excluding automatic units)",9316,9848,9657,8963,7403,7590,5458,7217,6172,8051,,364824,428525,422782,373205,362554,339203,402137,368686,312324,405421,,17582,17356,17333,15311,13178,11942,9537,10451,8896,11071
591132,"Textile fabrics and felts, endless or fitted with linking devices, of a kind used in papermaking ...",9647,9590,9990,10164,9397,9287,8621,7978,7468,8049,,55543,64900,64033,62032,68699,76877,94553,90117,84039,91887,,37224,35716,32327,32762,29135,27874,27182,25087,25069,24551
750512,"Bars, rods, profiles and wire, of nickel alloys, n.e.s. (excluding electrically insulated products)",10970,6721,3697,4620,4945,8276,7239,11315,9275,8036,,37037,25364,21202,21069,16700,25948,26510,48700,57175,58096,,59912,46977,52884,43383,40073,40876,35916,41753,37423,28344
550951,"Yarn containing predominantly, but < 85% polyester staple fibres by weight, mixed principally ...",21206,16492,19959,30380,24849,13676,10847,9623,6055,8031,,43049,39799,54894,80668,74839,82177,84664,81339,61495,104791,,105147,89443,76786,84555,85611,65449,60430,49937,37883,39052
842010,Calendering or other rolling machines (other than for metals or glass),3442,1722,894,3166,2545,3804,6020,7309,4929,8025,,36358,43726,59471,53634,57723,68707,75485,90623,75718,87863,,10509,9251,10350,26909,12039,15656,15028,14506,13702,13813
620292,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of cotton (not ...",20273,15550,14489,15744,12098,9109,9514,6832,5685,8007,,586957,650939,847999,812924,707721,1754218,709898,590249,433909,813242,,46640,37724,35183,34319,30154,24071,26730,20935,19539,21896
871491,"Frames and forks, and parts thereof, for cycles, n.e.s. (excluding for motorcycles)",3305,3817,4843,7118,6973,4139,2698,2007,4075,8006,,945020,933287,1072975,1111809,987604,976937,1157492,1266234,1339722,1975442,,10795,12239,14421,16862,14856,12408,11715,7332,10442,17936
850220,Generating sets with spark-ignition internal combustion piston engine,3371,1914,2418,2590,3664,4113,5406,6519,7528,8005,,1635737,1867557,1785187,1426299,1067089,1188246,1586786,1281136,1550896,1845983,,38426,14068,30114,20715,26927,11898,11318,18592,13687,12808
81110,"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened",9426,8924,7459,6869,8123,8107,8987,8583,6509,7997,,170309,132578,107593,92788,107520,110103,102762,82137,78549,70858,,15975,14356,13522,13771,14989,15973,16292,17244,14163,17993
901180,"Optical microscopes (excluding for photomicrography, cinephotomicrography or microprojection, ...",4246,4566,3626,4039,4433,6183,5176,5339,5931,7992,,104002,114181,115124,108711,107394,117841,132161,128199,114594,128163,,46525,54741,45437,42253,39134,46595,44462,46003,49111,61257
60314,"Fresh cut chrysanthemums and buds, of a kind suitable for bouquets or for ornamental purposes",2856,6690,7972,9317,8752,8360,9471,8286,7864,7991,,20933,23382,25903,26330,26620,26879,35776,39711,35078,33302,,2881,6736,8077,9531,9300,8814,10394,10407,10071,16398
291720,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, ...",2315,2662,3076,3227,4074,5493,5486,4938,5575,7975,,89560,77276,80955,96504,89621,105972,156522,130371,109643,122145,,11673,14797,14530,15205,13526,15252,14650,12847,12541,16753
721650,"Sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded ...",69363,53103,57067,44908,41726,33499,29748,31660,16907,7943,,40539,49869,67161,40775,42881,31779,47241,49209,52553,71835,,181145,175798,169700,125682,104024,93197,54993,64570,38619,34461
91011,"Ginger, neither crushed nor ground",2517,3698,6243,6188,6668,2332,5132,10362,9925,7930,,230481,369457,518763,416554,337280,402373,442257,541184,685058,509162,,2520,3700,6244,6194,6709,2333,5138,10364,10321,8804
851140,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition ...,14799,14831,14070,12694,12044,7740,8002,7258,7078,7918,,448162,486019,574020,523241,510791,554046,559405,492472,503309,623636,,40397,47681,46305,48807,46965,53634,45981,36259,34371,38668
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",8449,11095,14500,13180,15376,14636,12174,9299,8609,7917,,361738,345639,352353,329636,298681,272795,274253,255760,188765,195494,,576080,474592,422825,352464,344564,382754,452539,428520,519049,605281
382474,"Mixtures containing hydrochlorofluorocarbons """"HCFCs"""", whether or not containing perfluorocarbons ...""",671,155,477,596,1111,1312,2694,5799,8709,7895,,24417,14580,11526,9699,11178,10019,11554,15188,7951,3968,,719,251,536,745,1266,1313,2723,5829,8709,7895
690730,"Ceramic mosaic cubes and the like, whether or not on a backing (excl. refractory and finishing ...",0,0,0,0,0,4541,2974,2733,6391,7883,,0,0,0,0,0,76759,91194,103155,59103,79296,,0,0,0,0,0,5716,3912,3196,7515,8767
841229,Hydraulic power engines and motors (excluding hydraulic turbines and water wheels of heading ...,2571,3590,2196,6259,6662,4247,3803,4460,3915,7875,,204435,220828,262221,257629,234905,240090,288928,307246,267918,368775,,121424,89269,117255,106687,126576,112188,106120,90779,90424,100272
250860,Mullite,8353,6522,6408,6091,5484,6381,4524,6192,6208,7875,,20432,12145,14130,10724,9817,13350,14532,18879,19585,26754,,14218,10338,9892,9229,9616,12706,10492,10167,9037,11791
610799,"Men's or boys' bathrobes, dressing gowns and similar articles of textile materials, knitted ...",2507,2577,5185,5339,5415,6204,8077,6161,6020,7843,,88406,98115,118761,111786,106561,116135,138381,147442,122033,153622,,5115,10960,16711,13162,13516,13711,15594,16378,14135,15553
590700,"Impregnated, coated or covered textile fabrics; painted canvas being theatrical scenery, studio ...",481,2301,1854,917,1187,1372,2292,3549,5663,7794,,279610,362278,385963,314897,301625,327954,351230,375522,320188,379916,,3811,6750,6357,4617,5217,5004,9762,13395,18640,22345
721410,"Bars and rods, of iron or non-alloy steel, not further worked than forged (excluding in irregularly ...",14935,11045,10029,7733,4501,5910,5487,5106,3319,7781,,32804,22076,31203,29546,23774,26047,32474,22679,28613,70808,,15031,11217,10389,8015,4717,10443,13075,8842,4574,9589
190410,"Prepared foods obtained by swelling or roasting cereals or cereal products, e.g. corn flakes",3717,2249,2172,1891,2359,2807,3178,5989,6250,7760,,176933,159391,164382,156451,161257,174689,182071,192494,187449,187183,,18450,16879,23239,17318,18632,23100,24703,28655,31167,40198
620332,"Men's or boys' jackets and blazers of cotton (excluding knitted or crocheted, and wind-jackets ...",15424,14841,14141,12372,9921,10152,9960,9703,7750,7759,,554069,730576,1325236,1344780,1761660,1632969,1269835,1070275,840273,770585,,26649,27867,28765,24426,25314,25125,26685,28103,29084,33689
150790,"Soya-bean oil and its fractions, whether or not refined (excluding chemically modified and ...",124,224,357,313,210,327,452,401,663,7751,,74802,94955,128841,121337,88653,126367,181923,173914,86485,52249,,4008,5305,5860,5361,4927,9468,11918,15546,30287,46350
580632,"Narrow woven fabrics of man-made fibres, with a width of <= 30 cm, n.e.s.",4653,5110,6389,6907,8461,7695,7336,8062,6595,7749,,491496,610642,697049,662542,612133,600170,686542,738001,659189,806478,,8971,10463,11482,14404,20375,18473,18650,18293,16362,18679
720890,"Flat-rolled products of iron or steel, of a width >= 600 mm, hot-rolled and further worked, ...",84691,99809,127636,118968,62190,15339,7203,14577,1850,7741,,12467,11185,9955,11428,8568,10747,15771,34455,29654,35729,,129024,130190,164823,145777,74316,21848,10169,16265,2630,9439
843699,"Parts of agricultural, horticultural, forestry or bee-keeping machinery, n.e.s.",3569,4954,4590,4028,4906,5427,5681,7172,7570,7739,,88998,89917,109271,108437,124502,209459,126023,130414,131204,150375,,13042,15938,13567,11567,14022,13547,15513,15710,17721,17389
291816,"Gluconic acid, its salts and esters",1916,2189,3010,3089,3573,4437,5824,6277,5859,7735,,94272,101841,108509,104285,98380,105164,126877,117659,130611,148830,,2689,3196,3634,3653,4391,5349,7181,7698,7441,9988
40899,"Birds' eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or ...",241,275,291,319,259,6426,310,354,349,7734,,9078,9421,8210,7051,6755,14779,11174,11246,9386,18089,,715,1097,2544,2426,2565,13156,2864,1979,940,12958
848079,Moulds for rubber or plastics (other than injection or compression types),17760,18549,24782,21365,14001,12750,9519,10219,9243,7728,,435777,437686,417510,470265,445763,436428,470439,470437,465607,405730,,30016,35948,35312,36353,26595,22039,17602,18076,18787,15327
847730,Blow-moulding machines for working rubber or plastics,840,1224,926,2864,4638,2895,3917,3535,4647,7710,,155503,180788,186070,183502,185355,208629,217190,235390,259412,258096,,17433,17496,38244,41131,33752,45362,57682,29574,43882,33138
281640,"Oxides, hydroxides and peroxides, of strontium or barium",3247,3678,3239,3143,4244,4362,5304,6606,6386,7698,,19103,17572,16524,16774,18625,19823,27790,30425,23052,28927,,3593,4129,4497,3811,4833,4845,6121,7612,7500,9824
293622,"Vitamin B1 and its derivatives, used primarily as vitamins",1866,1763,2534,4023,5827,9613,9546,7829,9354,7684,,118770,100928,115029,147022,221288,328270,296132,197006,198651,206272,,6270,5461,5211,7447,11124,15602,15573,15863,18393,19901
621139,"Men's or boys' tracksuits and other garments, n.e.s. of textile materials (excluding of cotton ...",3414,3533,3379,3311,3814,3294,4569,5284,6072,7654,,87144,98664,98943,86084,69477,78935,59751,68215,55473,46024,,5997,5357,8023,9860,10197,13249,18598,24652,33935,47482
290389,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons (excluding 1,2,3,4,5,6-Hexachlorocyclohexane ...""",9652,6501,8771,9192,14091,6988,7260,4821,7179,7646,,94427,69804,67317,68076,71448,75170,98597,76241,52186,48067,,30852,26411,24106,22443,26567,21547,25963,23268,28489,25046
842549,"Jacks and hoists of a kind used for raising vehicles, not hydraulic",2257,2592,2351,6333,4633,3685,2589,4373,8504,7642,,224035,234987,275680,268704,259703,291167,318243,286601,291723,380300,,12525,13574,6854,26422,10726,9768,9095,10025,13958,12951
621132,"Men's or boys' tracksuits and other garments, n.e.s. of cotton (excluding knitted or crocheted)",10274,8013,7633,7028,6746,5830,7123,6828,5657,7638,,578627,504837,342125,289461,231748,202344,210928,355675,355072,300007,,30012,25279,25006,19821,18457,15437,21104,20008,17382,23455
320649,"Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring ...",10107,9638,9510,9207,11823,11304,11494,8306,6275,7631,,162696,207663,241563,238166,219104,260850,297272,349312,490285,459829,,75518,120685,148907,143534,107571,93132,74880,64786,48258,51591
30354,"Frozen mackerel """"Scomber scombrus, Scomber australasicus, Scomber japonicus""""""""",12330,5933,8443,17376,3965,1495,3528,3316,5469,7631,,315577,270197,287074,297023,462263,552499,516949,531168,283204,280584,,61248,35605,70918,91422,72688,74031,71442,81212,85535,103808
551090,"Yarn containing predominantly, but < 85% artificial staple fibres by weight, other than that ...",3836,4081,5188,5244,8038,8479,6830,6282,5851,7603,,67223,88539,73643,88072,108814,100657,123885,120957,116990,172234,,9122,9275,9184,10356,14959,16069,12579,10400,10852,10973
940530,Electric lighting sets of a kind used for Christmas trees,2365,3840,4752,4689,3914,5270,4724,5061,5913,7577,,1263034,1482912,1670146,1796790,1427363,1437861,1425339,1258290,1037747,1411718,,2374,3851,4768,4713,3931,5290,4730,5075,5961,7665
731512,Articulated link chain of iron or steel (excluding roller chain),7079,5470,8205,6126,3180,3822,4180,3846,4796,7570,,22301,28095,38142,52099,63764,85618,116189,128025,126951,193550,,17594,17044,23838,17312,14624,17971,16715,18958,17306,24796
730120,"Angles, shapes and sections, of iron or steel, welded",21436,14151,16174,6978,6661,9000,13243,7544,5088,7553,,53810,45604,47709,32701,28706,26055,34967,30695,25834,20197,,32283,19663,21078,8886,7421,10447,14592,10574,7844,12877
640220,"Footwear with outer soles and uppers of rubber or plastics, with upper straps or thongs assembled ...",804,1861,2468,870,1281,2442,2957,4169,3867,7529,,1876531,1878514,2215457,2155360,1879294,1872146,1718552,1926279,1922040,1692597,,1693,2644,6882,2510,2431,4718,5348,7522,8005,10727
750890,"Articles of nickel, n.e.s.",2354,3166,2490,1914,4106,4143,3950,4128,5815,7519,,19769,19226,24388,24975,45126,28659,28169,33593,21521,26118,,27347,40558,35709,29934,36310,39629,41029,43770,40937,46631
290373,Dichlorofluoroethanes,19634,18684,13620,11213,13314,14463,6122,5114,6399,7501,,1125,6,42,42,0,37,0,8,0,2895,,19634,18684,13778,11213,13314,14463,6122,5114,6399,7501
700800,Multiple-walled insulating units of glass,878,3605,7090,5739,6710,10149,16235,20757,11124,7490,,122737,188563,201780,213367,183601,174795,264693,269214,230836,255015,,2445,10973,9839,9434,7788,12777,17717,21462,11325,7931
540249,"Synthetic filament yarn, incl. synthetic monofilament of < 67 decitex, single, untwisted or ...",5947,8256,6993,5011,6026,5941,5602,4144,7666,7488,,41056,48805,55118,58551,79252,125400,140649,152213,154318,174131,,37528,56551,74173,80404,80791,73585,86304,74015,52989,66973
846150,"Sawing or cutting-off machines, for working metals, metal carbides or cermets (excluding machines ...",2600,2734,3741,4630,5870,7292,5921,7193,6647,7483,,184683,193689,283195,216897,211886,202526,234355,275511,283684,321978,,35688,35002,38620,40196,34261,35376,34610,26469,22657,28734
293690,"Provitamins and mixtures of vitamins, of provitamins or of concentrates, whether or not in ...",1459,1752,1583,1664,1239,1020,4644,7743,6454,7471,,20560,12354,13058,13871,10817,17040,53680,90636,92954,106504,,11245,9280,10421,9535,11759,12569,28236,24964,19464,22740
722699,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled ...""",4085,4210,4238,6434,4437,7525,7183,7664,5454,7420,,29730,33218,48445,58351,46793,63766,61077,57087,95846,110019,,41104,40770,35082,34449,26783,27422,25122,23457,19355,19373
900311,"Frames and mountings for spectacles, goggles or the like, of plastics",5097,6299,8115,8074,6694,5667,4094,5599,5450,7411,,333949,455147,563253,595920,642883,646392,716853,649451,600395,752039,,16834,17969,21711,19581,16226,13534,10915,11877,11631,13931
291462,"Coenzyme Q10 """"ubidecarenone """"INN""""""""""""",0,0,0,0,0,1240,1089,1451,3475,7410,,0,0,0,0,0,153737,149946,140527,236132,327687,,0,0,0,0,0,1297,1599,2287,9010,14363
871610,"Trailers and semi-trailers of the caravan type, for housing or camping",66,107,133,70,57,150,1260,1728,1685,7409,,37501,56394,45379,60526,86092,86537,114931,137864,165542,304349,,6416,16180,24038,27652,25279,46089,54476,44735,45468,82678
950659,"Badminton and similar rackets, whether or not strung (other than tennis rackets and table-tennis ...",11260,10932,12816,10800,10358,8947,7606,7833,5094,7401,,272158,267589,280718,302212,227142,225434,230062,226354,233633,324594,,15262,15892,19165,16976,16756,14470,12352,11932,8206,8834
830110,Padlocks of base metal,2044,3026,5521,5902,5585,6654,6755,6836,6274,7397,,619150,623094,644658,823048,772725,690939,742444,777740,700054,712768,,2646,3545,6889,7512,7075,7248,7412,8295,7301,8318
292129,"Acyclic polyamines and their derivatives; salts thereof (excluding ethylenediamine and hexamethylenediamine, ...",2985,1908,3592,2435,4564,5288,3964,4861,5024,7396,,87700,57634,57558,63766,66572,64313,61981,68967,77212,104393,,36708,30315,37400,35270,39788,37385,38218,40477,36534,49204
630222,Printed bedlinen of man-made fibres (excluding knitted or crocheted),226,464,428,511,2609,2914,4226,5193,6135,7390,,631574,736076,840105,808053,750899,688126,689732,731460,734905,911444,,352,674,920,1372,3249,4532,5643,6703,7738,8722
293624,"D-Pantothenic or DL-pantothenic acid """"Vitamin B3 or B5"""" and their derivatives, used primarily ...""",1206,1565,3074,2879,6236,8444,14115,10708,14699,7387,,75903,86781,154939,112565,302105,423520,317039,311502,381893,161189,,6127,5741,7154,7679,13703,18058,24275,19042,24241,16403
480452,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",54,84,639,431,2525,5434,6724,7310,7488,7372,,464,31,12573,166,400,594,42,732,734,707,,2789,2367,5025,3727,7135,11983,16025,18504,20781,27392
610433,"Women's or girls' jackets and blazers of synthetic fibres, knitted or crocheted (excluding ...",3265,2443,3558,3032,3274,2622,2600,4649,4349,7356,,2930941,3370618,3719262,2669974,1852979,1560682,1605674,1171776,1100815,1841696,,6225,8411,7388,7967,9795,6482,8338,12094,10395,11650
280519,Alkali or alkaline-earth metals  (excluding sodium and calcium),2968,3389,4263,5655,6508,6907,11409,9944,8147,7353,,42724,37393,47854,54236,44363,52707,78720,60494,41096,56244,,3171,3504,4438,5898,6774,7957,12785,11665,8502,7877
890690,"Vessels, incl. lifeboats (excluding warships, rowing boats and other vessels of heading 8901 ...",11114,29652,17555,27889,15918,13400,5321,6779,23830,7344,,889598,712429,577524,732449,751469,515150,782543,426215,488705,437581,,33370,47714,67042,118024,63698,24888,8367,13761,49424,20135
200989,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening ...",4616,4781,4083,5406,6857,7894,10693,5762,5951,7337,,124987,106312,110986,103854,91931,93663,100467,88635,94551,152935,,45534,43137,40720,40235,44094,51156,76502,104186,120977,87231
730820,"Towers and lattice masts, of iron or steel",923,32,201,161,735,19047,10567,8468,6351,7324,,384298,394126,606358,692021,608521,537437,492079,425525,482877,488323,,3485,1680,6779,495,996,41872,20328,10710,12587,16109
290629,"Aromatic cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives ...",2372,2835,6217,3360,3544,6511,3614,12635,5923,7321,,82833,107345,99031,106016,100331,105403,123310,152559,166409,174901,,3741,3825,7534,5093,3780,7115,4637,14058,7684,9401
721921,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",30362,37622,51316,24218,24851,16380,14344,6078,10761,7307,,152557,164483,171999,120497,101932,89262,120721,111001,98902,97969,,144011,154038,168924,128140,118328,130121,109488,103130,118211,75646
845180,"Machinery for dressing, finishing, coating or impregnating textile yarns, fabrics or other ...",841,1261,1248,2518,2215,1915,4661,5170,31740,7300,,81537,105850,118010,145000,160853,166505,188802,204121,366709,245668,,6646,12750,14655,8742,5748,8182,10453,10019,36706,10109
810199,"Articles of tungsten, n.e.s.",7679,5021,6760,5749,4112,4086,4790,3310,4929,7251,,104973,87361,138440,89749,97771,69973,74647,73436,55951,72910,,26304,20981,22465,22414,18267,21660,23664,18444,20193,27567
290514,"Butanols (excluding butan-1-ol """"n-butyl alcohol"""")""""",623,635,1462,1796,3322,1691,2409,2565,5003,7228,,8529,10610,9589,8957,6440,16719,14437,15952,15303,21635,,13518,36798,58193,37545,42243,32116,43578,54349,69376,65571
70511,Fresh or chilled cabbage lettuce,5171,5855,5005,5725,7912,5773,7608,6379,7078,7223,,18708,20266,17612,23255,33207,32383,44188,70995,63191,46051,,8213,7471,6781,6996,11420,7971,10673,7466,8572,9397
100829,"Millet (excluding grain sorghum, and seed for sowing)",7367,9056,9244,6685,5795,6706,6485,6530,8830,7218,,7643,8718,7287,6144,5556,4748,3728,5236,6410,5888,,7390,9105,9537,8724,8226,7462,7572,7843,10901,10393
843840,"Brewery machinery (excluding centrifuges and filtering, heating or refrigerating equipment)",30,1,498,1983,1363,2581,3497,9074,4332,7217,,63084,97662,104228,117241,121911,138271,159321,172217,113355,104608,,1786,39120,8670,7927,56797,6993,5671,13163,4432,17072
610620,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres, knitted or crocheted ...",8573,8142,8983,8290,6888,7021,5395,6539,5761,7216,,314622,323462,238392,176312,180085,116030,141841,118964,177523,279814,,28884,32168,42504,43093,43556,46887,53303,51706,48981,46801
846789,"Tools for working in the hand, hydraulic or with self-contained non-electric motor (excluding ...",3142,2843,2427,3192,3372,4445,5516,5545,5888,7139,,439825,600582,630057,605318,599031,709858,724690,664082,689900,846878,,31504,28468,35992,29167,30623,35135,30290,24815,28361,26873
330790,"Depilatories and other perfumery, toilet or cosmetic preparations, n.e.s.",7911,5499,1352,534,2351,5775,7456,16521,5228,7139,,198035,218858,254381,346602,397771,463699,498406,509931,497595,546360,,33235,39617,37699,40836,44072,48991,48566,62244,44648,55683
843390,"Parts of harvesting machinery, threshing machinery, mowers and machines for cleaning, sorting ...",2327,1687,2830,3546,4479,6345,7030,6235,5252,7136,,308006,343883,377204,371633,359706,465452,485138,494290,631923,824970,,9756,10024,10785,10099,13417,16171,17633,20409,20834,20576
190230,"Pasta, cooked or otherwise prepared (excluding stuffed)",433,740,705,1257,859,995,1236,2113,4441,7133,,535968,576645,602659,596074,597535,619286,660106,661068,719118,679089,,5038,4886,5404,5742,6550,9468,13869,14066,14949,23770
960820,Felt-tipped and other porous-tipped pens and markers,1086,1360,1504,1458,2369,2196,2326,4045,4600,7129,,396753,427136,433162,452969,512933,481441,492451,546339,568339,673117,,9826,12437,13012,13143,17625,18440,17695,20327,20066,24676
821210,Non-electric razors of base metal,11419,10505,8532,8392,12245,10052,10706,9837,7875,7121,,280530,264352,283190,304182,317665,323880,302319,307311,294980,293533,,25973,30660,26068,28244,36500,32036,33099,37149,30470,26925
392520,"Doors, windows and their frames and thresholds for doors, of plastics",4495,5626,5842,6938,8058,7787,7737,6668,5136,7112,,251923,258886,241455,243246,213473,234385,256762,273864,309571,358804,,8319,10360,11817,12752,13252,12906,10924,8547,6168,9131
851150,Generators of a kind used for internal combustion engines (excluding magneto dynamos and dual ...,2024,1948,1599,1818,4118,4828,6608,5612,6644,7089,,265362,295455,362441,313032,318818,362003,390404,373316,352832,438975,,81033,60153,52423,60119,66708,73310,60659,63984,45719,33939
711291,"Waste and scrap of gold, incl. metal clad with gold, and other waste and scrap containing gold ...",9498,20517,13072,8880,10741,8688,6390,7090,5085,7085,,0,0,0,0,0,0,1981,2873,306,351,,43234,54667,60479,79611,64946,65786,71601,97714,89091,113939
160552,"Scallops, incl. queen scallops, prepared or preserved (excluding smoked)",1331,2004,2532,1988,2737,2744,3648,4791,5045,7080,,123577,118057,146883,166291,110613,130586,111590,118425,123817,121792,,1512,2087,2546,2139,2909,2960,3949,5191,5903,7579
540769,Woven fabrics of yarn containing >= 85% by weight of mixtures of textured and non-textured ...,15939,15779,10283,13249,12474,10638,8170,9516,8646,7078,,603461,704847,834594,855511,715614,715235,654374,646269,490246,541298,,20658,20058,13407,18287,18187,14529,12114,13860,13493,12523
30489,"Frozen fish fillets, n.e.s.",9376,8625,12213,9619,7270,8573,9238,8486,5887,7057,,683197,630857,668923,630152,654826,736410,636061,584647,488226,428917,,30440,32623,34629,39185,36207,39552,43704,44144,39692,44945
845430,Casting machines of a kind used in metallurgy or in metal foundries,2825,7388,10335,9249,8662,5224,4796,6657,2236,7056,,122065,129196,130375,185776,96924,137646,132504,138077,142642,151065,,56218,66907,76113,114348,59493,43627,31649,33638,27978,55434
821420,"Manicure or pedicure sets and instruments, incl. nail files, of base metal (excluding ordinary ...",2529,3201,3856,4393,4711,5311,6550,6187,6070,7035,,203634,214590,273753,277699,218861,225383,215595,243130,280175,376839,,4815,5787,6616,7168,7575,8418,9830,9020,9079,10252
390210,"Polypropylene, in primary forms",2694,2042,2611,3779,3243,2941,2400,4465,4819,6972,,230715,255652,234395,248012,302943,390571,463374,473218,522044,1694794,,28050,40330,31036,26879,21831,26904,28924,28731,21002,27324
848710,Ships' or boats' propellers and blades therefor,7162,1555,3244,1865,1153,1027,2299,2304,1833,6971,,96282,95269,126941,127960,149642,84947,100054,87235,100436,117732,,283153,297214,235461,181145,184344,129801,249880,65549,58653,39963
401033,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",1489,1115,1134,2885,2629,2990,3327,3285,4080,6952,,6626,6494,9084,9713,8184,9684,10206,12145,12443,21563,,4956,6324,7009,6672,6350,6353,6653,5642,6411,9752
310590,Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium ...,7449,4698,4423,3644,3806,3627,4941,6441,5422,6944,,34294,24538,29852,37736,41594,60351,77835,83635,85146,92603,,21478,17102,16434,14933,13319,14366,15751,15676,14642,15892
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...",2288,2047,2636,3570,4871,4458,5587,6268,7481,6923,,26048,35842,50102,35350,4200,21236,140704,318326,339097,261063,,22266,27343,22354,22533,21464,21617,25086,27617,28129,36540
380991,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",7480,8762,7362,6164,5352,6599,7208,6491,5257,6908,,70661,80339,71582,78725,73645,72758,91789,90824,88709,89010,,72818,80823,92044,99225,113945,138124,161358,154316,117038,126149
