Product code,Product label,Saudi Arabia's imports from China-Value in 2012,Saudi Arabia's imports from China-Value in 2013,Saudi Arabia's imports from China-Value in 2014,Saudi Arabia's imports from China-Value in 2015,Saudi Arabia's imports from China-Value in 2016,Saudi Arabia's imports from China-Value in 2017,Saudi Arabia's imports from China-Value in 2018,Saudi Arabia's imports from China-Value in 2019,Saudi Arabia's imports from China-Value in 2020,Saudi Arabia's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
90220,Green tea in immediate packings of > 3 kg,2811,3014,2875,5872,4114,2174,3256,2795,3161,2589,,286173,346028,344617,405005,464026,547795,619756,702480,631843,711217,,4436,5649,5493,8977,8069,6342,8230,8511,13353,9728
870130,Track-laying tractors (excluding pedestrian-controlled),0,0,0,0,0,0,0,298,973,2588,,2586,1180,5954,1687,670,4321,2786,1140,3224,2967,,256,356,288,122,53,4105,0,358,8118,9914
847950,"Industrial robots, n.e.s.",445,0,36,0,0,112,500,1104,1045,2585,,129383,134631,137513,144442,155274,207878,264998,240355,243461,309588,,3221,16945,12506,9259,7036,6054,7541,6324,9889,27905
441700,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe ...",2413,2186,3014,3082,2693,2251,1877,3152,2794,2583,,23214,25236,63531,127909,137153,204408,262588,131410,172123,201724,,3247,3237,4179,4632,4175,3039,2585,3735,4085,4282
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",3853,1930,1759,3307,1976,1567,397,883,1602,2583,,286475,272590,957250,1151604,686566,917491,1008605,908827,835059,1908128,,7082,4819,2157,3945,2963,2715,450,1461,2207,4031
730630,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel ...",7341,12650,4917,8735,5476,1991,2939,4926,10298,2569,,682537,734973,872012,946110,888917,945642,1016785,952338,927774,1456044,,14823,49897,17354,22135,21929,13866,27229,31541,22162,13254
960820,Felt-tipped and other porous-tipped pens and markers,598,1410,979,1040,1462,2230,1336,2013,2045,2567,,396753,427136,433162,452969,512933,481441,492451,546339,568339,673117,,8486,10926,10098,14761,9508,13979,10266,14304,11742,8914
842612,Mobile lifting frames on tyres and straddle carriers,517,2015,1144,34714,303,349,450,530,14875,2541,,53907,43112,9203,11670,41257,38140,35282,15527,32075,25515,,10381,15250,30244,70920,11529,20472,5900,2919,19461,8832
291712,"Adipic acid, its salts and esters",49,0,62,0,171,0,144,0,118,2529,,78379,190265,254635,209262,282212,449960,516818,373050,286256,551187,,703,348,422,8472,5015,346,533,578,1320,3373
843910,"Machinery for making pulp of fibrous cellulosic material (excluding autoclaves, boilers and ...",0,1670,1591,0,274,1975,357,2025,1875,2522,,72949,96450,62070,214894,99355,74342,75406,141016,142046,100041,,3847,4635,2136,508,5647,3418,1603,6601,4788,6498
740311,"Copper, refined, in the form of cathodes and sections of cathodes",17494,36526,5547,0,0,59,174,299,0,2519,,2281569,2262617,1872501,1236360,2062561,2054799,1879604,1931594,1291620,2309345,,1363076,996916,1139023,1033495,852534,766296,671577,645895,704583,692462
890510,Dredgers,0,188,0,0,0,0,0,12000,0,2517,,251378,607794,223208,424643,178950,379659,239566,740245,104273,859247,,11000,2538,0,11000,0,0,0,341812,0,27002
481730,"Boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment ...",1166,322,1003,881,701,763,713,726,1224,2513,,35843,33114,32870,42376,41841,39785,46479,56199,73880,98969,,2234,1419,1722,1466,4931,5737,7818,9019,7221,10849
730519,"Line pipe of a kind used for oil or gas pipelines, having circular cross-sections and an external ...",4461,13940,22584,23817,2835,3309,7612,12693,14548,2512,,550360,753642,349775,315812,172086,137117,187953,268168,96226,90901,,24883,29623,77484,50786,28016,14288,19156,20848,39139,4172
851030,Hair-removing appliances with self-contained electric motor,5536,7909,8477,10091,9507,7486,7883,5956,4711,2504,,98060,117173,122121,151888,167311,166015,167484,187721,256475,305299,,21557,22878,33261,27549,25696,23526,25199,12469,13665,8949
292310,Choline and its salts,622,1234,497,1310,6373,8593,2807,2324,4044,2500,,32104,48570,70560,56546,63980,70589,70606,71196,73709,92623,,945,1234,1420,3919,7177,13867,5900,4011,4640,2863
820520,Hammers and sledge hammers with working parts of base metal,2216,2146,2825,2444,2273,1412,1449,1909,2480,2496,,215253,217155,238597,234444,213924,202390,235911,248735,256595,284475,,5666,5511,6383,7460,4817,3505,3321,3805,4704,5246
842112,Centrifugal clothes-dryers,205,481,148,0,82,330,500,2175,5438,2491,,22266,10392,7886,7650,5055,6871,5863,5581,5697,6335,,838,588,253,347,562,836,3598,8292,16567,10544
621600,"Gloves, mittens and mitts, of all types of textile materials (excluding knitted or crocheted ...",2801,2611,2871,3014,2360,2103,2239,2666,1843,2480,,455808,454399,523829,504204,427565,408460,449541,461399,375495,438134,,8726,8346,6317,7328,5338,4199,4986,5068,3885,3855
731420,"Grill, netting and fencing, welded at the intersection, having a mesh size of >= 100 cm©÷, of ...",2979,2214,2117,1585,883,692,865,682,2422,2471,,39473,40223,46979,46865,40921,40990,53325,51786,79068,116239,,11324,14897,22017,10307,6191,4734,5949,5663,9111,15613
701341,"Glassware of lead crystal, of a kind used for table or kitchen purposes (excluding articles ...""",487,799,516,400,452,210,327,848,1069,2471,,10836,14966,14126,13461,9593,12540,8138,5573,7185,8643,,1189,1316,1585,1721,1427,1490,939,2718,2605,3025
283329,"Sulphates (excluding of sodium, magnesium, aluminium, nickel, copper, barium and mercury)",6296,3097,3369,2850,1075,1820,1682,1527,1688,2467,,238569,220706,244354,270055,257248,313536,512082,405670,367233,454587,,8468,8516,8700,7063,8303,10225,7755,4854,6895,10010
380894,"Disinfectants, put up in forms or packings for retail sale or as preparations or articles (excl. ...",28,102,0,230,159,0,222,433,5786,2457,,26232,36732,46365,44553,61486,74540,104625,116693,2284681,491028,,7593,13593,20397,60878,28044,12650,20213,16806,33949,32611
846210,"Forging or die-stamping machines, incl. presses, and hammers",145,1452,657,1711,588,582,562,307,719,2455,,83169,104412,124867,153932,113607,98979,147303,161418,128086,174651,,10157,10206,17994,6299,3439,3972,8009,2450,2707,3635
630619,"Tarpaulins, awnings and sunblinds of textile materials (excluding of synthetic fibres and flat ...",596,1171,1502,2404,1627,1442,1349,2282,1071,2425,,315234,278104,220309,195968,182133,191882,206654,205421,202128,243053,,2696,2517,3164,5580,3504,4743,2375,3941,2715,5280
391400,"Ion-exchangers based on polymers of heading 3901 to 3913, in primary forms",1064,1296,1196,2138,1481,2966,3166,1847,4956,2409,,180840,191861,211217,202560,183207,207725,233844,269992,269654,280508,,25555,18180,15119,16330,12692,18314,17783,16649,14474,12120
732591,"Grinding balls and similar articles for mills, cast (excluding such articles of non-malleable ...",3454,7719,2715,1324,211,849,1678,1137,4224,2403,,63178,84904,71809,74404,52404,58198,91653,88998,94301,141021,,54372,64318,6502,5607,5447,7746,11053,8813,14475,11794
441112,"Medium density fibreboard """"MDF"""" of wood, of a thickness <=?5?mm""""",8604,5275,6957,4480,4199,2429,1565,2590,1875,2394,,151593,129853,141255,161587,108385,98881,94272,95314,85317,185849,,24714,23384,26332,22739,16957,16526,14581,20404,26681,27000
900792,"Parts and accessories for cinematographic projectors, n.e.s.",40,62,28,0,45,44,149,170,653,2392,,12998,24910,19816,17799,20404,32551,33409,40579,23024,10043,,394,764,238,574,519,846,2137,1497,1907,4754
843120,"Parts of fork-lift trucks and other works trucks fitted with lifting or handling equipment, ...",1456,2518,2595,2497,1076,867,754,1319,1652,2391,,512160,469563,570229,578117,550321,712855,903368,848842,710428,1092171,,19927,21965,21697,17846,8887,20805,11037,8782,10106,9124
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",1327,2043,1634,1819,1199,2450,822,2188,12222,2390,,65143,80437,113345,154342,173809,196754,252936,289579,469611,415857,,22215,34675,37515,32985,26942,30207,28411,55129,62522,58950
292429,"Cyclic amides, incl. cyclic carbamates, and their derivatives; salts thereof (excluding ureines ...""",591,765,638,593,908,797,1946,1449,1641,2388,,1022830,974441,1045618,1090996,1069368,1204530,1327785,1333573,1390329,1621566,,3566,3696,4662,3383,4023,3551,8768,10819,10010,11596
80620,Dried grapes,1441,1126,1683,1341,1938,989,2473,951,1745,2387,,73901,83390,74344,56891,62244,29387,45736,74200,54596,37115,,16092,14649,19131,17740,21719,29524,27608,24918,19704,21582
251990,"Fused magnesia; dead-burned """"sintered"""" magnesia, whether or not containing small quantities ...""",2149,1261,754,877,786,560,2461,1658,734,2386,,611892,529323,618178,540285,460777,621074,1039032,768157,570197,839612,,6186,4060,3863,6482,7860,2730,4870,8527,5115,10167
300390,Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic ...,956,550,75,0,0,0,2418,3192,6055,2382,,208108,217613,219684,262564,286293,267762,312378,345310,392404,351011,,102281,135180,122669,16087,11524,14199,19732,58678,25255,138815
610449,"Women's or girls' dresses of textile materials, knitted or crocheted (excluding of wool, fine ...",2044,1967,7500,4272,3275,3618,4696,5075,2069,2382,,53576,57100,49740,69645,51134,26234,21640,24985,23110,28273,,5271,3869,8732,7935,6462,7153,7856,8995,4212,4916
580632,"Narrow woven fabrics of man-made fibres, with a width of <= 30 cm, n.e.s.",1276,1000,1177,1131,2054,1763,2435,3156,2888,2376,,491496,610642,697049,662542,612133,600170,686542,738001,659189,806478,,2303,1541,2237,2311,3799,6464,5371,11180,7445,10666
902214,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excluding for ...",4953,5714,6043,2941,1365,1594,1500,2065,1676,2374,,151249,153388,158807,177713,198313,198025,248618,309218,395185,390462,,81499,69038,74727,81989,42026,57966,50276,46672,44085,42807
292910,Isocyanates,4051,994,5237,4613,10259,16308,7143,3066,2824,2366,,392323,409533,385719,333500,467208,663159,721520,594437,715479,1142655,,74505,56614,70742,65508,52802,85079,71874,25633,12942,14756
730793,"Butt welding fittings of iron or steel (excluding cast iron or stainless steel products, and ...",1977,1924,2523,6441,4077,4697,2431,3909,2358,2364,,247391,262172,299976,288445,222094,246822,284681,299644,253468,425239,,40969,31212,23104,32455,53571,70583,36159,41349,32169,35761
370130,"Photographic plates and film in the flat, sensitised, unexposed, with any side > 255 mm",1161,840,882,1953,2406,2286,2478,1957,2365,2362,,527711,534829,532929,551255,513796,521573,581090,596209,493215,638974,,14027,14775,14477,15620,10253,10142,9088,8727,10641,10619
961620,Powder puffs and pads for the application of cosmetics or toilet preparations,155,109,303,333,898,957,973,1047,1471,2359,,66413,68646,80118,90422,127656,152041,174075,177090,151540,195838,,531,233,334,728,1284,2075,1856,2008,2625,3316
291611,Acrylic acid and its salts,978,1310,318,133,47,93,153,457,167,2351,,126275,222518,114578,52232,43672,73395,129080,108907,59666,125584,,17596,17227,5517,895,965,1190,1406,2002,1661,3959
820720,Interchangeable dies for drawing or extruding metal,373,152,110,244,488,538,873,1298,2951,2350,,48293,41724,54467,51471,53788,64916,75116,87512,71019,84654,,7240,7229,6994,7810,5710,4535,7901,8698,10582,10780
640610,Uppers and parts thereof (excluding stiffeners and general parts made of asbestos),338,2317,3860,3236,2158,1896,979,890,929,2340,,1153715,1152825,945486,815743,852543,926996,791099,834865,820589,981030,,3699,4994,7206,8068,4651,4619,2572,2461,2408,2960
920710,"Keyboard instruments, the sound of which is produced, or must be amplified, electrically (excluding ...",664,878,1419,755,681,650,1005,2162,2455,2333,,350376,343338,349551,333604,359807,351433,390045,458820,545415,578000,,1556,2190,2875,2104,1846,1677,2090,3966,3750,3626
680610,"Slag-wool, rock-wool and similar mineral wools, incl. intermixtures thereof, in bulk, sheets ...",5989,4677,2735,2623,2510,2191,2847,1728,921,2324,,249830,246789,265283,229351,196293,184904,188241,218483,233645,241492,,24417,27339,20646,11861,9361,11743,24341,11668,9813,7677
760900,"Aluminium tube or pipe fittings (e.g., couplings, elbows, sleeves)",1070,967,1539,1915,1339,1204,1338,1681,1636,2318,,161347,171161,197497,190753,190070,227916,261557,256445,229427,300289,,5729,6980,6485,7568,4121,2758,2570,3884,2663,3298
392091,"Plates, sheets, film, foil and strip, of non-cellular poly""""vinyl butyral"""", not reinforced, ...""",3744,3423,4411,4324,2886,1646,1282,1618,2229,2314,,61444,80711,97453,101269,134672,151573,164604,166038,130678,159748,,10543,11400,10733,10294,6339,4660,6963,7502,5371,5841
850431,Transformers having a power handling capacity <= 1 kVA (excluding liquid dielectric transformers),4824,4775,3848,6682,2289,2270,2723,2729,2422,2305,,1463935,1555204,1769579,1584955,1596643,1557872,1653917,1601181,1539461,1825195,,59737,45158,48714,58441,37656,33552,32976,27184,27942,27752
321310,"Sets of artist's, student's or signboard painter's colours, modifying tints, amusement colours ...",1042,1152,1542,2024,2591,1029,1256,1850,1522,2300,,108123,107627,121522,127714,154784,140273,154663,163168,249951,288751,,2121,2142,2828,4235,3513,2012,1650,2639,2207,5624
611692,"Gloves, mittens and mitts, of cotton, knitted or crocheted (excl. impregnated, coated, covered ...",4147,3282,4549,5084,3908,2908,3089,3945,3553,2289,,403039,424343,481141,494713,500891,592185,683237,585873,363635,344426,,6345,5995,6756,7278,5558,4514,4096,4725,4238,3127
854720,"Insulating fittings for electrical purposes, of plastics",4383,2777,1868,2383,1660,1517,463,536,19743,2278,,175863,210342,145098,135600,177714,194211,183651,147645,147111,177795,,12942,13516,18313,22054,14821,8743,5795,5783,27306,10953
843850,Machinery for the industrial preparation of meat or poultry (excluding cooking and other heating ...,304,577,301,318,565,755,775,349,660,2275,,77894,83568,89116,96408,90086,101770,109961,127383,151221,210515,,27029,43122,24585,43232,17227,8071,15117,7260,11764,34750
853630,Apparatus for protecting electrical circuits for a voltage <= 1.000 V (excluding fuses and ...,9969,3393,2344,2013,1373,3378,2216,1250,1184,2274,,437206,547785,572625,629421,685349,780090,910529,803604,833670,954761,,101755,55572,40692,40283,33734,36237,26774,30990,27014,35750
120241,"Groundnuts, in shell (excluding seed for sowing, roasted or otherwise cooked)",1650,1458,1422,2017,2073,1777,2750,2154,2586,2267,,67266,49162,45808,40994,41821,36204,37530,40926,34090,23203,,3581,3697,2449,2992,2787,3593,4857,4038,3717,4255
321590,"Ink, whether or not concentrated or solid (excluding printing ink)",32247,14895,17760,4540,3995,3741,2084,3213,1539,2265,,172281,159525,166551,166014,204556,206910,183460,206520,216012,244949,,152676,117992,95447,28080,25826,22026,11695,8210,5516,6009
721631,"U sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, ...",23409,19798,18497,15023,11281,5189,7262,2829,2053,2261,,35209,29599,45345,64440,77404,122291,170740,127142,178800,210970,,68937,43416,38827,31738,28968,22879,27408,20552,14662,35848
731821,"Spring washers and other lock washers, of iron or steel",3425,6753,2760,2522,2894,1718,2544,3174,3641,2261,,56370,59058,54273,46493,46611,51082,61080,56524,55730,64563,,13695,21192,12227,12891,10904,10413,14274,12701,14849,13230
848490,"Sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, ...",5372,8889,6309,5108,3186,4587,2418,1942,1767,2258,,27371,29338,34946,34966,37809,43380,44795,49757,55283,65617,,119886,165270,138470,131911,71471,61094,61291,49173,34625,29497
902480,Machines and appliances for testing the mechanical properties of materials (excluding metals),692,832,732,1048,832,1724,649,1433,943,2246,,34058,29243,36364,44325,44356,42213,61600,67328,66822,69636,,44067,25913,29847,23973,13787,9339,6687,14987,12193,14084
851890,"Parts of microphones, loudspeakers, headphones and earphones, earphones, audio-frequency electric ...",6595,8181,7683,5246,4624,6410,14620,7886,4704,2243,,972348,1040596,1127943,1381958,1396986,1755796,1431936,1779420,1762981,1847163,,21759,19934,17416,12824,9988,13087,20397,11677,6211,3034
560819,"Knotted netting of twine, cordage, ropes or cables, by the piece or metre; made-up nets, of ...",1565,2267,2112,3502,2953,3725,2819,4240,3215,2241,,169552,205854,253085,263756,300937,293369,341887,353909,353710,421998,,1741,2523,2996,4105,4050,4327,3335,5469,3778,2700
290410,"Derivatives of hydrocarbons containing only sulpho groups, their salts and ethyl esters",9270,12747,16402,2759,1663,429,1792,1137,139,2237,,42302,51311,48208,38567,39201,45630,54923,55762,56611,60708,,9783,14074,17048,3518,3438,3226,7622,9385,9128,13088
610799,"Men's or boys' bathrobes, dressing gowns and similar articles of textile materials, knitted ...",489,157,1003,436,807,495,1360,979,2286,2227,,88406,98115,118761,111786,106561,116135,138381,147442,122033,153622,,1281,761,1744,1407,2298,1671,2101,2928,3836,2558
630629,"Tents of textile materials (excluding of synthetic fibres, and umbrella and play tents)",1287,2781,3754,4195,4140,2143,2082,2971,2030,2226,,90212,87543,115348,125009,100894,114110,114891,115747,128692,164753,,11007,13805,18435,16241,14378,9603,7946,12109,13295,20791
611211,"Track-suits of cotton, knitted or crocheted",62,227,134,218,831,503,284,241,868,2218,,193718,187667,148460,119152,92370,54410,52958,44510,58618,61120,,192,722,134,880,1563,924,907,993,4862,5842
761610,"Nails, tacks, staples, screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers ...",1246,1911,1616,1631,1097,1505,640,1215,1978,2206,,97933,94301,84870,98227,81547,77776,96414,87715,94551,139824,,3203,3737,2766,3451,2882,2948,4056,5307,5418,8327
851130,Distributors and ignition coils of a kind used for spark-ignition or compression-ignition internal ...,43,267,179,843,395,922,120,353,632,2206,,265608,325329,374045,364796,380198,380186,398165,364660,391598,488313,,3606,3535,2882,5042,5675,3471,2392,7189,5779,8246
480262,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",9030,9153,1447,412,182,122,89,289,916,2203,,38035,31748,20886,25623,28103,30553,29812,44295,41308,40867,,21219,18003,17137,13446,8999,8976,6160,10615,7227,29131
540810,"Woven fabrics of high-tenacity viscose yarn, incl. monofilament of >= 67 decitex and a maximum ...",130,0,0,0,0,49,8,159,1211,2193,,345,1042,1516,2249,3313,3742,3750,2527,1502,2001,,996,955,150,339,513,563,661,584,1251,2251
330190,"Extracted oleoresins; concentrates of essential oils in fats, fixed oils, waxes and the like, ...",34,0,0,169,524,978,926,502,906,2184,,9576,10361,12341,11890,15342,21231,21747,19399,16101,19424,,13918,12403,21827,34785,17338,32633,31579,33192,35510,25664
820600,"Sets of two or more tools of heading 8202 to 8205, put up in sets for retail sale",1266,1583,1083,1453,821,1077,759,1564,1897,2178,,451711,529507,595728,592052,549840,601206,713533,701926,734670,953463,,10933,12142,13586,10409,10176,5245,4924,6883,7383,10306
846599,"Machine tools for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...""",1749,1738,3276,4429,2461,1646,1658,953,1293,2176,,68808,107866,218419,226950,251415,273362,289313,391846,418813,549848,,22958,24869,20426,24380,13310,10461,7992,4655,3257,13814
731419,"Woven cloth, incl. endless bands, of iron or steel wire (excluding stainless and woven products ...",1496,2106,2303,2479,987,857,583,869,941,2173,,33337,40890,50030,54728,39388,46509,53560,50044,55226,78393,,14510,8845,4897,5454,2960,1594,1620,2338,7522,4543
610690,"Women's or girls' blouses, shirts and shirt-blouses of textile materials, knitted or crocheted ...",15025,24922,11744,7424,6933,9919,5495,6198,938,2170,,9562,9475,5590,5215,6294,5155,4398,5052,7051,9383,,27803,39231,23643,16376,12427,15979,8734,9744,2293,3363
842620,Tower cranes,16492,12845,12950,24953,23586,43986,3846,6207,4381,2170,,338633,391900,462483,422630,317897,330274,321123,383325,218303,272533,,110493,115219,77503,90636,43621,50340,29222,20805,14387,14294
841221,"Hydraulic power engines and motors, linear acting """"cylinders""""""""",2628,922,1100,1747,1398,5892,1076,2845,1862,2169,,320639,361501,433681,456338,457705,525217,673240,691435,616139,855453,,14580,20926,16848,22958,10923,16554,13410,19751,26507,22604
950440,Playing cards,471,495,1069,1049,1427,1278,1294,1927,2709,2159,,149079,168192,162710,179608,165288,152268,172969,183449,212711,206103,,760,755,1419,2070,2073,1771,2449,3018,3985,3712
844316,Flexographic printing machinery,0,41,139,883,1688,1537,857,874,1113,2151,,23702,25425,30825,30204,41574,55694,63561,71283,63946,66128,,8694,661,4394,7262,3906,13459,7349,3904,12983,18463
630221,Printed bedlinen of cotton (excluding knitted or crocheted),972,994,1124,916,1474,938,1085,1326,1239,2150,,658122,690681,831008,597913,508033,417572,351517,322886,330533,408370,,7221,7974,7267,7192,7569,5533,5085,7493,5818,9988
630232,"Bedlinen of man-made fibres (excluding printed, knitted or crocheted)",1531,1429,831,2433,2599,1809,783,1194,1848,2150,,1556397,1870329,1847242,1629733,1532887,1496871,1533517,1562198,1646253,1949232,,5450,2645,905,2657,3206,2362,1125,6022,2699,2899
831120,"Cored wire of base metal, for electric arc-welding",1142,1306,2356,1952,1350,1317,1837,2023,1261,2147,,109899,103626,100816,94863,89651,87369,110899,125333,121802,154025,,17545,14391,15731,13913,14626,14374,20096,17055,10399,9885
831000,"Sign-plates, nameplates, address-plates and similar plates, numbers, letters and other symbols, ...",2247,2634,2831,3485,2585,1713,1666,2605,2107,2143,,169171,175050,164418,157843,140922,162772,155107,182103,172819,233461,,10049,5948,6089,7601,7214,5363,5605,7368,7150,8934
720925,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...""",211,2882,296,435,0,0,53,21,20,2141,,7217,4963,6000,8255,6013,6309,9123,10677,13260,20322,,2941,3394,361,922,89,176,95,687,58,2147
441294,"Laminated wood as blockboard, laminboard or battenboard (excluding of bamboo, plywood consisting ...",3686,4442,4212,4099,3167,6962,2289,5060,7340,2140,,411727,441891,490258,445951,383409,425302,450663,360001,338601,423158,,8873,15262,13765,13670,13129,27655,15761,30212,36160,18026
630499,"Articles for interior furnishing, of textile materials (excluding of cotton or synthetic fibres, ...",2683,2645,2402,2690,2438,2760,11431,13172,3153,2140,,107487,97825,165450,142524,105425,85525,76128,50129,47269,48558,,4061,3668,4714,5776,4538,6067,16649,20069,5207,4420
611011,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of wool, knitted or crocheted ...",986,1004,2625,3143,2980,2222,2570,3837,1299,2131,,850395,959295,1203474,1286852,1205361,1044309,1022690,935211,761147,901987,,1030,1309,3241,4182,4046,3699,4730,12227,9130,5066
330510,Shampoos,3107,3356,2400,3319,3138,3384,2575,4202,2274,2129,,147262,158972,145840,144929,124336,118814,128691,134320,124178,126295,,55585,58473,75882,86612,82542,106293,127862,149639,138752,115189
961380,"Lighters (excluding gas fuelled pocket lighters, and fuses and primers for propellent powders ...",1065,1381,2164,2510,1791,930,698,1953,3228,2129,,130335,140546,144049,149329,142468,151655,177254,178130,178144,218312,,2250,2491,2964,3419,2518,1454,1193,2560,3923,2927
860310,"Self-propelled railway or tramway coaches, vans and trucks, powered from an external source ...",0,0,0,0,0,0,0,0,115,2129,,368958,447143,1187968,942059,839409,673170,844590,557654,540940,605377,,0,3583,4482,11,4761,14140,100673,271458,87244,3514
854290,"Parts of electronic integrated circuits, n.e.s.",1951,3572,1547,2181,1494,561,1937,2411,2536,2125,,310987,316904,347750,339489,272441,327168,403513,526483,496641,1840624,,12752,13533,9516,9265,8319,4555,9246,12999,10146,14412
830621,"Statuettes and other ornaments, of base metal, plated with precious metal (excluding works ...",271,158,462,168,34,69,205,310,1036,2125,,2615,5931,36539,18006,7320,6145,6005,6695,5732,9960,,726,784,677,911,662,474,435,1772,1754,4658
630493,"Articles for interior furnishing, of synthetic fibres (excluding knitted or crocheted, blankets ...",779,576,479,777,1675,2769,2482,3000,2533,2117,,629151,723541,745096,775210,739546,784923,815886,817938,855310,1050414,,1629,2471,1550,2956,3449,6111,7318,8869,7063,6561
853190,"Parts of electric sound or visual signalling apparatus, n.e.s.",2543,3560,2613,2862,3218,4091,3153,4005,2306,2097,,643257,723715,864759,828498,861022,914180,929889,922736,791943,1147125,,19891,19095,20519,33208,30618,29840,29343,25597,20680,16392
820411,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, non-adjustable",1359,1409,1513,2323,1872,1593,1498,2434,1880,2093,,350106,383291,483823,407543,414661,414305,447936,439786,417703,514854,,5749,8104,7849,10171,8090,6188,6146,8759,7604,7122
320419,Synthetic organic colouring matter and preparations of the kind used for colouring any materials ...,1651,1037,1488,1420,975,1240,1605,2533,1304,2087,,99499,95128,107247,95733,94894,93908,128188,109349,95984,126753,,12653,14047,16720,13393,9538,10023,8000,11305,10825,13189
680990,Articles of plaster or of compositions based on plaster (excluding plaster bandages for straightening ...,2946,3231,1651,1917,2621,2553,975,507,2030,2083,,68701,74882,58921,89197,83941,48387,44996,55869,55699,57683,,8189,5150,11158,13810,12552,15944,4654,4141,16504,6272
460219,"Basketwork, wickerwork and other articles, made directly to shape from vegetable plaiting materials ...",1266,978,1582,942,957,777,302,418,780,2082,,733861,693711,683883,723458,685137,694470,732777,749185,768007,995780,,1427,1576,1893,1937,2757,2543,900,1384,2674,4907
870919,"Works trucks, self-propelled, not fitted with lifting or handling equipment, of the type used ...",527,261,0,1827,558,181,924,85,3463,2077,,19758,28107,28448,34090,29188,35448,47230,45719,41338,56952,,4197,11563,8537,10302,14975,20879,18130,8319,10538,6203
730629,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products ...",313,5734,7746,3748,4065,1206,731,1038,3337,2072,,92248,43799,48413,28768,21150,24734,25546,31523,18660,21095,,15271,72846,44760,31896,23252,20163,16071,20071,15986,25656
401190,"New pneumatic tyres, of rubber (excl. of a kind used on agricultural, forestry, construction, ...",0,0,0,0,0,0,0,0,0,2069,,0,0,0,0,0,312429,340042,328076,359215,459597,,0,0,0,0,0,0,0,0,0,3286
850421,"Liquid dielectric transformers, having a power handling capacity <= 650 kVA",110,148,0,108,0,159,210,88,3096,2069,,90484,98661,138502,91809,74149,77626,88849,125105,137578,106924,,10452,46004,19129,10987,10971,16340,4281,3598,5573,7806
630229,"Printed bedlinen of textile materials (excluding cotton and man-made fibres, knitted or crocheted)",1884,1368,1136,1395,1481,777,347,838,252,2057,,8604,20089,20637,9465,6416,8774,7822,8901,10047,31138,,4229,2455,4589,6127,4045,1925,1264,2678,3722,3404
630391,"Curtains, incl. drapes, and interior blinds, curtain or bed valances of cotton (excluding knitted ...",2020,2401,3605,2720,4914,6461,2978,4713,3433,2055,,123304,124792,122962,90588,78124,71440,72627,63597,62044,80587,,7602,10718,16541,21779,24150,22258,15476,17016,17812,15846
560121,"Wadding of cotton and articles thereof (excluding sanitary towels and tampons, napkins and ...",790,785,1103,1053,1045,1294,1231,1851,2229,2049,,179244,144431,165201,172561,166420,176735,173474,156744,177014,189210,,4119,4996,8164,10179,10378,7913,6198,7693,7874,6937
820730,"Interchangeable tools for pressing, stamping or punching",505,431,299,632,511,638,800,1148,1411,2049,,370480,597752,697064,814630,740623,1050079,1212780,1096666,1245975,1322074,,3668,3984,7074,6677,4069,4961,5075,5186,7543,8476
480257,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",3200,3152,2586,2492,1855,1720,1528,1668,1609,2046,,258086,298226,281986,237518,285220,214963,171919,211498,100986,62676,,16741,17239,8921,9000,11609,8450,8032,9564,7853,8805
