Product code,Product label,Germany's imports from Saudi Arabia-Value in 2012,Germany's imports from Saudi Arabia-Value in 2013,Germany's imports from Saudi Arabia-Value in 2014,Germany's imports from Saudi Arabia-Value in 2015,Germany's imports from Saudi Arabia-Value in 2016,Germany's imports from Saudi Arabia-Value in 2017,Germany's imports from Saudi Arabia-Value in 2018,Germany's imports from Saudi Arabia-Value in 2019,Germany's imports from Saudi Arabia-Value in 2020,Germany's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
830170,"Keys presented separately for padlocks, locks, clasps and frames with clasps incorporating ...",0,0,0,1,1,1,1,0,0,0,,0,0,0,13,35,16,7,0,0,0,,28625,35919,33799,30960,35965,41532,47181,42449,36928,37908
830260,Automatic door closers of base metal,16,3,0,0,0,0,1,0,0,0,,120,239,221,178,565,39,124,11,7,6,,77688,84985,85424,71815,83254,87251,104414,96196,93963,109802
830790,"Flexible tubing of base metal other than iron or steel, with or without fittings",0,1,0,0,0,0,0,0,0,0,,294,0,0,18,4,85,34,0,5,0,,27680,27996,29428,21478,20363,22695,28330,25191,27480,33053
831190,"Wire, rods, tubes, plates, electrodes and the like, of base metal or of metal carbides, coated ...",53,0,0,0,0,0,0,0,0,0,,965,261,200,291,279,345,408,0,0,39,,9113,8405,10387,12968,9470,11504,12481,12588,10971,13824
840310,"Central heating boilers, non-electric (excluding vapour generating boilers and superheated ...",0,0,0,0,0,0,0,1,0,0,,97,69,0,12,100,16,21,0,0,39,,560531,610331,554521,458659,520247,571321,602241,590335,749389,948962
840420,Condensers for steam or other vapour power units,0,0,0,0,0,0,0,0,0,0,,0,0,0,601,11,150,0,0,0,0,,2333,3805,4956,6331,2737,1883,932,1483,5984,3716
840490,Parts of auxiliary plant of heading 8402 or 8403 and condensers for steam or other vapour power ...,0,0,0,0,0,0,0,0,0,0,,50,200,0,1,214,382,0,0,0,0,,19402,19591,16978,14944,11679,17246,18292,16589,15385,15370
840681,"Steam and other vapour turbines, of an output > 40 MW (excluding those for marine propulsion)",0,0,0,0,0,0,0,0,4,0,,75,0,6893,201,0,0,0,0,0,0,,593,18291,2631,953,2172,43,5079,79,8071,67
840731,"Spark-ignition reciprocating piston engine, of a kind used for the propulsion of vehicles of ...",0,0,0,0,0,0,0,0,0,0,,47,0,43,5,6,11,7,0,0,0,,105,521,122,96,134,53,65,108,102,210
732181,"Stoves, heaters, grates, fires, wash boilers, braziers and similar appliances, of iron or steel, ...",0,0,0,0,0,0,0,0,0,0,,0,30,0,67,87,42,28,0,26,19,,28152,22243,28384,23125,26167,34618,33948,31161,38620,70000
732211,"Radiators for central heating, non-electrically heated, and parts thereof, of iron or steel ...",0,0,0,0,0,0,0,0,0,0,,0,3234,1267,174,238,866,52,160,0,23,,3668,2169,1995,2297,3023,2946,3583,1986,2608,3759
732391,"Table, kitchen or other household articles, and parts thereof, of cast iron, not enamelled ...",0,0,0,0,0,0,0,0,0,0,,0,0,133,0,10,10,30,0,0,0,,4543,5162,6608,10443,11509,11531,13020,11887,16906,35753
732429,Baths of steel sheet,0,0,0,0,0,0,0,0,0,0,,6375,2921,727,657,863,1469,1317,66,123,166,,4782,4544,4107,2853,3114,3395,3895,3443,3740,4237
732619,"Articles of iron or steel, forged or stamped, but not further worked, n.e.s. (excluding grinding ...",0,0,0,0,0,0,0,0,0,0,,226,0,206,29,1299,647,840,198,1351,664,,288263,315059,318723,277236,244643,263043,292765,259559,203082,262448
740729,"Bars, rods and profiles of copper alloys, n.e.s. (excluding such articles of copper-zinc base ...""",0,0,0,0,0,0,0,0,0,0,,5062,6771,27549,20889,3779,866,719,3777,2107,3223,,93929,101547,107256,80725,72827,85319,93656,81519,68067,111180
740819,"Wire of refined copper, with a maximum cross-sectional dimension of <= 6 mm",0,1,0,0,0,0,0,0,0,0,,7807,4285,2958,3617,2781,3064,1904,1681,104,0,,152480,135089,150708,93106,68628,85852,79794,55130,52450,98171
740821,"Wire of copper-zinc base alloys """"brass""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,247,769,0,0,,29223,22322,30520,26997,36825,57785,64270,52498,43449,90441
740990,"Plates, sheets and strip, of copper alloys, of a thickness of > 0,15 mm (excluding copper-zinc ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,48,97,222,0,34,0,,21278,20855,23637,14422,16864,22929,30210,22463,21931,47818
750220,Unwrought nickel alloys,0,0,0,0,0,303,0,0,0,0,,0,148,234,0,0,0,0,0,0,0,,314095,147608,199790,121716,118377,131925,149644,114570,83615,98589
760711,"Aluminium foil, not backed, rolled but not further worked, of a thickness of <= 0,2 mm (excluding ...",0,138,0,3,1,2,0,0,2,0,,5589,3143,3280,14201,4534,2453,845,375,456,1336,,380307,416748,411314,391994,395038,394590,421315,347735,335075,413368
620469,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of textile materials ...",0,0,0,0,0,0,0,0,0,0,,929,61,141,477,293,234,145,10,0,0,,139255,132449,175863,211053,248627,253969,283620,358525,342809,406500
620620,"Women's or girls' blouses, shirts and shirt-blouses of wool or fine animal hair (excluding ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,9,55,0,0,0,0,,3151,3587,3448,3355,4060,2746,1803,3090,6783,5476
620630,"Women's or girls' blouses, shirts and shirt-blouses of cotton (excluding knitted or crocheted ...",0,0,0,0,0,0,0,0,0,0,,39,35,112,180,404,655,148,0,0,0,,680550,649671,589953,427839,433594,468332,448124,355178,300311,341496
620920,"Babies' garments and clothing accessories of cotton (excluding knitted or crocheted and hats, ...",0,1,0,3,0,0,0,0,1,0,,347,115,233,194,905,227,243,0,64,0,,114286,114653,125207,121257,112347,112356,123238,105602,92183,106026
621020,"Garments of the type described in heading 6201, rubberised or impregnated, coated, covered ...",0,0,0,0,0,0,0,0,0,0,,43,0,115,30,0,0,0,0,0,0,,8885,7349,9193,10009,13074,14396,16219,15036,16488,19051
621040,"Men's or boys' garments of textile fabrics, rubberised or impregnated, coated, covered or laminated ...",0,0,0,0,0,0,0,0,0,0,,3083,2686,2384,2735,5404,6165,4825,77,15,28,,311616,318797,368214,292269,270626,283973,325903,328726,304721,311427
621050,"Women's or girls' garments of textile fabrics, rubberised or impregnated, coated, covered or ...",0,0,0,0,0,0,0,0,0,0,,778,1766,2666,1618,3377,4216,7003,561,123,32,,297878,334138,400174,327279,280134,296118,339406,359785,368620,388754
621142,"Women's or girls' tracksuits and other garments, n.e.s. of cotton (excluding knitted or crocheted)",0,0,0,2,0,0,0,0,0,0,,41,27,203,251,127,69,1001,44,0,1,,101448,85752,82252,70037,67828,67299,73666,86589,83216,92721
621230,"Corselettes of all types of textile materials, whether or not elasticated, incl. knitted or ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,15,0,0,0,0,,14664,12519,14466,12087,11217,11433,14062,11167,9345,9920
621600,"Gloves, mittens and mitts, of all types of textile materials (excluding knitted or crocheted ...",0,0,0,0,0,0,0,0,0,0,,69,48,118,81,39,117,38,0,0,0,,81247,80577,80971,70180,64974,75207,79039,77825,75778,79282
630221,Printed bedlinen of cotton (excluding knitted or crocheted),0,0,0,0,0,0,0,0,0,0,,0,29,0,9,40,109,91,0,0,0,,356506,394929,434109,349026,312683,339552,356597,333173,342524,406346
630299,"Toilet linen and kitchen linen of textile materials (excluding of cotton or man-made fibres, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,14,41,33,0,0,0,0,,8362,10426,11137,7823,10145,9108,10471,7926,8458,8580
630399,"Curtains, incl. drapes, and interior blinds, curtain or bed valances of textile materials (excluding ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,21385,15288,16339,14018,12829,16167,19422,14596,12623,16183
630690,"Camping goods of textile materials (excluding tents, awnings and sunblinds, sails, pneumatic ...",0,0,0,0,0,0,0,0,0,0,,1283,537,301,90,135,308,89,0,0,617,,52170,53601,57564,63002,75015,74871,77419,83318,71679,79941
630710,"Floorcloths, dishcloths, dusters and similar cleaning cloths, of all types of textile materials",0,1,0,0,0,0,0,0,0,0,,66,302,0,107,117,172,43,4,0,5,,133000,137112,141829,133606,137000,150910,157396,161113,182989,211134
631090,"Used or new rags, scrap twine, cordage, rope and cables and worn-out articles thereof, of textile ...",0,0,0,0,0,0,0,0,0,0,,22794,6509,7923,6323,5595,6008,4618,50,569,800,,5396,8695,9322,6217,6514,6752,8569,8331,8861,10582
640110,"Waterproof footwear incorporating a protective metal toecap, with outer soles and uppers of ...",1,0,0,0,0,0,0,0,0,0,,0,46,424,650,833,866,1048,256,134,217,,10724,12912,13746,13367,13501,16161,19989,15115,18254,22969
640620,"Outer soles and heels, of rubber or plastics",0,0,0,0,0,0,0,0,0,0,,0,31,0,13,1,1,4,0,10,49,,54601,61597,65872,55677,59247,54573,58298,48349,43908,52893
650699,"Headgear, whether or not lined or trimmed, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,0,11,1,2,45,0,0,0,,13166,15440,15879,12707,15130,15734,15624,16683,13471,18960
650700,"Headbands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,17,2,0,0,0,0,,9570,11905,12486,15280,15499,15610,16443,19967,15748,19134
660320,"Umbrella frames, incl. frames mounted on shafts """"sticks"""", for umbrellas and sun umbrellas ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,96,0,94,0,0,0,0,,2968,2762,5538,5628,6564,6765,5107,5846,5159,5306
670210,"Artificial flowers, foliage and fruit and parts thereof, and articles made of artificial flowers, ...",0,0,0,0,0,0,0,0,0,0,,651,0,31,86,109,61,67,72,0,76,,83445,78401,75249,76751,78119,85739,100176,111973,111917,130793
670290,"Artificial flowers, foliage and fruit and parts thereof, and articles made of artificial flowers, ...",0,0,0,0,0,0,0,0,0,0,,31,74,1985,7148,11102,441,0,11,70,267,,49121,49142,55502,47662,44523,51177,57472,60274,55632,57374
680300,"Worked slate and articles of slate or of agglomerated slate (excluding slate granules, chippings ...",0,0,0,0,1,0,0,0,0,0,,364,0,0,12,0,0,5,0,0,0,,89084,83485,77348,60619,57637,54693,50142,51604,54837,61432
680423,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1207,697,907,1591,2093,1481,1301,1350,1002,1142
680790,"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch (excluding ...",0,0,0,0,0,0,0,0,0,0,,11449,8726,9112,14637,11530,9700,7826,8733,5577,4205,,29643,25938,26507,17374,19143,21571,23872,27826,32354,26617
681181,"Corrugated sheets of cellulose fibre-cement or the like, not containing asbestos",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,,15378,12218,14779,10047,6148,4580,17574,16851,12832,10807
681490,"Worked mica and articles of mica (excluding electrical insulators, insulating fittings, resistors ...",0,0,0,0,0,0,0,0,0,0,,6580,1909,4272,4761,217,29,57,0,0,19,,5767,4649,4759,4143,4280,3519,2902,2493,2597,4259
690722,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,85513,85160,77433,78130,72447
700330,"Profiles of glass, whether or not having an absorbent, reflecting or non-reflecting layer, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,2,36,57,0,11,0,7,,1371,552,324,2652,250,367,1208,367,486,1061
700420,"Sheets of glass, drawn or blown, coloured throughout the mass """"body tinted"""" opacified, flashed ...""",0,0,0,0,0,2,0,0,0,0,,185,261,1111,627,4,18,352,510,266,1414,,2158,3645,3977,3114,3737,2817,2027,4112,1587,2792
700991,"Glass mirrors, unframed (excluding rear-view mirrors for vehicles, optical mirrors, optically ...",0,0,0,0,0,0,0,0,0,0,,7737,6191,1981,899,565,150,459,2555,6325,8004,,74756,76338,78183,63720,63805,67432,68444,69263,67159,80843
700992,"Glass mirrors, framed (excluding rear-view mirrors for vehicles, optical mirrors, optically ...",0,0,1,0,0,0,0,0,0,0,,971,1421,1617,916,414,251,171,97,64,147,,64454,68961,79541,75952,72069,75394,80438,86246,91716,112813
701120,"Glass envelopes, incl. bulbs and tubes, open, and glass parts thereof, without fittings, for ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,108,0,0,0,0,0,0,,263,276,201,211,236,232,200,169,102,137
701510,"Glasses for corrective spectacles, curved, bent, hollowed or the like, but not optically worked ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2674,1871,1537,1253,1078,1048,904,971,1051,1293
701912,Rovings of glass fibres,0,0,0,43,2,0,5,0,0,0,,921,1589,2190,4116,3314,2930,4961,1639,1926,3077,,141736,168197,175726,152598,156931,160232,132761,127716,103483,118947
701940,Woven fabrics of glass fibres made from rovings,0,0,0,0,1,0,0,0,0,0,,241,62,126,112,238,339,1601,212,128,337,,46734,47907,55691,29051,19926,24879,25986,21963,21631,27901
701990,"Glass fibres and articles thereof, n.e.s.",0,2,1,0,0,0,0,0,0,0,,47848,43366,51499,35149,34952,64488,81570,48695,27625,34905,,125351,136673,144181,126497,143985,159643,172975,168374,156826,203582
710110,"Pearls, natural, whether or not worked or graded, but not strung, mounted or set, natural pearls, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,267,160,39,322,0,20,186,54,442,1705
710122,"Cultured pearls, worked, whether or not graded, but not strung, mounted or set, worked cultured ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,23245,20517,23961,18306,15954,12423,9735,8493,5220,6251
710590,Dust and powder of natural or synthetic precious or semi-precious stones (excluding dust and ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,14,0,0,0,0,,1133,770,425,480,602,604,751,695,846,739
710900,"Base metals or silver, clad with gold, not further worked than semi-manufactured",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,704,766,490,1532,5193,5082,4282,11531,7326,8546
350699,"Glues, prepared, and other prepared adhesives, n.e.s.",1,0,0,0,0,0,0,0,0,0,,8530,10768,9015,11515,11182,11795,11810,7177,6813,1266,,72777,76476,77474,61954,60693,70327,82306,69872,70387,84000
360410,Fireworks,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,118274,111674,138476,133093,120800,120967,140168,120761,112443,24950
360610,Liquid or liquefied-gas fuels in containers of a kind used for filling or refilling cigarette ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,,5313,7083,9134,7155,5486,5900,5602,4737,4718,7378
370110,"Photographic plates and film in the flat, sensitised, unexposed, for X-ray (excluding of paper, ...",0,0,0,0,21,0,0,0,0,0,,0,113,56,226,122,0,35,0,0,0,,168846,171747,155709,71384,56107,49976,50706,46624,36898,37098
370253,"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2077,2022,1379,1031,898,1361,413,631,299,342
370297,"Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,62,,1039,659,476,912,472,604,844,831,727,1101
380300,"Tall oil, whether or not refined",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,15128,14543,14467,10917,11486,10493,10997,9173,7848,9941
380861,"Goods of heading 3808, containing alpha-cypermethrin """"ISO"""", bendiocarb """"ISO"""", bifenthrin ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,69,,0,0,0,0,0,1069,682,516,228,60
381119,Anti-knock preparations for motor fuels (excluding those based on lead compounds),0,0,0,0,0,0,0,0,0,0,,74,0,0,0,7,0,0,0,0,15,,6775,8937,9174,8257,8729,7673,6930,6384,7415,4183
381210,Prepared rubber accelerators,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,21,399,2227,1487,816,581,,67555,71214,74661,55897,49058,53262,60280,49091,35537,46212
381300,Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excluding ...,0,0,0,0,0,0,0,0,0,0,,3322,2738,1920,5340,2981,5824,948,692,522,392,,7853,7005,5958,4790,5509,4591,5643,7033,6572,6282
382410,Prepared binders for foundry moulds or cores,0,0,0,0,0,0,0,0,0,0,,0,0,0,7,0,2134,1676,2295,751,0,,18266,13761,16213,15860,15964,22197,22624,16093,11797,8881
382475,Mixtures containing carbon tetrachloride,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,198,226,125,93,147,396,0,0,0,0
382476,"Mixtures containing 1,1,1-trichloroethane """"methyl chloroform""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,21,24,0,0,0,0,0,0,0,0
382569,"Wastes from chemical or allied industries (excluding wastes of metal pickling liquors, of hydraulic ...",0,0,0,0,0,0,0,246,44,0,,0,506,0,0,0,0,0,0,0,0,,2328,2881,2373,2043,2162,3878,4742,4835,3698,3802
560391,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing <= 25 ...",0,0,0,0,0,0,0,0,0,0,,4093,5602,4673,87,0,151,55,130,1568,1555,,5849,5106,5641,5244,5814,5049,6931,9017,15508,21053
560410,Textile-covered rubber thread and cord,0,0,0,0,0,0,0,0,0,0,,2386,2879,2706,815,874,419,677,1203,3605,1567,,3323,3462,3826,3689,4044,4503,4245,4765,9121,8238
560490,"Textile yarn, strip and the like of heading 5404 and 5405, impregnated, coated, covered or ...",0,0,0,0,0,0,0,0,0,0,,1393,198,388,646,5564,9459,2739,2963,27,0,,7206,9785,10305,7894,9772,10559,14057,13762,8859,8794
560500,"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,16,196,0,0,0,0,,8518,9268,8599,7053,8103,7667,7241,6235,4099,5097
560790,"Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, ...",0,0,0,0,0,0,0,0,0,0,,351,394,1474,1166,522,452,31,0,3,0,,4851,4490,4326,4103,4451,5530,6376,5921,7542,10098
560819,"Knotted netting of twine, cordage, ropes or cables, by the piece or metre; made-up nets, of ...",3,1,0,0,0,0,0,0,0,0,,378,144,58,24,82,113,73,141,24,77,,33392,42578,52167,48606,46510,53602,66867,68045,68400,87694
570239,"Carpets and other floor coverings, of vegetable textile materials or coarse animal hair, woven, ...""",0,0,0,0,0,0,0,0,0,0,,56,99,1019,721,22,2,0,4,0,0,,2158,3251,4543,3091,2524,2531,2288,2752,1970,2832
570241,"Carpets and other floor coverings, of wool or fine animal hair, woven, not tufted or flocked, ...",0,0,0,0,3,0,0,2,0,0,,7733,1360,1821,1521,281,203,702,851,486,1191,,23738,19482,22250,15146,14259,13196,17278,14964,14311,15152
580110,"Woven pile fabrics and chenille fabrics, of wool or fine animal hair (excluding terry towelling ...",0,0,0,0,0,0,0,0,0,0,,27,0,0,30,33,21,37,0,0,2,,5850,2091,2417,1896,1844,1721,2582,3618,1569,4673
580127,"Warp pile fabrics, of cotton (excluding terry towelling and similar woven terry fabrics, tufted ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,75,244,142,0,0,0,0,,11039,6641,5306,4832,4757,5035,4241,4025,2711,2837
580131,"Uncut weft pile fabrics, of man-made fibres (excluding terry towelling and similar woven terry ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,734,586,297,360,336,886,1410,547,436,460
580136,"Chenille fabrics, of man-made fibres (excluding terry towelling and similar woven terry fabrics, ...",0,0,0,0,0,0,0,0,0,0,,32,67,0,25,40,178,29,0,0,0,,24681,32018,34969,28804,25465,24311,23460,23406,23335,26709
580890,"Ornamental trimmings of textile materials, in the piece, not embroidered, other than knitted ...",0,0,0,0,0,0,0,0,0,0,,57,0,0,4,5,0,0,0,0,0,,3967,4488,4124,4048,3907,4654,5301,4729,5205,7697
581010,"Embroidery on a textile fabric ground without visible ground, in the piece, in strips or in ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,3859,4077,4082,4108,3873,3249,3194,2501,2538,2164
590691,"Knitted or crocheted textile fabrics, rubberised, n.e.s.",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,,1793,1941,2045,1267,1406,1348,1343,681,773,1861
590800,"Textile wicks, woven, plaited or knitted, for lamps, stoves, lighters, candles or the like; ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,,3935,3459,3845,3495,4074,4414,3786,3755,3611,3581
590900,"Textile hosepiping and similar textile tubing, whether or not impregnated or coated, with or ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,32,269,1,443,180,147,0,,5693,6662,8649,11600,11750,12022,12564,14318,17467,16276
600532,"Dyed warp knit fabrics of synthetic fibres """"incl. those made on galloon knitting machines"""", ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,40467,48156,49569,44986,46945,0,0,0,0,0
600542,"Dyed warp knit fabrics of artificial fibres """"incl. those made on galloon knitting machines"""", ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2415,1618,2341,1771,2217,2340,2626,2817,1526,1779
600590,"Warp knit fabrics """"incl. those made on galloon knitting machines"""", of a width of > 30 cm ...""",0,0,0,0,0,0,0,0,0,0,,0,37,0,3,2,2,0,0,0,0,,2907,3709,3600,3298,3515,2944,3939,3486,3596,4446
600641,"Unbleached or bleached fabrics, knitted or crocheted, of artificial fibres, of a width of ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,8872,8208,8148,4367,2690,1782,1597,1220,1212,1613
610290,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",0,0,0,0,0,0,0,0,0,0,,172,0,252,45,14,10,677,0,0,0,,8169,8732,7720,8349,9504,11189,12870,12576,12314,19873
90411,"Pepper of the genus Piper, neither crushed nor ground",0,0,0,0,0,0,0,0,0,0,,188,1075,531,778,124,277,43,0,0,5,,176406,222592,208305,266242,238959,188275,109272,98232,86089,123658
90421,"Fruits of the genus Capsicum or of the genus Pimenta, dried, neither crushed nor ground",0,0,0,0,0,0,0,0,0,0,,0,0,0,102,0,3,175,0,0,0,,40196,39730,39112,26297,28378,31847,33236,35276,32640,37354
90921,"Coriander seeds, neither crushed nor ground",0,0,0,0,0,0,0,0,0,0,,153,194,124,109,69,6,26,0,0,0,,3326,5098,7743,4750,3743,3640,3937,3788,5831,5416
90922,"Coriander seeds, crushed or ground",0,0,0,0,0,0,0,0,0,0,,0,0,136,32,60,15,69,0,0,6,,723,840,1502,1273,1524,1685,1783,1830,2192,2588
91020,Saffron,0,0,0,0,0,0,0,0,0,0,,0,0,0,48,164,17,133,7,12,7,,5358,5203,5165,4693,4485,4873,5391,4830,3842,4673
100310,Barley seed for sowing,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,13991,4389,1913,4209,3216,3318,12447,4468,4083,3540
100810,Buckwheat,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2520,1460,1784,3384,2968,4046,3115,2892,5387,8465
110313,"Groats and meal of maize """"corn""""""""",0,0,0,0,0,0,0,0,0,0,,1635,2169,2142,1514,910,1685,979,872,33,36,,14793,14562,13102,10598,10991,9165,9026,6671,6455,6617
110419,Rolled or flaked grains of cereals (excluding oats),0,0,0,0,0,0,0,0,0,0,,62,0,0,77,222,25,59,0,7,11,,10537,11907,13200,11583,13479,12219,26948,25195,27084,20178
110423,"Hulled, pearled, sliced, kibbled or otherwise worked maize grains (excluding rolled, flaked, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,13,12,0,51,0,0,0,,16888,20710,19159,14112,16527,16685,17529,16475,19098,24219
110720,Roasted malt,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1850,100,0,0,0,0,,6097,7486,7818,7437,5748,5631,6201,6275,5535,5663
120600,"Sunflower seeds, whether or not broken",0,0,0,0,0,0,0,0,0,0,,0,0,0,16,4,95,265,212,400,1207,,370268,380963,309763,247382,224633,231342,255619,250024,260848,249702
120770,Melon seeds,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,890,1035,1134,570,1896,2230,1990,1116,1446,2446
120890,Flours and meal of oil seeds or oleaginous fruit (excluding soya and mustard),0,0,0,0,0,0,0,0,0,0,,0,0,0,50,0,0,3,0,0,0,,1120,1915,2179,2238,2068,2698,2825,3429,6733,10081
120922,"Clover """"Trifolium spp"""" seed, for sowing""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,14230,16390,16377,20673,22992,19872,20296,23688,23997,25313
120923,Fescue seed for sowing,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,5,0,0,0,0,0,,21154,20543,22302,18141,19659,18952,21668,26696,26509,31461
121150,"Ephedra plants and parts thereof, incl. seeds and fruits, fresh, chilled, frozen or dried, ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,68,25,26,24,8
121293,"Sugar cane, fresh, chilled, frozen or dried, whether or not ground",0,0,0,0,0,0,0,0,0,0,,0,0,0,6,5,5,12,0,0,0,,39,203,37,35,33,61,96,89,64,232
121410,Alfalfa meal and pellets,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18542,20404,18362,16001,12918,15837,21531,20301,20246,18917
140120,Rattans,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,1389,2854,2205,2252,1593,1795,1680,1353,1573,1600
140420,Cotton linters,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,210,1015,978,496,776,1082,829,618,415,167
150410,"Fish-liver oils and their fractions, whether or not refined (excluding chemically modified)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,,2126,1777,1759,2995,2659,1767,1008,4011,5723,6423
150790,"Soya-bean oil and its fractions, whether or not refined (excluding chemically modified and ...",0,0,0,0,0,0,0,0,0,0,,13744,15338,16525,16944,9566,4285,1899,11898,5352,16785,,23827,26881,27273,26290,23170,23257,21375,33992,22635,36575
150910,Virgin olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...,0,0,0,0,0,0,0,0,0,0,,334,428,368,769,666,945,914,936,209,1255,,222093,272204,279666,277752,291308,301034,321762,293540,339933,365065
151219,"Sunflower-seed or safflower oil and their fractions, whether or not refined, but not chemically ...",0,0,0,0,0,0,0,0,0,0,,50468,42569,28439,23959,35015,26214,26006,20279,24064,51469,,165553,156790,157109,129712,136657,137328,133511,123160,145103,156665
