Product code,Product label,United States of America's imports from Australia-Value in 2012,United States of America's imports from Australia-Value in 2013,United States of America's imports from Australia-Value in 2014,United States of America's imports from Australia-Value in 2015,United States of America's imports from Australia-Value in 2016,United States of America's imports from Australia-Value in 2017,United States of America's imports from Australia-Value in 2018,United States of America's imports from Australia-Value in 2019,United States of America's imports from Australia-Value in 2020,United States of America's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
440712,"Fir """"Abies spp."""" and spruce """"Picea spp."""" sawn or chipped lengthwise, sliced or peeled, ...""",0,0,0,0,0,0,0,0,40,3009,,0,0,0,0,0,1,143,0,0,0,,0,0,0,0,0,0,130117,463179,901015,1387931
480255,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",3066,3106,6667,4286,4102,2376,4134,8077,5404,2990,,39131,32645,31033,40313,35137,37035,41152,41143,40190,23308,,330279,247991,266106,286755,349601,294751,352261,433039,383353,409658
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",1332,664,320,362,670,497,1104,1464,1886,2988,,9206,9914,8895,9018,8456,9519,12561,12376,12138,20604,,3205457,3360402,3740605,4128998,3969783,4038007,4550569,4729766,4079293,5426265
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),5754,1882,1840,1949,1322,1139,1173,905,1645,2941,,42906,30611,31093,20554,17272,21869,29919,22185,19852,47882,,2382255,2434042,2572531,2609581,2689454,2868752,2891761,2723574,2415196,2924318
852550,"Transmission apparatus for radio-broadcasting or television, not incorporating reception apparatus",2183,2754,5265,7047,3998,1722,1470,1909,2021,2924,,29541,29330,24956,26914,29800,14610,18920,18585,14697,15486,,2585481,2381165,2529647,2963750,2707122,3049891,2751855,2509070,2686670,2430431
40610,"Fresh cheese """"unripened or uncured cheese"""", incl. whey cheese, and curd""""",4178,1263,2852,5863,3059,1126,1247,2841,2392,2912,,312046,274646,274728,276877,243993,314637,343796,327227,343306,398003,,46244,47041,70636,85342,70318,69852,62782,58589,56823,72491
850511,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,143,26,249,576,722,1014,1586,1377,2400,2911,,1618,1416,1010,721,1167,978,2097,1698,3991,2627,,400957,332940,306167,290696,284618,319081,406254,391929,329063,508378
940171,"Upholstered seats, with metal frames (excluding seats for aircraft or motor vehicles, swivel ...",1011,746,346,952,663,856,2123,5526,1939,2890,,3487,2177,2324,5703,4350,5868,4911,12146,9537,9687,,884314,963963,1073495,1277084,1391033,1490811,1528358,1385204,1291531,1680950
846390,"Machine tools for working metal, sintered metal carbides or cermets, without removing metal ...",1280,2584,2904,3256,1632,2209,2158,1738,1783,2876,,1500,995,339,1866,1084,1999,1832,934,1363,4471,,85985,84094,95469,83490,95266,105348,102963,81911,84557,87550
491199,"Printed matter, n.e.s.",2576,3618,1780,2457,2326,1720,2328,1718,2398,2822,,31467,20718,17381,17243,15171,15357,15730,17792,19357,23835,,482658,526826,574728,688921,650016,653520,676866,735711,643229,809896
851610,Electric instantaneous or storage water heaters and immersion heaters,109,114,193,282,647,945,223,596,1080,2805,,10504,18767,21074,19675,18355,20578,14671,3993,3733,6850,,313250,334694,421332,512973,504620,548294,618875,612110,627465,702952
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",2457,2215,2397,2925,2702,2194,3314,3452,1473,2782,,47645,27355,46511,30117,28599,36866,55568,51963,44372,54728,,1041547,984285,1014343,981893,1045398,1279158,2116323,2221867,1610198,1844389
340600,Candles and the like,585,522,165,430,834,546,499,657,194,2778,,4423,3296,4394,4789,5142,6142,5322,5236,5421,10568,,444897,420372,413073,413188,422986,474730,539805,578779,746429,1180637
842191,"Parts of centrifuges, incl. centrifugal dryers, n.e.s.",606,609,682,249,533,285,249,670,1096,2758,,3756,3720,3369,1934,2686,3734,1125,2187,4714,5846,,139852,137568,130910,122641,117764,123642,159232,170121,160027,177744
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",1639,2100,1887,2885,2183,2422,3632,2765,2303,2750,,16365,25224,32214,26206,21585,19893,19789,20499,15772,15930,,3695022,3789593,3922227,3068078,2441170,2718896,2975500,2868108,3185247,3580071
841370,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",1726,1843,1383,796,4940,8089,6064,7103,3502,2746,,29440,25826,24327,29944,41593,45138,39005,43815,38637,66835,,1095103,1111732,1302161,1375794,1290201,1350877,1460956,1600304,1450151,1686022
690919,"Ceramic wares for chemical or other technical uses (excluding of porcelain or china, articles ...",1022,1133,997,1376,2564,2228,2313,2103,1710,2727,,5697,6113,10673,8326,6986,5758,5180,4974,4270,4203,,815874,576316,724142,476699,409860,408357,410614,404889,359928,538391
620443,Women's or girls' dresses of synthetic fibres (excluding knitted or crocheted and petticoats),593,1330,2161,3453,3977,2606,2002,2365,1742,2721,,2233,2576,3378,4846,4541,6083,6459,8427,6248,9469,,1332186,1330483,1384841,1413839,1333439,1336672,1254195,1224869,775327,902359
51000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other ...",500,672,1701,2261,3328,3570,3387,3371,2682,2720,,8432,10212,10323,10544,7966,5212,6654,8221,10324,7631,,5884,5823,7717,6758,9850,12197,13525,14399,15011,19688
150910,Virgin olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...,4050,1450,3599,5266,795,4370,2400,4542,1566,2679,,13713,7205,12348,23714,10827,14326,9740,11441,6566,8209,,701759,798337,803665,925908,1011778,1120256,1192206,1047838,1084475,1184128
711230,Ash containing precious metal or precious-metal compounds,0,0,0,0,0,0,0,0,452,2652,,335,10,73,391,530,162,19,349,1703,1232,,43381,38280,68527,59621,30949,16558,11643,5139,28584,13166
870410,Dumpers for off-highway use,18063,14644,9705,4567,2410,5560,1722,1779,2504,2641,,243648,114466,83407,58853,41850,73101,41017,61477,48344,49665,,1086605,972655,1174637,1263096,880969,928752,1218430,1406801,872934,1219638
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",129,316,556,325,1081,960,1902,1226,2318,2617,,15347,15487,17067,13900,10651,14009,19330,19612,14380,19811,,418464,443318,493023,654673,745174,774316,941194,910318,936820,1219039
854420,"Coaxial cable and other coaxial electric conductors, insulated",424,1054,654,350,209,443,529,640,2441,2560,,14388,17457,9069,8543,7619,16665,12147,12278,12292,16698,,606483,587334,589238,556384,570903,537279,602499,551332,542010,647707
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",3993,2078,1855,2724,2346,2856,2644,2825,2413,2556,,29052,20972,24654,19887,27610,31318,29195,29464,25256,27046,,2871361,2978136,2857405,2651440,2861888,2866618,3364602,3112556,3424658,4214164
230800,"Acorns, horse-chestnuts, marc and other vegetable materials and vegetable waste, vegetable ...",0,0,0,260,0,0,316,417,938,2542,,8647,9513,9947,9240,9878,11599,10817,12304,16174,13932,,19603,15705,28336,30264,41397,51961,87650,58710,54113,65052
901480,"Navigational instruments and apparatus (excluding for aeronautical or space navigation, compasses ...",1169,2220,135,318,866,868,6283,2766,1762,2540,,22146,21000,22923,26522,14973,12138,16522,14220,14949,22908,,235236,236285,228810,268067,216851,338552,422330,380160,399740,434328
611430,"Special garments for professional, sporting or other purposes, n.e.s., of man-made fibres, ...",234,129,617,479,213,203,274,697,732,2512,,1490,1592,4078,8237,5323,1799,514,648,1209,3490,,592792,608208,732508,781999,823993,972670,948729,956764,802596,1022125
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",0,220,43,54,663,1004,764,1489,1761,2504,,48210,71414,80539,80583,81058,76566,55735,71738,51422,36509,,3311513,4133623,5386569,4262614,4565437,5182865,4846075,4813777,4872519,6357519
902214,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excluding for ...",0,0,0,7,108,191,1572,681,961,2499,,3522,3059,2667,2916,3660,3239,4309,3346,4992,6811,,1102828,918719,1018911,1058445,1090554,1165847,1349808,1406365,1225114,1424107
846692,"Parts and accessories for machine tools for working wood, cork, bone, hard rubber, hard plastics ...",198,169,181,148,143,219,441,948,1663,2499,,1415,1323,791,1159,618,2347,3097,2991,3999,5517,,155219,167690,206922,210906,224299,231558,278780,306932,269620,363882
841990,"Parts of machinery, plant and laboratory equipment, whether or not electrically heated, for ...",837,657,878,429,926,811,924,740,2337,2494,,12368,15491,22415,16712,16494,21243,24413,21833,23775,20515,,876256,867362,1014477,1104939,991152,966404,962988,1011937,865273,1062412
841191,"Parts of turbojets or turbopropellers, n.e.s.",1096,1517,1094,745,663,2005,1179,3420,3458,2493,,15360,22850,22593,20214,26646,24039,25965,31572,60275,79597,,10363016,11273825,12132580,12584051,12180613,13619339,14280649,15566416,9390307,9624664
841381,"Pumps for liquids, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",2063,1764,1561,1994,2193,3201,705,2946,828,2489,,102009,80290,66892,52682,43601,58784,64717,46626,37195,42004,,458872,428474,462181,497606,419043,477111,513068,432105,386399,427947
330749,"Preparations for perfuming or deodorising rooms, incl. odoriferous preparations used during ...",102,98,43,74,295,425,442,963,1950,2481,,10741,6956,7960,4043,3971,4374,10212,10063,11274,13058,,255737,325367,292257,255658,268709,279015,324119,348032,371818,453638
190510,Crispbread,1871,1587,1759,636,1084,1907,2651,2197,3269,2471,,6579,4643,2609,1264,1124,2392,3655,2960,3500,3063,,25453,26276,30729,31050,34490,31868,36791,41952,41051,42223
391590,"Waste, parings and scrap of plastics (excluding that of polymers of ethylene, styrene and vinyl ...",0,64,0,0,0,4,91,450,1021,2465,,49991,39090,47281,38459,32210,24822,24531,19863,12488,15721,,180673,217145,234012,184810,172570,189389,217286,200275,183653,269535
40510,Butter (excluding dehydrated butter and ghee),1779,662,2887,1978,4379,729,4934,9143,4767,2463,,151159,169190,157692,87241,74235,59229,61884,61521,54619,93671,,37583,40610,71169,112064,130924,169081,239988,291742,276857,347736
850132,DC motors and DC generators of an output > 750 W but <= 75 kW (excl. photovoltaic generators),328,416,308,207,176,505,670,1723,2312,2452,,2818,1711,2759,4614,1708,2075,2373,3270,3834,2357,,173604,188311,252406,296275,321164,379131,426490,472980,400783,533153
250510,"Silica sands and quartz sands, whether or not coloured",1377,2914,8718,7398,5045,4842,3813,5813,1968,2429,,83717,4307,0,70362,74309,87279,100522,96827,50987,0,,43351,21805,41066,31688,27806,34403,39563,37758,32518,34652
611241,"Women's or girls' swimwear of synthetic fibres, knitted or crocheted",763,436,470,617,824,1076,1153,986,965,2427,,9745,2960,2644,3169,3026,3126,3470,4235,2395,5706,,759202,819896,851849,905173,859791,916359,926622,868726,626763,880059
844010,"Bookbinding machinery, incl. book-sewing machines (excluding machinery of heading 8441, general-purpose ...",39,31,589,0,99,0,0,0,0,2421,,500,618,428,723,287,351,909,3292,770,5141,,88947,114211,91752,100417,88210,107382,125546,140335,107547,108427
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",2232,1825,2409,2547,3356,3645,3462,3527,2092,2410,,46602,44867,44412,34184,33596,45613,53446,49420,35713,45521,,2637855,2708623,2916306,2848077,2805141,2943875,3221113,3117363,2746426,3320737
350290,"Albumins, albuminates and other albumin derivatives (excluding egg albumin and milk albumin ...",2896,2553,2198,3715,1809,3068,2723,2053,1381,2406,,2175,2461,2667,1265,2983,1744,1259,2190,3589,4020,,32540,8349,20208,28001,20142,22828,22784,26263,28899,37161
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",7312,4835,4556,4218,3055,2688,3008,3693,2359,2382,,48419,44168,39345,33514,31255,27468,26935,28141,29308,34639,,1340070,1377473,1434678,1426301,1414998,1483063,1645795,1644519,1557912,1952223
382600,"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ...",0,5201,0,0,3375,0,0,0,1544,2376,,5488,14271,3158,248,2799,77,91,2184,10750,7290,,139186,1221357,620940,908808,2043394,1103562,527366,506760,621784,970318
860900,"Containers, incl. containers for the transport of fluids, specially designed and equipped for ...",352,729,85,439,222,203,701,755,444,2347,,17295,31630,31539,39761,13726,17927,18375,20036,0,24403,,496975,416465,653852,620976,522158,516528,704272,636673,499609,1033538
80521,Fresh or dried mandarins incl. tangerines and satsumas (excl. clementines),0,0,0,0,0,8928,11009,5273,4941,2339,,0,0,0,0,0,107633,93505,145288,101829,143685,,0,0,0,0,0,277271,309656,288292,419546,403325
900791,"Parts and accessories for cinematographic cameras, n.e.s.",0,119,43,91,31,536,1946,1597,1274,2325,,8523,6500,7433,5489,5342,2847,4838,4735,5078,7094,,40453,42597,43028,38333,44245,52814,48251,54969,60834,91522
902131,Artificial joints for orthopaedic purposes,143,173,1747,2886,4551,5078,2738,2624,3220,2299,,1582,3107,2987,3515,5001,12570,13103,14487,14946,13574,,1490036,1499203,1548111,1755351,2016024,2351069,2743718,2915330,2483542,2671876
940690,"Prefabricated buildings, whether or not complete or already assembled (excl. of wood, and modular ...",0,0,0,0,0,922,1314,706,1444,2270,,0,0,0,0,0,17664,16794,18419,24115,37281,,0,0,0,0,0,206957,250024,261085,289147,376454
902110,Orthopaedic or fracture appliances,249,544,1019,777,2169,3029,2179,1406,1278,2264,,6616,6487,10381,7988,10114,11598,14305,13879,18599,15097,,1591181,1667548,1712578,1828317,1911705,2151574,2414107,2486687,2332712,2827142
843131,"Parts of lifts, skip hoists or escalators, n.e.s.",152,341,182,118,175,812,494,228,660,2256,,7868,3121,2970,3620,3583,4824,6624,5908,4312,3355,,318628,310683,285744,331280,376685,386884,403919,414613,377492,410345
220870,Liqueurs and cordials,0,98,24,168,0,122,375,640,538,2210,,14355,10939,5965,4852,5902,6895,25931,18906,5983,17915,,993129,1037194,919341,922058,923075,928532,999334,1059892,820046,979712
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",911,472,482,740,703,1356,2065,1194,1002,2202,,7754,8431,7639,6424,7648,6731,7571,8438,6433,7040,,4883438,5141660,5528452,5974370,5961843,6402139,6911085,6541231,6729023,8589939
282560,Germanium oxides and zirconium dioxide,451,146,386,743,833,1093,274,853,1324,2177,,1788,80,54,3,248,0,19612,13350,5092,0,,66964,62692,63045,62490,51687,47133,50454,57680,41335,44937
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,18,13945,730,1143,2174,,0,0,0,0,0,0,20441,6317,11706,13938,,0,0,0,0,0,1444981,4688866,4937032,5405179,5628177
80450,"Fresh or dried guavas, mangoes and mangosteens",0,0,0,160,1225,516,614,417,1073,2165,,15959,17952,21215,24556,24322,24839,24446,20951,23354,7938,,424835,501521,492174,544149,583376,655950,637205,658227,718787,818223
220410,Sparkling wine of fresh grapes,5707,4853,5085,4571,3280,3522,3415,2772,2015,2155,,74373,65115,54752,48145,46046,43744,43548,43989,38766,63736,,802937,848483,929180,1011581,1127459,1249998,1347237,1429511,1304575,1910501
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",358,2084,4659,13451,4960,2420,999,1643,2789,2151,,3935,3313,3839,3315,4115,3264,179136,5352,4685,111124,,394489,449391,764576,732434,476995,522447,741055,752781,684262,825893
848350,"Flywheels and pulleys, incl. pulley blocks",2873,2898,5872,5816,3443,3202,3517,2652,1560,2150,,11170,9040,9492,11180,7165,8094,8309,6037,6053,12084,,591893,605784,638355,646121,562678,509046,558496,592401,513112,654046
640340,"Footwear, incorporating a protective metal toecap, with outer soles of rubber, plastics, leather ...",102,661,1959,2034,1781,1838,2412,3150,2893,2148,,8615,9051,8740,11808,12209,11993,12819,16262,12471,19161,,422302,414589,509492,516897,435464,482348,516008,491387,355735,478484
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",3242,3125,2977,2932,2505,2725,2904,2299,1957,2126,,44589,41899,41916,39464,42631,57118,57740,65306,73584,133898,,926538,1021735,1144497,1215783,1195275,1253981,1287754,1251954,1035701,1265822
851180,"Electrical ignition or starting equipment, incl. cut-outs, of a kind used for spark-ignition ...",612,564,454,403,467,836,1179,1196,1947,2099,,1350,1776,2565,3345,3978,3017,5768,8399,2735,3442,,152339,147441,146587,132825,151249,166714,185869,178939,165728,190521
120929,"Seeds of forage plants for sowing (excluding of cereals and of sugar beet, alfalfa, clover ...""",580,1021,1657,1216,1782,1553,1187,2001,1639,2057,,19366,15379,13908,16253,17781,14955,18247,15627,15456,17820,,30873,29904,29168,29115,36179,30780,29380,28239,33195,36476
846229,"Bending, folding, straightening or flattening machines for flat products (excl. numerically ...",550,273,293,343,106,389,3008,1996,1931,2056,,1892,3221,2698,1679,1423,1905,9774,1342,1525,1372,,217075,191850,198279,205925,192249,235546,236633,240143,202134,217778
30234,"Fresh or chilled bigeye tunas """"Thunnus obesus""""""""",32,76,291,1355,3401,2730,1833,789,1009,2054,,4102,2879,3164,4530,5698,4098,2240,1513,1714,1973,,43494,45161,45951,58187,48783,44169,39364,39707,24421,41606
761699,"Articles of aluminium, n.e.s.",2878,2299,3322,2991,4771,3852,2325,3728,3953,2044,,31782,23863,28940,28684,36725,35762,38200,39139,40601,30579,,1517734,1585521,1533969,1521876,1508772,1613079,1774544,1692482,1681791,2250703
841350,"Reciprocating positive displacement pumps for liquids, power-driven (excluding those of subheading ...",2236,1387,1894,2310,1858,1472,878,464,2463,2030,,16627,13430,19177,15960,14497,13801,12686,14346,13570,18315,,1681093,1590101,1940629,1525589,1314766,1593162,1686794,1638206,1396272,1572080
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",0,269,6,21,1,17,832,678,1012,2028,,18317,11497,8522,6043,7304,8050,6783,8076,6438,8809,,852865,1024707,1154964,1330502,1856262,2381050,3504278,3656039,4182862,5277207
847690,"Parts of automatic goods-vending machines, incl. money changing machines, n.e.s.",243,129,87,4,50,81,34,54,1158,2011,,1154,635,832,1354,857,1220,909,665,583,517,,119004,113452,84539,102389,90521,113918,104179,112061,74500,98049
847950,"Industrial robots, n.e.s.",76,127,82,573,367,979,1009,1458,875,2004,,8597,3803,6877,3251,8894,4298,3512,4166,3302,5234,,200416,243139,211348,279693,292925,435456,488483,443415,431233,510163
310490,"Carnallite, sylvite and other crude natural potassium salts, potassium magnesium sulphate and ...",27,517,198,0,0,767,302,52,628,2003,,628,923,3088,5902,6038,6581,4943,769,654,518,,20032,10204,22018,9369,9177,9262,13017,12618,30227,51669
391400,"Ion-exchangers based on polymers of heading 3901 to 3913, in primary forms",2353,2080,1538,2201,2789,2161,1797,1621,2445,1992,,2553,337,341,66,279,1544,4583,3334,4042,2728,,292115,293456,308316,283020,272316,304854,322733,293382,343178,438253
760421,"Hollow profiles of aluminium alloys, n.e.s.",15,236,119,309,585,1063,1730,1204,1575,1992,,1226,1048,1087,770,1268,1665,5682,3114,2563,2438,,188800,196902,228238,269089,269611,334966,466372,371691,391383,704361
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",2555,3458,2361,881,1044,1655,1746,1784,1220,1992,,15808,12633,10997,10137,13911,18410,27526,22625,15298,23534,,791862,823900,885485,856645,822520,932978,972481,908827,985766,1133633
731829,"Non-threaded articles, of iron or steel",2449,2365,3099,1718,2042,2002,2158,1812,3362,1990,,9147,10350,47649,39727,58716,51759,74201,64716,44524,52529,,318070,326144,351885,345785,322561,326932,360648,372077,301755,393849
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",1254,1558,1269,4966,1540,4178,2206,2054,1828,1987,,52587,36572,27994,39455,40057,56786,59837,56748,57251,71005,,1146358,1048245,1172824,840735,795490,815630,803426,728546,893559,825292
560394,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > than ...",453,264,120,396,32,160,1230,1885,1626,1986,,3013,1583,3583,2110,425,393,1061,3240,2240,2407,,107342,99652,99251,103447,106473,116962,151716,156337,192738,235731
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",88,96,53,535,230,2009,926,1964,467,1977,,15706,20289,16894,15807,24370,27495,33169,36090,46954,76233,,1961435,2085433,2193858,2092284,2099546,2369665,2523889,2472305,2139711,3091965
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",53004,28279,31818,26283,24466,25308,21413,8700,781,1973,,52053,30909,36394,31481,31384,33603,31923,10866,7889,9186,,674254,697961,723942,691191,654327,664339,677444,667709,568675,924483
200599,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ...""",0,102,0,0,0,23,97,92,3944,1944,,1815,1959,1322,2058,1342,2122,3879,4002,7438,9275,,399516,395165,454051,487002,540498,662611,606879,535089,621538,686146
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",480,972,2322,798,1137,2018,1377,2530,2190,1936,,5034,3747,4665,9199,8927,8428,6487,5041,6587,5507,,528332,579124,637628,691880,777935,982930,1028077,993168,899726,1155903
853521,"Automatic circuit breakers for a voltage > 1.000 V but < 72,5 kV",1214,1468,1314,558,1348,984,1116,1177,1315,1934,,55535,39362,31403,37120,40427,42319,42477,38794,45025,46728,,100979,96659,101675,110707,121573,133341,164818,178341,188345,172224
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",2379,1432,1982,2612,1253,4903,1812,1999,1578,1933,,69186,80206,129563,99964,64751,68715,84106,66818,47704,86208,,15205756,15322330,14673832,17913210,19696574,23484926,31688073,31361991,32056333,32735014
252620,"Natural steatite and talc, crushed or powdered",1002,0,0,12,0,978,2482,2319,1202,1931,,928,834,648,235,167,86,80,103,70,22,,72922,65679,72768,77134,98632,96824,97426,84681,75457,101881
391739,"Flexible tubes, pipes and hoses, of plastics, reinforced or otherwise combined with other materials ...",518,528,370,531,332,371,273,932,1504,1929,,11339,12816,17936,10059,12145,11184,12391,10820,11878,16678,,415648,601599,612991,474529,435667,569692,707251,595866,557989,758374
30247,"Fresh or chilled swordfish """"Xiphias gladius""""""""",2187,2895,5111,4715,7107,6721,5321,3029,1691,1904,,4604,3103,4123,4287,5678,5989,3671,2895,1830,2543,,53227,60473,69902,72947,75981,64351,68320,63562,45855,63430
853180,Electric sound or visual signalling apparatus (excluding indicator panels with liquid crystal ...,4320,3469,2539,2854,2201,3929,2355,2259,1004,1892,,11906,14380,12243,14350,11913,10874,12717,17744,12128,12069,,583760,587980,592949,622324,622393,637633,711124,907668,776912,889278
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",368,1864,6035,8010,5410,344,542,872,864,1876,,28559,20184,16570,21048,18625,11841,15066,19662,21062,23507,,14982331,16865818,17807569,18228174,20936555,21096526,21617960,21568402,21399322,27551320
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",0,578,823,167,275,1349,282,1493,252,1870,,70734,3234,6401,4437,9335,10708,12684,14267,14144,17024,,1352996,1763886,2113182,2271178,2424557,2533000,3873187,5491011,5786081,7744987
846031,"Sharpening """"tool or cutter grinding"""" machines, numerically controlled""""",14129,10158,8044,15522,8694,7251,17355,9433,4301,1865,,15,18,435,4908,4494,9819,27884,4001,5834,15508,,63477,55586,60667,53133,51243,59880,84048,81383,42385,45925
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",177,269,385,512,291,181,614,932,680,1859,,3803,3870,9755,13686,10599,10962,12580,16988,20288,30172,,2339852,3011260,4208390,5315338,6844585,9370808,10075887,9790173,13434569,14828321
890790,"Rafts, tanks, coffer-dams, landing stages, buoys, beacons and other floating structures (excluding ...",21346,3545,11393,2621,14062,754,300,527,1229,1858,,73244,76273,107101,83207,24550,18506,16943,12592,7669,8809,,87124,96437,64355,96423,91754,75447,92298,95256,72929,78723
401290,"Solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber",0,276,367,735,526,781,959,1921,1297,1856,,7516,6230,3656,1856,3151,4703,7695,5587,5210,6247,,353713,322773,340656,311869,291152,310198,334876,302672,243023,323433
844400,"Machines for extruding, drawing, texturing or cutting man-made textile materials",203,936,684,689,1805,1284,1125,735,1633,1856,,1721,1710,1029,451,1685,2354,1730,1427,753,829,,40481,51624,46542,48300,31855,57441,85745,87303,42644,59336
392590,"Building elements for the manufacture of floors, walls, partition walls, ceilings, roofs, etc., ...",466,286,327,306,345,564,219,1910,1665,1825,,9380,6472,6681,8049,8941,12547,11428,12119,8699,13531,,559614,595834,604620,655869,699110,723418,794064,764450,850232,1049234
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these ...,957,827,1008,586,408,514,1851,1544,963,1824,,2269,4980,6015,4775,4215,7872,7871,9529,12392,21116,,1021995,1105638,1120286,1268519,1207001,1361650,1332133,1224188,1201335,1249981
392410,"Tableware and kitchenware, of plastics",1530,825,930,1017,1080,908,2025,2723,1969,1823,,13857,10550,13853,14195,12893,16986,20084,19914,14587,22584,,2379525,2537846,2751588,2894002,2793807,2841276,3161596,3556476,3625046,4742507
220600,"Cider, perry, mead and other fermented beverages and mixtures of fermented beverages and non-alcoholic ...",404,1553,2482,3809,3368,3087,2869,2434,2859,1810,,2089,2736,5221,7035,5740,13036,14435,17203,19286,19434,,119514,137463,141599,193385,210093,221030,237320,288824,511811,523870
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",849,749,827,1090,4168,2415,4079,3074,1625,1801,,23353,13213,10655,9595,15725,18094,15822,15569,11426,10638,,1035154,1047508,1282855,1266310,1290416,1376778,1417985,1192784,1018536,1302830
610443,"Women's or girls' dresses of synthetic fibres, knitted or crocheted (excluding petticoats)",575,527,975,1475,1318,2599,1156,630,421,1800,,996,1711,2471,629,752,1201,1060,1140,780,965,,1184493,1167600,1280879,1338321,1295004,1253737,1235852,1114628,603012,721507
680421,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",113,15,127,140,148,140,108,3096,3263,1786,,772,607,1108,2609,3091,1989,2277,2611,2234,3409,,104212,106223,123539,124004,144235,196437,208077,209182,181425,218689
160290,"Prepared or preserved meat, offal, blood or insects (excl. meat or offal of poultry, swine ...",670,358,639,862,523,573,725,1042,1451,1767,,6775,4953,5619,6231,6953,5568,6337,6965,6554,6556,,1011,633,926,1550,1175,1354,1375,1456,1822,2334
340119,"Soap and organic surface-active products and preparations, in the form of bars, cakes, moulded ...",32,22,6,0,22,55,48,104,1289,1766,,3033,4141,4697,6295,11870,14393,12713,9409,11749,12865,,174943,197028,224456,201288,174157,178831,162269,177823,607809,302803
540490,"Strip and the like, e.g. artificial straw, of synthetic textile material, with an apparent ...",14,1,0,1,568,410,0,10,533,1751,,116,26,63,72,13,673,2642,3728,2225,2163,,66658,89805,93600,110277,94830,80850,105658,114847,113630,142864
30632,"Lobsters """"Homarus spp."""", whether in shell or not, live, fresh or chilled""""",0,0,0,0,0,10,22,29,147,1740,,0,0,0,0,0,193,438,188,145,154,,0,0,0,0,0,400743,403439,399390,325046,428657
853080,"Electrical signalling, safety or traffic control equipment (excluding that for railways or ...",3214,2933,4017,2563,2304,2649,1667,1443,2156,1739,,17161,19754,28606,16335,15537,19683,19798,16249,9277,13081,,111764,102442,103992,147004,139188,143082,152118,144019,157459,175300
